English,Bengali
Addressable horizontal position,ঠিকানাযোগ্য অনুভূমিক অবস্থান
Addressable point,ঠিকানাযোগ্য পয়েন্ট
Addressable position,ঠিকানাযোগ্য অবস্থান
Addressable register,ঠিকানাযোগ্য নিবন্ধ
Addressable storage,ঠিকানাযোগ্য স্টোরেজ
Addressable vertical position,ঠিকানাযোগ্য উল্লম্ব অবস্থান
Address bus,ঠিকানা বাস
Address code,ঠিকানা কোড
Address comparator,ঠিকানা তুলনামূলক
Address computation,ঠিকানা গণনা
Address constant,ধ্রুবক ঠিকানা
Address conversion,ঠিকানা রূপান্তর
Address data,ঠিকানা ডেটা
Addressed memory,সম্বোধন স্মৃতি
Address effective,ঠিকানা কার্যকর
Address field,ঠিকানা ক্ষেত্র
Address format,ঠিকানা ফর্ম্যাট
Address free program,ঠিকানা বিনামূল্যে প্রোগ্রাম
Addressing,সম্বোধন
"Addressing
 Character","সম্বোধন
 চরিত্র"
Addressing interrupt,বাধা সম্বোধন
Addressing loop,লুপ সম্বোধন
Addressing virtual memory,ভার্চুয়াল মেমরি সম্বোধন
Address interlacing,ঠিকানা ইন্টারল্যাকিং
Addressless instruction format,ঠিকানাহীন নির্দেশাবলী ফর্ম্যাট
Address line,ঠিকানা লাইন
Address mapping,ঠিকানা ম্যাপিং
Address mark,ঠিকানা চিহ্ন
Address modification,ঠিকানা পরিবর্তন
Address part,ঠিকানা অংশ
Address pointer,ঠিকানা পয়েন্টার
Address register,ঠিকানা রেজিস্টার
Address signal,ঠিকানা সংকেত
Address size,ঠিকানা আকার
Address space,ঠিকানা স্থান
Address space identifier,ঠিকানা স্পেস আইডেন্টিফায়ার
Address stop,ঠিকানা স্টপ
Address trace,ঠিকানা ট্রেস
Address track,ঠিকানা ট্র্যাক
Address translation,ঠিকানা অনুবাদ
Address translator,ঠিকানা অনুবাদক
Add-subtract time,বিয়োগের সময় যোগ করুন
Add time,সময় যোগ করুন
Adjacency,সংলগ্নতা
Adjacency structure,সংলগ্ন কাঠামো
Adjacent channel,সংলগ্ন চ্যানেল
Adjacent domain,সংলগ্ন ডোমেন
Adjacent matrix,সংলগ্ন ম্যাট্রিক্স
Adjacent node,সংলগ্ন নোড
Adjacent subarea,সংলগ্ন সুবেরিয়া
Adjoint (system),স্থগিত (সিস্টেম)
Adjust,সামঞ্জস্য করুন
Adjustable extent,সামঞ্জস্যযোগ্য মাত্রা
Adjust text mode,পাঠ্য মোড সামঞ্জস্য করুন
Administrative data processing,প্রশাসনিক ডেটা প্রসেসিং
Administrative operation,প্রশাসনিক অপারেশন
Administrative operator,প্রশাসনিক অপারেটর
Administrative operator station,প্রশাসনিক অপারেটর স্টেশন
Administrative support system,প্রশাসনিক সহায়তা সিস্টেম
Advanced communication service,উন্নত যোগাযোগ পরিষেবা
Advanced information system,উন্নত তথ্য সিস্টেম
Advanced optical character reader,উন্নত অপটিক্যাল চরিত্র পাঠক
Advanced scientific computer,উন্নত বৈজ্ঞানিক কম্পিউটার
Aerial,এরিয়াল
Aggregate,সমষ্টি
Aggregate expression,সামগ্রিক অভিব্যক্তি
Aiming circle,লক্ষ্য বৃত্ত
Aiming field (= aiming symbol),লক্ষ্য ক্ষেত্র (= লক্ষ্য প্রতীক)
Aiming symbol,লক্ষ্য প্রতীক
Airborne computer system,বায়ুবাহিত কম্পিউটার সিস্টেম
Algebraic eigenvalue problem,বীজগণিত ইগেনভ্যালু সমস্যা
"Algebraic
 Integration","বীজগণিত
 মিশ্রণ"
Algebraic language,বীজগণিত ভাষা
Algebraic manipulation,বীজগণিত হেরফের
Algebraic manipulation language,বীজগণিত ম্যানিপুলেশন ভাষা
Algebraic oriented language,বীজগণিতমুখী ভাষা
Algebraic shift,বীজগণিত শিফট
Algebraic sign convention,বীজগণিত সাইন কনভেনশন
Algol,অ্যালগল
Algol feature,অ্যালগল বৈশিষ্ট্য
Algol Programming,অ্যালগল প্রোগ্রামিং
Algorithm,অ্যালগরিদম
Algorithm associative language,অ্যালগরিদম সহযোগী ভাষা
Algorithm classification,অ্যালগরিদম শ্রেণিবিন্যাস
Algorithm complexity,অ্যালগরিদম জটিলতা
Algorithm computability,অ্যালগরিদম গণনাযোগ্যতা
Algorithmic analysis,অ্যালগরিদমিক বিশ্লেষণ
Algorithmic approach,অ্যালগরিদমিক পদ্ধতির
Algorithmic language,অ্যালগরিদমিক ভাষা
Algorithmic routine,অ্যালগরিদমিক রুটিন
Algorithmic theory,অ্যালগরিদমিক তত্ত্ব
Alias,ওরফে
Aliasing,এলিয়াসিং
Alias name (= alternative name),ওরফে নাম (= বিকল্প নাম)
Alignment,প্রান্তিককরণ
Allocate,বরাদ্দ
Allocation structure,বরাদ্দ কাঠামো
All-purpose computer,সমস্ত উদ্দেশ্যমূলক কম্পিউটার
Alphabetic character,বর্ণমালা চরিত্র
Alphabetic character set,বর্ণমালা চরিত্র সেট
Alphabetic character subset,বর্ণমালা চরিত্রের সাবসেট
Alphabetic code,বর্ণমালা কোড
Alphabetic shift,বর্ণমালা শিফট
Alphabetic string,বর্ণমালা স্ট্রিং
Alphabetic word,বর্ণমালা শব্দ
Alphabetization,বর্ণমালা
Alphageometrics,আলফেজোমেট্রিক্স
Alphameric,বর্ণমালা
Alphamosaic,আলফামোসাইক
Alphanumeric,বর্ণমালা
Alphanumerical keyboard device,আলফানুমারিকাল কীবোর্ড ডিভাইস
Alphanumeric character set,আলফানিউমেরিক চরিত্র সেট
Alphanumeric code,আলফানিউমেরিক কোড
Alphanumeric coded character set,আলফানিউমেরিক কোডেড চরিত্র সেট
Alphanumeric data,আলফানিউমেরিক ডেটা
Alphanumeric display device,আলফানিউমেরিক ডিসপ্লে ডিভাইস
Alphanumeric edited character,আলফানিউমেরিক সম্পাদিত চরিত্র
Alphanumeric field,আলফানিউমেরিক ফিল্ড
Alphanumeric instruction,বর্ণমালা নির্দেশ
Alphanumeric keyboard,আলফানিউমেরিক কীবোর্ড
Alphanumeric sort,আলফানিউমেরিক বাছাই
Alphanumeric storage,আলফানিউমেরিক স্টোরেজ
Alterable memory,পরিবর্তনযোগ্য মেমরি
Alteration switch,পরিবর্তন সুইচ
Altering,পরিবর্তন
Alter mode,পরিবর্তন মোড
Alternate recovery,বিকল্প পুনরুদ্ধার
Alternate route,বিকল্প রুট
Alternate routing,বিকল্প রাউটিং
Alternate track,বিকল্প ট্র্যাক
Alternation (= OR operation),বিকল্প (= বা অপারেশন)
Alternative attribute,বিকল্প বৈশিষ্ট্য
Alternative denial (= NOT-AND operation),বিকল্প অস্বীকার (= না-অপারেশন)
Ambiguity error,অস্পষ্টতা ত্রুটি
Ambiguous reference,অস্পষ্ট রেফারেন্স
Analog,অ্যানালগ
Analog adder,অ্যানালগ অ্যাডার
Analog channel,অ্যানালগ চ্যানেল
Analog computer,অ্যানালগ কম্পিউটার
Analog converter,অ্যানালগ রূপান্তরকারী
Analog data,অ্যানালগ ডেটা
Analog divider,অ্যানালগ বিভাজক
Analog facility terminal,অ্যানালগ সুবিধা টার্মিনাল
"Analog function
 Generator","অ্যানালগ ফাংশন
 জেনারেটর"
Analog integration,অ্যানালগ ইন্টিগ্রেশন
Analog multiplier,অ্যানালগ গুণক
Analog programming,অ্যানালগ প্রোগ্রামিং
Analog scaling,অ্যানালগ স্কেলিং
Analog signal,এনালগ সংকেত
Analog simulation,অ্যানালগ সিমুলেশন
Analog switch,অ্যানালগ সুইচ
Analog system,অ্যানালগ সিস্টেম
"Analog to digital
 Converter","ডিজিটাল অ্যানালগ
 রূপান্তরকারী"
"Analog to digital
 Encoder","ডিজিটাল অ্যানালগ
 এনকোডার"
Analog transmission,অ্যানালগ সংক্রমণ
Analog type,অ্যানালগ প্রকার
Analysis block,বিশ্লেষণ ব্লক
Analysis mode,বিশ্লেষণ মোড
Analytical engine,বিশ্লেষণাত্মক ইঞ্জিন
Ancestral task,পৈতৃক কাজ
Ancillary equipment,আনুষঙ্গিক সরঞ্জাম
AND,এবং
AND circuit,এবং সার্কিট
AND element,এবং উপাদান
AND gate,এবং গেট
AND masking,এবং মাস্কিং
AND NOT operation (=exclusion,এবং অপারেশন নয় (= বর্জন
AND operation,এবং অপারেশন
Annex memory,সংযুক্তি স্মৃতি
Annotation,টীকা
Annunciator,ঘোষণা
Answer back,উত্তর পাঠাও
Answer delay,উত্তর দেরি
Answering time,উত্তর সময়
Answer lamp,উত্তর প্রদীপ
Answer list,উত্তর তালিকা
Answer only,শুধুমাত্র উত্তর
Anticipation mode,প্রত্যাশা মোড
Anticipatory buffering,প্রত্যাশিত বাফারিং
Anticipatory carry,প্রত্যাশিত বহন
Anticipatory paging,প্রত্যাশিত পেজিং
Anticoincidence operation,অ্যান্টিকোয়েনসেন্স অপারেশন
Anticoincident element,অ্যান্টিকোইনসেন্টেন্ট উপাদান
Aperiodic antenna,অ্যাপেরিওডিক অ্যান্টেনা
Aperture card,অ্যাপারচার কার্ড
Aperture code,অ্যাপারচার কোড
Aperture time,অ্যাপারচার সময়
Appendage,সংযোজন
Appendage task,অ্যাপেন্ডেজ টাস্ক
Application developer,অ্যাপ্লিকেশন ডেভেলপার
Application layer,আবেদন স্তর
Application oriented language,অ্যাপ্লিকেশন ভিত্তিক ভাষা
Application package,অ্যাপ্লিকেশন প্যাকেজ
Application program,এপ্লিকেশন প্রোগ্রাম
Application programming,অ্যাপ্লিকেশন প্রোগ্রামিং
Application required language,অ্যাপ্লিকেশন প্রয়োজনীয় ভাষা
Application software,অ্যাপ্লিকেশন সফ্টওয়্যার
Applique,অ্যাপ্লিক
Approximation theory,আনুমানিক তত্ত্ব
Arbitrary access,স্বেচ্ছাসেবী অ্যাক্সেস
Arbitrary sequence computer,স্বেচ্ছাসেবী সিকোয়েন্স কম্পিউটার
Arbitration,সালিশ
Architecture,আর্কিটেকচার
Archiving,সংরক্ষণাগার
Area code,এরিয়া কোড
Area search,অঞ্চল অনুসন্ধান
Area transfer,অঞ্চল স্থানান্তর
Area variable,অঞ্চল পরিবর্তনশীল
Argument,যুক্তি
Argument address,যুক্তি ঠিকানা
Argument list,যুক্তি তালিকা
Arithmetical instruction,গাণিতিক নির্দেশ
Arithmetic and logic unit,গাণিতিক এবং যুক্তি ইউনিট
Arithmetic assignment statement,গাণিতিক অ্যাসাইনমেন্ট বিবৃতি
Arithmetic check,গাণিতিক চেক
Arithmetic constant,পাটিগণিত ধ্রুবক
Arithmetic conversion,গাণিতিক রূপান্তর
Arithmetic data,গাণিতিক ডেটা
Arithmetic exception,পাটিগণিত ব্যতিক্রম
Arithmetic expression,গাণিতিক অভিব্যক্তি
Arithmetic fixed point,গাণিতিক স্থির পয়েন্ট
Arithmetic hierarchy,পাটিগণিত শ্রেণিবিন্যাস
Arithmetic IF statement,বিবৃতি যদি গাণিতিক
Arithmetic logic,গাণিতিক যুক্তি
Arithmetic logic unit,গাণিতিক যুক্তি ইউনিট
Arithmetic operation,পাটিগণিত অপারেশন
Arithmetic operator,পাটিগণিত অপারেটর
Arithmetic overflow,পাটিগণিত ওভারফ্লো
Arithmetic picture data,গাণিতিক ছবির ডেটা
Arithmetic precedence,গাণিতিক অগ্রাধিকার
Arithmetic primary,গাণিতিক প্রাথমিক
Arithmetic register,গাণিতিক নিবন্ধ
Arithmetic relation,গাণিতিক সম্পর্ক
Arithmetic scan,গাণিতিক স্ক্যান
Arithmetic section,গাণিতিক বিভাগ
Arithmetic shift,গাণিতিক শিফট
Arithmetic shifting,গাণিতিক স্থানান্তর
Arithmetic statement,পাটিগণিত বিবৃতি
Arithmetic term,গাণিতিক শব্দ
Arithmetic underflow,পাটিগণিত আন্ডারফ্লো
Arithmetic unit,গাণিতিক ইউনিট
Array,অ্যারে
Array bound,অ্যারে বাউন্ড
Array computer,অ্যারে কম্পিউটার
Array dimension,অ্যারে মাত্রা
Array element,অ্যারে উপাদান
Array expression,অ্যারে এক্সপ্রেশন
Array name,অ্যারের নাম
Array of structures,কাঠামোর অ্যারে
Array printing,অ্যারে প্রিন্টিং
Array processing,অ্যারে প্রসেসিং
Array processor,অ্যারে প্রসেসর
Articulation point,বক্তৃতা পয়েন্ট
Artificial cognition,কৃত্রিম জ্ঞান
Artificial intelligence,কৃত্রিম বুদ্ধিমত্তা
Artificial language,কৃত্রিম ভাষা
Artificial variable,কৃত্রিম পরিবর্তনশীল
Arts application data bank,আর্টস অ্যাপ্লিকেশন ডেটা ব্যাংক
Arts application music,আর্টস অ্যাপ্লিকেশন সংগীত
Arts application pattern generation,আর্টস অ্যাপ্লিকেশন প্যাটার্ন জেনারেশন
Ascender,আরোহী
Ascending sort,আরোহী বাছাই
ASCIL,Ascil
ASCII control character,ASCII নিয়ন্ত্রণ চরিত্র
ASCII key board,ASCII কী বোর্ড
Aspect,দিক
Aspect and,দিক এবং
Assemble,একত্রিত করা
Assembled origin,একত্রিত উত্স
Assemble duration,সময়কাল একত্রিত করুন
Assembler,এসেম্বলার
Assembler directive,এসেম্বলার ডাইরেক্টিভ
Assembler facility,এসেম্বলার সুবিধা
Assembler language,এসেম্বলার ভাষা
Assembling,একত্রিত
Assembling phase,সমাবেশ পর্ব
Assembling time,সময় একত্রিত
Assembly,সমাবেশ
Assembly language,এসেম্বলি
Assembly language programming,অ্যাসেম্বলি ল্যাঙ্গুয়েজ প্রোগ্রামিং
Assembly language software flexibility,সমাবেশ ভাষা সফ্টওয়্যার নমনীয়তা
Assembly listing,সমাবেশ তালিকা
Assembly phase,সমাবেশ পর্ব
Assembly routine,সমাবেশ রুটিন
Assembly time,সমাবেশ সময়
Assembly unit,সমাবেশ ইউনিট
Assignment indexing,অ্যাসাইনমেন্ট ইনডেক্সিং
Assignment operation,অ্যাসাইনমেন্ট অপারেশন
Assignment statement,নিয়োগ বিবৃতি
Associative address,সহযোগী ঠিকানা
Associative array register,সহযোগী অ্যারে রেজিস্টার
Associative key,সহযোগী কী
Associative language,সহযোগী ভাষা
Associative memory,সহযোগী স্মৃতি
Associative storage,সহযোগী স্টোরেজ
Assumed decimal point,দশমিক বিন্দু ধরে নেওয়া
Asymmetric device,অসমমিত ডিভাইস
Asymmetric i/o,অসমমিত আই/ও
Asynchronous,অ্যাসিঙ্ক্রোনাস
Asynchronous computer,অ্যাসিঙ্ক্রোনাস কম্পিউটার
Asynchronous data transfer,অ্যাসিঙ্ক্রোনাস ডেটা ট্রান্সফার
Asynchronous data transmission,অ্যাসিঙ্ক্রোনাস ডেটা ট্রান্সমিশন
Asynchronous devices,অ্যাসিঙ্ক্রোনাস ডিভাইস
Asynchronous operation,অ্যাসিঙ্ক্রোনাস অপারেশন
Asynchronous signalling,অ্যাসিঙ্ক্রোনাস সিগন্যালিং
Asynchronous time division multiplexing,অ্যাসিঙ্ক্রোনাস সময় বিভাগ মাল্টিপ্লেক্সিং
Asynchronous transmission,অ্যাসিঙ্ক্রোনাস ট্রান্সমিশন
Asynchronous working,অ্যাসিঙ্ক্রোনাস ওয়ার্কিং
Attached processing,সংযুক্ত প্রক্রিয়াজাতকরণ
Attached processor,সংযুক্ত প্রসেসর
Attached support processor,সংযুক্ত সমর্থন প্রসেসর
Attended operation,অপারেশন উপস্থিত
Attended trail printer,ট্রেল প্রিন্টারে অংশ নিয়েছেন
Attention interruption,মনোযোগ বাধা
Attention key,মনোযোগ কী
Attenuation,মনোযোগ
Attenuation constant,অবিচ্ছিন্ন ধ্রুবক
Attenuation distortion,মনোযোগ বিকৃতি
Attenuation equalizer,মনোযোগ সমতুল্য
Attenuator,অ্যাটেনুয়েটর
Attribute,বৈশিষ্ট্য
Audible alarm,শ্রাবণ অ্যালার্ম
Audio cassette,অডিও ক্যাসেট
Audio enquiry,অডিও তদন্ত
Audio line,অডিও লাইন
Audio response,অডিও প্রতিক্রিয়া
Audio response message,অডিও প্রতিক্রিয়া বার্তা
Audio response unit,অডিও প্রতিক্রিয়া ইউনিট
Audiotape storage unit,অডিওটেপ স্টোরেজ ইউনিট
Audio telecommunication line,অডিও টেলিযোগাযোগ লাইন
Audio terminal,অডিও টার্মিনাল
Audit command language,অডিট কমান্ড ভাষা
Audit programming,অডিট প্রোগ্রামিং
Audit trail,নিরীক্ষা পথ
Augend,অগেন্ড
Augment,অগমেন্ট
Augmenter,অগমেন্টার
Author,লেখক
Authoring,অনুমোদন
Authoring system,অনুমোদন ব্যবস্থা
Authority,কর্তৃপক্ষ
Authorization code,অনুমোদন কোড
Authorized library,অনুমোদিত গ্রন্থাগার
Authorized program,অনুমোদিত প্রোগ্রাম
Authorized program facility,অনুমোদিত প্রোগ্রাম সুবিধা
Auto abstract,অটো অ্যাবস্ট্রাক্ট
Autoanswer,স্বয়ংক্রিয় উত্তর
Auto booting,অটো বুটিং
Auto bypass,অটো বাইপাস
Auto call (=automatic calling),অটো কল (= স্বয়ংক্রিয় কলিং)
Auto coder,অটো কোডার
Auto dial,স্বয়ংক্রিয় কল
Autoflow,অটোফ্লো
Auto index,অটো সূচক
Auto indexed addressing,অটো ইনডেক্সড অ্যাড্রেসিং
Automata,অটোমেটা
Automata theory,অটোমেটা তত্ত্ব
Automata type,অটোমেটা টাইপ
Automated bibliography,স্বয়ংক্রিয় গ্রন্থপঞ্জি
Automated data medium,স্বয়ংক্রিয় ডেটা মিডিয়াম
Automated dictionary,স্বয়ংক্রিয় অভিধান
Automated glossary,স্বয়ংক্রিয় শব্দকোষ
Automated logic diagram,স্বয়ংক্রিয় লজিক ডায়াগ্রাম
Automated management,স্বয়ংক্রিয় ব্যবস্থাপনা
Automated production management,স্বয়ংক্রিয় উত্পাদন ব্যবস্থাপনা
Automated stock control,স্বয়ংক্রিয় স্টক নিয়ন্ত্রণ
Automatic abstract,স্বয়ংক্রিয় বিমূর্ত
Automatic abstracting,স্বয়ংক্রিয় বিমূর্ততা
Automatically programmed tools,স্বয়ংক্রিয়ভাবে প্রোগ্রাম করা সরঞ্জাম
Automatic answering,স্বয়ংক্রিয় উত্তর
Automatic call distributor,স্বয়ংক্রিয় কল বিতরণকারী
Automatic calling,স্বয়ংক্রিয় কলিং
Automatic check,স্বয়ংক্রিয় চেক
Automatic coding,স্বয়ংক্রিয় কোডিং
Automatic computing,স্বয়ংক্রিয় কম্পিউটিং
Automatic computing engine,স্বয়ংক্রিয় কম্পিউটিং ইঞ্জিন
Automatic constant,স্বয়ংক্রিয় ধ্রুবক
Automatic control engineering,স্বয়ংক্রিয় নিয়ন্ত্রণ ইঞ্জিনিয়ারিং
Automatic data processing,স্বয়ংক্রিয় ডেটা প্রসেসিং
Automatic data processing system,স্বয়ংক্রিয় ডেটা প্রসেসিং সিস্টেম
Automatic decimal alignment,স্বয়ংক্রিয় দশমিক প্রান্তিককরণ
Automatic dialing unit,স্বয়ংক্রিয় ডায়ালিং ইউনিট
Automatic dictionary,স্বয়ংক্রিয় অভিধান
Automatic equalization,স্বয়ংক্রিয় সমতা
Automatic error correction,স্বয়ংক্রিয় ত্রুটি সংশোধন
Automatic feed punch,স্বয়ংক্রিয় ফিড পাঞ্চ
Automatic function,স্বয়ংক্রিয় ফাংশন
Automatic indexing,স্বয়ংক্রিয় সূচক
Automatic library call,স্বয়ংক্রিয় গ্রন্থাগার কল
Automatic message accounting,স্বয়ংক্রিয় বার্তা অ্যাকাউন্টিং
Automatic number identification,স্বয়ংক্রিয় সংখ্যা সনাক্তকরণ
Automatic pagination,স্বয়ংক্রিয় পৃষ্ঠা
Automatic programming,স্বয়ংক্রিয় প্রোগ্রামিং
Automatic punch,স্বয়ংক্রিয় পাঞ্চ
Automatic recovery program,স্বয়ংক্রিয় পুনরুদ্ধার প্রোগ্রাম
Automatic repeat request,স্বয়ংক্রিয় পুনরাবৃত্তি অনুরোধ
Automatic restart,স্বয়ংক্রিয় পুনঃসূচনা
Automatic routine,স্বয়ংক্রিয় রুটিন
Automatic sequencing,স্বয়ংক্রিয় সিকোয়েন্সিং
Automatic sequential operation,স্বয়ংক্রিয় ক্রমিক অপারেশন
Automatic stop,স্বয়ংক্রিয় স্টপ
Automatic variable,স্বয়ংক্রিয় পরিবর্তনশীল
Automatic volume recognition,স্বয়ংক্রিয় ভলিউম স্বীকৃতি
Automatic volume switching,স্বয়ংক্রিয় ভলিউম স্যুইচিং
Automation,অটোমেশন
Automation concept,অটোমেশন ধারণা
Automatisation,স্বয়ংক্রিয়করণ
Automaton,অটোমেটন
Automatic message routing,স্বয়ংক্রিয় বার্তা রাউটিং
Automoniter,অটোমোনিটার
Automoniter routine,অটোমোনিটার রুটিন
Autonomous channel operation,স্বায়ত্তশাসিত চ্যানেল অপারেশন
Autonomous working,স্বায়ত্তশাসিত কাজ
Autoplotter,অটোপ্লোটার
Auxiliary console,সহায়ক কনসোল
Auxiliary equipment,সহায়ক সরঞ্জাম
Auxiliary memory,সহায়ক স্মৃতি
Auxiliary operation,সহায়ক অপারেশন
Auxiliary routine,সহায়ক রুটিন
Auxiliary storage,সহায়ক স্টোরেজ
Auxiliary store,সহায়ক স্টোর
Availability,উপস্থিতি
Available machine time,উপলভ্য মেশিন সময়
Available point,উপলভ্য পয়েন্ট
Available space list,উপলভ্য স্থান তালিকা
Available time,উপলব্ধ সময়
Available access time,উপলব্ধ অ্যাক্সেস সময়
Average conditional information,গড় শর্তাধীন তথ্য
Average edge time,গড় প্রান্ত সময়
Average information content,গড় তথ্য সামগ্রী
Average information rate,গড় তথ্য হার
Average transinformation content,গড় ট্রান্সিনফর্মেশন সামগ্রী
Average transinformation rate,গড় ট্রান্সিনফর্মেশন হার
"Background display image (= static display
 Image)","পটভূমি প্রদর্শন চিত্র (= স্ট্যাটিক ডিসপ্লে
 চিত্র)"
Backgrounding (= background processing),ব্যাকগ্রাউন্ডিং (= ব্যাকগ্রাউন্ড প্রসেসিং)
Background job,পটভূমি কাজ
Background noise,পিছনের শব্দ
Background printing,পটভূমি মুদ্রণ
Background processing,পটভূমি প্রক্রিয়াকরণ
Background program,পটভূমি প্রোগ্রাম
Background reader,পটভূমি পাঠক
Background region,পটভূমি অঞ্চল
"Backing storage (= auxiliary
 Storage)","ব্যাক স্টোরেজ (= সহায়ক
 স্টোরেজ)"
Backing store,ব্যাকিং স্টোর
Back plane,পিছনে বিমান
Backspace,ব্যাকস্পেস
Backspace character,ব্যাকস্পেস চরিত্র
Backspacing,ব্যাকস্পেসিং
Backtracking,ব্যাকট্র্যাকিং
Backtracking structured programming,ব্যাকট্র্যাকিং স্ট্রাকচার্ড প্রোগ্রামিং
Backup,ব্যাকআপ
Backup copy,ব্যাকআপ অনুলিপি
Backup file,ব্যাকআপ ফাইল
Backup memory,ব্যাকআপ মেমরি
Backup programmer,ব্যাকআপ প্রোগ্রামার
Backup store,ব্যাকআপ স্টোর
Backward channel,পশ্চাদপদ চ্যানেল
Backward error analysis,পশ্চাদপদ ত্রুটি বিশ্লেষণ
Backward file recovery,পিছনে ফাইল পুনরুদ্ধার
Backward recovery,পশ্চাদপদ পুনরুদ্ধার
Backward supervision,পশ্চাদপদ তদারকি
