Punjabi,Kannada
ਏ-ਬੀ ਸ਼ਕਤੀ ਪਿਟਕ,ಎ-ಬಿ ಶಕ್ತಿ ಪಿಟಕ
abc = ਅਲਾਈਨਮੈਂਟ ਚਾਰਟ = ਨਾਮੋਗ੍ਰਾਫ,abc = ಜೋಡಣೆ ಚಾರ್ಟ್ = ನೊಮೊಗ್ರಾಫ್
ਅਬੇ ਨੰਬਰ (ਆਬੇ ਸਥਿਰ),ಅಬೆ ಸಂಖ್ಯೆ (ಅಬೆ ಸ್ಥಿರ)
abe refractometer,ಅಬೆ ವಕ್ರೀಕಾರಕ
ਅਬੇ ਸਾਈਨ ਸਟੇਟ,ಅಬೆ ಸೈನ್ ರಾಜ್ಯ
ਆਟੋਮੈਟਿਕ ਪੱਖਪਾਤ ਮੁਆਵਜ਼ਾ,ಸ್ವಯಂಚಾಲಿತ ಪಕ್ಷಪಾತ ಪರಿಹಾರ
abcoulom,abcoulom
ਵਿਗਾੜ,"ವಿಪಥನ, ವಿಪಥನ"
ਵਿਗਾੜ ਠੀਕ ਕਰਨ ਵਾਲਾ ਲੈਂਸ,ವಿಪಥನ ಸರಿಪಡಿಸುವ ಮಸೂರ
ਅਸਮਾਨ ਵਿਕਾਰ,ಆಕಾಶ ವಿಪಥನ
abfarad,abfarad
ਈਬੇਨਰੀ,ಎಬೆನ್ರಿ
ਈਬੋਨੀ ਪ੍ਰਭਾਵ,ಎಬೊನಿ ಎಫೆಕ್ಟ್
ਅਸਧਾਰਨ ਧਰੁਵੀਕਰਨ,ಅಸಹಜ ಧ್ರುವೀಕರಣ
ਅਸਧਾਰਨ ਸੰਚਾਰ,ಅಸಹಜ ಪ್ರಸರಣ
ਅਲੌਕਿਕ ਪ੍ਰਤੀਬਿੰਬ,ಅಧಿಸಾಮಾನ್ಯ ಪ್ರತಿಬಿಂಬ
ਅਸਧਾਰਨ ਅਪਵਰਤਨ*,ಅಸಹಜ ವಕ್ರೀಭವನ*
ਅਲੌਕਿਕ ਵਿਰੋਧ,ಅಧಿಸಾಮಾನ್ಯ ಪ್ರತಿರೋಧ
ab-om,ab-om
"ਪ੍ਰਬਲਤਾ, ਅਸਫਲਤਾ","ಪ್ರಾಧಾನ್ಯತೆ, ವೈಫಲ್ಯ"
"ਜੁੜੇ ਹੋਏ, ਆਮ ਤੌਰ &#39;ਤੇ, ਖੜ੍ਹੇ, ਕੱਟੇ ਹੋਏ, ਖੰਡਿਤ","ಲಗತ್ತಿಸಲಾಗಿದೆ, ಸಾಮಾನ್ಯವಾಗಿ, ನಿಂತಿರುವ, ಕತ್ತರಿಸಿದ, ವಿಭಜಿತ"
ਅਕਸਰ ਛਾਲ ਮਾਰਦਾ ਹੈ,ಆಗಾಗ್ಗೆ ಜಿಗಿತಗಳು
ਹੱਥ*,ಕೈ*
ਗੁੰਮ ਪ੍ਰਤੀਬਿੰਬ,ಕಳೆದುಹೋದ ಪ್ರತಿಬಿಂಬ
ਗੁੰਮ ਸਪੈਕਟ੍ਰਮ,ಸ್ಪೆಕ್ಟ್ರಮ್ ಕಾಣೆಯಾಗಿದೆ
"ਪੂਰਨ, ਸੰਪੂਰਨ, ਨਿਰੰਤਰ, ਸੰਪੂਰਨ","ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ನಿರಂತರ, ಪರಿಪೂರ್ಣ"
ਪੂਰਨ ਪ੍ਰਵੇਗ,ಸಂಪೂರ್ಣ ವೇಗವರ್ಧನೆ
ਪੂਰਨ ਅਸਲੀਅਤ,ಸಂಪೂರ್ಣ ವಾಸ್ತವ
ਪੂਰਾ ਪਤਾ,ಸಂಪೂರ್ಣ ವಿಳಾಸ
ਭੂ-ਸੰਬੰਧੀ ਉਚਾਈ ਮੀਟਰ,ಜಿಯೋರೆಲೇಟಿವ್ ಅಲ್ಟಿಮೀಟರ್
ਭੂ-ਵਿਗਿਆਨਕ ਉਚਾਈ,ಭೂವೈಜ್ಞಾನಿಕ ಎತ್ತರ
ਪੂਰਨ ਐਂਪੀਅਰ,ಸಂಪೂರ್ಣ ಆಂಪಿಯರ್
ਪੂਰਨ ਉਬਾਲ ਬਿੰਦੂ,ಸಂಪೂರ್ಣ ಕುದಿಯುವ ಬಿಂದು
ਪੂਰਨ ਪ੍ਰਕਾਸ਼,ಸಂಪೂರ್ಣ ಪ್ರಕಾಶಮಾನತೆ
ਪੂਰਨ ਸਮਰੱਥਾ,ಸಂಪೂರ್ಣ ಸಾಮರ್ಥ್ಯ
ਪੂਰਨ ਉਚਾਈ,ಸಂಪೂರ್ಣ ಎತ್ತರ
ਪੂਰਨ ਰੰਗ,ಸಂಪೂರ್ಣ ವರ್ಣದ್ರವ್ಯ
"ਪੂਰਨ ਸੰਰਚਨਾ, ਅਸਪਸ਼ਟ ਸੰਰਚਨਾ","ಸಂಪೂರ್ಣ ಸಂರಚನೆ, ನಿಸ್ಸಂದಿಗ್ಧವಾದ ಸಂರಚನೆ"
ਪੂਰਨ ਕੂਲੰਬ,ಸಂಪೂರ್ಣ ಕೂಲಂಬ್
ਪੂਰਾ ਹਨੇਰਾ,ಸಂಪೂರ್ಣ ಕತ್ತಲೆ
ਪੂਰਨ ਸਮਾਂ-ਸਾਰਣੀ,ಸಂಪೂರ್ಣ ವೇಳಾಪಟ್ಟಿ
ਸੰਪੂਰਨ ਘਣਤਾ*,ಸಂಪೂರ್ಣ ಸಾಂದ್ರತೆ*
ਪੂਰਨ ਡਰੇਨੇਜ,ಸಂಪೂರ್ಣ ಒಳಚರಂಡಿ
ਸੰਪੂਰਨ EMU (ਇਲੈਕਟਰੋਮੈਗਨੈਟਿਕ ਯੂਨਿਟ),ಸಂಪೂರ್ಣ EMU (ವಿದ್ಯುತ್ಕಾಂತೀಯ ಘಟಕ)
ਸੰਪੂਰਨ ESU (ਸਥਿਰ ਇਕਾਈ),ಸಂಪೂರ್ಣ ESU (ಸ್ಥಾಯಿ ವಿದ್ಯುತ್ ಘಟಕ)
ਪੂਰਨ ਕੁਸ਼ਲਤਾ,ಸಂಪೂರ್ಣ ದಕ್ಷತೆ
ਪੂਰਨ ਇਲੈਕਟ੍ਰੋਮੀਟਰ,ಸಂಪೂರ್ಣ ಎಲೆಕ್ಟ್ರೋಮೀಟರ್
ਸੰਪੂਰਨ ਬਾਰੰਬਾਰਤਾ ਸੰਪੂਰਨ ਬਾਰੰਬਾਰਤਾ,ಸಂಪೂರ್ಣ ಆವರ್ತನ ಸಂಪೂರ್ಣ ಆವರ್ತನ
ਪੂਰਨ ਨਮੀ,ಸಂಪೂರ್ಣ ಆರ್ದ್ರತೆ
ਸੰਪੂਰਨ ਘਟਨਾ,ಸಂಪೂರ್ಣ ಘಟನೆ
ਪੂਰਨ ਪ੍ਰਤੀਕ੍ਰਿਆਤਮਕ ਸੂਚਕਾਂਕ,ಸಂಪೂರ್ಣ ವಕ್ರೀಕಾರಕ ಸೂಚ್ಯಂಕ
ਪੂਰਨ ਅਸਥਿਰਤਾ,ಸಂಪೂರ್ಣ ಅಸ್ಥಿರತೆ
ਪੂਰਨ ਅਸਥਿਰਤਾ,ಸಂಪೂರ್ಣ ಅಸ್ಥಿರತೆ
"ਪੂਰਨ ਤੀਬਰਤਾ, ਸੰਪੂਰਨ ਤੀਬਰਤਾ","ಸಂಪೂರ್ಣ ತೀವ್ರತೆ, ಸಂಪೂರ್ಣ ತೀವ್ರತೆ"
ਅਸਥਨੀਆ ਦੀ ਪੂਰਨ ਸੀਮਾ,ಅಸ್ತೇನಿಯಾದ ಸಂಪೂರ್ಣ ಮಿತಿ
ਪੂਰਨ ਰੋਸ਼ਨੀ ਸਿਲ,ಸಂಪೂರ್ಣ ಪ್ರಕಾಶದ ಸಿಲ್
ਪੂਰਨ ਰੌਸ਼ਨੀ ਵਕਰ,ಸಂಪೂರ್ಣ ಬೆಳಕಿನ ಕರ್ವ್
ਪੂਰਨ ਵਿਸ਼ਾਲਤਾ,ಸಂಪೂರ್ಣ ಪ್ರಮಾಣ
ਪੂਰਨ ਬੈਰੋਮੀਟਰ,ಸಂಪೂರ್ಣ ಮಾಪಕ
ਪਰਮ ਸਰਵਉੱਚ,ಸರ್ವೋಚ್ಚ ಸರ್ವೋಚ್ಚ
ਪੂਰਨ ਅਤਿ,ಸಂಪೂರ್ಣ ವಿಪರೀತ
ਸਭ ਤੋਂ ਘੱਟ,ಸಂಪೂರ್ಣ ಕಡಿಮೆ
ਪੂਰਨ ਗਤੀ,ಸಂಪೂರ್ಣ ಆವೇಗ
ਪੂਰਨ ਗਤੀ,ಸಂಪೂರ್ಣ ವೇಗ
ਪੂਰਨ ਸੰਗੀਤ,ಸಂಪೂರ್ಣ ಸಂಗೀತ
ਪੂਰਨ ਨਿਰੀਖਣ,ಸಂಪೂರ್ಣ ವೀಕ್ಷಣೆ
ਪੂਰਨ ਓਮ,ಸಂಪೂರ್ಣ ಓಂ
ਪੂਰਨ ਸਥਿਤੀ,ಸಂಪೂರ್ಣ ದೃಷ್ಟಿಕೋನ
ਪੂਰਨ ਇਲੈਕਟ੍ਰੋਨੈਗੇਟਿਵਿਟੀ,ಸಂಪೂರ್ಣ ಎಲೆಕ್ಟ್ರೋನೆಜಿಟಿವಿಟಿ
ਪੂਰਨ ਗੰਭੀਰਤਾ,ಸಂಪೂರ್ಣ ಗುರುತ್ವಾಕರ್ಷಣೆ
ਪੂਰਨ ਦਬਾਅ,ಸಂಪೂರ್ಣ ಒತ್ತಡ
ਪੂਰਨ ਸੰਪਤੀ,ಸಂಪೂರ್ಣ ಆಸ್ತಿ
ਪੂਰਨ ਸਕੇਲਰ,ಸಂಪೂರ್ಣ ಸ್ಕೇಲಾರ್
ਤਾਪਮਾਨ ਦਾ ਪੂਰਨ ਪੈਮਾਨਾ*,ತಾಪಮಾನದ ಸಂಪೂರ್ಣ ಪ್ರಮಾಣ*
"ਸੰਪੂਰਨ ਸਮਕਾਲੀ, ਸੰਪੂਰਨ ਸਮਕਾਲੀ","ಸಂಪೂರ್ಣ ಸಿಂಕ್ರೊನಿ, ಸಂಪೂರ್ಣ ಸಿಂಕ್ರೊನಿ"
ਪੂਰਨ ਤਣਾਅ,ಸಂಪೂರ್ಣ ಒತ್ತಡ
ਪੂਰਨ ਸਮਰੂਪਤਾ,ಸಂಪೂರ್ಣ ಸಮ್ಮಿತಿ
ਪੂਰਨ ਗਤੀ ਸਰੀਰ,ಸಂಪೂರ್ಣ ಚಲನೆಯ ದೇಹ
ਪੂਰਨ ਯੂਨਿਟ ਸਿਸਟਮ,ಸಂಪೂರ್ಣ ಘಟಕ ವ್ಯವಸ್ಥೆ
ਪੂਰਨ ਤਾਪਮਾਨ,ಸಂಪೂರ್ಣ ತಾಪಮಾನ
ਪੂਰਾ ਸਮਾਂ,ಸಂಪೂರ್ಣ ಸಮಯ
ਪੂਰਨ ਇਕਾਈਆਂ,ಸಂಪೂರ್ಣ ಘಟಕಗಳು
ਸਹੀ ਮੁੱਲ,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
ਪੂਰਨ ਅੰਕ ਕੈਲਕੁਲੇਟਰ,ಪೂರ್ಣಾಂಕ ಕ್ಯಾಲ್ಕುಲೇಟರ್
ਪੂਰਨ ਗਤੀ,ಸಂಪೂರ್ಣ ವೇಗ
ਪੂਰਨ ਲੇਸ,ಸಂಪೂರ್ಣ ಸ್ನಿಗ್ಧತೆ
ਪੂਰਨ ਭਾਰ,ಸಂಪೂರ್ಣ ತೂಕ
ਪੂਰਨ ਜ਼ੀਰੋ*,ಸಂಪೂರ್ಣ ಶೂನ್ಯ*
ਜ਼ੀਰੋ ਦਾ ਪੂਰਨ ਭਾਜਕ,ಶೂನ್ಯದ ಸಂಪೂರ್ಣ ಭಾಜಕ
ਸੋਖਣਾ,ಹೀರಿಕೊಳ್ಳುತ್ತವೆ
ਸ਼ੋਸ਼ਣ ਸੂਚਕਾਂਕ*,ಹೀರಿಕೊಳ್ಳುವ ಸೂಚ್ಯಂಕ*
ਲੀਨ ਊਰਜਾ,ಹೀರಿಕೊಳ್ಳಲ್ಪಟ್ಟ ಶಕ್ತಿ
"ਸੋਖਣ ਵਾਲਾ, ਸੋਖਣ ਵਾਲਾ","ಹೀರಿಕೊಳ್ಳುವ, ಹೀರಿಕೊಳ್ಳುವ"
ਸੋਖਣ ਵਾਲਾ ਮਾਧਿਅਮ*,ಹೀರಿಕೊಳ್ಳುವ ಮಾಧ್ಯಮ*
ਸਮਾਈ ਸਮਰੱਥਾ,ಹೀರಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ
ਸਮਾਈ,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
ਸ਼ੋਸ਼ਣ ਮੀਟਰ*,ಹೀರಿಕೊಳ್ಳುವ ಮಾಪಕ*
ਸੋਖਣ ਗਣਿਤ*,ಅಬ್ಸಾರ್ಪ್ಟಿಯೋಮೆಟ್ರಿ*
ਸਮਾਈ,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
ਸਮਾਈ - ਬੈਂਡ*,ಹೀರಿಕೊಳ್ಳುವಿಕೆ - ಬ್ಯಾಂಡ್*
ਸਮਾਈ ਸਰਕਟ,ಹೀರಿಕೊಳ್ಳುವ ಸರ್ಕ್ಯೂಟ್
ਸਮਾਈ ਗੁਣਾਂਕ,ಹೀರಿಕೊಳ್ಳುವ ಗುಣಾಂಕ
ਸਮਾਈ ਕਾਲਮ,ಹೀರಿಕೊಳ್ಳುವ ಕಾಲಮ್
ਸਮਾਈ ਸਥਿਰ,ಹೀರುವಿಕೆ ಸ್ಥಿರ
ਸਮਾਈ ਨਿਰੰਤਰਤਾ,ಹೀರಿಕೊಳ್ಳುವ ನಿರಂತರತೆ
ਸਮਾਈ ਜ਼ੋਨ,ಹೀರಿಕೊಳ್ಳುವ ವಲಯ
ਸਮਾਈ ਮੌਜੂਦਾ,ಹೀರಿಕೊಳ್ಳುವ ಪ್ರಸ್ತುತ
ਸਮਾਈ ਕਰਵ*,ಹೀರಿಕೊಳ್ಳುವ ವಕ್ರರೇಖೆ*
ਸਮਾਈ ਫ੍ਰੈਕਚਰ,ಹೀರಿಕೊಳ್ಳುವ ಮುರಿತ
ਸਮਾਈ ਕੋਰ,ಹೀರಿಕೊಳ್ಳುವ ಕೋರ್
ਸਮਾਈ ਕਾਰਕ,ಹೀರಿಕೊಳ್ಳುವ ಅಂಶ
ਸਮਾਈ ਫਿਲਟਰ,ಹೀರಿಕೊಳ್ಳುವ ಫಿಲ್ಟರ್
ਸੋਖਣ ਫਲੇਮ ਫੋਟੋਮੈਟਰੀ*,ಹೀರಿಕೊಳ್ಳುವ ಜ್ವಾಲೆಯ ಫೋಟೊಮೆಟ್ರಿ*
ਸਮਾਈ ਹਾਈਗਰੋਮੀਟਰ,ಹೀರಿಕೊಳ್ಳುವ ಹೈಗ್ರೋಮೀಟರ್
ਸਮਾਈ ਘਾਤਕ,ಹೀರಿಕೊಳ್ಳುವ ಘಾತ
ਸਮਾਈ ਮਾਮੂਲੀ,ಹೀರಿಕೊಳ್ಳುವಿಕೆ ಕನಿಷ್ಠ
ਸਮਾਈ ਲਾਈਨ,ಹೀರಿಕೊಳ್ಳುವ ರೇಖೆ
ਸਮਾਈ ਨੁਕਸਾਨ,ಹೀರಿಕೊಳ್ಳುವ ನಷ್ಟ
ਸਮਾਈ ਮੋਡੂਲੇਸ਼ਨ,ಹೀರಿಕೊಳ್ಳುವ ಮಾಡ್ಯುಲೇಶನ್
ਰੋਸ਼ਨੀ ਸਮਾਈ,ಬೆಳಕಿನ ಹೀರಿಕೊಳ್ಳುವಿಕೆ
ਰੇਡੀਏਸ਼ਨ ਊਰਜਾ ਦੀ ਸਮਾਈ,ವಿಕಿರಣ ಶಕ್ತಿಯ ಹೀರಿಕೊಳ್ಳುವಿಕೆ
ਸਮਾਈ ਸਿਖਰ,ಹೀರಿಕೊಳ್ಳುವ ಗರಿಷ್ಠ
ਸਮਾਈ ਫੋਟੋਮੈਟਰੀ,ಹೀರಿಕೊಳ್ಳುವ ದ್ಯುತಿಮಾಪನ
ਸਮਾਈ ਅਨੁਪਾਤ,ಹೀರಿಕೊಳ್ಳುವ ಅನುಪಾತ
ਸਮਾਈ ਸੀਮਾ*,ಹೀರಿಕೊಳ್ಳುವ ಶ್ರೇಣಿ*
ਸ਼ੋਸ਼ਣ ਸਪੈਕਟ੍ਰਮ ਫੋਟੋਮੈਟਰੀ*,ಹೀರಿಕೊಳ್ಳುವ ಸ್ಪೆಕ್ಟ್ರಮ್ ಫೋಟೋಮೆಟ್ರಿ*
ਸਮਾਈ ਸਪੈਕਟ੍ਰਮ*,ಹೀರಿಕೊಳ್ಳುವ ವರ್ಣಪಟಲ*
"ਸਮਾਈ ਟਿਊਬ, ਸਮਾਈ ਟਿਊਬ","ಹೀರಿಕೊಳ್ಳುವ ಕೊಳವೆ, ಹೀರಿಕೊಳ್ಳುವ ಕೊಳವೆ"
ਸਮਾਈ ਹਾਈਗਰੋਮੀਟਰ,ಹೀರಿಕೊಳ್ಳುವ ಹೈಗ್ರೋಮೀಟರ್
ਸੋਖਣ ਵਾਲਾ*,ಹೀರಿಕೊಳ್ಳುವ*
ਜਜ਼ਬ ਕਰਨ ਵਾਲਾ evaporator,ಹೀರಿಕೊಳ್ಳುವ ಬಾಷ್ಪೀಕರಣ
ਸਮਾਈ ਕਾਨੂੰਨ*,ಹೀರಿಕೊಳ್ಳುವ ಕಾನೂನು*
ਸਮਾਈ ਮਾਧਿਅਮ,ಹೀರಿಕೊಳ್ಳುವ ಮಾಧ್ಯಮ
"ਸੋਖਣ ਦੀ ਸਮਰੱਥਾ, ਸਮਾਈ*","ಹೀರಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ, ಹೀರಿಕೊಳ್ಳುವಿಕೆ*"
ਸਮਾਈ*,ಹೀರಿಕೊಳ್ಳುವಿಕೆ*
ਸਟੂਡੀਓ ਸਜਾਵਟ,ಸ್ಟುಡಿಯೋ ಅಲಂಕಾರ
ਗੁਣਾ ਅਨੁਪਾਤ,ಬಹುಸಂಖ್ಯೆಯ ಅನುಪಾತ
ਰੱਦ ਕਰਨਾ,abvolt
ਬਾਰੇ,ಸುಮಾರು
ਤੇਜ਼ ਕਰੋ,ವೇಗವನ್ನು
ਪ੍ਰਵੇਗ-ਸਟਾਪ ਦੂਰੀ,ವೇಗವರ್ಧನೆ-ನಿಲುಗಡೆ ಅಂತರ
ਜਲਦੀ,ಆತುರಪಟ್ಟರು
ਤੇਜ਼ ਸਮਾਂ ਪ੍ਰਭਾਵ ਟੈਸਟ,ತ್ವರಿತ ಸಮಯದ ಪರಿಣಾಮ ಪರೀಕ್ಷೆ
ਤੇਜ਼ ਵਹਾਅ,ತ್ವರಿತ ಹರಿವು
ਤੇਜ਼ ਰਫ਼ਤਾਰ,ತ್ವರಿತ ಗತಿ
ਤੇਜ਼ ਸਰੀਰ,ತ್ವರಿತ ದೇಹ
ਐਕਸਲੇਟਰ ਤੋਲਣ ਵਾਲਾ,ವೇಗವರ್ಧಕ ತೂಕ
ਐਕਸਲੇਟਰ ਇਲੈਕਟ੍ਰੋਡ*,ವೇಗವರ್ಧಕ ವಿದ್ಯುದ್ವಾರ*
ਐਕਸਲੇਟਰ ਸਮਾਂ*,ವೇಗವರ್ಧಕ ಸಮಯ*
ਐਕਸਲੇਟਰ ਪੜਾਅ,ವೇಗವರ್ಧಕ ಹಂತ
ਐਕਸਲੇਟਰ ਦਰ,ವೇಗವರ್ಧಕ ದರ
ਐਕਸਲੇਟਰ ਵੋਲਟੇਜ*,ವೇಗವರ್ಧಕ ವೋಲ್ಟೇಜ್*
ਪ੍ਰਵੇਗ,ವೇಗವರ್ಧನೆ
ਤੇਜ਼ ਬਲਨ,ವೇಗವರ್ಧಿತ ದಹನ
ਪ੍ਰਵੇਗ ਗੁਣਾਂਕ,ವೇಗವರ್ಧಕ ಗುಣಾಂಕ
ਪ੍ਰਵੇਗ ਭਾਗ,ವೇಗವರ್ಧಕ ಘಟಕ
ਗੰਭੀਰਤਾ ਦੇ ਕਾਰਨ ਪ੍ਰਵੇਗ,ಗುರುತ್ವಾಕರ್ಷಣೆಯಿಂದಾಗಿ ವೇಗವರ್ಧನೆ
ਪ੍ਰਵੇਗ ਕਾਰਕ,ವೇಗವರ್ಧಕ ಅಂಶ
ਪ੍ਰਵੇਗਿਤ ਚਾਰਜ,ವೇಗವರ್ಧಿತ ಚಾರ್ಜ್
ਗੰਭੀਰਤਾ ਦਾ ਪ੍ਰਵੇਗ,ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ
ਪ੍ਰਵੇਗ ਸੰਭਾਵਨਾ,ವೇಗವರ್ಧಕ ಸಾಮರ್ಥ್ಯ
ਪ੍ਰਵੇਗ ਕਾਨੂੰਨ,ವೇಗವರ್ಧಕ ಕಾನೂನು
ਪ੍ਰਵੇਗ ਪ੍ਰਕਿਰਿਆ,ವೇಗವರ್ಧಕ ಪ್ರಕ್ರಿಯೆ
ਪ੍ਰਵੇਗ ਜ਼ੋਨ,ವೇಗವರ್ಧಕ ವಲಯ
ਪ੍ਰਵੇਗ ਵਿਧੀ,ವೇಗವರ್ಧಕ ವಿಧಾನ
"ਪ੍ਰਵੇਗ ਸਹਿਣਸ਼ੀਲਤਾ, ਪ੍ਰਵੇਗ ਸਹਿਣਸ਼ੀਲਤਾ","ವೇಗವರ್ಧಕ ಸಹಿಷ್ಣುತೆ, ವೇಗವರ್ಧನೆ ಸಹಿಷ್ಣುತೆ"
ਪ੍ਰਵੇਗ ਵੈਕਟਰ,ವೇಗವರ್ಧಕ ವೆಕ್ಟರ್
ਪ੍ਰਵੇਗ-ਵੋਲਟੇਜ,ವೇಗವರ್ಧನೆ-ವೋಲ್ಟೇಜ್
ਪ੍ਰਵੇਗ ਲਹਿਰ,ವೇಗವರ್ಧಕ ತರಂಗ
ਐਕਸਲੇਟਰ,ವೇಗವರ್ಧಕ
"ਪ੍ਰਵੇਗ, ਪ੍ਰਵੇਗਕ *","ವೇಗಗೊಳಿಸು, ವೇಗವರ್ಧಕ*"
ਐਕਸਲੇਟਰ ਸਮੀਕਰਨ,ವೇಗವರ್ಧಕ ಸಮೀಕರಣ
ਐਕਸਲੇਟਰ*,ವೇಗವರ್ಧಕ*
ਐਕਸਲੇਰੋਮੀਟਰ,ವೇಗವರ್ಧಕ
ਐਕਸਲੇਰੋਮੀਟਰ ਮੇਲ ਖਾਂਦਾ ਹੈ,ವೇಗವರ್ಧಕ ಹೊಂದಾಣಿಕೆ
prestresser,ಪ್ರಿಸ್ಟ್ರೆಸರ್
ਵੈਧ ਅੱਖਰ,ಮಾನ್ಯ ಅಕ್ಷರಗಳು
ਸਵੀਕ੍ਰਿਤੀ ਕੋਣ,ಸ್ವೀಕಾರ ಕೋನ
ਸਵੀਕ੍ਰਿਤੀ ਨਿਰਧਾਰਨ,ಸ್ವೀಕಾರ ವಿವರಣೆ
ਸਵੀਕਾਰਯੋਗ ਟੈਸਟ,ಸ್ವೀಕಾರಾರ್ಹ ಪರೀಕ್ಷೆ
"ਸਵੀਕਾਰ ਕਰਨ ਵਾਲਾ*, ਸਵੀਕਾਰ ਕਰਨ ਵਾਲਾ","ಸ್ವೀಕರಿಸುವವರು*, ಸ್ವೀಕರಿಸುವವರು"
ਰੀਸੈਪਟਰ ਐਟਮ,ಗ್ರಾಹಕ ಪರಮಾಣು
ਰੀਸੈਪਟਰ ਬਾਂਡ,ಗ್ರಾಹಕ ಬಂಧ
ਰਿਸੀਵਰ ਸਰਕਟ,ರಿಸೀವರ್ ಸರ್ಕ್ಯೂಟ್
ਰੀਸੈਪਟਰ ਪੱਧਰ,ಗ್ರಾಹಕ ಮಟ್ಟ
ਦਾਨੀ ਅਣੂ,ದಾನಿ ಅಣು
ਰੀਸੈਪਟਰ ਦੀ ਵਿਸ਼ੇਸ਼ਤਾ,ಗ್ರಾಹಕ ಆಸ್ತಿ
ਰੀਸੈਪਟਰ ਸੰਪਤੀ ਦਾ ਪੱਧਰ,ಗ್ರಾಹಕ ಆಸ್ತಿ ಮಟ್ಟ
ਐਕਸਲੇਟਰ ਹੋਜ਼,ವೇಗವರ್ಧಕ ಮೆದುಗೊಳವೆ
"ਪਹੁੰਚ, ਉਡੀਕ, ਪਹੁੰਚ","ಪ್ರವೇಶ, ಕಾಯುವಿಕೆ, ಪ್ರವೇಶ"
ਭੁਜ ਤੱਕ ਪਹੁੰਚ ਕਰੋ,ಭುಜ್ ಅನ್ನು ಪ್ರವೇಶಿಸಿ
ਪਹੁੰਚ ਸਿਸਟਮ,ಪ್ರವೇಶ ವ್ಯವಸ್ಥೆ
ਪਹੁੰਚ ਦਾ ਸਮਾਂ,ಪ್ರವೇಶ ಸಮಯ
ਪਹੁੰਚਯੋਗਤਾ,ಪ್ರವೇಶಿಸುವಿಕೆ
"ਵਾਧੂ, ਸਹਾਇਕ, ਸਹਾਇਕ (v, ), ਸਹਾਇਕ ਉਪਕਰਣ","ಹೆಚ್ಚುವರಿ, ಸಹಾಯಕ, ಪರಿಕರಗಳು (v, ), ಬಿಡಿಭಾಗಗಳು"
ਵਾਧੂ ਪਾਬੰਦੀਆਂ,ಹೆಚ್ಚುವರಿ ನಿರ್ಬಂಧಗಳು
ਇਤਫ਼ਾਕ,ಕಾಕತಾಳೀಯ
ਅਚਾਨਕ ਸੁਧਾਰ,ಆಕಸ್ಮಿಕ ತಿದ್ದುಪಡಿ
ਦੁਰਘਟਨਾ ਦੇ ਬਾਇਓਜੇਨੇਸਿਸ,ಆಕಸ್ಮಿಕ ಜೈವಿಕ ಉತ್ಪತ್ತಿ
ਅਚਾਨਕ ਮੋੜ,ಆಕಸ್ಮಿಕ ತಿರುವು
