Malayalam,Marathi
അക്കോസ്റ്റിക്കൽ നാളം,ध्वनिक नलिका
അക്കോസ്റ്റിക്കൽ എനർജി,ध्वनिक ऊर्जा
അക്കോസ്റ്റിക്കൽ ഫീഡ്ബാക്ക്,ध्वनिक अभिप्राय
അക്കോസ്റ്റിക്കൽ ഫിൽട്ടർ,ध्वनिक फिल्टर
അക്കോസ്റ്റിക്കൽ ഇംപെഡൻസ്,ध्वनीविषयक प्रतिबाधा
അക്കോസ്റ്റിക്കൽ പ്രചരണം സ്ഥിരാങ്കം,ध्वनीविषयक प्रसार स्थिर
അക്കോസ്റ്റിക്കൽ റെസിസ്റ്റൻസ്,ध्वनिक प्रतिकार
ശബ്ദപരമായി ഇൻസുലേറ്റ്,ध्वनिकरित्या इन्सुलेटेड
അക്കോസ്റ്റിക്സ്,ध्वनिकी
കൈവശപ്പെടുത്തൽ,संपादन
സംക്ഷേപം,परिवर्णी शब्द
പ്രവർത്തന മേഖല,कृती क्षेत्र
സജീവമാക്കിയ ഫിലമെന്റ്,सक्रिय फिलामेंट
സജീവമായ,सक्रिय
സജീവ ഏരിയ,सक्रिय क्षेत्र
സജീവ വിൻഡോ,सक्रिय विंडो
പൊരുത്തപ്പെടലി,अनुकूलता
അഡാപ്റ്റർ (അഡാപ്റ്റർ),अ‍ॅडॉप्टर (अ‍ॅडॉप्टर)
അഡാപ്റ്റീവ് ഡിഫറൻഷ്യൽ പൾസ് കോഡ് മോഡുലേഷൻ,अ‍ॅडॉप्टिव्ह डिफरेंशनल पल्स कोड मॉड्यूलेशन
മേൽവിലാസ പുസ്തകം,अॅड्रेस बुक
വിലാസ ബസ്,अ‍ॅड्रेस बस
വിലാസ മിഴിവ്,पत्ता ठराव
തൊട്ടടുത്തുള്ള ചാനൽ ഇടപെടൽ,लगतच चॅनेल हस्तक्षेप
തൊട്ടടുത്തുള്ള ചാനൽ സെലക്ടീവി,लगतच चॅनेल निवड
അടുത്തുള്ള ആവൃത്തി,समीप वारंवारता
തൊട്ടടുത്തുള്ള ഫ്രീക്വൻസി ചാനൽ,समीप फ्रिक्वेन्सी चॅनेल
തൊട്ടടുത്തുള്ള ചിത്ര കാരിയർ,लगतचे चित्र वाहक
തൊട്ടടുത്തുള്ള ശബ്ദ കാരിയർ,समीप ध्वनी वाहक
അടുത്തുള്ള സ്റ്റേഷൻ,समीप स्टेशन
കമീകരിക്കുന്ന,समायोज्य
ക്രമീകരിക്കാവുന്ന കണ്ടൻസർ,समायोज्य कंडेन्सर
സമ്മർദ്ദം ക്രമീകരിക്കുന്നു,दबाव समायोजित करणे
റെഞ്ച് ക്രമീകരിക്കുന്നു,पाना समायोजित करणे
കമപ്പെടുത്തല്,समायोजन
ഭരണാധിപന്,प्रशासक
നൂതന സാങ്കേതികവിദ്യ,आधुनिक तंत्रज्ञान
ഏരിയൽ,हवाई
ഏരിയൽ അറേ,एरियल अ‍ॅरे
ഏരിയൽ ബൂസ്റ്റർ,एरियल बूस्टर
ഏരിയൽ കറന്റ്,एरियल करंट
എയറൽ ഇയർത്തിംഗ് സ്വിച്ച്,एरियल अर्थिंग स्विच
ഏരിയൽ കാര്യക്ഷമത,हवाई कार्यक्षमता
ഏരിയൽ ഇതര,हवाई प्रतिबाधा
ഏരിയൽ ഉൾപ്പെടുത്തൽ,एरियल इंडक्टन्स
ഏരിയൽ ഇൻസുലേറ്റർ,एरियल इन्सुलेटर
ഏരിയൽ ലോഡിംഗ് കോയിൽ,एरियल लोडिंग कॉइल
ഏരിയൽ ഫോട്ടോഗ്രഫി,एरियल फोटोग्राफी
ഏരിയൽ പവർ,हवाई शक्ती
ആകാശ വികിരണ ഏലിസ്റ്റൻസ്,एरियल रेडिएशन रीस्टन्स
ഏരിയൽ റിപ്രീൻസ്,हवाई प्रतिक्रिया
എയറോഡൈനാമിക്സ്,एरोडायनामिक्स
നിര്വ്വഹണം,एजन्सी
എയർ കംപ്രസ്സർ,एअर कॉम्प्रेसर
എയർ കണ്ടൻസർ,एअर कंडेन्सर
വായു തണുപ്പിച്ചു,वातानुकूलित
എയർ കോർഡ് കോയിൽ,एअर कोर्ड कॉइल
എയർ കണ്ടീഷനിംഗ്,वातानुकुलीत
ആൽബിഡോ,अल्बेडो
അൽഗോരിതം,अल्गोरिदम
അപരനാത്മകം,अलियासिंग
വിന്യസിക്കുന്നു,संरेखित
വിന്യാപകമായ,संरेखन
എല്ലാ തരംഗ ഏരിയലും,सर्व वेव्ह एरियल
പങ്കുവയ്ക്കല്,वाटप
അക്ഷരകമായ,वर्णमाला
ആൽഫാന്യൂമെറിക്,अल्फान्यूमेरिक
ആൽഫാന്യൂമെറിക് പ്രതീകം,अल्फान्यूमेरिक वर्ण
ആൽഫാന്യൂമെറിക് വിവരങ്ങൾ,अल्फान्यूमेरिक माहिती
ഇതര കറന്റ് (A.C.),वैकल्पिक चालू (ए.सी.)
ഒന്നിടവിട്ടമ്മ,वैकल्पिक
പകര്പ്പ്,अल्टरनेटर
ഉയരം,समुद्रसपाटीपासूनची उंची
അപ്പോഗിയുടെ ഉയരം,अपोजीची उंची
പെരിജിയുടെ ഉയരം,पेरिगीची उंची
അമേച്വർ റേഡിയോ ആശയവിനിമയം,हौशी रेडिओ संप्रेषण
അന്തരീതം,वातावरण
അന്തരീക്ഷ മൈക്രോഫോൺ,वातावरण मायक्रोफोन
അന്തരീക്ഷ അവസ്ഥ,वातावरणीय स्थिती
ആംബിയന്റ് ലൈറ്റിംഗ്,वातावरणीय प्रकाश
ആംബിയന്റ് ശബ്ദം,सभोवतालचा आवाज
ആംബിയന്റ് താപനില,वातावरणीय तापमान
അമേരിക്കൻ സ്റ്റാൻഡേർഡ് കോഡ്,अमेरिकन मानक कोड
Ampere,अँपियर
ആമ്പിയർ മീറ്റർ,अ‍ॅम्पेअर मीटर
ആംപ്ലിഫിക്കേഷൻ,प्रवर्धन
ആംപ്ലിഫിക്കേഷൻ ഫാക്ടർ,प्रवर्धन घटक
ആംപ്ലിഫയർ,एम्पलीफायर
ആംപ്ലിഫയർ നേട്ടം,एम्पलीफायर गेन
ആംപ്ലിഫയർ ശബ്ദം,एम्पलीफायर आवाज
ഉപകരണങ്ങൾ ആംപ്ലിഫൈയിംഗ് ചെയ്യുന്നു,एम्प्लिफाइंग उपकरणे
Klystron ആംപ്ലിഫൈയിംഗ്,क्लीस्ट्रॉनचे विस्तार
ആംപ്ലിഫൈയിംഗ് യൂണിറ്റിംഗ്,एम्प्लिफाइंग युनिट
വ്യാശമുള്ള,मोठेपणा
വ്യാപ്തി വികസനം,मोठेपणा विकृती
ആംപ്ലിഡ്യൂഡ് ആസക്തി,मोठेपणा सहन
വ്യാപ്തി ഘടകം,मोठेपणा घटक
ആംപ്ലിറ്റ്യൂഡ് ലിമിറ്റർ,मोठेपणा मर्यादा
ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റ് ചെയ്തു,मोठेपणा मॉड्यूलेटेड
ആംപ്ലിറ്റ്ഇൻഡ് മോഡുലേഷൻ,मोठेपणा मॉड्यूलेशन
അനലോഗ് (അനലോഗ്),एनालॉग (अ‍ॅनालॉग)
അനലോഗ് സർക്യൂട്ട്,एनालॉग सर्किट
അനലോഗ് കമ്പ്യൂട്ടർ,एनालॉग संगणक
അനലോഗ് റേഡിയോ ഫ്രീക്വൻസി ചാനൽ,एनालॉग रेडिओ फ्रिक्वेन्सी चॅनेल
അനലോഗ് പ്രാതിനിധ്യം,एनालॉग प्रतिनिधित्व
അനലോഗ് സിഗ്നൽ,एनालॉग सिग्नल
ഡിജിറ്റലിലേക്കുള്ള അനലോഗ്,डिजिटल टू डिजिटल
ഡിജിറ്റൽ കൺവെർട്ടറിലേക്കുള്ള അനലോഗ്,डिजिटल कन्व्हर्टर टू एनालॉग
അനലോഗ് വീഡിയോ,एनालॉग व्हिडिओ
അനസ്),समान
അനലോഗി,समानता
വിശകലനം,विश्लेषण
ഡാറ്റയുടെ വിശകലനം,डेटाचे विश्लेषण
അനലിറ്റിക്കൽ സാന്ദ്രത,विश्लेषणात्मक घनता
വിശകലനം ചെയ്യുക,विश्लेषण
വിശകലന,विश्लेषक
അനുബന്ധ ഉപകരണങ്ങൾ,उपकरणे
ഗേറ്റിലും,आणि गेट
കൂട്ടിയിടിയുടെ കോണിൽ,कोलिमेशनचा कोन
ധ്രുവീകരണത്തിന്റെ കോണിൽ,ध्रुवीकरणाचा कोन
ഭ്രമണത്തിന്റെ ആംഗിൾ,रोटेशनचा कोन
Angstrom (å),अँगस्ट्रॉम (Å)
കോകാരുമായ,कोनीय
കോണീയ ത്വരണം,कोनीय प्रवेग
കോണീയരായ കോ-ഓർഡിനേറ്റുകൾ,कोनीय समन्वय
കോണീയ വ്യതിചലനം,कोनीय विक्षेपण
കോണീയ ചിതറിപ്പോയത്,कोनीय फैलाव
കോണീയ സ്ഥാനചലനം,कोनीय विस्थापन
കോണീയ പിശക്,कोनीय त्रुटी
കോണീയ ആവൃത്തി,कोनीय वारंवारता
കോണീയ ആക്കം,कोनीय गती
കോണീയ ചലനം,कोनीय गती
കോണീയ പ്രവേഗം,कोनीय गती
ജീവസഞ്ചാരണം,अ‍ॅनिमेशन
ആനോഡ്,एनोड
അനോഡ് ബാറ്ററി,एनोड बॅटरी
ആനോഡ് സ്വഭാവം,एनोड वैशिष्ट्य
അനോഡ് സർക്യൂട്ട്,एनोड सर्किट
ആനോഡ് ഡിസ്പിപ്പ്,एनोड अपव्यय
ആനോഡ് കാര്യക്ഷമത,एनोड कार्यक्षमता
ആനോഡ് ഇൻപുട്ട് പവർ,एनोड इनपुट पॉवर
ആനോഡ് പരിഷ്കരണം,एनोड मॉड्यूलेशन
ഏരിയെല്,अँटेना
ആന്റിന ബീഫ്റ്റ്വിഡ്ത്ത്,अँटेना बीमविड्थ
ആന്റിന ബൂസ്റ്റർ,अँटेना बूस्टर
ആന്റിന ട്രാനെറ്റ് സ്വിച്ച്,अँटेना चेंजओव्हर स्विच
ആന്റിന കോയിൽ,अँटेना कॉइल
ആന്റിന കോൺഫിഗറേഷൻ,अँटेना कॉन्फिगरेशन
ആന്റിന കപ്ലർ,अँटेना कपलर
ആന്റിന ക്രോസ് പോളാർ പാറ്റേൺ,अँटेना क्रॉस ध्रुवीय नमुना
ആന്റിന കറന്റ്,अँटेना करंट
ആന്റിന ഡയറക്റ്റബേഷൻ നേട്ടം,अँटेना डायरेक्टिव्हिटी गेन
ആന്റിന ഡ്യുപ്ലെർസർ,अँटेना डुप्लेक्सर
ആന്റിന ഫലപ്രദമായ പ്രദേശം,अँटेना प्रभावी क्षेत्र
ആന്റിന കാര്യക്ഷമത,अँटेना कार्यक्षमता
ആന്റിന ഫീഡ്,अँटेना फीड
ആന്റിന ഫൂട്ട് പ്രിന്റ്,अँटेना फूट प्रिंट
ആന്റിന നേട്ടം,अँटेना गेन
ആന്റിന ഉയരം,अँटेना उंची
ആന്റിന ഇംപെഡൻസ്,अँटेना प्रतिबाधा
ആന്റിന ഇൻഡക്റ്റൻസ്,अँटेना इंडक्टन्स
ആന്റിന പാറ്റേൺ,अँटेना पॅटर्न
ആന്റിന പ്ലെക്സർ,अँटेना प्लेक्सर
ആന്റിന പോളൈസേഷൻ,अँटेना ध्रुवीकरण
ആന്റിന പവർ,अँटेना पॉवर
ആന്റിന പവർ ലാഭം,अँटेना पॉवर गेन
ആന്റിന റേഡിയേഷൻ പ്രതിരോധം,अँटेना रेडिएशन प्रतिरोध
ആന്റിന റിനോപ്പൻസ്,अँटेना रिएक्टन्स
ആന്റിന റിഫ്ലക്ടർ,अँटेना परावर्तक
ആന്റിന റെസിസ്റ്റൻസ്,अँटेना प्रतिकार
ആന്റിന പുന ons ണ്ടന്റ് ആവൃത്തി,अँटेना रेझोनंट वारंवारता
ആന്റിന സ്പെയ്സിംഗ്,अँटेना स्पेसिंग
ആന്റിന സ്വിച്ചിംഗ് റൂം,अँटेना स्विचिंग रूम
ആന്റിന ട്യൂണിംഗ് കോയിൽ,अँटेना ट्यूनिंग कॉइल
ആന്റിന ട്യൂണിംഗ് ഹട്ട്,अँटेना ट्यूनिंग झोपडी
അപ്പേണ്ടർ,छिद्र
അപ്പോജി,अपोजी
അപ്പോജി റോക്കറ്റ്,अपोजी रॉकेट
ഉപകരണങ്ങള്,उपकरणे
കാണാവുന്ന,उघड
ആപ്ലെറ്റ്,Let पलेट
അപേക്ഷ,अर्ज
ഏകദേശമായ,अंदाजे
ജല പരിഹാരം,जलीय द्रावण
കമാനം,कंस
വാസ്തുവിദ,आर्किटेक्चर
ശബ്ദ റെക്കോർഡിംഗിന്റെ ആർക്കൈവൽ കൈമാറ്റം,ध्वनी रेकॉर्डिंगचे संग्रहण हस्तांतरण
ഗന്ഥരക്ഷാലയം,संग्रहण
അരിത്മെറ്റിക് കോഡിംഗ്,अंकगणित कोडिंग
യക്ഷി,आर्मेचर
അർമേച്ചർ വിൻഡിംഗ്,आर्मेचर विंडिंग
ശേണി,रचना
അറസ്റ്റർ,अरेस्टर
കൃതില്,बोलता
ആർട്ടിഫക്റ്റ് (= ആർട്ടിഫാക്റ്റ്),कलाकृती (= कलाकृती)
ആരോഹണം,चढत्या
വീക്ഷണാനുപാതം,प्रसर गुणोत्तर
അസംബ്ലി,असेंबलर
ഉറപ്പിച്ചുപറയല്,प्रतिपादन
ചുമതല,असाइनमेंट
അസൈൻമെന്റ് ചാനൽ,असाइनमेंट चॅनेल
അസമമായ,असममित
അസിൻക്രണസ്,एसिन्क्रोनस
അന്തരീക്ഷം,वातावरण
അന്തരീക്ഷ നഷ്ടം,वातावरणीय नुकसान
അന്തരീക്ഷ ശബ്ദം,वातावरणीय आवाज
അന്തരീക്ഷമർദ്ദം,वातावरणीय दबाव
അന്തരീക്ഷ പ്രചരണം,वातावरणीय प्रसार
അന്തരീക്ഷ റേഡിയോ-വേവ്,वातावरणीय रेडिओ-वेव्ह
അന്തരീക്ഷ,वातावरण
പരമാണു,अणू
ആറ്റോമിക ഘടന,अणु रचना
ബന്ധം,संलग्नक
അറ്റൻവറൻസ്,क्षीणन
അറ്റൻവേേഷൻ നഷ്ടം,क्षमतेचे नुकसान
ശബ്ദ തരംഗങ്ങളുടെ അറ്റൻവേഷൻ,ध्वनी लहरींचे लक्ष वेधणे
അറ്റൻവേറ്റർ,अ‍ॅटेन्युएटर
അറ്റൻവേറ്റർ പാഡ്,अ‍ॅटेन्युएटर-पॅड
സവിശേഷത പരിധി,ऑडिबिलिटी थ्रेशोल्ड
ശ്രമത്തിനും,ऐकण्यायोग्य
കേൾക്കാവുന്ന ആവൃത്തി,ऐकण्यायोग्य वारंवारता
കേൾക്കാവുന്ന ടോൺ,ऐकण्यायोग्य टोन
കേൾക്കാവുന്ന-സ്പെക്ട്രം,ऐकण्यायोग्य-स्पेक्ट्रम
സദസര്,प्रेक्षक
ഓഡിയോ,ऑडिओ
ഓഡിയോ ആംപ്ലിഫയർ,ऑडिओ एम्पलीफायर
ഓഡിയോ അനലൈസർ,ऑडिओ विश्लेषक
ഓഡിയോ ബ്രോഡ്കാസ്റ്റിംഗ്,ऑडिओ प्रसारण
ഓഡിയോ കേബിൾ,ऑडिओ केबल
ഓഡിയോ ചെയിൻ,ऑडिओ साखळी
ഓഡിയോ കോഡെക്,ऑडिओ कोडेक
ഓഡിയോ കംപ്രഷൻ,ऑडिओ कॉम्प्रेशन
ഓഡിയോ കംപ്രസ്സർ,ऑडिओ कॉम्प्रेसर
ഓഡിയോ കൺസോൾ,ऑडिओ कन्सोल
ഓഡിയോ വക്രീകരണം,ऑडिओ विकृती
ഓഡിയോ ഡൈനാമിക് ശ്രേണി,ऑडिओ डायनॅमिक श्रेणी
ഓഡിയോ ഫയൽ ഫോർമാറ്റ്,ऑडिओ फाइल स्वरूप
ഓഡിയോ ഫ്രെയിം ഫോർമാറ്റ്,ऑडिओ फ्रेम स्वरूप
ഓഡിയോ ഫ്രീക്വൻസി ആംപ്ലിഫയർ,ऑडिओ फ्रिक्वेन्सी एम्पलीफायर
ഓഡിയോ ഫ്രീക്വൻസി ജനറേറ്റർ,ऑडिओ फ्रिक्वेन्सी जनरेटर
ഓഡിയോ ഫ്രീക്വൻസി ശ്രേണി,ऑडिओ वारंवारता श्रेणी
ഓഡിയോ ഫ്രീക്വൻസി പ്രതികരണം,ऑडिओ वारंवारता प्रतिसाद
ഓഡിയോ പരിധി,ऑडिओ लिमिटर
ഓഡിയോ ലൈൻ,ऑडिओ लाइन
ഓഡിയോ മിക്സർ,ऑडिओ मिक्सर
ഓഡിയോ മോഡുലേഷൻ,ऑडिओ मॉड्यूलेशन
ഓഡിയോ ഓസ്സിലേറ്റർ,ऑडिओ ऑसीलेटर
ഓഡിയോ output ട്ട്പുട്ട്,ऑडिओ आउटपुट
ഓഡിയോ പവർ,ऑडिओ पॉवर
ഓഡിയോ നിലവാരം,ऑडिओ गुणवत्ता
ഓഡിയോ സിഗ്നൽ,ऑडिओ सिग्नल
ഓഡിയോ സിഗ്നൽ പ്രോസസ്സിംഗ്,ऑडिओ सिग्नल प्रक्रिया
ഓഡിയോ സ്പെക്ട്രം,ऑडिओ स्पेक्ट्रम
ഓഡിയോ സ്റ്റോറേജ്,ऑडिओ स्टोरेज
ഓഡിയോ ഉപ-കാരിയർ,ऑडिओ सब-कॅरियर
ഓഡിയോ ട്രാൻസ്ഫോർമർ,ऑडिओ ट्रान्सफॉर्मर
ഓഡിയോ ട്രാൻസ്മിറ്റർ,ऑडिओ ट्रान्समीटर
ഓഡിയോ / വീഡിയോ കംപ്രഷൻ,ऑडिओ/व्हिडिओ कॉम्प्रेशन
ഓഡിയോ-ഫ്രീക്വൻസി ഓസ്സിലേറ്റർ,ऑडिओ-फ्रिक्वेन्सी ऑसीलेटर
ഓഡിയോ-ഫ്രീക്വൻസി സിഗ്നൽ,ऑडिओ-फ्रिक्वेन्सी सिग्नल
ഓഡിയോമെട്രി,ऑडिओमेट्री
ഓഡിയോ-വിഷ്വൽ സഹായം,ऑडिओ-व्हिज्युअल मदत
ഓഡിറ്ററി ധാരണ,श्रवणविषयक समज
പ്രാമാണീകരണം,प्रमाणीकरण
അംഗീകൃത കാരിയർ ആവൃത്തി,अधिकृत वाहक वारंवारता
ഓട്ടോ കാഡ്,ऑटो कॅड
യാന്ത്രിക ഡയഗ്നോസ്റ്റിക്സ്,ऑटो डायग्नोस्टिक्स
ഓട്ടോമാറ്റിക്,स्वयंचलित
യാന്ത്രിക നിയന്ത്രണം,स्वयंचलित नियंत्रण
യാന്ത്രിക കണ്ടെത്തൽ,स्वयंचलित शोध
യാന്ത്രിക ഉപകരണങ്ങൾ,स्वयंचलित उपकरणे
യാന്ത്രിക ആവൃത്തി നിയന്ത്രണം,स्वयंचलित वारंवारता नियंत्रण
യാന്ത്രിക പരിധി,स्वयंचलित मर्यादा
യാന്ത്രിക യന്ത്രം,स्वयंचलित मशीन
യാന്ത്രിക ഫാസ നിയന്ത്രണം,स्वयंचलित Phasae नियंत्रण
യാന്ത്രിക ചിത്രം ട്രാൻസ്മിഷൻ,स्वयंचलित चित्र संप्रेषण
യാന്ത്രിക പ്ലേബാക്ക്,स्वयंचलित प्लेबॅक
യാന്ത്രിക വൈദ്യുതി നിയന്ത്രണം,स्वयंचलित उर्जा नियंत्रण
യാന്ത്രിക പ്രോഗ്രാമിംഗ്,स्वयंचलित प्रोग्रामिंग
യാന്ത്രിക റെക്കോർഡിംഗ്,स्वयंचलित रेकॉर्डिंग
യാന്ത്രിക പുന .സജ്ജമാക്കുക,स्वयंचलित रीसेट
യാന്ത്രിക ഷട്ടർ,स्वयंचलित शटर
യാന്ത്രിക സംവിധാനം,स्वयंचलित प्रणाली
യാന്ത്രിക ടെലിഫോൺ,स्वयंचलित टेलिफोन
യാന്ത്രിക താപനില നിയന്ത്രണം,स्वयंचलित तापमान नियंत्रण
ഓട്ടോമാറ്റിക് വോൾട്ടേജ് റെഗുലേറ്റർ,स्वयंचलित व्होल्टेज नियामक
യാന്ത്രിക വോളിയം കംപ്രസർ,स्वयंचलित व्हॉल्यूम कॉम्प्रेसर
യാന്ത്രിക വോളിയം നിയന്ത്രണം,स्वयंचलित व्हॉल्यूम नियंत्रण
യാന്ത്രിക വോളിയം എക്സ്പാൻഡർ,स्वयंचलित व्हॉल्यूम विस्तारक
യന്തവല്ക്കരണം,ऑटोमेशन
യന്തമോടിക്കൽ,ऑटोमेशन नियंत्रण
ഓട്ടോമേഷൻ ഫ്രീക്റ്റി കണ്ട്രോളർ,ऑटोमेशन फ्रिक्वेन्सी कंट्रोलर
ഉക്സിലറി,सहाय्यक
സഹായ ഓഡിയോ ബസ്,सहाय्यक ऑडिओ बस
ലഭ്യമായ ശക്തി,उपलब्ध शक्ती
ഹിമപാത തകർച്ച,हिमस्खलन ब्रेकडाउन
ശരാശരി ജീവിതം,सरासरी जीवन
ശരാശരി മർദ്ദം,सरासरी दबाव
ശരാശരി വേഗത,सरासरी वेग
സ്പിൻ ആക്സിസ്,फिरकीची अक्ष
അസിമുത്ത്,अजीमुथ
അസിമുത്ത് ആംഗിൾ,अजीमुथ कोन
അസിമുത്ത് പിശക്,अजीमुथ त्रुटी
ബാക്ക് ലൈറ്റ്,मागे प्रकाश
ബാക്ക് പ്രൊജക്ഷൻ,बॅक प्रोजेक्शन
ബാക്ക് വോൾട്ടേജ് (= റിവേഴ്സ് വോൾട്ടേജ്),बॅक व्होल्टेज (= रिव्हर्स व्होल्टेज)
ബാക്ക്ഫയർ (ആർക്ക് ബാക്ക്),बॅकफायर (आर्क बॅक)
പശ്ചാത്തല വെളിച്ചം,पार्श्वभूमी प्रकाश
പശ്ചാത്തലം ശബ്ദം,पार्श्वभूमी आवाज
പശ്ചാത്തലം പ്രൊജക്ഷൻ,पार्श्वभूमी प्रोजेक्शन
ബാക്കപ്പ്,बॅकअप
അന്ധാളിപ്പക്കുക,बफल
ബേക്കിംഗ്,बेकिंग
സമതുലിതമായ ഓഡിയോ,संतुलित ऑडिओ
സമതുലിതമായ ഓഡിയോ ലൈൻ,संतुलित ऑडिओ लाइन
സമതുലിതമായ ട്രാൻസ്മിഷൻ ലൈൻ,संतुलित ट्रान्समिशन लाइन
സന്തുഗതം,संतुलन
ബാല്ലാസ്റ്റ്,गिट्टी
ബാലസ്റ്റ് ഫാക്ടർ,गिट्टी फॅक्टर
Sulun,बालुन
കൂട്ടം,बँड
ബാൻഡ് പാസ് ഫിൽട്ടർ,बँड पास फिल्टर
ബാൻഡ് സെലക്ടർ,बँड निवडकर्ता
ബാൻഡ് വിഭജനം,बँड स्प्लिटिंग
ബാൻഡ് നിർത്തുക ഫിൽട്ടർ,बँड स्टॉप फिल्टर
ബാൻഡ് സ്വിച്ച്,बँड स्विच
ബാൻഡ് ട്യൂറിംഗ്,बँड ट्यूनिंग
ബാൻഡ്വിഡ്ത്ത്,बँडविड्थ
ബാർ,बार
ബാർ കോഡ്,बार कोड
ബാർബെ ഡാറ്റ,बार डेटा
നഗ്നമായ ബാൻഡ്,बेअर बँड
നഗ്നമായ വിളക്ക്,बेअर दिवा
കളപ്പുര വാതിൽ,धान्याचे कोठार
അടിസ്ഥാന ബാൻഡ്,बेस बँड
അടിസ്ഥാന ബാൻഡ് സിഗ്നൽ,बेस बँड सिग्नल
അടിസ്ഥാന ബാൻഡ് സംവിധാനം,बेस बँड सिस्टम
അടിസ്ഥാന ബ്ര .സർ,बेस ब्राउझर
അടിസ്ഥാന ശേഖരണ ജംഗ്ഷൻ,बेस कलेक्टर जंक्शन
അടിസ്ഥാന ഇൻസുലേറ്റർ,बेस इन्सुलेटर
ബാസ്,बास
ബാസ് നഷ്ടപരിഹാരം,बास भरपाई
ബാസ് ഉച്ചഭാഷിണി (വൂഫർ),बास लाऊडस्पीकर (वूफर)
ബാച്ച് സ്കാനിംഗ്,बॅच स्कॅनिंग
ബാറ്ററി ചാർജിംഗ്,बॅटरी चार्जिंग
രശ്മി,तुळई
അടിക്കുക,बीट
ബീറ്റ് ഫ്രീക്വൻസി ഓസ്സിലേറ്റർ,बीट फ्रिक्वेन्सी ऑसीलेटर
കാല്,बेल
പക്ഷപാതം,पूर्वाग्रह
ബയ്യ്സ് സർക്യൂട്ട്,बायस सर्किट
പക്ഷപാതം,पूर्वाग्रह वारंवारता
ബിയാസ് വോൾട്ടേജ്,बायस व्होल्टेज
മുന്നോട്ടുള്ള ദിശയിൽ പക്ഷപാതപരമാണ്,पुढील दिशेने पक्षपाती
ദ്വിദിശ മൈക്രോഫോൺ,द्वि-दिशात्मक मायक्रोफोन
ബിൽബോർഡ്,बिलबोर्ड
ബിൽബോർഡ് അപ്ലിക്കേഷൻ,बिलबोर्ड अर्ज
ദ്വി-മെറ്റാലിക് ഘടകം,द्वि-धातूचा घटक
ബൈനറി,बायनरी
