Assamese,Bengali
জৈৱ শক্তি,জৈব শক্তি
প্ৰাণীৰ পৰিস্থিতিতন্ত্ৰ,প্রাণীজগতের বাস্তুসংস্থান
১/ বায়’-প্ৰচেছৰ ২.বায়’-ৰিয়ক্টৰ,1. বায়ো-প্রসেসর 2. বায়ো-চুল্লি
জৈৱমণ্ডল,জীবজগৎ
জৈৱিক,জৈবিক
প্ৰাণীজগত,প্রাণীজগত
ডিভিলিংগি,ডিভিলিঙ্গি
ধাৱলান,ধওলান
১/প্ৰধ্বাসন (ৰোগ) ২) গাষ্ট ৰোগ,1. প্রধবাসন (রোগ) 2. দমকা রোগ
মিশ্ৰণ,মিশ্রন
১.আংমাৰী (ৰোগ) ২.ব্লাইট (ৰোগ) ২.,1. আংমারী (রোগ) 2. ব্লাইট (রোগ)
১/ ফোহা ২. ফোহা ৩. বিস্ফোৰণ ৪. ফোহা,1. ফোস্কা 2. ফোস্কা 3. বিস্ফোরণ 4. ফোস্কা
নীলা বিপ্লৱ,নীল বিপ্লব
প্লেনাৰ হিটিং চেম্বাৰ,প্ল্যানার হিটিং চেম্বার
সমতল উত্তাপন প্ৰযুক্তি,প্ল্যানার হিটিং প্রযুক্তি
ব্ৰাণ,তুষ
শাখা-প্ৰশাখা,শাখা
১.ডাল ২.উপশাখা,1. ডালপালা 2. উপশাখা
বংশবৃদ্ধি,বংশবৃদ্ধি
প্ৰজনন,প্রজনন
আগতীয়াকৈ অংকুৰণৰ চিকিৎসা,প্রাথমিক অঙ্কুর চিকিত্সা
১. পোৱালি ২. কণী ৩. ভ্ৰূণ,1. বাচ্চা 2. ডিম 3. ভ্রূণ
budding,উদীয়মান
বাজেট,বাজেট
১.এম্ফোটেৰিক ২.বাফাৰ,1.অ্যাম্ফোটেরিক 2. বাফার
মিঠা আলু,মিষ্টি আলু
বান্ট (ৰোগ),বান্ট (রোগ)
1. উপ-উৎপাদন 2. উপ-উৎপাদন,1. উপজাত 2. উপজাত
c আৰ্দ্ৰতা নিৰ্দিষ্টকৰণ বক্ৰ,c আর্দ্রতা স্পেসিফিকেশন বক্ররেখা
তেলৰ কেক,তেল পিষ্টক
১.চূণ ২.কেলচিয়াম,1. চুন 2. ক্যালসিয়াম
calcion,ক্যালসিয়ন
ফছফেট আঁতৰোৱা,ফসফেট অপসারণ
১.কিনাটা ২.কালাটা,1. কিনাটা 2. কালটা
১.কেলাছ ২.ৰশ্মি,1.ক্যালাস 2. রশ্মি
1. ফুলৰ গুটি 2. calyx,1. সেপালস 2. ক্যালিক্স
বাহ্যিক শেষ,বহির্মুখী শেষ
এধা,এধা
কেন্সাৰ (বেক্টেৰিয়াৰ ৰোগ),ক্যানকার (ব্যাকটেরিয়াজনিত রোগ)
কেনিং,ক্যানিং
আকাশ,আকাশ
বিত্ত,অর্থায়ন
পৰগাছা (ডুমুৰৰ),পরাগায়ন (ডুমুরের)
১.কেপচুল ২.কেপচুল ৩.কেপচুল,1. ক্যাপসুল 2. ক্যাপসুল 3. ক্যাপসুল
কাৰ্বনাইজড,কার্বনাইজড
কাৰ্বনেন,কার্বনান
carapace,ক্যারাপেস
এপাত হাতৰ অলংকাৰ,ব্রেসলেট
1. ঢালাই (লোহা) 2. ক্ষীপতি (পোক),1. ঢালাই (লোহা) 2. ক্ষিপ্তি (পোকা)
কেটাবলিজম,catabolism
প্ৰৰোচনা,প্ররোচনা
1. পোক 2. পোক,1. শুঁয়োপোকা 2. শুঁয়োপোকা
গ ঘ. এন. ক. সংগ্ৰহ,গ d. এন. ক সংগ্রহ
পৰিসৰ,পরিসীমা
১.কোষ ২.কোষ,1. কোষ 2. কোষ
কেন্দ্ৰীয় ফ্ৰন্ট ব্যৱস্থা,কেন্দ্রীয় ফ্রন্ট সিস্টেম
1. বিন্দু 2. ফোকাচ,1. পয়েন্ট 2. ফোকাস
কেন্দ্ৰচালিতকৰণ,কেন্দ্রীকরণ
কেন্দ্ৰচালিত কৰক,সেন্ট্রিফিউজ
তাৰকা কেন্দ্ৰ,তারকা কেন্দ্র
এপিজেনেটিক,এপিজেনেটিক
কেন্দ্ৰজা,কেন্দ্রজা
loom,তাঁত
১/ শস্যৰ বীজ ২. ছিৰিয়েল,1. সিরিয়াল 2. সিরিয়াল
১.প্ৰমাণীকৰণ ২.প্ৰমাণীকৰণ,1. সার্টিফিকেশন 2. সার্টিফিকেশন
প্ৰমাণিত বীজ,প্রত্যয়িত বীজ
১) খেৰ ২.কুট্টি ৩.শালক সহপাত্ৰ,1. খড় 2. কুট্টি 3. শলক সহপাত্র
১.নিভাগ ২.কৈলাজা,1. নিভাগ 2. কৈলাজা
চাইম&#39;গ্ৰাফী,কাইমোগ্রাফি
১.কিয়াজমা ২.ব্যস্ত,1. কিয়াজমা 2. ব্যস্ত
ছুপাৰকুলিং ঘন্টা,সুপার কুলিং ঘন্টা
হিম ক্ষতি,তুষারপাত ক্ষতি
১/ ভিচিৰোটাকি ২.চিমেৰা,1. ভিচিরোটাকি 2. কাইমেরা
সেউজীয়া দাইল,সবুজ porridge
১.পাতল ২.সেউজীয়া,1. পাতা 2. সবুজ
চাইন&#39;ছিছ,সায়ানোসিস
জৈৱিক বিতৰণ বিজ্ঞান,জৈবিক বিতরণ বিজ্ঞান
১) ক্ৰ’মেটিড ২) আধা ক্ৰম’জম,1. ক্রোমাটিডস 2. অর্ধেক ক্রোমোজোম
ক্ৰ&#39;মেটিন,ক্রোমাটিন
ক্ৰ&#39;মাট&#39;গ্ৰাফী,ক্রোমাটোগ্রাফি
ক্ৰ&#39;মেটিনেচন,ক্রোমাটিনলেশন
অলিন্দৰ বিন্দু,অলিন্দ বিন্দু
ক্ৰ&#39;মেট&#39;জেনেছিছ,ক্রোমাটোজেনেসিস
১/ ক্ৰম’প্ৰটিন ২.ৰঞ্জক প্ৰটিন,1. ক্রোমোপ্রোটিন 2. পিগমেন্টপ্রোটিন
১.ক্ৰম’জম ২.ক্ৰম’জম,1. ক্রোমোজোম 2. ক্রোমোজোম
1. দীৰ্ঘদিনীয়া 2. দীৰ্ঘদিনীয়া 3. দীৰ্ঘদিনীয়া 4. অচল,1. দীর্ঘস্থায়ী 2. দীর্ঘস্থায়ী 3. দীর্ঘস্থায়ী 4. অপ্রচলিত
ট্যাগ এর সাথে ছবি &#39;citrange&#39;:,citrange
পতন উৎসৱ,শরৎ উৎসব
শ্ৰেণীবিভাজন,শ্রেণীবিভাগ
১.মাটি ২.মাটি,1. কাদামাটি 2. কাদামাটি
১/ পৰিষ্কাৰ কৰা ২.স্ক্ৰাব কৰা ৩. পৰিষ্কাৰ কৰা ৪.বিশুদ্ধকৰণ,1. পরিষ্কার করা 2. স্ক্রাবিং 3. পরিষ্কার করা 4. পরিশোধন
স্থায়ী পৰগাছা,অবিরাম পরাগায়ন
ক্ৰুচিফেৰাছ ফল,ক্রুসিফেরাস ফল
জলবায়ু,জলবায়ু
জলবায়ুবিজ্ঞান,জলবায়ুবিদ্যা
shear,শিয়ার
গোট (মাটি),পিণ্ড (কাদামাটি)
ক্ল&#39;ন,ক্লোন
১.ডাৱৰ ২.ডাৱৰ,1.মেঘ 2.মেঘ
ক্লাম্প,clump
মুঠি,গুচ্ছ
১.মোটা ২.ৰুক্ষ ৩.কেঁচা ৪.ৰুক্ষ,1. মোটা 2. রুক্ষ 3. কাঁচা 4. রুক্ষ
১.আৱৰণ ২.চামৰাৰ টুকুৰা,1. কভার 2. লেদারেট
কয়া,কোয়া
১/ কো-এনজাইম ২.কো-এনজাইম,1. কোএনজাইম 2. কো-এনজাইম
সংহতি,সংহতি
১/ আঁহ (পাট পাট) ২) নাৰিকল মোটা,1. ফাইবার (পাট পাট) 2. নারকেল মোটা
মুলংকুৰ চোলা,মুলাঙ্কুর চোলা
,
কলয়ড (মাটি),কলয়েড (মাটি)
১.স্তম্ভ ২.কলমেলা,1.কলাম 2.columella
১/ শাস্তি ২.স্তম্ভ ৩.স্তম্ভ,1. শাস্তি 2. কলাম 3. কলাম
কমিউনিয়ন,যোগাযোগ
বাণিজ্যিক বেংক,বাণিজ্যিক ব্যাংক
১/ পণ্য ২/ ব্যৱসায়িক সামগ্ৰী,1. পণ্য 2. পণ্যদ্রব্য
সমুদায়,সম্প্রদায়
সংকোচন (মাটিৰ),কম্প্যাকশন (মাটির)
1. সামঞ্জস্যতা 2. সামঞ্জস্যতা,1. সামঞ্জস্যতা 2. সামঞ্জস্য
সামঞ্জস্যতা,সামঞ্জস্য
১/ ক্ষতিপূৰণ ২/ ক্ষতিপূৰণ,1. ক্ষতিপূরণ 2. ক্ষতিপূরণ
প্ৰতিযোগিতামূলক পাৰস্পৰিক ক্ৰিয়া,প্রতিযোগিতামূলক মিথস্ক্রিয়া
শস্যৰ পৰিপূৰক,সম্পূরক ফসল
১.সংমিশ্ৰিত ২.জটিল,1. যৌগিক 2. জটিল
সমষ্টিবাসী,গঠনকারী
সুৰ-ৰচনা,গঠন
পচন সাৰ,কম্পোস্ট
যৌগিক আগ্ৰহ,চক্রবৃদ্ধিহারে সুদ
গণনা,গণনা
1. কম্পিউটাৰ 2. কম্পিউটাৰ,1. কম্পিউটার 2. কম্পিউটার
১/ ঘনত্ব ২. ঘনত্ব,1. একাগ্রতা 2. একাগ্রতা
১.অপ্টিমাইজাৰ ২.ৰিভাইটালাইজাৰ,1. অপ্টিমাইজার 2. পুনরুজ্জীবিতকারী
পৰিবাহীতা,পরিবাহিতা
1. বিন্যাস 2. বিন্যাস,1. কনফিগারেশন 2. কনফিগারেশন
1. অনুকূলতা 2. সংৰূপ 3. অনুকূলতা,1. সামঞ্জস্য 2. কনফিগারেশন 3. সামঞ্জস্য
১.সংহতি ২.সংকৰকৰণ,1. ইন্টিগ্রেশন 2. হাইব্রিডাইজেশন
সংযোজন,সংযোজন
1. যোগকৰণ 2. সংযোগী,1. সংযোজক 2. সংযোগকারী
সুৰক্ষা,সুরক্ষা
একত্ৰীকৰণ,একত্রীকরণের
১.উপাদান ২.উপাদান,1. উপাদান 2. উপাদান
গ্ৰাহক,ভোক্তা
সেৱন,খরচ
দূষণ কৰা,দূষণ
কনট্যুৰ ৰোপণ,কনট্যুর রোপণ
কনট্যুৰ ৰেখা,কনট্যুর লাইন
১/ ঠিকাদাৰী খেতি ২.ঠিকাদাৰী খেতি ৩.চুক্তিবদ্ধ কৃষি,1. কন্ট্রাক্ট ফার্মিং 2. কন্ট্রাক্ট ফার্মিং 3. কন্ট্রাক্ট ফার্মিং
নিয়ন্ত্ৰিত বায়ুমণ্ডলীয় সংৰক্ষণ,নিয়ন্ত্রিত বায়ুমণ্ডলীয় স্টোরেজ
সমবায় বেংক,সমবায় ব্যাংক
সমবায় সমিতিৰ সদস্য,সমবায় সমিতির সদস্য
গুলমাৱন,গুলমাভান
ঘনকীয়,cubed
১.দলপুঞ্জ ২.কৰোলা,1. ডালপুঞ্জ 2. করোলা
১.কৰ্টেক্স ২.কৰ্টেক্স,1. কর্টেক্স 2. কর্টেক্স
খৰচ,খরচ
কুটিলডন,cotyledon
ক্ৰেডিট কমিটি,ক্রেডিট কমিটি
১/ ঋণ দিয়া ২.ক্ৰেডিট,1. ঋণ 2. ক্রেডিট
১/ ঋণদাতা ২.পাওনাদাৰ,1. ঋণদাতা 2. পাওনাদার
1. শিখৰ 2. শিখৰ 3. শিখৰ,1. ক্রেস্ট 2. শীর্ষবিন্দু 3. স্পায়ার
প্ৰত্যাহাৰ,প্রত্যাহার
বিপদ,সমস্যা
পৰীক্ষা,পরীক্ষা
জটিল অৱস্থা,সমালোচনামূলক
শস্যৰ বীমা,শস্য বীমা
শস্যৰ ঋণ,ফসল ঋণ
১.শস্য ২.শস্য,1. ফসল 2. ফসল
খেতি কৰা অঞ্চল,চাষ এলাকা
ক্ৰছ অসঙ্গতিপূৰ্ণ,ক্রস বেমানান
1. মুকুট 2. শিখৰ (উদ্ভিদ),1. মুকুট 2. চূড়া (উদ্ভিদ)
কোমল কণা,নরম কণা
খোলা,ভূত্বক
1. ক্ৰিপ্টোগাম 2. নন-ফ্ল&#39;ৰিফৰ্ম,1. ক্রিপ্টোগাম 2. নন-ফ্লোরিফর্ম
ছাঁটনি (ফল),ছাঁটাই (ফল)
কলম,কলম
জাত জাত,চাষের বৈচিত্র্য
১.ট্ৰেকচন ২.কৃষি ৩.খেতি কৰা,1. ট্র্যাকশন 2. কৃষি 3. কৃষিকাজ
১/ কৃষক ২/ খেতিয়ক,1. কৃষক 2. চাষী
১.খেতি ২.খেতি ৩.পালন,1. চাষ 2. চাষ 3. লালনপালন
১.সম্পদ ২.প্ৰস্তুতি,1.সম্পদ 2.প্রস্তুতি
১.কুন্তলন ২.কুঞ্চন,1.কুন্তালন 2.কুঞ্চন
মুদ্ৰা,ভঙ্গি
১.এপিডাৰ্মিছ ২.কিউটিকল,1. এপিডার্মিস 2. কিউটিকল
1. কলম 2. কাটি 3. কাটি 4. কাটি 5. কাটিব,1. কলম 2. কাটিং 3. কাটিং 4. কাটিং 5. কাটিং
১.কৃমিৰ কৰ্পাছ ২.চিষ্ট ৩.চিষ্ট ৪.বিকৃত গোট ৫.নিওপ্লাজম,1. কৃমি কর্পাস 2. সিস্ট 3. সিস্ট 4. বিকৃত পিণ্ড 5. নিওপ্লাজম
চাইট&#39;ক্ৰ&#39;ম,সাইটোক্রোম
কোষ সংযোজন,সেল কাপলিং
কোষৰ প্ৰজনন,কোষের প্রজনন
কোষৰ জিনীয় বিজ্ঞান,কোষ জেনেটিক্স
চাইট’প্লাজমিক বিভাজন,সাইটোপ্লাজমিক বিভাগ
কোষ জীৱবিজ্ঞান,কোষ বিদ্যা
কোষৰ লাইছিছ,কোষের লাইসিস
১) চাইট’মিৰ ২) কোষৰ বিভাজন,1. সাইটোমের 2. কোষ বিভাজন
চাইট’প্লাজম,সাইটোপ্লাজম
১/ দুগ্ধজাত সামগ্ৰী ২.দুগ্ধজাত সামগ্ৰী,1. ডেইরি 2. ডেইরি
দুগ্ধ উদ্যোগ,দুগ্ধ শিল্প
১.বান্ধ ২.প্ৰজননকাৰী,1. বাঁধ 2. ব্রিডার
দিন নিৰপেক্ষ উদ্ভিদ,দিন পরম উদ্ভিদ
ফুল ফুলাৰ পিছদিনা,ফুল ফোটার পর দিন
সম্পূৰ্ণ ফুল ফুলাৰ পিছত দিন,ফুল ফোটার পর দিন
অদক্ষতা,অদক্ষতা
ডিকেলচিফিকেশন,decalcification
1. dislodge 2. dislodge কৰা,1. অপসারণ 2. অপসারণ
পচি যোৱা,ক্ষয়
পৰ্ণপাতী,পর্ণমোচী
১.দশমিক ২.দশমিক,1. দশমিক 2. দশমিক
হীনমন্যতা,হীনমন্যতা
অনুৰণ (মাটি),অনুরান (মাটি)
বিপুষ্পন,বিপুষ্পন
বিলিং,বিলিং
বনাঞ্চল ধ্বংস কৰা,বন নিধন
বদনাম,অসম্মান
অৱক্ষয়,অধঃপতন
অংশ দিন,অংশ দিন
১.পৰিমাণ ২.অংশ,1. পরিমাণ 2. অংশ
ডিহিচেন্স,dehiscence
খোলা আঁতৰোৱা,ভুসি অপসারণ
খোলা আঁতৰোৱা,ভুসি অপসারণ
পানীলগা,পানিশূন্যতা
জলহীন,নির্জল
দাবী কৰা,চাহিদা
