Telugu,Marathi
వాతావరణ మైక్రోఫోన్,वातावरण मायक्रोफोन
పరిసర పరిస్థితి,वातावरणीय स्थिती
పరిసర లైటింగ్,वातावरणीय प्रकाश
పరిసర శబ్దం,सभोवतालचा आवाज
పరిసర ఉష్ణోగ్రత,वातावरणीय तापमान
అమెరికన్ స్టాండర్డ్ కోడ్,अमेरिकन मानक कोड
Ampere,अँपियर
ఆంపియర్ మీటర్,अ‍ॅम्पेअर मीटर
విస్తరణ,प्रवर्धन
యాంప్లిఫికేషన్ కారకం,प्रवर्धन घटक
యాంప్లిఫైయర్,एम्पलीफायर
యాంప్లిఫైయర్ లాభం,एम्पलीफायर गेन
యాంప్లిఫైయర్ శబ్దం,एम्पलीफायर आवाज
పరికరాలను విస్తరించడం,एम्प्लिफाइंग उपकरणे
క్లైస్ట్రాన్ విస్తరించడం,क्लीस्ट्रॉनचे विस्तार
యాంప్లిఫైయింగ్ యూనిట్,एम्प्लिफाइंग युनिट
వ్యాప్తి,मोठेपणा
వ్యాప్తి వక్రీకరణ,मोठेपणा विकृती
వ్యాప్తి విహారయాత్ర,मोठेपणा सहन
వ్యాప్తి కారకం,मोठेपणा घटक
వ్యాప్తి పరిమితి,मोठेपणा मर्यादा
వ్యాప్తి మాడ్యులేటెడ్,मोठेपणा मॉड्यूलेटेड
యాంప్లిట్యూడ్ మాడ్యులేషన్,मोठेपणा मॉड्यूलेशन
అనలాగ్ (అనలాగ్),एनालॉग (अ‍ॅनालॉग)
అనలాగ్ సర్క్యూట్,एनालॉग सर्किट
అనలాగ్ కంప్యూటర్,एनालॉग संगणक
ఫ్రీక్వెన్సీ ఛానల్,एनालॉग रेडिओ फ्रिक्वेन्सी चॅनेल
అనలాగ్ ప్రాతినిధ్యం,एनालॉग प्रतिनिधित्व
అనలాగ్ సిగ్నల్,एनालॉग सिग्नल
డిజిటల్‌కు అనలాగ్,डिजिटल टू डिजिटल
డిజిటల్ కన్వర్టర్‌కు అనలాగ్,डिजिटल कन्व्हर्टर टू एनालॉग
అనలాగ్ వీడియో,एनालॉग व्हिडिओ
సారూప్యత,समान
సారూప్యత,समानता
విశ్లేషణ,विश्लेषण
డేటా యొక్క విశ్లేషణ,डेटाचे विश्लेषण
విశ్లేషణాత్మక సాంద్రత,विश्लेषणात्मक घनता
విశ్లేషించడానికి,विश्लेषण
ఎనలైజర్,विश्लेषक
సహాయక పరికరాలు,उपकरणे
మరియు గేట్,आणि गेट
కొలిమేషన్ యొక్క కోణం,कोलिमेशनचा कोन
ధ్రువణ కోణం,ध्रुवीकरणाचा कोन
భ్రమణ కోణం,रोटेशनचा कोन
గోరు,अँगस्ट्रॉम (Å)
కోణీయ,कोनीय
కోణీయ త్వరణం,कोनीय प्रवेग
కోణీయ సమన్వయాలు,कोनीय समन्वय
కోణీయ విక్షేపం,कोनीय विक्षेपण
కోణీయ చెదరగొట్టడం,कोनीय फैलाव
కోణీయ స్థానభ్రంశం,कोनीय विस्थापन
కోణీయ లోపం,कोनीय त्रुटी
కోణీయ పౌన .పున్యం,कोनीय वारंवारता
కోణీయ మొమెంటం,कोनीय गती
కోణీయ కదలిక,कोनीय गती
కోణీయ వేగం,कोनीय गती
యానిమేషన్,अ‍ॅनिमेशन
యానోడ్,एनोड
యానోడ్ బ్యాటరీ,एनोड बॅटरी
యానోడ్ లక్షణం,एनोड वैशिष्ट्य
యానోడ్ సర్క్యూట్,एनोड सर्किट
యానోడ్ వెదజల్లడం,एनोड अपव्यय
యానోడ్ సామర్థ్యం,एनोड कार्यक्षमता
యానోడ్ ఇన్పుట్ శక్తి,एनोड इनपुट पॉवर
యానోడ్ మాడ్యులేషన్,एनोड मॉड्यूलेशन
యాంటెన్నా,अँटेना
యాంటెన్నా బీమ్విడ్త్,अँटेना बीमविड्थ
యాంటెన్నా బూస్టర్,अँटेना बूस्टर
యాంటెన్నా చేంజ్ఓవర్ స్విచ్,अँटेना चेंजओव्हर स्विच
యాంటెన్నా కాయిల్,अँटेना कॉइल
యాంటెన్నా కాన్ఫిగరేషన్,अँटेना कॉन्फिगरेशन
యాంటెన్నా కప్లర్,अँटेना कपलर
యాంటెన్నా క్రాస్ ధ్రువ నమూనా,अँटेना क्रॉस ध्रुवीय नमुना
యాంటెన్నా కరెంట్,अँटेना करंट
యాంటెన్నా డైరెక్టివిటీ లాభం,अँटेना डायरेक्टिव्हिटी गेन
యాంటెన్నా డ్యూప్లెక్సర్,अँटेना डुप्लेक्सर
యాంటెన్నా ప్రభావవంతమైన ప్రాంతం,अँटेना प्रभावी क्षेत्र
యాంటెన్నా సామర్థ్యం,अँटेना कार्यक्षमता
యాంటెన్నా ఫీడ్,अँटेना फीड
యాంటెన్నా ఫుట్ ప్రింట్,अँटेना फूट प्रिंट
యాంటెన్నా లాభం,अँटेना गेन
యాంటెన్నా ఎత్తు,अँटेना उंची
యాంటెన్నా ఇంపెడెన్స్,अँटेना प्रतिबाधा
యాంటెన్నా ఇండక్టెన్స్,अँटेना इंडक्टन्स
యాంటెన్నా నమూనా,अँटेना पॅटर्न
యాంటెన్నా ప్లెక్సర్,अँटेना प्लेक्सर
యాంటెన్నా ధ్రువణత,अँटेना ध्रुवीकरण
యాంటెన్నా శక్తి,अँटेना पॉवर
యాంటెన్నా శక్తి లాభం,अँटेना पॉवर गेन
యాంటెన్నా రేడియేషన్ నిరోధకత,अँटेना रेडिएशन प्रतिरोध
యాంటెన్నా రియాక్టెన్స్,अँटेना रिएक्टन्स
యాంటెన్నా రిఫ్లెక్టర్,अँटेना परावर्तक
యాంటెన్నా నిరోధకత,अँटेना प्रतिकार
యాంటెన్నా ప్రతిధ్వని ఫ్రీక్వెన్సీ,अँटेना रेझोनंट वारंवारता
యాంటెన్నా స్పేసింగ్,अँटेना स्पेसिंग
యాంటెన్నా స్విచింగ్ రూమ్,अँटेना स्विचिंग रूम
యాంటెన్నా ట్యూనింగ్ కాయిల్,अँटेना ट्यूनिंग कॉइल
యాంటెన్నా ట్యూనింగ్ హట్,अँटेना ट्यूनिंग झोपडी
ఎపర్చరు,छिद्र
అపోజీ,अपोजी
అపోజీ రాకెట్,अपोजी रॉकेट
ఉపకరణం,उपकरणे
స్పష్టంగా,उघड
ఆప్లెట్,Let पलेट
అప్లికేషన్,अर्ज
సుమారు,अंदाजे
అక్వేస్ ద్రావణం,जलीय द्रावण
ఆర్క్,कंस
వాస్తుశిల్పం,आर्किटेक्चर
సౌండ్ రికార్డింగ్ యొక్క ఆర్కైవల్ బదిలీ,ध्वनी रेकॉर्डिंगचे संग्रहण हस्तांतरण
ఆర్కైవ్స్,संग्रहण
అంకగణిత కోడింగ్,अंकगणित कोडिंग
ఆర్మేచర్,आर्मेचर
ఆర్మేచర్ వైండింగ్,आर्मेचर विंडिंग
అమరిక,रचना
అరేస్టర్,अरेस्टर
ఉచ్చారణ,बोलता
(= కళాఖండము,कलाकृती (= कलाकृती)
ఆరోహణ,चढत्या
కారక నిష్పత్తి,प्रसर गुणोत्तर
సమీకరించేవాడు,असेंबलर
వాదన,प्रतिपादन
అప్పగింత,असाइनमेंट
అసైన్‌మెంట్ ఛానల్,असाइनमेंट चॅनेल
అసమాన,असममित
అసమకాలిక,एसिन्क्रोनस
వాతావరణం,वातावरण
వాతావరణ నష్టం,वातावरणीय नुकसान
వాతావరణ శబ్దం,वातावरणीय आवाज
వాతావరణ పీడనం,वातावरणीय दबाव
వాతావరణ ప్రచారం,वातावरणीय प्रसार
వాతావరణ రేడియో-వేవ్,वातावरणीय रेडिओ-वेव्ह
వాతావరణం,वातावरण
అణువు,अणू
అణు నిర్మాణం,अणु रचना
అటాచ్మెంట్,संलग्नक
అటెన్యుయేషన్,क्षीणन
అటెన్యుయేషన్ నష్టం,क्षमतेचे नुकसान
ధ్వని తరంగాల యొక్క అటకన,ध्वनी लहरींचे लक्ष वेधणे
అటెన్యూయేటర్,अ‍ॅटेन्युएटर
అటెన్యూయేటర్-ప్యాడ్,अ‍ॅटेन्युएटर-पॅड
విడిబిలిటీ థ్రెషోల్డ్,ऑडिबिलिटी थ्रेशोल्ड
వినగల,ऐकण्यायोग्य
వినగల ఫ్రీక్వెన్సీ,ऐकण्यायोग्य वारंवारता
వినగల స్వరం,ऐकण्यायोग्य टोन
వినగల-స్పెక్ట్రం,ऐकण्यायोग्य-स्पेक्ट्रम
ప్రేక్షకులు,प्रेक्षक
ఆడియో,ऑडिओ
ఆడియో యాంప్లిఫైయర్,ऑडिओ एम्पलीफायर
ఆడియో ఎనలైజర్,ऑडिओ विश्लेषक
ఆడియో ప్రసారం,ऑडिओ प्रसारण
ఆడియో కేబుల్,ऑडिओ केबल
ఆడియో గొలుసు,ऑडिओ साखळी
ఆడియో కోడెక్,ऑडिओ कोडेक
ఆడియో కుదింపు,ऑडिओ कॉम्प्रेशन
ఆడియో కంప్రెసర్,ऑडिओ कॉम्प्रेसर
ఆడియో కన్సోల్,ऑडिओ कन्सोल
ఆడియో వక్రీకరణ,ऑडिओ विकृती
ఆడియో డైనమిక్ పరిధి,ऑडिओ डायनॅमिक श्रेणी
ఆడియో ఫైల్ ఫార్మాట్,ऑडिओ फाइल स्वरूप
ఆడియో ఫ్రేమ్ ఫార్మాట్,ऑडिओ फ्रेम स्वरूप
ఆడియో ఫ్రీక్వెన్సీ యాంప్లిఫైయర్,ऑडिओ फ्रिक्वेन्सी एम्पलीफायर
ఆడియో ఫ్రీక్వెన్సీ జనరేటర్,ऑडिओ फ्रिक्वेन्सी जनरेटर
ఆడియో ఫ్రీక్వెన్సీ పరిధి,ऑडिओ वारंवारता श्रेणी
ఆడియో ఫ్రీక్వెన్సీ ప్రతిస్పందన,ऑडिओ वारंवारता प्रतिसाद
ఆడియో పరిమితి,ऑडिओ लिमिटर
ఆడియో లైన్,ऑडिओ लाइन
ఆడియో మిక్సర్,ऑडिओ मिक्सर
ఆడియో మాడ్యులేషన్,ऑडिओ मॉड्यूलेशन
ఆడియో ఓసిలేటర్,ऑडिओ ऑसीलेटर
ఆడియో అవుట్పుట్,ऑडिओ आउटपुट
ఆడియో శక్తి,ऑडिओ पॉवर
ఆడియో నాణ్యత,ऑडिओ गुणवत्ता
ఆడియో సిగ్నల్,ऑडिओ सिग्नल
ఆడియో సిగ్నల్ ప్రాసెసింగ్,ऑडिओ सिग्नल प्रक्रिया
ఆడియో స్పెక్ట్రం,ऑडिओ स्पेक्ट्रम
ఆడియో నిల్వ,ऑडिओ स्टोरेज
ఆడియో సబ్ క్యారియర్,ऑडिओ सब-कॅरियर
ఆడియో ట్రాన్స్ఫార్మర్,ऑडिओ ट्रान्सफॉर्मर
ఆడియో ట్రాన్స్మిటర్,ऑडिओ ट्रान्समीटर
శ్రవణ/వీడియో కుదింపు,ऑडिओ/व्हिडिओ कॉम्प्रेशन
ఆడియో-ఫ్రీక్వెన్సీ ఓసిలేటర్,ऑडिओ-फ्रिक्वेन्सी ऑसीलेटर
ఆడియో-ఫ్రీక్వెన్సీ సిగ్నల్,ऑडिओ-फ्रिक्वेन्सी सिग्नल
ఆడియోమెట్రీ,ऑडिओमेट्री
ఆడియో-విజువల్ ఎయిడ్,ऑडिओ-व्हिज्युअल मदत
శ్రవణ అవగాహన,श्रवणविषयक समज
ప్రామాణీకరణ,प्रमाणीकरण
అధీకృత క్యారియర్ ఫ్రీక్వెన్సీ,अधिकृत वाहक वारंवारता
ఆటో క్యాడ్,ऑटो कॅड
ఆటో డయాగ్నస్టిక్స్,ऑटो डायग्नोस्टिक्स
ఆటోమేటిక్,स्वयंचलित
స్వయంచాలక నియంత్రణ,स्वयंचलित नियंत्रण
ఆటోమేటిక్ డిటెక్షన్,स्वयंचलित शोध
స్వయంచాలక పరికరాలు,स्वयंचलित उपकरणे
ఆటోమేటిక్ ఫ్రీక్వెన్సీ కంట్రోల్,स्वयंचलित वारंवारता नियंत्रण
ఆటోమేటిక్ లిమిటర్,स्वयंचलित मर्यादा
ఆటోమేటిక్ మెషిన్,स्वयंचलित मशीन
ఆటోమేటిక్ ఫేసే నియంత్రణ,स्वयंचलित Phasae नियंत्रण
ఆటోమేటిక్ పిక్చర్ ట్రాన్స్మిషన్,स्वयंचलित चित्र संप्रेषण
ఆటోమేటిక్ ప్లేబ్యాక్,स्वयंचलित प्लेबॅक
ఆటోమేటిక్ పవర్ కంట్రోల్,स्वयंचलित उर्जा नियंत्रण
ఆటోమేటిక్ ప్రోగ్రామింగ్,स्वयंचलित प्रोग्रामिंग
ఆటోమేటిక్ రికార్డింగ్,स्वयंचलित रेकॉर्डिंग
ఆటోమేటిక్ రీసెట్,स्वयंचलित रीसेट
ఆటోమేటిక్ షట్టర్,स्वयंचलित शटर
ఆటోమేటిక్ సిస్టమ్,स्वयंचलित प्रणाली
ఆటోమేటిక్ టెలిఫోన్,स्वयंचलित टेलिफोन
స్వయంచాలక ఉష్ణోగ్రత నియంత్రణ,स्वयंचलित तापमान नियंत्रण
ఆటోమేటిక్ వోల్టేజ్ రెగ్యులేటర్,स्वयंचलित व्होल्टेज नियामक
ఆటోమేటిక్ వాల్యూమ్ కంప్రెసర్,स्वयंचलित व्हॉल्यूम कॉम्प्रेसर
ఆటోమేటిక్ వాల్యూమ్ కంట్రోల్,स्वयंचलित व्हॉल्यूम नियंत्रण
ఆటోమేటిక్ వాల్యూమ్ ఎక్స్‌పాండర్,स्वयंचलित व्हॉल्यूम विस्तारक
ఆటోమేషన్,ऑटोमेशन
ఆటోమేషన్ నియంత్రణ,ऑटोमेशन नियंत्रण
ఆటోమేషన్ ఫ్రీక్వెన్సీ కంట్రోలర్,ऑटोमेशन फ्रिक्वेन्सी कंट्रोलर
సహాయక,सहाय्यक
సహాయక ఆడియో బస్సు,सहाय्यक ऑडिओ बस
అందుబాటులో ఉన్న శక్తి,उपलब्ध शक्ती
హిమపాతం విచ్ఛిన్నం,हिमस्खलन ब्रेकडाउन
సగటు జీవితం,सरासरी जीवन
సగటు పీడనం,सरासरी दबाव
సగటు వేగం,सरासरी वेग
స్పిన్ యొక్క అక్షం,फिरकीची अक्ष
అజిముత్,अजीमुथ
అజిముత్ కోణం,अजीमुथ कोन
అజిముత్ లోపం,अजीमुथ त्रुटी
బ్యాక్ లైట్,मागे प्रकाश
బ్యాక్ ప్రొజెక్షన్,बॅक प्रोजेक्शन
వెనుక వోల్టేజ్ (= రివర్స్ వోల్టేజ్),बॅक व्होल्टेज (= रिव्हर्स व्होल्टेज)
బ్యాక్‌ఫైర్ (ఆర్క్ బ్యాక్),बॅकफायर (आर्क बॅक)
నేపథ్య కాంతి,पार्श्वभूमी प्रकाश
వెనుకవైపు శబ్ధం,पार्श्वभूमी आवाज
నేపథ్య ప్రొజెక్షన్,पार्श्वभूमी प्रोजेक्शन
బ్యాకప్,बॅकअप
అడ్డుపడే,बफल
బేకింగ్,बेकिंग
సమతుల్య ఆడియో,संतुलित ऑडिओ
సమతుల్య ఆడియో లైన్,संतुलित ऑडिओ लाइन
సమతుల్య ప్రసార రేఖ,संतुलित ट्रान्समिशन लाइन
బ్యాలెన్సింగ్,संतुलन
బ్యాలస్ట్,गिट्टी
బ్యాలస్ట్ కారకం,गिट्टी फॅक्टर
బలున్,बालुन
బ్యాండ్,बँड
బ్యాండ్ పాస్ ఫిల్టర్,बँड पास फिल्टर
బ్యాండ్ సెలెక్టర్,बँड निवडकर्ता
బ్యాండ్ విభజన,बँड स्प्लिटिंग
బ్యాండ్ స్టాప్ ఫిల్టర్,बँड स्टॉप फिल्टर
బ్యాండ్ స్విచ్,बँड स्विच
బ్యాండ్ ట్యూనింగ్,बँड ट्यूनिंग
బ్యాండ్‌విడ్త్,बँडविड्थ
బార్,बार
బార్ కోడ్,बार कोड
బార్ డేటా,बार डेटा
బేర్ బ్యాండ్,बेअर बँड
బేర్ లాంప్,बेअर दिवा
బార్న్ డోర్,धान्याचे कोठार
బేస్ బ్యాండ్,बेस बँड
బేస్ బ్యాండ్ సిగ్నల్,बेस बँड सिग्नल
బేస్ బ్యాండ్ వ్యవస్థ,बेस बँड सिस्टम
బేస్ బ్రౌజర్,बेस ब्राउझर
బేస్ కలెక్టర్ జంక్షన్,बेस कलेक्टर जंक्शन
బేస్ ఇన్సులేటర్,बेस इन्सुलेटर
బాస్,बास
బాస్ పరిహారం,बास भरपाई
బాస్ లౌడ్‌స్పీకర్ (వూఫర్),बास लाऊडस्पीकर (वूफर)
బ్యాచ్ స్కానింగ్,बॅच स्कॅनिंग
బ్యాటరీ ఛార్జింగ్,बॅटरी चार्जिंग
బీమ్,तुळई
బీట్,बीट
బీట్ ఫ్రీక్వెన్సీ ఓసిలేటర్,बीट फ्रिक्वेन्सी ऑसीलेटर
బెల్,बेल
బయాస్,पूर्वाग्रह
బయాస్ సర్క్యూట్,बायस सर्किट
బయాస్ ఫ్రీక్వెన్సీ,पूर्वाग्रह वारंवारता
బయాస్ వోల్టేజ్,बायस व्होल्टेज
ఫార్వర్డ్ దిశలో పక్షపాతం,पुढील दिशेने पक्षपाती
ద్వి-దిశాత్మక మైక్రోఫోన్,द्वि-दिशात्मक मायक्रोफोन
బిల్‌బోర్డ్,बिलबोर्ड
బిల్‌బోర్డ్ అప్లికేషన్,बिलबोर्ड अर्ज
ద్వి-మెటాలిక్ మూలకం,द्वि-धातूचा घटक
బైనరీ,बायनरी
బైనరీ కోడెడ్ దశాంశం,बायनरी कोडित दशांश
బైనరీ అంకెలు,बायनरी अंक (बिट)
బైనరీ సంఖ్య,बायनरी नंबर
బైనరల్ హియరింగ్,बिनौरल सुनावणी
బైనాక్యులర్,दुर्बिणी
బయోమెట్రిక్,बायोमेट्रिक
బైపోలార్ ట్రాన్సిస్టర్,द्विध्रुवीय ट्रान्झिस्टर
బిట్ కేటాయింపు,बिट वाटप
బిట్ రేటు,बिट रेट
బ్లాక్ & వైట్ టీవీ,काळा आणि पांढरा टीव्ही
ఖాళీ,रिक्त
ఖాళీ విరామం,ब्लँकिंग मध्यांतर
బ్లాంకింగ్ స్థాయి,ब्लँकिंग लेव्हल
బ్లీడర్ రెసిస్టెన్స్,ब्लेडर रेझिस्टन्स
బ్లింపెడ్ కెమెరా,ब्लिम्पेड कॅमेरा
బ్లైండింగ్ గ్లేర్,आंधळे चकाकी
బ్లింక్,डोळे मिचकावणे
బ్లింకింగ్,डोळे मिचकावणे
బ్లాక్ కోడ్,ब्लॉक कोड
బ్లాక్ రేఖాచిత్రం,ब्लॉक आकृती
బ్లాక్ ఇంటర్‌లీవ్,ब्लॉक इंटरलीव्ह
కెపాసిటర్ నిరోధించడం,कॅपेसिटर अवरोधित करणे
ఓసిలేటర్‌ను నిరోధించడం,ऑसीलेटर अवरोधित करणे
బ్లూమ్,ब्लूम
బ్లో లాంప్,ब्लो दिवा
బ్లో పైప్,ब्लो पाईप
బ్లోవర్,ब्लोअर
బ్లూటూత్,ब्लूटूथ
బాడీ కెపాసిటెన్స్,बॉडी कॅपेसिटन्स
బుక్‌మార్క్,बुकमार्क
బూలియన్ బీజగణితం,बुलियन बीजगणित
బూమ్,भरभराट
బూస్ట్,चालना
బూస్టర్,बूस्टर
బూస్టర్ లైట్,बूस्टर लाइट
బూస్టింగ్,चालना
బూటింగ్,बूटिंग
బూట్స్ట్రాప్,बूटस्ट्रॅप
దిగువ కాంతి,तळाशी प्रकाश
బౌన్స్ లైట్,बाउन्स लाइट
విచ్ఛిన్నం,यंत्रातील बिघाड
వోల్టేజ్ను విచ్ఛిన్నం చేయండి,व्होल्टेज खाली करा
వంతెన మూలకం,पूल घटक
బ్రిడ్జ్ రెక్టిఫైయర్,ब्रिज रेक्टिफायर
వంతెన ‘టి’ అటెన్యూయేటర్,ब्रिज केलेले ‘टी’ अ‍ॅटेन्युएटर
వంతెన నిర్మాణం,ब्रिज केलेली रचना
బ్రిడ్జింగ్,ब्रिजिंग
బ్రిడ్జింగ్ యాంప్లిఫైయర్,ब्रिजिंग एम्पलीफायर
వంతెన నష్టం,ब्रिजिंग लॉस
ప్రకాశం,चमक
ప్రకాశం నియంత్రణ,ब्राइटनेस कंट्रोल
పెళుసు,ठिसूळ
పెళుసైన పదార్ధం,ठिसूळ पदार्थ
బ్రాడ్‌బ్యాండ్,ब्रॉडबँड
బ్రాడ్‌బ్యాండ్ యాంప్లిఫైయర్,ब्रॉडबँड एम्पलीफायर
బ్రాడ్‌బ్యాండ్ ISDN,ब्रॉडबँड आयएसडीएन
బ్రాడ్‌బ్యాండ్ వ్యవస్థ,ब्रॉडबँड सिस्टम
ప్రసార మరియు కమ్యూనికేషన్ టెక్నాలజీ,प्रसारण आणि संप्रेषण तंत्रज्ञान
ప్రసార కవరేజ్,प्रसारण कव्हरेज
ప్రసార రిసీవర్,ब्रॉडकास्ट रिसीव्हर
