Punjabi,Gujarati
ਕੈਲੀਚੇ,કેલિચે
ਕੈਲੀਫੋਰਨੀਆ ਬੇਅਰਿੰਗ ਅਨੁਪਾਤ,કેલિફોર્નિયા બેરિંગ રેશિયો
ਕੈਲੀਪਰ,કેલિપર
ਕੈਲੋਰੀਮੀਟਰ,કેલરીમીટર
ਕੈਮਬਰ,કેમ્બર
ਨਹਿਰ,કેનાલ
ਕੈਨੋਪੀ,કેનોપી
Cantilever ਪੈਰ,કેન્ટિલવર ફૂટિંગ
ਕੈਪ,કેપ
ਸਮਰੱਥਾ,ક્ષમતા
ਏਲ ਟ੍ਰੈਕ ਦੀ ਸਮਰੱਥਾ,એઇલ ટ્રેકની ક્ષમતા
ਕੈਪ ਕੇਬਲ,કેપ કેબલ
ਕੈਪੀਲੇਰਿਟੀ,કેપિલેરિટી
ਕੇਸ਼ਿਕਾ ਬਰੇਕ,કેશિલરી વિરામ
ਕੇਸ਼ੀਲ ਪ੍ਰਵਾਹ,કેશિલરી પ્રવાહ
ਕੇਸ਼ਿਕਾ ਨਮੀ ਜਾਂ ਕੇਸ਼ੀਲ ਪਾਣੀ,કેશિલરી ભેજ અથવા કેશિલરી પાણી
ਕੇਸ਼ਿਕਾ ਪੋਰ ਸਪੇਸ,કેશિલરી છિદ્ર જગ્યા
ਕੇਸ਼ਿਕਾ ਪੋਰੋਸਿਟੀ,કેશિલરી છિદ્રાળુતા
ਕੇਸ਼ੀਲ ਸਪੇਸ,કેશિલરી જગ્યા
ਵੇਗ ਕੈਪਚਰ ਕਰੋ,કેપ્ચર વેગ
ਕਾਰਬਨੇਸ਼ਨ,કાર્બોનેશન
ਕਾਰਬਨ ਕਾਲਾ,કાર્બન બ્લેક
ਕਾਸਟਬਲ ਰਿਫ੍ਰੈਕਟਰੀ,કાસ્ટબલ રીફ્રેક્ટરી
ਕਾਸਟ-ਇਨ-ਪਲੇਸ ਜਾਂ ਕਾਸਟ-ਇਨ-ਸੀਟੂ,કાસ્ટ-ઇન-પ્લેસ અથવા કાસ્ટ-ઇન-સિટુ
ਕਾਸਟ-ਇਨ-ਪਲੇਸ ਢੇਰ,કાસ્ટ-ઇન-પ્લેસ ખૂંટો
ਕੈਸਟਰ,એરંડા
ਪੱਥਰ ਸੁੱਟੋ,કાસ્ટ પથ્થર
ਉਤਪ੍ਰੇਰਕ,ઉત્પ્રેરક
ਕੈਟੇਨਾ,કેટેના
ਬਿੱਲੀ ਦਾ ਚਿਹਰਾ,બિલાડીનો ચહેરો
ਬਿੱਲੀ ਦਾ ਸਿਰ,બિલાડીનું માથું
ਕੈਸ਼ਨ,કેશન
ਬਿੱਲੀ ਵਾਕ,કેટ વોક
Cavitation ਨੁਕਸਾਨ,પોલાણ નુકસાન
ਸੇਲੀਟ,સેલાઇટ
ਸੈਲੂਲਰ ਕੰਕਰੀਟ,સેલ્યુલર કોંક્રિટ
ਸੈਲੂਲਰ ਉਸਾਰੀ,સેલ્યુલર બાંધકામ
ਸੀਮਿੰਟ,સિમેન્ટ
"ਸੀਮਿੰਟ, ਬਿਟੂਮਿਨਸ","સિમેન્ટ, બિટ્યુમિનસ"
"ਸੀਮਿੰਟ, ਉੱਚ ਤਾਕਤ","સિમેન્ટ, ઉચ્ચ તાકાત"
"ਸੀਮਿੰਟ, ਹਾਈਡ੍ਰੌਲਿਕ","સિમેન્ટ, હાઇડ્રોલિક"
"ਸੀਮਿੰਟ, ਘੱਟ ਗਰਮੀ","સિમેન્ટ, ઓછી ગરમી"
"ਸੀਮਿੰਟ, ਚਿਣਾਈ","સિમેન્ટ, ચણતર"
"ਸੀਮਿੰਟ, ਕੁਦਰਤੀ","સિમેન્ટ, કુદરતી"
"ਸੀਮਿੰਟ, ਪੋਰਟਲੈਂਡ","સિમેન્ટ, પોર્ટલેન્ડ"
"ਸੀਮਿੰਟ, ਪੋਰਟਲੈਂਡ ਬਲਾਸਟ ਫਰਨੇਸ ਸਲੈਗ","સિમેન્ટ, પોર્ટલેન્ડ બ્લાસ્ટ ફર્નેસ સ્લેગ"
"ਸੀਮਿੰਟ, ਪੋਰਟਲੈਂਡ ਪੋਜ਼ੋਲਨ","સિમેન્ટ, પોર્ટલેન્ડ પોઝોલન"
"ਸੀਮਿੰਟ, ਸਲੈਗ","સિમેન્ટ, સ્લેગ"
"ਸੀਮਿੰਟ, ਸਲਫੇਟ ਰੋਧਕ","સિમેન્ટ, સલ્ફેટ પ્રતિરોધક"
"ਸੀਮਿੰਟ, ਸੁਪਰ ਸਲਫੇਟਿਡ","સિમેન્ટ, સુપર સલ્ફેટેડ"
"ਸੀਮਿੰਟ, ਚਿੱਟਾ","સિમેન્ટ, સફેદ"
ਸੀਮਿੰਟ-ਐਗਰੀਗੇਟ ਅਨੁਪਾਤ,સિમેન્ટ-એગ્રિગેટ રેશિયો
ਸੀਮਿੰਟ ਸਮੱਗਰੀ,સિમેન્ટ સામગ્રી
ਸੀਮਿੰਟ ਜੈੱਲ,સિમેન્ટ જેલ
ਸੀਮਿੰਟ ਬੰਦੂਕ,સિમેન્ટ બંદૂક
ਸੀਮਿੰਟ ਭੱਠਾ,સિમેન્ટ ભઠ્ઠી
ਸੀਮਿੰਟ ਪੇਂਟ,સિમેન્ટ પેઇન્ટ
ਸੀਮਿੰਟ ਪਲਾਸਟਰ,સિમેન્ટ પ્લાસ્ટર
ਸੀਮਿੰਟ ਚੱਟਾਨ,સિમેન્ટ ખડક
ਸੀਮਿੰਟ ਸਲਰੀ,સિમેન્ટ સ્લરી
ਸੀਮਿੰਟ ਸਟੋਰੇਜ਼,સિમેન્ટ સંગ્રહ
ਸੀਮੈਂਟੇਸ਼ਨ ਪ੍ਰਕਿਰਿਆ,સિમેન્ટેશન પ્રક્રિયા
ਸੈਂਟਰਿੰਗ,સેન્ટરિંગ
ਸੈਂਟਰਿੰਗ ਅਤੇ ਸ਼ਟਰਿੰਗ,સેન્ટરિંગ અને શટરિંગ
ਕੇਂਦਰੀ ਮਿਸ਼ਰਤ ਕੰਕਰੀਟ,કેન્દ્રીય મિશ્રિત કોંક્રિટ
ਕੇਂਦਰੀ ਮਿਕਸਰ,સેન્ટ્રલ મિક્સર
ਸੈਂਟਰਿਫਿਊਗਲ ਪੱਖਾ,કેન્દ્રત્યાગી ચાહક
ਚਾਕ,ચાક
ਚੈਂਫਰ,ચેમ્ફર
ਚੈਂਫਰ ਪੱਟੀ,ચેમ્ફર સ્ટ્રીપ
ਚੈਨਲ ਬੀਮ,ચેનલ બીમ
ਵਿਸ਼ੇਸ਼ਤਾ ਲੋਡ,લાક્ષણિક લોડ
ਗੁਣ ਸ਼ਕਤੀ,લાક્ષણિકતા શક્તિ
ਚਾਰਜ ਬੰਦ,ચાર્જ બંધ
ਚਾਰਜ ਹੋ ਰਿਹਾ ਹੈ,ચાર્જિંગ
ਜਾਂਚ ਕਰ ਰਿਹਾ ਹੈ,તપાસવું
ਰਸਾਇਣਕ ਬੰਧਨ,કેમિકલ બોન્ડ
ਚੇਰਨੋਜ਼ਮ,ચેર્નોઝેમ
ਚੈਸਟਨਟ ਮਿੱਟੀ,ચેસ્ટનટ માટી
ਚਿਮਨੀ ਗਟਰ,ચીમની ગટર
ਚਿੱਪ ਬੋਰਡ,ચિપ બોર્ડ
ਚਿੱਪਿੰਗ,ચીપીંગ
ਚਿਪਸ,ચિપ્સ
ਚੂਤ,ચૂટ
ਕਲਾਸ (ਕੰਕਰੀਟ ਦੀ),વર્ગ (કોંક્રિટનો)
ਮਿੱਟੀ,માટી
ਮਿੱਟੀ ਦੀ ਸਮੱਗਰੀ,માટી સામગ્રી
ਮਿੱਟੀ ਦਾ ਪੈਨ,માટીની તપેલી
ਸਫਾਈ,સાફ કરો
ਸਾਫ਼ ਕਰੋ,સાફ કરો
ਕਲੀਟ,ક્લીટ
ਕਲਿੰਕਰ,ક્લિન્કર
ਕਲਿਪ,ક્લિપ
ਜੰਮਣਾ,કોગ્યુલેશન
ਮੋਟਾ ਕੁੱਲ,બરછટ એકંદર
ਮੋਟੇ ਦਾਣੇ ਵਾਲੀ ਮਿੱਟੀ,બરછટ દાણાવાળી માટી
ਕੋਟ,કોટ
ਕੋਫਰ ਡੈਮ,કોફર ડેમ
ਤਾਲਮੇਲ,સંયોગ
ਕੋਲਾਇਡ,કોલોઇડ
ਕੋਲੋਇਡਲ ਨਮੀ ਦੇ ਬਰਾਬਰ ਅਨੁਪਾਤ,કોલોઇડલ ભેજ સમકક્ષ ગુણોત્તર
ਕੋਲੋਇਡਲ ਸਿਸਟਮ,કોલોઇડલ સિસ્ટમ
ਕੋਲੋਵੀਅਲ ਮਿੱਟੀ,કોલ્યુવિયલ માટી
ਕਾਲਮ,કૉલમ
ਕੰਬਡ ਮੁਕੰਮਲ,કોમ્બેડ પૂર્ણાહુતિ
ਸੰਯੁਕਤ ਪੈਰ,સંયુક્ત પગ
ਸੰਯੁਕਤ ਪਾਣੀ,સંયુક્ત પાણી
ਸਾਂਝਾ ਕਮਰਾ,સામાન્ય રૂમ
ਮੁਕੰਮਲਤਾ ਸਰਟੀਫਿਕੇਟ,પૂર્ણતા પ્રમાણપત્ર
ਕੰਪੋਨੈਂਟ ਵਰਗ,ઘટક ચોરસ
ਕੰਕਰੀਟ,કોંક્રિટ
ਕੰਕਰੀਸ਼ਨ,કન્ક્રિશન
ਏਕੀਕ੍ਰਿਤ ਦਰ/ਫਲੈਟ ਦਰ,એકીકૃત દર/સપાટ દર
ਗੰਦਗੀ,દૂષકો
ਐਲਕੋਵ ਪਕਾਉਣਾ,રસોઇ alcove
ਮੁਕਾਬਲਾ ਕਰਨਾ,મુકાબલો
ਕੋਰਬੇਲ,કોર્બેલ
ਕਾਰਨੀਸ,કોર્નિસ
ਕਪਲਰ,કપલર
"ਕਪਲਰ, ਡਬਲ","કપલર, ડબલ"
"ਕਪਲਰ, ਪੁਟਲੌਗ","કપલર, પુટલોગ"
"ਕਪਲਰ, ਘੁਮਾਣ ਵਾਲਾ","કપલર, સ્વીવેલ"
ਕੋਰਸ,અભ્યાસક્રમ
ਕੋਰਸ ਕੀਤਾ ਬੇਤਰਤੀਬ ਮਲਬੇ ਦੀ ਚਿਣਾਈ,કોર્સ્ડ રેન્ડમ રોડાં ચણતર
ਕਵਰ ਕੀਤਾ ਖੇਤਰ,આવરી લેવામાં આવેલ વિસ્તાર
ਕ੍ਰੀਪ,કમકમાટી
ਕ੍ਰੀਪ ਗੁਣਾਂਕ,ક્રીપ ગુણાંક
ਕਰੋਟੋਵਾਈਨ,ક્રોટોવાઇન
ਕਾਂ ਦੇ ਪੈਰ,કાગડો પગ
ਟੁਕੜਾ ਬਣਤਰ,નાનો ટુકડો બટકું માળખું
ਕਰਬ,કર્બ
ਵਰਤਮਾਨ,વર્તમાન
ਕਰਵ ਪ੍ਰਤੀਰੋਧ,વળાંક પ્રતિકાર
ਨਮੀ ਪਰੂਫ਼ ਕੋਰਸ,ભીનાશ પ્રૂફ કોર્સ
ਮੁਕੰਮਲ ਹੋਣ ਦੀ ਮਿਤੀ,પૂર્ણ થવાની તારીખ
ਡੈੱਡ ਲੋਡ,ડેડ લોડ
ਮਰੇ ਹੋਏ ਪਾਣੀ,મૃત પાણી
ਡੈਸੀਬਲ,ડેસિબલ
Deflocculation,ડિફ્લોક્યુલેશન
ਹਵਾਬਾਜ਼ੀ ਜਾਂ ਏਅਰ ਸਪੇਸ ਅਨੁਪਾਤ ਦੀ ਡਿਗਰੀ,વાયુમિશ્રણ અથવા એર સ્પેસ રેશિયોની ડિગ્રી
ਏਕੀਕਰਣ ਦੀ ਡਿਗਰੀ,એકત્રીકરણની ડિગ્રી
ਫੈਲਾਅ ਦੀ ਡਿਗਰੀ,વિખેરવાની ડિગ્રી
ਸੰਤ੍ਰਿਪਤਾ ਦੀ ਡਿਗਰੀ,સંતૃપ્તિની ડિગ્રી
ਘਣਤਾ,ઘનતા
ਮਾਰੂਥਲ ਫੁੱਟਪਾਥ,રણ પેવમેન્ટ
ਮਾਰੂਥਲ ਦੀ ਮਿੱਟੀ,રણની માટી
ਵੇਰਵੇ,વિગતો
ਵਿਕਾਸ ਦੀ ਮਿਆਦ,વિકાસ સમયગાળો
ਡੀ-ਹੋਰੀਜ਼ਨ,ડી-ક્ષિતિજ
ਵਿਕਰਣ ਬੰਧਨ,કર્ણ બંધન
ਚਿੱਤਰ,ડાયાગ્રામ
ਡਿਜੀਟਲ ਡੌਕ,ડિજિટલ ડોક
ਵਿਭਿੰਨ ਪਾਣੀ ਦੀ ਦਰ,વિભેદક પાણી દર
ਪਤਲਾ ਹਵਾਦਾਰੀ,મંદન વેન્ટિલેશન
ਡਾਇਲੁਵੀਅਮ,ડિલુવિયમ
ਭੋਜਨ ਕਕਸ਼,ડાઇનિંગ રૂમ
ਦਿਸ਼ਾ ਪੈਗ,દિશા ખીંટી
ਫੈਲਾਅ,વિક્ષેપ
ਡਿਸਟੈਂਪਰ,ડિસ્ટેમ્પર
ਡੌਕ,ડોક
ਦਰਵਾਜ਼ਾ,દરવાજો
ਡੋਰਮਰ,ડોર્મર
ਡੋਰਮਰ ਜਾਂਚ,ડોર્મર ચેક
ਡਬਲ ਫਲੇਮਿਸ਼ ਬਾਂਡ,ડબલ ફ્લેમિશ બોન્ડ
ਡਬਲ ਪਰਤ,ડબલ લેયર
ਡੌਲ,ડોવેલ
ਡਰਾਇੰਗ ਬੋਰਡ,ચિત્ર ફલક
ਡਰਾਇੰਗ ਰੂਮ,દીવાનખાનું
ਵਹਿਣਾ,ડ્રિફ્ટ
ਸੁੱਕੇ ਬੱਲਬ ਦਾ ਤਾਪਮਾਨ,શુષ્ક બલ્બ તાપમાન
ਸੁੱਕੀ ਡੌਕ,ડ્રાય ડોક
ਸੁੱਕੀ ਰਬੜ ਦੀ ਚਿਣਾਈ,સુકા રબર ચણતર
ਡੱਚ ਬਾਂਡ,ડચ બોન્ડ
ਬੌਣੀ ਕੰਧ,વામન દિવાલ
ਨਿਵਾਸ ਯੂਨਿਟ,નિવાસ એકમ
ਈਵ,ઇવ
ਈਵਸ ਗਟਰ,Eaves ગટર
ਆਰਥਿਕ ਵਿਵਹਾਰਕਤਾ,આર્થિક શક્યતા
ਐਕਟੋਡਾਇਨਾਮੋਰਫਿਕ ਮਿੱਟੀ,એક્ટોડાયનેમોર્ફિક માટી
ਐਡੀ,એડી
ਪ੍ਰਭਾਵੀ ਆਕਾਰ,અસરકારક કદ
ਪ੍ਰਫੁੱਲਤ,પુષ્પવૃત્તિ
ਪ੍ਰਵਾਹ,એફ્લુઅન્ટ
ਉਚਾਈ,એલિવેશન
ਐਲੂਵੀਏਸ਼ਨ,એલુવિએશન
ਐਲੂਵਿਅਮ,એલ્યુવિયમ
ਐਂਡੋਡਾਇਨਾਮੋਰਫਿਕ ਮਿੱਟੀ,એન્ડોડાયનેમોર્ફિક માટી
ਇੰਜੀਨੀਅਰਿੰਗ ਵਿਵਹਾਰਕਤਾ,એન્જિનિયરિંગની શક્યતા
ਅੰਗਰੇਜ਼ੀ ਬਾਂਡ,અંગ્રેજી બોન્ડ
ਅੰਗਰੇਜ਼ੀ ਬਾਗ ਦੀ ਕੰਧ ਬਾਂਡ,અંગ્રેજી ગાર્ડન વોલ બોન્ડ
"EPM (ਪ੍ਰਤੀ ਮਿਲੀਅਨ ਦੇ ਬਰਾਬਰ),&quot;","EPM (મિલિયન દીઠ સમકક્ષ),&quot;"
ਬਰਾਬਰ ਭਾਰ,સમકક્ષ વજન
ਅਰਗ,અર્ગ
ਵਟਾਂਦਰੇਯੋਗ,વિનિમયક્ષમ
ਬਦਲਣਯੋਗ ਐਸਿਡਿਟੀ,વિનિમયક્ષમ એસિડિટી
ਬਦਲਣਯੋਗ ਸੋਡੀਅਮ ਪ੍ਰਤੀਸ਼ਤ (ESP),વિનિમયક્ષમ સોડિયમ ટકાવારી (ESP)
ਈ.ਐੱਸ.ਪੀ.,ઇ.એસ.પી.
ਐਕਸਚੇਂਜ ਐਸਿਡਿਟੀ,એક્સચેન્જ એસિડિટી
ਐਕਸਚੇਂਜ ਕੰਪਲੈਕਸ,વિનિમય સંકુલ
ਨਿਕਾਸ,એક્ઝોસ્ટ
ਪ੍ਰਗਟ ਮੁਕੰਮਲ,ખુલ્લી પૂર્ણાહુતિ
ਆਈ,આંખ
ਅੱਖ ਦਾ ਭਾਂਡਾ,આંખ ભ્રમર
ਸਾਹਮਣਾ ਕਰਨਾ,સામનો કરવો
