Hindi,Malayalam
सन्निकटन-समस्या,ഏകദേശ പ്രശ്നം
सन्निकटन-गुणधर्म,ഏകദേശ സ്വത്ത്
अभिक्षमता-परीक्षावली,ആപ്റ്റിറ്റ്യൂഡ് ടെസ്റ്റ് ബാറ്ററി
आरगाँ आरेख,അർഗൻഡ് ഡയഗ്രം
स्वेच्छगहीतृ,ഏകപക്ഷീയമായി തിരഞ്ഞെടുത്തു
"स्वेच्छ, यादृच्छिक",ഏകപക്ഷീയമായ
स्वेच्छ अचर,ഏകപക്ഷീയമായ സ്ഥിരാങ്കം
स्वेच्छ अवयव,ഏകപക്ഷീയമായ ഘടകം
स्वेच्छ बिन्दु,ഏകപക്ഷീയമായ പോയിന്റ്
आर्किमीडी नियम,ആർക്കെമീഡിയൻ നിയമം
आर्किमीडीज़ का नियम,ആർക്കിമിഡീസ് തത്വം
"चाप-दैर्घ्य, चाप-लम्बाई",ആർക്ക് നീളം
वत्तृ चाप,വൃത്താകൃതിയിലുള്ള കമാനം
प्रतिलोम ज्या बंटन,ആർക്ക് സൈൻ വിതരണം
प्रतिलोम ज्या रूपांतरण,ആർക്ക് സൈൻ പരിവർത്തനം
" क्षेत्र , क्षेत्रफल",പ്രദേശം
क्षेत्रीय विन्यास,ഏരിയൽ ടെക്സ്ചർ
सम्मिश्र संख्या का कोणांक,സങ്കീർണ്ണ സംഖ്യയുടെ വാദം
समांतर माध्य,ഗണിത അർത്ഥം
अंकीय संक्रिया,ഗണിത പ്രവർത്തനം
अंकीय एकक,ഗണിത യൂണിറ്റ്
"विन्यास, व्यवस्था",ക്രമീകരണം
"व्यूह , सरणी",അറേ
कृत्रिम उपग्रह,കൃത്രിമ ഉപഗ്രഹം
कृत्रिम चर,കൃത്രിമ വേരിയബിൾ
आरोहण करना,കയറുക
आरोही,ആരോഹണം
परिमाण का आरोही क्रम,മാഗ്നിറ്റ്യൂഡിന്റെ ആരോഹണ ക്രമം
आरोही श्रेणी,ആരോഹണ പരമ്പര
कोडांतरक भाषा,അസംബ്ലർ ഭാഷ
"नियतन समस्या नियतन प्रश्न,",അസൈൻമെന്റ് പ്രശ്നം
साहचर्य नियम,സഹകാരി നിയമം
संकारकों का साहचर्य नियम,ഓപ്പറേറ്റർമാരുടെ അനുബന്ധ നിയമം
साहचर्य-संक्रिया,അനുബന്ധ പ്രവർത്തനം
सहचारिता,സഹവാസം
कल्पित माध्य,അർത്ഥമാക്കുന്നത്
कल्पित प्रायिकता बंटन,പ്രോബബിലിറ്റി ഡിസ്ട്രിബ്യൂഷൻ അനുമാനിച്ചു
" कल्पना , गृहीत,",അനുമാനം
ज्योतिष,ജ്യോതിഷം
"अंतरिक्षयानिक इंजीनियर अंतराळी अभियंता,",ബഹിരാകാശ എഞ്ചിനീയർ
खगोलज्ञ*,ജ്യോതിശാസ്ത്രജ്ഞൻ
खगोलीय घड़ी,ജ്യോതിശാസ്ത്ര ഘടികാരം
खगोलिकी,ജ്യോതിശാസ്ത്രം
असममित वक्र,അസമമായ വക്രം
असममिति,അസമമിതി
अनंतस्पर्शी,ലക്ഷണം
उपगामी,അസിംപ്റ്റോട്ടിക്
उपगामी दक्ष आकलक,അസിംപ്റ്റിക്കലി കാര്യക്ഷമമായ എസ്റ്റിമേറ്റർ
उपगामी अनभिनत आकलक,അസ്‌മിപ്റ്റിക്കലി പക്ഷപാതമില്ലാത്ത എസ്റ്റിമേറ്റർ
उपगामी आचरण,അസിംപ്റ്റോട്ടിക് സ്വഭാവം
उपगामी बंटन-फलन,അസിംപ്റ്റോട്ടിക് ഡിസ്ട്രിബ്യൂഷൻ ഫംഗ്ഷൻ
उपगामी प्रसार,അസിംപ്റ്റോട്ടിക് വികാസം
वायु मंडलीय दाब,അന്തരീക്ഷമർദ്ദം
"यदृच्छया,",മാറി മാറി
गुण*,ആട്രിബ്യൂട്ട്
गुण-प्रतिचयन-क्रियाविधि,ആട്രിബ്യൂട്ടുകൾ സാമ്പിൾ നടപടിക്രമം
संवर्धित आव्यूह,വർദ്ധിപ്പിച്ച മാട്രിക്സ്
स्वसहसंबंध गुणांक,ഓട്ടോകോറിലേഷൻ കോഫിഫിഷ്യന്റ്
स्वसहसंबंध फलन,ഓട്ടോകോറിലേഷൻ ഫംഗ്ഷൻ
स्वसहप्रसरण,ഓട്ടോകോവേരിയൻസ്
स्वचालित अभिकलित्र,ഓട്ടോമാറ്റിക് കമ്പ്യൂട്ടർ
स्वसमाश्रयण,സ്വയം റിഗ്രഷൻ
सहायक समीकरण,സഹായ സമവാക്യം
माध्य प्रतिदर्श संख्या वक्र (मा.प्र.सं. वक्र),ശരാശരി സാമ്പിൾ നമ്പർ വക്രം (ASN കർവ്)
" स्वयंसिद्‌ध , अभिगृहीत",സിദ്ധാന്തം
अभिगहीती दृष्टिकोण,അച്ചുതണ്ട് സമീപനം
प्रायिकता अभिगृहीत,സംഭാവ്യതയുടെ സിദ്ധാന്തം
अक्ष,അച്ചുതണ്ട്
भुजाक्ष,അബ്സിസ്സയുടെ അച്ചുതണ്ട്
भू-अक्ष,ഭൂമിയുടെ അച്ചുതണ്ട്
परिक्रमण-अक्ष,വിപ്ലവത്തിന്റെ അച്ചുതണ്ട്
घूर्णन अक्ष,ഭ്രമണത്തിന്റെ അച്ചുതണ്ട്
प्रचक्रण-अक्ष,സ്പിന്നിന്റെ അച്ചുതണ്ട്
पश्च-प्रतिस्थापन,തിരികെ-പകരം
पश्चांतर,പിന്നാക്ക വ്യത്യാസം
पश्च अंतर्वेशन-सूत्र,ബാക്ക്വാർഡ്-ഇന്റർപോളേഷൻ ഫോർമുല
"तुला, तराजू , संतु लन , शेष, बाकी , संतुलित होना, संतुलित करना",ബാലൻസ്
संतुलित अभिकल्पना,സമതുലിതമായ ഡിസൈൻ
तुलन-पत्र,ബാലൻസ് ഷീറ്റ്
प्रक्षेपास्त्र,ബാലിസ്റ്റിക് മിസൈൽ
"प्राक्षेपिकी, अस्त्र विज्ञान",ബാലിസ്റ്റിക്സ്
" स्तंभ, शलाका, सिल, सिल्ली, दंड, छड़, पट्टी , रोधिका, भित्ति , बार , रेखा, रेखिका , परीक्षण रेखा, धार",ബാർ
"आधार , क्षारक , अधम , मूल , बेस",അടിസ്ഥാനം
आधार कोण,അടിസ്ഥാന കോൺ
"लघुगणक का आधार, लॉगरिथ्म का आधार",ലോഗരിതം അടിസ്ഥാനം
"आधारी, मूल,",അടിസ്ഥാന
आधारी सुसंगत हल,അടിസ്ഥാന പ്രായോഗിക പരിഹാരം
आधारी हल,അടിസ്ഥാന പരിഹാരം
आधारी चर,അടിസ്ഥാന വേരിയബിൾ
आधारक,അടിസ്ഥാനം
आधार अवयव,അടിസ്ഥാന ഘടകം
आधारी आव्यूह,അടിസ്ഥാന മാട്രിക്സ്
सदिश समष्टि का आधार,ഒരു വെക്റ്റർ സ്ഥലത്തിന്റെ അടിസ്ഥാനം
उपसमष्टि का आधार,ഉപസ്ഥലത്തിന്റെ അടിസ്ഥാനം
बेज़-आकल,ബയേസിയൻ എസ്റ്റിമേറ്റ്
बेज़-नियम,ബയേസിന്റെ നിയമം
बेज़-प्रमेय,ബയേസിന്റെ സിദ്ധാന്തം
बर्नूली-बंटन,ബെർണൂലി വിതരണം
बर्नूली संख्या,ബെർണൂലി നമ്പർ
बर्नूली प्रायिकता-फलन,ബെർണൂലി പ്രോബബിലിറ്റി ഫംഗ്‌ഷൻ
बर्नूली-समीकरण,ബെർണൂലിയുടെ സമവാക്യം
बेरी फलन,ബെറി പ്രവർത്തനം
श्रेष्ठतम आसंजन,ഏറ്റവും അനുയോജ്യം
श्रेष्ठतम आसंजन रेखा,ഏറ്റവും അനുയോജ്യമായ ലൈൻ
सर्वोत्तम हल,മികച്ച പരിഹാരം
सर्वोत्तम युक्तियाँ,മികച്ച തന്ത്രങ്ങൾ
बीटा बंटन,ബീറ്റ വിതരണം
"अभिनति, बायस",പക്ഷപാതം
अभिनत आकल,പക്ഷപാതപരമായ കണക്ക്
द्विप्रसंवादी समीकरण,ബൈഹാർമോണിക് സമവാക്യം
एकैकी आच्छादन,ബിജക്ഷൻ
एकैकी आच्छादी प्रतिचित्र,ബിജക്റ്റീവ് മാപ്പ്
एकैकी आच्छादी प्रतिचित्रण,ബിജക്റ്റീവ് മാപ്പിംഗ്
द्विएकघाती समघात,ബിലീനിയർ രൂപം
द्विरैखिक फलन,ബിലീനിയർ ഫംഗ്ഷൻ
द्विरैखिक हर्मिटीय समघात,ബിലീനിയർ ഹെർമിഷ്യൻ രൂപം
"द्वि-चर, द्वि-आधारी, द्वयी",ബൈനറി
"द्वि-आधारी कोड, द्विआधारी कूट",ബൈനറി കോഡ്
"द्वि-आधारी कूट दशमलव, द्वि-आधारी कोडित दशमलव",ബൈനറി കോഡ് ചെയ്ത ദശാംശം
द्वि-आधारी कूटलेखन,ബൈനറി കോഡിംഗ്
द्वि-आधारी अभिकलित्र,ബൈനറി കമ്പ്യൂട്ടർ
द्वि-आधारी अंक,ബൈനറി അക്കം
द्विआधारी संक्रिया,ബൈനറി പ്രവർത്തനം
द्विआधारी पद्‌धति,ബൈനറി സിസ്റ്റം
द्विआधारी चर,ബൈനറി വേരിയബിൾ
द्विपद गुणांक,ദ്വിപദ ഗുണകം
द्विपद बंटन,ദ്വിപദ വിതരണം
द्विपद समीकरण,ദ്വിപദ സമവാക്യം
द्विपद प्रसरण,ദ്വിപദ വിപുലീകരണം
द्विपद व्यंजक,ദ്വിപദ പദപ്രയോഗം
द्विपद यादृच्छिक चर,ബൈനോമിയൽ റാൻഡം വേരിയബിൾ
द्विपद-प्रमेय,ദ്വിപദ സിദ്ധാന്തം
"अर्धन, द्विभाजन",വിഭജനം
"समद्विभाजन विधि, अर्धीकरण विधि",വിഭജന രീതി
"अर्धक, द्विभाजक",ദ്വിഭാഗം
"द्विपंक्तिक, द्विश्रेणिक",ബൈസീരിയൽ
"द्वयंक (द्विआधारी अंक) , अणी, बरमी , टूक",ബിറ്റ്
द्विचर द्विपद-बंटन द्विचल,ദ്വിപദ ദ്വിപദ വിതരണം
द्विचर सहसंबंध गुणांक,ദ്വിവസ്ത്ര പരസ്പര ബന്ധ ഗുണകം
द्विचर बंटन,ദ്വിവിധ വിതരണം
द्विचर प्रसामान्य-बंटन,ദ്വിവത്കൃത സാധാരണ വിതരണം
द्विसदिश,ബിവെക്ടർ
बोल्ट्मान समीकरण,ബോൾട്ട്സ്മാൻ സമവാക്യം
बूलीय बीजावली*,ബൂളിയൻ ബീജഗണിതം
बोस-आइन्स्टाइन सांख्यिकी,ബോസ് - ഐൻസ്റ്റീൻ സ്ഥിതിവിവരക്കണക്കുകൾ
परिसीमा प्रतिबन्ध,അതിർത്തി അവസ്ഥ
परिसीमा स्तर,അതിർത്തി പാളി
परिसीमा रेखा,അതിർത്തി രേഖ
परिसीमा मान,അതിർത്തി മൂല്യം
परिसीमा मान समस्या,അതിർത്തി മൂല്യ പ്രശ്നം
"परिबद्‌ध फलन परिबद्‌ध फल,",പരിമിതമായ പ്രവർത്തനം
"परिबद्‌ध मैट्रिक्स, परिबद्‌ध आव्यूह परिबद्‌ध सारणी,",ബൗണ്ടഡ് മാട്രിക്സ്
"परिबद्‌ध प्रदेश परिबद्‌ध प्रदेश,",അതിർത്തി പ്രദേശം
"परिबद्‌ध समच्चय परिबद्‌ध संच,",ബൗണ്ടഡ് സെറ്റ്
ब्राउनी गति,ബ്രൗൺ ചലനം
परिकलन करना,കണക്കാക്കുക
परिकलन,കണക്കുകൂട്ടുന്നു
"परिकलन-यंत्र, परिकलित्र",കണക്കുകൂട്ടൽ യന്ത്രം
परिकलन*,കണക്കുകൂട്ടല്
परिकलनात्मक क्रिया विधि,കണക്കുകൂട്ടൽ നടപടിക്രമം
" परिकलित्र , परिकलक",കാൽക്കുലേറ്റർ
"कलन, कैलकुलस",കാൽക്കുലസ്
विचरण-कलन,വ്യതിയാനത്തിന്റെ കണക്കുകൂട്ടൽ
कैलोरी,കലോറി
निरसन नियम,റദ്ദാക്കൽ നിയമം
विहित समीकरण,കാനോനിക്കൽ സമവാക്യം
विहित रूप,കാനോനിക്കൽ രൂപം
"विहित मैट्रिक्स, के नानिकल मैट्रिक्स",കാനോനിക്കൽ മാട്രിക്സ്
कैन्टर समुच्चय,കാന്റർ സെറ്റ്
कैन्टर त्रिआधारी समुच्चय,കാന്ററിന്റെ ത്രിതല സെറ്റ്
परिबंधित परिवहन समस्या,ശേഷിയുള്ള ഗതാഗത പ്രശ്നം
क्षमता,ശേഷി
केशिका-बल,കാപ്പിലറി ബലം
"गणन संख्या, कार्डिनल संख्या",കാർഡിനൽ നമ്പർ
कार्तीय अक्ष,കാർട്ടീഷ്യൻ അക്ഷങ്ങൾ
कार्तीय निर्देशांक,കാർട്ടീഷ്യൻ കോർഡിനേറ്റുകൾ
कार्तीय गुणन,കാർട്ടീഷ്യൻ ഉൽപ്പന്നം
समुच्चयों का कार्तीय गुणन,സെറ്റുകളുടെ കാർട്ടീഷ്യൻ ഉൽപ്പന്നം
"केस अध्ययन, वस्तुस्थिति अध्ययन",കേസ് പഠനം
विपत्तिपूर्ण उच्चावचन,വിനാശകരമായ ഏറ്റക്കുറച്ചിലുകൾ
कैटिनरी,കാറ്റനറി
कौशी बंटन,കോച്ചി വിതരണം
कौशी सूत्र,കൗച്ചി ഫോർമുല
कौशी-गूर्सा-प्रमेय,Cauchy Goursat സിദ്ധാന്തം
कौशी-रीमान-प्रतिबंध,കൗച്ചി റീമാൻ വ്യവസ്ഥകൾ
कौशी अनुक्रम,Cauchy ക്രമം
कौशी समाकल,കൗച്ചി ഇന്റഗ്രൽ
कौशी मुख्य-मान,Cauchy പ്രധാന മൂല്യം
कौशी अवशेष प्रमेय,കൗച്ചി അവശിഷ്ട സിദ്ധാന്തം
कैले-हैमिल्टन-प्रमेय,കെയ്‌ലി ഹാമിൽട്ടൺ സിദ്ധാന്തം
"खपिंड, खगोलीय पिंड",ആകാശ ശരീരം
खगोलीय माप,ആകാശത്തിന്റെ അളവ്
खगोलीय यांत्रिकी,ആകാശ മെക്കാനിക്സ്
खगोलीय पिंड,ആകാശ വസ്തു
कोशिका बारंबारता,സെൽ ആവൃത്തി
"गणना , जनगणना",കാനേഷുമാരി
शततमक,സെന്റൽ
सेन्टीमीटर,സെന്റീമീറ്റർ
सेन्टीमीटर-ग्राम-सेकंड पद्‌धति,സെന്റീമീറ്റർ ഗ്രാം സെക്കന്റ് സിസ്റ്റം
"केन्द्रीय , सकेन्द्र",കേന്ദ്ര
केन्द्रीय अक्ष,കേന്ദ്ര അക്ഷം
केन्द्रीय अंतर,കേന്ദ്ര വ്യത്യാസം
केन्द्रीय अंतर सूत्र,കേന്ദ്ര വ്യത്യാസ ഫോർമുല
केन्द्रीय अंतर सारणी,കേന്ദ്ര വ്യത്യാസ പട്ടിക
केन्द्रीय सीमा प्रमेय,കേന്ദ്ര പരിധി സിദ്ധാന്തം
केन्द्रीय आघूर्ण,കേന്ദ്ര നിമിഷം
केन्द्रीय संसाधन एकक,സെൻട്രൽ പ്രോസസ്സിംഗ് യൂണിറ്റ് (സിപിയു)
केन्द्रीय प्रवतिृ,കേന്ദ്ര പ്രവണത
केन्द्र*,കേന്ദ്രം
गुरुत्व-केन्द्र,ഗുരുത്വാകർഷണ കേന്ദ്രം
समूह-केन्द्र,ഗ്രൂപ്പിന്റെ കേന്ദ്രം
संहति-केन्द्र,പിണ്ഡത്തിന്റെ കേന്ദ്രം
सममिति-केन्द्र,സമമിതിയുടെ കേന്ദ്രം
अपकेन्द्री बल,അപകേന്ദ്ര ബലം
अभिकेन्द्र-बल,അപകേന്ദ്രബലം
"केन्द्रक मध्यगासंपात,",കേന്ദ്രീകൃത
निश्चितता,ഉറപ്പ്
c.g.s.पद्‌धति,cgs സിസ്റ്റം
c.g.s.मात्रक,cgs യൂണിറ്റ്
अवकलन का शृंखला नियम,വ്യത്യാസത്തിന്റെ ശൃംഖല
संयोग हेतु,സാധ്യത കാരണങ്ങൾ
सांयोगिक चाल,അവസര നീക്കങ്ങൾ
अक्ष-परिवर्तन,അച്ചുതണ്ടുകളുടെ മാറ്റം
"आधार परिवर्तन पायाधार-बदल,",അടിസ്ഥാന മാറ്റം
क्रम परिवर्तन,ക്രമം മാറ്റം
अभिलक्षणिक गुणांक,സ്വഭാവ ഗുണകം
अभिलक्षणिक सारणिक,ഡിറ്റർമിനന്റ്
अभिलक्षण-समीकरण,സ്വഭാവ സമവാക്യം
"अभिलक्षण-फलन, कैरेक्टेरिस्टिक फलन",സ്വഭാവ സവിശേഷത
लघुगणक का पूर्णांश,ലോഗരിതത്തിന്റെ സ്വഭാവം
"अभिलक्षणिक बहुपद,",സ്വഭാവ ബഹുപദം
अभिलक्षणिक मान,സ്വഭാവ മൂല്യം
अभिलक्षणिक सदिश,സ്വഭാവ വെക്റ്റർ
संप्रतीक समुदाय,പ്രതീക സെറ്റ്
"चार्ट, संचित्र तक्ता,",ചാർട്ട്
काई-वर्ग बंटन,ചി-സ്ക്വയർ വിതരണം
काई-वर्गं सूत्र,ചി-സ്ക്വയർ ഫോർമുല
काई-वर्ग परीक्षण,ചി-സ്ക്വയർ ടെസ്റ്റ്
जीवा*,കോർഡ്
जीवा-द्विभाजन-विधि,chord-bisection രീതി
बीजलिखित संदेश,സൈഫർ സന്ദേശം (=കോഡ് ചെയ്ത സന്ദേശം)
"शून्य, सिफर",സൈഫർ (പൂജ്യം)
वृत्त*,വൃത്തം
अभिसरण वत्तृ,ഒത്തുചേരൽ വൃത്തം
परिपथ आव्यूह,സർക്യൂട്ട് മാട്രിക്സ്
"वृत्ताकार, वर्तुल,",വൃത്താകൃതിയിലുള്ള
वर्तुल अनंतस्पर्शी,വൃത്താകൃതിയിലുള്ള ലക്ഷണം
वृत्तीय कंडुलिनी,വൃത്താകൃതിയിലുള്ള ഹെലിക്സ്
वर्तुल गति,വൃത്താകൃതിയിലുള്ള ചലനം
परिकेन्द्र,ചുറ്റളവ്
परिवृत्त*,വൃത്താകൃതി
"परिगत करना, परितः खींचना",ചുറ്റുക
परिगत,പരിമിതപ്പെടുത്തിയിരിക്കുന്നു
परिवृत,ചുറ്റപ്പെട്ട വൃത്തം
चिरप्रतिष्ठित निगमनिक,ക്ലാസിക്കൽ ഡിഡക്റ്റീവ് ടെക്നിക്
चिरप्रतिष्ठित गतिकी,ക്ലാസിക്കൽ ഡൈനാമിക്സ്
चिरप्रतिष्ठित इष्टतमन,ക്ലാസിക്കൽ ഒപ്റ്റിമൈസേഷൻ
चिरप्रतिष्ठित वित्तनाश समस्या,ക്ലാസിക്കൽ നാശത്തിന്റെ പ്രശ്നം
चिरप्रतिष्ठित सांख्यिकीय यांत्रिकी,ക്ലാസിക്കൽ സ്റ്റാറ്റിസ്റ്റിക്കൽ മെക്കാനിക്സ്
त्रुटियों का वर्गीकरण,പിശകുകളുടെ വർഗ്ഗീകരണം
वर्ग-अंतराल,ക്ലാസ് ഇടവേള
वर्गांतराल एकक,ക്ലാസ്-ഇന്റർവെൽ യൂണിറ്റ്
वर्ग-सीमा,ക്ലാസ് പരിധി
दक्षिणावर्त,ഘടികാരദിശയിൽ
संविवृत,ക്ലോപ്പൻ (= അടച്ചതും തുറന്നതും)
