Marathi,Hindi
वाटप समस्या,"नियतन समस्या वाटपप्रश्न,"
वर्णक्रमानुसार नोटेशन,अक्षरात्मक संकेत पद्‌धति
वर्णमाला वर्ण,अक्षरात्मक संप्रतीक
पर्यायी कोन,एकांतर कोण
पर्यायी फॉर्म,"एकांतर समघात प्रत्यावर्ती रूप,"
पर्यायी गट,एकांतर समूह
पर्यायी मॅट्रिक्स,एकांतर आव्यूह
पर्यायी मालिका,एकांतर श्रेणी
पर्यायी गृहीतक,वैकल्पिक परिकल्पना
पर्यायी ऑप्टिमा,वैकल्पिक इष्टमत
पर्यायी परिणाम,वैकल्पिक परिणाम
अॅनालॉग-टू-डिजिटल कनवर्टर,अनुरूप-अंकीय परिवर्तक
अॅनालॉग संगणक,"अनुरूप कम्प्यूटर,"
विश्लेषण,विश्लेषण
सहप्रसरणाचे विश्लेषण,सहप्रसरण-विश्लेषण
गणना डेटाचे विश्लेषण,गणन-आंकड़ों का विश्लेषण
भिन्नतेचे विश्लेषण,प्रसरण-विश्लेषण
विश्लेषणात्मक भूमिती,विश्लेषिक ज्यामिति
विश्लेषणात्मक कार्य,विश्लेषिक फलन
कोन,कोण
संपर्क कोन,स्पर्श-कोण
विक्षेपण कोन,विक्षेप-कोण
उदासीनता कोन,अवनमन-कोण
विचलन कोन,विचलन-कोण
विवर्तन कोन,विवर्तन-कोण
उंचीचा कोन,उन्नयन-कोण
घटनेचा कोन,आपतन-कोण
प्रक्षेपण कोन,प्रक्षेप-कोण
परावर्तन कोन,परावर्तन-कोण
अपवर्तन कोन,अपवर्तन-कोण
रोटेशनचा कोन,घूर्णन-कोण
एकूण परावर्तनाचा कोन,पूर्ण परावर्तन-कोण
कोनीय प्रवेग,कोणीय त्वरण
कोणीय गती,कोणीय गति
कोनीय गती,कोणीय चाल
कोनीय गती,कोणीय वेग
वलय,वलयिका
उत्तर,उत्तर
विरोधी व्युत्पन्न,प्रति-अवकलज
विषमताविरोधी कार्य,प्रतिसममित फलन
लागू,"आच्छाद्य , अनु प्रयोज्य, लागू"
अर्ज,"अनुप्रयोग उपयोजन,"
लागू डायनॅमिक प्रोग्रामिंग,अनुप्रयुक्त गतिशील प्रोग्रामन
लागू भूमिती,अनुप्रयुक्त ज्यामिति
लागू गणित,अनुप्रयुक्त गणित
लागू आकडेवारी,अनुप्रयुक्त सांख्यिकी
अंदाजे,"सन्निकटतः, लगभग"
अंदाजे सतत कार्य,सन्निकटतः संतत फलन
अंदाजे पद्धत,"स्थूल विधि, सन्निकट विधि"
अंदाजे उपाय,सन्निकट हल
अंदाजे समस्या,सन्निकटन-समस्या
अंदाजे मालमत्ता,सन्निकटन-गुणधर्म
योग्यता चाचणी बॅटरी,अभिक्षमता-परीक्षावली
आर्गंड आकृती,आरगाँ आरेख
अनियंत्रितपणे निवडले,स्वेच्छगहीतृ
अनियंत्रित,"स्वेच्छ, यादृच्छिक"
अनियंत्रित स्थिरांक,स्वेच्छ अचर
अनियंत्रित घटक,स्वेच्छ अवयव
अनियंत्रित बिंदू,स्वेच्छ बिन्दु
आर्किमेडियन कायदा,आर्किमीडी नियम
आर्किमिडीज तत्त्व,आर्किमीडीज़ का नियम
चाप लांबी,"चाप-दैर्घ्य, चाप-लम्बाई"
वर्तुळाचा चाप,वत्तृ चाप
आर्क साइन वितरण,प्रतिलोम ज्या बंटन
चाप साइन परिवर्तन,प्रतिलोम ज्या रूपांतरण
क्षेत्र," क्षेत्र , क्षेत्रफल"
क्षेत्रीय पोत,क्षेत्रीय विन्यास
जटिल संख्येचा युक्तिवाद,सम्मिश्र संख्या का कोणांक
अंकगणित सरासरी,समांतर माध्य
अंकगणित ऑपरेशन,अंकीय संक्रिया
अंकगणित एकक,अंकीय एकक
व्यवस्था,"विन्यास, व्यवस्था"
रचना,"व्यूह , सरणी"
कृत्रिम उपग्रह,कृत्रिम उपग्रह
कृत्रिम व्हेरिएबल,कृत्रिम चर
चढणे,आरोहण करना
चढत्या,आरोही
परिमाणाचा चढता क्रम,परिमाण का आरोही क्रम
चढत्या मालिका,आरोही श्रेणी
असेंबलर भाषा,कोडांतरक भाषा
असाइनमेंट समस्या,"नियतन समस्या नियतन प्रश्न,"
सहयोगी कायदा,साहचर्य नियम
ऑपरेटर्सचा सहयोगी कायदा,संकारकों का साहचर्य नियम
सहयोगी ऑपरेशन,साहचर्य-संक्रिया
सहवास,सहचारिता
सरासरी गृहीत धरले,कल्पित माध्य
गृहीत संभाव्यता वितरण,कल्पित प्रायिकता बंटन
गृहीतक," कल्पना , गृहीत,"
ज्योतिष,ज्योतिष
अंतराळवीर अभियंता,"अंतरिक्षयानिक इंजीनियर अंतराळी अभियंता,"
खगोलशास्त्रज्ञ,खगोलज्ञ*
खगोलशास्त्रीय घड्याळ,खगोलीय घड़ी
खगोलशास्त्र,खगोलिकी
असममित वक्र,असममित वक्र
विषमता,असममिति
लक्षणे,अनंतस्पर्शी
लक्षणे नसलेला,उपगामी
असिम्प्टोटिकली कार्यक्षम अंदाजकर्ता,उपगामी दक्ष आकलक
asymptotically निष्पक्ष अंदाजकर्ता,उपगामी अनभिनत आकलक
लक्षणे नसलेले वर्तन,उपगामी आचरण
एसिम्प्टोटिक वितरण कार्य,उपगामी बंटन-फलन
एसिम्प्टोटिक विस्तार,उपगामी प्रसार
वातावरणाचा दाब,वायु मंडलीय दाब
यादृच्छिकपणे,"यदृच्छया,"
विशेषता,गुण*
गुणधर्म नमुना प्रक्रिया,गुण-प्रतिचयन-क्रियाविधि
संवर्धित मॅट्रिक्स,संवर्धित आव्यूह
स्वयंसंबंध गुणांक,स्वसहसंबंध गुणांक
स्वयंसंबंध कार्य,स्वसहसंबंध फलन
autocovariance,स्वसहप्रसरण
स्वयंचलित संगणक,स्वचालित अभिकलित्र
ऑटोरिग्रेशन,स्वसमाश्रयण
सहाय्यक समीकरण,सहायक समीकरण
सरासरी नमुना क्रमांक वक्र (ASN वक्र),माध्य प्रतिदर्श संख्या वक्र (मा.प्र.सं. वक्र)
स्वयंसिद्ध," स्वयंसिद्‌ध , अभिगृहीत"
स्वयंसिद्ध दृष्टीकोन,अभिगहीती दृष्टिकोण
संभाव्यतेचे स्वयंसिद्ध,प्रायिकता अभिगृहीत
अक्ष,अक्ष
abscissa चा अक्ष,भुजाक्ष
पृथ्वीचा अक्ष,भू-अक्ष
क्रांतीची अक्ष,परिक्रमण-अक्ष
रोटेशनचा अक्ष,घूर्णन अक्ष
फिरकीचा अक्ष,प्रचक्रण-अक्ष
परत प्रतिस्थापन,पश्च-प्रतिस्थापन
मागास फरक,पश्चांतर
बॅकवर्ड-इंटरपोलेशन सूत्र,पश्च अंतर्वेशन-सूत्र
शिल्लक,"तुला, तराजू , संतु लन , शेष, बाकी , संतुलित होना, संतुलित करना"
संतुलित डिझाइन,संतुलित अभिकल्पना
ताळेबंद,तुलन-पत्र
बॅलिस्टिक क्षेपणास्त्र,प्रक्षेपास्त्र
बॅलिस्टिक्स,"प्राक्षेपिकी, अस्त्र विज्ञान"
बार," स्तंभ, शलाका, सिल, सिल्ली, दंड, छड़, पट्टी , रोधिका, भित्ति , बार , रेखा, रेखिका , परीक्षण रेखा, धार"
पाया,"आधार , क्षारक , अधम , मूल , बेस"
बेस कोन,आधार कोण
लॉगरिदमचा आधार,"लघुगणक का आधार, लॉगरिथ्म का आधार"
मूलभूत,"आधारी, मूल,"
मूलभूत व्यवहार्य उपाय,आधारी सुसंगत हल
मूलभूत उपाय,आधारी हल
मूलभूत चल,आधारी चर
आधार,आधारक
आधार घटक,आधार अवयव
आधार मॅट्रिक्स,आधारी आव्यूह
वेक्टर स्पेसचा आधार,सदिश समष्टि का आधार
सबस्पेसचा आधार,उपसमष्टि का आधार
बायसियन अंदाज,बेज़-आकल
बायसचा कायदा,बेज़-नियम
बायसचे प्रमेय,बेज़-प्रमेय
बर्नौली वितरण,बर्नूली-बंटन
बर्नौली क्रमांक,बर्नूली संख्या
बर्नौली संभाव्यता कार्य,बर्नूली प्रायिकता-फलन
बर्नौलीचे समीकरण,बर्नूली-समीकरण
बेरी फंक्शन,बेरी फलन
सर्वोत्तम फिट,श्रेष्ठतम आसंजन
सर्वोत्तम - फिट लाइन,श्रेष्ठतम आसंजन रेखा
सर्वोत्तम उपाय,सर्वोत्तम हल
सर्वोत्तम धोरणे,सर्वोत्तम युक्तियाँ
बीटा वितरण,बीटा बंटन
पक्षपात,"अभिनति, बायस"
पक्षपाती अंदाज,अभिनत आकल
बिहारमोनिक समीकरण,द्विप्रसंवादी समीकरण
द्विभाजन,एकैकी आच्छादन
द्विभाषिक नकाशा,एकैकी आच्छादी प्रतिचित्र
द्विजात्मक मॅपिंग,एकैकी आच्छादी प्रतिचित्रण
द्विरेखीय फॉर्म,द्विएकघाती समघात
द्विरेखीय कार्य,द्विरैखिक फलन
द्विरेखीय हर्मिटियन फॉर्म,द्विरैखिक हर्मिटीय समघात
बायनरी,"द्वि-चर, द्वि-आधारी, द्वयी"
बायनरी कोड,"द्वि-आधारी कोड, द्विआधारी कूट"
बायनरी कोडेड दशांश,"द्वि-आधारी कूट दशमलव, द्वि-आधारी कोडित दशमलव"
बायनरी कोडिंग,द्वि-आधारी कूटलेखन
बायनरी संगणक,द्वि-आधारी अभिकलित्र
बायनरी अंक,द्वि-आधारी अंक
बायनरी ऑपरेशन,द्विआधारी संक्रिया
बायनरी प्रणाली,द्विआधारी पद्‌धति
बायनरी व्हेरिएबल,द्विआधारी चर
द्विपदी गुणांक,द्विपद गुणांक
द्विपदी वितरण,द्विपद बंटन
द्विपद समीकरण,द्विपद समीकरण
द्विपदी विस्तार,द्विपद प्रसरण
द्विपदी अभिव्यक्ती,द्विपद व्यंजक
द्विपदी यादृच्छिक चल,द्विपद यादृच्छिक चर
द्विपद प्रमेय,द्विपद-प्रमेय
दुभाजक,"अर्धन, द्विभाजन"
दुभाजक पद्धत,"समद्विभाजन विधि, अर्धीकरण विधि"
दुभाजक,"अर्धक, द्विभाजक"
द्विसेरियल,"द्विपंक्तिक, द्विश्रेणिक"
बिट,"द्वयंक (द्विआधारी अंक) , अणी, बरमी , टूक"
द्विपदी द्विपद वितरण,द्विचर द्विपद-बंटन द्विचल
द्विवैरिएट सहसंबंध गुणांक,द्विचर सहसंबंध गुणांक
द्विभिन्न वितरण,द्विचर बंटन
द्विवैरिएट सामान्य वितरण,द्विचर प्रसामान्य-बंटन
bivector,द्विसदिश
बोल्ट्झमन समीकरण,बोल्ट्मान समीकरण
बुलियन बीजगणित,बूलीय बीजावली*
बोस - आईन्स्टाईन आकडेवारी,बोस-आइन्स्टाइन सांख्यिकी
सीमा स्थिती,परिसीमा प्रतिबन्ध
सीमा स्तर,परिसीमा स्तर
सीमारेषा,परिसीमा रेखा
सीमा मूल्य,परिसीमा मान
सीमा मूल्य समस्या,परिसीमा मान समस्या
बंधनकारक कार्य,"परिबद्‌ध फलन परिबद्‌ध फल,"
सीमाबद्ध मॅट्रिक्स,"परिबद्‌ध मैट्रिक्स, परिबद्‌ध आव्यूह परिबद्‌ध सारणी,"
सीमाबद्ध प्रदेश,"परिबद्‌ध प्रदेश परिबद्‌ध प्रदेश,"
बांधलेला संच,"परिबद्‌ध समच्चय परिबद्‌ध संच,"
ब्राउनियन गती,ब्राउनी गति
गणना करा,परिकलन करना
गणना करत आहे,परिकलन
गणना मशीन,"परिकलन-यंत्र, परिकलित्र"
गणना,परिकलन*
गणना प्रक्रिया,परिकलनात्मक क्रिया विधि
कॅल्क्युलेटर," परिकलित्र , परिकलक"
कॅल्क्युलस,"कलन, कैलकुलस"
भिन्नतेची गणना,विचरण-कलन
कॅलरी,कैलोरी
रद्द करण्याचा कायदा,निरसन नियम
प्रामाणिक समीकरण,विहित समीकरण
प्रामाणिक स्वरूप,विहित रूप
कॅनोनिकल मॅट्रिक्स,"विहित मैट्रिक्स, के नानिकल मैट्रिक्स"
कॅंटर सेट,कैन्टर समुच्चय
कॅंटरचा तिरंगी संच,कैन्टर त्रिआधारी समुच्चय
सक्षम वाहतूक समस्या,परिबंधित परिवहन समस्या
क्षमता,क्षमता
केशिका शक्ती,केशिका-बल
मुख्य क्रमांक,"गणन संख्या, कार्डिनल संख्या"
कार्टेशियन अक्ष,कार्तीय अक्ष
कार्टेशियन समन्वय,कार्तीय निर्देशांक
कार्टेशियन उत्पादन,कार्तीय गुणन
संचांचे कार्टेशियन उत्पादन,समुच्चयों का कार्तीय गुणन
केस स्टडी,"केस अध्ययन, वस्तुस्थिति अध्ययन"
आपत्तीजनक चढउतार,विपत्तिपूर्ण उच्चावचन
कॅटेनरी,कैटिनरी
कॉची वितरण,कौशी बंटन
कॉची सूत्र,कौशी सूत्र
कैची गौरसाट प्रमेय,कौशी-गूर्सा-प्रमेय
Cauchy Riemann अटी,कौशी-रीमान-प्रतिबंध
कॉची क्रम,कौशी अनुक्रम
कैची अभिन्न,कौशी समाकल
कॉची मुख्य मूल्य,कौशी मुख्य-मान
कॉची अवशेष प्रमेय,कौशी अवशेष प्रमेय
केली हॅमिल्टन प्रमेय,कैले-हैमिल्टन-प्रमेय
आकाशीय शरीर,"खपिंड, खगोलीय पिंड"
आकाशीय मापन,खगोलीय माप
खगोलीय यांत्रिकी,खगोलीय यांत्रिकी
खगोलीय वस्तू,खगोलीय पिंड
सेल वारंवारता,कोशिका बारंबारता
जनगणना,"गणना , जनगणना"
सेंटाइल,शततमक
सेंटीमीटर,सेन्टीमीटर
सेंटीमीटर ग्रॅम दुसरी प्रणाली,सेन्टीमीटर-ग्राम-सेकंड पद्‌धति
मध्यवर्ती,"केन्द्रीय , सकेन्द्र"
मध्य अक्ष,केन्द्रीय अक्ष
मध्यवर्ती फरक,केन्द्रीय अंतर
केंद्रीय फरक सूत्र,केन्द्रीय अंतर सूत्र
मध्यवर्ती फरक सारणी,केन्द्रीय अंतर सारणी
केंद्रीय मर्यादा प्रमेय,केन्द्रीय सीमा प्रमेय
मध्यवर्ती क्षण,केन्द्रीय आघूर्ण
सेंट्रल प्रोसेसिंग युनिट (CPU),केन्द्रीय संसाधन एकक
केंद्रीय प्रवृत्ती,केन्द्रीय प्रवतिृ
केंद्र,केन्द्र*
गुरुत्वाकर्षण केंद्र,गुरुत्व-केन्द्र
गटाचे केंद्र,समूह-केन्द्र
वस्तुमानाचे केंद्र,संहति-केन्द्र
सममितीचे केंद्र,सममिति-केन्द्र
केंद्रापसारक शक्ती,अपकेन्द्री बल
केंद्राभिमुख शक्ती,अभिकेन्द्र-बल
मध्यवर्ती,"केन्द्रक मध्यगासंपात,"
निश्चितता,निश्चितता
cgs प्रणाली,c.g.s.पद्‌धति
cgs युनिट,c.g.s.मात्रक
भिन्नतेचा साखळी नियम,अवकलन का शृंखला नियम
संधी कारणे,संयोग हेतु
संधीची हालचाल,सांयोगिक चाल
अक्षांचा बदल,अक्ष-परिवर्तन
आधार बदल,"आधार परिवर्तन पायाधार-बदल,"
ऑर्डर बदल,क्रम परिवर्तन
वैशिष्ट्यपूर्ण गुणांक,अभिलक्षणिक गुणांक
निर्धारक,अभिलक्षणिक सारणिक
वैशिष्ट्यपूर्ण समीकरण,अभिलक्षण-समीकरण
वैशिष्ट्यपूर्ण कार्य,"अभिलक्षण-फलन, कैरेक्टेरिस्टिक फलन"
लॉगरिथमचे वैशिष्ट्य,लघुगणक का पूर्णांश
वैशिष्ट्यपूर्ण बहुपद,"अभिलक्षणिक बहुपद,"
वैशिष्ट्यपूर्ण मूल्य,अभिलक्षणिक मान
वैशिष्ट्यपूर्ण वेक्टर,अभिलक्षणिक सदिश
वर्ण संच,संप्रतीक समुदाय
तक्ता,"चार्ट, संचित्र तक्ता,"
ची-स्क्वेअर वितरण,काई-वर्ग बंटन
ची-स्क्वेअर सूत्र,काई-वर्गं सूत्र
ची-स्क्वेअर चाचणी,काई-वर्ग परीक्षण
जीवा,जीवा*
जीवा-द्विभाजन पद्धत,जीवा-द्विभाजन-विधि
सायफर संदेश (=कोड केलेला संदेश),बीजलिखित संदेश
सिफर (शून्य),"शून्य, सिफर"
वर्तुळ,वृत्त*
अभिसरण मंडळ,अभिसरण वत्तृ
सर्किट मॅट्रिक्स,परिपथ आव्यूह
परिपत्रक,"वृत्ताकार, वर्तुल,"
वर्तुळाकार लक्षण,वर्तुल अनंतस्पर्शी
गोलाकार हेलिक्स,वृत्तीय कंडुलिनी
गोलाकार हालचाल,वर्तुल गति
परिघ,परिकेन्द्र
वर्तुळ,परिवृत्त*
परिक्रमा,"परिगत करना, परितः खींचना"
घेरलेले,परिगत
परिक्रमा केलेले वर्तुळ,परिवृत
शास्त्रीय वजावटी तंत्र,चिरप्रतिष्ठित निगमनिक
शास्त्रीय गतिशीलता,चिरप्रतिष्ठित गतिकी
शास्त्रीय ऑप्टिमायझेशन,चिरप्रतिष्ठित इष्टतमन
शास्त्रीय नाश समस्या,चिरप्रतिष्ठित वित्तनाश समस्या
शास्त्रीय सांख्यिकीय यांत्रिकी,चिरप्रतिष्ठित सांख्यिकीय यांत्रिकी
त्रुटींचे वर्गीकरण,त्रुटियों का वर्गीकरण
वर्ग मध्यांतर,वर्ग-अंतराल
वर्ग-मध्यांतर युनिट,वर्गांतराल एकक
वर्ग मर्यादा,वर्ग-सीमा
घड्याळाच्या दिशेने,दक्षिणावर्त
क्लोपेन (= बंद आणि उघडा),संविवृत
बंद,"संवृत, बंद"
बंद बहिर्वक्र हुल,संवृत अवमख समावरक
बंद घन,संवृत घन
बंद वक्र,"बंद वक्र, संवृत वक्र"
बंद डोमेन,संवृत प्रांत
बंद आकृती,बंद आकृति
बंद अंतराल,संवृत अंतराल
बंद प्रदेश,"संवृत प्रदेश, बंद प्रदेश"
बंद संच,संवृत समच्चय
बंद पृष्ठभाग,"बंद पृष्ठ, संवृत पृष्ठ"
बंद," निमीलन, वेष्टन , संवरक"
बंद ऑपरेटर,संवरण-संकारक (संवरक)
बंद बिंदू (= संपर्क बिंदू),संवरक-बिन्दु
बंद करणे,संवरक-अभिगृहीत
बंद सेट,संवरक समुच्चय
क्लस्टर पॉइंट,गुच्छ बिन्दु
क्लस्टर सॅम्पलिंग,गुच्छ प्रतिचयन
क्लस्टर सेट,गुच्छ समुच्चय
समाक्षीय मंडळे,समाक्ष वृत्त
कोएक्सियल पॅराबोलास,समाक्ष परवलय
समाक्षीय विमाने,समाक्ष समतल
समाक्षीय त्रिकोण,समाक्ष त्रिभुज
कोब - डग्लस फंक्शन,कोब-डगलस फलन
कोडिंग," कूटलेखन, कोडन , संकेतन"
डेटाचे कोडिंग,सामग्री का संकेतीकरण
सह-डोमेन,सहप्रांत
गुणांक मॅट्रिक्स,गुणांक आव्यूह
सहसंबंध गुणांक,सहसंबंध-गुणांक
निर्धाराचे गुणांक,निर्धारण गुणांक
लवचिकता गुणांक,प्रत्यास्थता गुणांक
विस्तार गुणांक,प्रसार गुणांक
घर्षण गुणांक,घर्षण गुणांक
रेखीय विस्ताराचे गुणांक,अनुदैर्घ्य प्रसार का गुणांक
प्रतिगमन गुणांक,समाश्रयण गुणांक
पृष्ठभाग तणावाचे गुणांक,पृष्ठ तनाव का गुणांक
भिन्नतेचे गुणांक,विचरण गुणांक
cofactor,"सह-खण्ड, सह गुणन खंड,सहकारक"
नाणे फेकणे (नाणे फेकणे),सिक्का उछाल
नमुना संकलन,प्रतिदर्श-संचय
समरेख,सरेख
समरेखता,सरेखता
स्तंभ,"स्तंभ, कॉलम"
स्तंभ समतुल्यता,स्तंभतुल्यता
स्तंभ समतुल्य,स्तंभ-तुल्य
स्तंभ समतुल्य मॅट्रिक्स,स्तंभ तुल्य आव्यूह
स्तंभ मॅट्रिक्स,स्तंभ आव्यूह
स्तंभ रँक,स्तंभ कोटि
स्तंभ कमी केलेले इकोलॉन मॅट्रिक्स,स्तंभ समानीत सोपानक आव्यूह
स्तंभ वेक्टर,स्तंभ सदिश
स्तंभानुसार,स्तंभानुसार
एकत्रित समीकरण,संयुक्त समीकरण
सामान्य कोन,"उभयनिष्ठ कोण, सर्वनिष्ठ कोण"
सामान्य अक्ष,सर्वनिष्ठ अक्ष
सामान्य आधार,"सर्वनिष्ठ आधार, उभयनिष्ठ बेस"
सामान्य भाजक,सार्व हर
सामान्य फरक,सार्व अंतर
सामान्य घटक," सार्वगुणन-खंड, समापवर्तक , सार्व उपादान"
सामान्य लॉगरिथम,"साधारण लघुगणक, साधारण लॉगेरिथ्म"
सामान्य एकाधिक,"सार्व गुणज, समापवर्त्य"
सामान्य प्रमाण,सार्व अनुपात
सामान्य विभाग,सर्वनिष्ठ परिच्छेद
सामान्य बाजू,सर्वनिष्ठ भुजा
सामान्य स्पर्शिका,"उभयनिष्ठ स्पर्शरखा, सर्वनिष्ठ स्पर्शरेखा"
सामान्य संज्ञा,सर्वनिष्ठ पद
बदली कायदा,क्रमविनिमेय नियम
बदली मालमत्ता,क्रमविनिमेय गुणधर्म
बदली नियम,क्रमविनिमेय-नियम
जोडणीचा बदली कायदा,योग का क्रमविनिमेय नियम
गुणाकाराचा कम्युटेटिव्ह कायदा,गुणन का क्रमविनिमेय नियम
बदली ऑपरेशन,क्रमविनिमेय संक्रिया
कम्युटेटर गट,क्रमविनिमेयक समूह
मॅट्रिक्सचे प्रवास,आव्यूहों का क्रमविनिमेय
कॉम्पॅक्ट सेट,संहत समुच्चय
तुलना,"तुलनात्मकता, तुलनीयता"
साधनांची तुलना,माध्यों की तुलना
टक्केवारीची तुलना,प्रतिशतता-तुलना
तुलना चाचणी,तुलना परीक्षण
सुसंगतता समीकरण,सुसंगत समीकरण
स्पर्धात्मक खेळ,स्पर्धी खेल
स्पर्धात्मक परिस्थिती,स्पर्धी स्थिति
स्पर्धात्मक धोरण,स्पर्धी युक्ति
संकलक," अनुभाषक , संकलक"
पूरक,पूरक
पूरक कोन,पूरक कोण
पूरक घटना पूरक घटना,पूरक घटना
पूरक घटक,पूरक कारक
पूरक कार्य,पूरक फलन
पूरक अर्धी जागा,पूरक अर्ध समष्टि
पूरक अंतराल,पूरक अंतराल
पूरक संच,पूरक समुच्चय
पूरक,"पूरकीकरण, पूरक-निर्धारण"
संचाचे पूरक,पूरक समुच्चय
पूर्ण जनगणना,पूर्ण गणना
पूर्ण सहसंबंध मॅट्रिक्स,पूर्ण सहसंबंध मैट्रिक्स
पूर्ण मेट्रिक जागा,पूर्ण दरीक समष्टि
संपूर्ण ऑर्थोनॉर्मल सेट,पूर्ण प्रसामान्यलांबिक समुच्चय
पूर्ण चतुर्भुज,पूर्ण चतुष्कोण
पूर्ण भागफल,पूर्ण भागफल
पूर्ण संच,पूर्ण समुच्चय
पूर्ण समाधान,पूर्ण हल
पूर्णपणे यादृच्छिक डिझाइन,पूर्णतया यादृच्छिकीकृत अभिकल्पना
जटिल युक्तिवाद,सम्मिश्र स्वतंत्र चर
जटिल संयुग्म,सम्मिश्र संयुग्मी
जटिल भिन्नता,सम्मिश्र अवकलन
जटिल कार्य,सम्मिश्र फलन
जटिल एकीकरण,सम्मिश्र समाकलन
जटिल मॅट्रिक्स,सम्मिश्र आव्यूह
जटिल संख्या,सम्मिश्र संख्या
जटिल संख्या फील्ड,सम्मिश्र संख्या क्षेत्र
जटिल ऑर्थोगोनल मॅट्रिक्स,सम्मिश्र लांबिक आव्यूह
जटिल विमान,सम्मिश्र समतल
जटिल प्रमाण,सम्मिश्र राशि
जटिल परस्पर,सम्मिश्र व्युत्क्रम
जटिल परिणाम,सम्मिश्र परिणामी
जटिल जागा,सम्मिश्र समष्टि
जटिल मूल्यवान कार्य,सम्मिश्रमानी फलन
जटिल चल,सम्मिश्र चर
componendo आणि divindendo,योगांतरानुपात
घटक," घटक , संबद्‌ध घटक"
घटक विश्लेषण,घटक विश्लेषण
भिन्नता घटक,प्रसरण-घटक
वेक्टरचा घटक,सदिश-घटक
संमिश्र कार्य,संयुक्त फलन
संमिश्र गृहितक,संयुक्त परिकल्पना
संमिश्र संख्या,भाज्य संख्या
संमिश्र मालिका,संयुक्त श्रेणी
वेक्टरची रचना,सदिश-संयोजन
