Assamese,Telugu
বয়স বৃদ্ধিৰ প্ৰক্ৰিয়া,వృద్ధాప్య ప్రక్రియ
আগেলাই,అగెలై
অশ্বাৰোহীৰ যুগ,శౌర్య యుగం
এজ অৱ ইংলাইটমেণ্ট,జ్ఞానోదయం వయస్సు
পেৰিক্লিছৰ বয়স,పెరికిల్స్ వయస్సు
যুক্তিৰ বয়স,కారణం వయస్సు
কৃষিবাদ,వ్యవసాయం
কৃষি আন্দোলন,వ్యవసాయ ఉద్యమం
এলবিয়ন,అల్బియాన్
এলবাম,ఆల్బమ్
এলডাৰমেন,ఆల్డర్మాన్
আলোকসজ্জা বাহু,అల్లుడు చేతులు
এমিটি,సఖ్యత
এম্ফিক্টয়নিক কাউন্সিল,యాంఫిక్యోనిక్ కౌన్సిల్
এম্ফিক্টয়নিক লীগ,యాంఫిక్యోనిక్ లీగ్
এম্ফিথিয়েটাৰ,యాంఫీ థియేటర్
অমৰি নল গোট (মৃৎশিল্পৰ),అమ్రి నల్ గ్రూప్ (కుండల)
এনাক্ৰ’নিজম,అనాక్రోనిజం
এনাক্ৰ’নিষ্টিক,అనాక్రోనిస్టిక్
পূৰ্বপুৰুষ,పూర్వీకుడు
পূৰ্বপুৰুষ পূজা,పూర్వీకుల ఆరాధన
বংশ,పూర్వీకులు
বংশ,పూర్వీకులు
বংশ,పూర్వీకులు
বংশ,పూర్వీకులు
Ancien শাসন ব্যৱস্থা,ప్రాచీన పాలన
পৌৰাণিক,ప్రాచీన
প্ৰাচীন বেলাড,పురాతన బల్లాడ్
প্ৰাচীন বিশ্বাস,పురాతన నమ్మకం
প্ৰাচীন প্ৰথা,ప్రాచీన ఆచారం
প্ৰাচীন ইতিহাস,పురాతన చరిత్ర
প্ৰাচীন কীৰ্তিচিহ্ন,పురాతన స్మారక చిహ్నాలు
উপাখ্যান,ఉదంతము
এঞ্জেলট,ఏంజెలోట్
এঞ্জেলছ,ఏంజెలస్
এঞ্জেভিন (=anjevin),అంజివిన్ (=అంజెవిన్)
কোণ,కోణాలు
এংলিকান,ఆంగ్లికన్
এংলিকান কমিউনিয়ন,ఆంగ్లికన్ కమ్యూనియన్
এংলিকানিজম,ఆంగ్లికనిజం
এংলো-ফ’ব,ఆంగ్లో-ఫోబ్
এংলো-ফ’বিয়া,ఆంగ్లో-ఫోబియా
এংলো-চেক্সন,ఆంగ్లో-సాక్సన్
এংলো-চেক্সনবাদ,ఆంగ్లో-సాక్సోనిజం
এনালিষ্ট,అన్నలిస్ట్
এনালছ,అన్నల్స్
সংলগ্নকৰণ,అనుబంధం
এণ্টে-বেলাম,యాంటీ-బెల్లం
এণ্টে তাৰিখ,ముందు తేదీ
কেৰাণীবাদ বিৰোধী,మత వ్యతిరేకత
কেৰাণী বিৰোধী আইন,మతాధికారుల వ్యతిరేక చట్టం
প্ৰাচীনতা,ప్రాచీనకాలం
ভাড়া বিৰোধী,వ్యతిరేక అద్దె
ভাড়া বিৰোধী,వ్యతిరేక అద్దె
চেমিটিজম বিৰোধী,సెమిటిజం వ్యతిరేకత
এঞ্জেক,అంజాక్
এপেলা,అపెల్లా
আৰালু,అరలు
আৰ্ক বিচপ,ఆర్చ్ బిషప్
আৰ্ক ডাচি,ఆర్చ్ డచీ
আৰ্ক ড্যুক,ఆర్చ్ డ్యూక్
আৰ্কাইফ (=আৰ্কাইভ সংগ্ৰহ),ఆర్కైఫ్ (=ఆర్కైవల్ సేకరణ)
আৰ্কিপিস্কোপেট,ఆర్కిపిస్కోపేట్
অভিজাত শ্ৰেণী,దొర
অভিজাত,దొర
অভিজাত স্নোবৰী,కులీన స్నోబరీ
এৰিষ্ট&#39;টেলিয়ান,అరిస్టాటిలియన్
আৰ্মাডা,ఆర్మడ
আৰ্মাডা (=স্পেনিছ আৰ্মাডা),ఆర్మడ (=ది స్పానిష్ ఆర్మడ)
আৰ্মৰিষ্ট (=armourist),ఆయుధాగాడు (=ఆయుధాకారుడు)
কৱচ (=কৱচ),కవచం (=కవచం)
আৰ্মৰিষ্ট,ఆయుధాగాడు
আৰ্য্য,ఆర్యన్
আৰ্য্য,ఆర్యన్
আস্কৰী,అస్కారి
Assignat,కేటాయించండి
Assize,అసైజ్ చేయండి
Assize,అసైజ్ చేయండి
Assize,అసైజ్ చేయండి
এছাইজ অৱ আৰ্মছ এক্ট,అసైజ్ ఆఫ్ ఆర్మ్స్ యాక్ట్
ডেৰেইন প্ৰেজেণ্টমেণ্টৰ এছাইজ,డారీన్ ప్రెజెంట్‌మెంట్ అసైజ్
মৰ্ট &#39;ডি&#39; পূৰ্বপুৰুষৰ এছাইজ,మోర్ట్ &#39;D&#39; పూర్వీకుల అస్సైజ్
নভেল ডিচেইচিনৰ এছাইজ,అసైజ్ ఆఫ్ నవల డిస్సీసిన్
অত্যাচাৰ,దారుణం
আক্ৰমণ,దాడి
অলিক কাউন্সিল,ఆలిక్ కౌన్సిల్
গেডেছৰ কুঠাৰ (=গেডেছৰ কুঠাৰ),గెడ్డెస్ యొక్క గొడ్డలి (=ది గెడెస్ గొడ్డలి)
অক্ষ (=ৰোম-বাৰ্লিন-টকিঅ&#39; অক্ষ),యాక్సిస్ (=ది రోమ్-బెర్లిన్-టోక్యో యాక్సిస్)
বেবিলন,బాబిలోన్
বেবিলনৰ বন্দীত্ব (=বেবিলনৰ বন্দীত্ব),బాబిలోనియన్ బందిఖానా (=బాబిలోనియన్ బందిఖానా)
বচনাল ভক্ত,బచ్చనాల్ భక్తుడు
বাচনালিয়া,బచ్చనాలియా
অবিবাহিত লোক,బ్రహ్మచారి
বাগদাদ চুক্তি,బాగ్దాద్ ఒప్పందం
বাল্কন লীগ,బాల్కన్ లీగ్
বাল্কন চুক্তি,బాల్కన్ ఒప్పందం
বাল্কন যুদ্ধ,బాల్కన్ యుద్ధాలు
বাল্টিক চুক্তি,బాల్టిక్ ఒప్పందం
ডাকাত,బందిపోటు
বাণ্ডুং সন্মিলন,బాండుంగ్ కాన్ఫరెన్స్
নিৰ্বাসন,బహిష్కరణ
বেনাৰ,బ్యానర్
বৰ্বৰ,బార్బేరియన్
বাৰ্বিকান,బార్బికన్
বৰদলৈ সত্যাগ্ৰহ,బార్డోలీ సత్యాగ్రహం
বাৰ্ন বাৰ্নাৰ্ছ,బార్న్ బర్నర్స్
বেৰন,బారన్
বেৰনেজ,బారోనేజ్
বেৰনছ মেজৰ,బారోన్స్ మేజర్లు
বেৰনেছ নাবালক,బారోన్స్ మైనర్లు
বেৰনেছ,బారోనెస్
বেৰনেট,బారోనెట్
বেৰনেটেজ,బారోనెటేజ్
বেৰনেটেজ,బారోనెటేజ్
বেৰনেটচি,బారోనెట్సీ
বেৰনি,బారోనీ
বেৰাকুন,బారకూన్
বেৰাকুন,బారకూన్
বেৰিকেড (=barricade),బారికేడ్ (=బారికాడో)
বেৰিকেড (=barricade),బారికేడ్ (=బారికాడో)
বেৰিকেড (=barricade),బారికేడ్ (=బారికాడో)
বেচ কেম্প,మూల శిబిరం
বেচিলিকা,బసిలికా
বেচিলিকা,బసిలికా
বাষ্টিলা,బస్తీలా
বেষ্টিল,బాస్టిల్
বেষ্টিল,బాస్టిల్
বেটাৰি,బ్యాటరీ
যুদ্ধ,యుద్ధం
বাটলে-এৰে,బాటిల్-అరే
যুদ্ধৰ চিঞৰ,యుద్ధానికి వెళ్ళే సైనికులు చేసే నినాదాలు
যুদ্ধৰ ডিন,బాటిల్ డిన్
যুদ্ধক্ষেত্ৰ,యుద్ధ క్షేత్రం
যুদ্ধ গীত,యుద్ధ శ్లోకం
স্পাৰ্ছৰ যুদ্ধ,స్పర్స్ యుద్ధం
ষ্টেণ্ডাৰ্ডৰ যুদ্ধ,స్టాండర్డ్ యుద్ధం
যুদ্ধজাহাজ,యుద్ధనౌక
যুদ্ধজাহাজ-শক্তি,యుద్ధనౌక-బలం
Bayeux টেপেষ্ট্ৰি,Bayeux వస్త్రం
বিকন,బెకన్
বিকন টাৱাৰ,బెకన్ టవర్
বিভাৰ,బీవర్
বিভাৰ,బీవర్
সাগৰৰ ভিক্ষাৰী,సముద్రపు బిచ్చగాళ్ళు
বেলিকোজ,బెల్లికోస్
বেলিকোজ,బెల్లికోస్
বেলিকোজ,బెల్లికోస్
বেলিকোচিটি,బెల్లికోసిటీ
বেলোনা,బెలోనా
বেনিফিচ,ప్రయోజనం
ধৰ্মগুৰুসকলৰ লাভ,మతపెద్దల వల్ల ప్రయోజనం
বেনেলাক্স,బెనెలక్స్
বাৰ্লিন ডিক্রী,బెర్లిన్ డిక్రీ
Berserker,బెర్సెర్కర్
Besant (=বেজান্ট),బెసెంట్ (=బెజాంట్)
বেথেল,బేతేలు
বিব্লিঅ&#39;লেটাৰ,గ్రంథకర్త
গ্ৰন্থবিজ্ঞান,గ్రంథారాధన
বিগ বাৰ্থা,బిగ్ బెర్తా
কুসংস্কাৰ,మతోన్మాదుడు
বিলেটিং,బిల్లేటింగ్
বিল অৱ এটেইণ্ডাৰ,అటెయిండర్ బిల్లు
অধিকাৰৰ বিল,హక్కుల చట్టం
জীৱনীকাৰ,జీవిత చరిత్ర రచయిత
জন্মৰ কাহিনী,జన్మ కథలు
বিভক,తాత్కాలిక శిబిరం
বিভক,తాత్కాలిక శిబిరం
বিভক,తాత్కాలిక శిబిరం
বিজোনিয়া,బిజోనియా
ক&#39;লা চৰাই চোৱা,బ్లాక్ బర్డింగ్
ক&#39;লা পতাকা,నల్ల జండా
ব্লেক হোল,కృష్ణ బిలం
ব্লেক হোল,కృష్ణ బిలం
ক&#39;লা ভৰি (=scab),నల్ల కాలు (=స్కాబ్)
ক&#39;লা চাৰ্ট,నల్ల చొక్కా
ব্লেজন,బ్లజోన్
ব্লেজন,బ్లజోన్
ব্লেজনাৰী,బ్లేజోన్రీ
ব্লেজনাৰী,బ్లజోన్రీ
ব্লিটজক্ৰিগ,బ్లిట్జ్‌క్రీగ్
ৰক্তহীন বিপ্লৱ (=গৌৰৱময় বিপ্লৱ),రక్తరహిత విప్లవం (=గ్లోరియస్ రివల్యూషన్)
ব্লাডৱাইট,బ్లడ్వైట్
ব্লাডি মেৰী,బ్లడీ మేరీ
নীলা,నీలం
নীলা তেজ,నీలం రక్తం
নীলা কিতাপ,నీలి పుస్తకం
নীলা ফিতা,నీలం రంగు రిబ్బన్
নীলা ফিতা,నీలం రంగు రిబ్బన్
ব্লুজ (=ৰয়েল হৰ্চ গাৰ্ড),బ్లూస్ (=రాయల్ హార్స్ గార్డ్స్)
নীলা চাৰ্ট,నీలం చొక్కా
ব্লু ৱাটাৰ স্কুল,బ్లూ వాటర్ స్కూల్
নিয়ন্ত্ৰণ ব’ৰ্ড,బోర్డ్ ఆఫ్ కంట్రోల్
শৰীৰৰ কৱচ,శరీర కవచం
ব&#39;ৰ,బోయర్
লুটপাত,దోపిడి
বৰো,బరో
Bouleuterion,బౌల్యూటేరియన్
বোৰ্বন,బోర్బన్
বক্সাৰ বিদ্ৰোহ,బాక్సర్ తిరుగుబాటు
ব্ৰেচ,బ్రేస్
ব্ৰাছাৰ্ড,బ్రాస్సార్డ్
ব্ৰাছাৰ্ড,బ్రాస్సార్డ్
ব্ৰেড কলনী,బ్రెడ్ కాలనీలు
ব্ৰেষ্ট প্লেট,బ్రెస్ట్ ప్లేట్
স্তনৰ কাম,రొమ్ము పని
ব্ৰেটৱাল্ডা,బ్రెట్వాల్డా
ব্ৰিগাণ্ড,బ్రిగాండ్
ব্ৰিগেণ্ডেজ,బ్రిగేండేజ్
ব্ৰিটিছ কমনৱেলথ অৱ নেচনছ,బ్రిటిష్ కామన్వెల్త్ ఆఫ్ నేషన్స్
ব্ৰাউন চাৰ্ট (=নাজী),బ్రౌన్ షర్ట్స్ (=నాజీలు)
ব্ৰাছেলছ সন্ধি (পেক্ট) সংগঠন (=পশ্চিম ইউৰোপীয় সংঘ),బ్రస్సెల్స్ ట్రీటీ (పాక్ట్) సంస్థ (=వెస్ట్రన్ యూరోపియన్ యూనియన్)
বাফ,యెదురు
বাফ,యెదురు
বাফ-কোট,బఫ్-కోటు
বাফছ,బఫ్స్
বুলে (=পৰিষদ),బులే (=మండలి)
বাৰ্গেজ,బర్గేజ్
বাৰ্জেছ,బర్గెస్
বাইজেন্টাইন,బైజాంటైన్
বাইজেন্টাইন গীৰ্জা,బైజాంటైన్ చర్చి
বাইজেন্টাইন সাম্ৰাজ্য,బైజాంటైన్ సామ్రాజ్యం
বাইজেন্টাইন যুগ,బైజాంటైన్ యుగం
বাইজেন্টাইন ইতিহাসবিদ,బైజాంటైన్ చరిత్రకారులు
কেবাল,కాబాల్
ছিজাৰীজম,సీజరిజం
খলিফা,ఖలీఫ్
কেলিগ্ৰাফাৰ,కాలిగ్రాఫర్
কেলিগ্ৰাফিষ্ট,కాలిగ్రాఫిస్ట్
কেলিগ্ৰাফী,కాలిగ్రఫీ
কেলট্ৰপ,కాల్ట్రాప్
সতীৰ্থতা,సాహచర్యం
কেমাৰিলা,కమరిల్లా
কেমাৰিলা,కమరిల్లా
কেমেলাকম,కామెలాకమ్
ছদ্মবেশ,మభ్యపెట్టడం
অভিযান,ప్రచారం
কেম্প অনুগামী,క్యాంపు అనుచరుడు
কেম্পো ছান্টো,కాంపో శాంటో
কেম্পাছ মাৰ্চিয়াছ,క్యాంపస్ మార్టియస్
কেনেফোৰা,కనెఫోరా
কেংগু,కంగు
কেননেড,ఫిరంగి
কামানৰ ঘাঁহ,ఫిరంగి మేత
কেনন,కానన్
কেনন আইন,కానన్ చట్టం
কেন&#39;পাছৰ ডিক্রী,కానోపస్ డిక్రీ
কেনটিং আৰ্মছ,ఆయుధాలు పట్టుకోవడం
বন্দী,బందీ
বন্দী,కాప్టర్
কাৰ্ডিনেল,కార్డినల్
কাৰ্ল,కార్ల్
কেৰ&#39;লিঞ্জিয়ান বংশ,కరోలింగియన్ రాజవంశం
কাৰ্থুছিয়ান পন্থা,కార్తుసియన్ శాఖ
কাৰ্টোছা,కార్టోసా
কেষ্টেলিয়ান,కాస్టేలియన్
কেষ্টেলিয়ান,కాస్టేలియన్
জাতি ব্যৱস্থা,కుల వ్యవస్థ
দুৰ্গ,కోట
দুৰ্গ,కోట
কেছল টাউন,కోట పట్టణం
কাষ্ট্ৰা,కాస్ట్రా
কাষ্ট্ৰা,కాస్ట్రా
কেথেড্ৰা,కేథడ్రా
কেথেড্ৰেল,కేథడ్రల్
কেটো ষ্ট্ৰীটৰ ষড়যন্ত্ৰ,కాటో స్ట్రీట్ కుట్ర
কৌডিলো,కౌడిల్లో
কেভেলিয়াৰ,కావలీర్
কেভেলিয়াৰ,కావలీర్
কেভেলিয়াৰ সংসদ,కావలీర్ పార్లమెంట్
আদুল্লামৰ গুহা,అదుల్లాం గుహ
গুহা চিত্ৰকলা,గుహ పెయింటింగ్
গুহা চিত্ৰকলা,గుహ పెయింటింగ్
চেণ্টুমভিৰ,సెంటంవిర్
চেঞ্চুৰিয়ান,సెంచూరియన్
শতিকা,సెంచరీ
চেইন আৰ্মৰ (=চেইন মেইল),చైన్ ఆర్మర్ (=చైన్ మెయిల్)
চান্ট্ৰী,చాంట్రీ
চান্ট্ৰী,చాంట్రీ
চ্যাপ কিতাপ,చాప్ పుస్తకం
চেপলিন,చాప్లిన్
অধ্যায়,అధ్యాయం
দুৰ্ঘটনাৰ অধ্যায়,ప్రమాదాల అధ్యాయం
চাৰ্জ,ఆరోపణ
চাৰ্জ ডি এফেয়াৰ্ছ,ఛార్జ్ డి&#39;ఎఫైర్స్
চাৰ্জ পাৰ্টিং,ఛార్జ్ విడిపోవడం
চাৰ্জাৰ,ఛార్జర్
ৰথ,రథము
ৰথী,రథసారధి
ৰথী,రథసారధి
ৰথী,రథసారధి
চেৰিটি কিচেন,ఛారిటీ వంటగది
চনদ,చార్టర్
চাৰ্টিষ্ট আন্দোলন (=চাৰ্টিষ্ট),చార్టిస్ట్ ఉద్యమం (=చార్టిజం)
চাৰ্ট’ফাইলেচিয়াম,చార్టోఫిలాసియం
চেট&#39;,చాటౌ
পোষ্ট চেক কৰক,చెక్ పోస్ట్
ৰাসায়নিক যুদ্ধ,రసాయన యుద్ధం
চেষ্টাৰ,చెస్టర్
প্ৰধান,చీఫ్
মুখীয়াল,అధిపతి
মুখীয়াল,అధిపతి
মুখীয়াল,అధిపతి
চিফন,షిఫాన్
অশ্বাৰোহীতা,శూరత్వం
নিৰ্বাচিত লোকসকল,ఎంచుకున్న వ్యక్తులు
ক্ৰীছমোগ্ৰাফী,క్రిస్మోగ్రఫీ
খ্ৰীষ্টান ধৰ্ম,క్రైస్తవమత సామ్రాజ్యం
খ্ৰীষ্টান যুগ,క్రైస్తవ యుగం
খ্ৰীষ্টান সমাজবাদ,క్రిస్టియన్ సోషలిజం
ক্ৰনিকল,క్రానికల్
ক্ৰনিকলাৰ,క్రానికల్
ক্ৰাইজ চেৰ্চোনিজ,Chryse Chersonese
চিমেলিয়াম,సిమిలియం
Cinquecento শৈলী,సింక్వెసెంటో స్టైల్
প্ৰদক্ষিণ,ప్రదక్షిణ
চিষ্টাৰচিয়ান সন্ন্যাসী,సిస్టెర్సియన్ సన్యాసి
দুৰ্গ,కోట
উদ্ধৃতি,అనులేఖనం
উদ্ধৃতি,అనులేఖనం
নাগৰিক অবাধ্যতা,శాసన ఉల్లంఘన
গৃহযুদ্ধ,పౌర యుద్ధం
চিভিছ ৰোমানাছ,సివిస్ రోమనస్
ধ্ৰুপদী যুগ,సాంప్రదాయ వయస్సు
ক্লেফ্ট (=klepht),క్లెఫ్ట్ (=క్లెఫ్ట్)
কেৰাণীবাদ,మతాధికారం
ক্লাৰুচ,క్లర్చ్
ক্লুনিয়াক আন্দোলন,క్లినియాక్ ఉద్యమం
কোট কৱচ,కోటు కవచం
কোট অৱ আৰ্মছ,కోట్ ఆఫ్ ఆర్మ్స్
কোট অৱ আৰ্মছ,కోట్ ఆఫ్ ఆర్మ్స్
কোট অৱ আৰ্মছ,కోట్ ఆఫ్ ఆర్మ్స్
কোট অৱ মেইল,కోట్ ఆఫ్ మెయిల్
কোহৰ্ট,కోహోర్ట్
কমিটিয়া,కమిటియా
কমিটিয়া চেঞ্চুৰিয়াটা,కమిటియా సెంచురియాటా
কমিটিয়া কুৰিয়াটা,కమిటియా క్యూరియాటా
কমিটিয়া ট্ৰিবুটা,కమిటియా ట్రిబ్యూటా
স্মৃতিচাৰণ তোৰণ,స్మారక వంపు
স্মৃতিচাৰণ মুদ্ৰা,స్మారక నాణెం
স্মৃতিসৌধ,స్మారక ముద్ర
সাধাৰণ ক্ষেত্ৰ,సాధారణ క్షేత్రం
কমিউনাৰ্ড,కమ్యూనార్డ్
কনকৰ্ডেট,కాంకోర్డాట్
কনকৰ্ডেট,కాంకోర్డాట్
কণ্ডোটিয়েৰ,కండోటియర్
নিশ্চিতকৰণ Cartarum,నిర్ధారణ కార్టరమ్
বিবাদ,సంఘర్షణ
মণ্ডলী,సభ
বিজয়ী ৰাষ্ট্ৰ,రాష్ట్రాన్ని జయించడం
বিজয়ী,విజేత
কনকিষ্টাডৰ,విజేత
কনচিলিয়াম,కన్సిలియం
কনচিষ্টৰী,క్రమబద్ధమైన
ষড়যন্ত্ৰ,కుట్ర
ষড়যন্ত্ৰ,కుట్ర
কনছুলেট,కాన్సులేట్
কনছুলেচন কিতাপ,సలహా పుస్తకం
মহাদেশীয় ব্যৱস্থা,ఖండాంతర వ్యవస్థ
অধিৱেশন সংসদ,కన్వెన్షన్ పార్లమెంట్
কপাৰহেড (=শান্তি গণতন্ত্ৰ),కాపర్ హెడ్స్ (=శాంతి ప్రజాస్వామ్యవాదులు)
কপিহ&#39;ল্ড,కాపీహోల్డ్
ঘেৰাও কৰা,కార్డనింగ్
কৰ&#39;না,కరోనా
ৰাজ অভিষেক,పట్టాభిషేకం
ৰাজ অভিষেক শিল,పట్టాభిషేక రాయి
কৰ্পাছ,కార్పస్
কৰ্চেয়াৰ,కోర్సెయిర్
কৰ্চেয়াৰ,కోర్సెయిర్
কৰ্চেট (=কোৰ্চলেট),కార్సెట్ (=కోర్సెలెట్)
কৰ্টেছ,కోర్టెస్
কোটাৰ (=cottier),కోటార్ (=కోటియర్)
কোটাৰ (=cottier),కోటార్ (=కోటియర్)
কাউন্ট পেলেটিনেট,కౌంట్ పాలటినేట్
দেশৰ ঘৰ,పూరిల్లు
কাউন্টি,కౌంటీ
কাউন্টি বৰো,కౌంటీ బరో
কাউন্টি আদালত,కౌంటీ కోర్టులు
কাউন্টি পেলেটিন,కౌంటీ పాలటైన్
আদালত,కోర్టు
আদালত,కోర్టు
আদালতৰ চক্ৰান্তমূলক,కోర్టు సర్క్యులర్
আদালতৰ শিষ্টাচাৰ,కోర్టు మర్యాదలు
কৰ্টিয়াৰ,సభికుడు
কেচেচনৰ আদালত,కోర్ట్ ఆఫ్ కాసేషన్
সঞ্চালক আদালত (EIC),కోర్ట్ ఆఫ్ డైరెక్టర్స్ (EIC)
মালিকৰ আদালত,యాజమాన్యాల న్యాయస్థానం
আদালতৰ কবি,ఆస్థాన కవి
চুক্তিবদ্ধ কেমেৰনিয়ানসকল,ఒప్పందం చేసుకున్న కామెరోనియన్లు
মুকুট,కిరీటం
মুকুট,కిరీటం
মুকুট,కిరీటం
মুকুটৰ ভূমি,కిరీటం భూమి
মুকুটৰ ভূমি,కిరీటం భూమి
ক্ৰাউন প্ৰিন্স,క్రౌన్ ప్రిన్స్
ক্ৰুছেড,క్రూసేడ్
ক্ৰুছেডাৰ,క్రూసేడర్
ক্ৰিপ্টোগ্ৰাম,క్రిప్టోగ్రామ్
কুইৰাছ,క్యూరాస్
কুইৰাচিয়াৰ,క్యూరాసియర్
কাল্ট দেৱতা,కల్ట్ దేవత
কুৰিয়া,క్యూరియా
কুৰিয়া,క్యూరియా
জাৰবাদ,జారిజం
অন্ধকাৰ মহাদেশ,చీకటి ఖండం
বিচাৰৰ দিন,తీర్పు రోజు
বিচাৰৰ দিন,తీర్పు రోజు
ডিন,డీన్
দশক,దశాబ్దం
ডেনাৰিয়াছ,డెనారియస్
পদচ্যুত ৰজা,పదవీచ్యుతుడైన చక్రవర్తి
লুটপাত কৰা,పాడుచేయు
লুণ্ঠন,చెడిపోవడం
ডিথ্ৰন,సింహాసనాన్ని తొలగించు
ডায়েডেম,డయాడెమ్
ডায়েডেম,డయాడెమ్
ডায়েডেম,డయాడెమ్
ডায়েচিয়া,డయాసియా
ডিকাষ্টেৰিয়াম,డికాస్టీరియం
ডিলুভিয়ালিষ্ট,డైలువియలిస్ట్
ডাইচ,డియోసెస్
ডাইচ,డియోసెస్
ডাইৰেক্টৰ (=নিৰ্দেশনা),డైరెక్టరీ (=డైరెక్టరీ)
ডাইৰেক্টৰ (=নিৰ্দেশনা),డైరెక్టరీ (=డైరెక్టరీ)
দিৰহাম,దిర్హమ్
অবিশ্বাসী,నమ్మకద్రోహం
অবিশ্বাসী,నమ్మకద్రోహం
লেপছৰ মতবাদ,లోపము యొక్క సిద్ధాంతము
নথিপত্ৰ,పత్రం
নথিপত্ৰৰ প্ৰমাণ,డాక్యుమెంటరీ సాక్ష్యం
ডমছডে বুক,డోమ్స్‌డే బుక్
কনষ্টেণ্টাইনৰ দান,కాన్స్టాంటైన్ విరాళం
ডুম,డూమ్
বিধৱা ৰাণী,వరవరపు రాణి
ড্ৰেগুন,డ్రాగన్
ড্ৰ&#39;মেডাৰিয়ান,డ్రోమెడిరియన్
ড্ৰমেডাৰী,డ్రోమెడరీ
ড্ৰমণ্ড,డ్రోమండ్
দ্বৈত,ద్వంద్వ
দ্বৈত মিত্ৰতা,ద్వంద్వ కూటమి
ডুৱেল এণ্টেণ্ট,ద్వంద్వ ఉద్దేశం
দ্বৈত ব্যৱস্থা (=দ্বিতীয় চৰকাৰ),ద్వంద్వ వ్యవస్థ (=ద్వంద్వ ప్రభుత్వం)
ড্যুক,డ్యూక్
ডুমা,డూమా
বামন অৱতাৰ,వామన అవతారం
বংশ,రాజవంశం
বংশ,రాజవంశం
ঈগল,డేగ
এলডাৰ মানুহ,పెద్ద మనిషి
আৰ্ল,ఎర్ల్
আৰ্লডম,ఎర్ల్డమ్
আদিম গুপ্তাসকল,తొలి గుప్తులు
প্ৰাথমিক (ঐতিহাসিক) স্থান,ప్రారంభ (చారిత్రక) సైట్లు
প্ৰাথমিক বৈদিক যুগ,ప్రారంభ వేద కాలం
ইক্লেছিয়া,ఎక్లేసియా
পুনৰুদ্ধাৰৰ আদেশ,పునరుద్ధరణ శాసనం
আঠ ভাঁজ পথ,ఎనిమిది రెట్లు మార్గం
বয়োজ্যেষ্ঠসকল,పెద్దలు
জ্যেষ্ঠ ৰাষ্ট্ৰনেতা (=genro),పెద్ద రాజనీతిజ్ఞుడు (=జెన్రో)
হাতী গোড,ఏనుగు మేడ
এঘাৰ বছৰৰ অত্যাচাৰ,పదకొండు సంవత్సరాల నిరంకుశత్వం
এলিছাই (=এলিচি),ఎలిసే (=ఎలీసీ)
ঘেৰাও আন্দোলন,ఎన్‌క్లోజర్ ఉద్యమం
এনচাইক্লিকেল,ఎన్సైక్లికల్
বিশ্বকোষবাদী আন্দোলন,ఎన్సైక్లోపెడిస్ట్ ఉద్యమం
এন্টেন্টে,ఎంటెంటే
এন্টেন্টে কৰ্ডিয়েল,ఎంటెంటే కార్డియాల్
এনথ্ৰন,సింహాసనం
এনট্যুৰেজ,పరివారం
ইফোদ,ఎఫోడ్
এফোৰ,ఎఫోర్
মহাকাব্যিক যুগ,పురాణ యుగం
মহাকাব্যিক নায়ক,పురాణ వీరుడు
এপিগ্ৰাফ,ఎపిగ్రాఫ్
এপিস্কোপেচি,ఎపిస్కోపసీ
এপিস্কোপেট,ఎపిస్కోపేట్
খণ্ড,ఎపిసోడ్
যুগ,యుగం
