Tamil,Malayalam
இயற்கணித செயல்பாடு,ബീജഗണിത പ്രവർത്തനം
இயற்கணித வடிவியல்,ബീജഗണിത ജ്യാമിതി
இயற்கணிதப் பெருக்கம்,ബീജഗണിത ഗുണിതം
இயற்கணித அமைப்பு,ബീജഗണിത വ്യവസ്ഥ
அனைத்து முழு எண் பிரச்சனை,എല്ലാ പൂർണ്ണസംഖ്യാ പ്രശ്നം
ஒதுக்கீடு பிரச்சனை,വിഹിതം പ്രശ്നം
அகரவரிசைக் குறியீடு,അക്ഷരമാലാ ക്രമം
அகரவரிசை எழுத்து,അക്ഷരമാലാക്രമം
மாற்று கோணம்,ഇതര കോൺ
மாற்று வடிவம்,ഒന്നിടവിട്ട രൂപം
மாற்று குழு,ഇതര ഗ്രൂപ്പ്
மாற்று அணி,ഒന്നിടവിട്ട മാട്രിക്സ്
மாற்று தொடர்,ഒന്നിടവിട്ട പരമ്പര
மாற்று கருதுகோள்,ഇതര സിദ്ധാന്തം
மாற்று ஆப்டிமா,ഇതര ഒപ്റ്റിമ
மாற்று விளைவு,ഇതര ഫലം
அனலாக்-டு-டிஜிட்டல் மாற்றி,അനലോഗ്-ടു-ഡിജിറ്റൽ കൺവെർട്ടർ
அனலாக் கணினி,അനലോഗ് കമ്പ്യൂട്ടർ
பகுப்பாய்வு,വിശകലനം
இணையான பகுப்பாய்வு,സഹവർത്തിത്വത്തിന്റെ വിശകലനം
கணக்கியல் தரவு பகுப்பாய்வு,എണ്ണൽ ഡാറ്റയുടെ വിശകലനം
மாறுபாட்டின் பகுப்பாய்வு,വ്യതിയാനത്തിന്റെ വിശകലനം
பகுப்பாய்வு வடிவியல்,അനലിറ്റിക് ജ്യാമിതി
பகுப்பாய்வு செயல்பாடு,വിശകലന പ്രവർത്തനം
கோணம்,കോൺ
தொடர்பு கோணம்,കോൺടാക്റ്റ് കോൺ
விலகல் கோணம்,വ്യതിചലനത്തിന്റെ കോൺ
மனச்சோர்வின் கோணம்,വിഷാദത്തിന്റെ ആംഗിൾ
விலகல் கோணம்,വ്യതിയാനത്തിന്റെ കോൺ
விலகல் கோணம்,ഡിഫ്രാക്ഷൻ കോൺ
உயரத்தின் கோணம்,എലവേഷൻ കോൺ
நிகழ்வு கோணம்,സംഭവത്തിന്റെ കോൺ
திட்ட கோணம்,പ്രൊജക്ഷൻ കോൺ
பிரதிபலிப்பு கோணம்,പ്രതിഫലനത്തിന്റെ കോൺ
ஒளிவிலகல் கோணம்,അപവർത്തന കോൺ
சுழற்சி கோணம்,ഭ്രമണകോണ്
மொத்த பிரதிபலிப்பு கோணம்,മൊത്തം പ്രതിഫലനത്തിന്റെ കോൺ
கோண முடுக்கம்,കോണീയ ത്വരണം
கோண இயக்கம்,കോണീയ ചലനം
கோண வேகம்,കോണീയ വേഗത
கோண வேகம்,കോണീയ പ്രവേഗം
வளையம்,വാർഷികം
பதில்,ഉത്തരം
எதிர்ப்பு வழித்தோன்றல்,ആന്റി-ഡെറിവേറ്റീവ്
சமச்சீரற்ற செயல்பாடு,ആന്റിസിമെട്രിക് പ്രവർത്തനം
பொருந்தும்,ബാധകമാണ്
விண்ணப்பம்,അപേക്ഷ
பயன்பாட்டு டைனமிக் நிரலாக்கம்,പ്രയോഗിച്ച ഡൈനാമിക് പ്രോഗ്രാമിംഗ്
பயன்படுத்தப்படும் வடிவியல்,പ്രയോഗിച്ച ജ്യാമിതി
பயன்பாட்டு கணிதம்,പ്രയോഗിച്ച ഗണിതശാസ്ത്രം
பயன்பாட்டு புள்ளிவிவரங்கள்,പ്രയോഗിച്ച സ്ഥിതിവിവരക്കണക്കുകൾ
தோராயமாக,ഏകദേശം
தோராயமாக தொடர்ச்சியான செயல்பாடு,ഏകദേശം തുടർച്ചയായ പ്രവർത്തനം
தோராயமான முறை,ഏകദേശ രീതി
தோராயமான தீர்வு,ഏകദേശ പരിഹാരം
தோராயமான பிரச்சனை,ഏകദേശ പ്രശ്നം
தோராயமான சொத்து,ഏകദേശ സ്വത്ത്
திறன் சோதனை பேட்டரி,ആപ്റ്റിറ്റ്യൂഡ് ടെസ്റ്റ് ബാറ്ററി
அர்காண்ட் வரைபடம்,അർഗൻഡ് ഡയഗ്രം
தன்னிச்சையாக தேர்வு,ഏകപക്ഷീയമായി തിരഞ്ഞെടുത്തു
தன்னிச்சையான,ഏകപക്ഷീയമായ
தன்னிச்சையான மாறிலி,ഏകപക്ഷീയമായ സ്ഥിരാങ്കം
தன்னிச்சையான உறுப்பு,ഏകപക്ഷീയമായ ഘടകം
தன்னிச்சையான புள்ளி,ഏകപക്ഷീയമായ പോയിന്റ്
ஆர்க்கிமிடியன் சட்டம்,ആർക്കെമീഡിയൻ നിയമം
ஆர்க்கிமிடிஸ் கொள்கை,ആർക്കിമിഡീസ് തത്വം
வில்லின் நீளம்,ആർക്ക് നീളം
வட்ட வில்,വൃത്താകൃതിയിലുള്ള കമാനം
ஆர்க் சைன் விநியோகம்,ആർക്ക് സൈൻ വിതരണം
ஆர்க் சைன் மாற்றம்,ആർക്ക് സൈൻ പരിവർത്തനം
பகுதி,പ്രദേശം
பகுதி அமைப்பு,ഏരിയൽ ടെക്സ്ചർ
கலப்பு எண்ணின் வாதம்,സങ്കീർണ്ണ സംഖ്യയുടെ വാദം
எண்கணித சராசரி,ഗണിത അർത്ഥം
எண்கணித செயல்பாடு,ഗണിത പ്രവർത്തനം
எண்கணித அலகு,ഗണിത യൂണിറ്റ്
ஏற்பாடு,ക്രമീകരണം
வரிசை,അറേ
செயற்கை செயற்கைக்கோள்,കൃത്രിമ ഉപഗ്രഹം
செயற்கை மாறி,കൃത്രിമ വേരിയബിൾ
ஏறும்,കയറുക
ஏறும்,ആരോഹണം
அளவின் ஏறுவரிசை,മാഗ്നിറ്റ്യൂഡിന്റെ ആരോഹണ ക്രമം
ஏறுவரிசை தொடர்,ആരോഹണ പരമ്പര
அசெம்பிளர் மொழி,അസംബ്ലർ ഭാഷ
பணி நியமன பிரச்சனை,അസൈൻമെന്റ് പ്രശ്നം
துணை சட்டம்,സഹകാരി നിയമം
ஆபரேட்டர்களின் துணை சட்டம்,ഓപ്പറേറ്റർമാരുടെ അനുബന്ധ നിയമം
துணை செயல்பாடு,അനുബന്ധ പ്രവർത്തനം
கூட்டுறவு,സഹവാസം
சராசரியாக கருதப்படுகிறது,അർത്ഥമാക്കുന്നത്
நிகழ்தகவு விநியோகம் என்று கருதப்படுகிறது,പ്രോബബിലിറ്റി ഡിസ്ട്രിബ്യൂഷൻ അനുമാനിച്ചു
அனுமானம்,അനുമാനം
ஜோதிடம்,ജ്യോതിഷം
விண்வெளி பொறியாளர்,ബഹിരാകാശ എഞ്ചിനീയർ
வானியலாளர்,ജ്യോതിശാസ്ത്രജ്ഞൻ
வானியல் கடிகாரம்,ജ്യോതിശാസ്ത്ര ഘടികാരം
வானியல்,ജ്യോതിശാസ്ത്രം
சமச்சீரற்ற வளைவு,അസമമായ വക്രം
சமச்சீரற்ற தன்மை,അസമമിതി
அறிகுறியற்றது,ലക്ഷണം
அறிகுறியற்ற,അസിംപ്റ്റോട്ടിക്
அறிகுறியற்ற திறமையான மதிப்பீட்டாளர்,അസിംപ്റ്റിക്കലി കാര്യക്ഷമമായ എസ്റ്റിമേറ്റർ
அறிகுறியற்ற பாரபட்சமற்ற மதிப்பீட்டாளர்,അസ്‌മിപ്റ്റിക്കലി പക്ഷപാതമില്ലാത്ത എസ്റ്റിമേറ്റർ
அறிகுறியற்ற நடத்தை,അസിംപ്റ്റോട്ടിക് സ്വഭാവം
அறிகுறியற்ற விநியோக செயல்பாடு,അസിംപ്റ്റോട്ടിക് ഡിസ്ട്രിബ്യൂഷൻ ഫംഗ്ഷൻ
அறிகுறியற்ற விரிவாக்கம்,അസിംപ്റ്റോട്ടിക് വികാസം
வளிமண்டல அழுத்தம்,അന്തരീക്ഷമർദ്ദം
சீரற்ற முறையில்,മാറി മാറി
பண்பு,ആട്രിബ്യൂട്ട്
மாதிரி செயல்முறை பண்புகளை,ആട്രിബ്യൂട്ടുകൾ സാമ്പിൾ നടപടിക്രമം
பெரிதாக்கப்பட்ட அணி,വർദ്ധിപ്പിച്ച മാട്രിക്സ്
தன்னியக்க தொடர்பு குணகம்,ഓട്ടോകോറിലേഷൻ കോഫിഫിഷ്യന്റ്
தன்னியக்க தொடர்பு செயல்பாடு,ഓട്ടോകോറിലേഷൻ ഫംഗ്ഷൻ
தன்னியக்க மாறுபாடு,ഓട്ടോകോവേരിയൻസ്
தானியங்கி கணினி,ഓട്ടോമാറ്റിക് കമ്പ്യൂട്ടർ
தன்னியக்க பின்னடைவு,സ്വയം റിഗ്രഷൻ
துணை சமன்பாடு,സഹായ സമവാക്യം
சராசரி மாதிரி எண் வளைவு (ASN வளைவு),ശരാശരി സാമ്പിൾ നമ്പർ വക്രം (ASN കർവ്)
கோட்பாடு,സിദ്ധാന്തം
அச்சு அணுகுமுறை,അച്ചുതണ്ട് സമീപനം
நிகழ்தகவு கோட்பாடு,സംഭാവ്യതയുടെ സിദ്ധാന്തം
அச்சு,അച്ചുതണ്ട്
abscissa அச்சு,അബ്സിസ്സയുടെ അച്ചുതണ്ട്
பூமியின் அச்சு,ഭൂമിയുടെ അച്ചുതണ്ട്
புரட்சியின் அச்சு,വിപ്ലവത്തിന്റെ അച്ചുതണ്ട്
சுழற்சியின் அச்சு,ഭ്രമണത്തിന്റെ അച്ചുതണ്ട്
சுழற்சியின் அச்சு,സ്പിന്നിന്റെ അച്ചുതണ്ട്
பின்-மாற்று,തിരികെ-പകരം
பின்தங்கிய வேறுபாடு,പിന്നാക്ക വ്യത്യാസം
பின்தங்கிய இடைக்கணிப்பு சூத்திரம்,ബാക്ക്വാർഡ്-ഇന്റർപോളേഷൻ ഫോർമുല
சமநிலை,ബാലൻസ്
சீரான வடிவமைப்பு,സമതുലിതമായ ഡിസൈൻ
இருப்புநிலை,ബാലൻസ് ഷീറ്റ്
பாலிஸ்டிக் ஏவுகணை,ബാലിസ്റ്റിക് മിസൈൽ
பாலிஸ்டிக்ஸ்,ബാലിസ്റ്റിക്സ്
மதுக்கூடம்,ബാർ
அடித்தளம்,അടിസ്ഥാനം
அடிப்படை கோணம்,അടിസ്ഥാന കോൺ
மடக்கையின் அடிப்படை,ലോഗരിതം അടിസ്ഥാനം
அடிப்படை,അടിസ്ഥാന
அடிப்படை சாத்தியமான தீர்வு,അടിസ്ഥാന പ്രായോഗിക പരിഹാരം
அடிப்படை தீர்வு,അടിസ്ഥാന പരിഹാരം
அடிப்படை மாறி,അടിസ്ഥാന വേരിയബിൾ
அடிப்படையில்,അടിസ്ഥാനം
அடிப்படை உறுப்பு,അടിസ്ഥാന ഘടകം
அடிப்படை அணி,അടിസ്ഥാന മാട്രിക്സ്
ஒரு திசையன் இடத்தின் அடிப்படை,ഒരു വെക്റ്റർ സ്ഥലത്തിന്റെ അടിസ്ഥാനം
துணைவெளியின் அடிப்படை,ഉപസ്ഥലത്തിന്റെ അടിസ്ഥാനം
பேய்சியன் மதிப்பீடு,ബയേസിയൻ എസ്റ്റിമേറ്റ്
பேய்ஸ் சட்டம்,ബയേസിന്റെ നിയമം
பேய்ஸ் தேற்றம்,ബയേസിന്റെ സിദ്ധാന്തം
பெர்னோலி விநியோகம்,ബെർണൂലി വിതരണം
பெர்னோலி எண்,ബെർണൂലി നമ്പർ
பெர்னோலி நிகழ்தகவு செயல்பாடு,ബെർണൂലി പ്രോബബിലിറ്റി ഫംഗ്‌ഷൻ
பெர்னோலியின் சமன்பாடு,ബെർണൂലിയുടെ സമവാക്യം
பெர்ரி செயல்பாடு,ബെറി പ്രവർത്തനം
சிறந்த பொருத்தம்,ഏറ്റവും അനുയോജ്യം
சிறந்த பொருத்தம் வரி,ഏറ്റവും അനുയോജ്യമായ ലൈൻ
சிறந்த தீர்வு,മികച്ച പരിഹാരം
சிறந்த உத்திகள்,മികച്ച തന്ത്രങ്ങൾ
பீட்டா விநியோகம்,ബീറ്റ വിതരണം
சார்பு,പക്ഷപാതം
பாரபட்சமான மதிப்பீடு,പക്ഷപാതപരമായ കണക്ക്
பைஹார்மோனிக் சமன்பாடு,ബൈഹാർമോണിക് സമവാക്യം
பிஜேக்ஷன்,ബിജക്ഷൻ
இருமுனை வரைபடம்,ബിജക്റ്റീവ് മാപ്പ്
பைஜெக்டிவ் மேப்பிங்,ബിജക്റ്റീവ് മാപ്പിംഗ്
இருகோடி வடிவம்,ബിലീനിയർ രൂപം
இருமுனை செயல்பாடு,ബിലീനിയർ ഫംഗ്ഷൻ
இருமுனை ஹெர்மிடியன் வடிவம்,ബിലീനിയർ ഹെർമിഷ്യൻ രൂപം
பைனரி,ബൈനറി
பைனரி குறியீடு,ബൈനറി കോഡ്
பைனரி குறியிடப்பட்ட தசம,ബൈനറി കോഡ് ചെയ്ത ദശാംശം
பைனரி குறியீட்டு முறை,ബൈനറി കോഡിംഗ്
பைனரி கணினி,ബൈനറി കമ്പ്യൂട്ടർ
பைனரி இலக்கம்,ബൈനറി അക്കം
பைனரி செயல்பாடு,ബൈനറി പ്രവർത്തനം
பைனரி அமைப்பு,ബൈനറി സിസ്റ്റം
பைனரி மாறி,ബൈനറി വേരിയബിൾ
ஈருறுப்புக் குணகம்,ദ്വിപദ ഗുണകം
இருவகைப் பரவல்,ദ്വിപദ വിതരണം
ஈருறுப்புச் சமன்பாடு,ദ്വിപദ സമവാക്യം
ஈருறுப்பு விரிவாக்கம்,ദ്വിപദ വിപുലീകരണം
ஈருறுப்பு வெளிப்பாடு,ദ്വിപദ പദപ്രയോഗം
ஈருறுப்பு சீரற்ற மாறி,ബൈനോമിയൽ റാൻഡം വേരിയബിൾ
ஈருறுப்பு தேற்றம்,ദ്വിപദ സിദ്ധാന്തം
இரு பிரிவு,വിഭജനം
பிரித்தல் முறை,വിഭജന രീതി
இருவகை,ദ്വിഭാഗം
இருமுறை,ബൈസീരിയൽ
பிட்,ബിറ്റ്
இருவகை இருவகைப் பரவல்,ദ്വിപദ ദ്വിപദ വിതരണം
இருவகை தொடர்பு குணகம்,ദ്വിവസ്ത്ര പരസ്പര ബന്ധ ഗുണകം
இருவகை விநியோகம்,ദ്വിവിധ വിതരണം
இருவகை சாதாரண விநியோகம்,ദ്വിവത്കൃത സാധാരണ വിതരണം
பைவெக்டர்,ബിവെക്ടർ
போல்ட்ஸ்மேன் சமன்பாடு,ബോൾട്ട്സ്മാൻ സമവാക്യം
பூலியன் இயற்கணிதம்,ബൂളിയൻ ബീജഗണിതം
போஸ் - ஐன்ஸ்டீன் புள்ளிவிவரங்கள்,ബോസ് - ഐൻസ്റ്റീൻ സ്ഥിതിവിവരക്കണക്കുകൾ
எல்லை நிலை,അതിർത്തി അവസ്ഥ
எல்லை அடுக்கு,അതിർത്തി പാളി
எல்லைக் கோடு,അതിർത്തി രേഖ
எல்லை மதிப்பு,അതിർത്തി മൂല്യം
எல்லை மதிப்பு பிரச்சனை,അതിർത്തി മൂല്യ പ്രശ്നം
வரையறுக்கப்பட்ட செயல்பாடு,പരിമിതമായ പ്രവർത്തനം
கட்டுப்பட்ட அணி,ബൗണ്ടഡ് മാട്രിക്സ്
எல்லைக்குட்பட்ட பகுதி,അതിർത്തി പ്രദേശം
வரையறுக்கப்பட்ட தொகுப்பு,ബൗണ്ടഡ് സെറ്റ്
பிரவுனிய இயக்கம்,ബ്രൗൺ ചലനം
கணக்கிட,കണക്കാക്കുക
கணக்கிடுகிறது,കണക്കുകൂട്ടുന്നു
கணக்கிடும் இயந்திரம்,കണക്കുകൂട്ടൽ യന്ത്രം
கணக்கீடு,കണക്കുകൂട്ടല്
கணக்கீட்டு செயல்முறை,കണക്കുകൂട്ടൽ നടപടിക്രമം
கால்குலேட்டர்,കാൽക്കുലേറ്റർ
கால்குலஸ்,കാൽക്കുലസ്
மாறுபாட்டின் கணக்கீடு,വ്യതിയാനത്തിന്റെ കണക്കുകൂട്ടൽ
கலோரி,കലോറി
ரத்து சட்டம்,റദ്ദാക്കൽ നിയമം
நியமன சமன்பாடு,കാനോനിക്കൽ സമവാക്യം
நியமன வடிவம்,കാനോനിക്കൽ രൂപം
நியமன அணி,കാനോനിക്കൽ മാട്രിക്സ്
கேன்டர் செட்,കാന്റർ സെറ്റ്
கேண்டரின் மும்முனைத் தொகுப்பு,കാന്ററിന്റെ ത്രിതല സെറ്റ്
திறன் கொண்ட போக்குவரத்து பிரச்சனை,ശേഷിയുള്ള ഗതാഗത പ്രശ്നം
திறன்,ശേഷി
தந்துகி விசை,കാപ്പിലറി ബലം
கார்டினல் எண்,കാർഡിനൽ നമ്പർ
கார்ட்டீசியன் அச்சுகள்,കാർട്ടീഷ്യൻ അക്ഷങ്ങൾ
கார்ட்டீசியன் ஆயத்தொகுப்புகள்,കാർട്ടീഷ്യൻ കോർഡിനേറ്റുകൾ
கார்ட்டீசியன் தயாரிப்பு,കാർട്ടീഷ്യൻ ഉൽപ്പന്നം
தொகுப்புகளின் கார்ட்டீசியன் தயாரிப்பு,സെറ്റുകളുടെ കാർട്ടീഷ്യൻ ഉൽപ്പന്നം
வழக்கு ஆய்வு,കേസ് പഠനം
பேரழிவு ஏற்ற இறக்கம்,വിനാശകരമായ ഏറ്റക്കുറച്ചിലുകൾ
கேடனரி,കാറ്റനറി
காச்சி விநியோகம்,കോച്ചി വിതരണം
கௌச்சி சூத்திரம்,കൗച്ചി ഫോർമുല
Cauchy Goursat தேற்றம்,Cauchy Goursat സിദ്ധാന്തം
Cauchy Rimann நிபந்தனைகள்,കൗച്ചി റീമാൻ വ്യവസ്ഥകൾ
கௌச்சி வரிசை,Cauchy ക്രമം
Cauchy ஒருங்கிணைந்த,കൗച്ചി ഇന്റഗ്രൽ
Cauchy முதன்மை மதிப்பு,Cauchy പ്രധാന മൂല്യം
கௌச்சி எச்ச தேற்றம்,കൗച്ചി അവശിഷ്ട സിദ്ധാന്തം
கெய்லி ஹாமில்டன் தேற்றம்,കെയ്‌ലി ഹാമിൽട്ടൺ സിദ്ധാന്തം
வானுலக,ആകാശ ശരീരം
வான அளவீடு,ആകാശത്തിന്റെ അളവ്
வான இயக்கவியல்,ആകാശ മെക്കാനിക്സ്
வான பொருள்,ആകാശ വസ്തു
செல் அலைவரிசை,സെൽ ആവൃത്തി
மக்கள் தொகை கணக்கெடுப்பு,കാനേഷുമാരി
சென்டைல்,സെന്റൽ
சென்டிமீட்டர்,സെന്റീമീറ്റർ
சென்டிமீட்டர் கிராம் இரண்டாவது அமைப்பு,സെന്റീമീറ്റർ ഗ്രാം സെക്കന്റ് സിസ്റ്റം
மத்திய,കേന്ദ്ര
மைய அச்சு,കേന്ദ്ര അക്ഷം
மைய வேறுபாடு,കേന്ദ്ര വ്യത്യാസം
மைய வேறுபாடு சூத்திரம்,കേന്ദ്ര വ്യത്യാസ ഫോർമുല
மைய வேறுபாடு அட்டவணை,കേന്ദ്ര വ്യത്യാസ പട്ടിക
மத்திய வரம்பு தேற்றம்,കേന്ദ്ര പരിധി സിദ്ധാന്തം
மைய தருணம்,കേന്ദ്ര നിമിഷം
மத்திய செயலாக்க அலகு (CPU),സെൻട്രൽ പ്രോസസ്സിംഗ് യൂണിറ്റ് (സിപിയു)
மைய போக்கு,കേന്ദ്ര പ്രവണത
மையம்,കേന്ദ്രം
ஈர்ப்பு மையம்,ഗുരുത്വാകർഷണ കേന്ദ്രം
குழுவின் மையம்,ഗ്രൂപ്പിന്റെ കേന്ദ്രം
வெகுஜன மையம்,പിണ്ഡത്തിന്റെ കേന്ദ്രം
சமச்சீர் மையம்,സമമിതിയുടെ കേന്ദ്രം
மையவிலக்கு விசை,അപകേന്ദ്ര ബലം
மையவிலக்கு விசை,അപകേന്ദ്രബലം
மையப்பகுதி,കേന്ദ്രീകൃത
உறுதி,ഉറപ്പ്
cgs அமைப்பு,cgs സിസ്റ്റം
cgs அலகு,cgs യൂണിറ്റ്
வேறுபாட்டின் சங்கிலி விதி,വ്യത്യാസത്തിന്റെ ശൃംഖല
வாய்ப்பு காரணங்கள்,സാധ്യത കാരണങ്ങൾ
வாய்ப்பு நகர்கிறது,അവസര നീക്കങ്ങൾ
அச்சுகளின் மாற்றம்,അച്ചുതണ്ടുകളുടെ മാറ്റം
அடிப்படை மாற்றம்,അടിസ്ഥാന മാറ്റം
ஒழுங்கு மாற்றம்,ക്രമം മാറ്റം
பண்பு குணகம்,സ്വഭാവ ഗുണകം
தீர்மானிக்கும்,ഡിറ്റർമിനന്റ്
சிறப்பியல்பு சமன்பாடு,സ്വഭാവ സമവാക്യം
பண்பு செயல்பாடு,സ്വഭാവ സവിശേഷത
மடக்கையின் சிறப்பியல்பு,ലോഗരിതത്തിന്റെ സ്വഭാവം
பண்பு பல்லுறுப்புக்கோவை,സ്വഭാവ ബഹുപദം
பண்பு மதிப்பு,സ്വഭാവ മൂല്യം
பண்பு திசையன்,സ്വഭാവ വെക്റ്റർ
எழுத்துத் தொகுப்பு,പ്രതീക സെറ്റ്
விளக்கப்படம்,ചാർട്ട്
சி-சதுர விநியோகம்,ചി-സ്ക്വയർ വിതരണം
சி-சதுர சூத்திரம்,ചി-സ്ക്വയർ ഫോർമുല
சி-சதுர சோதனை,ചി-സ്ക്വയർ ടെസ്റ്റ്
நாண்,കോർഡ്
நாண்-பிரித்தல் முறை,chord-bisection രീതി
மறைக்குறியீடு செய்தி (=குறியிடப்பட்ட செய்தி),സൈഫർ സന്ദേശം (=കോഡ് ചെയ്ത സന്ദേശം)
மறைக்குறியீடு (பூஜ்ஜியம்),സൈഫർ (പൂജ്യം)
வட்டம்,വൃത്തം
ஒன்றிணைந்த வட்டம்,ഒത്തുചേരൽ വൃത്തം
சுற்று அணி,സർക്യൂട്ട് മാട്രിക്സ്
வட்ட,വൃത്താകൃതിയിലുള്ള
வட்ட அறிகுறி,വൃത്താകൃതിയിലുള്ള ലക്ഷണം
வட்ட சுருளி,വൃത്താകൃതിയിലുള്ള ഹെലിക്സ്
வட்ட இயக்கம்,വൃത്താകൃതിയിലുള്ള ചലനം
சுற்று மையம்,ചുറ്റളവ്
வட்ட வட்டம்,വൃത്താകൃതി
சுற்றம்,ചുറ്റുക
சுற்றத்தார்,പരിമിതപ്പെടുത്തിയിരിക്കുന്നു
சுற்றப்பட்ட வட்டம்,ചുറ്റപ്പെട്ട വൃത്തം
கிளாசிக்கல் கழித்தல் நுட்பம்,ക്ലാസിക്കൽ ഡിഡക്റ്റീവ് ടെക്നിക്
