Tamil,Odiya
அணுகல் சேவையகம்,acess ସର୍ଭର |
அணுகல் நேரம்,ଆକସେସ୍ ସମୟ |
ஒப்புகை,ସ୍ୱୀକୃତି
ஒலியியல்,ଆକାଶବାଣୀ
சுருக்கம்,ସଂକ୍ଷିପ୍ତ ଶବ୍ଦ
செயல் செய்தி,କାର୍ଯ୍ୟ ବାର୍ତ୍ତା |
செயல்படுத்துதல்,ସକ୍ରିୟ
செயலில் உள்ள சர்வர் பக்கம் (ASP),ସକ୍ରିୟ ସର୍ଭର ପୃଷ୍ଠା (ASP)
செயலில் உள்ள பதிப்பு,ସକ୍ରିୟ ସଂସ୍କରଣ |
அசைக்ளிக்,acyclic
அசைக்ளிக் வரைபடம்,acyclic ଗ୍ରାଫ୍ |
அட மொழி,ଅଦା ଭାଷା |
அடாப்டர்,ଆଡାପ୍ଟର
கூட்டு,ଯୋଡନ୍ତୁ |
கோப்பை சேர்க்க,ଫାଇଲ୍ ଯୋଡନ୍ତୁ |
செயல்பாட்டைச் சேர்க்கவும்,ଅପରେସନ୍ ଯୋଡନ୍ତୁ |
சேர்ப்பான்,ଆଡର୍
முகவரி,ଠିକଣା
முகவரி பேருந்து,ଠିକଣା ବସ୍
முகவரி கோப்பு,ଠିକଣା ଫାଇଲ୍ |
முகவரி வடிவம்,ଠିକଣା ଫର୍ମାଟ୍
முகவரி ஜெனரேட்டர்,ଠିକଣା ଜେନେରେଟର
முகவரி வரி,ଠିକଣା ରେଖା
முகவரி மேப்பிங்,ଠିକଣା ମ୍ୟାପିଂ
முகவரி சுட்டி,ଠିକଣା ସୂଚକ
முகவரி பதிவு,ଠିକଣା ରେଜିଷ୍ଟର
முகவரி தீர்மானம்,ଠିକଣା ରେଜୋଲୁସନ
முகவரி மொழிபெயர்ப்பு,ଠିକଣା ଅନୁବାଦ
நினைவாற்றலை உரையாற்றினார்,ଠିକଣା ସ୍ମୃତି
உரையாற்றுவது,ଠିକଣା
போதுமான அளவுகோல்கள்,ପର୍ଯ୍ୟାପ୍ତ ମାନଦଣ୍ଡ
இணைந்த,ଯୋଗ
நிர்வாகம்,ପ୍ରଶାସନ
நிர்வாகி,ପ୍ରଶାସକ
அடோப் அக்ரோபேட்,ଆଡୋବ ଆକ୍ରୋବାଟ୍ |
அடோ போட்டோஷாப்,ଆଡୋବ ଫଟୋଶପ୍ |
அட்வான்ஸ் பிசினஸ் அப்ளிகேஷன் புரோகிராமிங் (ஏபிஏபி),ଆଡଭାନ୍ସ ବ୍ୟବସାୟ ଆବେଦନ ପ୍ରୋଗ୍ରାମିଂ (ABAP)
மேம்பட்ட தரவு,ଉନ୍ନତ ତଥ୍ୟ
மேம்பட்ட தகவல் அமைப்பு,ଉନ୍ନତ ସୂଚନା ପ୍ରଣାଳୀ |
மேம்பட்ட தொழில்நுட்பம் (AT),ଉନ୍ନତ ଜ୍ଞାନକ technology ଶଳ (AT)
முகவர்,ଏଜେଣ୍ଟ
திரட்டுதல்,ଏକୀକରଣ
வான்வழி கணினி அமைப்பு,ବାୟୁବାହୀ କମ୍ପ୍ୟୁଟର ସିଷ୍ଟମ୍ |
அல்டஸ் பக்க தயாரிப்பாளர்,aldus ପୃଷ୍ଠା ନିର୍ମାତା |
எச்சரிக்கை பெட்டி,ଆଲର୍ଟ ବାକ୍ସ
அல்கோல்,ଆଲଗୋଲ୍
அல்காரிதம்,ଆଲଗୋରିଦମ |
அல்காரிதம் பகுப்பாய்வு,ଆଲଗୋରିଦମ ବିଶ୍ଳେଷଣ |
அல்காரிதம் திறன்,ଆଲଗୋରିଦମ ଦକ୍ଷତା |
மாற்றுப்பெயர்,ଛଦ୍ମନାମ
சீரமைப்பு,ଶ୍ରେଣୀବଦ୍ଧତା |
ஒதுக்கீடு,ଆବଣ୍ଟନ
அகரவரிசை,ବର୍ଣ୍ଣାନୁକ୍ରମିକ
எண்ணெழுத்து,ବର୍ଣ୍ଣମାଳା
எண்ணெழுத்து விசைப்பலகை,ବର୍ଣ୍ଣମାଳା କି ବୋର୍ଡ |
ஆல்பா-சோதனை,ଆଲଫା-ପରୀକ୍ଷା
ஆல்பா பதிப்பு,ଆଲଫା-ସଂସ୍କରଣ |
alt விசை,alt କି
அல்டாவிஸ்டா,altavista
தெளிவின்மை,ଅସ୍ପଷ୍ଟତା |
தெளிவற்ற இலக்கணம்,ଅସ୍ପଷ୍ଟ ବ୍ୟାକରଣ
அமெரிக்க தேசிய தரநிலை நிறுவனம் (ANSI),ଆମେରିକୀୟ ଜାତୀୟ ମାନକ ପ୍ରତିଷ୍ଠାନ (ANSI)
தகவல் பரிமாற்றத்திற்கான அமெரிக்க தரநிலை குறியீடு (ASCII),ସୂଚନା ଆଦାନ ପ୍ରଦାନ ପାଇଁ ଆମେରିକୀୟ ଷ୍ଟାଣ୍ଡାର୍ଡ କୋଡ୍ (ASCII)
அனலாக்,analog
அனலாக் கணினி,ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |
அனலாக் சாதனம்,analog ଉପକରଣ
அனலாக் மோடம்,ଆନାଗଲ୍ ମୋଡେମ୍ |
அனலாக் டு டிஜிட்டல் மாற்றி (ADC),ଡିଜିଟାଲ୍ କନଭର୍ଟର (ADC)
மற்றும்,ଏବଂ
மற்றும் சுற்று,ଏବଂ ସର୍କିଟ |
மற்றும் வாயில்,ଏବଂ ଫାଟକ |
மற்றும் செயல்பாடு அல்ல (விலக்கு),ଏବଂ ଅପରେସନ୍ ନୁହେଁ (ବହିଷ୍କାର)
இயங்குபடம்,ଆନିମେସନ୍
சிறுகுறிப்பு,ଟିପ୍ପଣୀ
ஒழுங்கின்மை,ଅନୋମାଲିୟା |
முன்னோடி,ପ୍ରାଚୀନ
முன்கூட்டிய பேஜிங்,ଆଶାକର୍ମୀ ପେଜିଂ |
எதிர்ப்பு சமச்சீர்,ଆଣ୍ଟି-ସିମେଟ୍ରିକ୍ |
வைரஸ் தடுப்பு நிரல்,ଆଣ୍ଟିଭାଇରସ୍ ପ୍ରୋଗ୍ରାମ୍ |
ஆப்லெட்,ଆପଲେଟ୍
பயன்பாட்டு டெவலப்பர்,ପ୍ରୟୋଗ ବିକାଶକାରୀ
பயன்பாட்டு நிரலாக்கம்,ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ
பயன்பாட்டு நிரலாக்க இடைமுகம் (API),ପ୍ରୟୋଗ ପ୍ରୋଗ୍ରାମିଂ ଇଣ୍ଟରଫେସ୍ (API)
பயன்பாட்டு மென்பொருள்,ପ୍ରୟୋଗ ସଫ୍ଟୱେର୍
பயன்பாட்டு மொழி,ପ୍ରୟୋଗ ଭାଷା |
தோராயக் கோட்பாடு,ଆନୁମାନିକ ତତ୍ତ୍। |
கட்டிடக்கலை,ସ୍ଥାପତ୍ୟ
பகுதி பரிமாற்றம்,କ୍ଷେତ୍ର ସ୍ଥାନାନ୍ତର |
வாதம்,ଯୁକ୍ତି
எண்கணித மற்றும் தர்க்க அலகு,ଗାଣିତିକ ଏବଂ ତର୍କ ଏକକ |
எண்கணித சரிபார்ப்பு,ଗାଣିତିକ ଯାଞ୍ଚ |
எண்கணித மாறிலி,ଗାଣିତିକ ସ୍ଥିର |
எண்கணித தரவு,ଗାଣିତିକ ତଥ୍ୟ
எண்கணித அறிவுரை,ଗାଣିତିକ ନିର୍ଦ୍ଦେଶ
எண்கணிதம் மற்றும் தருக்க அலகு (ALU),ଗାଣିତିକ ଏବଂ ତର୍କ ଏକକ (ALU)
அர்பானெட்,ARPANET
வரிசை,ଆରେ
வரிசை கேச்,ଆରେ କ୍ୟାଚ୍
வரிசை கணினி,ଆରେ କମ୍ପ୍ୟୁଟର |
வரிசை உறுப்பு,ଆରେ ଉପାଦାନ |
வரிசை பெயர்,ଆରେ ନାମ
வரிசை செயலி,ଆରେ ସଞ୍ଚାଳକ
அம்புக்குறி விசைகள்,ତୀର କିଗୁଡ଼ିକ
உச்சரிப்பு,ଆର୍ଟିକିଲେସନ୍
உச்சரிப்பு புள்ளி,ଆର୍ଟିକ୍ୟୁଲେସନ୍ ପଏଣ୍ଟ |
செயற்கை சுருக்கம்,କୃତ୍ରିମ ସଙ୍କୋଚନ |
செயற்கை கட்டுப்பாடு,କୃତ୍ରିମ ନିୟନ୍ତ୍ରଣ |
செயற்கை நுண்ணறிவு,କୃତ୍ରିମ ବୁଦ୍ଧି
ஏறுபவர்,ଆରୋହଣ
ஏறும் வகை,ଆରୋହଣ କ୍ରମ
ASCII betical order,ASCII ବେଟିକାଲ୍ କ୍ରମ |
ASCII கட்டுப்பாட்டு எழுத்து,ASCII ନିୟନ୍ତ୍ରଣ ବର୍ଣ୍ଣ |
ASCII கோப்பு,ASCII ଫାଇଲ୍ |
ASCII எழுத்துரு,ASCII ଫଣ୍ଟ |
ASCII பரிமாற்றம்,ASCII ସ୍ଥାନାନ୍ତର |
விகிதம்,ଆନୁମାନିକ ଅନୁପାତ
ASPI,ASPI
ASR டைமர்,ASR ଟାଇମର୍ |
கூடி,ଏକତ୍ର ହୁଅ
அசெம்பிளர்,ଏକତ୍ରକାରୀ
சட்டசபை,ସଭା
சட்டசபை மொழி,ସଭା ଭାଷା |
வலியுறுத்தல்,ଧାରଣା
பணி நியமனம்,ଆସାଇନମେଣ୍ଟ
சங்கம்,ସଙ୍ଗଠନ
துணை முகவரி,ସହଯୋଗୀ ଠିକଣା
துணை நினைவகம்,ସହଯୋଗୀ ସ୍ମୃତି
ஆஸ்டிரிக்,ନକ୍ଷତ୍ର
சமச்சீரற்ற,ଅସୀମିତ |
ஒத்திசைவற்ற,ଅସନ୍ତୁଳିତ |
ஒத்திசைவற்ற டிஜிட்டல் சந்தாதாரர் வரி (ADSL),ଅସନ୍ତୁଳିତ ଡିଜିଟାଲ୍ ସବସ୍କ୍ରାଇବର ଲାଇନ (ADSL)
ஒத்திசைவற்ற நேரப் பிரிவு மல்டிபிளெக்சிங் (ATDM),ଅସନ୍ତୁଳିତ ସମୟ ବିଭାଗ ମଲ୍ଟିପ୍ଲେସିଙ୍ଗ୍ (ATDM)
ஒத்திசைவற்ற பரிமாற்றம்,ଅସନ୍ତୁଳିତ ସ୍ଥାନାନ୍ତର |
ஒத்திசைவற்ற பரிமாற்ற முறை (ATM),ଅସନ୍ତୁଳିତ ସ୍ଥାନାନ୍ତର ମୋଡ୍ (ଏଟିଏମ୍)
அணு,ପରମାଣୁ
இணைக்கப்பட்ட ஆவணம்,ସଂଲଗ୍ନିତ ଡକ୍ୟୁମେଣ୍ଟ୍ |
இணைக்கப்பட்டுள்ள கோப்பு,ସଂଲଗ୍ନ ଫାଇଲ୍ |
இணைப்பு,ସଂଲଗ୍ନ
பண்பு,ଗୁଣ
ஆடியோ,ଅଡିଓ
தணிக்கை நிரலாக்கம்,ପ୍ରୋଗ୍ରାମିଂ ଅଡିଟ୍ କରନ୍ତୁ |
தணிக்கை சோதனை,ଅଡିଟ୍ ଟ୍ରେଲ୍ |
பெருக்குதல்,ବୃଦ୍ଧି
அங்கீகார நெறிமுறை,ପ୍ରାମାଣିକିକରଣ ପ୍ରୋଟୋକଲ୍ |
ஆசிரியர் அமைப்பு,ଲେଖକ ପ୍ରଣାଳୀ
அங்கீகாரம்,ପ୍ରାଧିକରଣ
தானியங்கு சுருக்கம்,ଅଟୋ ଅବଷ୍ଟ୍ରାକ୍ଟ |
தானாக துவக்குதல்,ଅଟୋବୋଟିଂ
ஆட்டோகேட்,ଅଟୋକ୍ୟାଡ୍ |
ஆட்டோலாக் ஆன்,ଅଟୋଲୋଜି ଅନ୍
தானியங்கி,ଅଟୋମେଟା |
தானியங்கு கோட்பாடு,ସ୍ୱୟଂଚାଳିତ ତତ୍ତ୍। |
தானியங்கி கணினி,ସ୍ୱୟଂଚାଳିତ ଗଣନା
தானியங்கி தரவு செயலாக்கம்,ସ୍ୱୟଂଚାଳିତ ତଥ୍ୟ ପ୍ରକ୍ରିୟାକରଣ |
தானியங்கி பிழை திருத்தம்,ସ୍ୱୟଂଚାଳିତ ତ୍ରୁଟି ସଂଶୋଧନ |
தானியங்கி செயல்பாடு,ସ୍ୱୟଂଚାଳିତ କାର୍ଯ୍ୟ
தானியங்கி அட்டவணைப்படுத்தல்,ସ୍ୱୟଂଚାଳିତ ସୂଚକାଙ୍କ |
தானியங்கி நூலக அழைப்பு,ସ୍ୱୟଂଚାଳିତ ଲାଇବ୍ରେରୀ କଲ୍ |
தானியங்கி நிரலாக்க,ସ୍ୱୟଂଚାଳିତ ପ୍ରୋଗ୍ରାମିଂ |
தானியங்கி மீட்பு திட்டம்,ସ୍ୱୟଂଚାଳିତ ପୁନରୁଦ୍ଧାର ପ୍ରୋଗ୍ରାମ |
தானியங்கி வழக்கம்,ସ୍ୱୟଂଚାଳିତ ରୁଟିନ୍ |
தானியங்கி கணினி மீட்பு,ସ୍ୱୟଂଚାଳିତ ତନ୍ତ୍ର ପୁନରୁଦ୍ଧାର
தானியங்கி பணம் செலுத்தும் இயந்திரம் (ATM),ସ୍ୱୟଂଚାଳିତ ଟେଲର୍ ମେସିନ୍ (ଏଟିଏମ୍)
தானியங்கி,ସ୍ୱୟଂଚାଳିତ
தானியங்கி,ସ୍ଵତଃ ଚଳିତ
தானாக சேமிக்கவும்,ଅଟୋସେଭ୍ |
துணை,ସହାୟକକାରୀ
துணை நினைவகம்,ସହାୟକ ସ୍ମୃତି
துணை சேமிப்பு,ସହାୟକ ଷ୍ଟୋରେଜ୍
கிடைக்கும் பட்டியல்,ଉପଲବ୍ଧ ତାଲିକା |
கிடைக்கும் நேரம்,ଉପଲବ୍ଧ ସମୟ |
சராசரி,ହାରାହାରି
awk (மொழி),awk (ଭାଷା)
பின்தளம்,ବ୍ୟାକେଣ୍ଡ୍ |
பின்தள செயலி,ବ୍ୟାକେଣ୍ଡ୍ ସଞ୍ଚାଳକ |
பின்முகத்தை அகற்றுதல்,ବ୍ୟାକଫେସ୍ ଅପସାରଣ |
பின்னணி செயலாக்கம்,ପୃଷ୍ଠଭୂମି ପ୍ରକ୍ରିୟାକରଣ |
பேக்கிங் கடை,ବ୍ୟାକିଂ ଷ୍ଟୋର |
பின் இணைப்பு,ବ୍ୟାକପ୍ୟାଚ୍
பின்வெளி,ବ୍ୟାକସ୍ପେସ୍ |
பின்வாங்குதல்,ବ୍ୟାକଟ୍ରାକ୍
காப்புப்பிரதி,ବ୍ୟାକ୍ ଅପ୍ |
காப்பு நினைவகம்,ବ୍ୟାକ୍ ଅପ୍ ମେମୋରୀ |
பின்னோக்கி பிழை மீட்பு,ପଛୁଆ ତ୍ରୁଟି ପୁନରୁଦ୍ଧାର
இருப்புநிலை,ତୂଳନା ପତ୍ର
இசைக்குழு,ବ୍ୟାଣ୍ଡ
பட்டை அகலம்,ବ୍ୟାଣ୍ଡ ଓସାର |
வங்கியாளர் வழிமுறை,ବ୍ୟାଙ୍କର ଆଲଗୋରିଦମ |
பார் குறியீடு,ବାର୍ କୋଡ୍
பட்டை குறி படிப்பான் வருடி,ବାର୍ କୋଡ୍ ସ୍କାନର୍ |
சட்ட வரைபடம்,ବାର୍ ଗ୍ରାଫ୍ |
அடிப்படை முகவரி,ମୂଳ ଠିକଣା
அடிப்படை இசைக்குழு,ବେସ୍ ବ୍ୟାଣ୍ଡ |
அடிப்படை எண்,ଆଧାର ସଂଖ୍ୟା
அடிப்படை அட்டவணை,ଆଧାର ଟେବୁଲ୍ |
அடிப்படை,ବେସିକ୍ |
அடிப்படை கட்டுப்பாடு,ମ basic ଳିକ ନିୟନ୍ତ୍ରଣ |
அடிப்படை உள்ளீடு,ମ basic ଳିକ ଇନପୁଟ୍ |
அடிப்படை அறிவுறுத்தல்,ମ basic ଳିକ ନିର୍ଦ୍ଦେଶ
அடிப்படை வெளியீடு,ମ basic ଳିକ ଆଉଟପୁଟ୍
அடிப்படை படி,ମ basic ଳିକ ପଦକ୍ଷେପ |
தொகுதி,ବ୍ୟାଚ୍
தொகுதி கோப்பு,ବ୍ୟାଚ୍ ଫାଇଲ୍ |
தொகுதி நிலை,ବ୍ୟାଚ୍ ସ୍ଥିତି |
தொகுதி செயலாக்கம்,ବ୍ୟାଚ୍ ପ୍ରକ୍ରିୟାକରଣ |
தொகுதி அமைப்பு,ବ୍ୟାଚ୍ ସିଷ୍ଟମ୍ |
பாட்,baud
பாட் விகிதம்,ବାଉଡ୍ ହାର
உத்திரம்,ବିମ୍
அளவுகோல்,ମାନଦଣ୍ଡ
இருதரப்பு தொடர்பு,ଦ୍ୱି-ଦିଗୀୟ ଯୋଗାଯୋଗ |
இருதரப்பு இணைப்பு,ଦ୍ୱି-ଦିଗୀୟ ଲିଙ୍କ୍ |
பைனரி குறியீடு,ବାଇନାରୀ କୋଡ୍ |
பைனரி இலக்கம்,ବାଇନାରୀ ଅଙ୍କ
பைனரி உள்ளீட்டு வெளியீட்டு அமைப்பு (பயாஸ்),ବାଇନାରୀ ଇନପୁଟ୍ ଆଉଟପୁଟ୍ ସିଷ୍ଟମ୍ (BIOS)
பைனரி எண்,ବାଇନାରୀ ସଂଖ୍ୟା
பைனரி ஆபரேட்டர்,ବାଇନାରୀ ଅପରେଟର୍ |
பைனரி உறவு,ବାଇନାରୀ ସମ୍ପର୍କ |
பைனரி தேடல்,ବାଇନାରୀ ସନ୍ଧାନ |
பைனரி தேடல் மரம் (BST),ବାଇନାରୀ ସନ୍ଧାନ ବୃକ୍ଷ (BST)
பைனரி பரிமாற்றம்,ବାଇନାରୀ ସ୍ଥାନାନ୍ତର |
பைனரி மரம்,ବାଇନାରୀ ଗଛ |
இருமுனை நினைவகம்,ଦ୍ୱିପାକ୍ଷିକ ସ୍ମୃତି
பிறப்பு இறப்பு மாதிரி,ଜନ୍ମ ମୃତ୍ୟୁ ମଡେଲ |
பிறப்பு இறப்பு செயல்முறை,ଜନ୍ମ ମୃତ୍ୟୁ ପ୍ରକ୍ରିୟା |
பிட்,ବିଟ୍
சிறிய தவறு,ବିଟ୍ ଦୋଷ |
பிட் வரைபடம்,ବିଟ୍ ମାନଚିତ୍ର
பிட் மேப் பிக்சல் (BMP),ବିଟ୍ ମାନଚିତ୍ର ପିକ୍ସେଲ୍ (BMP)
பிட் மேட்ரிக்ஸ்,ବିଟ୍ ମ୍ୟାଟ୍ରିକ୍ସ |
பிட் முறை,ବିଟ୍ ପ୍ୟାଟର୍ |
பிட் நிலை,ବିଟ୍ ସ୍ଥିତି |
பிட் விகிதம்,ବିଟ୍ ହାର
கருப்பு பெட்டி சோதனை,କଳା ବାକ୍ସ ପରୀକ୍ଷା
கண் சிமிட்டுதல்,ink ଲସି ଉଠୁଛି |
தொகுதி,ବ୍ଲକ
தொகுதி தற்காலிக சேமிப்பு,କ୍ୟାଚ୍ ଅବରୋଧ କରନ୍ତୁ |
தடுப்பு சோதனை,ଯାଞ୍ଚ ଯାଞ୍ଚ କରନ୍ତୁ |
தொகுதி நகல்,କପି କପି କରନ୍ତୁ |
தொகுதி வரைபடம்,ବ୍ଲକ ଚିତ୍ର
பிணையத்தைத் தடுக்கிறது,ନେଟୱର୍କକୁ ଅବରୋଧ କରୁଛି
பலகை,ବୋର୍ଡ
புத்தககுறி,ପୁସ୍ତକ ଚିହ୍ନ
பூலியன் இயற்கணிதம்,ବୁଲିଅନ୍ ବୀଜ ବିବେଚନା |
பூலியன் உறவு,ବୁଲିଅନ୍ ସମ୍ପର୍କ |
துவக்க பகிர்வு,ବୁଟ ବିଭାଜନ
பூட் ஸ்ட்ராப்பிங்,ବୁଟ ଷ୍ଟ୍ରାପିଂ
பூட்-ஸ்ட்ராப் ஏற்றி,ବୁଟ-ଷ୍ଟ୍ରାପ ଲୋଡର
பாலம்,ସେତୁ
பிராட்பேண்ட் நெட்வொர்க்கிங்,ବ୍ରଡବ୍ୟାଣ୍ଡ ନେଟୱର୍କିଙ୍ଗ |
ஒளிபரப்பு,ପ୍ରସାରଣ
ஒலிபரப்பு வானொலி,ରେଡିଓ ପ୍ରସାରଣ |
உலவ,ବ୍ରାଉଜ୍ କରନ୍ତୁ |
உலாவி,ବ୍ରାଉଜର୍
பி-மரம்,ବି-ଗଛ |
குமிழி நினைவகம்,ବବୁଲ୍ ମେମୋରୀ |
குமிழி வகை,ବବୁଲ୍ ସର୍ଟ୍ |
வாளி,ବାଲଟି
நண்பர் அமைப்பு,ସାଥୀ ସିଷ୍ଟମ୍
பட்ஜெட் பயனுள்ள கட்டுப்பாடு,ବଜେଟ୍ ପ୍ରଭାବଶାଳୀ ନିୟନ୍ତ୍ରଣ |
தாங்கல்,ବଫର୍
பிழை,ତ୍ରୁଟି
பேருந்து,ବସ୍
பைட்,ବାଇଟ୍ |
பைட் குறியீடு,ବାଇଟ୍ କୋଡ୍ |
c,ଗ
C++,C ++
தற்காலிக சேமிப்பு,କ୍ୟାଚ୍
கேச் தாங்கல்,କ୍ୟାଚ୍ ବଫର୍ |
கேச் நினைவகம்,କ୍ୟାଶେ ମେମୋରୀ
கணக்கீடு,ଗଣନା
கால்குலேட்டர்,କାଲକୁଲେଟର
கால்குலேட்டர் சிப்,କାଲକୁଲେଟର ଚିପ୍
அழைப்பு,କଲ୍ କରନ୍ତୁ |
பெயரால் அழைக்கவும்,ନାମରେ କଲ୍ କରନ୍ତୁ |
குறிப்பு மூலம் அழைப்பு,ରେଫରେନ୍ସ ଦ୍ୱାରା କଲ୍ କରନ୍ତୁ |
மதிப்பு மூலம் அழைப்பு,ମୂଲ୍ୟ ଅନୁଯାୟୀ କଲ୍ କରନ୍ତୁ |
மாறிகள் மூலம் அழைப்பு,ଭେରିଏବଲ୍ ଦ୍ୱାରା କଲ୍ କରନ୍ତୁ |
அழைப்பு வாயில்,କଲ୍ ଗେଟ୍ |
ரத்து செய்,ବାତିଲ୍ କରନ୍ତୁ |
ரத்து பொத்தான்,ବାତିଲ୍ ବଟନ୍
நியமனம்,କାନୋନିକାଲ୍ |
நியமன வடிவம்,କାନୋନିକାଲ୍ ଫର୍ମ |
திறன்,ସାମର୍ଥ୍ୟ |
திறன் பட்டியல்,ସାମର୍ଥ୍ୟ ତାଲିକା |
திறன்,କ୍ଷମତା
தொப்பி பூட்டு விசை,କ୍ୟାପ୍ ଲକ୍ କୀ |
அட்டை,କାର୍ଡ
கார்டு ரீடர்,କାର୍ଡ ରିଡର୍ |
கார்டினாலிட்டி,ହୃଦୟ
கேரியர்,ବାହକ
கேரியர் பேண்ட்,ବାହକ ବ୍ୟାଣ୍ଡ |
கேரியர் சுமை,ବାହକ ଭାର
கேரியர் சிக்னல்,ବାହକ ସଙ୍କେତ
கேரியர் அலை,ବାହକ ତରଙ୍ଗ |
சுமந்து செல்,ବହନ କର
இலக்கத்தை எடுத்துச் செல்லுங்கள்,ଅଙ୍କ ବହନ କର |
கொடியை ஏந்தி,ପତାକା ବହନ କର |
கெட்டி வட்டு,କାର୍ଟ୍ରିଜ୍ ଡିସ୍କ |
அருவி,କ୍ୟାସକେଡ୍ |
வழக்கு,କେସ୍
கத்தோட் கதிர் குழாய் (CRT),କ୍ୟାଥୋଡ୍ ରେଡ୍ ଟ୍ୟୁବ୍ (CRT)
கேத்தோடு கதிர் குழாய் (CRT),କ୍ୟାଥୋଡ୍ ରେଶ୍ ଟ୍ୟୁବ୍ (CRT)
CD ROM வட்டு இயக்கி,CD ROM ଡିସ୍କ ଡ୍ରାଇଭ |
செல்,କକ୍ଷ
செல் அனிமேஷன்,ସେଲ୍ ଆନିମେସନ୍ |
கை பேசி,ସେଲୁଲାର୍ ଫୋନ୍ |
மைய நினைவகம்,କେନ୍ଦ୍ରୀୟ ସ୍ମୃତି
மத்திய செயலாக்க அலகு (CPU),କେନ୍ଦ୍ରୀୟ ପ୍ରକ୍ରିୟାକରଣ ଏକକ (CPU)
மையப்படுத்தப்பட்ட அமைப்பு,କେନ୍ଦ୍ରୀଭୂତ ପ୍ରଣାଳୀ |
சான்றளிக்கப்பட்ட நாடா,ସାର୍ଟିଫିକେଟ୍ ଟେପ୍ |
சங்கிலி,ଶୃଙ୍ଖଳା
சங்கிலி தரவு,ଶୃଙ୍ଖଳା ତଥ୍ୟ
சங்கிலி இணைப்பு,ଶୃଙ୍ଖଳା ଲିଙ୍କ୍ |
சங்கிலியிடுதல்,ଶିକୁଳି
சேனல்,ଚ୍ୟାନେଲ୍ |
சேனல் பிஸியான தொனி,ଚ୍ୟାନେଲ ବ୍ୟସ୍ତ ସ୍ୱର |
சேனல் திறன்,ଚ୍ୟାନେଲ କ୍ଷମତା |
சேனல் கட்டுப்படுத்தி,ଚ୍ୟାନେଲ ନିୟନ୍ତ୍ରକ
சேனல் பிழை,ଚ୍ୟାନେଲ ତ୍ରୁଟି |
சேனல் நிரல்,ଚ୍ୟାନେଲ୍ ପ୍ରୋଗ୍ରାମ୍ |
சேனல் நம்பகத்தன்மை,ଚ୍ୟାନେଲ ନିର୍ଭରଯୋଗ୍ୟତା |
சேனல் தொகுப்பு,ଚ୍ୟାନେଲ୍ ସେଟ୍ |
பாத்திரம்,ବର୍ଣ୍ଣ
