English,Assamese
Blocky structure,ব্লকযুক্ত গঠন
Bogie resistance,বগী প্ৰতিৰোধ
Bog-iron ore,বোগ-লোহাৰ অক্সাইড
Bond,বান্ধোন
Bonded member,বণ্ডেড সদস্য
Bonded post tensioning,বণ্ডেড পোষ্ট টেনচিং
Bond stone,বণ্ড ষ্টোন
Bound water,বান্ধি থোৱা পানী
Box gutter,বক্স নালা
Brace,ব্ৰেচ
Brick-on-edge,ইটা-অন-এজ
Bridle,লজ্জাজনক
Brightness,উজ্জ্বলতা
Brown soil,বাদামী মাটি
Building,ভৱন
Building surveyor,বিল্ডিং জৰীপকাৰী
Buffer,বাফাৰ
Buffer curve,বাফাৰ বক্ৰ
Buffering,বাফাৰিং
Buffering capacity,বাফাৰিং ক্ষমতা
Bunder,বাণ্ডাৰ
Buttress,বাট্ৰেছ
C-horizon,গ-দিগন্ত
Cable,কেবল
Cable moulding,কেবল মল্ডিং
Cabling,কেবলিং
Cabin,কেবিন
Cabin hook,কেবিন হুক
Cabinet,কেবিনেট
Cabolt's quit,কেবল্টৰ চাকৰি এৰিছে
Cafeteria,কেফেটেৰিয়া
Cage,সঁজা
Cage construction,পিঞ্জৰা নিৰ্মাণ
Cain's formula,কয়িনৰ সূত্ৰ
Caisson,কেইচন
Caisson disease,কেইচন ৰোগ
Caisson foundation,কেইচন ফাউণ্ডেচন
Caisson pile,কেইচন পাইল
Calcareous brick,কেলকেয়াৰযুক্ত ইটা
Calcareous clay,কেলকেয়াৰযুক্ত মাটি
Calcareous crust,কেলকেয়াৰযুক্ত খোলা
Calcification,কেলচিফিকেশন
Calcination,কেলচিনেচন
Calcine ,কেলচিন
Calcite,কেলচাইট
Calcium-aluminate cement,কেলচিয়াম-এলুমিনেট চিমেণ্ট
Calcium-silicate brick,কেলচিয়াম-চিলিকেট ইটা
Calcium-silicate hydrate,কেলচিয়াম-চিলিকেট হাইড্ৰেট
Caliche,কালিচে
California bearing ratio,কেলিফৰ্ণিয়া বেয়াৰিং ৰেচিঅ’
Caliper,কেলিপাৰ
Calorimeter,কেলৰিমিটাৰ
Camber,কেম্বাৰ
Canal,খাল
Canopy,কেনপি
Cantilever footing,কেন্টিলিভাৰ ফুটিং
Cap,কেপ
Capacity,ক্ষমতা
Capacity of ail track,ail ট্ৰেকৰ ক্ষমতা
Cap cable,কেপ কেবল
Capillarity,কেপিলাৰিটি
Capillary break,কেপিলাৰী ব্ৰেক
Capillary flow,কেপিলাৰী প্ৰবাহ
Capillary moisture or capillary water,কেপিলাৰী আৰ্দ্ৰতা বা কেপিলাৰী পানী
Capillary pore space,কেপিলাৰী ছিদ্ৰ স্থান
Capillary porosity,কেপিলাৰী ছিদ্ৰতা
Capillary space,কেপিলাৰী স্থান
Capture velocity,কেপচাৰ বেগ
Carbonation,কাৰ্বনেচন
Carbon black,কাৰ্বন ব্লেক
Castble refractory,Castble অবাধ্য
Cast-in-place or cast-in-situ,কাষ্ট-ইন-প্লেচ বা কাষ্ট-ইন-চিটু
Cast-in-place pile,কাষ্ট-ইন-প্লেচ পাইল
Castor,কেষ্টাৰ
Cast stone,ঢালাই শিল
Catalyst,অনুঘটক
Catena,কেটেনা
Cat face,মেকুৰীৰ মুখ
Cat head,মেকুৰীৰ মূৰ
Cation,কেটিয়ন
Cat walk,মেকুৰী খোজ কাঢ়িব
Cavitation damage,গহ্বৰৰ ক্ষতি
Celite,চেলাইট
Cellular concrete,কোষীয় কংক্ৰিট
Cellular construction,কোষীয় নিৰ্মাণ
Cement,চিমেণ্ট
"Cement, bituminous","চিমেণ্ট, বিটুমিনাছ"
"Cement, high strength","চিমেণ্ট, উচ্চ শক্তি"
"Cement, hydraulic","চিমেণ্ট, হাইড্ৰলিক"
"Cement, low heat","চিমেণ্ট, কম জুইত"
"Cement, masonary","চিমেণ্ট, শিলৰ কাম"
"Cement, natural","চিমেণ্ট, প্ৰাকৃতিক"
"Cement, portland","চিমেণ্ট, পৰ্টলেণ্ড"
"Cement, portland blast furnace slag","চিমেণ্ট, পৰ্টলেণ্ড ব্লাষ্ট ফাৰ্নেচৰ স্লেগ"
"Cement, portland pozzolan","চিমেণ্ট, পৰ্টলেণ্ড প&#39;জ&#39;লান"
"Cement, slag","চিমেণ্ট, স্লেগ"
"Cement, sulphate resistant","চিমেণ্ট, ছালফেট প্ৰতিৰোধী"
"Cement, super sulphated","চিমেণ্ট, ছুপাৰ ছালফেটেড"
"Cement, white","চিমেণ্ট, বগা"
Cement-aggregate ratio,চিমেণ্ট-এগ্ৰিগেটৰ অনুপাত
Cement content,চিমেণ্টৰ পৰিমাণ
Cement gel,চিমেণ্ট জেল
Cement gun,চিমেণ্টৰ বন্দুক
Cement kiln,চিমেণ্টৰ ভঁৰাল
Cement paint,চিমেণ্টৰ ৰং
Cement plaster,চিমেণ্টৰ প্লাষ্টাৰ
Cement rock,চিমেণ্টৰ শিল
Cement slurry,চিমেণ্টৰ গোন্ধ
Cement storage,চিমেণ্ট সংৰক্ষণ
Cementation process,চিমেণ্টেচন প্ৰক্ৰিয়া
Centering,কেন্দ্ৰীকৰণ
Centering and shuttering,চেণ্টাৰিং আৰু শ্বাটাৰিং
Central mixed concrete,কেন্দ্ৰীয় মিশ্ৰিত কংক্ৰিট
Central mixer,কেন্দ্ৰীয় মিক্সাৰ
Centrifugal fan,কেন্দ্ৰপৃথক ফেন
Chalk,চক
Chamfer,চেমফাৰ
Chamfer strip,চেমফাৰ ষ্ট্ৰিপ
Channel beam,চেনেল বিম
Characteristic load,বৈশিষ্ট্যপূৰ্ণ বোজা
Characteristic strength,বৈশিষ্ট্যপূৰ্ণ শক্তি
Charge off,চাৰ্জ অফ কৰক
Charging,চাৰ্জিং
Checking,পৰীক্ষা কৰি আছে
Chemical bond,ৰাসায়নিক বন্ধন
Chernozem,চেৰনোজেম
Chestnut soil,চেষ্টনাটৰ মাটি
Chimney gutter,চিমনিৰ নালা
Chip board,চিপ বৰ্ড
Chipping,চিপিং
Chips,চিপছ
Chute,চুটে
Class (of concrete),শ্ৰেণী (কংক্ৰিটৰ)
Clay,বোকা মাটি
Clay content,মাটিৰ পৰিমাণ
Clay pan,মাটিৰ কেৰাহী
Cleanout,ক্লিনআউট
Clean up,চাফ-চিকুণ কৰক
Cleat,ক্লিট কৰক
Clinker,ক্লিংকাৰ
Clip,ক্লিপ
Coagulation,জমা হোৱা
Coarse aggregate,মোটা গোটা পদাৰ্থ
Coarse grained soil,মোটা দানাযুক্ত মাটি
Coat,কোট
Coffer dam,কফাৰ বান্ধ
Cohesion,সংহতি
Colloid,কলয়ড
Colloidal moisture equivalent ratio,কলয়ডাল আৰ্দ্ৰতাৰ সমতুল্য অনুপাত
Colloidal system,কলয়ডাল ব্যৱস্থা
Colluvial soil,কলুভিয়াল মাটি
Column,স্তম্ভ
Combed finish,কম্বড ফিনিচিং
Combined footing,সংযুক্ত ফুটিং
Combined water,সংযুক্ত পানী
Common room,কমন ৰুম
Completion certificate,সম্পূৰ্ণ হোৱাৰ প্ৰমাণ পত্ৰ
Component square,উপাদান বৰ্গ
Concrete,কংক্ৰিট
Concretion,কংক্ৰিচন
Consolidated rate/flat rate,একত্ৰিত হাৰ/ফ্লেট হাৰ
Contaminants,দূষক পদাৰ্থ
Cooking alcove,ৰন্ধা-বঢ়াৰ এলকোভ
Coping,মোকাবিলা কৰা
Corbel,কৰ্বেল
Cornice,কৰ্নিচ
Coupler,কাপলাৰ
"Coupler, double","কাপলাৰ, ডাবল"
"Coupler, putlog","কাপলাৰ, পুটলগ"
"Coupler, swivel","কাপলাৰ, চুইভেল"
Course,ধাৰা
Coursed random rubble masonry,কোৰ্চ কৰা ৰেণ্ডম ধ্বংসাৱশেষ শিলৰ কাম
Covered area,আবৃত অঞ্চল
Creep,অধম
Creep coefficient,ক্ৰিপ সহগ
Crotovine,ক্ৰ&#39;ট&#39;ভাইন
Crow foot,কাউৰী ভৰি
Crumb structure,ক্ৰাম গঠন
Curb,প্ৰতিবন্ধক
Current,সোঁত
Curve resistance,বক্ৰ প্ৰতিৰোধ ক্ষমতা
Damp proof course,ডেম্প প্ৰুফ কোৰ্চ
Date of completion,সম্পূৰ্ণ হোৱাৰ তাৰিখ
Dead load,ডেড লোড
Dead water,মৰা পানী
Decibel,ডেচিবেল
Deflocculation,ডিফ্ল’কুলেচন
Degree of aeration or air space ratio,বায়ুমণ্ডলৰ মাত্ৰা বা বায়ু স্থান অনুপাত
Degree of aggregation,একত্ৰীকৰণৰ মাত্ৰা
Degree of dispersion,বিক্ষিপ্ততাৰ মাত্ৰা
Degree of saturation,চেচুৰেচনৰ ডিগ্ৰী
Density,ঘনত্ব
Desert pavement,মৰুভূমিৰ ফুটপাথ
Desert soil,মৰুভূমিৰ মাটি
Details,সবিশেষ
Development period,উন্নয়নৰ সময়ছোৱা
D-horizon,ডি-দিগন্ত
Diagonal bond,তিৰ্যক বন্ধন
Diagram,ডায়াগ্ৰাম
Digital dock,ডিজিটেল ডক
Differential water rate,ভিন্নতামূলক পানীৰ হাৰ
Dilution ventilation,পাতল কৰা ভেণ্টিলেচন
Diluvium,ডিলুভিয়াম
Dining room,খোৱাঘৰ
Direction peg,দিশৰ পেগ
Dispersion,বিক্ষিপ্ততা
Distemper,ডিষ্টেম্পাৰ
Dock,ডক
Door,দুৱাৰ
Dormer,ডৰ্মাৰ
Dormer check,ডৰ্মাৰ চেক
Double flemish bond,ডাবল ফ্লেমিছ বণ্ড
Double layer,ডাবল লেয়াৰ
Dowel,ডৱেল
Drawing board,অংকন বৰ্ড
Drawing room,ড্ৰয়িং ৰুম
Drift,ড্ৰিফ্ট
Dry bulb temperature,শুকান বাল্বৰ উষ্ণতা
Dry dock,শুকান ডক
Dry rubber masonry,শুকান ৰবৰৰ শিলৰ কাম
Dutch bond,ডাচ বণ্ড
Dwarf wall,বামন দেৱাল
Dwelling unit,বাসস্থানৰ ইউনিট
Eave,ইভ
Eaves gutter,ইভছ নালা
Economic feasibility,অৰ্থনৈতিক সম্ভাৱনীয়তা
Ectodynamorphic soil,বহিঃগতিশীল মাটি
Eddy,এডি
Effective size,ফলপ্ৰসূ আকাৰ
Efflorescence,ফুলৰ ফুলনি
Effluent,এফ্লুৱেণ্ট
Elevation,উচ্চতা
Eluviation,এলুভিয়েচন
Eluvium,এলুভিয়াম
Endodynamorphic soil,এণ্ডোডাইনামৰ্ফিক মাটি
Engineering feasibility,অভিযান্ত্ৰিক সম্ভাৱনীয়তা
English bond,ইংৰাজী বণ্ড
English garden wall bond,ইংৰাজী বাগিচাৰ দেৱালৰ বণ্ড
"E.P.M. (equivalent per million),""","ইপিএম (প্ৰতি মিলিয়নৰ সমতুল্য),&quot;"
Equivalent weight,সমতুল্য ওজন
Erg,Erg
Exchangeable,বিনিময়যোগ্য
Exchangeable acidity,বিনিময়যোগ্য এচিডিটি
Exchangeable sodium percentage (ESP),বিনিময়যোগ্য ছডিয়াম শতাংশ (ESP)
E. S P.,ই এছ পি.
Exchange acidity,বিনিময় এচিডিটি
Exchange complex,এক্সচেঞ্জ কমপ্লেক্স
Exhaust,নিষ্কাশন
Exposed finish,উন্মুক্ত ফিনিচিং
Eye,নয়ন
Eye brow,চকুৰ ভ্ৰূ
Facing,মুখামুখি
Facing bond,বন্ধনৰ সন্মুখীন হোৱা
Factor of safety,সুৰক্ষাৰ কাৰক
Fall,পৰি যোৱা
Facia,ফেচিয়া
Facia board,ফেচিয়া বৰ্ড
Fault,দোষ
Field moisture,পথাৰ আৰ্দ্ৰতা
Final moisture equivalent,চূড়ান্ত আৰ্দ্ৰতাৰ সমতুল্য
Fillet (of mortar),ফিলেট (মৰ্টাৰৰ)
Finial,চূড়ান্ত
Final measurement,চূড়ান্ত জোখ-মাখ
Final paymentq,চূড়ান্ত পেমেণ্টq
Final pre stress,চূড়ান্ত প্ৰি ষ্ট্ৰেছ
Final tension,চূড়ান্ত উত্তেজনা
Financial feasibility,আৰ্থিক সম্ভাৱনীয়তা
Fine aggregate,মিহি গোটা পদাৰ্থ
Fissured rock,ছিন্নভিন্ন শিল
Flag stone,পতাকা শিল
Flemish bond,ফ্লেমিছ বন্ধন
Flashing,ফিচফিচাই থকা
Flashy stream,ঝলমলীয়া ধাৰা
Flat roof,সমতল চাল
Fleche,ফ্লেচে
Flemish garden wall bond,ফ্লেমিছ বাগিচাৰ দেৱালৰ বন্ধন
Flint,ফ্লিন্ট
Flint wall,ফ্লিণ্টৰ দেৱাল
Floating floor,ভাসমান মজিয়া
Flocculation,ফ্লকুলেচন
Flocculation limit,ফ্লকুলেচন সীমা
Flocculation ratio,ফ্লকুলেচন অনুপাত
Floccules,ফ্লকুলেছ
Floor,মজিয়া
Floor seal,মজিয়াৰ ছীল
Flow,বৈ অহা
Fluctuation,উঠা-নমা
Footing,ফুটিং
Foundation,ভেঁটি
Free fall barrow topping mixer,ফ্ৰী ফ&#39;ল বেৰ&#39; টপিং মিক্সাৰ
Free fall mixer (drum type),ফ্ৰী ফ&#39;ল মিক্সাৰ (ড্ৰাম টাইপ)
Free stone,মুক্ত শিল
Freshet,ফ্ৰেছেট
Friction pile,ঘৰ্ষণৰ স্তূপ
Frog,ভেকুলী
Gable,গেবল
Gablet,গেবলেট
Gambrel roof,গাম্ব্ৰেলৰ চাল
Gauge,জোখ লোৱা
Gauging section,গেজিং অংশ
Gauging station,গেজিং ষ্টেচন
General location plan,সাধাৰণ স্থান পৰিকল্পনা
General ventilation,সাধাৰণ বায়ু চলাচল
G horizon or gley horizon,G দিগন্ত বা গ্লে দিগন্ত
Glacial till,হিমবাহৰ টিল
Gneiss,গ্নেইছ
Goods yard,সামগ্ৰীৰ চোতাল
Gradient resistance,গ্ৰেডিয়েণ্ট ৰেজিষ্টেন্স
Granite,গ্ৰেনাইট
Granular structure,দানাদাৰ গঠন
Granulation,গ্ৰেনুলেচন
Granule,গ্ৰেনুল
Gravitational water free water,মহাকৰ্ষণীয় পানীমুক্ত পানী
Gravitational yard,মহাকৰ্ষণীয় চোতাল
Great soil group,মহান মাটিৰ গোট
Grillage foundation,গ্ৰীলেজ ফাউণ্ডেচন
Ground hand moulding,গ্ৰাউণ্ড হেণ্ড মল্ডিং
Grouped dock,গ্ৰুপ কৰা ডক
Group housing,গ্ৰুপ হাউছিং
Guest room,অতিথিশালা
Gutter,নালা
Gutter bearer,নালা বাহক
Gutter check,নালা পৰীক্ষা
Hammer dressing,হাতুৰীৰে ড্ৰেছিং
Harbour,বন্দৰ
Harbour of refuge,আশ্ৰয়ৰ বন্দৰ
Hard pan,কঠিন কেৰাহী
Header,হেডাৰ
Header bond,হেডাৰ বণ্ড
Header course,হেডাৰ পাঠ্যক্ৰম
Head gate structure,হেড গেটৰ গঠন
Head of canal,খালৰ মূৰ
Head regulator,হেড ৰেগুলেটৰ
Herring bone bond,হেৰিং হাড়ৰ বন্ধন
Hearting,হৃদয়স্পৰ্শী
Heat of wetting,তিয়াই থোৱাৰ তাপ
High alumina cement,উচ্চ এলুমিনা চিমেণ্ট
Hip,কঁকাল
Hip capping,হিপ কেপিং
Hipped end,হিপড এণ্ড
Hood,ডকাইত
Hood moulding,হুড মল্ডিং
Hook's law,হুক’ৰ আইন
Hoop iron,হুপ লোহা
Horizon,দিগন্ত
Humidification,আৰ্দ্ৰকৰণ
"Humidity, absolute","আৰ্দ্ৰতা, নিৰপেক্ষ"
"Humidity, relative","আৰ্দ্ৰতা, আপেক্ষিক"
Hump yard,হাম্প চোতাল
Hydraulic pressure,হাইড্ৰলিক চাপ
Hydration,জলসিঞ্চন
Hydrolysis,হাইড্ৰ’লাইছিছ
Hydrolytic acidity,হাইড্ৰ’লাইটিক এচিডিটি
Hydromorphic soil,জলৰূপী মাটি
Hydrophilic colloid,হাইড্ৰফিলিক কলয়ড
Hydrophobic colloid,হাইড্ৰ’ফ’বিক কলয়ড
Hydrostatic pressure ratio,হাইড্ৰ’ষ্টেটিক চাপৰ অনুপাত
Hygroscaptic coefficient,হাইগ্ৰ’স্কেপ্টিক সহগ
Hygroscopic moisture,হাইগ্ৰস্কোপিক আৰ্দ্ৰতা
Hydroscopicity,হাইড্ৰস্কোপিচিটি
Hygroscopic moisture,হাইগ্ৰস্কোপিক আৰ্দ্ৰতা
Hyperbaric chamber,হাইপাৰবেৰিক চেম্বাৰ
Hyperstatic frame,হাইপাৰষ্টেটিক ফ্ৰেম
Hypsometer,হাইপছ’মিটাৰ
Illumination,আলোকসজ্জা
Imbibation moisture,ইম্বিবেচন আৰ্দ্ৰতা
Immature soil,অপৰিপক্ক মাটি
Impounded dock,জব্দ কৰা ডক
Increment of land revenue,ভূমিৰ ৰাজহ বৃদ্ধি
Independent scaffold,স্বতন্ত্ৰ মৰাপাট
Indurated,কঠিন
Initial prestress,প্ৰাৰম্ভিক প্ৰিষ্ট্ৰেছ
Initial tension,প্ৰাৰম্ভিক উত্তেজনা
Inland waterway port,অভ্যন্তৰীণ জলপথ বন্দৰ
Insulating board,ইনচুলেটিং বৰ্ড
Intermediate port,মধ্যৱৰ্তী বন্দৰ
Internal friction,আভ্যন্তৰীণ ঘৰ্ষণ
Intrazonal soil,ইন্ট্ৰাজ’নেল মাটি
Ion,আয়ন
Ion exchange,আয়ন বিনিময়
Iron pan,লোহাৰ কেৰাহী
Irrigated land,জলসিঞ্চিত মাটি
Irrigation,জলসিঞ্চন
Irrigation cess,জলসিঞ্চনৰ চেছ
Jamb,জাম্ব
Joggle,জগল কৰক
Joggle pin,জগল পিন
Joule,জৌলে
Jumper,জাম্পাৰ
Kilogram,কিলোগ্ৰাম
Kilogram force,কিলোগ্ৰাম বল
Kilogram force meter,কিলোগ্ৰাম বল মিটাৰ
Kilowatt hour,কিলোৱাট ঘন্টা
King closure,ৰজা বন্ধ
Kitchen,পাকঘৰ
Laced column,লেচযুক্ত স্তম্ভ
Lagging,পিছ পৰি থকা
Lamella root,লেমেলা শিপা
Laminar flow,লেমিনাৰ প্ৰবাহ
Lamp hole,লেম্পৰ ফুটা
Land accretion,ভূমি বৃদ্ধি
Land sliding,ভূমি পিছলি যোৱা
Laterite,লেটাৰাইট
Laterite soil,লেটাৰাইট মাটি
Law of large numbers,বৃহৎ সংখ্যকৰ নিয়ম
Layout plan,বিন্যাস পৰিকল্পনা
Ledger,লেজাৰ
Lime pan,চূণৰ কেৰাহী
Lintel,লিণ্টেল
Liquid limit,তৰল সীমা
Live load,লাইভ লোড
Loam,লোম
Local exhaust ventilation,স্থানীয় এক্সজেষ্ট ভেণ্টিলেচন
Loco yard,লোকো চোতাল
Loess,ল&#39;ছ
Lower plastic limit,প্লাষ্টিকৰ সীমা কম কৰা
Low heat cement,কম তাপত চিমেণ্ট
Machine moulding,মেচিন মল্ডিং
Macrostructure,বৃহৎ গঠন
Main head regulator,মূল মূৰ নিয়ন্ত্ৰক
Main port,মূল বন্দৰ
Makeup air,মেকআপ এয়াৰ
Mansard,মানচাৰ্ড
Marshalling yard,মাৰ্শ্বেলিং গজ
Masonry,শিলৰ কাম
Maturing temperature,পৰিপক্ক উষ্ণতা
Mezzanine floor,মেজেনিন মজিয়া
Mechanical analysis,যান্ত্ৰিক বিশ্লেষণ
Mechanical ventilation,যান্ত্ৰিক বায়ু চলাচল
Metric system,মেট্ৰিক ব্যৱস্থা
Microstructure,অণুগাঁথনি
Milli equivalent,মিলি সমতুল্য
Milli equivalent per litre,প্ৰতি লিটাৰত মিলি সমতুল্য
Mineral,খনিজ পদাৰ্থ
Mineral soil,খনিজ মাটি
Minor port,সৰু বন্দৰ
Mitred closure,মাইট্ৰেড বন্ধ
Mobile soil colloid,চলন্ত মাটিৰ কলয়ড
Moisture content,আৰ্দ্ৰতা
Moisture gradient,আৰ্দ্ৰতাৰ গ্ৰেডিয়েণ্ট
Monolith,মনোলিথ
Monorail,মনোৰেল
National harbour council,ৰাষ্ট্ৰীয় বন্দৰ পৰিষদ
Natural bed,প্ৰাকৃতিক বিচনা
Natural finish,প্ৰাকৃতিক ফিনিচিং
Natural harbour,প্ৰাকৃতিক বন্দৰ
Natural ventilation,প্ৰাকৃতিক বায়ু চলাচল
Naval harbour,নৌসেনাৰ বন্দৰ
Newton,নিউটন
Non uniform flow,নন ইউনিফৰ্ম প্ৰবাহ
Occupies water rate,পানীৰ হাৰ দখল কৰে
Oil paint,তেলৰ ৰং
Oil well cement,তেলৰ কুঁৱাৰ চিমেণ্ট
Open channel flow,মুকলি চেনেলৰ প্ৰবাহ
Optimum moisture,অনুকূল আৰ্দ্ৰতা
Organic soil,জৈৱিক মাটি
Orientation,অভিবিন্যাস
Orthogonal,অৰ্থোগনেল
Ortstein,অৰ্টষ্টেইন
Outer signal,বাহিৰৰ সংকেত
Oxidation,অক্সিডেচন
Pantry,পেণ্ট্ৰি
Parapet,পেৰাপেট
Parapet wall,পেৰাপেটৰ দেৱাল
Parent material,অভিভাৱকৰ সামগ্ৰী
Pebble cast plaster,শিলগুটি ঢালাই প্লাষ্টাৰ
Pedalfer,পেডালফাৰ
Pedocal,পেড&#39;কেল
Pedogenesis,পেড’জেনেছিছ
Pedology,পেড’লজি
Pedosphere,পেড’স্ফিয়াৰ
Penetrometer,পেনেট্ৰ’মিটাৰ
Pent roof,পেণ্ট ছাদ
Peptizing agent,পেপটাইজিং এজেণ্ট
Period of analysis,বিশ্লেষণৰ সময়ছোৱা
Perpend,পাৰ্পেণ্ড
Persorption,পাৰ্চৰ্পচন
Pier,ঘাট
Pilaster,পিলাষ্টাৰ
Pitch,চূড়া
Pitched roof,পিচড ছাদ
Plain concrete,সাধাৰণ কংক্ৰিট
Plane angle,সমতল কোণ
Plain yard,সাধাৰণ চোতাল
Plansol,প্লেনছল
Plastic consistency,প্লাষ্টিকৰ স্থায়িত্ব
Plasticity,প্লাষ্টিচিটি
Plasticity index,প্লাষ্টিচিটি সূচকাংক
Plasticity limit,প্লাষ্টিচিটিৰ সীমা
Plasticity range,প্লাষ্টিচিটিৰ পৰিসৰ
Platy structure,প্লেটি গঠন
Plinth,প্লিন্থ
Plough soil,হাল বোৱা মাটি
Plum stone,প্লামৰ শিল
Podzole,পডজোলে
Pointing,আঙুলিয়াই দি
Polygonal wall,বহুভুজীয়া বেৰ
Pore space,ছিদ্ৰৰ স্থান
Port,বন্দৰ
Positive ventilation,পজিটিভ ভেন্টিলেচন
Prairie soil,প্ৰেয়ৰী মাটি
Precision,নিখুঁততা
Primary particle,প্ৰাথমিক কণা
Prismatic structure,প্ৰিজমেটিক গঠন
Productive work,উৎপাদনশীল কাম
Project justification,প্ৰকল্পৰ ন্যায্যতা
Protective work,সুৰক্ষামূলক কাম
Pseudo-mycelium,ছ্যুড’-মাইচেলিয়াম
Puddle,পুখুৰী
Pugging,পাগিং
Pumice,পিউমিচ
Puncheon,পাঞ্চিয়ন
Puppet,পুতলা
Putlog,পুটলগ
Putlog scaffold,পুটলগ মৰাপাট
Quantity surveyor,পৰিমাণ জৰীপকাৰী
Quarry sap,শিলৰ ৰস
Quay,ঘাট
Queen closure,কুইন বন্ধ
Quoin,কুইইন
Raft foundation,ৰাফ্ট ফাউণ্ডেচন
Raker,ৰেকাৰ
Raking,ৰেকিং
Raking bond,ৰেকিং বণ্ড
Raking flashing,ৰেকিং ফ্লেছিং
Rapidly varying flow,দ্ৰুতগতিত পৰিৱৰ্তনশীল প্ৰবাহ
Recoverable payment,আদায়যোগ্য পেমেণ্ট
Red earth,ৰঙা মাটি
Red loam,ৰঙা লোম
Regulator,নিয়ন্ত্ৰক
