Marathi,Telugu
अ‍ॅलोगॅमी,అయోగాగమి
अ‍ॅलोमेट्री,అలోమెట్రీ
Ol लोपोलिपॉइड,అల్లోపాలిప్లోయిడ్
Os लोसिनॅप्सिस (os लोसिंडेसिस),(అలోసిన్సిస్ఐలు
वैकल्पिक बेअरिंग,ప్రత్యామ్నాయ బేరింగ్
वैकल्पिक जमीन वापर,ప్రత్యామ్నాయ భూ వినియోగం
सभोवतालचे,పరిసర
Meliorant,అమేలియోరెంట్
अमिटोसिस,అమిటోసిస్
अमृत,అమినైజేషన్
अमोनिफिकेशन,అమ్మోనిఫికేషన్
अमोनिफायर,అమ్మోనిఫైయర్
अमॉर्फ,AMORFH
अ‍ॅम्फिमिक्सिस,యాంఫిమిక్సిస్
अ‍ॅम्फोटेरिक,యాంఫోటెరిక్
अ‍ॅनाबोलिझम,అనాబాలిజం
अनरोब,Anaerobe
Eneuploid,అనూప్లోయిడ్
कोन लागवड,యాంగిల్ నాటడం
पशुसंवर्धन,పశుసంరక్షణ
प्राणी नकार,జంతు తిరస్కరణ
एनिमेट एनर्जी,శక్తిని యానిమేట్ చేయండి
एनिसोप्लॉइड,అనిసోప్లాయిడ్
वार्षिक वनस्पती,వార్షిక ప్లాంట్
वार्षिक,వార్షిక
अँथेसिस,సంశ్లేషణ
अँथ्रॅक्स,ఆంత్రాక్స్
मानववंशिक घटक,మానవ కారకం
प्रतिजैविक,యాంటీబయోసిస్
प्रतिजैविक,యాంటీబయాటిక్
प्रतिजैविक,విరుగుడు
अँटीऑक्सिडेंट्स,యాంటీఆక్సిడెంట్లు
अँटीटॉक्सिन,యాంటిటాక్సిన్
अ‍ॅनुलस,యాన్యులస్
Ph फिड,అఫిడ్
एपिकल अंकुर,ఎపికల్ బడ్
एपिकल वर्चस्व,ఎపికల్ ఆధిపత్యం
एपिकल्चर (मधमाशी पाळणे),పుష్పగుచ్ఛము
अपोमिक्सिस,అపోమిక్సిస్
अ‍ॅपॉप्टोसिस,అపోప్టోసిస్
परिशिष्ट,అనుబంధం
भूक,ఆకలి
लागू,అనువర్తిత
जलीय तण,జల కలుపు
आर्बोरियल,అర్బోరియల్
आर्बोरायझेशन,అర్బరైజేషన్
आर्चीओ-बॉटॅनिकल रेकॉर्ड,ఆర్కియో-బొటానికల్ రికార్డులు
क्षेत्र आकडेवारी,ప్రాంత గణాంకాలు
क्षेत्र,ప్రాంతం
शुष्क इकोसिस्टम,శుష్క పర్యావరణ వ్యవస్థ
एरिल,అరిల్
सुगंध,వాసన
सुगंधित वनस्पती,సుగంధ మొక్క
सुगंधित तांदूळ,సుగంధ బియ్యం
बाण,బాంజింగ్
Asepsis,అసేప్సిస్
Se सेप्टिक,అసెప్టిక్
अलौकिक प्रसार,అలైంగిక ప్రచారం
परख,పరీక్ష
मालमत्ता,ఆస్తులు
आत्मसात,సమీకరణ
असोसिएशन,అసోసియేషన్
तुरट,రక్తస్రావం
एसिनॅप्सिस,అసినప్సిస్
अटाविझम,అటావిజం
अ‍ॅटोमायझर,అటామైజర్
अ‍ॅट्रोफी,క్షీణత
ऑटोगॅमी,ఆటోగామి
ऑटोलिसिस,ఆటోలిసిస్
ऑटोक्सिडेशन,ఆటోక్సీడేషన్
ऑटोपॉलिपॉइड,ఆటోపోలిప్లోయిడ్
ऑक्सिन,ఆక్సిన్లు
ओएन (ब्रिस्टल),దంపతులు
बदाम,బాదం
कोरफड,కలబంద
अमरॅन्थस,అమరాంథస్
अम्मी,Ammi
अंजान गवत,అంజన్ గడ్డి
अँथुरियम,ఆంథూరియం
"अणला, भारतीय हंसबेरी","అయోన్లా, ఇండియన్ గూస్బెర్రీ"
Apple पल,ఆపిల్
जर्दाळू,నేరేడు పండు
अरबियन चमेली,అర్బియన్ జాస్మిన్
अरेका नट,అరేకా గింజ
अर्जुन,అర్జున్
असफोएटिडा,అస్ఫోటిడా
राख लबाडी,యాష్ పొట్లకాయ
अशोका वृक्ष,అశోక చెట్టు
अश्थमा तण (युफोर्बिया),కవచము కలుపు
शतावरी,ఆస్పరాగస్
एवोकॅडो,అవోకాడో
अल्फाल्फा (ल्युसर्न),అంతా అల్నాఫ్న్నే
मुंग्या,చీమలు
Ph फिडस्,అఫిడ్స్
आर्मी जंत,ఆర్మీ పురుగు
कृषी अर्थशास्त्रज्ञ,వ్యవసాయ ఆర్థికవేత్త
कृषी विस्तारवादी,వ్యవసాయ పొడిగింపు
कृषी वैज्ञानिक,వ్యవసాయ శాస్త్రవేత్త
कृषी अभियंता,వ్యవసాయ ఇంజనీర్
अ‍ॅग्रोबायोलॉजिस्ट,అగ్రోబయాలజిస్ట్
कृषीशास्त्रज्ञ,వ్యవసాయ శాస్త్రవేత్త
अ‍ॅग्रोफिसिकस्ट,అగ్రోఫిసిక్
प्राणी ब्रीडर,జంతువుల పెంపకందారుడు
बॅसिलस विषाणू,బాసిల్లస్ వైరస్
बॅसिलस,బాసిల్లస్
जिवाणू,బాక్టీరియా
बॅक्टेरियोटॉक्सिन,బాక్టీరియోటాక్సిన్
बागसे,బాగస్సే
शिल्लक पत्रक,బ్యాలెన్స్ షీట్
संतुलित फर्टिलायझेशन,సమతుల్య ఫలదీకరణం
बार आकृती,బార్ రేఖాచిత్రం
साल,బెరడు
बॅरोमीटर,బేరోమీటర్
वांझ,బంజరు
पाया,బేస్
बेसिन,బేసిన్
बासिपेटल,బాసిపెటల్
बासेस्टर्नम,బేసిథెర్నమ్
बे मॉन्सून,బే రుతుపవనాలు
बेअरिंग प्लांट,బేరింగ్ ప్లాంట్
बेड,మం చం
बेडर,బెడర్
बेडिंग,పరుపు
बीट गुळ,దుంప మొలాసిస్
धनुष्य,బెలోస్
बेल्ट,బెల్ట్
लाभ-खर्च विश्लेषण,బెనిఫిట్-కాస్ట్ అనాలిసిస్
पक्षपाती (सॅम्पलिंग),పక్షపాతం
द्विवार्षिक,ద్వైవార్షిక
द्विपक्षीय,ద్విపద
बायोएजेन्ट,బయోజెంట్
बायोक्लीमेट,బయోక్లైమేట్
बायोएनर्जी,బయోఎనర్జీ
बायोनोमिक्स,బయోనోమిక్స్
बायोरिएक्टर,బయోఇయాక్టర్
जीवशास्त्र,బయోస్పియర్
बायोटिक,బయోటిక్
बायोटाइप,బయోటైప్
उभयलिंगी,ద్విలింగ
ब्लान्चिंग,బ్లాంచింగ్
ब्लास्ट,పేలుడు
मिश्रण,కలపండి
ब्लाइट,ముడత
फोड,పొక్కు
निळा क्रांती,నీలం విప్లవం
तळाशी उष्णता कक्ष,దిగువ వేడి గది
तळाशी उष्णता तंत्र,దిగువ ఉష్ణ సాంకేతికత
कोंडा,బ్రాన్
शाखा,శాఖ
शाखा,బ్రాంచ్లెట్
प्रजनन,జాతి
प्रजनन,పెంపకం
ब्रिमिंग,బ్రిమ్మింగ్
ब्रूड,సంతానం
नवोदित,బడ్డింగ్
अर्थसंकल्प,బడ్జెట్
बफर,బఫర్
बल्ब,బల్బ్
बंट,బంట్
उप-उत्पादन,ఉప-ఉత్పత్తి
बाबुल बाभूळ,బాబుల్ అకాసియా
बाळ कॉर्न,బేబీ మొక్కజొన్న
बाईल,బేల్
बेली,బైల్
बाल्सम,బాల్సం
बांबू,వెదురు
केळी,అరటి
वडाचे झाड,మర్రి చెట్టు
बार्ली,బార్లీ
धान्याचे कोठार मिलेट,బార్నియార్డ్ మిల్లెట్
तुळस,తులసి
बस्टर्ड सिडर,బాస్టర్డ్ సెడార్
बस्टार्ड मायरोबालन,బాస్టర్డ్ మైరోబాలన్
बौहिनिया,బౌహినియా
बे बेरी,బే బెర్రీ
बीन,బీన్
बीट,దుంప
बेलॅडोना,బెల్లడోన్నా
बेर,బెర్
Berseem,బెర్సీమ్
सुपारी,బెటెల్
बिलीमबी,బిలింబి
कारले,కాకరకాయ
काळा हरभरा,బ్లాక్ గ్రామ్
ब्लॅक नाईटशेड,బ్లాక్ నైట్ షేడ్
बोगेनविले,బౌగెన్విలియా
बाटली ब्रश,బాటిల్ బ్రష్
दुधीभोपळा,బాటిల్ పొట్లకాయ
बॉक्स ट्री,బాక్స్ ట్రీ
ब्रेड फळ,బ్రెడ్ ఫ్రూట్
ब्राइडल क्रिपर,పెళ్లి లత
वांगे,బ్రింజల్
ब्रॉड बीन,బ్రాడ్ బీన్
ब्रोकोली,బ్రోకలీ
ब्रुसेलचा अंकुर,బ్రస్సెల్ మొలక
बकव्हीट,బుక్వీట్
बुटिया,బ్యూటియా
बॅन्डिकूट,బాండికూట్
अस्वल,ఎలుగుబంటి
बीटल,బీటిల్
ब्लिस्टर बीटल,బొబ్బ బీటిల్
निळा बैल,బ్లూ బుల్
बोल वर्म,బోల్ పురుగు
फुलपाखरू,సీతాకోకచిలుక
बॅक्टेरियोलॉजिस्ट,బాక్టీరియాలజిస్ట్
बायोकेमिस्ट,బయోకెమిస్ట్
जीवशास्त्रज्ञ,జీవశాస్త్రవేత్త
बायोटेक्नॉलॉजिस्ट,బయోటెక్నాలజిస్ట్
वनस्पतिशास्त्रज्ञ,వృక్షశాస్త్రజ్ఞుడు
सी ओलावा वैशिष्ट्यपूर्ण वक्र,సి తేమ లక్షణ వక్రత
केक,కేక్
कॅल्केरियस,కాల్కారియస్
कॅल्सीफिकेशन,కాల్సిఫికేషన్
फॉस्फेटचे कॅल्किनेशन,ఫాస్ఫేట్ యొక్క లెక్కింపు
कॉलिटी,కాలోసిటీ
कॉलस,కాలిస్
कॅलेक्स,కాలిక్స్
कॅलेक्स-एंड,కాలిక్స్-ఎండ్
कॅम्बियम,కాంబియం
कॅंकर,క్యాంకర్
कॅनिंग,క్యానింగ్
छत,పందిరి
भांडवल,రాజధాని
केप्रीफिकेशन,కాప్రిఫికేషన్
कॅप्सूल,క్యాప్సూల్
कार्बोनेटेड,కార్బోనేటేడ్
कार्बनायझेशन,కార్బోనైజేషన్
कार्पेल,కార్పెల్
कार्पस,కార్పస్
कास्टिंग,కాస్టింగ్
कॅटाबोलिझम,క్యాటాబోలిజం
कॅटॅलिसिस,ఉత్ప్రేరక
सुरवंट,గొంగళి పురుగు
सी-डीएनए लायब्ररी,సి-డిఎన్ఎ లైబ్రరీ
कमाल मर्यादा,పైకప్పు
सेल,సెల్
केंद्रीय नेता प्रणाली,కేంద్ర నాయకుడు వ్యవస్థ
सेंट्रिक,సెంట్రిక్
सेंट्रीफ्यूगेशन,సెంట్రిఫ్యూగేషన్
सेंट्रीफ्यूज,సెంట్రిఫ్యూజ్
सेंट्रीओल,సెంట్రియోల్
सेंट्रोजेनिक,సెంట్రోజెనిక్
केंद्रीत,సెంట్రోజెనస్
Cercus,సెర్కస్
अन्नधान्य,ధాన్యం
प्रमाणपत्र,ధృవీకరణ
प्रमाणित बियाणे,ధృవీకరించబడిన విత్తనం
चाफ,చాఫ్
चालझा,చలాజా
केमोट्रोपिझम,కెమోట్రోపిజం
चियास्मा,చియాస్మా
शीतकरण तास,చిల్లింగ్ గంటలు
शीतकरण इजा,చిల్లింగ్ గాయం
चिमेरा,చిమెరా
क्लोरॅन्थी,క్లోరాంథీ
क्लोरोफिल,క్లోరోఫిల్
क्लोरोसिस,క్లోరోసిస్
क्लोरोलॉजी,క్లోరాలజీ
क्रोमॅटिड,క్రోమాటిడ్
क्रोमॅटिन,క్రోమాటిన్
क्रोमॅटोग्राफी,క్రోమాటోగ్రఫీ
क्रोमॅटोलिसिस,క్రోమాటోలిసిస్
क्रोमोसेन्ट्रे,క్రోమోసెంట్రే
क्रोमोजेनेसिस,క్రోమోజెనిసిస్
क्रोमोप्रोटीन,క్రోమోప్రొటీన్
क्रोमोसोम,క్రోమోజోమ్
जुनाट,దీర్ఘకాలిక
सिट्रेंज,సిట్రేంజ్
क्लेडोड,క్లాడోడ్
वर्गीकरण,వర్గీకరణ
क्ले,మట్టి
स्वच्छता,శుభ్రపరచడం
क्लीस्टोगॅमी,క్లిస్టోగామి
क्लायमॅक्टेरिक फळ,క్లైమాక్టెరిక్ పండు
हवामान,వాతావరణం
हवामानशास्त्र,క్లైమాటాలజీ
क्लिपर,క్లిప్పర్
क्लॉड,క్లాడ్
क्लोन,క్లోన్
ढग,మేఘం
गठ्ठा,క్లాంప్
क्लस्टर,క్లస్టర్
खडबडीत,ముతక
कोट (बियाणे),విత్తనం
कोकून,కోకన్
कोएन्झाइम,కోఎంజైమ్
एकत्रीकरण,సమన్వయం
कॉर,కోయిర్
कोलोरिझा,కోలియోరిజా
कॉलर,కాలర్
कोलोइड (माती),ఘోథ
कोलंबेला,కొలుమెల్లా
स्तंभ,కాలమ్
Comensalism,ప్రారంభం
व्यावसायिक बँक,వాణిజ్య బ్యాంకు
वस्तू,వస్తువు
समुदाय,సంఘం
कॉम्पॅक्शन (मातीची),సంపీడన (మట్టి)
सुसंगतता,అనుకూలత
सुसंगतता,అనుకూలత
भरपाई,పరిహారం
स्पर्धात्मक संवाद,పోటీ పరస్పర చర్య
पूरक पीक,పరిపూరకరమైన పంట
कॉम्प्लेक्स,క్లిష్టమైన
घटक,భాగం
रचना,కూర్పు
कंपोस्ट,కంపోస్ట్
चक्रवाढ व्याज,చక్రవడ్డీ
गणना,గణన
संगणक,కంప్యూటర్
एकाग्रता,ఏకాగ్రత
कंडिशनर,కండీషనర్
आवाहन,ప్రవర్తన
कॉन्फिगरेशन,ఆకృతీకరణ
अनुरूपता,అనుగుణ్యత
गोंधळात टाकणारे,గందరగోళం
संयोजन,సంయోగం
संयोजी,కనెక్టివ్
संवर्धन,పరిరక్షణ
एकत्रीकरण,ఏకీకరణ
घटक,భాగాలు
ग्राहक,వినియోగదారు
वापर,వినియోగం
दूषित,కాలుష్యం
समोच्च लागवड,ఆకృతి నాటడం
समोच्च,ఆకృతి
कॉन्ट्रॅक्ट शेती,కాంట్రాక్ట్ వ్యవసాయం
नियंत्रित स्टोरेज,నియంత్రిత నిల్వ
सहकारी बँक,సహకార బ్యాంక్
सहकारी,సహకారం
कॉपिस,కాపిస్
कॉर्म,కార్మ్
कोरोला,కొరోల్లా
कॉर्टेक्स,కార్టెక్స్
किंमत,ధర
कॉटिलेडन (बियाणे),కోడిలిడాన్
क्रेडिट सोसायटी,క్రెడిట్ సొసైటీ
पत,క్రెడిట్
लेखादार,రుణదాత
माथा,క్రెస్ట్
Rickly,ముడతలు
संकट,సంక్షోభం
निकष,ప్రమాణం
गंभीर,క్లిష్టమైన
पीक विमा,పంట భీమా
पीक कर्ज,పంట రుణం
पीक,పంట
पीक क्षेत्र,పంట ప్రాంతం
क्रॉस-इनकॉम्पॅन्सिबल,క్రాస్ ఇన్ఫాంపిబుల్
मुकुट (वनस्पती),క్రౌన్ (మొక్క)
क्रंब,ముక్క
कवच,క్రస్ట్
क्रिप्टोगॅम,క్రిప్టోమ్
कुल (फळे),మెడ (పండ్లు)
कुल्म,కుల్మ్
लागवड,సాగు
लागवड,సాగు
लागवड करणारा,సాగు
संस्कृती,సంస్కృతి
उपचार,క్యూరింగ్
कर्लिंग,కర్లింగ్
चलन,కరెన్సీ
क्यूटिकल,క్యూటికల్
कटिंग,కట్టింగ్
गळू,తిత్తి
साइटोक्रोम,సైటోక్రోమ్
सायटोगामी,సైటోగామి
सायटोजेनेसिस,సైటోజెనిసిస్
सायटोजेनेटिक्स,సైటోజెనెటిక్స్
सायटोकिनेसिस,సైటోకినిసిస్
सायटोलॉजी,సైటోలజీ
सायटोलिसिस,సైటోలిసిస్
सायटोमेरे,సైటోమీర్
साइटोप्लाझम,సైటోప్లాజమ్
कोबी,క్యాబేజీ
कॅक्टस,కాక్టస్
कॅलेंडुला,కలేన్ద్యులా
कॅनरी गवत (फालारिस),ఫలారిస్
कॅन्ना,Canna
कॅपरिस,కాపారిస్
शिमला मिर्ची,క్యాప్సికం
कारंबोला,కారాంబోలా
कारपा,కారాపా
वेलची,ఏలకులు
कार्नेशन,కార్నేషన్
गाजर,కారెట్
काजू,జీడి పప్పు
कॅसिया,కాసియా
एरंडेल,కాస్టర్
फुलकोबी,కాలీఫ్లవర్
भाजी किंवा कोशिंबीर बनवण्यासाठी उपयुक्त अशी एक वनस्पती,సెలెరీ
शॅमक,ఛాంపాక్
चेनोपोडियम,చెనోపోడియం
चेरी टोमॅटो,చెర్రీ టమొూటా
चेरी,చెర్రీ
"चणा, हरभरा","చిక్పా, గ్రామ్"
मिरची,మిరపకాయలు
चीन टर्पेन्टाईन ट्री,చైనా టర్పెంటైన్ చెట్టు
चाऊ-चाऊ,చౌ చౌ
क्रिसॅन्थेमम,క్రిసాన్తిమం
"चुफा, पृथ्वी बदाम","చుఫా, ఎర్త్ బాదం"
सिचरी,సికోరీ
दालचिनी,దాల్చిన చెక్క
सिट्रॉन,సిట్రాన్
सिट्रोनेला गवत,సిట్రోనెల్లా గడ్డి
चमेली चढणे,క్లైంబింగ్ జాస్మిన్
लवंग,లవంగం
क्लस्टर बीन,క్లస్టర్ బీన్
कोको,కోకో
नारळ,కొబ్బరి
कॉफी,కాఫీ
कोलियस,కోలియస్
कोलोकेशिया,కోలోకాసియా
"कोलोसिंथ, कडू सफरचंद","కోలోసిన్త్, చేదు ఆపిల్"
सामान्य पर्स्लेन,సాధారణ పర్స్లేన్
कोथिंबीर,కొత్తిమీర
कापूस,పత్తి
गायी,కౌపీయా
क्यूबब,క్యూబ్బ్
काकडी,దోసకాయ
कुकर्बिट्स,కుకుర్బిట్స్
जिरे,జీలకర్ర
करी पान,కరివేపాకు ఆకు
सीताफळ,సీతాఫలం
कॅप्सूल बोरर,క్యాప్సూల్ బోరర్
सुरवंट,గొంగళి పురుగు
लिंबूवर्गीय सायला,సిట్రస్ సైలా
क्रिकेट,క్రికెట్
कावळा,కాకి
जंत कट करा,కట్ పురుగు
डेअरी,పాల
दुग्धशाळा,పాల
धरण,ఆనకట్ట
दिवस-तटस्थ,రోజు-తటస్థ
फुलांच्या नंतरचे दिवस,పుష్పించే రోజుల తరువాత
पूर्ण मोहोर नंतरचे दिवस,పూర్తి బ్లూమ్ తర్వాత రోజులు
डीब्लोसमिंग,డెబ్లోసింగ్
Decalcification,డీకాల్సిఫికేషన్
डिकंट,డికాంట్
क्षय,క్షయం
पाने गळणारा,ఆకురాల్చే
दशांश,దశాంశం
कमतरता,లోపం
डिफ्लोकुलेशन (माती),మట్టి
डिफ्लोरेशन,డెఫ్లోరేషన్
डीफोलिएशन,డీఫోలియేషన్
जंगलतोड,అటవీ నిర్మూలన
अध: पतन,క్షీణత
अधोगती,క్షీణత
पदवी दिवस,డిగ్రీ రోజులు
पदवी,డిగ్రీ
Dehiscence,డీహిస్సెన్స్
डीहुलिंग,డెహల్లింగ్
डीहुस्किंग,డెహస్కింగ్
डिहायड्रेशन,నిర్జలీకరణం
डिहायड्रेटर,డీహైడ్రేటర్
मागणी,డిమాండ్
विकृती,డీనాటరేషన్
नकार,తిరస్కరణ
ठेव,డిపాజిట్
ठेव,నిక్షేపణ
घसारा डेसालिनायझेशन,తరుగుదల డీసాలినైజేషన్
Desiccation,డీసికేషన్
डिझाइन,రూపకల్పన
Descicator,డెస్సికేటర్
निराश,డెస్టొనింగ్
Desuckering,డెస్కరింగ్
Desynapsis,డెసినాప్సిస్
डेटासेल,డిటాసెల్
Detasseling,డిటాసెలింగ్
निर्धारक,నిర్ణయాధికారి
अवमूल्यन,విలువ తగ్గింపు
Devegetation,డివెగెటేషన్
विचलन,విచలనం
डायड,డైడ్
निदान,రోగ నిర్ధారణ
डिचोगामी,డైకోగామి
द्वैधविज्ञान,డైకోటోమి
डिकोटिल्डन (बियाणे),విత్తనం
मरणार (रोग),డై బ్యాక్ (వ్యాధి)
प्रसार,విస్తరణ
पचनक्षमता,డైజెస్టిబిలిటీ
डायहायब्रिड,డైహైబ్రిడ్
डिक (डायक),ఒక రకానికి చెందిన వ్యక్తి
सौम्य,పలుచన
डायओसियस,డైయోసియస్
डिप्लोइड,డిప్లాయిడ్
डिप्लोइड,డిప్లాయిడ్
डिप्लोमा,డిప్లొనెమా
डिसबुडिंग,విడదీయడం
डिस्किंग,డిస్కింగ్
सूट,డిస్కౌంట్
निर्जंतुकीकरण,క్రిమిసంహారక
फैलाव,చెదరగొట్టడం
प्रसार,వ్యాప్తి
विविधता,వైవిధ్యీకరణ
विविध शेती,వైవిధ్యభరితమైన వ్యవసాయం
डीएनए शिडी,DNA నిచ్చెన
डीएनए रिसेप्टर,DNA రిసెప్టర్
डॉकगेज,డాకేజ్
प्रबळ,ఆధిపత్యం
सुप्तता,నిద్రాణస్థితి
डोस,మోతాదు
डबल सिग्मॉइड वक्र,డబుల్ సిగ్మోయిడ్ కర్వ్
मसुदा (मसुदा),ముసాయిదా (ముసాయిదా)
निचरा,హరించడం
ड्रेनेज,పారుదల
काढा,డ్రా
भिजत,డ్రించింగ్
ड्रेसिंग (बियाणे),డ్రెస్సింగ్ (విత్తనం)
ड्रिल (एन.),డ్రిల్ (ఎన్.)
ड्रिलिंग (एजी. इंजी),డ్రిల్లింగ్ (ఎగ్. ఇంజిగ్)
ड्रिलिंग (अ‍ॅग्रोनॉमी),వ్యవసాయ శాస్త్రం
ठिबक सिंचन,బిందు సేద్యం
ड्रायलँड शेती,డ్రైలాండ్ వ్యవసాయం
धूळ,దుమ్ము
डस्टर,డస్టర్
धूळ,దుమ్ము
बटू,మరగుజ్జు
बौने पिरॅमिड,మరగుజ్జు పిరమిడ్
बौने,మరగుజ్జు
डेझी,డైసీ
तारखा,తేదీలు
दिवस चमेली,రోజు జాస్మిన్
बडीशेप,మెంతులు
दीननाथ गवत,దిననాథ్ గడ్డి
डॉडर,డాడర్
"डूब गवत, बर्म्युडा गवत","డూబ్ గడ్డి, బెర్ముడా గడ్డి"
ड्रूस,డ్రూస్
कोरडे आले,పొడి అల్లం
डीफोलिएटिंग बीटल,బీటిల్‌ను డీఫోలైట్ చేస్తుంది
ड्रोन,డ్రోన్
बदक,బాతు
पर्यावरणशास्त्र,ఎకాలజీ
इकोनोमेट्रिक्स,ఎకోనొమెట్రిక్స్
आर्थिक कार्यक्षमता,ఆర్థిక సామర్థ్యం
इकोटाइप,ఎకోటైప్
एक्टोट्रॉफिक,ఎక్టోట్రోఫిక్
ईडाफिक,ఎడాఫిక్
एडॉफोलॉजी,ఎడాఫాలజీ
कडा,అంచు
खाद्य भाग,తినదగిన భాగం
मागणीची लवचिकता,డిమాండ్ యొక్క స్థితిస్థాపకత
उत्पादनाची लवचिकता,ఉత్పత్తి యొక్క స్థితిస్థాపకత
इलेक्ट्रोलिसिस,విద్యుద్విశ్లేషణ
इलेक्ट्रोफोरेसीस,ఎలెక్ట్రోఫోరేసిస్
Eluviation,ఎలివియేషన్
Emasculator,ఎమాస్క్యులేటర్
तटबंदी,ఎంబాంకింగ్
गर्भ,పిండం
गर्भशास्त्र,పిండశాస్త్రం
उदय,ఆవిర్భావం
इमल्सीफायर,ఎమల్సిఫైయర్
अंतर्जात,ఎండోజెనస్
एंडोमिटोसिस,ఎండోమిటోసిస్
एंडोपारासाइट,ఎండోపరాసైట్
एंडोस्पर्म,ఎండోస్పెర్మ్
उपक्रम,ఎంటర్ప్రైజ్
एंटोमोलॉजी,కీటకాలజీ
वातावरण,పర్యావరణం
सजीवांच्या शरीरात निर्मार्ण होणारे द्रव्य,ఎంజైమ్
एपिकोटिल ग्राफ्टिंग,ఎపికోటిల్ అంటుకట్టుట
