Kannada,Assamese
ಬೆಡ್ ರಾಕ್,বিচনাৰ শিল
ಮಲಗುವ ಕೋಣೆ,শোৱনি কোঠা
ಜೇನುಮೇಣ,মৌমাখিৰ মোম
ಬೆಲ್ ಬಾಕ್ಸ್,বেল বাকচ
ಬೆಲ್ಲಿಂಗ್ ಬಕೆಟ್,বেলিং বাল্টি
ಬೆಲ್ಲೋಫ್ರಾಮ್,বেলোফ্ৰেম
ಬೆಂಚ್ಡ್ ಅಡಿಪಾಯ,বেঞ্চযুক্ত ভেটি
ಬೆಂಚಿಂಗ್,বেঞ্চিং কৰা
ಮಾನದಂಡ,বেঞ্চ মাৰ্ক
ಲಾಭದ ವೆಚ್ಚದ ವಿಶ್ಲೇಷಣೆ,লাভৰ খৰচ বিশ্লেষণ
ಬೆರ್ಮ್,বাৰ্ম
ಬೆವೆಲ್ಡ್ ಮುಚ್ಚುವಿಕೆ,বেভেলড বন্ধ
"ಬಿ-ಹಾರಿಜಾನ್,&quot;ಬಿ-","খ-দিগন্ত,&quot;খ-"
ಬಿಯಾಟ್,বিয়াত
ಬೈಂಡರ್,বাইণ্ডাৰ
ಬೈಂಡಿಂಗ್ ವಸ್ತು,বান্ধি ৰখা সামগ্ৰী
ಬಯೋಟ್ ಸಿದ್ಧಾಂತ,বায়টৰ তত্ত্ব
ಬಿಟುಮೆನ್,বিটুমিন
ಕಪ್ಪು ಹತ್ತಿ ಮಣ್ಣು,ক’লা কপাহী মাটি
ಕಪ್ಪು ಭೂಮಿ,ক&#39;লা পৃথিৱী
ಕಪ್ಪು ಟರ್ಫ್ ಮಣ್ಣು,ক’লা টাৰ্ফ মাটি
ಬ್ಲೇಡ್,ব্লেড
ಬ್ಲಾಸ್ಟ್ ಫರ್ನೇಸ್ ಸ್ಲ್ಯಾಗ್ ಸಿಮೆಂಟ್,ব্লাষ্ট ফাৰ্নেচ স্লেগ চিমেণ্ট
ಬ್ಲಾಕ್ ರಚನೆ,ব্লকযুক্ত গঠন
ಬೋಗಿ ಪ್ರತಿರೋಧ,বগী প্ৰতিৰোধ
ಬಾಗ್-ಕಬ್ಬಿಣದ ಅದಿರು,বোগ-লোহাৰ অক্সাইড
ಕರಾರುಪತ್ರ,বান্ধোন
ಬಂಧಿತ ಸದಸ್ಯ,বণ্ডেড সদস্য
ಬಂಧಿತ ಪೋಸ್ಟ್ ಟೆನ್ಷನಿಂಗ್,বণ্ডেড পোষ্ট টেনচিং
ಬಾಂಡ್ ಕಲ್ಲು,বণ্ড ষ্টোন
ಬೌಂಡ್ ನೀರು,বান্ধি থোৱা পানী
ಬಾಕ್ಸ್ ಗಟರ್,বক্স নালা
ಬ್ರೇಸ್,ব্ৰেচ
ಬ್ರಿಕ್ ಆನ್ ಎಡ್ಜ್,ইটা-অন-এজ
ಬ್ರಿಡ್ಲ್,লজ্জাজনক
ಹೊಳಪು,উজ্জ্বলতা
ಕಂದು ಮಣ್ಣು,বাদামী মাটি
ಕಟ್ಟಡ,ভৱন
ಕಟ್ಟಡ ಸರ್ವೇಯರ್,বিল্ডিং জৰীপকাৰী
ಬಫರ್,বাফাৰ
ಬಫರ್ ಕರ್ವ್,বাফাৰ বক্ৰ
ಬಫರಿಂಗ್,বাফাৰিং
ಬಫರಿಂಗ್ ಸಾಮರ್ಥ್ಯ,বাফাৰিং ক্ষমতা
ಬಂದರ್,বাণ্ডাৰ
ಬಟ್ರೆಸ್,বাট্ৰেছ
ಸಿ-ಹಾರಿಜಾನ್,গ-দিগন্ত
ಕೇಬಲ್,কেবল
ಕೇಬಲ್ ಮೋಲ್ಡಿಂಗ್,কেবল মল্ডিং
ಕೇಬಲ್ ಹಾಕುವುದು,কেবলিং
ಕ್ಯಾಬಿನ್,কেবিন
ಕ್ಯಾಬಿನ್ ಹುಕ್,কেবিন হুক
ಕ್ಯಾಬಿನೆಟ್,কেবিনেট
ಕಾಬೋಲ್ಟ್ ತೊರೆದರು,কেবল্টৰ চাকৰি এৰিছে
ಕೆಫೆಟೇರಿಯಾ,কেফেটেৰিয়া
ಪಂಜರ,সঁজা
ಪಂಜರ ನಿರ್ಮಾಣ,পিঞ্জৰা নিৰ্মাণ
ಕೇನ್ ಅವರ ಸೂತ್ರ,কয়িনৰ সূত্ৰ
ಕೈಸನ್,কেইচন
ಕೈಸನ್ ಕಾಯಿಲೆ,কেইচন ৰোগ
ಕೈಸನ್ ಅಡಿಪಾಯ,কেইচন ফাউণ্ডেচন
ಕೈಸನ್ ರಾಶಿ,কেইচন পাইল
ಸುಣ್ಣದ ಇಟ್ಟಿಗೆ,কেলকেয়াৰযুক্ত ইটা
ಸುಣ್ಣದ ಜೇಡಿಮಣ್ಣು,কেলকেয়াৰযুক্ত মাটি
ಕ್ಯಾಲ್ಕೇರಿಯಸ್ ಕ್ರಸ್ಟ್,কেলকেয়াৰযুক্ত খোলা
ಕ್ಯಾಲ್ಸಿಫಿಕೇಶನ್,কেলচিফিকেশন
ಕ್ಯಾಲ್ಸಿನೇಷನ್,কেলচিনেচন
ಕ್ಯಾಲ್ಸಿನ್,কেলচিন
ಕ್ಯಾಲ್ಸೈಟ್,কেলচাইট
ಕ್ಯಾಲ್ಸಿಯಂ-ಅಲ್ಯೂಮಿನೇಟ್ ಸಿಮೆಂಟ್,কেলচিয়াম-এলুমিনেট চিমেণ্ট
ಕ್ಯಾಲ್ಸಿಯಂ-ಸಿಲಿಕೇಟ್ ಇಟ್ಟಿಗೆ,কেলচিয়াম-চিলিকেট ইটা
ಕ್ಯಾಲ್ಸಿಯಂ-ಸಿಲಿಕೇಟ್ ಹೈಡ್ರೇಟ್,কেলচিয়াম-চিলিকেট হাইড্ৰেট
ಕ್ಯಾಲಿಚೆ,কালিচে
ಕ್ಯಾಲಿಫೋರ್ನಿಯಾ ಬೇರಿಂಗ್ ಅನುಪಾತ,কেলিফৰ্ণিয়া বেয়াৰিং ৰেচিঅ’
ಕ್ಯಾಲಿಪರ್,কেলিপাৰ
ಕ್ಯಾಲೋರಿಮೀಟರ್,কেলৰিমিটাৰ
ಕ್ಯಾಂಬರ್,কেম্বাৰ
ಕಾಲುವೆ,খাল
ಮೇಲಾವರಣ,কেনপি
ಕ್ಯಾಂಟಿಲಿವರ್ ಫೂಟಿಂಗ್,কেন্টিলিভাৰ ফুটিং
ಕ್ಯಾಪ್,কেপ
ಸಾಮರ್ಥ್ಯ,ক্ষমতা
ಏಲ್ ಟ್ರ್ಯಾಕ್ ಸಾಮರ್ಥ್ಯ,ail ট্ৰেকৰ ক্ষমতা
ಕ್ಯಾಪ್ ಕೇಬಲ್,কেপ কেবল
ಕ್ಯಾಪಿಲ್ಲರಿಟಿ,কেপিলাৰিটি
ಕ್ಯಾಪಿಲ್ಲರಿ ಬ್ರೇಕ್,কেপিলাৰী ব্ৰেক
ಕ್ಯಾಪಿಲ್ಲರಿ ಹರಿವು,কেপিলাৰী প্ৰবাহ
ಕ್ಯಾಪಿಲ್ಲರಿ ತೇವಾಂಶ ಅಥವಾ ಕ್ಯಾಪಿಲ್ಲರಿ ನೀರು,কেপিলাৰী আৰ্দ্ৰতা বা কেপিলাৰী পানী
ಕ್ಯಾಪಿಲ್ಲರಿ ರಂಧ್ರದ ಜಾಗ,কেপিলাৰী ছিদ্ৰ স্থান
ಕ್ಯಾಪಿಲ್ಲರಿ ಸರಂಧ್ರತೆ,কেপিলাৰী ছিদ্ৰতা
ಕ್ಯಾಪಿಲ್ಲರಿ ಸ್ಪೇಸ್,কেপিলাৰী স্থান
ಕ್ಯಾಪ್ಚರ್ ವೇಗ,কেপচাৰ বেগ
ಕಾರ್ಬೊನೇಶನ್,কাৰ্বনেচন
ಕಾರ್ಬನ್ ಕಪ್ಪು,কাৰ্বন ব্লেক
ಕ್ಯಾಸ್ಟ್ಬಲ್ ವಕ್ರೀಕಾರಕ,Castble অবাধ্য
ಬಿತ್ತರಿಸಿದ ಸ್ಥಳದಲ್ಲಿ ಅಥವಾ ಬಿತ್ತರಿಸಿದ ಸ್ಥಳದಲ್ಲಿ,কাষ্ট-ইন-প্লেচ বা কাষ্ট-ইন-চিটু
ಎರಕಹೊಯ್ದ ರಾಶಿ,কাষ্ট-ইন-প্লেচ পাইল
ಕ್ಯಾಸ್ಟರ್,কেষ্টাৰ
ಎರಕಹೊಯ್ದ ಕಲ್ಲು,ঢালাই শিল
ವೇಗವರ್ಧಕ,অনুঘটক
ಕ್ಯಾಟೆನಾ,কেটেনা
ಬೆಕ್ಕಿನ ಮುಖ,মেকুৰীৰ মুখ
ಬೆಕ್ಕಿನ ತಲೆ,মেকুৰীৰ মূৰ
ಕ್ಯಾಶನ್,কেটিয়ন
ಬೆಕ್ಕಿನ ನಡಿಗೆ,মেকুৰী খোজ কাঢ়িব
ಗುಳ್ಳೆಕಟ್ಟುವಿಕೆ ಹಾನಿ,গহ্বৰৰ ক্ষতি
ಸೆಲೈಟ್,চেলাইট
ಸೆಲ್ಯುಲಾರ್ ಕಾಂಕ್ರೀಟ್,কোষীয় কংক্ৰিট
ಸೆಲ್ಯುಲಾರ್ ನಿರ್ಮಾಣ,কোষীয় নিৰ্মাণ
ಸಿಮೆಂಟ್,চিমেণ্ট
"ಸಿಮೆಂಟ್, ಬಿಟುಮಿನಸ್","চিমেণ্ট, বিটুমিনাছ"
"ಸಿಮೆಂಟ್, ಹೆಚ್ಚಿನ ಶಕ್ತಿ","চিমেণ্ট, উচ্চ শক্তি"
"ಸಿಮೆಂಟ್, ಹೈಡ್ರಾಲಿಕ್","চিমেণ্ট, হাইড্ৰলিক"
"ಸಿಮೆಂಟ್, ಕಡಿಮೆ ಶಾಖ","চিমেণ্ট, কম জুইত"
"ಸಿಮೆಂಟ್, ಕಲ್ಲು","চিমেণ্ট, শিলৰ কাম"
"ಸಿಮೆಂಟ್, ನೈಸರ್ಗಿಕ","চিমেণ্ট, প্ৰাকৃতিক"
"ಸಿಮೆಂಟ್, ಪೋರ್ಟ್ಲ್ಯಾಂಡ್","চিমেণ্ট, পৰ্টলেণ্ড"
"ಸಿಮೆಂಟ್, ಪೋರ್ಟ್ಲ್ಯಾಂಡ್ ಬ್ಲಾಸ್ಟ್ ಫರ್ನೇಸ್ ಸ್ಲ್ಯಾಗ್","চিমেণ্ট, পৰ্টলেণ্ড ব্লাষ্ট ফাৰ্নেচৰ স্লেগ"
"ಸಿಮೆಂಟ್, ಪೋರ್ಟ್ಲ್ಯಾಂಡ್ ಪೊಝೋಲನ್","চিমেণ্ট, পৰ্টলেণ্ড প&#39;জ&#39;লান"
"ಸಿಮೆಂಟ್, ಸ್ಲ್ಯಾಗ್","চিমেণ্ট, স্লেগ"
"ಸಿಮೆಂಟ್, ಸಲ್ಫೇಟ್ ನಿರೋಧಕ","চিমেণ্ট, ছালফেট প্ৰতিৰোধী"
"ಸಿಮೆಂಟ್, ಸೂಪರ್ ಸಲ್ಫೇಟ್","চিমেণ্ট, ছুপাৰ ছালফেটেড"
"ಸಿಮೆಂಟ್, ಬಿಳಿ","চিমেণ্ট, বগা"
ಸಿಮೆಂಟ್-ಒಟ್ಟಾರೆ ಅನುಪಾತ,চিমেণ্ট-এগ্ৰিগেটৰ অনুপাত
ಸಿಮೆಂಟ್ ವಿಷಯ,চিমেণ্টৰ পৰিমাণ
ಸಿಮೆಂಟ್ ಜೆಲ್,চিমেণ্ট জেল
ಸಿಮೆಂಟ್ ಗನ್,চিমেণ্টৰ বন্দুক
ಸಿಮೆಂಟ್ ಗೂಡು,চিমেণ্টৰ ভঁৰাল
ಸಿಮೆಂಟ್ ಬಣ್ಣ,চিমেণ্টৰ ৰং
ಸಿಮೆಂಟ್ ಪ್ಲಾಸ್ಟರ್,চিমেণ্টৰ প্লাষ্টাৰ
ಸಿಮೆಂಟ್ ಕಲ್ಲು,চিমেণ্টৰ শিল
ಸಿಮೆಂಟ್ ಸ್ಲರಿ,চিমেণ্টৰ গোন্ধ
ಸಿಮೆಂಟ್ ಸಂಗ್ರಹಣೆ,চিমেণ্ট সংৰক্ষণ
ಸಿಮೆಂಟೇಶನ್ ಪ್ರಕ್ರಿಯೆ,চিমেণ্টেচন প্ৰক্ৰিয়া
ಕೇಂದ್ರೀಕರಣ,কেন্দ্ৰীকৰণ
ಕೇಂದ್ರೀಕರಿಸುವುದು ಮತ್ತು ಮುಚ್ಚುವುದು,চেণ্টাৰিং আৰু শ্বাটাৰিং
ಕೇಂದ್ರ ಮಿಶ್ರ ಕಾಂಕ್ರೀಟ್,কেন্দ্ৰীয় মিশ্ৰিত কংক্ৰিট
ಕೇಂದ್ರ ಮಿಕ್ಸರ್,কেন্দ্ৰীয় মিক্সাৰ
ಕೇಂದ್ರಾಪಗಾಮಿ ಫ್ಯಾನ್,কেন্দ্ৰপৃথক ফেন
ಚಾಕ್,চক
ಚೇಂಫರ್,চেমফাৰ
ಚೇಂಫರ್ ಸ್ಟ್ರಿಪ್,চেমফাৰ ষ্ট্ৰিপ
ಚಾನಲ್ ಕಿರಣ,চেনেল বিম
ವಿಶಿಷ್ಟ ಲೋಡ್,বৈশিষ্ট্যপূৰ্ণ বোজা
ವಿಶಿಷ್ಟ ಶಕ್ತಿ,বৈশিষ্ট্যপূৰ্ণ শক্তি
ಚಾರ್ಜ್ ಆಫ್,চাৰ্জ অফ কৰক
ಚಾರ್ಜ್ ಆಗುತ್ತಿದೆ,চাৰ্জিং
ಪರಿಶೀಲಿಸಲಾಗುತ್ತಿದೆ,পৰীক্ষা কৰি আছে
ರಾಸಾಯನಿಕ ಬಂಧ,ৰাসায়নিক বন্ধন
ಚೆರ್ನೋಜೆಮ್,চেৰনোজেম
ಚೆಸ್ಟ್ನಟ್ ಮಣ್ಣು,চেষ্টনাটৰ মাটি
ಚಿಮಣಿ ಗಟಾರ,চিমনিৰ নালা
ಚಿಪ್ ಬೋರ್ಡ್,চিপ বৰ্ড
ಚಿಪ್ಪಿಂಗ್,চিপিং
ಚಿಪ್ಸ್,চিপছ
ಗಾಳಿಕೊಡೆ,চুটে
ವರ್ಗ (ಕಾಂಕ್ರೀಟ್),শ্ৰেণী (কংক্ৰিটৰ)
ಕ್ಲೇ,বোকা মাটি
ಕ್ಲೇ ವಿಷಯ,মাটিৰ পৰিমাণ
ಕ್ಲೇ ಪ್ಯಾನ್,মাটিৰ কেৰাহী
ಕ್ಲೀನ್ಔಟ್,ক্লিনআউট
ಸ್ವಚ್ಛಗೊಳಿಸಿ,চাফ-চিকুণ কৰক
ಕ್ಲೀಟ್,ক্লিট কৰক
ಕ್ಲಿಂಕರ್,ক্লিংকাৰ
ಕ್ಲಿಪ್,ক্লিপ
ಹೆಪ್ಪುಗಟ್ಟುವಿಕೆ,জমা হোৱা
ಒರಟಾದ ಒಟ್ಟು,মোটা গোটা পদাৰ্থ
ಒರಟಾದ ಧಾನ್ಯದ ಮಣ್ಣು,মোটা দানাযুক্ত মাটি
ಕೋಟ್,কোট
ಕಾಫರ್ ಅಣೆಕಟ್ಟು,কফাৰ বান্ধ
ಒಗ್ಗಟ್ಟು,সংহতি
ಕೊಲಾಯ್ಡ್,কলয়ড
ಕೊಲೊಯ್ಡಲ್ ತೇವಾಂಶ ಸಮಾನ ಅನುಪಾತ,কলয়ডাল আৰ্দ্ৰতাৰ সমতুল্য অনুপাত
ಕೊಲೊಯ್ಡಲ್ ವ್ಯವಸ್ಥೆ,কলয়ডাল ব্যৱস্থা
ಕೊಲ್ಯುವಿಯಲ್ ಮಣ್ಣು,কলুভিয়াল মাটি
ಅಂಕಣ,স্তম্ভ
ಬಾಚಣಿಗೆ ಮುಕ್ತಾಯ,কম্বড ফিনিচিং
ಕಂಬೈನ್ಡ್ ಫೂಟಿಂಗ್,সংযুক্ত ফুটিং
ಸಂಯೋಜಿತ ನೀರು,সংযুক্ত পানী
ಸಾಮಾನ್ಯ ಕೊಠಡಿ,কমন ৰুম
ಪೂರ್ಣಗೊಳಿಸುವಿಕೆ ಪ್ರಮಾಣಪತ್ರ,সম্পূৰ্ণ হোৱাৰ প্ৰমাণ পত্ৰ
ಘಟಕ ಚೌಕ,উপাদান বৰ্গ
ಕಾಂಕ್ರೀಟ್,কংক্ৰিট
ಕಾಂಕ್ರೀಟಿಕರಣ,কংক্ৰিচন
ಏಕೀಕೃತ ದರ/ಫ್ಲಾಟ್ ದರ,একত্ৰিত হাৰ/ফ্লেট হাৰ
ಮಾಲಿನ್ಯಕಾರಕಗಳು,দূষক পদাৰ্থ
ಅಲ್ಕೋವ್ ಅಡುಗೆ,ৰন্ধা-বঢ়াৰ এলকোভ
ನಿಭಾಯಿಸುವುದು,মোকাবিলা কৰা
ಕಾರ್ಬೆಲ್,কৰ্বেল
ಕಾರ್ನಿಸ್,কৰ্নিচ
ಸಂಯೋಜಕ,কাপলাৰ
"ಕಪ್ಲರ್, ಡಬಲ್","কাপলাৰ, ডাবল"
"ಕಪ್ಲರ್, ಪುಟ್ಲಾಗ್","কাপলাৰ, পুটলগ"
"ಕಪ್ಲರ್, ಸ್ವಿವೆಲ್","কাপলাৰ, চুইভেল"
ಕೋರ್ಸ್,ধাৰা
ಕೋರ್ಸ್ಡ್ ಯಾದೃಚ್ಛಿಕ ಕಲ್ಲುಮಣ್ಣು ಕಲ್ಲುಗಳು,কোৰ্চ কৰা ৰেণ্ডম ধ্বংসাৱশেষ শিলৰ কাম
ಆವರಿಸಿದ ಪ್ರದೇಶ,আবৃত অঞ্চল
ತೆವಳುವ,অধম
ಕ್ರೀಪ್ ಗುಣಾಂಕ,ক্ৰিপ সহগ
ಕ್ರೊಟೊವಿನ್,ক্ৰ&#39;ট&#39;ভাইন
ಕಾಗೆ ಕಾಲು,কাউৰী ভৰি
ಕ್ರಂಬ್ ರಚನೆ,ক্ৰাম গঠন
ದಂಡೆ,প্ৰতিবন্ধক
ಪ್ರಸ್ತುತ,সোঁত
ಕರ್ವ್ ಪ್ರತಿರೋಧ,বক্ৰ প্ৰতিৰোধ ক্ষমতা
ತೇವಾಂಶ ನಿರೋಧಕ ಕೋರ್ಸ್,ডেম্প প্ৰুফ কোৰ্চ
ಪೂರ್ಣಗೊಂಡ ದಿನಾಂಕ,সম্পূৰ্ণ হোৱাৰ তাৰিখ
ಡೆಡ್ ಲೋಡ್,ডেড লোড
ಸತ್ತ ನೀರು,মৰা পানী
ಡೆಸಿಬೆಲ್,ডেচিবেল
ಡಿಫ್ಲೋಕ್ಯುಲೇಷನ್,ডিফ্ল’কুলেচন
ಗಾಳಿ ಅಥವಾ ಗಾಳಿಯ ಅಂತರದ ಅನುಪಾತದ ಪದವಿ,বায়ুমণ্ডলৰ মাত্ৰা বা বায়ু স্থান অনুপাত
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆಯ ಪದವಿ,একত্ৰীকৰণৰ মাত্ৰা
ಪ್ರಸರಣದ ಪದವಿ,বিক্ষিপ্ততাৰ মাত্ৰা
ಶುದ್ಧತ್ವದ ಪದವಿ,চেচুৰেচনৰ ডিগ্ৰী
ಸಾಂದ್ರತೆ,ঘনত্ব
ಮರುಭೂಮಿ ಪಾದಚಾರಿ ಮಾರ್ಗ,মৰুভূমিৰ ফুটপাথ
ಮರುಭೂಮಿ ಮಣ್ಣು,মৰুভূমিৰ মাটি
ವಿವರಗಳು,সবিশেষ
ಅಭಿವೃದ್ಧಿ ಅವಧಿ,উন্নয়নৰ সময়ছোৱা
ಡಿ-ಹಾರಿಜಾನ್,ডি-দিগন্ত
ಕರ್ಣೀಯ ಬಂಧ,তিৰ্যক বন্ধন
ರೇಖಾಚಿತ್ರ,ডায়াগ্ৰাম
ಡಿಜಿಟಲ್ ಡಾಕ್,ডিজিটেল ডক
ಭೇದಾತ್ಮಕ ನೀರಿನ ದರ,ভিন্নতামূলক পানীৰ হাৰ
ದುರ್ಬಲಗೊಳಿಸುವ ವಾತಾಯನ,পাতল কৰা ভেণ্টিলেচন
ಡಿಲುವಿಯಂ,ডিলুভিয়াম
ಊಟದ ಕೋಣೆ,খোৱাঘৰ
ದಿಕ್ಕಿನ ಪೆಗ್,দিশৰ পেগ
ಪ್ರಸರಣ,বিক্ষিপ্ততা
ಡಿಸ್ಟೆಂಪರ್,ডিষ্টেম্পাৰ
ಡಾಕ್,ডক
ಬಾಗಿಲು,দুৱাৰ
ಡಾರ್ಮರ್,ডৰ্মাৰ
ಡಾರ್ಮರ್ ಚೆಕ್,ডৰ্মাৰ চেক
ಡಬಲ್ ಫ್ಲೆಮಿಶ್ ಬಾಂಡ್,ডাবল ফ্লেমিছ বণ্ড
ಡಬಲ್ ಲೇಯರ್,ডাবল লেয়াৰ
ಡೋವೆಲ್,ডৱেল
ಡ್ರಾಯಿಂಗ್ ಬೋರ್ಡ್,অংকন বৰ্ড
ಡ್ರಾಯಿಂಗ್ ಕೊಠಡಿ,ড্ৰয়িং ৰুম
ಡ್ರಿಫ್ಟ್,ড্ৰিফ্ট
ಒಣ ಬಲ್ಬ್ ತಾಪಮಾನ,শুকান বাল্বৰ উষ্ণতা
ಡ್ರೈ ಡಾಕ್,শুকান ডক
