Malayalam,Assamese
പിൻ വെള്ളം,পিছফালৰ পানী
തടസ്സപ്പെടുത്തുക,বেফেল
ബാഗ് വർക്ക്,বেগৱৰ্ক
ബാലസ്റ്റ്,বেলেষ্ট
പന്ത് കളിമണ്ണ്,বল মাটি
ബോൾ കോൺ ക്ലാമ്പ്,বল কন ক্লেম্প
മുള്ളുകമ്പി,কাঁইটীয়া তাঁৰ
ബാർ നായ,বাৰ কুকুৰ
ബാർജ് ബോർഡ്,বাৰ্জ বৰ্ড
ബേരിയം സൾഫേറ്റ് പരിശോധന,বেৰিয়াম ছালফেট পৰীক্ষা
തടയണ,বেৰেজ
ബാരറ്റ്,বেৰেট
അടിസ്ഥാനം,ভেঁটি
അടിസ്ഥാന കൈമാറ്റം,ভিত্তি বিনিময়
അടിസ്ഥാന ലൈൻ,ভিত্তি লাইন
നിലവറ,বেছমেণ্ট
ബേസ്മെൻറ് മതിൽ,বেছমেণ্টৰ দেৱাল
അടിസ്ഥാന പ്ലേറ്റ്,বেচ প্লেট
"അടിസ്ഥാന പ്ലേറ്റ്, ക്രമീകരിക്കാവുന്ന","বেচ প্লেট, নিয়ন্ত্ৰণযোগ্য"
അടിസ്ഥാന സാച്ചുറേഷൻ,ভিত্তি পৰিপূৰকতা
ബസോയ്ഡ്,বেছ’ইড
ബാറ്റ്,বেট
ബാത്ത് ആൻഡ് ഡബ്ല്യുസി,বাথ আৰু ডব্লিউ চি
ബാറ്റർ കുറ്റി,বেটাৰ পেগ
ബാറ്റർ പിയർ,বেটাৰ ঘাট
ബാറ്റർ ഭരണം,বেটাৰৰ নিয়ম
ബോൾക്ക് (ബാക്ക്),Baulk (বালক)
ബേ,উপসাগৰ
ചുമക്കുന്നയാൾ,বাহক
വഹിക്കാനുള്ള ശേഷി,বহন ক্ষমতা
ബെയറിംഗ് പൈൽ,বেয়াৰিং পাইল
ബെയറിംഗ് സ്ട്രാറ്റം,বহন স্তৰ
കിടക്ക,বিছনা
ബെഡ്ഡിംഗ് വിമാനം,বিচনাৰ বিমান
കിടക്ക ജോയിന്റ്,বিচনাৰ সংযোগ
കിടക്ക പാറ,বিচনাৰ শিল
കിടപ്പുമുറി,শোৱনি কোঠা
തേനീച്ചമെഴുകിൽ,মৌমাখিৰ মোম
മണി പെട്ടി,বেল বাকচ
ബെല്ലിംഗ് ബക്കറ്റ്,বেলিং বাল্টি
ബെല്ലോഫ്രം,বেলোফ্ৰেম
ബെഞ്ച് ചെയ്ത അടിത്തറ,বেঞ্চযুক্ত ভেটি
ബെഞ്ചിംഗ്,বেঞ্চিং কৰা
ബെഞ്ച് മാർക്ക്,বেঞ্চ মাৰ্ক
ആനുകൂല്യ ചെലവ് വിശകലനം,লাভৰ খৰচ বিশ্লেষণ
ബെർം,বাৰ্ম
ബെവൽഡ് ക്ലോഷർ,বেভেলড বন্ধ
"ബി-ചക്രവാളം,&quot;ബി-","খ-দিগন্ত,&quot;খ-"
ബിയാറ്റ്,বিয়াত
ബൈൻഡർ,বাইণ্ডাৰ
ബൈൻഡിംഗ് മെറ്റീരിയൽ,বান্ধি ৰখা সামগ্ৰী
ബയോട്ടിന്റെ സിദ്ധാന്തം,বায়টৰ তত্ত্ব
ബിറ്റുമെൻ,বিটুমিন
കറുത്ത പരുത്തി മണ്ണ്,ক’লা কপাহী মাটি
കറുത്ത ഭൂമി,ক&#39;লা পৃথিৱী
കറുത്ത ടർഫ് മണ്ണ്,ক’লা টাৰ্ফ মাটি
ബ്ലേഡ്,ব্লেড
ബ്ലാസ്റ്റ് ഫർണസ് സ്ലാഗ് സിമന്റ്,ব্লাষ্ট ফাৰ্নেচ স্লেগ চিমেণ্ট
ബ്ലോക്കി ഘടന,ব্লকযুক্ত গঠন
ബോഗി പ്രതിരോധം,বগী প্ৰতিৰোধ
ബോഗ്-ഇരുമ്പ് അയിര്,বোগ-লোহাৰ অক্সাইড
ബോണ്ട്,বান্ধোন
ബന്ധിത അംഗം,বণ্ডেড সদস্য
ബോണ്ടഡ് പോസ്റ്റ് ടെൻഷനിംഗ്,বণ্ডেড পোষ্ট টেনচিং
ബോണ്ട് കല്ല്,বণ্ড ষ্টোন
കെട്ടിയ വെള്ളം,বান্ধি থোৱা পানী
ബോക്സ് ഗട്ടർ,বক্স নালা
ബ്രേസ്,ব্ৰেচ
ബ്രിക്ക്-ഓൺ-എഡ്ജ്,ইটা-অন-এজ
കടിഞ്ഞാൺ,লজ্জাজনক
തെളിച്ചം,উজ্জ্বলতা
തവിട്ട് മണ്ണ്,বাদামী মাটি
കെട്ടിടം,ভৱন
ബിൽഡിംഗ് സർവേയർ,বিল্ডিং জৰীপকাৰী
ബഫർ,বাফাৰ
ബഫർ കർവ്,বাফাৰ বক্ৰ
ബഫറിംഗ്,বাফাৰিং
ബഫറിംഗ് ശേഷി,বাফাৰিং ক্ষমতা
ബണ്ടർ,বাণ্ডাৰ
ബട്രസ്,বাট্ৰেছ
സി-ചക്രവാളം,গ-দিগন্ত
കേബിൾ,কেবল
കേബിൾ മോൾഡിംഗ്,কেবল মল্ডিং
കേബിളിംഗ്,কেবলিং
ചെറിയമുറി,কেবিন
ക്യാബിൻ ഹുക്ക്,কেবিন হুক
കാബിനറ്റ്,কেবিনেট
കാബോൾട്ട് ഉപേക്ഷിച്ചു,কেবল্টৰ চাকৰি এৰিছে
കഫറ്റീരിയ,কেফেটেৰিয়া
കൂട്ടിൽ,সঁজা
കൂട് നിർമ്മാണം,পিঞ্জৰা নিৰ্মাণ
കയീൻ ഫോർമുല,কয়িনৰ সূত্ৰ
കൈസൺ,কেইচন
കെയ്സൺ രോഗം,কেইচন ৰোগ
കൈസൺ ഫൗണ്ടേഷൻ,কেইচন ফাউণ্ডেচন
കൈസൺ ചിത,কেইচন পাইল
കാൽക്കറിയസ് ഇഷ്ടിക,কেলকেয়াৰযুক্ত ইটা
സുഷിരമുള്ള കളിമണ്ണ്,কেলকেয়াৰযুক্ত মাটি
സുഷിരമുള്ള പുറംതോട്,কেলকেয়াৰযুক্ত খোলা
കാൽസിഫിക്കേഷൻ,কেলচিফিকেশন
കാൽസിനേഷൻ,কেলচিনেচন
കാൽസൈൻ,কেলচিন
കാൽസൈറ്റ്,কেলচাইট
കാൽസ്യം-അലുമിനേറ്റ് സിമന്റ്,কেলচিয়াম-এলুমিনেট চিমেণ্ট
കാൽസ്യം-സിലിക്കേറ്റ് ഇഷ്ടിക,কেলচিয়াম-চিলিকেট ইটা
കാൽസ്യം-സിലിക്കേറ്റ് ഹൈഡ്രേറ്റ്,কেলচিয়াম-চিলিকেট হাইড্ৰেট
കാലിച്ചെ,কালিচে
കാലിഫോർണിയ ബെയറിംഗ് റേഷ്യോ,কেলিফৰ্ণিয়া বেয়াৰিং ৰেচিঅ’
കാലിപ്പർ,কেলিপাৰ
കലോറിമീറ്റർ,কেলৰিমিটাৰ
കാംബർ,কেম্বাৰ
കനാൽ,খাল
മേലാപ്പ്,কেনপি
കാന്റിലിവർ ഫൂട്ടിംഗ്,কেন্টিলিভাৰ ফুটিং
തൊപ്പി,কেপ
ശേഷി,ক্ষমতা
എയിൽ ട്രാക്കിന്റെ ശേഷി,ail ট্ৰেকৰ ক্ষমতা
തൊപ്പി കേബിൾ,কেপ কেবল
കാപ്പിലാരിറ്റി,কেপিলাৰিটি
കാപ്പിലറി ബ്രേക്ക്,কেপিলাৰী ব্ৰেক
കാപ്പിലറി ഒഴുക്ക്,কেপিলাৰী প্ৰবাহ
കാപ്പിലറി ഈർപ്പം അല്ലെങ്കിൽ കാപ്പിലറി വെള്ളം,কেপিলাৰী আৰ্দ্ৰতা বা কেপিলাৰী পানী
കാപ്പിലറി പോർ സ്പേസ്,কেপিলাৰী ছিদ্ৰ স্থান
കാപ്പിലറി പൊറോസിറ്റി,কেপিলাৰী ছিদ্ৰতা
കാപ്പിലറി സ്പേസ്,কেপিলাৰী স্থান
ക്യാപ്‌ചർ വേഗത,কেপচাৰ বেগ
കാർബണേഷൻ,কাৰ্বনেচন
കാർബൺ കറുപ്പ്,কাৰ্বন ব্লেক
കാസ്റ്റ്ബിൾ റിഫ്രാക്റ്ററി,Castble অবাধ্য
കാസ്റ്റ്-ഇൻ-പ്ലേസ് അല്ലെങ്കിൽ കാസ്റ്റ്-ഇൻ-സിറ്റു,কাষ্ট-ইন-প্লেচ বা কাষ্ট-ইন-চিটু
കാസ്റ്റ്-ഇൻ-പ്ലേസ് പൈൽ,কাষ্ট-ইন-প্লেচ পাইল
ജാതി,কেষ্টাৰ
എറിയുന്ന കല്ല്,ঢালাই শিল
കാറ്റലിസ്റ്റ്,অনুঘটক
കാറ്റെന,কেটেনা
പൂച്ച മുഖം,মেকুৰীৰ মুখ
പൂച്ചയുടെ തല,মেকুৰীৰ মূৰ
കാറ്റേഷൻ,কেটিয়ন
പൂച്ച നടത്തം,মেকুৰী খোজ কাঢ়িব
കാവിറ്റേഷൻ കേടുപാടുകൾ,গহ্বৰৰ ক্ষতি
സെലൈറ്റ്,চেলাইট
സെല്ലുലാർ കോൺക്രീറ്റ്,কোষীয় কংক্ৰিট
സെല്ലുലാർ നിർമ്മാണം,কোষীয় নিৰ্মাণ
സിമന്റ്,চিমেণ্ট
"സിമന്റ്, ബിറ്റുമിനസ്","চিমেণ্ট, বিটুমিনাছ"
"സിമന്റ്, ഉയർന്ന ശക്തി","চিমেণ্ট, উচ্চ শক্তি"
"സിമന്റ്, ഹൈഡ്രോളിക്","চিমেণ্ট, হাইড্ৰলিক"
"സിമന്റ്, കുറഞ്ഞ ചൂട്","চিমেণ্ট, কম জুইত"
"സിമന്റ്, കൊത്തുപണി","চিমেণ্ট, শিলৰ কাম"
"സിമന്റ്, പ്രകൃതി","চিমেণ্ট, প্ৰাকৃতিক"
"സിമന്റ്, പോർട്ട്ലാൻഡ്","চিমেণ্ট, পৰ্টলেণ্ড"
"സിമന്റ്, പോർട്ട്ലാൻഡ് ബ്ലാസ്റ്റ് ഫർണസ് സ്ലാഗ്","চিমেণ্ট, পৰ্টলেণ্ড ব্লাষ্ট ফাৰ্নেচৰ স্লেগ"
"സിമന്റ്, പോർട്ട്ലാൻഡ് പോസോളാൻ","চিমেণ্ট, পৰ্টলেণ্ড প&#39;জ&#39;লান"
"സിമന്റ്, സ്ലാഗ്","চিমেণ্ট, স্লেগ"
"സിമന്റ്, സൾഫേറ്റ് പ്രതിരോധം","চিমেণ্ট, ছালফেট প্ৰতিৰোধী"
"സിമന്റ്, സൂപ്പർ സൾഫേറ്റ്","চিমেণ্ট, ছুপাৰ ছালফেটেড"
"സിമന്റ്, വെള്ള","চিমেণ্ট, বগা"
സിമന്റ്-അഗ്രഗേറ്റ് അനുപാതം,চিমেণ্ট-এগ্ৰিগেটৰ অনুপাত
സിമന്റ് ഉള്ളടക്കം,চিমেণ্টৰ পৰিমাণ
സിമന്റ് ജെൽ,চিমেণ্ট জেল
സിമന്റ് തോക്ക്,চিমেণ্টৰ বন্দুক
സിമന്റ് ചൂള,চিমেণ্টৰ ভঁৰাল
സിമന്റ് പെയിന്റ്,চিমেণ্টৰ ৰং
സിമന്റ് പ്ലാസ്റ്റർ,চিমেণ্টৰ প্লাষ্টাৰ
സിമന്റ് പാറ,চিমেণ্টৰ শিল
സിമന്റ് സ്ലറി,চিমেণ্টৰ গোন্ধ
സിമന്റ് സംഭരണം,চিমেণ্ট সংৰক্ষণ
സിമന്റേഷൻ പ്രക്രിയ,চিমেণ্টেচন প্ৰক্ৰিয়া
കേന്ദ്രീകരിക്കുന്നു,কেন্দ্ৰীকৰণ
കേന്ദ്രീകരിക്കലും ഷട്ടറിംഗും,চেণ্টাৰিং আৰু শ্বাটাৰিং
സെൻട്രൽ മിക്സഡ് കോൺക്രീറ്റ്,কেন্দ্ৰীয় মিশ্ৰিত কংক্ৰিট
സെൻട്രൽ മിക്സർ,কেন্দ্ৰীয় মিক্সাৰ
അപകേന്ദ്ര ഫാൻ,কেন্দ্ৰপৃথক ফেন
ചോക്ക്,চক
ചാംഫർ,চেমফাৰ
ചേംഫർ സ്ട്രിപ്പ്,চেমফাৰ ষ্ট্ৰিপ
ചാനൽ ബീം,চেনেল বিম
സ്വഭാവസവിശേഷത ലോഡ്,বৈশিষ্ট্যপূৰ্ণ বোজা
സ്വഭാവ ശക്തി,বৈশিষ্ট্যপূৰ্ণ শক্তি
ചാർജ്ജ് ഓഫ്,চাৰ্জ অফ কৰক
ചാർജിംഗ്,চাৰ্জিং
പരിശോധിക്കുന്നു,পৰীক্ষা কৰি আছে
കെമിക്കൽ ബോണ്ട്,ৰাসায়নিক বন্ধন
ചെർനോസെം,চেৰনোজেম
ചെസ്റ്റ്നട്ട് മണ്ണ്,চেষ্টনাটৰ মাটি
ചിമ്മിനി ഗട്ടർ,চিমনিৰ নালা
ചിപ്പ് ബോർഡ്,চিপ বৰ্ড
ചിപ്പിംഗ്,চিপিং
ചിപ്സ്,চিপছ
ചട്ടി,চুটে
ക്ലാസ് (കോൺക്രീറ്റ്),শ্ৰেণী (কংক্ৰিটৰ)
കളിമണ്ണ്,বোকা মাটি
കളിമൺ ഉള്ളടക്കം,মাটিৰ পৰিমাণ
കളിമൺ പാൻ,মাটিৰ কেৰাহী
പൂർണമായി കാലിയാക്കുക,ক্লিনআউট
ക്ലീനപ്പ്,চাফ-চিকুণ কৰক
ക്ലീറ്റ്,ক্লিট কৰক
ക്ലിങ്കർ,ক্লিংকাৰ
ക്ലിപ്പ്,ক্লিপ
കട്ടപിടിക്കൽ,জমা হোৱা
നാടൻ മൊത്തത്തിലുള്ളത്,মোটা গোটা পদাৰ্থ
പരുക്കൻ ധാന്യമുള്ള മണ്ണ്,মোটা দানাযুক্ত মাটি
കോട്ട്,কোট
കോഫർ ഡാം,কফাৰ বান্ধ
ഒത്തുചേരൽ,সংহতি
കൊളോയിഡ്,কলয়ড
കൊളോയ്ഡൽ ഈർപ്പം തുല്യ അനുപാതം,কলয়ডাল আৰ্দ্ৰতাৰ সমতুল্য অনুপাত
കൊളോയ്ഡൽ സിസ്റ്റം,কলয়ডাল ব্যৱস্থা
കൊളുവിയൽ മണ്ണ്,কলুভিয়াল মাটি
കോളം,স্তম্ভ
കോമ്പഡ് ഫിനിഷ്,কম্বড ফিনিচিং
സംയോജിത കാൽപ്പാദം,সংযুক্ত ফুটিং
സംയോജിത വെള്ളം,সংযুক্ত পানী
പൊതു മുറി,কমন ৰুম
പൂർത്തീകരണ സർട്ടിഫിക്കറ്റ്,সম্পূৰ্ণ হোৱাৰ প্ৰমাণ পত্ৰ
ഘടകം ചതുരം,উপাদান বৰ্গ
കോൺക്രീറ്റ്,কংক্ৰিট
കോൺക്രീഷൻ,কংক্ৰিচন
ഏകീകൃത നിരക്ക്/ഫ്ലാറ്റ് നിരക്ക്,একত্ৰিত হাৰ/ফ্লেট হাৰ
മലിനീകരണം,দূষক পদাৰ্থ
ആൽക്കോട്ട് പാചകം ചെയ്യുന്നു,ৰন্ধা-বঢ়াৰ এলকোভ
നേരിടുകയാണ്,মোকাবিলা কৰা
കോർബെൽ,কৰ্বেল
കോർണിസ്,কৰ্নিচ
കപ്ലർ,কাপলাৰ
"കപ്ലർ, ഇരട്ട","কাপলাৰ, ডাবল"
"കപ്ലർ, പുട്ട്ലോഗ്","কাপলাৰ, পুটলগ"
"കപ്ലർ, സ്വിവൽ","কাপলাৰ, চুইভেল"
കോഴ്സ്,ধাৰা
ക്രമരഹിതമായ അവശിഷ്ടങ്ങൾ കൊത്തുപണികൾ,কোৰ্চ কৰা ৰেণ্ডম ধ্বংসাৱশেষ শিলৰ কাম
മൂടിയ പ്രദേശം,আবৃত অঞ্চল
ഇഴയുക,অধম
ക്രീപ്പ് കോഫിഫിഷ്യന്റ്,ক্ৰিপ সহগ
ക്രോട്ടോവിൻ,ক্ৰ&#39;ট&#39;ভাইন
കാക്ക കാൽ,কাউৰী ভৰি
നുറുക്കിന്റെ ഘടന,ক্ৰাম গঠন
കർബ്,প্ৰতিবন্ধক
നിലവിലുള്ളത്,সোঁত
വക്ര പ്രതിരോധം,বক্ৰ প্ৰতিৰোধ ক্ষমতা
ഈർപ്പം പ്രൂഫ് കോഴ്സ്,ডেম্প প্ৰুফ কোৰ্চ
പൂർത്തിയാക്കിയ തീയതി,সম্পূৰ্ণ হোৱাৰ তাৰিখ
ഡെഡ് ലോഡ്,ডেড লোড
ചത്ത വെള്ളം,মৰা পানী
ഡെസിബെൽ,ডেচিবেল
ഡിഫ്ലോക്കുലേഷൻ,ডিফ্ল’কুলেচন
വായുസഞ്ചാരത്തിന്റെ ഡിഗ്രി അല്ലെങ്കിൽ എയർ സ്പേസ് അനുപാതം,বায়ুমণ্ডলৰ মাত্ৰা বা বায়ু স্থান অনুপাত
അഗ്രഗേഷൻ ബിരുദം,একত্ৰীকৰণৰ মাত্ৰা
വ്യാപനത്തിന്റെ അളവ്,বিক্ষিপ্ততাৰ মাত্ৰা
സാച്ചുറേഷൻ ഡിഗ്രി,চেচুৰেচনৰ ডিগ্ৰী
സാന്ദ്രത,ঘনত্ব
മരുഭൂമിയിലെ നടപ്പാത,মৰুভূমিৰ ফুটপাথ
മരുഭൂമിയിലെ മണ്ണ്,মৰুভূমিৰ মাটি
വിശദാംശങ്ങൾ,সবিশেষ
വികസന കാലയളവ്,উন্নয়নৰ সময়ছোৱা
ഡി-ചക്രവാളം,ডি-দিগন্ত
ഡയഗണൽ ബോണ്ട്,তিৰ্যক বন্ধন
ഡയഗ്രം,ডায়াগ্ৰাম
ഡിജിറ്റൽ ഡോക്ക്,ডিজিটেল ডক
വ്യത്യസ്ത ജലനിരക്ക്,ভিন্নতামূলক পানীৰ হাৰ
ഡില്യൂഷൻ വെന്റിലേഷൻ,পাতল কৰা ভেণ্টিলেচন
ഡിലുവിയം,ডিলুভিয়াম
ഡൈനിംഗ് റൂം,খোৱাঘৰ
ദിശ കുറ്റി,দিশৰ পেগ
വിസരണം,বিক্ষিপ্ততা
ഡിസ്റ്റെമ്പർ,ডিষ্টেম্পাৰ
മുറിവാല്,ডক
വാതിൽ,দুৱাৰ
ഡോർമർ,ডৰ্মাৰ
ഡോർമർ പരിശോധന,ডৰ্মাৰ চেক
ഇരട്ട ഫ്ലെമിഷ് ബോണ്ട്,ডাবল ফ্লেমিছ বণ্ড
ഇരട്ട പാളി,ডাবল লেয়াৰ
ഡോവൽ,ডৱেল
വരക്കാനുള്ള ബോർഡ്,অংকন বৰ্ড
സന്ദര്ശകമുറി,ড্ৰয়িং ৰুম
ഡ്രിഫ്റ്റ്,ড্ৰিফ্ট
ഉണങ്ങിയ ബൾബ് താപനില,শুকান বাল্বৰ উষ্ণতা
ഡ്രൈ ഡോക്ക്,শুকান ডক
ഉണങ്ങിയ റബ്ബർ കൊത്തുപണി,শুকান ৰবৰৰ শিলৰ কাম
ഡച്ച് ബോണ്ട്,ডাচ বণ্ড
കുള്ളൻ മതിൽ,বামন দেৱাল
പാർപ്പിട യൂണിറ്റ്,বাসস্থানৰ ইউনিট
ഈവ്,ইভ
ഈവ്സ് ഗട്ടർ,ইভছ নালা
സാമ്പത്തിക സാധ്യത,অৰ্থনৈতিক সম্ভাৱনীয়তা
എക്ടോഡൈനാമോർഫിക് മണ്ണ്,বহিঃগতিশীল মাটি
എഡ്ഡി,এডি
ഫലപ്രദമായ വലിപ്പം,ফলপ্ৰসূ আকাৰ
പുഷ്പം,ফুলৰ ফুলনি
മലിനജലം,এফ্লুৱেণ্ট
ഉയരത്തിലുമുള്ള,উচ্চতা
എലുവിയേഷൻ,এলুভিয়েচন
എലൂവിയം,এলুভিয়াম
എൻഡോഡൈനാമോർഫിക് മണ്ണ്,এণ্ডোডাইনামৰ্ফিক মাটি
എഞ്ചിനീയറിംഗ് സാധ്യത,অভিযান্ত্ৰিক সম্ভাৱনীয়তা
ഇംഗ്ലീഷ് ബോണ്ട്,ইংৰাজী বণ্ড
ഇംഗ്ലീഷ് ഗാർഡൻ വാൾ ബോണ്ട്,ইংৰাজী বাগিচাৰ দেৱালৰ বণ্ড
"EPM (ഒരു ദശലക്ഷത്തിന് തുല്യം),&quot;","ইপিএম (প্ৰতি মিলিয়নৰ সমতুল্য),&quot;"
തുല്യ ഭാരം,সমতুল্য ওজন
ഉദാ,Erg
കൈമാറ്റം ചെയ്യാവുന്നത്,বিনিময়যোগ্য
കൈമാറ്റം ചെയ്യാവുന്ന അസിഡിറ്റി,বিনিময়যোগ্য এচিডিটি
കൈമാറ്റം ചെയ്യാവുന്ന സോഡിയം ശതമാനം (ESP),বিনিময়যোগ্য ছডিয়াম শতাংশ (ESP)
ഇ.എസ്.പി.,ই এছ পি.
അസിഡിറ്റി കൈമാറ്റം ചെയ്യുക,বিনিময় এচিডিটি
എക്സ്ചേഞ്ച് കോംപ്ലക്സ്,এক্সচেঞ্জ কমপ্লেক্স
എക്സോസ്റ്റ്,নিষ্কাশন
തുറന്ന ഫിനിഷ്,উন্মুক্ত ফিনিচিং
കണ്ണ്,নয়ন
കണ് പുരികം,চকুৰ ভ্ৰূ
അഭിമുഖീകരിക്കുന്നു,মুখামুখি
ഫേസിംഗ് ബോണ്ട്,বন্ধনৰ সন্মুখীন হোৱা
സുരക്ഷാ ഘടകം,সুৰক্ষাৰ কাৰক
വീഴ്ച,পৰি যোৱা
ഫേഷ്യ,ফেচিয়া
ഫേഷ്യൽ ബോർഡ്,ফেচিয়া বৰ্ড
തെറ്റ്,দোষ
വയലിലെ ഈർപ്പം,পথাৰ আৰ্দ্ৰতা
അന്തിമ ഈർപ്പം തുല്യമാണ്,চূড়ান্ত আৰ্দ্ৰতাৰ সমতুল্য
ഫില്ലറ്റ് (മോർട്ടാർ),ফিলেট (মৰ্টাৰৰ)
ഫൈനൽ,চূড়ান্ত
അന്തിമ അളവ്,চূড়ান্ত জোখ-মাখ
അന്തിമ പേയ്മെന്റ്q,চূড়ান্ত পেমেণ্টq
ഫൈനൽ പ്രീ-സ്ട്രെസ്,চূড়ান্ত প্ৰি ষ্ট্ৰেছ
അവസാന പിരിമുറുക്കം,চূড়ান্ত উত্তেজনা
സാമ്പത്തിക സാധ്യത,আৰ্থিক সম্ভাৱনীয়তা
ഫൈൻ അഗ്രഗേറ്റ്,মিহি গোটা পদাৰ্থ
പിളർന്ന പാറ,ছিন্নভিন্ন শিল
പതാക കല്ല്,পতাকা শিল
ഫ്ലെമിഷ് ബോണ്ട്,ফ্লেমিছ বন্ধন
മിന്നുന്നു,ফিচফিচাই থকা
മിന്നുന്ന പ്രവാഹം,ঝলমলীয়া ধাৰা
പരന്ന മേൽക്കൂര,সমতল চাল
ഫ്ലെഷെ,ফ্লেচে
ഫ്ലെമിഷ് ഗാർഡൻ വാൾ ബോണ്ട്,ফ্লেমিছ বাগিচাৰ দেৱালৰ বন্ধন
ഫ്ലിന്റ്,ফ্লিন্ট
ഫ്ലിന്റ് മതിൽ,ফ্লিণ্টৰ দেৱাল
ഫ്ലോട്ടിംഗ് ഫ്ലോർ,ভাসমান মজিয়া
ഫ്ലോക്കുലേഷൻ,ফ্লকুলেচন
ഫ്ലോക്കുലേഷൻ പരിധി,ফ্লকুলেচন সীমা
ഫ്ലോക്കുലേഷൻ അനുപാതം,ফ্লকুলেচন অনুপাত
ഫ്ലോക്കുളുകൾ,ফ্লকুলেছ
തറ,মজিয়া
ഫ്ലോർ സീൽ,মজিয়াৰ ছীল
ഒഴുക്ക്,বৈ অহা
ഏറ്റക്കുറച്ചിലുകൾ,উঠা-নমা
കാൽനടയായി,ফুটিং
ഫൗണ്ടേഷൻ,ভেঁটি
ഫ്രീ ഫാൾ ബാരോ ടോപ്പിംഗ് മിക്സർ,ফ্ৰী ফ&#39;ল বেৰ&#39; টপিং মিক্সাৰ
ഫ്രീ ഫാൾ മിക്സർ (ഡ്രം തരം),ফ্ৰী ফ&#39;ল মিক্সাৰ (ড্ৰাম টাইপ)
സ്വതന്ത്ര കല്ല്,মুক্ত শিল
ഫ്രെഷെറ്റ്,ফ্ৰেছেট
ഘർഷണ കൂമ്പാരം,ঘৰ্ষণৰ স্তূপ
തവള,ভেকুলী
ഗേബിൾ,গেবল
ഗബ്ലെറ്റ്,গেবলেট
ഗാംബ്രൽ മേൽക്കൂര,গাম্ব্ৰেলৰ চাল
ഗേജ്,জোখ লোৱা
അളക്കൽ വിഭാഗം,গেজিং অংশ
ഗേജിംഗ് സ്റ്റേഷൻ,গেজিং ষ্টেচন
