Assamese,Tamil
জটিল সংখ্যাৰ সংযোজন,சிக்கலான எண்களைச் சேர்த்தல்
ফলনসমূহৰ সংযোজন,செயல்பாடுகளைச் சேர்த்தல்
মেট্ৰিক্সৰ সংযোজন,மெட்ரிக்குகள் சேர்த்தல்
বহুপদ যোগ কৰা,பல்லுறுப்புக்கோவைகள் சேர்த்தல்
সম্ভাৱনাৰ সংযোজন,நிகழ்தகவுகளைச் சேர்த்தல்
ভেক্টৰৰ সংযোজন,திசையன்கள் சேர்த்தல்
যোগ উপপাদ্য,கூட்டல் தேற்றம்
যোগকৰণ গোট,சேர்க்கை குழு
যোগকৰণৰ বিপৰীত,தலைகீழ் சேர்க்கை
যোগসূত্ৰৰ বৈশিষ্ট্য,சேர்க்கை சொத்து
যোগকৰণ,சேர்க்கை
সংলগ্নতা মেট্ৰিক্স,அருகாமை அணி
পাৰ্শ্বৱৰ্তী,அருகில்
কাষৰীয়া কোণ,அருகில் உள்ள கோணங்கள்
কাষৰীয়া শিখৰ,அருகில் உள்ள உச்சி
adjoin,இணை
সংলগ্ন,அருகில்
সংযুক্ত নিৰ্ণায়ক,இணைந்த தீர்மானிப்பான்
সংযুক্ত অৱভেদ্য সমীকৰণ,இணை வேறுபாடு சமன்பாடு
সংযুক্ত সমীকৰণ,இணைந்த சமன்பாடு
সংলগ্ন মেট্ৰিক্স,இணை அணி
মেট্ৰিক্সৰ সংযুক্ত,மேட்ரிக்ஸின் இணைப்பு
এডজুগেট মেট্ৰিক্স,adjugate matrix
গ্ৰহণযোগ্য সিদ্ধান্ত কাৰ্য্য,ஏற்றுக்கொள்ளக்கூடிய முடிவு செயல்பாடு
গ্ৰহণযোগ্য অনুমান,ஏற்றுக்கொள்ளக்கூடிய கருதுகோள்
বায়ুগতিবিদ্যা বল,காற்றியக்க விசை
বায়ুগতিবিদ্যা,காற்றியக்கவியல்
affine জ্যামিতি,இணைப்பு வடிவியல்
affine মেপিং,இணைப்பு மேப்பிங்
affine ৰূপান্তৰ,இணைப்பு மாற்றம்
চলকসমূহ একত্ৰিত কৰা,ஒருங்கிணைக்கும் மாறிகள்
বীজগণিত,இயற்கணிதம்
বীজগণিতীয়ভাৱে বন্ধ কৰা হৈছে,இயற்கணிதப்படி மூடப்பட்டது
বীজগণিতীয় সমীকৰণ,இயற்கணித சமன்பாடு
বীজগণিতীয় প্ৰকাশ,இயற்கணித வெளிப்பாடு
বীজগণিতীয় ৰূপ,இயற்கணித வடிவம்
বীজগণিতীয় ফলন,இயற்கணித செயல்பாடு
বীজগণিতীয় জ্যামিতি,இயற்கணித வடிவியல்
বীজগণিতীয় বহুগুণতা,இயற்கணிதப் பெருக்கம்
বীজগণিতীয় ব্যৱস্থা,இயற்கணித அமைப்பு
সকলো-পূৰ্ণসংখ্যা সমস্যা,அனைத்து முழு எண் பிரச்சனை
আবণ্টনৰ সমস্যা,ஒதுக்கீடு பிரச்சனை
বৰ্ণানুক্ৰমিক সংকেত,அகரவரிசைக் குறியீடு
বৰ্ণানুক্ৰমিক আখৰ,அகரவரிசை எழுத்து
বিকল্প কোণ,மாற்று கோணம்
বিকল্প ৰূপ,மாற்று வடிவம்
বিকল্প গোট,மாற்று குழு
বিকল্প মেট্ৰিক্স,மாற்று அணி
বিকল্প শৃংখলা,மாற்று தொடர்
বিকল্প অনুমান,மாற்று கருதுகோள்
বিকল্প optima,மாற்று ஆப்டிமா
বিকল্প ফলাফল,மாற்று விளைவு
এনালগ-টু-ডিজিটেল ৰূপান্তৰক,அனலாக்-டு-டிஜிட்டல் மாற்றி
এনালগ কম্পিউটাৰ,அனலாக் கணினி
বিশ্লেষণ,பகுப்பாய்வு
সহাৱস্থানৰ বিশ্লেষণ,இணையான பகுப்பாய்வு
গণনা তথ্যৰ বিশ্লেষণ,கணக்கியல் தரவு பகுப்பாய்வு
ভ্যাৰিয়েন্সৰ বিশ্লেষণ,மாறுபாட்டின் பகுப்பாய்வு
বিশ্লেষণাত্মক জ্যামিতি,பகுப்பாய்வு வடிவியல்
বিশ্লেষণাত্মক কাৰ্য্য,பகுப்பாய்வு செயல்பாடு
কোণ,கோணம்
সংস্পৰ্শৰ কোণ,தொடர்பு கோணம்
বিচ্যুতিৰ কোণ,விலகல் கோணம்
বিষণ্ণতাৰ কোণ,மனச்சோர்வின் கோணம்
বিচ্যুতিৰ কোণ,விலகல் கோணம்
বিবৰ্তনৰ কোণ,விலகல் கோணம்
উচ্চতাৰ কোণ,உயரத்தின் கோணம்
প্ৰাদুৰ্ভাৱৰ কোণ,நிகழ்வு கோணம்
প্ৰক্ষেপণৰ কোণ,திட்ட கோணம்
প্ৰতিফলনৰ কোণ,பிரதிபலிப்பு கோணம்
বিবৰ্তনৰ কোণ,ஒளிவிலகல் கோணம்
ঘূৰ্ণনৰ কোণ,சுழற்சி கோணம்
মুঠ প্ৰতিফলনৰ কোণ,மொத்த பிரதிபலிப்பு கோணம்
কৌণিক ত্বৰণ,கோண முடுக்கம்
কৌণিক গতি,கோண இயக்கம்
কৌণিক গতি,கோண வேகம்
কৌণিক বেগ,கோண வேகம்
annulus,வளையம்
উত্তৰ,பதில்
এন্টি – ডেৰাইভেটিভ,எதிர்ப்பு வழித்தோன்றல்
এন্টিচিমেট্ৰিক ফাংচন,சமச்சீரற்ற செயல்பாடு
প্ৰযোজ্য,பொருந்தும்
দৰ্খাস্ত,விண்ணப்பம்
ডাইনামিক প্ৰগ্ৰেমিং প্ৰয়োগ কৰা হৈছে,பயன்பாட்டு டைனமிக் நிரலாக்கம்
প্ৰয়োগ কৰা জ্যামিতি,பயன்படுத்தப்படும் வடிவியல்
প্ৰয়োগ কৰা গণিত,பயன்பாட்டு கணிதம்
প্ৰয়োগ কৰা পৰিসংখ্যা,பயன்பாட்டு புள்ளிவிவரங்கள்
অনুমানিক,தோராயமாக
প্ৰায় অবিৰত ফলন,தோராயமாக தொடர்ச்சியான செயல்பாடு
আনুমানিক পদ্ধতি,தோராயமான முறை
আনুমানিক সমাধান,தோராயமான தீர்வு
আনুমানিক সমস্যা,தோராயமான பிரச்சனை
আনুমানিক বৈশিষ্ট্য,தோராயமான சொத்து
aptitude পৰীক্ষাৰ বেটাৰী,திறன் சோதனை பேட்டரி
আৰ্গাণ্ড ডায়েগ্ৰাম,அர்காண்ட் வரைபடம்
ইচ্ছাকৃতভাৱে বাছি লোৱা,தன்னிச்சையாக தேர்வு
স্বেচ্ছাচাৰী,தன்னிச்சையான
ইচ্ছাকৃত ধ্ৰুৱক,தன்னிச்சையான மாறிலி
ইচ্ছাকৃত উপাদান,தன்னிச்சையான உறுப்பு
ইচ্ছাকৃত বিন্দু,தன்னிச்சையான புள்ளி
আৰ্কিমিডিয়ান আইন,ஆர்க்கிமிடியன் சட்டம்
আৰ্কিমিডিছ নীতি,ஆர்க்கிமிடிஸ் கொள்கை
চাপৰ দৈৰ্ঘ্য,வில்லின் நீளம்
বৃত্তৰ চাপ,வட்ட வில்
চাপ চাইন বিতৰণ,ஆர்க் சைன் விநியோகம்
চাপ চাইন ৰূপান্তৰ,ஆர்க் சைன் மாற்றம்
এলাকা,பகுதி
এৰিয়াল টেক্সচাৰ,பகுதி அமைப்பு
জটিল সংখ্যাৰ যুক্তি,கலப்பு எண்ணின் வாதம்
গাণিতিক গড়,எண்கணித சராசரி
গাণিতিক কাৰ্য্য,எண்கணித செயல்பாடு
গাণিতিক একক,எண்கணித அலகு
ব্যৱস্থা,ஏற்பாடு
এৰে,வரிசை
কৃত্ৰিম উপগ্ৰহ,செயற்கை செயற்கைக்கோள்
কৃত্ৰিম চলক,செயற்கை மாறி
আৰোহণ কৰা,ஏறும்
আৰোহী,ஏறும்
মাত্ৰাৰ আৰোহী ক্ৰম,அளவின் ஏறுவரிசை
আৰোহী শৃংখলা,ஏறுவரிசை தொடர்
এছেম্বলাৰ ভাষা,அசெம்பிளர் மொழி
নিযুক্তিৰ সমস্যা,பணி நியமன பிரச்சனை
সহযোগী আইন,துணை சட்டம்
অপাৰেটৰৰ এছ&#39;চিয়েটিভ ল&#39;,ஆபரேட்டர்களின் துணை சட்டம்
এছ&#39;চিয়েটিভ অপাৰেচন,துணை செயல்பாடு
সহযোগিতা,கூட்டுறவு
ধৰি লোৱা গড়,சராசரியாக கருதப்படுகிறது
ধাৰণা কৰা সম্ভাৱনা বিতৰণ,நிகழ்தகவு விநியோகம் என்று கருதப்படுகிறது
ধাৰণা,அனுமானம்
জ্যোতিষ,ஜோதிடம்
মহাকাশ অভিযন্তা,விண்வெளி பொறியாளர்
জ্যোতিৰ্বিজ্ঞানী,வானியலாளர்
জ্যোতিৰ্বিজ্ঞানৰ ঘড়ী,வானியல் கடிகாரம்
জ্যোতিৰ্বিজ্ঞান,வானியல்
অসমতাপূৰ্ণ বক্ৰ,சமச்சீரற்ற வளைவு
বিষমতা,சமச்சீரற்ற தன்மை
asymptote,அறிகுறியற்றது
এছিম্পটটিক,அறிகுறியற்ற
asymptotically দক্ষ অনুমানক,அறிகுறியற்ற திறமையான மதிப்பீட்டாளர்
asymptotically নিৰপেক্ষ অনুমানক,அறிகுறியற்ற பாரபட்சமற்ற மதிப்பீட்டாளர்
asymptotic আচৰণ,அறிகுறியற்ற நடத்தை
এছিম্পটটিক বিতৰণ ফলন,அறிகுறியற்ற விநியோக செயல்பாடு
এছিম্পটটিক প্ৰসাৰণ,அறிகுறியற்ற விரிவாக்கம்
বায়ুমণ্ডলীয় চাপ,வளிமண்டல அழுத்தம்
যাদৃচ্ছিকভাৱে,சீரற்ற முறையில்
বৈশিষ্ট্য,பண்பு
বৈশিষ্ট্যসমূহৰ নমুনা সংগ্ৰহ পদ্ধতি,மாதிரி செயல்முறை பண்புகளை
বৰ্ধিত মেট্ৰিক্স,பெரிதாக்கப்பட்ட அணி
স্ব-সম্বন্ধ সহগ,தன்னியக்க தொடர்பு குணகம்
স্বয়ংসম্বন্ধ কাৰ্য্য,தன்னியக்க தொடர்பு செயல்பாடு
অটোকোভেৰিয়েন্স,தன்னியக்க மாறுபாடு
স্বয়ংক্ৰিয় কম্পিউটাৰ,தானியங்கி கணினி
অটোৰিগ্ৰেছন,தன்னியக்க பின்னடைவு
সহায়ক সমীকৰণ,துணை சமன்பாடு
গড় নমুনা সংখ্যা বক্ৰ (ASN বক্ৰ),சராசரி மாதிரி எண் வளைவு (ASN வளைவு)
axiom,கோட்பாடு
স্বতন্ত্ৰীয় পদ্ধতি,அச்சு அணுகுமுறை
সম্ভাৱনাৰ স্বতন্ত্ৰতা,நிகழ்தகவு கோட்பாடு
অক্ষ,அச்சு
abscissa ৰ অক্ষ,abscissa அச்சு
পৃথিৱীৰ অক্ষ,பூமியின் அச்சு
বিপ্লৱৰ অক্ষ,புரட்சியின் அச்சு
ঘূৰ্ণনৰ অক্ষ,சுழற்சியின் அச்சு
স্পিনৰ অক্ষ,சுழற்சியின் அச்சு
বেক-বিকল্প,பின்-மாற்று
পিছপৰা পাৰ্থক্য,பின்தங்கிய வேறுபாடு
বেকৱাৰ্ড-ইন্টাৰপলেচন সূত্ৰ,பின்தங்கிய இடைக்கணிப்பு சூத்திரம்
ভাৰসাম্যতা বজাই ৰখা,சமநிலை
সুষম ডিজাইন,சீரான வடிவமைப்பு
বেলেন্স শ্বীট,இருப்புநிலை
বেলিষ্টিক মিছাইল,பாலிஸ்டிக் ஏவுகணை
বেলিষ্টিকছ,பாலிஸ்டிக்ஸ்
বাৰ,மதுக்கூடம்
ভেঁটি,அடித்தளம்
ভিত্তি কোণ,அடிப்படை கோணம்
লগাৰিদমৰ ভিত্তি,மடக்கையின் அடிப்படை
প্ৰাথমিক,அடிப்படை
মূল সম্ভৱপৰ সমাধান,அடிப்படை சாத்தியமான தீர்வு
মূল সমাধান,அடிப்படை தீர்வு
মূল চলক,அடிப்படை மாறி
ভিত্তিত,அடிப்படையில்
ভিত্তি উপাদান,அடிப்படை உறுப்பு
ভিত্তি মেট্ৰিক্স,அடிப்படை அணி
এটা ভেক্টৰ স্থানৰ ভিত্তি,ஒரு திசையன் இடத்தின் அடிப்படை
উপস্থানৰ ভিত্তি,துணைவெளியின் அடிப்படை
বেইছিয়ান অনুমান,பேய்சியன் மதிப்பீடு
বেইছৰ নিয়ম,பேய்ஸ் சட்டம்
বেইছৰ উপপাদ্য,பேய்ஸ் தேற்றம்
বাৰ্নৌলি বিতৰণ,பெர்னோலி விநியோகம்
বাৰ্নৌলি নম্বৰ,பெர்னோலி எண்
বাৰ্নৌলি সম্ভাৱনা ফলন,பெர்னோலி நிகழ்தகவு செயல்பாடு
বাৰ্নৌলিৰ সমীকৰণ,பெர்னோலியின் சமன்பாடு
বেৰী ফাংচন,பெர்ரி செயல்பாடு
বেষ্ট ফিট,சிறந்த பொருத்தம்
শ্ৰেষ্ঠ - ফিট লাইন,சிறந்த பொருத்தம் வரி
উত্তম সমাধান,சிறந்த தீர்வு
শ্ৰেষ্ঠ কৌশলসমূহ,சிறந்த உத்திகள்
বিটা বিতৰণ,பீட்டா விநியோகம்
পক্ষপাত,சார்பு
পক্ষপাতমূলক অনুমান,பாரபட்சமான மதிப்பீடு
বিহাৰমনিক সমীকৰণ,பைஹார்மோனிக் சமன்பாடு
bijection,பிஜேக்ஷன்
bijective মানচিত্ৰ,இருமுனை வரைபடம்
bijective মেপিং,பைஜெக்டிவ் மேப்பிங்
দ্বিৰৈখিক ৰূপ,இருகோடி வடிவம்
দ্বিৰৈখিক ফলন,இருமுனை செயல்பாடு
দ্বিৰৈখিক হাৰ্মিটিয়ান ৰূপ,இருமுனை ஹெர்மிடியன் வடிவம்
বাইনাৰী,பைனரி
বাইনাৰী ক&#39;ড,பைனரி குறியீடு
বাইনাৰী ক&#39;ড কৰা দশমিক,பைனரி குறியிடப்பட்ட தசம
বাইনাৰী ক&#39;ডিং,பைனரி குறியீட்டு முறை
বাইনাৰী কম্পিউটাৰ,பைனரி கணினி
বাইনাৰী অংক,பைனரி இலக்கம்
বাইনাৰী অপাৰেচন,பைனரி செயல்பாடு
বাইনাৰী ব্যৱস্থা,பைனரி அமைப்பு
বাইনাৰী চলক,பைனரி மாறி
দ্বিপদ সহগ,ஈருறுப்புக் குணகம்
দ্বিপদ বিতৰণ,இருவகைப் பரவல்
দ্বিপদ সমীকৰণ,ஈருறுப்புச் சமன்பாடு
দ্বিপদ সম্প্ৰসাৰণ,ஈருறுப்பு விரிவாக்கம்
দ্বিপদ অভিব্যক্তি,ஈருறுப்பு வெளிப்பாடு
দ্বিপদ ৰেণ্ডম চলক,ஈருறுப்பு சீரற்ற மாறி
দ্বিপদ উপপাদ্য,ஈருறுப்பு தேற்றம்
দ্বিখণ্ড,இரு பிரிவு
দ্বিখণ্ডন পদ্ধতি,பிரித்தல் முறை
দ্বিখণ্ড,இருவகை
biserial,இருமுறை
বিট,பிட்
দ্বিচলকীয় দ্বিপদ বিতৰণ,இருவகை இருவகைப் பரவல்
দ্বিচলকীয় সম্পৰ্ক সহগ,இருவகை தொடர்பு குணகம்
দ্বিচলকীয় বিতৰণ,இருவகை விநியோகம்
দ্বিচলকীয় স্বাভাৱিক বিতৰণ,இருவகை சாதாரண விநியோகம்
বাইভেক্টৰ,பைவெக்டர்
বোল্টজমেন সমীকৰণ,போல்ட்ஸ்மேன் சமன்பாடு
বুলিয়ান বীজগণিত,பூலியன் இயற்கணிதம்
Bose - আইনষ্টাইন পৰিসংখ্যা,போஸ் - ஐன்ஸ்டீன் புள்ளிவிவரங்கள்
সীমাৰ অৱস্থা,எல்லை நிலை
সীমা স্তৰ,எல்லை அடுக்கு
সীমাৰেখা,எல்லைக் கோடு
সীমা মূল্য,எல்லை மதிப்பு
সীমা মূল্যৰ সমস্যা,எல்லை மதிப்பு பிரச்சனை
সীমাবদ্ধ ফলন,வரையறுக்கப்பட்ட செயல்பாடு
সীমাবদ্ধ মেট্ৰিক্স,கட்டுப்பட்ட அணி
সীমাবদ্ধ অঞ্চল,எல்லைக்குட்பட்ட பகுதி
সীমাবদ্ধ ছেট,வரையறுக்கப்பட்ட தொகுப்பு
ব্ৰাউনিয়ান গতি,பிரவுனிய இயக்கம்
গণনা কৰ,கணக்கிட
গণনা কৰা,கணக்கிடுகிறது
গণনা কৰা মেচিন,கணக்கிடும் இயந்திரம்
গণনা কৰা,கணக்கீடு
গণনামূলক পদ্ধতি,கணக்கீட்டு செயல்முறை
কেলকুলেটৰ,கால்குலேட்டர்
কেলকুলাছ,கால்குலஸ்
তাৰতম্যৰ কেলকুলাছ,மாறுபாட்டின் கணக்கீடு
কেলৰি,கலோரி
বাতিল আইন,ரத்து சட்டம்
কেননিক সমীকৰণ,நியமன சமன்பாடு
কেননিক ৰূপ,நியமன வடிவம்
কেননিক মেট্ৰিক্স,நியமன அணி
কেন্টৰ ছেট,கேன்டர் செட்
কেণ্টৰৰ ত্ৰিমাত্ৰিক চেট,கேண்டரின் மும்முனைத் தொகுப்பு
ক্ষমতাসম্পন্ন পৰিবহণ সমস্যা,திறன் கொண்ட போக்குவரத்து பிரச்சனை
ক্ষমতা,திறன்
কেপিলাৰী বল,தந்துகி விசை
কাৰ্ডিনেল নম্বৰ,கார்டினல் எண்
কাৰ্টেছিয়ান অক্ষ,கார்ட்டீசியன் அச்சுகள்
কাৰ্টেছিয়ান স্থানাংক,கார்ட்டீசியன் ஆயத்தொகுப்புகள்
কাৰ্টেছিয়ান উৎপাদন,கார்ட்டீசியன் தயாரிப்பு
গোটৰ কাৰ্টেছিয়ান উৎপাদক,தொகுப்புகளின் கார்ட்டீசியன் தயாரிப்பு
কেছ ষ্টডি,வழக்கு ஆய்வு
বিপৰ্যয়জনক উঠা-নমা,பேரழிவு ஏற்ற இறக்கம்
কেটেনাৰী,கேடனரி
কাউচি বিতৰণ,காச்சி விநியோகம்
কাউচি সূত্ৰ,கௌச்சி சூத்திரம்
কৌচি গৌৰছাট উপপাদ্য,Cauchy Goursat தேற்றம்
কাউচি ৰিমেন চৰ্ত,Cauchy Rimann நிபந்தனைகள்
ক&#39;চি ক্ৰম,கௌச்சி வரிசை
কৌচি অবিচ্ছেদ্য,Cauchy ஒருங்கிணைந்த
কাউচি প্ৰধান মূল্য,Cauchy முதன்மை மதிப்பு
ক’চি অৱশিষ্ট উপপাদ্য,கௌச்சி எச்ச தேற்றம்
কেলি হেমিল্টন উপপাদ্য,கெய்லி ஹாமில்டன் தேற்றம்
আকাশী দেহ,வானுலக
আকাশী জোখ,வான அளவீடு
আকাশী যান্ত্ৰিকতা,வான இயக்கவியல்
আকাশী বস্তু,வான பொருள்
কোষ কম্পাঙ্ক,செல் அலைவரிசை
লোকপিয়ল,மக்கள் தொகை கணக்கெடுப்பு
চেন্টাইল,சென்டைல்
চেন্টিমিটাৰ,சென்டிமீட்டர்
চেণ্টিমিটাৰ গ্ৰাম দ্বিতীয় ব্যৱস্থা,சென்டிமீட்டர் கிராம் இரண்டாவது அமைப்பு
কেন্দ্ৰীয়,மத்திய
কেন্দ্ৰীয় অক্ষ,மைய அச்சு
কেন্দ্ৰীয় পাৰ্থক্য,மைய வேறுபாடு
কেন্দ্ৰীয় পাৰ্থক্য সূত্ৰ,மைய வேறுபாடு சூத்திரம்
কেন্দ্ৰীয় পাৰ্থক্য টেবুল,மைய வேறுபாடு அட்டவணை
কেন্দ্ৰীয় সীমা উপপাদ্য,மத்திய வரம்பு தேற்றம்
কেন্দ্ৰীয় মুহূৰ্ত,மைய தருணம்
কেন্দ্ৰীয় প্ৰক্ৰিয়াকৰণ একক (CPU),மத்திய செயலாக்க அலகு (CPU)
কেন্দ্ৰীয় প্ৰৱণতা,மைய போக்கு
কেন্দ্ৰ,மையம்
মাধ্যাকৰ্ষণ কেন্দ্ৰ,ஈர்ப்பு மையம்
গোটৰ কেন্দ্ৰ,குழுவின் மையம்
ভৰৰ কেন্দ্ৰ,வெகுஜன மையம்
প্ৰতিসমতাৰ কেন্দ্ৰ,சமச்சீர் மையம்
কেন্দ্ৰপৃথক বল,மையவிலக்கு விசை
কেন্দ্ৰিক বল,மையவிலக்கு விசை
কেন্দ্ৰবিন্দু,மையப்பகுதி
নিশ্চয়তা,உறுதி
cgs ব্যৱস্থা,cgs அமைப்பு
cgs ইউনিট,cgs அலகு
পাৰ্থক্যৰ শৃংখল নিয়ম,வேறுபாட்டின் சங்கிலி விதி
আকস্মিক কাৰণ,வாய்ப்பு காரணங்கள்
chance moves,வாய்ப்பு நகர்கிறது
অক্ষৰ পৰিৱৰ্তন,அச்சுகளின் மாற்றம்
ভিত্তিৰ পৰিৱৰ্তন,அடிப்படை மாற்றம்
ক্ৰম সলনি কৰা,ஒழுங்கு மாற்றம்
বৈশিষ্ট্য সহগ,பண்பு குணகம்
নিৰ্ণায়ক,தீர்மானிக்கும்
বৈশিষ্ট্যপূৰ্ণ সমীকৰণ,சிறப்பியல்பு சமன்பாடு
বৈশিষ্ট্যপূৰ্ণ কাৰ্য্য,பண்பு செயல்பாடு
লগাৰিদমৰ বৈশিষ্ট্য,மடக்கையின் சிறப்பியல்பு
বৈশিষ্ট্যপূৰ্ণ বহুপদ,பண்பு பல்லுறுப்புக்கோவை
বৈশিষ্ট্যপূৰ্ণ মূল্য,பண்பு மதிப்பு
বৈশিষ্ট্যপূৰ্ণ ভেক্টৰ,பண்பு திசையன்
আখৰৰ গোট,எழுத்துத் தொகுப்பு
তালিকা,விளக்கப்படம்
কাই-স্কেয়াৰ বিতৰণ,சி-சதுர விநியோகம்
কাই-বৰ্গ সূত্ৰ,சி-சதுர சூத்திரம்
কাই-স্কেয়াৰ পৰীক্ষা,சி-சதுர சோதனை
কৰ্ড,நாண்
কৰ্ড-বাইছেকচন পদ্ধতি,நாண்-பிரித்தல் முறை
চাইফাৰ বাৰ্তা (=ক&#39;ড কৰা বাৰ্তা),மறைக்குறியீடு செய்தி (=குறியிடப்பட்ட செய்தி)
চাইফাৰ (শূন্য),மறைக்குறியீடு (பூஜ்ஜியம்)
বৃত্ত,வட்டம்
অভিসৰণৰ বৃত্ত,ஒன்றிணைந்த வட்டம்
বৰ্তনী মেট্ৰিক্স,சுற்று அணி
বৃত্তাকাৰ,வட்ட
বৃত্তাকাৰ এছিম্পটট,வட்ட அறிகுறி
বৃত্তাকাৰ হেলিক্স,வட்ட சுருளி
বৃত্তাকাৰ গতি,வட்ட இயக்கம்
circumcentre,சுற்று மையம்
circumcircle কৰা হৈছে,வட்ட வட்டம்
circumscribe কৰক,சுற்றம்
পৰিসীমাবদ্ধ,சுற்றத்தார்
circumscribed বৃত্ত,சுற்றப்பட்ட வட்டம்
ধ্ৰুপদী ডিডক্টিভ কৌশল,கிளாசிக்கல் கழித்தல் நுட்பம்
ধ্ৰুপদী গতিশীলতা,கிளாசிக்கல் இயக்கவியல்
ধ্ৰুপদী অনুকূলন,கிளாசிக்கல் தேர்வுமுறை
ধ্ৰুপদী ধ্বংস সমস্যা,பாரம்பரிய அழிவு பிரச்சனை
ধ্ৰুপদী পৰিসংখ্যা বলবিজ্ঞান,கிளாசிக்கல் புள்ளியியல் இயக்கவியல்
ভুলৰ শ্ৰেণীবিভাজন,பிழைகளின் வகைப்பாடு
শ্ৰেণীৰ ব্যৱধান,வகுப்பு இடைவெளி
শ্ৰেণী-ব্যৱধান একক,வகுப்பு இடைவெளி அலகு
শ্ৰেণী সীমা,வகுப்பு வரம்பு
ঘড়ীৰ কাঁটাৰ দিশত,கடிகாரகடிகாரச்சுற்று
clopen (= বন্ধ আৰু খোলা),குளோபன் (= மூடிய மற்றும் திறந்த)
বন্ধ কৰা হৈছে,மூடப்பட்டது
বন্ধ উত্তল ঢাল,மூடிய குவிந்த மேலோடு
বন্ধ ঘনক,மூடிய கன சதுரம்
বন্ধ বক্ৰ,மூடிய வளைவு
বন্ধ ডমেইন,மூடப்பட்ட டொமைன்
বন্ধ চিত্ৰ,மூடிய உருவம்
বন্ধ ব্যৱধান,மூடிய இடைவெளி
বন্ধ অঞ্চল,மூடப்பட்ட பகுதி
বন্ধ চেট,மூடிய தொகுப்பு
বন্ধ পৃষ্ঠ,மூடிய மேற்பரப்பு
বন্ধ কৰা,மூடல்
বন্ধ অপাৰেটৰ,மூடல் ஆபரேட்டர்
বন্ধ বিন্দু (= সংস্পৰ্শ বিন্দু),மூடல் புள்ளி (= தொடர்பு புள்ளி)
বন্ধ কৰাৰ প্ৰস্তাৱনা,மூடல் நிலைப்பாடு
বন্ধ কৰা ছেট,மூடல் தொகுப்பு
ক্লাষ্টাৰ পইণ্ট,கொத்து புள்ளி
ক্লাষ্টাৰ নমুনা সংগ্ৰহ কৰা,கொத்து மாதிரி
ক্লাষ্টাৰ ছেট,கொத்து தொகுப்பு
সমাক্ষীয় বৃত্ত,கோஆக்சியல் வட்டங்கள்
সমাক্ষীয় পেৰাবোলা,கோஆக்சியல் பரவளையங்கள்
সমাক্ষীয় সমতল,கோஆக்சியல் விமானங்கள்
সমাক্ষীয় ত্ৰিভুজ,கோஆக்சியல் முக்கோணங்கள்
কব - ডগলাস ফাংশন,கோப் - டக்ளஸ் செயல்பாடு
ক&#39;ডিং,குறியீட்டு முறை
তথ্যৰ ক&#39;ডিং,தரவு குறியீட்டு முறை
সহ-ডমেইন,இணை டொமைன்
সহগ মেট্ৰিক্স,குணகம் அணி
সম্পৰ্কৰ সহগ,தொடர்பு குணகம்
নিৰ্ণয়ৰ সহগ,நிர்ணய குணகம்
স্থিতিস্থাপকতাৰ সহগ,நெகிழ்ச்சி குணகம்
প্ৰসাৰণৰ সহগ,விரிவாக்க குணகம்
ঘৰ্ষণৰ সহগ,உராய்வு குணகம்
