Hindi,Assamese
"पौर मुख्य, विशिष्ट पौर, आल्‍डर्मन",এলডাৰমেন
कुलांकित आयुध,আলোকসজ্জা বাহু
मैत्री,এমিটি
एम्फिकटिआनी परिषद,এম্ফিক্টয়নিক কাউন্সিল
ऊपर देo : Amphictyonic Council,এম্ফিক্টয়নিক লীগ
"रंगवाट, रंगभूमि, अखाड़ा",এম্ফিথিয়েটাৰ
(मृद्भांडों का) अमरीनाल वर्ग,অমৰি নল গোট (মৃৎশিল্পৰ)
"काल-वैषम्य, काल-दोष",এনাক্ৰ’নিজম
काल-वैषम्ययुक्त,এনাক্ৰ’নিষ্টিক
पूर्वज,পূৰ্বপুৰুষ
पितृ-पूजा,পূৰ্বপুৰুষ পূজা
कुल-परंपरा,বংশ
2. वंश,বংশ
3. वंश-क्रम,বংশ
4. उच्च कुल,বংশ
"प्राचीन शासन-व्यवस्था, क्रांति पूर्व शासन-व्यवस्था",Ancien শাসন ব্যৱস্থা
"पुरातन, प्राचीन",পৌৰাণিক
प्राचीन गाथा,প্ৰাচীন বেলাড
प्राचीन मत,প্ৰাচীন বিশ্বাস
प्राचीन प्रथा,প্ৰাচীন প্ৰথা
प्राचीन हतिहास,প্ৰাচীন ইতিহাস
प्राचीन स्मारक,প্ৰাচীন কীৰ্তিচিহ্ন
उपाख्यान,উপাখ্যান
एन्जिलोट,এঞ্জেলট
देवदूत पूजा,এঞ্জেলছ
आन्जवै,এঞ্জেভিন (=anjevin)
ऐन्गल्स,কোণ
आंग्लिक,এংলিকান
आंग्ल चर्च,এংলিকান কমিউনিয়ন
आंग्ल चर्चवाद,এংলিকানিজম
आंग्ल विरोधी,এংলো-ফ’ব
आंग्ल-दुर्भीति,এংলো-ফ’বিয়া
आंग्ल सैक्सन,এংলো-চেক্সন
आंग्ल-सैक्सनवाद,এংলো-চেক্সনবাদ
"आख्यान-लेखक, आख्यानकार",এনালিষ্ট
"वर्षवृत्त, आख्यान, ख्यात",এনালছ
"अधिनहन, मिला देना",সংলগ্নকৰণ
युद्ध पूर्व (स्थिति),এণ্টে-বেলাম
"पूर्वतिथि-निर्धांरण, पूर्वकाल निर्धारण",এণ্টে তাৰিখ
पादरी प्रथा विरोधी,কেৰাণীবাদ বিৰোধী
पादरी प्रथा विरोधी विधान,কেৰাণী বিৰোধী আইন
"पुरावशेष, पुरावस्तु",প্ৰাচীনতা
लगान-विरोधी,ভাড়া বিৰোধী
2. एन्टी रैन्ट पार्टी,ভাড়া বিৰোধী
"यहूदी विरोध, यहूदीवाद-विरोध, यहूदी विरोधवाद",চেমিটিজম বিৰোধী
ऐन्ज़ेक,এঞ্জেক
नागरिक सभा,এপেলা
अरालू,আৰালু
आर्च बिशप,আৰ্ক বিচপ
आर्च डची,আৰ্ক ডাচি
आर्च ड्यूक,আৰ্ক ড্যুক
पुरालेख संग्रह,আৰ্কাইফ (=আৰ্কাইভ সংগ্ৰহ)
महाधर्माध्यक्ष का पद,আৰ্কিপিস্কোপেট
अभिजाततंत्र,অভিজাত শ্ৰেণী
अभिजात,অভিজাত
अभिजातीय दंभ,অভিজাত স্নোবৰী
अरस्तूवादी,এৰিষ্ট&#39;টেলিয়ান
आर्मेडा,আৰ্মাডা
स्पेन का आर्मेडा,আৰ্মাডা (=স্পেনিছ আৰ্মাডা)
कवच-विशारद,আৰ্মৰিষ্ট (=armourist)
"कवच, बख्तर, वर्म",কৱচ (=কৱচ)
अo देo armorist,আৰ্মৰিষ্ট
आर्य,আৰ্য্য
2. कुलीन,আৰ্য্য
अस्कारी,আস্কৰী
"आसिग्ना, भू-प्रतिभृत मुद्रा",Assignat
अभिसत्र,Assize
2. विधिपृच्छा,Assize
3. अभिसत्राधिनियम,Assize
आयुध अभिसत्राधिनियम,এছাইজ অৱ আৰ্মছ এক্ট
डारेन उपस्थापन अभिसत्राधिनियम,ডেৰেইন প্ৰেজেণ্টমেণ্টৰ এছাইজ
मृत पूर्वज अभिसत्राधिनियम,মৰ্ট &#39;ডি&#39; পূৰ্বপুৰুষৰ এছাইজ
अभिनव अधिधारणोत्सादन अभिसत्राधिनियम,নভেল ডিচেইচিনৰ এছাইজ
नृशंसता,অত্যাচাৰ
आक्रमण,আক্ৰমণ
"सर्वोच्च न्यायालय, ऑलिक काउन्सिल",অলিক কাউন্সিল
गेडिस समाधान,গেডেছৰ কুঠাৰ (=গেডেছৰ কুঠাৰ)
धुरी राष्ट्र,অক্ষ (=ৰোম-বাৰ্লিন-টকিঅ&#39; অক্ষ)
"बाबुल, बेबीलोन",বেবিলন
बेबीलोनी बंदीकरण,বেবিলনৰ বন্দীত্ব (=বেবিলনৰ বন্দীত্ব)
बाखुसी उपासक,বচনাল ভক্ত
मद्यपानोत्सव,বাচনালিয়া
युवा योद्धा,অবিবাহিত লোক
"बगदाद अनुबंध, बगदाद पैक्ट",বাগদাদ চুক্তি
बाल्कन लीग,বাল্কন লীগ
बाल्कन अनुबंध,বাল্কন চুক্তি
बाल्कन युद्ध,বাল্কন যুদ্ধ
बाल्टिक अनुबंध,বাল্টিক চুক্তি
दस्यु,ডাকাত
बांडुंग सम्मेलन,বাণ্ডুং সন্মিলন
"निर्वासन, देश-निकाला",নিৰ্বাসন
"पताका, ध्वजा",বেনাৰ
बर्बर,বৰ্বৰ
कोट-घूँघट,বাৰ্বিকান
बारदोली सत्याग्रह,বৰদলৈ সত্যাগ্ৰহ
बार्न बर्नस,বাৰ্ন বাৰ্নাৰ্ছ
"बैरन, सामंत",বেৰন
बैरोनेज,বেৰনেজ
महासामंत,বেৰনছ মেজৰ
लघु सामंत,বেৰনেছ নাবালক
सामंत पत्नी,বেৰনেছ
उपसामंत,বেৰনেট
उपसामंत वर्ग,বেৰনেটেজ
2. बैरोनेट वंशावली,বেৰনেটেজ
उपसामंत,বেৰনেটচি
बैरोनी,বেৰনি
दास बंदीगृह,বেৰাকুন
2. दास-गृह,বেৰাকুন
अवरोध,বেৰিকেড (=barricade)
2. घिराव,বেৰিকেড (=barricade)
3. मोचबिंदी,বেৰিকেড (=barricade)
आधार शिबिर,বেচ কেম্প
वैसिलिका,বেচিলিকা
2. सभा भवन,বেচিলিকা
बैस्टील,বাষ্টিলা
बैस्टील,বেষ্টিল
2. कारागार,বেষ্টিল
तोपखाना,বেটাৰি
"रण, समर, युद्ध",যুদ্ধ
रण-व्यूह,বাটলে-এৰে
युद्ध-घोष,যুদ্ধৰ চিঞৰ
युद्ध कोलाहल,যুদ্ধৰ ডিন
"रण भूमि, रण क्षेत्र, समरांगण",যুদ্ধক্ষেত্ৰ
युद्ध-गान,যুদ্ধ গীত
एड़-युद्ध,স্পাৰ্ছৰ যুদ্ধ
ध्वज-संग्राम,ষ্টেণ্ডাৰ্ডৰ যুদ্ধ
"रणपोत, जंगी जहाज़, संगरपोत",যুদ্ধজাহাজ
"संगरपोत शक्ति, रणपोत-शक्ति",যুদ্ধজাহাজ-শক্তি
बेयू चित्रपट,Bayeux টেপেষ্ট্ৰি
संकेत प्रकाश,বিকন
प्रकाश स्तंभ,বিকন টাৱাৰ
मुखरक्षी,বিভাৰ
2. बीवर सिक्का,বিভাৰ
समुद्री बैगर,সাগৰৰ ভিক্ষাৰী
युयुत्यु,বেলিকোজ
2. लड़ाकू,বেলিকোজ
3. युद्धप्रिय,বেলিকোজ
"युयुत्सा, युद्धप्रियता, लड़ाकूपन",বেলিকোচিটি
बेलोना,বেলোনা
"मठवृत्ति, धमवृत्ति, पादरी की वृत्ति",বেনিফিচ
पादरी-सुविधा,ধৰ্মগুৰুসকলৰ লাভ
बेनीलक्स,বেনেলাক্স
"बर्लिन डिकी, बर्लिन निषेध",বাৰ্লিন ডিক্রী
"जुझारू योद्धा, नार्सी योद्धा",Berserker
बजांत,Besant (=বেজান্ট)
बैथेल,বেথেল
ग्रंथ-पूजक,বিব্লিঅ&#39;লেটাৰ
ग्रंथपूजन,গ্ৰন্থবিজ্ঞান
बिग बर्था,বিগ বাৰ্থা
धर्मांध,কুসংস্কাৰ
वासादेश,বিলেটিং
बिल ऑफ अटेन्डर,বিল অৱ এটেইণ্ডাৰ
अधिकार-पत्र,অধিকাৰৰ বিল
"जीवनीकार, चरित लेखक",জীৱনীকাৰ
जातक कथाएँ,জন্মৰ কাহিনী
पड़ाव,বিভক
2. रण-शिविर,বিভক
3. सैनिक पहरा,বিভক
बाइज़ोनिया,বিজোনিয়া
अवैध दास आयात,ক&#39;লা চৰাই চোৱা
काला झंडा,ক&#39;লা পতাকা
काल-कोठरी,ব্লেক হোল
2. ब्लैक होल,ব্লেক হোল
"गद्दार, द्रोही",ক&#39;লা ভৰি (=scab)
"ब्लैक शर्ट, काली कुर्ती दल",ক&#39;লা চাৰ্ট
कुल चिह्र,ব্লেজন
2. कुल चिह्र अंकन,ব্লেজন
कुल-चिह्रांकन कला,ব্লেজনাৰী
2. कलात्मक प्रदर्शन,ব্লেজনাৰী
"तड़ित युद्ध, तूफानी हमला",ব্লিটজক্ৰিগ
"गौरवमय क्रांति, रक्तहीन क्रांति",ৰক্তহীন বিপ্লৱ (=গৌৰৱময় বিপ্লৱ)
"रक्तपात देय, खून की कीमत, रक्तपात दण्ड",ব্লাডৱাইট
खूनी मेरी (सन् - ईo),ব্লাডি মেৰী
ब्लू,নীলা
"आभिजात्य, कुलीनता",নীলা তেজ
"नीली पुस्तिका, सरकारी रिपोर्ट, ब्लू बुक",নীলা কিতাপ
"नीला फीता, ब्लू रिबन",নীলা ফিতা
2. सर्वोच्च सम्मान,নীলা ফিতা
राजकीय रक्षक,ব্লুজ (=ৰয়েল হৰ্চ গাৰ্ড)
नीली कुर्ती दल (इटली),নীলা চাৰ্ট
नौसेना समर्थक,ব্লু ৱাটাৰ স্কুল
"संचालन-मंडल, संचालन-बोर्ड, नियंन्त्रण मंडल",নিয়ন্ত্ৰণ ব’ৰ্ড
"वर्म, जिरह-बख्तर",শৰীৰৰ কৱচ
बूर,ব&#39;ৰ
लूट का माल,লুটপাত
बरो,বৰো
सीनेट सदन,Bouleuterion
बूर्बा,বোৰ্বন
बॉक्सर विद्रोह,বক্সাৰ বিদ্ৰোহ
भुज कवच,ব্ৰেচ
बाहु पट्टिका,ব্ৰাছাৰ্ড
"2. भुज बंध, भुज कवच",ব্ৰাছাৰ্ড
बहुधान्यक प्रदेश,ব্ৰেড কলনী
"वक्षस्त्राण, उरस्ताण",ব্ৰেষ্ট প্লেট
आवक्ष भित्ति,স্তনৰ কাম
"ब्रेटवाल्डा, ब्रिटनों का अधिपति",ব্ৰেটৱাল্ডা
बटमार,ব্ৰিগাণ্ড
"बटमारी, लुंठन, राहजनी",ব্ৰিগেণ্ডেজ
"ब्रिटिश कॉमनवेल्य, राष्ट्रमंडल",ব্ৰিটিছ কমনৱেলথ অৱ নেচনছ
"ब्राउन शर्ट्स, भूरी कुर्ती दल",ব্ৰাউন চাৰ্ট (=নাজী)
ब्रुसेल्स संधि संगठन,ব্ৰাছেলছ সন্ধি (পেক্ট) সংগঠন (=পশ্চিম ইউৰোপীয় সংঘ)
महिष चर्म,বাফ
2. लघु कोट,বাফ
बफ़-कोट,বাফ-কোট
बफ़-रेज़िमेंट,বাফছ
ब्यूल,বুলে (=পৰিষদ)
पट्टेदारी,বাৰ্গেজ
पौर प्रतिनिधि,বাৰ্জেছ
बाईजेन्टिनी,বাইজেন্টাইন
बाइजेन्टिनी गिरजाघर,বাইজেন্টাইন গীৰ্জা
बाइजेन्टिनी साम्राज्य; पूर्वी रोम साम्राज्य,বাইজেন্টাইন সাম্ৰাজ্য
बाइजेन्टिनी संवत्,বাইজেন্টাইন যুগ
बाइजेन्टिनी इतिहासकार,বাইজেন্টাইন ইতিহাসবিদ
"काबेल, षडयंत्रकारियों का गुट",কেবাল
सीज़रतंत्र,ছিজাৰীজম
खलीफ़ा,খলিফা
"खुशनवीस, सुलेखक",কেলিগ্ৰাফাৰ
सुलेख-विशारद,কেলিগ্ৰাফিষ্ট
सुलेख,কেলিগ্ৰাফী
कैल्ट्रॉप,কেলট্ৰপ
सौहार्द,সতীৰ্থতা
लघु कक्ष,কেমাৰিলা
2. षाड्यंत्रिक,কেমাৰিলা
(पोप का) मुकुट,কেমেলাকম
"छद्मावरण, छद्म गोपन",ছদ্মবেশ
अभियान,অভিযান
लश्करी; शिविरानुचर,কেম্প অনুগামী
गिरजा क़ब्रिस्तान,কেম্পো ছান্টো
कैंपस मारशियस,কেম্পাছ মাৰ্চিয়াছ
"कान्फोरा, डलियावाली",কেনেফোৰা
कैंग; काष्ठबंध,কেংগু
गोलाबारी,কেননেড
"युद्ध-बलि, तोपचारा",কামানৰ ঘাঁহ
धर्म-सूत्र,কেনন
"चर्च क़ानून, ईसाई धर्म-नियम, धमनियम",কেনন আইন
"कैनोपेस आज्ञप्ति, कैनोपस डिक्री",কেন&#39;পাছৰ ডিক্রী
"चिह्रित शस्त्र, चिह्रित आयुध",কেনটিং আৰ্মছ
बंदी,বন্দী
बंदीकर्त्ता,বন্দী
कार्डिनल,কাৰ্ডিনেল
कार्ल,কাৰ্ল
कैरोलिन्जी राजवंश,কেৰ&#39;লিঞ্জিয়ান বংশ
कारथूसी संप्रदाय,কাৰ্থুছিয়ান পন্থা
कारथूसी मठ,কাৰ্টোছা
"किलेदार, कोटपाल",কেষ্টেলিয়ান
2. केस्टेलन,কেষ্টেলিয়ান
वर्ण-व्यवस्था,জাতি ব্যৱস্থা
() दुर्ग,দুৰ্গ
(2) गढ़ी,দুৰ্গ
दुर्ग-नगर,কেছল টাউন
कैस्ट्रा,কাষ্ট্ৰা
2. रोमन शिविर,কাষ্ট্ৰা
पादरी का सिंहासन,কেথেড্ৰা
मुख्य गिरजाघर,কেথেড্ৰেল
केटो स्ट्रीट षडयंत्र,কেটো ষ্ট্ৰীটৰ ষড়যন্ত্ৰ
कॉडिलो,কৌডিলো
() कैवेलियर,কেভেলিয়াৰ
(2) घुड़सवार,কেভেলিয়াৰ
कैवेलियर पार्लियामेंट,কেভেলিয়াৰ সংসদ
"पक्ष-त्यागी गुट, आडुलम गुट",আদুল্লামৰ গুহা
"गुहा-चित्रकारी, गुहा-चित्रण",গুহা চিত্ৰকলা
2. गुहा-चित्र,গুহা চিত্ৰকলা
सेन्टुमविर,চেণ্টুমভিৰ
सेंचुरियन,চেঞ্চুৰিয়ান
"शताब्दी, सदी, शती",শতিকা
"जिरह-बख्तर, श्रृंखला-कवच",চেইন আৰ্মৰ (=চেইন মেইল)
"समर्पित मंदिर, समर्पित पूजागृह",চান্ট্ৰী
2. समर्पित धर्मदास,চান্ট্ৰী
चैप पुस्तिका,চ্যাপ কিতাপ
"धर्माधिकारी, चैपलिन",চেপলিন
पादरी मंडल,অধ্যায়
सांयोगिक दुर्घटनाएँ,দুৰ্ঘটনাৰ অধ্যায়
कीतिंचिह्र,চাৰ্জ
"कार्यदूत, दूत-कार्यकारी",চাৰ্জ ডি এফেয়াৰ্ছ
विदाई परामर्श,চাৰ্জ পাৰ্টিং
युद्धाश्व,চাৰ্জাৰ
विजय रथ,ৰথ
रथारोही,ৰথী
2. रथी,ৰথী
3. सारथी,ৰথী
"अन्नसत्र, लंगर",চেৰিটি কিচেন
"अधिकार-पत्र, चार्टर",চনদ
चार्टिस्ट आंदोलन,চাৰ্টিষ্ট আন্দোলন (=চাৰ্টিষ্ট)
"अभिलेख-कक्ष, अभिलेख-प्रकोष्ठ",চাৰ্ট’ফাইলেচিয়াম
"सामंत गढ़ी, शातो",চেট&#39;
पड़ताल चौकी,পোষ্ট চেক কৰক
रासायनिक युद्ध,ৰাসায়নিক যুদ্ধ
दुर्ग-नगर,চেষ্টাৰ
सरदार,প্ৰধান
सरदार,মুখীয়াল
2. सामंत,মুখীয়াল
3. राजा,মুখীয়াল
"जालांशुक, जालीदार कपड़ा, शिफान",চিফন
शौर्य,অশ্বাৰোহীতা
यहूदी लोग,নিৰ্বাচিত লোকসকল
दिव्यवाणी कक्ष प्रवचन कक्ष,ক্ৰীছমোগ্ৰাফী
ईसाई जगत,খ্ৰীষ্টান ধৰ্ম
ईसवी काल,খ্ৰীষ্টান যুগ
ईसाई समाजवाद,খ্ৰীষ্টান সমাজবাদ
इतिवृत्त,ক্ৰনিকল
इतिवृत्तकार,ক্ৰনিকলাৰ
स्वर्ण-भूमि,ক্ৰাইজ চেৰ্চোনিজ
रत्न-कक्ष,চিমেলিয়াম
सोलहवीं शती की शैली,Cinquecento শৈলী
परिनौचालन,প্ৰদক্ষিণ
सिस्तर्शी साधु,চিষ্টাৰচিয়ান সন্ন্যাসী
"दुर्ग, गढ़ी",দুৰ্গ
() प्रशस्ति,উদ্ধৃতি
(2) उपस्थिति सूचना,উদ্ধৃতি
सविनय अवज्ञा (आन्दोलन),নাগৰিক অবাধ্যতা
गृह-युद्ध,গৃহযুদ্ধ
रोमन नागरिक,চিভিছ ৰোমানাছ
"कलासिकी युग, श्रेण्य युग",ধ্ৰুপদী যুগ
बटमार,ক্লেফ্ট (=klepht)
"पादरीवाद, पुरोहितवाद",কেৰাণীবাদ
"भूग्राही, क्लेरुक",ক্লাৰুচ
क्लूनी आंदोलन,ক্লুনিয়াক আন্দোলন
"कवच, जिरह-बख्तर",কোট কৱচ
कुलांक,কোট অৱ আৰ্মছ
2. आयुधांक,কোট অৱ আৰ্মছ
3. अस्त्र-ध्वजादि-चित्रण,কোট অৱ আৰ্মছ
"कवच, जिरह-बख्तर, अंगत्राण",কোট অৱ মেইল
कोहॉर्ट,কোহৰ্ট
कोमिशिया,কমিটিয়া
कोमिशिया सेंतुरियाता,কমিটিয়া চেঞ্চুৰিয়াটা
कोमिशिया क्यूरिआता,কমিটিয়া কুৰিয়াটা
कोमिशिया ट्रिब्यूता,কমিটিয়া ট্ৰিবুটা
स्मारक तोरण,স্মৃতিচাৰণ তোৰণ
स्मारक सिक्का,স্মৃতিচাৰণ মুদ্ৰা
स्मारक मुहर,স্মৃতিসৌধ
सार्वजनिक भूमि,সাধাৰণ ক্ষেত্ৰ
कम्यूनार्ड,কমিউনাৰ্ড
समझौता,কনকৰ্ডেট
2. धर्म-संधि,কনকৰ্ডেট
कंदोत्यर,কণ্ডোটিয়েৰ
"अधिकार-पत्र की पुष्टि, चार्टर-पुष्टि",নিশ্চিতকৰণ Cartarum
संघर्ष,বিবাদ
धर्म-संगति,মণ্ডলী
विजेता राज्य,বিজয়ী ৰাষ্ট্ৰ
विजेता,বিজয়ী
"वर्षक वीर, अत्याचारी विजेता",কনকিষ্টাডৰ
राजपरिषद्,কনচিলিয়াম
"चर्च न्यायालय, काँसिस्टरी",কনচিষ্টৰী
षड़यन्त्र,ষড়যন্ত্ৰ
2. साजिश,ষড়যন্ত্ৰ
कांसुली शासन,কনছুলেট
परामर्श-पुस्तिका,কনছুলেচন কিতাপ
महाद्वीपीय व्यवस्था,মহাদেশীয় ব্যৱস্থা
अनधिकृत आहूत पार्लियामेंट,অধিৱেশন সংসদ
कापरहेड्स,কপাৰহেড (=শান্তি গণতন্ত্ৰ)
"पट्ट-भूमि, पट्टे पर मिली भूमि",কপিহ&#39;ল্ড
परिसीमन; घेरा डालना,ঘেৰাও কৰা
"मुकुट, किरीट",কৰ&#39;না
राज्याभिषेक,ৰাজ অভিষেক
"अभिषेकाश्म, अभिषेक-शिला",ৰাজ অভিষেক শিল
(ग्रंथ) संग्रह,কৰ্পাছ
"जलदस्यु, समुद्री डाकू",কৰ্চেয়াৰ
2. दस्यु पोत,কৰ্চেয়াৰ
"उरस्त्राण, वक्षस्त्राण",কৰ্চেট (=কোৰ্চলেট)
"कार्टिज़, स्पेनी संसद",কৰ্টেছ
कुटी घर,কোটাৰ (=cottier)
2. खिदमती काश्तकार,কোটাৰ (=cottier)
काउन्ट पैलेटीनेट,কাউন্ট পেলেটিনেট
ग्राम्य आवास,দেশৰ ঘৰ
काउन्टी,কাউন্টি
काउन्टी बरो,কাউন্টি বৰো
काउन्टी न्यायालय,কাউন্টি আদালত
काउन्टी रियासत,কাউন্টি পেলেটিন
दरबार,আদালত
2. राजसभा,আদালত
राजपरिपत्र,আদালতৰ চক্ৰান্তমূলক
"दरबारी शिष्टाचार, दरबारी अदब, दरबारी क़ायदा",আদালতৰ শিষ্টাচাৰ
"राजदरबारी, राजसभासद, मुसाहिब",কৰ্টিয়াৰ
कोर्ट ऑफ कैसेशन,কেচেচনৰ আদালত
"(ईस्ट इंडिया कंपनी का) निदेशक मंडल, कोर्ट ऑफ डायरेक्टर्स",সঞ্চালক আদালত (EIC)
"(ईस्ट इंडिया कंपनी का) स्वामी मंडल, कोर्ट ऑफ प्रोप्राइटर्स",মালিকৰ আদালত
राजकवि,আদালতৰ কবি
प्रसंविदाकारी केमेरोनपंथी,চুক্তিবদ্ধ কেমেৰনিয়ানসকল
"राजा, क्राउन",মুকুট
2. (क) ताज,মুকুট
(ख) मुकुट,মুকুট
"खालसा, राजभूमि",মুকুটৰ ভূমি
2. संघ राज्य,মুকুটৰ ভূমি
युवराज,ক্ৰাউন প্ৰিন্স
"धर्मयुद्ध, जिहाद",ক্ৰুছেড
धर्म-योद्धा,ক্ৰুছেডাৰ
"गुप्त लेख, छद्म लेख, गुप्त संदेश, कूट लेख, कूट संदेश, छद्म संदेश",ক্ৰিপ্টোগ্ৰাম
"वक्षस्त्राण, जिरहबख़्तर",কুইৰাছ
"चर्म कवचधारी, अश्वारोही",কুইৰাচিয়াৰ
संप्रदाय देवता,কাল্ট দেৱতা
"क्यूरिया, सभा-भवन, परिषद",কুৰিয়া
2. रोम का सीनेट भवन,কুৰিয়া
जारशाही,জাৰবাদ
अंध महाद्वीप,অন্ধকাৰ মহাদেশ
प्रलय-दिवस,বিচাৰৰ দিন
2. क़यामत का दिन,বিচাৰৰ দিন
"डीन, अधिष्ठाता",ডিন
जशक,দশক
दीनार,ডেনাৰিয়াছ
सिंहासनच्युत राजा,পদচ্যুত ৰজা
विलुंठन,লুটপাত কৰা
"अपहरण, लूट-खसोट",লুণ্ঠন
गद्दी से उतारना,ডিথ্ৰন
राजमुकुट,ডায়েডেম
2. किरीट,ডায়েডেম
3. राजचिह्र,ডায়েডেম
डायेसिया,ডায়েচিয়া
न्यायालय,ডিকাষ্টেৰিয়াম
जलप्रलयवादी,ডিলুভিয়ালিষ্ট
बिशप-क्षेत्र,ডাইচ
2. डायोसीज़,ডাইচ
क्रांतिकारी कार्यकारिणी,ডাইৰেক্টৰ (=নিৰ্দেশনা)
2. दायरोक्तायर,ডাইৰেক্টৰ (=নিৰ্দেশনা)
दिरहम,দিৰহাম
निष्ठाहीन,অবিশ্বাসী
2. देशद्रोही,অবিশ্বাসী
"राज्य-अपहरण नीति, राज्यलय-नीति",লেপছৰ মতবাদ
"प्रलेख, दस्तावेज़",নথিপত্ৰ
"दस्तावेज़ी साक्ष्य, प्रलेखी साक्ष्य",নথিপত্ৰৰ প্ৰমাণ
"अंतिम निर्णय पुस्तक, क़यामत के दिन की पुस्तक",ডমছডে বুক
कॉन्सटेन्टाइन का दान,কনষ্টেণ্টাইনৰ দান
"विधि, क़ानून",ডুম
राजमाता,বিধৱা ৰাণী
"ड्रेगून, घुड़सवार",ড্ৰেগুন
साँडनी सवार,ড্ৰ&#39;মেডাৰিয়ান
"साँडनी, मादा ऊँट",ড্ৰমেডাৰী
महा नौका,ড্ৰমণ্ড
द्वंद्व युद्ध,দ্বৈত
"डुअल अलाएँस, दोहरी संधि",দ্বৈত মিত্ৰতা
ड्यूल आँताँत,ডুৱেল এণ্টেণ্ট
"दोहरा शासन, दुहरी सरकार, द्वैध शासन",দ্বৈত ব্যৱস্থা (=দ্বিতীয় চৰকাৰ)
ड्यूक,ড্যুক
ड्यूमा,ডুমা
वामन अवतार,বামন অৱতাৰ
वंश,বংশ
2. राजवंश,বংশ
गरूड़,ঈগল
एल्डरमेन,এলডাৰ মানুহ
अर्ल,আৰ্ল
"अर्लपद, अर्लक्षेत्र",আৰ্লডম
"पूर्व गुप्त वंश, पूर्व गुप्त वंशीय राजा",আদিম গুপ্তাসকল
पूर्वकालीन (ऐतिहासिक) स्थल,প্ৰাথমিক (ঐতিহাসিক) স্থান
पूर्व वैदिक काल,প্ৰাথমিক বৈদিক যুগ
नागरिक सभा,ইক্লেছিয়া
"प्रत्यास्थापन धर्मादेश, प्रत्यास्थापनराजादेश, एडिक्ट ऑफ रेस्टिट्यूशन",পুনৰুদ্ধাৰৰ আদেশ
अष्टांगिक मार्ग,আঠ ভাঁজ পথ
"चर्च अधिकारी, गिरजाधिकारी, प्रेसबीटर",বয়োজ্যেষ্ঠসকল
वयोवृद्ध राजविद्,জ্যেষ্ঠ ৰাষ্ট্ৰনেতা (=genro)
अंकुश,হাতী গোড
"ग्यारह वर्ष का आतंक राज्य, एकादश वर्षीय आतंक राज्य",এঘাৰ বছৰৰ অত্যাচাৰ
एलीजे,এলিছাই (=এলিচি)
बाड़ाबंदी आंदोलन,ঘেৰাও আন্দোলন
पोप-परिपत्र,এনচাইক্লিকেল
विश्वकोशकार आंदोलन,বিশ্বকোষবাদী আন্দোলন
"आंतांत, सौहार्द",এন্টেন্টে
"दृढ़ सौहार्द, आंतांत कार्दिआल",এন্টেন্টে কৰ্ডিয়েল
राज्यारोहण,এনথ্ৰন
"परिचारक गण, परिचर",এনট্যুৰেজ
