Punjabi,Odiya
ਧੁਨੀ energy ਰਜਾ,ଆକାଶବାଣୀ ଶକ୍ତି |
ਧੁਨੀ ਫੀਡਬੈਕ,ଆକାଶବାଣୀ ମତାମତ |
ਧੁਨੀ ਫਿਲਟਰ,ଆକାଶବାଣୀ ଫିଲ୍ଟର |
ਧਾਰਨਾ,ଆକାଶବାଣୀ ପ୍ରତିରୋଧକ |
ਧੁਨੀ ਪ੍ਰਸਾਰ ਨੂੰ ਸਥਿਰ,ଆକାଶବାଣୀ ପ୍ରଚାର ସ୍ଥିର |
ਧੁਨੀ ਪ੍ਰਤੀਰੋਧ,ଆକାଶବାଣୀ ପ୍ରତିରୋଧ |
ਧੁਨੀ,ଆକାଶ ଭାବରେ ଇନସୁଲେଡ୍ |
ਧੁਨੀ,ଆକାଶବାଣୀ |
ਗ੍ਰਹਿਣ,ଅଧିଗ୍ରହଣ
ਐਕਰੋਨਾਈਮ,ଆକ୍ରୋନିମ୍ |
ਕਾਰਵਾਈ ਖੇਤਰ,କ୍ରିୟା କ୍ଷେତ୍ର
ਸਰਗਰਮ ਤੰਦ,ସକ୍ରିୟ ଚିଲାମେଣ୍ଟ |
ਕਿਰਿਆਸ਼ੀਲ,ସକ୍ରିୟ
ਐਕਟਿਵ ਖੇਤਰ,ସକ୍ରିୟ କ୍ଷେତ୍ର
ਐਕਟਿਵ ਵਿੰਡੋ,ସକ୍ରିୟ ୱିଣ୍ଡୋ |
ਅਨੁਕੂਲਤਾ,ଅନୁକେତ
ਅਡੈਪਟਰ (ਅਡੈਪਟਰ),ଆଡାପ୍ଟର (ଆଡାପ୍ଟର)
ਅਡੈਪਟਿਵ ਇਨਫਿਅਲ ਪਲਸ ਕੋਡ ਸੰਚਾਲਨ,ଆଡାପ୍ଟିଭ୍ ଡିଫେରିଏଲ୍ ପଲ୍ସ କୋଡ୍ ମୋଡୁଲେସନ୍ |
ਐਡਰੈੱਸ ਬੁੱਕ,ଠିକଣା ବହି
ਪਤਾ ਬੱਸ,ଠିକଣା ବସ୍
ਪਤਾ ਹੱਲ,ଠିକଣା ରେଜୋଲୁସନ
ਨੇੜਲੇ ਚੈਨਲ ਦਖਲਅੰਦਾਜ਼ੀ,ସଂଲଗ୍ନ ଚ୍ୟାନେଲର ହସ୍ତକ୍ଷେପ |
ਨਾਲਤ ਚੈਨਲ ਚੋਣ,ସଂଲଗ୍ନ ଚ୍ୟାନେଲ ଚୟନ
ਆਸ ਪਾਸ ਦੀ ਬਾਰੰਬਾਰਤਾ,ସଂଲଗ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି |
ਨਾਲ ਲੱਗਦੇ ਫ੍ਰੀਕੁਐਂਸੀ ਚੈਨਲ,ସଂଲଗ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି ଚ୍ୟାନେଲ |
ਨਾਲ ਲੱਗਦੀ ਤਸਵੀਰ ਕੈਰੀਅਰ,ସଂଲଗ୍ନ ଚିତ୍ର ବାହକ |
ਨਾਲ ਲੱਗਦੀ ਆਵਾਜ਼ ਕੈਰੀਅਰ,ସଂଲଗ୍ନ ସାଉଣ୍ଡ ବାହକ |
ਨਾਲ ਲੱਗਦੀ ਸਟੇਸ਼ਨ,ସଂଲଗ୍ନ ଷ୍ଟେସନ |
ਵਿਵਸਥਤ,ନିୟନ୍ତ୍ରିତ
ਵਿਵਸਥਤ ਕੰਡੈਂਸਰ,ନିୟନ୍ତ୍ରିତ କଣ୍ଡେନ୍ସର୍ |
ਦਬਾਅ ਵਿਵਸਥਿਤ ਕਰਨਾ,ଚାପକୁ ସଜାଡିବା |
ਰੈਂਚ ਨੂੰ ਵਿਵਸਥਿਤ ਕਰਨਾ,ରେଞ୍ଚ ଆଡଜଷ୍ଟ କରିବା |
ਵਿਵਸਥਾ,ଆଡଜଷ୍ଟମେଣ୍ଟ୍
ਪ੍ਰਬੰਧਕ,ପ୍ରଶାସକ
ਤਕਨੀਕੀ ਤਕਨਾਲੋਜੀ,ଉନ୍ନତ ଟେକ୍ନୋଲୋଜି |
ਏਰੀਅਲ,ବାୟୁ
ਏਰੀਅਲ ਐਰੇ,ଏରିଲ୍ ଆରେ |
ਏਰੀਅਲ ਬੂਸਟਰ,ଏରିଲ୍ ବୁଷ୍ଟର୍ |
ਏਰੀਅਲ ਮੌਜੂਦਾ,ଏରିଲ୍ କରେଣ୍ଟ୍ |
ਏਰੀਅਲ ਕਮਾ ਸਵਿੱਚ,ଏରିଲ୍ ମାଟିଙ୍ଗ୍ ସୁଇଚ୍ |
ਏਰੀਅਲ ਕੁਸ਼ਲਤਾ,ଏରିଲ୍ ଦକ୍ଷତା |
ਏਰੀਅਲ ਰੁਕਾਵਟ,ଏରିଲ୍ ଇନପେଟେନ୍ସ |
ਏਰੀਅਲ ਇੰਡਕੈਕਟੈਂਸ,ଏରିଲ୍ ଇଣ୍ଡିକାନ୍ସ |
ਏਰੀਅਲ ਇਨਸੂਲੇਟਰ,ଏରିଆଲ୍ ଇନସୁଲେଟର |
ਹਵਾਈ ਲੋਡਿੰਗ ਕੋਇਲ,ଏରିଆଲ୍ ଲୋଡିଂ କୋଇଲ୍ |
ਹਵਾਈ ਫੋਟੋਗ੍ਰਾਫੀ,ଏରିଲ୍ ଫଟୋଗ୍ରାଫି |
ਏਰੀਅਲ ਪਾਵਰ,ଏରିଲ୍ ଶକ୍ତି |
ਏਰੀਅਲ ਰੇਡੀਏਸ਼ਨ ਰੀਸੈਂਟਸ,ଏରିଆଲ୍ ବିକିରଣର ଲାଭ |
ਏਰੀਅਲ ਪ੍ਰਤੀਕਰਮ,ଏରିୟାଲ୍ ପ୍ରତିକ୍ରିୟା |
ਐਰੋਡਾਇਨਾਮਿਕਸ,ଏରୋଡାଇନାମିକ୍ସ
ਏਜੰਸੀ,ସଂସ୍ଥା
ਏਅਰ ਕੰਪ੍ਰੈਸਰ,ବାୟୁ କମ୍ପ୍ରେସାକ୍ର
ਏਅਰ ਕੰਡੈਂਸਰ,ବାୟୁ କଣ୍ଡନସର୍ |
ਹਵਾ ਠੰ .ੀ,ବାୟୁ ଥଣ୍ଡା
ਏਅਰ ਕੋਰਡ ਕੋਇਲ,ବାୟୁ କୋଡ୍ କୋଇଲ୍ |
ਏਅਰ ਕੰਡੀਸ਼ਨਿੰਗ,Accometication
ਅਲਬਾਡੋ,ଆଲବେଡୋ |
ਐਲਗੋਰਿਦਮ,ଆଲଗୋରିଦମ
ਅਲਾਇਸਿੰਗ,ଛଦ୍ମନାମ
ਐਲਿੰਗਿੰਗ,ମିଶ୍ରଣ
ਅਲਾਈਨਮੈਂਟ,ପରିଚାଳିତ
ਸਾਰੇ ਵੇਵ ਏਰੀਅਲ,ସମସ୍ତ ତରଙ୍ଗ ବାୟୁ |
ਅਲਾਟਮੈਂਟ,ଆବଣ୍ଟନ
ਵਰਣਮਾਲਾ,ବର୍ଣ୍ଣାନୁକ୍ରମିକ
ਅਲਫਾਨੁਮਿਕ,ବର୍ଣ୍ଣମାଳା
ਅੱਖਰ ਅੱਖਰ,ବର୍ଣ୍ଣମାଳା ଚରିତ୍ର |
ਅਲਫਾਨੁਮਿਕ ਜਾਣਕਾਰੀ,ବର୍ଣ୍ଣମାଳା ସୂଚନା
ਬਦਲਵੇਂ ਮੌਜੂਦਾ (ਏ.ਸੀ.),ବିକଳ୍ପ ସାମ୍ପ୍ରତିକ (AC.)
ਬਦਲਵਾਂ,ବିକଳ୍ପ
ਅਲਟਰਨੇਟਰ,Atternator
ਉਚਾਈ,ଉଚ୍ଚତା
ਅਗੇਬੀ ਦੀ ਉਚਾਈ,ଆପୋଜି ର ଉଚ୍ଚତା |
ਚਰਿੱਜ ਦੀ ਉਚਾਈ,PERIGEE ର ଉଚ୍ଚତା |
ਸ਼ੁਕੀਨ ਰੇਡੀਓ ਸੰਚਾਰ,ଆମୋଦିତ ରେଡିଓ ଯୋଗାଯୋଗ |
ਮਾਹੌਲ,ଅଭିଳାଷୀ |
ਮਾਹੌਲ ਮਾਈਕ੍ਰੋਫੋਨ,ଆମ୍ବିଏନ୍ସ ମାଇକ୍ରୋଫୋନ୍ |
ਅੰਬੀਨਟ ਦੀ ਸਥਿਤੀ,ପରିବେଶ ସର୍ତ୍ତ
ਅੰਬੀਨਟ ਲਾਈਟਿੰਗ,ପରିବେଶ ଆଲୋକ |
ਅੰਬੀਨਟ ਸ਼ੋਰ,ଆମ୍ବିକ୍ ଶବ୍ଦ
ਵਾਤਾਵਰਣ ਦਾ ਤਾਪਮਾਨ,ପରିବେଶ ତାପମାତ୍ରା |
ਅਮੈਰੀਕਨ ਸਟੈਂਡਰਡ ਕੋਡ,ଆମେରିକୀୟ ମାନକ କୋଡ୍ |
ਐਂਪੀਅਰ,ଆମ୍ପେର୍
ਐਂਪਰ ਮੀਟਰ,ଆମ୍ପେର୍ ମିଟର |
ਸਹਾਇਕਤਾ,ବୃଦ୍ଧି
ਐਪਲੀਫਿਕੇਸ਼ਨ ਫੈਕਟਰ,Amplfication ଫ୍ୟାକ୍ଟର୍ |
ਐਂਪਲੀਫਾਇਰ,ଏମ୍ପ୍ଲିଫାୟର୍
ਐਂਪਲੀਫਾਇਰ ਲਾਭ,ଏମ୍ପ୍ଲିଫାୟର୍ ଲାଭ |
ਐਂਪਲੀਫਾਇਰ ਸ਼ੋਰ,ଏମ୍ପ୍ଲିଫାୟର୍ ଶବ୍ଦ |
ਅਮਲੀਫਾਈਸਿੰਗ ਉਪਕਰਣ,ଯନ୍ତ୍ରପାତି ଯନ୍ତ୍ରପାତି |
ਸਰਪਲੱਸਿੰਗ ਕਲਸਟ੍ਰੋਨ,କାଲିଷ୍ଟ୍ରନ୍
ਅਮਲੀਫਾਈਸਿੰਗ ਯੂਨਿਟ,Amplifying ୟୁନିଟ୍ |
ਐਪਲੀਟਿ .ਡ,ପ୍ରଶସ୍ତତା
ਐਪਲੀਟਿ itude ਡ ਭਟਕਣਾ,ପ୍ରସଙ୍ଗଯୁକ୍ତ ବିକୃତି |
ਐਪਲੀਟਿ ord ਡ ਸੈਕਸੀਅਨ,ପ୍ରୟୋଗ ହୋଇଥିବା ଭ୍ରମଣ |
ਐਪਲੀਟਿ let ਟ ਫੈਕਟਰ,ପ୍ରଶସ୍ତତା ଫ୍ୟାକ୍ଟର୍ |
ਐਪਲੀਟਿ .ਡ ਸੀਮਾ,ପ୍ରଶସ୍ତତା ସୀମା
ਐਪਲੀਟਿ .ਡ,ପ୍ରୟୋଗ ମୋଡ୍ୟୁଲେଟ୍ |
ਐਪਲੀਟਿ let ਟ ਮੇਲੂਲੇਸ਼ਨ,ପ୍ରଶସ୍ତତା ମୋଡ୍ୟୁଲେସନ୍ |
ਐਨਾਲਾਗ (ਐਨਾਲਾਗ),ଆନାଗଲ୍ (ଆନାଗଲ୍)
ਐਨਾਲਾਗ ਸਰਕਿਟ,ଆନାଗଲ୍ ସର୍କିଟ୍ |
ਐਨਾਲਾਗ ਕੰਪਿ .ਟਰ,ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |
ਐਨਾਲਾਗ ਰੇਡੀਓ ਬਾਰੰਬਾਰਤਾ ਚੈਨਲ,ଆନାଗଲ୍ ରେଡିଓ ଫ୍ରିକ୍ୱେନ୍ସି ଚ୍ୟାନେଲ |
ਐਨਾਲਾਗ ਪ੍ਰਤੀਨਿਧਤਾ,ଆନାଗଲ୍ ଉପସ୍ଥାପନା |
ਐਨਾਲਾਗ ਸਿਗਨਲ,ଆନାଗଲ୍ ସିଗନାଲ୍ |
ਐਨਾਲਾਗ ਡਿਜੀਟਲ,ଅନୁରୂପ କରିବାକୁ ଅନୁରୂପ |
ਐਨਾਲਾਗ ਤੋਂ ਡਿਜੀਟਲ ਕਨਵਰਟਰ,ଡିଜିଟାଲ୍ କନଭର୍ଟର ପାଇଁ ଆନାଗଲ୍ |
ਐਨਾਲਾਗ ਵੀਡੀਓ,ଆନାଗଲ୍ ଭିଡିଓ |
ਸਮਾਨ,ଅନୁରୂପ
ਸਮਾਨਤਾ,ଆନାଲୋଜି
ਵਿਸ਼ਲੇਸ਼ਣ,ବିଶ୍ଳେଷଣ |
ਡਾਟਾ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ,ତଥ୍ୟର ବିଶ୍ଳେଷଣ |
ਵਿਸ਼ਲੇਸ਼ਣ ਘਣਤਾ,ଆନାଲିଟିକାଲ୍ ଘନତା |
ਵਿਸ਼ਲੇਸ਼ਣ,ବିଶ୍ଳେଷଣ କର |
ਵਿਸ਼ਲੇਸ਼ਕ,ଆନିପ୍ରିଣ୍ଟେଜର |
Ancilliay ਉਪਕਰਣ,ଅର୍କିଲିଡିଆ ଉପକରଣ |
ਅਤੇ ਗੇਟ,ଏବଂ ଫାଟକ
ਕੋਲੀਮੈਂਟ ਦਾ ਕੋਣ,କଲିମିର କୋଣ |
ਧਰੁਵੀਕਰਨ ਦਾ ਕੋਣ,ପୋଲାରାଇଜେସନ୍ କୋଣ |
ਘੁੰਮਣ ਦਾ ਕੋਣ,ଘୂର୍ଣ୍ଣନର କୋଣ |
ਐਂਗਟਰੋਮ (å),Agtstom (å)
ਕੋਣੀ,କୋଣାର୍କ
ਕੋਣੀ ਪ੍ਰਵੇਗ,କୋଣାର୍କ ତ୍ୱରାନ୍ୱିତ |
ਕੋਣੀ ਕੋ-ਆਰਡੀਨੇਟ,କୋଣାର୍କ ସମବେଦନା |
ਐਂਗਲੇਨਰ ਫੁਲੈਕਸ਼ਨ,କୋଣାର୍କ ବିବେକ |
ਐਂਗੂਲਰ ਫੈਲਾਅ,କୋଣାର୍କ ବିପରୀତ |
ਕੋਣੀ ਵਿਸਥਾਪਨ,କୋଣାର୍କ ବିସ୍ଥାପନ |
ਐਂਗਲੇਰ ਐਰਰ,କୋଣାର୍କ ତ୍ରୁଟି |
ਕੋਣੀ ਦੀ ਬਾਰੰਬਾਰਤਾ,କୋଣାର୍କ ଫ୍ରିକ୍ୱେନ୍ସି |
ਕੋਣੀ ਗਤੀ,କୋଣାର୍କ ଗତି |
ਕੋਣੀ ਮੋਸ਼ਨ,କୋଣାର୍କ ଗତି
ਐਂਗਲੇਰ ਵੇਗ,କୋଣାର୍କ ବେଗ |
ਐਨੀਮੇਸ਼ਨ,ଆନିମେସନ୍
ਐਨੋਡ,Anode
ਐਨੋਡ ਬੈਟਰੀ,Anodod ବ୍ୟାଟେରୀ |
ਐਨੋਡ ਗੁਣ,Andod ବ istic ଶିଷ୍ଟ୍ୟ |
ਅਨੋਡ ਸਰਕਟ,ଆନୋଡ ସର୍କିଟ୍ |
ਐਨੋਡ ਡਿਸਪੈਂਪੇਸ਼ਨ,ଆନୁଷ୍ଠାନିକ ଡିସପିଏସନ
ਐਨੋਡ ਕੁਸ਼ਲਤਾ,ଆନୁଷ୍ଠାନିକ ଦକ୍ଷତା |
ਐਨੋਡ ਇਨਪੁਟ ਪਾਵਰ,ଆନୁଷ୍ଠାନିକ ଇନପୁଟ୍ ଶକ୍ତି |
ਐਡੀਡ ਦੀ ਵਰਤੋਂ,ଆନୁଷ୍ଠାନିକ ମୋଡୁଲେସନ୍ |
ਐਂਟੀਨਾ,ଆଣ୍ଟେନା |
ਐਂਟੀਨਾ ਬੀਅਵਿਡਥ,ଆଣ୍ଟେନା ବିମ୍ୱିଡଥ୍ |
ਐਂਟੀਨਾ ਬੂਸਟਰ,ଆଣ୍ଟେନା ବୁଷ୍ଟର୍ |
ਐਂਟੀਨਾ ਬਦਲਾਓ ਸਵਿੱਚ,ଆଣ୍ଟେନା ପରିବର୍ତ୍ତନକାରୀ ସୁଇଚ୍ |
ਐਂਟੀਨਾ ਕੋਇਲ,ଆଣ୍ଟେନା କୋଇଲ୍ |
ਐਟੀਨਨਾ ਕੌਂਫਿਗਰੇਸ਼ਨ,ଆଣ୍ଟେନା ବିନ୍ୟାସ
ਐਂਟੀਨਾ ਕਪਲਰ,ଆଣ୍ଟେନା କପଟର୍ |
ਐਂਟੀਨਾ ਕਰਾਸ ਪੋਲਰ ਪੈਟਰਨ,ଆଣ୍ଟେନା କ୍ରସ୍ ପୋଲାର୍ ପ୍ୟାଟର୍ |
ਐਂਟੀਨਾ ਮੌਜੂਦਾ,ଆଣ୍ଟେନା କରେଣ୍ଟ୍ |
ਐਂਟੀਨਾ ਡਾਇਰੈਕਟਰਵਿਟੀ ਲਾਭ,ଆଣ୍ଟେନା ପ୍ରତ୍ୟକ୍ଷ ପ୍ରତ୍ୟକ୍ଷ ଲାଭ |
ਐਂਟੀਨਾ ਡੁਪਲੈਕਸਰ,ଆଣ୍ଟେନା ଡୁପ୍ଲେକ୍ସର |
ਐਂਟੀਨਾ ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਖੇਤਰ,ଆଣ୍ଟେନା ପ୍ରଭାବଶାଳୀ କ୍ଷେତ୍ର |
ਐਂਟੀਨਾ ਕੁਸ਼ਲਤਾ,ଆଣ୍ଟେନା ଦକ୍ଷତା |
ਐਂਟੀਨਾ ਫੀਡ,ଆଣ୍ଟେନା ଫିଡ୍ |
ਐਂਟੀਨਾ ਪੈਰ ਪ੍ਰਿੰਟ,ଆଣ୍ଟେନା ପାଦ ପ୍ରିଣ୍ଟ୍ |
ਐਂਟੀਨਾ ਲਾਭ,ଆଣ୍ଟେନା ଲାଭ
ਐਂਟੀਨਾ ਉਚਾਈ,ଆଣ୍ଟେନା ଉଚ୍ଚତା |
ਐਂਟੀਨਾ ਪ੍ਰੇਸ਼ਾਨ,ଆଣ୍ଟେନା ପ୍ରତିରକ୍ଷା |
ਐਂਟੀਨਾ ਇੰਡਸੀਕਟੈਂਸ,ଆଣ୍ଟେନା ଇଣ୍ଡିକାନ୍ସ |
ਐਂਟੀਨਾ ਪੈਟਰਨ,ଆଣ୍ଟେନା ପାଟର୍ନ |
ਐਂਟੀਨਾ ਪਲੇਕਸਰ,ଆଣ୍ଟେନା ପ୍ଲେକ୍ସର୍ |
ਐਂਟੀਨਾ ਧਰੁਵੀਕਰਨ,ଆଣ୍ଟେନା ପୋଲାରାଇଜେସନ୍ |
ਐਂਟੀਨਾ ਪਾਵਰ,ଆଣ୍ଟେନା ଶକ୍ତି |
ਐਂਟੀਨਾ ਪਾਵਰ ਲਾਭ,ଆଣ୍ଟେନା ପାୱାର ଲାଭ |
ਐਂਟੀਨਾ ਰੇਡੀਏਸ਼ਨ ਟਾਕਰਾ,ଆଣ୍ଟିନା ବିକିରଣ ପ୍ରତିରୋଧ |
ਐਂਟੀਨਾ ਪ੍ਰਤੀਕ੍ਰਿਆ,ଆଣ୍ଟେନା ପ୍ରତିକ୍ରିୟା |
ਐਂਟੀਨਾ ਰਿਫਲੈਕਟਰ,ଆଣ୍ଟେନା ରିଫଲେକ୍ଟର |
ਐਂਟੀਨਾ ਟਾਕਰੇ,ଆଣ୍ଟେନା ପ୍ରତିରୋଧ
ਐਂਟੀਨਾ ਗੂੰਜਕ ਬਾਰੰਬਾਰਤਾ,ଆଣ୍ଟେନା ପର୍ଯ୍ୟଟକଗଣ ବିସ୍ତାରିତ ଫ୍ରିକ୍ୱେନ୍ସି |
ਐਂਟੀਨਾ ਸਪੇਸਿੰਗ,ଆଣ୍ଟେନା ବ୍ୟବଧାନ |
ਐਂਟੀਨਾ ਸਵਿਚਿੰਗ ਰੂਮ,ଆଣ୍ଟେନା ସୁଇଚ୍ ରୁମ୍ |
ਐਂਟੀਨਾ ਟਿ ing ਨਿੰਗ ਕੋਇਲ,ଆଣ୍ଟେନା ଟ୍ୟୁନିଂ କୋଇଲ୍ |
ਐਂਟੀਨਾ ਟਿ ing ਨਿੰਗ ਹੱਟ,ଆଣ୍ଟେନା ଟ୍ୟୁନିଂ ହାଟ |
ਅਪਰਚਰ,ଆପେଚର
ਅਪੋਜੀ,ଆପୋଲେଜ୍
ਅਪੋਜੀ ਰਾਕੇਟ,ଆପୋଲେ ରକେଟ୍ |
ਉਪਕਰਣ,ଉପକରଣ
ਸਪੱਸ਼ਟ,ସ୍ପଷ୍ଟ
ਐਪਲਿਟ,ଆପଲେଟ୍
ਐਪਲੀਕੇਸ਼ਨ,ପ୍ରୟୋଗ
ਲਗਭਗ,ଆନୁମାନିକ
Aquive ਹੱਲ,ଜଳପ୍ରବାହକାରୀ ସମାଧାନ |
ਆਰਕ,ଆର୍କ
ਆਰਕੀਟੈਕਚਰ,ସ୍ଥାପତ୍ୟ
ਧੁਨੀ ਰਿਕਾਰਡਿੰਗ ਦਾ ਆਰਕਵਲ ਟ੍ਰਾਂਸਫਰ,ଶବ୍ଦ ରେକର୍ଡିଂର ଅଭିଲେଖାଗାର ସ୍ଥାନାନ୍ତର |
ਪੁਰਾਲੇਖ,ଅଭିଲେଖାଗାର
ਹਿਸਾਬ ਕੋਡਿੰਗ,ଗାଣିତିକ କୋଡିଂ |
ਆਰਮਚਰ,ଅର୍ଗର
ਆਰਮਟਿ ure ਟਰ ਹਵਾ,ଅରତା ପବନ
ਐਰੇ,ଆରେ
ਅਰੈਸਟਰ,ଆରେଷ୍ଟ୍ରର୍
ਬਿਆਨ,ଆର୍ଟଲେସନ୍
ਆਰਟੀਫੈਕਟ (= ਆਰਟਫੈਕਟ),କଳାକୃତି (= କଳାକୃତି)
ਚੜ੍ਹਨਾ,ଆରୋହଣ
ਆਕਾਰ ਅਨੁਪਾਤ,ଆନୁମାନିକ ଅନୁପାତ
ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ,ଏକତ୍ରିତ |
ਜ਼ੋਰ,ଧାରଣା
ਅਸਾਈਨਮੈਂਟ,ଆସାଇନମେଣ୍ଟ
ਅਸਾਈਨਮੈਂਟ ਚੈਨਲ,ଆସାଇନମେଣ୍ଟ ଚ୍ୟାନେଲ୍ |
ਅਸਮੈਟ੍ਰਿਕਲ,ଅସମାନଗତ
ਅਸਿੰਕਰੋਨਸ,ଅସନ୍ତୁଳିତ
ਵਾਤਾਵਰਣ,ବାୟୁମଣ୍ଡଳ
ਵਾਯੂਮੰਡਲ ਦਾ ਨੁਕਸਾਨ,ବାୟୁମଣ୍ଡଳୀୟ କ୍ଷତି |
ਵਾਯੂਮੰਡਲ ਸ਼ੋਰ,ବାୟୁମଣ୍ଡଳୀୟ ଶବ୍ଦ |
ਵਾਯੂਮੰਡਲ ਦਾ ਦਬਾਅ,ବାୟୁମଣ୍ଡଳୀୟ ଚାପ |
ਵਾਯੂਮੰਡਲ ਪ੍ਰਸਾਰ,ବାୟୁମଣ୍ଡଳୀୟ ପ୍ରସାର |
ਵਾਯੂਮੰਡਲ ਰੇਡੀਓ-ਵੇਵ,ବାୟୁମଣ୍ଡଳୀୟ ରେଡିଓ-ତରଙ୍ଗ |
ਵਾਯੂਮੰਡਲ,ବାୟୁମଣ୍ଡଳ
ਐਟਮ,ପରମାଣୁ
ਪ੍ਰਮਾਣੂ ਬਣਤਰ,ପରମାଣୁ ଗଠନ
ਲਗਾਵ,ସଂଲଗ୍ନ
ਪਟੀਸ਼ਨ,ସାଧନ
ਅਟੁੱਟ ਨੁਕਸਾਨ,ଆଟେନେସନ୍ କ୍ଷତି |
ਅਵਾਜ਼ ਦੀਆਂ ਲਹਿਰਾਂ ਦਾ ਧਿਆਨ,ଶବ୍ଦ ତରଙ୍ଗର ଆଭିମୁଖ୍ୟ |
