Gujarati,Tamil
મૂળભૂત આઉટપુટ,அடிப்படை வெளியீடு
મૂળભૂત પગલું,அடிப்படை படி
બેચ,தொகுதி
બેચ ફાઇલ,தொகுதி கோப்பு
બેચ સ્થિતિ,தொகுதி நிலை
બેચ પ્રક્રિયા,தொகுதி செயலாக்கம்
બેચ સિસ્ટમ,தொகுதி அமைப்பு
બાઉડ,பாட்
બાઉડ દર,பாட் விகிதம்
બીમ,உத்திரம்
બેન્ચમાર્ક,அளவுகோல்
દ્વિદિશ સંચાર,இருதரப்பு தொடர்பு
દ્વિદિશ લિંક,இருதரப்பு இணைப்பு
દ્વિસંગી કોડ,பைனரி குறியீடு
દ્વિસંગી અંક,பைனரி இலக்கம்
બાઈનરી ઇનપુટ આઉટપુટ સિસ્ટમ (BIOS),பைனரி உள்ளீட்டு வெளியீட்டு அமைப்பு (பயாஸ்)
દ્વિસંગી સંખ્યા,பைனரி எண்
બાઈનરી ઓપરેટર,பைனரி ஆபரேட்டர்
દ્વિસંગી સંબંધ,பைனரி உறவு
દ્વિસંગી શોધ,பைனரி தேடல்
દ્વિસંગી શોધ વૃક્ષ (BST),பைனரி தேடல் மரம் (BST)
બાઈનરી ટ્રાન્સફર,பைனரி பரிமாற்றம்
દ્વિસંગી વૃક્ષ,பைனரி மரம்
બાયપોલર મેમરી,இருமுனை நினைவகம்
જન્મ મૃત્યુ મોડેલ,பிறப்பு இறப்பு மாதிரி
જન્મ મૃત્યુ પ્રક્રિયા,பிறப்பு இறப்பு செயல்முறை
બીટ,பிட்
થોડી ખામી,சிறிய தவறு
બીટ નકશો,பிட் வரைபடம்
બીટ મેપ પિક્સેલ (BMP),பிட் மேப் பிக்சல் (BMP)
બીટ મેટ્રિક્સ,பிட் மேட்ரிக்ஸ்
બીટ પેટર્ન,பிட் முறை
બીટ સ્થિતિ,பிட் நிலை
બીટ દર,பிட் விகிதம்
બ્લેક બોક્સ પરીક્ષણ,கருப்பு பெட்டி சோதனை
ઝબકવું,கண் சிமிட்டுதல்
બ્લોક,தொகுதி
બ્લોક કેશ,தொகுதி தற்காலிக சேமிப்பு
બ્લોક ચેક,தடுப்பு சோதனை
બ્લોક નકલ,தொகுதி நகல்
રેખાક્રુતિ,தொகுதி வரைபடம்
બ્લોકીંગ નેટવર્ક,பிணையத்தைத் தடுக்கிறது
પાટીયું,பலகை
પુસ્તક ચિહ્ન,புத்தககுறி
બુલિયન બીજગણિત,பூலியன் இயற்கணிதம்
બુલિયન સંબંધ,பூலியன் உறவு
બુટ પાર્ટીશન,துவக்க பகிர்வு
બુટ strapping,பூட் ஸ்ட்ராப்பிங்
બુટ-સ્ટ્રેપ લોડર,பூட்-ஸ்ட்ராப் ஏற்றி
પુલ,பாலம்
બ્રોડબેન્ડ નેટવર્કિંગ,பிராட்பேண்ட் நெட்வொர்க்கிங்
પ્રસારણ,ஒளிபரப்பு
પ્રસારણ રેડિયો,ஒலிபரப்பு வானொலி
બ્રાઉઝ કરો,உலவ
બ્રાઉઝર,உலாவி
બી-ટ્રી,பி-மரம்
બબલ મેમરી,குமிழி நினைவகம்
બબલ સૉર્ટ,குமிழி வகை
ડોલ,வாளி
મિત્ર સિસ્ટમ,நண்பர் அமைப்பு
બજેટ અસરકારક નિયંત્રણ,பட்ஜெட் பயனுள்ள கட்டுப்பாடு
બફર,தாங்கல்
ભૂલ,பிழை
બસ,பேருந்து
બાઈટ,பைட்
બાઈટ કોડ,பைட் குறியீடு
c,c
C++,C++
કેશ,தற்காலிக சேமிப்பு
કેશ બફર,கேச் தாங்கல்
કેશ મેમરી,கேச் நினைவகம்
ગણતરી,கணக்கீடு
કેલ્ક્યુલેટર,கால்குலேட்டர்
કેલ્ક્યુલેટર ચિપ,கால்குலேட்டர் சிப்
કૉલ,அழைப்பு
નામથી બોલાવો,பெயரால் அழைக்கவும்
સંદર્ભ દ્વારા કૉલ કરો,குறிப்பு மூலம் அழைப்பு
મૂલ્ય દ્વારા કૉલ કરો,மதிப்பு மூலம் அழைப்பு
ચલ દ્વારા કૉલ કરો,மாறிகள் மூலம் அழைப்பு
કૉલ ગેટ,அழைப்பு வாயில்
રદ કરો,ரத்து செய்
રદ કરો બટન,ரத்து பொத்தான்
પ્રમાણભૂત,நியமனம்
પ્રમાણભૂત સ્વરૂપ,நியமன வடிவம்
ક્ષમતા,திறன்
ક્ષમતા યાદી,திறன் பட்டியல்
ક્ષમતા,திறன்
કેપ્સ લોક કી,தொப்பி பூட்டு விசை
કાર્ડ,அட்டை
કાર્ડ રીડર,கார்டு ரீடர்
મુખ્યત્વ,கார்டினாலிட்டி
વાહક,கேரியர்
વાહક બેન્ડ,கேரியர் பேண்ட்
વાહક લોડ,கேரியர் சுமை
વાહક સંકેત,கேரியர் சிக்னல்
વાહક તરંગ,கேரியர் அலை
વહન,சுமந்து செல்
વહન અંક,இலக்கத்தை எடுத்துச் செல்லுங்கள்
ધ્વજ વહન કરો,கொடியை ஏந்தி
કારતૂસ ડિસ્ક,கெட்டி வட்டு
કાસ્કેડ,அருவி
કેસ,வழக்கு
કેથોડ રે ટ્યુબ (CRT),கத்தோட் கதிர் குழாய் (CRT)
કેથોડ રે ટ્યુબ (CRT),கேத்தோடு கதிர் குழாய் (CRT)
CD ROM ડિસ્ક ડ્રાઇવ,CD ROM வட்டு இயக்கி
કોષ,செல்
સેલ એનિમેશન,செல் அனிமேஷன்
સેલ્યુલર ફોન,கை பேசி
કેન્દ્રીય મેમરી,மைய நினைவகம்
સેન્ટ્રલ પ્રોસેસિંગ યુનિટ (CPU),மத்திய செயலாக்க அலகு (CPU)
કેન્દ્રિય સિસ્ટમ,மையப்படுத்தப்பட்ட அமைப்பு
પ્રમાણિત ટેપ,சான்றளிக்கப்பட்ட நாடா
સાંકળ,சங்கிலி
સાંકળ ડેટા,சங்கிலி தரவு
સાંકળ કડી,சங்கிலி இணைப்பு
સાંકળ,சங்கிலியிடுதல்
ચેનલ,சேனல்
ચેનલ વ્યસ્ત સ્વર,சேனல் பிஸியான தொனி
ચેનલ ક્ષમતા,சேனல் திறன்
ચેનલ નિયંત્રક,சேனல் கட்டுப்படுத்தி
ચેનલ ભૂલ,சேனல் பிழை
ચેનલ કાર્યક્રમ,சேனல் நிரல்
ચેનલ વિશ્વસનીયતા,சேனல் நம்பகத்தன்மை
ચેનલ સેટ,சேனல் தொகுப்பு
પાત્ર,பாத்திரம்
અક્ષર કોડ,எழுத்து குறியீடு
અક્ષર કી,எழுத்து திறவுகோல்
પાત્ર વાચક,பாத்திர வாசகர்
અક્ષરનું કદ,எழுத்து அளவு
ચાર્ટ,விளக்கப்படம்
ચેસિસ,சேஸ்பீடம்
બીટ તપાસો,சோதனை பிட்
અંક તપાસો,எண்ணை சரிபார்க்க
રકમ તપાસો,காசோலை தொகை
શબ્દ તપાસો,சரிபார்ப்பு வார்த்தை
ચિપ,சிப்
ચિપ સેટ,சிப் தொகுப்பு
પસંદ કરો,தேர்வு
રંગીન રીતે,வர்ண ரீதியாக
સાઇફર,மறைக்குறியீடு
સર્કિટ,சுற்று
પરિપત્ર યાદી,வட்ட பட்டியல்
સિરસ,சிரஸ்
અવતરણ,மேற்கோள்
વર્ગ,வர்க்கம்
વર્ગ ચલ,வர்க்க மாறி
વર્ગીકરણ,வகைப்பாடு
ચોખ્ખુ,தெளிவானது
સ્પષ્ટ વિસ્તાર,தெளிவான பகுதி
સ્પષ્ટ ચેનલ,தெளிவான சேனல்
ક્લિક કરો,கிளிக் செய்யவும்
ગ્રાહક,வாடிக்கையாளர்
ક્લાયંટ સર્વર,கிளையன்ட் சர்வர்
ક્લાઈન્ટ સ્ટબ,கிளையன்ட் ஸ்டப்
ક્લિપ આર્ટ,சிறு படம்
ક્લિપ આર્ટ લાઇબ્રેરી,கிளிப் ஆர்ட் நூலகம்
ક્લિપ બોર્ડ,கிளிப் போர்டு
ક્લિપર,கிளிப்பர்
ક્લિપર ચિપ,கிளிப்பர் சிப்
સમૂહ,குழு
ઘડિયાળ,கடிகாரம்
ઘડિયાળ ચક્ર,கடிகார சுழற்சி
ઘડિયાળની આવર્તન,கடிகார அதிர்வெண்
ઘડિયાળ હાર્ડવેર,கடிகார வன்பொருள்
ઘડિયાળની પલ્સ,கடிகார துடிப்பு
ઘડિયાળની ઝડપ,கடிகார வேகம்
ઘડિયાળ સુમેળ,கடிகார ஒத்திசைவு
ઘડિયાળની ટીક,கடிகார டிக்
ક્લોન,குளோன்
બંધ,நெருக்கமான
ક્લોઝ સર્કિટ ટીવી (CCTV),க்ளோஸ் சர்க்யூட் டிவி (சிசிடிவி)
બંધ,மூடல்
ક્લાઉડ કમ્પ્યુટિંગ,கிளவுட் கம்ப்யூட்டிங்
ક્લસ્ટર,கொத்து
કોટેડ કાર્ડ,பூசிய அட்டை
કોટેડ કાગળ,பூசிய காகித
કોક્સિયલ,கோஆக்சியல்
કો - એક્ષેલ કેબલ,கோஆக்சியல் கேபிள்
કોડાસિલ,கோடாசில்
કોડ,குறியீடு
કોડ જનરેટર,குறியீடு உற்பத்தியாளர்
કોડ પેજ,குறியீடு பக்கம்
કોડ શબ્દ,குறியீட்டு வார்த்தை
કોડર,குறியீட்டாளர்
કોડિંગ તપાસ,குறியீட்டு சோதனை
કોડિંગ ફોર્મ,குறியீட்டு வடிவம்
કોડિંગ શીટ,குறியீட்டு தாள்
ગુણાંક,குணகம்
સુસંગતતા,இணக்கத்தைப்
ઠંડા બૂટ,குளிர் துவக்க
ઠંડી શરૂઆત,குளிர் ஆரம்பம்
સહયોગ,இணைந்து
પતન,சரிவு
કોલેટ,இணை
કોલેટ ટેપ,கோலேட் டேப்
અથડામણ,மோதல்
કોલોન,பெருங்குடல்
રંગ (રંગ),நிறம் (நிறம்)
રંગ સંતૃપ્તિ,வண்ண செறிவு
રંગ ટેબલ,வண்ண அட்டவணை
કૉલમ,நெடுவரிசை
સંયોજન,சேர்க்கை
કૉમ્બો બૉક્સ,சேர்க்கை பெட்டி
આદેશ,கட்டளை
આદેશ બટન,கட்டளை பொத்தான்
આદેશ યાદી,கட்டளை பட்டியல்
ટિપ્પણી,கருத்து
પ્રતિબદ્ધતા,அர்ப்பணிப்பு
કોમોડિટી,பண்டம்
કોમન બિઝનેસ ઓરિએન્ટેડ લેંગ્વેજ (કોબોલ),பொதுவான வணிகம் சார்ந்த மொழி (கோபோல்)
સામાન્ય ભૂલ,பொதுவான பிழை
સામાન્ય ભાષા,பொது மொழி
સામાન્ય દિનચર્યા,பொதுவான வழக்கம்
સંચાર,தொடர்பு
સંચાર લાઇન,தொடர்பு வரி
સંચાર મોડ,தொடர்பு முறை
સંચાર નેટવર્ક,தொடர்பு நெட்வொர்க்
સંચાર પરિમાણ,தொடர்பு அளவுரு
સંચાર વ્યવસ્થા,தொடர்பு அமைப்பு
કોમ્પેક્શન,சுருக்கம்
કમ્પેન્ડર,தளபதி
સંયોજન,இணைத்தல்
કંપની નેટવર્ક,நிறுவனத்தின் நெட்வொர்க்
સરખામણી કસોટી,ஒப்பீட்டு சோதனை
સુસંગતતા,பொருந்தக்கூடிய தன்மை
સુસંગત,இணக்கமான
સંકલન,தொகுத்தல்
કમ્પાઇલ કરો અને જાઓ,தொகுத்து செல்ல
કમ્પાઇલર,தொகுப்பி
કમ્પાઇલર ભાષા,தொகுக்கும் மொழி
પૂરક,நிரப்பு
દસ પર પૂરક,நிரப்பு-பத்து
પૂરક,பூர்த்தி செய்பவர்
સંપૂર્ણ વહન,முழு சுமந்து
જટિલ,சிக்கலான
જટિલ સંખ્યા,சிக்கலான எண்
ઘટક,கூறு
કમ્પોનન્ટ ઑબ્જેક્ટ મોડલ (COM),கூறு பொருள் மாதிரி (COM)
સંયુક્ત,கூட்டு
રચના,கலவை
કોમ્પ્યુટેશનલ,கணக்கீட்டு
કમ્પ્યુટર,கணினி
કમ્પ્યુટર કેન્દ્ર,கணினி மையம்
કમ્પ્યુટર નિષ્ણાત,கணினி நிபுணர்
કમ્પ્યુટર ગ્રાફિક્સ,கணினி வரைகலை
કમ્પ્યુટર સૂચના,கணினி அறிவுறுத்தல்
કમ્પ્યુટર ભાષા,கணினி மொழி
કમ્પ્યુટર નેટવર્ક,கணினி வலையமைப்பு
કમ્પ્યુટર વિજ્ઞાન,கணினி அறிவியல்
કમ્પ્યુટર સુરક્ષા,கணினி பாதுகாப்பு
કમ્પ્યુટર સિમ્યુલેટન,கணினி உருவகப்படுத்துதல்
કમ્પ્યુટર નિષ્ણાત,கணினி நிபுணர்
કોમ્પ્યુટરાઇઝેશન,கணினிமயமாக்கல்
કમ્પ્યુટરિસ્ટ,கணினி நிபுணர்
કમ્પ્યુટરાઇઝેશન,கணினிமயமாக்கு
કમ્પ્યુટિંગ,கம்ப்யூட்டிங்
ખ્યાલ,கருத்து
સંમતિ,ஒத்திசைவு
સમવર્તી,ஒரே நேரத்தில்
સ્થિતિ ચલ,நிலை மாறி
શરતી ઓપરેટર,நிபந்தனை ஆபரேட்டர்
શરતી નિવેદન,நிபந்தனை அறிக்கை
વાહક,நடத்துனர்
કોન્ફરન્સિંગ,மாநாடு
ગોપનીયતા,இரகசியத்தன்மை
રૂપરેખાંકન,கட்டமைப்பு
ભીડ,நெரிசல்
જોડાણમાં,இணைப்பு
કનેક્ટ ગતિ,இணைப்பு வேகம்
જોડાણ,இணைப்பு
કનેક્શન ઓછું સંચાર,இணைப்பு குறைவான தொடர்பு
જોડાણ પ્રકાશન,இணைப்பு வெளியீடு
કનેક્ટિવિટી,இணைப்பு
કનેક્ટર,இணைப்பான்
સળંગ,தொடர்ச்சியாக
પરિણામે,அதன் விளைவாக
કન્સોલ,பணியகம்
એકીકરણ,ஒருங்கிணைப்பு
સતત,நிலையான
સતત સૂચના,நிலையான அறிவுறுத்தல்
અવરોધ,கட்டுப்பாடு
કન્સ્ટ્રક્ટર,கட்டமைப்பாளர்
કન્ટેનર,கொள்கலன்
