Bengali,Telugu
সংক্ষিপ্ত বিবরণ,ఎక్రోనిం
অ্যাকশন এরিয়া,కార్యాచరణ ప్రాంతం
সক্রিয় ফিলামেন্ট,సక్రియం చేయబడిన ఫిలమెంట్
সক্রিয়,క్రియాశీల
সক্রিয় এলাকা,క్రియాశీల ప్రాంతం
সক্রিয় উইন্ডো,క్రియాశీల విండో
অভিযোজনযোগ্যতা,అనుకూలత
অ্যাডাপ্টার (অ্যাডাপ্টার),అడాప్టర్
অভিযোজিত ডিফারেনশিয়াল পালস কোড মড্যুলেশন,అడాప్టివ్ డిఫరెన్షియల్ పల్స్ కోడ్ మాడ్యులేషన్
ঠিকানা বই,చిరునామా పుస్తకం
ঠিকানা বাস,చిరునామా బస్సు
ঠিকানা রেজোলিউশন,చిరునామా తీర్మానం
সংলগ্ন চ্যানেল হস্তক্ষেপ,ప్రక్కనే ఉన్న ఛానల్ జోక్యం
সংলগ্ন চ্যানেল নির্বাচন,ప్రక్కనే ఉన్న ఛానల్ సెలెక్టివిటీ
সংলগ্ন ফ্রিকোয়েন্সি,ప్రక్కనే ఉన్న ఫ్రీక్వెన్సీ
সংলগ্ন ফ্রিকোয়েন্সি চ্যানেল,ప్రక్కనే ఉన్న ఫ్రీక్వెన్సీ ఛానల్
সংলগ্ন ছবি ক্যারিয়ার,ప్రక్కనే ఉన్న పిక్చర్ క్యారియర్
সংলগ্ন সাউন্ড ক্যারিয়ার,ప్రక్కనే ఉన్న సౌండ్ క్యారియర్
সংলগ্ন স্টেশন,ప్రక్కనే ఉన్న స్టేషన్
সামঞ্জস্যযোগ্য,సర్దుబాటు
সামঞ্জস্যযোগ্য কনডেন্সার,సర్దుబాటు కండెన్సర్
সামঞ্জস্য চাপ,సర్దుబాటు ఒత్తిడిని
সামঞ্জস্য করা রেঞ্চ,రెంచ్ సర్దుబాటు
সামঞ্জস্য,సర్దుబాటు
প্রশাসক,నిర్వాహకుడు
উন্নত প্রযুক্তি,అధునాతన సాంకేతిక పరిజ్ఞానం
এরিয়াল,ఆకాశయాన
এরিয়াল অ্যারে,వైమానిక శ్రేణి
এরিয়াল বুস্টার,వైమానిక బూస్టర్
এরিয়াল কারেন্ট,వైమానిక ప్రవాహం
এরিয়াল আর্থিং সুইচ,వైమానిక ఎర్తింగ్ స్విచ్
বায়বীয় দক্ষতা,వైమానిక సామర్థ్యం
বায়বীয় প্রতিবন্ধকতা,వైమానిక ఇంపెడెన్స్
এরিয়াল ইন্ডাক্ট্যান্স,వైమానిక ఇండక్టెన్స్
এরিয়াল ইনসুলেটর,వైమానిక అవాహకం
এরিয়াল লোডিং কয়েল,వైమానిక లోడింగ్ కాయిల్
আকাশ থেকে ছবি তোলা,వైమానిక ఫోటోగ్రఫీ
বায়বীয় শক্তি,వైమానిక శక్తి
বায়বীয় বিকিরণ পুনর্নির্মাণ,వైమానిక రేడియేషన్ రీస్టెన్స్
বায়বীয় বিক্রিয়া,వైమానిక ప్రతిచర్య
এয়ারোডাইনামিক্স,ఏరోడైనమిక్స్
এজেন্সি,ఏజెన్సీ
বায়ু সংকোচকারী,వాయువుని కుదించునది
এয়ার কনডেন্সার,ఎయిర్ కండెన్సర్
ঠান্ডা বাতাস,గాలి చల్లబడింది
বায়ু কর্ড কয়েল,ఎయిర్ కోర్డ్ కాయిల్
এয়ারকন্ডিশনিং,ఎయిర్ కండిషనింగ్
আলবেডো,ఆల్బెడో
অ্যালগরিদম,అల్గోరిథం
এলিয়াসিং,అలియాసింగ్
সারিবদ্ধ,సమలేఖనం
প্রান্তিককরণ,అమరిక
সমস্ত তরঙ্গ বিমান,అన్ని వేవ్ వైమానిక
বরাদ্দ,కేటాయింపు
বর্ণমালা,అక్షరాలు
বর্ণমালা,ఆల్ఫాన్యూమరిక్
আলফানিউমেরিক চরিত্র,ఆల్ఫాన్యూమరిక్ పాత్ర
আলফানিউমেরিক তথ্য,ఆల్ఫాన్యూమరిక్ సమాచారం
বিকল্প বর্তমান (এ.সি.),ప్రత్యామ్నాయ కరెంట్ (a.c.)
বিকল্প,ప్రత్యామ్నాయం
বিকল্প,ఆల్టర్నేటర్
উচ্চতা,ఎత్తు
অপোজির উচ্চতা,పొక్కు ఎత్తు
পেরিগির উচ্চতা,మూత యొక్క ఎత్తు
অপেশাদার রেডিও যোগাযোগ,Te త్సాహిక రేడియో కమ్యూనికేషన్
পরিবেশ,వాతావరణం
পরিবেশ মাইক্রোফোন,వాతావరణ మైక్రోఫోన్
পরিবেষ্টিত অবস্থা,పరిసర పరిస్థితి
পরিবেষ্টনকারী আলো,పరిసర లైటింగ్
পরিবেষ্টিত শব্দ,పరిసర శబ్దం
পরিবেষ্টিত তাপমাত্রা,పరిసర ఉష్ణోగ్రత
আমেরিকান স্ট্যান্ডার্ড কোড,అమెరికన్ స్టాండర్డ్ కోడ్
অ্যাম্পিয়ার,Ampere
অ্যাম্পের মিটার,ఆంపియర్ మీటర్
পরিবর্ধন,విస్తరణ
প্রশস্তকরণ ফ্যাক্টর,యాంప్లిఫికేషన్ కారకం
পরিবর্ধক,యాంప్లిఫైయర్
পরিবর্ধক লাভ,యాంప్లిఫైయర్ లాభం
পরিবর্ধক শব্দ,యాంప్లిఫైయర్ శబ్దం
পরিবর্ধক সরঞ্জাম,పరికరాలను విస్తరించడం
ক্লাইস্ট্রনকে প্রশস্তকরণ,క్లైస్ట్రాన్ విస్తరించడం
পরিবর্ধক ইউনিট,యాంప్లిఫైయింగ్ యూనిట్
প্রশস্ততা,వ్యాప్తి
প্রশস্ততা বিকৃতি,వ్యాప్తి వక్రీకరణ
প্রশস্ততা ভ্রমণ,వ్యాప్తి విహారయాత్ర
প্রশস্ততা ফ্যাক্টর,వ్యాప్తి కారకం
প্রশস্ততা সীমাবদ্ধ,వ్యాప్తి పరిమితి
প্রশস্ততা মোডুলেটেড,వ్యాప్తి మాడ్యులేటెడ్
প্রশস্ততা মড্যুলেশন,యాంప్లిట్యూడ్ మాడ్యులేషన్
অ্যানালগ (অ্যানালগ),అనలాగ్ (అనలాగ్)
অ্যানালগ সার্কিট,అనలాగ్ సర్క్యూట్
অ্যানালগ কম্পিউটার,అనలాగ్ కంప్యూటర్
অ্যানালগ রেডিও ফ্রিকোয়েন্সি চ্যানেল,ఫ్రీక్వెన్సీ ఛానల్
অ্যানালগ উপস্থাপনা,అనలాగ్ ప్రాతినిధ్యం
এনালগ সংকেত,అనలాగ్ సిగ్నల్
ডিজিটাল অ্যানালগ,డిజిటల్‌కు అనలాగ్
ডিজিটাল কনভার্টারে অ্যানালগ,డిజిటల్ కన్వర్టర్‌కు అనలాగ్
অ্যানালগ ভিডিও,అనలాగ్ వీడియో
সাদৃশ্য,సారూప్యత
উপমা,సారూప్యత
বিশ্লেষণ,విశ్లేషణ
ডেটা বিশ্লেষণ,డేటా యొక్క విశ్లేషణ
বিশ্লেষণাত্মক ঘনত্ব,విశ్లేషణాత్మక సాంద్రత
বিশ্লেষণ করুন,విశ్లేషించడానికి
বিশ্লেষক,ఎనలైజర్
আনুষঙ্গিক সরঞ্জাম,సహాయక పరికరాలు
এবং গেট,మరియు గేట్
কলিমেশন কোণ,కొలిమేషన్ యొక్క కోణం
মেরুকরণের কোণ,ధ్రువణ కోణం
ঘূর্ণনের কোণ,భ్రమణ కోణం
অ্যাংস্ট্রোম (Å),గోరు
কৌণিক,కోణీయ
কৌণিক ত্বরণ,కోణీయ త్వరణం
কৌণিক সমন্বয়,కోణీయ సమన్వయాలు
কৌণিক ডিফ্লেশন,కోణీయ విక్షేపం
কৌণিক বিচ্ছুরণ,కోణీయ చెదరగొట్టడం
কৌণিক স্থানচ্যুতি,కోణీయ స్థానభ్రంశం
কৌণিক ত্রুটি,కోణీయ లోపం
কৌণিক কম্পাংক,కోణీయ పౌన .పున్యం
কৌণিক ভরবেগ,కోణీయ మొమెంటం
কৌণিক গতি,కోణీయ కదలిక
কৌণিক বেগ,కోణీయ వేగం
অ্যানিমেশন,యానిమేషన్
আনোড,యానోడ్
আনোড ব্যাটারি,యానోడ్ బ్యాటరీ
অ্যানোড বৈশিষ্ট্য,యానోడ్ లక్షణం
আনোড সার্কিট,యానోడ్ సర్క్యూట్
অ্যানোড অপচয়,యానోడ్ వెదజల్లడం
আনোড দক্ষতা,యానోడ్ సామర్థ్యం
আনোড ইনপুট শক্তি,యానోడ్ ఇన్పుట్ శక్తి
অ্যানোড মড্যুলেশন,యానోడ్ మాడ్యులేషన్
অ্যান্টেনা,యాంటెన్నా
অ্যান্টেনা বিমউইথ,యాంటెన్నా బీమ్విడ్త్
অ্যান্টেনা বুস্টার,యాంటెన్నా బూస్టర్
অ্যান্টেনা চেঞ্জওভার সুইচ,యాంటెన్నా చేంజ్ఓవర్ స్విచ్
অ্যান্টেনা কয়েল,యాంటెన్నా కాయిల్
অ্যান্টেনা কনফিগারেশন,యాంటెన్నా కాన్ఫిగరేషన్
অ্যান্টেনা কাপলার,యాంటెన్నా కప్లర్
অ্যান্টেনা ক্রস পোলার প্যাটার্ন,యాంటెన్నా క్రాస్ ధ్రువ నమూనా
অ্যান্টেনা কারেন্ট,యాంటెన్నా కరెంట్
অ্যান্টেনা ডাইরেক্টিভিটি লাভ,యాంటెన్నా డైరెక్టివిటీ లాభం
অ্যান্টেনা ডুপ্লেক্সার,యాంటెన్నా డ్యూప్లెక్సర్
অ্যান্টেনা কার্যকর অঞ্চল,యాంటెన్నా ప్రభావవంతమైన ప్రాంతం
অ্যান্টেনা দক্ষতা,యాంటెన్నా సామర్థ్యం
অ্যান্টেনা ফিড,యాంటెన్నా ఫీడ్
অ্যান্টেনা ফুট প্রিন্ট,యాంటెన్నా ఫుట్ ప్రింట్
এন্টেনা,యాంటెన్నా లాభం
অ্যান্টেনার উচ্চতা,యాంటెన్నా ఎత్తు
অ্যান্টেনা প্রতিবন্ধকতা,యాంటెన్నా ఇంపెడెన్స్
অ্যান্টেনা ইন্ডাক্ট্যান্স,యాంటెన్నా ఇండక్టెన్స్
অ্যান্টেনা প্যাটার্ন,యాంటెన్నా నమూనా
অ্যান্টেনা প্লেক্সার,యాంటెన్నా ప్లెక్సర్
অ্যান্টেনা মেরুকরণ,యాంటెన్నా ధ్రువణత
অ্যান্টেনা শক্তি,యాంటెన్నా శక్తి
অ্যান্টেনা পাওয়ার লাভ,యాంటెన్నా శక్తి లాభం
অ্যান্টেনা বিকিরণ প্রতিরোধের,యాంటెన్నా రేడియేషన్ నిరోధకత
অ্যান্টেনা প্রতিক্রিয়া,యాంటెన్నా రియాక్టెన్స్
অ্যান্টেনা প্রতিচ্ছবি,యాంటెన్నా రిఫ్లెక్టర్
অ্যান্টেনা প্রতিরোধের,యాంటెన్నా నిరోధకత
অ্যান্টেনা অনুরণিত ফ্রিকোয়েন্সি,యాంటెన్నా ప్రతిధ్వని ఫ్రీక్వెన్సీ
অ্যান্টেনা ব্যবধান,యాంటెన్నా స్పేసింగ్
অ্যান্টেনা স্যুইচিং রুম,యాంటెన్నా స్విచింగ్ రూమ్
অ্যান্টেনা টিউনিং কয়েল,యాంటెన్నా ట్యూనింగ్ కాయిల్
অ্যান্টেনা টিউনিং হাট,యాంటెన్నా ట్యూనింగ్ హట్
অ্যাপারচার,ఎపర్చరు
অপোজি,అపోజీ
অ্যাপোজি রকেট,అపోజీ రాకెట్
যন্ত্রপাতি,ఉపకరణం
আপাত,స్పష్టంగా
অ্যাপলেট,ఆప్లెట్
আবেদন,అప్లికేషన్
আনুমানিক,సుమారు
জলীয় সমাধান,అక్వేస్ ద్రావణం
আর্ক,ఆర్క్
আর্কিটেকচার,వాస్తుశిల్పం
সাউন্ড রেকর্ডিংয়ের সংরক্ষণাগার স্থানান্তর,సౌండ్ రికార్డింగ్ యొక్క ఆర్కైవల్ బదిలీ
সংরক্ষণাগার,ఆర్కైవ్స్
গাণিতিক কোডিং,అంకగణిత కోడింగ్
আর্মার,ఆర్మేచర్
আর্ম্যাচার বাতাস,ఆర్మేచర్ వైండింగ్
অ্যারে,అమరిక
অ্যারেস্টার,అరేస్టర్
বক্তৃতা,ఉచ్చారణ
আর্টিফ্যাক্ট (= আর্টফ্যাক্ট),(= కళాఖండము
আরোহী,ఆరోహణ
আনুমানিক অনুপাত,కారక నిష్పత్తి
এসেম্বলার,సమీకరించేవాడు
দাবী,వాదన
অ্যাসাইনমেন্ট,అప్పగింత
অ্যাসাইনমেন্ট চ্যানেল,అసైన్‌మెంట్ ఛానల్
অসম্পূর্ণ,అసమాన
অ্যাসিঙ্ক্রোনাস,అసమకాలిక
বায়ুমণ্ডল,వాతావరణం
বায়ুমণ্ডলীয় ক্ষতি,వాతావరణ నష్టం
বায়ুমণ্ডলীয় শব্দ,వాతావరణ శబ్దం
বায়ুমণ্ডলীয় চাপ,వాతావరణ పీడనం
বায়ুমণ্ডলীয় প্রচার,వాతావరణ ప్రచారం
বায়ুমণ্ডলীয় রেডিও-তরঙ্গ,వాతావరణ రేడియో-వేవ్
বায়ুমণ্ডল,వాతావరణం
পরমাণু,అణువు
পারমাণবিক গঠন,అణు నిర్మాణం
সংযুক্তি,అటాచ్మెంట్
মনোযোগ,అటెన్యుయేషన్
মনোযোগ ক্ষতি,అటెన్యుయేషన్ నష్టం
শব্দ তরঙ্গের মনোযোগ,ధ్వని తరంగాల యొక్క అటకన
অ্যাটেনুয়েটর,అటెన్యూయేటర్
অ্যাটেনুয়েটর-প্যাড,అటెన్యూయేటర్-ప్యాడ్
অডিবিলিটি থ্রেশহোল্ড,విడిబిలిటీ థ్రెషోల్డ్
শ্রুতিমধুর,వినగల
শ্রুতিমধুর ফ্রিকোয়েন্সি,వినగల ఫ్రీక్వెన్సీ
শ্রুতিমধুর সুর,వినగల స్వరం
শ্রুতি-বর্ণালী,వినగల-స్పెక్ట్రం
শ্রোতা,ప్రేక్షకులు
শ্রুতি,ఆడియో
অডিও পরিবর্ধক,ఆడియో యాంప్లిఫైయర్
অডিও বিশ্লেষক,ఆడియో ఎనలైజర్
অডিও সম্প্রচার,ఆడియో ప్రసారం
অডিও কেবল,ఆడియో కేబుల్
অডিও চেইন,ఆడియో గొలుసు
অডিও কোডেক,ఆడియో కోడెక్
অডিও সংক্ষেপণ,ఆడియో కుదింపు
অডিও সংক্ষেপক,ఆడియో కంప్రెసర్
অডিও কনসোল,ఆడియో కన్సోల్
অডিও বিকৃতি,ఆడియో వక్రీకరణ
অডিও গতিশীল পরিসীমা,ఆడియో డైనమిక్ పరిధి
অডিও ফাইল ফর্ম্যাট,ఆడియో ఫైల్ ఫార్మాట్
অডিও ফ্রেম ফর্ম্যাট,ఆడియో ఫ్రేమ్ ఫార్మాట్
অডিও ফ্রিকোয়েন্সি পরিবর্ধক,ఆడియో ఫ్రీక్వెన్సీ యాంప్లిఫైయర్
অডিও ফ্রিকোয়েন্সি জেনারেটর,ఆడియో ఫ్రీక్వెన్సీ జనరేటర్
অডিও ফ্রিকোয়েন্সি ব্যাপ্তি,ఆడియో ఫ్రీక్వెన్సీ పరిధి
অডিও ফ্রিকোয়েন্সি প্রতিক্রিয়া,ఆడియో ఫ్రీక్వెన్సీ ప్రతిస్పందన
অডিও সীমাবদ্ধ,ఆడియో పరిమితి
অডিও লাইন,ఆడియో లైన్
অডিও মিক্সার,ఆడియో మిక్సర్
অডিও মড্যুলেশন,ఆడియో మాడ్యులేషన్
অডিও দোলক,ఆడియో ఓసిలేటర్
অডিও আউটপুট,ఆడియో అవుట్పుట్
অডিও শক্তি,ఆడియో శక్తి
অডিও মানের,ఆడియో నాణ్యత
অডিও সংকেত,ఆడియో సిగ్నల్
অডিও সিগন্যাল প্রসেসিং,ఆడియో సిగ్నల్ ప్రాసెసింగ్
অডিও বর্ণালী,ఆడియో స్పెక్ట్రం
অডিও স্টোরেজ,ఆడియో నిల్వ
অডিও সাব-ক্যারিয়ার,ఆడియో సబ్ క్యారియర్
অডিও ট্রান্সফর্মার,ఆడియో ట్రాన్స్ఫార్మర్
অডিও ট্রান্সমিটার,ఆడియో ట్రాన్స్మిటర్
অডিও/ভিডিও সংক্ষেপণ,శ్రవణ/వీడియో కుదింపు
অডিও-ফ্রিকোয়েন্সি দোলক,ఆడియో-ఫ్రీక్వెన్సీ ఓసిలేటర్
অডিও-ফ্রিকোয়েন্সি সিগন্যাল,ఆడియో-ఫ్రీక్వెన్సీ సిగ్నల్
অডিওমেট্রি,ఆడియోమెట్రీ
অডিও-ভিজ্যুয়াল সহায়তা,ఆడియో-విజువల్ ఎయిడ్
শ্রুতি উপলব্ধি,శ్రవణ అవగాహన
প্রমাণীকরণ,ప్రామాణీకరణ
অনুমোদিত ক্যারিয়ার ফ্রিকোয়েন্সি,అధీకృత క్యారియర్ ఫ్రీక్వెన్సీ
অটো ক্যাড,ఆటో క్యాడ్
অটো ডায়াগনস্টিকস,ఆటో డయాగ్నస్టిక్స్
স্বয়ংক্রিয়,ఆటోమేటిక్
স্বয়ংক্রিয় নিয়ন্ত্রণ,స్వయంచాలక నియంత్రణ
স্বয়ংক্রিয় সনাক্তকরণ,ఆటోమేటిక్ డిటెక్షన్
স্বয়ংক্রিয় সরঞ্জাম,స్వయంచాలక పరికరాలు
স্বয়ংক্রিয় ফ্রিকোয়েন্সি নিয়ন্ত্রণ,ఆటోమేటిక్ ఫ్రీక్వెన్సీ కంట్రోల్
স্বয়ংক্রিয় সীমাবদ্ধ,ఆటోమేటిక్ లిమిటర్
স্বয়ংক্রিয় মেশিন,ఆటోమేటిక్ మెషిన్
স্বয়ংক্রিয় ফ্যাসি নিয়ন্ত্রণ,ఆటోమేటిక్ ఫేసే నియంత్రణ
স্বয়ংক্রিয় চিত্র সংক্রমণ,ఆటోమేటిక్ పిక్చర్ ట్రాన్స్మిషన్
স্বয়ংক্রিয় প্লেব্যাক,ఆటోమేటిక్ ప్లేబ్యాక్
স্বয়ংক্রিয় শক্তি নিয়ন্ত্রণ,ఆటోమేటిక్ పవర్ కంట్రోల్
স্বয়ংক্রিয় প্রোগ্রামিং,ఆటోమేటిక్ ప్రోగ్రామింగ్
স্বয়ংক্রিয় রেকর্ডিং,ఆటోమేటిక్ రికార్డింగ్
স্বয়ংক্রিয় রিসেট,ఆటోమేటిక్ రీసెట్
স্বয়ংক্রিয় শাটার,ఆటోమేటిక్ షట్టర్
স্বয়ংক্রিয় সিস্টেম,ఆటోమేటిక్ సిస్టమ్
স্বয়ংক্রিয় টেলিফোন,ఆటోమేటిక్ టెలిఫోన్
স্বয়ংক্রিয় তাপমাত্রা নিয়ন্ত্রণ,స్వయంచాలక ఉష్ణోగ్రత నియంత్రణ
স্বয়ংক্রিয় ভোল্টেজ নিয়ন্ত্রক,ఆటోమేటిక్ వోల్టేజ్ రెగ్యులేటర్
স্বয়ংক্রিয় ভলিউম সংক্ষেপক,ఆటోమేటిక్ వాల్యూమ్ కంప్రెసర్
স্বয়ংক্রিয় ভলিউম নিয়ন্ত্রণ,ఆటోమేటిక్ వాల్యూమ్ కంట్రోల్
স্বয়ংক্রিয় ভলিউম এক্সপেন্ডার,ఆటోమేటిక్ వాల్యూమ్ ఎక్స్‌పాండర్
অটোমেশন,ఆటోమేషన్
অটোমেশন নিয়ন্ত্রণ,ఆటోమేషన్ నియంత్రణ
অটোমেশন ফ্রিকোয়েন্সি নিয়ামক,ఆటోమేషన్ ఫ్రీక్వెన్సీ కంట్రోలర్
সহায়ক,సహాయక
সহায়ক অডিও বাস,సహాయక ఆడియో బస్సు
উপলব্ধ শক্তি,అందుబాటులో ఉన్న శక్తి
তুষারপাত ভাঙ্গন,హిమపాతం విచ్ఛిన్నం
গড় আয়ু,సగటు జీవితం
গড় চাপ,సగటు పీడనం
গড় গতি,సగటు వేగం
স্পিনের অক্ষ,స్పిన్ యొక్క అక్షం
আজিমুথ,అజిముత్
আজিমুথ কোণ,అజిముత్ కోణం
আজিমুথ ত্রুটি,అజిముత్ లోపం
পিছনে আলো,బ్యాక్ లైట్
পিছনে অভিক্ষেপ,బ్యాక్ ప్రొజెక్షన్
ব্যাক ভোল্টেজ (= বিপরীত ভোল্টেজ),వెనుక వోల్టేజ్ (= రివర్స్ వోల్టేజ్)
ব্যাকফায়ার (আর্ক ব্যাক),బ్యాక్‌ఫైర్ (ఆర్క్ బ్యాక్)
পটভূমি আলো,నేపథ్య కాంతి
পিছনের শব্দ,వెనుకవైపు శబ్ధం
পটভূমি প্রক্ষেপণ,నేపథ్య ప్రొజెక్షన్
ব্যাকআপ,బ్యాకప్
বাফেল,అడ్డుపడే
বেকিং,బేకింగ్
সুষম অডিও,సమతుల్య ఆడియో
ভারসাম্যহীন অডিও লাইন,సమతుల్య ఆడియో లైన్
সুষম সংক্রমণ লাইন,సమతుల్య ప్రసార రేఖ
ভারসাম্য,బ్యాలెన్సింగ్
ব্যালাস্ট,బ్యాలస్ట్
ব্যালাস্ট ফ্যাক্টর,బ్యాలస్ట్ కారకం
বালুন,బలున్
ব্যান্ড,బ్యాండ్
ব্যান্ড পাস ফিল্টার,బ్యాండ్ పాస్ ఫిల్టర్
ব্যান্ড নির্বাচক,బ్యాండ్ సెలెక్టర్
ব্যান্ড বিভাজন,బ్యాండ్ విభజన
ব্যান্ড স্টপ ফিল্টার,బ్యాండ్ స్టాప్ ఫిల్టర్
ব্যান্ড সুইচ,బ్యాండ్ స్విచ్
ব্যান্ড টিউনিং,బ్యాండ్ ట్యూనింగ్
ব্যান্ডউইথ,బ్యాండ్‌విడ్త్
বার,బార్
বার কোড,బార్ కోడ్
বার ডেটা,బార్ డేటా
বেয়ার ব্যান্ড,బేర్ బ్యాండ్
বেয়ার ল্যাম্প,బేర్ లాంప్
শস্যাগার দরজা,బార్న్ డోర్
বেস ব্যান্ড,బేస్ బ్యాండ్
বেস ব্যান্ড সিগন্যাল,బేస్ బ్యాండ్ సిగ్నల్
বেস ব্যান্ড সিস্টেম,బేస్ బ్యాండ్ వ్యవస్థ
বেস ব্রাউজার,బేస్ బ్రౌజర్
বেস কালেক্টর জংশন,బేస్ కలెక్టర్ జంక్షన్
বেস ইনসুলেটর,బేస్ ఇన్సులేటర్
বাস,బాస్
বাস ক্ষতিপূরণ,బాస్ పరిహారం
বাস লাউডস্পিকার (ওফার),బాస్ లౌడ్‌స్పీకర్ (వూఫర్)
ব্যাচ স্ক্যানিং,బ్యాచ్ స్కానింగ్
ব্যাটারি চার্জ হইতেছে,బ్యాటరీ ఛార్జింగ్
মরীচি,బీమ్
বীট,బీట్
বীট ফ্রিকোয়েন্সি দোলক,బీట్ ఫ్రీక్వెన్సీ ఓసిలేటర్
বেল,బెల్
পক্ষপাত,బయాస్
বায়াস সার্কিট,బయాస్ సర్క్యూట్
বায়াস ফ্রিকোয়েন্সি,బయాస్ ఫ్రీక్వెన్సీ
অত্যাধিক ভোল্টেজ,బయాస్ వోల్టేజ్
সামনের দিকে পক্ষপাতদুষ্ট,ఫార్వర్డ్ దిశలో పక్షపాతం
দ্বি-দিকনির্দেশক মাইক্রোফোন,ద్వి-దిశాత్మక మైక్రోఫోన్
বিলবোর্ড,బిల్‌బోర్డ్
বিলবোর্ড অ্যাপ্লিকেশন,బిల్‌బోర్డ్ అప్లికేషన్
দ্বি-ধাতব উপাদান,ద్వి-మెటాలిక్ మూలకం
বাইনারি,బైనరీ
বাইনারি কোডেড দশমিক,బైనరీ కోడెడ్ దశాంశం
বাইনারি অঙ্ক (বিট),బైనరీ అంకెలు
বাইনারি সংখ্যা,బైనరీ సంఖ్య
বাইনোরাল শুনানি,బైనరల్ హియరింగ్
বাইনোকুলার,బైనాక్యులర్
বায়োমেট্রিক,బయోమెట్రిక్
বাইপোলার ট্রানজিস্টর,బైపోలార్ ట్రాన్సిస్టర్
বিট বরাদ্দ,బిట్ కేటాయింపు
বিট রেট,బిట్ రేటు
কালো এবং সাদা টিভি,బ్లాక్ & వైట్ టీవీ
ফাঁকা,ఖాళీ
ফাঁকা ব্যবধান,ఖాళీ విరామం
ব্ল্যাঙ্কিং স্তর,బ్లాంకింగ్ స్థాయి
ব্লিডার প্রতিরোধের,బ్లీడర్ రెసిస్టెన్స్
ব্লিমড ক্যামেরা,బ్లింపెడ్ కెమెరా
অন্ধ ঝলক,బ్లైండింగ్ గ్లేర్
পলক,బ్లింక్
জ্বলজ্বল,బ్లింకింగ్
ব্লক কোড,బ్లాక్ కోడ్
ব্লক ডায়াগ্রাম,బ్లాక్ రేఖాచిత్రం
