Malayalam,Bengali
അടുത്തുള്ള ഡൊമെയ്ൻ,সংলগ্ন ডোমেন
തൊട്ടടുത്തുള്ള മാട്രിക്സ്,সংলগ্ন ম্যাট্রিক্স
തൊട്ടടുത്തുള്ള നോഡ്,সংলগ্ন নোড
തൊട്ടടുത്തുള്ള സുബരിയ,সংলগ্ন সুবেরিয়া
കസ്റ്റേഴ്സ് (സിസ്റ്റം),স্থগিত (সিস্টেম)
കമപ്പെടുത്തുക,সামঞ্জস্য করুন
ക്രമീകരിക്കാവുന്ന പരിധി,সামঞ্জস্যযোগ্য মাত্রা
ടെക്സ്റ്റ് മോഡ് ക്രമീകരിക്കുക,পাঠ্য মোড সামঞ্জস্য করুন
അഡ്മിനിസ്ട്രേറ്റീവ് ഡാറ്റ പ്രോസസ്സിംഗ്,প্রশাসনিক ডেটা প্রসেসিং
അഡ്മിനിസ്ട്രേറ്റീവ് പ്രവർത്തനം,প্রশাসনিক অপারেশন
അഡ്മിനിസ്ട്രേറ്റീവ് ഓപ്പറേറ്റർ,প্রশাসনিক অপারেটর
അഡ്മിനിസ്ട്രേറ്റീവ് ഓപ്പറേറ്റർ സ്റ്റേഷൻ,প্রশাসনিক অপারেটর স্টেশন
അഡ്മിനിസ്ട്രേറ്റീവ് സപ്പോർട്ട് സിസ്റ്റം,প্রশাসনিক সহায়তা সিস্টেম
നൂതന ആശയവിനിമയ സേവനം,উন্নত যোগাযোগ পরিষেবা
വിപുലമായ വിവര സിസ്റ്റം,উন্নত তথ্য সিস্টেম
വിപുലമായ ഒപ്റ്റിക്കൽ പ്രതീക റീഡർ,উন্নত অপটিক্যাল চরিত্র পাঠক
വിപുലമായ ശാസ്ത്ര കമ്പ്യൂട്ടർ,উন্নত বৈজ্ঞানিক কম্পিউটার
ഏരിയൽ,এরিয়াল
ആകെത്തുകയായുള്ള,সমষ্টি
മൊത്തം എക്സ്പ്രഷൻ,সামগ্রিক অভিব্যক্তি
ലക്ഷ്യമിടുന്നു,লক্ষ্য বৃত্ত
ലക്ഷ്യമിടുന്ന ഫീൽഡ് (= ലക്ഷ്യമിടുന്നത്),লক্ষ্য ক্ষেত্র (= লক্ষ্য প্রতীক)
എഡിയൽ ചിഹ്നം,লক্ষ্য প্রতীক
എയർബോൺ കമ്പ്യൂട്ടർ സിസ്റ്റം,বায়ুবাহিত কম্পিউটার সিস্টেম
ബീജഗണിത ഐജൻവാലു പ്രശ്നം,বীজগণিত ইগেনভ্যালু সমস্যা
"ബീജഗണിത
 സംയോജനം","বীজগণিত
 মিশ্রণ"
ബീജഗണിത ഭാഷ,বীজগণিত ভাষা
ബീജഗണിത കൃത്രിമത്വം,বীজগণিত হেরফের
ബീജഗണിത കൃത്രിമ ഭാഷ,বীজগণিত ম্যানিপুলেশন ভাষা
ബീജഗണിത ഓറിയന്റഡ് ഭാഷ,বীজগণিতমুখী ভাষা
ബീജഗണിത മാറ്റം,বীজগণিত শিফট
ബീജഗണിത ചിഹ്ന കൺവെൻഷൻ,বীজগণিত সাইন কনভেনশন
അൽഗോൾ,অ্যালগল
അൽഗോൾ സവിശേഷത,অ্যালগল বৈশিষ্ট্য
അൽഗോൾ പ്രോഗ്രാമിംഗ്,অ্যালগল প্রোগ্রামিং
അൽഗോരിതം,অ্যালগরিদম
അൽഗോരിതം അസോസിയേറ്റീവ് ഭാഷ,অ্যালগরিদম সহযোগী ভাষা
അൽഗോരിതം വർഗ്ഗീകരണം,অ্যালগরিদম শ্রেণিবিন্যাস
അൽഗോരിതം സങ്കീർണ്ണത,অ্যালগরিদম জটিলতা
അൽഗോരിതം കേസബിലിറ്റി,অ্যালগরিদম গণনাযোগ্যতা
അൽഗോരിത്ത്മിക് വിശകലനം,অ্যালগরিদমিক বিশ্লেষণ
അൽഗോരിത്തിസ് സമീപനം,অ্যালগরিদমিক পদ্ধতির
അൽഗോറിത്ത്മിക് ഭാഷ,অ্যালগরিদমিক ভাষা
അൽഗോരിഥമ്മിക് പതിവ്,অ্যালগরিদমিক রুটিন
അൽഗോരിതംസിക് സിദ്ധാന്തം,অ্যালগরিদমিক তত্ত্ব
അപരാഭിധാനം,ওরফে
അപരനാത്മകം,এলিয়াসিং
അപരനാമം (= ഇതര പേര്),ওরফে নাম (= বিকল্প নাম)
വിന്യാപകമായ,প্রান্তিককরণ
നീക്കിവയ്ക്കുക,বরাদ্দ
അലോക്കേഷൻ ഘടന,বরাদ্দ কাঠামো
എല്ലാ ഉദ്ദേശ്യ കമ്പ്യൂട്ടറും,সমস্ত উদ্দেশ্যমূলক কম্পিউটার
അക്ഷരമാല പ്രതീകം,বর্ণমালা চরিত্র
അക്ഷരമാല പ്രതീക സെറ്റ്,বর্ণমালা চরিত্র সেট
അക്ഷരമാല പ്രതീക സബ്സെറ്റ്,বর্ণমালা চরিত্রের সাবসেট
അക്ഷരമാല കോഡ്,বর্ণমালা কোড
അക്ഷരമാല മാറ്റം,বর্ণমালা শিফট
അക്ഷരമാല സ്ട്രിംഗ്,বর্ণমালা স্ট্রিং
അക്ഷരമാല വാക്ക്,বর্ণমালা শব্দ
അക്ഷരമാലാളം,বর্ণমালা
ആഫറാമോമെട്രിക്സ്,আলফেজোমেট্রিক্স
ആഫളാചിക്,বর্ণমালা
ആൽഫമോസയ്ക്ക്,আলফামোসাইক
ആൽഫാന്യൂമെറിക്,বর্ণমালা
ആൽഫാന്യൂമെറിക്കൽ കീബോർഡ് ഉപകരണം,আলফানুমারিকাল কীবোর্ড ডিভাইস
ആൽഫാന്യൂമെറിക് പ്രതീക സെറ്റ്,আলফানিউমেরিক চরিত্র সেট
ആൽഫാന്യൂമെറിക് കോഡ്,আলফানিউমেরিক কোড
ആൽഫാന്യൂമെറിക് കോഡ്ഡ് പ്രതീക സെറ്റ്,আলফানিউমেরিক কোডেড চরিত্র সেট
ആൽഫാന്യൂമെറിക് ഡാറ്റ,আলফানিউমেরিক ডেটা
ആൽഫാന്യൂമെറിക് ഡിസ്പ്ലേ ഉപകരണം,আলফানিউমেরিক ডিসপ্লে ডিভাইস
ആൽഫാന്യൂമെറിക് എഡിറ്റുചെയ്ത പ്രതീകം,আলফানিউমেরিক সম্পাদিত চরিত্র
ആൽഫാന്യൂമെറിക് ഫീൽഡ്,আলফানিউমেরিক ফিল্ড
ആൽഫാന്യൂമെറിക് നിർദ്ദേശം,বর্ণমালা নির্দেশ
ആൽഫാന്യൂമെറിക് കീബോർഡ്,আলফানিউমেরিক কীবোর্ড
ആൽഫാന്യൂമെറിക് തരം,আলফানিউমেরিক বাছাই
ആൽഫാന്യൂമെറിക് സംഭരണം,আলফানিউমেরিক স্টোরেজ
മാറ്റം വരുത്തുന്നതിന് മെമ്മറി,পরিবর্তনযোগ্য মেমরি
മാറ്റങ്ങൾ സ്വിച്ച്,পরিবর্তন সুইচ
മാറ്റം,পরিবর্তন
മാറ്റ മോഡ്,পরিবর্তন মোড
ഇതര വീണ്ടെടുക്കൽ,বিকল্প পুনরুদ্ধার
ഇതര റൂട്ട്,বিকল্প রুট
ഇതര റൂട്ടിംഗ്,বিকল্প রাউটিং
ഇതര ട്രാക്ക്,বিকল্প ট্র্যাক
ഇതര (= അല്ലെങ്കിൽ പ്രവർത്തനം),বিকল্প (= বা অপারেশন)
ഇതര ആട്രിബ്യൂട്ട്,বিকল্প বৈশিষ্ট্য
"ഇതര നിഷേധം (= അല്ല, പ്രവർത്തനം)",বিকল্প অস্বীকার (= না-অপারেশন)
അവ്യക്തത പിശക്,অস্পষ্টতা ত্রুটি
അവ്യക്തമായ റഫറൻസ്,অস্পষ্ট রেফারেন্স
അനാലോഗ്,অ্যানালগ
അനലോഗ് അഡെർ,অ্যানালগ অ্যাডার
അനലോഗ് ചാനൽ,অ্যানালগ চ্যানেল
അനലോഗ് കമ്പ്യൂട്ടർ,অ্যানালগ কম্পিউটার
അനലോഗ് കൺവെർട്ടർ,অ্যানালগ রূপান্তরকারী
അനലോഗ് ഡാറ്റ,অ্যানালগ ডেটা
അനലോഗ് ഡിവൈഡർ,অ্যানালগ বিভাজক
അനലോഗ് ഫെസിലിറ്റി ടെർമിനൽ,অ্যানালগ সুবিধা টার্মিনাল
"അനലോഗ് ഫംഗ്ഷൻ
 വൈദുതോല്പാദനയന്തം","অ্যানালগ ফাংশন
 জেনারেটর"
അനലോഗ് സംയോജനം,অ্যানালগ ইন্টিগ্রেশন
അനലോഗ് ഗുണിതം,অ্যানালগ গুণক
അനലോഗ് പ്രോഗ്രാമിംഗ്,অ্যানালগ প্রোগ্রামিং
അനലോഗ് സ്കെയിലിംഗ്,অ্যানালগ স্কেলিং
അനലോഗ് സിഗ്നൽ,এনালগ সংকেত
അനലോഗ് സിമുലേഷൻ,অ্যানালগ সিমুলেশন
അനലോഗ് സ്വിച്ച്,অ্যানালগ সুইচ
അനലോഗ് സിസ്റ്റം,অ্যানালগ সিস্টেম
"ഡിജിറ്റലിലേക്കുള്ള അനലോഗ്
 കൺവെർട്ടർ","ডিজিটাল অ্যানালগ
 রূপান্তরকারী"
"ഡിജിറ്റലിലേക്കുള്ള അനലോഗ്
 എൻകോഡർ","ডিজিটাল অ্যানালগ
 এনকোডার"
അനലോഗ് ട്രാൻസ്മിഷൻ,অ্যানালগ সংক্রমণ
അനലോഗ് തരം,অ্যানালগ প্রকার
വിശകലന ബ്ലോക്ക്,বিশ্লেষণ ব্লক
വിശകലന മോഡ്,বিশ্লেষণ মোড
അനലിറ്റിക്കൽ എഞ്ചിൻ,বিশ্লেষণাত্মক ইঞ্জিন
പൂർവ്വിക ചുമതല,পৈতৃক কাজ
അനുബന്ധ ഉപകരണങ്ങൾ,আনুষঙ্গিক সরঞ্জাম
ഒപ്പം,এবং
സർക്യൂട്ട്,এবং সার্কিট
ഘടകവും,এবং উপাদান
ഗേറ്റിലും,এবং গেট
മാസ്കിംഗ്,এবং মাস্কিং
പ്രവർത്തനമല്ല (= ഒഴിവാക്കൽ,এবং অপারেশন নয় (= বর্জন
പ്രവർത്തനവും,এবং অপারেশন
അനെക്സ് മെമ്മറി,সংযুক্তি স্মৃতি
വ്യാഖ്യാനിലും,টীকা
Annnuniator,ঘোষণা
ഉത്തരം തിരികെ,উত্তর পাঠাও
ഉത്തരം കാലതാമസം,উত্তর দেরি
ഉത്തരം നൽകുന്നു,উত্তর সময়
ഉത്തര വിളക്ക്,উত্তর প্রদীপ
ഉത്തരം പട്ടിക,উত্তর তালিকা
ഉത്തരം മാത്രം,শুধুমাত্র উত্তর
പ്രതീക്ഷ മോഡ്,প্রত্যাশা মোড
മുൻകൂട്ടി ബഫറിംഗ്,প্রত্যাশিত বাফারিং
മുൻകൂട്ടി കാരി,প্রত্যাশিত বহন
മുൻകൂട്ടി പങ്കിടൽ,প্রত্যাশিত পেজিং
ആന്റിക്കോസിൻസ് പ്രവർത്തനം,অ্যান্টিকোয়েনসেন্স অপারেশন
Anticoicient ഘടകം,অ্যান্টিকোইনসেন্টেন্ট উপাদান
അപ്രൈയോഡിക് ആന്റിന,অ্যাপেরিওডিক অ্যান্টেনা
അപ്പർച്ചർ കാർഡ്,অ্যাপারচার কার্ড
അപ്പർച്ചർ കോഡ്,অ্যাপারচার কোড
അപ്പർച്ചർ സമയം,অ্যাপারচার সময়
അനുബന്ധം,সংযোজন
അനുബന്ധ ചുമതല,অ্যাপেন্ডেজ টাস্ক
അപ്ലിക്കേഷൻ ഡെവലപ്പർ,অ্যাপ্লিকেশন ডেভেলপার
ആപ്ലിക്കേഷൻ ലെയർ,আবেদন স্তর
ആപ്ലിക്കേഷൻ ഓറിയന്റഡ് ഭാഷ,অ্যাপ্লিকেশন ভিত্তিক ভাষা
ആപ്ലിക്കേഷൻ പാക്കേജ്,অ্যাপ্লিকেশন প্যাকেজ
അപ്ലിക്കേഷൻ പ്രോഗ്രാം,এপ্লিকেশন প্রোগ্রাম
അപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ്,অ্যাপ্লিকেশন প্রোগ্রামিং
അപേക്ഷ ആവശ്യമായ ഭാഷ,অ্যাপ্লিকেশন প্রয়োজনীয় ভাষা
അപ്ലിക്കേഷൻ സോഫ്റ്റ്വെയർ,অ্যাপ্লিকেশন সফ্টওয়্যার
പേഷൻ,অ্যাপ্লিক
ഏകദേശ സിദ്ധാന്തം,আনুমানিক তত্ত্ব
അനിയന്ത്രിതമായ പ്രവേശനം,স্বেচ্ছাসেবী অ্যাক্সেস
അനിയന്ത്രിതമായ ശ്രേണി കമ്പ്യൂട്ടർ,স্বেচ্ছাসেবী সিকোয়েন্স কম্পিউটার
മാദ്ധസ്ഥം,সালিশ
വാസ്തുവിദ,আর্কিটেকচার
ശേഖരം,সংরক্ষণাগার
ഏരിയ കോഡ്,এরিয়া কোড
ഏരിയ തിരയൽ,অঞ্চল অনুসন্ধান
ഏരിയ കൈമാറ്റം,অঞ্চল স্থানান্তর
ഏരിയ വേരിയബിൾ,অঞ্চল পরিবর্তনশীল
വാദം,যুক্তি
വാദം വിലാസം,যুক্তি ঠিকানা
ആർദ്ര ലിസ്റ്റ്,যুক্তি তালিকা
അരിറ്റെറ്റിക്കൽ നിർദ്ദേശം,গাণিতিক নির্দেশ
"അരിത്മെറ്റിക്, ലോജിക് യൂണിറ്റ്",গাণিতিক এবং যুক্তি ইউনিট
അരിത്മെറ്റിക് അസൈൻമെന്റ് സ്റ്റേറ്റ്മെന്റ്,গাণিতিক অ্যাসাইনমেন্ট বিবৃতি
ഗണിത പരിശോധന,গাণিতিক চেক
അരിത്മെറ്റിക് സ്ഥിരാങ്കം,পাটিগণিত ধ্রুবক
അരിത്മെറ്റിക് പരിവർത്തനം,গাণিতিক রূপান্তর
അരിത്മെറ്റിക് ഡാറ്റ,গাণিতিক ডেটা
ഗണിത അപവാദം,পাটিগণিত ব্যতিক্রম
അരിത്മെറ്റിക് എക്സ്പ്രഷൻ,গাণিতিক অভিব্যক্তি
അരിത്മെറ്റിക് നിശ്ചിത പോയിന്റ്,গাণিতিক স্থির পয়েন্ট
അരിത്മെറ്റിക് ശ്രേണി,পাটিগণিত শ্রেণিবিন্যাস
പ്രസ്താവനയാണെങ്കിൽ അരിത്മെറ്റിക്,বিবৃতি যদি গাণিতিক
അരിത്മെറ്റിക് ലോജിക്,গাণিতিক যুক্তি
അരിത്മെറ്റിക് ലോജിക് യൂണിറ്റ്,গাণিতিক যুক্তি ইউনিট
അരിത്മെറ്റിക് പ്രവർത്തനം,পাটিগণিত অপারেশন
അരിത്മെറ്റിക് ഓപ്പറേറ്റർ,পাটিগণিত অপারেটর
അരിത്മെറ്റിക് ഓവർഫ്ലോ,পাটিগণিত ওভারফ্লো
അരിത്മെറ്റിക് പിക്ചർ ഡാറ്റ,গাণিতিক ছবির ডেটা
ഗണിത മുൻഗണന,গাণিতিক অগ্রাধিকার
അരിത്മെറ്റിക് പ്രൈമറി,গাণিতিক প্রাথমিক
അരിത്മെറ്റിക് രജിസ്റ്റർ,গাণিতিক নিবন্ধ
അരിത്മെറ്റിക് ബന്ധം,গাণিতিক সম্পর্ক
അരിത്മെറ്റിക് സ്കാൻ,গাণিতিক স্ক্যান
അരിത്മെറ്റിക് വിഭാഗം,গাণিতিক বিভাগ
അരിത്മെറ്റിക് ഷിഫ്റ്റ്,গাণিতিক শিফট
അരിത്മെറ്റിക് ഷിഫ്റ്റിംഗ്,গাণিতিক স্থানান্তর
ഗണിത പ്രസ്താവന,পাটিগণিত বিবৃতি
അരിത്മെറ്റിക് ടേം,গাণিতিক শব্দ
അരിത്മെറ്റിക് അണ്ടർഫ്ലോ,পাটিগণিত আন্ডারফ্লো
അരിത്മെറ്റിക് യൂണിറ്റ്,গাণিতিক ইউনিট
ശേണി,অ্যারে
അറേ ബന്ധിത,অ্যারে বাউন্ড
അറേ കമ്പ്യൂട്ടർ,অ্যারে কম্পিউটার
അറേ അളവ്,অ্যারে মাত্রা
അറേ ഘടകം,অ্যারে উপাদান
ശ്രമരീതി,অ্যারে এক্সপ্রেশন
അറേ പേര്,অ্যারের নাম
ഘടനകളുടെ നിര,কাঠামোর অ্যারে
അറേ പ്രിന്റിംഗ്,অ্যারে প্রিন্টিং
അറേ പ്രോസസ്സിംഗ്,অ্যারে প্রসেসিং
അറേ പ്രോസസർ,অ্যারে প্রসেসর
ആർട്ടിക്കേഷൻ പോയിന്റ്,বক্তৃতা পয়েন্ট
കൃത്രിമ കോഗ്നിഷൻ,কৃত্রিম জ্ঞান
നിർമ്മിത ബുദ്ധി,কৃত্রিম বুদ্ধিমত্তা
