Kannada,Telugu
ವಯಸ್ಸಾದ ಪ್ರಕ್ರಿಯೆ,వృద్ధాప్య ప్రక్రియ
ಅಗೆಲೈ,అగెలై
ಅಶ್ವದಳದ ವಯಸ್ಸು,శౌర్య యుగం
ಜ್ಞಾನೋದಯದ ವಯಸ್ಸು,జ్ఞానోదయం వయస్సు
ಪೆರಿಕಲ್ಸ್ ವಯಸ್ಸು,పెరికిల్స్ వయస్సు
ಕಾರಣದ ವಯಸ್ಸು,కారణం వయస్సు
ಕೃಷಿಧರ್ಮ,వ్యవసాయం
ಕೃಷಿ ಚಳುವಳಿ,వ్యవసాయ ఉద్యమం
ಅಲ್ಬಿಯಾನ್,అల్బియాన్
ಆಲ್ಬಮ್,ఆల్బమ్
ಆಲ್ಡರ್ಮನ್,ఆల్డర్మాన్
ಸೂಚಿಸುವ ತೋಳುಗಳು,అల్లుడు చేతులు
ಸೌಹಾರ್ದತೆ,సఖ్యత
ಆಂಫಿಕ್ಟಿಯೋನಿಕ್ ಕೌನ್ಸಿಲ್,యాంఫిక్యోనిక్ కౌన్సిల్
ಆಂಫಿಕ್ಟಿಯೋನಿಕ್ ಲೀಗ್,యాంఫిక్యోనిక్ లీగ్
ಆಂಫಿಥಿಯೇಟರ್,యాంఫీ థియేటర్
ಅಮ್ರಿ ನಲ್ ಗುಂಪು (ಕುಂಬಾರಿಕೆ),అమ్రి నల్ గ్రూప్ (కుండల)
ಅನಾಕ್ರೊನಿಸಂ,అనాక్రోనిజం
ಅನಾಕ್ರೊನಿಸ್ಟಿಕ್,అనాక్రోనిస్టిక్
ಪೂರ್ವಜ,పూర్వీకుడు
ಪೂರ್ವಜರ ಆರಾಧನೆ,పూర్వీకుల ఆరాధన
ಪೂರ್ವಜರು,పూర్వీకులు
ಪೂರ್ವಜರು,పూర్వీకులు
ಪೂರ್ವಜರು,పూర్వీకులు
ಪೂರ್ವಜರು,పూర్వీకులు
ಪ್ರಾಚೀನ ಆಡಳಿತ,ప్రాచీన పాలన
ಪ್ರಾಚೀನ,ప్రాచీన
ಪ್ರಾಚೀನ ಲಾವಣಿ,పురాతన బల్లాడ్
ಪ್ರಾಚೀನ ನಂಬಿಕೆ,పురాతన నమ్మకం
ಪ್ರಾಚೀನ ಪದ್ಧತಿ,ప్రాచీన ఆచారం
ಪುರಾತನ ಇತಿಹಾಸ,పురాతన చరిత్ర
ಪ್ರಾಚೀನ ಸ್ಮಾರಕಗಳು,పురాతన స్మారక చిహ్నాలు
ಉಪಾಖ್ಯಾನ,ఉదంతము
ಏಂಜೆಲೋಟ್,ఏంజెలోట్
ಏಂಜೆಲಸ್,ఏంజెలస్
ಆಂಜೆವಿನ್ (=ಆಂಜೆವಿನ್),అంజివిన్ (=అంజెవిన్)
ಕೋನಗಳು,కోణాలు
ಆಂಗ್ಲಿಕನ್,ఆంగ్లికన్
ಆಂಗ್ಲಿಕನ್ ಕಮ್ಯುನಿಯನ್,ఆంగ్లికన్ కమ్యూనియన్
ಆಂಗ್ಲಿಕನಿಸಂ,ఆంగ్లికనిజం
ಆಂಗ್ಲೋ-ಫೋಬ್,ఆంగ్లో-ఫోబ్
ಆಂಗ್ಲೋ-ಫೋಬಿಯಾ,ఆంగ్లో-ఫోబియా
ಆಂಗ್ಲೋ-ಸ್ಯಾಕ್ಸನ್,ఆంగ్లో-సాక్సన్
ಆಂಗ್ಲೋ-ಸ್ಯಾಕ್ಸೋನಿಸಂ,ఆంగ్లో-సాక్సోనిజం
ಅನಾಲಿಸ್ಟ್,అన్నలిస్ట్
ಆನಲ್ಸ್,అన్నల్స్
ಅನುಬಂಧ,అనుబంధం
ಆಂಟೆ-ಬೆಲ್ಲಮ್,యాంటీ-బెల్లం
ಹಿಂದಿನ ದಿನಾಂಕ,ముందు తేదీ
ಪುರೋಹಿತಶಾಹಿ ವಿರೋಧಿ,మత వ్యతిరేకత
ವಿರೋಧಿ ಪಾದ್ರಿಗಳ ಶಾಸನ,మతాధికారుల వ్యతిరేక చట్టం
ಪ್ರಾಚೀನತೆ,ప్రాచీనకాలం
ಬಾಡಿಗೆ ವಿರೋಧಿ,వ్యతిరేక అద్దె
ಬಾಡಿಗೆ ವಿರೋಧಿ,వ్యతిరేక అద్దె
ಯೆಹೂದ್ಯ ವಿರೋಧಿ,సెమిటిజం వ్యతిరేకత
ಅಂಜಾಕ್,అంజాక్
ಅಪೆಲ್ಲಾ,అపెల్లా
ಅರಳು,అరలు
ಆರ್ಚ್ ಬಿಷಪ್,ఆర్చ్ బిషప్
ಆರ್ಚ್ ಡಚಿ,ఆర్చ్ డచీ
ಆರ್ಚ್ ಡ್ಯೂಕ್,ఆర్చ్ డ్యూక్
ಆರ್ಚೀಫ್ (=ಆರ್ಕೈವಲ್ ಸಂಗ್ರಹ),ఆర్కైఫ్ (=ఆర్కైవల్ సేకరణ)
ಆರ್ಕಿಪಿಸ್ಕೋಪೇಟ್,ఆర్కిపిస్కోపేట్
ಶ್ರೀಮಂತವರ್ಗ,దొర
ಶ್ರೀಮಂತ,దొర
ಶ್ರೀಮಂತ ಸ್ನೋಬರಿ,కులీన స్నోబరీ
ಅರಿಸ್ಟಾಟಲ್,అరిస్టాటిలియన్
ನೌಕಾಪಡೆ,ఆర్మడ
ನೌಕಾಪಡೆ (=ಸ್ಪ್ಯಾನಿಷ್ ಆರ್ಮಡಾ),ఆర్మడ (=ది స్పానిష్ ఆర్మడ)
ಶಸ್ತ್ರಾಗಾರ (=ಶಸ್ತ್ರಾಗಾರ),ఆయుధాగాడు (=ఆయుధాకారుడు)
ರಕ್ಷಾಕವಚ (=ರಕ್ಷಾಕವಚ),కవచం (=కవచం)
ಶಸ್ತ್ರಾಗಾರ,ఆయుధాగాడు
ಆರ್ಯನ್,ఆర్యన్
ಆರ್ಯನ್,ఆర్యన్
ಅಸ್ಕರಿ,అస్కారి
ನಿಯೋಜಿಸಿ,కేటాయించండి
ಅಸೈಜ್ ಮಾಡಿ,అసైజ్ చేయండి
ಅಸೈಜ್ ಮಾಡಿ,అసైజ్ చేయండి
ಅಸೈಜ್ ಮಾಡಿ,అసైజ్ చేయండి
ಅಸೈಜ್ ಆಫ್ ಆರ್ಮ್ಸ್ ಆಕ್ಟ್,అసైజ్ ఆఫ్ ఆర్మ్స్ యాక్ట్
ಅಸೈಜ್ ಆಫ್ ಡರೇನ್ ಪ್ರಸ್ತುತಿ,డారీన్ ప్రెజెంట్‌మెంట్ అసైజ్
ಮೊರ್ಟ್ &#39;ಡಿ&#39; ಪೂರ್ವಜರ ಅಸೈಜ್,మోర్ట్ &#39;D&#39; పూర్వీకుల అస్సైజ్
ಡಿಸೈಸಿನ್ ಕಾದಂಬರಿಯ ಅಸೈಜ್,అసైజ్ ఆఫ్ నవల డిస్సీసిన్
ದೌರ್ಜನ್ಯ,దారుణం
ದಾಳಿ,దాడి
ಆಲಿಕ್ ಕೌನ್ಸಿಲ್,ఆలిక్ కౌన్సిల్
ಗೆಡೆಸ್‌ನ ಕೊಡಲಿ (=ಗೆಡೆಸ್ ಕೊಡಲಿ),గెడ్డెస్ యొక్క గొడ్డలి (=ది గెడెస్ గొడ్డలి)
ಆಕ್ಸಿಸ್ (=ದಿ ರೋಮ್-ಬರ್ಲಿನ್-ಟೋಕಿಯೊ ಆಕ್ಸಿಸ್),యాక్సిస్ (=ది రోమ్-బెర్లిన్-టోక్యో యాక్సిస్)
ಬ್ಯಾಬಿಲೋನ್,బాబిలోన్
ಬ್ಯಾಬಿಲೋನಿಯನ್ ಸೆರೆಯಲ್ಲಿ (=ಬ್ಯಾಬಿಲೋನಿಯನ್ ಸೆರೆಯಲ್ಲಿ),బాబిలోనియన్ బందిఖానా (=బాబిలోనియన్ బందిఖానా)
ಬಚ್ಚನಾಳ ಭಕ್ತ,బచ్చనాల్ భక్తుడు
ಬಚ್ಚನಾಲಿಯಾ,బచ్చనాలియా
ಪದವಿ,బ్రహ్మచారి
ಬಾಗ್ದಾದ್ ಒಪ್ಪಂದ,బాగ్దాద్ ఒప్పందం
ಬಾಲ್ಕನ್ ಲೀಗ್,బాల్కన్ లీగ్
ಬಾಲ್ಕನ್ ಒಪ್ಪಂದ,బాల్కన్ ఒప్పందం
ಬಾಲ್ಕನ್ ಯುದ್ಧಗಳು,బాల్కన్ యుద్ధాలు
ಬಾಲ್ಟಿಕ್ ಒಪ್ಪಂದ,బాల్టిక్ ఒప్పందం
ಡಕಾಯಿತ,బందిపోటు
ಬ್ಯಾಂಡಂಗ್ ಸಮ್ಮೇಳನ,బాండుంగ్ కాన్ఫరెన్స్
ಬಹಿಷ್ಕಾರ,బహిష్కరణ
ಬ್ಯಾನರ್,బ్యానర్
ಅನಾಗರಿಕ,బార్బేరియన్
ಬಾರ್ಬಿಕನ್,బార్బికన్
ಬಾರ್ಡೋಲಿ ಸತ್ಯಾಗ್ರಹ,బార్డోలీ సత్యాగ్రహం
ಬಾರ್ನ್ ಬರ್ನರ್ಗಳು,బార్న్ బర్నర్స్
ಬ್ಯಾರನ್,బారన్
ಬ್ಯಾರನೇಜ್,బారోనేజ్
ಬರೋನ್ಸ್ ಮೇಜರ್,బారోన్స్ మేజర్లు
ಬ್ಯಾರನ್ಸ್ ಕಿರಿಯರು,బారోన్స్ మైనర్లు
ಬ್ಯಾರನೆಸ್,బారోనెస్
ಬ್ಯಾರೊನೆಟ್,బారోనెట్
ಬ್ಯಾರೊನೆಟೇಜ್,బారోనెటేజ్
ಬ್ಯಾರೊನೆಟೇಜ್,బారోనెటేజ్
ಬ್ಯಾರೊನೆಟ್ಸಿ,బారోనెట్సీ
ಬರೋನಿ,బారోనీ
ಬ್ಯಾರಕೂನ್,బారకూన్
ಬ್ಯಾರಕೂನ್,బారకూన్
ಬ್ಯಾರಿಕೇಡ್ (=ಬ್ಯಾರಿಕೇಡ್),బారికేడ్ (=బారికాడో)
ಬ್ಯಾರಿಕೇಡ್ (=ಬ್ಯಾರಿಕೇಡ್),బారికేడ్ (=బారికాడో)
ಬ್ಯಾರಿಕೇಡ್ (=ಬ್ಯಾರಿಕೇಡ್),బారికేడ్ (=బారికాడో)
ಮೂಲ ಶಿಬಿರ,మూల శిబిరం
ಬೆಸಿಲಿಕಾ,బసిలికా
ಬೆಸಿಲಿಕಾ,బసిలికా
ಬಸ್ತಿಲಾ,బస్తీలా
ಬಾಸ್ಟಿಲ್,బాస్టిల్
ಬಾಸ್ಟಿಲ್,బాస్టిల్
ಬ್ಯಾಟರಿ,బ్యాటరీ
ಕದನ,యుద్ధం
ಬ್ಯಾಟಲ್-ಅರೇ,బాటిల్-అరే
ಯುದ್ಧದ ಕೂಗು,యుద్ధానికి వెళ్ళే సైనికులు చేసే నినాదాలు
ಬ್ಯಾಟಲ್ ಡಿನ್,బాటిల్ డిన్
ಯುದ್ಧಭೂಮಿ,యుద్ధ క్షేత్రం
ಯುದ್ಧ ಸ್ತೋತ್ರ,యుద్ధ శ్లోకం
ಸ್ಪರ್ಸ್ ಕದನ,స్పర్స్ యుద్ధం
ಬ್ಯಾಟಲ್ ಆಫ್ ದಿ ಸ್ಟ್ಯಾಂಡರ್ಡ್,స్టాండర్డ్ యుద్ధం
ಯುದ್ಧನೌಕೆ,యుద్ధనౌక
ಯುದ್ಧನೌಕೆ-ಬಲ,యుద్ధనౌక-బలం
ಬೇಯಕ್ಸ್ ವಸ್ತ್ರ,Bayeux వస్త్రం
ದಾರಿದೀಪ,బెకన్
ದಾರಿದೀಪ ಗೋಪುರ,బెకన్ టవర్
ಬೀವರ್,బీవర్
ಬೀವರ್,బీవర్
ಸಮುದ್ರದ ಭಿಕ್ಷುಕರು,సముద్రపు బిచ్చగాళ్ళు
ಬೆಲ್ಲಿಕೋಸ್,బెల్లికోస్
ಬೆಲ್ಲಿಕೋಸ್,బెల్లికోస్
ಬೆಲ್ಲಿಕೋಸ್,బెల్లికోస్
ಬೆಲ್ಲಿಕೋಸಿಟಿ,బెల్లికోసిటీ
ಬೆಲೋನಾ,బెలోనా
ಪ್ರಯೋಜನ,ప్రయోజనం
ಧರ್ಮಗುರುಗಳ ಲಾಭ,మతపెద్దల వల్ల ప్రయోజనం
ಬೆನೆಲಕ್ಸ್,బెనెలక్స్
ಬರ್ಲಿನ್ ತೀರ್ಪು,బెర్లిన్ డిక్రీ
ಬರ್ಸರ್ಕರ್,బెర్సెర్కర్
ಬೆಸೆಂಟ್ (=ಬೆಜಾಂಟ್),బెసెంట్ (=బెజాంట్)
ಬೆತೆಲ್,బేతేలు
ಗ್ರಂಥಪಾಲಕ,గ్రంథకర్త
ಗ್ರಂಥಾರಾಧನೆ,గ్రంథారాధన
ದೊಡ್ಡ ಬರ್ತಾ,బిగ్ బెర్తా
ಮತಾಂಧ,మతోన్మాదుడు
ಬಿಲ್ಲೆಟಿಂಗ್,బిల్లేటింగ్
ಅಟೈಂಡರ್ ಬಿಲ್,అటెయిండర్ బిల్లు
ಹಕ್ಕುಗಳ ಮಸೂದೆ,హక్కుల చట్టం
ಜೀವನಚರಿತ್ರೆಕಾರ,జీవిత చరిత్ర రచయిత
ಜನ್ಮ ಕಥೆಗಳು,జన్మ కథలు
ತಾತ್ಕಾಲಿಕ,తాత్కాలిక శిబిరం
ತಾತ್ಕಾಲಿಕ,తాత్కాలిక శిబిరం
ತಾತ್ಕಾಲಿಕ,తాత్కాలిక శిబిరం
ಬಿಜೋನಿಯಾ,బిజోనియా
ಕಪ್ಪು ಪಕ್ಷಿಗಳು,బ్లాక్ బర్డింగ్
ಕಪ್ಪು ಬಾವುಟ,నల్ల జండా
ಕಪ್ಪು ರಂಧ್ರ,కృష్ణ బిలం
ಕಪ್ಪು ರಂಧ್ರ,కృష్ణ బిలం
ಕಪ್ಪು ಕಾಲು (=ಹುರುಪು),నల్ల కాలు (=స్కాబ్)
ಕಪ್ಪು ಶರ್ಟ್,నల్ల చొక్కా
ಬ್ಲೇಝೋನ್,బ్లజోన్
ಬ್ಲೇಝೋನ್,బ్లజోన్
ಪ್ರಜ್ವಲಿಸುವಿಕೆ,బ్లేజోన్రీ
ಪ್ರಜ್ವಲಿಸುವಿಕೆ,బ్లజోన్రీ
ಮಿಂಚುದಾಳಿ,బ్లిట్జ్‌క్రీగ్
ರಕ್ತರಹಿತ ಕ್ರಾಂತಿ (=ಗ್ಲೋರಿಯಸ್ ರೆವಲ್ಯೂಷನ್),రక్తరహిత విప్లవం (=గ్లోరియస్ రివల్యూషన్)
ಬ್ಲಡ್ವೈಟ್,బ్లడ్వైట్
ಬ್ಲಡಿ ಮೇರಿ,బ్లడీ మేరీ
ನೀಲಿ,నీలం
ನೀಲಿ ರಕ್ತ,నీలం రక్తం
ನೀಲಿ ಪುಸ್ತಕ,నీలి పుస్తకం
ನೀಲಿ ರಿಬ್ಬನ್,నీలం రంగు రిబ్బన్
ನೀಲಿ ರಿಬ್ಬನ್,నీలం రంగు రిబ్బన్
ಬ್ಲೂಸ್ (=ರಾಯಲ್ ಹಾರ್ಸ್ ಗಾರ್ಡ್ಸ್),బ్లూస్ (=రాయల్ హార్స్ గార్డ్స్)
ನೀಲಿ ಅಂಗಿ,నీలం చొక్కా
ಬ್ಲೂ ವಾಟರ್ ಸ್ಕೂಲ್,బ్లూ వాటర్ స్కూల్
ನಿಯಂತ್ರಣ ಮಂಡಳಿ,బోర్డ్ ఆఫ్ కంట్రోల్
ದೇಹದ ರಕ್ಷಾಕವಚ,శరీర కవచం
ಬೋಯರ್,బోయర్
ಲೂಟಿ,దోపిడి
ಬರೋ,బరో
ಬೌಲ್ಯೂಟೇರಿಯನ್,బౌల్యూటేరియన్
ಬೌರ್ಬನ್,బోర్బన్
ಬಾಕ್ಸರ್ ದಂಗೆ,బాక్సర్ తిరుగుబాటు
ಬ್ರೇಸ್,బ్రేస్
ಬ್ರಾಸಾರ್ಡ್,బ్రాస్సార్డ్
ಬ್ರಾಸಾರ್ಡ್,బ్రాస్సార్డ్
ಬ್ರೆಡ್ ವಸಾಹತುಗಳು,బ్రెడ్ కాలనీలు
ಸ್ತನ ಫಲಕ,బ్రెస్ట్ ప్లేట్
ಸ್ತನ ಕೆಲಸ,రొమ్ము పని
ಬ್ರೆಟ್ವಾಲ್ಡಾ,బ్రెట్వాల్డా
ಬ್ರಿಗಾಂಡ್,బ్రిగాండ్
ಬ್ರಿಗಂಡೇಜ್,బ్రిగేండేజ్
ಬ್ರಿಟಿಷ್ ಕಾಮನ್‌ವೆಲ್ತ್ ರಾಷ್ಟ್ರಗಳು,బ్రిటిష్ కామన్వెల్త్ ఆఫ్ నేషన్స్
ಬ್ರೌನ್ ಶರ್ಟ್ಸ್ (=ನಾಜಿಗಳು),బ్రౌన్ షర్ట్స్ (=నాజీలు)
ಬ್ರಸೆಲ್ಸ್ ಒಪ್ಪಂದ (ಒಪ್ಪಂದ) ಸಂಸ್ಥೆ (=ಪಶ್ಚಿಮ ಯುರೋಪಿಯನ್ ಒಕ್ಕೂಟ),బ్రస్సెల్స్ ట్రీటీ (పాక్ట్) సంస్థ (=వెస్ట్రన్ యూరోపియన్ యూనియన్)
ಬಫ್,యెదురు
ಬಫ್,యెదురు
ಬಫ್-ಕೋಟ್,బఫ్-కోటు
ಬಫ್ಸ್,బఫ్స్
ಬುಲೆ (=ಕೌನ್ಸಿಲ್),బులే (=మండలి)
ಬರ್ಗೇಜ್,బర్గేజ్
ಬರ್ಗೆಸ್,బర్గెస్
ಬೈಜಾಂಟೈನ್,బైజాంటైన్
ಬೈಜಾಂಟೈನ್ ಚರ್ಚ್,బైజాంటైన్ చర్చి
ಬೈಜಾಂಟೈನ್ ಸಾಮ್ರಾಜ್ಯ,బైజాంటైన్ సామ్రాజ్యం
ಬೈಜಾಂಟೈನ್ ಯುಗ,బైజాంటైన్ యుగం
ಬೈಜಾಂಟೈನ್ ಇತಿಹಾಸಕಾರರು,బైజాంటైన్ చరిత్రకారులు
ಕ್ಯಾಬಲ್,కాబాల్
ಸೀಸರಿಸಂ,సీజరిజం
ಖಲೀಫ್,ఖలీఫ్
ಕ್ಯಾಲಿಗ್ರಾಫರ್,కాలిగ్రాఫర్
ಕ್ಯಾಲಿಗ್ರಾಫಿಸ್ಟ್,కాలిగ్రాఫిస్ట్
ಕ್ಯಾಲಿಗ್ರಫಿ,కాలిగ్రఫీ
ಕ್ಯಾಲ್ಟ್ರೋಪ್,కాల్ట్రాప్
ಸೌಹಾರ್ದತೆ,సాహచర్యం
ಕ್ಯಾಮರಿಲ್ಲಾ,కమరిల్లా
ಕ್ಯಾಮರಿಲ್ಲಾ,కమరిల్లా
ಕ್ಯಾಮೆಲಾಕಮ್,కామెలాకమ్
ಮರೆಮಾಚುವಿಕೆ,మభ్యపెట్టడం
ಪ್ರಚಾರ,ప్రచారం
ಶಿಬಿರದ ಅನುಯಾಯಿ,క్యాంపు అనుచరుడు
ಕ್ಯಾಂಪೋ ಸ್ಯಾಂಟೋ,కాంపో శాంటో
ಕ್ಯಾಂಪಸ್ ಮಾರ್ಟಿಯಸ್,క్యాంపస్ మార్టియస్
ಕ್ಯಾನೆಫೊರಾ,కనెఫోరా
ಕ್ಯಾಂಗ್ಯೂ,కంగు
ಕ್ಯಾನನೇಡ್,ఫిరంగి
ಕ್ಯಾನನ್ ಮೇವು,ఫిరంగి మేత
ಕ್ಯಾನನ್,కానన్
ಕ್ಯಾನನ್ ಕಾನೂನು,కానన్ చట్టం
ಕ್ಯಾನೋಪಸ್ ತೀರ್ಪು,కానోపస్ డిక్రీ
ಕ್ಯಾಂಟಿಂಗ್ ಶಸ್ತ್ರಾಸ್ತ್ರ,ఆయుధాలు పట్టుకోవడం
ಬಂಧಿತ,బందీ
ಕ್ಯಾಪ್ಟರ್,కాప్టర్
ಕಾರ್ಡಿನಲ್,కార్డినల్
ಕಾರ್ಲ್,కార్ల్
ಕ್ಯಾರೊಲಿಂಗಿಯನ್ ರಾಜವಂಶ,కరోలింగియన్ రాజవంశం
ಕಾರ್ತೂಸಿಯನ್ ಪಂಥ,కార్తుసియన్ శాఖ
ಕಾರ್ಟೊಸಾ,కార్టోసా
ಕ್ಯಾಸ್ಟೇಲಿಯನ್,కాస్టేలియన్
ಕ್ಯಾಸ್ಟೆಲಿಯನ್,కాస్టేలియన్
ಜಾತಿ ಪದ್ಧತಿ,కుల వ్యవస్థ
ಕೋಟೆ,కోట
ಕೋಟೆ,కోట
ಕೋಟೆಯ ಪಟ್ಟಣ,కోట పట్టణం
ಕ್ಯಾಸ್ಟ್ರಾ,కాస్ట్రా
ಕ್ಯಾಸ್ಟ್ರಾ,కాస్ట్రా
ಕ್ಯಾಥೆಡ್ರಾ,కేథడ్రా
ಕ್ಯಾಥೆಡ್ರಲ್,కేథడ్రల్
ಕ್ಯಾಟೊ ಸ್ಟ್ರೀಟ್ ಪಿತೂರಿ,కాటో స్ట్రీట్ కుట్ర
ಕೌಡಿಲ್ಲೊ,కౌడిల్లో
ಕ್ಯಾವಲಿಯರ್,కావలీర్
ಕ್ಯಾವಲಿಯರ್,కావలీర్
ಕ್ಯಾವಲಿಯರ್ ಸಂಸತ್ತು,కావలీర్ పార్లమెంట్
ಅದುಲ್ಲಮ್ ಗುಹೆ,అదుల్లాం గుహ
ಗುಹೆ ಚಿತ್ರಕಲೆ,గుహ పెయింటింగ్
ಗುಹೆ ಚಿತ್ರಕಲೆ,గుహ పెయింటింగ్
ಸೆಂಟಮ್ವಿರ್,సెంటంవిర్
ಸೆಂಚುರಿಯನ್,సెంచూరియన్
ಶತಮಾನ,సెంచరీ
ಚೈನ್ ರಕ್ಷಾಕವಚ (=ಚೈನ್ ಮೇಲ್),చైన్ ఆర్మర్ (=చైన్ మెయిల్)
ಚಾಂಟ್ರಿ,చాంట్రీ
ಚಾಂಟ್ರಿ,చాంట్రీ
ಅಧ್ಯಾಯ ಪುಸ್ತಕ,చాప్ పుస్తకం
ಧರ್ಮಗುರು,చాప్లిన్
ಅಧ್ಯಾಯ,అధ్యాయం
ಅಪಘಾತಗಳ ಅಧ್ಯಾಯ,ప్రమాదాల అధ్యాయం
ಶುಲ್ಕ,ఆరోపణ
ಚಾರ್ಜ್ ಡಿ&#39;ಅಫೇರ್ಸ್,ఛార్జ్ డి&#39;ఎఫైర్స్
ಚಾರ್ಜ್ ವಿಭಜನೆ,ఛార్జ్ విడిపోవడం
ಚಾರ್ಜರ್,ఛార్జర్
ರಥ,రథము
ಸಾರಥಿ,రథసారధి
ಸಾರಥಿ,రథసారధి
ಸಾರಥಿ,రథసారధి
ಚಾರಿಟಿ ಅಡಿಗೆ,ఛారిటీ వంటగది
ಚಾರ್ಟರ್,చార్టర్
ಚಾರ್ಟಿಸ್ಟ್ ಮೂವ್‌ಮೆಂಟ್ (=ಚಾರ್ಟಿಸಂ),చార్టిస్ట్ ఉద్యమం (=చార్టిజం)
ಚಾರ್ಟೋಫಿಲೇಸಿಯಮ್,చార్టోఫిలాసియం
ಚಟೌ,చాటౌ
ಚೆಕ್ ಪೋಸ್ಟ್,చెక్ పోస్ట్
ರಾಸಾಯನಿಕ ಯುದ್ಧ,రసాయన యుద్ధం
ಚೆಸ್ಟರ್,చెస్టర్
ಮುಖ್ಯಸ್ಥ,చీఫ్
ಮುಖ್ಯಸ್ಥ,అధిపతి
ಮುಖ್ಯಸ್ಥ,అధిపతి
ಮುಖ್ಯಸ್ಥ,అధిపతి
ಚಿಫೋನ್,షిఫాన్
ಅಶ್ವದಳ,శూరత్వం
ಆಯ್ಕೆಮಾಡಿದ ಜನರು,ఎంచుకున్న వ్యక్తులు
ಕ್ರಿಸ್ಮೋಗ್ರಾಫಿಯನ್,క్రిస్మోగ్రఫీ
ಕ್ರೈಸ್ತಪ್ರಪಂಚ,క్రైస్తవమత సామ్రాజ్యం
ಕ್ರಿಶ್ಚಿಯನ್ ಯುಗ,క్రైస్తవ యుగం
ಕ್ರಿಶ್ಚಿಯನ್ ಸಮಾಜವಾದ,క్రిస్టియన్ సోషలిజం
ಕ್ರಾನಿಕಲ್,క్రానికల్
ಕ್ರಾನಿಕಲ್,క్రానికల్
ಕ್ರೈಸ್ ಚೆರ್ಸೋನೀಸ್,Chryse Chersonese
ಸಿಮೆಲಿಯಮ್,సిమిలియం
ಸಿಂಕ್ವೆಸೆಂಟೊ ಶೈಲಿ,సింక్వెసెంటో స్టైల్
ಪ್ರದಕ್ಷಿಣೆ,ప్రదక్షిణ
ಸಿಸ್ಟರ್ಸಿಯನ್ ಸನ್ಯಾಸಿ,సిస్టెర్సియన్ సన్యాసి
ಸಿಟಾಡೆಲ್,కోట
ಉಲ್ಲೇಖ,అనులేఖనం
ಉಲ್ಲೇಖ,అనులేఖనం
ನಾಗರಿಕ ಅಸಹಕಾರ,శాసన ఉల్లంఘన
ಅಂತರ್ಯುದ್ಧ,పౌర యుద్ధం
ಸಿವಿಸ್ ರೋಮನಸ್,సివిస్ రోమనస్
ಶಾಸ್ತ್ರೀಯ ವಯಸ್ಸು,సాంప్రదాయ వయస్సు
ಕ್ಲೆಫ್ಟ್ (=ಕ್ಲೆಫ್ಟ್),క్లెఫ్ట్ (=క్లెఫ్ట్)
