English,Kannada
Anaerobic fuel,ಆಮ್ಲಜನವ್ಯಕ್ತಿ
Anaerobic respiration,ಆಮ್ಲಜನವ್ಯಕ್ತಿ
Anaerobic sludge digester,ಆಮ್ಲಜನಕರಹಿತ ಕೆಸರು ಡೈಜೆಸ್ಟರ್
Anaerobic,ಆಮ್ಲಜನವ್ಯಕ್ತಿ
Anaima,ಅನೈಮ
Anal,ಗುದ
Anal,ಗುದ
Anal aperture,ಗುದ ದ್ಯುತಿರಂಧ್ರ
Anal cerci,ಗುದ
Anal loop,ಗುದ ಲೂಪು
Anal style,ಗುದ ಶೈಲಿ
Analogous,ಹೋಲುವ
Analogous,ಹೋಲುವ
Analogy,ಸಾದೃಶ್ಯ
Analogy,ಸಾದೃಶ್ಯ
Analysis,ವಿಶ್ಲೇಷಣೆ
Anaphase,ಅನಾಫೇಸ್
Anatomic barrier,ಅಂಗರಚನಾ ತಡೆಗೋಡೆ
Anatomical aspect,ಅಂಗರಚನಾ ಅಂಶ
Anatomist,ಅಂಗರಚನಾ ತಜ್ಞ
Anatomy,ಅಂಗರಚನಾಶಾಸ್ತ್ರ
Ancestor descendant sequence,ಪೂರ್ವಜರ ವಂಶಸ್ಥ ಅನುಕ್ರಮ
Ancestral lineage,ಪೂರ್ವಜರ ವಂಶ
Ancestral sequence,ಪೂರ್ವಜರ ಅನುಕ್ರಮ
Ancylostoma,ಚಾಚು
Androecium,ಆಂಡ್ರೊಸಿಯಮ್
Androgen,Andrಷಧ
Anemia,ರಕ್ತಹೀನತೆ
Anemone,ವೇಶ್ಯೆ
Aneuploid,ಅನೆಲಾಯ್ಡ್
Aneuploidy,ಅನೆಪ್ಲು
Angina,ಗಂಜಿ
Angiogram,ಆಂಗಿಯ ವರ್ಗ
Angiograph,ಆತಿ
Angiography,ಆಂಜಿಯಾರಿ ಶಾಸ್ತ್ರ
Angioplasty,ಆಂಜಿಯೋಪ್ಲಾಸ್ಟಿ
Angiosperm,ಆಂಗಿಯೋಸ್ಪೆರ್ಮು
Angiotensin,ಆಂಜಿಯೋಟೆನ್ಸಿನ್
Angiotensinogen,ಆಂಜಿಯೋಟೆನ್ಸಿನ್ ವಂಶದ
Angler fish,ಗಾಳಹಾಕಿ ಮೀನು
Anguina,ಗದ್ದೆ
Anguis,ಕುಡಿನೂದಿ
Animal,ಪ್ರಾಣಿ
Animal,ಪ್ರಾಣಿ
Animal dung,ಪ್ರಾಣಿ ಸಗಣಿ
Animal husbandry,ಪಶುಸಂಗೋಪನೆ
Animal karyotyping,ಪ್ರಾಣಿ ಕ್ಯಾರಿಯೋಟೈಪಿಂಗ್
Animal kingdom,ಪ್ರಾಣಿ ಸಾಮ್ರಾಜ್ಯ
Animal tissue,ಪ್ರಾಣಿಗಳ ಅಂಗಾಂಶ
Animalia,ಪ್ರಾಣಿ
Anion,ಅಯಾನು
Anisotropic band,ಅನಿಸೊಟ್ರಾಪಿಕ್ ಬ್ಯಾಂಡ್
Annealing,ಮುಟ್ಟಿದ
Annelid,ಗಡಿಯಾರ
Annelida,ಅನುಗ್ರಹದ
Annual ring,ವಾರ್ಷಿಕ ಉಂಗುರ
Annulated,ಉರಿಯೂತ
Annule,ಅನ್ನ್ಯೂಲ್
Anomalous type,ಅಸಂಗತ ಪ್ರಕಾರ
Anopheles,ಅನಾಫಿಲಿಸ್
Ant eater,ಇರುವೆ ಭಕ್ಷಕ
Antagonistic,ವಿರೋಧದ
Antarctic,ಪೃಷ್ಠದ
Antenna,ಆನಂತಾ
Antenna complex,ಆಂಟೆನಾ ಸಂಕೀರ್ಣ
Antennal gland,ಆಂಟೆನಾಲ್ ಗ್ರಂಥಿ
Anterior (ventral) gray horn,ಮುಂಭಾಗದ (ಕುಹರದ) ಬೂದು ಕೊಂಬು
Anterior hypophysis,ಮುಂಭಾಗದ ಹೈಪೋಫಿಸಿಸ್
Anterior interventricular sulcus,ಮುಂಭಾಗದ ಮಧ್ಯಸ್ಥಿಕೆಯ ಸಲ್ಕಸ್
Anther,ಪರಾಗ
Anther culture,ಪರಂಪರೆ ಸಂಸ್ಕೃತಿ
Antheridium,ಸ ೦ ಗಂಥಿಯ
Antherozoid,ಪರಾಗಿದರದ
Anthoceros,ಆಂಥೆಸೆರೋಸ್
Anthocerotopsida,ಆಂಥೋಸೆರೋಟಾಪ್ಸಿಡಾ
Anthrax,ಆಂಥ್ರಾಕ್ಸ್
Anthropogenic extinction,ಮಾನವಜನ್ಯದ ಅಳಿವಿನಂಚಿನಲ್ಲಿರುವ
Anthropology,ಮಾನವಶಾಸ್ತ್ರ
Antibacterial,ಅನುಭವಿನಲ್ಲಿರುವ
Antibiotic penicillin,ಪ್ರತಿಜೀವಕ ಪೆನ್ಸಿಲಿನ್
Antibiotic resistant,ಪ್ರತಿಜೀವಕ ನಿರೋಧಕ
Antibiotic(s),ಪ್ರತಿಜೀವಕ (ಗಳು)
Antibody,ಪ್ರತಿಕಾಯ
Antibody couple,ಪ್ರತಿಕಾಯ ದಂಪತಿಗಳು
Antibody mediated immunity,ಪ್ರತಿಕಾಯ ಮಧ್ಯಸ್ಥ ರೋಗನಿರೋಧಕ ಶಕ್ತಿ
Anticoagulant,ಪ್ರತಿಮೆಯಂಥ
Anticodon loop,ಆಕ್ಟೊಡಾನ್ ಲೂಪ್
Antidepressant,ಖಿನ್ನತೆ -ತತ್ವ
Antidiuretic hormone (ADH),ಆಂಟಿಡಿಯುರೆಟಿಕ್ ಹಾರ್ಮೋನ್ (ಎಡಿಎಚ್)
Antigen gene,ಪ್ರತಿಜನಕ ಜೀನ್
Antigen-antibody complex,ಪ್ರತಿಜನಕ
Antigenic determinant,ಪ್ರತಿಜನಕ ನಿರ್ಣಾಯಕ
Antinutritional factor,ಪ್ರತಿಷ್ಠಿತ ಅಂಶ
Antioxidant,ಆವರಣಕಾರ
Antipodal nucleus,ಆವರಣ ನ್ಯೂಕ್ಲಿಯಸ್
Anti-sense RNA,ಎಂಟರ ಆರ್‌ಎನ್‌ಎ
Antiviral protein,ಆಂಟಿವೈರಲ್ ಪ್ರೋಟೀನ್
Antrum,ಕಸಾಯಿಖಾನೆ
Anucleate,ನಿರ್ದಯ
Anus,ಗುದ
Anxiety disorder,"ಖಿನ್ನತೆ ಮನೋರೋಗ, ಆತಂಕ, ವ್ಯಾಕುಲತೆ"
Aortic arch,ಮಹಾಪಧಮನಿಯ ಕಮಾನು
Aortic ganglion,ಮಹಾಪಧಮನಿಯ ಗ್ಯಾಂಗ್ಲಿಯಾನ್
Aortic semilunar valve,ಮಹಾಪಧಮನಿಯ ಸೆಮಿಲುನಾರ್ ಕವಾಟ
Aortic valve,ಮಹಾಪಧಮನಿಯ ಕವಾಟ
APC (anaphase promoting complex),ಎಪಿಸಿ (ಅನಾಫೇಸ್ ಪ್ರಚಾರ ಸಂಕೀರ್ಣ)
Apelike ancestor,ಅಪೆಲಿಕ್ ಪೂರ್ವಜ
Aphid,ಮುನಸು
Aphrodite,ಅಚ್ಚುಬಾಲಿಗೆ
Apical dominance,ಅಪಿಕಲ್ ಪ್ರಾಬಲ್ಯ
Apical pad,ಮೇಲ್ನೋಟದ
Apiculture,ಅಪಚಲುಮನೆ
Apis indica,ಎಪಿಐಎಸ್
Aplanospore,ಒಂದು ದೊಡ್ಡ
Aplysia,ಅಡ್ಡಿ
Apocarpae,ಕಣ್ಣುಹಾಯ
Apocarpous,ತಟ್ಟುಕ
Apocarpous ovary,ಅಪೋಕಾರ್ಪಸ್ ಅಂಡಾಶಯ
Apocrine gland,ಅಪೊಕ್ರೈನ್ ಗ್ರಂಥಿ
Apoenzyme,ತಿಕ್ಕಲು
Apomict,ಮಂಕಾದ
Apomixis,ತಿಕ್ಕಲು
Apoplasm,ಮಂಕಾದ
Apoplastic pathway,ಮಂಕುಗರ
Apoptosis,ಅಪಶೂನ್ಯತೆ
Apparatus,ಉಪಕರಣ
Appendicular skeleton,ಅನುಬಂಧ ಅಸ್ಥಿಪಂಜರ
Appendix of the caecum,ಸೀಕಮ್ನ ಅನುಬಂಧ
Apple snail,ಆಪಲ್ ಬಸವನ
Aquaculture,ಜಲಚರಕ
Aquaporin,ಅಕ್ವಾಪೊರಿನ್
Aquatic amphibian,ಜಲಚರಗಳ
Aquatic form,ಜಲಸಂಪರ್ಕ ರೂಪ
Aquatic habitat,ಜಲವಾಸಿ ಆವಾಸ
Aquatic organism,ಜಲವಾಸಿ ಜೀವಿ
Aquatic plant,ಜಲವಾಸಿ ಸಸ್ಯ
Aquatic respiration,ಜಲವಾಸಿ ಉಸಿರಾಟ
Aqueous fluid,ಜಲೀಯ ದ್ರವ
Aqueous humur,ಜಲೀಯ ಹುಮೂರ್
Aqueous intra-cellular fluid,ಜಲೀಯ ಇಂಟ್ರಾ-ಸೆಲ್ಯುಲಾರ್ ದ್ರವ
Aqueous sample,ಜಲೀಯ ಮಾದರಿ
Aqueous solution,ಜಲೀಯ ಪರಿಹಾರ
Aquila,ಅಕ್ವಿಲ
Arabidopsis,ಕೀಲಿಗೆ
Arachnida,ಕಸ
Arachnoid,ಕುಂಬಳಕಾಯಿ
Araneus,ಅರೇನಿಯಸ್
Arborescent,ಗುಂಡಾದ
Arborescent lycopod,ಅರ್ಬೋರ್ಸೆಂಟ್ ಲೈಕೋಪೋಡ್
Archaebacteria,ಪುರಾತತ್ವ
Archegonium,ಕಮಾನು
Archipelago,ದ್ವೀಪಸಂಬಂಧಿ
