Marathi,English
मागास त्रुटी पुनर्प्राप्ती,backward error recovery
ताळेबंद,balance sheet
बँड,band
बँड रुंदी,band width
बँकरचा अल्गोरिदम,banker's algorithm
बार कोड,bar code
बार कोड स्कॅनर,bar code scanner
बार आलेख,bar graph
मूळ पत्ता,base address
बेस बँड,base band
आधार क्रमांक,base number
बेस टेबल,base table
बेसिक,BASIC
मूलभूत नियंत्रण,basic control
मूलभूत इनपुट,basic input
मूलभूत सूचना,basic instruction
मूलभूत आउटपुट,basic output
मूलभूत पायरी,basic step
तुकडी,batch
बॅच फाइल,batch file
बॅच स्थिती,batch position
बॅच प्रक्रिया,batch processing
बॅच सिस्टम,batch system
बॉड,baud
बॉड दर,baud rate
तुळई,beam
बेंचमार्क,benchmark
द्विदिश संप्रेषण,bidirectional communication
द्विदिश दुवा,bidirectional link
बायनरी कोड,binary code
बायनरी अंक,binary digit
बायनरी इनपुट आउटपुट सिस्टम (BIOS),binary Input output system (BIOS)
बायनरी संख्या,binary number
बायनरी ऑपरेटर,binary operator
बायनरी संबंध,binary relation
बायनरी शोध,binary search
बायनरी सर्च ट्री (BST),binary search tree (BST)
बायनरी हस्तांतरण,binary transfer
बायनरी झाड,binary tree
द्विध्रुवीय मेमरी,bipolar memory
जन्म मृत्यू मॉडेल,birth death model
जन्म मृत्यू प्रक्रिया,birth death process
बिट,bit
थोडा दोष,bit fault
बिट नकाशा,bit map
बिट मॅप पिक्सेल (BMP),bit map pixel (BMP)
बिट मॅट्रिक्स,bit matrix
बिट नमुना,bit pattern
बिट स्थिती,bit position
बिट दर,bit rate
ब्लॅक बॉक्स चाचणी,black box testing
लुकलुकणे,blinking
ब्लॉक,block
ब्लॉक कॅशे,block cache
ब्लॉक चेक,block check
ब्लॉक कॉपी,block copy
ब्लॉक आकृती,block diagram
ब्लॉकिंग नेटवर्क,blocking network
बोर्ड,board
पुस्तक चिन्ह,book mark
बुलियन बीजगणित,boolean algebra
बुलियन संबंध,boolean relation
बूट विभाजन,boot partition
बूट strapping,boot strapping
बूट-स्ट्रॅप लोडर,boot-strap loader
पूल,bridge
ब्रॉडबँड नेटवर्किंग,broadband networking
प्रसारण,broadcast
रेडिओ प्रसारित करा,broadcast radio
ब्राउझ करा,browse
ब्राउझर,browser
बी-वृक्ष,B-Tree
बबल मेमरी,bubble memory
बबल क्रमवारी,bubble sort
बादली,bucket
मित्र प्रणाली,buddy system
बजेट प्रभावी नियंत्रण,budget effective control
बफर,buffer
किडा,bug
बस,bus
बाइट,byte
बाइट कोड,byte code
c,c
C++,C++
कॅशे,cache
कॅशे बफर,cache buffer
कॅशे मेमरी,cache memory
गणना,calculation
कॅल्क्युलेटर,calculator
कॅल्क्युलेटर चिप,calculator chip
कॉल,call
नावाने कॉल करा,call by name
संदर्भानुसार कॉल करा,call by reference
मूल्यानुसार कॉल करा,call by value
व्हेरिएबल्सद्वारे कॉल करा,call by variables
कॉल गेट,call gate
रद्द करा,cancel
रद्द करा बटण,cancel button
प्रामाणिक,canonical
प्रामाणिक स्वरूप,canonical form
क्षमता,capability
क्षमता यादी,capability list
क्षमता,capacity
कॅप्स लॉक की,caps lock key
कार्ड,card
कार्ड रीडर,card reader
मुख्यत्वे,cardinality
वाहक,carrier
वाहक बँड,carrier band
वाहक लोड,carrier load
वाहक सिग्नल,carrier signal
वाहक लहर,carrier wave
वाहून नेणे,carry
कॅरी अंक,carry digit
ध्वज घेऊन जा,carry flag
काडतूस डिस्क,cartridge disk
कॅस्केड,cascade
केस,case
कॅथोड रे ट्यूब (सीआरटी),cathod ray tube (CRT)
कॅथोड रे ट्यूब (सीआरटी),cathode ray tube (CRT)
CD ROM डिस्क ड्राइव्ह,CD ROM disk drive
सेल,cell
सेल अॅनिमेशन,cell animation
भ्रमणध्वनी,cellular phone
केंद्रीय स्मृती,central memory
सेंट्रल प्रोसेसिंग युनिट (CPU),central processing unit (CPU)
केंद्रीकृत प्रणाली,centralized system
प्रमाणित टेप,certified tape
साखळी,chain
साखळी डेटा,chain data
साखळी दुवा,chain link
चेनिंग,chaining
चॅनल,channel
चॅनेल व्यस्त टोन,channel busy tone
चॅनेल क्षमता,channel capacity
चॅनेल नियंत्रक,channel controller
चॅनेल त्रुटी,channel error
चॅनेल कार्यक्रम,channel program
चॅनेल विश्वसनीयता,channel reliability
चॅनेल सेट,channel set
वर्ण,character
वर्ण कोड,character code
वर्ण की,character key
वर्ण वाचक,character reader
वर्ण आकार,character size
तक्ता,chart
चेसिस,chassis
बिट तपासा,check bit
चेक अंक,check digit
बेरीज तपासा,check sum
शब्द तपासा,check word
चिप,chip
चिप संच,chip set
निवडा,choose
रंगीत,chromatically
सिफर,cipher
सर्किट,circuit
परिपत्रक यादी,circular list
सायरस,cirus
उद्धरण,citation
वर्ग,class
वर्ग व्हेरिएबल,class variable
वर्गीकरण,classification
स्पष्ट,clear
स्पष्ट क्षेत्र,clear area
साफ चॅनेल,clear channel
क्लिक करा,click
ग्राहक,client
क्लायंट सर्व्हर,client server
क्लायंट स्टब,client stub
क्लिप आर्ट,clip art
क्लिप आर्ट लायब्ररी,clip art library
क्लिप बोर्ड,clip board
क्लिपर,clipper
क्लिपर चिप,clipper chip
गट,clique
घड्याळ,clock
घड्याळ चक्र,clock cycle
घड्याळ वारंवारता,clock frequency
घड्याळ हार्डवेअर,clock hardware
घड्याळाची नाडी,clock pulse
घड्याळाचा वेग,clock speed
घड्याळ सिंक्रोनाइझेशन,clock synchronization
घड्याळाची टिक,clock tick
क्लोन,clone
बंद,close
क्लोज सर्किट टीव्ही (सीसीटीव्ही),close circuit TV (CCTV)
बंद,closure
क्लाउड संगणन,cloud computing
क्लस्टर,cluster
लेपित कार्ड,coated card
लेपित कागद,coated paper
समाक्षीय,coaxial
समाक्षीय केबल,coaxial cable
कोडासिल,codasyl
कोड,code
कोड जनरेटर,code generator
कोड पृष्ठ,code page
कोड शब्द,code word
कोडर,coder
कोडिंग तपासणी,coding check
कोडिंग फॉर्म,coding form
कोडिंग शीट,coding sheet
गुणांक,coefficient
सुसंगतता,coherence
थंड बूट,cold boot
थंड सुरुवात,cold start
सहयोग,collaboration
कोसळणे,collapse
कोलेट,collate
कोलेट टेप,collate tape
टक्कर,collision
कोलन,colon
रंग (रंग),colour (color)
रंग संपृक्तता,colour saturation
रंग टेबल,colour table
स्तंभ,column
संयोजन,combination
कॉम्बो बॉक्स,combo box
आज्ञा,command
कमांड बटण,command button
आदेश यादी,command list
टिप्पणी,comment
वचनबद्धता,commitment
वस्तू,commodity
कॉमन बिझनेस ओरिएंटेड लँग्वेज (कोबोल),Common Business Oriented Language (Cobol)
सामान्य त्रुटी,common error
सामान्य भाषा,common language
सामान्य दिनचर्या,common routine
संवाद,communication
संप्रेषण लाइन,communication line
संप्रेषण मोड,communication mode
संप्रेषण नेटवर्क,communication network
संप्रेषण पॅरामीटर,communication parameter
संप्रेषण प्रणाली,communication system
कॉम्पॅक्शन,compaction
साथीदार,compander
companding,companding
कंपनी नेटवर्क,company network
तुलना चाचणी,comparison test
सुसंगतता,compatibility
सुसंगत,compatible
संकलन,compilation
संकलित करा आणि जा,compile and go
संकलक,compiler
कंपाइलर भाषा,compiler language
पूरक,complementary
दहावर पूरक,complement-on-ten
पूरक,complementor
पूर्ण वाहून,complete carry
जटिल,complex
जटिल संख्या,complex number
घटक,component
घटक ऑब्जेक्ट मॉडेल (COM),component object model (COM)
संमिश्र,composite
रचना,composition
संगणकीय,computational
संगणक,computer
संगणक केंद्र,computer centre
संगणक तज्ञ,computer expert
संगणक ग्राफिक्स,computer graphics
संगणक सूचना,computer instruction
संगणक भाषा,computer language
संगणक नेटवर्क,computer network
संगणक शास्त्र,computer science
संगणक सुरक्षा,computer security
संगणक सिम्युलेटन,computer simulaton
संगणक तज्ञ,computer specialist
संगणकीकरण,computerisation
संगणकतज्ज्ञ,computerist
संगणकीकरण,computerize
संगणन,computing
संकल्पना,concept
एकरूपता,concurrency
समवर्ती,concurrent
कंडिशन व्हेरिएबल,condition variable
सशर्त ऑपरेटर,conditional operator
सशर्त विधान,conditional statement
कंडक्टर,conductor
कॉन्फरन्सिंग,conferencing
गोपनीयता,confidentiality
कॉन्फिगरेशन,configuration
गर्दी,congestion
संयोग,conjunction
गती कनेक्ट करा,connect speed
कनेक्शन,connection
कनेक्शन कमी संप्रेषण,connection less communication
कनेक्शन प्रकाशन,connection release
कनेक्टिव्हिटी,connectivity
कनेक्टर,connector
सलग,consecutive
परिणामी,consequent
कन्सोल,console
एकत्रीकरण,consolidation
स्थिर,constant
सतत सूचना,constant instruction
मर्यादा,constraint
बांधकाम करणारा,constructor
कंटेनर,container
सामग्री,content
संदर्भ,context
संदर्भ मुक्त व्याकरण (CFG),context free grammar (CFG)
संदर्भ स्विच,context switch
आकस्मिकता,contingency
आकुंचन,contraction
कॉन्ट्रास्ट,contrast
नियंत्रण,control
नियंत्रण क्षेत्र,control area
नियंत्रण बिट,control bit
नियंत्रण बस,control bus
नियंत्रण कार्ड,control card
नियंत्रण सर्किट,control circuit
नियंत्रण चक्र,control cycle
नियंत्रण अभियांत्रिकी,control engineering
नियंत्रण की,control key
नियंत्रण तर्क,control logic
नियंत्रण लूप,control loop
नियंत्रण चिन्ह,control mark
नियंत्रण ऑपरेशन,control operation
नियंत्रण पॅनेल,control panel
नियंत्रण सिग्नल,control signal
नियंत्रण स्विच,control switch
नियंत्रण टेप,control tape
नियंत्रण टर्मिनल,control terminal
कंट्रोल युनिट (CU),control unit (CU)
अभिसरण,convergence
संभाषण,conversation
संवादात्मक वेळ सामायिकरण,conversational time sharing
रूपांतरण,conversion
कनवर्टर,converter
कुकचे प्रमेय,Cook's theorem
सह-प्रोसेसर,co-processor
कॉपी,copy
कॉपीराइट,copyright
दोरखंड,cord
कॉर्डलेस टेलिफोन,cordless telephone
परिणाम,corollary
दुरुस्ती,correction
भ्रष्ट,corrupted
मोजणे,count
काउंटर,counter
राष्ट्र संकेतांक,country code
सहप्रसरण,covariance
कव्हरेज,coverage
आपटी,crash
गंभीर मार्ग,critical path
गंभीर मार्ग पद्धत (CPM),critical path method (CPM)
फेर पडताळणी,cross check
क्रॉस कंपाइलर,cross compiler
क्रॉस फायर,cross fire
क्रॉस चर्चा,cross talk
क्रिप्टोग्राफिक,cryptographic
क्रिप्टोग्राफी,cryptography
चलन चिन्ह,currency symbol
वर्तमान निर्देशिका,current directory
वर्तमान विंडो,current window
कर्सर,cursor
वक्र,curve
कट आणि पेस्ट करा,cut and paste
कट पद्धत,cut method
सायबर,cyber
सायबर कॅफे,cyber café
सायबर रोख,cyber cash
सायबर गुन्हे,cyber crime
सायबर डेलिक,cyber delics
सायबर कायदा,cyber law
सायबर सेक्स,cyber sex
सायबरनेटिक्स,cybernatics
सायबरनेशन,cybernation
सायकल,cycle
सायकल मेमरी,cycle memory
सायकल चोरी,cycle steal
सायकल वेळ,cycle time
चक्रीय,cyclic
डिमन,daemon
डेझी व्हील,daisy wheel
डेटा प्रशासक,data administrator
डेटा वाटप,data allocation
डेटा क्षेत्र,data area
डेटा अॅरे,data array
डेटा बेस,data base
डेटा ब्रेक,data break
डेटा बस,data bus
डेटा वाहक,data carrier
डेटा सेल,data cell
डेटा चॅनेल,data channel
डेटा संप्रेषण,data communication
डेटा कॉम्प्रेशन,data compression
डेटा फील्ड,data field
डेटा फाइल,data file
माहितीचा प्रवाह,data flow
डेटा प्रवाह चार्ट,data flow Chart
डेटा पदानुक्रम,data hierarchy
डेटा पातळी,data level
डेटा लायब्ररी,data library
डेटा लिंक स्तर,data link layer
डेटा लिंक लेयर (DLL),data link layer (DLL)
माहिती व्यवस्थापन,data management
डेटा हाताळणी,data manipulation
डेटा हाताळणी भाषा (DML),data manipulation language (DML)
डेटा मोडेम,data modem
डेटा बदल,data modification
डेटा नेटवर्क,data network
डेटा ऑपरेशन,data operation
डेटा संस्था,data organization
डेटा आउटपुट,data output
डेटा मार्ग,data path
डेटा तयार करणे,data prepration
डेटा गोपनीयता,data privacy
डेटा प्रोसेसर,data processor
माहिती संरक्षण,data protection
डेटा रेकॉर्ड,data record
डेटा पुनर्प्राप्ती,data retrieval
डेटा दिनचर्या,data routine
डेटा सुरक्षा,data security
डेटा सेट,data set
डेटा सिग्नल,data signal
डेटा सिंक,data sink
माहितीचा स्रोत,data source
डेटा तपशील,data specification
डेटा स्टेशन,data station
डेटा स्टोरेज,data storage
डेटा स्टोरेज संरचना,data storage structure
डेटा संरचना,data structure
डेटा स्विच,data switch
डेटा टेबल,data table
डेटा टर्मिनल,data terminal
डेटा ट्रान्सक्रिप्शन,data transcription
डेटा ट्रान्सफर,data transfer
डेटा ट्रान्समिशन,data transmission
डेटा ट्रान्समिशन चॅनेल,data transmission Channel
डेटा प्रकार,data type
डेटा युनिट,data unit
माहितीचे वैधीकरण,data validation
डेटाबेस,database
डेटाबेस प्रशासन,database adminstration
डेटाबेस डिझाइन,database design
डेटाबेस व्यवस्थापन प्रणाली,database management system
datagrav,datagrav
माहिती,datum
मृत क्षेत्र,dead zone
गतिरोध,deadlock
गतिरोध प्रतिबंध,deadlock prevention
डीबग,debug
निर्णय बॉक्स,decision box
निर्णयप्रक्रिया,decision making process
निर्णय समर्थन प्रणाली,decision support system
निर्णयाचे झाड,decision tree
डिकोडर,decoder
विघटन तत्त्व,decomposition principle
डिक्रिप्शन,decryption
समर्पित चॅनेल,dedicated channel
समर्पित बंदर,dedicated port
संरक्षण डेटा नेटवर्क (DDN),defence data network (DDN)
संरक्षण माहिती प्रणाली,defence information system
डीफ्रॅगमेंटेशन,defragmentation
विलंब,delay
विलंब काउंटर,delay counter
विलंब वेळ,delay time
हटवा,delete
हटवणे रेकॉर्ड,deletion record
परिसीमक,delimiter
डेल्टा मॉड्युलेशन,delta modulation
मागणी पेजिंग,demand paging
डेमो,demo
demodulation,demodulation
demultiplexer,demultiplexer
विकृतीकरण,denormalization
घनता,density
अवलंबित्व,dependency
अवलंबून युनिट,dependent unit
पंक्ती,dequeue
संदर्भ देणे,dereferencing
व्युत्पन्न झाड,derivation tree
व्युत्पन्न फील्ड,derived field
उतरत्या क्रमवारी,descending sort
डिझाइन,design
डेस्क कॅल्क्युलेटर,desk calculator
डेस्कटॉप संगणक,desk top computer
डेस्कटॉप सादरीकरण,desktop presentation
डेस्कटॉप प्रकाशन (DTP),desktop publishing (DTP)
डेस्कटॉप व्हिडिओ,desktop video
गंतव्य पत्ता,destination address
विनाशक,destructer
निर्धारक ऑटोमॅट्स,deterministric automats
विकसक,developer
विकास प्रणाली,development system
साधन,device
डिव्हाइस नियंत्रण युनिट,device control unit
डिव्हाइस नियंत्रक,device controller
डिव्हाइस व्यवस्थापन,device management
डिव्हाइस मोड,device mode
निदान,diagnosis
निदान प्रणाली,diagnostic system
निदान,diagnostics
आकृती,diagram
डायल,dial
डायल लाइन,dial line
डायल टोन,dial tone
डायल करा,dial up
संवाद,dialog
डायलॉग बॉक्स,dialog box
डायलअप मॉडेम,dialup modem
आकारमान,diamension
शब्दकोश,dictionary
भिन्नता,differentiation
डिजिटल,digital
डिजिटल चॅनेल,digital channel
डिजिटल सर्किट,digital circuit
डिजिटल संगणक,digital computer
डिजिटल डेटा,digital data
डिजिटल सुविधा,digital facility
डिजिटल फिल्टर,digital filter
डिजिटल लायब्ररी,digital library
डिजिटल मॉड्यूलेशन,digital modulation
डिजिटल मॉनिटर,digital monitor
डिजिटल चित्र,digital picture
डिजिटल स्वाक्षरी,digital signature
डिजिटल स्विच,digital switch
डिजिटल ते अॅनालॉग (D/A) कनवर्टर,digital to analog (D/A) converter
डिजिटायझेशन,digitization
डिजीटल करा,digitize
डिजिटायझर,digitizer
डायोड,diode
थेट,direct
थेट पत्ता,direct address
थेट रूपांतरण,direct conversion
थेट जोडणी,direct coupling
डायरेक्ट मेमरी ऍक्सेस (DMA),direct memory access (DMA)
डायरेक्ट मेमरी ऍक्सेस (DMA),direct memory acess (DMA)
थेट पद्धत,direct method
निर्देश,directive
निर्देशिका,directory
निर्देशिका सर्व्हर,directory server
निर्देशिका सेवा,directory service
अक्षम करा,disable
सिग्नल अक्षम करणे,disabling signal
डिस्कनेक्ट करा,disconnect
स्वतंत्र,discrete
डिस्क,disk
डिस्क पत्ता,disk address
डिस्क अॅरे,disk array
डिस्क क्षमता,disk capacity
डिस्क ड्राइव्ह,disk drive
डिस्क फाइल,disk file
डिस्क मेमरी,disk memory
डिस्क ऑपरेटिंग सिस्टम (DOS),disk operating system (DOS)
डिस्क पॅक,disk pack
डिस्क सर्व्हर,disk server
डिस्क स्टोरेज,disk storage
डिस्केट,diskette
फाइल प्रदर्शित करा,display file
प्रतिमा प्रदर्शित करा,display image
विल्हेवाट,disposal
अंतर,distance
अंतर कार्य,distance function
विकृती,distortion
वितरित केले,distributed
वितरित डेटा,distributed data
वितरित सर्व्हर,distributed server
वितरित प्रणाली,distributed system
वितरणात्मक,distributive
दस्तऐवज,document
दस्तऐवज पुनर्प्राप्त,document retrieved
दस्तऐवज विंडो,document window
दस्तऐवजीकरण,documentation
डोमेन,domain
डोमेनचे नाव,domain name
डॉट मॅट्रिक्स प्रिंटर,dot matrix printer
खाली,down
डाउन लिंक,down link
डाउन लोडिंग,down loading
खाली वेळ,down time
ड्रॅग करणे,dragging
DRAM (डायनॅमिक रॅम),DRAM (dynamic RAM)
वाहून जाणे,drift
चालक,driver
थेंब,drop
ड्रॉप डाउन सूची बॉक्स,drop down list box
ड्रम ड्राइव्ह,drum drive
ड्रम प्रिंटर,drum printer
ड्रम युनिट,drum unit
दुहेरी,dual
दुहेरी घनता,dual density
डमी पत्ता,dummy address
डंप,dump
डुप्लेक्स सर्किट,duplex circuit
डुप्लेक्सिंग,duplexing
नक्कल,duplicate
DVD R/W,DVD R/W
डीव्हीडी रॉम,DVD ROM
डायनॅमिक सूचना,dynamic instruction
डायनॅमिक मेमरी,dynamic memory
गतिशीलता,dynamics
EBCDIC,EBCDIC
ई-व्यवसाय,e-business
प्रतिध्वनी,echo
ई-कॉमर्स,e-commerce
सुधारणे,edit
संपादक,editor
शैक्षणिक तंत्रज्ञान,educational technology
ईईपी रोम,EEP rom
प्रभावी पत्ता (फ्लोटिंग पत्ता),effective address (floating address)
प्रभावी ऑपरेंड पत्ता,effective operand address
प्रभावी प्रक्रिया,effective procedure
प्रभावी UID (वापरकर्ता ओळख),effective UID (user identification)
प्रभावी ट्रान्समिशन ऑपरेंड,efffective transmission operand
आठ-बिट बाइट,eight-bit byte
ई-लर्निंग,e-learning
निवडणूक-अल्गिर्म,election-algirthm
इलेक्ट्रिक मेलिंग (ई-मेल),electric mailing (e-mail)
इलेक्ट्रिक प्रिंटर,electric printer
इलेक्ट्रिकल अकाउंटिंग मशीन,electrical accounting machine
इलेक्ट्रॉनिक,electronic
इलेक्ट्रॉनिक क्लिअरन्स सिस्टम (ECS),electronic clearance system (ECS)
इलेक्ट्रॉनिक डेटा इंटरचेंज (EDI),electronic data interchange (EDI)
इलेक्ट्रॉनिक डेटा प्रोसेसिंग,electronic data processing
इलेक्ट्रॉनिक फाइलिंग,electronic filing
इलेक्ट्रॉनिक निधी हस्तांतरण प्रणाली (EFTS),electronic funds transfer System (EFTS)
इलेक्ट्रॉनिक जर्नल्स,electronic journals
इलेक्ट्रॉनिक प्रकाशन,electronic publishing
इलेक्ट्रॉनिक स्विच,electronic switch
घटक,element
ई-मेल,e-mail
ई-मेल पत्ता,e-mail address
एम्बेडेड प्रणाली,embedded system
एम्बेडिंग,embedding
एमिटर कपल लॉजिक (ECL),emitter couple logic (ECL)
रिक्त स्टॅक,empty stack
रिक्त स्ट्रिंग,empty string
