Telugu,Gujarati
కార్యాచరణ ప్రాంతం,કાર્યવાહી ક્ષેત્ર
సక్రియం చేయబడిన ఫిలమెంట్,સક્રિય ફિલામેન્ટ
క్రియాశీల,સક્રિય
క్రియాశీల ప్రాంతం,સક્રિય ક્ષેત્ર
క్రియాశీల విండో,સક્રિય બારી
అనుకూలత,અનુકૂલનક્ષમતા
అడాప్టర్,એડેપ્ટર (એડેપ્ટર)
అడాప్టివ్ డిఫరెన్షియల్ పల్స్ కోడ్ మాడ్యులేషన్,અનુકૂલનશીલ વિભેદક પલ્સ મોડ્યુલેશન
చిరునామా పుస్తకం,સરનામા પુસ્તિકા
చిరునామా బస్సు,સરનાવ બસ
చిరునామా తీర్మానం,ઠરાવ
ప్రక్కనే ఉన్న ఛానల్ జోక్యం,સંલગ્ન ચેનલ દખલ
ప్రక్కనే ఉన్న ఛానల్ సెలెక్టివిటీ,સંલગ્ન ચેનલ પસંદગી
ప్రక్కనే ఉన్న ఫ్రీక్వెన్సీ,સંલગ્ન આવર્તન
ప్రక్కనే ఉన్న ఫ్రీక్వెన్సీ ఛానల్,સંલગ્ન આવર્તન ચેનલ
ప్రక్కనే ఉన్న పిక్చర్ క్యారియర్,અડીને ચિત્ર વાહક
ప్రక్కనే ఉన్న సౌండ్ క్యారియర్,અડીને ધ્વનિ વાહક
ప్రక్కనే ఉన్న స్టేషన్,સંલગ્ન મથક
సర్దుబాటు,ગોઠવણપાત્ર
సర్దుబాటు కండెన్సర్,ગોઠવણપાત્ર કન્ડેન્સર
సర్దుబాటు ఒత్తిడిని,ગોઠવણ
రెంచ్ సర్దుబాటు,સમાયોજન
సర్దుబాటు,સમાયોજન
నిర్వాహకుడు,વહીવટકર્તા
అధునాతన సాంకేతిక పరిజ్ఞానం,અદ્યતન ટેકનોલોજી
ఆకాశయాన,હવાઈ
వైమానిక శ్రేణి,હવાઈ ​​એરે
వైమానిక బూస్టర్,હવાઈ ​​બૂસ્ટર
వైమానిక ప్రవాహం,હવાઈ ​​પ્રવાહ
వైమానిక ఎర్తింగ్ స్విచ్,હવાઈ ​​કમાણી સ્વીચ
వైమానిక సామర్థ్యం,હવાઈ ​​કાર્યક્ષમતા
వైమానిక ఇంపెడెన్స్,હવાઈ ​​અવરોધ
వైమానిక ఇండక్టెన్స్,હવાઈ ​​લિટક્શન
వైమానిక అవాహకం,હવાઈ ​​ઇન્સ્યુલેટર
వైమానిక లోడింగ్ కాయిల్,હવાઈ ​​લોડિંગ કોઇલ
వైమానిక ఫోటోగ్రఫీ,હવાઈ ​​ફોટોગ્રાફી
వైమానిక శక్తి,હવાઈ ​​શક્તિ
వైమానిక రేడియేషన్ రీస్టెన్స్,હવાઈ ​​કિરણોત્સર્ગ
వైమానిక ప్రతిచర్య,હવાઈ ​​પ્રતિક્રિયા
ఏరోడైనమిక్స్,વાયુમિશ્રણશાસ્ત્ર
ఏజెన్సీ,સંસ્થા
వాయువుని కుదించునది,હવાઈ ​​સંકોચન
ఎయిర్ కండెన్సర్,હવાઈ ​​કન્ડેન્સર
గాలి చల్లబడింది,હવાઈ ​​ઠંડુ
ఎయిర్ కోర్డ్ కాయిల్,હવાઈ ​​બાંધેલી કોથળી
ఎయిర్ కండిషనింగ్,વાતાનુકૂલન
ఆల్బెడో,અલ્બેડો
అల్గోరిథం,અલ્ગોરિધમનો
అలియాసింగ్,પરવાના
సమలేఖనం,સંલગ્ન
అమరిక,ગોઠવણી
అన్ని వేవ్ వైమానిక,બધા તરંગ હવાઈ
కేటాయింపు,ફાળવણી
అక్షరాలు,વર્ણાનુક્રમ
ఆల్ఫాన్యూమరిక్,મૂર્તિમંત
ఆల్ఫాన్యూమరిక్ పాత్ర,વર્ણ -અક્ષર
ఆల్ఫాన్యూమరిక్ సమాచారం,વર્ણ -મૂર્તિમંત માહિતી
ప్రత్యామ్నాయ కరెంట్ (a.c.),વૈકલ્પિક વર્તમાન (એ.સી.)
ప్రత్యామ్నాయం,એકાંતરણ
ఆల్టర్నేటర్,પરાકારી
ఎత్తు,Altંચાઈ
పొక్కు ఎత్తు,અનુગામી alt ંચાઇ
మూత యొక్క ఎత్తు,પેરગીની alt ંચાઇ
Te త్సాహిక రేడియో కమ్యూనికేషన్,કલાપ્રેમી રેડિયો સંચાર
వాతావరణం,વાતાવરણ
వాతావరణ మైక్రోఫోన్,આજુબાજુના માઇક્રોફોન
పరిసర పరిస్థితి,આસપાસની શરત
పరిసర లైటింగ్,આસપાસની આજુબાજુની પ્રકાશ
పరిసర శబ్దం,આજુબાજુનો અવાજ
పరిసర ఉష్ణోగ్రత,આસપાસનું તાપમાન
అమెరికన్ స్టాండర్డ్ కోడ్,અમેરિકન માનક સંહિતા
Ampere,ષડયંત્ર
ఆంపియర్ మీటర్,Amાંદું મીટર
విస్తరణ,વિસ્તૃત કરવું તે
యాంప్లిఫికేషన్ కారకం,વિસ્તૃત પરિબળ
యాంప్లిఫైయర్,પ્રવેધક
యాంప్లిఫైయర్ లాభం,વિપુલ લાભ
యాంప్లిఫైయర్ శబ్దం,એમ્પ્લીફાયર અવાજ
పరికరాలను విస్తరించడం,વિસ્તૃત સાધનસામગ્રી
క్లైస్ట్రాన్ విస్తరించడం,ક્લીસ્ટ્રોનને વિસ્તૃત કરવું
యాంప్లిఫైయింగ్ యూనిట్,વિસ્તૃત એકમ
వ్యాప్తి,કંપનવિસ્તાર
వ్యాప్తి వక్రీకరణ,કંપનવિસ્તારની વિકૃતિ
వ్యాప్తి విహారయాత్ర,કંપનવિસ્તાર
వ్యాప్తి కారకం,કંપનવિસ્તાર પરિબળ
వ్యాప్తి పరిమితి,મર્યાદિત મર્યાદા
వ్యాప్తి మాడ్యులేటెడ్,કંપનવિસ્તાર -મોડ્યુલેટેડ
యాంప్లిట్యూడ్ మాడ్యులేషన్,કંપનલી -મોડ્યુલેશન
అనలాగ్ (అనలాగ్),એનાલોગ (એનાલોગ)
అనలాగ్ సర్క్యూట్,એનાશ
అనలాగ్ కంప్యూటర్,એનાલોગ કમ્પ્યુટર
ఫ్రీక్వెన్సీ ఛానల్,એનાલોગ રેડિયો આવર્તન ચેનલ માટે એનાલોગ રેડિયો આવર્તન ચેનલ
అనలాగ్ ప్రాతినిధ్యం,મનોલોગ પ્રતિનિધિત્વ
అనలాగ్ సిగ్నల్,એનાલોગ સંકેત
డిజిటల్‌కు అనలాగ్,ડિજિટલથી એનાલોગ
డిజిటల్ కన్వర్టర్‌కు అనలాగ్,ડિજિટલ કન્વર્ટર માટે એનાલોગ
అనలాగ్ వీడియో,એટાલી -વિડિઓ
సారూప్యత,સમાન
సారూప్యత,સાદ્રશ્ય
విశ్లేషణ,વિશ્લેષણ
డేటా యొక్క విశ్లేషణ,આંકડા
విశ్లేషణాత్మక సాంద్రత,વિશ્લેષણાત્મક ઘનતા
విశ్లేషించడానికి,વિશ્લેષણ કરવું
ఎనలైజర్,વિશ્લેષક
సహాయక పరికరాలు,સૌધિતિક સાધનસામગ્રી
మరియు గేట్,અને દરવાજો
కొలిమేషన్ యొక్క కోణం,ખાત્ય ખૂણા
ధ్రువణ కోణం,ધ્રુવીકરણ ખૂણા
భ్రమణ కోణం,પરિભ્રમણ
గోరు,એંગસ્ટ્રોમ (Å)
కోణీయ,કોણીય
కోణీయ త్వరణం,કોતરણી પ્રવેગક
కోణీయ సమన్వయాలు,કોતરણી સમન્વય
కోణీయ విక్షేపం,કોતરણી
కోణీయ చెదరగొట్టడం,કોમણ -ફેલાવો
కోణీయ స్థానభ్రంశం,કોણીય વિસ્થાપન
కోణీయ లోపం,કોણીય ભૂલ
కోణీయ పౌన .పున్యం,કોણીય આવર્તન
కోణీయ మొమెంటం,કોતરણી ગતિ
కోణీయ కదలిక,કોણીય ગતિ
కోణీయ వేగం,કોતરણી વેગ
యానిమేషన్,પ્રસન્નતા
యానోడ్,એનોડ
యానోడ్ బ్యాటరీ,એનોડ બ batteryણ
యానోడ్ లక్షణం,એનોડ લાક્ષણિકતા
యానోడ్ సర్క్యూట్,એનોડ સર્કિટ
యానోడ్ వెదజల్లడం,એનોડ વિઘટન
యానోడ్ సామర్థ్యం,એનોડ કાર્યક્ષમતા
యానోడ్ ఇన్పుట్ శక్తి,એનોડ ઇનપુટ પાવર
యానోడ్ మాడ్యులేషన్,એનોડ મોડ્યુલેશન
యాంటెన్నా,એન્ટેના
యాంటెన్నా బీమ్విడ్త్,એન્ટેના બીમવિડ્થ
యాంటెన్నా బూస్టర్,એન્ટેના
యాంటెన్నా చేంజ్ఓవర్ స్విచ్,એન્ટેના ચેન્જઓવર સ્વીચ
యాంటెన్నా కాయిల్,કોઇ
యాంటెన్నా కాన్ఫిగరేషన్,એન્ટેના રૂપરેખાંકન
యాంటెన్నా కప్లర్,એન્ટેના કપડા
యాంటెన్నా క్రాస్ ధ్రువ నమూనా,એન્ટેના ક્રોસ ધ્રુવીય પદ્ધતિ
యాంటెన్నా కరెంట్,એન્ટેના પ્રવાહ
యాంటెన్నా డైరెక్టివిటీ లాభం,એન્ટેના નિર્દેશન લાભ
యాంటెన్నా డ్యూప్లెక్సర్,એન્ટેના ડુપ્લેક્સર
యాంటెన్నా ప్రభావవంతమైన ప్రాంతం,એન્ટેના અસરકારક ક્ષેત્ર
యాంటెన్నా సామర్థ్యం,વૈશ્વિક કાર્યક્ષમતા
యాంటెన్నా ఫీడ్,એન્ટેના ફીડ
యాంటెన్నా ఫుట్ ప్రింట్,એન્ટેના પગની છાપ
యాంటెన్నా లాభం,એન્ટેના લાભ
యాంటెన్నా ఎత్తు,એન્ટેના height ંચાઇ
యాంటెన్నా ఇంపెడెన్స్,એન્ટેના અવરોધ
యాంటెన్నా ఇండక్టెన్స్,એન્ટેના
యాంటెన్నా నమూనా,એન્ટેનાનો દાખલો
యాంటెన్నా ప్లెక్సర్,એન્ટેના નાવિક
యాంటెన్నా ధ్రువణత,એન્ટેના ધ્રુવીકરણ
యాంటెన్నా శక్తి,એન્ટેના શક્તિ
యాంటెన్నా శక్తి లాభం,એન્ટેના વીજળી લાભ
యాంటెన్నా రేడియేషన్ నిరోధకత,એન્ટેના રેડિયેશન પ્રતિકાર
యాంటెన్నా రియాక్టెన్స్,એન્ટેના પ્રતિક્રિયા
యాంటెన్నా రిఫ్లెక్టర్,એન્ટેના પરાવર્તક
యాంటెన్నా నిరోధకత,એન્ટેના પ્રતિકાર
యాంటెన్నా ప్రతిధ్వని ఫ్రీక్వెన్సీ,એન્ટેના પડઘો આવર્તન
యాంటెన్నా స్పేసింగ్,એન્ટેના અંતર
యాంటెన్నా స్విచింగ్ రూమ్,એન્ટેના સ્વિચિંગ રૂમ
యాంటెన్నా ట్యూనింగ్ కాయిల్,એન્ટેના ટ્યુનિંગ કોઇલ
యాంటెన్నా ట్యూనింగ్ హట్,એન્ટેના ટ્યુનિંગ ઝૂંપડી
ఎపర్చరు,છિદ્ર
అపోజీ,પ્રાણઘાતક
అపోజీ రాకెట్,અજેતા રોકેટ
ఉపకరణం,ઉપકરણ
స్పష్టంగా,સ્પષ્ટ
ఆప్లెట్,સાદડી
అప్లికేషన్,નિયમ
సుమారు,આશરે
అక్వేస్ ద్రావణం,જળસ
ఆర్క్,ચાપ
వాస్తుశిల్పం,સ્થાપત્ય
సౌండ్ రికార్డింగ్ యొక్క ఆర్కైవల్ బదిలీ,ધ્વનિ રેકોર્ડિંગનું આર્કાઇવલ ટ્રાન્સફર
ఆర్కైవ్స్,દફ્તર
అంకగణిత కోడింగ్,અંકગણિત કોડિંગ
ఆర్మేచర్,હાથ
ఆర్మేచర్ వైండింగ్,આર્મચર વિન્ડિંગ
అమరిక,કળ
అరేస్టర్,કરચલો
ఉచ్చారణ,સ્પષ્ટીકરણ
(= కళాఖండము,આર્ટિફેક્ટ (= આર્ટિફેક્ટ)
ఆరోహణ,ચડતું
కారక నిష్పత్తి,પાસા ગુણોત્તર
సమీకరించేవాడు,ભેગા કરનાર
వాదన,નિશ્ચય
అప్పగింత,સોંપણી
అసైన్‌మెంట్ ఛానల్,નાબૂદ
అసమాన,અસમપ્રમાણ
అసమకాలిక,અસુમેળવાળું
వాతావరణం,વાતાવરણ
వాతావరణ నష్టం,વાતાવરણીય નુકસાન
వాతావరణ శబ్దం,વાતાવરણીય અવાજ
వాతావరణ పీడనం,વાતાવરણ નુ દબાણ
వాతావరణ ప్రచారం,વાતાવરણીય પ્રચાર
వాతావరణ రేడియో-వేవ్,વાતાવરણીય તરંગ
వాతావరణం,વાતાવરણીય
అణువు,અણુ
అణు నిర్మాణం,અણુનું માળખું
అటాచ్మెంట్,જોડાણ
అటెన్యుయేషన్,વ્યવહાલ
అటెన్యుయేషన్ నష్టం,અંતરચળી
ధ్వని తరంగాల యొక్క అటకన,ધ્વનિ તરંગો
అటెన్యూయేటర్,હલકાઈ કરનાર
అటెన్యూయేటర్-ప్యాడ్,વિકેન્દ્ર
విడిబిలిటీ థ్రెషోల్డ్,શ્રદ્ધાળુ થ્રેશોલ્ડ
వినగల,શ્રાવ્ય
వినగల ఫ్రీక్వెన్సీ,શ્રાવ્ય આવર્તન
వినగల స్వరం,શિરદર્શક સ્વર
వినగల-స్పెక్ట్రం,શિરદર્શક
ప్రేక్షకులు,શ્રોતા
ఆడియో,Audડિસ
ఆడియో యాంప్లిఫైయర్,Audio ડિઓ એમ્પ્લીફાયર
ఆడియో ఎనలైజర్,Audio ડિઓ વિશ્લેષક
ఆడియో ప్రసారం,Audio ડિઓ બ્રોડકાસ્ટિંગ
ఆడియో కేబుల్,Audષધિસનું aution ડિઓબલ
ఆడియో గొలుసు,શાસ્ત્ર
ఆడియో కోడెక్,કડકા
ఆడియో కుదింపు,Audતુ)
ఆడియో కంప్రెసర్,કોમ્પ્રેસર
ఆడియో కన్సోల్,Audio ડિઓ કન્સોલ
ఆడియో వక్రీకరణ,Audio ડિઓની વિકૃતિ
ఆడియో డైనమిక్ పరిధి,Dynamડિસ
ఆడియో ఫైల్ ఫార్మాట్,Audio ડિઓ ફાઇલ ફોર્મેટ
ఆడియో ఫ్రేమ్ ఫార్మాట్,Audio ડિઓ ફ્રેમ ફોર્મેટ
ఆడియో ఫ్రీక్వెన్సీ యాంప్లిఫైయర్,Audio ડિઓ આવર્તન એમ્પ્લીફાયર
ఆడియో ఫ్రీక్వెన్సీ జనరేటర్,Audio ડિઓ આવર્તન જનરેટર
ఆడియో ఫ్రీక్వెన్సీ పరిధి,Audio ડિઓ આવર્તન શ્રેણી
ఆడియో ఫ్రీక్వెన్సీ ప్రతిస్పందన,Audio ડિઓ આવર્તન પ્રતિસાદ
ఆడియో పరిమితి,સત્તાધિકારી
ఆడియో లైన్,Audષધિ
ఆడియో మిక్సర్,Audડિસર
ఆడియో మాడ్యులేషన్,Audio ડિઓ મોડ્યુલેશન
ఆడియో ఓసిలేటర్,ઓડિસ -ઓસિલેટર
ఆడియో అవుట్పుట్,Audio ડિઓ આઉટપાત
ఆడియో శక్తి,Auth ડિઓ સત્તાની સત્તા
ఆడియో నాణ్యత,કવિતા
ఆడియో సిగ్నల్,શ્રદ્ધા
ఆడియో సిగ్నల్ ప్రాసెసింగ్,Audio ડિઓ સિગ્નલ પ્રક્રિયા
ఆడియో స్పెక్ట్రం,Audio ડિઓ સ્પેક્ટ્રમ
ఆడియో నిల్వ,Audio ડિઓ સંગ્રહ
ఆడియో సబ్ క్యారియర్,Audડિસ
ఆడియో ట్రాన్స్ఫార్మర్,ઈડનીસ પરિશ્રમ
ఆడియో ట్రాన్స్మిటర్,Audio ડિઓ ટ્રાન્સમીટર
శ్రవణ/వీడియో కుదింపు,Audio ડિઓ/વિડિઓ કમ્પ્રેશન
ఆడియో-ఫ్రీక్వెన్సీ ఓసిలేటర్,Audડ-આવર્તન ઓસિલેટર
ఆడియో-ఫ్రీక్వెన్సీ సిగ్నల్,પુનરાવર્તન સંકેત
ఆడియోమెట్రీ,કવિતા
ఆడియో-విజువల్ ఎయిడ్,વિઝ્યુઅલી સહાય
శ్రవణ అవగాహన,ઉપદેશની ધારણા
ప్రామాణీకరణ,પ્રમાણીકરણ
అధీకృత క్యారియర్ ఫ్రీక్వెన్సీ,અધિકૃત વાહક આવર્તન
ఆటో క్యాడ్,ઓટો કેડ
ఆటో డయాగ్నస్టిక్స్,સ્વત -નિદાન
ఆటోమేటిక్,સ્વચાલિત
స్వయంచాలక నియంత్రణ,સ્વચાલિત નિયંત્રણ
ఆటోమేటిక్ డిటెక్షన్,સ્વચાલિત તપાસ
స్వయంచాలక పరికరాలు,સ્વચાલિત સાધનો
ఆటోమేటిక్ ఫ్రీక్వెన్సీ కంట్రోల్,સ્વચાલિત આવર્તન નિયંત્રણ
ఆటోమేటిక్ లిమిటర్,સ્વચાલિત મર્યાદા
ఆటోమేటిక్ మెషిన్,સ્વચાલિત યંત્ર
ఆటోమేటిక్ ఫేసే నియంత్రణ,આપમેળે phાંકણું નિયંત્રણ
ఆటోమేటిక్ పిక్చర్ ట్రాన్స్మిషన్,સ્વચાલિત ચિત્ર પ્રસારણ
ఆటోమేటిక్ ప్లేబ్యాక్,સ્વચાલિત પ્લેબેક
ఆటోమేటిక్ పవర్ కంట్రోల్,સ્વચાલિત વીજળી નિયંત્રણ
ఆటోమేటిక్ ప్రోగ్రామింగ్,સ્વચાલિત કાર્યક્રમ
ఆటోమేటిక్ రికార్డింగ్,સ્વચાલિત રેકોર્ડિંગ
ఆటోమేటిక్ రీసెట్,સ્વચાલિત ફરીથી સેટ કરવું
ఆటోమేటిక్ షట్టర్,સ્વચાલિત શટર
ఆటోమేటిక్ సిస్టమ్,સ્વચાલિત પદ્ધતિ
ఆటోమేటిక్ టెలిఫోన్,સ્વચાલિત ટેલિફોન
స్వయంచాలక ఉష్ణోగ్రత నియంత్రణ,સ્વચાલિત તાપમાને નિયંત્રણ
ఆటోమేటిక్ వోల్టేజ్ రెగ్యులేటర్,સ્વચાલિત વોલ્ટેજ નિયમનકાર
ఆటోమేటిక్ వాల్యూమ్ కంప్రెసర్,સ્વચાલિત વોલ્યુમ કોમ્પ્રેસર
ఆటోమేటిక్ వాల్యూమ్ కంట్రోల్,સ્વચાલિત વોલ્યુમ નિયંત્રણ
ఆటోమేటిక్ వాల్యూమ్ ఎక్స్‌పాండర్,સ્વચાલિત વોલ્યુમ વિસ્તૃતર
ఆటోమేషన్,સ્વચાલિતતા
ఆటోమేషన్ నియంత్రణ,સ્વચાલિત નિયંત્રણ
ఆటోమేషన్ ఫ్రీక్వెన్సీ కంట్రోలర్,સ્વચાલિત આવર્તન નિયંત્રક
సహాయక,સહાયક
సహాయక ఆడియో బస్సు,સહાયક audio ડિઓ બસ
అందుబాటులో ఉన్న శక్తి,ઉપલબ્ધ શક્તિ
హిమపాతం విచ్ఛిన్నం,હિમપ્રપાત
సగటు జీవితం,સરેરાશ
సగటు పీడనం,સરેરાશ દબાણ
సగటు వేగం,સામન્ય ગતિ
స్పిన్ యొక్క అక్షం,સ્પિનનો ધરી
అజిముత్,અઝિમુથ
అజిముత్ కోణం,અજીમુથ ખૂન
అజిముత్ లోపం,અઝીમુથ ભૂલ
బ్యాక్ లైట్,પાછલી બાજુ
బ్యాక్ ప్రొజెక్షన్,પૂર્વ -પ્રક્ષેપણ
వెనుక వోల్టేజ్ (= రివర్స్ వోల్టేజ్),બેક વોલ્ટેજ (= વિપરીત વોલ્ટેજ)
బ్యాక్‌ఫైర్ (ఆర్క్ బ్యాక్),બેકફાયર (આર્ક બેક)
నేపథ్య కాంతి,પૃષ્ઠભૂમિ
వెనుకవైపు శబ్ధం,પાછળનો ઘોંઘાટ
నేపథ్య ప్రొజెక్షన్,પૃષ્ઠભૂમિ
బ్యాకప్,પીઠ
అడ్డుపడే,શરમાળ
బేకింగ్,બાફવું
సమతుల్య ఆడియో,સંતુલિત audio ડિઓ
సమతుల్య ఆడియో లైన్,વારેલી audio ડિઓ લાઇન
సమతుల్య ప్రసార రేఖ,સંતુલન પ્રસારણ રેખા
బ్యాలెన్సింగ్,સંતુલન
బ్యాలస్ట్,બાલાસ
బ్యాలస్ట్ కారకం,બાલાસ
బలున్,બારીક
బ్యాండ్,પહાડી
బ్యాండ్ పాస్ ఫిల్టర్,બેન્ડ પાસ ફિલ્ટર
బ్యాండ్ సెలెక్టర్,પસંદગીકાર
బ్యాండ్ విభజన,વિભાજન
బ్యాండ్ స్టాప్ ఫిల్టర్,બેન્ડ સ્ટોપ ફિલ્ટર
బ్యాండ్ స్విచ్,સજાગ
బ్యాండ్ ట్యూనింగ్,આવરણ
బ్యాండ్‌విడ్త్,બ bandન્ટવિડ્થ
బార్,બાર
బార్ కోడ్,બાર -સંહિતા
బార్ డేటా,અવલંબ
బేర్ బ్యాండ్,સરખામણી
బేర్ లాంప్,દીવો
బార్న్ డోర్,કોઠાર
బేస్ బ్యాండ్,પાયાની પટ્ટી
బేస్ బ్యాండ్ సిగ్నల్,પાયાનો સંકેત
బేస్ బ్యాండ్ వ్యవస్థ,પાયાનો બેન્ડ પદ્ધતિ
బేస్ బ్రౌజర్,આધાર બ્રાઉઝર
బేస్ కలెక్టర్ జంక్షన్,આધાર -કલેકટર જંકશન
బేస్ ఇన్సులేటర్,આધાર -ઇન્સ્લેટર
బాస్,પાળનાર
బాస్ పరిహారం,બાસ
బాస్ లౌడ్‌స్పీకర్ (వూఫర్),બાસ લાઉડ સ્પીકર (વૂફર)
బ్యాచ్ స్కానింగ్,બેચ સ્કેનીંગ
బ్యాటరీ ఛార్జింగ్,બ batteryટરી ચાર્જ
బీమ్,બીમ
బీట్,ધબક
బీట్ ఫ్రీక్వెన్సీ ఓసిలేటర్,આવર્તન ઓસિલેટરને હરાવ્યું
బెల్,પોત
బయాస్,પક્ષપાત
బయాస్ సర్క్యూట్,પૂર્વગ્રહ
బయాస్ ఫ్రీక్వెన్సీ,પક્ષપાત
బయాస్ వోల్టేజ్,પૂર્વગ્રહ
ఫార్వర్డ్ దిశలో పక్షపాతం,આગળની દિશામાં પક્ષપાતી
ద్వి-దిశాత్మక మైక్రోఫోన్,દ્વિ-દિશાકીય માઇક્રોફોન
బిల్‌బోర్డ్,પાટિયું
బిల్‌బోర్డ్ అప్లికేషన్,પાટિયાની અરજી
ద్వి-మెటాలిక్ మూలకం,દ્વિ ધાતુયુક્ત તત્વ
బైనరీ,દ્વિસંગી
బైనరీ కోడెడ్ దశాంశం,દ્વિસંગી કોડેડ દશાંશ
బైనరీ అంకెలు,દ્વિસંગી અંક (બીટ)
బైనరీ సంఖ్య,દ્વિસંગી સંખ્યા
బైనరల్ హియరింగ్,દ્વિપ્રહાર સુનાવણી
బైనాక్యులర్,દૂરબાહિક
బయోమెట్రిక్,જૈવિક
బైపోలార్ ట్రాన్సిస్టర్,દ્વિધ્રુવી ટ્રાંઝિસ્ટર
బిట్ కేటాయింపు,બીક ફાળવણી
బిట్ రేటు,પટાનો દર
బ్లాక్ & వైట్ టీవీ,બ્લેક એન્ડ વ્હાઇટ ટીવી
ఖాళీ,ખાલી
ఖాళీ విరామం,ખાલી અંતરાલ
బ్లాంకింగ్ స్థాయి,નારાજી સ્તર
బ్లీడర్ రెసిస్టెన్స్,લોહીલુહાણ પ્રતિકાર
బ్లింపెడ్ కెమెరా,ખળભળાટ મચાવનારું કેમેરો
బ్లైండింగ్ గ్లేర్,આંખ આડા કાન
బ్లింక్,ઝબકવું
బ్లింకింగ్,ઝબૂકતું
బ్లాక్ కోడ్,અવરોધ
బ్లాక్ రేఖాచిత్రం,રેખાક્રુતિ
బ్లాక్ ఇంటర్‌లీవ్,અવરોધ
కెపాసిటర్ నిరోధించడం,અવરોધકારક કેપેસિટર
ఓసిలేటర్‌ను నిరోధించడం,ઓસિલેટરને અવરોધિત કરી રહ્યું છે
బ్లూమ్,મોર
బ్లో లాంప్,ફાટવું
బ్లో పైప్,ફટકો
బ్లోవర్,બ્લોઅર
బ్లూటూత్,બ્લુટુથ
బాడీ కెపాసిటెన్స్,શરીરની આવરણ
బుక్‌మార్క్,પુસ્તકો
బూలియన్ బీజగణితం,બુલિયન બીજગણિત
బూమ్,બૂમ
బూస్ట్,વધતું જાય તેવું
బూస్టర్,બારીક
బూస్టర్ లైట్,બૂસ્ટર પ્રકાશ
బూస్టింగ్,વધવું
బూటింగ్,મતાધિકાર
బూట్స్ట్రాప్,બુટસ્ટ્રેપ
దిగువ కాంతి,તળિયે
బౌన్స్ లైట్,પ્રકાશ ઉછાળો
