Tamil,Kannada
நடுவர்,ನಿಣಿಸು
நடுவர்,ಮಧ್ಯಸ್ಥಿಕೆ
நடுவர் தீர்ப்பாயம்,ಮಧ್ಯಸ್ಥಿಕೆ ನ್ಯಾಯಮಂಡಳ
நடுவர்,ಮಧ್ಯಸ್ಥ
கட்டிடக்கலை,ವಾಸ್ತುಶಿಲ್ಪಿ
காப்பகங்கள்,ಆರ್ಕೈವ್ಸ್
பகுதி,ಪ್ರದೇಶ
பகுதி தலைமையகம்,ಪ್ರದೇಶದ ಪ್ರದೇಶ
வாதம்,ವಾದ
எழும்,ಹುಳು
ஆயுத படைகள்,ಸಶಸ್ತ್ರ ಪಡೆ
ஏற்பாடு,ಜೋಡಣೆ
நிலுவைத் தொகை,ಬಾಕಿ
நிலுவைத் அறிக்கை,ಬಾಕಿ ಹೇಳಿಕೆ
வருகை அறிக்கை,ಆಗಮನ ವರದಿ
ஆணவம்,ಅಸ್ತವ್ಯಸ್ತತೆ
அர்செனல்,ಸ ೦ ತಾನು
கட்டுரை,ಲೇಖನ
சங்கத்தின் கட்டுரைகள்,ಸಂಘದ ಲೇಖನಗಳು
கட்டுரைகள்,ಲೇಖನಗಳು
ஏறுவரிசை ஒழுங்கு,ಆರೋಹಣ
தெரிந்து கொள்ளுங்கள்,ಒತ್ತಿಹೇಳಿಸು
எங்கே இருக்கிறது,ಎಲ್ಲಿದೆ
அம்சம்,ಆಕಾರ
ஆவேசம்,ಆಪಾದನೆ
படுகொலை,ಹತ್ಯೆ
தாக்குதல்,ದಾಳಿ
ஒன்றுகூடு,ಜೋಡಿಸು
சட்டசபை,ಸಭೆ
ஒப்புதல்,ಒಪ್ಪು
உறுதிப்படுத்தவும்,ಪ್ರತಿಪಾದಿಸು
மதிப்பீட்டாளர்,ಮೌಲ್ಯಮಾಪಕ
மதிப்பீடு,ಮೌಲ್ಯಮಾಪನ
மதிப்பீட்டு ஆண்டு,ಮೌಲ್ಯಮಾಪನ ವರ್ಷ
மதிப்பீட்டாளர்,ಮೌಲ್ಯಮಾಪಕ
சொத்துக்கள்,ಸ್ವಸಮಾನಗಳು
ஒதுக்கப்பட்டவர்,ನಿಯೋಗಿ
ஒதுக்கீடு,ನಿಯೋಜನೆ
ஒதுக்குபவர்,ನಿಯೋಜಕ
உதவி,ಸಹಾಯ
இணை,ಜೊತೆಗಾರ
தொடர்பு,ಸಂಘ
கட்டணம் அனுமானம்,ಚಾರ್ಜ್ನ umption ಹೆ
உத்தரவாதம்,ಭರವಸೆ
உத்தரவாத நிறுவனம்,ಅಶ್ಯೂರೆನ್ಸ್ ಕಂಪನಿ
உறுதி,ಭರವಸೆ ಕೊಡು
தள்ளுபடியில்,ರಿಯಾಯಿತಿಯಲ್ಲಿ
அணு சக்தி,ಪರಮಾಣು ಶಕ್ತಿ
சமமாக,ಸಮನಾಗಿ
பிரீமியத்தில்,ಪ್ರೀಮಿಯಂನಲ್ಲಿ
இணைக்கவும்,ಲಗತ್ತಿಸು
இணைக்கப்பட்ட அலுவலகம்,ಲಗತ್ತಿಸಲಾದ ಕಚೇರಿ
இணைப்பு,ಬಾಂಧಾಣ
இணைப்பு வரிசை,ಲಗತ್ತು ಆದೇಶ
அடைதல்,ಸಾಧನೆ
முயற்சி,ಪ್ರಯತ್ನ
வருகை,ಹಾಜರಾತಿ
வருகை பதிவு,ಹಾಜರಾತಿ ನೋಂದಣಿ
வருகை சீட்டு,ಹಾಜರಾತಿ ಸ್ಲಿಪ್
கவனம்,ಗಮನ
சான்றளித்தல்,ದೃestೀಕರಣ
சான்றளிக்கப்பட்ட நகல்,ದೃ ested ೀಕರಿಸಿದ ಪ್ರತಿ
அணுகுமுறை,ವರ್ತನೆ
கவர்ச்சிகரமான சம்பளம்,ಆಕರ್ಷಕ ಸಂಬಳ
ஏலம்,ಹರಾಜು
ஏலதாரர்,ಹರಾಜುದಾರ
ஏல விற்பனை,ಹರಾಜು ಮಾರಾಟ
பார்வையாளர்கள்,ಪ್ರೇಕ್ಷಕರು
ஆடியோ-காட்சி காட்சி,ಆಡಿಯೊ ದೃಶ್ಯ ಪ್ರದರ್ಶನ
ஆடியோ காட்சி விளம்பரம்,ಆಡಿಯೋ ದೃಶ್ಯ ಪ್ರಚಾರ
தணிக்கை,ಲೆಕ್ಕಪರಿಶೋಧನೆ
தணிக்கை செய்யப்பட்ட கணக்குகள்,ಲೆಕ್ಕಪರಿಶೋಧಿತ ಖಾತೆಗಳು
தணிக்கை செய்யப்பட்ட இருப்புநிலை,ಲೆಕ್ಕಪರಿಶೋಧಿತ ಬ್ಯಾಲೆನ್ಸ್ ಶೀಟ್
தணிக்கை,ಲೆಕ್ಕಾಚಾರ
தணிக்கை ஆட்சேபனை,ಲೆಕ್ಕಪರಿಶೋಧನೆ
தணிக்கையாளரின் அறிக்கை,ಲೆಕ್ಕಪರಿಶೋಧಕರ ವರದಿ
ஆடிட்டோரியம்,ಸಭಾಪತಿ
தணிக்கை பத்தி,ಲೆಕ್ಕಪರಿಶೋಧನೆ
தணிக்கை அறிக்கை,ಲೆಕ್ಕಪರಿಶೋಧನೆ
சிக்கன நடவடிக்கை,ಕಠಿಣತೆ
சிக்கன நடவடிக்கை,ಕಠಿಣತೆ ಕ್ರಮಗಳು
உண்மையான,ಅಧಿಕೃತ
அங்கீகரிக்கப்பட்ட பிரதிநிதி,ಅಧಿಕೃತ ಪ್ರತಿನಿಧಿ
அதிகாரப்பூர்வ,ಅಧಿಕೃತವಾದ
அதிகாரம்,ಅಧಿಕಾರ
அதிகார கடிதம்,ಅಧಿಕಾರ ಪತ್ರ
அங்கீகாரம் பெற்றவர்,ಅಧಿಕಾರಾವಧ
அங்கீகரிக்கப்பட்ட மூலதனம்,ಅಧಿಕೃತ ಬಂಡವಾಳ
தானியங்கி,ಸ್ವಯಂಚಾಲಿತ
தன்னாட்சி,ಸ್ವಾಯತ್ತ
தன்னாட்சி உடல்,ಸ್ವಾಯತ್ತ ದೇಹ
தன்னாட்சி,ಸ್ವಾಯತ್ತತೆ
துணை,ಸಹಾಯಕ
கிடைக்கிறது,ಲಭ್ಯ
சராசரி,ಸರಾಸರಿ
சராசரி விடுப்பு,ಸರಾಸರಿ ರಜೆ
வெறுப்பு,ನಿವಾರಣೆ
தவிர்க்கவும்,ತಪ್ಪಿಸು
தவிர்க்கவும்,ತಪ್ಪಿಸಲು
வரியைத் தவிர்ப்பது,ತೆರಿಗೆ ತಪ್ಪಿಸುವುದು
காத்திருந்தது,ಕಾಯುತ್ತಿರುವ
விருது,ಪ್ರಶಸ್ತಿ
அதிகாரம் வழங்குதல்,ಪ್ರಶಸ್ತಿ ಪ್ರಾಧಿಕಾರ
விழிப்புணர்வு,ಅ ೦ ಗಿರುವಿಕೆ
பின்வாங்கியது,ಹಿತ್ತಲಿನ
பின்னணி,ಹಿನ್ನೆಲೆ
பின் பதிவு,ಹಿಂದಿನ ಲಾಗ್
பின்னால்,ಹಿಂದೆ
பின் குறிப்பு,ಹಿಂದಿನ ಉಲ್ಲೇಖ
காப்புப்பிரதி,ಬ್ಯಾಕ್ ಅಪ್
பின்தங்கிய வகுப்புகள்,ಹಿಂದುಳಿದ ತರಗತಿಗಳು
பின்தங்கிய பழங்குடி,ಹಿಂದುಳಿದ ಬುಡಕಟ್ಟು
மோசமான பேரம்,ಕೆಟ್ಟ ಚೌಕಾಶಿ
மோசமான நடத்தை,ಕೆಟ್ಟ ನಡತೆ
மோசமான தன்மை,ಕೆಟ್ಟ ಪಾತ್ರ
மோசமான காலநிலை கொடுப்பனவு,ಕೆಟ್ಟ ಹವಾಮಾನ ಭತ್ಯೆ
மோசமான நடத்தை,ಕೆಟ್ಟ ನಡವಳಿಕೆ
மோசமான கடன்,ಕೆಟ್ಟ ಸಾಲ
சாமான்கள்,ಸಾಮಾನು ಸರಂಜಾಮು
ஜாமீன்,ಜಾಮೀನು
இருப்பு,ಸಮತೋಲನ
சமநிலை வீழ்த்தப்பட்டது,ಸಮತೋಲನವನ್ನು ಉರುಳಿಸಿದೆ
இருப்பு முன்வைக்கப்பட்டது,ಸಮತೋಲನವನ್ನು ಮುಂದಕ್ಕೆ ತರಲಾಗಿದೆ
சீரான பட்ஜெட்,ಸಮತೋಲಿತ ಬಜೆಟ್
இருப்புநிலை,ಸಮತೋಲನ
வாக்குப்பதிவு,ಮತದಾನ
வாக்குப் பெட்டி,ಮತಪೆಟ್ಟಿಗೆ
வாக்குப்பதிவு காகிதம்,ಮತದಾನದ ಕಾಗದ
தடை,ನಿಷೇಧಿಸು
வங்கி,ಬ್ಯಾಂಕ್
வங்கி கணக்கு,ಬ್ಯಾಂಕ್ ಖಾತೆ
வங்கி இருப்பு,ಬ್ಯಾಂಕ್ ಬ್ಯಾಲೆನ್ಸ್
வங்கி கட்டணங்கள்,ಬ್ಯಾಂಕ್ ಶುಲ್ಕಗಳು
வங்கி உத்தரவாதம்,ಬ್ಯಾಂಕ್ ಖಾತರಿ
வங்கி விடுமுறை,ಬ್ಯಾಂಕ್ ರಜೆ
