Assamese,Marathi
ৰেট্ৰ&#39;গ্ৰেছন,प्रतिगामी
পশ্চাৎ বিকিৰণ,पोस्टरियर इरॅडिएशन
বেকৱাৰ্ড ডাইঅ&#39;ড / বেকৱাৰ্ড ডাইঅ&#39;ড,बॅकवर्ड डायोड / बॅकवर्ड डायोड
পিছলৈ তৰংগ দোলক,बॅकवर्ड वेव्ह ऑसिलेटर
"বাধা, বাধা","अडथळा, अडथळा"
বাধাগ্ৰস্ততা,अडथळा
সুষম দলং,संतुलित पूल
সুষম মডুলেটৰ,संतुलित मॉड्युलेटर
সুষম মডুলেটৰ,संतुलित मॉड्युलेटर
সুষম বৰ্তনী,संतुलित सर्किट
ভাৰসাম্যপূৰ্ণ গ্ৰেডিয়েণ্ট ডিটেক্টৰ,संतुलित ग्रेडियंट डिटेक्टर
কাৰেণ্ট ষ্টেবিলাইজাৰ ৰেজিষ্টেন্স,वर्तमान स्टॅबिलायझर प्रतिरोध
বলোমিটাৰ,बोलोमीटर
বলোমিটাৰ দলং,बोलोमीटर पूल
বেলুন,फुगा
কল জেক,केळी जॅक
কল প্লাগ,केळी प्लग
"বেণ্ড, বেণ্ডেজ","पट्टी, पट्टी"
বেণ্ড ড্ৰাইভাৰ,बँड चालक
বেণ্ড শক্তি,बँड ऊर्जा
বেণ্ড গেপ,बँड अंतर
badpark এম্প্লিফায়াৰ,बॅडपार्क अॅम्प्लीफायर
বেণ্ড পাছ ফিল্টাৰ,बँड पास फिल्टर
বড হাৰ জেনেৰেটৰ,बॉड रेट जनरेटर
banddispersion,banddispersion
বেণ্ড ৰেজিষ্টৰ,बँड रेझिस्टर
বেণ্ড ব্ৰেকাৰ ফিল্টাৰ,बँड ब्रेकर फिल्टर
বেণ্ড সম্প্ৰসাৰণ,बँड विस्तार
বেণ্ড আঁতৰোৱা ফিল্টাৰ,बँड रिमूव्हर फिल्टर
বেণ্ড এক্সপান্সন ডিফ্লেকচন মাল্টিপ্লাইয়াৰ,बँड विस्तार विक्षेप गुणक
বেণ্ড সম্প্ৰসাৰণ দূৰত্ব বহুগুণক,बँड विस्तार अंतर गुणक
"ৰশ্মি কেপাচিটৰ, বেংক কেপাচিটৰ","बीम कॅपेसिटर, बँक कॅपेसिटर"
"বাৰ্কাৰ কোড, বাৰ্কাৰ কোড","बार्कर कोड, बार्कर कोड"
barravaugen মাপকাঠী,barravaugen निकष
বেৰেটৰ,बॅरेटर
বাধা,अडथळा
ইনচুলেটিং কেপাচিটৰ,इन्सुलेट कॅपेसिटर
বাধা শক্তি,अडथळा ऊर्जा
ৰেজিষ্টৰ ভল্টেজ,रेझिस्टर व्होल्टेज
বাৰ্টলেট উইণ্ড&#39;,बार्टलेट विंडो
"ভিত্তি, ভিত্তি","आधार, आधार"
বেচ বেণ্ড,बेस बँड
বেচ বেণ্ড ট্ৰেন্সমিছন,बेस बँड ट्रान्समिशन
ভিত্তি চাৰ্জ,बेस चार्ज
বেচ কাৰেণ্ট,बेस करंट
ভিত্তি বিদ্যুৎ প্ৰবাহৰ উৎস,मूळ वर्तमान स्रोत
বেচ শ্বিয়াৰিং,बेस कातरणे
আধাৰ মদন,आधार मदन
বেচ এমিটাৰ ফিড,बेस एमिटर फीड
বেচ এমিটাৰ জংচন,बेस एमिटर जंक्शन
বেচ ইনজেকচন,बेस इंजेक्शन
গ্ৰাউণ্ড লাইন,ग्राउंड लाईन
ভিত্তি ৰেজিষ্টেন্স,बेस प्रतिकार
ভিত্তি উৎস,मूळ स्रोत
ভিত্তি প্ৰসাৰণ প্ৰতিৰোধ ক্ষমতা,बेस विस्तार प्रतिकार
ভিত্তি প্ৰসাৰণ প্ৰতিৰোধ ক্ষমতা,बेस विस्तार प्रतिकार
ভিত্তিৰ বেধ,बेस जाडी
ভিত্তি অভিগম,बेस प्रवेश
"ভিত্তি প্ৰস্থ মডুলেচন, ভিত্তি সম্প্ৰসাৰণ মডুলেচন","बेस विड्थ मॉड्युलेशन, बेस एक्सपेन्शन मॉड्युलेशन"
ভিত্তি সংগ্ৰাহক চুক্তি,बेस कलेक्टर करार
গোন্ধ,वास
বেছ ফ্ৰিকুৱেন্সি,बास वारंवारता
বেটাৰি,बॅटरी
baud,बॉड
বড হাৰ,बॉड दर
বড হাৰ জেনেৰেটৰ,बॉड रेट जनरेटर
বডো ক&#39;ড,बोडो कोड
"সংকেত, বিকন","सिग्नल, बीकन"
"মণিকা, বিড","माणिका, बीड"
মেনিক কেপাচিটৰ,मॅनिक कॅपेसिटर
মণিকাৰতাপি ৰেজিষ্টৰ,मणिकर्तपी प्रतिरोधक
"ৰশ্মি এন্টেনা, ৰশ্মি এন্টেনা","बीम अँटेना, बीम अँटेना"
ৰশ্মি ডিটেক্টৰ,बीम डिटेक्टर
ৰশ্মি শক্তিৰ নলী,बीम पॉवर नळी
ৰশ্মি চুইচিং নজেল,बीम स्विचिंग नोजल
ৰশ্মি প্ৰসাৰণ,तुळई विस्तार
বিট ফ্ৰিকুৱেন্সি,बीट वारंवारता
বিট-ফ্ৰিকুৱেন্সি অচিলেটৰ,बीट-फ्रिक्वेंसी ऑसिलेटर
পালছ দোলক,पल्स ऑसिलेटर
বেল,घंटा
বেণ্ডিং লছ,वाकणे नुकसान
বেচেল ফিল্টাৰ,बेसल फिल्टर
বিটা,बीटा
খ-হ বক্ৰ,b-h वक्र
"bias, পক্ষপাতিত্ব","पक्षपात, पक्षपात"
বায়াছ কাৰেণ্ট,पूर्वाग्रह वर्तमान
বায়াছ ৰেজিষ্টেন্স,पूर्वाग्रह प्रतिकार
ডাবল এন্টেনা,दुहेरी अँटेना
দ্বিমুখী লোড কাৰেণ্ট,द्विदिशात्मक भार प्रवाह
দ্বিমুখী এন্টেনা,द्विदिश अँटेना
দ্বিমুখী পোহৰ নিৰ্গত কৰা ডাইঅ&#39;ড,द्विदिश प्रकाश उत्सर्जक डायोड
দ্বিমুখী থাইৰিষ্টৰ,द्विदिशात्मक थायरिस्टर
bi FET প্ৰযুক্তি,bi FET तंत्रज्ञान
বাই পইণ্ট ট্ৰেন্সফৰ্মাৰ,द्वि-बिंदू ट्रान्सफॉर्मर
ডাবল ফিউজন,दुहेरी संलयन
দ্বিপাক্ষিক বৰ্তনী,द्विपक्षीय सर्किट
বাইনাৰী,बायनरी
বাইনাৰী যোগফল,बायनरी बेरीज
বাইনাৰী বৰ্তনী,बायनरी सर्किट
বাইনাৰী ক&#39;ড কৰা দশমিক,बायनरी कोडेड दशांश
বাইনাৰী ক&#39;ড কৰা দশমিক ব্যৱস্থা,बायनरी कोडेड दशांश प्रणाली
বাইনাৰী ডাইপোল কেপাচিটৰ,बायनरी द्विध्रुवीय कॅपेसिटर
বাইনাৰী কেলকুলেটৰ,बायनरी कॅल्क्युलेटर
বাইনাৰী কেলকুলেটৰ,बायनरी कॅल्क्युलेटर
বাইনাৰী ডিকোডাৰ,बायनरी डीकोडर
বাইনাৰী জখলা,बायनरी शिडी
বাইনাৰী পেথ&#39;মিটাৰ,बायनरी पॅथोमीटर
বাইনাৰী অৱস্থা,बायनरी स्थिती
বাইনাৰী-দশমিক ডিকোডাৰ,बायनरी-दशांश डिकोडर
বাইনাৰী লোড,बायनरी लोड
বাইনাৰী শব্দ,बायनरी शब्द
বাইপোলাৰ,द्विध्रुवीय
বাইপোলাৰ কেপাচিটৰ,द्विध्रुवीय कॅपेसिटर
বাইপোলাৰ ডিভাইচ,द्विध्रुवीय उपकरण
বাইপোলাৰ উৎস,द्विध्रुवीय स्रोत
বাইপোলাৰ ট্ৰেঞ্জিষ্টৰ,द्विध्रुवीय ट्रान्झिस्टर
বাইপোলাৰ জংচন ট্ৰেঞ্জিষ্টৰ,द्विध्रुवीय जंक्शन ट्रान्झिस्टर
দ্বিঘাত ফিল্টাৰ,चतुर्भुज फिल्टर
ডাবল পজিচন,दुहेरी स्थिती
দুটা পৰ্যায়ৰ মাল্টিভাইব্ৰেটৰ,दोन-स्टेज मल्टीव्हायब्रेटर
দ্বিমুখী ৰিলে,द्विदिशात्मक रिले
দুটা পৰ্যায়ৰ অৱস্থা,biphasic स्थिती
দুটা অৱস্থানৰ ট্ৰিগাৰ,दोन-स्थिती ट्रिगर
বিট ভুল,बिट त्रुटी
বিট ভুলৰ হাৰ,बिट त्रुटी दर
বিট ভুল,बिट त्रुटी
bitkal ত্ৰুটি,बिटकल त्रुटी
অন্ধ বাকচ,आंधळा बॉक्स
ঘনীভূত স্পন্দন,घनरूप नाडी
নিঃসৰণকাৰী,सचिव
নিঃসৰণ প্ৰতিৰোধক,सेक्रेटरी इनहिबिटर
অন্ধতা,अंधत्व
ছেগমেণ্ট ডায়াগ্ৰাম,खंड आकृती
ব্লক কৰা ইম্পিডেন্স,अवरोधित करणे
ফ্ৰেগমেণ্ট ট্ৰেন্সফাৰ,तुकडा हस्तांतरण
ইন্টাৰচেপ্ট,इंटरसेप्ट
ৰেজিষ্টৰ কেপাচিটৰ,रेझिस्टर कॅपेसिटर
ৰেজিষ্টৰ কেপাচিটৰ,रेझिस्टर कॅपेसिटर
ব্লক কৰা দোলক,रेझिस्टर ऑसिलेटर
ৰেজিষ্টৰ দোলক,ब्लॉकिंग ऑसिलेटर
ৰেজিষ্টৰ ভল্টেজ,रेझिस्टर व्होल्टेज
ব্ল&#39;ৱাৰ,ब्लोअर
বোড ডায়াগ্ৰাম,bode आकृती
voltzmann সম্পৰ্ক,voltzmann संबंध
voltzmann ধ্ৰুৱক,voltzmann स्थिरांक
বান্ধোন,बंध
বান্ধি ৰখা ষ্ট্ৰেইন গেজ,बाउंड स्ट्रेन गेज
স্ব-সহায়ক এম্প্লিফায়াৰ,स्वयं-समर्थक अॅम्प्लिफायर
বুলিয়ান বীজগণিত,बुलियन बीजगणित
বুলিয়ান সমীকৰণ,बुलियन समीकरण
বুট ষ্ট্ৰেপন,बूट Strapon
বুথৰ এলগৰিদম,बूथचे अल्गोरिदम
বুটষ্ট্ৰেপ প্ৰিজম বৰ্তনী,बूटस्ट्रॅप प्रिझम सर्किट
bosscutts শাসন কৰে,bosscutts नियम
বসু-চৌধাৰী হকেনহাম (BCH) কোড,बोस-चौधरी हॉकेनहॅम (BCH) कोड
"জপিয়াই, জপিয়াই","उडी, उडी"
বান্ধ খাই থকা ইলেক্ট্ৰন,बद्ध इलेक्ट्रॉन
bragg প্ৰতিফলক,ब्रॅग रिफ्लेक्टर
আন্তঃসংলগ্ন তাঁৰ,गुंफलेली तार
শাখা,शाखा
শাখা-প্ৰশাখা,शाखा
পৰীক্ষা বৰ্ড,प्रयोग मंडळ
ব্ৰেক জ&#39;ন,ब्रेक झोन
ভল্টেজ ভাঙি যোৱা,ब्रेकिंग व्होल्टेज
ব্ৰেকডাউন ডাইঅ&#39;ড,ब्रेकडाउन डायोड
ভাঙন স্থিৰকৰণ,फ्रॅक्चर फिक्सेशन
ভল্টেজ ভাঙি যোৱা,ब्रेकिंग व्होल्टेज
সেঁতু,पूल
ব্ৰীজ ৰেক্টিফায়াৰ,ब्रिज रेक्टिफायर
বহল বেণ্ড,रुंद बँड
সম্প্ৰচাৰ বেণ্ড,ब्रॉडकास्ट बँड
নক্ষত্ৰীয় এৰে,सूक्ष्म अॅरे
সম্প্ৰচাৰ,प्रसारण
সম্প্ৰচাৰ এন্টেনা,ब्रॉडकास्ट अँटेना
সম্প্ৰচাৰ গ্ৰাহক,ब्रॉडकास्ट रिसीव्हर
কম্পাঙ্ক সম্প্ৰচাৰ গ্ৰাহক,वारंवारता प्रसारण प्राप्तकर्ता
সম্প্ৰচাৰ ট্ৰেন্সমিটাৰ,प्रसारण ट्रान्समीटर
বুষ্টাৰ এন্টেনা,बूस्टर अँटेना
বাছ এন্টেনা,बस अँटेना
ব্ৰাছ বিসৰ্জন,ब्रश विसर्जन
bubbling AND গেট,बुडबुडे आणि गेट
বুডবুডু বা গেট,बुडबुडू किंवा गेट
বুদবুদযুক্ত স্মৃতিশক্তি,बबल स्मृती
ক্ষতিপূৰণমূলক ভল্টেজ,भरपाई व्होल्टेज
বাফাৰ,बफर
বাফাৰ এম্প্লিফায়াৰ,बफर अॅम्प्लीफायर
বাফাৰ বৰ্তনী,बफर सर्किट
বাফাৰ অপাৰেটৰ,बफर ऑपरेटर
বাফাৰ ৰেজিষ্টাৰ,बफर रजिस्टर
বাল্ব,बल्ब
জনসংখ্যাৰ প্ৰভাৱ,लोकसंख्या प्रभाव
মেক্ৰ&#39; অৰ্ধপৰিবাহী যন্ত্ৰ,मॅक्रो सेमीकंडक्टर उपकरण
মুঠি,घड
ডুব যোৱা বিনিময়,बुडलेली एक्सचेंज
ডুব যোৱা স্তৰ,बुडलेला थर
ডুব যোৱা সংস্পৰ্শ,बुडलेला संपर्क
ব্লাষ্ট এম্প্লিফায়াৰ,स्फोट अॅम्प्लीफायर
ব্লাষ্ট কভাৰ,स्फोट कव्हर
ব্লাষ্ট ফায়াৰিং,स्फोट गोळीबार
বিস্ফোৰণ দুৱাৰ এম্প্লিফায়াৰ,स्फोट दरवाजा अॅम्प्लीफायर
বাৰ্ষ্ট মোড,बर्स्ट मोड
বিস্ফোৰণ বিভাজক,स्फोट विभाजक
বিস্ফোৰণ সংকেত,स्फोट सिग्नल
বাৰ্ষ্ট ভুল সংশোধক ক&#39;ড,स्फोट त्रुटी सुधारक कोड
বাছ,पुरेसा
বাছ বাৰ,बस बार
বাছ সংস্থা,बस संघटना
বাছৰ মানদণ্ড,बस मानक
মাত্ৰ ক্ষণিক,फक्त क्षणिक
ফিল্টাৰৰ মূল্যৰ মাখন,बटर वर्थ फिल्टर
bnc তাঁৰ,bnc वायर
বিএনচি জইণ্টাৰ,BNC जॉइंटर
বাই-ৱে,च्या कडे
বাইপাছ কেপাচিটৰ,बायपास कॅपेसिटर
বাইট,बाइट
ভি বেণ্ড,व्ही बँड
C বেণ্ড এন্টেনা,सी बँड अँटेना
তাঁৰ,तार
তাঁৰৰ ৰুটিং,वायर राउटिंग
টেলিগ্ৰাফ টেলিভিছন,टेलिग्राफ दूरदर्शन
কেশ্ব মেমৰি,कॅशे मेमरी
ছিছিম ফ্ৰিকুৱেন্সি ষ্টেণ্ডাৰ্ড,Sisim वारंवारता मानक
কেলকুলেটৰ,कॅल्क्युलेटर
মানাংকন,कॅलिब्रेशन
কল ঠিকনা,कॉल पत्ता
কলপিট দোলক,कॉलपिट ऑसिलेटर
কেম কৰ্ডাৰ,कॅम कॉर्डर
কেমেৰা,कॅमेरा
কেমেৰাৰ নলী,कॅमेरा नळी
কেণ্ডেলা,candela
মমবাতিৰ শক্তি,मेणबत्ती शक्ती
কেন্টিলিভাৰ ষ্ট্ৰেইন গেজ,कॅन्टिलिव्हर स्ट्रेन गेज
ধৰি ৰখা,धारण
ৰক্তচাপ ট্ৰেন্সডুচাৰ,कॅपेसिटन्स ब्लड प्रेशर ट्रान्सड्यूसर
ধাৰণকাৰী বিতৰক,होल्डिंग वितरक
চুক্তি ধাৰণ কৰা,करार धारण
ধাৰণক্ষমতা গেজ,कॅपेसिटन्स गेज
ধৰি ৰখা সংগ্ৰাহক,धारण कलेक्टर
ধাৰণক্ষমতা বিক্ৰিয়াশীলতা,capacitance reactance
"কেপাচিটিভ এনাৰ্জি কনভাৰ্টাৰ, ট্ৰেন্সডুচাৰ","कॅपेसिटिव्ह एनर्जी कन्व्हर्टर, ट्रान्सड्यूसर"
কেপাচিটৰ,कॅपेसिटर
কেপাচিটৰ বেংক,कॅपेसिटर बँक
কেপাচিটৰ ফিল্টাৰ,कॅपेसिटर फिल्टर
কেপাচিটৰ ইনপুট ফিল্টাৰ,कॅपेसिटर इनपुट फिल्टर
উইঞ্চ মটৰ,विंच मोटर
পুলি চাৰ্ভো বডি,पुली सर्वो बॉडी
চৰখী,चरखी
বন্দী কৰা,पकडणे
capture clause,कॅप्चर कलम
কেপচাৰ ইফেক্ট,कॅप्चर प्रभाव
বাহক শব্দ অনুপাত,वाहक आवाज प्रमाण
গাড়ী ৰেডিঅ&#39;,कार रेडिओ
কাৰ্বন ৰেজিষ্টৰ,कार्बन प्रतिरोधक
কাৰ্ড ৰিডাৰ,कार्ड रीडर
কাৰ্ডিঅ&#39;ইড ডায়েগ্ৰাম,कार्डिओइड आकृती
গাড়ী,गाडी
carriage return,कॅरेज रिटर्न
বাহক,वाहक
বাহক যোগাযোগ,वाहक संप्रेषण
বাহক ঘনত্ব,वाहक एकाग्रता
বাহক কম্পাঙ্ক,वाहक वारंवारता
বাহক প্ৰজনন,वाहक पुनरुत्पादन
বাহক স্তৰ,वाहक पातळी
বাহক জীৱন,वाहक जीवन
বাহক গতিশীলতা,वाहक गतिशीलता
বাহক গুণন,वाहक गुणाकार
বাহক শব্দৰ মাত্ৰা,वाहक आवाज पातळी
বাহক পৰিসৰ,वाहक श्रेणी
বাহক পুনৰুদ্ধাৰ বৰ্তনী,वाहक पुनर्प्राप्ती सर्किट
বাহক পুনৰ সন্নিৱিষ্ট কৰা,वाहक पुनर्निवेशण
পৰিবাহী বিকিৰণ,प्रवाहकीय विखुरणे
বাহক দমন,वाहक दडपशाही
বাহক পিঞ্জৰা,वाहक पिंजरा
বাহক বেগ,वाहक वेग
হেণ্ড বিট,हाताचा तुकडा
ধাৰণ কৰা পতাকা,ध्वज धरला
"দখলৰ পঞ্জীয়ন, দখলৰ পঞ্জী","ताबा नोंदवही, ताबा नोंदवही"
পৰ্টেবল জেনেৰেটৰ,पोर्टेबल जनरेटर
carson&#39;s আইন,कार्सन कायदा
কাৰ্টিজ ফিউজ,काडतूस फ्यूज
কাৰ্টিজ টেপ,काडतूस टेप
কেৰী ফষ্টাৰ ব্ৰীজ,कॅरी फॉस्टर ब्रिज
ষ্টেপ এম্প্লিফায়াৰ,स्टेप अॅम्प्लीफायर
গ্ৰেডেচন,श्रेणीकरण
কেছকেড এম্প্লিফায়াৰ,कॅस्केड अॅम्प्लीफायर
"কেস্কোড এম্প্লিফায়াৰ, ষ্টেপ এম্প্লিফায়াৰ","Cascode अॅम्प्लीफायर, स्टेप अॅम्प्लीफायर"
কেছেট,कॅसेट
প্ৰৰোচনা,प्रलोभन
বন্দী কোটাৰ,कॅप्टिव्ह कोटर
কেথ&#39;ড,कॅथोड
কেথ&#39;ড ট্ৰেইলিং,कॅथोड ट्रेलिंग
কেথ&#39;ড ট্ৰেইলিং এম্প্লিফায়াৰ,कॅथोड ट्रेलिंग अॅम्प्लिफायर
কেথ&#39;ড লুমিনেন্স,कॅथोड ल्युमिनन्स
কেথ&#39;ড পদাৰ্থ,कॅथोड साहित्य
কেথ’ড ৰশ্মিৰ অচিলোস্কোপ,कॅथोड किरण ऑसिलोस्कोप
কেথ&#39;ড ৰশ্মিৰ নলী,कॅथोड रे ट्यूब
কেথ&#39;ড কণা নিক্ষেপ,कॅथोड कण जमा करणे
কেথ&#39;ড লুমিনেন্স,कॅथोड ल्युमिनन्स
কুয়াৰ ফিল্টাৰ,कॉयर फिल्टर
kaver ফিল্টাৰ,kaver फिल्टर
কোটৰ,कोटोर
এণ্ট্ৰেল ৰেডিয়চন,एंट्रल रेडिएशन
কটাৰ অনুনাদক,कोटर रेझोनेटर
ফেট চাৰ্জ কাপল্ড ডিভাইচ (CCD),फॅट चार्ज कपल्ड डिव्हाइस (सीसीडी)
cd ৰম,सीडी रोम
cd ৰম ড্ৰাইভ,सीडी रोम ड्राइव्ह
কোষ (বেটাৰী),सेल (बॅटरी)
কেন্দ্ৰীয় সম্পদ উপাদান,केंद्रीय संसाधन घटक
কেন্দ্ৰীয় সম্পদ একক,केंद्रीय संसाधन युनिट
কেন্দ্ৰীয় প্ৰচেছৰ,केंद्रीय प्रोसेसर
গড় স্কেল,अर्थ
মধ্যম কম্পাঙ্ক,मध्यम वारंवारता
মাজৰ এক্সজেষ্ট ট্ৰেন্সফৰ্মাৰ,मध्यम एक्झॉस्ट ट्रान्सफॉर्मर
"চিৰামিক, মাটি","सिरेमिक, चिकणमाती"
চিৰামিক ভৰোৱা,सिरेमिक फिलर
চিৰামিক ফিল্টাৰ,सिरेमिक फिल्टर
চিৰামিক সামগ্ৰী,सिरेमिक साहित्य
চিৰামিক অনুনাদক,सिरेमिक रेझोनेटर
চিৰামিক শব্দ গ্ৰাহক,सिरेमिक ध्वनी रिसीव्हर
cerenkov কেলকুলেটৰ,सेरेनकोव्ह कॅल्क्युलेटर
সৰমত,सरमत
চলকোজেনাইড,chalcogenide
কেলকোপাইৰাইট,कॅल्कोपायराइट
"চেনেল, চেনেল","चॅनेल, चॅनेल"
চেনেল বেণ্ড সম্প্ৰসাৰণ,चॅनेल बँड विस्तार
চেনেল ক&#39;ডাৰ,चॅनेल कोडर
চেনেল কম্পাঙ্ক,चॅनेल वारंवारता
চেনেলৰ চৰিত্ৰ,चॅनेल वर्ण
চেনেল পৃথকীকৰণ,चॅनेल वेगळे करणे
চেনেল তত্ত্ব,चॅनेल सिद्धांत
আখৰ উৎপাদক,वर्ण जनरेटर
চৰিত্ৰ চিনাক্তকৰণ,वर्ण ओळख
বৈশিষ্ট্যপূৰ্ণ ইম্পিডেন্স,वैशिष्ट्यपूर्ण प्रतिबाधा
চাৰ্জ কেৰিয়াৰ,चार्ज वाहक
চাৰ্জ নিয়ন্ত্ৰণ প্ৰাচল,चार्ज कंट्रोल पॅरामीटर
চাৰ্জ সংযুক্ত ডিভাইচ,जोडलेले उपकरण चार्ज करा
চাৰ্জ কাপল্ড ৰেণ্ডম এক্সেছ মেমৰি,चार्ज कपल्ड यादृच्छिक प्रवेश मेमरी
আধান ঘনত্ব,चार्ज घनता
চাৰ্জ ইনজেকচন ডিভাইচ,चार्ज इंजेक्शन डिव्हाइस
চাৰ্জ লছ,शुल्क तोटा
চাৰ্জ পাম্পিং,चार्ज पंपिंग
