Odiya,Gujarati
କ୍ୟାବିନ ହୁକ୍ |,કેબિન હૂક
କ୍ୟାବିନେଟ୍,કેબિનેટ
କ୍ୟାବୋଲ୍ଟଙ୍କ ବିଦାୟ,કેબોલ્ટે છોડી દીધું
କାଫେରିଆ |,કાફેટેરિયા
କେଜ୍ |,કેજ
କେଜ୍ ନିର୍ମାଣ,પાંજરાનું બાંધકામ
କ ain ନଙ୍କ ସୂତ୍ର |,કાઈનનું સૂત્ર
କେସନ୍ |,કેસોન
କେସନ୍ ରୋଗ |,કેસોન રોગ
କେସନ୍ ଫାଉଣ୍ଡେସନ୍ |,કેસોન ફાઉન્ડેશન
କେସନ୍ ଗଦା |,Caisson ખૂંટો
କାଲ୍କେରିସ୍ ଇଟା |,કેલ્કેરિયસ ઈંટ
କାଲକେୟାର ମାଟି |,કેલ્કેરિયસ માટી
କାଲ୍କେରିସ୍ କ୍ରଷ୍ଟ୍ |,કેલ્કેરિયસ પોપડો
ଗଣନା,કેલ્સિફિકેશન
ଗଣନା,કેલ્સિનેશન
କାଲସିନ୍,કેલ્સિન
କାଲସିଟ୍ |,કેલ્સાઇટ
କ୍ୟାଲସିୟମ୍-ଆଲୁମିନିଟ୍ ସିମେଣ୍ଟ |,કેલ્શિયમ-એલ્યુમિનેટ સિમેન્ટ
କ୍ୟାଲସିୟମ୍-ସିଲିକେଟ୍ ଇଟା |,કેલ્શિયમ-સિલિકેટ ઈંટ
କ୍ୟାଲସିୟମ୍-ସିଲିକେଟ୍ ହାଇଡ୍ରେଟ୍ |,કેલ્શિયમ-સિલિકેટ હાઇડ્રેટ
କାଲିଚେ |,કેલિચે
କାଲିଫର୍ନିଆର ଅନୁପାତ ଅନୁପାତ |,કેલિફોર્નિયા બેરિંગ રેશિયો
କାଲିପର୍ |,કેલિપર
କ୍ୟାଲୋରିମିଟର |,કેલરીમીટર
କ୍ୟାମ୍ବର |,કેમ્બર
କେନାଲ |,કેનાલ
କାନୋପି |,કેનોપી
କ୍ୟାଣ୍ଟିଲାଇଭର ଫୁଟିଂ |,કેન્ટિલવર ફૂટિંગ
କ୍ୟାପ୍,કેપ
ସାମର୍ଥ୍ୟ |,ક્ષમતા
ସମସ୍ତ ଟ୍ରାକର କ୍ଷମତା |,એઇલ ટ્રેકની ક્ષમતા
କ୍ୟାପ୍ କେବୁଲ୍ |,કેપ કેબલ
କ୍ଷମତା,કેપિલેરિટી
କ୍ୟାପିଲାରୀ ବ୍ରେକ୍ |,કેશિલરી વિરામ
କ୍ୟାପିଲାରୀ ପ୍ରବାହ |,કેશિલરી પ્રવાહ
କ୍ୟାପିଲାରୀ ଆର୍ଦ୍ରତା କିମ୍ବା କ୍ୟାପିଲାରୀ ପାଣି |,કેશિલરી ભેજ અથવા કેશિલરી પાણી
କ୍ୟାପିଲାରୀ ପୋର ସ୍ପେସ୍ |,કેશિલરી છિદ્ર જગ્યા
କ୍ୟାପିଲାରୀ ପୋରୋସିଟି |,કેશિલરી છિદ્રાળુતા
କ୍ୟାପିଲାରୀ ସ୍ପେସ୍ |,કેશિલરી જગ્યા
ବେଗ କ୍ୟାପଚର କରନ୍ତୁ |,કેપ્ચર વેગ
କାର୍ବନେସନ୍ |,કાર્બોનેશન
କାର୍ବନ କଳା,કાર્બન બ્લેક
କାଷ୍ଟବଲ୍ ଚିତ୍ତାକର୍ଷକ |,કાસ્ટબલ રીફ્રેક્ટરી
କାଷ୍ଟ-ଇନ୍-ପ୍ଲେସ୍ କିମ୍ବା କାଷ୍ଟ-ଇନ୍-ସିଟ୍ |,કાસ્ટ-ઇન-પ્લેસ અથવા કાસ્ટ-ઇન-સિટુ
କାଷ୍ଟ-ଇନ୍-ପ୍ଲେସ୍ ଗଦା |,કાસ્ટ-ઇન-પ્લેસ ખૂંટો
କାଷ୍ଟର |,એરંડા
ପଥର ପକାନ୍ତୁ |,કાસ્ટ પથ્થર
ଅନୁକ୍ରମଣିକା,ઉત્પ્રેરક
କ୍ୟାଟେନା |,કેટેના
ବିଲେଇ ମୁହଁ |,બિલાડીનો ચહેરો
ବିଲେଇ ମୁଣ୍ଡ,બિલાડીનું માથું
କେସନ୍,કેશન
ବିଲେଇ ଚାଲିବା |,કેટ વોક
କ୍ୟାଭିଟେସନ୍ କ୍ଷତି |,પોલાણ નુકસાન
ସେଲିଟ୍,સેલાઇટ
ସେଲୁଲାର୍ କଂକ୍ରିଟ୍ |,સેલ્યુલર કોંક્રિટ
ସେଲ୍ୟୁଲାର୍ ନିର୍ମାଣ,સેલ્યુલર બાંધકામ
ସିମେଣ୍ଟ |,સિમેન્ટ
"ସିମେଣ୍ଟ, ବିଟୁମିନିୟସ୍ |","સિમેન્ટ, બિટ્યુમિનસ"
"ସିମେଣ୍ଟ, ଉଚ୍ଚ ଶକ୍ତି |","સિમેન્ટ, ઉચ્ચ તાકાત"
"ସିମେଣ୍ଟ, ହାଇଡ୍ରୋଲିକ୍ |","સિમેન્ટ, હાઇડ્રોલિક"
"ସିମେଣ୍ଟ, କମ୍ ଉତ୍ତାପ |","સિમેન્ટ, ઓછી ગરમી"
"ସିମେଣ୍ଟ, ରାଜକୋଷ |","સિમેન્ટ, ચણતર"
"ସିମେଣ୍ଟ, ପ୍ରାକୃତିକ |","સિમેન્ટ, કુદરતી"
"ସିମେଣ୍ଟ, ପୋର୍ଟଲ୍ୟାଣ୍ଡ |","સિમેન્ટ, પોર્ટલેન્ડ"
"ସିମେଣ୍ଟ, ପୋର୍ଟଲ୍ୟାଣ୍ଡ ବ୍ଲାଷ୍ଟ ଫର୍ଣ୍ଣେସ୍ ସ୍ଲାଗ୍ |","સિમેન્ટ, પોર્ટલેન્ડ બ્લાસ્ટ ફર્નેસ સ્લેગ"
"ସିମେଣ୍ଟ, ପୋର୍ଟଲ୍ୟାଣ୍ଡ ପୋଜଜୋଲାନ୍ |","સિમેન્ટ, પોર્ટલેન્ડ પોઝોલન"
"ସିମେଣ୍ଟ, ସ୍ଲାଗ୍ |","સિમેન્ટ, સ્લેગ"
"ସିମେଣ୍ଟ, ସଲଫେଟ୍ ପ୍ରତିରୋଧକ |","સિમેન્ટ, સલ્ફેટ પ્રતિરોધક"
"ସିମେଣ୍ଟ, ସୁପର ସଲଫେଟ୍ |","સિમેન્ટ, સુપર સલ્ફેટેડ"
"ସିମେଣ୍ଟ, ଧଳା |","સિમેન્ટ, સફેદ"
ସିମେଣ୍ଟ-ଏଗ୍ରିଗେଟ୍ ଅନୁପାତ |,સિમેન્ટ-એગ્રિગેટ રેશિયો
ସିମେଣ୍ଟ ବିଷୟବସ୍ତୁ |,સિમેન્ટ સામગ્રી
ସିମେଣ୍ଟ ଜେଲ୍ |,સિમેન્ટ જેલ
ସିମେଣ୍ଟ ବନ୍ଧୁକ |,સિમેન્ટ બંદૂક
ସିମେଣ୍ଟ କିଲ୍ |,સિમેન્ટ ભઠ્ઠી
ସିମେଣ୍ଟ ରଙ୍ଗ |,સિમેન્ટ પેઇન્ટ
ସିମେଣ୍ଟ ପ୍ଲାଷ୍ଟର |,સિમેન્ટ પ્લાસ્ટર
ସିମେଣ୍ଟ ପଥର |,સિમેન્ટ ખડક
ସିମେଣ୍ଟ ସ୍ଲୁରି |,સિમેન્ટ સ્લરી
ସିମେଣ୍ଟ ଷ୍ଟୋରେଜ୍ |,સિમેન્ટ સંગ્રહ
ସିମେଣ୍ଟେସନ୍ ପ୍ରକ୍ରିୟା |,સિમેન્ટેશન પ્રક્રિયા
କେନ୍ଦ୍ରକରଣ |,સેન્ટરિંગ
ସେଣ୍ଟରିଂ ଏବଂ ସଟରିଂ |,સેન્ટરિંગ અને શટરિંગ
କେନ୍ଦ୍ରୀୟ ମିଶ୍ରିତ କଂକ୍ରିଟ୍ |,કેન્દ્રીય મિશ્રિત કોંક્રિટ
କେନ୍ଦ୍ରୀୟ ମିକ୍ସର୍ |,સેન્ટ્રલ મિક્સર
ସେଣ୍ଟ୍ରିଫୁଗୁଲ୍ ପ୍ରଶଂସକ |,કેન્દ્રત્યાગી ચાહક
ଚକ,ચાક
ଚାମ୍ଫର୍ |,ચેમ્ફર
ଚାମ୍ଫର୍ ଷ୍ଟ୍ରିପ୍ |,ચેમ્ફર સ્ટ્રીપ
ଚ୍ୟାନେଲ୍ ବିମ୍ |,ચેનલ બીમ
ଚରିତ୍ରଗତ ଭାର |,લાક્ષણિક લોડ
ବ istic ଶିଷ୍ଟ୍ୟ ଶକ୍ତି |,લાક્ષણિકતા શક્તિ
ଚାର୍ଜ ଅଫ୍ |,ચાર્જ બંધ
ଚାର୍ଜିଂ,ચાર્જિંગ
ଯା cking ୍ଚ,તપાસવું
ରାସାୟନିକ ବନ୍ଧ |,કેમિકલ બોન્ડ
ଚେର୍ନୋଜେମ୍ |,ચેર્નોઝેમ
ଛାତି ମାଟି |,ચેસ્ટનટ માટી
ଚିମନି ଗୁଟର |,ચીમની ગટર
ଚିପ୍ ବୋର୍ଡ |,ચિપ બોર્ડ
ଚିପିଙ୍ଗ୍ |,ચીપીંગ
ଚିପ୍ସ |,ચિપ્સ
ଚୁଟ୍,ચૂટ
କ୍ଲାସ୍ (କଂକ୍ରିଟ୍ ର),વર્ગ (કોંક્રિટનો)
ମାଟି,માટી
ମାଟି ବିଷୟବସ୍ତୁ |,માટી સામગ્રી
ମାଟି ପ୍ୟାନ |,માટીની તપેલી
ପରିଷ୍କାର,સાફ કરો
ସଫା କର,સાફ કરો
ସଫା କର |,ક્લીટ
କ୍ଲିଙ୍କର୍ |,ક્લિન્કર
କ୍ଲିପ୍,ક્લિપ
ଜମାଟ ବାନ୍ଧିବା |,કોગ્યુલેશન
କଠିନ ଏଗ୍ରିଗେଟ୍ |,બરછટ એકંદર
କଠିନ ଶସ୍ୟ ମାଟି |,બરછટ દાણાવાળી માટી
କୋଟ,કોટ
କଫର୍ ଡ୍ୟାମ୍ |,કોફર ડેમ
ମିଳନ,સંયોગ
କୋଲଏଡ୍ |,કોલોઇડ
କୋଲଏଡାଲ୍ ଆର୍ଦ୍ରତା ସମାନ ଅନୁପାତ |,કોલોઇડલ ભેજ સમકક્ષ ગુણોત્તર
କୋଲଏଡାଲ୍ ସିଷ୍ଟମ୍ |,કોલોઇડલ સિસ્ટમ
ମିଳିତ ମାଟି |,કોલ્યુવિયલ માટી
ସ୍ତମ୍ଭ,કૉલમ
କମ୍ବିଂ ଶେଷ,કોમ્બેડ પૂર્ણાહુતિ
ମିଳିତ ପଦଚିହ୍ନ |,સંયુક્ત પગ
ମିଶ୍ରିତ ଜଳ |,સંયુક્ત પાણી
ସାଧାରଣ କୋଠରୀ |,સામાન્ય રૂમ
ସଂପୂର୍ଣ୍ଣ ପ୍ରମାଣପତ୍ର,પૂર્ણતા પ્રમાણપત્ર
ଉପାଦାନ ବର୍ଗ,ઘટક ચોરસ
କଂକ୍ରିଟ୍ |,કોંક્રિટ
ସଂକଳନ,કન્ક્રિશન
ଏକତ୍ରିତ ହାର / ଫ୍ଲାଟ ହାର |,એકીકૃત દર/સપાટ દર
ପ୍ରଦୂଷକ,દૂષકો
ଆଲକୋଭ୍ ରାନ୍ଧିବା |,રસોઇ alcove
ମୁକାବିଲା,મુકાબલો
କରବେଲ |,કોર્બેલ
କର୍ନିସ୍ |,કોર્નિસ
ଦମ୍ପତି,કપલર
"ଦମ୍ପତି, ଦୁଇଥର |","કપલર, ડબલ"
"ଦମ୍ପତି, ପୁଟ୍ଲଗ୍ |","કપલર, પુટલોગ"
"ଦମ୍ପତି, ସ୍ୱିଭେଲ୍ |","કપલર, સ્વીવેલ"
ପାଠ୍ୟକ୍ରମ,અભ્યાસક્રમ
ରାଣ୍ଡମ୍ ରାଣ୍ଡଲ୍ ଚୁକ୍ତି |,કોર્સ્ડ રેન્ડમ રોડાં ચણતર
ଆଚ୍ଛାଦିତ କ୍ଷେତ୍ର |,આવરી લેવામાં આવેલ વિસ્તાર
କ୍ରିପ୍,કમકમાટી
କ୍ରିପ୍ କୋଏଫିସିଏଣ୍ଟ୍ |,ક્રીપ ગુણાંક
କ୍ରୋଟୋଭାଇନ୍ |,ક્રોટોવાઇન
କାଉ ପାଦ |,કાગડો પગ
ଖଣ୍ଡ ଗଠନ |,નાનો ટુકડો બટકું માળખું
ବନ୍ଦ କର |,કર્બ
ସାମ୍ପ୍ରତିକ,વર્તમાન
ବକ୍ର ପ୍ରତିରୋଧ,વળાંક પ્રતિકાર
ଓଦା ପ୍ରୁଫ୍ ପାଠ୍ୟକ୍ରମ |,ભીનાશ પ્રૂફ કોર્સ
ସମାପ୍ତ ତାରିଖ,પૂર્ણ થવાની તારીખ
ମୃତ ଭାର,ડેડ લોડ
ମୃତ ଜଳ |,મૃત પાણી
ଡେସିବେଲ୍ |,ડેસિબલ
ଡିଫ୍ଲୋକ୍କୁଲେସନ୍ |,ડિફ્લોક્યુલેશન
ବାୟୁମଣ୍ଡଳ କିମ୍ବା ବାୟୁ ସ୍ଥାନ ଅନୁପାତର ଡିଗ୍ରୀ |,વાયુમિશ્રણ અથવા એર સ્પેસ રેશિયોની ડિગ્રી
ଏକୀକରଣର ଡିଗ୍ରୀ |,એકત્રીકરણની ડિગ્રી
ବିଚ୍ଛେଦର ଡିଗ୍ରୀ |,વિખેરવાની ડિગ્રી
ପରିପୃଷ୍ଠାର ଡିଗ୍ରୀ |,સંતૃપ્તિની ડિગ્રી
ଘନତା,ઘનતા
ମରୁଭୂମି ରାସ୍ତା,રણ પેવમેન્ટ
ମରୁଭୂମି ମାଟି |,રણની માટી
ବିବରଣୀ,વિગતો
ବିକାଶ ଅବଧି,વિકાસ સમયગાળો
ଡି-ରାଶି,ડી-ક્ષિતિજ
ତ୍ରିକୋଣୀୟ ବନ୍ଧନ |,કર્ણ બંધન
ଚିତ୍ର,ડાયાગ્રામ
ଡିଜିଟାଲ୍ ଡକ୍ |,ડિજિટલ ડોક
ଭିନ୍ନ ଭିନ୍ନ ଜଳ ହାର |,વિભેદક પાણી દર
ଦିଲ୍ୟୁସନ୍ ଭେଣ୍ଟିଲେସନ୍ |,મંદન વેન્ટિલેશન
ଦିଲୁଭିୟମ୍,ડિલુવિયમ
ଭୋଜନ ଗୃହ,ડાઇનિંગ રૂમ
ଦିଗ ପେଗ୍ |,દિશા ખીંટી
ବିଚ୍ଛେଦ |,વિક્ષેપ
ବିଭ୍ରାନ୍ତକାରୀ |,ડિસ્ટેમ્પર
ଡକ୍ |,ડોક
ଦ୍ୱାର,દરવાજો
ଛାତ୍ରାବାସ,ડોર્મર
ଛାତ୍ରାବାସ ଯାଞ୍ଚ |,ડોર્મર ચેક
ଡବଲ୍ ଫ୍ଲେମିଶ୍ ବଣ୍ଡ୍ |,ડબલ ફ્લેમિશ બોન્ડ
ଡବଲ୍ ସ୍ତର |,ડબલ લેયર
ଡୋଭେଲ୍ |,ડોવેલ
ଚିତ୍ରାଙ୍କନ ବୋର୍ଡ |,ચિત્ર ફલક
ଚିତ୍ରାଙ୍କନ କକ୍ଷ |,દીવાનખાનું
ଡ୍ରାଇଫ୍,ડ્રિફ્ટ
ଶୁଖିଲା ବଲ୍ବ ତାପମାତ୍ରା |,શુષ્ક બલ્બ તાપમાન
ଶୁଖିଲା ଡକ୍ |,ડ્રાય ડોક
ଶୁଖିଲା ରବର ନିର୍ମାଣ,સુકા રબર ચણતર
ଡଚ୍ ବନ୍ଧନ |,ડચ બોન્ડ
ବାଣ୍ଡ କାନ୍ଥ |,વામન દિવાલ
ବାସସ୍ଥାନ ଏକକ,નિવાસ એકમ
ଇଭ୍,ઇવ
ଗୁପ୍ତାଙ୍ଗ,Eaves ગટર
ଆର୍ଥିକ ସମ୍ଭାବ୍ୟତା |,આર્થિક શક્યતા
ଏକ୍ଟୋଡାଇନାମୋରଫିକ୍ ମାଟି |,એક્ટોડાયનેમોર્ફિક માટી
ଏଡି,એડી
ପ୍ରଭାବଶାଳୀ ଆକାର |,અસરકારક કદ
ଇଫ୍ଲୋରସେନ୍ସ |,પુષ્પવૃત્તિ
ପ୍ରଭାବଶାଳୀ |,એફ્લુઅન્ટ
ଉଚ୍ଚତା,એલિવેશન
ବହିଷ୍କାର,એલુવિએશન
ଇଲୁଭିୟମ୍ |,એલ્યુવિયમ
ଏଣ୍ଡୋଡାଇନାମୋରଫିକ୍ ମାଟି |,એન્ડોડાયનેમોર્ફિક માટી
ଇଞ୍ଜିନିୟରିଂ ସମ୍ଭାବ୍ୟତା |,એન્જિનિયરિંગની શક્યતા
ଇଂରାଜୀ ବନ୍ଧନ |,અંગ્રેજી બોન્ડ
ଇଂରାଜୀ ବଗିଚା କାନ୍ଥ ବନ୍ଧ |,અંગ્રેજી ગાર્ડન વોલ બોન્ડ
"ଇପିଏମ୍ (ପ୍ରତି ମିଲିୟନ୍ ସହିତ ସମାନ), &quot;","EPM (મિલિયન દીઠ સમકક્ષ),&quot;"
ସମାନ ଓଜନ,સમકક્ષ વજન
Erg,અર્ગ
ଅଦଳବଦଳଯୋଗ୍ୟ |,વિનિમયક્ષમ
ଅଦଳବଦଳ ଅମ୍ଳତା |,વિનિમયક્ષમ એસિડિટી
ଅଦଳବଦଳ ସୋଡିୟମ୍ ପ୍ରତିଶତ (ESP),વિનિમયક્ષમ સોડિયમ ટકાવારી (ESP)
E. S P.,ઇ.એસ.પી.
ଅମ୍ଳତା ବିନିମୟ କରନ୍ତୁ |,એક્સચેન્જ એસિડિટી
ଏକ୍ସଚେଞ୍ଜ୍ କମ୍ପ୍ଲେକ୍ସ |,વિનિમય સંકુલ
ନିଷ୍କାସନ,એક્ઝોસ્ટ
ପ୍ରକାଶିତ ସମାପ୍ତ,ખુલ્લી પૂર્ણાહુતિ
ଆଖି,આંખ
ଆଖି ବ୍ରୋ,આંખ ભ્રમર
ସାମ୍ନା କରିବା |,સામનો કરવો
ବନ୍ଧନର ସମ୍ମୁଖୀନ |,બોન્ડનો સામનો કરવો
ନିରାପତ୍ତା କାରକ,સલામતીનું પરિબળ
ପତନ,પડવું
ଫେସିଆ |,ફેસિયા
ଫେସିଆ ବୋର୍ଡ |,ફેસિયા બોર્ડ
ତ୍ରୁଟି,દોષ
କ୍ଷେତ୍ର ଆର୍ଦ୍ରତା |,ક્ષેત્રની ભેજ
ଅନ୍ତିମ ଆର୍ଦ୍ରତା ସମାନ |,અંતિમ ભેજ સમકક્ષ
ଫିଲେଟ୍ (ମୋର୍ଟାର),ફિલેટ (મોર્ટારનું)
ଅନ୍ତିମ,અંતિમ
ଅନ୍ତିମ ମାପ |,અંતિમ માપન
ଅନ୍ତିମ ଦେୟ,અંતિમ ચુકવણીq
ଅନ୍ତିମ ପୂର୍ବ ଚାପ |,અંતિમ પૂર્વ તણાવ
ଅନ୍ତିମ ଟେନସନ |,અંતિમ તાણ
