English,Marathi
Assembly listing,असेंब्ली सूची
Assembly phase,असेंब्ली फेज
Assembly routine,असेंब्लीची दिनचर्या
Assembly time,असेंब्ली वेळ
Assembly unit,असेंब्ली युनिट
Assignment indexing,असाइनमेंट इंडेक्सिंग
Assignment operation,असाइनमेंट ऑपरेशन
Assignment statement,असाइनमेंट स्टेटमेंट
Associative address,असोसिएटिव्ह पत्ता
Associative array register,असोसिएटिव्ह अ‍ॅरे रजिस्टर
Associative key,असोसिएटिव्ह की
Associative language,असोसिएटिव्ह भाषा
Associative memory,असोसिएटिव्ह मेमरी
Associative storage,असोसिएटिव्ह स्टोरेज
Assumed decimal point,गृहीत दशांश बिंदू
Asymmetric device,असममित डिव्हाइस
Asymmetric i/o,असममित I/O
Asynchronous,एसिन्क्रोनस
Asynchronous computer,एसिन्क्रोनस संगणक
Asynchronous data transfer,एसिन्क्रोनस डेटा ट्रान्सफर
Asynchronous data transmission,एसिन्क्रोनस डेटा ट्रान्समिशन
Asynchronous devices,एसिन्क्रोनस डिव्हाइस
Asynchronous operation,एसिन्क्रोनस ऑपरेशन
Asynchronous signalling,एसिन्क्रोनस सिग्नलिंग
Asynchronous time division multiplexing,एसिन्क्रोनस टाइम डिव्हिजन मल्टिप्लेक्सिंग
Asynchronous transmission,एसिन्क्रोनस ट्रान्समिशन
Asynchronous working,एसिन्क्रोनस वर्किंग
Attached processing,संलग्न प्रक्रिया
Attached processor,संलग्न प्रोसेसर
Attached support processor,संलग्न समर्थन प्रोसेसर
Attended operation,ऑपरेशन उपस्थित
Attended trail printer,ट्रेल प्रिंटरला हजेरी लावली
Attention interruption,लक्ष व्यत्यय
Attention key,लक्ष की
Attenuation,क्षीणन
Attenuation constant,क्षीणन स्थिर
Attenuation distortion,क्षीणकरण विकृती
Attenuation equalizer,अ‍ॅटेन्युएशन इक्वेलायझर
Attenuator,अ‍ॅटेन्युएटर
Attribute,विशेषता
Audible alarm,ऐकण्यायोग्य अलार्म
Audio cassette,ऑडिओ कॅसेट
Audio enquiry,ऑडिओ चौकशी
Audio line,ऑडिओ लाइन
Audio response,ऑडिओ प्रतिसाद
Audio response message,ऑडिओ प्रतिसाद संदेश
Audio response unit,ऑडिओ प्रतिसाद युनिट
Audiotape storage unit,ऑडिओटेप स्टोरेज युनिट
Audio telecommunication line,ऑडिओ टेलिकम्युनिकेशन लाइन
Audio terminal,ऑडिओ टर्मिनल
Audit command language,ऑडिट कमांड भाषा
Audit programming,ऑडिट प्रोग्रामिंग
Audit trail,तपासणीचे सूत्र
Augend,ऑगेंड
Augment,वाढवणे
Augmenter,ऑगमेंटर
Author,लेखक
Authoring,लेखन
Authoring system,लेखन प्रणाली
Authority,अधिकार
Authorization code,अधिकृतता कोड
Authorized library,अधिकृत लायब्ररी
Authorized program,अधिकृत कार्यक्रम
Authorized program facility,अधिकृत कार्यक्रम सुविधा
Auto abstract,ऑटो अ‍ॅबस्ट्रॅक्ट
Autoanswer,स्वयंचलित
Auto booting,ऑटो बूटिंग
Auto bypass,ऑटो बायपास
Auto call (=automatic calling),ऑटो कॉल (= स्वयंचलित कॉलिंग)
Auto coder,ऑटो कोडर
Auto dial,ऑटो डायल
Autoflow,ऑटोफ्लो
Auto index,ऑटो इंडेक्स
Auto indexed addressing,ऑटो अनुक्रमित पत्ता
Automata,ऑटोमाटा
Automata theory,ऑटोमाटा सिद्धांत
Automata type,ऑटोमॅटा प्रकार
Automated bibliography,स्वयंचलित ग्रंथसूची
Automated data medium,स्वयंचलित डेटा मध्यम
Automated dictionary,स्वयंचलित शब्दकोश
Automated glossary,स्वयंचलित शब्दकोष
Automated logic diagram,स्वयंचलित लॉजिक डायग्राम
Automated management,स्वयंचलित व्यवस्थापन
Automated production management,स्वयंचलित उत्पादन व्यवस्थापन
Automated stock control,स्वयंचलित स्टॉक नियंत्रण
Automatic abstract,स्वयंचलित अमूर्त
Automatic abstracting,स्वयंचलित अ‍ॅबस्ट्रॅक्टिंग
Automatically programmed tools,स्वयंचलितपणे प्रोग्राम केलेली साधने
Automatic answering,स्वयंचलित उत्तर
Automatic call distributor,स्वयंचलित कॉल वितरक
Automatic calling,स्वयंचलित कॉलिंग
Automatic check,स्वयंचलित तपासणी
Automatic coding,स्वयंचलित कोडिंग
Automatic computing,स्वयंचलित संगणन
Automatic computing engine,स्वयंचलित संगणकीय इंजिन
Automatic constant,स्वयंचलित स्थिर
Automatic control engineering,स्वयंचलित नियंत्रण अभियांत्रिकी
Automatic data processing,स्वयंचलित डेटा प्रक्रिया
Automatic data processing system,स्वयंचलित डेटा प्रक्रिया प्रणाली
Automatic decimal alignment,स्वयंचलित दशांश संरेखन
Automatic dialing unit,स्वयंचलित डायलिंग युनिट
Automatic dictionary,स्वयंचलित शब्दकोश
Automatic equalization,स्वयंचलित समानता
Automatic error correction,स्वयंचलित त्रुटी सुधारणे
Automatic feed punch,स्वयंचलित फीड पंच
Automatic function,स्वयंचलित कार्य
Automatic indexing,स्वयंचलित अनुक्रमणिका
Automatic library call,स्वयंचलित लायब्ररी कॉल
Automatic message accounting,स्वयंचलित संदेश लेखा
Automatic number identification,स्वयंचलित संख्या ओळख
Automatic pagination,स्वयंचलित पृष्ठांकन
Automatic programming,स्वयंचलित प्रोग्रामिंग
Automatic punch,स्वयंचलित पंच
Automatic recovery program,स्वयंचलित पुनर्प्राप्ती कार्यक्रम
Automatic repeat request,स्वयंचलित पुनरावृत्ती विनंती
Automatic restart,स्वयंचलित रीस्टार्ट
Automatic routine,स्वयंचलित दिनचर्या
Automatic sequencing,स्वयंचलित अनुक्रम
Automatic sequential operation,स्वयंचलित अनुक्रमिक ऑपरेशन
Automatic stop,स्वयंचलित स्टॉप
Automatic variable,स्वयंचलित चल
Automatic volume recognition,स्वयंचलित व्हॉल्यूम ओळख
Automatic volume switching,स्वयंचलित व्हॉल्यूम स्विचिंग
Automation,ऑटोमेशन
Automation concept,ऑटोमेशन संकल्पना
Automatisation,स्वयंचलित
Automaton,ऑटोमॅटॉन
Automatic message routing,स्वयंचलित संदेश मार्ग
Automoniter,ऑटोमोनिटर
Automoniter routine,ऑटोमोनिटर रूटीन
Autonomous channel operation,स्वायत्त चॅनेल ऑपरेशन
Autonomous working,स्वायत्त काम
Autoplotter,ऑटोप्लॉटर
Auxiliary console,सहाय्यक कन्सोल
Auxiliary equipment,सहाय्यक उपकरणे
Auxiliary memory,सहाय्यक मेमरी
Auxiliary operation,सहाय्यक ऑपरेशन
Auxiliary routine,सहाय्यक दिनचर्या
Auxiliary storage,सहाय्यक संचयन
Auxiliary store,सहाय्यक स्टोअर
Availability,उपलब्धता
Available machine time,उपलब्ध मशीन वेळ
Available point,उपलब्ध बिंदू
Available space list,उपलब्ध जागा यादी
Available time,उपलब्ध वेळ
Available access time,उपलब्ध प्रवेश वेळ
Average conditional information,सरासरी सशर्त माहिती
Average edge time,सरासरी एज वेळ
Average information content,सरासरी माहिती सामग्री
Average information rate,सरासरी माहिती दर
Average transinformation content,सरासरी ट्रान्झिनफॉर्मेशन सामग्री
Average transinformation rate,सरासरी ट्रान्झिनफॉर्मेशन रेट
"Background display image (= static display
 Image)","पार्श्वभूमी प्रदर्शन प्रतिमा (= स्थिर प्रदर्शन
 प्रतिमा)"
Backgrounding (= background processing),पार्श्वभूमी (= पार्श्वभूमी प्रक्रिया)
Background job,पार्श्वभूमी नोकरी
Background noise,पार्श्वभूमी आवाज
Background printing,पार्श्वभूमी मुद्रण
Background processing,पार्श्वभूमी प्रक्रिया
Background program,पार्श्वभूमी कार्यक्रम
Background reader,पार्श्वभूमी वाचक
Background region,पार्श्वभूमी प्रदेश
"Backing storage (= auxiliary
 Storage)","बॅकिंग स्टोरेज (= सहाय्यक
 साठवण)"
Backing store,बॅकिंग स्टोअर
Back plane,मागे विमान
Backspace,बॅकस्पेस
Backspace character,बॅकस्पेस वर्ण
Backspacing,बॅकस्पॅकिंग
Backtracking,बॅकट्रॅकिंग
Backtracking structured programming,बॅकट्रॅकिंग स्ट्रक्चर्ड प्रोग्रामिंग
Backup,बॅकअप
Backup copy,बॅकअप कॉपी
Backup file,बॅकअप फाइल
Backup memory,बॅकअप मेमरी
Backup programmer,बॅकअप प्रोग्रामर
Backup store,बॅकअप स्टोअर
Backward channel,बॅकवर्ड चॅनेल
Backward error analysis,मागास त्रुटी विश्लेषण
Backward file recovery,मागास फाइल पुनर्प्राप्ती
Backward recovery,मागास पुनर्प्राप्ती
Backward supervision,मागास देखरेख
Backward trace,मागास ट्रेस
Balance,शिल्लक
Balanced circuit,संतुलित सर्किट
Balanced digit system,संतुलित अंक प्रणाली
Balanced error,संतुलित त्रुटी
Balanced merge,संतुलित विलीनीकरण
Balanced merge sort,संतुलित विलीनीकरण क्रमवारी
Balanced sorting,संतुलित सॉर्टिंग
Balanced station,संतुलित स्टेशन
Balanced ternary system,संतुलित टर्नरी सिस्टम
Balanced forward statement,संतुलित फॉरवर्ड स्टेटमेंट
Balanced network,संतुलित नेटवर्क
Band,बँड
Bandpass,बँडपास
Bandpass filter,बँडपास फिल्टर
Band printer,बँड प्रिंटर
Band stop filter,बँड स्टॉप फिल्टर
Bandwidth,बँडविड्थ
Banner word,बॅनर शब्द
Bar code,बार कोड
Bar code reader,बारकोड वाचक
Bar code scanner,बार कोड स्कॅनर
Bar printer,बार प्रिंटर
Barrel printing (= drum printing),बॅरल प्रिंटिंग (= ड्रम प्रिंटिंग)
Base,पाया
Base address,बेस पत्ता
Base addressing,बेस पत्ता
Base address register,बेस पत्ता नोंदणी
Base band,बेस बँड
Base band channel,बेस बँड चॅनेल
Based storage allocation,आधारित स्टोरेज वाटप
Based variable,आधारित चल
Base element,बेस घटक
Base item,बेस आयटम
Base language,बेस भाषा
Base notation,बेस नोटेशन
Base number,बेस नंबर
Base register,बेस रजिस्टर
Base volume,बेस व्हॉल्यूम
BASIC,मूलभूत
Basic access method,मूलभूत प्रवेश पद्धत
Basic binary loader,मूलभूत बायनरी लोडर
Basic code,मूलभूत कोड
Basic coding,मूलभूत कोडिंग
Basic direct access method,मूलभूत थेट प्रवेश पद्धत
"Basic exchange
 Format","मूलभूत विनिमय
 स्वरूप"
"Basic external
 Function","मूलभूत बाह्य
 कार्य"
Basic input/output,मूलभूत इनपुट/आउटपुट
Basic instruction,मूलभूत सूचना
Basic linkage,मूलभूत दुवा
Basic looping,मूलभूत लूपिंग
Basic matrix,मूलभूत मॅट्रिक्स
Basic matrix instruction,मूलभूत मॅट्रिक्स सूचना
Basic real constant,मूलभूत वास्तविक स्थिर
Basic sequential access method,मूलभूत अनुक्रमिक प्रवेश पद्धत
Basic service,मूलभूत सेवा
Basic subscript,मूलभूत सबस्क्रिप्ट
Basic system instruction,मूलभूत सिस्टम सूचना
Basic telecommunications access method,मूलभूत दूरसंचार प्रवेश पद्धत
Basic weight,मूलभूत वजन
Batch,बॅच
Batch control record,बॅच नियंत्रण रेकॉर्ड
Batched communication,बॅचेड कम्युनिकेशन
Batched job,बॅच केलेले जॉब
Batch header document,बॅच शीर्षलेख दस्तऐवज
Batching,बॅचिंग
Batch operating system,बॅच ऑपरेटिंग सिस्टम
Batch partition,बॅच विभाजन
Batch position,बॅच स्थिती
