English,Odiya
approximate solution,ଆନୁମାନିକ ସମାଧାନ
approximation problem,ଆନୁମାନିକ ସମସ୍ୟା
approximation property,ଆନୁମାନିକ ସମ୍ପତ୍ତି
aptitude test battery,ଦକ୍ଷତା ପରୀକ୍ଷା ବ୍ୟାଟେରୀ |
Argand diagram,ଅର୍ଗାନ୍ ଚିତ୍ର |
arbitrarily chosen,ମନଇଚ୍ଛା ମନୋନୀତ |
arbitrary,ଇଚ୍ଛାଧୀନ |
arbitrary constant,ଇଚ୍ଛାଧୀନ ସ୍ଥିର |
arbitrary element,ଇଚ୍ଛାଧୀନ ଉପାଦାନ |
arbitrary point,ଇଚ୍ଛାଧୀନ ବିନ୍ଦୁ |
Archemedean law,ଆର୍କେମିଡିଆନ୍ ନିୟମ |
Archimedes principle,ଆର୍କିମିଡିସ୍ ନୀତି |
arc length,ଆର୍କ ଲମ୍ବ |
arc of circle,ବୃତ୍ତର ଆର୍କ |
arc sine distribution,ଆର୍କ ସାଇନ ବଣ୍ଟନ |
arc sine transformation,ଆର୍କ ସାଇନ ପରିବର୍ତ୍ତନ
area,କ୍ଷେତ୍ର
areal texture,ଆରେଲ୍ ଟେକ୍ସଚର୍ |
argument of complex number,ଜଟିଳ ସଂଖ୍ୟାର ଯୁକ୍ତି
arithmetic mean,ଗାଣିତିକ ଅର୍ଥ |
arithmetic operation,ଗାଣିତିକ କାର୍ଯ୍ୟ
arithmetic unit,ଗାଣିତିକ ଏକକ
arrangement,ବ୍ୟବସ୍ଥା
array,ଆରେ
artificial satellite,କୃତ୍ରିମ ଉପଗ୍ରହ |
artificial variable,କୃତ୍ରିମ ଭେରିଏବଲ୍ |
ascend,ଆରୋହଣ
ascending,ଆରୋହଣ
ascending order of magnitude,ତୀବ୍ରତାର କ୍ରମ
ascending series,ଆରୋହଣ କ୍ରମ |
assembler language,ଏକତ୍ରକାରୀ ଭାଷା |
assignment problem,ଆସାଇନମେଣ୍ଟ ସମସ୍ୟା
associative law,ସହଯୋଗୀ ନିୟମ |
associative law of operators,ଅପରେଟର୍ମାନଙ୍କର ଆସୋସିଏଟିଭ୍ ନିୟମ |
associative operation,ଆସୋସିଏଟିଭ୍ ଅପରେସନ୍ |
associativity,ସହଯୋଗୀତା |
assumed mean,ଅନୁମାନ କରାଯାଉଥିବା ଅର୍ଥ |
assumed probability distribution,ସମ୍ଭାବ୍ୟ ବଣ୍ଟନ ଅନୁମାନ କରାଯାଇଛି |
assumption,ଅନୁମାନ
astrology,ଜ୍ୟୋତିଷ ଶାସ୍ତ୍ର
astronautical engineer,ମହାକାଶଚାରୀ ଇଞ୍ଜିନିୟର
astronomer,ଜ୍ୟୋତିର୍ବିଜ୍ଞାନୀ
astronomical clock,ଜ୍ୟୋତିର୍ବିଜ୍ଞାନ ଘଣ୍ଟା |
astronomy,ଜ୍ୟୋତିର୍ବିଜ୍ଞାନ
asymmetrical curve,ଅସୀମିତ ବକ୍ର
asymmetry,ଅସୀମତା |
asymptote,asymptote
asymptotic,ଅସ୍ମିପଟୋଟିକ୍ |
asymptotically efficient estimator,ଅସାମାଜିକ ଭାବରେ ଦକ୍ଷ ଆକଳନକାରୀ |
asymptotically unbiased estimator,ଅସାମାଜିକ ଭାବରେ ନିରପେକ୍ଷ ଆକଳନକାରୀ |
asymptotic behavior,ଅସ୍ମିତିକ ଆଚରଣ |
asymptotic distribution function,ଅସ୍ମିପଟୋଟିକ୍ ବଣ୍ଟନ କାର୍ଯ୍ୟ |
asymptotic expansion,ଅସ୍ମିପଟୋଟିକ୍ ବିସ୍ତାର |
atmospheric pressure,ବାୟୁମଣ୍ଡଳୀୟ ଚାପ |
at random,ଅନିୟମିତତାରେ |
attribute,ଗୁଣ
attributes sampling procedure,ଗୁଣବତ୍ତା ନମୁନା ପ୍ରକ୍ରିୟା
augmented matrix,ବୃଦ୍ଧି ହୋଇଥିବା ମାଟ୍ରିକ୍ସ
autocorrelation coefficient,ଅଟୋକୋରେଲେସନ୍ କୋଏଫିସିଏଣ୍ଟ୍ |
autocorrelation function,ଅଟୋକୋରେଲେସନ୍ ଫଙ୍କସନ୍
autocovariance,ଅଟୋକୋଭାରିଆନ୍ସ |
automatic computer,ସ୍ୱୟଂଚାଳିତ କମ୍ପ୍ୟୁଟର |
autoregression,ଆତ୍ମସମ୍ମାନ
auxiliary equation,ସହାୟକ ସମୀକରଣ
average sample number curve (A.S.N. Curve),ହାରାହାରି ନମୁନା ସଂଖ୍ୟା ବକ୍ର (ASN ବକ୍ର)
axiom,axiom
axiomatic approach,ସ୍ୱୀକୃତିପ୍ରାପ୍ତ ଉପାୟ |
axiom of probability,ସମ୍ଭାବ୍ୟତାର axiom |
axis,ଅକ୍ଷ
axis of abscissa,ଅବସିସା ର ଅକ୍ଷ |
axis of earth,ପୃଥିବୀର ଅକ୍ଷ
axis of revolution,ବିପ୍ଳବର ଅକ୍ଷ
axis of rotation,ଘୂର୍ଣ୍ଣନ ଅକ୍ଷ
axis of spin,ସ୍ପିନ୍ ର ଅକ୍ଷ |
back-substitution,ବ୍ୟାକ୍-ପ୍ରତିସ୍ଥାପନ
backward difference,ପଛୁଆ ପାର୍ଥକ୍ୟ |
backward-interpolation formula,ପଛୁଆ-ଇଣ୍ଟରପୋଲେସନ୍ ସୂତ୍ର |
balance,ସନ୍ତୁଳନ
balanced design,ସନ୍ତୁଳିତ ଡିଜାଇନ୍ |
balance sheet,ତୂଳନା ପତ୍ର
ballistic missile,ବାଲିଷ୍ଟିକ୍ କ୍ଷେପଣାସ୍ତ୍ର |
ballistics,ବାଲିଷ୍ଟିକ୍
bar,ଦଣ୍ଡିକା
base,ଆଧାର
base angle,ମୂଳ କୋଣ
base of logarithm,ଲୋଗାରିଦମର ଆଧାର |
basic,ମ basic ଳିକ
basic feasible solution,ମ basic ଳିକ ସମ୍ଭାବ୍ୟ ସମାଧାନ |
basic solution,ମ basic ଳିକ ସମାଧାନ |
basic variable,ମ basic ଳିକ ଭେରିଏବଲ୍ |
basis,ଆଧାର
basis element,ଆଧାର ଉପାଦାନ |
basis matrix,ଆଧାର ମ୍ୟାଟ୍ରିକ୍ସ |
basis of a vector space,ଏକ ଭେକ୍ଟର ସ୍ପେସ୍ ର ଆଧାର |
basis of subspace,ସବ୍ ସ୍ପେସ୍ ର ଆଧାର |
Bayesian estimate,ବାଏସିଆନ୍ ଆକଳନ |
Bayes' law,ବାଇସ୍ ନିୟମ |
Bayes' theorem,ବାଇସ୍ ଥିଓରେମ୍ |
Bernoulli distribution,ବର୍ନୁଲି ବଣ୍ଟନ |
Bernoulli number,ବର୍ନୁଲି ସଂଖ୍ୟା |
Bernoulli probability function,ବର୍ନୁଲି ସମ୍ଭାବ୍ୟ କାର୍ଯ୍ୟ |
Bernoulli's equation,ବର୍ନୁଲିଙ୍କ ସମୀକରଣ |
Berry function,ବେରୀ କାର୍ଯ୍ୟ
best fit,ସର୍ବୋତ୍ତମ ଫିଟ୍ |
best - fit line,ସର୍ବୋତ୍ତମ - ଫିଟ୍ ଲାଇନ୍ |
best solution,ସର୍ବୋତ୍ତମ ସମାଧାନ |
best strategies,ସର୍ବୋତ୍ତମ ରଣନୀତି |
beta distribution,ବିଟା ବଣ୍ଟନ |
bias,ପକ୍ଷପାତ
biased estimate,ପକ୍ଷପାତ ଅନୁମାନ |
biharmonic equation,ବିହାରମୋନିକ୍ ସମୀକରଣ |
bijection,bijection
bijective map,ବାୟଜେକ୍ଟିଭ୍ ମାନଚିତ୍ର
bijective mapping,ବାୟଜେକ୍ଟିଭ୍ ମ୍ୟାପିଙ୍ଗ୍ |
bilinear form,ବିଲିନାର୍ ଫର୍ମ |
bilinear function,ବିଲିନାର୍ ଫଙ୍କସନ୍
bilinear Hermitian form,ବିଲିନାର୍ ହର୍ମିଟିଆନ୍ ଫର୍ମ |
binary,ବାଇନାରୀ
binary code,ବାଇନାରୀ କୋଡ୍ |
binary coded decimal,ବାଇନାରୀ କୋଡେଡ୍ ଦଶମିକ |
binary coding,ବାଇନାରୀ କୋଡିଂ |
binary computer,ବାଇନାରୀ କମ୍ପ୍ୟୁଟର |
binary digit,ବାଇନାରୀ ଅଙ୍କ
binary operation,ବାଇନାରୀ ଅପରେସନ୍ |
binary system,ବାଇନାରୀ ସିଷ୍ଟମ୍ |
binary variable,ବାଇନାରୀ ଭେରିଏବଲ୍ |
binomial coefficient,ଦ୍ୱିପାକ୍ଷିକ ଗୁଣବତ୍ତା |
binomial distribution,ଦ୍ୱିପାକ୍ଷିକ ବଣ୍ଟନ |
binomial equation,ଦ୍ୱିପାକ୍ଷିକ ସମୀକରଣ |
binomial expansion,ଦ୍ୱିପାକ୍ଷିକ ବିସ୍ତାର |
binomial expression,ଦ୍ୱିପାକ୍ଷିକ ଅଭିବ୍ୟକ୍ତି |
binomial random variable,ଦ୍ୱିପାକ୍ଷିକ ରାଣ୍ଡମ୍ ଭେରିଏବଲ୍ |
binomial theorem,ଦ୍ୱିପାକ୍ଷିକ ତତ୍ତ୍। |
bisection,ବିଭାଜନ
bisection method,ବିଭାଜନ ପଦ୍ଧତି |
bisector,bisector
biserial,ଦ୍ୱିପାକ୍ଷିକ |
bit,ବିଟ୍
bivariate binomial distribution,ଦ୍ୱିପାକ୍ଷିକ ଦ୍ୱିପାକ୍ଷିକ ବଣ୍ଟନ |
bivariate correlation coefficient,ବିଭାରିଏଟ୍ ସମ୍ପର୍କ କୋଏଫିସିଏଣ୍ଟ୍ |
bivariate distribution,ବିଭାରିଏଟ୍ ବଣ୍ଟନ |
bivariate normal distribution,ସାଧାରଣ ବଣ୍ଟନ
bivector,ବିଭେକ୍ଟର୍ |
Boltzmann equation,ବୋଲ୍ଟଜମାନ୍ ସମୀକରଣ |
Boolean algebra,ବୁଲିୟନ୍ ବୀଜ ବର୍ଣ୍ଣନା |
Bose - Einstein statistics,ବୋଷ - ଆଇନଷ୍ଟାଇନ ପରିସଂଖ୍ୟାନ |
boundary condition,ସୀମା ଅବସ୍ଥା
boundary layer,ସୀମା ସ୍ତର |
boundary line,ସୀମା ରେଖା |
boundary value,ସୀମା ମୂଲ୍ୟ
boundary value problem,ସୀମା ମୂଲ୍ୟ ସମସ୍ୟା |
bounded function,ସୀମାବଦ୍ଧ କାର୍ଯ୍ୟ
bounded matrix,ସୀମିତ ମାଟ୍ରିକ୍ସ |
bounded region,ସୀମାବଦ୍ଧ ଅଞ୍ଚଳ |
bounded set,ସୀମାବଦ୍ଧ ସେଟ୍ |
Brownian motion,ବ୍ରାଉନିଆନ୍ ଗତି |
calculate,ଗଣନା କର
calculating,ଗଣନା
calculating machine,ଗଣନା ଯନ୍ତ୍ର
calculation,ଗଣନା
calculational procedure,ଗଣନା ପ୍ରଣାଳୀ
calculator,କାଲକୁଲେଟର
calculus,ଗଣନା
calculus of variation,ପରିବର୍ତ୍ତନର ଗଣନା
calorie,କ୍ୟାଲୋରୀ
cancellation law,ବାତିଲ ନିୟମ
canonical equation,କାନୋନିକାଲ୍ ସମୀକରଣ |
canonical form,କାନୋନିକାଲ୍ ଫର୍ମ |
canonical matrix,କାନୋନିକାଲ୍ ମ୍ୟାଟ୍ରିକ୍ସ |
Cantor set,କ୍ୟାଣ୍ଟର ସେଟ୍ |
Cantor's ternary set,କ୍ୟାଣ୍ଟରର ଟର୍ନାରୀ ସେଟ୍ |
capacitated transportation problem,କ୍ଷମତା ସମ୍ପନ୍ନ ପରିବହନ ସମସ୍ୟା |
capacity,କ୍ଷମତା
capillary force,କ୍ୟାପିଲାରୀ ଫୋର୍ସ |
cardinal number,କାର୍ଡିନାଲ୍ ସଂଖ୍ୟା
Cartesian axes,କାର୍ଟେସିଆନ୍ କୁମ୍ଭ |
Cartesian coordinates,କାର୍ଟେସିଆନ୍ ସଂଯୋଜନା |
Cartesian product,କାର୍ଟେସିଆନ୍ ଉତ୍ପାଦ |
Cartesian product of sets,ସେଟ୍ ର କାର୍ଟେସିଆନ୍ ଉତ୍ପାଦ |
case study,କେସ୍ ଷ୍ଟଡି |
catastrophic fluctuation,ବିପର୍ଯ୍ୟସ୍ତ ପରିବର୍ତ୍ତନ
Catenary,କ୍ୟାଟେନାରୀ |
Cauchy distribution,କାଚି ବଣ୍ଟନ |
Cauchy formula,କାଚି ସୂତ୍ର |
Cauchy Goursat theorem,କାଚି ଗୁରସାଟ ଥିଓରେମ୍ |
Cauchy Riemann conditions,କାଚି ରିମାନ୍ ଅବସ୍ଥା |
Cauchy sequence,କାଚି କ୍ରମ |
Cauchy integral,କାଚି ଇଣ୍ଟିଗ୍ରାଲ୍ |
Cauchy principal value,କାଚି ମୁଖ୍ୟ ମୂଲ୍ୟ |
Cauchy residue theorem,କାଚି ଅବଶିଷ୍ଟ ଥିଓରେମ୍ |
Cayley Hamilton theorem,କେଲେ ହାମିଲଟନ୍ ଥିଓରେମ୍ |
celestial body,ସ୍ୱର୍ଗୀୟ ଶରୀର |
celestial measurement,ସ୍ୱର୍ଗୀୟ ମାପ
celestial mechanics,ସ୍ୱର୍ଗୀୟ ଯାନ୍ତ୍ରିକ
celestial object,ସ୍ୱର୍ଗୀୟ ବସ୍ତୁ |
cell frequency,କକ୍ଷ ଫ୍ରିକ୍ୱେନ୍ସି |
census,ଜନଗଣନା
centile,ସେଣ୍ଟିଲ୍ |
centimeter,ସେଣ୍ଟିମିଟର |
centimeter gram second system,ସେଣ୍ଟିମିଟର ଗ୍ରାମ୍ ଦ୍ୱିତୀୟ ସିଷ୍ଟମ୍ |
central,କେନ୍ଦ୍ରୀୟ |
central axis,କେନ୍ଦ୍ରୀୟ ଅକ୍ଷ
central difference,କେନ୍ଦ୍ରୀୟ ପାର୍ଥକ୍ୟ |
central difference formula,କେନ୍ଦ୍ରୀୟ ପାର୍ଥକ୍ୟ ସୂତ୍ର |
central difference table,କେନ୍ଦ୍ରୀୟ ପାର୍ଥକ୍ୟ ସାରଣୀ |
central limit theorem,କେନ୍ଦ୍ରୀୟ ସୀମା ଥିଓରେମ୍ |
central moment,କେନ୍ଦ୍ରୀୟ ମୁହୂର୍ତ୍ତ |
central processing unit (C.P.U),କେନ୍ଦ୍ରୀୟ ପ୍ରକ୍ରିୟାକରଣ ଏକକ (CPU)
central tendency,କେନ୍ଦ୍ରୀୟ ପ୍ରବୃତ୍ତି |
centre,କେନ୍ଦ୍ର
centre of gravity,ମାଧ୍ୟାକର୍ଷଣ କେନ୍ଦ୍ର |
centre of group,ଗୋଷ୍ଠୀର କେନ୍ଦ୍ର |
centre of mass,ଜନତା କେନ୍ଦ୍ର |
centre of symmetry,ସମୃଦ୍ଧତାର କେନ୍ଦ୍ର |
centrifugal force,ସେଣ୍ଟ୍ରିଫୁଗୁଲ୍ ଫୋର୍ସ |
centripetal force,ସେଣ୍ଟ୍ରିପେଟାଲ୍ ଫୋର୍ସ |
centroid,ସେଣ୍ଟ୍ରଏଡ୍
certainty,ନିଶ୍ଚିତତା
c.g.s. system,cgs ସିଷ୍ଟମ୍ |
c.g.s. unit,cgs ଏକକ
chain rule of differentiation,ଭିନ୍ନତାର ଶୃଙ୍ଖଳା ନିୟମ |
chance causes,ସୁଯୋଗ କାରଣ
chance moves,ସୁଯୋଗ ଗତି କରେ |
change of axes,କୁମ୍ଭଗୁଡ଼ିକର ପରିବର୍ତ୍ତନ
change of basis,ଆଧାର ପରିବର୍ତ୍ତନ
change of order,କ୍ରମ ପରିବର୍ତ୍ତନ
characteristic coefficient,ବ character ଶିଷ୍ଟ୍ୟ ଗୁଣବତ୍ତା
determinant,ନିର୍ଣ୍ଣୟକାରୀ
characteristic equation,ବ character ଶିଷ୍ଟ୍ୟ ସମୀକରଣ
characteristic function,ଚରିତ୍ରଗତ କାର୍ଯ୍ୟ
characteristic of logarithm,ଲୋଗାରିଦମର ଚରିତ୍ର |
characteristic polynomial,ଚରିତ୍ରିକ ବହୁଭୂତ |
characteristic value,ଚରିତ୍ରିକ ମୂଲ୍ୟ
characteristic vector,ଚରିତ୍ର ଭେକ୍ଟର୍ |
character set,ବର୍ଣ୍ଣ ସେଟ୍ |
chart,ଚାର୍ଟ
chi-square distribution,ଚି-ବର୍ଗ ବଣ୍ଟନ |
chi-square formula,ଚି-ବର୍ଗ ସୂତ୍ର |
chi-square test,ଚି-ବର୍ଗ ପରୀକ୍ଷା |
chord,ଧ୍ୱନି
chord-bisection method,କୋର୍ଡ-ବିସେକସନ ପଦ୍ଧତି |
cipher message (=coded message),ସାଇଫର୍ ବାର୍ତ୍ତା (= କୋଡ୍ ହୋଇଥିବା ବାର୍ତ୍ତା)
cipher (zero),ସାଇଫର୍ (ଶୂନ)
circle,ବୃତ୍ତ
circle of convergence,ସମ୍ମିଶ୍ରଣର ବୃତ୍ତ |
circuit matrix,ସର୍କିଟ୍ ମ୍ୟାଟ୍ରିକ୍ସ |
circular,ବୃତ୍ତାକାର |
circular asymptote,ବୃତ୍ତାକାର ଅସ୍ମପଟ୍ଟ |
circular helix,ବୃତ୍ତାକାର ହେଲିକ୍ସ |
circular motion,ବୃତ୍ତାକାର ଗତି |
circumcentre,ସୁନ୍ନତ
circumcircle,ସୁନ୍ନତ
circumscribe,ସର୍କୁସ୍କ୍ରିପ୍ କରନ୍ତୁ |
circumscribed,ସର୍କୁକ୍ରାଇଡ୍ |
circumscribed circle,ସର୍କୁକ୍ରାଇଡ୍ ସର୍କଲ୍ |
classical deductive technique,ଶାସ୍ତ୍ରୀୟ deductive କ que ଶଳ |
classical dynamics,ଶାସ୍ତ୍ରୀୟ ଗତିଶୀଳତା |
classical optimization,ଶାସ୍ତ୍ରୀୟ ଅପ୍ଟିମାଇଜେସନ୍ |
classical ruin problem,ଶାସ୍ତ୍ରୀୟ ଧ୍ୱଂସ ସମସ୍ୟା |
classical statistical mechanics,ଶାସ୍ତ୍ରୀୟ ପରିସଂଖ୍ୟାନ ଯାନ୍ତ୍ରିକ |
classification of errors,ତ୍ରୁଟିର ଶ୍ରେଣୀକରଣ
class interval,ଶ୍ରେଣୀ ବ୍ୟବଧାନ
class-interval unit,ଶ୍ରେଣୀ-ବ୍ୟବଧାନ ଏକକ |
class limit,ଶ୍ରେଣୀ ସୀମା
clockwise,ଘଣ୍ଟା ବୁଲାଇ |
clopen (= closed and open),clopen (= ବନ୍ଦ ଏବଂ ଖୋଲା)
closed,ବନ୍ଦ |
closed convex hull,ବନ୍ଦ କନଭକ୍ସ ହଲ୍ |
closed cube,ବନ୍ଦ କ୍ୟୁବ୍ |
closed curve,ବନ୍ଦ ବକ୍ର
closed domain,ବନ୍ଦ ଡୋମେନ୍ |
closed figure,ବନ୍ଦ ଚିତ୍ର
closed interval,ବନ୍ଦ ବ୍ୟବଧାନ |
closed region,ବନ୍ଦ ଅଞ୍ଚଳ |
closed set,ବନ୍ଦ ସେଟ୍ |
closed surface,ବନ୍ଦ ପୃଷ୍ଠ
closure,ବନ୍ଦ
closure operator,ବନ୍ଦ ଅପରେଟର |
closure point (= contact point),ବନ୍ଦ ବିନ୍ଦୁ (= ଯୋଗାଯୋଗ ବିନ୍ଦୁ)
closure postulate,ବନ୍ଦ ଡାକରା
closure set,ବନ୍ଦ ସେଟ୍ |
cluster point,କ୍ଲଷ୍ଟର ବିନ୍ଦୁ |
cluster sampling,କ୍ଲଷ୍ଟର ନମୁନା
cluster set,କ୍ଲଷ୍ଟର ସେଟ୍ |
