Odiya,Gujarati
ସଂଲଗ୍ନ ମ୍ୟାଟ୍ରିକ୍ସ |,સંલગ્નતા મેટ્રિક્સ
ସଂଲଗ୍ନ,અડીને
ସଂଲଗ୍ନ କୋଣ,અડીને આવેલા ખૂણા
ସଂଲଗ୍ନ ଭର୍ଟେକ୍ସ |,અડીને શિરોબિંદુ
ସଂଲଗ୍ନ,સંલગ્ન
ସଂଲଗ୍ନ,સંલગ્ન
ନିର୍ଣ୍ଣୟକାରୀ,સંલગ્ન નિર્ણાયક
ଭିନ୍ନ ଭିନ୍ନ ସମୀକରଣ,સંલગ્ન વિભેદક સમીકરણ
ସମୀକରଣ,સંલગ્ન સમીકરણ
ମ୍ୟାଟ୍ରିକ୍ସ ଯୋଡନ୍ତୁ |,સંલગ્ન મેટ્રિક્સ
ମାଟ୍ରିକ୍ସର ଯୋଗ,મેટ્રિક્સનો સંલગ્ન ભાગ
ମ୍ୟାଟ୍ରିକ୍ସ ଆଡୁଗେଟ୍ କରନ୍ତୁ |,એડજ્યુગેટ મેટ્રિક્સ
ଗ୍ରହଣୀୟ ନିଷ୍ପତ୍ତି କାର୍ଯ୍ୟ,સ્વીકાર્ય નિર્ણય કાર્ય
ଗ୍ରହଣୀୟ ଅନୁମାନ,સ્વીકાર્ય પૂર્વધારણા
ଏରୋଡାଇନାମିକ୍ ଫୋର୍ସ |,એરોડાયનેમિક બળ
ଏରୋଡାଇନାମିକ୍ସ |,એરોડાયનેમિક્સ
ଆଫାଇନ୍ ଜ୍ୟାମିତି |,સંલગ્ન ભૂમિતિ
ଆଫାଇନ୍ ମ୍ୟାପିଙ୍ଗ୍ |,affine મેપિંગ
ଆଫାଇନ୍ ଟ୍ରାନ୍ସଫର୍ମେସନ୍ |,સંલગ્ન રૂપાંતર
ଏଗ୍ରିଗେଟ୍ ଭେରିଏବଲ୍ |,એકંદર ચલો
ବୀଜ ବିବେଚନା,બીજગણિત
ବୀଜ ବର୍ଣ୍ଣିତ ଭାବରେ ବନ୍ଦ |,બીજગણિતીય રીતે બંધ
ବୀଜ ବର୍ଣ୍ଣିତ ସମୀକରଣ |,બીજગણિતીય સમીકરણ
ବୀଜ ବର୍ଣ୍ଣନା,બીજગણિતીય અભિવ્યક્તિ
ବୀଜ ବର୍ଣ୍ଣିତ ଫର୍ମ |,બીજગણિત સ્વરૂપ
ବୀଜ ବର୍ଣ୍ଣିତ କାର୍ଯ୍ୟ,બીજગણિત કાર્ય
ବୀଜ ବର୍ଣ୍ଣିତ ଜ୍ୟାମିତି |,બીજગણિત ભૂમિતિ
ବୀଜ ବର୍ଣ୍ଣିତ ଗୁଣ |,બીજગણિત ગુણાકાર
ବୀଜ ବର୍ଣ୍ଣିତ ପ୍ରଣାଳୀ |,બીજગણિત સિસ્ટમ
ସମସ୍ତ-ପୂର୍ଣ୍ଣ ସମସ୍ୟା |,તમામ પૂર્ણાંક સમસ્યા
ବଣ୍ଟନ ସମସ୍ୟା,ફાળવણી સમસ્યા
ବର୍ଣ୍ଣାନୁକ୍ରମିକ ଟିପ୍ପଣୀ |,આલ્ફાબેટીકલ નોટેશન
ବର୍ଣ୍ଣମାଳା ବର୍ଣ୍ଣ,આલ્ફાબેટીક અક્ષર
ବିକଳ୍ପ କୋଣ,વૈકલ્પિક કોણ
ବିକଳ୍ପ ଫର୍ମ |,વૈકલ્પિક સ્વરૂપ
ବିକଳ୍ପ ଗୋଷ୍ଠୀ,વૈકલ્પિક જૂથ
ବିକଳ୍ପ ମ୍ୟାଟ୍ରିକ୍ସ |,વૈકલ્પિક મેટ્રિક્સ
ବିକଳ୍ପ କ୍ରମ |,વૈકલ્પિક શ્રેણી
ବିକଳ୍ପ ଅନୁମାନ,વૈકલ્પિક પૂર્વધારણા
ବିକଳ୍ପ ଅପ୍ଟିମା |,વૈકલ્પિક ઓપ્ટિમા
ବିକଳ୍ପ ଫଳାଫଳ |,વૈકલ્પિક પરિણામ
ଆନାଗଲ୍-ଟୁ-ଡିଜିଟାଲ୍ କନଭର୍ଟର |,એનાલોગ-ટુ-ડિજિટલ કન્વર્ટર
ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |,એનાલોગ કમ્પ્યુટર
ବିଶ୍ଳେଷଣ |,વિશ્લેષણ
କୋଭାରିଆନ୍ସର ବିଶ୍ଳେଷଣ |,સહપ્રવૃત્તિનું વિશ્લેષણ
ଗଣନା ତଥ୍ୟର ବିଶ୍ଳେଷଣ |,ગણતરી માહિતીનું વિશ્લેષણ
ଭିନ୍ନତାର ବିଶ୍ଳେଷଣ |,વિચલનનું વિશ્લેષણ
ଆନାଲିଟିକ୍ ଜ୍ୟାମିତି |,વિશ્લેષણાત્મક ભૂમિતિ
ଆନାଲିଟିକ୍ କାର୍ଯ୍ୟ,વિશ્લેષણાત્મક કાર્ય
କୋଣ,કોણ
ଯୋଗାଯୋଗ କୋଣ,સંપર્ક કોણ
ବିଘ୍ନର କୋଣ |,વિચલન કોણ
ଉଦାସୀନତାର କୋଣ,હતાશાનો કોણ
ବିଘ୍ନର କୋଣ |,વિચલન કોણ
ବିଭାଜନର କୋଣ |,વિવર્તન કોણ
ଉଚ୍ଚତାର କୋଣ,એલિવેશન કોણ
ଘଟଣାର କୋଣ,ઘટના કોણ
ପ୍ରୋଜେକ୍ଟର କୋଣ,પ્રક્ષેપણ કોણ
ପ୍ରତିଫଳନ କୋଣ,પ્રતિબિંબ કોણ
ପ୍ରତିଫଳନ କୋଣ,રીફ્રેક્શન કોણ
ଘୂର୍ଣ୍ଣନ କୋଣ,પરિભ્રમણ કોણ
ସମୁଦାୟ ପ୍ରତିଫଳନର କୋଣ |,કુલ પ્રતિબિંબ કોણ
କୋଣାର୍କ ତ୍ୱରଣ |,કોણીય પ્રવેગક
କୋଣାର୍କ ଗତି |,કોણીય ગતિ
କୋଣାର୍କ ଗତି,કોણીય ઝડપ
କୋଣାର୍କ ବେଗ |,કોણીય વેગ
annulus,વલય
ଉତ୍ତର ଦିଅ,જવાબ
ଆଣ୍ଟି-ଡେରିଭେଟିଭ୍ |,વિરોધી વ્યુત્પન્ન
ଆଣ୍ଟିସାଇମେଟ୍ରିକ୍ କାର୍ଯ୍ୟ,એન્ટિસપ્રમાણ કાર્ય
ପ୍ରଯୁଜ୍ୟ |,લાગુ
ପ୍ରୟୋଗ,અરજી
ପ୍ରୟୋଗ ହୋଇଥିବା ଗତିଶୀଳ ପ୍ରୋଗ୍ରାମିଂ |,લાગુ ડાયનેમિક પ્રોગ્રામિંગ
ପ୍ରୟୋଗ ହୋଇଥିବା ଜ୍ୟାମିତି |,લાગુ ભૂમિતિ
ପ୍ରୟୋଗ ହୋଇଥିବା ଗଣିତ |,લાગુ ગણિત
ପ୍ରୟୋଗ ପରିସଂଖ୍ୟାନ |,લાગુ આંકડા
ପାଖାପାଖି,લગભગ
ପ୍ରାୟ ନିରନ୍ତର କାର୍ଯ୍ୟ |,લગભગ સતત કાર્ય
ଆନୁମାନିକ ପଦ୍ଧତି |,અંદાજિત પદ્ધતિ
ଆନୁମାନିକ ସମାଧାନ,અંદાજિત ઉકેલ
ଆନୁମାନିକ ସମସ୍ୟା,અંદાજની સમસ્યા
ଆନୁମାନିକ ସମ୍ପତ୍ତି,અંદાજિત મિલકત
ଦକ୍ଷତା ପରୀକ୍ଷା ବ୍ୟାଟେରୀ |,યોગ્યતા પરીક્ષણ બેટરી
ଅର୍ଗାନ୍ ଚିତ୍ର |,આર્ગાન્ડ ડાયાગ્રામ
ମନଇଚ୍ଛା ମନୋନୀତ |,મનસ્વી રીતે પસંદ કરેલ
ଇଚ୍ଛାଧୀନ |,મનસ્વી
ଇଚ୍ଛାଧୀନ ସ୍ଥିର |,મનસ્વી સતત
ଇଚ୍ଛାଧୀନ ଉପାଦାନ |,મનસ્વી તત્વ
ଇଚ୍ଛାଧୀନ ବିନ୍ଦୁ |,મનસ્વી બિંદુ
ଆର୍କେମିଡିଆନ୍ ନିୟମ |,આર્કેમીડિયન કાયદો
ଆର୍କିମିଡିସ୍ ନୀତି |,આર્કિમિડીઝ સિદ્ધાંત
ଆର୍କ ଲମ୍ବ |,ચાપ લંબાઈ
ବୃତ୍ତର ଆର୍କ |,વર્તુળની ચાપ
ଆର୍କ ସାଇନ ବଣ୍ଟନ |,આર્ક સાઈન વિતરણ
ଆର୍କ ସାଇନ ପରିବର୍ତ୍ତନ,આર્ક સાઈન ટ્રાન્સફોર્મેશન
କ୍ଷେତ୍ର,વિસ્તાર
ଆରେଲ୍ ଟେକ୍ସଚର୍ |,ક્ષેત્રીય રચના
ଜଟିଳ ସଂଖ୍ୟାର ଯୁକ୍ତି,જટિલ સંખ્યાની દલીલ
ଗାଣିତିକ ଅର୍ଥ |,અંકગણિત સરેરાશ
ଗାଣିତିକ କାର୍ଯ୍ୟ,અંકગણિત કામગીરી
ଗାଣିତିକ ଏକକ,અંકગણિત એકમ
ବ୍ୟବସ୍ଥା,વ્યવસ્થા
ଆରେ,એરે
କୃତ୍ରିମ ଉପଗ୍ରହ |,કૃત્રિમ ઉપગ્રહ
କୃତ୍ରିମ ଭେରିଏବଲ୍ |,કૃત્રિમ ચલ
ଆରୋହଣ,ચડવું
ଆରୋହଣ,ચડતા
ତୀବ୍ରତାର କ୍ରମ,તીવ્રતાનો ચડતો ક્રમ
ଆରୋହଣ କ୍ରମ |,ચડતી શ્રેણી
ଏକତ୍ରକାରୀ ଭାଷା |,એસેમ્બલર ભાષા
ଆସାଇନମେଣ୍ଟ ସମସ୍ୟା,સોંપણીની સમસ્યા
ସହଯୋଗୀ ନିୟମ |,સહયોગી કાયદો
ଅପରେଟର୍ମାନଙ୍କର ଆସୋସିଏଟିଭ୍ ନିୟମ |,ઓપરેટરોનો સહયોગી કાયદો
ଆସୋସିଏଟିଭ୍ ଅପରେସନ୍ |,સહયોગી કામગીરી
ସହଯୋଗୀତା |,સહયોગ
ଅନୁମାନ କରାଯାଉଥିବା ଅର୍ଥ |,ધાર્યું સરેરાશ
ସମ୍ଭାବ୍ୟ ବଣ୍ଟନ ଅନୁମାନ କରାଯାଇଛି |,અનુમાનિત સંભાવના વિતરણ
ଅନୁମାନ,ધારણા
ଜ୍ୟୋତିଷ ଶାସ୍ତ୍ର,જ્યોતિષ
ମହାକାଶଚାରୀ ଇଞ୍ଜିନିୟର,એસ્ટ્રોનોટિકલ એન્જિનિયર
ଜ୍ୟୋତିର୍ବିଜ୍ଞାନୀ,ખગોળશાસ્ત્રી
ଜ୍ୟୋତିର୍ବିଜ୍ଞାନ ଘଣ୍ଟା |,ખગોળશાસ્ત્રીય ઘડિયાળ
ଜ୍ୟୋତିର୍ବିଜ୍ଞାନ,ખગોળશાસ્ત્ર
ଅସୀମିତ ବକ୍ର,અસમપ્રમાણ વળાંક
ଅସୀମତା |,અસમપ્રમાણતા
asymptote,એસિમ્પ્ટોટ
ଅସ୍ମିପଟୋଟିକ୍ |,એસિમ્પટોટિક
ଅସାମାଜିକ ଭାବରେ ଦକ୍ଷ ଆକଳନକାରୀ |,એસિમ્પટોટિકલી કાર્યક્ષમ અંદાજકાર
ଅସାମାଜିକ ଭାବରେ ନିରପେକ୍ଷ ଆକଳନକାରୀ |,એસિમ્પટોટિકલી નિષ્પક્ષ અંદાજકર્તા
ଅସ୍ମିତିକ ଆଚରଣ |,એસિમ્પ્ટોટિક વર્તન
ଅସ୍ମିପଟୋଟିକ୍ ବଣ୍ଟନ କାର୍ଯ୍ୟ |,એસિમ્પ્ટોટિક વિતરણ કાર્ય
ଅସ୍ମିପଟୋଟିକ୍ ବିସ୍ତାର |,એસિમ્પ્ટોટિક વિસ્તરણ
ବାୟୁମଣ୍ଡଳୀୟ ଚାପ |,વાતાવરણ નુ દબાણ
ଅନିୟମିତତାରେ |,રેન્ડમ પર
ଗୁଣ,લક્ષણ
ଗୁଣବତ୍ତା ନମୁନା ପ୍ରକ୍ରିୟା,વિશેષતા નમૂના પ્રક્રિયા
ବୃଦ୍ଧି ହୋଇଥିବା ମାଟ୍ରିକ୍ସ,સંવર્ધિત મેટ્રિક્સ
ଅଟୋକୋରେଲେସନ୍ କୋଏଫିସିଏଣ୍ଟ୍ |,સ્વતઃસંબંધ ગુણાંક
ଅଟୋକୋରେଲେସନ୍ ଫଙ୍କସନ୍,સ્વતઃસંબંધ કાર્ય
ଅଟୋକୋଭାରିଆନ୍ସ |,ઓટોકોવરિઅન્સ
ସ୍ୱୟଂଚାଳିତ କମ୍ପ୍ୟୁଟର |,સ્વચાલિત કમ્પ્યુટર
ଆତ୍ମସମ୍ମାନ,ઓટો રીગ્રેશન
ସହାୟକ ସମୀକରଣ,સહાયક સમીકરણ
ହାରାହାରି ନମୁନା ସଂଖ୍ୟା ବକ୍ର (ASN ବକ୍ର),સરેરાશ સેમ્પલ નંબર કર્વ (ASN કર્વ)
axiom,સ્વયંસિદ્ધ
ସ୍ୱୀକୃତିପ୍ରାପ୍ତ ଉପାୟ |,સ્વયંસિદ્ધ અભિગમ
ସମ୍ଭାବ୍ୟତାର axiom |,સંભાવનાનું સ્વયંસિદ્ધ
ଅକ୍ଷ,ધરી
ଅବସିସା ର ଅକ୍ଷ |,abscissa ની અક્ષ
ପୃଥିବୀର ଅକ୍ଷ,પૃથ્વીની ધરી
ବିପ୍ଳବର ଅକ୍ଷ,ક્રાંતિની ધરી
ଘୂର୍ଣ୍ଣନ ଅକ୍ଷ,પરિભ્રમણની અક્ષ
ସ୍ପିନ୍ ର ଅକ୍ଷ |,સ્પિનની ધરી
ବ୍ୟାକ୍-ପ୍ରତିସ୍ଥାପନ,બેક-અવેજી
ପଛୁଆ ପାର୍ଥକ୍ୟ |,પછાત તફાવત
ପଛୁଆ-ଇଣ୍ଟରପୋଲେସନ୍ ସୂତ୍ର |,બેકવર્ડ-ઇન્ટરપોલેશન ફોર્મ્યુલા
ସନ୍ତୁଳନ,સંતુલન
ସନ୍ତୁଳିତ ଡିଜାଇନ୍ |,સંતુલિત ડિઝાઇન
ତୂଳନା ପତ୍ର,સરવૈયા
ବାଲିଷ୍ଟିକ୍ କ୍ଷେପଣାସ୍ତ୍ର |,બેલિસ્ટિક મિસાઇલ
ବାଲିଷ୍ଟିକ୍,બેલિસ્ટિક્સ
ଦଣ୍ଡିକା,બાર
ଆଧାର,પાયો
ମୂଳ କୋଣ,આધાર કોણ
ଲୋଗାରିଦମର ଆଧାର |,લઘુગણકનો આધાર
ମ basic ଳିକ,પાયાની
ମ basic ଳିକ ସମ୍ଭାବ୍ୟ ସମାଧାନ |,મૂળભૂત શક્ય ઉકેલ
ମ basic ଳିକ ସମାଧାନ |,મૂળભૂત ઉકેલ
ମ basic ଳିକ ଭେରିଏବଲ୍ |,મૂળભૂત ચલ
ଆଧାର,આધાર
ଆଧାର ଉପାଦାନ |,આધાર તત્વ
ଆଧାର ମ୍ୟାଟ୍ରିକ୍ସ |,આધાર મેટ્રિક્સ
ଏକ ଭେକ୍ଟର ସ୍ପେସ୍ ର ଆଧାର |,વેક્ટર સ્પેસનો આધાર
ସବ୍ ସ୍ପେସ୍ ର ଆଧାର |,સબસ્પેસનો આધાર
ବାଏସିଆନ୍ ଆକଳନ |,બેયસિયન અંદાજ
ବାଇସ୍ ନିୟମ |,બેયસનો કાયદો
ବାଇସ୍ ଥିଓରେମ୍ |,બેયસનું પ્રમેય
ବର୍ନୁଲି ବଣ୍ଟନ |,બર્નૌલી વિતરણ
ବର୍ନୁଲି ସଂଖ୍ୟା |,બર્નોલી નંબર
ବର୍ନୁଲି ସମ୍ଭାବ୍ୟ କାର୍ଯ୍ୟ |,બર્નૌલી સંભાવના કાર્ય
ବର୍ନୁଲିଙ୍କ ସମୀକରଣ |,બર્નૌલીનું સમીકરણ
ବେରୀ କାର୍ଯ୍ୟ,બેરી કાર્ય
ସର୍ବୋତ୍ତମ ଫିଟ୍ |,શ્રેષ્ઠ ગોઠવણ
ସର୍ବୋତ୍ତମ - ଫିଟ୍ ଲାଇନ୍ |,શ્રેષ્ઠ - ફિટ લાઇન
ସର୍ବୋତ୍ତମ ସମାଧାନ |,શ્રેષ્ઠ ઉકેલ
ସର୍ବୋତ୍ତମ ରଣନୀତି |,શ્રેષ્ઠ વ્યૂહરચના
ବିଟା ବଣ୍ଟନ |,બીટા વિતરણ
ପକ୍ଷପାତ,પૂર્વગ્રહ
ପକ୍ଷପାତ ଅନୁମାନ |,પક્ષપાતી અંદાજ
ବିହାରମୋନିକ୍ ସମୀକରଣ |,બિહાર્મોનિક સમીકરણ
bijection,બાયજેક્શન
ବାୟଜେକ୍ଟିଭ୍ ମାନଚିତ୍ର,દ્વિભાષી નકશો
ବାୟଜେକ୍ଟିଭ୍ ମ୍ୟାପିଙ୍ଗ୍ |,બાયજેક્ટિવ મેપિંગ
ବିଲିନାର୍ ଫର୍ମ |,દ્વિરેખીય સ્વરૂપ
ବିଲିନାର୍ ଫଙ୍କସନ୍,દ્વિરેખીય કાર્ય
ବିଲିନାର୍ ହର୍ମିଟିଆନ୍ ଫର୍ମ |,દ્વિરેખીય હર્મિટિયન સ્વરૂપ
ବାଇନାରୀ,દ્વિસંગી
ବାଇନାରୀ କୋଡ୍ |,દ્વિસંગી કોડ
ବାଇନାରୀ କୋଡେଡ୍ ଦଶମିକ |,દ્વિસંગી કોડેડ દશાંશ
ବାଇନାରୀ କୋଡିଂ |,દ્વિસંગી કોડિંગ
ବାଇନାରୀ କମ୍ପ୍ୟୁଟର |,દ્વિસંગી કમ્પ્યુટર
ବାଇନାରୀ ଅଙ୍କ,દ્વિસંગી અંક
ବାଇନାରୀ ଅପରେସନ୍ |,દ્વિસંગી કામગીરી
ବାଇନାରୀ ସିଷ୍ଟମ୍ |,દ્વિસંગી સિસ્ટમ
ବାଇନାରୀ ଭେରିଏବଲ୍ |,દ્વિસંગી ચલ
ଦ୍ୱିପାକ୍ଷିକ ଗୁଣବତ୍ତା |,દ્વિપદી ગુણાંક
ଦ୍ୱିପାକ୍ଷିକ ବଣ୍ଟନ |,દ્વિપદી વિતરણ
ଦ୍ୱିପାକ୍ଷିକ ସମୀକରଣ |,દ્વિપદી સમીકરણ
ଦ୍ୱିପାକ୍ଷିକ ବିସ୍ତାର |,દ્વિપદી વિસ્તરણ
ଦ୍ୱିପାକ୍ଷିକ ଅଭିବ୍ୟକ୍ତି |,દ્વિપદી અભિવ્યક્તિ
ଦ୍ୱିପାକ୍ଷିକ ରାଣ୍ଡମ୍ ଭେରିଏବଲ୍ |,દ્વિપદી રેન્ડમ ચલ
ଦ୍ୱିପାକ୍ଷିକ ତତ୍ତ୍। |,દ્વિપદી પ્રમેય
ବିଭାଜନ,દ્વિભાગ
ବିଭାଜନ ପଦ୍ଧତି |,દ્વિભાજન પદ્ધતિ
bisector,દ્વિભાજક
ଦ୍ୱିପାକ୍ଷିକ |,બાયસીરીયલ
ବିଟ୍,બીટ
ଦ୍ୱିପାକ୍ଷିକ ଦ୍ୱିପାକ୍ଷିକ ବଣ୍ଟନ |,દ્વિપક્ષીય દ્વિપદી વિતરણ
ବିଭାରିଏଟ୍ ସମ୍ପର୍କ କୋଏଫିସିଏଣ୍ଟ୍ |,બાયવેરિયેટ સહસંબંધ ગુણાંક
ବିଭାରିଏଟ୍ ବଣ୍ଟନ |,દ્વિવિધ વિતરણ
ସାଧାରଣ ବଣ୍ଟନ,બાયવેરિયેટ સામાન્ય વિતરણ
ବିଭେକ୍ଟର୍ |,બાઇવેક્ટર
ବୋଲ୍ଟଜମାନ୍ ସମୀକରଣ |,બોલ્ટ્ઝમેન સમીકરણ
ବୁଲିୟନ୍ ବୀଜ ବର୍ଣ୍ଣନା |,બુલિયન બીજગણિત
ବୋଷ - ଆଇନଷ୍ଟାଇନ ପରିସଂଖ୍ୟାନ |,બોઝ - આઈન્સ્ટાઈન આંકડા
ସୀମା ଅବସ୍ଥା,સીમાની સ્થિતિ
ସୀମା ସ୍ତର |,સીમા સ્તર
ସୀମା ରେଖା |,સીમા રેખા
ସୀମା ମୂଲ୍ୟ,સીમા મૂલ્ય
ସୀମା ମୂଲ୍ୟ ସମସ୍ୟା |,સીમા મૂલ્યની સમસ્યા
ସୀମାବଦ୍ଧ କାର୍ଯ୍ୟ,બંધાયેલ કાર્ય
ସୀମିତ ମାଟ୍ରିକ୍ସ |,બાઉન્ડેડ મેટ્રિક્સ
ସୀମାବଦ୍ଧ ଅଞ୍ଚଳ |,સીમિત પ્રદેશ
ସୀମାବଦ୍ଧ ସେଟ୍ |,બાઉન્ડેડ સેટ
ବ୍ରାଉନିଆନ୍ ଗତି |,બ્રાઉનિયન ગતિ
ଗଣନା କର,ગણત્રી
ଗଣନା,ગણતરી
ଗଣନା ଯନ୍ତ୍ର,ગણતરી મશીન
ଗଣନା,ગણતરી
ଗଣନା ପ୍ରଣାଳୀ,ગણતરીની પ્રક્રિયા
କାଲକୁଲେଟର,કેલ્ક્યુલેટર
ଗଣନା,કલન
ପରିବର୍ତ୍ତନର ଗଣନା,વિવિધતાની ગણતરી
କ୍ୟାଲୋରୀ,કેલરી
ବାତିଲ ନିୟମ,રદ કરવાનો કાયદો
କାନୋନିକାଲ୍ ସମୀକରଣ |,પ્રામાણિક સમીકરણ
କାନୋନିକାଲ୍ ଫର୍ମ |,પ્રમાણભૂત સ્વરૂપ
କାନୋନିକାଲ୍ ମ୍ୟାଟ୍ରିକ୍ସ |,પ્રમાણભૂત મેટ્રિક્સ
କ୍ୟାଣ୍ଟର ସେଟ୍ |,કેન્ટર સેટ
କ୍ୟାଣ୍ଟରର ଟର୍ନାରୀ ସେଟ୍ |,કેન્ટોરનો તૃતીય સમૂહ
କ୍ଷମତା ସମ୍ପନ୍ନ ପରିବହନ ସମସ୍ୟା |,ક્ષમતાયુક્ત પરિવહન સમસ્યા
କ୍ଷମତା,ક્ષમતા
କ୍ୟାପିଲାରୀ ଫୋର୍ସ |,રુધિરકેશિકા બળ
କାର୍ଡିନାଲ୍ ସଂଖ୍ୟା,મુખ્ય નંબર
କାର୍ଟେସିଆନ୍ କୁମ୍ଭ |,કાર્ટેશિયન અક્ષો
କାର୍ଟେସିଆନ୍ ସଂଯୋଜନା |,કાર્ટેશિયન કોઓર્ડિનેટ્સ
କାର୍ଟେସିଆନ୍ ଉତ୍ପାଦ |,કાર્ટેશિયન ઉત્પાદન
ସେଟ୍ ର କାର୍ଟେସିଆନ୍ ଉତ୍ପାଦ |,સેટનું કાર્ટેશિયન ઉત્પાદન
କେସ୍ ଷ୍ଟଡି |,કેસ સ્ટડી
ବିପର୍ଯ୍ୟସ୍ତ ପରିବର୍ତ୍ତନ,આપત્તિજનક વધઘટ
କ୍ୟାଟେନାରୀ |,કેટેનરી
କାଚି ବଣ୍ଟନ |,કોચી વિતરણ
କାଚି ସୂତ୍ର |,કોચી સૂત્ર
କାଚି ଗୁରସାଟ ଥିଓରେମ୍ |,કોચી ગૌરસત પ્રમેય
କାଚି ରିମାନ୍ ଅବସ୍ଥା |,Cauchy Riemann શરતો
କାଚି କ୍ରମ |,કોચી ક્રમ
କାଚି ଇଣ୍ଟିଗ୍ରାଲ୍ |,કોચી અભિન્ન
କାଚି ମୁଖ୍ୟ ମୂଲ୍ୟ |,કોચી મુખ્ય મૂલ્ય
କାଚି ଅବଶିଷ୍ଟ ଥିଓରେମ୍ |,કોચી અવશેષ પ્રમેય
କେଲେ ହାମିଲଟନ୍ ଥିଓରେମ୍ |,કેલી હેમિલ્ટન પ્રમેય
ସ୍ୱର୍ଗୀୟ ଶରୀର |,અવકાશી પદાર્થ
ସ୍ୱର୍ଗୀୟ ମାପ,અવકાશી માપ
ସ୍ୱର୍ଗୀୟ ଯାନ୍ତ୍ରିକ,અવકાશી મિકેનિક્સ
ସ୍ୱର୍ଗୀୟ ବସ୍ତୁ |,અવકાશી પદાર્થ
କକ୍ଷ ଫ୍ରିକ୍ୱେନ୍ସି |,સેલ આવર્તન
ଜନଗଣନା,વસ્તી ગણતરી
ସେଣ୍ଟିଲ୍ |,સેન્ટાઇલ
ସେଣ୍ଟିମିଟର |,સેન્ટીમીટર
