Bengali,Odiya
কৃষি-জলবায়ু বৈচিত্র্য,କୃଷି-ଜଳବାୟୁ ବିବିଧତା |
কৃষি জলবায়ু অঞ্চল সৃষ্টি,agroclimatic ଜୋନ୍ ସୃଷ୍ଟି |
কৃষি বনবিদ্যা,କୃଷି ଜଙ୍ଗଲ
কৃষিবিদ্যা,କୃଷି
কৃষিবিজ্ঞান,ଆଗ୍ରୋନୋମିକ୍
কৃষি যাজক,କୃଷି ପାଳକ
ফসল প্রক্রিয়াকরণ,ଫସଲ ପ୍ରକ୍ରିୟାକରଣ |
ঘাস বিজ্ঞান,ଘାସ ବିଜ୍ଞାନ |
ফসলের ধরন,ଫସଲ ପ୍ରକାର |
এপিফাইট,ଏପିଫାଇଟ୍ |
aikiochi মাটি,aikiochi ମାଟି |
বর্ণান্ধতা,ରଙ୍ଗ ଅନ୍ଧତା |
আলফিসল,ଆଲଫିସୋଲ୍ |
শৈবাল,ଶାଗ
শেওলা রোগ,ଆଲଗା ରୋଗ
ক্ষার জল,କ୍ଷାର ଜଳ |
ক্ষারীয়,କ୍ଷାର
বিকল্প,ବିକଳ୍ପ
অ্যালেলো রসায়ন,ଆଲେଲୋ କେମେଷ୍ଟ୍ରି |
অ্যালিল,ଆଲେଲେ
অ্যালিলোপ্যাথি,ଆଲେଲୋପାଥି
ভেথি ফসল,ଭେଟି ଫସଲ |
পরিপূর্ণতা,ସମାପ୍ତି
নিষিক্তকরণ,ଫର୍ଟିଲାଇଜେସନ୍
1. আপেক্ষিকতা 2. অ্যালোমেট্রি,1. ଆପେକ୍ଷିକତା 2. ଆଲୋମେଟ୍ରି |
multiploidy,ମଲ୍ଟିପ୍ଲୋଡି
1. প্যারাজিগোসিটি,1. ପାରାଜାଇଗୋସିଟି |
1. বিকল্প বছরের ফাংশন 2. বিকল্প ফাংশন,1. ବ Year କଳ୍ପିକ ବର୍ଷ କାର୍ଯ୍ୟ 2. ବିକଳ୍ପ କାର୍ଯ୍ୟ |
বিকল্প ভূমি ব্যবহার,ବିକଳ୍ପ ଜମି ବ୍ୟବହାର |
পরিবেশ,ପରିବେଶ
সংস্কারক,ସଂସ୍କାରକ
মাইটোসিস,ମାଇଟୋସିସ୍
আমীনান,ଆମେନାନ୍
ammonion,ଆମୋନିଅନ୍ |
amniferous,amniferous
1. অকার্যকর রূপ 2. অরূপী,1. ପ୍ରଭାବହୀନ ଫର୍ମ 2. ଅରୁପି |
উভচর মিশ্রণ,ଆମ୍ଫିବିଆନ୍ ମିଶ୍ରଣ |
amphoteric,ଆମ୍ଫୋଟେରିକ୍ |
মজুদ,ଷ୍ଟକପିଲିଂ |
1. অ্যানেরোবিক 2. অ্যানেরোবিক জীব,1. ଆନାଏରୋବିକ୍ 2. ଆନାଏରୋବିକ ଜୀବ |
হ্যাপ্লয়েড,ହାପ୍ଲଏଡ୍ |
কৌণিক রোপণ,କୋଣାର୍କ ବୃକ୍ଷ ରୋପଣ |
পশুপালন,ପଶୁପାଳନ
প্রাণীর মলমূত্র,ପଶୁ ନିର୍ଗମନ
জীবন্ত শক্তি,ଜୀବନ୍ତ ଶକ୍ତି
অস্বাভাবিক,ଅସନ୍ତୁଷ୍ଟ |
এক বছর বয়সী উদ্ভিদ,ଏକ ବର୍ଷ ପୁରୁଣା ଉଦ୍ଭିଦ |
বার্ষিক,ବାର୍ଷିକ
1. পরমানন্দ 2. উচ্ছ্বাস,1. ଉତ୍କଣ୍ଠା 2. ପ୍ରଭାବ
অ্যানথ্রাক্স,ଆନ୍ଥ୍ରାକ୍ସ
নৃতাত্ত্বিক কারণ,ଆନ୍ଥ୍ରୋପୋଜେନିକ୍ କାରକଗୁଡିକ |
বেঁচে থাকা,ବଞ୍ଚିବା
1. অ্যান্টিবায়োটিক 2. অ্যান্টিবায়োটিক,1. ଆଣ୍ଟିବାୟୋଟିକ୍ 2 ଆଣ୍ଟିବାୟୋଟିକ୍ |
বিকর্ষণকারী,ଘୃଣ୍ୟ
অ্যান্টিঅক্সিডেন্ট,ଆଣ୍ଟିଅକ୍ସିଡାଣ୍ଟ |
অ্যান্টিটক্সিন,ଆଣ୍ଟିଟୋକ୍ସିନ୍ |
অনামিকা আঙুল,ଆଙ୍ଗୁଠି ରିଙ୍ଗ୍ |
1. এফিড 2. মাহু 3. চেপা,1. ଆପିଡ୍ 2. ମାହୁ 3. ଚେପା |
শীর্ষ কুঁড়ি,ଉପର ଗୁଣ୍ଡ |
সর্বোচ্চ কার্যকারিতা,ଶିଖର ପ୍ରଭାବ
মৌমাছি পালন,ମହୁମାଛି ପାଳନ
অযৌনতা,ସମଲିଙ୍ଗୀତା
apoptosis,ଆପୋପ୍ଟୋସିସ୍ |
পরিশিষ্ট,ଅନୁକ୍ରମଣିକା
ক্ষুধার্ত,ଭୋକ
প্রয়োগ করা,ପ୍ରୟୋଗ ହୋଇଛି |
জলজ আগাছা,ଜଳୀୟ ତୃଣ
1. গাছ 2. গাছের বাসিন্দা,1. ବୃକ୍ଷ 2. ବୃକ୍ଷ ନିବାସୀ |
শাখা,ଶାଖା
প্রোটোবোটানিকাল রেকর্ড,ପ୍ରୋଟୋବୋଟାନିକାଲ୍ ରେକର୍ଡଗୁଡିକ |
জোন নম্বর,ଜୋନ୍ ସଂଖ୍ୟା
1. এলাকা 2. এলাকা,1. କ୍ଷେତ୍ର 2. କ୍ଷେତ୍ର
শুষ্ক বাস্তুতন্ত্র,ଶୁଖିଲା ଇକୋସିଷ୍ଟମ୍ |
cotyledon,କୋଟିଲଡନ୍ |
সৌরভ,ସ aur ରଭ |
সুগন্ধি উদ্ভিদ,ସୁଗନ୍ଧିତ ଉଦ୍ଭିଦ |
সুগন্ধি চাল,ସୁଗନ୍ଧିତ ଚାଉଳ |
ইক্ষু পুষ্পন,ଇକଶୁ ପୁଷ୍ପନ୍ |
অ্যাসেপটিক,ଆସେପ୍ଟିକ୍ |
1. অ্যাসেপটিক 2. অ্যাসেপটিক,1. ଆସେପ୍ଟିକ୍ 2. ଆସେପ୍ଟିକ୍ |
অস্ত্রোপচার,ସମଲିଙ୍ଗୀ ପ୍ରଜନନ |
আকার,ଆକାର
সম্পদ,ସମ୍ପତ୍ତି
1. আত্তীকরণ 2. আত্তীকরণ,1. ଆସ୍ମିଲେସନ୍ 2. ଆସ୍ମିଲେସନ୍ |
1. সমিতি 2. সমিতি,1. ଆସୋସିଏସନ 2. ଆସୋସିଏସନ
1. কলাম 2. কৃপণতা,1. ସ୍ତମ୍ଭ 2. ଜ୍ୟୋତିଷ
হেটেরোজাইগোসিটি,ହେଟେରୋଜାଇଗୋସିଟି |
1. পূর্বপুরুষ 2. অ্যাটাভিজম,1. ପିତୃପୁରୁଷ 2. ଆଟାଭିଜିମ୍ |
কণা,କଣିକା
1. অনিশ্চয়তা 2. দুর্বলতা,1. ଅନିଶ୍ଚିତତା 2. ଦୁର୍ବଳତା |
স্ব জোড়া,ଆତ୍ମ ଯୋଡି |
অটোলাইসিস,ଅଟୋଲାଇସିସ୍
1. স্বতঃস্ফূর্ত জারণ 2. স্বতঃস্ফূর্ত জারণ,1. ସ୍ ont ତ aneous ସ୍ପୃତ ଅକ୍ସିଡେସନ୍ 2. ସ୍ ont ତ aneous ସ୍ପୃତ ଅକ୍ସିଡେସନ୍ |
স্বয়ং মাল্টিপ্লেক্সড,ସ୍ୱୟଂ ମଲ୍ଟିପ୍ଲେକ୍ସଡ୍ |
অক্সিন,ଆକ୍ସିନ୍
1. কাঁপানো 2. টোড,1. ହଲାନ୍ତୁ 2. ଟୋଡ୍ |
পেনাল ভাইরাস,ଦଣ୍ଡବିଧାନ ଜୀବାଣୁ |
1. ব্যাসিলাস 2. ব্যাসিলাস,1. ବାକିଲସ୍ 2. ବାକିଲସ୍ |
1. ব্যাকটেরিয়া 2. ব্যাকটেরিয়া,1. ଜୀବାଣୁ 2. ଜୀବାଣୁ
ব্যাকটেরিয়াল টক্সিন,ଜୀବାଣୁ ବିଷାକ୍ତ
ব্যাগাস,ବାଗାସେ |
ব্যালেন্স শীট,ତୂଳନା ପତ୍ର
সুষম সার ব্যবহার,ସନ୍ତୁଳିତ ସାର ବ୍ୟବହାର |
বার গ্রাফ,ବାର୍ ଗ୍ରାଫ୍ |
বাকল,ଭୁକିବା |
1. ব্যারোমিটার 2. ব্যারোমিটার,1. ବାରୋମିଟର 2. ବାରୋମିଟର |
1. গুঞ্জন 2. অদৃশ্য 3. অনুর্বর,1. ବଜର୍ 2. ଅଦୃଶ୍ୟ 3. ବନ୍ଧ୍ୟା |
1. বেস 2. বেস 3. কাপং,1. ଆଧାର 2. ଆଧାର 3. କପଙ୍ଗ |
1. টালা 2. বেসিন,1. ତାଲା 2. ବେସିନ |
তালাবিসারি,ତଲାବିସାରି |
1. বেসিস্টেরনাম 2. রুট ধারক,1. ବେସ୍ଟର୍ନମ୍ 2. ମୂଳ ଧାରକ |
উপসাগরীয় বর্ষা,ଗଲ୍ଫ ମ so ସୁମୀ |
ফলের উদ্ভিদ,ଫଳ ଉଦ୍ଭିଦ |
বিছানা,ଶଯ୍ୟା
বিছানা উদ্ভিদ,ଶଯ୍ୟା ଉଦ୍ଭିଦ |
বিছানাপত্র,ଶଯ୍ୟା
বীট গুড়,ବିଲା ଗୁଣ୍ଡ |
বেল,ଘଣ୍ଟି
1. স্ট্রিপ 2. ভূখণ্ড,1. ଷ୍ଟ୍ରିପ୍ 2. ଭୂମି
লাভ-খরচ বিশ্লেষণ,ଲାଭ-ମୂଲ୍ୟ ବିଶ୍ଳେଷଣ |
উচ্চাকাঙ্ক্ষী (স্যাম্পলিং),ଆଶାକର୍ମୀ (ନମୁନା)
দ্বিবার্ষিক গাছপালা,ଦ୍ୱି ବର୍ଷୀୟ ଉଦ୍ଭିଦ |
দ্বিপদ,ଦ୍ୱିପାକ୍ଷିକ |
বায়োফ্যাক্টর,ବାୟୋଫାକ୍ଟର |
জৈবিক জলবায়ু,ଜ bi ବିକ ଜଳବାୟୁ |
জৈব শক্তি,ଜ o ବ ଶକ୍ତି |
প্রাণীজগতের বাস্তুসংস্থান,ଜୀବଜନ୍ତୁ ପରିବେଶ |
1. বায়ো-প্রসেসর 2. বায়ো-চুল্লি,1. ବାୟୋ-ପ୍ରୋସେସର୍ 2. ବାୟୋ-ରିଆକ୍ଟର |
জীবজগৎ,ଜ bi ବ ଜୀବ |
জৈবিক,ବାୟୋଟିକ୍ |
প্রাণীজগত,ପ୍ରାଣୀ
ডিভিলিঙ্গি,ଡିଭିଲିଙ୍ଗୀ |
ধওলান,ଧାୱାଲାନ୍ |
1. প্রধবাসন (রোগ) 2. দমকা রোগ,1. ପ୍ରଭାସନ୍ (ରୋଗ) 2. ଗୁଣ୍ଡ ରୋଗ |
মিশ্রন,ମିଶ୍ରଣ
1. আংমারী (রোগ) 2. ব্লাইট (রোগ),1. ଅଙ୍ଗମାରି (ରୋଗ) 2. ବ୍ଲାଇଟ୍ (ରୋଗ)
1. ফোস্কা 2. ফোস্কা 3. বিস্ফোরণ 4. ফোস্কা,1. ଫୁଲା 2. ଫୁଲା 3. ଉଦ୍ଗୀରଣ 4. ଫୁଲା |
নীল বিপ্লব,ନୀଳ ବିପ୍ଳବ |
প্ল্যানার হিটিং চেম্বার,ପ୍ଲାନାର୍ ହିଟିଂ ଚାମ୍ବର |
প্ল্যানার হিটিং প্রযুক্তি,ପ୍ଲାନାର୍ ଗରମ ପ୍ରଯୁକ୍ତିବିଦ୍ୟା |
তুষ,କଞ୍ଚା |
শাখা,ଶାଖା
1. ডালপালা 2. উপশাখা,1. ଟ୍ୱିଗ୍ 2. ସବବ୍ରାଞ୍ଚ |
বংশবৃদ্ধি,ପ୍ରଜାତି
প্রজনন,ପ୍ରଜନନ
প্রাথমিক অঙ্কুর চিকিত্সা,ଶୀଘ୍ର ଅଙ୍କୁର ଚିକିତ୍ସା |
1. বাচ্চা 2. ডিম 3. ভ্রূণ,1. ଘନ 2. ଅଣ୍ଡା 3. ଭ୍ରୁଣ |
উদীয়মান,ଅଙ୍କୁରିତ |
বাজেট,ବଜେଟ୍
1.অ্যাম্ফোটেরিক 2. বাফার,1. ଆମ୍ଫୋଟେରିକ୍ 2. ବଫର୍ |
মিষ্টি আলু,ମିଠା ଆଳୁ
বান্ট (রোগ),ବଣ୍ଟ (ରୋଗ)
1. উপজাত 2. উপজাত,1. ଉପ-ଉତ୍ପାଦ 2. ଉପ-ଉତ୍ପାଦ |
c আর্দ্রতা স্পেসিফিকেশন বক্ররেখা,c ଆର୍ଦ୍ରତା ନିର୍ଦ୍ଦିଷ୍ଟ ବକ୍ର
তেল পিষ্টক,ତେଲ କେକ୍ |
1. চুন 2. ক্যালসিয়াম,1. ଚୂନ 2. କ୍ୟାଲସିୟମ୍ |
ক্যালসিয়ন,କାଲସିଅନ୍ |
ফসফেট অপসারণ,ଫସଫେଟ୍ ଅପସାରଣ |
1. কিনাটা 2. কালটা,1. କିନାଟା 2. କାଲାଟା |
1.ক্যালাস 2. রশ্মি,1. କଲସ୍ 2. କିରଣ
1. সেপালস 2. ক্যালিক্স,1. କବରଗୁଡିକ 2. କାଲିକ୍ସ |
বহির্মুখী শেষ,ବାହ୍ୟ ଶେଷ
এধা,ଏଡା
ক্যানকার (ব্যাকটেরিয়াজনিত রোগ),କର୍କଟ (ଜୀବାଣୁ)
ক্যানিং,କ୍ୟାନିଂ |
আকাশ,ଆକାଶ
অর্থায়ন,ଅର୍ଥ
পরাগায়ন (ডুমুরের),ପ୍ରଦୂଷଣ (ଡିମ୍ବିରି)
1. ক্যাপসুল 2. ক্যাপসুল 3. ক্যাপসুল,1. କ୍ୟାପସୁଲ୍ 2. କ୍ୟାପସୁଲ୍ 3. କ୍ୟାପସୁଲ୍ |
কার্বনাইজড,ଅଙ୍ଗାରକାମ୍ଳ |
কার্বনান,ଅଙ୍ଗାରକାମ୍ଳ |
ক্যারাপেস,କାରାପେସ୍ |
ব্রেসলেট,ବ୍ରେସଲେଟ୍
1. ঢালাই (লোহা) 2. ক্ষিপ্তি (পোকা),1. କାଷ୍ଟିଂ (ଲୁହା) 2. କିସିପି (କୀଟ)
catabolism,କାଟାବୋଲିଜିମ୍ |
প্ররোচনা,ପ୍ରେରଣା
1. শুঁয়োপোকা 2. শুঁয়োপোকা,1. କୀଟପିଲା 2. କୀଟପିଲା |
গ d. এন. ক সংগ্রহ,c d। N. a। ସଂଗ୍ରହ
পরিসীমা,ପରିସର
1. কোষ 2. কোষ,1. କକ୍ଷ 2. କକ୍ଷ
কেন্দ্রীয় ফ্রন্ট সিস্টেম,କେନ୍ଦ୍ରୀୟ ସାମ୍ନା ବ୍ୟବସ୍ଥା |
1. পয়েন্ট 2. ফোকাস,1. ବିନ୍ଦୁ 2. ଧ୍ୟାନ |
কেন্দ্রীকরণ,ସେଣ୍ଟ୍ରିଫୁଗେସନ୍ |
সেন্ট্রিফিউজ,ସେଣ୍ଟ୍ରିଫୁଗ୍
তারকা কেন্দ্র,ତାରା କେନ୍ଦ୍ର |
এপিজেনেটিক,epigenetic
কেন্দ্রজা,କେନ୍ଦୁ ra ର
তাঁত,ଲୁମ୍
1. সিরিয়াল 2. সিরিয়াল,1. ଶସ୍ୟ 2. କ୍ରମିକ |
1. সার্টিফিকেশন 2. সার্টিফিকেশন,1. ପ୍ରମାଣପତ୍ର 2. ପ୍ରମାଣପତ୍ର
প্রত্যয়িত বীজ,ପ୍ରମାଣିତ ବିହନ |
1. খড় 2. কুট্টি 3. শলক সহপাত্র,1. ନଡ଼ା 2. କୁଟି 3. ଶାଲକ ସାହାପାତ୍ର |
1. নিভাগ 2. কৈলাজা,1. ନିବାଗ 2. କ ail ଲାଜା |
কাইমোগ্রাফি,ଚିମୋଗ୍ରାଫି
1. কিয়াজমা 2. ব্যস্ত,1. କିଆଜମା 2. ବ୍ୟସ୍ତ
সুপার কুলিং ঘন্টা,ସୁପରକୋଲିଂ ଘଣ୍ଟା |
তুষারপাত ক্ষতি,ବରଫର କ୍ଷତି |
1. ভিচিরোটাকি 2. কাইমেরা,1. ଭିଚିରୋଟାକି 2. ଚିମେରା |
সবুজ porridge,ସବୁଜ ପୋଖରୀ |
1. পাতা 2. সবুজ,1. ପତ୍ର 2. ସବୁଜ
সায়ানোসিস,ସିଆନୋସିସ୍ |
জৈবিক বিতরণ বিজ্ঞান,ଜ bi ବିକ ବଣ୍ଟନ ବିଜ୍ science ାନ |
1. ক্রোমাটিডস 2. অর্ধেক ক্রোমোজোম,1. କ୍ରୋମାଟିଡସ୍ 2. ଅଧା କ୍ରୋମୋଜୋମ୍ |
ক্রোমাটিন,କ୍ରୋମାଟିନ୍
ক্রোমাটোগ্রাফি,କ୍ରୋମାଟୋଗ୍ରାଫି |
ক্রোমাটিনলেশন,କ୍ରୋମାଟିନେସନ୍
অলিন্দ বিন্দু,atrial point
ক্রোমাটোজেনেসিস,କ୍ରୋମାଟୋଜେନେସିସ୍
1. ক্রোমোপ্রোটিন 2. পিগমেন্টপ্রোটিন,1. କ୍ରୋମୋପ୍ରୋଟେନ୍ 2. ପିଗମେଣ୍ଟ୍ରୋଟିନ୍ |
1. ক্রোমোজোম 2. ক্রোমোজোম,1. କ୍ରୋମୋଜୋମ୍ 2. କ୍ରୋମୋଜୋମ୍ |
1. দীর্ঘস্থায়ী 2. দীর্ঘস্থায়ী 3. দীর্ঘস্থায়ী 4. অপ্রচলিত,1. କ୍ରନିକ୍ 2. କ୍ରନିକ୍ 3. କ୍ରନିକ୍ 4. ପୁରୁଣା |
citrange,citrange
শরৎ উৎসব,ପତିତପାବନ ପର୍ବ |
শ্রেণীবিভাগ,ବର୍ଗୀକରଣ
1. কাদামাটি 2. কাদামাটি,1. ମାଟି 2. ମାଟି
1. পরিষ্কার করা 2. স্ক্রাবিং 3. পরিষ্কার করা 4. পরিশোধন,1. ସଫା କରିବା 2. ସ୍କ୍ରବିଂ 3. ସଫା କରିବା 4. ଶୁଦ୍ଧତା |
অবিরাম পরাগায়ন,ସ୍ଥାୟୀ ପ୍ରଦୂଷଣ |
ক্রুসিফেরাস ফল,କ୍ରୁଶବିହୀନ ଫଳ |
জলবায়ু,ଜଳବାୟୁ
জলবায়ুবিদ্যা,ଜଳବାୟୁ
শিয়ার,କେଶ
পিণ্ড (কাদামাটি),ଗୁଣ୍ଡ (ମାଟି)
ক্লোন,କ୍ଲୋନ୍ |
1.মেঘ 2.মেঘ,1. କ୍ଲାଉଡ୍ 2. କ୍ଲାଉଡ୍ |
clump,ump ୁଲା |
গুচ্ছ,ଗୁଣ୍ଡ |
1. মোটা 2. রুক্ষ 3. কাঁচা 4. রুক্ষ,1. କଠିନ 2. ରୁଗ୍ 3. କଞ୍ଚା 4. ରୁଗ୍ |
1. কভার 2. লেদারেট,1. କଭର 2. ଚମଡା
কোয়া,କୋୟା
1. কোএনজাইম 2. কো-এনজাইম,1. କୋଏନଜାଇମ୍ 2. କୋ-ଏନଜାଇମ୍ |
সংহতি,ମିଳନ
1. ফাইবার (পাট পাট) 2. নারকেল মোটা,1. ଫାଇବର (ଜୁଟ୍ ଜଟ୍) 2. ନଡିଆ ନଡିଆ |
মুলাঙ্কুর চোলা,ମୁଲାନକୁର ଚୋଲା |
,
কলয়েড (মাটি),କୋଲଏଡ୍ (ମାଟି)
1.কলাম 2.columella,1. ସ୍ତମ୍ଭ 2. କଲୁମେଲା
1. শাস্তি 2. কলাম 3. কলাম,1. ଦଣ୍ଡ 2. ସ୍ତମ୍ଭ 3. ସ୍ତମ୍ଭ
যোগাযোগ,ଯୋଗାଯୋଗ
বাণিজ্যিক ব্যাংক,ବାଣିଜ୍ୟିକ ବ୍ୟାଙ୍କ |
1. পণ্য 2. পণ্যদ্রব্য,1. ଦ୍ରବ୍ୟ 2. ବାଣିଜ୍ୟ
সম্প্রদায়,ସମ୍ପ୍ରଦାୟ
কম্প্যাকশন (মাটির),ସଙ୍କୋଚନ (ମାଟିର)
1. সামঞ্জস্যতা 2. সামঞ্জস্য,1. ସୁସଙ୍ଗତତା 2. ସୁସଙ୍ଗତତା |
সামঞ্জস্য,ସୁସଙ୍ଗତତା
1. ক্ষতিপূরণ 2. ক্ষতিপূরণ,1. କ୍ଷତିପୂରଣ 2. କ୍ଷତିପୂରଣ
প্রতিযোগিতামূলক মিথস্ক্রিয়া,ପ୍ରତିଯୋଗିତାମୂଳକ ପାରସ୍ପରିକ କ୍ରିୟା |
সম্পূরক ফসল,ଫସଲ ସପ୍ଲିମେଣ୍ଟ କରନ୍ତୁ |
1. যৌগিক 2. জটিল,1. କମ୍ପୋଜିଟ୍ 2. କମ୍ପ୍ଲେକ୍ସ
গঠনকারী,ବିଧାନସଭା
গঠন,ରଚନା
কম্পোস্ট,କମ୍ପୋଷ୍ଟ
চক্রবৃদ্ধিহারে সুদ,ଯ ound ଗିକ ଆଗ୍ରହ |
গণনা,ଗଣନା
1. কম্পিউটার 2. কম্পিউটার,1. କମ୍ପ୍ୟୁଟର 2. କମ୍ପ୍ୟୁଟର
1. একাগ্রতা 2. একাগ্রতা,1. ଏକାଗ୍ରତା 2. ଏକାଗ୍ରତା
1. অপ্টিমাইজার 2. পুনরুজ্জীবিতকারী,1. ଅପ୍ଟିମାଇଜର୍ 2. ପୁନର୍ଜୀବନ
পরিবাহিতা,କଣ୍ଡକ୍ଟିଭିଟି
1. কনফিগারেশন 2. কনফিগারেশন,1. ବିନ୍ୟାସ 2. ବିନ୍ୟାସ କରନ୍ତୁ
1. সামঞ্জস্য 2. কনফিগারেশন 3. সামঞ্জস্য,1. ଅନୁକୂଳତା 2. ବିନ୍ୟାସ 3. ସମାନତା |
