Tamil,Odiya
வாழை பிளக்,ବାନା ପ୍ଲଗ୍ |
"பட்டை, கட்டு","ବ୍ୟାଣ୍ଡ, ବ୍ୟାଣ୍ଡେଜ୍ |"
இசைக்குழு இயக்கி,ବ୍ୟାଣ୍ଡ ଡ୍ରାଇଭର |
இசைக்குழு ஆற்றல்,ବ୍ୟାଣ୍ଡ ଶକ୍ତି
பட்டை இடைவெளியை,ବ୍ୟାଣ୍ଡ ଫାଙ୍କ |
பேட்பார்க் பெருக்கி,ବ୍ୟାଡପାର୍କ ଏମ୍ପ୍ଲିଫାୟର୍ |
பேண்ட் பாஸ் வடிகட்டி,ବ୍ୟାଣ୍ଡ ପାସ୍ ଫିଲ୍ଟର୍ |
பாட் ரேட் ஜெனரேட்டர்,ବାଉଡ୍ ରେଟ୍ ଜେନେରେଟର |
பட்டை பரவல்,ବ୍ୟାଣ୍ଡଡିସପର୍ସନ |
இசைக்குழு மின்தடை,ବ୍ୟାଣ୍ଡ ପ୍ରତିରୋଧକ |
பேண்ட் பிரேக்கர் வடிகட்டி,ବ୍ୟାଣ୍ଡ ବ୍ରେକର୍ ଫିଲ୍ଟର୍ |
இசைக்குழு விரிவாக்கம்,ବ୍ୟାଣ୍ଡ ବିସ୍ତାର
பேண்ட் ரிமூவர் வடிகட்டி,ବ୍ୟାଣ୍ଡ ରିମୁଭର୍ ଫିଲ୍ଟର୍ |
பேண்ட் விரிவாக்கம் விலகல் பெருக்கி,ବ୍ୟାଣ୍ଡ ବିସ୍ତାର ଡିଫ୍ଲେକ୍ସନ୍ ମଲ୍ଟିପ୍ଲାଏର୍ |
பேண்ட் நீட்டிப்பு தூரம் பெருக்கி,ବ୍ୟାଣ୍ଡ ବିସ୍ତାର ଦୂରତା ଗୁଣକର୍ତ୍ତା |
"பீம் மின்தேக்கி, வங்கி மின்தேக்கி","ବିମ୍ କ୍ୟାପେସିଟର, ବ୍ୟାଙ୍କ କ୍ୟାପେସିଟର |"
"குரைக்கும் குறியீடு, குரைக்கும் குறியீடு","ବାର୍କର୍ କୋଡ୍, ବାର୍କର୍ କୋଡ୍ |"
barravaugen அளவுகோல்,ବାରଭାଉଗେନ୍ ମାନଦଣ୍ଡ |
பார்ப்பனர்,ବ୍ୟାରେଟର୍
தடை,ପ୍ରତିବନ୍ଧକ |
இன்சுலேடிங் மின்தேக்கி,ଇନସୁଲେଟିଂ କ୍ୟାପେସିଟର୍ |
தடை ஆற்றல்,ପ୍ରତିବନ୍ଧକ ଶକ୍ତି |
மின்தடை மின்னழுத்தம்,ପ୍ରତିରୋଧକ ଭୋଲଟେଜ୍ |
பார்ட்லெட் ஜன்னல்,ବାର୍ଟଲେଟ୍ ୱିଣ୍ଡୋ |
"அடிப்படை, அடிப்படை","ଆଧାର, ଆଧାର"
அடிப்படை இசைக்குழு,ବେସ୍ ବ୍ୟାଣ୍ଡ |
அடிப்படை இசைக்குழு பரிமாற்றம்,ବେସ୍ ବ୍ୟାଣ୍ଡ ଟ୍ରାନ୍ସମିସନ୍ |
அடிப்படை கட்டணம்,ଆଧାର ଚାର୍ଜ |
அடிப்படை மின்னோட்டம்,ମୂଳ କରେଣ୍ଟ୍ |
அடிப்படை தற்போதைய ஆதாரம்,ମୂଳ ସାମ୍ପ୍ରତିକ ଉତ୍ସ |
அடிப்படை வெட்டுதல்,ମୂଳ କାଟିବା |
ஆதார் மதன்,ଆଧାର ମଦନ
அடிப்படை உமிழ்ப்பான் ஊட்டம்,ବେସ୍ ଏମିଟର ଫିଡ୍ |
அடிப்படை உமிழ்ப்பான் சந்திப்பு,ବେସ୍ ଏମିଟର ଜଙ୍କସନ |
அடிப்படை ஊசி,ମୂଳ ଇଞ୍ଜେକ୍ସନ୍ |
தரை வரி,ଭୂମି ରେଖା
அடிப்படை எதிர்ப்பு,ମୂଳ ପ୍ରତିରୋଧ |
அடிப்படை ஆதாரம்,ମୂଳ ଉତ୍ସ |
அடிப்படை விரிவாக்க எதிர்ப்பு,ଆଧାର ବିସ୍ତାର ପ୍ରତିରୋଧ |
அடிப்படை விரிவாக்க எதிர்ப்பு,ଆଧାର ବିସ୍ତାର ପ୍ରତିରୋଧ |
அடிப்படை தடிமன்,ମୂଳ ଘନତା |
அடிப்படை அணுகல்,ଆଧାର ପ୍ରବେଶ
"அடிப்படை அகல பண்பேற்றம், அடிப்படை விரிவாக்க மாடுலேஷன்","ବେସ୍ ଓସାର ମଡ୍ୟୁଲେସନ୍, ବେସ୍ ବିସ୍ତାର ମଡ୍ୟୁଲେସନ୍ |"
அடிப்படை சேகரிப்பாளர் ஒப்பந்தம்,ଆଧାର ସଂଗ୍ରହକାରୀ ଚୁକ୍ତି |
வாசனை,ଗନ୍ଧ
பாஸ் அதிர்வெண்,ବାସ୍ ଫ୍ରିକ୍ୱେନ୍ସି |
மின்கலம்,ବ୍ୟାଟେରୀ
பாட்,baud
பாட் விகிதம்,ବାଉଡ୍ ହାର
பாட் ரேட் ஜெனரேட்டர்,ବାଉଡ୍ ରେଟ୍ ଜେନେରେଟର |
போடோ குறியீடு,ବୋଡୋ କୋଡ୍ |
"சமிக்ஞை, கலங்கரை விளக்கம்","ସଙ୍କେତ, ବିକନ୍ |"
"மாணிக்கா, பீட்","ମାଣିକା, ବିଡ୍ |"
பித்து மின்தேக்கி,ମାଣିକ କ୍ୟାପେସିଟର୍ |
மணிகர்தாபி எதிர்ப்பாளர்கள்,ମାଣିକାର୍ଟାପି ପ୍ରତିରୋଧକ |
"பீம் ஆண்டெனா, பீம் ஆண்டெனா","ବିମ୍ ଆଣ୍ଟେନା, ବିମ୍ ଆଣ୍ଟେନା |"
பீம் டிடெக்டர்,ବିମ୍ ଡିଟେକ୍ଟର୍ |
பீம் சக்தி குழாய்,ବିମ୍ ପାୱାର୍ ହୋସ୍ |
பீம் மாறுதல் முனைகள்,ବିମ୍ ସୁଇଚ୍ ନୋଜଲ୍ |
கற்றை விரிவாக்கம்,ବିମ୍ ବିସ୍ତାର
துடிப்பு அதிர்வெண்,ଫ୍ରିକ୍ୱେନ୍ସି
துடிப்பு-அதிர்வெண் ஆஸிலேட்டர்,ବିଟ୍-ଫ୍ରିକ୍ୱେନ୍ସି ଓସିଲେଟର |
துடிப்பு ஆஸிலேட்டர்,ନାଡ ଓସିଲେଟର |
மணி,ବେଲ୍ |
வளைக்கும் இழப்பு,ନମ୍ର କ୍ଷତି |
பெசல் வடிகட்டி,ବେସେଲ୍ ଫିଲ୍ଟର୍ |
பீட்டா,ବିଟା |
b-h வளைவு,b-h ବକ୍ର
"சார்பு, சார்பு","ପକ୍ଷପାତ, ପକ୍ଷପାତ |"
சார்பு மின்னோட்டம்,ପକ୍ଷପାତ କରେଣ୍ଟ |
சார்பு எதிர்ப்பு,ପକ୍ଷପାତ ପ୍ରତିରୋଧ |
இரட்டை ஆண்டெனா,ଡବଲ୍ ଆଣ୍ଟେନା |
இருதரப்பு சுமை மின்னோட்டம்,ଦ୍ୱି-ଦିଗୀୟ ଲୋଡ୍ କରେଣ୍ଟ୍ |
இருதரப்பு ஆண்டெனா,ଦ୍ୱି-ଦିଗୀୟ ଆଣ୍ଟେନା |
இருதரப்பு ஒளி உமிழும் டையோடு,ଦ୍ୱି-ଦିଗୀୟ ଆଲୋକ ନିର୍ଗତ ଡାୟୋଡ୍ |
இருதரப்பு தைரிஸ்டர்,ଦ୍ୱି-ଦିଗୀୟ ଥିରିଷ୍ଟର |
இரு FET தொழில்நுட்பம்,bi FET ଟେକ୍ନୋଲୋଜି |
இரு புள்ளி மின்மாற்றி,ବି ପଏଣ୍ଟ ଟ୍ରାନ୍ସଫର୍ମର |
இரட்டை இணைவு,ଡବଲ୍ ଫ୍ୟୁଜନ୍ |
இருதரப்பு சுற்று,ଦ୍ୱିପାକ୍ଷିକ ସର୍କିଟ |
பைனரி,ବାଇନାରୀ
பைனரி தொகை,ବାଇନାରୀ ରାଶି
பைனரி சுற்று,ବାଇନାରୀ ସର୍କିଟ |
பைனரி குறியிடப்பட்ட தசம,ବାଇନାରୀ କୋଡେଡ୍ ଦଶମିକ |
பைனரி குறியிடப்பட்ட தசம அமைப்பு,ବାଇନାରୀ କୋଡେଡ୍ ଦଶମିକ ସିଷ୍ଟମ୍ |
பைனரி இருமுனை மின்தேக்கி,ବାଇନାରୀ ଡିପୋଲ୍ କ୍ୟାପେସିଟର୍ |
பைனரி கால்குலேட்டர்,ବାଇନାରୀ କାଲକୁଲେଟର
பைனரி கால்குலேட்டர்,ବାଇନାରୀ କାଲକୁଲେଟର
பைனரி குறிவிலக்கி,ବାଇନାରୀ ଡିକୋଡର୍ |
பைனரி ஏணி,ବାଇନାରୀ ସିଡ଼ି |
பைனரி பாத்தோமீட்டர்,ବାଇନାରୀ ପାଥୋମିଟର |
இருமை நிலை,ବାଇନାରୀ ଅବସ୍ଥା |
பைனரி-தசம குறிவிலக்கி,ବାଇନାରୀ-ଦଶମିକ ଡିକୋଡର୍ |
பைனரி சுமை,ବାଇନାରୀ ଲୋଡ୍ |
பைனரி வார்த்தைகள்,ବାଇନାରୀ ଶବ୍ଦ |
இருமுனை,ଦ୍ୱିପାକ୍ଷିକ
இருமுனை மின்தேக்கி,ଦ୍ୱିପାକ୍ଷିକ କ୍ୟାପେସିଟର୍ |
இருமுனை சாதனம்,ଦ୍ୱିପାକ୍ଷିକ ଉପକରଣ |
இருமுனை மூல,ଦ୍ୱିପାକ୍ଷିକ ଉତ୍ସ |
இருமுனை டிரான்சிஸ்டர்,ଦ୍ୱିପାକ୍ଷିକ ଟ୍ରାନଜିଷ୍ଟର |
இருமுனை சந்திப்பு டிரான்சிஸ்டர்,ଦ୍ୱିପାକ୍ଷିକ ଜଙ୍କସନ୍ ଟ୍ରାନଜିଷ୍ଟର |
இருபடி வடிகட்டி,ଚତୁର୍ଭୁଜ ଫିଲ୍ଟର୍ |
இரட்டை நிலை,ଡବଲ୍ ପୋଜିସନ୍ |
இரண்டு-நிலை மல்டிவைபிரேட்டர்,ଦୁଇ ପର୍ଯ୍ୟାୟ ମଲ୍ଟିଭାଇବ୍ରେଟର |
இருதரப்பு ரிலே,ଦ୍ୱି-ଦିଗୀୟ ରିଲେ |
இரண்டு கட்ட நிலை,ଦୁଇ ପର୍ଯ୍ୟାୟ ଅବସ୍ଥା |
இரண்டு நிலை தூண்டுதல்,ଦୁଇ-ଅବସ୍ଥାନ ଟ୍ରିଗର |
பிட் பிழை,ବିଟ୍ ତ୍ରୁଟି |
பிட் பிழை விகிதம்,ବିଟ୍ ତ୍ରୁଟି ହାର
பிட் பிழை,ବିଟ୍ ତ୍ରୁଟି |
பிட்கல் பிழை,ବିଟ୍କାଲ୍ ତ୍ରୁଟି |
குருட்டு பெட்டி,ଅନ୍ଧ ବାକ୍ସ
அமுக்கப்பட்ட துடிப்பு,ଘନୀଭୂତ ନାଡ |
சுரப்பவர்,ସଚିବ
சுரக்கும் தடுப்பான்,ଗୁପ୍ତ ପ୍ରତିବନ୍ଧକ |
குருட்டுத்தன்மை,ଅନ୍ଧତା
பிரிவு வரைபடம்,ବିଭାଗ ଚିତ୍ର
தடுப்பு மின்தடை,ପ୍ରତିବନ୍ଧକକୁ ଅବରୋଧ କରିବା |
துண்டு பரிமாற்றம்,ଖଣ୍ଡ ସ୍ଥାନାନ୍ତର |
இடைமறிக்கவும்,ବାଧା
மின்தடை மின்தேக்கி,ପ୍ରତିରୋଧକ କ୍ୟାପେସିଟର |
தடுப்பான் மின்தேக்கி,ପ୍ରତିରୋଧକ କ୍ୟାପେସିଟର |
தடுக்கும் ஆஸிலேட்டர்,ଓସିଲେଟରକୁ ଅବରୋଧ କରିବା |
மின்தடை ஆஸிலேட்டர்,ପ୍ରତିରୋଧକ ଓସିଲେଟର |
மின்தடை மின்னழுத்தம்,ପ୍ରତିରୋଧକ ଭୋଲଟେଜ୍ |
ஊதுபவர்,ବ୍ଲୋଅର୍ |
போட் வரைபடம்,ବୋଡ ଚିତ୍ର
வோல்ட்ஸ்மேன் உறவு,voltzmann ସମ୍ପର୍କ
வோல்ட்ஸ்மேன் மாறிலி,voltzmann ସ୍ଥିର |
பத்திரம்,ବନ୍ଧନ
பிணைக்கப்பட்ட திரிபு அளவு,ବନ୍ଧା ହୋଇଥିବା ଷ୍ଟ୍ରେନ୍ ଗେଜ୍ |
சுயமாக இயக்கப்படும் பெருக்கி,ସ୍ୱୟଂ ଚାଳିତ ଏମ୍ପ୍ଲିଫାୟର୍ |
பூலியன் இயற்கணிதம்,ବୁଲିଅନ୍ ବୀଜ ବିବେଚନା |
பூலியன் சமன்பாடு,ବୁଲିଅନ୍ ସମୀକରଣ |
துவக்க ஸ்ட்ராபன்,ବୁଟ୍ ଷ୍ଟ୍ରାପନ୍ |
பூத்தின் அல்காரிதம்,ବୁଥ୍ ର ଆଲଗୋରିଦମ |
பூட்ஸ்ட்ராப் ப்ரிசம் சுற்று,ବୁଟ୍ ଷ୍ଟ୍ରାପ୍ ପ୍ରିଜିମ୍ ସର୍କିଟ୍ |
bosscutts ஆட்சி,ବସ୍କଟ୍ ନିୟମ |
போஸ்-சௌத்ரி ஹாக்கன்ஹாம் (BCH) குறியீடு,ବୋଷ-ଚ owd ଧୁରୀ ହକେନହମ୍ (BCH) କୋଡ୍ |
"குதி, குதி","ଡେଇଁବା, ଡେଇଁବା |"
பிணைக்கப்பட்ட எலக்ட்ரான்,ବନ୍ଧା ଇଲେକ୍ଟ୍ରନ୍ |
ப்ராக் பிரதிபலிப்பான்,ଗର୍ବ ପ୍ରତିଫଳକ |
பின்னிப் பிணைந்த கம்பி,ଅନ୍ତର୍ନିହିତ ତାର
கிளை,ଶାଖା
கிளைகள்,ଶାଖା
பரிசோதனை குழு,ପରୀକ୍ଷଣ ବୋର୍ଡ |
எலும்பு முறிவு மண்டலம்,ବ୍ରେକ୍ ଜୋନ୍ |
உடைக்கும் மின்னழுத்தம்,ଭୋଲଟେଜ୍ ଭାଙ୍ଗିବା |
முறிவு டையோடு,ବ୍ରେକଡାଉନ୍ ଡାୟୋଡ୍ |
எலும்பு முறிவு சரிசெய்தல்,ଭଙ୍ଗା ଫିକ୍ସିଂ |
உடைக்கும் மின்னழுத்தம்,ଭୋଲଟେଜ୍ ଭାଙ୍ଗିବା |
பாலம்,ସେତୁ
பாலம் திருத்தி,ବ୍ରିଜ୍ ରେକ୍ଟିଫାୟର୍ |
பரந்த இசைக்குழு,ପ୍ରଶସ୍ତ ବ୍ୟାଣ୍ଡ |
ஒலிபரப்பு இசைக்குழு,ପ୍ରସାରଣ ବ୍ୟାଣ୍ଡ |
நிழலிடா வரிசை,ଜ୍ୟୋତିଷ ଆରେ |
ஒளிபரப்பு,ପ୍ରସାରଣ
ஒளிபரப்பு ஆண்டெனா,ପ୍ରସାରଣ ଆଣ୍ଟେନା |
ஒளிபரப்பு ரிசீவர்,ପ୍ରସାରଣ ରସିଦ |
அதிர்வெண் ஒளிபரப்பு பெறுதல்,ଫ୍ରିକ୍ୱେନ୍ସି ପ୍ରସାରଣ ରସିଭର୍ |
ஒளிபரப்பு டிரான்ஸ்மிட்டர்,ପ୍ରସାରଣ ଟ୍ରାନ୍ସମିଟର |
பூஸ்டர் ஆண்டெனா,ବୁଷ୍ଟର୍ ଆଣ୍ଟେନା |
பஸ் ஆண்டெனா,ବସ୍ ଆଣ୍ଟେନା |
தூரிகை மூழ்குதல்,ବ୍ରଶ୍ ବୁଡ ପକାଇବା |
குமிழ் மற்றும் வாயில்,ବବୁଲିଙ୍ଗ୍ ଏବଂ ଗେଟ୍ |
புட்புடு அல்லது கேட்,ବୁଡବୁଡୁ କିମ୍ବା ଗେଟ୍ |
குமிழி நினைவகம்,ବବୁଲି ମେମୋରୀ |
மின்னழுத்தத்தை ஈடுசெய்யும்,ଭୋଲଟେଜ୍ କ୍ଷତିପୂରଣ
தாங்கல்,ବଫର୍
தாங்கல் பெருக்கி,ବଫର୍ ଏମ୍ପ୍ଲିଫାୟର୍ |
தாங்கல் சுற்று,ବଫର୍ ସର୍କିଟ୍ |
தாங்கல் ஆபரேட்டர்,ବଫର୍ ଅପରେଟର୍ |
தாங்கல் பதிவு,ବଫର୍ ରେଜିଷ୍ଟର |
பல்பு,ବଲ୍ବ
மக்கள் தொகை விளைவு,ଜନସଂଖ୍ୟା ପ୍ରଭାବ
மேக்ரோ குறைக்கடத்தி சாதனம்,ମାକ୍ରୋ ସେମିକଣ୍ଡକ୍ଟର ଉପକରଣ |
கொத்து,ଗୁଣ୍ଡ |
மூழ்கிய பரிமாற்றம்,ଜଳମଗ୍ନ ବିନିମୟ |
மூழ்கிய அடுக்கு,ଜଳମଗ୍ନ ସ୍ତର |
மூழ்கிய தொடர்பு,ଜଳମଗ୍ନ ସମ୍ପର୍କ |
வெடிப்பு பெருக்கி,ବ୍ଲାଷ୍ଟ ଏମ୍ପ୍ଲିଫାୟର୍ |
குண்டு வெடிப்பு கவர்,ବିସ୍ଫୋରଣ କଭର |
குண்டு வெடிப்பு,ବିସ୍ଫୋରଣ
வெடிப்பு கதவு பெருக்கி,ବିସ୍ଫୋରଣ ଦ୍ୱାର ଆମ୍ପ୍ଲିଫାୟର୍ |
வெடிப்பு முறை,ବିସ୍ଫୋରଣ ମୋଡ୍ |
வெடிப்பு பிரிப்பான்,ବିସ୍ଫୋରଣ ବିଚ୍ଛିନ୍ନକର୍ତ୍ତା |
வெடிப்பு சமிக்ஞை,ବିସ୍ଫୋରଣ ସଙ୍କେତ
வெடிப்பு பிழை திருத்தி குறியீடு,ବିସ୍ଫୋରଣ ତ୍ରୁଟି ସଂଶୋଧନକାରୀ କୋଡ୍ |
போதும்,ଯଥେଷ୍ଟ
பஸ் பார்,ବସ୍ ବାର୍
பேருந்து அமைப்பு,ବସ୍ ସଂଗଠନ
பேருந்து தரநிலை,ବସ୍ ମାନକ
வெறும் கணம்,କେବଳ କ୍ଷଣସ୍ଥାୟୀ |
வெண்ணெய் மதிப்பு வடிகட்டி,ବଟର ମୂଲ୍ୟର ଫିଲ୍ଟର୍ |
bnc கம்பி,bnc ତାର
