Marathi,Malayalam
डायमॅग्नेटिक सामग्री,ഡയമാഗ്നറ്റിക് മെറ്റീരിയൽ
विरोधी दाहक,വിരുദ്ധ ബാഹ്യാവിഷ്ക്കാരമാണ്
गुरुत्वाकर्षण,ആന്റിഗ്രാവിറ്റി
antilamda कण,ആന്റിലാംഡ കണിക
ऍलेलेप्टन,അല്ലെലെപ്റ്റൺ
डायमॅग्नेटिक,ഡയമാഗ്നറ്റിക്
प्रतिपदार्थ,പ്രതിദ്രവ്യം
क्षेपणास्त्र विरोधी,വിരുദ്ധ മിസൈൽ
अँटीन्यूट्रॉन,ആന്റിന്യൂട്രോൺ
pulsating,സ്പന്ദിക്കുന്ന
अँटीन्यूक्लिओन,ആന്റി ന്യൂക്ലിയോൺ
प्रतिकण,ആന്റിപാർട്ടിക്കിൾ
अँटीप्रोटॉन,ആന്റിപ്രോട്ടോൺ
परावर्तक,ആന്റി റിഫ്ലെക്റ്റീവ്
विषमताविरोधी,ആന്റിസിമെട്രിക്
आवर्ती नाही,ആവർത്തിക്കാത്ത
अनाक्रोनिझम,അനാക്രോണിസം
छिद्रित स्कॅनिंग डिस्क,സുഷിരങ്ങളുള്ള സ്കാനിംഗ് ഡിസ്ക്
द्वारक,ദ്വാരക്
"वर, वर, समोर","മുകളിൽ, മുകളിൽ, മുൻഭാഗം"
"उच्च सूर्य, उच्च सूर्य","സൂര്യൻ ഉയർന്ന, സൂര്യൻ ഉയർന്ന, അപ്സർ"
उदासीन लेस,ഉദാസീനമായ ലേസ്
गैर-दयनीय,ദയനീയമല്ലാത്ത
अपंगत्व नसणे,വൈകല്യമില്ലാത്തത്
अतिशय वर्णवर्धक,വളരെ അക്രോമാറ്റിക്
"जमीन-उंच, apogee","ഭൂമി-ഉയരം, അപ്പോജി"
"nonpolar, circumpolar","ധ്രുവീയമല്ലാത്ത, വൃത്താകൃതിയിലുള്ള"
parapolarity,പരധ്രുവത്വം
साधन,ഉപകരണം
"आभासी, दृश्य","വെർച്വൽ, വിഷ്വൽ"
दृश्यमान सूर्य,ദൃശ്യ സൂര്യൻ
दृश्य वेळ,ദൃശ്യ സമയം
उदयोन्मुख देखावा,ഉയർന്നുവരുന്ന രൂപം
अर्ज,അപേക്ഷ
लागू,പ്രയോഗക്ഷമത
लागू,അപേക്ഷിച്ചു
निरीक्षण करण्यायोग्य,നിരീക്ഷിക്കാവുന്നതാണ്
दृष्टीकोन,സമീപനം
"जवळ, अंदाजे","അടുത്ത്, ഏകദേശം"
अंदाजे,ഏകദേശ കണക്ക്
बाष्प दाब,നീരാവി മർദ്ദം
ऐच्छिक,സ്വമേധയാ
"चाप भट्टी, चाप भट्टी","ആർക്ക് ചൂള, ആർക്ക് ചൂള"
आर्किमिडीजचा कायदा,ആർക്കിമിഡീസിന്റെ നിയമം
आर्किटेक्चरल ध्वनीशास्त्र,വാസ്തുവിദ്യാ ശബ്ദശാസ്ത്രം
चाप दिवा,ആർക്ക് ലാമ്പ്
आर्क-स्पेक्ट्रम,ആർക്ക്-സ്പെക്ട്രം
"क्षेत्र, क्षेत्र","പ്രദേശം, പ്രദേശം"
"प्रादेशिक, प्रादेशिक","പ്രാദേശിക, പ്രാദേശിക"
"हात, हात, शाखा","ഭുജം, ഭുജം, ശാഖ"
हौशी,അമച്വർ
"अॅरे, अॅरे","അറേ, അറേ"
प्राप्तकर्ता,റിസീവർ
उच्चार स्पष्टता,ഉച്ചാരണ വ്യക്തത
सिंथेटिक,സിന്തറ്റിക്
कृत्रिम संक्रमण,കൃത്രിമ പരിവർത്തനം
चढत्या,ആരോഹണം
आरोहण,കയറ്റം
चढणे,കയറുന്നു
अगोली,അഗോലി
एकत्रीकरण,സമാഹരണം
संच,കൂട്ടം
"एकत्र करणे, एकत्र करणे","അസംബ്ലിംഗ്, അസംബ്ലിംഗ്"
"एकत्र करणे, एकत्र करणे, एकत्र करणे","അസംബ്ലിംഗ്, അസംബ്ലിംഗ്, അസംബ്ലിംഗ്"
अचूक अंदाज,കൃത്യമായ കണക്കുകൂട്ടൽ
निर्दिष्ट (क्वांटम संख्यांची) वैशिष्ट्ये,വ്യക്തമാക്കിയ (ക്വാണ്ടം സംഖ്യകളുടെ) സവിശേഷതകൾ
"संबंधित, सहयोगी, संयुग्मित","ബന്ധപ്പെട്ട, സഹകാരി, സംയോജിത"
स्वराचा उच्चार,സ്വരാക്ഷര ശബ്ദം
स्वयंचलित मल्टीव्हायब्रेटर,ഓട്ടോമാറ്റിക് മൾട്ടിവൈബ്രേറ്റർ
अस्थेनिक,ആസ്തെനിക്
"संयम, दृष्टिवैषम्य","വിട്ടുനിൽക്കൽ, astigmatism"
अंतराळ प्रवास इलेक्ट्रॉनिक्स,ബഹിരാകാശ യാത്ര ഇലക്ട്രോണിക്സ്
खगोल भौतिकशास्त्र,ജ്യോതിശാസ്ത്രം
अंतराळवीर,ബഹിരാകാശ സഞ്ചാരി
खगोलशास्त्रज्ञ,ജ്യോതിശാസ്ത്രജ്ഞൻ
आकाशीय,സ്വർഗ്ഗീയ
खगोलशास्त्र,ജ്യോതിശാസ്ത്രം
खगोल भौतिकशास्त्र,ജ്യോതിശാസ്ത്രം
असममित,അസമമായ
लक्षणे नसलेला,അസിംപ്റ്റോട്ടിക്
त्रासदायक,വഷളാക്കുന്നു
असिंक्रोनस,അസമന്വിത
"वातावरण, वातावरण","അന്തരീക്ഷം, അന്തരീക്ഷം"
वातावरणीय,അന്തരീക്ഷം
वारा अशांतता,കാറ്റ് പ്രക്ഷുബ്ധത
आण्विक,ആണവ
अणू,ആറ്റോമിക
आण्विकता,ആറ്റോമിസിറ്റി
आण्विक वस्तुमान,ആണവ പിണ്ഡം
अणुक्रमांक,ആറ്റോമിക നമ്പർ
"आण्विक अणुभट्टी, आण्विक ढीग","ന്യൂക്ലിയർ റിയാക്ടർ, ന്യൂക്ലിയർ പൈൽ"
अणू,ആറ്റോമിക
कण,കണം
कण,കണം
"क्षीणता, क्षीणता",ശോഷണം
"कमी करणे, कमी करणे","ശോഷണം, ശോഷണം"
मोहिनी,ചാം
आकर्षण शक्ती,ആകർഷണ ശക്തി
ऐकण्याची क्षमता,ശ്രവണക്ഷമത
ऑडिओ वारंवारता अॅम्प्लिफायर,ഓഡിയോ ഫ്രീക്വൻസി ആംപ്ലിഫയർ
ऐकण्यायोग्य,കേൾക്കാവുന്ന
ऑडिओ जनरेटर,ഓഡിയോ ജനറേറ്റർ
श्रवणक्षमता आलेख,ഓഡിബിലിറ്റി ഗ്രാഫ്
श्रवण विज्ञान,കേൾവി ശാസ്ത്രം
ऑडिओमीटर,ഓഡിയോമീറ്റർ
ऐकण्यायोग्य वारंवारता ऑसिलेटर,കേൾക്കാവുന്ന ഫ്രീക്വൻസി ഓസിലേറ്റർ
ध्वनी सिग्नल,ശബ്ദ സിഗ്നൽ
दृकश्राव्य,ദൃശ്യ-ശ്രാവ്യ
"सभागृह, सभागृह","ഓഡിറ്റോറിയം, ഓഡിറ്റോറിയം"
ओझेड प्रभाव,OZ പ്രഭാവം
जाहिरात,പ്രമോഷൻ
वर्धक,എൻഹാൻസർ
ध्रुवीय ज्योत,ധ്രുവജ്വാല
दक्षिण ध्रुवीय ज्वाला,ദക്ഷിണ ധ്രുവജ്വാല
उत्तर ध्रुवीय ज्योत,ഉത്തരധ്രുവ ജ്വാല
स्वयंचलित सूचना,യാന്ത്രിക മുന്നറിയിപ്പ്
स्वयं समांतर,ഓട്ടോ പാരലലൈസർ
"स्वयंचलित, स्वयंचलित, स्वयंचलित","ഓട്ടോമാറ്റിക്, ഓട്ടോമാറ്റിക്, ഓട്ടോമാറ്റിക്"
"ऑटोमेशन, ऑटोमेशन","ഓട്ടോമേഷൻ, ഓട്ടോമേഷൻ"
"सहाय्यक, सहकारी, अतिरिक्त","സഹായി, സഹകരണം, അധിക"
"आडवा, हिमस्खलन","അവദവ, അവലാഞ്ചി"
"अर्थ, क्षुद्र","അർത്ഥം, അർത്ഥം"
परिवार,പരിവാരൻ
अक्षीय,അച്ചുതണ്ട്
अक्ष,അച്ചുതണ്ട്
दिगंश,അസിമുത്ത്
दिगंश,അസിമുത്ത്
परत,തിരികെ
"पार्श्वभूमी, पार्श्वभूमी","പശ്ചാത്തലം, പശ്ചാത്തലം"
"मागासलेला, मागासलेला","പിന്നോട്ട്, പിന്നോട്ട്"
टर्नअराउंड,ടേൺ എറൗണ്ട്
बॅक व्होल्टेज पल्सर,ബാക്ക് വോൾട്ടേജ് പൾസർ
पोस्ट-रिलेशनशिप,പോസ്റ്റ്-റിലേഷൻഷിപ്പ്
प्रतिपूर्ती,തിരിച്ചടവ്
अँटी व्होल्टेज,ആന്റി വോൾട്ടേജ്
पोस्टरियर स्कॅटरिंग,പിൻഭാഗം ചിതറിക്കൽ
इंटरस्टिशियल लाट,ഇന്റർസ്റ്റീഷ്യൽ വേവ്
इन्सुलेटर,ഇൻസുലേറ്റർ
हवाई छत्री वापरून घेतलेली उडी,പാരച്യൂട്ട് ജമ്പ്
गरम करणे,ചൂടാക്കൽ
"शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक","ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്, ബാലൻസ്"
बॅलन्सर,ബാലൻസർ
शिल्लक,ബാലൻസ്
गोलाकार,ഗോളാകൃതി
"बॅलिस्टिक, बॅलिस्टिक","ബാലിസ്റ്റിക്, ബാലിസ്റ്റിക്"
"प्रोजेक्शन गॅल्व्हानोमीटर, प्रोजेक्शन गॅल्व्हानोमीटर","പ്രൊജക്ഷൻ ഗാൽവനോമീറ്റർ, പ്രൊജക്ഷൻ ഗാൽവനോമീറ്റർ"
क्षेपणास्त्र,മിസൈൽ
"बॅलिस्टिक्स, शस्त्रे","ബാലിസ്റ്റിക്സ്, ആയുധം"
प्रक्षेपण,പ്രൊജക്ഷൻ
मुक्त मार्ग,സ്വതന്ത്ര പാത
"फुगा, फुगा","ബലൂൺ, ബലൂൺ"
balmer खंडितता,ബാൽമർ നിർത്തലാക്കൽ
"बँड, बँड, बँड","ബാൻഡ്, ബാൻഡ്, ബാൻഡ്"
स्फोट,സ്ഫോടനം
"अॅरे, बीम, किनारा, किनारा, किनारा","അറേ, ബീം, തീരം, ബാങ്ക്, തീരം"
"स्तंभ, बार, कोब, ब्लॉक, बार, रॉड, बार, 8. भिंत, 9. रेखा, 10. किनारा, 1 ब्लॉक, 1, बार, 1, रेखा, 1, चाचणी रेखा","കോളം, ബാർ, കോബ്, ബ്ലോക്ക്, ബാർ, വടി, ബാർ, 8. മതിൽ, 9. ലൈൻ, 10. എഡ്ജ്, 1 ബ്ലോക്ക്, 1, ബാർ, 1, ലൈൻ, 1, ടെസ്റ്റ് ലൈൻ"
bardeen तत्त्व,ബാർഡീൻ തത്വം
barkhausen प्रभाव,ബാർഖൗസെൻ പ്രഭാവം
बारलो सायकल,ബാർലോ സൈക്കിൾ
बार चुंबक,ബാർ കാന്തം
धान्याचे कोठार,കളപ്പുര
हवेचा दाब आलेख,വായു മർദ്ദം ഗ്രാഫ്
"बॅरोग्राफ, बॅरोग्राफ","ബാരോഗ്രാഫ്, ബാരോഗ്രാഫ്"
बॅरोमीटर,ബാരോമീറ്റർ
वातावरणाचा दाब,അന്തരീക്ഷമർദ്ദം
"कॉसमॉस, बॅरोमोस्फियर","കോസ്മോസ്, ബാരോമോസ്ഫിയർ"
पेंडुलम पेंडुलम,പെൻഡുലം പെൻഡുലം
"अडथळा, आण्विक, आण्विक अडथळा","തടസ്സം, ആണവ, ആണവ തടസ്സം"
अडथळा पातळी,തടസ്സം നില
बेरियन,ബാരിയോൺ
गुरुमंडळ,ഗുരുമണ്ഡലം
बेस बँड,അടിസ്ഥാന ബാൻഡ്
"मूलभूत, मूलभूत, अल्कधर्मी","അടിസ്ഥാന, അടിസ്ഥാന, ക്ഷാര"
पाया,അടിസ്ഥാനം
"गणना, संघ निर्मिती","എണ്ണൽ, ടീം രൂപീകരണം"
"टाकी, टाकी, हीटर, गरम करण्याचे भांडे, आंघोळ","ജലസംഭരണി, ജലസംഭരണി, ഹീറ്റർ, ചൂടാക്കൽ പാത്രം, കുളി"
बॅटरी,ബാറ്ററി
"अॅरे सेगमेंट, चेंबर, बे","അറേ സെഗ്മെന്റ്, ചേമ്പർ, ബേ"
प्रदर्शन,പ്രദർശനം
किबान,കിബാൻ
"माणिका, बीड","മാണിക, ബീഡ്"
"तुळई, तुळई, तुळई, ट्रम्प","ബീം, ബീം, ബീം, ട്രംപ്"
"डिकमन, डिकॉन","ഡിക്മാൻ, ഡിക്കൺ"
"dole, vispand","ഡോൾ, വിസ്പൻഡ്"
बेकरेल प्रभाव,ബെക്വറൽ പ്രഭാവം
बेल जार,മണി ഭരണി
घुंगरू,തുരുത്തി
घंटा घड्याळ,മണി ക്ലോക്ക്
"वेदिका, खंडपीठ","വേദിക, ബെഞ്ച്"
"मोड, बंक (सं.), वाकणे (v.)","മോഡ്, ബങ്ക് (എഡി.), ബെൻഡ് (വി.)"
बँकन,ബാങ്കൻ
"वाकलेला, वाकलेला","വളഞ്ഞു, വളഞ്ഞു"
बर्नौली-समीकरण,ബെർണൂലി-സമവാക്യം
बेसल-फंक्शन,അടിസ്ഥാന-പ്രവർത്തനം
सर्वोत्तम आसंजन,മികച്ച അഡീഷൻ
बीटा (ब),ബീറ്റ (ബി)
betatron,ബീറ്റാട്രോൺ
bethe मॉडेल,bethe മോഡൽ
बायव्हट्रॉन,bivatron
BH वक्र,BH കർവ്
द्विभुज,ദ്വികോണാകൃതിയിലുള്ള
"पक्षपात, पक्षपात","പക്ഷപാതം, പക്ഷപാതം"
द्वि-अक्षीय,ദ്വി-അക്ഷാംശം
बिक्रोमेट सेल,ബിക്രോമേറ്റ് സെൽ
अभ्यवताल,അഭ്യവതാൽ
दुहेरी अँटेना,ഇരട്ട ആന്റിന
द्विउत्तल,ബൈകോൺവെക്സ്
"द्वि-क्रिस्टल, दुहेरी-क्रिस्टल","ബൈ-ക്രിസ്റ്റൽ, ഡ്യുവൽ-ക്രിസ്റ്റൽ"
द्विदिश मायक्रोफोन,ദ്വിദിശ മൈക്രോഫോൺ
द्विपदी मॉडेल,ദ്വിപദ മാതൃക
डायओशियस,ഡയീഷ്യസ്
द्विपक्षीय,ഉഭയകക്ഷി
द्विरेखीय,ബൈലിനയർ
द्विमोलेक्युलर,ദ്വിതന്മാത്ര
"द्वि-चर, द्वि-आधार, दुहेरी","ദ്വി-വേരിയബിൾ, ബൈ-ബേസ്, ഡ്യുവൽ"
"बायनरी कोड, बायनरी कोड","ബൈനറി കോഡ്, ബൈനറി കോഡ്"
गेम स्टार,കളി താരം
बायनरी पद्धत,ബൈനറി രീതി
दुहेरी बाजू असलेला,ദ്വിമുഖം
बंध,ബോണ്ട്
"द्विनेत्री, द्विनेत्री","ബൈനോക്കുലർ, ബൈനോക്കുലർ"
बायनरी,ബൈനറി
द्विपदी वितरण,ദ്വിപദ വിതരണം
"द्विकेंद्रीय, द्विकेंद्री, द्विकेंद्रित","ദ്വികേന്ദ്രം, ദ്വികേന്ദ്രം, ബൈന്യൂക്ലിയേറ്റഡ്"
जैवगतिकी,ബയോഡൈനാമിക്സ്
बायो इलेक्ट्रॉनिक्स,ബയോ ഇലക്ട്രോണിക്സ്
बायोफिजिस्ट,ജൈവഭൗതികശാസ്ത്രജ്ഞൻ
बायोफिजिक्स,ബയോഫിസിക്സ്
जैविक उपग्रह,ജൈവ ഉപഗ്രഹം
"सिनेमॅटोग्राफर, बायोस्कोप","ഛായാഗ്രാഹകൻ, ബയോസ്കോപ്പ്"
जैव-सावर्त नियम,ബയോ-സാവാർട്ട് നിയമം
biphasic प्रवाह,ബൈഫാസിക് കറന്റ്
द्विध्रुव,ദ്വിധ്രുവം
"biprism, biprism","ബിപ്രിസം, ബൈപ്രിസം"
"biquartz, biquartz","biquartz, biquartz"
biphasic वर्ण,ദ്വിമുഖ സ്വഭാവം
दोन-स्टेज मल्टीव्हायब्रेटर,രണ്ട്-ഘട്ട മൾട്ടിവൈബ്രേറ്റർ
"द्वयंक* (बायनरी अंक), बर्मीज, अनी, तुक","ഡ്വയങ്ക്* (ബൈനറി സംഖ്യ), ബർമീസ്, ആനി, തുക്"
"काळा, कृष्णा","കറുപ്പ്, കൃഷ്ണ"
काळे शरीर,കറുത്ത ശരീരം
अदृश्य प्रकाश,അദൃശ്യ വെളിച്ചം
timirayan रेडिओ timirayan,തിമിരയൻ റേഡിയോ തിമിരയൻ
इजेक्शन नाडी,എജക്ഷൻ പൾസ്
पूर्वाग्रह समाप्त करा,അവസാന പക്ഷപാതം
काळा विकिरण,കറുത്ത വികിരണം
"अपूर्ण, रिक्त","പൂർത്തിയാകാത്ത, ശൂന്യമായ"
कव्हर,മൂടുക
रद्द करणे,അസാധുവാക്കൽ
"स्फोट, स्फोट, वाफा","സ്ഫോടനം, സ്ഫോടനം, ആഘാതം"
"savika, bleeder, savi","സാവിക, ബ്ലീഡർ, സവി"
"वेशात, आंधळा","വേഷംമാറി, അന്ധൻ"
ब्लोचचे प्रमेय,ബ്ലോച്ചിന്റെ സിദ്ധാന്തം
"अवरोधित करणे, अवरोधित करणे, अडथळा आणणे","തടയുക, തടയുക, തടയുക"
"फुंकणे, फुंकणे, फुंकणे","ഊതുക, അടിക്കുക"
ब्लू प्रिंट,നീല പ്രിന്റ്
