Malayalam,English
വിഷാദത്തിന്റെ ആംഗിൾ,angle of depression
വ്യതിയാനത്തിന്റെ കോൺ,angle of deviation
ഡിഫ്രാക്ഷൻ കോൺ,angle of diffraction
എലവേഷൻ കോൺ,angle of elevation
സംഭവത്തിന്റെ കോൺ,angle of incidence
പ്രൊജക്ഷൻ കോൺ,angle of projection
പ്രതിഫലനത്തിന്റെ കോൺ,angle of reflection
അപവർത്തന കോൺ,angle of refraction
ഭ്രമണകോണ്,angle of rotation
മൊത്തം പ്രതിഫലനത്തിന്റെ കോൺ,angle of total reflection
കോണീയ ത്വരണം,angular acceleration
കോണീയ ചലനം,angular motion
കോണീയ വേഗത,angular speed
കോണീയ പ്രവേഗം,angular velocity
വാർഷികം,annulus
ഉത്തരം,answer
ആന്റി-ഡെറിവേറ്റീവ്,anti – derivative
ആന്റിസിമെട്രിക് പ്രവർത്തനം,antisymmetric function
ബാധകമാണ്,applicable
അപേക്ഷ,application
പ്രയോഗിച്ച ഡൈനാമിക് പ്രോഗ്രാമിംഗ്,applied dynamic programming
പ്രയോഗിച്ച ജ്യാമിതി,applied geometry
പ്രയോഗിച്ച ഗണിതശാസ്ത്രം,applied mathematics
പ്രയോഗിച്ച സ്ഥിതിവിവരക്കണക്കുകൾ,applied statistics
ഏകദേശം,approximately
ഏകദേശം തുടർച്ചയായ പ്രവർത്തനം,approximately continuous function
ഏകദേശ രീതി,approximate method
ഏകദേശ പരിഹാരം,approximate solution
ഏകദേശ പ്രശ്നം,approximation problem
ഏകദേശ സ്വത്ത്,approximation property
ആപ്റ്റിറ്റ്യൂഡ് ടെസ്റ്റ് ബാറ്ററി,aptitude test battery
അർഗൻഡ് ഡയഗ്രം,Argand diagram
ഏകപക്ഷീയമായി തിരഞ്ഞെടുത്തു,arbitrarily chosen
ഏകപക്ഷീയമായ,arbitrary
ഏകപക്ഷീയമായ സ്ഥിരാങ്കം,arbitrary constant
ഏകപക്ഷീയമായ ഘടകം,arbitrary element
ഏകപക്ഷീയമായ പോയിന്റ്,arbitrary point
ആർക്കെമീഡിയൻ നിയമം,Archemedean law
ആർക്കിമിഡീസ് തത്വം,Archimedes principle
ആർക്ക് നീളം,arc length
വൃത്താകൃതിയിലുള്ള കമാനം,arc of circle
ആർക്ക് സൈൻ വിതരണം,arc sine distribution
ആർക്ക് സൈൻ പരിവർത്തനം,arc sine transformation
പ്രദേശം,area
ഏരിയൽ ടെക്സ്ചർ,areal texture
സങ്കീർണ്ണ സംഖ്യയുടെ വാദം,argument of complex number
ഗണിത അർത്ഥം,arithmetic mean
ഗണിത പ്രവർത്തനം,arithmetic operation
ഗണിത യൂണിറ്റ്,arithmetic unit
ക്രമീകരണം,arrangement
അറേ,array
കൃത്രിമ ഉപഗ്രഹം,artificial satellite
കൃത്രിമ വേരിയബിൾ,artificial variable
കയറുക,ascend
ആരോഹണം,ascending
മാഗ്നിറ്റ്യൂഡിന്റെ ആരോഹണ ക്രമം,ascending order of magnitude
ആരോഹണ പരമ്പര,ascending series
അസംബ്ലർ ഭാഷ,assembler language
അസൈൻമെന്റ് പ്രശ്നം,assignment problem
സഹകാരി നിയമം,associative law
ഓപ്പറേറ്റർമാരുടെ അനുബന്ധ നിയമം,associative law of operators
അനുബന്ധ പ്രവർത്തനം,associative operation
സഹവാസം,associativity
അർത്ഥമാക്കുന്നത്,assumed mean
പ്രോബബിലിറ്റി ഡിസ്ട്രിബ്യൂഷൻ അനുമാനിച്ചു,assumed probability distribution
അനുമാനം,assumption
ജ്യോതിഷം,astrology
ബഹിരാകാശ എഞ്ചിനീയർ,astronautical engineer
ജ്യോതിശാസ്ത്രജ്ഞൻ,astronomer
ജ്യോതിശാസ്ത്ര ഘടികാരം,astronomical clock
ജ്യോതിശാസ്ത്രം,astronomy
അസമമായ വക്രം,asymmetrical curve
അസമമിതി,asymmetry
ലക്ഷണം,asymptote
അസിംപ്റ്റോട്ടിക്,asymptotic
അസിംപ്റ്റിക്കലി കാര്യക്ഷമമായ എസ്റ്റിമേറ്റർ,asymptotically efficient estimator
അസ്‌മിപ്റ്റിക്കലി പക്ഷപാതമില്ലാത്ത എസ്റ്റിമേറ്റർ,asymptotically unbiased estimator
അസിംപ്റ്റോട്ടിക് സ്വഭാവം,asymptotic behavior
അസിംപ്റ്റോട്ടിക് ഡിസ്ട്രിബ്യൂഷൻ ഫംഗ്ഷൻ,asymptotic distribution function
അസിംപ്റ്റോട്ടിക് വികാസം,asymptotic expansion
അന്തരീക്ഷമർദ്ദം,atmospheric pressure
മാറി മാറി,at random
ആട്രിബ്യൂട്ട്,attribute
ആട്രിബ്യൂട്ടുകൾ സാമ്പിൾ നടപടിക്രമം,attributes sampling procedure
വർദ്ധിപ്പിച്ച മാട്രിക്സ്,augmented matrix
ഓട്ടോകോറിലേഷൻ കോഫിഫിഷ്യന്റ്,autocorrelation coefficient
ഓട്ടോകോറിലേഷൻ ഫംഗ്ഷൻ,autocorrelation function
ഓട്ടോകോവേരിയൻസ്,autocovariance
ഓട്ടോമാറ്റിക് കമ്പ്യൂട്ടർ,automatic computer
സ്വയം റിഗ്രഷൻ,autoregression
സഹായ സമവാക്യം,auxiliary equation
ശരാശരി സാമ്പിൾ നമ്പർ വക്രം (ASN കർവ്),average sample number curve (A.S.N. Curve)
സിദ്ധാന്തം,axiom
അച്ചുതണ്ട് സമീപനം,axiomatic approach
സംഭാവ്യതയുടെ സിദ്ധാന്തം,axiom of probability
അച്ചുതണ്ട്,axis
അബ്സിസ്സയുടെ അച്ചുതണ്ട്,axis of abscissa
ഭൂമിയുടെ അച്ചുതണ്ട്,axis of earth
വിപ്ലവത്തിന്റെ അച്ചുതണ്ട്,axis of revolution
ഭ്രമണത്തിന്റെ അച്ചുതണ്ട്,axis of rotation
സ്പിന്നിന്റെ അച്ചുതണ്ട്,axis of spin
തിരികെ-പകരം,back-substitution
പിന്നാക്ക വ്യത്യാസം,backward difference
ബാക്ക്വാർഡ്-ഇന്റർപോളേഷൻ ഫോർമുല,backward-interpolation formula
ബാലൻസ്,balance
സമതുലിതമായ ഡിസൈൻ,balanced design
ബാലൻസ് ഷീറ്റ്,balance sheet
ബാലിസ്റ്റിക് മിസൈൽ,ballistic missile
ബാലിസ്റ്റിക്സ്,ballistics
ബാർ,bar
അടിസ്ഥാനം,base
അടിസ്ഥാന കോൺ,base angle
ലോഗരിതം അടിസ്ഥാനം,base of logarithm
അടിസ്ഥാന,basic
അടിസ്ഥാന പ്രായോഗിക പരിഹാരം,basic feasible solution
അടിസ്ഥാന പരിഹാരം,basic solution
അടിസ്ഥാന വേരിയബിൾ,basic variable
അടിസ്ഥാനം,basis
അടിസ്ഥാന ഘടകം,basis element
അടിസ്ഥാന മാട്രിക്സ്,basis matrix
ഒരു വെക്റ്റർ സ്ഥലത്തിന്റെ അടിസ്ഥാനം,basis of a vector space
ഉപസ്ഥലത്തിന്റെ അടിസ്ഥാനം,basis of subspace
ബയേസിയൻ എസ്റ്റിമേറ്റ്,Bayesian estimate
ബയേസിന്റെ നിയമം,Bayes' law
ബയേസിന്റെ സിദ്ധാന്തം,Bayes' theorem
ബെർണൂലി വിതരണം,Bernoulli distribution
ബെർണൂലി നമ്പർ,Bernoulli number
ബെർണൂലി പ്രോബബിലിറ്റി ഫംഗ്‌ഷൻ,Bernoulli probability function
ബെർണൂലിയുടെ സമവാക്യം,Bernoulli's equation
ബെറി പ്രവർത്തനം,Berry function
ഏറ്റവും അനുയോജ്യം,best fit
ഏറ്റവും അനുയോജ്യമായ ലൈൻ,best - fit line
മികച്ച പരിഹാരം,best solution
മികച്ച തന്ത്രങ്ങൾ,best strategies
ബീറ്റ വിതരണം,beta distribution
പക്ഷപാതം,bias
പക്ഷപാതപരമായ കണക്ക്,biased estimate
ബൈഹാർമോണിക് സമവാക്യം,biharmonic equation
ബിജക്ഷൻ,bijection
ബിജക്റ്റീവ് മാപ്പ്,bijective map
ബിജക്റ്റീവ് മാപ്പിംഗ്,bijective mapping
ബിലീനിയർ രൂപം,bilinear form
ബിലീനിയർ ഫംഗ്ഷൻ,bilinear function
ബിലീനിയർ ഹെർമിഷ്യൻ രൂപം,bilinear Hermitian form
ബൈനറി,binary
ബൈനറി കോഡ്,binary code
ബൈനറി കോഡ് ചെയ്ത ദശാംശം,binary coded decimal
ബൈനറി കോഡിംഗ്,binary coding
ബൈനറി കമ്പ്യൂട്ടർ,binary computer
ബൈനറി അക്കം,binary digit
ബൈനറി പ്രവർത്തനം,binary operation
ബൈനറി സിസ്റ്റം,binary system
ബൈനറി വേരിയബിൾ,binary variable
ദ്വിപദ ഗുണകം,binomial coefficient
ദ്വിപദ വിതരണം,binomial distribution
ദ്വിപദ സമവാക്യം,binomial equation
ദ്വിപദ വിപുലീകരണം,binomial expansion
ദ്വിപദ പദപ്രയോഗം,binomial expression
ബൈനോമിയൽ റാൻഡം വേരിയബിൾ,binomial random variable
ദ്വിപദ സിദ്ധാന്തം,binomial theorem
വിഭജനം,bisection
വിഭജന രീതി,bisection method
ദ്വിഭാഗം,bisector
ബൈസീരിയൽ,biserial
ബിറ്റ്,bit
ദ്വിപദ ദ്വിപദ വിതരണം,bivariate binomial distribution
ദ്വിവസ്ത്ര പരസ്പര ബന്ധ ഗുണകം,bivariate correlation coefficient
ദ്വിവിധ വിതരണം,bivariate distribution
ദ്വിവത്കൃത സാധാരണ വിതരണം,bivariate normal distribution
ബിവെക്ടർ,bivector
ബോൾട്ട്സ്മാൻ സമവാക്യം,Boltzmann equation
ബൂളിയൻ ബീജഗണിതം,Boolean algebra
ബോസ് - ഐൻസ്റ്റീൻ സ്ഥിതിവിവരക്കണക്കുകൾ,Bose - Einstein statistics
അതിർത്തി അവസ്ഥ,boundary condition
അതിർത്തി പാളി,boundary layer
അതിർത്തി രേഖ,boundary line
അതിർത്തി മൂല്യം,boundary value
അതിർത്തി മൂല്യ പ്രശ്നം,boundary value problem
പരിമിതമായ പ്രവർത്തനം,bounded function
ബൗണ്ടഡ് മാട്രിക്സ്,bounded matrix
അതിർത്തി പ്രദേശം,bounded region
ബൗണ്ടഡ് സെറ്റ്,bounded set
ബ്രൗൺ ചലനം,Brownian motion
കണക്കാക്കുക,calculate
കണക്കുകൂട്ടുന്നു,calculating
കണക്കുകൂട്ടൽ യന്ത്രം,calculating machine
കണക്കുകൂട്ടല്,calculation
കണക്കുകൂട്ടൽ നടപടിക്രമം,calculational procedure
കാൽക്കുലേറ്റർ,calculator
കാൽക്കുലസ്,calculus
വ്യതിയാനത്തിന്റെ കണക്കുകൂട്ടൽ,calculus of variation
കലോറി,calorie
റദ്ദാക്കൽ നിയമം,cancellation law
കാനോനിക്കൽ സമവാക്യം,canonical equation
കാനോനിക്കൽ രൂപം,canonical form
കാനോനിക്കൽ മാട്രിക്സ്,canonical matrix
കാന്റർ സെറ്റ്,Cantor set
കാന്ററിന്റെ ത്രിതല സെറ്റ്,Cantor's ternary set
ശേഷിയുള്ള ഗതാഗത പ്രശ്നം,capacitated transportation problem
ശേഷി,capacity
കാപ്പിലറി ബലം,capillary force
കാർഡിനൽ നമ്പർ,cardinal number
കാർട്ടീഷ്യൻ അക്ഷങ്ങൾ,Cartesian axes
കാർട്ടീഷ്യൻ കോർഡിനേറ്റുകൾ,Cartesian coordinates
കാർട്ടീഷ്യൻ ഉൽപ്പന്നം,Cartesian product
സെറ്റുകളുടെ കാർട്ടീഷ്യൻ ഉൽപ്പന്നം,Cartesian product of sets
കേസ് പഠനം,case study
വിനാശകരമായ ഏറ്റക്കുറച്ചിലുകൾ,catastrophic fluctuation
കാറ്റനറി,Catenary
കോച്ചി വിതരണം,Cauchy distribution
കൗച്ചി ഫോർമുല,Cauchy formula
Cauchy Goursat സിദ്ധാന്തം,Cauchy Goursat theorem
കൗച്ചി റീമാൻ വ്യവസ്ഥകൾ,Cauchy Riemann conditions
Cauchy ക്രമം,Cauchy sequence
കൗച്ചി ഇന്റഗ്രൽ,Cauchy integral
Cauchy പ്രധാന മൂല്യം,Cauchy principal value
കൗച്ചി അവശിഷ്ട സിദ്ധാന്തം,Cauchy residue theorem
കെയ്‌ലി ഹാമിൽട്ടൺ സിദ്ധാന്തം,Cayley Hamilton theorem
ആകാശ ശരീരം,celestial body
ആകാശത്തിന്റെ അളവ്,celestial measurement
ആകാശ മെക്കാനിക്സ്,celestial mechanics
ആകാശ വസ്തു,celestial object
സെൽ ആവൃത്തി,cell frequency
കാനേഷുമാരി,census
സെന്റൽ,centile
സെന്റീമീറ്റർ,centimeter
സെന്റീമീറ്റർ ഗ്രാം സെക്കന്റ് സിസ്റ്റം,centimeter gram second system
കേന്ദ്ര,central
കേന്ദ്ര അക്ഷം,central axis
കേന്ദ്ര വ്യത്യാസം,central difference
കേന്ദ്ര വ്യത്യാസ ഫോർമുല,central difference formula
കേന്ദ്ര വ്യത്യാസ പട്ടിക,central difference table
കേന്ദ്ര പരിധി സിദ്ധാന്തം,central limit theorem
കേന്ദ്ര നിമിഷം,central moment
സെൻട്രൽ പ്രോസസ്സിംഗ് യൂണിറ്റ് (സിപിയു),central processing unit (C.P.U)
കേന്ദ്ര പ്രവണത,central tendency
കേന്ദ്രം,centre
ഗുരുത്വാകർഷണ കേന്ദ്രം,centre of gravity
ഗ്രൂപ്പിന്റെ കേന്ദ്രം,centre of group
പിണ്ഡത്തിന്റെ കേന്ദ്രം,centre of mass
സമമിതിയുടെ കേന്ദ്രം,centre of symmetry
അപകേന്ദ്ര ബലം,centrifugal force
അപകേന്ദ്രബലം,centripetal force
കേന്ദ്രീകൃത,centroid
ഉറപ്പ്,certainty
cgs സിസ്റ്റം,c.g.s. system
cgs യൂണിറ്റ്,c.g.s. unit
വ്യത്യാസത്തിന്റെ ശൃംഖല,chain rule of differentiation
സാധ്യത കാരണങ്ങൾ,chance causes
അവസര നീക്കങ്ങൾ,chance moves
അച്ചുതണ്ടുകളുടെ മാറ്റം,change of axes
അടിസ്ഥാന മാറ്റം,change of basis
ക്രമം മാറ്റം,change of order
സ്വഭാവ ഗുണകം,characteristic coefficient
ഡിറ്റർമിനന്റ്,determinant
സ്വഭാവ സമവാക്യം,characteristic equation
സ്വഭാവ സവിശേഷത,characteristic function
ലോഗരിതത്തിന്റെ സ്വഭാവം,characteristic of logarithm
സ്വഭാവ ബഹുപദം,characteristic polynomial
സ്വഭാവ മൂല്യം,characteristic value
സ്വഭാവ വെക്റ്റർ,characteristic vector
പ്രതീക സെറ്റ്,character set
ചാർട്ട്,chart
ചി-സ്ക്വയർ വിതരണം,chi-square distribution
ചി-സ്ക്വയർ ഫോർമുല,chi-square formula
ചി-സ്ക്വയർ ടെസ്റ്റ്,chi-square test
കോർഡ്,chord
chord-bisection രീതി,chord-bisection method
സൈഫർ സന്ദേശം (=കോഡ് ചെയ്ത സന്ദേശം),cipher message (=coded message)
സൈഫർ (പൂജ്യം),cipher (zero)
വൃത്തം,circle
ഒത്തുചേരൽ വൃത്തം,circle of convergence
സർക്യൂട്ട് മാട്രിക്സ്,circuit matrix
വൃത്താകൃതിയിലുള്ള,circular
വൃത്താകൃതിയിലുള്ള ലക്ഷണം,circular asymptote
വൃത്താകൃതിയിലുള്ള ഹെലിക്സ്,circular helix
വൃത്താകൃതിയിലുള്ള ചലനം,circular motion
ചുറ്റളവ്,circumcentre
വൃത്താകൃതി,circumcircle
ചുറ്റുക,circumscribe
പരിമിതപ്പെടുത്തിയിരിക്കുന്നു,circumscribed
ചുറ്റപ്പെട്ട വൃത്തം,circumscribed circle
ക്ലാസിക്കൽ ഡിഡക്റ്റീവ് ടെക്നിക്,classical deductive technique
ക്ലാസിക്കൽ ഡൈനാമിക്സ്,classical dynamics
ക്ലാസിക്കൽ ഒപ്റ്റിമൈസേഷൻ,classical optimization
ക്ലാസിക്കൽ നാശത്തിന്റെ പ്രശ്നം,classical ruin problem
ക്ലാസിക്കൽ സ്റ്റാറ്റിസ്റ്റിക്കൽ മെക്കാനിക്സ്,classical statistical mechanics
പിശകുകളുടെ വർഗ്ഗീകരണം,classification of errors
ക്ലാസ് ഇടവേള,class interval
ക്ലാസ്-ഇന്റർവെൽ യൂണിറ്റ്,class-interval unit
ക്ലാസ് പരിധി,class limit
ഘടികാരദിശയിൽ,clockwise
ക്ലോപ്പൻ (= അടച്ചതും തുറന്നതും),clopen (= closed and open)
അടച്ചു,closed
അടഞ്ഞ കോൺവെക്സ് ഹൾ,closed convex hull
അടച്ച ക്യൂബ്,closed cube
അടഞ്ഞ വക്രം,closed curve
അടച്ച ഡൊമെയ്ൻ,closed domain
അടഞ്ഞ രൂപം,closed figure
അടച്ച ഇടവേള,closed interval
അടച്ച പ്രദേശം,closed region
അടച്ച സെറ്റ്,closed set
അടഞ്ഞ പ്രതലം,closed surface
അടച്ചുപൂട്ടൽ,closure
ക്ലോഷർ ഓപ്പറേറ്റർ,closure operator
ക്ലോഷർ പോയിന്റ് (= കോൺടാക്റ്റ് പോയിന്റ്),closure point (= contact point)
അടച്ചുപൂട്ടൽ പോസ്റ്റുലേറ്റ്,closure postulate
അടച്ചുപൂട്ടൽ സെറ്റ്,closure set
ക്ലസ്റ്റർ പോയിന്റ്,cluster point
ക്ലസ്റ്റർ സാമ്പിൾ,cluster sampling
ക്ലസ്റ്റർ സെറ്റ്,cluster set
ഏകപക്ഷീയ വൃത്തങ്ങൾ,coaxial circles
ഏകപക്ഷീയമായ പരാബോളകൾ,coaxial parabolas
ഏകപക്ഷീയമായ വിമാനങ്ങൾ,coaxial planes
ഏകപക്ഷീയ ത്രികോണങ്ങൾ,coaxial triangles
കോബ് - ഡഗ്ലസ് ഫംഗ്ഷൻ,Cobb - Douglas function
കോഡിംഗ്,coding
ഡാറ്റയുടെ കോഡിംഗ്,coding of data
സഹ-ഡൊമെയ്ൻ,co-domain
കോഫിഫിഷ്യന്റ് മാട്രിക്സ്,coefficient matrix
പരസ്പര ബന്ധത്തിന്റെ ഗുണകം,coefficient of correlation
നിർണ്ണയത്തിന്റെ ഗുണകം,coefficient of determination
ഇലാസ്തികതയുടെ ഗുണകം,coefficient of elasticity
വികാസത്തിന്റെ ഗുണകം,coefficient of expansion
ഘർഷണത്തിന്റെ ഗുണകം,coefficient of friction
രേഖീയ വികാസത്തിന്റെ ഗുണകം,coefficient of linear expansion
റിഗ്രഷൻ ഗുണകം,coefficient of regression
ഉപരിതല പിരിമുറുക്കത്തിന്റെ ഗുണകം,coefficient of surface tension
ഗുണനഘടകം,coefficient of variation
സഹഘടകം,cofactor
കോയിൻ ത്രോ (കോയിൻ ടോസ്),coin throw (coin toss)
സാമ്പിൾ ശേഖരണം,collection of sample
കോളിനിയർ,collinear
കോളിനിയറിറ്റി,collinearity
കോളം,column
നിര തുല്യത,column equivalence
നിര തത്തുല്യം,column equivalent
നിര തുല്യമായ മാട്രിക്സ്,column equivalent matrix
കോളം മാട്രിക്സ്,column matrix
നിര റാങ്ക്,column rank
കോളം കുറച്ച echolon മാട്രിക്സ്,column reduced echolon matrix
നിര വെക്റ്റർ,column vector
നിരയായി,columnwise
സംയുക്ത സമവാക്യം,combined equation
പൊതുവായ കോൺ,common angle
പൊതു അക്ഷം,common axis
പൊതുവായ അടിസ്ഥാനം,common base
പൊതു വിഭജനം,common denominator
പൊതുവായ വ്യത്യാസം,common difference
പൊതു ഘടകം,common factor
പൊതുവായ ലോഗരിതം,common logarithm
പൊതുവായ ഗുണിതം,common multiple
പൊതു അനുപാതം,common ratio
പൊതു വിഭാഗം,common section
പൊതുവായ വശം,common side
പൊതുവായ ടാൻജെന്റ്,common tangent
പൊതുവായ പദം,common term
കമ്മ്യൂട്ടേറ്റീവ് നിയമം,commutative law
കമ്മ്യൂട്ടേറ്റീവ് പ്രോപ്പർട്ടി,commutative property
കമ്മ്യൂട്ടേറ്റീവ് റൂൾ,commutative rule
കൂട്ടിച്ചേർക്കലിന്റെ കമ്മ്യൂട്ടേറ്റീവ് നിയമം,commutative law of addition
ഗുണനത്തിന്റെ കമ്മ്യൂട്ടേറ്റീവ് നിയമം,commutative law of multiplication
കമ്മ്യൂട്ടേറ്റീവ് ഓപ്പറേഷൻ,commutative operation
കമ്മ്യൂട്ടേറ്റർ ഗ്രൂപ്പ്,commutator group
മെട്രിക്സുകളുടെ കമ്മ്യൂട്ടിംഗ്,commuting of matrices
കോംപാക്റ്റ് സെറ്റ്,compact set
താരതമ്യത,comparability
മാർഗങ്ങളുടെ താരതമ്യം,comparision of means
ശതമാനത്തിന്റെ താരതമ്യം,comparision of percentage
താരതമ്യ പരിശോധന,comparision test
അനുയോജ്യത സമവാക്യം,compatibility equation
മത്സര ഗെയിം,competitive game
മത്സര സാഹചര്യം,competitive situation
മത്സര തന്ത്രം,competitive strategy
കമ്പൈലർ,compiler
പരസ്പരപൂരകമായ,complementary
പൂരക കോൺ,complementary angle
പൂരക സംഭവം,complementary event पूरक घटना
പൂരക ഘടകം,complementary factor
പൂരക പ്രവർത്തനം,complementary function
കോംപ്ലിമെന്ററി ഹാഫ് സ്പേസ്,complementary half space
പൂരക ഇടവേള,complementary interval
കോംപ്ലിമെന്ററി സെറ്റ്,complementary set
പൂർത്തീകരണം,complementation
ഒരു സെറ്റിന്റെ പൂരകം,complement of a set
സമ്പൂർണ്ണ സെൻസസ്,complete census
സമ്പൂർണ്ണ കോറിലേഷൻ മാട്രിക്സ്,complete correlation matrix
പൂർണ്ണ മെട്രിക് സ്പേസ്,complete metric space
പൂർണ്ണമായ ഓർത്തോനോർമൽ സെറ്റ്,complete orthonormal set
സമ്പൂർണ്ണ ചതുർഭുജം,complete quadrangle
സമ്പൂർണ്ണ ഘടകം,complete quotient
മുഴുവൻ സെറ്റ്,complete set
പൂർണ്ണമായ പരിഹാരം,complete solution
പൂർണ്ണമായും ക്രമരഹിതമായ ഡിസൈൻ,completely randomised design
സങ്കീർണ്ണമായ വാദം,complex argument
സങ്കീർണ്ണമായ സംയോജനം,complex conjugate
സങ്കീർണ്ണമായ വ്യത്യാസം,complex differentiation
സങ്കീർണ്ണമായ പ്രവർത്തനം,complex function
സങ്കീർണ്ണമായ ഏകീകരണം,complex integration
സങ്കീർണ്ണമായ മെട്രിക്സ്,complex matrices
സങ്കീർണ്ണ സംഖ്യ,complex number
സങ്കീർണ്ണ സംഖ്യ ഫീൽഡ്,complex number field
സങ്കീർണ്ണമായ ഓർത്തോഗണൽ മാട്രിക്സ്,complex orthogonal matrix
സങ്കീർണ്ണമായ വിമാനം,complex plane
