Marathi,English
एकूण परावर्तनाचा कोन,angle of total reflection
कोनीय प्रवेग,angular acceleration
कोणीय गती,angular motion
कोनीय गती,angular speed
कोनीय गती,angular velocity
वलय,annulus
उत्तर,answer
विरोधी व्युत्पन्न,anti – derivative
विषमताविरोधी कार्य,antisymmetric function
लागू,applicable
अर्ज,application
लागू डायनॅमिक प्रोग्रामिंग,applied dynamic programming
लागू भूमिती,applied geometry
लागू गणित,applied mathematics
लागू आकडेवारी,applied statistics
अंदाजे,approximately
अंदाजे सतत कार्य,approximately continuous function
अंदाजे पद्धत,approximate method
अंदाजे उपाय,approximate solution
अंदाजे समस्या,approximation problem
अंदाजे मालमत्ता,approximation property
योग्यता चाचणी बॅटरी,aptitude test battery
आर्गंड आकृती,Argand diagram
अनियंत्रितपणे निवडले,arbitrarily chosen
अनियंत्रित,arbitrary
अनियंत्रित स्थिरांक,arbitrary constant
अनियंत्रित घटक,arbitrary element
अनियंत्रित बिंदू,arbitrary point
आर्किमेडियन कायदा,Archemedean law
आर्किमिडीज तत्त्व,Archimedes principle
चाप लांबी,arc length
वर्तुळाचा चाप,arc of circle
आर्क साइन वितरण,arc sine distribution
चाप साइन परिवर्तन,arc sine transformation
क्षेत्र,area
क्षेत्रीय पोत,areal texture
जटिल संख्येचा युक्तिवाद,argument of complex number
अंकगणित सरासरी,arithmetic mean
अंकगणित ऑपरेशन,arithmetic operation
अंकगणित एकक,arithmetic unit
व्यवस्था,arrangement
रचना,array
कृत्रिम उपग्रह,artificial satellite
कृत्रिम व्हेरिएबल,artificial variable
चढणे,ascend
चढत्या,ascending
परिमाणाचा चढता क्रम,ascending order of magnitude
चढत्या मालिका,ascending series
असेंबलर भाषा,assembler language
असाइनमेंट समस्या,assignment problem
सहयोगी कायदा,associative law
ऑपरेटर्सचा सहयोगी कायदा,associative law of operators
सहयोगी ऑपरेशन,associative operation
सहवास,associativity
सरासरी गृहीत धरले,assumed mean
गृहीत संभाव्यता वितरण,assumed probability distribution
गृहीतक,assumption
ज्योतिष,astrology
अंतराळवीर अभियंता,astronautical engineer
खगोलशास्त्रज्ञ,astronomer
खगोलशास्त्रीय घड्याळ,astronomical clock
खगोलशास्त्र,astronomy
असममित वक्र,asymmetrical curve
विषमता,asymmetry
लक्षणे,asymptote
लक्षणे नसलेला,asymptotic
असिम्प्टोटिकली कार्यक्षम अंदाजकर्ता,asymptotically efficient estimator
asymptotically निष्पक्ष अंदाजकर्ता,asymptotically unbiased estimator
लक्षणे नसलेले वर्तन,asymptotic behavior
एसिम्प्टोटिक वितरण कार्य,asymptotic distribution function
एसिम्प्टोटिक विस्तार,asymptotic expansion
वातावरणाचा दाब,atmospheric pressure
यादृच्छिकपणे,at random
विशेषता,attribute
गुणधर्म नमुना प्रक्रिया,attributes sampling procedure
संवर्धित मॅट्रिक्स,augmented matrix
स्वयंसंबंध गुणांक,autocorrelation coefficient
स्वयंसंबंध कार्य,autocorrelation function
autocovariance,autocovariance
स्वयंचलित संगणक,automatic computer
ऑटोरिग्रेशन,autoregression
सहाय्यक समीकरण,auxiliary equation
सरासरी नमुना क्रमांक वक्र (ASN वक्र),average sample number curve (A.S.N. Curve)
स्वयंसिद्ध,axiom
स्वयंसिद्ध दृष्टीकोन,axiomatic approach
संभाव्यतेचे स्वयंसिद्ध,axiom of probability
अक्ष,axis
abscissa चा अक्ष,axis of abscissa
पृथ्वीचा अक्ष,axis of earth
क्रांतीची अक्ष,axis of revolution
रोटेशनचा अक्ष,axis of rotation
फिरकीचा अक्ष,axis of spin
परत प्रतिस्थापन,back-substitution
मागास फरक,backward difference
बॅकवर्ड-इंटरपोलेशन सूत्र,backward-interpolation formula
शिल्लक,balance
संतुलित डिझाइन,balanced design
ताळेबंद,balance sheet
बॅलिस्टिक क्षेपणास्त्र,ballistic missile
बॅलिस्टिक्स,ballistics
बार,bar
पाया,base
बेस कोन,base angle
लॉगरिदमचा आधार,base of logarithm
मूलभूत,basic
मूलभूत व्यवहार्य उपाय,basic feasible solution
मूलभूत उपाय,basic solution
मूलभूत चल,basic variable
आधार,basis
आधार घटक,basis element
आधार मॅट्रिक्स,basis matrix
वेक्टर स्पेसचा आधार,basis of a vector space
सबस्पेसचा आधार,basis of subspace
बायसियन अंदाज,Bayesian estimate
बायसचा कायदा,Bayes' law
बायसचे प्रमेय,Bayes' theorem
बर्नौली वितरण,Bernoulli distribution
बर्नौली क्रमांक,Bernoulli number
बर्नौली संभाव्यता कार्य,Bernoulli probability function
बर्नौलीचे समीकरण,Bernoulli's equation
बेरी फंक्शन,Berry function
सर्वोत्तम फिट,best fit
सर्वोत्तम - फिट लाइन,best - fit line
सर्वोत्तम उपाय,best solution
सर्वोत्तम धोरणे,best strategies
बीटा वितरण,beta distribution
पक्षपात,bias
पक्षपाती अंदाज,biased estimate
बिहारमोनिक समीकरण,biharmonic equation
द्विभाजन,bijection
द्विभाषिक नकाशा,bijective map
द्विजात्मक मॅपिंग,bijective mapping
द्विरेखीय फॉर्म,bilinear form
द्विरेखीय कार्य,bilinear function
द्विरेखीय हर्मिटियन फॉर्म,bilinear Hermitian form
बायनरी,binary
बायनरी कोड,binary code
बायनरी कोडेड दशांश,binary coded decimal
बायनरी कोडिंग,binary coding
बायनरी संगणक,binary computer
बायनरी अंक,binary digit
बायनरी ऑपरेशन,binary operation
बायनरी प्रणाली,binary system
बायनरी व्हेरिएबल,binary variable
द्विपदी गुणांक,binomial coefficient
द्विपदी वितरण,binomial distribution
द्विपद समीकरण,binomial equation
द्विपदी विस्तार,binomial expansion
द्विपदी अभिव्यक्ती,binomial expression
द्विपदी यादृच्छिक चल,binomial random variable
द्विपद प्रमेय,binomial theorem
दुभाजक,bisection
दुभाजक पद्धत,bisection method
दुभाजक,bisector
द्विसेरियल,biserial
बिट,bit
द्विपदी द्विपद वितरण,bivariate binomial distribution
द्विवैरिएट सहसंबंध गुणांक,bivariate correlation coefficient
द्विभिन्न वितरण,bivariate distribution
द्विवैरिएट सामान्य वितरण,bivariate normal distribution
bivector,bivector
बोल्ट्झमन समीकरण,Boltzmann equation
बुलियन बीजगणित,Boolean algebra
बोस - आईन्स्टाईन आकडेवारी,Bose - Einstein statistics
सीमा स्थिती,boundary condition
सीमा स्तर,boundary layer
सीमारेषा,boundary line
सीमा मूल्य,boundary value
सीमा मूल्य समस्या,boundary value problem
बंधनकारक कार्य,bounded function
सीमाबद्ध मॅट्रिक्स,bounded matrix
सीमाबद्ध प्रदेश,bounded region
बांधलेला संच,bounded set
ब्राउनियन गती,Brownian motion
गणना करा,calculate
गणना करत आहे,calculating
गणना मशीन,calculating machine
गणना,calculation
गणना प्रक्रिया,calculational procedure
कॅल्क्युलेटर,calculator
कॅल्क्युलस,calculus
भिन्नतेची गणना,calculus of variation
कॅलरी,calorie
रद्द करण्याचा कायदा,cancellation law
प्रामाणिक समीकरण,canonical equation
प्रामाणिक स्वरूप,canonical form
कॅनोनिकल मॅट्रिक्स,canonical matrix
कॅंटर सेट,Cantor set
कॅंटरचा तिरंगी संच,Cantor's ternary set
सक्षम वाहतूक समस्या,capacitated transportation problem
क्षमता,capacity
केशिका शक्ती,capillary force
मुख्य क्रमांक,cardinal number
कार्टेशियन अक्ष,Cartesian axes
कार्टेशियन समन्वय,Cartesian coordinates
कार्टेशियन उत्पादन,Cartesian product
संचांचे कार्टेशियन उत्पादन,Cartesian product of sets
केस स्टडी,case study
आपत्तीजनक चढउतार,catastrophic fluctuation
कॅटेनरी,Catenary
कॉची वितरण,Cauchy distribution
कॉची सूत्र,Cauchy formula
कैची गौरसाट प्रमेय,Cauchy Goursat theorem
Cauchy Riemann अटी,Cauchy Riemann conditions
कॉची क्रम,Cauchy sequence
कैची अभिन्न,Cauchy integral
कॉची मुख्य मूल्य,Cauchy principal value
कॉची अवशेष प्रमेय,Cauchy residue theorem
केली हॅमिल्टन प्रमेय,Cayley Hamilton theorem
आकाशीय शरीर,celestial body
आकाशीय मापन,celestial measurement
खगोलीय यांत्रिकी,celestial mechanics
खगोलीय वस्तू,celestial object
सेल वारंवारता,cell frequency
जनगणना,census
सेंटाइल,centile
सेंटीमीटर,centimeter
सेंटीमीटर ग्रॅम दुसरी प्रणाली,centimeter gram second system
मध्यवर्ती,central
मध्य अक्ष,central axis
मध्यवर्ती फरक,central difference
केंद्रीय फरक सूत्र,central difference formula
मध्यवर्ती फरक सारणी,central difference table
केंद्रीय मर्यादा प्रमेय,central limit theorem
मध्यवर्ती क्षण,central moment
सेंट्रल प्रोसेसिंग युनिट (CPU),central processing unit (C.P.U)
केंद्रीय प्रवृत्ती,central tendency
केंद्र,centre
गुरुत्वाकर्षण केंद्र,centre of gravity
गटाचे केंद्र,centre of group
वस्तुमानाचे केंद्र,centre of mass
सममितीचे केंद्र,centre of symmetry
केंद्रापसारक शक्ती,centrifugal force
केंद्राभिमुख शक्ती,centripetal force
मध्यवर्ती,centroid
निश्चितता,certainty
cgs प्रणाली,c.g.s. system
cgs युनिट,c.g.s. unit
भिन्नतेचा साखळी नियम,chain rule of differentiation
संधी कारणे,chance causes
संधीची हालचाल,chance moves
अक्षांचा बदल,change of axes
आधार बदल,change of basis
ऑर्डर बदल,change of order
वैशिष्ट्यपूर्ण गुणांक,characteristic coefficient
निर्धारक,determinant
वैशिष्ट्यपूर्ण समीकरण,characteristic equation
वैशिष्ट्यपूर्ण कार्य,characteristic function
लॉगरिथमचे वैशिष्ट्य,characteristic of logarithm
वैशिष्ट्यपूर्ण बहुपद,characteristic polynomial
वैशिष्ट्यपूर्ण मूल्य,characteristic value
वैशिष्ट्यपूर्ण वेक्टर,characteristic vector
वर्ण संच,character set
तक्ता,chart
ची-स्क्वेअर वितरण,chi-square distribution
ची-स्क्वेअर सूत्र,chi-square formula
ची-स्क्वेअर चाचणी,chi-square test
जीवा,chord
जीवा-द्विभाजन पद्धत,chord-bisection method
सायफर संदेश (=कोड केलेला संदेश),cipher message (=coded message)
सिफर (शून्य),cipher (zero)
वर्तुळ,circle
अभिसरण मंडळ,circle of convergence
सर्किट मॅट्रिक्स,circuit matrix
परिपत्रक,circular
वर्तुळाकार लक्षण,circular asymptote
गोलाकार हेलिक्स,circular helix
गोलाकार हालचाल,circular motion
परिघ,circumcentre
वर्तुळ,circumcircle
परिक्रमा,circumscribe
घेरलेले,circumscribed
परिक्रमा केलेले वर्तुळ,circumscribed circle
शास्त्रीय वजावटी तंत्र,classical deductive technique
शास्त्रीय गतिशीलता,classical dynamics
शास्त्रीय ऑप्टिमायझेशन,classical optimization
शास्त्रीय नाश समस्या,classical ruin problem
शास्त्रीय सांख्यिकीय यांत्रिकी,classical statistical mechanics
त्रुटींचे वर्गीकरण,classification of errors
वर्ग मध्यांतर,class interval
वर्ग-मध्यांतर युनिट,class-interval unit
वर्ग मर्यादा,class limit
घड्याळाच्या दिशेने,clockwise
क्लोपेन (= बंद आणि उघडा),clopen (= closed and open)
बंद,closed
बंद बहिर्वक्र हुल,closed convex hull
बंद घन,closed cube
बंद वक्र,closed curve
बंद डोमेन,closed domain
बंद आकृती,closed figure
बंद अंतराल,closed interval
बंद प्रदेश,closed region
बंद संच,closed set
बंद पृष्ठभाग,closed surface
बंद,closure
बंद ऑपरेटर,closure operator
बंद बिंदू (= संपर्क बिंदू),closure point (= contact point)
बंद करणे,closure postulate
बंद सेट,closure set
क्लस्टर पॉइंट,cluster point
क्लस्टर सॅम्पलिंग,cluster sampling
क्लस्टर सेट,cluster set
समाक्षीय मंडळे,coaxial circles
कोएक्सियल पॅराबोलास,coaxial parabolas
समाक्षीय विमाने,coaxial planes
समाक्षीय त्रिकोण,coaxial triangles
कोब - डग्लस फंक्शन,Cobb - Douglas function
कोडिंग,coding
डेटाचे कोडिंग,coding of data
सह-डोमेन,co-domain
गुणांक मॅट्रिक्स,coefficient matrix
सहसंबंध गुणांक,coefficient of correlation
निर्धाराचे गुणांक,coefficient of determination
लवचिकता गुणांक,coefficient of elasticity
विस्तार गुणांक,coefficient of expansion
घर्षण गुणांक,coefficient of friction
रेखीय विस्ताराचे गुणांक,coefficient of linear expansion
प्रतिगमन गुणांक,coefficient of regression
पृष्ठभाग तणावाचे गुणांक,coefficient of surface tension
भिन्नतेचे गुणांक,coefficient of variation
cofactor,cofactor
नाणे फेकणे (नाणे फेकणे),coin throw (coin toss)
नमुना संकलन,collection of sample
समरेख,collinear
समरेखता,collinearity
स्तंभ,column
स्तंभ समतुल्यता,column equivalence
स्तंभ समतुल्य,column equivalent
स्तंभ समतुल्य मॅट्रिक्स,column equivalent matrix
स्तंभ मॅट्रिक्स,column matrix
स्तंभ रँक,column rank
स्तंभ कमी केलेले इकोलॉन मॅट्रिक्स,column reduced echolon matrix
स्तंभ वेक्टर,column vector
स्तंभानुसार,columnwise
एकत्रित समीकरण,combined equation
सामान्य कोन,common angle
सामान्य अक्ष,common axis
सामान्य आधार,common base
सामान्य भाजक,common denominator
सामान्य फरक,common difference
सामान्य घटक,common factor
सामान्य लॉगरिथम,common logarithm
सामान्य एकाधिक,common multiple
सामान्य प्रमाण,common ratio
सामान्य विभाग,common section
सामान्य बाजू,common side
सामान्य स्पर्शिका,common tangent
सामान्य संज्ञा,common term
बदली कायदा,commutative law
बदली मालमत्ता,commutative property
बदली नियम,commutative rule
जोडणीचा बदली कायदा,commutative law of addition
गुणाकाराचा कम्युटेटिव्ह कायदा,commutative law of multiplication
बदली ऑपरेशन,commutative operation
कम्युटेटर गट,commutator group
मॅट्रिक्सचे प्रवास,commuting of matrices
कॉम्पॅक्ट सेट,compact set
तुलना,comparability
साधनांची तुलना,comparision of means
टक्केवारीची तुलना,comparision of percentage
तुलना चाचणी,comparision test
सुसंगतता समीकरण,compatibility equation
स्पर्धात्मक खेळ,competitive game
स्पर्धात्मक परिस्थिती,competitive situation
स्पर्धात्मक धोरण,competitive strategy
संकलक,compiler
पूरक,complementary
पूरक कोन,complementary angle
पूरक घटना पूरक घटना,complementary event पूरक घटना
पूरक घटक,complementary factor
पूरक कार्य,complementary function
पूरक अर्धी जागा,complementary half space
पूरक अंतराल,complementary interval
पूरक संच,complementary set
पूरक,complementation
संचाचे पूरक,complement of a set
पूर्ण जनगणना,complete census
पूर्ण सहसंबंध मॅट्रिक्स,complete correlation matrix
पूर्ण मेट्रिक जागा,complete metric space
संपूर्ण ऑर्थोनॉर्मल सेट,complete orthonormal set
पूर्ण चतुर्भुज,complete quadrangle
पूर्ण भागफल,complete quotient
पूर्ण संच,complete set
पूर्ण समाधान,complete solution
पूर्णपणे यादृच्छिक डिझाइन,completely randomised design
जटिल युक्तिवाद,complex argument
जटिल संयुग्म,complex conjugate
जटिल भिन्नता,complex differentiation
जटिल कार्य,complex function
जटिल एकीकरण,complex integration
जटिल मॅट्रिक्स,complex matrices
जटिल संख्या,complex number
जटिल संख्या फील्ड,complex number field
जटिल ऑर्थोगोनल मॅट्रिक्स,complex orthogonal matrix
जटिल विमान,complex plane
जटिल प्रमाण,complex quantity
जटिल परस्पर,complex reciprocal
जटिल परिणाम,complex resultant
जटिल जागा,complex space
जटिल मूल्यवान कार्य,complex valued function
जटिल चल,complex variable
componendo आणि divindendo,componendo and divindendo
घटक,component
घटक विश्लेषण,component analysis
भिन्नता घटक,component of variance
वेक्टरचा घटक,component of vector
संमिश्र कार्य,composite function
संमिश्र गृहितक,composite hypothesis
संमिश्र संख्या,composite number
संमिश्र मालिका,composite series
वेक्टरची रचना,composition of vectors
कंपाऊंड कोन,compound angle
कंपाऊंड विभागणी,compound division
संयुग अपूर्णांक,compound fraction
चक्रवाढ व्याज,compound interest
मिश्रित संभाव्यता,compound probability
संकुचित प्रवाह,compressible flow
संक्षेप,compression
गणना,computation
संगणकीय सूत्र,computational formula
गणना मूल्य,computed value
संगणक,computer
संगणक अल्गोरिदम,computer algorithm
संगणक कार्यक्रम,computer programme
संगणक प्रोग्रामिंग,computer programming
संगणक सिम्युलेशन,computer simulation
संगणन,computing
अवतल कार्य,concave function
अवतल बहुभुज,concave polygon
अवतल प्रोग्रामिंग,concave programming
केंद्रित वर्तुळे,concentric circles
एकाग्र वक्र,concentric curves
ठोस फॉर्म,concrete form
ओळींची समरूपता,concurrency of lines
समवर्ती,concurrent
समवर्ती शक्ती,concurrent forces
सशर्त घनता कार्य,conditional density function
सशर्त वितरण,conditional distribution
सशर्त अपेक्षा,conditional expectation
सशर्त सरासरी,conditional mean
सशर्त संभाव्यता,conditional probability
समरूपतेची स्थिती,condition of collinearity
सुसंगततेची स्थिती,condition of consistency
अखंडतेची स्थिती,condition of integrability
स्पर्शिक स्थिती,condition of tangency
सुळका,cone
आत्मविश्वास मध्यांतर,confidence interval
आत्मविश्वास मध्यांतर अंदाज,confidence interval estimate
आत्मविश्वास मर्यादा,confidence limits
आत्मविश्वास क्षेत्र,confidence region
संघर्ष परिस्थिती,conflict situation
confocal conics,confocal conics
confocal ellipses,confocal ellipses
कॉन्फोकल भूमिती,confocal geometry
confocal hyperbolae,confocal hyperbolae
confocal hyperboloids,confocal hyperboloids
कॉन्फोकल पॅराबोला,confocal parabola
confocal paraboloidal coordinates,confocal paraboloidal cordinates
सामान्य,conformal
कॉन्फॉर्मल मॅपिंग,conformal mapping
एकरूपता,congruence
वर्तुळांची एकरूपता,congruence of circles
एकरूप,congruent
एकरूप मॅट्रिक्स,congruent matrices
कोनिक,conic
शंकूच्या आकाराचे फ्रस्टम,conical frustum
शंकूच्या आकाराचे हेलिक्स,conical helix
शंकूच्या आकाराचा विभाग,conical section
शंकू,conics
कोनिक विभाग,conic section
संयुग्मित,conjugate
संयुग्मित कोन,conjugate angles
संयुग्मित अक्ष,conjugate axis
संयुग्मित संमिश्र संख्या,conjugate complex numbers
संयुक्त दिशानिर्देश,conjugate directions
संयुग्मित कार्ये,conjugate functions
मॅट्रिक्सचे संयुग,conjugate of matrix
संयुग्मित क्रमपरिवर्तन,conjugate permutation
संयुग्मित ट्रान्सपोज,conjugate transpose
संयोग,conjuction
सलग,consecutive
सलग संख्या,consecutive numbers
ऊर्जा संवर्धन,conservation of energy
वस्तुमान संवर्धन,conservation of mass
पुराणमतवादी,conservative
सुसंगतता,consistency
सुसंगतता स्थिती,consistency condition
सातत्यपूर्ण अंदाज,consistent estimate
सुसंगत अंदाजकर्ता,consistent estimator
सातत्यपूर्ण आकडेवारी,consistent statistic
सुसंगत प्रणाली,consistent system
कन्सोल,consol
स्थिर,constant
सतत प्रवेग,constant acceleration
स्थिर कार्य,constant function
गुरुत्वाकर्षण स्थिर,constant of gravity
एकीकरणाची स्थिरता,constant of integration
आनुपातिकता स्थिर,constant of proportionality
स्थिर मापदंड,constant parameter
स्थिर बहुपदी,constant polynomial
स्थिर प्रमाण,constant proportion
स्थिर गती,constant speed
सतत टर्म,constant term
स्थिर वेग,constant velocity
घटक समीकरण,constitutive equation
मर्यादा,constraint
बांधणे,construct
बांधकाम,construction
ग्राहक प्राधान्य,consumer preference
उपभोग कार्य,consumption function
संपर्क कोन,contact angle
संपर्क बिंदू,contact point
मध्ये समाविष्ट आहे,contained in
आकस्मिक टेबल,contingency table
सातत्य यांत्रिकी,continuum mechanics
चालू अपूर्णांक,continued fraction
सतत उत्पादन,continued product
सातत्य,continuity
कार्याची सातत्य,continuity of function
सातत्य चाचणी,continuity test
सतत,continuous
सतत व्युत्पन्न,continuous derivative
सतत वितरण,continuous distribution
वरून सतत,continuous from above
सतत कार्य,continuous function
सतत भिन्नता,continuously differentiable
सतत नकाशा,continuous map
सतत मॅपिंग,continuous mapping
सतत संभाव्यता घनता कार्य,continuous probability density function
सतत संभाव्यता वितरण,continuous probability distribution
सतत यादृच्छिक चल,continuous random variable
सतत नमुना जागा,continuous sample space
सतत चल,continuous variable
सतत लहर,continuous wave
सातत्य,continuum
सातत्य गृहीतक (= सातत्य स्वयंसिद्ध),continuum hypothesis (= continuum axiom)
वास्तविक संख्यांची सातत्य (= वास्तविक संख्यांचा संच),continuum of real numbers (= set of real numbers)
सातत्य सिद्धांत,continuum theory
समोच्च एकीकरण,contour integration
आकुंचन मॅपिंग,contraction mapping
विरोधाभास,contradiction
विरोधी,contravariant
नियंत्रण,control
नियंत्रण चार्ट,control chart
सरासरीसाठी नियंत्रण चार्ट,control chart for averages
दोष नियंत्रण चार्ट,control chart for defects
श्रेणींसाठी नियंत्रण चार्ट,control chart for ranges
व्हेरिएबल्ससाठी नियंत्रण चार्ट,control chart for variables
एकत्र येणे,converge
मध्यभागी अभिसरण,convergence in mean
सरासरी चौरस मध्ये अभिसरण,convergence in mean square
संभाव्यतेमध्ये अभिसरण,convergence in probability
अभिसरण मर्यादा,convergence limit
अभिसरण त्रिज्या,convergence radius
अभिसरण प्रदेश,convergence region
अभिसरण,convergent
अभिसरण क्रम,convergent sequence
अभिसरण मालिका,convergent series
संभाषण,converse
उलट,conversely
रूपांतरण अपूर्णांक,conversion fraction
रूपांतरण सारणी,conversion table
उत्तल,convex
उत्तल शरीर,convex body
उत्तल संयोजन,convex combination
उत्तल आवरण (=उत्तल हल),convex cover (=convex hull)
उत्तल कार्य,convex function
बहिर्वक्र रेखीय संयोजन,convex linear combinations
बहिर्वक्र रेखीय प्रोग्रामिंग,convex linear programming
बहिर्वक्र मेट्रिक जागा,convex metric space
बहिर्वक्र पॉलीहेड्रॉन,convex polyhedron
बहिर्वक्र प्रोग्रामिंग,convex programming
बहिर्वक्र प्रदेश,convex region
बहिर्वक्र संच,convex set
गोंधळ,convolution
convolution अविभाज्य,convolution integral
कन्व्होल्युशन प्रमेय (= फाल्टुंग प्रमेय),convolution theorem (= faltung theorem)
समन्वय,coordinate
समन्वय अक्ष,coordinate axis
समन्वय भूमिती,coordinate geometry
समन्वय विमान,coordinate plane
समन्वय,coordinates
समन्वय प्रणाली,coordinate system
कोपर्निकन प्रणाली,Copernican system
कॉप्लनर,Coplanar
coplanar सैन्याने,coplanar forces
समतलता,coplanarity
कॉप्राइम क्रमांक,coprime numbers
सुधारणा घटक,correction factor
योग्य उपाय,correct solution
सहसंबंध,correlation
सहसंबंध गुणांक,correlation coefficient
सहसंबंध आकृती,correlation diagram
सहसंबंध कार्य,correlation function
सहसंबंध मॅट्रिक्स,correlation matrix
सहसंबंध गुणोत्तर,correlation ratio
कोरेलोग्राम,correlogram
कोरेलोग्राम विश्लेषण,correlogram analysis
पत्रव्यवहार,correspond
पत्रव्यवहार तत्त्व,correspondence principle
संबंधित कोन,corresponding angle
संबंधित बाजू,corresponding side
coset,coset
कोसाइन,cosine
कोसाइन कायदा,cosine law
खर्च विश्लेषण,cost analysis
खर्च कमाल करणे,cost maximization
गणनाक्षमता स्वयंसिद्ध,countability axiom
मोजण्यायोग्य,countable
मोजण्यायोग्य अतिरिक्तता,countable additivity
मोजण्यायोग्य आधार,countable base
मोजण्यायोग्य आधार,countable basis
मोजण्यायोग्य संच,countable set
मोजण्यायोग्य असीम,countably infinite
काउंटर,counter
घड्याळाच्या उलट दिशेने,counter clockwise
काउंटर उदाहरण,counter example
सहप्रसरण,covariance
सहप्रसरण कायदा,covariance law
सहप्रसरण मॅट्रिक्स,covariance matrix
सहप्रवाह पद्धत,covariance method
सहप्रवाह तंत्र,covariance technique
क्रेमरचा नियम,Cramer's rule
क्रेमर-राव असमानता,Cramer-Rao inequality
निकष कार्य (=उद्देशीय कार्य),criterion function (=objective function)
गंभीर कोन,critical angle
गंभीर मुद्दा,critical point
कार्याचा गंभीर मुद्दा,critical point of function
गंभीर मूल्य,critical value
गंभीर वेग,critical velocity
क्रॉस सहसंबंध कार्य,cross correlation function
क्रॉस उत्पादन,cross product
क्रॉस रेशो,cross ratio
क्रॉस सेक्शनिंग,cross sectioning
क्रिप्ट,crypt
घन,cube
घन संख्या,cube number
घनमूळ,cube root
घन,cubic
घन,cubical
घन समीकरण,cubic equation
घन इंच,cubic inch
क्यूबिक मीटर,cubic metre
