Hindi,Tamil
वायु गतिकी,காற்றியக்கவியல்
सजातीय ज्यामिति,இணைப்பு வடிவியல்
सजातीय प्रतिचित्रण,இணைப்பு மேப்பிங்
सजातीय रूपांतरण,இணைப்பு மாற்றம்
समुच्चयी चर,ஒருங்கிணைக்கும் மாறிகள்
" बीजगणित, ऐलजेब्रा , बीजावली , बीजक्रिया",இயற்கணிதம்
"बीजतः संवृत, बीजतः",இயற்கணிதப்படி மூடப்பட்டது
बीजीय समीकरण,இயற்கணித சமன்பாடு
बीजीय व्यंजक,இயற்கணித வெளிப்பாடு
बीजीय समघात,இயற்கணித வடிவம்
बीजीय फलन,இயற்கணித செயல்பாடு
बीजीय ज्यामिति,இயற்கணித வடிவியல்
बीजीय बहुकता,இயற்கணிதப் பெருக்கம்
बीजीय निकाय,இயற்கணித அமைப்பு
सर्व-पूर्णांक समस्या,அனைத்து முழு எண் பிரச்சனை
"नियतन समस्या वाटपप्रश्न,",ஒதுக்கீடு பிரச்சனை
अक्षरात्मक संकेत पद्‌धति,அகரவரிசைக் குறியீடு
अक्षरात्मक संप्रतीक,அகரவரிசை எழுத்து
एकांतर कोण,மாற்று கோணம்
"एकांतर समघात प्रत्यावर्ती रूप,",மாற்று வடிவம்
एकांतर समूह,மாற்று குழு
एकांतर आव्यूह,மாற்று அணி
एकांतर श्रेणी,மாற்று தொடர்
वैकल्पिक परिकल्पना,மாற்று கருதுகோள்
वैकल्पिक इष्टमत,மாற்று ஆப்டிமா
वैकल्पिक परिणाम,மாற்று விளைவு
अनुरूप-अंकीय परिवर्तक,அனலாக்-டு-டிஜிட்டல் மாற்றி
"अनुरूप कम्प्यूटर,",அனலாக் கணினி
विश्लेषण,பகுப்பாய்வு
सहप्रसरण-विश्लेषण,இணையான பகுப்பாய்வு
गणन-आंकड़ों का विश्लेषण,கணக்கியல் தரவு பகுப்பாய்வு
प्रसरण-विश्लेषण,மாறுபாட்டின் பகுப்பாய்வு
विश्लेषिक ज्यामिति,பகுப்பாய்வு வடிவியல்
विश्लेषिक फलन,பகுப்பாய்வு செயல்பாடு
कोण,கோணம்
स्पर्श-कोण,தொடர்பு கோணம்
विक्षेप-कोण,விலகல் கோணம்
अवनमन-कोण,மனச்சோர்வின் கோணம்
विचलन-कोण,விலகல் கோணம்
विवर्तन-कोण,விலகல் கோணம்
उन्नयन-कोण,உயரத்தின் கோணம்
आपतन-कोण,நிகழ்வு கோணம்
प्रक्षेप-कोण,திட்ட கோணம்
परावर्तन-कोण,பிரதிபலிப்பு கோணம்
अपवर्तन-कोण,ஒளிவிலகல் கோணம்
घूर्णन-कोण,சுழற்சி கோணம்
पूर्ण परावर्तन-कोण,மொத்த பிரதிபலிப்பு கோணம்
कोणीय त्वरण,கோண முடுக்கம்
कोणीय गति,கோண இயக்கம்
कोणीय चाल,கோண வேகம்
कोणीय वेग,கோண வேகம்
वलयिका,வளையம்
उत्तर,பதில்
प्रति-अवकलज,எதிர்ப்பு வழித்தோன்றல்
प्रतिसममित फलन,சமச்சீரற்ற செயல்பாடு
"आच्छाद्य , अनु प्रयोज्य, लागू",பொருந்தும்
"अनुप्रयोग उपयोजन,",விண்ணப்பம்
अनुप्रयुक्त गतिशील प्रोग्रामन,பயன்பாட்டு டைனமிக் நிரலாக்கம்
अनुप्रयुक्त ज्यामिति,பயன்படுத்தப்படும் வடிவியல்
अनुप्रयुक्त गणित,பயன்பாட்டு கணிதம்
अनुप्रयुक्त सांख्यिकी,பயன்பாட்டு புள்ளிவிவரங்கள்
"सन्निकटतः, लगभग",தோராயமாக
सन्निकटतः संतत फलन,தோராயமாக தொடர்ச்சியான செயல்பாடு
"स्थूल विधि, सन्निकट विधि",தோராயமான முறை
सन्निकट हल,தோராயமான தீர்வு
सन्निकटन-समस्या,தோராயமான பிரச்சனை
सन्निकटन-गुणधर्म,தோராயமான சொத்து
अभिक्षमता-परीक्षावली,திறன் சோதனை பேட்டரி
आरगाँ आरेख,அர்காண்ட் வரைபடம்
स्वेच्छगहीतृ,தன்னிச்சையாக தேர்வு
"स्वेच्छ, यादृच्छिक",தன்னிச்சையான
स्वेच्छ अचर,தன்னிச்சையான மாறிலி
स्वेच्छ अवयव,தன்னிச்சையான உறுப்பு
स्वेच्छ बिन्दु,தன்னிச்சையான புள்ளி
आर्किमीडी नियम,ஆர்க்கிமிடியன் சட்டம்
आर्किमीडीज़ का नियम,ஆர்க்கிமிடிஸ் கொள்கை
"चाप-दैर्घ्य, चाप-लम्बाई",வில்லின் நீளம்
वत्तृ चाप,வட்ட வில்
प्रतिलोम ज्या बंटन,ஆர்க் சைன் விநியோகம்
प्रतिलोम ज्या रूपांतरण,ஆர்க் சைன் மாற்றம்
" क्षेत्र , क्षेत्रफल",பகுதி
क्षेत्रीय विन्यास,பகுதி அமைப்பு
सम्मिश्र संख्या का कोणांक,கலப்பு எண்ணின் வாதம்
समांतर माध्य,எண்கணித சராசரி
अंकीय संक्रिया,எண்கணித செயல்பாடு
अंकीय एकक,எண்கணித அலகு
"विन्यास, व्यवस्था",ஏற்பாடு
"व्यूह , सरणी",வரிசை
कृत्रिम उपग्रह,செயற்கை செயற்கைக்கோள்
कृत्रिम चर,செயற்கை மாறி
आरोहण करना,ஏறும்
आरोही,ஏறும்
परिमाण का आरोही क्रम,அளவின் ஏறுவரிசை
आरोही श्रेणी,ஏறுவரிசை தொடர்
कोडांतरक भाषा,அசெம்பிளர் மொழி
"नियतन समस्या नियतन प्रश्न,",பணி நியமன பிரச்சனை
साहचर्य नियम,துணை சட்டம்
संकारकों का साहचर्य नियम,ஆபரேட்டர்களின் துணை சட்டம்
साहचर्य-संक्रिया,துணை செயல்பாடு
सहचारिता,கூட்டுறவு
कल्पित माध्य,சராசரியாக கருதப்படுகிறது
कल्पित प्रायिकता बंटन,நிகழ்தகவு விநியோகம் என்று கருதப்படுகிறது
" कल्पना , गृहीत,",அனுமானம்
ज्योतिष,ஜோதிடம்
"अंतरिक्षयानिक इंजीनियर अंतराळी अभियंता,",விண்வெளி பொறியாளர்
खगोलज्ञ*,வானியலாளர்
खगोलीय घड़ी,வானியல் கடிகாரம்
खगोलिकी,வானியல்
असममित वक्र,சமச்சீரற்ற வளைவு
असममिति,சமச்சீரற்ற தன்மை
अनंतस्पर्शी,அறிகுறியற்றது
उपगामी,அறிகுறியற்ற
उपगामी दक्ष आकलक,அறிகுறியற்ற திறமையான மதிப்பீட்டாளர்
उपगामी अनभिनत आकलक,அறிகுறியற்ற பாரபட்சமற்ற மதிப்பீட்டாளர்
उपगामी आचरण,அறிகுறியற்ற நடத்தை
उपगामी बंटन-फलन,அறிகுறியற்ற விநியோக செயல்பாடு
उपगामी प्रसार,அறிகுறியற்ற விரிவாக்கம்
वायु मंडलीय दाब,வளிமண்டல அழுத்தம்
"यदृच्छया,",சீரற்ற முறையில்
गुण*,பண்பு
गुण-प्रतिचयन-क्रियाविधि,மாதிரி செயல்முறை பண்புகளை
संवर्धित आव्यूह,பெரிதாக்கப்பட்ட அணி
स्वसहसंबंध गुणांक,தன்னியக்க தொடர்பு குணகம்
स्वसहसंबंध फलन,தன்னியக்க தொடர்பு செயல்பாடு
स्वसहप्रसरण,தன்னியக்க மாறுபாடு
स्वचालित अभिकलित्र,தானியங்கி கணினி
स्वसमाश्रयण,தன்னியக்க பின்னடைவு
सहायक समीकरण,துணை சமன்பாடு
माध्य प्रतिदर्श संख्या वक्र (मा.प्र.सं. वक्र),சராசரி மாதிரி எண் வளைவு (ASN வளைவு)
" स्वयंसिद्‌ध , अभिगृहीत",கோட்பாடு
अभिगहीती दृष्टिकोण,அச்சு அணுகுமுறை
प्रायिकता अभिगृहीत,நிகழ்தகவு கோட்பாடு
अक्ष,அச்சு
भुजाक्ष,abscissa அச்சு
भू-अक्ष,பூமியின் அச்சு
परिक्रमण-अक्ष,புரட்சியின் அச்சு
घूर्णन अक्ष,சுழற்சியின் அச்சு
प्रचक्रण-अक्ष,சுழற்சியின் அச்சு
पश्च-प्रतिस्थापन,பின்-மாற்று
पश्चांतर,பின்தங்கிய வேறுபாடு
पश्च अंतर्वेशन-सूत्र,பின்தங்கிய இடைக்கணிப்பு சூத்திரம்
"तुला, तराजू , संतु लन , शेष, बाकी , संतुलित होना, संतुलित करना",சமநிலை
संतुलित अभिकल्पना,சீரான வடிவமைப்பு
तुलन-पत्र,இருப்புநிலை
प्रक्षेपास्त्र,பாலிஸ்டிக் ஏவுகணை
"प्राक्षेपिकी, अस्त्र विज्ञान",பாலிஸ்டிக்ஸ்
" स्तंभ, शलाका, सिल, सिल्ली, दंड, छड़, पट्टी , रोधिका, भित्ति , बार , रेखा, रेखिका , परीक्षण रेखा, धार",மதுக்கூடம்
"आधार , क्षारक , अधम , मूल , बेस",அடித்தளம்
आधार कोण,அடிப்படை கோணம்
"लघुगणक का आधार, लॉगरिथ्म का आधार",மடக்கையின் அடிப்படை
"आधारी, मूल,",அடிப்படை
आधारी सुसंगत हल,அடிப்படை சாத்தியமான தீர்வு
आधारी हल,அடிப்படை தீர்வு
आधारी चर,அடிப்படை மாறி
आधारक,அடிப்படையில்
आधार अवयव,அடிப்படை உறுப்பு
आधारी आव्यूह,அடிப்படை அணி
सदिश समष्टि का आधार,ஒரு திசையன் இடத்தின் அடிப்படை
उपसमष्टि का आधार,துணைவெளியின் அடிப்படை
बेज़-आकल,பேய்சியன் மதிப்பீடு
बेज़-नियम,பேய்ஸ் சட்டம்
बेज़-प्रमेय,பேய்ஸ் தேற்றம்
बर्नूली-बंटन,பெர்னோலி விநியோகம்
बर्नूली संख्या,பெர்னோலி எண்
बर्नूली प्रायिकता-फलन,பெர்னோலி நிகழ்தகவு செயல்பாடு
बर्नूली-समीकरण,பெர்னோலியின் சமன்பாடு
बेरी फलन,பெர்ரி செயல்பாடு
श्रेष्ठतम आसंजन,சிறந்த பொருத்தம்
श्रेष्ठतम आसंजन रेखा,சிறந்த பொருத்தம் வரி
सर्वोत्तम हल,சிறந்த தீர்வு
सर्वोत्तम युक्तियाँ,சிறந்த உத்திகள்
बीटा बंटन,பீட்டா விநியோகம்
"अभिनति, बायस",சார்பு
अभिनत आकल,பாரபட்சமான மதிப்பீடு
द्विप्रसंवादी समीकरण,பைஹார்மோனிக் சமன்பாடு
एकैकी आच्छादन,பிஜேக்ஷன்
एकैकी आच्छादी प्रतिचित्र,இருமுனை வரைபடம்
एकैकी आच्छादी प्रतिचित्रण,பைஜெக்டிவ் மேப்பிங்
द्विएकघाती समघात,இருகோடி வடிவம்
द्विरैखिक फलन,இருமுனை செயல்பாடு
द्विरैखिक हर्मिटीय समघात,இருமுனை ஹெர்மிடியன் வடிவம்
"द्वि-चर, द्वि-आधारी, द्वयी",பைனரி
"द्वि-आधारी कोड, द्विआधारी कूट",பைனரி குறியீடு
"द्वि-आधारी कूट दशमलव, द्वि-आधारी कोडित दशमलव",பைனரி குறியிடப்பட்ட தசம
द्वि-आधारी कूटलेखन,பைனரி குறியீட்டு முறை
द्वि-आधारी अभिकलित्र,பைனரி கணினி
द्वि-आधारी अंक,பைனரி இலக்கம்
द्विआधारी संक्रिया,பைனரி செயல்பாடு
द्विआधारी पद्‌धति,பைனரி அமைப்பு
द्विआधारी चर,பைனரி மாறி
द्विपद गुणांक,ஈருறுப்புக் குணகம்
द्विपद बंटन,இருவகைப் பரவல்
द्विपद समीकरण,ஈருறுப்புச் சமன்பாடு
द्विपद प्रसरण,ஈருறுப்பு விரிவாக்கம்
द्विपद व्यंजक,ஈருறுப்பு வெளிப்பாடு
द्विपद यादृच्छिक चर,ஈருறுப்பு சீரற்ற மாறி
द्विपद-प्रमेय,ஈருறுப்பு தேற்றம்
"अर्धन, द्विभाजन",இரு பிரிவு
"समद्विभाजन विधि, अर्धीकरण विधि",பிரித்தல் முறை
"अर्धक, द्विभाजक",இருவகை
"द्विपंक्तिक, द्विश्रेणिक",இருமுறை
"द्वयंक (द्विआधारी अंक) , अणी, बरमी , टूक",பிட்
द्विचर द्विपद-बंटन द्विचल,இருவகை இருவகைப் பரவல்
द्विचर सहसंबंध गुणांक,இருவகை தொடர்பு குணகம்
द्विचर बंटन,இருவகை விநியோகம்
द्विचर प्रसामान्य-बंटन,இருவகை சாதாரண விநியோகம்
द्विसदिश,பைவெக்டர்
बोल्ट्मान समीकरण,போல்ட்ஸ்மேன் சமன்பாடு
बूलीय बीजावली*,பூலியன் இயற்கணிதம்
बोस-आइन्स्टाइन सांख्यिकी,போஸ் - ஐன்ஸ்டீன் புள்ளிவிவரங்கள்
परिसीमा प्रतिबन्ध,எல்லை நிலை
परिसीमा स्तर,எல்லை அடுக்கு
परिसीमा रेखा,எல்லைக் கோடு
परिसीमा मान,எல்லை மதிப்பு
परिसीमा मान समस्या,எல்லை மதிப்பு பிரச்சனை
"परिबद्‌ध फलन परिबद्‌ध फल,",வரையறுக்கப்பட்ட செயல்பாடு
"परिबद्‌ध मैट्रिक्स, परिबद्‌ध आव्यूह परिबद्‌ध सारणी,",கட்டுப்பட்ட அணி
"परिबद्‌ध प्रदेश परिबद्‌ध प्रदेश,",எல்லைக்குட்பட்ட பகுதி
"परिबद्‌ध समच्चय परिबद्‌ध संच,",வரையறுக்கப்பட்ட தொகுப்பு
ब्राउनी गति,பிரவுனிய இயக்கம்
परिकलन करना,கணக்கிட
परिकलन,கணக்கிடுகிறது
"परिकलन-यंत्र, परिकलित्र",கணக்கிடும் இயந்திரம்
परिकलन*,கணக்கீடு
परिकलनात्मक क्रिया विधि,கணக்கீட்டு செயல்முறை
" परिकलित्र , परिकलक",கால்குலேட்டர்
"कलन, कैलकुलस",கால்குலஸ்
विचरण-कलन,மாறுபாட்டின் கணக்கீடு
कैलोरी,கலோரி
निरसन नियम,ரத்து சட்டம்
विहित समीकरण,நியமன சமன்பாடு
विहित रूप,நியமன வடிவம்
"विहित मैट्रिक्स, के नानिकल मैट्रिक्स",நியமன அணி
कैन्टर समुच्चय,கேன்டர் செட்
कैन्टर त्रिआधारी समुच्चय,கேண்டரின் மும்முனைத் தொகுப்பு
परिबंधित परिवहन समस्या,திறன் கொண்ட போக்குவரத்து பிரச்சனை
क्षमता,திறன்
केशिका-बल,தந்துகி விசை
"गणन संख्या, कार्डिनल संख्या",கார்டினல் எண்
कार्तीय अक्ष,கார்ட்டீசியன் அச்சுகள்
कार्तीय निर्देशांक,கார்ட்டீசியன் ஆயத்தொகுப்புகள்
कार्तीय गुणन,கார்ட்டீசியன் தயாரிப்பு
समुच्चयों का कार्तीय गुणन,தொகுப்புகளின் கார்ட்டீசியன் தயாரிப்பு
"केस अध्ययन, वस्तुस्थिति अध्ययन",வழக்கு ஆய்வு
विपत्तिपूर्ण उच्चावचन,பேரழிவு ஏற்ற இறக்கம்
कैटिनरी,கேடனரி
कौशी बंटन,காச்சி விநியோகம்
कौशी सूत्र,கௌச்சி சூத்திரம்
कौशी-गूर्सा-प्रमेय,Cauchy Goursat தேற்றம்
कौशी-रीमान-प्रतिबंध,Cauchy Rimann நிபந்தனைகள்
कौशी अनुक्रम,கௌச்சி வரிசை
कौशी समाकल,Cauchy ஒருங்கிணைந்த
कौशी मुख्य-मान,Cauchy முதன்மை மதிப்பு
कौशी अवशेष प्रमेय,கௌச்சி எச்ச தேற்றம்
कैले-हैमिल्टन-प्रमेय,கெய்லி ஹாமில்டன் தேற்றம்
"खपिंड, खगोलीय पिंड",வானுலக
खगोलीय माप,வான அளவீடு
खगोलीय यांत्रिकी,வான இயக்கவியல்
खगोलीय पिंड,வான பொருள்
कोशिका बारंबारता,செல் அலைவரிசை
"गणना , जनगणना",மக்கள் தொகை கணக்கெடுப்பு
शततमक,சென்டைல்
सेन्टीमीटर,சென்டிமீட்டர்
सेन्टीमीटर-ग्राम-सेकंड पद्‌धति,சென்டிமீட்டர் கிராம் இரண்டாவது அமைப்பு
"केन्द्रीय , सकेन्द्र",மத்திய
केन्द्रीय अक्ष,மைய அச்சு
केन्द्रीय अंतर,மைய வேறுபாடு
केन्द्रीय अंतर सूत्र,மைய வேறுபாடு சூத்திரம்
केन्द्रीय अंतर सारणी,மைய வேறுபாடு அட்டவணை
केन्द्रीय सीमा प्रमेय,மத்திய வரம்பு தேற்றம்
केन्द्रीय आघूर्ण,மைய தருணம்
केन्द्रीय संसाधन एकक,மத்திய செயலாக்க அலகு (CPU)
केन्द्रीय प्रवतिृ,மைய போக்கு
केन्द्र*,மையம்
गुरुत्व-केन्द्र,ஈர்ப்பு மையம்
समूह-केन्द्र,குழுவின் மையம்
संहति-केन्द्र,வெகுஜன மையம்
सममिति-केन्द्र,சமச்சீர் மையம்
अपकेन्द्री बल,மையவிலக்கு விசை
अभिकेन्द्र-बल,மையவிலக்கு விசை
"केन्द्रक मध्यगासंपात,",மையப்பகுதி
निश्चितता,உறுதி
c.g.s.पद्‌धति,cgs அமைப்பு
c.g.s.मात्रक,cgs அலகு
अवकलन का शृंखला नियम,வேறுபாட்டின் சங்கிலி விதி
संयोग हेतु,வாய்ப்பு காரணங்கள்
सांयोगिक चाल,வாய்ப்பு நகர்கிறது
अक्ष-परिवर्तन,அச்சுகளின் மாற்றம்
"आधार परिवर्तन पायाधार-बदल,",அடிப்படை மாற்றம்
क्रम परिवर्तन,ஒழுங்கு மாற்றம்
अभिलक्षणिक गुणांक,பண்பு குணகம்
अभिलक्षणिक सारणिक,தீர்மானிக்கும்
अभिलक्षण-समीकरण,சிறப்பியல்பு சமன்பாடு
"अभिलक्षण-फलन, कैरेक्टेरिस्टिक फलन",பண்பு செயல்பாடு
लघुगणक का पूर्णांश,மடக்கையின் சிறப்பியல்பு
"अभिलक्षणिक बहुपद,",பண்பு பல்லுறுப்புக்கோவை
अभिलक्षणिक मान,பண்பு மதிப்பு
अभिलक्षणिक सदिश,பண்பு திசையன்
संप्रतीक समुदाय,எழுத்துத் தொகுப்பு
"चार्ट, संचित्र तक्ता,",விளக்கப்படம்
काई-वर्ग बंटन,சி-சதுர விநியோகம்
काई-वर्गं सूत्र,சி-சதுர சூத்திரம்
काई-वर्ग परीक्षण,சி-சதுர சோதனை
जीवा*,நாண்
जीवा-द्विभाजन-विधि,நாண்-பிரித்தல் முறை
बीजलिखित संदेश,மறைக்குறியீடு செய்தி (=குறியிடப்பட்ட செய்தி)
"शून्य, सिफर",மறைக்குறியீடு (பூஜ்ஜியம்)
वृत्त*,வட்டம்
अभिसरण वत्तृ,ஒன்றிணைந்த வட்டம்
परिपथ आव्यूह,சுற்று அணி
"वृत्ताकार, वर्तुल,",வட்ட
वर्तुल अनंतस्पर्शी,வட்ட அறிகுறி
वृत्तीय कंडुलिनी,வட்ட சுருளி
वर्तुल गति,வட்ட இயக்கம்
परिकेन्द्र,சுற்று மையம்
परिवृत्त*,வட்ட வட்டம்
"परिगत करना, परितः खींचना",சுற்றம்
परिगत,சுற்றத்தார்
परिवृत,சுற்றப்பட்ட வட்டம்
चिरप्रतिष्ठित निगमनिक,கிளாசிக்கல் கழித்தல் நுட்பம்
चिरप्रतिष्ठित गतिकी,கிளாசிக்கல் இயக்கவியல்
चिरप्रतिष्ठित इष्टतमन,கிளாசிக்கல் தேர்வுமுறை
चिरप्रतिष्ठित वित्तनाश समस्या,பாரம்பரிய அழிவு பிரச்சனை
चिरप्रतिष्ठित सांख्यिकीय यांत्रिकी,கிளாசிக்கல் புள்ளியியல் இயக்கவியல்
त्रुटियों का वर्गीकरण,பிழைகளின் வகைப்பாடு
वर्ग-अंतराल,வகுப்பு இடைவெளி
वर्गांतराल एकक,வகுப்பு இடைவெளி அலகு
वर्ग-सीमा,வகுப்பு வரம்பு
दक्षिणावर्त,கடிகாரகடிகாரச்சுற்று
संविवृत,குளோபன் (= மூடிய மற்றும் திறந்த)
"संवृत, बंद",மூடப்பட்டது
संवृत अवमख समावरक,மூடிய குவிந்த மேலோடு
संवृत घन,மூடிய கன சதுரம்
"बंद वक्र, संवृत वक्र",மூடிய வளைவு
संवृत प्रांत,மூடப்பட்ட டொமைன்
बंद आकृति,மூடிய உருவம்
संवृत अंतराल,மூடிய இடைவெளி
"संवृत प्रदेश, बंद प्रदेश",மூடப்பட்ட பகுதி
संवृत समच्चय,மூடிய தொகுப்பு
"बंद पृष्ठ, संवृत पृष्ठ",மூடிய மேற்பரப்பு
" निमीलन, वेष्टन , संवरक",மூடல்
संवरण-संकारक (संवरक),மூடல் ஆபரேட்டர்
संवरक-बिन्दु,மூடல் புள்ளி (= தொடர்பு புள்ளி)
संवरक-अभिगृहीत,மூடல் நிலைப்பாடு
संवरक समुच्चय,மூடல் தொகுப்பு
गुच्छ बिन्दु,கொத்து புள்ளி
गुच्छ प्रतिचयन,கொத்து மாதிரி
गुच्छ समुच्चय,கொத்து தொகுப்பு
समाक्ष वृत्त,கோஆக்சியல் வட்டங்கள்
समाक्ष परवलय,கோஆக்சியல் பரவளையங்கள்
समाक्ष समतल,கோஆக்சியல் விமானங்கள்
समाक्ष त्रिभुज,கோஆக்சியல் முக்கோணங்கள்
कोब-डगलस फलन,கோப் - டக்ளஸ் செயல்பாடு
" कूटलेखन, कोडन , संकेतन",குறியீட்டு முறை
सामग्री का संकेतीकरण,தரவு குறியீட்டு முறை
सहप्रांत,இணை டொமைன்
गुणांक आव्यूह,குணகம் அணி
सहसंबंध-गुणांक,தொடர்பு குணகம்
निर्धारण गुणांक,நிர்ணய குணகம்
प्रत्यास्थता गुणांक,நெகிழ்ச்சி குணகம்
प्रसार गुणांक,விரிவாக்க குணகம்
घर्षण गुणांक,உராய்வு குணகம்
अनुदैर्घ्य प्रसार का गुणांक,நேரியல் விரிவாக்கத்தின் குணகம்
समाश्रयण गुणांक,பின்னடைவின் குணகம்
पृष्ठ तनाव का गुणांक,மேற்பரப்பு பதற்றத்தின் குணகம்
विचरण गुणांक,மாறுபாட்டின் குணகம்
"सह-खण्ड, सह गुणन खंड,सहकारक",இணைக்காரன்
सिक्का उछाल,நாணயம் வீசுதல் (நாணயத்தை வீசுதல்)
प्रतिदर्श-संचय,மாதிரி சேகரிப்பு
सरेख,கோலினியர்
सरेखता,ஒற்றுமை
"स्तंभ, कॉलम",நெடுவரிசை
स्तंभतुल्यता,நெடுவரிசை சமநிலை
स्तंभ-तुल्य,நெடுவரிசைக்கு சமமானது
स्तंभ तुल्य आव्यूह,நெடுவரிசைக்கு சமமான அணி
स्तंभ आव्यूह,நிரல் அணி
स्तंभ कोटि,நெடுவரிசை தரவரிசை
स्तंभ समानीत सोपानक आव्यूह,நெடுவரிசை குறைக்கப்பட்ட echolon matrix
स्तंभ सदिश,நெடுவரிசை திசையன்
स्तंभानुसार,நெடுவரிசையில்
संयुक्त समीकरण,ஒருங்கிணைந்த சமன்பாடு
"उभयनिष्ठ कोण, सर्वनिष्ठ कोण",பொதுவான கோணம்
सर्वनिष्ठ अक्ष,பொதுவான அச்சு
"सर्वनिष्ठ आधार, उभयनिष्ठ बेस",பொதுவான அடிப்படை
सार्व हर,பொதுவான வகுக்கும்
सार्व अंतर,பொதுவான வேறுபாடு
" सार्वगुणन-खंड, समापवर्तक , सार्व उपादान",பொதுவான காரணி
"साधारण लघुगणक, साधारण लॉगेरिथ्म",பொதுவான மடக்கை
"सार्व गुणज, समापवर्त्य",பொதுவான பல
सार्व अनुपात,பொதுவான விகிதம்
सर्वनिष्ठ परिच्छेद,பொதுவான பிரிவு
सर्वनिष्ठ भुजा,பொதுவான பக்கம்
"उभयनिष्ठ स्पर्शरखा, सर्वनिष्ठ स्पर्शरेखा",பொதுவான தொடுகோடு
सर्वनिष्ठ पद,பொதுவான சொல்
क्रमविनिमेय नियम,பரிமாற்ற சட்டம்
क्रमविनिमेय गुणधर्म,பரிமாற்ற சொத்து
क्रमविनिमेय-नियम,பரிமாற்ற விதி
योग का क्रमविनिमेय नियम,கூட்டல் பரிமாற்ற சட்டம்
गुणन का क्रमविनिमेय नियम,பெருக்கல் பரிமாற்ற விதி
क्रमविनिमेय संक्रिया,பரிமாற்ற செயல்பாடு
क्रमविनिमेयक समूह,பரிமாற்றி குழு
आव्यूहों का क्रमविनिमेय,மெட்ரிக்குகளின் பரிமாற்றம்
संहत समुच्चय,சிறிய தொகுப்பு
"तुलनात्मकता, तुलनीयता",ஒப்பீடு
माध्यों की तुलना,வழிமுறைகளின் ஒப்பீடு
प्रतिशतता-तुलना,சதவீத ஒப்பீடு
