Telugu,Malayalam
పురాతన స్మారక చిహ్నాలు,പുരാതന സ്മാരകങ്ങൾ
ఉదంతము,ഉപകഥ
ఏంజెలోట్,ആഞ്ചലോട്ട്
ఏంజెలస్,ആഞ്ചലസ്
అంజివిన్ (=అంజెవిన్),ആഞ്ജെവിൻ (=ആഞ്ജെവിൻ)
కోణాలు,കോണുകൾ
ఆంగ్లికన్,ആംഗ്ലിക്കൻ
ఆంగ్లికన్ కమ్యూనియన్,ആംഗ്ലിക്കൻ കൂട്ടായ്മ
ఆంగ్లికనిజం,ആംഗ്ലിക്കനിസം
ఆంగ్లో-ఫోబ్,ആംഗ്ലോ-ഫോബ്
ఆంగ్లో-ఫోబియా,ആംഗ്ലോ-ഫോബിയ
ఆంగ్లో-సాక్సన్,ആംഗ്ലോ-സാക്സൺ
ఆంగ్లో-సాక్సోనిజం,ആംഗ്ലോ-സാക്‌സോണിസം
అన్నలిస్ట్,അനലിസ്റ്റ്
అన్నల్స్,വാർഷികങ്ങൾ
అనుబంధం,കൂട്ടിച്ചേർക്കൽ
యాంటీ-బెల్లం,ആന്റി-ബെല്ലം
ముందు తేదీ,മുൻ തീയതി
మత వ్యతిరేకత,പൗരോഹിത്യ വിരുദ്ധത
మతాధికారుల వ్యతిరేక చట్టం,വൈദിക വിരുദ്ധ നിയമം
ప్రాచీనకాలం,പൗരാണികത
వ్యతిరేక అద్దె,വാടക വിരുദ്ധം
వ్యతిరేక అద్దె,വാടക വിരുദ്ധം
సెమిటిజం వ్యతిరేకత,സെമിറ്റിസം വിരുദ്ധത
అంజాక్,അൻസാക്ക്
అపెల్లా,അപ്പെല്ല
అరలు,അരലു
ఆర్చ్ బిషప్,ആർച്ച് ബിഷപ്പ്
ఆర్చ్ డచీ,ആർച്ച് ഡച്ചി
ఆర్చ్ డ్యూక్,ആർച്ച് ഡ്യൂക്ക്
ఆర్కైఫ్ (=ఆర్కైవల్ సేకరణ),ആർക്കൈഫ് (=ആർക്കൈവൽ ശേഖരം)
ఆర్కిపిస్కోపేట్,ആർക്കിഎപ്പിസ്കോപ്പേറ്റ്
దొర,പ്രഭുവർഗ്ഗം
దొర,പ്രഭു
కులీన స్నోబరీ,പ്രഭുവർഗ്ഗ സ്നോബറി
అరిస్టాటిలియన్,അരിസ്റ്റോട്ടിലിയൻ
ఆర్మడ,അർമാഡ
ఆర్మడ (=ది స్పానిష్ ఆర్మడ),അർമ്മഡ (=സ്പാനിഷ് അർമ്മഡ)
ఆయుధాగాడు (=ఆయుధాకారుడు),കവചക്കാരൻ (=കവചക്കാരൻ)
కవచం (=కవచం),കവചം (=കവചം)
ఆయుధాగాడు,ആയുധധാരി
ఆర్యన్,ആര്യൻ
ఆర్యన్,ആര്യൻ
అస్కారి,അസ്കരി
కేటాయించండి,നിയോഗിക്കുക
అసైజ్ చేయండి,അസൈസ് ചെയ്യുക
అసైజ్ చేయండి,അസൈസ് ചെയ്യുക
అసైజ్ చేయండి,അസൈസ് ചെയ്യുക
అసైజ్ ఆఫ్ ఆర్మ్స్ యాక్ట్,അസൈസ് ഓഫ് ആയുധ നിയമം
డారీన్ ప్రెజెంట్‌మెంట్ అసైజ్,അസൈസ് ഓഫ് ഡാരെൻ അവതരണം
మోర్ట్ &#39;D&#39; పూర్వీకుల అస్సైజ్,മോർട്ട് &#39;ഡി&#39; മുൻഗാമിയുടെ അസൈസ്
అసైజ్ ఆఫ్ నవల డిస్సీసిన్,അസൈസ് ഓഫ് നോവൽ ഡിസെസിൻ
దారుణం,ക്രൂരത
దాడి,ആക്രമണം
ఆలిక్ కౌన్సిల్,ഔലിക് കൗൺസിൽ
గెడ్డెస్ యొక్క గొడ్డలి (=ది గెడెస్ గొడ్డలి),ഗെഡസിന്റെ കോടാലി (=ദി ഗെഡെസ് കോടാലി)
యాక్సిస్ (=ది రోమ్-బెర్లిన్-టోక్యో యాక్సిస్),ആക്സിസ് (=റോം-ബെർലിൻ-ടോക്കിയോ ആക്സിസ്)
బాబిలోన్,ബാബിലോൺ
బాబిలోనియన్ బందిఖానా (=బాబిలోనియన్ బందిఖానా),ബാബിലോണിയൻ അടിമത്തം (=ബാബിലോണിയൻ അടിമത്തം)
బచ్చనాల్ భక్తుడు,ബച്ചനൽ ഭക്തൻ
బచ్చనాలియా,ബച്ചനാലിയ
బ్రహ్మచారి,ബാച്ചിലർ
బాగ్దాద్ ఒప్పందం,ബാഗ്ദാദ് കരാർ
బాల్కన్ లీగ్,ബാൽക്കൻ ലീഗ്
బాల్కన్ ఒప్పందం,ബാൽക്കൻ കരാർ
బాల్కన్ యుద్ధాలు,ബാൽക്കൻ യുദ്ധങ്ങൾ
బాల్టిక్ ఒప్పందం,ബാൾട്ടിക് കരാർ
బందిపోటు,കൊള്ളക്കാരൻ
బాండుంగ్ కాన్ఫరెన్స్,ബന്ദൂങ് സമ്മേളനം
బహిష్కరణ,നാടുകടത്തൽ
బ్యానర్,ബാനർ
బార్బేరియన్,ബാർബേറിയൻ
బార్బికన్,ബാർബിക്കൻ
బార్డోలీ సత్యాగ్రహం,ബർദോളി സത്യാഗ്രഹം
బార్న్ బర్నర్స్,കളപ്പുര ബർണറുകൾ
బారన్,ബാരൺ
బారోనేజ్,ബാരോണേജ്
బారోన్స్ మేజర్లు,ബറോണസ് മേജേഴ്സ്
బారోన్స్ మైనర్లు,ബാരോൺസ് പ്രായപൂർത്തിയാകാത്തവർ
బారోనెస్,ബാരോണസ്
బారోనెట్,ബാരോനെറ്റ്
బారోనెటేజ్,ബാരോനെറ്റേജ്
బారోనెటేజ్,ബാരോനെറ്റേജ്
బారోనెట్సీ,ബാരോനെറ്റി
బారోనీ,ബാരോണി
బారకూన్,ബാരക്കൂൺ
బారకూన్,ബാരക്കൂൺ
బారికేడ్ (=బారికాడో),ബാരിക്കേഡ് (=ബാരിക്കഡോ)
బారికేడ్ (=బారికాడో),ബാരിക്കേഡ് (=ബാരിക്കഡോ)
బారికేడ్ (=బారికాడో),ബാരിക്കേഡ് (=ബാരിക്കഡോ)
మూల శిబిరం,ബേസ് ക്യാമ്പ്
బసిలికా,ബസിലിക്ക
బసిలికా,ബസിലിക്ക
బస్తీలా,ബാസ്റ്റില
బాస్టిల్,ബാസ്റ്റിലി
బాస్టిల్,ബാസ്റ്റിലി
బ్యాటరీ,ബാറ്ററി
యుద్ధం,യുദ്ധം
బాటిల్-అరే,Battle-array
యుద్ధానికి వెళ్ళే సైనికులు చేసే నినాదాలు,യുദ്ധകാഹളം
బాటిల్ డిన్,യുദ്ധം
యుద్ధ క్షేత్రం,യുദ്ധക്കളം
యుద్ధ శ్లోకం,യുദ്ധഗാനം
స్పర్స్ యుద్ధం,സ്പർസിന്റെ യുദ്ധം
స్టాండర్డ్ యుద్ధం,സ്റ്റാൻഡേർഡ് യുദ്ധം
యుద్ధనౌక,യുദ്ധക്കപ്പൽ
యుద్ధనౌక-బలం,യുദ്ധക്കപ്പൽ-ബലം
Bayeux వస్త్రం,Bayeux ടേപ്പ്സ്ട്രി
బెకన్,ബീക്കൺ
బెకన్ టవర్,ബീക്കൺ ടവർ
బీవర్,ബീവർ
బీవర్,ബീവർ
సముద్రపు బిచ్చగాళ్ళు,കടലിലെ യാചകർ
బెల్లికోస్,ബെല്ലിക്കോസ്
బెల్లికోస్,ബെല്ലിക്കോസ്
బెల్లికోస్,ബെല്ലിക്കോസ്
బెల్లికోసిటీ,ബെല്ലിക്കോസിറ്റി
బెలోనా,ബെല്ലോന
ప్రయోజనం,ഗുണം
మతపెద్దల వల్ల ప్రయోజనం,വൈദികരുടെ പ്രയോജനം
బెనెలక్స్,ബെനെലക്സ്
బెర్లిన్ డిక్రీ,ബെർലിൻ ഉത്തരവ്
బెర్సెర్కర్,ബെർസർക്കർ
బెసెంట్ (=బెజాంట్),ബസന്റ് (=ബെസന്റ്)
బేతేలు,ബെഥേൽ
గ్రంథకర్త,ബിബ്ലിയോലേറ്റർ
గ్రంథారాధన,ഗ്രന്ഥശാസ്‌ത്രം
బిగ్ బెర్తా,ബിഗ് ബെർത്ത
మతోన్మాదుడు,മതഭ്രാന്തൻ
బిల్లేటింగ్,ബില്ലെറ്റിംഗ്
అటెయిండర్ బిల్లు,ബിൽ ഓഫ് അറ്റൈൻഡർ
హక్కుల చట్టం,അവകാശങ്ങളുടെ ബിൽ
జీవిత చరిత్ర రచయిత,ജീവചരിത്രകാരൻ
జన్మ కథలు,ജനന കഥകൾ
తాత్కాలిక శిబిరం,Bivouac
తాత్కాలిక శిబిరం,Bivouac
తాత్కాలిక శిబిరం,Bivouac
బిజోనియా,ബിസോണിയ
బ్లాక్ బర్డింగ్,കറുത്ത പക്ഷികൾ
నల్ల జండా,കറുത്ത കൊടി
కృష్ణ బిలం,ബ്ലാക്ക് ഹോൾ
కృష్ణ బిలం,ബ്ലാക്ക് ഹോൾ
నల్ల కాలు (=స్కాబ్),കറുത്ത കാൽ (=ചുണങ്ങു)
నల్ల చొక్కా,കറുത്ത ഷർട്ട്
బ్లజోన్,ബ്ലാസൺ
బ్లజోన్,ബ്ലാസൺ
బ్లేజోన్రీ,ജ്വലനം
బ్లజోన్రీ,ജ്വലനം
బ్లిట్జ్‌క్రీగ్,ബ്ലിറ്റ്സ്ക്രീഗ്
రక్తరహిత విప్లవం (=గ్లోరియస్ రివల్యూషన్),രക്തരഹിത വിപ്ലവം (=മഹത്തായ വിപ്ലവം)
బ్లడ్వైట్,ബ്ലഡ് വൈറ്റ്
బ్లడీ మేరీ,ബ്ലഡി മേരി
నీలం,നീല
నీలం రక్తం,നീല രക്തം
నీలి పుస్తకం,നീല പുസ്തകം
నీలం రంగు రిబ్బన్,നീല നാട
నీలం రంగు రిబ్బన్,നീല നാട
బ్లూస్ (=రాయల్ హార్స్ గార్డ్స్),ബ്ലൂസ് (=രാജകീയ കുതിര കാവൽക്കാർ)
నీలం చొక్కా,നീല ഷർട്ട്
బ్లూ వాటర్ స్కూల్,ബ്ലൂ വാട്ടർ സ്കൂൾ
బోర్డ్ ఆఫ్ కంట్రోల్,ബോർഡ് ഓഫ് കൺട്രോൾ
శరీర కవచం,ശരീര കവചം
బోయర్,ബോയർ
దోపిడి,കൊള്ള
బరో,ബറോ
బౌల్యూటేరియన్,ബൗളൂട്ടേറിയൻ
బోర్బన్,ബർബോൺ
బాక్సర్ తిరుగుబాటు,ബോക്സർ കലാപം
బ్రేస్,ബ്രേസ്
బ్రాస్సార్డ్,ബ്രസാർഡ്
బ్రాస్సార్డ్,ബ്രസാർഡ്
బ్రెడ్ కాలనీలు,ബ്രെഡ് കോളനികൾ
బ్రెస్ట్ ప్లేట్,ബ്രെസ്റ്റ് പ്ലേറ്റ്
రొమ్ము పని,മുലപ്പാൽ ജോലി
బ్రెట్వాల్డా,ബ്രെറ്റ്വാൾഡ
బ్రిగాండ్,ബ്രിഗാൻഡ്
బ్రిగేండేజ్,ബ്രിഗൻഡേജ്
బ్రిటిష్ కామన్వెల్త్ ఆఫ్ నేషన్స్,ബ്രിട്ടീഷ് കോമൺവെൽത്ത് ഓഫ് നേഷൻസ്
బ్రౌన్ షర్ట్స్ (=నాజీలు),ബ്രൗൺ ഷർട്ടുകൾ (=നാസികൾ)
బ్రస్సెల్స్ ట్రీటీ (పాక్ట్) సంస్థ (=వెస్ట్రన్ యూరోపియన్ యూనియన్),ബ്രസ്സൽസ് ഉടമ്പടി (പാക്ട്) ഓർഗനൈസേഷൻ (=വെസ്റ്റേൺ യൂറോപ്യൻ യൂണിയൻ)
యెదురు,ബഫ്
యెదురు,ബഫ്
బఫ్-కోటు,ബഫ്-കോട്ട്
బఫ్స్,ബഫുകൾ
బులే (=మండలి),ബ്യൂൾ (=കൗൺസിൽ)
బర్గేజ్,ബർഗേജ്
బర్గెస్,ബർഗെസ്
బైజాంటైన్,ബൈസന്റൈൻ
బైజాంటైన్ చర్చి,ബൈസന്റൈൻ പള്ളി
బైజాంటైన్ సామ్రాజ్యం,ബൈസന്റൈൻ സാമ്രാജ്യം
బైజాంటైన్ యుగం,ബൈസന്റൈൻ യുഗം
బైజాంటైన్ చరిత్రకారులు,ബൈസന്റൈൻ ചരിത്രകാരന്മാർ
కాబాల్,കാബൽ
సీజరిజం,സീസറിസം
ఖలీఫ్,ഖലീഫ
కాలిగ్రాఫర్,കാലിഗ്രാഫർ
కాలిగ్రాఫిస్ట్,കാലിഗ്രാഫിസ്റ്റ്
కాలిగ్రఫీ,കാലിഗ്രാഫി
కాల్ట్రాప్,കാൽട്രോപ്പ്
సాహచర్యం,സൗഹൃദം
కమరిల్లా,കാമറില്ല
కమరిల్లా,കാമറില്ല
కామెలాకమ్,കാമലോകം
మభ్యపెట్టడం,മറവി
ప్రచారం,പ്രചാരണം
క్యాంపు అనుచరుడు,ക്യാമ്പ് ഫോളോവർ
కాంపో శాంటో,കാമ്പോ സാന്റോ
క్యాంపస్ మార్టియస్,കാമ്പസ് മാർഷ്യസ്
కనెఫోరా,കനേഫോറ
కంగు,കാൻഗു
ఫిరంగి,പീരങ്കി
ఫిరంగి మేత,പീരങ്കി കാലിത്തീറ്റ
కానన్,കാനൻ
కానన్ చట్టం,കാനൻ നിയമം
కానోపస్ డిక్రీ,കനോപ്പസ് ഉത്തരവ്
ఆయుధాలు పట్టుకోవడం,ആയുധങ്ങൾ ചലിപ്പിക്കുന്നു
బందీ,ബന്ദിയാക്കി
కాప్టర్,ക്യാപ്റ്റർ
కార్డినల్,കർദ്ദിനാൾ
కార్ల్,കാൾ
కరోలింగియన్ రాజవంశం,കരോലിംഗിയൻ രാജവംശം
కార్తుసియన్ శాఖ,കാർത്തൂഷ്യൻ വിഭാഗം
కార్టోసా,കാർട്ടോസ
కాస్టేలియన్,കാസ്റ്റേലിയൻ
కాస్టేలియన్,കാസ്റ്റേലിയൻ
కుల వ్యవస్థ,ജാതി വ്യവസ്ഥ
కోట,കോട്ട
కోట,കോട്ട
కోట పట్టణం,കാസിൽ പട്ടണം
కాస్ట్రా,കാസ്ട്ര
కాస్ట్రా,കാസ്ട്ര
కేథడ్రా,കത്തീഡ്ര
కేథడ్రల్,കത്തീഡ്രൽ
కాటో స్ట్రీట్ కుట్ర,കാറ്റോ സ്ട്രീറ്റ് ഗൂഢാലോചന
కౌడిల్లో,കൌഡില്ലോ
కావలీర్,കവലിയർ
కావలీర్,കവലിയർ
కావలీర్ పార్లమెంట్,കവലിയർ പാർലമെന്റ്
అదుల్లాం గుహ,അദുല്ലം ഗുഹ
గుహ పెయింటింగ్,ഗുഹ പെയിന്റിംഗ്
గుహ పెయింటింగ్,ഗുഹ പെയിന്റിംഗ്
సెంటంవిర్,സെന്റുംവിർ
సెంచూరియన్,ശതാധിപൻ
సెంచరీ,നൂറ്റാണ്ട്
చైన్ ఆర్మర్ (=చైన్ మెయిల్),ചെയിൻ കവചം (=ചെയിൻ മെയിൽ)
చాంట్రీ,ചാന്ത്രി
చాంట్రీ,ചാന്ത്രി
చాప్ పుస్తకం,ചാപ് ബുക്ക്
చాప్లిన్,ചാപ്ലിൻ
అధ్యాయం,അധ്യായം
ప్రమాదాల అధ్యాయం,അപകടങ്ങളുടെ അധ്യായം
ఆరోపణ,ചാർജ് ചെയ്യുക
ఛార్జ్ డి&#39;ఎఫైర్స్,ഭാരവാഹികൾ
ఛార్జ్ విడిపోవడం,ചാർജ് വിഭജനം
ఛార్జర్,ചാർജർ
రథము,രഥം
రథసారధి,സാരഥി
రథసారధి,സാരഥി
రథసారధి,സാരഥി
ఛారిటీ వంటగది,ചാരിറ്റി അടുക്കള
చార్టర్,ചാർട്ടർ
చార్టిస్ట్ ఉద్యమం (=చార్టిజం),ചാർട്ടിസ്റ്റ് പ്രസ്ഥാനം (=ചാർട്ടിസം)
చార్టోఫిలాసియం,ചാർട്ടോഫൈലാസിയം
చాటౌ,ചാറ്റോ
చెక్ పోస్ట్,ചെക്ക് പോസ്റ്റ്
రసాయన యుద్ధం,രാസയുദ്ധം
చెస్టర్,ചെസ്റ്റർ
చీఫ్,മുഖ്യൻ
అధిపతి,തലവൻ
అధిపతి,തലവൻ
అధిపతి,തലവൻ
షిఫాన్,ഷിഫോൺ
శూరత్వం,ധീരത
ఎంచుకున్న వ్యక్తులు,തിരഞ്ഞെടുത്ത ആളുകൾ
క్రిస్మోగ్రఫీ,ക്രിസ്മോഗ്രാഫിയോൺ
క్రైస్తవమత సామ్రాజ్యం,ക്രൈസ്തവലോകം
క్రైస్తవ యుగం,ക്രിസ്ത്യൻ യുഗം
క్రిస్టియన్ సోషలిజం,ക്രിസ്ത്യൻ സോഷ്യലിസം
క్రానికల్,ക്രോണിക്കിൾ
క్రానికల్,ക്രോണിക്ലർ
Chryse Chersonese,ക്രൈസ് ചെർസോണീസ്
సిమిలియం,സിമിലിയം
సింక్వెసెంటో స్టైల్,സിൻക്വെസെന്റോ സ്റ്റൈൽ
ప్రదక్షిణ,പ്രദക്ഷിണം
సిస్టెర్సియన్ సన్యాసి,സിസ്റ്റെർസിയൻ സന്യാസി
కోట,കോട്ട
అనులేఖనం,അവലംബം
అనులేఖనం,അവലംബം
శాసన ఉల్లంఘన,നിയമലംഘനം
పౌర యుద్ధం,ആഭ്യന്തരയുദ്ധം
సివిస్ రోమనస్,സിവിസ് റൊമാനസ്
సాంప్రదాయ వయస్సు,ക്ലാസിക്കൽ പ്രായം
క్లెఫ్ట్ (=క్లెఫ్ట్),ക്ലെഫ്റ്റ് (=ക്ലെഫ്റ്റ്)
మతాధికారం,പൗരോഹിത്യം
క్లర్చ్,ക്ലറച്ച്
క్లినియాక్ ఉద్యమం,ക്ലൂനിയാക് പ്രസ്ഥാനം
కోటు కవచం,കോട്ട് കവചം
కోట్ ఆఫ్ ఆర్మ్స్,കോട്ട് ഓഫ് ആംസ്
కోట్ ఆఫ్ ఆర్మ్స్,കോട്ട് ഓഫ് ആംസ്
కోట్ ఆఫ్ ఆర్మ్స్,കോട്ട് ഓഫ് ആംസ്
కోట్ ఆఫ్ మెయిల్,കോട്ട് ഓഫ് മെയിൽ
కోహోర్ట్,കോഹോർട്ട്
కమిటియా,കോമിറ്റിയ
కమిటియా సెంచురియాటా,കോമിറ്റിയ സെഞ്ചൂറിയാറ്റ
కమిటియా క్యూరియాటా,കോമിറ്റിയ ക്യൂറിയാറ്റ
కమిటియా ట్రిబ్యూటా,കോമിറ്റിയ ട്രിബ്യൂട്ട
స్మారక వంపు,സ്മാരക കമാനം
స్మారక నాణెం,സ്മാരക നാണയം
స్మారక ముద్ర,സ്മരണിക മുദ്ര
సాధారణ క్షేత్రం,പൊതുവായ ഫീൽഡ്
కమ్యూనార్డ్,കമ്മ്യൂണർഡ്
కాంకోర్డాట్,കോൺകോർഡാറ്റ്
కాంకోర్డాట్,കോൺകോർഡാറ്റ്
కండోటియర్,കൊണ്ടോട്ടിയർ
నిర్ధారణ కార్టరమ్,സ്ഥിരീകരണം Cartarum
సంఘర్షణ,സംഘർഷം
సభ,സഭ
రాష్ట్రాన్ని జయించడం,കീഴടക്കുന്ന സംസ്ഥാനം
విజేత,ജേതാവ്
విజేత,വിജയി
కన్సిలియం,കോൺസിലിയം
క్రమబద్ధమైన,കോൺസ്റ്ററി
కుట్ర,ഗൂഢാലോചന
కుట్ర,ഗൂഢാലോചന
కాన్సులేట్,കോൺസുലേറ്റ്
సలహా పుస్తకం,കൺസൾട്ടേഷൻ പുസ്തകം
ఖండాంతర వ్యవస్థ,കോണ്ടിനെന്റൽ സിസ്റ്റം
కన్వెన్షన్ పార్లమెంట్,കൺവെൻഷൻ പാർലമെന്റ്
కాపర్ హెడ్స్ (=శాంతి ప్రజాస్వామ్యవాదులు),കോപ്പർഹെഡുകൾ (=സമാധാന ജനാധിപത്യവാദികൾ)
కాపీహోల్డ్,കോപ്പിഹോൾഡ്
కార్డనింగ్,കോർഡനിംഗ്
కరోనా,കൊറോണ
పట్టాభిషేకం,കിരീടധാരണം
పట్టాభిషేక రాయి,കിരീടധാരണ കല്ല്
కార్పస్,കോർപ്പസ്
కోర్సెయిర్,കോർസെയർ
కోర్సెయిర్,കോർസെയർ
కార్సెట్ (=కోర్సెలెట్),കോർസെറ്റ് (=കോർസെലെറ്റ്)
కోర్టెస్,കോർട്ടെസ്
కోటార్ (=కోటియర్),കോട്ടർ (=കോട്ടിയർ)
కోటార్ (=కోటియర్),കോട്ടർ (=കോട്ടിയർ)
కౌంట్ పాలటినేట్,പാലറ്റിനേറ്റ് എണ്ണുക
పూరిల్లు,നാടൻ വീട്
కౌంటీ,കൗണ്ടി
కౌంటీ బరో,കൗണ്ടി ബറോ
కౌంటీ కోర్టులు,കൗണ്ടി കോടതികൾ
కౌంటీ పాలటైన్,കൗണ്ടി പാലറ്റൈൻ
కోర్టు,കോടതി
కోర్టు,കോടതി
కోర్టు సర్క్యులర్,കോടതി സർക്കുലർ
కోర్టు మర్యాదలు,കോടതി മര്യാദകൾ
సభికుడు,കോർട്ടിയർ
కోర్ట్ ఆఫ్ కాసేషన్,കാസേഷൻ കോടതി
కోర్ట్ ఆఫ్ డైరెక్టర్స్ (EIC),കോർട്ട് ഓഫ് ഡയറക്ടർമാർ (EIC)
యాజమాన్యాల న్యాయస్థానం,ഉടമസ്ഥരുടെ കോടതി
ఆస్థాన కవి,കോടതി കവി
ఒప్పందం చేసుకున్న కామెరోనియన్లు,ഉടമ്പടി കാമറോണിയക്കാർ
కిరీటం,കിരീടം
కిరీటం,കിരീടം
కిరీటం,കിരീടം
కిరీటం భూమి,കിരീട ഭൂമി
కిరీటం భూమి,കിരീട ഭൂമി
క్రౌన్ ప్రిన్స్,കിരീടാവകാശി
క్రూసేడ్,കുരിശുയുദ്ധം
క్రూసేడర్,കുരിശുയുദ്ധക്കാരൻ
క్రిప్టోగ్రామ్,ക്രിപ്റ്റോഗ്രാം
క్యూరాస్,ക്യൂറാസ്
క్యూరాసియర్,ക്യൂറാസിയർ
కల్ట్ దేవత,ആരാധനാ ദേവത
క్యూరియా,കൂരിയ
క్యూరియా,കൂരിയ
జారిజం,സാറിസം
చీకటి ఖండం,ഇരുണ്ട ഭൂഖണ്ഡം
తీర్పు రోజు,വിധി ദിവസം
తీర్పు రోజు,വിധി ദിവസം
డీన్,ഡീൻ
దశాబ్దం,ദശാബ്ദം
డెనారియస్,ഡെനാറിയസ്
పదవీచ్యుతుడైన చక్రవర్తి,സ്ഥാനഭ്രഷ്ടനായ രാജാവ്
పాడుచేయు,നശിപ്പിക്കുക
చెడిపోవడం,നാശം
సింహాసనాన్ని తొలగించు,സിംഹാസനസ്ഥനാക്കുക
డయాడెమ్,ഡയഡം
డయాడెమ్,ഡയഡം
డయాడెమ్,ഡയഡം
డయాసియా,ഡയസിയ
డికాస్టీరియం,ഡികാസ്റ്റീരിയം
డైలువియలిస్ట్,ഡിലുവിയലിസ്റ്റ്
డియోసెస్,രൂപത
డియోసెస్,രൂപത
డైరెక్టరీ (=డైరెక్టరీ),ഡയറക്‌ടയർ (=ഡയറക്‌ടറി)
డైరెక్టరీ (=డైరెక్టరీ),ഡയറക്‌ടയർ (=ഡയറക്‌ടറി)
దిర్హమ్,ദിർഹം
నమ్మకద్రోహం,വിശ്വസ്തതയില്ലാത്ത
నమ్మకద్రోహం,വിശ്വസ്തതയില്ലാത്ത
లోపము యొక్క సిద్ధాంతము,വീഴ്ചയുടെ സിദ്ധാന്തം
పత్రం,പ്രമാണം
డాక్యుమెంటరీ సాక్ష్యం,ഡോക്യുമെന്ററി തെളിവുകൾ
డోమ్స్‌డే బుక్,ഡോംസ്‌ഡേ ബുക്ക്
కాన్స్టాంటైన్ విరాళం,കോൺസ്റ്റന്റൈന്റെ സംഭാവന
డూమ్,വിധി
వరవరపు రాణి,സ്ത്രീധന രാജ്ഞി
