Bengali,Kannada
সমস্ত পূর্ণসংখ্যা সমস্যা,ಎಲ್ಲಾ ಪೂರ್ಣಾಂಕ ಸಮಸ್ಯೆ
বরাদ্দ সমস্যা,ಹಂಚಿಕೆ ಸಮಸ್ಯೆ
বর্ণানুক্রমিক স্বরলিপি,ವರ್ಣಮಾಲೆಯ ಸಂಕೇತ
বর্ণানুক্রমিক অক্ষর,ವರ್ಣಮಾಲೆಯ ಅಕ್ಷರ
বিকল্প কোণ,ಪರ್ಯಾಯ ಕೋನ
বিকল্প ফর্ম,ಪರ್ಯಾಯ ರೂಪ
বিকল্প গোষ্ঠী,ಪರ್ಯಾಯ ಗುಂಪು
বিকল্প ম্যাট্রিক্স,ಪರ್ಯಾಯ ಮ್ಯಾಟ್ರಿಕ್ಸ್
বিকল্প সিরিজ,ಪರ್ಯಾಯ ಸರಣಿ
বিকল্প অনুমান,ಪರ್ಯಾಯ ಕಲ್ಪನೆ
বিকল্প অপটিমা,ಪರ್ಯಾಯ ಆಪ್ಟಿಮಾ
বিকল্প ফলাফল,ಪರ್ಯಾಯ ಫಲಿತಾಂಶ
এনালগ থেকে ডিজিটাল রূপান্তরকারী,ಅನಲಾಗ್-ಟು-ಡಿಜಿಟಲ್ ಪರಿವರ್ತಕ
অ্যানালগ কম্পিউটার,ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್
বিশ্লেষণ,ವಿಶ್ಲೇಷಣೆ
সহভক্তির বিশ্লেষণ,ಸಹವರ್ತಿತ್ವದ ವಿಶ್ಲೇಷಣೆ
গণনা তথ্য বিশ্লেষণ,ಎಣಿಕೆಯ ಡೇಟಾದ ವಿಶ್ಲೇಷಣೆ
বৈচিত্র্যের বিশ্লেষণ,ವ್ಯತ್ಯಾಸದ ವಿಶ್ಲೇಷಣೆ
বিশ্লেষণাত্মক জ্যামিতি,ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಜ್ಯಾಮಿತಿ
বিশ্লেষণমূলক ফাংশন,ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಕಾರ್ಯ
কোণ,ಕೋನ
যোগাযোগের কোণ,ಸಂಪರ್ಕದ ಕೋನ
বিচ্যুতি কোণ,ವಿಚಲನ ಕೋನ
বিষণ্নতা কোণ,ಖಿನ್ನತೆಯ ಕೋನ
বিচ্যুতি কোণ,ವಿಚಲನ ಕೋನ
বিবর্তন কোণ,ವಿವರ್ತನೆಯ ಕೋನ
উচ্চতা কোণ,ಎತ್ತರದ ಕೋನ
ঘটনার কোণ,ಘಟನೆಯ ಕೋನ
অভিক্ষেপ কোণ,ಪ್ರೊಜೆಕ್ಷನ್ ಕೋನ
প্রতিফলন কোণ,ಪ್ರತಿಬಿಂಬದ ಕೋನ
প্রতিসরণ কোণ,ವಕ್ರೀಭವನದ ಕೋನ
ঘূর্ণন কোণ,ತಿರುಗುವಿಕೆಯ ಕೋನ
মোট প্রতিফলনের কোণ,ಒಟ್ಟು ಪ್ರತಿಫಲನದ ಕೋನ
কৌণিক ত্বরণ,ಕೋನೀಯ ವೇಗವರ್ಧನೆ
কৌণিক গতি,ಕೋನೀಯ ಚಲನೆ
কৌণিক গতি,ಕೋನೀಯ ವೇಗ
কৌণিক বেগ,ಕೋನೀಯ ವೇಗ
অ্যানুলাস,ವಾರ್ಷಿಕ
উত্তর,ಉತ್ತರ
বিরোধী – ডেরিভেটিভ,ವಿರೋಧಿ ಉತ್ಪನ್ನ
অপ্রতিসম ফাংশন,ಆಂಟಿಸಿಮೆಟ್ರಿಕ್ ಕಾರ್ಯ
প্রযোজ্য,ಅನ್ವಯಿಸುವ
আবেদন,ಅಪ್ಲಿಕೇಶನ್
প্রয়োগকৃত গতিশীল প্রোগ্রামিং,ಅನ್ವಯಿಕ ಡೈನಾಮಿಕ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್
প্রয়োগ করা জ্যামিতি,ಅನ್ವಯಿಕ ಜ್ಯಾಮಿತಿ
ফলিত গণিত,ಅನ್ವಯಿಕ ಗಣಿತ
ফলিত পরিসংখ্যান,ಅನ್ವಯಿಕ ಅಂಕಿಅಂಶಗಳು
আন্দাজ,ಸರಿಸುಮಾರು
প্রায় একটানা ফাংশন,ಸರಿಸುಮಾರು ನಿರಂತರ ಕಾರ್ಯ
আনুমানিক পদ্ধতি,ಅಂದಾಜು ವಿಧಾನ
আনুমানিক সমাধান,ಅಂದಾಜು ಪರಿಹಾರ
আনুমানিক সমস্যা,ಅಂದಾಜು ಸಮಸ್ಯೆ
আনুমানিক সম্পত্তি,ಅಂದಾಜು ಆಸ್ತಿ
যোগ্যতা পরীক্ষার ব্যাটারি,ಆಪ್ಟಿಟ್ಯೂಡ್ ಟೆಸ್ಟ್ ಬ್ಯಾಟರಿ
Argand ডায়াগ্রাম,ಅರ್ಗಾಂಡ್ ರೇಖಾಚಿತ್ರ
নির্বিচারে নির্বাচিত,ನಿರಂಕುಶವಾಗಿ ಆಯ್ಕೆ ಮಾಡಲಾಗಿದೆ
ইচ্ছামত,ನಿರಂಕುಶ
নির্বিচারে ধ্রুবক,ಅನಿಯಂತ್ರಿತ ಸ್ಥಿರ
নির্বিচারে উপাদান,ಅನಿಯಂತ್ರಿತ ಅಂಶ
নির্বিচারে পয়েন্ট,ಅನಿಯಂತ್ರಿತ ಬಿಂದು
আর্কিমিডিয়ান আইন,ಆರ್ಕೆಮಿಡಿಯನ್ ಕಾನೂನು
আর্কিমিডিসের নীতি,ಆರ್ಕಿಮಿಡಿಸ್ ತತ್ವ
চাপ দৈর্ঘ্য,ಆರ್ಕ್ ಉದ್ದ
বৃত্তের চাপ,ವೃತ್ತದ ಚಾಪ
আর্ক সাইন ডিস্ট্রিবিউশন,ಆರ್ಕ್ ಸೈನ್ ವಿತರಣೆ
চাপ সাইন রূপান্তর,ಆರ್ಕ್ ಸೈನ್ ರೂಪಾಂತರ
এলাকা,ಪ್ರದೇಶ
আঞ্চলিক টেক্সচার,ಪ್ರದೇಶದ ವಿನ್ಯಾಸ
জটিল সংখ্যার যুক্তি,ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಯ ವಾದ
গাণিতিক গড়,ಅಂಕಗಣಿತದ ಸರಾಸರಿ
গাণিতিক অপারেশন,ಅಂಕಗಣಿತದ ಕಾರ್ಯಾಚರಣೆ
পাটিগণিত একক,ಅಂಕಗಣಿತದ ಘಟಕ
ব্যবস্থা,ವ್ಯವಸ್ಥೆ
অ্যারে,ಶ್ರೇಣಿ
কৃত্রিম উপগ্রহ,ಕೃತಕ ಉಪಗ್ರಹ
কৃত্রিম পরিবর্তনশীল,ಕೃತಕ ವೇರಿಯಬಲ್
আরোহণ,ಏರು
আরোহী,ಆರೋಹಣ
মাত্রার আরোহী ক্রম,ಪರಿಮಾಣದ ಆರೋಹಣ ಕ್ರಮ
আরোহী সিরিজ,ಆರೋಹಣ ಸರಣಿ
সংযোজনকারী ভাষা,ಅಸೆಂಬ್ಲರ್ ಭಾಷೆ
নিয়োগ সমস্যা,ನಿಯೋಜನೆ ಸಮಸ್ಯೆ
সহযোগী আইন,ಸಹಾಯಕ ಕಾನೂನು
অপারেটরদের সহযোগী আইন,ನಿರ್ವಾಹಕರ ಸಹಾಯಕ ಕಾನೂನು
সহযোগী অপারেশন,ಸಹಾಯಕ ಕಾರ್ಯಾಚರಣೆ
সহযোগীতা,ಸಹಭಾಗಿತ್ವ
ধরে নেওয়া গড়,ಸರಾಸರಿ ಊಹಿಸಲಾಗಿದೆ
অনুমান সম্ভাব্যতা বন্টন,ಸಂಭವನೀಯತೆಯ ವಿತರಣೆಯನ್ನು ಊಹಿಸಲಾಗಿದೆ
ধৃষ্টতা,ಊಹೆ
জ্যোতিষশাস্ত্র,ಜ್ಯೋತಿಷ್ಯ
মহাকাশচারী প্রকৌশলী,ಗಗನಯಾತ್ರಿ ಇಂಜಿನಿಯರ್
জ্যোতির্বিজ্ঞানী,ಖಗೋಳಶಾಸ್ತ್ರಜ್ಞ
জ্যোতির্বিদ্যা ঘড়ি,ಖಗೋಳ ಗಡಿಯಾರ
জ্যোতির্বিদ্যা,ಖಗೋಳಶಾಸ್ತ್ರ
অপ্রতিসম বক্ররেখা,ಅಸಮವಾದ ಕರ್ವ್
অসমতা,ಅಸಿಮ್ಮೆಟ್ರಿ
উপসর্গ,ಲಕ್ಷಣರಹಿತ
অ্যাসিম্পোটিক,ಲಕ್ಷಣರಹಿತ
লক্ষণগতভাবে দক্ষ অনুমানকারী,ಲಕ್ಷಣರಹಿತ ಪರಿಣಾಮಕಾರಿ ಅಂದಾಜುಗಾರ
asymptotically নিরপেক্ষ অনুমানকারী,ಲಕ್ಷಣರಹಿತವಾಗಿ ನಿಷ್ಪಕ್ಷಪಾತ ಅಂದಾಜುಗಾರ
অ্যাসিম্পোটিক আচরণ,ಲಕ್ಷಣರಹಿತ ನಡವಳಿಕೆ
অ্যাসিম্পোটিক ডিস্ট্রিবিউশন ফাংশন,ಲಕ್ಷಣರಹಿತ ವಿತರಣಾ ಕಾರ್ಯ
অ্যাসিম্পোটিক সম্প্রসারণ,ಲಕ್ಷಣರಹಿತ ವಿಸ್ತರಣೆ
বায়ুমণ্ডলীয় চাপ,ವಾತಾವರಣದ ಒತ್ತಡ
এলোমেলোভাবে,ಯಾದೃಚ್ಛಿಕವಾಗಿ
বৈশিষ্ট্য,ಗುಣಲಕ್ಷಣ
বৈশিষ্ট্য নমুনা পদ্ধতি,ಮಾದರಿ ವಿಧಾನದ ಗುಣಲಕ್ಷಣಗಳು
অগমেন্টেড ম্যাট্রিক্স,ವರ್ಧಿತ ಮ್ಯಾಟ್ರಿಕ್ಸ್
স্বয়ংক্রিয় সম্পর্ক সহগ,ಸ್ವಯಂ ಸಂಬಂಧ ಗುಣಾಂಕ
স্বয়ংক্রিয় সম্পর্ক ফাংশন,ಸ್ವಯಂ ಸಂಬಂಧ ಕಾರ್ಯ
স্বয়ংক্রিয়তা,ಆಟೋಕೋವೇರಿಯನ್ಸ್
স্বয়ংক্রিয় কম্পিউটার,ಸ್ವಯಂಚಾಲಿತ ಕಂಪ್ಯೂಟರ್
অটোরিগ্রেশন,ಸ್ವಯಂ ಹಿನ್ನಡೆ
সহায়ক সমীকরণ,ಸಹಾಯಕ ಸಮೀಕರಣ
গড় নমুনা সংখ্যা বক্ররেখা (ASN কার্ভ),ಸರಾಸರಿ ಮಾದರಿ ಸಂಖ್ಯೆ ಕರ್ವ್ (ASN ಕರ್ವ್)
স্বতঃসিদ্ধ,ಮೂಲತತ್ವ
স্বতঃসিদ্ধ পদ্ধতি,ಅಕ್ಷೀಯ ವಿಧಾನ
সম্ভাব্যতার স্বতঃসিদ্ধ,ಸಂಭವನೀಯತೆಯ ಮೂಲತತ್ವ
অক্ষ,ಅಕ್ಷರೇಖೆ
আবসিসার অক্ষ,ಅಬ್ಸಿಸ್ಸಾದ ಅಕ್ಷ
পৃথিবীর অক্ষ,ಭೂಮಿಯ ಅಕ್ಷ
বিপ্লবের অক্ষ,ಕ್ರಾಂತಿಯ ಅಕ್ಷ
ঘূর্ণনের অক্ষ,ತಿರುಗುವಿಕೆಯ ಅಕ್ಷ
ঘূর্ণনের অক্ষ,ಸ್ಪಿನ್ ಅಕ್ಷ
ফিরে প্রতিস্থাপন,ಬ್ಯಾಕ್-ಬದಲಿ
পশ্চাদপদ পার্থক্য,ಹಿಂದುಳಿದ ವ್ಯತ್ಯಾಸ
পশ্চাদগামী-ইন্টারপোলেশন সূত্র,ಹಿಂದುಳಿದ-ಪ್ರಕ್ಷೇಪಣ ಸೂತ್ರ
ভারসাম্য,ಸಮತೋಲನ
সুষম নকশা,ಸಮತೋಲಿತ ವಿನ್ಯಾಸ
ব্যালেন্স শীট,ಆಯವ್ಯಯ ಪಟ್ಟಿ
ক্ষেপণাস্ত্র,ಬ್ಯಾಲಿಸ್ಟಿಕ್ ಕ್ಷಿಪಣಿ
ব্যালিস্টিক,ಬ್ಯಾಲಿಸ್ಟಿಕ್ಸ್
বার,ಬಾರ್
ভিত্তি,ಬೇಸ್
ভিত্তি কোণ,ಮೂಲ ಕೋನ
লগারিদমের ভিত্তি,ಲಾಗರಿಥಮ್ನ ಆಧಾರ
মৌলিক,ಮೂಲಭೂತ
মৌলিক সম্ভাব্য সমাধান,ಮೂಲ ಕಾರ್ಯಸಾಧ್ಯ ಪರಿಹಾರ
মৌলিক সমাধান,ಮೂಲ ಪರಿಹಾರ
মৌলিক পরিবর্তনশীল,ಮೂಲ ವೇರಿಯಬಲ್
ভিত্তি,ಆಧಾರದ
ভিত্তি উপাদান,ಆಧಾರ ಅಂಶ
ভিত্তি ম্যাট্রিক্স,ಆಧಾರ ಮ್ಯಾಟ್ರಿಕ್ಸ್
একটি ভেক্টর স্থান ভিত্তি,ವೆಕ್ಟರ್ ಜಾಗದ ಆಧಾರ
সাবস্পেস ভিত্তি,ಉಪಸ್ಥಳದ ಆಧಾರ
Bayesian অনুমান,ಬೇಸಿಯನ್ ಅಂದಾಜು
বেইস আইন,ಬೇಯ್ಸ್ ಕಾನೂನು
বেইসের উপপাদ্য,ಬೇಯಸ್ ಪ್ರಮೇಯ
বার্নোলি বিতরণ,ಬರ್ನೌಲ್ಲಿ ವಿತರಣೆ
বার্নোলি নম্বর,ಬರ್ನೌಲ್ಲಿ ಸಂಖ್ಯೆ
Bernoulli সম্ভাব্যতা ফাংশন,ಬರ್ನೌಲ್ಲಿ ಸಂಭವನೀಯತೆ ಕಾರ್ಯ
বার্নউলির সমীকরণ,ಬರ್ನೌಲಿಯ ಸಮೀಕರಣ
বেরি ফাংশন,ಬೆರ್ರಿ ಕಾರ್ಯ
শ্রেষ্ঠ মিল,ಅತ್ಯುತ್ತಮ ಫಿಟ್
সেরা - ফিট লাইন,ಅತ್ಯುತ್ತಮ - ಫಿಟ್ ಲೈನ್
সেরা সমাধান,ಉತ್ತಮ ಪರಿಹಾರ
সেরা কৌশল,ಅತ್ಯುತ್ತಮ ತಂತ್ರಗಳು
বিটা বিতরণ,ಬೀಟಾ ವಿತರಣೆ
পক্ষপাত,ಪಕ್ಷಪಾತ
পক্ষপাতমূলক অনুমান,ಪಕ್ಷಪಾತದ ಅಂದಾಜು
বিহারমোনিক সমীকরণ,ಬೈಹಾರ್ಮೋನಿಕ್ ಸಮೀಕರಣ
দ্বিখণ্ডন,ಬೈಜೆಕ್ಷನ್
দ্বিমুখী মানচিত্র,ಬೈಜೆಕ್ಟಿವ್ ನಕ್ಷೆ
দ্বিমুখী ম্যাপিং,ಬೈಜೆಕ್ಟಿವ್ ಮ್ಯಾಪಿಂಗ್
বাইলিনিয়ার ফর্ম,ಬೈಲಿನಿಯರ್ ರೂಪ
বাইলিনিয়ার ফাংশন,ಬೈಲಿನಿಯರ್ ಕಾರ್ಯ
বাইলিনিয়ার হারমিটিয়ান ফর্ম,ಬೈಲಿನಿಯರ್ ಹರ್ಮಿಟಿಯನ್ ರೂಪ
বাইনারি,ಅವಳಿ
বাইনারি কোড,ಬೈನರಿ ಕೋಡ್
বাইনারি কোডেড দশমিক,ಬೈನರಿ ಕೋಡೆಡ್ ದಶಮಾಂಶ
বাইনারি কোডিং,ಬೈನರಿ ಕೋಡಿಂಗ್
বাইনারি কম্পিউটার,ಬೈನರಿ ಕಂಪ್ಯೂಟರ್
বাইনারি সংখ্যা,ದ್ವಿಮಾನ ಅಂಕಿ
বাইনারি অপারেশন,ಬೈನರಿ ಕಾರ್ಯಾಚರಣೆ
বাইনারি সিস্টেম,ಬೈನರಿ ಸಿಸ್ಟಮ್
বাইনারি পরিবর্তনশীল,ಬೈನರಿ ವೇರಿಯಬಲ್
দ্বিপদ সহগ,ದ್ವಿಪದ ಗುಣಾಂಕ
দ্বিপদ ডিস্ট্রিবিউশন,ದ್ವಿಪದ ವಿತರಣೆ
দ্বিপদ সমীকরণ,ದ್ವಿಪದ ಸಮೀಕರಣ
দ্বিপদ সম্প্রসারণ,ದ್ವಿಪದ ವಿಸ್ತರಣೆ
দ্বিপদ অভিব্যক্তি,ದ್ವಿಪದ ಅಭಿವ್ಯಕ್ತಿ
দ্বিপদী র্যান্ডম পরিবর্তনশীল,ದ್ವಿಪದ ಯಾದೃಚ್ಛಿಕ ವೇರಿಯಬಲ್
দ্বিপদ উপপাদ্য,ದ್ವಿಪದ ಪ್ರಮೇಯ
দ্বিখণ্ডন,ಇಬ್ಭಾಗ
দ্বিখণ্ডিত পদ্ধতি,ವಿಭಜನಾ ವಿಧಾನ
দ্বিখণ্ডিত,ದ್ವಿಭಾಜಕ
biserial,ಬೈಸೀರಿಯಲ್
বিট,ಸ್ವಲ್ಪ
দ্বিপদ দ্বিপদ বণ্টন,ದ್ವಿಪದ ದ್ವಿಪದ ವಿತರಣೆ
bivariate পারস্পরিক সম্পর্ক সহগ,ದ್ವಿಗುಣ ಪರಸ್ಪರ ಸಂಬಂಧ ಗುಣಾಂಕ
দ্বিমুখী বন্টন,ದ್ವಿಗುಣ ವಿತರಣೆ
দ্বিমুখী স্বাভাবিক বন্টন,ದ್ವಿಗುಣ ಸಾಮಾನ್ಯ ವಿತರಣೆ
bivector,ಬೈವೆಕ್ಟರ್
বোল্টজম্যান সমীকরণ,ಬೋಲ್ಟ್ಜ್‌ಮನ್ ಸಮೀಕರಣ
বুলিয়ান বীজগণিত,ಬೂಲಿಯನ್ ಬೀಜಗಣಿತ
বোস-আইনস্টাইন পরিসংখ্যান,ಬೋಸ್ - ಐನ್ಸ್ಟೈನ್ ಅಂಕಿಅಂಶಗಳು
সীমানার অবস্থা,ಗಡಿ ಸ್ಥಿತಿ
সীমানা স্তর,ಗಡಿ ಪದರ
সীমান,ಗಡಿ ರೇಖೆ
সীমানা মান,ಗಡಿ ಮೌಲ್ಯ
সীমানা মান সমস্যা,ಗಡಿ ಮೌಲ್ಯದ ಸಮಸ್ಯೆ
আবদ্ধ ফাংশন,ಸೀಮಿತ ಕಾರ್ಯ
আবদ্ধ ম্যাট্রিক্স,ಬೌಂಡೆಡ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್
আবদ্ধ অঞ্চল,ಗಡಿ ಪ್ರದೇಶ
আবদ্ধ সেট,ಸೀಮಿತ ಸೆಟ್
ব্রোমিন,ಬ್ರೌನಿಯನ್ ಚಲನೆ
গণনা করা,ಲೆಕ್ಕಾಚಾರ
গণনা করা,ಲೆಕ್ಕಾಚಾರ
গননা যন্ত্র,ಲೆಕ್ಕಾಚಾರ ಯಂತ್ರ
গণনা,ಲೆಕ್ಕಾಚಾರ
গণনা পদ্ধতি,ಲೆಕ್ಕಾಚಾರದ ಕಾರ್ಯವಿಧಾನ
ক্যালকুলেটর,ಕ್ಯಾಲ್ಕುಲೇಟರ್
ক্যালকুলাস,ಕಲನಶಾಸ್ತ್ರ
পরিবর্তনের ক্যালকুলাস,ವ್ಯತ್ಯಾಸದ ಕಲನಶಾಸ್ತ್ರ
ক্যালোরি,ಕ್ಯಾಲೋರಿ
বাতিল আইন,ರದ್ದತಿ ಕಾನೂನು
ক্যানোনিকাল সমীকরণ,ಅಂಗೀಕೃತ ಸಮೀಕರಣ
ক্যানোনিকাল ফর্ম,ಅಂಗೀಕೃತ ರೂಪ
ক্যানোনিকাল ম্যাট্রিক্স,ಅಂಗೀಕೃತ ಮ್ಯಾಟ್ರಿಕ್ಸ್
ক্যান্টর সেট,ಕ್ಯಾಂಟರ್ ಸೆಟ್
Cantor এর ত্রিনারি সেট,ಕ್ಯಾಂಟರ್‌ನ ತ್ರಯಾತ್ಮಕ ಸೆಟ್
ক্যাপাসিটেড পরিবহন সমস্যা,ಸಾಮರ್ಥ್ಯದ ಸಾರಿಗೆ ಸಮಸ್ಯೆ
ক্ষমতা,ಸಾಮರ್ಥ್ಯ
কৈশিক বল,ಕ್ಯಾಪಿಲ್ಲರಿ ಬಲ
অঙ্কবাচক সংখ্যা,ಕಾರ್ಡಿನಲ್ ಸಂಖ್ಯೆ
কার্টেসিয়ান অক্ষ,ಕಾರ್ಟೇಶಿಯನ್ ಅಕ್ಷಗಳು
কার্টেসিয়ান স্থানাঙ্ক,ಕಾರ್ಟೇಶಿಯನ್ ನಿರ್ದೇಶಾಂಕಗಳು
কার্টিজিয়ান পণ্য,ಕಾರ್ಟೇಶಿಯನ್ ಉತ್ಪನ್ನ
সেটের কার্টেসিয়ান পণ্য,ಸೆಟ್‌ಗಳ ಕಾರ್ಟೇಶಿಯನ್ ಉತ್ಪನ್ನ
কেস স্টাডি,ಉದಾಹರಣಾ ಪರಿಶೀಲನೆ
বিপর্যয়কর ওঠানামা,ದುರಂತದ ಏರಿಳಿತ
ক্যাটেনারি,ಕ್ಯಾಟೆನರಿ
কচি বন্টন,ಕೌಚಿ ವಿತರಣೆ
কচি সূত্র,ಕೌಚಿ ಸೂತ್ರ
Cauchy Goursat উপপাদ্য,ಕೌಚಿ ಗೌರ್ಸಾಟ್ ಪ್ರಮೇಯ
কচি রিম্যানের শর্ত,ಕೌಚಿ ರೀಮನ್ ಪರಿಸ್ಥಿತಿಗಳು
কচি সিকোয়েন্স,ಕೌಚಿ ಅನುಕ್ರಮ
