Gujarati,Kannada
અલ્ગોરિધમ કાર્યક્ષમતા,ಅಲ್ಗಾರಿದಮ್ ದಕ್ಷತೆ
ઉપનામ,ಅಲಿಯಾಸ್
ગોઠવણી,ಜೋಡಣೆ
ફાળવણી,ಹಂಚಿಕೆ
આલ્ફાબેટીક,ವರ್ಣಮಾಲೆಯ
આલ્ફાન્યૂમેરિક,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್
આલ્ફાન્યૂમેરિક કી બોર્ડ,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೀ ಬೋರ್ಡ್
આલ્ફા-પરીક્ષણ,ಆಲ್ಫಾ-ಪರೀಕ್ಷೆ
આલ્ફા-સંસ્કરણ,ಆಲ್ಫಾ-ಆವೃತ್ತಿ
alt કી,ಆಲ್ಟ್ ಕೀ
અલ્ટાવિસ્ટા,ಅಲ್ಟಾವಿಸ್ತಾ
અસ્પષ્ટતા,ಅಸ್ಪಷ್ಟತೆ
અસ્પષ્ટ વ્યાકરણ,ಅಸ್ಪಷ್ಟ ವ್ಯಾಕರಣ
અમેરિકન નેશનલ સ્ટાન્ડર્ડ ઇન્સ્ટિટ્યૂટ (ANSI),ಅಮೇರಿಕನ್ ನ್ಯಾಷನಲ್ ಸ್ಟ್ಯಾಂಡರ್ಡ್ಸ್ ಇನ್ಸ್ಟಿಟ್ಯೂಟ್ (ANSI)
અમેરિકન સ્ટાન્ડર્ડ કોડ ફોર ઇન્ફોર્મેશન ઇન્ટરચેન્જ (ASCII),ಮಾಹಿತಿ ವಿನಿಮಯಕ್ಕಾಗಿ ಅಮೇರಿಕನ್ ಸ್ಟ್ಯಾಂಡರ್ಡ್ ಕೋಡ್ (ASCII)
એનાલોગ,ಅನಲಾಗ್
એનાલોગ કમ્પ્યુટર,ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್
એનાલોગ ઉપકરણ,ಅನಲಾಗ್ ಸಾಧನ
એનાલોગ મોડેમ,ಅನಲಾಗ್ ಮೋಡೆಮ್
એનાલોગ થી ડિજિટલ કન્વર્ટર (ADC),ಅನಲಾಗ್ ಟು ಡಿಜಿಟಲ್ ಪರಿವರ್ತಕ (ADC)
અને,ಮತ್ತು
અને સર્કિટ,ಮತ್ತು ಸರ್ಕ್ಯೂಟ್
અને દરવાજો,ಮತ್ತು ಗೇಟ್
અને ઓપરેશન નહીં (બાકાત),ಮತ್ತು ಕಾರ್ಯಾಚರಣೆಯಲ್ಲ (ಹೊರಗಿಡುವಿಕೆ)
એનિમેશન,ಅನಿಮೇಷನ್
ટીકા,ಟಿಪ್ಪಣಿ
વિસંગતતા,ಅಸಂಗತತೆ
પૂર્વવર્તી,ಪೂರ್ವಭಾವಿ
આગોતરી પેજીંગ,ನಿರೀಕ್ಷಿತ ಪೇಜಿಂಗ್
વિરોધી સપ્રમાણ,ವಿರೋಧಿ ಸಮ್ಮಿತೀಯ
એન્ટિવાયરસ પ્રોગ્રામ,ಆಂಟಿವೈರಸ್ ಪ್ರೋಗ್ರಾಂ
એપ્લેટ,ಆಪ್ಲೆಟ್
એપ્લિકેશન ડેવલપર,ಅಪ್ಲಿಕೇಶನ್ ಡೆವಲಪರ್
એપ્લિકેશન પ્રોગ્રામિંગ,ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್
એપ્લિકેશન પ્રોગ્રામિંગ ઈન્ટરફેસ (API),ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ ಇಂಟರ್ಫೇಸ್ (API)
એપ્લિકેશન સોફ્ટવેર,ಅಪ್ಲಿಕೇಶನ್ ಸಾಫ್ಟ್ವೇರ್
લાગુ પડતી ભાષા,ಅನ್ವಯಿಕ ಭಾಷೆ
અંદાજ સિદ્ધાંત,ಅಂದಾಜು ಸಿದ್ಧಾಂತ
સ્થાપત્ય,ವಾಸ್ತುಶಿಲ್ಪ
વિસ્તાર ટ્રાન્સફર,ಪ್ರದೇಶ ವರ್ಗಾವಣೆ
દલીલ,ವಾದ
અંકિત અને તર્ક એકમ,ಅಂಕಗಣಿತ ಮತ್ತು ತರ್ಕ ಘಟಕ
અંકિત તપાસ,ಅಂಕಗಣಿತದ ಪರಿಶೀಲನೆ
અંકિત સ્થિરાંક,ಅಂಕಗಣಿತ ಸ್ಥಿರ
અંકિત માહિતી,ಅಂಕಗಣಿತದ ಡೇಟಾ
અંકગણિત સૂચના,ಅಂಕಗಣಿತದ ಸೂಚನೆ
અંકગણિત અને તર્ક એકમ (ALU),ಅಂಕಗಣಿತ ಮತ್ತು ತರ್ಕ ಘಟಕ (ALU)
અર્પાનેટ,ಅರ್ಪಾನೆಟ್
એરે,ಶ್ರೇಣಿ
એરે કેશ,ರಚನೆಯ ಸಂಗ್ರಹ
એરે કમ્પ્યુટર,ಅರೇ ಕಂಪ್ಯೂಟರ್
એરે તત્વ,ರಚನೆಯ ಅಂಶ
એરે નામ,ರಚನೆಯ ಹೆಸರು
એરે પ્રોસેસર,ರಚನೆಯ ಪ್ರೊಸೆಸರ್
તીર કીઓ,ಬಾಣದ ಕೀಲಿಗಳು
ઉચ્ચારણ,ಉಚ್ಚಾರಣೆ
ઉચ્ચારણ બિંદુ,ಉಚ್ಚಾರಣಾ ಬಿಂದು
કૃત્રિમ કોમ્પેક્શન,ಕೃತಕ ಸಂಕೋಚನ
કૃત્રિમ નિયંત્રણ,ಕೃತಕ ನಿಯಂತ್ರಣ
કૃત્રિમ બુદ્ધિ,ಕೃತಕ ಬುದ್ಧಿವಂತಿಕೆ
ચડતા,ಆರೋಹಣ
ચડતા સૉર્ટ,ಆರೋಹಣ ರೀತಿಯ
ASCII બેટીકલ ઓર્ડર,ASCII ಬೆಟಿಕಲ್ ಆರ್ಡರ್
ASCII નિયંત્રણ પાત્ર,ASCII ನಿಯಂತ್ರಣ ಪಾತ್ರ
ASCII ફાઇલ,ASCII ಫೈಲ್
ASCII ફોન્ટ,ASCII ಫಾಂಟ್
ASCII ટ્રાન્સફર,ASCII ವರ್ಗಾವಣೆ
પાસા ગુણોત્તર,ಆಕಾರ ಅನುಪಾತ
ASPI,ASPI
ASR ટાઈમર,ASR ಟೈಮರ್
ભેગા,ಜೋಡಿಸು
એસેમ્બલર,ಅಸೆಂಬ್ಲರ್
એસેમ્બલી,ಸಭೆ
એસેમ્બલી ભાષા,ಅಸೆಂಬ್ಲಿ ಭಾಷೆ
નિવેદન,ಪ್ರತಿಪಾದನೆ
સોંપણી,ನಿಯೋಜನೆ
સંગઠન,ಸಂಘ
સહયોગી સરનામું,ಸಹಾಯಕ ವಿಳಾಸ
સહયોગી મેમરી,ಸಹಾಯಕ ಸ್ಮರಣೆ
એસ્ટરીક,ಆಸ್ಟರಿಕ್
અસમપ્રમાણ,ಅಸಮ್ಮಿತ
અસુમેળ,ಅಸಮಕಾಲಿಕ
અસુમેળ ડિજિટલ સબસ્ક્રાઇબર લાઇન (ADSL),ಅಸಮಕಾಲಿಕ ಡಿಜಿಟಲ್ ಚಂದಾದಾರರ ಸಾಲು (ADSL)
અસુમેળ સમય વિભાગ મલ્ટિપ્લેક્સીંગ (ATDM),ಅಸಮಕಾಲಿಕ ಸಮಯ ವಿಭಾಗ ಮಲ್ಟಿಪ್ಲೆಕ್ಸಿಂಗ್ (ATDM)
અસુમેળ ટ્રાન્સફર,ಅಸಮಕಾಲಿಕ ವರ್ಗಾವಣೆ
અસુમેળ ટ્રાન્સફર મોડ (ATM),ಅಸಮಕಾಲಿಕ ವರ್ಗಾವಣೆ ಮೋಡ್ (ATM)
અણુ,ಪರಮಾಣು
જોડાયેલ દસ્તાવેજ,ಲಗತ್ತಿಸಲಾದ ಡಾಕ್ಯುಮೆಂಟ್
જોડેલી ફાઈલ,ಲಗತ್ತಿಸಲಾದ ಕಡತ
જોડાણ,ಬಾಂಧವ್ಯ
લક્ષણ,ಗುಣಲಕ್ಷಣ
ઓડિયો,ಆಡಿಯೋ
ઓડિટ પ્રોગ્રામિંગ,ಆಡಿಟ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್
વિષ્લેષણ,ಆಡಿಟ್ ಟ್ರಯಲ್
વૃદ્ધિ,ವರ್ಧನೆ
પ્રમાણીકરણ પ્રોટોકોલ,ದೃಢೀಕರಣ ಪ್ರೋಟೋಕಾಲ್
ઓથરિંગ સિસ્ટમ,ಲೇಖಕ ವ್ಯವಸ್ಥೆ
અધિકૃતતા,ಅಧಿಕಾರ
સ્વતઃ અમૂર્ત,ಸ್ವಯಂ ಅಮೂರ್ತ
ઓટોબૂટિંગ,ಸ್ವಯಂಬೂಟ್ ಮಾಡುವಿಕೆ
ઓટોકેડ,ಆಟೋಕ್ಯಾಡ್
ઓટોલોગ ચાલુ,ಸ್ವಯಂ ಲಾಗ್ ಆನ್
ઓટોમેટા,ಸ್ವಯಂಚಾಲಿತ
ઓટોમેટા સિદ્ધાંત,ಸ್ವಯಂಚಾಲಿತ ಸಿದ್ಧಾಂತ
આપોઆપ કમ્પ્યુટિંગ,ಸ್ವಯಂಚಾಲಿತ ಕಂಪ್ಯೂಟಿಂಗ್
સ્વચાલિત ડેટા પ્રોસેસિંગ,ಸ್ವಯಂಚಾಲಿತ ಡೇಟಾ ಸಂಸ್ಕರಣೆ
આપોઆપ ભૂલ સુધારણા,ಸ್ವಯಂಚಾಲಿತ ದೋಷ ತಿದ್ದುಪಡಿ
સ્વચાલિત કાર્ય,ಸ್ವಯಂಚಾಲಿತ ಕಾರ್ಯ
આપોઆપ અનુક્રમણિકા,ಸ್ವಯಂಚಾಲಿತ ಸೂಚ್ಯಂಕ
સ્વચાલિત પુસ્તકાલય કૉલ,ಸ್ವಯಂಚಾಲಿತ ಲೈಬ್ರರಿ ಕರೆ
આપોઆપ પ્રોગ્રામિંગ,ಸ್ವಯಂಚಾಲಿತ ಪ್ರೋಗ್ರಾಮಿಂಗ್
સ્વચાલિત પુનઃપ્રાપ્તિ કાર્યક્રમ,ಸ್ವಯಂಚಾಲಿತ ಚೇತರಿಕೆ ಪ್ರೋಗ್ರಾಂ
આપોઆપ નિયમિત,ಸ್ವಯಂಚಾಲಿತ ದಿನಚರಿ
આપોઆપ સિસ્ટમ પુનઃપ્રાપ્તિ,ಸ್ವಯಂಚಾಲಿತ ಸಿಸ್ಟಮ್ ಚೇತರಿಕೆ
ઓટોમેટિક ટેલર મશીન (ATM),ಸ್ವಯಂಚಾಲಿತ ಟೆಲ್ಲರ್ ಯಂತ್ರ (ATM)
ઓટોમેશન,ಯಾಂತ್ರೀಕೃತಗೊಂಡ
ઑટોપ્લે,ಸ್ವಚಾಲಿತ
સ્વતઃ સાચવો,ಸ್ವಯಂ ಉಳಿಸಿ
સહાયક,ಸಹಾಯಕ
સહાયક મેમરી,ಸಹಾಯಕ ಸ್ಮರಣೆ
સહાયક સંગ્રહ,ಸಹಾಯಕ ಸಂಗ್ರಹಣೆ
ઉપલબ્ધ યાદી,ಲಭ್ಯವಿರುವ ಪಟ್ಟಿ
ઉપલબ્ધ સમય,ಲಭ್ಯವಿರುವ ಸಮಯ
સરેરાશ,ಸರಾಸರಿ
awk (ભાષા),awk (ಭಾಷೆ)
બેકએન્ડ,ಬ್ಯಾಕೆಂಡ್
બેકએન્ડ પ્રોસેસર,ಬ್ಯಾಕೆಂಡ್ ಪ್ರೊಸೆಸರ್
બેકફેસ દૂર કરવું,ಹಿಂಬದಿ ತೆಗೆಯುವಿಕೆ
પૃષ્ઠભૂમિ પ્રક્રિયા,ಹಿನ್ನೆಲೆ ಸಂಸ್ಕರಣೆ
બેકિંગ સ્ટોર,ಬ್ಯಾಕಿಂಗ್ ಅಂಗಡಿ
બેકપેચિંગ,ಬ್ಯಾಕ್‌ಪ್ಯಾಚಿಂಗ್
બેકસ્પેસ,ಬ್ಯಾಕ್‌ಸ್ಪೇಸ್
બેકટ્રેકિંગ,ಬ್ಯಾಕ್‌ಟ್ರ್ಯಾಕಿಂಗ್
બેકઅપ,ಬ್ಯಾಕ್ ಅಪ್
બેકઅપ મેમરી,ಬ್ಯಾಕ್-ಅಪ್ ಮೆಮೊರಿ
પછાત ભૂલ પુનઃપ્રાપ્તિ,ಹಿಂದುಳಿದ ದೋಷ ಚೇತರಿಕೆ
સરવૈયા,ಆಯವ್ಯಯ ಪಟ್ಟಿ
બેન્ડ,ಬ್ಯಾಂಡ್
બેન્ડ પહોળાઈ,ಬ್ಯಾಂಡ್ ಅಗಲ
બેંકરનું અલ્ગોરિધમ,ಬ್ಯಾಂಕರ್ ಅಲ್ಗಾರಿದಮ್
બાર કોડ,ಬಾರ್ ಕೋಡ್
બાર કોડ સ્કેનર,ಬಾರ್ ಕೋಡ್ ಸ್ಕ್ಯಾನರ್
બાર ગ્રાફ,ಬಾರ್ ಗ್ರಾಫ್
આધાર સરનામું,ಮೂಲ ವಿಳಾಸ
આધાર બેન્ડ,ಬೇಸ್ ಬ್ಯಾಂಡ್
આધાર નંબર,ಮೂಲ ಸಂಖ್ಯೆ
આધાર ટેબલ,ಬೇಸ್ ಟೇಬಲ್
પાયાની,ಬೇಸಿಕ್
મૂળભૂત નિયંત્રણ,ಮೂಲ ನಿಯಂತ್ರಣ
મૂળભૂત ઇનપુટ,ಮೂಲ ಇನ್ಪುಟ್
મૂળભૂત સૂચના,ಮೂಲ ಸೂಚನೆ
મૂળભૂત આઉટપુટ,ಮೂಲ ಔಟ್ಪುಟ್
મૂળભૂત પગલું,ಮೂಲ ಹಂತ
બેચ,ಬ್ಯಾಚ್
બેચ ફાઇલ,ಬ್ಯಾಚ್ ಫೈಲ್
બેચ સ્થિતિ,ಬ್ಯಾಚ್ ಸ್ಥಾನ
બેચ પ્રક્રિયા,ಬ್ಯಾಚ್ ಸಂಸ್ಕರಣೆ
બેચ સિસ્ટમ,ಬ್ಯಾಚ್ ವ್ಯವಸ್ಥೆ
બાઉડ,ಬಾಡ್
બાઉડ દર,ಬೌಡ್ ದರ
બીમ,ಕಿರಣ
બેન્ચમાર્ક,ಮಾನದಂಡ
દ્વિદિશ સંચાર,ದ್ವಿಮುಖ ಸಂವಹನ
દ્વિદિશ લિંક,ದ್ವಿಮುಖ ಲಿಂಕ್
દ્વિસંગી કોડ,ಬೈನರಿ ಕೋಡ್
દ્વિસંગી અંક,ದ್ವಿಮಾನ ಅಂಕಿ
બાઈનરી ઇનપુટ આઉટપુટ સિસ્ટમ (BIOS),ಬೈನರಿ ಇನ್‌ಪುಟ್ ಔಟ್‌ಪುಟ್ ಸಿಸ್ಟಮ್ (BIOS)
દ્વિસંગી સંખ્યા,ಬೈನರಿ ಸಂಖ್ಯೆ
બાઈનરી ઓપરેટર,ಬೈನರಿ ಆಪರೇಟರ್
દ્વિસંગી સંબંધ,ದ್ವಿಮಾನ ಸಂಬಂಧ
દ્વિસંગી શોધ,ಬೈನರಿ ಹುಡುಕಾಟ
દ્વિસંગી શોધ વૃક્ષ (BST),ಬೈನರಿ ಸರ್ಚ್ ಟ್ರೀ (BST)
બાઈનરી ટ્રાન્સફર,ಬೈನರಿ ವರ್ಗಾವಣೆ
દ્વિસંગી વૃક્ષ,ಅವಳಿ ಮರ
બાયપોલર મેમરી,ಬೈಪೋಲಾರ್ ಮೆಮೊರಿ
જન્મ મૃત્યુ મોડેલ,ಜನನ ಮರಣ ಮಾದರಿ
જન્મ મૃત્યુ પ્રક્રિયા,ಜನನ ಮರಣ ಪ್ರಕ್ರಿಯೆ
બીટ,ಸ್ವಲ್ಪ
થોડી ખામી,ಸ್ವಲ್ಪ ತಪ್ಪು
બીટ નકશો,ಬಿಟ್ ನಕ್ಷೆ
બીટ મેપ પિક્સેલ (BMP),ಬಿಟ್ ಮ್ಯಾಪ್ ಪಿಕ್ಸೆಲ್ (BMP)
બીટ મેટ્રિક્સ,ಬಿಟ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್
બીટ પેટર્ન,ಬಿಟ್ ಮಾದರಿ
બીટ સ્થિતિ,ಬಿಟ್ ಸ್ಥಾನ
બીટ દર,ಬಿಟ್ ದರ
બ્લેક બોક્સ પરીક્ષણ,ಕಪ್ಪು ಪೆಟ್ಟಿಗೆ ಪರೀಕ್ಷೆ
ઝબકવું,ಮಿಟುಕಿಸುವುದು
બ્લોક,ಬ್ಲಾಕ್
બ્લોક કેશ,ಬ್ಲಾಕ್ ಸಂಗ್ರಹ
બ્લોક ચેક,ಬ್ಲಾಕ್ ಚೆಕ್
બ્લોક નકલ,ಬ್ಲಾಕ್ ನಕಲು
રેખાક્રુતિ,ಬ್ಲಾಕ್ ರೇಖಾಚಿತ್ರ
બ્લોકીંગ નેટવર્ક,ನಿರ್ಬಂಧಿಸುವ ನೆಟ್ವರ್ಕ್
પાટીયું,ಬೋರ್ಡ್
પુસ્તક ચિહ્ન,ಪುಸ್ತಕ ಗುರುತು
બુલિયન બીજગણિત,ಬೂಲಿಯನ್ ಬೀಜಗಣಿತ
બુલિયન સંબંધ,ಬೂಲಿಯನ್ ಸಂಬಂಧ
બુટ પાર્ટીશન,ಬೂಟ್ ವಿಭಾಗ
બુટ strapping,ಬೂಟ್ ಸ್ಟ್ರಾಪಿಂಗ್
બુટ-સ્ટ્રેપ લોડર,ಬೂಟ್-ಸ್ಟ್ರಾಪ್ ಲೋಡರ್
પુલ,ಸೇತುವೆ
બ્રોડબેન્ડ નેટવર્કિંગ,ಬ್ರಾಡ್‌ಬ್ಯಾಂಡ್ ನೆಟ್‌ವರ್ಕಿಂಗ್
પ્રસારણ,ಪ್ರಸಾರ
પ્રસારણ રેડિયો,ರೇಡಿಯೋ ಪ್ರಸಾರ
બ્રાઉઝ કરો,ಬ್ರೌಸ್
બ્રાઉઝર,ಬ್ರೌಸರ್
બી-ટ્રી,ಬಿ-ಟ್ರೀ
બબલ મેમરી,ಬಬಲ್ ಮೆಮೊರಿ
બબલ સૉર્ટ,ಬಬಲ್ ರೀತಿಯ
ડોલ,ಬಕೆಟ್
મિત્ર સિસ્ટમ,ಸ್ನೇಹಿತರ ವ್ಯವಸ್ಥೆ
બજેટ અસરકારક નિયંત્રણ,ಬಜೆಟ್ ಪರಿಣಾಮಕಾರಿ ನಿಯಂತ್ರಣ
બફર,ಬಫರ್
ભૂલ,ದೋಷ
બસ,ಬಸ್
બાઈટ,ಬೈಟ್
બાઈટ કોડ,ಬೈಟ್ ಕೋಡ್
c,ಸಿ
C++,C++
કેશ,ಸಂಗ್ರಹ
કેશ બફર,ಸಂಗ್ರಹ ಬಫರ್
કેશ મેમરી,ಸಂಗ್ರಹ ಮೆಮೊರಿ
ગણતરી,ಲೆಕ್ಕಾಚಾರ
કેલ્ક્યુલેટર,ಕ್ಯಾಲ್ಕುಲೇಟರ್
કેલ્ક્યુલેટર ચિપ,ಕ್ಯಾಲ್ಕುಲೇಟರ್ ಚಿಪ್
કૉલ,ಕರೆ
નામથી બોલાવો,ಹೆಸರಿನಿಂದ ಕರೆ ಮಾಡಿ
સંદર્ભ દ્વારા કૉલ કરો,ಉಲ್ಲೇಖದ ಮೂಲಕ ಕರೆ ಮಾಡಿ
મૂલ્ય દ્વારા કૉલ કરો,ಮೌಲ್ಯದಿಂದ ಕರೆ ಮಾಡಿ
ચલ દ્વારા કૉલ કરો,ವೇರಿಯಬಲ್ ಮೂಲಕ ಕರೆ ಮಾಡಿ
કૉલ ગેટ,ಕರೆ ಗೇಟ್
રદ કરો,ರದ್ದುಮಾಡು
રદ કરો બટન,ರದ್ದು ಬಟನ್
પ્રમાણભૂત,ಅಂಗೀಕೃತ
પ્રમાણભૂત સ્વરૂપ,ಅಂಗೀಕೃತ ರೂಪ
ક્ષમતા,ಸಾಮರ್ಥ್ಯ
ક્ષમતા યાદી,ಸಾಮರ್ಥ್ಯ ಪಟ್ಟಿ
ક્ષમતા,ಸಾಮರ್ಥ್ಯ
કેપ્સ લોક કી,ಕ್ಯಾಪ್ಸ್ ಲಾಕ್ ಕೀ
કાર્ડ,ಕಾರ್ಡ್
કાર્ડ રીડર,ಕಾರ್ಡ್ ರೀಡರ್
મુખ્યત્વ,ಕಾರ್ಡಿನಲಿಟಿ
વાહક,ವಾಹಕ
વાહક બેન્ડ,ವಾಹಕ ಬ್ಯಾಂಡ್
વાહક લોડ,ವಾಹಕ ಲೋಡ್
વાહક સંકેત,ವಾಹಕ ಸಂಕೇತ
વાહક તરંગ,ವಾಹಕ ತರಂಗ
વહન,ಒಯ್ಯುತ್ತಾರೆ
વહન અંક,ಅಂಕೆ ಸಾಗಿಸಿ
ધ્વજ વહન કરો,ಧ್ವಜವನ್ನು ಒಯ್ಯುತ್ತಾರೆ
