Telugu,Hindi
బ్రాడ్ బీన్,"बाकला, चौड़ी बीन"
బ్రోకలీ,ब्रोकोली
బ్రస్సెల్ మొలక,ब्रुसेल्स स्प्राउट
బుక్వీట్,कुटू
బ్యూటియా,"पलाश लता, किंशुक"
బాండికూట్,घूंस
ఎలుగుబంటి,भालू
బీటిల్,भृंग
బొబ్బ బీటిల్,फफोला भृंग
బ్లూ బుల్,नील गाय
బోల్ పురుగు,कपास की सूंड़ी
సీతాకోకచిలుక,तितली
బాక్టీరియాలజిస్ట్,जीवाणु विज्ञानी
బయోకెమిస్ట్,जैव रसायनविद्
జీవశాస్త్రవేత్త,जीव विज्ञानी
బయోటెక్నాలజిస్ట్,जैव प्रौद्योगिकीविद्
వృక్షశాస్త్రజ్ఞుడు,वनस्पतिविद्
సి తేమ లక్షణ వక్రత,c नमी विशिष्टता वक्र
కేక్,खली
కాల్కారియస్,"चूनेदार, कैल्सियमी"
కాల్సిఫికేషన్,कैल्सीयन
ఫాస్ఫేట్ యొక్క లెక్కింపు,फॉस्फेट का निस्तापन
కాలోసిటీ,"किणता, कैलसता"
కాలిస్,"कैलस, किण"
కాలిక్స్,"बाह्यदल पुंज, कैलिक्स"
కాలిక్స్-ఎండ్,बाह्यदल अंत
కాంబియం,एधा
క్యాంకర్,कैंकर (जीवाणु रोग)
క్యానింగ్,डिब्बाबंदी
పందిరి,वितान
రాజధాని,पूंजी
కాప్రిఫికేషన్,परागण (अंजीर का)
క్యాప్సూల్,"संपुट, संपुटिका, कैप्सूल"
కార్బోనేటేడ్,कार्बोनीकृत
కార్బోనైజేషన్,कार्बनन
కార్పెల్,अंडप
కార్పస్,मणिबंध
కాస్టింగ్,"ढलाई (लोहे की), क्षिप्ति (कीट)"
క్యాటాబోలిజం,अपचय
ఉత్ప్రేరక,उत्प्रेरण
గొంగళి పురుగు,"इल्ली, सूंडी"
సి-డిఎన్ఎ లైబ్రరీ,C- डीएनए संग्रह
పైకప్పు,सीमा
సెల్,"कोशिका, कोष्ठिका"
కేంద్ర నాయకుడు వ్యవస్థ,केंद्रीय अग्रलेख प्रणाली
సెంట్రిక్,"सबिंदु, सकेंद्र"
సెంట్రిఫ్యూగేషన్,अपकेंद्रण
సెంట్రిఫ్యూజ్,अपकेंद्रित
సెంట్రియోల్,तारककेंद्र
సెంట్రోజెనిక్,केंद्रजनिक
సెంట్రోజెనస్,केंद्रजा
సెర్కస్,लूम
ధాన్యం,"धान्य, सीरियल"
ధృవీకరణ,"प्रमाणीकरण, प्रमाणन"
ధృవీకరించబడిన విత్తనం,प्रमाणित बीज
చాఫ్,"भूसा, कुट्टी, शल्क सहपत्र"
చలాజా,"निभाग, कैलाजा"
కెమోట్రోపిజం,रसानुवर्तन
చియాస్మా,"काएज्मा, व्यत्यस्त"
చిల్లింగ్ గంటలు,द्रुतशीतन घंटे
చిల్లింగ్ గాయం,शीतज क्षति
చిమెరా,"विचित्रोतकी, किमेरा"
క్లోరాంథీ,हरित दली
క్లోరోఫిల్,"पर्णहरित, हरितक"
క్లోరోసిస్,हरिमाहीनता
క్లోరాలజీ,जीव वितरण विज्ञान
క్రోమాటిడ్,"क्रोमैटिड, अर्धगुणसूत्र"
క్రోమాటిన్,क्रोमैटिन
క్రోమాటోగ్రఫీ,वर्णलेखन
క్రోమాటోలిసిస్,क्रोमोटिनलयन
క్రోమోసెంట్రే,परिसूत्र बिंदु
క్రోమోజెనిసిస్,वर्णजनन
క్రోమోప్రొటీన్,"क्रोमोप्रोटीन, वर्णकप्रोटीन"
క్రోమోజోమ్,"गुणसूत्र, क्रोमोसोम"
దీర్ఘకాలిక,"चिरकाली, दीर्घकाली, जीर्ण, पुराना"
సిట్రేంజ్,सिट्रेंज
క్లాడోడ్,पर्णाभपर्व
వర్గీకరణ,वर्गीकरण
మట్టి,"मृत्तिका, चिकनी मिट्टी"
శుభ్రపరచడం,"निर्मलन, मार्जन, सफाई, शोधन"
క్లిస్టోగామి,"अनुन्मील्य परागण, स्वपरागण"
క్లైమాక్టెరిక్ పండు,क्रांतिक श्वसनी फल
వాతావరణం,जलवायु
క్లైమాటాలజీ,जलवायु विज्ञान
క్లిప్పర్,कतरनी
క్లాడ్,ढेला (मिट्टी का)
క్లోన్,"क्लोन, कृन्तक"
మేఘం,"मेघ, बादल"
క్లాంప్,"पुंज (क्लंप, संपुंजन)"
క్లస్టర్,गुच्छ
ముతక,"स्थूल, मोटा, कच्चा, अपरिष्कृत"
విత్తనం,"आवरण (बीज़), चर्मावरण"
కోకన్,कोया
కోఎంజైమ్,"कोएन्जाइम, सह-प्रकिण्व"
సమన్వయం,संसंजन
కోయిర్,"रेशा (जूट पटसन), नारियल जटा"
కోలియోరిజా,मूलांकुर चोल
కాలర్,"स्तंभमूलसंधि, कॉलर, ग्रीवा"
ఘోథ,कोलॉइड (मृदा)
కొలుమెల్లా,"स्तंभिका, कॉलुमेला"
కాలమ్,"दंड, स्तंभ, कॉलम"
ప్రారంభం,सहभोजिता
వాణిజ్య బ్యాంకు,वाणिज्यिक बैंक
వస్తువు,"जिंस, पण्य वस्तु"
సంఘం,समुदाय
సంపీడన (మట్టి),"संहनन, (मृदा का)"
అనుకూలత,"सुसंगति, संगतता"
అనుకూలత,सुसंगतता
పరిహారం,"क्षतिपूर्ति, मुआवजा"
పోటీ పరస్పర చర్య,स्पर्धी अन्योन्यक्रिया
పరిపూరకరమైన పంట,पूरक सस्य
క్లిష్టమైన,"सम्मिश्र, जटिल"
భాగం,घटक
కూర్పు,संघटन
కంపోస్ట్,कंपोस्ट
చక్రవడ్డీ,चक्रवृद्धि ब्याज
గణన,अभिकलन
కంప్యూటర్,"अभिकलित्र, कंप्यूटर"
ఏకాగ్రత,"सांद्रण, संकेद्रण"
కండీషనర్,"अनुकूलक, पुनरुद्धारक"
ప్రవర్తన,चालकता
ఆకృతీకరణ,"विन्यास, संरूपण"
అనుగుణ్యత,"अनुरूपता, समविन्यास, समरूपता"
గందరగోళం,"समाकुलन, संकरण"
సంయోగం,संयुग्मन
కనెక్టివ్,"योजी, संयोजी"
పరిరక్షణ,सरंक्षण
ఏకీకరణ,चकबंदी
భాగాలు,"संघटक, अवयव"
వినియోగదారు,उपभोक्ता
వినియోగం,उपभोग
కాలుష్యం,संदूषण
ఆకృతి నాటడం,समोच्च रोपण
ఆకృతి,समोच्च रेखा
కాంట్రాక్ట్ వ్యవసాయం,"संविदा कृषि, ठेका कृषि, अनुबंधित खेती"
నియంత్రిత నిల్వ,नियंत्रित भंडारण
సహకార బ్యాంక్,सहकारी बैंक
సహకారం,सहकारी संस्था सदस्य
కాపిస్,गुल्मवन
కార్మ్,घनकंद
కొరోల్లా,"दलपुंज, कोरोला"
కార్టెక్స్,"वल्कल, कॉर्टेक्स"
ధర,लागत
కోడిలిడాన్,बीजपत्र
క్రెడిట్ సొసైటీ,ऋण समिति
క్రెడిట్,"उधार, साख"
రుణదాత,"ऋणदाता, लेनदार"
క్రెస్ట్,"शिखा, शीर्ष, शिखर"
ముడతలు,व्याकुंचन
సంక్షోభం,संकट
ప్రమాణం,कसौटी
క్లిష్టమైన,"क्रांतिक, विकट, नाजुक"
పంట భీమా,फसल बीमा
పంట రుణం,फसल ऋण
పంట,"सस्य, फसल"
పంట ప్రాంతం,सस्यन क्षेत्र
క్రాస్ ఇన్ఫాంపిబుల్,पार-असंगत
క్రౌన్ (మొక్క),"मुकुट, शिखर (पादप)"
ముక్క,मृदुकण
క్రస్ట్,पपड़ी
క్రిప్టోమ్,"क्रिप्टोगैम, अपुष्पीपादप"
మెడ (పండ్లు),छांटन (फल)
కుల్మ్,"कल्म, वेणुकाण्ड"
సాగు,कृष्य किस्म
సాగు,"कर्षण, कृषि, खेती"
సాగు,"किसान, कल्टीवेटर (यंत्र)"
సంస్కృతి,"संवर्ध, संवर्धन, पालन"
క్యూరింగ్,"संसाधन, तैयार करना"
కర్లింగ్,"कुंतलन, कुंचन"
కరెన్సీ,मुद्रा
క్యూటికల్,"उपत्वचा, क्यूटिकल"
కట్టింగ్,"कलम, कटाई, काटना, कटाग्र, कटावा"
తిత్తి,"कृमि कोष, सिस्ट, पुटी, विकृत गुल्म, रसौली"
సైటోక్రోమ్,साइटोक्रोम
సైటోగామి,कोशिका युग्मन
సైటోజెనిసిస్,कोशिका जनन
సైటోజెనెటిక్స్,कोशिका आनुवंशिकी
సైటోకినిసిస్,कोशिका द्रव्य विभाजन
సైటోలజీ,कोशिका विज्ञान
సైటోలిసిస్,कोशिकाविघटन
సైటోమీర్,"साइटोमियर, कोशिका खंड"
సైటోప్లాజమ్,कोशिका द्रव्य
క్యాబేజీ,बंदगोभी
కాక్టస్,नागफनी
కలేన్ద్యులా,ज़रगुल
ఫలారిస్,"गिल्ली डंडा, गेहूं का मामा"
Canna,कैना
కాపారిస్,करीर
క్యాప్సికం,शिमला मिर्च
కారాంబోలా,कमरख
కారాపా,पुसुर
ఏలకులు,इलाइची
కార్నేషన్,कार्नेशन
కారెట్,गाजर
జీడి పప్పు,काजू
కాసియా,अमलतास
కాస్టర్,अरंडी
కాలీఫ్లవర్,फूलगोभी
సెలెరీ,सेलेरी
ఛాంపాక్,चम्पा
చెనోపోడియం,बथुआ
చెర్రీ టమొూటా,चेरी टमाटर
చెర్రీ,चेरी
"చిక్పా, గ్రామ్",चना
మిరపకాయలు,मिर्च
చైనా టర్పెంటైన్ చెట్టు,काकड़ा
చౌ చౌ,लौकू
క్రిసాన్తిమం,गुलदाउदी
"చుఫా, ఎర్త్ బాదం",चिचोड़ा
సికోరీ,"चिकोरी, कारनी"
దాల్చిన చెక్క,दालचीनी
సిట్రాన్,सिट्रोन
సిట్రోనెల్లా గడ్డి,गंजनी
క్లైంబింగ్ జాస్మిన్,मालती
లవంగం,लौंग
క్లస్టర్ బీన్,ग्वार बीन
కోకో,कहवा
కొబ్బరి,नारियल
కాఫీ,कॉफी
కోలియస్,पत्थरचूर
కోలోకాసియా,अरबी
"కోలోసిన్త్, చేదు ఆపిల్",इंद्रायन
సాధారణ పర్స్లేన్,जंगली पालक
కొత్తిమీర,धनिया
పత్తి,कपास
కౌపీయా,लोबिया
క్యూబ్బ్,कबाब-चीनी
దోసకాయ,खीरा
కుకుర్బిట్స్,कद्दूवर्गीय
జీలకర్ర,जीरा
కరివేపాకు ఆకు,करी पत्ता
సీతాఫలం,शरीफा
క్యాప్సూల్ బోరర్,पुटिका वेधक
గొంగళి పురుగు,इल्ली
సిట్రస్ సైలా,सिट्रस साएला
క్రికెట్,झींगर
కాకి,कौआ
కట్ పురుగు,कटुआ
పాల,"डेरी, दुग्धशाला"
పాల,डेरी उद्योग
ఆనకట్ట,"बांध, प्रजननी"
రోజు-తటస్థ,दिवस निरपेक्ष पादप
పుష్పించే రోజుల తరువాత,पुष्पन के बाद के दिवस
పూర్తి బ్లూమ్ తర్వాత రోజులు,पूर्ण पुष्पन के बाद के दिवस
డెబ్లోసింగ్,निष्पुष्पन
డీకాల్సిఫికేషన్,विकैल्सीकरण
డికాంట్,"निथारना, निस्तारना"
క్షయం,क्षय
ఆకురాల్చే,पर्णपाती
దశాంశం,"दशमिक, दशमलव"
లోపం,न्यूनता
మట్టి,"अनूर्णन (मृदा), वि-उर्णन"
డెఫ్లోరేషన్,विपुष्पन
డీఫోలియేషన్,विपत्रण
అటవీ నిర్మూలన,वनोन्मूलन
క్షీణత,"अपह्रासन, अपकर्षण"
క్షీణత,निम्नीकरण
డిగ్రీ రోజులు,अंश दिवस
డిగ్రీ,"मात्रा, अंश"
డీహిస్సెన్స్,स्फुटन
డెహల్లింగ్,भूसी हटाना
డెహస్కింగ్,भूसी हटाना
నిర్జలీకరణం,निर्जलीकरण
డీహైడ్రేటర్,निर्जलकारित्र
డిమాండ్,मांग
డీనాటరేషన్,"विकृतीकरण, गुणनाशन"
తిరస్కరణ,अनाच्छादन
డిపాజిట్,"निक्षेप (मृदा), जमा (अर्थशास्त्र)"
నిక్షేపణ,निक्षेपण
తరుగుదల డీసాలినైజేషన్,"मूल्यह्रास, अवमूल्यन विलवणीकरण"
డీసికేషన్,"जल शुष्कन, निर्जलीकरण"
రూపకల్పన,"अभिकल्पना, डिजाइन"
డెస్సికేటర్,शुष्कित्र
డెస్టొనింగ్,गुठली निकालना
డెస్కరింగ్,वि-अंतः भूस्तारीकरण
డెసినాప్సిస్,वियुग्मन
డిటాసెల్,"नर मंजरी निकालना (मक्का), बल्लर निकालना"
డిటాసెలింగ్,बल्लर या फुंदन को काटना
నిర్ణయాధికారి,निर्धारक
విలువ తగ్గింపు,अवमूल्यन
డివెగెటేషన్,वनस्पतिरहित करना
విచలనం,विचलन
డైడ్,द्विक
రోగ నిర్ధారణ,निदान
డైకోగామి,भिन्नकाल पक्वता
డైకోటోమి,द्विभाजन
విత్తనం,"द्विबीजपत्री, डाइकोटिलेड़न (बीज)"
డై బ్యాక్ (వ్యాధి),पश्चमारी (रोग)
విస్తరణ,"विसरण, विसार"
డైజెస్టిబిలిటీ,पाचनीयता
డైహైబ్రిడ్,द्विसंकर
ఒక రకానికి చెందిన వ్యక్తి,"बांध, नाली, परिवाह"
పలుచన,तनु
డైయోసియస్,"एकलिंगाश्रयी, पृथक् लिंगी"
డిప్లాయిడ్,द्विगुणित
డిప్లాయిడ్,"द्विगुणित, डिप्लॉइड"
డిప్లొనెమా,द्विसूत्र
విడదీయడం,"निष्कलिकायन, कलिका निकालना"
డిస్కింగ్,"तवेदार हल चलाना, चक्काकरण"
డిస్కౌంట్,छूट
క్రిమిసంహారక,रोगाणुनाशन
చెదరగొట్టడం,"परिक्षेपण, प्रकीर्णन"
వ్యాప్తి,"प्रकीर्णन, प्रसरण"
వైవిధ్యీకరణ,विविधीकरण
వైవిధ్యభరితమైన వ్యవసాయం,विविधीकृत कृषि
DNA నిచ్చెన,डीएनए सोपान
DNA రిసెప్టర్,डीएनए ग्राही
డాకేజ్,गोदी-भाड़ा
ఆధిపత్యం,प्रभावी
నిద్రాణస్థితి,प्रसुप्ति
మోతాదు,"मात्रा, खुराक, डोज"
డబుల్ సిగ్మోయిడ్ కర్వ్,दोहरा सिग्माभ वक्र
ముసాయిదా (ముసాయిదా),"झोंका, खिंचाव"
హరించడం,"निकास नाली, अपवाहिका"
పారుదల,जलनिकास
డ్రా,कर्षण
డ్రించింగ్,"दवा पिलाना, दवाई से तर करना"
