Tamil,Odiya
அணுகல் சூழல்,ପ୍ରବେଶ ପରିବେଶ ସେବା
அணுகல் இடைவெளி,ଫାଗ୍ ଆକ୍ସେସ୍ କରନ୍ତୁ |
அணுகல் அட்டவணை,ପ୍ରବେଶ ସୂଚକାଙ୍କ
அணுகல் வரி,ଆକ୍ସେସ୍ ଲାଇନ୍ |
அணுகல் பொறிமுறை,ମେକାନିଜିମ୍ ଆକ୍ସେସ୍ ଆକ୍ସେସ୍ କରନ୍ତୁ |
அணுகல் முறை,ପ୍ରବେଶ ପଦ୍ଧତି
அணுகல் முறை வழக்கமான,ଆକ୍ସେସ୍ ପଦ୍ଧତି ରୁଟିନ୍ |
அணுகல் பயன்முறை,ପ୍ରବେଶ ମୋଡ୍
அணுகல் உரிமை,ଅଧିକାର ପ୍ରବେଶ
அணுகல் ஸ்கேன்,ପ୍ରବେଶ ସ୍କାନ
அணுகல் நேரம்,ସମୟ ପ୍ରବେଶ କରନ୍ତୁ |
கணக்கியல்,ହିସାବ
கணக்கியல் நிதி அமைப்பு,ହିସାବ ଆର୍ଥିକ ବ୍ୟବସ୍ଥା
கணக்கியல் இயந்திரம்,ହିସାବ ଯନ୍ତ୍ର
கணக்கு எண்,ଖାତା ସଂଖ୍ୟା
திரட்டுதல் இனப்பெருக்கம்,ପୁନର୍ବାର ଜମା କରିବା |
குவிப்பான்,ଆକ୍ୟୁମୁଲେଟର
குவிப்பான் பதிவு,ଆକ୍ୟୁମୁଲେଟର ରେଜିଷ୍ଟର |
திரட்டல் ஷிப்ட் வழிமுறை,ଆକ୍ୟୁମୁଲେଟର ସିଫ୍ଟ ନିର୍ଦ୍ଦେଶ |
துல்லியம்,ସଠିକତା
துல்லியம் கட்டுப்பாட்டு தன்மை,ସଠିକତା ନିୟନ୍ତ୍ରଣ ଚରିତ୍ର |
துல்லியம் கட்டுப்பாட்டு அமைப்பு,ସଠିକତା ନିୟନ୍ତ୍ରଣ ବ୍ୟବସ୍ଥା |
ஏஸ் பைலட்,Ace ପାଇଲଟ୍ |
தன்மையை ஒப்புக் கொள்ளுங்கள்,ସ୍ୱୀକାର କରନ୍ତୁ ବର୍ଣ୍ଣ
ஒலி கப்ளர்,ଆକାଶବାଣୀ କପତର୍ |
ஒலி இணைப்பு,ଆକାଶବାଣୀ କଣ୍ଟା |
ஒலி தாமத வரி,ଆକାଶବାଣୀ ବିଳମ୍ବ ରେଖା |
ஒலி நினைவகம்,ଆକାଶବାଣୀ ସ୍ମୃତି
ஒலி மோடம்,ଆକାଶବାଣୀ ମୋଡେମ୍ |
ஒலி சமிக்ஞை,ଆକାଶବାଣୀ ସଙ୍କେତ |
ஒலி சேமிப்பு,ଆକାଶବାଣୀ ସଂରକ୍ଷଣ |
சுருக்கம்,ଆକ୍ରୋନିମ୍ |
செயல்,କାର୍ଯ୍ୟ
செயல் சுழற்சி,କ୍ରିୟା ଚକ୍ର
செயல் வரி,କ୍ରିୟା ରେଖା
செயல் செய்தி,କ୍ରିୟା ବାର୍ତ୍ତା
செயல் விவரக்குறிப்பு,କାର୍ଯ୍ୟ ନିର୍ଦ୍ଦିଷ୍ଟକରଣ |
செயல்படுத்தல்,ସକ୍ରିୟକରଣ
செயலில்,ସକ୍ରିୟ
செயலில் உள்ள கோப்பு,ସକ୍ରିୟ ଫାଇଲ
செயலில் வரி,ସକ୍ରିୟ ରେଖା
செயலில் இணைப்பு,ସକ୍ରିୟ ଲିଙ୍କ୍ |
செயலில் உள்ள முதன்மை கோப்பு,ସକ୍ରିୟ ମାଷ୍ଟର ଫାଇଲ |
செயலில் உள்ள முதன்மை உருப்படி,ସକ୍ରିୟ ମାଷ୍ଟର ଆଇଟମ୍ |
செயலில் உள்ள செயற்கைக்கோள்,ସକ୍ରିୟ ଉପଗ୍ରହ |
செயலில் நிலையம்,ସକ୍ରିୟ ଷ୍ଟେସନ
செயலில் சேமிப்பு,ସକ୍ରିୟ ସଂରକ୍ଷଣ
செயல்பாடு,କାର୍ଯ୍ୟକଳାପ
செயல்பாட்டு நிலை,କାର୍ଯ୍ୟକଳାପ ସ୍ତର
செயல்பாடு ஏற்றுதல்,କାର୍ଯ୍ୟକଳାପ ଲୋଡିଂ
செயல்பாட்டு விகிதம்,କାର୍ଯ୍ୟକଳାପ ଅନୁପାତ
உண்மையான முகவரி (= முழுமையான முகவரி),ପ୍ରକୃତ ଠିକଣା (= ସଂପୂର୍ଣ୍ଣ ଠିକଣା)
உண்மையான குறியீடு (= முழுமையான குறியீடு),ପ୍ରକୃତ କୋଡ୍ (= ସଂପୂର୍ଣ୍ଣ କୋଡ୍)
உண்மையான தரவு பரிமாற்ற வீதம்,ପ୍ରକୃତ ଡାଟା ସ୍ଥାନାନ୍ତର ହାର |
உண்மையான தசம புள்ளி,ପ୍ରକୃତ ଦଶମିକ ବିନ୍ଦୁ |
உண்மையான வழிமுறை (= பயனுள்ள அறிவுறுத்தல்),ପ୍ରକୃତ ନିର୍ଦ୍ଦେଶ (= ପ୍ରଭାବଶାଳୀ ନିର୍ଦ୍ଦେଶ)
உண்மையான விசை,ପ୍ରକୃତ ଚାବି |
உண்மையான நேரம்,ପ୍ରକୃତ ସମୟ
உண்மையான வேலை நேரம்,ପ୍ରକୃତ କାର୍ଯ୍ୟ ସମୟ
செயல்பாட்டு சமிக்ஞை,କାର୍ଯ୍ୟକ୍ଷମ ସଙ୍କେତ
தகவமைப்பு,ଅନୁକେତ
பின்னல்,ଆଡାପ୍ଟର
தகவமைப்பு சேனல் ஒதுக்கீடு,ଆଡାପ୍ଟିଭ୍ ଚ୍ୟାନେଲ୍ ଆବଣ୍ଟନ |
தகவமைப்பு ஒருங்கிணைப்பு,ଆଡାପ୍ଟିଭ୍ ଇଣ୍ଟିଗ୍ରେସନ୍ |
தகவமைப்பு குறுக்குவெட்டு சமநிலை,ଆଡାପ୍ଟିଭ୍ ଟ୍ରାନ୍ସଭର୍ସାଲ୍ ସମାନତା |
நுழைவு சேர்க்கப்பட்டது,ପ୍ରବେଶ ଯୋଗ କରାଯାଇଛି |
கூடுதல்,ଯୋଡି
அடி,ଆଡର୍
சேர்க்கை துணைப்பிரிவு,ଆଡର୍ ସବଟ୍ରାକ୍ଟର |
கோப்பைச் சேர்க்கவும்,ଫାଇଲ୍ ଯୋଡନ୍ତୁ
கூடுதல் எழுத்து (= சிறப்பு எழுத்து),ଅତିରିକ୍ତ ଅକ୍ଷର (= ବିଶେଷ ଅକ୍ଷର)
கூடுதலாக ரெக்கார்டர்,ଯୋଗ ରେକର୍ଡ |
கூடுதலாக அட்டவணை,ଯୋଗ ଉପକରଣ
சேர்க்கை பண்புக்கூறு,ଯୋଗୀ ଗୁଣ
பயன்முறையைச் சேர்க்கவும்,ମୋଡ୍ ଯୋଡନ୍ତୁ
செயல்பாட்டைச் சேர்க்கவும்,ଅପରେସନ୍ ଯୋଡନ୍ତୁ |
முகவரி,ଠିକଣା
முகவரி அளவீடு,ଠିକଣା ମାପ ମାପ |
முகவரியிடக்கூடிய கிடைமட்ட நிலை,ଠିକଣା ଯୋଗ୍ୟ ଭୂସମାନ୍ତର ସ୍ଥିତି |
முகவரிக்குரிய புள்ளி,ଠିକଣା ଯୋଗ୍ୟ ବିନ୍ଦୁ |
முகவரி செய்யக்கூடிய நிலை,ଠିକଣା ଯୋଗ୍ୟ ଅବସ୍ଥାନ |
முகவரிக்குரிய பதிவு,ଠିକଣା ଯୋଗ୍ୟ ରେଜିଷ୍ଟର |
முகவரியிடக்கூடிய சேமிப்பு,ଠିକଣା ଯୋଗ୍ୟ ଷ୍ଟୋରେଜ
முகவரியிடக்கூடிய செங்குத்து நிலை,ଠିକଣା ଭୂଲମ୍ବ ସ୍ଥିତି |
முகவரி பஸ்,ଠିକଣା ବସ୍
முகவரி குறியீடு,ଠିକଣା କୋଡ୍
முகவரி ஒப்பீட்டாளர்,ଠିକଣା ତୁଳସୀତି
முகவரி கணக்கீடு,ଠିକଣା ଗଣନା
முகவரி மாறிலி,ସ୍ଥିର ଠିକଣା
முகவரி மாற்றம்,ଠିକଣା କନଭର୍ସନ୍ |
முகவரி தரவு,ଠିକଣା ତଥ୍ୟ
உரையாற்றப்பட்ட நினைவகம்,ଠିକଣା ମେମୋରୀ |
முகவரி பயனுள்ளதாக இருக்கும்,ଠିକଣା ପ୍ରଭାବଶାଳୀ |
முகவரி புலம்,ଠିକଣା କ୍ଷେତ୍ର
முகவரி வடிவம்,ଠିକଣା ଫର୍ମାଟ୍
முகவரி இலவச நிரல்,ଠିକଣା ମାଗଣା ପ୍ରୋଗ୍ରାମ୍ |
முகவரி,ଠିକଣା
"முகவரி
 எழுத்து","ଠିକଣା
 ବର୍ଣ୍ଣ"
குறுக்கீடு,ବାଧା ଠିକଣା
முகவரி லூப்,ଲୁପ୍ ଠିକଣା
மெய்நிகர் நினைவகத்தை உரையாற்றுதல்,ଭର୍ଚୁଆଲ୍ ମେମୋରୀ ଠିକଣା
முகவரி ஒன்றோடொன்று,ଠିକଣା ଅନ୍ତରାପଳୀ
முகவரி இல்லாத அறிவுறுத்தல் வடிவம்,ଠିକଣାହୀନ ନିର୍ଦ୍ଦେଶ ଫର୍ମାଟ୍ |
முகவரி வரி,ଠିକଣା ରେଖା
முகவரி மேப்பிங்,ଠିକଣା ମ୍ୟାପିଙ୍ଗ
முகவரி குறி,ଠିକଣା ଚିହ୍ନ
முகவரி மாற்றம்,ଠିକଣା ପରିବର୍ତ୍ତନ
முகவரி பகுதி,ଠିକଣା ଅଂଶ
முகவரி சுட்டிக்காட்டி,ଠିକଣା ସୂଚକ
முகவரி பதிவு,ଠିକଣା ରେଜିଷ୍ଟର |
முகவரி சமிக்ஞை,ଠିକଣା ସଙ୍କେତ
முகவரி அளவு,ଠିକଣା ଆକାର
முகவரி இடம்,ଠିକଣା ସ୍ଥାନ
முகவரி விண்வெளி அடையாளங்காட்டி,ଠିକଣା ସ୍ପେସ୍ ପରିଚାୟକ |
முகவரி நிறுத்தம்,ଠିକଣା ଷ୍ଟପ୍
முகவரி சுவடு,ଠିକଣା ଚିହ୍ନ
முகவரி பாடல்,ଠିକଣା ଟ୍ରାକ୍
முகவரி மொழிபெயர்ப்பு,ଠିକଣା ଅନୁବାଦ
முகவரி மொழிபெயர்ப்பாளர்,ଠିକଣା ଅନୁବାଦକ
கூடுதல் துணை நேரம்,ଯୋଡନ୍ତୁ-ସବଟ୍ରାକ୍ଟ ଟାଇମ୍ |
நேரம் சேர்க்கவும்,ସମୟ ଯୋଡନ୍ତୁ |
அடுத்துள்ள,ସଂଲଗ୍ନ
அருகிலுள்ள அமைப்பு,ସଂଲଗ୍ନ structure ାଞ୍ଚା |
அருகிலுள்ள சேனல்,ସଂଲଗ୍ନ ଚ୍ୟାନେଲ |
அருகிலுள்ள டொமைன்,ସଂଲଗ୍ନ ଡୋମେନ୍ |
அருகிலுள்ள மேட்ரிக்ஸ்,ସଂଲଗ୍ନ ମ୍ୟାଟ୍ରିକ୍ସ |
அருகிலுள்ள முனை,ସଂଲଗ୍ନ ନୋଡ୍ |
அருகிலுள்ள சப்ரியா,ସଂଲଗ୍ନ ସୁବିରା |
தொடை (அமைப்பு),Adjone (ସିଷ୍ଟମ୍)
சரிசெய்யவும்,ଆଡଜଷ୍ଟ କରନ୍ତୁ |
சரிசெய்யக்கூடிய அளவு,ନିୟନ୍ତ୍ରିତ ପରିମାଣ
உரை பயன்முறையை சரிசெய்யவும்,ପାଠ୍ୟ ମୋଡ୍ ଆଡଜଷ୍ଟ କରନ୍ତୁ |
நிர்வாக தரவு செயலாக்கம்,ପ୍ରଶାସନିକ ତଥ୍ୟ ପ୍ରକ୍ରିୟାକରଣ |
நிர்வாக செயல்பாடு,ପ୍ରଶାସନିକ କାର୍ଯ୍ୟ
நிர்வாக ஆபரேட்டர்,ପ୍ରଶାସନିକ ଅପରେଟର |
நிர்வாக ஆபரேட்டர் நிலையம்,ପ୍ରଶାସନିକ ଅପରେଟର୍ ଷ୍ଟେସନ୍ |
நிர்வாக ஆதரவு அமைப்பு,ପ୍ରଶାସନିକ ସମର୍ଥନ ସିଷ୍ଟମ୍ |
மேம்பட்ட தொடர்பு சேவை,ଉନ୍ନତ ଯୋଗାଯୋଗ ସେବା |
மேம்பட்ட தகவல் அமைப்பு,ଉନ୍ନତ ସୂଚନା ସିଷ୍ଟମ୍ |
மேம்பட்ட ஆப்டிகல் கேரக்டர் ரீடர்,ଅପ୍ଟିକାଲ୍ ବର୍ଣ୍ଣ ରିଡର୍ |
மேம்பட்ட அறிவியல் கணினி,ଉନ୍ନତ ବ scientific ଜ୍ଞାନିକ କମ୍ପ୍ୟୁଟର |
வான்வழி,ବାୟୁ
மதிப்பீட்டு,ସମୁଦାୟ
மொத்த வெளிப்பாடு,ସମୁଦାୟ ଅଭିବ୍ୟକ୍ତି |
இலக்கு வட்டம்,ଲକ୍ଷ୍ୟ ସର୍କଲ୍ |
இலக்கு புலம் (= இலக்கு சின்னம்),ଲକ୍ଷ୍ୟ କ୍ଷେତ୍ର (= ଲକ୍ଷ୍ୟ କରୁଥିବା ପ୍ରତୀକ)
நோக்கம் சின்னம்,ଲକ୍ଷ୍ୟମୂଳକ ପ୍ରତୀକ
வான்வழி கணினி அமைப்பு,ଏୟାରବୋର୍ନ କମ୍ପ୍ୟୁଟର ସିଷ୍ଟମ୍ |
இயற்கணித ஈஜென்வெல்யூ சிக்கல்,ବୀଜେବ୍ରିକ୍ ଇଗେନ୍ଭିଲ୍ ସମସ୍ୟା ସମସ୍ୟା |
"இயற்கணித
 ஒருங்கிணைப்பு","ବ el ୍ଜନିକ୍ |
 ଏକୀକରଣ"
இயற்கணித மொழி,ବଗିଳିନିକ୍ ଭାଷା |
இயற்கணித கையாளுதல்,ବୀଜେବ୍ରିକ୍ ମନିପୁଲେସନ୍ |
இயற்கணித கையாளுதல் மொழி,Algebric ମନିପୁଲେସନ୍ ଭାଷା |
இயற்கணித சார்ந்த மொழி,ବୀଜେବ୍ରିକ୍ ଆଧାରିତ ଭାଷା |
இயற்கணித மாற்றம்,ଆଲଜେବ୍ରିକ୍ ସିଫ୍ଟ |
இயற்கணித அடையாளம் மாநாடு,ଆଲଜେବ୍ରିକ୍ ଚିହ୍ନ ସମ୍ମିଳନୀ |
அல்கோல்,ଆଲଗୋଲ୍ |
அல்கோல் அம்சம்,ଆଲଗୋଲ ବ feature ଶିଷ୍ଟ୍ୟ |
அல்கோல் நிரலாக்க,Algol ପ୍ରୋଗ୍ରାମିଂ |
வழிமுறை,ଆଲଗୋରିଦମ
அல்காரிதம் துணை மொழி,ଆଲଗୋରିଦମ ଆସୋସିଟିଭ୍ ଭାଷା |
வழிமுறை வகைப்பாடு,ଆଲଗୋରିଦମ ବର୍ଗୀକରଣ |
வழிமுறை சிக்கலானது,ଆଲଗୋରିଦମ ଜଟିଳତା |
அல்காரிதம் கணக்கீடு,ଆଲଗୋରିଦମ ଗଣନା |
வழிமுறை பகுப்பாய்வு,ଆଲଗୋରିଥେମିକ୍ ବିଶ୍ଳେଷଣ |
வழிமுறை அணுகுமுறை,ଆଲଗୋରିଥମିକ୍ ଆଭିମୁଖ୍ୟ |
வழிமுறை மொழி,ଆଲଗୋରିଥମିକ୍ ଭାଷା |
வழிமுறை வழக்கம்,ଆଲଗୋରିଥେମିକ୍ ରୁଟିନ୍ |
வழிமுறை கோட்பாடு,ଆଲଗୋରିଥେମିକ୍ ସିଦ୍ଧାନ୍ତ |
மாற்றுப்பெயர்,ଛଦ୍ମନାମ
மாற்றுப்பெயர்ச்சி,ଛଦ୍ମନାମ
மாற்றுப்பெயர் பெயர் (= மாற்று பெயர்),ଛଦ୍ମନାମ ନାମ (= ​​ବିକଳ୍ପ ନାମ)
சீரமைப்பு,ପରିଚାଳିତ
ஒதுக்கவும்,ବଣ୍ଟନ କରନ୍ତୁ |
ஒதுக்கீடு அமைப்பு,ଆବଣ୍ଟନ ସଂରଚନା |
அனைத்து நோக்கம் கொண்ட கணினி,ସମସ୍ତ ଉଦ୍ଦେଶ୍ୟମୂଳକ କମ୍ପ୍ୟୁଟର |
அகரவரிசை எழுத்து,ବର୍ଣ୍ଣମାଳା ବର୍ଣ୍ଣ
அகரவரிசை எழுத்து தொகுப்பு,ବର୍ଣ୍ଣମାଳା ବର୍ଣ୍ଣ ସେଟ୍ |
அகரவரிசை எழுத்து துணைக்குழு,ବର୍ଣ୍ଣମାଳା ଅକ୍ଷର ସବ୍ |
அகரவரிசை குறியீடு,ବର୍ଣ୍ଣମାଳା କୋଡ୍
அகரவரிசை மாற்றம்,ବର୍ଣ୍ଣମାଳା ଶିଫ୍ଟ |
அகரவரிசை சரம்,ବର୍ଣ୍ଣମାଳା ଷ୍ଟ୍ରିଙ୍ଗ୍ |
அகரவரிசை சொல்,ବର୍ଣ୍ଣମାଳା ଶବ୍ଦ
அகரவரிசை,ବର୍ଣ୍ଣମାଳା
ஆல்பாஜோமெட்ரிக்ஸ்,ଆଲଫେମେଟ୍ରିକ୍ସ
ஆல்பமெரிக்,ଆଲଫାମ୍
ஆல்பமோசைக்,ଆଲଫାମାସିକ୍ |
எண்ணெழுத்து,ବର୍ଣ୍ଣମାଳା
எண்ணெழுத்து விசைப்பலகை சாதனம்,ବର୍ଣ୍ଣମାଳା କୀବୋର୍ଡ୍ ଉପକରଣ |
எண்ணெழுத்து எழுத்து தொகுப்பு,ବର୍ଣ୍ଣମାଳା ଅକ୍ଷର ସେଟ୍ |
எண்ணெழுத்து குறியீடு,ବର୍ଣ୍ଣମାଳା କୋଡ୍
எண்ணெழுத்து குறியீட்டு எழுத்து தொகுப்பு,ବର୍ଣ୍ଣମାଳା କୋଡେଡ୍ ଅକ୍ଷର ସେଟ୍ |
எண்ணெழுத்து தரவு,ବର୍ଣ୍ଣମାଳା ତଥ୍ୟ |
எண்ணெழுத்து காட்சி சாதனம்,ବର୍ଣ୍ଣମାଳା ପ୍ରଦର୍ଶନ ଉପକରଣ |
எண்ணெழுத்து திருத்தப்பட்ட எழுத்து,ବର୍ଣ୍ଣମାଳା ସମ୍ପାଦିତ ବର୍ଣ୍ଣ |
எண்ணெழுத்து புலம்,ବର୍ଣ୍ଣମାଳା କ୍ଷେତ୍ର
எண்ணெழுத்து அறிவுறுத்தல்,ବର୍ଣ୍ଣମାଳା ନିର୍ଦ୍ଦେଶ
எண்ணெழுத்து விசைப்பலகை,ବର୍ଣ୍ଣମାଳା କୀବୋର୍ଡ୍ |
எண்ணெழுத்து வகை,ବର୍ଣ୍ଣମାଳା ପ୍ରକାର |
எண்ணெழுத்து சேமிப்பு,ବର୍ଣ୍ଣମାଳା ଷ୍ଟୋରେଜ୍ |
மாற்றக்கூடிய நினைவகம்,ବିକୃତ ସ୍ମୃତି
மாற்ற சுவிட்ச்,ପରିବର୍ତ୍ତନ ସୁଇଚ୍ |
மாற்றுதல்,ପରିବର୍ତ୍ତନ
மாற்று பயன்முறை,ପରିବର୍ତ୍ତନ ମୋଡ୍
மாற்று மீட்பு,ଅନ୍ୟ ପୁନରୁଦ୍ଧାର
மாற்று பாதை,ବିକଳ୍ପ ମାର୍ଗ
மாற்று ரூட்டிங்,ଅନ୍ୟ ଧାତାଳ
மாற்று பாதை,ବିକଳ୍ପ ଟ୍ରାକ୍
மாற்று (= அல்லது செயல்பாடு),ବିକଳ୍ପ (= କିମ୍ବା ଅପରେସନ୍)
மாற்று பண்புக்கூறு,ବିକଳ୍ପ ଗୁଣ
மாற்று மறுப்பு (= இல்லை-மற்றும் செயல்பாடு),ବିକଳ୍ପ ଅସ୍ୱୀକାର (= ନୁହେଁ-ଏବଂ ଅପରେସନ୍)
தெளிவற்ற பிழை,ଅସ୍ପଷ୍ଟତା ତ୍ରୁଟି |
தெளிவற்ற குறிப்பு,ଅସ୍ପଷ୍ଟ ରେଫରେନ୍ସ |
அனலாக்ஸ்,ଆନାଗଲଗ୍ |
அனலாக் சேர்க்கை,ଆନାଗଲ୍ ଆଡର୍ |
அனலாக் சேனல்,ଆନାଗଲ୍ ଚ୍ୟାନେଲ୍ |
அனலாக் கணினி,ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |
அனலாக் மாற்றி,ଆନାଗଲ୍ କନଭର୍ଟର |
அனலாக் தரவு,ଆନାଗଲ୍ ଡାଟା |
அனலாக் டிவைடர்,ଆନାଗଲ୍ ଡିଭାଇଡର୍ |
அனலாக் வசதி முனையம்,ଆନାଗଲ୍ ସୁବିଧା ଟର୍ମିନାଲ୍ |
"அனலாக் செயல்பாடு
 ஜெனரேட்டர்","ଆନାଗଲ୍ ଫଙ୍କସନ୍ |
 ଜେନେରେଟର"
அனலாக் ஒருங்கிணைப்பு,ଆନାଗଲ୍ ଏକୀକରଣ |
அனலாக் பெருக்கி,ଆନାଗଲ୍ ମଲ୍ଟିୱାର୍ଡ |
அனலாக் நிரலாக்க,ଆନାଗଲ୍ ପ୍ରୋଗ୍ରାମିଂ |
அனலாக் அளவிடுதல்,ଆନାଗଲ୍ ସ୍କେଲିଂ |
அனலாக் சிக்னல்,ଆନାଗଲ୍ ସିଗନାଲ୍ |
அனலாக் உருவகப்படுத்துதல்,ଆନାଗଲ୍ ସିମୁଲେସନ୍
அனலாக் சுவிட்ச்,ଆନାଗଲ୍ ସୁଇଚ୍ |
அனலாக் அமைப்பு,ଆନାଗୋଲଗ୍ ସିଷ୍ଟମ୍ |
"டிஜிட்டலுக்கு அனலாக்
 மாற்றி","ଅନୁରୂପ କରିବାକୁ ଅନୁରୂପ |
 Convercer"
"டிஜிட்டலுக்கு அனலாக்
 குறியாக்கி","ଅନୁରୂପ କରିବାକୁ ଅନୁରୂପ |
 ଏନକୋଡର୍ |"
அனலாக் பரிமாற்றம்,ଆନାଗଲ୍ ଟ୍ରାନ୍ସମିସନ୍ |
அனலாக் வகை,ଆନାଗଲ୍ ପ୍ରକାର |
பகுப்பாய்வு தொகுதி,ବିଶ୍ଳେଷଣ କ୍ଷେତ୍ର
பகுப்பாய்வு முறை,ବିଶ୍ଳେଷଣ ମୋଡ୍ |
பகுப்பாய்வு இயந்திரம்,ଆନାଲିଟିକାଲ୍ ଇଞ୍ଜିନ୍ |
மூதாதையர் பணி,ପ ancest ତୃକ କାର୍ଯ୍ୟ |
துணை உபகரணங்கள்,ଆନୁଷଙ୍ଗିକ ଉପକରଣ |
மற்றும்,ଏବଂ
மற்றும் சுற்று,ଏବଂ ସର୍କିଟ |
மற்றும் உறுப்பு,ଏବଂ ଉପାଦାନ |
மற்றும் வாயில்,ଏବଂ ଫାଟକ
மற்றும் மறைத்தல்,ଏବଂ ମାସ୍କିଂ |
மற்றும் செயல்பாடு அல்ல (= விலக்கு,ଏବଂ ଅପରେସନ୍ ନୁହେଁ (= ବହିଷ୍କାର |
மற்றும் செயல்பாடு,ଏବଂ ଅପରେସନ୍ |
இணைப்பு நினைவகம்,ଆନେକ୍ସ ମେମୋରୀ |
சிறுகுறி,ଟିପ୍ପଣୀ
அறிவிப்பாளர்,ଆନୁଷରାତ
பதில்,ଉତ୍ତର ଦିଅ
பதில் தாமதம்,ବିଳମ୍ବର ଉତ୍ତର ଦିଅ |
பதிலளிக்கும் நேரம்,ସମୟର ଉତ୍ତର ଦେବା
பதில் விளக்கு,ଉତ୍ତର ପ୍ରଦୀପ
பதில் பட்டியல்,ଉତ୍ତର ତାଲିକା
பதில்,କେବଳ ଉତ୍ତର ଦିଅ
எதிர்பார்ப்பு பயன்முறை,ପ୍ରତୀକ୍ଷା ମୋଡ୍ |
எதிர்பார்ப்பு இடையக,ଆଣ୍ଟିସାଇପେଟୋରୀ ବଫର୍ |
எதிர்பார்ப்பு கேரி,ଆଣ୍ଟିସାଇପେଟୋରୀ ବହନ
எதிர்பார்ப்பு பேஜிங்,ଆଣ୍ଟିସାଇପେଟୋରୀ ପେଜିଂ |
எதிர்விளைவு செயல்பாடு,ଆଣ୍ଟିକୋସିସିସିସିସିସିସିଡିସନ୍ ଅପରେସନ୍ |
எதிர்விளைவு உறுப்பு,ଆଣ୍ଟିକିନସିଡିସିଡିସେଡିସିଡି ଉପାଦାନ |
அபீரியோடிக் ஆண்டெனா,Ampegoiedent ଆଣ୍ଟେନା |
துளை அட்டை,ଆପେଚର କାର୍ଡ |
துளை குறியீடு,ଆପେଚର କୋଡ୍ |
துளை நேரம்,ଆପେଚର ସମୟ |
இணைப்பு,ଅନୁକ୍ରମଣିକା
இணைப்பு பணி,ଅନୁକ୍ରମଣିକା କାର୍ଯ୍ୟ |
பயன்பாட்டு உருவாக்குநர்,ପ୍ରୟୋଗ ବିକାଶକାରୀ |
பயன்பாட்டு அடுக்கு,ପ୍ରୟୋଗ ସ୍ତର
பயன்பாட்டு சார்ந்த மொழி,ପ୍ରୟୋଗୀ ଆଧାରିତ ଭାଷା |
