Gujarati,Tamil
સંપૂર્ણ એમ્પીયર,முழுமையான ஆம்பியர்
સંપૂર્ણ ઉત્કલન બિંદુ,முழுமையான கொதிநிலை
સંપૂર્ણ તેજ,முழுமையான ஒளிர்வு
સંપૂર્ણ ક્ષમતા,முழுமையான கொள்ளளவு
ચોક્કસ ઊંચાઈ,முழுமையான உயரம்
સંપૂર્ણ રંગદ્રવ્ય,முழுமையான நிறமி
"સંપૂર્ણ રૂપરેખાંકન, અસ્પષ્ટ રૂપરેખાંકન","முழுமையான கட்டமைப்பு, தெளிவற்ற கட்டமைப்பு"
સંપૂર્ણ કૂલમ્બ,முழுமையான கூலம்
સંપૂર્ણ અંધકાર,முழு இருள்
સંપૂર્ણ સમયપત્રક,முழுமையான திட்டமிடல்
સંપૂર્ણ ઘનતા*,முழுமையான அடர்த்தி*
સંપૂર્ણ ડ્રેનેજ,முழுமையான வடிகால்
સંપૂર્ણ EMU (ઇલેક્ટ્રોમેગ્નેટિક એકમ),முழுமையான EMU (மின்காந்த அலகு)
સંપૂર્ણ ESU (સ્થિર એકમ),முழுமையான ESU (நிலையான அலகு)
સંપૂર્ણ કાર્યક્ષમતા,முழுமையான செயல்திறன்
સંપૂર્ણ ઇલેક્ટ્રોમીટર,முழுமையான எலக்ட்ரோமீட்டர்
સંપૂર્ણ આવર્તન સંપૂર્ણ આવર્તન,முழுமையான அதிர்வெண் முழுமையான அதிர்வெண்
સંપૂર્ણ ભેજ,முழுமையான ஈரப்பதம்
સંપૂર્ણ ઘટના,முழுமையான நிகழ்வு
સંપૂર્ણ રીફ્રેક્ટિવ ઇન્ડેક્સ,முழுமையான ஒளிவிலகல் குறியீடு
સંપૂર્ણ અસ્થિરતા,முழுமையான உறுதியற்ற தன்மை
સંપૂર્ણ અસ્થિરતા,முழுமையான உறுதியற்ற தன்மை
"સંપૂર્ણ તીવ્રતા, સંપૂર્ણ તીવ્રતા","முழுமையான தீவிரம், முழுமையான தீவிரம்"
અસ્થેનિયાની સંપૂર્ણ મર્યાદા,ஆஸ்தீனியாவின் முழுமையான வரம்பு
સંપૂર્ણ રોશની,முழுமையான வெளிச்சம் சன்னல்
સંપૂર્ણ પ્રકાશ વળાંક,முழுமையான ஒளி வளைவு
સંપૂર્ણ તીવ્રતા,முழுமையான அளவு
સંપૂર્ણ બેરોમીટર,முழுமையான காற்றழுத்தமானி
સર્વોચ્ચ સર્વોચ્ચ,உச்ச உச்ச
સંપૂર્ણ મર્યાદા,முழுமையான தீவிர
એકદમ નીચું,முற்றிலும் குறைந்த
સંપૂર્ણ વેગ,முழுமையான வேகம்
સંપૂર્ણ ઝડપ,முழுமையான வேகம்
સંપૂર્ણ સંગીત,முழுமையான இசை
સંપૂર્ણ અવલોકન,முழுமையான கவனிப்பு
સંપૂર્ણ ઓહ્મ,முழுமையான ஓம்
સંપૂર્ણ અભિગમ,முழுமையான நோக்குநிலை
સંપૂર્ણ ઇલેક્ટ્રોનેગેટિવિટી,முழுமையான எலக்ட்ரோநெக்டிவிட்டி
સંપૂર્ણ ગુરુત્વાકર્ષણ,முழுமையான ஈர்ப்பு
સંપૂર્ણ દબાણ,முழுமையான அழுத்தம்
સંપૂર્ણ મિલકત,முழுமையான சொத்து
સંપૂર્ણ સ્કેલર,முழுமையான அளவிடல்
તાપમાનનું સંપૂર્ણ માપ*,வெப்பநிலையின் இறுதி அளவு*
"સંપૂર્ણ સુમેળ, સંપૂર્ણ સુમેળ","absolute synchrony, absolute synchrony"
સંપૂર્ણ તણાવ,முழுமையான மன அழுத்தம்
સંપૂર્ણ સમપ્રમાણતા,முழுமையான சமச்சீர்
સંપૂર્ણ ગતિ શરીર,முழுமையான இயக்க உடல்
સંપૂર્ણ એકમ સિસ્ટમ,முழுமையான அலகு அமைப்பு
સંપૂર્ણ તાપમાન,முழுமையான வெப்பநிலை
ચોક્કસ સમય,முழுமையான நேரம்
સંપૂર્ણ એકમો,முழுமையான அலகுகள்
સંપૂર્ણ મૂલ્ય,துல்லியமான மதிப்பு
પૂર્ણાંક કેલ્ક્યુલેટર,முழு எண் கால்குலேட்டர்
સંપૂર્ણ વેગ,முழுமையான வேகம்
સંપૂર્ણ સ્નિગ્ધતા,முழுமையான பாகுத்தன்மை
સંપૂર્ણ વજન,முழுமையான எடை
સંપૂર્ણ શૂન્ય*,முழுமையான பூஜ்ஜியம்*
શૂન્યનો સંપૂર્ણ વિભાજક,பூஜ்ஜியத்தின் முழுமையான வகுப்பான்
શોષી લેવું,உறிஞ்சி
શોષણ સૂચકાંક*,உறிஞ்சுதல் குறியீடு*
શોષિત ઊર્જા,உறிஞ்சப்பட்ட ஆற்றல்
"શોષક, શોષક","உறிஞ்சும், உறிஞ்சும்"
શોષક માધ્યમ*,உறிஞ்சும் ஊடகம்*
શોષણ ક્ષમતા,உறிஞ்சும் திறன்
શોષણ,உறிஞ்சுதல்
શોષણમાપક*,உறிஞ்சும் அளவி*
શોષણમેટ્રી*,உறிஞ்சும் அளவீடு*
શોષણ,உறிஞ்சுதல்
શોષણ - બેન્ડ*,உறிஞ்சுதல் - இசைக்குழு*
શોષણ સર્કિટ,உறிஞ்சுதல் சுற்று
શોષણ ગુણાંક,உறிஞ்சுதல் குணகம்
શોષણ કૉલમ,உறிஞ்சுதல் நெடுவரிசை
સતત શોષણ,உறிஞ்சுதல் மாறிலி
શોષણ સાતત્ય,உறிஞ்சுதல் தொடர்ச்சி
શોષણ ઝોન,உறிஞ்சுதல் மண்டலம்
શોષણ વર્તમાન,உறிஞ்சுதல் மின்னோட்டம்
શોષણ વક્ર*,உறிஞ்சுதல் வளைவு*
શોષણ અસ્થિભંગ,உறிஞ்சுதல் முறிவு
શોષણ કોર,உறிஞ்சுதல் மைய
શોષણ પરિબળ,உறிஞ்சுதல் காரணி
શોષણ ફિલ્ટર,உறிஞ்சுதல் வடிகட்டி
શોષણ જ્યોત ફોટોમેટ્રી*,உறிஞ்சுதல் ஃபிளேம் ஃபோட்டோமெட்ரி*
શોષણ હાઇગ્રોમીટર,உறிஞ்சும் ஹைக்ரோமீட்டர்
શોષણ ઘાતાંક,உறிஞ்சுதல் அடுக்கு
શોષણ સીમાંત,உறிஞ்சுதல் விளிம்பு
શોષણ રેખા,உறிஞ்சுதல் வரி
શોષણ નુકશાન,உறிஞ்சுதல் இழப்பு
શોષણ મોડ્યુલેશન,உறிஞ்சுதல் பண்பேற்றம்
પ્રકાશ શોષણ,ஒளி உறிஞ்சுதல்
રેડિયેશન ઊર્જાનું શોષણ,கதிர்வீச்சு ஆற்றலை உறிஞ்சுதல்
શોષણની ટોચ,உறிஞ்சுதல் உச்சம்
શોષણ ફોટોમેટ્રી,உறிஞ்சுதல் ஒளி அளவீடு
શોષણ ગુણોત્તર,உறிஞ்சுதல் விகிதம்
શોષણ શ્રેણી*,உறிஞ்சுதல் வரம்பு*
શોષણ સ્પેક્ટ્રમ ફોટોમેટ્રી*,உறிஞ்சும் நிறமாலை ஒளி அளவீடு*
શોષણ સ્પેક્ટ્રમ*,உறிஞ்சுதல் ஸ்பெக்ட்ரம்*
"શોષણ નળી, શોષણ નળી","உறிஞ்சும் குழாய், உறிஞ்சும் குழாய்"
શોષણ હાઇગ્રોમીટર,உறிஞ்சும் ஹைக்ரோமீட்டர்
શોષક*,உறிஞ்சக்கூடிய*
શોષક બાષ્પીભવક,உறிஞ்சும் ஆவியாக்கி
શોષણ કાયદો*,உறிஞ்சுதல் சட்டம்*
શોષણ માધ્યમ,உறிஞ்சுதல் ஊடகம்
"શોષક ક્ષમતા, શોષણ*","உறிஞ்சும் திறன், உறிஞ்சுதல்*"
શોષણ*,உறிஞ்சுதல்*
સ્ટુડિયો સરંજામ,ஸ்டூடியோ அலங்காரம்
ગુણાકાર ગુણોત્તર,பன்மடங்கு விகிதம்
અવગણના,கைவிடு
વિશે,பற்றி
વેગ આપો,முடுக்கி
પ્રવેગક-સ્ટોપ અંતર,முடுக்கம்-நிறுத்த தூரம்
ઉતાવળ કરી,விரைந்தார்
ઝડપી સમય અસર પરીક્ષણ,விரைவான நேர விளைவு சோதனை
ઝડપી પ્રવાહ,விரைவான ஓட்டம்
ઝડપી ગતિ,விரைவான வேகம்
ઝડપી શરીર,விரைவான உடல்
પ્રવેગક તોલનાર,முடுக்கி எடை
પ્રવેગક ઇલેક્ટ્રોડ*,முடுக்கி மின்முனை*
પ્રવેગક સમય*,முடுக்கி நேரம்*
પ્રવેગક તબક્કો,முடுக்கி கட்டம்
પ્રવેગક દર,முடுக்கி விகிதம்
એક્સિલરેટર વોલ્ટેજ*,முடுக்கி மின்னழுத்தம்*
પ્રવેગ,முடுக்கம்
ત્વરિત કમ્બશન,துரிதப்படுத்தப்பட்ட எரிப்பு
પ્રવેગક ગુણાંક,முடுக்கம் குணகம்
પ્રવેગક ઘટક,முடுக்கம் கூறு
ગુરુત્વાકર્ષણને કારણે પ્રવેગક,புவியீர்ப்பு காரணமாக முடுக்கம்
પ્રવેગક પરિબળ,முடுக்கம் காரணி
ઝડપી ચાર્જ,துரிதப்படுத்தப்பட்ட கட்டணம்
ગુરુત્વાકર્ષણ પ્રવેગક,ஈர்ப்பு முடுக்கம்
પ્રવેગક સંભવિત,முடுக்கம் சாத்தியம்
પ્રવેગક કાયદો,முடுக்கம் சட்டம்
પ્રવેગક પ્રક્રિયા,முடுக்கம் செயல்முறை
પ્રવેગક ક્ષેત્ર,முடுக்கம் மண்டலம்
પ્રવેગક પદ્ધતિ,முடுக்கம் முறை
"પ્રવેગ સહનશીલતા, પ્રવેગ સહનશીલતા","முடுக்கம் சகிப்புத்தன்மை, முடுக்கம் சகிப்புத்தன்மை"
પ્રવેગક વેક્ટર,முடுக்கம் திசையன்
પ્રવેગક-વોલ્ટેજ,முடுக்கம்-மின்னழுத்தம்
પ્રવેગક તરંગ,முடுக்கம் அலை
પ્રવેગક,முடுக்கி
"પ્રવેગક, પ્રવેગક*","முடுக்கி, முடுக்கி*"
પ્રવેગક સમીકરણ,முடுக்கி சமன்பாடு
એક્સિલરેટર*,முடுக்கி*
એક્સેલરોમીટર,முடுக்கமானி
એક્સેલરોમીટર મેચિંગ,முடுக்கமானி பொருத்தம்
prestresser,முன் அழுத்தம் கொடுப்பவர்
માન્ય અક્ષરો,சரியான எழுத்துக்கள்
સ્વીકૃતિ કોણ,ஏற்றுக்கொள்ளும் கோணம்
સ્વીકૃતિ સ્પષ્ટીકરણ,ஏற்றுக்கொள்ளும் விவரக்குறிப்பு
સ્વીકાર્ય પરીક્ષણ,ஏற்றுக்கொள்ளக்கூடிய சோதனை
"સ્વીકારનાર*, સ્વીકારનાર","ஏற்பவர்*, ஏற்பவர்"
રીસેપ્ટર અણુ,ஏற்பி அணு
રીસેપ્ટર બોન્ડ,ஏற்பி பிணைப்பு
રીસીવર સર્કિટ,பெறுதல் சுற்று
રીસેપ્ટર સ્તર,ஏற்பி நிலை
દાતા પરમાણુ,நன்கொடையாளர் மூலக்கூறு
રીસેપ્ટર મિલકત,ஏற்பி சொத்து
રીસેપ્ટર મિલકત સ્તર,ஏற்பி சொத்து நிலை
પ્રવેગક નળી,முடுக்கி குழாய்
"પ્રવેશ, રાહ, પ્રવેશ","அணுகல், காத்திருப்பு, அணுகல்"
ભુજ એક્સેસ,புஜை அணுகவும்
ઍક્સેસ સિસ્ટમ,அணுகல் அமைப்பு
ઍક્સેસ સમય,அணுகல் நேரம்
ઉપલ્બધતા,அணுகல்
"વધારાના, સહાયક, સહાયક (v, ), એસેસરીઝ","கூடுதல், துணை, துணை (v, ), துணைக்கருவிகள்"
વધારાના પ્રતિબંધો,கூடுதல் கட்டுப்பாடுகள்
સંયોગ,தற்செயல்
આકસ્મિક કરેક્શન,தற்செயலான திருத்தம்
આકસ્મિક બાયોજેનેસિસ,தற்செயலான உயிர் உருவாக்கம்
આકસ્મિક ડાયવર્ઝન,தற்செயலான திசைதிருப்பல்
મુલાકાતી ભૂલ,பார்வையாளர் பிழை
"અચાનક સ્ટોપ, એકાએક સ્ટોપ","திடீர் நிறுத்தம், திடீர் கவ்வி"
આકસ્મિક ટ્રાન્સમિશન,தற்செயலான பரிமாற்றம்
રેન્ડમ ભિન્નતા,சீரற்ற மாறுபாடு
ગોઠવણ,சரிசெய்தல்
સ્થિત,அமைந்துள்ளது
સંચિત ભૂલ,திரட்டப்பட்ட பிழை
"સંચય, સંચય","திரட்சி, குவிப்பு"
ઊર્જા સંગ્રહ,ஆற்றல் சேமிப்பு
સંચયક*,திரட்டி*
ચોકસાઈ,துல்லியம்
વાસ્તવિકતા,யதார்த்தம்
વાસ્તવિક સાધન અવલોકન,உண்மையான கருவி கவனிப்பு
ચોક્કસ શ્રેણી માર્કર,துல்லியமான வரம்பு குறிப்பான்
ચોકસાઇ સ્કેનીંગ,துல்லியமான ஸ்கேனிங்
પ્રેક્ટિસ,பயிற்சி
એક્સિલરેટર સેલ*,முடுக்கி செல்*
વર્ણહીન લેન્સ*,நிறமற்ற லென்ஸ்*
વર્ણહીન*,நிறமற்ற*
વર્ણહીન વિશ્લેષક,நிறமற்ற பகுப்பாய்வி
આવર્તન તટસ્થ એન્ટેના,அதிர்வெண் நடுநிலை ஆண்டெனா
વર્ણહીન આકાર,நிறமற்ற வடிவம்
વર્ણહીન ફ્રિન્જ,நிறமற்ற விளிம்பு
વર્ણહીન લેન્સ*,நிறமற்ற லென்ஸ்*
વર્ણહીન બિંદુ પાથ,நிறமற்ற புள்ளி பாதை
વર્ણહીન લેન્સ,நிறமற்ற லென்ஸ்
વર્ણહીન પ્રિઝમ,வண்ணப் பட்டகம்
વર્ણહીન ટેલિસ્કોપ,வண்ணமயமான தொலைநோக்கி
વર્ણહીનતા*,நிறமற்ற தன்மை*
વર્ણહીનકરણ*,நிறமாற்றம்*
વર્ણહીનતા*,நிறமற்ற தன்மை*
"સ્થિતિસ્થાપક, અપ્રતિરોધક, પ્રત્યાવર્તન","மீள், பயனற்ற, பயனற்ற"
"એકોર્ન નળી, બંજુ નળી","ஏகோர்ன் ஹோஸ், பாஞ்சு ஹோஸ்"
લઘુચિત્ર વાલ્વ,மினியேச்சர் வால்வு
ઇકોફોની,அகோஃபோனி
એકોસ્ટિક,ஒலியியல்
એકોસ્ટિક શોષકતા,ஒலி உறிஞ்சுதல்
એકોસ્ટિક એટેન્યુએશન ગુણાંક,ஒலியியல் குறைப்பு குணகம்
એકોસ્ટિક એટેન્યુએશન,ஒலிக் குறைப்பு
એકોસ્ટિક ચોર એલાર્મ,ஒலி திருடன் அலாரம்
એકોસ્ટિક ક્ષમતા,ஒலியியல் கொள்ளளவு
સુનાવણી કેન્દ્ર,கேட்கும் மையம்
એકોસ્ટિક સમજૂતી,ஒலியியல் விளக்கம்
એકોસ્ટિક કવર,ஒலி உறை
એકોસ્ટિક પ્રતિભાવ,ஒலி பதில்
એકોસ્ટિક ઘટક,ஒலியியல் கூறு
એકોસ્ટિક વાહકતા,ஒலி கடத்துத்திறன்
એકોસ્ટિક ભીનાશ,ஒலி தணித்தல்
એકોસ્ટિક વિક્ષેપ,ஒலி சிதறல்
સાઉન્ડ હેકર,ஒலி ஹேக்கர்
ધ્વનિ ઊર્જા*,ஒலி ஆற்றல்*
એકોસ્ટિક ઊર્જા સમીકરણ,ஒலி ஆற்றல் சமன்பாடு
એકોસ્ટિક સમીકરણ,ஒலி சமன்பாடு
એકોસ્ટિક પુનઃસ્થાપન,ஒலி மறுசீரமைப்பு
ક્લેડની આકાર,கிளாட்னி வடிவங்கள்
એકોસ્ટિક ફિલ્ટર,ஒலி வடிகட்டி
અવાજ જનરેટર,ஒலி ஜெனரேட்டர்
એકોસ્ટિક જાળી,ஒலி தட்டு
એકોસ્ટિક અવબાધ*,ஒலி மின்மறுப்பு*
એકોસ્ટિક જડતા,ஒலி மந்தநிலை
એકોસ્ટિક તીવ્રતા,ஒலி தீவிரம்
એકોસ્ટિક હસ્તક્ષેપ મીટર,ஒலி குறுக்கீடு மீட்டர்
એકોસ્ટિક હસ્તક્ષેપ ડિટેક્ટર,ஒலி குறுக்கீடு கண்டறிதல்
એકોસ્ટિક લેન્સ,ஒலி லென்ஸ்
ધ્વનિ રેખા,ஒலி வரி
એકોસ્ટિક માસ,ஒலி நிறை
એકોસ્ટિક સામગ્રી,ஒலி பொருள்
એકોસ્ટિક અર્થ મુક્ત માર્ગ,ஒலியியல் என்பது இலவச பாதை
એકોસ્ટિક મોડ,ஒலி முறை
એકોસ્ટિક અવાજ,ஒலி சத்தம்
એકોસ્ટિક ઓહ્મ*,ஒலி ஓம்*
"એકોસ્ટિક પેનલ, એકોસ્ટિક બોર્ડ","ஒலியியல் குழு, ஒலி பலகை"
એકોસ્ટિક તબક્કો સ્થિર,ஒலி நிலை மாறிலி
એકોસ્ટિક રીસીવર,ஒலி ரிசீவர்
એકોસ્ટિક દબાણ,ஒலி அழுத்தம்
ધ્વનિનો સપ્રમાણતાનો નિયમ,ஒலியின் சமச்சீர் விதி
એકોસ્ટિક ટ્રાન્સમિશન,ஒலி பரிமாற்றம்
એકોસ્ટિક ગુણધર્મો,ஒலியியல் பண்புகள்
એકોસ્ટિક ક્વાડ્રુપોલ,ஒலி நாற்புறம்
એકોસ્ટિક રેડિયેશન તત્વ,ஒலி கதிர்வீச்சு உறுப்பு
એકોસ્ટિક રેડિયેશન,ஒலி கதிர்வீச்சு
સાઉન્ડપ્રૂફ,ஒலி எதிர்ப்பு
એકોસ્ટિક રેડિયોમીટર,ஒலி ரேடியோமீட்டர்
એકોસ્ટિક પ્રતિભાવ,ஒலி அதிர்ச்சி
એકોસ્ટિક પારસ્પરિકતા પ્રમેય,ஒலி பரஸ்பர தேற்றம்
એકોસ્ટિક ઘટાડો પરિબળ,ஒலி குறைப்பு காரணி
એકોસ્ટિક પરાવર્તન ગુણાંક,ஒலி பிரதிபலிப்பு குணகம்
એકોસ્ટિક રીફ્રેક્શન,ஒலி ஒளிவிலகல்
એકોસ્ટિક પ્રતિકાર,ஒலி எதிர்ப்பு
એકોસ્ટિક પ્રતિભાવ,ஒலி பதில்
એકોસ્ટિક સ્કેટરિંગ,ஒலி சிதறல்
સુનાવણી બિંદુ,கேட்கும் புள்ளி
એકોસ્ટિક કઠોરતા,ஒலி விறைப்பு
એકોસ્ટિક સિસ્ટમ,ஒலி அமைப்பு
એકોસ્ટિક થર્મોમીટર,ஒலி வெப்பமானி
એકોસ્ટિક વેગ,ஒலி வேகம்
ધ્વનિ તરંગ,ஒலி அலை
એકોસ્ટિક,ஒலியியல்
ધ્વનિ શોષણ ગુણાંક,ஒலி உறிஞ்சுதல் குணகம்
ધ્વનિ શોષણ ઘટક,ஒலி உறிஞ்சுதல் கூறு
એકોસ્ટિક સર્કિટ,ஒலி சுற்று
એકોસ્ટિક પ્રતિભાવ,ஒலி பதில்
એકોસ્ટિક વિલંબ રેખા,ஒலி தாமதக் கோடு
એકોસ્ટિક વિકૃતિ,ஒலி சிதைவு
એકોસ્ટિક એકોસ્ટિક્સ,ஒலி ஒலியியல்
એકોસ્ટિક ફિલ્ટર,ஒலி வடிகட்டி
એકોસ્ટિક અવબાધ*,ஒலி மின்மறுப்பு*
ફોનોગ્રાફ,ஃபோனோகிராஃப்
એકોસ્ટિક ઓહ્મ*,ஒலி ஓம்*
એકોસ્ટિક સતત,ஒலி மாறிலி
એકોસ્ટિક ફોનોન,ஒலி ஃபோனான்
એકોસ્ટિક ટ્રાન્સમિશન સતત,ஒலி பரிமாற்ற மாறிலி
ધ્વનિ રૂપાંતર ગુણાંક,ஒலி மாற்று குணகம்
એકોસ્ટિક પ્રતિકાર,ஒலி எதிர்ப்பு
એકોસ્ટિક કઠોરતા,ஒலி விறைப்பு
ધ્વનિ એકમ,ஒலி அலகு
સાઉન્ડપ્રૂફ,ஒலி எதிர்ப்பு
એકોસ્ટિક સાઇડ લાઇન,ஒலி பக்கக் கோடு
"ધ્વનિશાસ્ત્ર, ધ્વનિશાસ્ત્ર","ஒலியியல், ஒலியியல்"
સાઉન્ડ મીટર,ஒலி மீட்டர்
ધ્વનિ દબાણ,ஒலி அழுத்தம்
સંપાદન રડાર,கையகப்படுத்தல் ரேடார்
પ્રકાશસંશ્લેષણ રેડિયેશન,ஒளிச்சேர்க்கை கதிர்வீச்சு
એક્ટિનિયમ ઉત્સર્જન,ஆக்டினியம் உமிழ்வு
એક્ટિનો-યુરેનિયમ,ஆக்டினோ-யுரேனியம்
એક્ટિનો-યુરેનિયમ શ્રેણી,ஆக்டினோ-யுரேனியம் தொடர்
રેડિયોઇલેક્ટ્રિક,கதிரியக்க மின்சாரம்
"એક્ટિનોમીટર, ફોટોમિક્રોમીટર","ஆக்டினோமீட்டர், ஃபோட்டோமிக்ரோமீட்டர்"
"ક્રિયા, ખત","செயல், செயல்"
ક્રિયા અને પ્રતિક્રિયા,செயல் மற்றும் எதிர்வினை
ક્રિયા સતત,செயல் மாறிலி
પ્રભાવ ક્ષેત્ર,செல்வாக்கு மண்டலம்
"સક્રિય, સક્રિય","செயல்படுத்தப்பட்டது, செயல்படுத்தப்பட்டது"
સક્રિય પ્રસરણ,செயலில் பரவல்
"સક્રિય ફાઇબર, સક્રિય ફાઇબર","செயல்படுத்தப்பட்ட ஃபைபர், செயல்படுத்தப்பட்ட ஃபைபர்"
સક્રિયકરણ અસર,செயல்படுத்தும் விளைவு
સક્રિયકરણ અસર,செயல்படுத்தும் விளைவு
સક્રિયકરણ વિશ્લેષણ,செயல்படுத்தும் பகுப்பாய்வு
પ્રવૃત્તિ કેન્દ્ર,செயல்பாட்டு மையம்
સક્રિયકરણ પરીક્ષક,செயல்படுத்தும் சோதனையாளர்
સક્રિયકરણ ઊર્જા,செயல்படுத்தும் ஆற்றல்
સક્રિયકરણ એન્ટ્રોપી,செயல்படுத்தும் என்ட்ரோபி
સક્રિયકરણ ઓવરવોલ્ટેજ,செயல்படுத்தல் அதிக மின்னழுத்தம்
સક્રિયકરણ દર,செயல்படுத்தும் விகிதம்
"એક્ટિવેટર, એક્ટિવેટર","செயல்படுத்துபவர், செயல்படுத்துபவர்"
એક્ટિવેટર અણુ,செயல்படுத்தும் அணு
પ્રવેગક,முடுக்கி
સક્રિય શોષણ,செயலில் உறிஞ்சுதல்
સક્રિય હવાઈ,செயலில் வான்வழி
રેડિયેશન ડેન્જર ઝોન,கதிர்வீச்சு ஆபத்து மண்டலம்
સક્રિય ઉપકરણ,செயலில் உள்ள சாதனம்
સક્રિય લક્ષ્યીકરણ,செயலில் இலக்கு
સક્રિય હાઇડ્રોજન*,செயலில் உள்ள ஹைட்ரஜன்*
સક્રિય મેશ,செயலில் கண்ணி
સક્રિય રેખા સક્રિય રેખા,செயலில் வரி செயலில் வரி
સક્રિય લૂપ,செயலில் வளையம்
સક્રિય કોડ*,செயலில் உள்ள குறியீடு*
સક્રિય ઘટકો,செயலில் உள்ள பொருட்கள்
સક્રિય પરમાણુ,செயலில் உள்ள மூலக்கூறு
સક્રિય મેશ,செயலில் கண்ணி
સક્રિય પુનઃશોષણ,செயலில் மறுஉருவாக்கம்
સક્રિય વિસ્તાર,செயலில் உள்ள பகுதி
સક્રિય નિયમન,செயலில் கட்டுப்பாடு
સક્રિય ઉપગ્રહ,செயலில் உள்ள செயற்கைக்கோள்
સક્રિય વિખંડન સૌર જ્યોત,செயலில் பிளவுபட்ட சூரிய சுடர்
સક્રિય સૂક્ષ્મ પોષકતત્ત્વો,செயலில் நுண்ணூட்டச்சத்துக்கள்
સક્રિય ટ્રેકિંગ સિસ્ટમ,செயலில் கண்காணிப்பு அமைப்பு
સક્રિય ટ્રાન્સડ્યુસર,செயலில் மின்மாற்றி
સક્રિય સેવન,செயலில் உட்கொள்ளல்
પ્રવૃત્તિ ગુણાંક*,செயல்பாட்டு குணகம்*
પ્રવૃત્તિ સૂચકાંક,செயல்பாட்டுக் குறியீடு
પ્રવૃત્તિ ગુણોત્તર,செயல்பாட்டு விகிதம்
પ્રવૃત્તિ વેક્ટર,செயல்பாட்டு திசையன்
વાસ્તવિક મોનિટર,உண்மையான மானிட்டர்
વાસ્તવિક તણાવ,உண்மையான மன அழுத்தம்
ટ્રિગર કરવા માટે,தூண்டுதல்
પ્રવર્તક,தொடங்குபவர்
પ્રવર્તક,தொடங்குபவர்
એક્યુટીમીટર,தீவிரமானி
સુનાવણીની તીવ્રતા,கேட்கும் கூர்மை
