Bengali,Hindi
শোষক বাষ্পীভবনকারী,अवशोषी क्षीणकारी
শোষণ আইন*,अवशोषण नियम*
শোষণ মাধ্যম,अवशोषण माध्यम
"শোষণ ক্ষমতা, শোষণ*","अवशोषण क्षमता, अवशोषकता*"
শোষণ*,अवशोषकता*
স্টুডিও সজ্জা,स्टूडिओ सज्जा
বহুগুণ অনুপাত,बाहुल्य अनुपात
বিভ্রান্তি,ऐबवोल्ट
সম্পর্কিত,ऐबवाट
ত্বরান্বিত করা,त्वरित करना
ত্বরণ-স্টপ দূরত্ব,त्वरण-विराम दूरी
তাড়াতাড়ি,त्वरित
দ্রুত সময়ের প্রভাব পরীক্ষা,त्वरित कालप्रभावन परीक्षण
দ্রুত প্রবাহ,त्वरित प्रवाह
দ্রুত গতি,त्वरित गति
দ্রুত শরীর,त्वरित निकाय
এক্সিলারেটর ওজনকারী,त्वरक तुला
এক্সিলারেটর ইলেক্ট্রোড*,त्वरक इलैक्ट्रोड*
এক্সিলারেটরের সময়*,त्वरक काल*
এক্সিলারেটর ফেজ,त्वरक प्रावस्था
অ্যাক্সিলারেটর হার,त्वरक दर
এক্সিলারেটর ভোল্টেজ*,त्वरक वोल्टता*
ত্বরণ,त्वरण
ত্বরিত জ্বলন,त्वरणिक अपदहन
ত্বরণ সহগ,त्वरण गुणांक
ত্বরণ উপাদান,त्वरण घटक
মাধ্যাকর্ষণ বলের প্রভাবে গতি বৃদ্ধি,गुरूत्वीय त्वरण
ত্বরণ ফ্যাক্টর,त्वरण गुणक
ত্বরিত চার্জ,त्वरणिक प्रतिभरण
অভিকর্ষের ত্বরণ,गुरूत्व त्वरण
ত্বরণ সম্ভাবনা,त्वरण विभव
ত্বরণ আইন,त्वरण-नियम
ত্বরণ প্রক্রিয়া,त्वरण-प्रक्रम
ত্বরণ অঞ্চল,त्वरण प्रेदश
ত্বরণ পদ্ধতি,त्वरण प्रविधी
"ত্বরণ সহনশীলতা, ত্বরণ সহনশীলতা","त्वरण सहिष्णुता, त्वरण सहनसीमा"
ত্বরণ ভেক্টর,त्वरण-सदिश
ত্বরণ-ভোল্টেজ,त्वरण-वोल्टता
ত্বরণ তরঙ্গ,त्वरण तरंग
এক্সিলারেটর,त्वरक
"ত্বরণ, ত্বরণক*","त्वरित्र, त्वरक*"
অ্যাক্সিলারেটর সমীকরণ,त्वरक समीकरण
এক্সিলারেটর*,त्वरणलेखी*
অ্যাক্সিলোমিটার,त्वरणमापी
অ্যাক্সিলোমিটার মিল,त्वरणमापीय सुमेलन
prestresser,प्राक्प्रबलक
বৈধ অক্ষর,मान्य वर्ण
গ্রহণযোগ্যতা কোণ,स्वीकरण-कोण
গ্রহণযোগ্যতা স্পেসিফিকেশন,स्वीकरण-विनिर्देश
গ্রহণযোগ্য পরীক্ষা,स्वीकारी परीक्षण
"গ্রহণকারী*, গ্রহণকারী","ग्राही*, स्वीकारी"
রিসেপ্টর পরমাণু,ग्राही परमाणु
রিসেপ্টর বন্ড,ग्राही आबंध
রিসিভার সার্কিট,ग्राही परिपथ
রিসেপ্টর স্তর,ग्राही स्तर
দাতা অণু,आदाता अणु
রিসেপ্টর সম্পত্তি,ग्राही गुणधर्म
রিসেপ্টর সম্পত্তি স্তর,ग्राही गुणधर्म तल
অ্যাক্সিলারেটর পায়ের পাতার মোজাবিশেষ,त्वरक नली
"অ্যাক্সেস, অপেক্ষা, অ্যাক্সেস","अभिगम, प्रतीक्षा, अभिगम्यता"
ভুজ অ্যাক্সেস করুন,अभिगम भुज
অ্যাক্সেস সিস্টেম,अभिगम-तंत्र
প্রবেশাধিকার সময়,अभिगम काल
অ্যাক্সেসযোগ্যতা,अभिगम्यता
"অতিরিক্ত, সহায়ক, আনুষঙ্গিক (v, ), আনুষাঙ্গিক","अतिरिक्त, सहायक, गौण (वि, ), उपसाधन"
অতিরিক্ত সীমাবদ্ধতা,अतिरिक्त प्रतिबन्ध
কাকতালীয়,संयोगी संपात
আকস্মিক সংশোধন,संयोगी संपात-संशोधन
দুর্ঘটনাজনিত বায়োজেনেসিস,आकस्मिक द्विजनन
আকস্মিক ডাইভারশন,आकस्मिक द्विअपवर्तन
ভিজিটর ত্রুটি,आगन्तुक त्रुटि
"হঠাৎ বন্ধ, হঠাৎ বাতা","आकस्मिक रोक, आकस्मिक जकड़"
দুর্ঘটনাজনিত সংক্রমণ,आकस्मिक संचारण
এলোমেলো পার্থক্য,आकस्मिक विचरण
সমন্বয়,समंजन
অবস্থিত,प्रतिस्थित
সঞ্চিত ত্রুটি,संचित त्रुटि
"accumulation, accumulation","संचय, संचयन"
শক্তি সঞ্চয়,ऊर्जा संचय
সঞ্চয়ক*,संचायक*
সঠিকতা,यथार्थता
বাস্তবতা,यथार्थ
বাস্তব যন্ত্র পর্যবেক্ষণ,यथार्थ उपकरण प्रेक्षण
সঠিক পরিসীমা চিহ্নিতকারী,यथार्थ परास चिह्नक
নির্ভুলতা স্ক্যানিং,यथार्थ क्रमवीक्षण
অনুশীলন করা,अभ्यसन
এক্সিলারেটর সেল*,त्वरक कोष्ठ*
অ্যাক্রোমেটিক লেন্স*,अवर्णक लेन्स*
অ্যাক্রোমেটিক*,अवर्णक*
অ্যাক্রোম্যাটিক বিশ্লেষক,अवर्णक विश्लेषक
ফ্রিকোয়েন্সি নিরপেক্ষ অ্যান্টেনা,आवृत्ति निरपेक्ष ऐन्टेना
অ্যাক্রোমেটিক আকৃতি,अवर्णक आकृति
অ্যাক্রোম্যাটিক ফ্রিঞ্জ,अवर्णक फ्रिंज
অ্যাক্রোমেটিক লেন্স*,अवर्णक लेन्स*
অ্যাক্রোম্যাটিক পয়েন্ট পাথ,अवर्णक बिन्दु पथ
অ্যাক্রোম্যাটিক লেন্স,अवर्णक अभिदृश्य लेन्स
অ্যাক্রোমেটিক প্রিজম,अवर्णक प्रिज़्म
অ্যাক্রোম্যাটিক টেলিস্কোপ,अवर्णक दूरदर्शक
বর্ণহীনতা*,अवर्णकता*
অ্যাক্রোমাটাইজেশন*,अवर्णीकरण*
বর্ণহীনতা*,अवर्णकता*
"স্থিতিস্থাপক, অবাধ্য, অবাধ্য","एक्लास्टिक, अनपवर्तनिक, अवपवर्तनी"
"আকর্ণ হোস, বানজু হোস","एकॉर्न नली, बंजु नली"
ক্ষুদ্রাকৃতির ভালভ,लघु वाल्व
ইকোফোনি,एकूफ़ोनी
শাব্দিক,ध्वानिक
শাব্দ শোষণ,ध्वानिक अवशोषकता
অ্যাকোস্টিক অ্যাটেন্যুয়েশন সহগ,ध्वानिक क्षीणन गुणांक
অ্যাকোস্টিক অ্যাটেন্যুয়েশন,ध्वानिक क्षीणनांक
শাব্দ চোর অ্যালার্ম,ध्वानिक चोर अलार्म
অ্যাকোস্টিক ক্যাপাসিট্যান্স,ध्वानिक धारिता
শ্রবণ কেন্দ্র,श्रवण-केन्द्र
শাব্দ ব্যাখ্যা,ध्वानिक स्पष्टकारी
শাব্দ আবরণ,ध्वानिक छदपट्ट
শাব্দ প্রতিক্রিয়া,ध्वानिक अनुवृत्ति
শাব্দিক উপাদান,ध्वानिक घटक
শাব্দ পরিবাহিতা,ध्वानिक चालकता
শাব্দ স্যাঁতসেঁতে,ध्वानिक अवमंदन
শাব্দ বিচ্ছুরণ,ध्वानिक परिक्षेपण
শব্দ হ্যাকার,ध्वनि हासक
শাব্দ শক্তি*,ध्वानिक ऊर्जा*
শাব্দ শক্তি সমীকরণ,ध्वनिक ऊर्जा समीकरण
শাব্দিক সমীকরণ,ध्वानिक समीकरण
শাব্দ পুনঃস্থাপন,ध्वानिक पुनर्निवेश
ক্ল্যাডনি আকার,क्लैडनी आकृतियाँ
শাব্দ ফিল্টার,ध्वानिक फ़िल्टर
শব্দ জেনারেটর,ध्वनि जनित्र
শাব্দ ঝাঁঝরি,ध्वानिक ग्रेटिंग
শব্দের সংরোধ*,ध्वानिक प्रतिबाधा*
শাব্দিক জড়তা,ध्वानिक जड़त्व
শাব্দ তীব্রতা,ध्वानिक तीव्रता
শাব্দ হস্তক্ষেপ মিটার,ध्वानिक व्यतिकरणमापी
শাব্দ হস্তক্ষেপ আবিষ্কারক,ध्वानिक अतिक्रमण संसूचक
শাব্দ লেন্স,ध्वानिक लेन्स
শব্দ লাইন,ध्वनि लाइन
শাব্দ ভর,ध्वानिक संहति
শাব্দ উপাদান,ध्वानिक सामग्री
অ্যাকোস্টিক মানে মুক্ত পথ,ध्वानिक माध्य मुक्त पथ
শাব্দ মোড,ध्वानिक विधा
শাব্দিক শব্দ,ध्वानिक रव
শাব্দিক ওহম*,ध्वानिक ओम*
"অ্যাকোস্টিক প্যানেল, অ্যাকোস্টিক বোর্ড","ध्वानिक पैनल, ध्वानिक पट्ट"
শাব্দ ফেজ ধ্রুবক,ध्वानिक प्रावस्था स्थिरांक
শাব্দ রিসিভার,ध्वानिक उद्ग्राही
শাব্দ চাপ,ध्वानिक दाब
শব্দের প্রতিসাম্য নিয়ম,ध्वनि का समरूपता नियम
শাব্দ সংক্রমণ,ध्वानिक संचरणांक
শাব্দ বৈশিষ্ট্য,ध्वानिक गुणधर्म
শাব্দ চতুর্ভুজ,ध्वानिक चतुर्ध्रुवी
শাব্দ বিকিরণ উপাদান,ध्वानिक विकिरक अवयव
শাব্দ বিকিরণ,ध्वनिक विकिरण
শব্দরোধী,ध्वनि-विकिरक
অ্যাকোস্টিক রেডিওমিটার,ध्वानिक-विकिरणमापी
শাব্দ প্রতিক্রিয়া,ध्वानिक प्रतिघात
অ্যাকোস্টিক পারস্পরিক তত্ত্ব,ध्वानिक पारस्पर्य प्रमेय
শাব্দ হ্রাস ফ্যাক্টর,ध्वानिक अपचयन गुणक
শাব্দ প্রতিফলন সহগ,ध्वानिक परावर्तन गुणांक
শাব্দ প্রতিসরণ,ध्वानिक अपवर्तन
শাব্দ প্রতিরোধের,ध्वानिक प्रतिरोध
শাব্দ প্রতিক্রিয়া,ध्वानिक अनुक्रियता
শাব্দ বিচ্ছুরণ,ध्वानिक प्रकीर्णन
শ্রবণ বিন্দু,श्रवण-बिन्दु
শাব্দিক অনমনীয়তা,ध्वानिक दुर्नम्यता
শাব্দ ব্যবস্থা,ध्वानिक तंत्र
শাব্দ থার্মোমিটার,ध्वानिक तापमापी
শাব্দ বেগ,ध्वानिक-वेग
শব্দ - তরঙ্গ,ध्वनि तरंग
শাব্দিক,ध्वानिक
শব্দ শোষণ সহগ,ध्वनि अवशोषण गुणांक
শব্দ শোষণ উপাদান,ध्वनि अवशोषण घटक
শাব্দ সার্কিট,ध्वानिक परिपथ
শাব্দ প্রতিক্রিয়া,ध्वानिक अनुवृत्ति
শাব্দ বিলম্ব লাইন,ध्वानिक विलंब लाइन
শাব্দ বিকৃতি,ध्वानिक विरूपण
শাব্দিক ধ্বনিবিদ্যা,ध्वानिक और्जिकी
শাব্দ ফিল্টার,ध्वानिक फ़िल्टर
শব্দের সংরোধ*,ध्वानिक प्रतिबाधा*
ফোনোগ্রাফ,ध्वनि-भ्रामिका
শাব্দিক ওহম*,ध्वानिक ओम*
শাব্দিক ধ্রুবক,ध्वानिक कला नियतांक
শাব্দিক ফোনন,ध्वानिक फ़ोनान
শাব্দ সংক্রমণ ধ্রুবক,ध्वानिक संचरण नियतांक
শব্দ পরিবর্তন সহগ,ध्वनि परिवर्तन गुणांक
শাব্দ প্রতিরোধের,ध्वानिक प्रतिरोध
শাব্দিক অনমনীয়তা,ध्वानिक दुर्नम्यता
শব্দ ইউনিট,ध्वनि-मात्रक
শব্দরোধী,ध्वनिरूद्ध
শাব্দ পার্শ্ব লাইন,ध्वानिक पार्श्व रेखा
"ধ্বনিবিদ্যা, ধ্বনিবিদ্যা","ध्वानिकी, ध्वानिकता"
শব্দ মিটার,ध्वनिमापी
শব্দ চাপ,ध्वनि दाब
অধিগ্রহণ রাডার,अर्जन रेडार
সালোকসংশ্লেষী বিকিরণ,प्रकाश रसोक्रिय विकिरण
অ্যাক্টিনিয়াম নির্গমন,ऐक्टिनियम उत्सर्जन
অ্যাক্টিনো-ইউরেনিয়াম,ऐक्टिनो-यूरेनियम
অ্যাক্টিনো-ইউরেনিয়াম সিরিজ,ऐक्टिनो-यूरेनियम श्रेणी
তেজস্ক্রিয়,विकिरण-विद्युत्
"অ্যাক্টিনোমিটার, ফটোমাইক্রোমিটার","ऐक्टिनोमीटर, प्रकाशरसोक्रियामापी"
"কর্ম, কাজ","क्रिया, कर्म"
কর্ম এবং প্রতিক্রিয়া,क्रिया और प्रतिक्रिया
কর্ম ধ্রুবক,क्रिया स्थिरांक
প্রভাব গোলক,प्रभाव क्षेत्र
"সক্রিয়, সক্রিয়","सक्रियित, सक्रियकृत"
সক্রিয় বিস্তার,सक्रियित विसरण
"সক্রিয় ফাইবার, সক্রিয় ফাইবার","साक्रियकृत तंतु, सक्रियित तंतु"
সক্রিয়করণ প্রভাব,सक्रियण प्रभाव
সক্রিয়করণ প্রভাব,सक्रियण प्रभाव
সক্রিয়করণ বিশ্লেষণ,सक्रियण-विश्लेषण
কার্যকলাপ কেন্দ্র,सक्रियता केन्द्र
সক্রিয়করণ পরীক্ষক,सक्रियण-परिक्षत्र
অ্যাক্টিভেশন শক্তি,सक्रियण ऊर्जा
সক্রিয়করণ এনট্রপি,सक्रियण ऐन्ट्रॉपी
সক্রিয়করণ ওভারভোল্টেজ,सक्रियण अधिवोल्टता
সক্রিয়করণ হার,सक्रियण दर
"সক্রিয়কারী, সক্রিয়কারী","सक्रियकारक, सक्रियक"
অ্যাক্টিভেটর পরমাণু,सक्रियक परमाणु
এক্সিলারেটর,त्वरक-सक्रियक
সক্রিয় শোষণ,सक्रिय अवशोषण
সক্রিয় বায়বীয়,सक्रिय एरियल
বিকিরণ বিপদ অঞ্চল,विकिरण ख़तरा क्षेत्र
সক্রিয় ডিভাইস,सक्रिय युक्ति
সক্রিয় টার্গেটিং,सक्रिय अभिलक्ष्यन
সক্রিয় হাইড্রোজেন*,सक्रिय हाइड्रोजन*
সক্রিয় জাল,सक्रिय जालक
সক্রিয় লাইন সক্রিয় লাইন,"सक्रिय लाइन, सक्रिय रेखा"
সক্রিয় লুপ,सक्रिय पाश
সক্রিয় কোড*,सक्रिय संहति*
সক্রিয় উপাদান,सक्रिय सामग्री
সক্রিয় অণু,सक्रिय अणु
সক্রিয় জাল,सक्रिय जाल
সক্রিয় পুনর্শোষণ,सक्रिय पुनरवशोषण
সক্রিয় এলাকা,सक्रिय क्षेत्र
সক্রিয় নিয়ন্ত্রণ,सक्रिय नियमन
সক্রিয় স্যাটেলাইট,सक्रिय उपग्रह
সক্রিয় বিচ্ছিন্ন সৌর শিখা,सक्रिय कलंकीय सौर ज्वाला
সক্রিয় মাইক্রোনিউট্রিয়েন্ট,सक्रिय सूक्ष्मात्रिक पदार्थ
সক্রিয় ট্র্যাকিং সিস্টেম,सक्रिय अनुवर्तन तंत्र
সক্রিয় ট্রান্সডুসার,सक्रिय ट्रांसडयूसर
সক্রিয় গ্রহণ,सक्रिय उदग्रहण
কার্যকলাপ সহগ*,सक्रियता गुणांक*
কার্যকলাপ সূচক,सक्रियता सूचकांक
কার্যকলাপ অনুপাত,सक्रियता -अनुपात
কার্যকলাপ ভেক্টর,सक्रियता सदिश
বাস্তব মনিটর,वास्तविक मानीटर
প্রকৃত চাপ,वास्तविक प्रतिबल
ট্রিগার করতে,"चालू करना, प्रवृत्त करना"
জন্মদাতা,प्रवर्तक
জন্মদাতা,प्रवर्तक
acuityometer,सुतीक्ष्णतामापी
শ্রবণ তীক্ষ্ণতা,श्रवण सुतीक्ष्णता
ছবির তীক্ষ্ণতা মান,फोटोतीक्ष्णता मान
তীব্র কোণ,न्यूनकोण
ফিসফিস,क्षिप्र उद्भासन
তীব্র ত্রিভুজ,न्यूनकोण त्रिभुज
অ্যাসাইক্লিক,अचक्रीय
অপ্টিমাইজেশান অ্যাপ্লিকেশন,अनुकूलन प्रयुक्ति
অপ্টিমাইজ করা অবস্থা,अनुकूलित अवस्था
অভিযোজিত নিয়ন্ত্রণ ব্যবস্থা,अनुकूली नियंत्रण तंत्र
অ্যাডাপ্টোমিটার,अनुकूलनमापी
অ্যাডকক অ্যান্টেনা,एडकॉक एन्टेना
যোগফল,"योग करना, जोड़ना"
সংকলন সময়,संकलन काल
সংকলন-বিয়োগের সময়,संकलन-व्यवकलन काल
যোগকারী,योजक
"যোগফল, যোগ, যোগফল (সম্পাদনা), যোজক (v.)","योग, जोड़, संकलन (सं.), योगात्मक (वि.)"
যোগ ধ্রুবক,अतिरिक्त स्थिरांक
ত্বরণ-সমষ্টি নিয়ম,त्वरण-योग नियम
দূরত্ব-সমষ্টি নিয়ম,दूरी-योग नियम
বেগ-সমষ্টি নিয়ম,वेग-योग नियम
ভেক্টরের সমষ্টি,सदिशों का योग
সংগ্রহ প্রতিক্রিয়া,संकलन अभिक्रिया
অতিরিক্ত মেঝে,अतिरिक्त अर्धतल
"সংযোজক স্বর, অতিরিক্ত স্বর (স্বর)","संयोजी स्वर, अतिरिक्त टोन (स्वर)"
"additive, additive","योज्य, योगात्मक"
সংযোজন ব্যবস্থা,योज्य प्रणाल
যৌগিক অক্ষর,संयोजी वर्ण
সামগ্রিক অক্ষর প্রক্রিয়া,संकली वर्ण प्रक्रम
সংযোজন পরিপূরক রঙ,योज्य पूरक रंग
additive ধ্রুবক,योज्य स्थिरांक
সংযোজন ট্র্যাকশন,योज्य कर्षण
সংযোজন প্রভাব,योज्य प्रभाव
সংযোজন ফ্যাক্টর,योजित कारक
সংযোজন ফাংশন,योज्य फलन
সংযোজন মিশ্রণ,योज्य मिश्रण
সংযোজক মূল,योज्य मूलवर्ण
সংযোজন প্রক্রিয়া,योज्य प्रक्रम
যোগযোগ্যতা,"योज्यता, योगशीलता"
সংযোজন কোয়ান্টাম সংখ্যা,योज्य क्वांटम संख्या
সংগ্রহ প্রতিক্রিয়া,संकलन अभिक्रिया
যোগযোগ্যতা,योज्यता
aditron,एडीट्रॉन
জানি*,पता*
ঠিকানা গণনা,पता अभिकलन
ঠিকানা,पता-स्थल
ঠিকানা এনক্রিপশন,पता-कूटवचन
ঠিকানা অভিব্যক্তি,पता व्यंजक
ঠিকানাযোগ্যতা,पता-सुगमता
ঠিকানার অংশ,पता पट्टिका
ঠিকানা আলো,पता बत्ती
ঠিকানা পরিবর্তন,पता-आपरिवर्तन
পতনশ,पतांश
ঠিকানা রেজিস্টার,पता पंजी
ঠিকানা নির্বাচন সুইচ,पता चयन स्विच
ঠিকানা সাজানোর টেবিল,पता छाँटाई सारणी
সম্বোধন,पताभिगमन
adresograph,ऐड्रेसोग्राफ़
ঠিকানা সিস্টেম,पता-प्रणाली
আনুগত্য,आसंजन
আনুগত্য চাপ,आसंजन तनाव
আঠালো শক্তি,आसंजी ऊर्जा
আঠালো ব্লকিং,आसंजक अवरोधन
