Hindi,English
एड्रिनोकॉर्टिकोट्रॉपिक हॉर्मोन,Adrenocorticotropic hormone (ACTH)
एड्रिनोकॉर्टिकोट्रॉपिक निर्मोचक हार्मोन,Adrenocorticotropic releasing hormone (ACTRH)
अधिशोषक,Adsorbent
अधिशोषण,Adsorption
उन्नत कशेरुकी,Advanced chordate
लाभकारी उत्परिवर्तन,Advantageous mutation
बाह्य कंचुक,Adventitial
अपस्थानिक जड़,Adventitious root
प्रतिकूल प्रभाव,Adverse effect
ईडीज,Aedes
संवर्ध-वातन,Aeration of culture
वायूतक,Aerenchyma
"वायव (वि.), एरियल (सं.)",Aerial
वायव जड़,Aerial root
वायव प्ररोह,Aerial shoot
वायु श्वसन,Aerobic respiration
ऑक्सी श्वसन,Aerobic respiration
सौंदर्यबोध,Aesthetics
पुष्पदल विन्यास,Aestivation
ग्रीष्मनिष्क्रियता,Aestivation
अभिवाही,Afferent
बंधुता वर्णलेखन,Affinity chromatography
ग्रसित अंग,Afflicted organ
वनरोपण,Afforestation
अनिषेकबीजता,Agamospermy
ऐगार,Agar
ऐगेरोस,Agarose
ऐगेरोस जेल वैद्युतकण संचलन,Agarose gel eletrophoresis
एगेरोस बहुलक जेल,Agarose polymer gel
एगास्ट,Agast
अगेव,Agave
आयु अनुसार वितरण,Age distribution
आयु पिरैमिड,Age pyramid
आश्लेषण,Agglutination
पुंज,Aggregate
पुटक पुंज,Aggregate of follicle
पुटक समुच्चय,Aggregate of follicle
"समुच्चय, समुच्चयन",Aggregation
आक्रामकता,Aggressiveness
प्रक्षोभक तंत्र,Agitator system
ऐग्नेथा,Agnatha
अगूटी,Agouti
ग्रेना-रहित हरितलवक,Agranal chloroplast
"अकणकीय, रवाहीन",Agranular
अकणिकाणु,Agranulocyte
"कृषि, खेती",Agriculture
कृषिवानिकी,Agroforestry
"ऐग्रोबैक्टीरियम माध्यित, कृषि-जीवाणु माध्यित",Agrobacterium mediated
ऐग्रोबैक्टीरियम टूमिफेसियन्स,Agrobacterium tumefaciens
कृषि-रसायन,Agrochemical
कृषि रसायनिक,Agrochemical
कृषि-जलवायु अंचल,Agroclimatic zone
सस्यीय विशेषक,Agronomic trait
सस्यविज्ञान,Agronomy
एड्स,AIDS
वायु आशय,Air bladder
वातानुकूलक,Air conditioner
वायु पथ,Air passage
वायु प्रदूषण,Air pollution
वायु कोश,Air sac
वायु धानी,Air vacuole
वायु-श्वसन,Air-breathing
एलेन,Alain
पक्षाकार पेशी,Alary muscle
अलास्काई भूरा भालू,Alaskan brown bear
वर्णकहीन,Albino
ऐल्बूगो,Albugo
ऐल्बूमिन,Albumin
ऐल्बूमिनी बीज,Albuminous seed
"ऐल्बूमिनमेह, ऐल्बूमिन्यूरिया",Albuminuria
"रसकाष्ठ, एल्बर्नम",Alburnum
ऐल्सीडी,Alcedae
ऐल्डिहाइड,Aldehyede
ऐल्डोस्टेरोन तंत्र,Aldosterone system
ऐल्डोस्टेरोन,Aldosterone
ऐल्यूरॉन परत,Aleurone layer
ऐल्यूरोप्लास्ट,Aleuroplast
ऐल्फाल्फा,Alfalfa
शैवाल प्रस्फुटन,Algal bloom
ऐल्जिन,Algin
विजातीय डी. एन. ए,Alien DNA
विदेशी जाति,Alien species
संरेखण,Alignment
अनुयोजन,Alignment
आहार नाल,Alimentary canal
आहार-तंत्र,Alimentary system
ऐलिस्मेसी,Alismaceace
ऐल्केलॉइड,Alkaloid
क्षारीय,Alkaline
ऐल्कैप्टनमेह,Alkaptonuria
अपरापोषिका,Allantois
विकल्पी आवृत्ति,Allele frequency
"विकल्पी, युग्मविकल्पी",Allele
विकल्पी युग्म,Allelomorphic pair
"प्रत्यूर्जक, एलर्जन",Allergen
"नक्र, ऐलिगेटर",Alligator
ऐलियम सीपा,Allium cepa
परनिषेचन,Allogamy
अपरनिरोप,Allograft
विस्थानिक जाति-उद्भवन,Allopatric speciation
अपरबहुगुणित,Allopolyploid
अपरस्थली प्रभाव,Allosteric effect
अपरस्थली एंजाइम,Allosteric enzyme
अपरस्थलीय संदमक,Allosteric inhibitor
अपरस्थली मॉडुलन,Allosteric modulation
अपरस्थलीय स्थान,Allosteric site
अपरस्थली संदमन,Allosteric inhibition
अपरचतुर्गुणित,Allotetraploid
ऐलनस,Alnus
ऐलो,Aloe
ऐक्सॉन की दिशा में,Along the axon
ऐल्फा-ऐंटीट्रीप्सिन,Alpha-antitrypsin
"ऐल्फा लैक्टऐल्बूमिन, ऐल्फा-दुग्धऐल्बूमिन",Alpha-lactalbumin
अल्पाइन जलवायवीय परिस्थिति,Alpine climate condition
अल्पाइन शाद्वल,Alpine meadow
अल्पाइन क्षेत्र,Alpine zone
ऐल्स्टोनिया,Alstonia
आल्टर्नेरिया,Alternaria
एकांतर,Alternate
पीढ़ी-एकांतरण,Alternation of generation
तुंगता अस्वस्थता,Altitude sickness
तुगंता,Altitude
कूपिका वाहिनी,Alveolar duct
एलाइटीज,Alytes
ऐल्जाइमर रोग,Alzheimer's disease
अतंत्रिकाक्षी कोशिका,Amacrine cell
अमारेंथेसी,Amaranthaceae
अमारेंथस (चौलाई),Amaranthus
परिवेश परासरणी सांद्रण,Ambient osmotic concentration
ऐम्बिस्टोमा,Ambystoma
ऐमाइड,Amide
ऐमीनो अम्ल,Amino acid
ऐमीनो अम्ल-ग्राही,Amino acid acceptor
ऐमीनोएसिल टी-आर.एन.ए.सिन्थेटेज,Aminoacyl t RNA synthetase
ऐमीनोएसिलीयन,Aminoacylation
असूत्री विभाजन,Amitosis
अमोनिया,Ammonia
अमोनीकरण,Ammonification
अमोनिया-उत्सर्जन,Ammonotelism
उल्बवेधन,Amniocentesis
उल्बवेधन तकनीक,Amniocentesis technique
उल्बकोशिका,Amniocyte
उल्ब,Amnion
उल्ब तरल,Amniotic fluid
उल्ब कला,Amniotic membrane
उल्ब कोश,Amniotic sac
अमीबा,Amoeba
"अमीबाणु, अमीबीकोशिका",Amoebocyte
"अमीबाभ, अमीबीय",Amoeboid
अमीबाभ लसीकाणु,Amoeboid lymphocyte
"अमीबीय गति, अमीबाभ गति",Amoeboid movement
"रवाहीन, अक्रिस्टलीय",Amorphous
"मात्रा, परिमाण",Amount
ऐम्फेटैमीन,Amphetamine
ऐम्फिबिया,Amphibia
ऐम्फिबियन (प्राणी),Amphibian
उभयचर,Amphibian
एम्फिऑक्सस,Amphioxus
ऐम्फिऑक्सस लेन्सयोलेटस,Amphioxus lanceolatus
उभयसंवेदी,Amphipathic
उभयसंवेदी वसा,Amphipathic lipid
ऐम्फिसार्का,Amphisarca
ऐम्पिसिलिन,Ampicillin
"तुंबिका, ऐंपुला",Ampulla
तुंबिका ग्रंथि,Ampullary gland
ऐमिग्डल,Amygdal
वातामक,Amygdale
ऐमिग्डालिन,Amygdalin
एमिलेज,Amylase
मंडलवक,Amyloplast
ऐनाबीना,Anabaena
ऐनाबस,Anabas
उपचय पथक्रम,Anabolic pathways
उपचय,Anabolism
ऐनाकार्डिएसी,Anacardiaceae
अरक्तता,Anaemia
"अवायुजीव, अनॉक्सी जीव",Anaerobe
अवायवी ईंधन,Anaerobic fuel
"अवायु-श्वसन, अनॉक्सीय श्वसन",Anaerobic respiration
अवायवी आपंक पाचित्र,Anaerobic sludge digester
"अवायवी, अवायुजीवी",Anaerobic
एनाइमा,Anaima
"गुदीय, गुद",Anal
पक्षांत,Anal
"गुदीय द्वारक, गुद छिद्र",Anal aperture
गुदलूम,Anal cerci
पक्षांत पाश,Anal loop
गुदशूक,Anal style
समवृत्ति,Analogous
"सदृश, अनुरूप",Analogous
समवृत्तिता,Analogy
"सादृश्य, अनुरूपता",Analogy
विश्लेषण,Analysis
पश्चावस्था,Anaphase
शारीरी रोध,Anatomic barrier
शारीरीय पक्ष,Anatomical aspect
शारीरज्ञ,Anatomist
शारीर,Anatomy
पूर्वज वंशज अनुक्रम,Ancestor descendant sequence
पूर्वज वंशक्रम,Ancestral lineage
पूर्वज अनुक्रम,Ancestral sequence
ऐंकिलोस्टोमा,Ancylostoma
पुमंग,Androecium
"ऐंड्रोजेन, पुंजन",Androgen
अरक्तता,Anemia
अनेमनी,Anemone
असुगुणित,Aneuploid
असुगुणिता,Aneuploidy
ऐंजाइना,Angina
वाहिकाचित्र,Angiogram
ऐंजिओग्राफ,Angiograph
"वाहिकाचित्रण, ऐंजिओग्राफी",Angiography
"वाहिका-संधान, ऐंजिओप्लास्टी",Angioplasty
आवृतबीजी,Angiosperm
ऐंजिओटेन्सिन,Angiotensin
ऐंजिओटेन्सिनोजन,Angiotensinogen
वडिश मीन,Angler fish
ऐंग्विना,Anguina
ऐन्गुइस,Anguis
प्राणी,Animal
पशु,Animal
पशु शमल,Animal dung
पशुपालन,Animal husbandry
प्राणी गुणसूत्रप्ररूपण,Animal karyotyping
प्राणिजगत्,Animal kingdom
प्राणि-ऊतक,Animal tissue
ऐनिमेलिया,Animalia
ऋणायन,Anion
विषमदैशिक पट्ट,Anisotropic band
अनीलन,Annealing
ऐनेलिड (प्राणी),Annelid
ऐनेलिडा,Annelida
वार्षिक वलय,Annual ring
वलयाकार,Annulated
"वलयांश, ऐन्यूल",Annule
असंगत प्ररूप,Anomalous type
ऐनोफेलीज,Anopheles
चींटीखोर,Ant eater
विरोधी,Antagonistic
दक्षिण ध्रुवीय,Antarctic
शृंगिका,Antenna
ऐन्टेना संकुल,Antenna complex
शृंगिका ग्रंथि,Antennal gland
अग्र (अधर) घूसर शृंग,Anterior (ventral) gray horn
अग्र पीयूषिका,Anterior hypophysis
अग्र अंतरानिलयी परिखा,Anterior interventricular sulcus
परागकोश,Anther
पराग संवर्धन,Anther culture
पुंधानी,Antheridium
पुमणु,Antherozoid
ऐन्थोसिरोस,Anthoceros
ऐन्थोसिरोटॉप्सिडा,Anthocerotopsida
ऐन्थ्रैक्स,Anthrax
मानवजनित विलोपन,Anthropogenic extinction
मानवविज्ञान,Anthropology
प्रतिजीवाणुक,Antibacterial
प्रतिजैविक पेनिसिलिन,Antibiotic penicillin
प्रतिजैविक प्रतिरोधी,Antibiotic resistant
प्रतिजैविक,Antibiotic(s)
"प्रतिरक्षी, प्रतिपिंड",Antibody
"प्रतिरक्षी युग्म, प्रतिपिंड युग्म",Antibody couple
प्रतिरक्षी माध्यित प्रतिरक्षा,Antibody mediated immunity
प्रतिस्कंदक,Anticoagulant
प्रतिप्रकूट पाश (प्रतिकोडॉन पाश),Anticodon loop
प्रति-अवसादक,Antidepressant
प्रतिमूत्रल हॉर्मोन,Antidiuretic hormone (ADH)
प्रतिजन जीन,Antigen gene
प्रतिजन-प्रतिरक्षी सम्मिश्र,Antigen-antibody complex
प्रतिजनी निर्धारक,Antigenic determinant
प्रतिपोषक कारक,Antinutritional factor
प्रतिऑक्सीकारक,Antioxidant
प्रतिव्यासांत केंद्रक,Antipodal nucleus
प्रति-अर्थक आर.एन.ए.,Anti-sense RNA
प्रतिविषाणुक प्रोटीन,Antiviral protein
गह्वर,Antrum
अकेंद्रकी,Anucleate
गुदा,Anus
दुश्चिंता विकार,Anxiety disorder
महाधमनी चाप,Aortic arch
कर्ण गुच्छिका,Aortic ganglion
महाधमनी अर्धचंद्र कपाट,Aortic semilunar valve
महाधमनी कपाट,Aortic valve
पश्चावस्था वर्धक संमिश्र,APC (anaphase promoting complex)
कपि-सम पूर्वज,Apelike ancestor
ऐफिड,Aphid
ऐफ्रोडाइट,Aphrodite
शीर्ष प्रभाविता,Apical dominance
शीर्ष तल्प,Apical pad
मधुमक्खीपालन,Apiculture
ऐपिस इंडिका,Apis indica
अचलबीजाणु,Aplanospore
ऐप्लीसिया,Aplysia
ऐपोकार्पी,Apocarpae
वियुक्तांडपी,Apocarpous
वियुक्तांडपी अंडाशय,Apocarpous ovary
अपस्रावी ग्रंथि,Apocrine gland
एपोएंजाइम,Apoenzyme
असंगजनिक,Apomict
असंगजनन,Apomixis
ऐपोप्लाज्म,Apoplasm
सुप्रवाही पथक्रम,Apoplastic pathway
एपोप्टोसिस,Apoptosis
उपकरण,Apparatus
उपांगी कंकाल,Appendicular skeleton
अंधनाल की परिशेषिका,Appendix of the caecum
ऐपल घोंघा,Apple snail
जलकृषि,Aquaculture
ऐक्वापॉरिन,Aquaporin
जलीय ऐम्फिबियन,Aquatic amphibian
जलीय रूप,Aquatic form
जलीय पर्यावास,Aquatic habitat
जलीय जीव,Aquatic organism
जलीय पादप,Aquatic plant
जलीय श्वसन,Aquatic respiration
जलीय तरल,Aqueous fluid
"नेत्रोद, ऐक्विअस ह्यूमर",Aqueous humur
जलीय अंतःकोशिका तरल,Aqueous intra-cellular fluid
जलीय नमूना,Aqueous sample
जलीय विलयन,Aqueous solution
एक्विला,Aquila
ऐरेबिडॉप्सिस,Arabidopsis
एरेक्निडा,Arachnida
एरेक्नॉइड (लूताजालाभ),Arachnoid
अरेनियस,Araneus
वृक्षवत्,Arborescent
वृक्षवत् लाइकोपॉड,Arborescent lycopod
आद्य जीवाणु,Archaebacteria
स्त्रीधानी,Archegonium
द्वीपसमूह,Archipelago
"उत्तरध्रुवीय, आर्कटिक",Arctic
आर्कटिक टर्न,Arctic tern
"उत्तरध्रुवीय टुंड्रा, आर्कटिक टुंड्रा",Arctic tundra
आर्डिया,Ardea
एरियोली ऊतक,Areolar tissue
"आर्जिमनी, पीली कंटीली",Argemone (prickly poppy)
आर्जिमनी मेक्सिकाना,Argemone mexicana
आर्जिनीन,Arginine
शुष्क प्रक्षेत्र,Arid region
ऐरिस्टोलोकिएसी,Aristolochiaceae
भुजाकृत अशन,Arm feeding
सैनिक शलभ (चने की सूंडी),Armyworm
ऐरॉयड,Aroid
ऐरोमा,Aroma
प्रग्राही,Arrester
आर्टिमिजिया,Artemisia
धमनी प्रकुंचनी,Arterial systolic
धमनीकाठिन्यकारी,Arteriosclerotic
संधिपाद,Arthropod
संधिशोथ,Arthritis
"संधिपाद संघ, आथ्रोपोडा",Arthropoda
संधायक उपास्थि,Articular cartilage
संधिल,Articulate
संधित,Articulated
कृत्रिम गतिचालक,Artificial pacemaker
कृत्रिम वरण,Artificial selection
आर्टोकार्पस हेटेरोफिलस (कटहल),Artocarpus heterophyllus
ऐस्बेस्टॉस रेशा,Asbestos fibre
"ऐस्बेस्टॉसिता, ऐस्बेस्टॉस-आर्ति",Asbestosis
ऐस्केरिस,Ascaris
आरोही वर्णलेखन,Ascending chromatography
ऐसिडिआ,Ascidia
ऐसिडियन,Ascidian
ऐस्कोकार्प,Ascocarp
ऐस्कोमाइसिटीज,Ascomycetes
ऐस्कॉर्बिक अम्ल,Ascorbic acid
"ऐस्कस बीजाणु, ऐस्कोस्पोर",Ascospore
ऐस्कस,Ascus
पटहीन,Aseptate
अलैंगिक जनन,Asexual reproduction
अलैंगिक बीजाणु,Asexual spore
ऐस्पेराजीन सिन्थेटेस,Asparagine synthetase
"ऐस्पैरागस, शतावरी",Asparagus
ऐस्पार्टिक अम्ल,Aspartic acid
ऐस्पर्जिलस नाइजर,Aspergillus niger
ऐस्पर्जिलस,Aspergillus
ऐस्फोडेलस टेनुईफोलियस,Asphodelus tenuifolius
ऐस्पिरिन,Aspirin
"आमापन, ऐसे",Assay
समुच्चय,Assemblage
स्वांगीकरण दक्षता,Assimilation efficiency
स्वांगीकारी जड़,Assimilatory root
सहायित जननिक तकनीक,Assisted reproductive technique
"साहचर्य क्षेत्र, सहभागिता क्षेत्र",Association area
सहचारी सहजीविता,Associative symbiosis
अपव्यूहन और पुनर्योजन,Assortment and recombination
कारक का अपव्यूहन,Assortment of factor
ऐस्टाकस,Astacus
ऐस्टेरेसी,Asteraceae
ऐस्टरेलीज,Asterales
"क्षुद्र ग्रह, ग्रहिका",Asteroid
दमा,Asthma
ऐस्ट्रागेलस गुमीफर,Astragalus gummifer
तारक तर्कु ध्रुव,Astral spindle pole
खगोलज्ञ,Astronomer
असममित गुणसूत्रप्ररूप,Asymmetric karyotype
असममित,Asymmetrical
धमनीवसाकठिन्यमय,Atheromatous
"धमनीवसाकाठिन्य, ऐथिरोस्कलेरोसिस",Atherosclerosis
धमनीवसाकठिन्यकारी लवांक,Atherosclerotic plaque
"शीर्षधर, ऐटलस",Atlas
"शीर्षधर कशेरुक, ऐटलस कशेरुक",Atlas vertebra
वायुमंडल,Atmosphere
वायुमंडलीय,Atmospheric
वायुमंडलीय निवेश,Atmospheric inputs
परमाणु बल सूक्ष्मदर्शी,Atomic force microscope
परमाणु,Atom
ए. टी. पी. ऐज,ATP ase
अलिंद संकुचन,Atrial contraction
परिकोष्ठी रेशकीयन,Atrial fibrillation
परिकोष्ठी नैट्रीयूरेटिक कारक,Atrial natriuretic factor (ANF)
अलिंद ग्रंथिक,Atrial node
अलिंद प्रकुंचन,Atrial systole
अलिंद-निलय ग्रंथिक,Atrioventricular node
अलिंद-निलय कपाट,Atrioventricular valve
अलिंद,Atrium (peatria)
परिकोष्ठ,Atrium (peatria)
ऐट्रोपा बेलाडोना,Atropa belladonna
क्षीणता,Atrophy
ऐट्रोपीन ऐल्केलॉइड,Atropine alkaloid
संलग्नी पट्ट,Attachment plate
श्रवण वल्कुट,Auditory cortex
ऑलोसाइरा,Aulosira
पालि,Auricle (auricula)
अलिंद,Auricle (auricula)
परिकोष्ठ,Auricle (auricula)
कर्णपल्लव,Auricle (auricula)
ऑस्ट्रेलोपिथेसिनीस,Australopithecines
स्वपारिस्थितिकी,Autecology
स्वचालित डी. एन. ए. अनुक्रमक,Automated DNA sequencer
स्वबहुगुणित,Autopolyploid
स्वविश्लेषित्र,Autoanalyser
स्वयुग्मन,Autogamy
स्वनिषेचन,Autogamy
स्वनिरोप,Autograft
स्वप्रतिरक्षा रोग,Autoimmune disease
ऑटोमोबाइल निष्कासित पदार्थ,Automobile exhaust
स्वायत्त (अनैच्छिक) तंत्रिका-तंत्र,Autonomic (involuntary) nervous system
स्वभोजी लयनकाय,Autophagic lysosome
स्वगुणित,Autoploid
"प्रचलपाद, ऑटोपोडियम",Autopodium
स्वबहुगुणित,Autopolyploid
अलिंगी गुणसूत्र,Autosomal chromorome
अलिंगसूत्री जीन,Autosomal gene
अलिंगसूत्र,Autosome
स्वचतुर्गुणित,Autotetraploid
स्वांगोच्छेदन,Autotomy
स्वत्रिगुणित किस्म,Autotriploid variety
"स्वपोषी, स्वपोषित",Autotroph
"शरद काष्ठ, बसंत काष्ठ",Autumn wood
वृद्धि आलेख,Auxanograph
वृद्धिमापी,Auxanometer
आयतनी वृद्धि,Auxetic growth
ऑक्सिन,Auxin
विपोषी,Auxotroph
अलिंद निलय बंडल,A V bundle
एवीज,Aves
एविसेनिया,Avicennia
शूक,Awn
अक्षीय कंकाल,Axial skeleton
अक्षीय,Axile
कक्षीय कलिका,Axillary bud
कक्षीय,Axillary
अक्ष-कशेरूक,Axis vertebra
तंत्रिकाक्ष,Axon
तंत्रिकाक्ष कला,Axonal membrane
तंत्रिकाक्षतः,Axonally
"अक्षसूत्र, एक्सोनीम",Axoneme
ऐजोस्पिरिलम,Azospirillum
ऐजोटोबैक्टर,Azotobacter
अयुग्म शिरा,Azygous vein
बैसिलस ऐन्थ्रेसिस,Bacillus anthracis
बैसिलस थुरिंजिएन्सिस,Bacillus thuringiensis (Bt)
"दंडाणु, बैसिलस",Bacillus
जीवाणु,Bacteria
"जीवाण्विक, जीवाणुक, जीवाणु",Bacterial
जीवाणुक कृतक गुणसूत्र,Bacterial artificial chromosome (BAC)
जीवाण्विक रोगाणु,Bacterial pathogen
जीवाण्विक प्लाज्मा झिल्ली,Bacterial plasma membrane
जीवाणुक प्रभेद,Bacterial strain
"जीवाण्वीय, जीवाणु",Bacteriological
जीवाणु नामपद्धति,Bacteriological nomenclature
जीवाणुभोजी,Bacteriophage
जीवाणु,Bacterium
बैक्युलोविषाणु,Baculovirus
परिच्छादन,Bagging
बैलीनोप्टेरा,Balaenoptera
संतुलित बहुरूपता,Balanced polymorphism
संतोलक वरण,Balancing selection
बैलेनोग्लोसस,Balanoglossus
बैलानस,Balanus
बैलौस्टा,Balausta
कंदुक खल्लिका संधि,Ball and socket joint
बैलून कैथीकरण,Balloon catherization
बाम एच I,Bam H I
बाँस प्ररोह,Bamboo-shoot
पट्टित चींटीखोर,Banded anteater
पट्टन तकनीक,Banding technique
बार्बिट्युरेट,Barbiturate
नग्न शैल,Bare rock
"रोध, रोधिका",Barrier
"वल्क, छाल",Bark
"खंडावर, बार्नेकल",Barnacle
आधार पिंड,Basal body
आधार आवरण,Basal cover
आधारी गुच्छिका,Basal ganglion
आधारी तल्प,Basal pad
आधार,Base
क्षारक युग्म,Base pair
आधार-कला,Basement membrane
बेसिडियोकार्प,Basidiocarp
बेसिडियोमाइसिटीज,Basidiomycetes
बेसिडियमबीजाणु,Basidiospore
बेसिडियम,Basidium
अधःबद्ध,Basifixed
आधार झिल्ली,Basilar membrane
तलाभिसारी पर्व क्रम,Basipetal internode order
"क्षारकरागी, बेसोफिल",Basophil
क्षारकरागी,Basophilic
बेटसी अनुहरण,Batesian mimicry
बाथ स्पंज,Bath sponge
नहाने का स्पंज,Bath sponge
बौहिनिया,Bauhinia
विस्पंद,Beat
"मधुमक्खी पेटिका, मधुमक्खी छत्ताधानी",Beehive
मधुमोम,Beewax
बिगोनिआ,Begonia
व्यवहारात्मक अनुकूलन,Behavioural adaptation
बेल,Bel
बेलाडोना,Belladonna
सुदम अर्बुद,Benign tumour
नितलस्थ,Benthic
बेंजीन हेक्साक्लोराइड (बी.एच.सी.),Benzene hexachloride (BHC)
बेंजीन,Benzene
बेरेनिल,Berenil
"सरस फल, बेरी",Berry
बीटा विविधता,Beta diversity
बेटूला,Betula
b-ग्लोबिन,B-globin
भांग,Bhang
भेटकी,Bhetki
बी-संस्तर,B-horizon
बाइकार्बोनेट,Bicarbonate
द्विअंडपी,Bicarpellary
बाइकार्पलेटी,Bicarpellatae
"द्विशिरस्क, बाइसेप्स",Biceps
उभयावतल,Biconcave
उभयोत्तल,Biconvex
उभयोत्तल गोलाकार लेन्स,Biconvex-spherical lens
द्विवलनी कपाट,Bicuspid valve
बिडर-नाल,Bidder's canal
बिडर अंग,Bidder's organ
द्विवर्षी,Biennial
बिग बैंग सिद्धांत,Big Bang theory
द्विओष्ठी,Bilabiate
द्विपार्श्व सममिति,Bilateral symmetry
बाइलेटेरिया (द्विपार्श्विक),Bilateria
द्विपरत,Bilayer
पित्त,Bile
पित्त वर्णक,Bile pigment
पित्त लवण,Bile salt
द्विविभाजन,Binary fission
बंधन-फ्लुओरोक्रोम,Binding fluorochrome
क्रियाधार - बंधन,Binding of substrate
"द्विनेत्री, बाइनॉक्युलर",Binocular
द्विनेत्री शीर्ष,Binocular head
द्विनेत्री दृष्टि,Binocular vision
द्विपदीय,Binomial
द्विनाम पद्धति,Binomial nomenclature
द्विनाम पद्धति,Binomial system
द्विकेंद्रकी,Binuleate
जैवसक्रिय सूक्ष्मजीव उत्पाद,Bioactive microbial product
जैवरासायनिक पथक्रम,Biochemical pathway
जैवरासायनिक अभिक्रिया,Biochemical reaction
जैवचिकित्सा इंजीनियरी,Biomedical engineering
जैव-संश्लेषी अवस्था,Biosynthetic phase
जैवशस्त्र कारक,Bioweapon agent
जैव आमापन,Bioassay
जैवरासायनिक,Biochemical
जैवरासायनिक स्वविश्लेषित्र,Biochemical autoanalyser
जैवरासायनिक अभिलक्षणन,Biochemical characterization
