Telugu,English
ఎకౌస్టిక్ జోనింగ్,Acoustic zoning
సంపాదించిన పాత్ర,Acquired character
రోగనిరోధక శక్తిని సంపాదించింది,Acquired immunity
ఇమ్యునో లోపం (AIDS),Acquired immuno deficiency syndrome (AIDS)
అక్రినియా,Acrania
యాక్రిడిన్ డై,Acridine dye
అక్రోసెంట్రిక్,Acrocentric
అక్రోమియన్,Acromion
అక్రోపెటల్ సీక్వెన్స్,Acropetal sequence
అక్రోపెటల్ ఆర్డర్,Acropetal order
అక్రోసిన్,Acrosin
ఆక్టిన్,Actin
ఆక్టిన్ లాంటి ప్రోటీన్,Actin-like protein
ఆక్టినోమోర్ఫిక్,Actinomorphic
ఆక్టినోమైసెట్స్,Actinomycetes
చర్య సామర్థ్యం,Action potential
సక్రియం చేయబడిన బురద,Activated sludge
సక్రియం చేయబడిన బురద ఫ్లోక్,Activated sludge floc
యాక్టివేషన్ ఎనర్జీ,Activation energy
క్రియాశీల శోషణ,Active absorption
క్రియాశీల రోగనిరోధక శక్తి,Active immunity
క్రియాశీల రేడియేషన్,Active radiation
క్రియాశీల సైట్,Active site
యాక్టివిన్,Activin
అక్యూమినేట్,Acuminate
ఆడమియా,Adamsia
అనుకూలత,Adaptability
అనుసరణ,Adaptation
కాంతి పాలనకు అనుసరణ,Adaptation to light regime
నీటి కొరతకు అనుసరణ,Adaptation to water scarcity
అనుకూల లక్షణాలు,Adaptive characteristics
అనుకూల రోగనిరోధక శక్తి,Adaptive immunity
అడాప్టివ్ రేడియేషన్,Adaptive radiation
అనుకూల లక్షణం,Adaptive trait
అడాక్సియల్ ఉపరితలం,Adaxial surface
వ్యసనపరుడైన రుగ్మత,Addictive disorder
అడెనిన్,Adenine
అడెనోకార్టికోట్రోపిన్,Adenocorticotropin
అడెనోహైపోఫిసిస్,Adenohypophysis
అడెనోసిన్ డిఫాస్ఫేట్,Adenosin diphosphate
అడెనోసిన్ డీమినేస్,Adenosine deaminase
అడెనోసిన్ మోనోఫాస్ఫేట్,Adenosine monophosphate
గ్రంధి ముడతలు,Adenosine triphosphate (ATP)
అడెనిలేట్ సైక్లేస్,Adenylate cyclase
అంటుకునే శక్తి,Adhesive force
అడిపేట్,Adipate
కొవ్వు పెండినవి,Adipocyte (fat cell)
కొవ్వు కణజాలము,Adipose tissue
Adnate,Adnate
ప్రక్కనే ఉన్న సంఘం,Adjoining community
అడ్రినల్,Adrenal
అడ్రినల్ గ్రంథి,Adrenal gland
ఎడ్రినల్ గ్రంథి,Adrenocorticotropic hormone (ACTH)
ఎడ్రినల్ గ్రంథి యొక్క విడుదల హార్మోన్,Adrenocorticotropic releasing hormone (ACTRH)
Adsorbent,Adsorbent
శోషణ,Adsorption
అధునాతన కార్డేట్,Advanced chordate
ప్రయోజనకరమైన మ్యుటేషన్,Advantageous mutation
అడ్వెసిషియల్,Adventitial
సాహసోపేతమైన రూట్,Adventitious root
ప్రతికూల ప్రభావం,Adverse effect
AEDES,Aedes
సంస్కృతి వాయువు,Aeration of culture
ఏరెన్చైమా,Aerenchyma
ఆకాశయాన,Aerial
వైమానిక రూట్,Aerial root
వైమానిక షూట్,Aerial shoot
ఏరోబిక్ శ్వాసక్రియ,Aerobic respiration
ఏరోబిక్ శ్వాసక్రియ,Aerobic respiration
సౌందర్యం,Aesthetics
ఎస్టివేషన్,Aestivation
ఎస్టివేషన్,Aestivation
అనుబంధ,Afferent
అనుబంధ క్రోమాటోగ్రఫీ,Affinity chromatography
బాధిత అవయవం,Afflicted organ
అటవీ నిర్మూలన,Afforestation
అగామోస్పెర్మీ,Agamospermy
అగర్,Agar
అగరోస్,Agarose
అగరోస్ జెల్ ఎలెట్రోఫోరేసిస్,Agarose gel eletrophoresis
అగరోస్ పాలిమర్ జెల్,Agarose polymer gel
అగాస్ట్,Agast
కిత్తలి,Agave
వయస్సు పంపిణీ,Age distribution
వయస్సు పిరమిడ్,Age pyramid
సంకలనం,Agglutination
మొత్తం,Aggregate
ఫోలికల్ యొక్క మొత్తం,Aggregate of follicle
ఫోలికల్ యొక్క మొత్తం,Aggregate of follicle
సమూహనం,Aggregation
దూకుడు,Aggressiveness
ఆందోళన వ్యవస్థ,Agitator system
అగ్నాథ,Agnatha
అగౌటి,Agouti
అగ్రనాల్ క్లోరోప్లాస్ట్,Agranal chloroplast
అగ్రన్యులర్,Agranular
అగ్రనులోసైట్,Agranulocyte
వ్యవసాయం,Agriculture
అగ్రోఫారెస్ట్రీ,Agroforestry
అగ్రోబాక్టీరియం మధ్యవర్తిత్వం,Agrobacterium mediated
అగ్రోబాక్టీరియం ట్యూమెఫేసియన్స్,Agrobacterium tumefaciens
వ్యవసాయ రసాయన,Agrochemical
వ్యవసాయ రసాయన,Agrochemical
అగ్రోక్లిమాటిక్ జోన్,Agroclimatic zone
వ్యవసాయ లక్షణం,Agronomic trait
వ్యవసాయ శాస్త్రం,Agronomy
ఎయిడ్స్,AIDS
గాలి మూత్రాశయం,Air bladder
వాతానుకూలీన యంత్రము,Air conditioner
గాలి మార్గం,Air passage
వాయుకాలుష్యం,Air pollution
ఎయిర్ శాక్,Air sac
ఎయిర్ వాక్యూల్,Air vacuole
గాలి-శ్వాస,Air-breathing
అలైన్,Alain
అలారి కండరం,Alary muscle
అలాస్కాన్ బ్రౌన్ బేర్,Alaskan brown bear
అల్బినో,Albino
అల్బుగో,Albugo
అల్బుమిన్,Albumin
అల్బుమినస్ సీడ్,Albuminous seed
అల్బుమినూరియా,Albuminuria
అల్బర్నమ్,Alburnum
ఆల్కే,Alcedae
ఆల్డెహీడ్,Aldehyede
ఆల్డోస్టెరాన్ వ్యవస్థ,Aldosterone system
ఆల్డోస్టెరాన్,Aldosterone
అల్యూరోన్ పొర,Aleurone layer
అల్యూరోప్లాస్ట్,Aleuroplast
అల్ఫాల్ఫా,Alfalfa
ఆల్గల్ బ్లూమ్,Algal bloom
అల్జీన్,Algin
గ్రహాంతర DNA,Alien DNA
గ్రహాంతర జాతులు,Alien species
అమరిక,Alignment
అమరిక,Alignment
అలిమెంటరీ కెనాల్,Alimentary canal
అలిమెంటరీ సిస్టమ్,Alimentary system
అలిస్మాసిస్,Alismaceace
ఆల్కలాయిడ్,Alkaloid
ఆల్కలీన్,Alkaline
అల్కాప్టోటోరియా,Alkaptonuria
అల్లాంటోయిస్,Allantois
యుగ్మ వికల్ప ఫ్రీక్వెన్సీ,Allele frequency
యుగ్మ వికల్పం,Allele
అల్లెలోమోర్ఫిక్ జత,Allelomorphic pair
అలెర్జీ,Allergen
ఎలిగేటర్,Alligator
అల్లియం సెపా,Allium cepa
అయోగాగమి,Allogamy
అల్లోగ్రాఫ్ట్,Allograft
అల్లోపాట్రిక్ స్పెసియేషన్,Allopatric speciation
అల్లోపాలిప్లోయిడ్,Allopolyploid
అలోస్టెరిక్ ప్రభావం,Allosteric effect
అలోస్టెరిక్ ఎంజైమ్,Allosteric enzyme
అలోస్టెరిక్ ఇన్హిబిటర్,Allosteric inhibitor
అలోస్టెరిక్ మాడ్యులేషన్,Allosteric modulation
అలోస్టెరిక్ సైట్,Allosteric site
అలోస్టెరిక్ నిరోధం,Allosteric inhibition
అలోటెట్రాప్లాయిడ్,Allotetraploid
ఆల్నస్,Alnus
కలబంద,Aloe
ఆక్సాన్ వెంట,Along the axon
ఆల్ఫా-యాంటిట్రిప్సిన్,Alpha-antitrypsin
ఆల్ఫా-లాక్టల్బ్యూమిన్,Alpha-lactalbumin
ఆల్పైన్ వాతావరణ పరిస్థితి,Alpine climate condition
ఆల్పైన్ మేడో,Alpine meadow
ఆల్పైన్ జోన్,Alpine zone
ఆల్స్టోనియా,Alstonia
ఆల్టర్నేరియా,Alternaria
ప్రత్యామ్నాయ,Alternate
తరం యొక్క ప్రత్యామ్నాయం,Alternation of generation
ఎత్తు రుగ్మత,Altitude sickness
ఎత్తు,Altitude
అల్వియోలార్ డక్ట్,Alveolar duct
అలిట్స్,Alytes
అల్జీమర్స్ వ్యాధి,Alzheimer's disease
అమాక్రిన్ సెల్,Amacrine cell
అమరాంతేసి,Amaranthaceae
అమరాంథస్,Amaranthus
పరిసర ఓస్మోటిక్ గా ration త,Ambient osmotic concentration
అంబిస్టోమా,Ambystoma
అమైడ్,Amide
అమైనో ఆమ్లం,Amino acid
అమైనో యాసిడ్ అంగీకారం,Amino acid acceptor
అమైన్‌లాకారి,Aminoacyl t RNA synthetase
అమైనోఅసిలేషన్,Aminoacylation
అమిటోసిస్,Amitosis
అమ్మోనియా,Ammonia
అమ్మోనిఫికేషన్,Ammonification
అమ్మోనోటెలిజం,Ammonotelism
అమ్నియోసెంటెసిస్,Amniocentesis
అమ్నియోసెంటెసిస్ టెక్నిక్,Amniocentesis technique
అమ్నియోసైట్,Amniocyte
అమ్నియోన్,Amnion
అమ్నియోటిక్ ద్రవం,Amniotic fluid
అమ్నియోటిక్ పొర,Amniotic membrane
అమ్నియోటిక్ శాక్,Amniotic sac
అమీబా,Amoeba
అమీబోసైట్,Amoebocyte
అమీబాయిడ్,Amoeboid
అమీబోయిడ్ లింఫోసైట్,Amoeboid lymphocyte
అమీబోయిడ్ కదలిక,Amoeboid movement
నిరాకార,Amorphous
మొత్తం,Amount
యాంఫేటమిన్,Amphetamine
ఉభయచర,Amphibia
ఉభయచర,Amphibian
ఉభయచర,Amphibian
యాంఫియోక్సస్,Amphioxus
యాంఫియోక్సస్ లాన్సోలాటస్,Amphioxus lanceolatus
యాంఫిపతిక్,Amphipathic
యాంఫిపతిక్ లిపిడ్,Amphipathic lipid
యాంఫిసార్కా,Amphisarca
ఆంపిసిలిన్,Ampicillin
అంపుల్లా,Ampulla
అంపల్లరీ గ్రంథి,Ampullary gland
అమిగ్డాల్,Amygdal
అమిగ్డేల్,Amygdale
అమిగ్డాలిన్,Amygdalin
అమిలేస్,Amylase
అమిలోప్లాస్ట్,Amyloplast
అనాబెనా,Anabaena
అనాబాస్,Anabas
అనాబాలిక్ మార్గాలు,Anabolic pathways
అనాబాలిజం,Anabolism
అనాకార్డియాసి,Anacardiaceae
రక్తహీనత,Anaemia
Anaerobe,Anaerobe
వాయురహిత ఇంధనం,Anaerobic fuel
వాయురహిత శ్వాసక్రియ,Anaerobic respiration
వాయురహిత బురద డైజెస్టర్,Anaerobic sludge digester
Anaerobic,Anaerobic
అనైమా,Anaima
ఆసన,Anal
ఆసన,Anal
ఆసన ఎపర్చరు,Anal aperture
అనల్ సెర్సీ,Anal cerci
అనల్ లూప్,Anal loop
ఆసన శైలి,Anal style
సారూప్యత,Analogous
సారూప్యత,Analogous
సారూప్యత,Analogy
సారూప్యత,Analogy
విశ్లేషణ,Analysis
అనాఫేస్,Anaphase
శరీర నిర్మాణ అవరోధం,Anatomic barrier
శరీర నిర్మాణ అంశం,Anatomical aspect
శరీర నిర్మాణ శాస్త్రవేత్త,Anatomist
శరీర నిర్మాణ శాస్త్రం,Anatomy
పూర్వీకుల వారసుడు క్రమం,Ancestor descendant sequence
పూర్వీకుల వంశం,Ancestral lineage
పూర్వీకుల క్రమం,Ancestral sequence
అన్సైలోస్టోమా,Ancylostoma
ఆండ్రోసియం,Androecium
ఆండ్రోజెన్,Androgen
రక్తహీనత,Anemia
ఎనిమోన్,Anemone
అనూప్లోయిడ్,Aneuploid
అనూప్లోయిడి,Aneuploidy
ఆంజినా,Angina
యాంజియోగ్రామ్,Angiogram
యాంజియోగ్రాఫ్,Angiograph
యాంజియోగ్రఫీ,Angiography
యాంజియోప్లాస్టీ,Angioplasty
యాంజియోస్పెర్మ్,Angiosperm
యాంజియోటెన్సిన్,Angiotensin
యాంజియోటెన్సినోజెన్,Angiotensinogen
జాలరి చేప,Angler fish
అంగునా,Anguina
అంగుయిస్,Anguis
జంతువు,Animal
జంతువు,Animal
జంతువుల పేడ,Animal dung
పశుసంరక్షణ,Animal husbandry
జంతువుల కార్యోటైపింగ్,Animal karyotyping
జంతు సామ్రాజ్యం,Animal kingdom
జంతువుల కణజాలం,Animal tissue
యానిమాలియా,Animalia
అయాన్,Anion
అనిసోట్రోపిక్ బ్యాండ్,Anisotropic band
ఎనియలింగ్,Annealing
అన్నెలిడ్,Annelid
అన్నెలిడా,Annelida
వార్షిక రింగ్,Annual ring
యాన్యులేటెడ్,Annulated
యాన్యుల్,Annule
క్రమరహిత రకం,Anomalous type
అనోఫిల్స్,Anopheles
చీమ తినేవాడు,Ant eater
విరోధి,Antagonistic
అంటార్కిటిక్,Antarctic
యాంటెన్నా,Antenna
యాంటెన్నా కాంప్లెక్స్,Antenna complex
యాంటెనల్ గ్రంథి,Antennal gland
ముందరి (వెంట్రల్) బూడిద కొమ్ము,Anterior (ventral) gray horn
పూర్వ హైపోఫిసిస్,Anterior hypophysis
పూర్వ జోక్య సల్కస్,Anterior interventricular sulcus
Anther,Anther
పూర్వ సంస్కృతి,Anther culture
ఆంథెరిడియం,Antheridium
అంటెరోజాయిడ్,Antherozoid
ఆంథోసెరోస్,Anthoceros
ఆంథోసెరోటోప్సిడా,Anthocerotopsida
ఆంత్రాక్స్,Anthrax
మానవ అంతరించిపోవడం,Anthropogenic extinction
మానవ శాస్త్రం,Anthropology
యాంటీ బాక్టీరియల్,Antibacterial
యాంటీబయాటిక్ పెన్సిలిన్,Antibiotic penicillin
యాంటీబయాటిక్ రెసిస్టెంట్,Antibiotic resistant
యాంటీబయాటిక్ (లు),Antibiotic(s)
యాంటీబాడీ,Antibody
యాంటీబాడీ జంట,Antibody couple
యాంటీబాడీ మధ్యవర్తిత్వ రోగనిరోధక శక్తి,Antibody mediated immunity
ప్రతిస్కందకం,Anticoagulant
యాంటికోడాన్ లూప్,Anticodon loop
యాంటిడిప్రెసెంట్,Antidepressant
అశ్లీల ముందు భాగము,Antidiuretic hormone (ADH)
యాంటిజెన్ జన్యువు,Antigen gene
యాంటిజెన్-యాంటీబాడీ కాంప్లెక్స్,Antigen-antibody complex
యాంటిజెనిక్ డిటర్మినెంట్,Antigenic determinant
యాంటిన్యూట్రిషనల్ కారకం,Antinutritional factor
యాంటీఆక్సిడెంట్,Antioxidant
యాంటీపోడల్ న్యూక్లియస్,Antipodal nucleus
యాంటీ సెన్స్ RNA,Anti-sense RNA
యాంటీవైరల్ ప్రోటీన్,Antiviral protein
Antrum,Antrum
అనుక్లీట్,Anucleate
పాయువు,Anus
ఆందోళన రుగ్మత,Anxiety disorder
బృహద్ధమని వంపు,Aortic arch
బృహద్ధమని గ్యాంగ్లియన్,Aortic ganglion
బృహద్ధమని సెమిలునార్ వాల్వ్,Aortic semilunar valve
బృహద్ధమని కవాటం,Aortic valve
APC (అనాఫేస్ ప్రమోటింగ్ కాంప్లెక్స్),APC (anaphase promoting complex)
అపెలైక్ పూర్వీకుడు,Apelike ancestor
అఫిడ్,Aphid
ఆఫ్రొడైట్,Aphrodite
ఎపికల్ ఆధిపత్యం,Apical dominance
ఎపికల్ ప్యాడ్,Apical pad
ఎపికల్చర్,Apiculture
APIS ఇండికా,Apis indica
అప్లానోస్పోర్,Aplanospore
అప్లిసియా,Aplysia
అపోకార్పే,Apocarpae
అపోకార్పస్,Apocarpous
అపోకార్పస్ అండాశయం,Apocarpous ovary
అపోక్రిన్ గ్రంథి,Apocrine gland
అపోఎంజైమ్,Apoenzyme
అపోమిక్,Apomict
అపోమిక్సిస్,Apomixis
అపోప్లాజమ్,Apoplasm
అపోప్లాస్టిక్ మార్గం,Apoplastic pathway
అపోప్టోసిస్,Apoptosis
ఉపకరణం,Apparatus
అనుబంధ అస్థిపంజరం,Appendicular skeleton
కర్ణభేరి యొక్క అనుబంధం,Appendix of the caecum
ఆపిల్ నత్త,Apple snail
ఆక్వాకల్చర్,Aquaculture
ఆక్వాపోరిన్,Aquaporin
జల ఉభయచర,Aquatic amphibian
జల రూపం,Aquatic form
జల ఆవాసాలు,Aquatic habitat
జల జీవి,Aquatic organism
జల మొక్క,Aquatic plant
జల శ్వాసక్రియ,Aquatic respiration
సజల ద్రవం,Aqueous fluid
సజల హ్యూమర్,Aqueous humur
సజల ఇంట్రా-సెల్యులార్ ద్రవం,Aqueous intra-cellular fluid
సజల నమూనా,Aqueous sample
సజల ద్రావణంలో,Aqueous solution
అక్విలా,Aquila
అరబిడోప్సిస్,Arabidopsis
అరాచ్నిడా,Arachnida
అరాక్నోయిడ్,Arachnoid
అరేనియస్,Araneus
అర్బోర్సెంట్,Arborescent
అర్బోర్సెంట్ లైకోపాడ్,Arborescent lycopod
ఆర్కిబాక్టీరియా,Archaebacteria
ఆర్కిగోనియం,Archegonium
ద్వీపసమూహం,Archipelago
ఆర్కిటిక్,Arctic
ఆర్కిటిక్ టెర్న్,Arctic tern
ఆర్కిటిక్ టండ్రా,Arctic tundra
ఆర్డియా,Ardea
ఐసోలార్ కణజాలం,Areolar tissue
రుజువు,Argemone (prickly poppy)
ఆర్గెమోన్ మెక్సికానా,Argemone mexicana
అర్జినిన్,Arginine
శుష్క ప్రాంతం,Arid region
అరిస్టోలోచియాసియా,Aristolochiaceae
చేయి దాణా,Arm feeding
ఆర్మీవార్మ్,Armyworm
Aroid,Aroid
వాసన,Aroma
అరేస్టర్,Arrester
ఆర్టెమిసియా,Artemisia
ధమనుల సిస్టోలిక్,Arterial systolic
ఆర్టిరియోస్క్లెరోటిక్,Arteriosclerotic
ఆర్థ్రోపోడ్,Arthropod
ఆర్థరైటిస్,Arthritis
ఆర్థ్రోపోడా,Arthropoda
కీలు మృదులాస్థి,Articular cartilage
ఉచ్చారణ,Articulate
ఉచ్చరించబడింది,Articulated
కృత్రిమ పేస్‌మేకర్,Artificial pacemaker
కృత్రిమ ఎంపిక,Artificial selection
ఆర్టోకార్పస్ హెటెరోఫిల్లస్,Artocarpus heterophyllus
ఆస్బెస్టాస్ ఫైబర్,Asbestos fibre
ఆస్బెస్టాసిస్,Asbestosis
అస్కారిస్,Ascaris
ఆరోహణ క్రోమాటోగ్రఫీ,Ascending chromatography
అస్సిడియా,Ascidia
అస్సిడియన్,Ascidian
అస్కోకార్ప్,Ascocarp
అస్కోమైసెట్స్,Ascomycetes
ఆస్కార్బిక్ ఆమ్లం,Ascorbic acid
అస్కోస్పోర్,Ascospore
అస్కస్,Ascus
Aseptate,Aseptate
అలైంగిక పునరుత్పత్తి,Asexual reproduction
అలైంగిక బీజాంశం,Asexual spore
ఆస్పరాజిన్ సింథటేస్,Asparagine synthetase
ఆస్పరాగస్,Asparagus
అస్పార్టిక్ ఆమ్లం,Aspartic acid
ఆస్పెర్‌గిల్లస్ నైగర్,Aspergillus niger
ఆస్పెర్‌గిల్లస్,Aspergillus
అస్ఫోడెలస్ టెనుఫోలియస్,Asphodelus tenuifolius
ఆస్పిరిన్,Aspirin
పరీక్ష,Assay
సమావేశం,Assemblage
సమీకరణ సామర్థ్యం,Assimilation efficiency
అస్సిమిలేటరీ రూట్,Assimilatory root
సహాయక పునరుత్పత్తి సాంకేతికత,Assisted reproductive technique
అసోసియేషన్ ప్రాంతం,Association area
అసోసియేటివ్ సహజీవనం,Associative symbiosis
కలగలుపు మరియు పున omb సంయోగం,Assortment and recombination
కారకం యొక్క కలగలుపు,Assortment of factor
అస్టాకస్,Astacus
ఆస్టెరేసి,Asteraceae
ఆస్టారేల్స్,Asterales
గ్రహశకలం,Asteroid
ఉబ్బసం,Asthma
ఆస్ట్రగలస్ గుమ్మర్,Astragalus gummifer
జ్యోతిష్య కుదురు పోల్,Astral spindle pole
ఖగోళ శాస్త్రవేత్త,Astronomer
అసమాన కార్యోటైప్,Asymmetric karyotype
అసమాన,Asymmetrical
అథెరోమాటస్,Atheromatous
అథెరోస్క్లెరోసిస్,Atherosclerosis
అథెరోస్క్లెరోటిక్ ఫలకం,Atherosclerotic plaque
భౌగోళిక పటం,Atlas
అట్లాస్ వెన్నుపూస,Atlas vertebra
వాతావరణం,Atmosphere
వాతావరణం,Atmospheric
వాతావరణ ఇన్పుట్లు,Atmospheric inputs
అటామిక్ ఫోర్స్ మైక్రోస్కోప్,Atomic force microscope
అణువు,Atom
ATP ASE,ATP ase
కర్ణిక సంకోచం,Atrial contraction
కర్ణిక దడ,Atrial fibrillation
కర్ణిక మధ్యస్థ,Atrial natriuretic factor (ANF)
కర్ణిక నోడ్,Atrial node
కర్ణిక సిస్టోల్,Atrial systole
అట్రియోవెంట్రిక్యులర్ నోడ్,Atrioventricular node
అట్రియోవెంట్రిక్యులర్ వాల్వ్,Atrioventricular valve
కర్ణిక,Atrium (peatria)
కర్ణిక,Atrium (peatria)
అట్రోపా బెల్లడోన్నా,Atropa belladonna
క్షీణత,Atrophy
అట్రోపిన్ ఆల్కలాయిడ్,Atropine alkaloid
అటాచ్మెంట్ ప్లేట్,Attachment plate
శ్రవణ వల్కలం,Auditory cortex
Ululosira,Aulosira
మూత్రకద్రవయ ఎముక,Auricle (auricula)
మూత్రకద్రవయ ఎముక,Auricle (auricula)
మూత్రకద్రవయ ఎముక,Auricle (auricula)
మూత్రకద్రవయ ఎముక,Auricle (auricula)
ఆస్ట్రాలోపిథెసిన్లు,Australopithecines
ఆటోకాలజీ,Autecology
ఆటోమేటెడ్ DNA సీక్వెన్సర్,Automated DNA sequencer
ఆటోపోలిప్లోయిడ్,Autopolyploid
ఆటోనలైజర్,Autoanalyser
ఆటోగామి,Autogamy
ఆటోగామి,Autogamy
ఆటోగ్రాఫ్ట్,Autograft
స్వయం ప్రతిరక్షక వ్యాధి,Autoimmune disease
ఆటోమొబైల్ ఎగ్జాస్ట్,Automobile exhaust
అటానమిక్ (అసంకల్పిత) నాడీ వ్యవస్థ,Autonomic (involuntary) nervous system
ఆటోఫాగిక్ లైసోజోమ్,Autophagic lysosome
ఆటోప్లాయిడ్,Autoploid
ఆటోపోడియం,Autopodium
ఆటోపోలిప్లోయిడ్,Autopolyploid
ఆటోసోమల్ క్రోమోరోమ్,Autosomal chromorome
ఆటోసోమల్ జన్యువు,Autosomal gene
ఆటోసోమ్,Autosome
ఆటోటెట్రాప్లాయిడ్,Autotetraploid
ఆటోటోమి,Autotomy
ఆటోట్రిప్లోయిడ్ రకం,Autotriploid variety
ఆటోట్రోఫ్,Autotroph
శరదృతువు కలప,Autumn wood
అక్సనోగ్రాఫ్,Auxanograph
అక్సనోమీటర్,Auxanometer
సహాయక పెరుగుదల,Auxetic growth
ఆక్సిన్,Auxin
ఆక్సోట్రోఫ్,Auxotroph
ఒక v బండిల్,A V bundle
ఏవ్స్,Aves
అవిసెన్నియా,Avicennia
Awn,Awn
అక్షసంబంధ అస్థిపంజరం,Axial skeleton
ఆక్సైల్,Axile
ఆక్సిలరీ బడ్,Axillary bud
ఆక్సిలరీ,Axillary
అక్షం వెన్నుపూస,Axis vertebra
ఆక్సాన్,Axon
అక్షసంబంధ పొర,Axonal membrane
అక్షసంబంధమైన,Axonally
ఆక్సోనెమ్,Axoneme
అజోస్పిరిల్లమ్,Azospirillum
అజోటోబాక్టర్,Azotobacter
అజైగస్ సిర,Azygous vein
బాసిల్లస్ ఆంత్రాసిస్,Bacillus anthracis
కర్రవు,Bacillus thuringiensis (Bt)
బాసిల్లస్,Bacillus
బాక్టీరియా,Bacteria
బాక్టీరియల్,Bacterial
బాక్టీరియా కృత్రిమ క్రోమోజోమ్,Bacterial artificial chromosome (BAC)
బాక్టీరియల్ వ్యాధికారక,Bacterial pathogen
బాక్టీరియల్ ప్లాస్మా పొర,Bacterial plasma membrane
బాక్టీరియల్ స్ట్రెయిన్,Bacterial strain
బాక్టీరియాలజికల్,Bacteriological
బాక్టీరియోలాజికల్ నామకరణం,Bacteriological nomenclature
బాక్టీరియోఫేజ్,Bacteriophage
బాక్టీరియం,Bacterium
బాకులోవైరస్,Baculovirus
బ్యాగింగ్,Bagging
బాలెనోప్టెరా,Balaenoptera
సమతుల్య పాలిమార్ఫిజం,Balanced polymorphism
ఎంపిక బ్యాలెన్సింగ్,Balancing selection
బాలనోగ్లోస్సస్,Balanoglossus
బాలనస్,Balanus
బాలాస్టా,Balausta
బంతి ballపిరి,Ball and socket joint
బెలూన్ కేథరైజేషన్,Balloon catherization
బామ్ హెచ్,Bam H I
వెదురు-షూట్,Bamboo-shoot
బ్యాండెడ్ యాంటీటర్,Banded anteater
బ్యాండింగ్ టెక్నిక్,Banding technique
బార్బిటురేట్,Barbiturate
బేర్ రాక్,Bare rock
అడ్డంకి,Barrier
బెరడు,Bark
బార్నాకిల్,Barnacle
బేసల్ బాడీ,Basal body
బేసల్ కవర్,Basal cover
బేసల్ గ్యాంగ్లియన్,Basal ganglion
బేసల్ ప్యాడ్,Basal pad
బేస్,Base
బేస్ జత,Base pair
బేస్మెంట్ పొర,Basement membrane
బాసిడియోకార్ప్,Basidiocarp
బాసిడియోమైసెట్స్,Basidiomycetes
బాసిడియోస్పోర్,Basidiospore
బాసిడియం,Basidium
బాసిఫిక్స్డ్,Basifixed
బాసిలార్ పొర,Basilar membrane
బాసిపెటల్ ఇంటర్నోడ్ ఆర్డర్,Basipetal internode order
బాసోఫిల్,Basophil
బాసోఫిలిక్,Basophilic
బేట్సియన్ మిమిక్రీ,Batesian mimicry
బాత్ స్పాంజ్,Bath sponge
బాత్ స్పాంజ్,Bath sponge
బౌహినియా,Bauhinia
బీట్,Beat
తేనెటీగ,Beehive
బీవాక్స్,Beewax
బిగోనియా,Begonia
ప్రవర్తనా అనుసరణ,Behavioural adaptation
బెల్,Bel
బెల్లడోన్నా,Belladonna
నిరపాయమైన కణితి,Benign tumour
బెంథిక్,Benthic
బెంజీన్ హెక్సాక్లోరైడ్ (బిహెచ్‌సి),Benzene hexachloride (BHC)
బెంజీన్,Benzene
బెరెనిల్,Berenil
బెర్రీ,Berry
బీటా వైవిధ్యం,Beta diversity
బెటులా,Betula
బి-గ్లోబిన్,B-globin
భంగ్,Bhang
