Odiya,Punjabi
ଆକାଶବାଣୀ |,ਧੁਨੀ
ଅଧିଗ୍ରହଣ,ਗ੍ਰਹਿਣ
ଆକ୍ରୋନିମ୍ |,ਐਕਰੋਨਾਈਮ
କ୍ରିୟା କ୍ଷେତ୍ର,ਕਾਰਵਾਈ ਖੇਤਰ
ସକ୍ରିୟ ଚିଲାମେଣ୍ଟ |,ਸਰਗਰਮ ਤੰਦ
ସକ୍ରିୟ,ਕਿਰਿਆਸ਼ੀਲ
ସକ୍ରିୟ କ୍ଷେତ୍ର,ਐਕਟਿਵ ਖੇਤਰ
ସକ୍ରିୟ ୱିଣ୍ଡୋ |,ਐਕਟਿਵ ਵਿੰਡੋ
ଅନୁକେତ,ਅਨੁਕੂਲਤਾ
ଆଡାପ୍ଟର (ଆଡାପ୍ଟର),ਅਡੈਪਟਰ (ਅਡੈਪਟਰ)
ଆଡାପ୍ଟିଭ୍ ଡିଫେରିଏଲ୍ ପଲ୍ସ କୋଡ୍ ମୋଡୁଲେସନ୍ |,ਅਡੈਪਟਿਵ ਇਨਫਿਅਲ ਪਲਸ ਕੋਡ ਸੰਚਾਲਨ
ଠିକଣା ବହି,ਐਡਰੈੱਸ ਬੁੱਕ
ଠିକଣା ବସ୍,ਪਤਾ ਬੱਸ
ଠିକଣା ରେଜୋଲୁସନ,ਪਤਾ ਹੱਲ
ସଂଲଗ୍ନ ଚ୍ୟାନେଲର ହସ୍ତକ୍ଷେପ |,ਨੇੜਲੇ ਚੈਨਲ ਦਖਲਅੰਦਾਜ਼ੀ
ସଂଲଗ୍ନ ଚ୍ୟାନେଲ ଚୟନ,ਨਾਲਤ ਚੈਨਲ ਚੋਣ
ସଂଲଗ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି |,ਆਸ ਪਾਸ ਦੀ ਬਾਰੰਬਾਰਤਾ
ସଂଲଗ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି ଚ୍ୟାନେଲ |,ਨਾਲ ਲੱਗਦੇ ਫ੍ਰੀਕੁਐਂਸੀ ਚੈਨਲ
ସଂଲଗ୍ନ ଚିତ୍ର ବାହକ |,ਨਾਲ ਲੱਗਦੀ ਤਸਵੀਰ ਕੈਰੀਅਰ
ସଂଲଗ୍ନ ସାଉଣ୍ଡ ବାହକ |,ਨਾਲ ਲੱਗਦੀ ਆਵਾਜ਼ ਕੈਰੀਅਰ
ସଂଲଗ୍ନ ଷ୍ଟେସନ |,ਨਾਲ ਲੱਗਦੀ ਸਟੇਸ਼ਨ
ନିୟନ୍ତ୍ରିତ,ਵਿਵਸਥਤ
ନିୟନ୍ତ୍ରିତ କଣ୍ଡେନ୍ସର୍ |,ਵਿਵਸਥਤ ਕੰਡੈਂਸਰ
ଚାପକୁ ସଜାଡିବା |,ਦਬਾਅ ਵਿਵਸਥਿਤ ਕਰਨਾ
ରେଞ୍ଚ ଆଡଜଷ୍ଟ କରିବା |,ਰੈਂਚ ਨੂੰ ਵਿਵਸਥਿਤ ਕਰਨਾ
ଆଡଜଷ୍ଟମେଣ୍ଟ୍,ਵਿਵਸਥਾ
ପ୍ରଶାସକ,ਪ੍ਰਬੰਧਕ
ଉନ୍ନତ ଟେକ୍ନୋଲୋଜି |,ਤਕਨੀਕੀ ਤਕਨਾਲੋਜੀ
ବାୟୁ,ਏਰੀਅਲ
ଏରିଲ୍ ଆରେ |,ਏਰੀਅਲ ਐਰੇ
ଏରିଲ୍ ବୁଷ୍ଟର୍ |,ਏਰੀਅਲ ਬੂਸਟਰ
ଏରିଲ୍ କରେଣ୍ଟ୍ |,ਏਰੀਅਲ ਮੌਜੂਦਾ
ଏରିଲ୍ ମାଟିଙ୍ଗ୍ ସୁଇଚ୍ |,ਏਰੀਅਲ ਕਮਾ ਸਵਿੱਚ
ଏରିଲ୍ ଦକ୍ଷତା |,ਏਰੀਅਲ ਕੁਸ਼ਲਤਾ
ଏରିଲ୍ ଇନପେଟେନ୍ସ |,ਏਰੀਅਲ ਰੁਕਾਵਟ
ଏରିଲ୍ ଇଣ୍ଡିକାନ୍ସ |,ਏਰੀਅਲ ਇੰਡਕੈਕਟੈਂਸ
ଏରିଆଲ୍ ଇନସୁଲେଟର |,ਏਰੀਅਲ ਇਨਸੂਲੇਟਰ
ଏରିଆଲ୍ ଲୋଡିଂ କୋଇଲ୍ |,ਹਵਾਈ ਲੋਡਿੰਗ ਕੋਇਲ
ଏରିଲ୍ ଫଟୋଗ୍ରାଫି |,ਹਵਾਈ ਫੋਟੋਗ੍ਰਾਫੀ
ଏରିଲ୍ ଶକ୍ତି |,ਏਰੀਅਲ ਪਾਵਰ
ଏରିଆଲ୍ ବିକିରଣର ଲାଭ |,ਏਰੀਅਲ ਰੇਡੀਏਸ਼ਨ ਰੀਸੈਂਟਸ
ଏରିୟାଲ୍ ପ୍ରତିକ୍ରିୟା |,ਏਰੀਅਲ ਪ੍ਰਤੀਕਰਮ
ଏରୋଡାଇନାମିକ୍ସ,ਐਰੋਡਾਇਨਾਮਿਕਸ
ସଂସ୍ଥା,ਏਜੰਸੀ
ବାୟୁ କମ୍ପ୍ରେସାକ୍ର,ਏਅਰ ਕੰਪ੍ਰੈਸਰ
ବାୟୁ କଣ୍ଡନସର୍ |,ਏਅਰ ਕੰਡੈਂਸਰ
ବାୟୁ ଥଣ୍ଡା,ਹਵਾ ਠੰ .ੀ
ବାୟୁ କୋଡ୍ କୋଇଲ୍ |,ਏਅਰ ਕੋਰਡ ਕੋਇਲ
Accometication,ਏਅਰ ਕੰਡੀਸ਼ਨਿੰਗ
ଆଲବେଡୋ |,ਅਲਬਾਡੋ
ଆଲଗୋରିଦମ,ਐਲਗੋਰਿਦਮ
ଛଦ୍ମନାମ,ਅਲਾਇਸਿੰਗ
ମିଶ୍ରଣ,ਐਲਿੰਗਿੰਗ
ପରିଚାଳିତ,ਅਲਾਈਨਮੈਂਟ
ସମସ୍ତ ତରଙ୍ଗ ବାୟୁ |,ਸਾਰੇ ਵੇਵ ਏਰੀਅਲ
ଆବଣ୍ଟନ,ਅਲਾਟਮੈਂਟ
ବର୍ଣ୍ଣାନୁକ୍ରମିକ,ਵਰਣਮਾਲਾ
ବର୍ଣ୍ଣମାଳା,ਅਲਫਾਨੁਮਿਕ
ବର୍ଣ୍ଣମାଳା ଚରିତ୍ର |,ਅੱਖਰ ਅੱਖਰ
ବର୍ଣ୍ଣମାଳା ସୂଚନା,ਅਲਫਾਨੁਮਿਕ ਜਾਣਕਾਰੀ
ବିକଳ୍ପ ସାମ୍ପ୍ରତିକ (AC.),ਬਦਲਵੇਂ ਮੌਜੂਦਾ (ਏ.ਸੀ.)
ବିକଳ୍ପ,ਬਦਲਵਾਂ
Atternator,ਅਲਟਰਨੇਟਰ
ଉଚ୍ଚତା,ਉਚਾਈ
ଆପୋଜି ର ଉଚ୍ଚତା |,ਅਗੇਬੀ ਦੀ ਉਚਾਈ
PERIGEE ର ଉଚ୍ଚତା |,ਚਰਿੱਜ ਦੀ ਉਚਾਈ
ଆମୋଦିତ ରେଡିଓ ଯୋଗାଯୋଗ |,ਸ਼ੁਕੀਨ ਰੇਡੀਓ ਸੰਚਾਰ
ଅଭିଳାଷୀ |,ਮਾਹੌਲ
ଆମ୍ବିଏନ୍ସ ମାଇକ୍ରୋଫୋନ୍ |,ਮਾਹੌਲ ਮਾਈਕ੍ਰੋਫੋਨ
ପରିବେଶ ସର୍ତ୍ତ,ਅੰਬੀਨਟ ਦੀ ਸਥਿਤੀ
ପରିବେଶ ଆଲୋକ |,ਅੰਬੀਨਟ ਲਾਈਟਿੰਗ
ଆମ୍ବିକ୍ ଶବ୍ଦ,ਅੰਬੀਨਟ ਸ਼ੋਰ
ପରିବେଶ ତାପମାତ୍ରା |,ਵਾਤਾਵਰਣ ਦਾ ਤਾਪਮਾਨ
ଆମେରିକୀୟ ମାନକ କୋଡ୍ |,ਅਮੈਰੀਕਨ ਸਟੈਂਡਰਡ ਕੋਡ
ଆମ୍ପେର୍,ਐਂਪੀਅਰ
ଆମ୍ପେର୍ ମିଟର |,ਐਂਪਰ ਮੀਟਰ
ବୃଦ୍ଧି,ਸਹਾਇਕਤਾ
Amplfication ଫ୍ୟାକ୍ଟର୍ |,ਐਪਲੀਫਿਕੇਸ਼ਨ ਫੈਕਟਰ
ଏମ୍ପ୍ଲିଫାୟର୍,ਐਂਪਲੀਫਾਇਰ
ଏମ୍ପ୍ଲିଫାୟର୍ ଲାଭ |,ਐਂਪਲੀਫਾਇਰ ਲਾਭ
ଏମ୍ପ୍ଲିଫାୟର୍ ଶବ୍ଦ |,ਐਂਪਲੀਫਾਇਰ ਸ਼ੋਰ
ଯନ୍ତ୍ରପାତି ଯନ୍ତ୍ରପାତି |,ਅਮਲੀਫਾਈਸਿੰਗ ਉਪਕਰਣ
କାଲିଷ୍ଟ୍ରନ୍,ਸਰਪਲੱਸਿੰਗ ਕਲਸਟ੍ਰੋਨ
Amplifying ୟୁନିଟ୍ |,ਅਮਲੀਫਾਈਸਿੰਗ ਯੂਨਿਟ
ପ୍ରଶସ୍ତତା,ਐਪਲੀਟਿ .ਡ
ପ୍ରସଙ୍ଗଯୁକ୍ତ ବିକୃତି |,ਐਪਲੀਟਿ itude ਡ ਭਟਕਣਾ
ପ୍ରୟୋଗ ହୋଇଥିବା ଭ୍ରମଣ |,ਐਪਲੀਟਿ ord ਡ ਸੈਕਸੀਅਨ
ପ୍ରଶସ୍ତତା ଫ୍ୟାକ୍ଟର୍ |,ਐਪਲੀਟਿ let ਟ ਫੈਕਟਰ
ପ୍ରଶସ୍ତତା ସୀମା,ਐਪਲੀਟਿ .ਡ ਸੀਮਾ
ପ୍ରୟୋଗ ମୋଡ୍ୟୁଲେଟ୍ |,ਐਪਲੀਟਿ .ਡ
ପ୍ରଶସ୍ତତା ମୋଡ୍ୟୁଲେସନ୍ |,ਐਪਲੀਟਿ let ਟ ਮੇਲੂਲੇਸ਼ਨ
ଆନାଗଲ୍ (ଆନାଗଲ୍),ਐਨਾਲਾਗ (ਐਨਾਲਾਗ)
ଆନାଗଲ୍ ସର୍କିଟ୍ |,ਐਨਾਲਾਗ ਸਰਕਿਟ
ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |,ਐਨਾਲਾਗ ਕੰਪਿ .ਟਰ
ଆନାଗଲ୍ ରେଡିଓ ଫ୍ରିକ୍ୱେନ୍ସି ଚ୍ୟାନେଲ |,ਐਨਾਲਾਗ ਰੇਡੀਓ ਬਾਰੰਬਾਰਤਾ ਚੈਨਲ
ଆନାଗଲ୍ ଉପସ୍ଥାପନା |,ਐਨਾਲਾਗ ਪ੍ਰਤੀਨਿਧਤਾ
ଆନାଗଲ୍ ସିଗନାଲ୍ |,ਐਨਾਲਾਗ ਸਿਗਨਲ
ଅନୁରୂପ କରିବାକୁ ଅନୁରୂପ |,ਐਨਾਲਾਗ ਡਿਜੀਟਲ
ଡିଜିଟାଲ୍ କନଭର୍ଟର ପାଇଁ ଆନାଗଲ୍ |,ਐਨਾਲਾਗ ਤੋਂ ਡਿਜੀਟਲ ਕਨਵਰਟਰ
ଆନାଗଲ୍ ଭିଡିଓ |,ਐਨਾਲਾਗ ਵੀਡੀਓ
ଅନୁରୂପ,ਸਮਾਨ
ଆନାଲୋଜି,ਸਮਾਨਤਾ
ବିଶ୍ଳେଷଣ |,ਵਿਸ਼ਲੇਸ਼ਣ
ତଥ୍ୟର ବିଶ୍ଳେଷଣ |,ਡਾਟਾ ਦਾ ਵਿਸ਼ਲੇਸ਼ਣ
ଆନାଲିଟିକାଲ୍ ଘନତା |,ਵਿਸ਼ਲੇਸ਼ਣ ਘਣਤਾ
ବିଶ୍ଳେଷଣ କର |,ਵਿਸ਼ਲੇਸ਼ਣ
ଆନିପ୍ରିଣ୍ଟେଜର |,ਵਿਸ਼ਲੇਸ਼ਕ
ଅର୍କିଲିଡିଆ ଉପକରଣ |,Ancilliay ਉਪਕਰਣ
ଏବଂ ଫାଟକ,ਅਤੇ ਗੇਟ
କଲିମିର କୋଣ |,ਕੋਲੀਮੈਂਟ ਦਾ ਕੋਣ
ପୋଲାରାଇଜେସନ୍ କୋଣ |,ਧਰੁਵੀਕਰਨ ਦਾ ਕੋਣ
ଘୂର୍ଣ୍ଣନର କୋଣ |,ਘੁੰਮਣ ਦਾ ਕੋਣ
Agtstom (å),ਐਂਗਟਰੋਮ (å)
କୋଣାର୍କ,ਕੋਣੀ
କୋଣାର୍କ ତ୍ୱରାନ୍ୱିତ |,ਕੋਣੀ ਪ੍ਰਵੇਗ
କୋଣାର୍କ ସମବେଦନା |,ਕੋਣੀ ਕੋ-ਆਰਡੀਨੇਟ
କୋଣାର୍କ ବିବେକ |,ਐਂਗਲੇਨਰ ਫੁਲੈਕਸ਼ਨ
କୋଣାର୍କ ବିପରୀତ |,ਐਂਗੂਲਰ ਫੈਲਾਅ
କୋଣାର୍କ ବିସ୍ଥାପନ |,ਕੋਣੀ ਵਿਸਥਾਪਨ
କୋଣାର୍କ ତ୍ରୁଟି |,ਐਂਗਲੇਰ ਐਰਰ
କୋଣାର୍କ ଫ୍ରିକ୍ୱେନ୍ସି |,ਕੋਣੀ ਦੀ ਬਾਰੰਬਾਰਤਾ
କୋଣାର୍କ ଗତି |,ਕੋਣੀ ਗਤੀ
କୋଣାର୍କ ଗତି,ਕੋਣੀ ਮੋਸ਼ਨ
କୋଣାର୍କ ବେଗ |,ਐਂਗਲੇਰ ਵੇਗ
ଆନିମେସନ୍,ਐਨੀਮੇਸ਼ਨ
Anode,ਐਨੋਡ
Anodod ବ୍ୟାଟେରୀ |,ਐਨੋਡ ਬੈਟਰੀ
Andod ବ istic ଶିଷ୍ଟ୍ୟ |,ਐਨੋਡ ਗੁਣ
ଆନୋଡ ସର୍କିଟ୍ |,ਅਨੋਡ ਸਰਕਟ
ଆନୁଷ୍ଠାନିକ ଡିସପିଏସନ,ਐਨੋਡ ਡਿਸਪੈਂਪੇਸ਼ਨ
ଆନୁଷ୍ଠାନିକ ଦକ୍ଷତା |,ਐਨੋਡ ਕੁਸ਼ਲਤਾ
ଆନୁଷ୍ଠାନିକ ଇନପୁଟ୍ ଶକ୍ତି |,ਐਨੋਡ ਇਨਪੁਟ ਪਾਵਰ
ଆନୁଷ୍ଠାନିକ ମୋଡୁଲେସନ୍ |,ਐਡੀਡ ਦੀ ਵਰਤੋਂ
ଆଣ୍ଟେନା |,ਐਂਟੀਨਾ
ଆଣ୍ଟେନା ବିମ୍ୱିଡଥ୍ |,ਐਂਟੀਨਾ ਬੀਅਵਿਡਥ
ଆଣ୍ଟେନା ବୁଷ୍ଟର୍ |,ਐਂਟੀਨਾ ਬੂਸਟਰ
ଆଣ୍ଟେନା ପରିବର୍ତ୍ତନକାରୀ ସୁଇଚ୍ |,ਐਂਟੀਨਾ ਬਦਲਾਓ ਸਵਿੱਚ
ଆଣ୍ଟେନା କୋଇଲ୍ |,ਐਂਟੀਨਾ ਕੋਇਲ
ଆଣ୍ଟେନା ବିନ୍ୟାସ,ਐਟੀਨਨਾ ਕੌਂਫਿਗਰੇਸ਼ਨ
ଆଣ୍ଟେନା କପଟର୍ |,ਐਂਟੀਨਾ ਕਪਲਰ
ଆଣ୍ଟେନା କ୍ରସ୍ ପୋଲାର୍ ପ୍ୟାଟର୍ |,ਐਂਟੀਨਾ ਕਰਾਸ ਪੋਲਰ ਪੈਟਰਨ
ଆଣ୍ଟେନା କରେଣ୍ଟ୍ |,ਐਂਟੀਨਾ ਮੌਜੂਦਾ
ଆଣ୍ଟେନା ପ୍ରତ୍ୟକ୍ଷ ପ୍ରତ୍ୟକ୍ଷ ଲାଭ |,ਐਂਟੀਨਾ ਡਾਇਰੈਕਟਰਵਿਟੀ ਲਾਭ
ଆଣ୍ଟେନା ଡୁପ୍ଲେକ୍ସର |,ਐਂਟੀਨਾ ਡੁਪਲੈਕਸਰ
ଆଣ୍ଟେନା ପ୍ରଭାବଶାଳୀ କ୍ଷେତ୍ର |,ਐਂਟੀਨਾ ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਖੇਤਰ
ଆଣ୍ଟେନା ଦକ୍ଷତା |,ਐਂਟੀਨਾ ਕੁਸ਼ਲਤਾ
ଆଣ୍ଟେନା ଫିଡ୍ |,ਐਂਟੀਨਾ ਫੀਡ
ଆଣ୍ଟେନା ପାଦ ପ୍ରିଣ୍ଟ୍ |,ਐਂਟੀਨਾ ਪੈਰ ਪ੍ਰਿੰਟ
ଆଣ୍ଟେନା ଲାଭ,ਐਂਟੀਨਾ ਲਾਭ
ଆଣ୍ଟେନା ଉଚ୍ଚତା |,ਐਂਟੀਨਾ ਉਚਾਈ
ଆଣ୍ଟେନା ପ୍ରତିରକ୍ଷା |,ਐਂਟੀਨਾ ਪ੍ਰੇਸ਼ਾਨ
ଆଣ୍ଟେନା ଇଣ୍ଡିକାନ୍ସ |,ਐਂਟੀਨਾ ਇੰਡਸੀਕਟੈਂਸ
ଆଣ୍ଟେନା ପାଟର୍ନ |,ਐਂਟੀਨਾ ਪੈਟਰਨ
ଆଣ୍ଟେନା ପ୍ଲେକ୍ସର୍ |,ਐਂਟੀਨਾ ਪਲੇਕਸਰ
ଆଣ୍ଟେନା ପୋଲାରାଇଜେସନ୍ |,ਐਂਟੀਨਾ ਧਰੁਵੀਕਰਨ
ଆଣ୍ଟେନା ଶକ୍ତି |,ਐਂਟੀਨਾ ਪਾਵਰ
ଆଣ୍ଟେନା ପାୱାର ଲାଭ |,ਐਂਟੀਨਾ ਪਾਵਰ ਲਾਭ
ଆଣ୍ଟିନା ବିକିରଣ ପ୍ରତିରୋଧ |,ਐਂਟੀਨਾ ਰੇਡੀਏਸ਼ਨ ਟਾਕਰਾ
ଆଣ୍ଟେନା ପ୍ରତିକ୍ରିୟା |,ਐਂਟੀਨਾ ਪ੍ਰਤੀਕ੍ਰਿਆ
ଆଣ୍ଟେନା ରିଫଲେକ୍ଟର |,ਐਂਟੀਨਾ ਰਿਫਲੈਕਟਰ
ଆଣ୍ଟେନା ପ୍ରତିରୋଧ,ਐਂਟੀਨਾ ਟਾਕਰੇ
ଆଣ୍ଟେନା ପର୍ଯ୍ୟଟକଗଣ ବିସ୍ତାରିତ ଫ୍ରିକ୍ୱେନ୍ସି |,ਐਂਟੀਨਾ ਗੂੰਜਕ ਬਾਰੰਬਾਰਤਾ
ଆଣ୍ଟେନା ବ୍ୟବଧାନ |,ਐਂਟੀਨਾ ਸਪੇਸਿੰਗ
ଆଣ୍ଟେନା ସୁଇଚ୍ ରୁମ୍ |,ਐਂਟੀਨਾ ਸਵਿਚਿੰਗ ਰੂਮ
ଆଣ୍ଟେନା ଟ୍ୟୁନିଂ କୋଇଲ୍ |,ਐਂਟੀਨਾ ਟਿ ing ਨਿੰਗ ਕੋਇਲ
ଆଣ୍ଟେନା ଟ୍ୟୁନିଂ ହାଟ |,ਐਂਟੀਨਾ ਟਿ ing ਨਿੰਗ ਹੱਟ
ଆପେଚର,ਅਪਰਚਰ
ଆପୋଲେଜ୍,ਅਪੋਜੀ
ଆପୋଲେ ରକେଟ୍ |,ਅਪੋਜੀ ਰਾਕੇਟ
ଉପକରଣ,ਉਪਕਰਣ
ସ୍ପଷ୍ଟ,ਸਪੱਸ਼ਟ
ଆପଲେଟ୍,ਐਪਲਿਟ
ପ୍ରୟୋଗ,ਐਪਲੀਕੇਸ਼ਨ
ଆନୁମାନିକ,ਲਗਭਗ
ଜଳପ୍ରବାହକାରୀ ସମାଧାନ |,Aquive ਹੱਲ
ଆର୍କ,ਆਰਕ
ସ୍ଥାପତ୍ୟ,ਆਰਕੀਟੈਕਚਰ
ଶବ୍ଦ ରେକର୍ଡିଂର ଅଭିଲେଖାଗାର ସ୍ଥାନାନ୍ତର |,ਧੁਨੀ ਰਿਕਾਰਡਿੰਗ ਦਾ ਆਰਕਵਲ ਟ੍ਰਾਂਸਫਰ
ଅଭିଲେଖାଗାର,ਪੁਰਾਲੇਖ
ଗାଣିତିକ କୋଡିଂ |,ਹਿਸਾਬ ਕੋਡਿੰਗ
ଅର୍ଗର,ਆਰਮਚਰ
ଅରତା ପବନ,ਆਰਮਟਿ ure ਟਰ ਹਵਾ
ଆରେ,ਐਰੇ
ଆରେଷ୍ଟ୍ରର୍,ਅਰੈਸਟਰ
ଆର୍ଟଲେସନ୍,ਬਿਆਨ
କଳାକୃତି (= କଳାକୃତି),ਆਰਟੀਫੈਕਟ (= ਆਰਟਫੈਕਟ)
ଆରୋହଣ,ਚੜ੍ਹਨਾ
ଆନୁମାନିକ ଅନୁପାତ,ਆਕਾਰ ਅਨੁਪਾਤ
ଏକତ୍ରିତ |,ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ
ଧାରଣା,ਜ਼ੋਰ
ଆସାଇନମେଣ୍ଟ,ਅਸਾਈਨਮੈਂਟ
ଆସାଇନମେଣ୍ଟ ଚ୍ୟାନେଲ୍ |,ਅਸਾਈਨਮੈਂਟ ਚੈਨਲ
ଅସମାନଗତ,ਅਸਮੈਟ੍ਰਿਕਲ
ଅସନ୍ତୁଳିତ,ਅਸਿੰਕਰੋਨਸ
ବାୟୁମଣ୍ଡଳ,ਵਾਤਾਵਰਣ
ବାୟୁମଣ୍ଡଳୀୟ କ୍ଷତି |,ਵਾਯੂਮੰਡਲ ਦਾ ਨੁਕਸਾਨ
ବାୟୁମଣ୍ଡଳୀୟ ଶବ୍ଦ |,ਵਾਯੂਮੰਡਲ ਸ਼ੋਰ
ବାୟୁମଣ୍ଡଳୀୟ ଚାପ |,ਵਾਯੂਮੰਡਲ ਦਾ ਦਬਾਅ
ବାୟୁମଣ୍ଡଳୀୟ ପ୍ରସାର |,ਵਾਯੂਮੰਡਲ ਪ੍ਰਸਾਰ
ବାୟୁମଣ୍ଡଳୀୟ ରେଡିଓ-ତରଙ୍ଗ |,ਵਾਯੂਮੰਡਲ ਰੇਡੀਓ-ਵੇਵ
ବାୟୁମଣ୍ଡଳ,ਵਾਯੂਮੰਡਲ
ପରମାଣୁ,ਐਟਮ
ପରମାଣୁ ଗଠନ,ਪ੍ਰਮਾਣੂ ਬਣਤਰ
ସଂଲଗ୍ନ,ਲਗਾਵ
ସାଧନ,ਪਟੀਸ਼ਨ
ଆଟେନେସନ୍ କ୍ଷତି |,ਅਟੁੱਟ ਨੁਕਸਾਨ
ଶବ୍ଦ ତରଙ୍ଗର ଆଭିମୁଖ୍ୟ |,ਅਵਾਜ਼ ਦੀਆਂ ਲਹਿਰਾਂ ਦਾ ਧਿਆਨ
