Telugu,Punjabi
బయోఎనర్జీ,ਬਾਇਓਨੇਰਜੀ
బయోనోమిక్స్,ਬਯਨੋਮਿਕਸ
బయోఇయాక్టర్,ਬਾਇਓਰੇਟਰ
బయోస్పియర్,ਬਾਇਓਸਪੇਅਰ
బయోటిక్,ਬਾਇਓਟਿਕ
బయోటైప్,ਬਾਇਓਟਾਈਪ
ద్విలింగ,ਲਿੰਗੀ
బ్లాంచింగ్,ਬਲੈਂਚਿੰਗ
పేలుడు,ਧਮਾਕਾ
కలపండి,ਮਿਸ਼ਰਣ
ముడత,ਝੁਲਸਣ
పొక్కు,ਛਾਲੇ
నీలం విప్లవం,ਨੀਲਾ ਇਨਕਲਾਬ
దిగువ వేడి గది,ਤਲ ਗਰਮੀ ਚੈਂਬਰ
దిగువ ఉష్ణ సాంకేతికత,ਤਲ ਹੀਟ ਤਕਨੀਕ
బ్రాన్,ਬ੍ਰੈਨ
శాఖ,ਸ਼ਾਖਾ
బ్రాంచ్లెట్,ਬ੍ਰੀਚਲੇਟ
జాతి,ਨਸਲ
పెంపకం,ਪ੍ਰਜਨਨ
బ్రిమ్మింగ్,ਝਗੜਾ
సంతానం,ਬਰੂਦ
బడ్డింగ్,ਉਭਰਦਾ
బడ్జెట్,ਬਜਟ
బఫర్,ਬਫਰ
బల్బ్,ਬੱਲਬ
బంట్,ਬੈਂਟ
ఉప-ఉత్పత్తి,ਉਪ-ਉਤਪਾਦ
బాబుల్ అకాసియా,ਬਾਬੂਬਦ ਬੱਬੀ
బేబీ మొక్కజొన్న,ਬੇਬੀ ਮੱਕੀ
బేల్,ਬਾਲ
బైల్,ਬਿਲ
బాల్సం,ਬਾਲਸਮ
వెదురు,ਬਾਂਸ
అరటి,ਕੇਲਾ
మర్రి చెట్టు,ਬੈਨੀਅਨ ਦਾ ਰੁੱਖ
బార్లీ,ਜੌ
బార్నియార్డ్ మిల్లెట్,ਬਾਰਨੀਅਰ ਬਾਜਰੇ
తులసి,ਤੁਲਸੀ
బాస్టర్డ్ సెడార్,ਬਾਸਟਰਡ ਸੀਡਰ
బాస్టర్డ్ మైరోబాలన్,ਬਾਸਟਰਡ ਮਾਈਰੋਬੇਲਾ
బౌహినియా,Bauhinia
బే బెర్రీ,ਬੇ ਬੇਰੀ
బీన్,ਬੀਨ
దుంప,ਚੁਕੰਦਰ
బెల్లడోన్నా,ਬੇਲਾਡੋਨਾ
బెర్,ਬੇਰ
బెర్సీమ్,ਸੋਰਸਮ
బెటెల్,ਸੁਪਾਰੀ
బిలింబి,ਬਿਲੀਮਬੀ
కాకరకాయ,ਕੌੜਾ ਬੈਰ
బ్లాక్ గ్రామ్,ਕਾਲਾ ਗ੍ਰਾਮ
బ్లాక్ నైట్ షేడ్,ਕਾਲੀ ਨਾਈਟਸੈਡ
బౌగెన్విలియా,ਬੌਗੇਨਵਿਲੇਸਾ
బాటిల్ బ్రష్,ਬੋਤਲ ਬੁਰਸ਼
బాటిల్ పొట్లకాయ,ਬੋਤਲ ਬਘਿਆੜ
బాక్స్ ట్రీ,ਬਾਕਸ ਲੜੀ
బ్రెడ్ ఫ్రూట్,ਬਰੈੱਡ ਫਲਾਂ
పెళ్లి లత,ਵਿਆਹ ਦੀ ਨਿੰਬੂ
బ్రింజల్,ਬ੍ਰਿੰਜਲ
బ్రాడ్ బీన్,ਬ੍ਰੌਡ ਬੀਨ
బ్రోకలీ,ਬ੍ਰੋ CC ਓਲਿ
బ్రస్సెల్ మొలక,ਬ੍ਰਸੇਸਲ ਦਾ ਫੁੱਟ
బుక్వీట్,ਬੱਕਵੈਟ
బ్యూటియా,ਬੁਟੀਆ
బాండికూట్,ਬੈਂਡਿਕੋਟ
ఎలుగుబంటి,ਰਿੱਛ
బీటిల్,ਬੀਟਲ
బొబ్బ బీటిల్,ਛਾਲੇ ਬੀਟਲ
బ్లూ బుల్,ਨੀਲਾ ਬੁੱਲ
బోల్ పురుగు,ਬੁਲ ਕੀੜਾ
సీతాకోకచిలుక,ਬਟਰਫਲਾਈ
బాక్టీరియాలజిస్ట్,ਜੀਵਾਣੂ-ਵਿਗਿਆਨੀ
బయోకెమిస్ట్,ਬਾਇਓਕੈਮਿਸਟ
జీవశాస్త్రవేత్త,ਜੀਵ ਵਿਗਿਆਨੀ
బయోటెక్నాలజిస్ట్,ਬਾਇਓਟੈਕਨੋਲੋਜਿਸਟ
వృక్షశాస్త్రజ్ఞుడు,ਬੋਟੈਨਿਸਟ
సి తేమ లక్షణ వక్రత,ਸੀ ਨਮੀ ਦੇ ਗੁਣ
కేక్,ਕੇਕ
కాల్కారియస్,ਕੈਲਕਿਸ
కాల్సిఫికేషన్,ਕੈਲਸੀਫਿਕੇਸ਼ਨ
ఫాస్ఫేట్ యొక్క లెక్కింపు,ਫਾਸਫੇਟ ਦਾ ਹਿਸਾਬ
కాలోసిటీ,ਕਲੇਸ਼
కాలిస్,ਕਾਲਸ
కాలిక్స్,ਕੈਲੀਕਸ
కాలిక్స్-ఎండ్,ਕੈਲੀਕਸ-ਐਂਡ
కాంబియం,ਕੈਮਬੀਅਮ
క్యాంకర్,ਕੈਨਕਰ
క్యానింగ్,ਕੈਨਿੰਗ
పందిరి,ਕੈਨੋਪੀ
రాజధాని,ਪੂੰਜੀ
కాప్రిఫికేషన్,ਕੈਪਟੇਸ਼ਨ
క్యాప్సూల్,ਕੈਪਸੂਲ
కార్బోనేటేడ్,ਕਾਰਬੋਨੇਟਡ
కార్బోనైజేషన్,ਕਾਰਬੋਨਾਈਜ਼ੇਸ਼ਨ
కార్పెల్,ਕਾਰਪਲ
కార్పస్,ਕਾਰਪਸ
కాస్టింగ్,ਕਾਸਟਿੰਗ
క్యాటాబోలిజం,ਕੈਟਾਬੋਲਿਜ਼ਮ
ఉత్ప్రేరక,ਉਤਪ੍ਰੇਸਿਆ
గొంగళి పురుగు,ਕੇਟਰਪਿਲਰ
సి-డిఎన్ఎ లైబ్రరీ,ਸੀ-ਡੀ ਐਨ ਏ ਲਾਇਬ੍ਰੇਰੀ
పైకప్పు,ਛੱਤ
సెల్,ਸੈੱਲ
కేంద్ర నాయకుడు వ్యవస్థ,ਕੇਂਦਰੀ ਲੀਡਰ ਸਿਸਟਮ
సెంట్రిక్,ਕੇਂਦਰਿਤ
సెంట్రిఫ్యూగేషన్,ਸੈਂਟਰਿਫੁਗਾਸ਼ਨ
సెంట్రిఫ్యూజ్,ਸੈਂਟਰਿਫਿ ize ਜ
సెంట్రియోల్,ਸੈਂਟਰਿਓਲ
సెంట్రోజెనిక్,CentRogenic
సెంట్రోజెనస్,ਸੈਂਟੀਗਨੌਜ਼
సెర్కస్,ਚੱਕਰ
ధాన్యం,ਅਨਾਜ
ధృవీకరణ,ਸਰਟੀਫਿਕੇਸ਼ਨ
ధృవీకరించబడిన విత్తనం,ਪ੍ਰਮਾਣਿਤ ਬੀਜ
చాఫ్,ਤੂਫਾਨ
చలాజా,ਚਮਜ਼ਾ
కెమోట్రోపిజం,ਮੈਕੌਟ੍ਰੋਜ਼ਿਜ਼ਮ
చియాస్మా,ਚਿਆਸਮਾ
చిల్లింగ్ గంటలు,ਚਿਲਿੰਗ ਘੰਟੇ
చిల్లింగ్ గాయం,ਸੱਟ ਲੱਗ ਰਹੀ ਸੱਟ
చిమెరా,Chimera
క్లోరాంథీ,ਚਲੋਟਰੈਠੀ
క్లోరోఫిల్,ਕਲੋਰੋਫਿਲ
క్లోరోసిస్,ਕਲੋਰੋਸਿਸ
క్లోరాలజీ,ਕਲੋਰੋਲੋਜੀ
క్రోమాటిడ్,Chrimindidd
క్రోమాటిన్,ਕ੍ਰੋਮੈਟਿਨ
క్రోమాటోగ్రఫీ,ਕ੍ਰੋਮੈਟੋਗ੍ਰਾਫੀ
క్రోమాటోలిసిస్,ਕ੍ਰੋਮੈਟੋਲਸਿਸ
క్రోమోసెంట్రే,ਕ੍ਰੋਮੋਸੀਸਟਰ
క్రోమోజెనిసిస్,ਕ੍ਰੋਮੋਜੇਨੇਸਿਸ
క్రోమోప్రొటీన్,ਕ੍ਰੋਮੋਪ੍ਰੋਟੀਨ
క్రోమోజోమ్,ਕ੍ਰੋਮੋਸੋਮ
దీర్ఘకాలిక,ਦੀਰਘ
సిట్రేంజ్,ਸਾਇੰਗ
క్లాడోడ్,ਕਲੇਡਡ
వర్గీకరణ,ਵਰਗੀਕਰਣ
మట్టి,ਮਿੱਟੀ
శుభ్రపరచడం,ਸਫਾਈ
క్లిస్టోగామి,ਕਲੇਰਿਸਟਾਗਮੀ
క్లైమాక్టెరిక్ పండు,ਜਲਦਬਾਜ਼ੀ ਦਾ ਫਲ
వాతావరణం,ਮੌਸਮ
క్లైమాటాలజీ,ਜਲਵਾਯੂ
క్లిప్పర్,ਕਲੀਪਰ
క్లాడ్,ਕਲੋਡ
క్లోన్,ਕਲੋਨ
మేఘం,ਬੱਦਲ
క్లాంప్,ਕਲੰਪ
క్లస్టర్,ਕਲੱਸਟਰ
ముతక,ਮੋਟੇ
విత్తనం,ਕੋਟ (ਬੀਜ)
కోకన్,ਕੋਕੂਨ
కోఎంజైమ్,ਸਿੱਕੇ
సమన్వయం,ਏਕਤਾ
కోయిర్,ਕੋਇਰ
కోలియోరిజా,ਕੋਲੀੋਰਿਹਿਜ਼ਾ
కాలర్,ਕਾਲਰ
ఘోథ,ਕੋਲੋਇਡ (ਮਿੱਟੀ)
కొలుమెల్లా,ਕੋਲਮੂਲਾ
కాలమ్,ਕਾਲਮ
ప్రారంభం,ਰਿਮੈਂਸੀਵਾਦ
వాణిజ్య బ్యాంకు,ਵਪਾਰਕ ਬੈਂਕ
వస్తువు,ਕਮੋਡਿਟੀ
సంఘం,ਕਮਿ Community ਨਿਟੀ
సంపీడన (మట్టి),ਸੰਕੁਚਨ (ਮਿੱਟੀ ਦਾ)
అనుకూలత,ਅਨੁਕੂਲਤਾ
అనుకూలత,ਅਨੁਕੂਲਤਾ
పరిహారం,ਮੁਆਵਜ਼ਾ
పోటీ పరస్పర చర్య,ਮੁਕਾਬਲੇਬਾਜ਼ੀ ਨਾਲ ਗੱਲਬਾਤ
పరిపూరకరమైన పంట,ਪੂਰਕ ਫਸਲ
క్లిష్టమైన,ਗੁੰਝਲਦਾਰ
భాగం,ਭਾਗ
కూర్పు,ਰਚਨਾ
కంపోస్ట్,ਖਾਦ
చక్రవడ్డీ,ਮਿਸ਼ਰਿਤ ਦਿਲਚਸਪੀ
గణన,ਗਣਨਾ
కంప్యూటర్,ਕੰਪਿ computer ਟਰ
ఏకాగ్రత,ਧਿਆਨ ਟਿਕਾਉਣਾ
కండీషనర్,ਕੰਡੀਸ਼ਨਰ
ప్రవర్తన,ਚਾਲ-ਚਲਣ
ఆకృతీకరణ,ਕੌਨਫਿਗਰੇਸ਼ਨ
అనుగుణ్యత,ਅਨੁਕੂਲਤਾ
గందరగోళం,ਉਲਝਣ
సంయోగం,ਸੰਜੋਗ
కనెక్టివ్,ਕੁਨੈਕਟਿਵ
పరిరక్షణ,ਸੰਭਾਲ
ఏకీకరణ,ਇਕਜੁੱਟ
భాగాలు,ਹਲਕੇ
వినియోగదారు,ਖਪਤਕਾਰ
వినియోగం,ਖਪਤ
కాలుష్యం,ਗੰਦਗੀ
ఆకృతి నాటడం,ਕੋਟੌਰ ਲਾਉਣਾ
ఆకృతి,ਸਮਾਲ
కాంట్రాక్ట్ వ్యవసాయం,ਇਕਰਾਰਨਾਮਾ ਖੇਤੀ
నియంత్రిత నిల్వ,ਨਿਯੰਤਰਿਤ ਸਟੋਰੇਜ
సహకార బ్యాంక్,ਸਹਿਕਾਰਤਾ ਵਾਲਾ ਬੈਂਕ
సహకారం,ਸਹਿਕਾਰਤਾ
కాపిస్,ਕਾੱਪੀਸ
కార్మ్,ਕੋਰਮ
కొరోల్లా,ਕੋਰੋਲਾ
కార్టెక్స్,ਕੋਰਟੇਕਸ
ధర,ਲਾਗਤ
కోడిలిడాన్,ਕੋਟੀਲਡਨ (ਬੀਜ)
క్రెడిట్ సొసైటీ,ਕਰੈਡਿਟ ਸੁਸਾਇਟੀ
క్రెడిట్,ਕ੍ਰੈਡਿਟ
రుణదాత,ਲੈਣਦਾਰ
క్రెస్ట్,ਕਰੈਸਟ
ముడతలు,Crinkle
సంక్షోభం,ਸੰਕਟ
ప్రమాణం,ਮਾਪਦੰਡ
క్లిష్టమైన,ਆਲੋਚਨਾਤਮਕ
పంట భీమా,ਫਸਲੀ ਬੀਮਾ
పంట రుణం,ਫਸਲ ਲੋਨ
పంట,ਫਸਲ
పంట ప్రాంతం,ਕਰੂਪਿੰਗ ਖੇਤਰ
క్రాస్ ఇన్ఫాంపిబుల్,ਕਰਾਸ-ਅਨੁਕੂਲ
