Marathi,English
Ph फिडस्,Aphids
आर्मी जंत,Army worm
कृषी अर्थशास्त्रज्ञ,Agricultural economist
कृषी विस्तारवादी,Agricultural extensionist
कृषी वैज्ञानिक,Agricultural scientist
कृषी अभियंता,Agriculture engineer
अ‍ॅग्रोबायोलॉजिस्ट,Agrobiologist
कृषीशास्त्रज्ञ,Agronomist
अ‍ॅग्रोफिसिकस्ट,Agrophysicst
प्राणी ब्रीडर,Animal breeder
बॅसिलस विषाणू,Bacillus virus
बॅसिलस,Bacillus
जिवाणू,Bacteria
बॅक्टेरियोटॉक्सिन,Bacteriotoxin
बागसे,Bagasse
शिल्लक पत्रक,Balance sheet
संतुलित फर्टिलायझेशन,Balanced fertilization
बार आकृती,Bar diagram
साल,Bark
बॅरोमीटर,Barometer
वांझ,Barren
पाया,Base
बेसिन,Basin
बासिपेटल,Basipetal
बासेस्टर्नम,Basisternum
बे मॉन्सून,Bay monsoon
बेअरिंग प्लांट,Bearing plant
बेड,Bed
बेडर,Bedder
बेडिंग,Bedding
बीट गुळ,Beet molasses
धनुष्य,Bellows
बेल्ट,Belt
लाभ-खर्च विश्लेषण,Benefit-cost analysis
पक्षपाती (सॅम्पलिंग),Biased (sampling)
द्विवार्षिक,Biennial
द्विपक्षीय,Binomial
बायोएजेन्ट,Bioagent
बायोक्लीमेट,Bioclimate
बायोएनर्जी,Bioenergy
बायोनोमिक्स,Bionomics
बायोरिएक्टर,Bioreactor
जीवशास्त्र,Biosphere
बायोटिक,Biotic
बायोटाइप,Biotype
उभयलिंगी,Bisexual
ब्लान्चिंग,Blanching
ब्लास्ट,Blast
मिश्रण,Blend
ब्लाइट,Blight
फोड,Blister
निळा क्रांती,Blue revolution
तळाशी उष्णता कक्ष,Bottom heat chamber
तळाशी उष्णता तंत्र,Bottom heat technique
कोंडा,Bran
शाखा,Branching
शाखा,Branchlet
प्रजनन,Breed
प्रजनन,Breeding
ब्रिमिंग,Brimming
ब्रूड,Brood
नवोदित,Budding
अर्थसंकल्प,Budget
बफर,Buffer
बल्ब,Bulb
बंट,Bunt
उप-उत्पादन,By-product
बाबुल बाभूळ,Babul acacia
बाळ कॉर्न,Baby corn
बाईल,Bael
बेली,Baill
बाल्सम,Balsam
बांबू,Bamboo
केळी,Banana
वडाचे झाड,Banyan tree
बार्ली,Barley
धान्याचे कोठार मिलेट,Barnyard millet
तुळस,Basil
बस्टर्ड सिडर,Bastard cedar
बस्टार्ड मायरोबालन,Bastard myrobalan
बौहिनिया,Bauhinia
बे बेरी,Bay berry
बीन,Bean
बीट,Beet
बेलॅडोना,Belladonna
बेर,Ber
Berseem,Berseem
सुपारी,Betel
बिलीमबी,Bilimbi
कारले,Bitter gourd
काळा हरभरा,Black gram
ब्लॅक नाईटशेड,Black nightshade
बोगेनविले,Bougainvillea
बाटली ब्रश,Bottle brush
दुधीभोपळा,Bottle gourd
बॉक्स ट्री,Box tree
ब्रेड फळ,Bread fruit
ब्राइडल क्रिपर,Bridal creeper
वांगे,Brinjal
ब्रॉड बीन,Broad bean
ब्रोकोली,Broccoli
ब्रुसेलचा अंकुर,Brussel's sprout
बकव्हीट,Buckwheat
बुटिया,Butea
बॅन्डिकूट,Bandicoot
अस्वल,Bear
बीटल,Beetle
ब्लिस्टर बीटल,Blister beetle
निळा बैल,Blue bull
बोल वर्म,Boll worm
फुलपाखरू,Butterfly
बॅक्टेरियोलॉजिस्ट,Bacteriologist
बायोकेमिस्ट,Biochemist
जीवशास्त्रज्ञ,Biologist
बायोटेक्नॉलॉजिस्ट,Biotechnologist
वनस्पतिशास्त्रज्ञ,Botanist
सी ओलावा वैशिष्ट्यपूर्ण वक्र,C moisture characteristic curve
केक,Cake
कॅल्केरियस,Calcarious
कॅल्सीफिकेशन,Calcification
फॉस्फेटचे कॅल्किनेशन,Calcination of phosphate
कॉलिटी,Callosity
कॉलस,Callus
कॅलेक्स,Calyx
कॅलेक्स-एंड,Calyx-end
कॅम्बियम,Cambium
कॅंकर,Canker
कॅनिंग,Canning
छत,Canopy
भांडवल,Capital
केप्रीफिकेशन,Caprification
कॅप्सूल,Capsule
कार्बोनेटेड,Carbonated
कार्बनायझेशन,Carbonization
कार्पेल,Carpel
कार्पस,Carpus
कास्टिंग,Casting
कॅटाबोलिझम,Catabolism
कॅटॅलिसिस,Catalysis
सुरवंट,Caterpillar
सी-डीएनए लायब्ररी,C-DNA Library
कमाल मर्यादा,Ceiling
सेल,Cell
केंद्रीय नेता प्रणाली,Central leader system
सेंट्रिक,Centric
सेंट्रीफ्यूगेशन,Centrifugation
सेंट्रीफ्यूज,Centrifuge
सेंट्रीओल,Centriole
सेंट्रोजेनिक,Centrogenic
केंद्रीत,Centrogenous
Cercus,Cercus
अन्नधान्य,Cereal
प्रमाणपत्र,Certification
प्रमाणित बियाणे,Certified seed
चाफ,Chaff
चालझा,Chalaza
केमोट्रोपिझम,Chemotropism
चियास्मा,Chiasma
शीतकरण तास,Chilling hours
शीतकरण इजा,Chilling injury
चिमेरा,Chimera
क्लोरॅन्थी,Chloranthy
क्लोरोफिल,Chlorophyll
क्लोरोसिस,Chlorosis
क्लोरोलॉजी,Chlorology
क्रोमॅटिड,Chromatid
क्रोमॅटिन,Chromatin
क्रोमॅटोग्राफी,Chromatography
क्रोमॅटोलिसिस,Chromatolysis
क्रोमोसेन्ट्रे,Chromocentre
क्रोमोजेनेसिस,Chromogenesis
क्रोमोप्रोटीन,Chromoprotein
क्रोमोसोम,Chromosome
जुनाट,Chronic
सिट्रेंज,Citrange
क्लेडोड,Cladode
वर्गीकरण,Classification
क्ले,Clay
स्वच्छता,Cleaning
क्लीस्टोगॅमी,Cleistogamy
क्लायमॅक्टेरिक फळ,Climacteric fruit
हवामान,Climate
हवामानशास्त्र,Climatology
क्लिपर,Clipper
क्लॉड,Clod
क्लोन,Clone
ढग,Cloud
गठ्ठा,Clump
क्लस्टर,Cluster
खडबडीत,Coarse
कोट (बियाणे),Coat (seed)
कोकून,Cocoon
कोएन्झाइम,Coenzyme
एकत्रीकरण,Cohesion
कॉर,Coir
कोलोरिझा,Coleorrhiza
कॉलर,Collar
कोलोइड (माती),Colloid (soil)
कोलंबेला,Columella
स्तंभ,Column
Comensalism,Commensalism
व्यावसायिक बँक,Commercial bank
वस्तू,Commodity
समुदाय,Community
कॉम्पॅक्शन (मातीची),Compaction (of soil)
सुसंगतता,Compatibility
सुसंगतता,Compatibility
भरपाई,Compensation
स्पर्धात्मक संवाद,Competitive interaction
पूरक पीक,Complementary crop
कॉम्प्लेक्स,Complex
घटक,Component
रचना,Composition
कंपोस्ट,Compost
चक्रवाढ व्याज,Compound interest
गणना,Computation
संगणक,Computer
एकाग्रता,Concentration
कंडिशनर,Conditioner
आवाहन,Conductance
कॉन्फिगरेशन,Configuration
अनुरूपता,Conformity
गोंधळात टाकणारे,Confounding
संयोजन,Conjugation
संयोजी,Connective
संवर्धन,Conservation
एकत्रीकरण,Consolidation
घटक,Constituents
ग्राहक,Consumer
वापर,Consumption
दूषित,Contamination
समोच्च लागवड,Contour planting
समोच्च,Contour
कॉन्ट्रॅक्ट शेती,Contract farming
नियंत्रित स्टोरेज,Controlled storage
सहकारी बँक,Co-operative bank
सहकारी,Cooperator
कॉपिस,Coppice
कॉर्म,Corm
कोरोला,Corolla
कॉर्टेक्स,Cortex
किंमत,Cost
कॉटिलेडन (बियाणे),Cotyledon (seed)
क्रेडिट सोसायटी,Credit society
पत,Credit
लेखादार,Creditor
माथा,Crest
Rickly,Crinkle
संकट,Crisis
निकष,Criterion
गंभीर,Critical
पीक विमा,Crop insurance
पीक कर्ज,Crop loan
पीक,Crop
पीक क्षेत्र,Cropping area
क्रॉस-इनकॉम्पॅन्सिबल,Cross-incompatible
मुकुट (वनस्पती),Crown (plant)
क्रंब,Crumb
कवच,Crust
क्रिप्टोगॅम,Cryptogam
कुल (फळे),Cull (fruits)
कुल्म,Culm
लागवड,Cultivar
लागवड,Cultivation
लागवड करणारा,Cultivator
संस्कृती,Culture
उपचार,Curing
कर्लिंग,Curling
चलन,Currency
क्यूटिकल,Cuticle
कटिंग,Cutting
गळू,Cyst
साइटोक्रोम,Cytochrome
सायटोगामी,Cytogamy
सायटोजेनेसिस,Cytogenesis
सायटोजेनेटिक्स,Cytogenetics
सायटोकिनेसिस,Cytokinesis
सायटोलॉजी,Cytology
सायटोलिसिस,Cytolysis
सायटोमेरे,Cytomere
साइटोप्लाझम,Cytoplasm
कोबी,Cabbage
कॅक्टस,Cactus
कॅलेंडुला,Calendula
कॅनरी गवत (फालारिस),Canary grass (phalaris)
कॅन्ना,Canna
कॅपरिस,Capparis
शिमला मिर्ची,Capsicum
कारंबोला,Carambola
कारपा,Carapa
वेलची,Cardamom
कार्नेशन,Carnation
गाजर,Carrot
काजू,Cashew nut
कॅसिया,Cassia
एरंडेल,Castor
फुलकोबी,Cauliflower
भाजी किंवा कोशिंबीर बनवण्यासाठी उपयुक्त अशी एक वनस्पती,Celery
शॅमक,Champac
चेनोपोडियम,Chenopodium
चेरी टोमॅटो,Cherry tomato
चेरी,Cherry
"चणा, हरभरा","Chickpea, gram"
मिरची,Chillies
चीन टर्पेन्टाईन ट्री,China turpentine tree
चाऊ-चाऊ,Chow-chow
क्रिसॅन्थेमम,Chrysanthemum
"चुफा, पृथ्वी बदाम","Chufa, earth almond"
सिचरी,Cichory
दालचिनी,Cinnamon
सिट्रॉन,Citron
सिट्रोनेला गवत,Citronella grass
चमेली चढणे,Climbing jasmine
लवंग,Clove
क्लस्टर बीन,Cluster bean
कोको,Cocoa
नारळ,Coconut
कॉफी,Coffee
कोलियस,Coleus
कोलोकेशिया,Colocasia
"कोलोसिंथ, कडू सफरचंद","Colocynth, bitter apple"
सामान्य पर्स्लेन,Common purslane
कोथिंबीर,Coriander
कापूस,Cotton
गायी,Cowpea
क्यूबब,Cubeb
काकडी,Cucumber
कुकर्बिट्स,Cucurbits
जिरे,Cumin
करी पान,Curry leaf
सीताफळ,Custard apple
कॅप्सूल बोरर,Capsule borer
सुरवंट,Caterpiller
लिंबूवर्गीय सायला,Citrus psylla
क्रिकेट,Cricket
कावळा,Crow
जंत कट करा,Cut worm
डेअरी,Dairy
दुग्धशाळा,Dairying
धरण,Dam
दिवस-तटस्थ,Day-neutral
फुलांच्या नंतरचे दिवस,Days after flowering
पूर्ण मोहोर नंतरचे दिवस,Days after full bloom
डीब्लोसमिंग,Deblossoming
Decalcification,Decalcification
डिकंट,Decant
क्षय,Decay
पाने गळणारा,Deciduous
दशांश,Decimal
कमतरता,Deficiency
डिफ्लोकुलेशन (माती),Deflocculation (soil)
डिफ्लोरेशन,Defloration
डीफोलिएशन,Defoliation
जंगलतोड,Deforestation
अध: पतन,Degeneration
अधोगती,Degradation
पदवी दिवस,Degree days
पदवी,Degree
Dehiscence,Dehiscence
डीहुलिंग,Dehulling
डीहुस्किंग,Dehusking
डिहायड्रेशन,Dehydration
डिहायड्रेटर,Dehydrator
मागणी,Demand
विकृती,Denaturation
नकार,Denudation
ठेव,Deposit
ठेव,Deposition
घसारा डेसालिनायझेशन,Depreciation desalinization
Desiccation,Desiccation
डिझाइन,Design
Descicator,Dessicator
निराश,Destoning
Desuckering,Desuckering
Desynapsis,Desynapsis
डेटासेल,Detassel
Detasseling,Detasseling
निर्धारक,Determinant
अवमूल्यन,Devaluation
Devegetation,Devegetation
विचलन,Deviation
डायड,Diad
निदान,Diagnosis
डिचोगामी,Dichogamy
द्वैधविज्ञान,Dichotomy
डिकोटिल्डन (बियाणे),Dicotyledon (seed)
मरणार (रोग),Die back (disease)
प्रसार,Diffusion
पचनक्षमता,Digestibility
डायहायब्रिड,Dihybrid
डिक (डायक),Dike (dyke)
सौम्य,Dilute
डायओसियस,Dioecious
डिप्लोइड,Diploid
डिप्लोइड,Diploid
डिप्लोमा,Diplonema
डिसबुडिंग,Disbudding
डिस्किंग,Discing
सूट,Discount
निर्जंतुकीकरण,Disinfection
फैलाव,Dispersion
प्रसार,Dissemination
विविधता,Diversification
विविध शेती,Diversified farming
डीएनए शिडी,DNA Ladder
डीएनए रिसेप्टर,DNA receptor
डॉकगेज,Dockage
प्रबळ,Dominant
सुप्तता,Dormancy
डोस,Dose
डबल सिग्मॉइड वक्र,Double sigmoid curve
मसुदा (मसुदा),Draft (draught)
निचरा,Drain
ड्रेनेज,Drainage
काढा,Draw
भिजत,Drenching
ड्रेसिंग (बियाणे),Dressing (seed)
ड्रिल (एन.),Drill (n.)
ड्रिलिंग (एजी. इंजी),Drilling (ag. engg)
ड्रिलिंग (अ‍ॅग्रोनॉमी),Drilling (agronomy)
ठिबक सिंचन,Drip irrigation
ड्रायलँड शेती,Dryland farming
धूळ,Dust
डस्टर,Duster
धूळ,Dusting
बटू,Dwarf
बौने पिरॅमिड,Dwarf pyramid
बौने,Dwarfing
डेझी,Daisy
तारखा,Dates
दिवस चमेली,Day jasmine
बडीशेप,Dill
दीननाथ गवत,Dinanath grass
डॉडर,Dodder
"डूब गवत, बर्म्युडा गवत","Doob grass, bermuda grass"
ड्रूस,Druce
कोरडे आले,Dry ginger
डीफोलिएटिंग बीटल,Defoliating beetle
ड्रोन,Drone
बदक,Duck
पर्यावरणशास्त्र,Ecology
इकोनोमेट्रिक्स,Econometrics
आर्थिक कार्यक्षमता,Economic efficiency
इकोटाइप,Ecotype
एक्टोट्रॉफिक,Ectotrophic
ईडाफिक,Edaphic
एडॉफोलॉजी,Edaphology
कडा,Edging
खाद्य भाग,Edible part
मागणीची लवचिकता,Elasticity of demand
उत्पादनाची लवचिकता,Elasticity of production
इलेक्ट्रोलिसिस,Electrolysis
इलेक्ट्रोफोरेसीस,Electrophoresis
Eluviation,Eluviation
Emasculator,Emasculator
तटबंदी,Embanking
गर्भ,Embryo
गर्भशास्त्र,Embryology
उदय,Emergence
इमल्सीफायर,Emulsifier
अंतर्जात,Endogenous
एंडोमिटोसिस,Endomitosis
एंडोपारासाइट,Endoparasite
एंडोस्पर्म,Endosperm
उपक्रम,Enterprise
एंटोमोलॉजी,Entomology
वातावरण,Environment
सजीवांच्या शरीरात निर्मार्ण होणारे द्रव्य,Enzyme
एपिकोटिल ग्राफ्टिंग,Epicotyl grafting
एपिफाइट,Epiphyte
इक्विटी,Equity
निर्मूलन,Eradication
आवश्यक पोषक घटक,Essential nutrients
अंदाज,Estimation
Etiolation,Etiolation
युजेनिक,Eugenic
मूल्यांकन,Evaluation
बाष्पीभवन,Evaporimeter
बाष्पीभवन,Evapo-transpiration
सदाहरित क्रांती,Evergreen revolution
सदाहरित,Evergreen
उत्क्रांती,Evolution
अबकारी,Excise
थकवा (प्रजननक्षमता),Exhaustion (fertility)
शोषण,Exploitation
अन्वेषण,Exploration
एक्सट्र्यूजन,Extrusion
डोळा (सुगेरकेन/बटाटा),Eye (sugercane/potato)
खाद्यतेल पाइन,Edible pine
"हत्ती पाय, याम","Elephant foot, yam"
निलगिरी,Eucalyptus
गांडूळ,Earthworm
कीटकशास्त्रज्ञ,Entomologist
पर्यावरणवादी,Environmentalist
घटक,Factor
घटक उत्पादकता,Factor productivity
फॅक्टरेज,Factorage
फॅक्टोरियल ब्लॉक डिझाइन,Factorial block design
शिक्षक,Facultative
पडझड,Fallow
कुटुंब,Family
शेती मूल्यांकन,Farm appraisal
शेती बजेट,Farm budgeting
शेती व्यवसाय,Farm business
शेती नियोजन,Farm planning
शेतकरी,Farmer
शेती,Farming
Fasciaction,Fasciation
Fecundation,Fecundation
किण्वन,Fermentation
सुपीकता,Fertility
खत,Fertilizer
खताची कार्यक्षमता वापरा,Fertilizer use efficiency
तंतुमय,Fibrous
फील्ड,Field
फील्ड क्षमता,Field capacity
फील्ड प्रात्यक्षिक,Field demonstration
निर्धारण,Fixation
पूर,Flooding
प्रवाह चित्र,Flow diagram
अन्न मूल्य,Food value
चारा (चारा),Forage (fodder)
अंदाज,Forecasting
वन,Forest
वनीकरण,Forestation
फ्रॉन्ड,Frond
फ्रॉस्ट प्रतिरोधक,Frost resistant
दंव,Frost
गोठलेले (फळ आणि भाजी),Frozen (fruit & vegetable)
फ्रुकिफिकेशन,Fructification
फळ थेंब,Fruit drop
फळ-सेट (फळांची सेटिंग),Fruit-set (fruit setting)
धूर,Fumigation
बुरशीनाशक,Fungicide
बुरशीवादी,Fungistatic
बुरशीचे,Fungus
Furo,Furow
फ्यूजन,Fusion
अस्पष्ट,Fuzz
अस्पष्ट,Fuzzy
"एका जातीची बडीशेप, बडीशेप","Fennel, anise"
मेथी,Fenugreek
अंजीर,Fig
बोटा बाजरी,Finger millet
अग्निशामक बुश,Fire-flame bush
जंगलाची ज्योत,Flame of forest
फ्रेंच बीन,French bean
पिसू,Flea
कोल्हा,Fox
फळ माशी,Fruit fly
पित्त (हॉर्ट),Gall (Hort)
गेमेट,Gamete
बाग,Garden
गेज (पाणी),Gauge (water)
जीन बँक,Gene bank
जीन टॅगिंग,Gene tagging
जीनोलॉजी,Geneology
अनुवांशिक नकाशा,Genetic map
अनुवांशिक,Genetics
जीनोम,Genome
जीनोमिक लायब्ररी,Genomic library
जीनोमिक्स,Genomics
जीनोटाइप,Genotype
जीनोटाइप,Genotype
वंश,Genus
वंश,Genus
अंकुर,Germ
जंतुनाशक,Germicide
उगवण,Germination
जर्मप्लाझम,Germplasm
गिब्बरेलिक acid सिड,Gibberellic acid
जिनिंग,Ginning
ग्लूम,Glume
ग्लूटीनस,Glutinous
ग्लायकोलिसिस,Glycolysis
Gneiss,Gneiss
सुवर्ण क्रांती,Golden revolution
ग्रेडिंग,Grading
कलम केलेला वनस्पती,Grafted plant
कलम-विसंगत,Graft-incompatible
ग्रॅना,Granna
ग्रॅन्युलेशन,Granulation
ग्रीन खत,Green manure
हरित क्रांती,Green revolution
वाढ आणि विकास,Growth and development
गमोसिस,Gummosis
गायनोडिओसियस,Gynodioecious
पित्त नट,Gall nut
लसूण,Garlic
गर्बेरा,Gerbera
Gherkin,Gherkin
आले,Ginger
ग्लॅडिओलस,Gladiolus
बकरी तण (एजराटम),Goat weed (ageratum)
द्राक्षफळ,Grapefruit
द्राक्षे,Grapes
हिरवा हरभरा,Green gram
ग्रेव्हिया,Grewia
शेंगदाणे,Groundnut
पेरू,Guava
गिनिया गवत,Guinea grass
पित्त मिज,Gall midge
गवत हॉपर,Grass hopper
Gondhy बग,Gundhy bug
सवय,Habit
गारा,Hail
केशरचना,Hairyvetch
हॅलोफाइट,Halophyte
हॅरो,Harrow
कापणी निर्देशांक,Harvest index
कापणी,Harvest
कापणी,Harvesting
हॅच,Hatch
गवत,Hay
गवत,Haylage
गवत,Haystock
धुके,Haze
हेझी,Hazy
प्रमुख (कृषी),Head (Agro)
प्रमुख (चॅनेलचे),Head (of channel)
मागे जात आहे,Heading back
हेज,Hedge
हेजिंग,Hedging
हेलिक्स,Helix
हेमॅटाइट,Hematite
औषधी वनस्पती,Herb
हर्बेरियम,Herbarium
औषधी वनस्पती,Herbicide
आनुवंशिकता,Heredity
आत्मीयता,Heretability
हर्माफ्रोडाइट,Hermaphrodite
हेटरोक्रोमॅटिक,Heterochromatic
हेटरोफर्टिलायझेशन,Heterofertilization
हेटरोसिस,Heterosis
हेटरोसोम,Heterosome
हेटरोट्रोफ,Heterotroph
हेक्साप्लोइड,Hexaploid
हायबरनेट,Hibernate
उच्च घनतेची लागवड,High density planting
हिल (तांदूळ),Hill (rice)
हिस्टोग्राम,Histogram
हिटेक फलोत्पादन,Hitech horticulture
पोळे,Hive
होईंग,Hoeing
होल्डिंग,Holding
होम फार्म,Home farm
होमिओस्टॅसिस,Homeostasis
होमस्टीड,Homestead
एकसंधपणा,Homogeneity
एकसंध,Homogenous
होमोलोगस,Homologus
होमोझीगोटे,Homozygote
हॉपर,Hopper
होरायझन,Horizon
बागायती पिके,Horticultural crops
बागायती,Horticulture
हॉर्टी-सिल्वी खेडूत शेती,Horti-silvi pastoral farming
होस्ट,Host
गरम पाण्याचे उपचार,Hot water treatment
हुल,Hull
आर्द्रता,Humidity
बुरशी,Humus
भुंगा,Husk
हस्कर,Husker
हस्किंग,Husking
संकरित,Hybrid
संकरीत,Hybridization
हायड्रेशन,Hydration
हायड्रोलॉजी,Hydrology
हायड्रोलिसिस,Hydrolysis
हायड्रोमीटर,Hydrometer
हायड्रोफिलस,Hydrophilous
हायड्रोपोनिक्स,Hydroponics
हायड्रोस्फीअर,Hydrosphere
हायड्रोस्कोपीसीटी,Hydroscopicity
हायपरपॅरासाइट,Hyperparasite
हायपरप्लासिया,Hyperplasia
हायफा,Hypha
हायपोकोटाइल,Hypocotyl
हायपोथेसिस,Hypothesis
हिस्टेरिसिस (पाणी),Hysteresis (water)
हेझेल नट,Hazel nut
भांग,Hemp
हेनबेन,Henbane
मेंदी,Henna
हिबिस्कस,Hibiscus
हॉप,Hop
घोडा हरभरा,Horse gram
घोडा-डोळा-बीन,Horse-eye-bean
मधमाशी,Honeybee
हॉपर,Hopper
बागायती,Horticulturist
हायड्रोलॉजिस्ट,Hydrologist
सिटू ग्राफ्टिंग मध्ये,In situ grafting
ग्लासमध्ये,In vitro
व्हिव्हो मध्ये,In vivo
अंदाधुंदी,Indiscriminate
कीटक,Insect
कीटक कीटक,Insect pest
कीटक,Insectary
कीटकनाशक,Insecticide
कीटकनाशक,Insectivorous
