Malayalam,Gujarati
യഥാർത്ഥ ഡാറ്റ കൈമാറ്റ നിരക്ക്,વાસ્તવિક ડેટા ટ્રાન્સફર રેટ
യഥാർത്ഥ ദശാംശസ്ഥാനം,વાસ્તવિક દશાંશ બિંદુ
യഥാർത്ഥ നിർദ്ദേശം (= ഫലപ്രദമായ നിർദ്ദേശം),વાસ્તવિક સૂચના (= અસરકારક સૂચના)
യഥാർത്ഥ കീ,ખરેખર ચા
യഥാർത്ഥ സമയം,વાસ્તવિક સમય
യഥാർത്ഥ ജോലി സമയം,વાસ્તવિક કામનો સમય
ആരംഭിക്കുന്ന സിഗ്നൽ,કાર્યકારી સંકેત
പൊരുത്തപ്പെടലി,અનુકૂલનક્ષમતા
അഡാപ്റ്റർ,અનુકૂલન
അഡാപ്റ്റീവ് ചാനൽ അനുവദിക്കൽ,અનુકૂલનશીલ ચેનલ ફાળવણી
അഡാപ്റ്റീവ് ഇന്റഗ്രേഷൻ,અનુકૂલનશીલ એકીકરણ
അഡാപ്റ്റീവ് ട്രാൻസ്വേഴ്സ് ഇക്വൈസർ,અનુકૂલનશીલ બરાબરી
എൻട്രി ചേർത്തു,ઉમેરાયેલ નોંધ
കൂട്ടിച്ചേര്ക്കുക,પરિવર્તન
ആംഗം,પ્રહાર
എ ഷട്രക്റ്റർ,ઉપદેશક
ഫയൽ ചേർക്കുക,ફાઇલ ઉમેરો
അധിക പ്രതീകം (= പ്രത്യേക പ്രതീകം),વધારાના પાત્ર (= વિશેષ પાત્ર)
ബഹുമതി,વધારાની રેકોર્ડર
കൂട്ടിച്ചേർക്കലാ പട്ടിക,વધારાનો કોઠો
അഡിറ്റീവ് ആട്രിബ്യൂട്ട്,ઉમેરણ લક્ષણ
മോഡ് ചേർക്കുക,મોડમાં ઉમેરો
പ്രവർത്തനം ചേർക്കുക,કામગીરી ઉમેરો
അഭിസംബോധന ചെയ്യുക,સંબોધન
വിലാസ നടപടി,સરનામા -માપદંડ
അഭിസംബോധന ചെയ്യാവുന്ന തിരശ്ചീന സ്ഥാനം,સરનામું આડી સ્થિતિ
വിലാസ പോയിന്റ്,સંબોધન - બિંદુ
അഭിസംബോധന ചെയ്യാവുന്ന സ്ഥാനം,પ્રતિયોગી સ્થિતિ
വിലാസ രജിസ്റ്റർ,સરનામું રજિસ્ટર
വിലാസ സംഭരണം,પ્રત્યુત્તરપાત્ર સંગ્રહ
അഭിസംബോധന ചെയ്യാവുന്ന ലംബ സ്ഥാനം,સરનાક verભી સ્થિતિ
വിലാസ ബസ്,સરનાવ બસ
വിലാസ കോഡ്,સરનામું
വിലാസ താരതമ്യക്കാരൻ,સરખામણી કરનાર
വിലാസ കണക്കുകൂട്ടൽ,સરનામું
വിലാസ സ്ഥിരത,નિવારણ
വിലാസ പരിവർത്തനം,ધર્મપરિવર્તન
വിലാസ ഡാറ്റ,માહિતી
മെമ്മറി അഭിസംബോധന ചെയ്തു,સંબોધિત મેમરી
വിലാസ ഫലപ്രദമാണ്,સંબોધન અસરકારક
വിലാസ ഫീൽഡ്,સરનાવનું ક્ષેત્ર
വിലാസ ഫോർമാറ്റ്,સરનાકનું બંધારણ
വിലാസ സ contry ജന്യ പ്രോഗ്രാം,મફત કાર્યક્રમ
അഭിസംബോധന,સંબોધન
"അഭിസംബോധന
 കഥാപാതം","સંબોધન
 પાત્ર"
അഭിസംബോധന ഇന്ററപ്റ്റ്,સંબોધન
വിലാസം ലൂപ്പ്,સંબોધન
വെർച്വൽ മെമ്മറി അഭിസംബോധന ചെയ്യുന്നു,વર્ચુઅલ મેમરીને સંબોધવા
വിലാസം ഇന്റർലേസിംഗ്,સરનામું
വിലാസരഹിതമായ നിർദ്ദേശങ്ങൾ ഫോർമാറ്റ്,સરનામાંહીન સૂચના બંધારણ
വിലാസ ലൈൻ,સરનામા
വിലാസ മാപ്പിംഗ്,સરનામાંનું નકશો
വിലാസ അടയാളം,સરનાવ
വിലാസ പരിഷ്ക്കരണം,સરનામા -ફેરફાર
വിലാസ ഭാഗം,સરનામા ભાગ
വിലാസം പോയിന്റർ,સરનાક નિર્દેશક
വിലാസ രജിസ്റ്റർ,સરના નોંધણી
വിലാസ സിഗ്നൽ,સરનામે સંકેત
വിലാസ വലുപ്പം,સરનાવનું કદ
വിലാസ ഇടം,સરનાવની જગ્યા
വിലാസ ബഹിരാകാശ ഐഡന്റിഫയർ,સરનામું સ્થાન ઓળખકર્તા
വിലാസ സ്റ്റോപ്പ്,સરનાવ બંધ
വിലാസ ട്രെയ്സ്,સરનામા
വിലാസ ട്രാക്ക്,સરનામા
വിവർത്തനം വിവർത്തനം ചെയ്യുക,અનુવાદ
വിലാസ പരിഭാഷകന്,અનુવાદક
ചേർക്കുക-കുറയ്ക്കുക സമയം,સબમટ્રેક્ટ સમય ઉમેરવો
സമയം ചേർക്കുക,સમય ઉમેરો
വാര്ത്താവകം,સંલગ્નતા
അഡ്ജഞ്ചൻസിൻസ് ഘടന,સંલગ્ન માળખું
തൊട്ടടുത്തുള്ള ചാനൽ,સંલગ્ન માતૃભાષા
അടുത്തുള്ള ഡൊമെയ്ൻ,સંલગ્ન ડોમેન
തൊട്ടടുത്തുള്ള മാട്രിക്സ്,સંલગ્ન મેટ્રિક્સ
തൊട്ടടുത്തുള്ള നോഡ്,સંલગ્ન નોડ
തൊട്ടടുത്തുള്ള സുബരിയ,સંલગ્ન સુબેરિયા
കസ്റ്റേഴ്സ് (സിസ്റ്റം),સંવાદિતા (સિસ્ટમ)
കമപ്പെടുത്തുക,સમાયોજન કરવું
ക്രമീകരിക്കാവുന്ന പരിധി,ગોઠવણપાત્ર હદ
ടെക്സ്റ്റ് മോഡ് ക്രമീകരിക്കുക,ટેક્સ્ટ મોડને સમાયોજિત કરો
അഡ്മിനിസ്ട്രേറ്റീവ് ഡാറ്റ പ്രോസസ്സിംഗ്,વહીવટી માહિતી પ્રક્રિયા
അഡ്മിനിസ്ട്രേറ്റീവ് പ്രവർത്തനം,વહીવટી કામગીરી
അഡ്മിനിസ്ട്രേറ്റീവ് ഓപ്പറേറ്റർ,વહીવટી operatorપરેટર
അഡ്മിനിസ്ട്രേറ്റീവ് ഓപ്പറേറ്റർ സ്റ്റേഷൻ,વહીવટી પ્રચાલક
അഡ്മിനിസ്ട്രേറ്റീവ് സപ്പോർട്ട് സിസ്റ്റം,વહીવટી સહાયક પદ્ધતિ
നൂതന ആശയവിനിമയ സേവനം,અદ્યતન સંદેશાવ્યવહાર સેવા
വിപുലമായ വിവര സിസ്റ്റം,અદ્યતન માહિતી પદ્ધતિ
വിപുലമായ ഒപ്റ്റിക്കൽ പ്രതീക റീഡർ,અદ્યતન ઓપ્ટિકલ પાત્ર રીડર
വിപുലമായ ശാസ്ത്ര കമ്പ്യൂട്ടർ,અદ્યતન વૈજ્ .ાનિક કમ્પ્યુટર
ഏരിയൽ,હવાઈ
ആകെത്തുകയായുള്ള,સમૂહ
മൊത്തം എക്സ്പ്രഷൻ,કુલ અભિવ્યક્તિ
ലക്ഷ്യമിടുന്നു,લક્ષ્યસ્થાન વર્તુળ
ലക്ഷ്യമിടുന്ന ഫീൽഡ് (= ലക്ഷ്യമിടുന്നത്),લક્ષ્ય ક્ષેત્ર (= લક્ષ્યનું પ્રતીક)
എഡിയൽ ചിഹ്നം,લક્ષ્યસ્થાન પ્રતીક
എയർബോൺ കമ്പ്യൂട്ടർ സിസ്റ്റം,હવાઈ ​​કમ્પ્યુટર સિસ્ટમ
ബീജഗണിത ഐജൻവാലു പ്രശ്നം,બીજગણિત ઇગન્યુલ્યુ સમસ્યા
"ബീജഗണിത
 സംയോജനം","બીજગણિત
 એકીકરણ"
ബീജഗണിത ഭാഷ,બીજગણિત ભાષા
ബീജഗണിത കൃത്രിമത്വം,બીજગણિત હેરાફેરી
ബീജഗണിത കൃത്രിമ ഭാഷ,બીજગણિત હેરાફેરી ભાષા
ബീജഗണിത ഓറിയന്റഡ് ഭാഷ,બીજગણિત લક્ષી ભાષા
ബീജഗണിത മാറ്റം,બીજગણિત પાળી
ബീജഗണിത ചിഹ്ന കൺവെൻഷൻ,બીજગણિત ચિહ્ન સંમેલન
അൽഗോൾ,શિરચ્છેદ
അൽഗോൾ സവിശേഷത,શીલ લક્ષણ
അൽഗോൾ പ്രോഗ്രാമിംഗ്,અલ્ગોલ કાર્યક્રમ
അൽഗോരിതം,અલ્ગોરિધમનો
അൽഗോരിതം അസോസിയേറ്റീവ് ഭാഷ,અલ્ગોરિધમનો સહયોગી ભાષા
അൽഗോരിതം വർഗ്ഗീകരണം,અલ્ગોરિધમનો વર્ગીકરણ
അൽഗോരിതം സങ്കീർണ്ണത,અલ્ગોરિધમની જટિલતા
അൽഗോരിതം കേസബിലിറ്റി,અલ્ગોરિધમની ગણતરી
അൽഗോരിത്ത്മിക് വിശകലനം,અલ્ગોરિધમિક વિશ્લેષણ
അൽഗോരിത്തിസ് സമീപനം,અલ્ગોરિધમિક અભિગમ
അൽഗോറിത്ത്മിക് ഭാഷ,અલ્ગોરિધએમ ભાષા
അൽഗോരിഥമ്മിക് പതിവ്,અલ્ગોરિધમનો રૂટિન
അൽഗോരിതംസിക് സിദ്ധാന്തം,અલ્ગોરિધમનો સિદ્ધાંત
അപരാഭിധാനം,ઉર્ફે
അപരനാത്മകം,પરવાના
അപരനാമം (= ഇതര പേര്),ઉપનામ નામ (= વૈકલ્પિક નામ)
വിന്യാപകമായ,ગોઠવણી
നീക്കിവയ്ക്കുക,ફાળવવું
അലോക്കേഷൻ ഘടന,ફાળવણીનું માળખું
എല്ലാ ഉദ്ദേശ്യ കമ്പ്യൂട്ടറും,હેતુસર કમ્પ્યુટર
അക്ഷരമാല പ്രതീകം,વર્ણાનુક્રમ
അക്ഷരമാല പ്രതീക സെറ്റ്,મૂળાક્ષરોનો પાત્ર સમૂહ
അക്ഷരമാല പ്രതീക സബ്സെറ്റ്,મૂળાક્ષરો
അക്ഷരമാല കോഡ്,વર્ણાનુક્રમ
അക്ഷരമാല മാറ്റം,વર્ણાનુક્રમ
അക്ഷരമാല സ്ട്രിംഗ്,વર્ણાનુક્રમ
അക്ഷരമാല വാക്ക്,વર્ણાનુક્રમ
അക്ഷരമാലാളം,મૂળાક્ષરો
ആഫറാമോമെട്രിക്സ്,અલ્ફેજ ome મેટ્રિક્સ
ആഫളാചിക്,મૂર્તિમંત
ആൽഫമോസയ്ക്ക്,મરણોત્તર
ആൽഫാന്യൂമെറിക്,મૂર્તિમંત
ആൽഫാന്യൂമെറിക്കൽ കീബോർഡ് ഉപകരണം,આલ્ફાન્યુમેરિકલ કીબોર્ડ ડિવાઇસ
ആൽഫാന്യൂമെറിക് പ്രതീക സെറ്റ്,મૂળાક્ષર
ആൽഫാന്യൂമെറിക് കോഡ്,મૂળાક્ષર
ആൽഫാന്യൂമെറിക് കോഡ്ഡ് പ്രതീക സെറ്റ്,આલ્ફાન્યુમેરિક કોડેડ પાત્ર સમૂહ
ആൽഫാന്യൂമെറിക് ഡാറ്റ,મૂળાક્ષરીનો ડેટા
ആൽഫാന്യൂമെറിക് ഡിസ്പ്ലേ ഉപകരണം,આલ્ફાન્યુમેરિક ડિસ્પ્લે ડિવાઇસ
ആൽഫാന്യൂമെറിക് എഡിറ്റുചെയ്ത പ്രതീകം,મૂળાક્ષર સંપાદિત પાત્ર
ആൽഫാന്യൂമെറിക് ഫീൽഡ്,વર્ણ -ક્ષેત્ર
ആൽഫാന്യൂമെറിക് നിർദ്ദേശം,વર્ણ -સૂચના
ആൽഫാന്യൂമെറിക് കീബോർഡ്,મૂળાક્ષર કીબોર્ડ
ആൽഫാന്യൂമെറിക് തരം,મૂળાક્ષર
ആൽഫാന്യൂമെറിക് സംഭരണം,મૂળાક્ષર સંગ્રહ
മാറ്റം വരുത്തുന്നതിന് മെമ്മറി,બદલવા યોગ્ય
മാറ്റങ്ങൾ സ്വിച്ച്,ફેરફાર -ફેરૂપ
മാറ്റം,પરિવર્તનશીલ
മാറ്റ മോഡ്,ફેરફાર
ഇതര വീണ്ടെടുക്കൽ,વૈકલ્પિક પુન recovery પ્રાપ્તિ
ഇതര റൂട്ട്,વૈકલ્પિક માર્ગ
ഇതര റൂട്ടിംഗ്,વૈકલ્પિક માર્ગ
ഇതര ട്രാക്ക്,વૈકલ્પિક પાટા
ഇതര (= അല്ലെങ്കിൽ പ്രവർത്തനം),ફેરબદલ (= અથવા કામગીરી)
ഇതര ആട്രിബ്യൂട്ട്,વૈકલ્પિક લક્ષણ
"ഇതര നിഷേധം (= അല്ല, പ്രവർത്തനം)",વૈકલ્પિક અસ્વીકાર (= નહીં અને કામગીરી)
അവ്യക്തത പിശക്,અસ્પષ્ટ ભૂલ
അവ്യക്തമായ റഫറൻസ്,અસ્પષ્ટ સંદર્ભ
അനാലോഗ്,પ્રાચય
അനലോഗ് അഡെർ,એનાશ -ઉપાડનાર
അനലോഗ് ചാനൽ,મનોલોત્ર
അനലോഗ് കമ്പ്യൂട്ടർ,એનાલોગ કમ્પ્યુટર
അനലോഗ് കൺവെർട്ടർ,એનાશ -રૂપાંતર કરનાર
അനലോഗ് ഡാറ്റ,મનોજ્ analા આંકડા
അനലോഗ് ഡിവൈഡർ,એનાશ -વિભાજક
അനലോഗ് ഫെസിലിറ്റി ടെർമിനൽ,એનાલોગ સુવિધા ટર્મિન
"അനലോഗ് ഫംഗ്ഷൻ
 വൈദുതോല്പാദനയന്തം","મનોલોગ કાર્ય
 જનરેટર"
അനലോഗ് സംയോജനം,મનોરોગ એકીકરણ
അനലോഗ് ഗുണിതം,એનાલ -ગુણાકાર
അനലോഗ് പ്രോഗ്രാമിംഗ്,એનાશિક કાર્યક્રમ
അനലോഗ് സ്കെയിലിംഗ്,એનાલ -સ્તનપાન
അനലോഗ് സിഗ്നൽ,એનાલોગ સંકેત
അനലോഗ് സിമുലേഷൻ,એનાશ સિમ્યુલેશન
അനലോഗ് സ്വിച്ച്,એનાશ -સ્વીચ
അനലോഗ് സിസ്റ്റം,પ્રાકૃતિક પદ્ધતિ
"ഡിജിറ്റലിലേക്കുള്ള അനലോഗ്
 കൺവെർട്ടർ","ડિજિટલથી એનાલોગ
 એકત્રીકરણ કરનાર"
"ഡിജിറ്റലിലേക്കുള്ള അനലോഗ്
 എൻകോഡർ","ડિજિટલથી એનાલોગ
 એન્કોડર"
അനലോഗ് ട്രാൻസ്മിഷൻ,મનોલોગ પ્રસારણ
അനലോഗ് തരം,એનોગ પ્રકાર
വിശകലന ബ്ലോക്ക്,વિશ્લેષણ -વિધિ
വിശകലന മോഡ്,વિશ્લેષણ પદ્ધતિ
അനലിറ്റിക്കൽ എഞ്ചിൻ,વિશ્લેષણાત્મક
പൂർവ്വിക ചുമതല,પૂર્વજો
അനുബന്ധ ഉപകരണങ്ങൾ,આનુષંગિક સાધનસામગ્રી
ഒപ്പം,અને
സർക്യൂട്ട്,અને સર્કિટ
ഘടകവും,અને
ഗേറ്റിലും,અને દરવાજો
മാസ്കിംഗ്,અને માસ્કિંગ
പ്രവർത്തനമല്ല (= ഒഴിവാക്കൽ,અને ઓપરેશન નથી (= બાકાત
പ്രവർത്തനവും,કામગીરી
അനെക്സ് മെമ്മറി,જોડાણ મેમરી
വ്യാഖ്യാനിലും,નોંધણી
Annnuniator,જાહેરાત કરનાર
ഉത്തരം തിരികെ,પાછો જવાબ આપો
ഉത്തരം കാലതാമസം,જવાબ
ഉത്തരം നൽകുന്നു,જવાબદાર સમય
ഉത്തര വിളക്ക്,જવાબ દીવો
ഉത്തരം പട്ടിക,જવાબ સૂચિ
ഉത്തരം മാത്രം,માત્ર
പ്രതീക്ഷ മോഡ്,અપેક્ષા -મોડ
മുൻകൂട്ടി ബഫറിംഗ്,આગોતરક બફર
മുൻകൂട്ടി കാരി,આગોતરક કેરી
മുൻകൂട്ടി പങ്കിടൽ,આગોતરી પેજિંગ
ആന്റിക്കോസിൻസ് പ്രവർത്തനം,અસત્ય કામગીરી
Anticoicient ഘടകം,કૃત્રિમ તત્વ
അപ്രൈയോഡിക് ആന്റിന,અતિશય એન્ટેના
അപ്പർച്ചർ കാർഡ്,છિદ્ર
അപ്പർച്ചർ കോഡ്,છિદ્ર
അപ്പർച്ചർ സമയം,છિદ્રનો સમય
അനുബന്ധം,સંલગ્ન
അനുബന്ധ ചുമതല,સંલગ્ન કાર્ય
അപ്ലിക്കേഷൻ ഡെവലപ്പർ,અરજી વિકાસકર્તા
ആപ്ലിക്കേഷൻ ലെയർ,અરજી -સ્તર
ആപ്ലിക്കേഷൻ ഓറിയന്റഡ് ഭാഷ,અરજીલક્ષી ભાષા
ആപ്ലിക്കേഷൻ പാക്കേജ്,અરજી
അപ്ലിക്കേഷൻ പ്രോഗ്രാം,અરજી કાર્યક્રમ
അപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ്,અરજી કાર્યક્રમ
അപേക്ഷ ആവശ്യമായ ഭാഷ,અરજી જરૂરી ભાષા
അപ്ലിക്കേഷൻ സോഫ്റ്റ്വെയർ,એપ્લિકેશન સોફ્ટવેર
പേഷൻ,અનુકૂળ
ഏകദേശ സിദ്ധാന്തം,આશરે સિદ્ધાંત
അനിയന്ത്രിതമായ പ്രവേശനം,મનસ્વી પ્રવેશ
അനിയന്ത്രിതമായ ശ്രേണി കമ്പ്യൂട്ടർ,મનસ્વી ક્રમ કમ્પ્યુટર
മാദ്ധസ്ഥം,લવાદી
വാസ്തുവിദ,સ્થાપત્ય
ശേഖരം,આર્કા
ഏരിയ കോഡ്,વિસ્તાર કોડ
ഏരിയ തിരയൽ,વિસ્તાર -શોધ
ഏരിയ കൈമാറ്റം,વિસ્તાર -તબદીલી
ഏരിയ വേരിയബിൾ,ક્ષેત્રીય
വാദം,દલીલ
വാദം വിലാസം,દલીલ સરનામું
ആർദ്ര ലിസ്റ്റ്,દલીલ યાદી
അരിറ്റെറ്റിക്കൽ നിർദ്ദേശം,અંકગણિત સૂચના
"അരിത്മെറ്റിക്, ലോജിക് യൂണിറ്റ്",અંકગણિત અને તર્ક એકમ
അരിത്മെറ്റിക് അസൈൻമെന്റ് സ്റ്റേറ്റ്മെന്റ്,અંકગણિત સોંપણી નિવેદન
ഗണിത പരിശോധന,અંકગણિત તપાસ
അരിത്മെറ്റിക് സ്ഥിരാങ്കം,ન્યાયશાસ્ત્ર
അരിത്മെറ്റിക് പരിവർത്തനം,અંકગણિત
അരിത്മെറ്റിക് ഡാറ്റ,સમાંતરતર ડેટા
ഗണിത അപവാദം,અંકગણિત અપવાદ
അരിത്മെറ്റിക് എക്സ്പ്രഷൻ,અંકગણિત અભિવ્યક્તિ
അരിത്മെറ്റിക് നിശ്ചിത പോയിന്റ്,અંકગણિત નિયત બિંદુ
അരിത്മെറ്റിക് ശ്രേണി,અંકગણિત વંશવેલો
പ്രസ്താവനയാണെങ്കിൽ അരിത്മെറ്റിക്,અંકગણિત જો નિવેદન
അരിത്മെറ്റിക് ലോജിക്,ન્યાયશાસ્ત્રનું તર્કશાસ્ત્ર
അരിത്മെറ്റിക് ലോജിക് യൂണിറ്റ്,અંકગણિત તર્ક એકમ
അരിത്മെറ്റിക് പ്രവർത്തനം,ન્યાયશાસ્ત્ર કામગીરી
അരിത്മെറ്റിക് ഓപ്പറേറ്റർ,સમેટાં પ્રપણ
അരിത്മെറ്റിക് ഓവർഫ്ലോ,અંકગણિત ઓવરફ્લો
അരിത്മെറ്റിക് പിക്ചർ ഡാറ്റ,અંકગણિત ચિત્ર -માહિતી
ഗണിത മുൻഗണന,અંકગણિત અગ્રતા
അരിത്മെറ്റിക് പ്രൈമറി,અંકગણિત પ્રાથમિક
അരിത്മെറ്റിക് രജിസ്റ്റർ,અંકગણિત રજિસ્ટર
അരിത്മെറ്റിക് ബന്ധം,અંકગણિત સંબંધ
അരിത്മെറ്റിക് സ്കാൻ,અંકગણિત સ્કેન
അരിത്മെറ്റിക് വിഭാഗം,અંકગણિત વિભાગ
അരിത്മെറ്റിക് ഷിഫ്റ്റ്,અંકગણિત પાળી
അരിത്മെറ്റിക് ഷിഫ്റ്റിംഗ്,અંકગણિત
ഗണിത പ്രസ്താവന,અંકગણિત નિવેદન
അരിത്മെറ്റിക് ടേം,ન્યાયશાસ્ત્રની મુદત
അരിത്മെറ്റിക് അണ്ടർഫ്ലോ,અંકગણિત
അരിത്മെറ്റിക് യൂണിറ്റ്,અંકગણિત એકમ
ശേണി,કળ
അറേ ബന്ധിത,એરે બાઉન્ડ
അറേ കമ്പ്യൂട്ടർ,એરે કમ્પ્યુટર
അറേ അളവ്,એરેનું પરિમાણ
അറേ ഘടകം,એરે તત્વ
ശ്രമരീതി,અભિવ્યક્તિ
അറേ പേര്,એરે નામ
ഘടനകളുടെ നിര,રચના
അറേ പ്രിന്റിംഗ്,એરે મુદ્રણ
അറേ പ്രോസസ്സിംഗ്,એરે પ્રક્રિયા
അറേ പ്രോസസർ,એરે પ્રોસેસર
ആർട്ടിക്കേഷൻ പോയിന്റ്,સ્પષ્ટ મુદ્દો
കൃത്രിമ കോഗ്നിഷൻ,કૃત્રિમ માન્યતા
നിർമ്മിത ബുദ്ധി,કૃત્રિમ બુદ્ધિ
കൃത്രിമ ഭാഷ,કૃત્રિમ ભાષા
കൃത്രിമ വേരിയബിൾ,કૃત્રિમ ચલ
ആർട്സ് ആപ്ലിക്കേഷൻ ഡാറ്റ ബാങ്ക്,કળા -એપ્લિકેશન ડેટા બેંક
ആർട്സ് ആപ്ലിക്കേഷൻ സംഗീതം,કલાકાર -અરજી
ആർട്സ് ആപ്ലിക്കേഷൻ പാറ്റേൺ തലമുറ,કળા -એપ્લિકેશન પેટર્ન જનરેશન
ആസര്ണം,ચડતું
ആരോഹണം അടുക്കുക,ચ ascતો સ .ર્ટ
Alcyly,અયોગ્ય
ASCII നിയന്ത്രണ പ്രതീകം,ASCII નિયંત્રણ પાત્ર
ASCII കീ ബോർഡ്,ASCII કી બોર્ડ
വശം,દૃષ્ટિ
വശം,પાસા અને
