Gujarati,Malayalam
ધ્વનિ ફિલ્ટર,അക്ക ou സ്റ്റിക് ഫിൽട്ടർ
ધ્વનિ અવરોધ,അക്കോസ്റ്റിക് ഇംപാസ്
ધ્વનિ -માસ્કીંગ,അക്കോസ്റ്റിക് മാസ്കിംഗ്
ધ્વનિની શક્તિ,അക്കോസ്റ്റിക് പവർ
ધ્વનિપક્ષીય મિલકત,അക്കോസ്റ്റിക് പ്രോപ്പർട്ടി
ધ્વનિની પ્રતિક્રિયા,അക്കോട്ടിക് റിയാൻസ്
ધ્વનિ -પ્રતિબિંબ,അക്ക ou സ്റ്റിക് റിഫ്ലെക്സ്
ધ્વનિ ટાઇલ,അക്കോസ്റ്റിക് ടൈൽ
ધ્વનિ તરંગ,അക്ക ou സ്റ്റിക് തരംഗം
શ્રવ -શોષણ,ശബ്ദ ആഗിരണം
શ્રવણશક્તિ એટેન્યુએશન,അക്കോസ്റ്റിക്കൽ അറ്റൻയൂട്ടിന്റെ സ്ഥിരാങ്കം
શ્રવણની ભીનાશ,അക്കോസ്റ്റിക്കൽ നനവ്
ધ્વનિ વિલંબ રેખા,അക്കോസ്റ്റിക്കൽ കാലതാമസം
ધ્વનિની વિકૃતિ,അക്കോസ്റ്റിക്കൽ വക്രമാനം
શ્રવણ નલિક,അക്കോസ്റ്റിക്കൽ നാളം
શ્રવણશક્તિ,അക്കോസ്റ്റിക്കൽ എനർജി
શ્રવણશક્તિ,അക്കോസ്റ്റിക്കൽ ഫീഡ്ബാക്ക്
શ્રદ્ધ ફિલ્ટર,അക്കോസ്റ്റിക്കൽ ഫിൽട്ടർ
શ્રવણનો અવરોધ,അക്കോസ്റ്റിക്കൽ ഇംപെഡൻസ്
ધ્વનિ -પ્રચાર,അക്കോസ്റ്റിക്കൽ പ്രചരണം സ്ഥിരാങ്കം
શ્રવણ પ્રતિકાર,അക്കോസ്റ്റിക്കൽ റെസിസ്റ്റൻസ്
ધ્વનિભ્રમણાથી ઇન્સ્યુલેટેડ,ശബ്ദപരമായി ഇൻസുലേറ്റ്
ધ્વનિશાસ્ત્ર,അക്കോസ്റ്റിക്സ്
સંપાદન,കൈവശപ്പെടുത്തൽ
ટૂંકાક્ષર,സംക്ഷേപം
કાર્યવાહી ક્ષેત્ર,പ്രവർത്തന മേഖല
સક્રિય ફિલામેન્ટ,സജീവമാക്കിയ ഫിലമെന്റ്
સક્રિય,സജീവമായ
સક્રિય ક્ષેત્ર,സജീവ ഏരിയ
સક્રિય બારી,സജീവ വിൻഡോ
અનુકૂલનક્ષમતા,പൊരുത്തപ്പെടലി
એડેપ્ટર (એડેપ્ટર),അഡാപ്റ്റർ (അഡാപ്റ്റർ)
અનુકૂલનશીલ વિભેદક પલ્સ મોડ્યુલેશન,അഡാപ്റ്റീവ് ഡിഫറൻഷ്യൽ പൾസ് കോഡ് മോഡുലേഷൻ
સરનામા પુસ્તિકા,മേൽവിലാസ പുസ്തകം
સરનાવ બસ,വിലാസ ബസ്
ઠરાવ,വിലാസ മിഴിവ്
સંલગ્ન ચેનલ દખલ,തൊട്ടടുത്തുള്ള ചാനൽ ഇടപെടൽ
સંલગ્ન ચેનલ પસંદગી,തൊട്ടടുത്തുള്ള ചാനൽ സെലക്ടീവി
સંલગ્ન આવર્તન,അടുത്തുള്ള ആവൃത്തി
સંલગ્ન આવર્તન ચેનલ,തൊട്ടടുത്തുള്ള ഫ്രീക്വൻസി ചാനൽ
અડીને ચિત્ર વાહક,തൊട്ടടുത്തുള്ള ചിത്ര കാരിയർ
અડીને ધ્વનિ વાહક,തൊട്ടടുത്തുള്ള ശബ്ദ കാരിയർ
સંલગ્ન મથક,അടുത്തുള്ള സ്റ്റേഷൻ
ગોઠવણપાત્ર,കമീകരിക്കുന്ന
ગોઠવણપાત્ર કન્ડેન્સર,ക്രമീകരിക്കാവുന്ന കണ്ടൻസർ
ગોઠવણ,സമ്മർദ്ദം ക്രമീകരിക്കുന്നു
સમાયોજન,റെഞ്ച് ക്രമീകരിക്കുന്നു
સમાયોજન,കമപ്പെടുത്തല്
વહીવટકર્તા,ഭരണാധിപന്
અદ્યતન ટેકનોલોજી,നൂതന സാങ്കേതികവിദ്യ
હવાઈ,ഏരിയൽ
હવાઈ ​​એરે,ഏരിയൽ അറേ
હવાઈ ​​બૂસ્ટર,ഏരിയൽ ബൂസ്റ്റർ
હવાઈ ​​પ્રવાહ,ഏരിയൽ കറന്റ്
હવાઈ ​​કમાણી સ્વીચ,എയറൽ ഇയർത്തിംഗ് സ്വിച്ച്
હવાઈ ​​કાર્યક્ષમતા,ഏരിയൽ കാര്യക്ഷമത
હવાઈ ​​અવરોધ,ഏരിയൽ ഇതര
હવાઈ ​​લિટક્શન,ഏരിയൽ ഉൾപ്പെടുത്തൽ
હવાઈ ​​ઇન્સ્યુલેટર,ഏരിയൽ ഇൻസുലേറ്റർ
હવાઈ ​​લોડિંગ કોઇલ,ഏരിയൽ ലോഡിംഗ് കോയിൽ
હવાઈ ​​ફોટોગ્રાફી,ഏരിയൽ ഫോട്ടോഗ്രഫി
હવાઈ ​​શક્તિ,ഏരിയൽ പവർ
હવાઈ ​​કિરણોત્સર્ગ,ആകാശ വികിരണ ഏലിസ്റ്റൻസ്
હવાઈ ​​પ્રતિક્રિયા,ഏരിയൽ റിപ്രീൻസ്
વાયુમિશ્રણશાસ્ત્ર,എയറോഡൈനാമിക്സ്
સંસ્થા,നിര്വ്വഹണം
હવાઈ ​​સંકોચન,എയർ കംപ്രസ്സർ
હવાઈ ​​કન્ડેન્સર,എയർ കണ്ടൻസർ
હવાઈ ​​ઠંડુ,വായു തണുപ്പിച്ചു
હવાઈ ​​બાંધેલી કોથળી,എയർ കോർഡ് കോയിൽ
વાતાનુકૂલન,എയർ കണ്ടീഷനിംഗ്
અલ્બેડો,ആൽബിഡോ
અલ્ગોરિધમનો,അൽഗോരിതം
પરવાના,അപരനാത്മകം
સંલગ્ન,വിന്യസിക്കുന്നു
ગોઠવણી,വിന്യാപകമായ
બધા તરંગ હવાઈ,എല്ലാ തരംഗ ഏരിയലും
ફાળવણી,പങ്കുവയ്ക്കല്
વર્ણાનુક્રમ,അക്ഷരകമായ
મૂર્તિમંત,ആൽഫാന്യൂമെറിക്
વર્ણ -અક્ષર,ആൽഫാന്യൂമെറിക് പ്രതീകം
વર્ણ -મૂર્તિમંત માહિતી,ആൽഫാന്യൂമെറിക് വിവരങ്ങൾ
વૈકલ્પિક વર્તમાન (એ.સી.),ഇതര കറന്റ് (A.C.)
એકાંતરણ,ഒന്നിടവിട്ടമ്മ
પરાકારી,പകര്പ്പ്
Altંચાઈ,ഉയരം
અનુગામી alt ંચાઇ,അപ്പോഗിയുടെ ഉയരം
પેરગીની alt ંચાઇ,പെരിജിയുടെ ഉയരം
કલાપ્રેમી રેડિયો સંચાર,അമേച്വർ റേഡിയോ ആശയവിനിമയം
વાતાવરણ,അന്തരീതം
આજુબાજુના માઇક્રોફોન,അന്തരീക്ഷ മൈക്രോഫോൺ
આસપાસની શરત,അന്തരീക്ഷ അവസ്ഥ
આસપાસની આજુબાજુની પ્રકાશ,ആംബിയന്റ് ലൈറ്റിംഗ്
આજુબાજુનો અવાજ,ആംബിയന്റ് ശബ്ദം
આસપાસનું તાપમાન,ആംബിയന്റ് താപനില
અમેરિકન માનક સંહિતા,അമേരിക്കൻ സ്റ്റാൻഡേർഡ് കോഡ്
ષડયંત્ર,Ampere
Amાંદું મીટર,ആമ്പിയർ മീറ്റർ
વિસ્તૃત કરવું તે,ആംപ്ലിഫിക്കേഷൻ
વિસ્તૃત પરિબળ,ആംപ്ലിഫിക്കേഷൻ ഫാക്ടർ
પ્રવેધક,ആംപ്ലിഫയർ
વિપુલ લાભ,ആംപ്ലിഫയർ നേട്ടം
એમ્પ્લીફાયર અવાજ,ആംപ്ലിഫയർ ശബ്ദം
વિસ્તૃત સાધનસામગ્રી,ഉപകരണങ്ങൾ ആംപ്ലിഫൈയിംഗ് ചെയ്യുന്നു
ક્લીસ્ટ્રોનને વિસ્તૃત કરવું,Klystron ആംപ്ലിഫൈയിംഗ്
વિસ્તૃત એકમ,ആംപ്ലിഫൈയിംഗ് യൂണിറ്റിംഗ്
કંપનવિસ્તાર,വ്യാശമുള്ള
કંપનવિસ્તારની વિકૃતિ,വ്യാപ്തി വികസനം
કંપનવિસ્તાર,ആംപ്ലിഡ്യൂഡ് ആസക്തി
કંપનવિસ્તાર પરિબળ,വ്യാപ്തി ഘടകം
મર્યાદિત મર્યાદા,ആംപ്ലിറ്റ്യൂഡ് ലിമിറ്റർ
કંપનવિસ્તાર -મોડ્યુલેટેડ,ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റ് ചെയ്തു
કંપનલી -મોડ્યુલેશન,ആംപ്ലിറ്റ്ഇൻഡ് മോഡുലേഷൻ
એનાલોગ (એનાલોગ),അനലോഗ് (അനലോഗ്)
એનાશ,അനലോഗ് സർക്യൂട്ട്
એનાલોગ કમ્પ્યુટર,അനലോഗ് കമ്പ്യൂട്ടർ
એનાલોગ રેડિયો આવર્તન ચેનલ માટે એનાલોગ રેડિયો આવર્તન ચેનલ,അനലോഗ് റേഡിയോ ഫ്രീക്വൻസി ചാനൽ
મનોલોગ પ્રતિનિધિત્વ,അനലോഗ് പ്രാതിനിധ്യം
એનાલોગ સંકેત,അനലോഗ് സിഗ്നൽ
ડિજિટલથી એનાલોગ,ഡിജിറ്റലിലേക്കുള്ള അനലോഗ്
ડિજિટલ કન્વર્ટર માટે એનાલોગ,ഡിജിറ്റൽ കൺവെർട്ടറിലേക്കുള്ള അനലോഗ്
એટાલી -વિડિઓ,അനലോഗ് വീഡിയോ
સમાન,അനസ്)
સાદ્રશ્ય,അനലോഗി
વિશ્લેષણ,വിശകലനം
આંકડા,ഡാറ്റയുടെ വിശകലനം
વિશ્લેષણાત્મક ઘનતા,അനലിറ്റിക്കൽ സാന്ദ്രത
વિશ્લેષણ કરવું,വിശകലനം ചെയ്യുക
વિશ્લેષક,വിശകലന
સૌધિતિક સાધનસામગ્રી,അനുബന്ധ ഉപകരണങ്ങൾ
અને દરવાજો,ഗേറ്റിലും
ખાત્ય ખૂણા,കൂട്ടിയിടിയുടെ കോണിൽ
ધ્રુવીકરણ ખૂણા,ധ്രുവീകരണത്തിന്റെ കോണിൽ
પરિભ્રમણ,ഭ്രമണത്തിന്റെ ആംഗിൾ
એંગસ્ટ્રોમ (Å),Angstrom (å)
કોણીય,കോകാരുമായ
કોતરણી પ્રવેગક,കോണീയ ത്വരണം
કોતરણી સમન્વય,കോണീയരായ കോ-ഓർഡിനേറ്റുകൾ
કોતરણી,കോണീയ വ്യതിചലനം
કોમણ -ફેલાવો,കോണീയ ചിതറിപ്പോയത്
કોણીય વિસ્થાપન,കോണീയ സ്ഥാനചലനം
કોણીય ભૂલ,കോണീയ പിശക്
કોણીય આવર્તન,കോണീയ ആവൃത്തി
કોતરણી ગતિ,കോണീയ ആക്കം
કોણીય ગતિ,കോണീയ ചലനം
કોતરણી વેગ,കോണീയ പ്രവേഗം
પ્રસન્નતા,ജീവസഞ്ചാരണം
એનોડ,ആനോഡ്
એનોડ બ batteryણ,അനോഡ് ബാറ്ററി
એનોડ લાક્ષણિકતા,ആനോഡ് സ്വഭാവം
એનોડ સર્કિટ,അനോഡ് സർക്യൂട്ട്
એનોડ વિઘટન,ആനോഡ് ഡിസ്പിപ്പ്
એનોડ કાર્યક્ષમતા,ആനോഡ് കാര്യക്ഷമത
એનોડ ઇનપુટ પાવર,ആനോഡ് ഇൻപുട്ട് പവർ
એનોડ મોડ્યુલેશન,ആനോഡ് പരിഷ്കരണം
એન્ટેના,ഏരിയെല്
એન્ટેના બીમવિડ્થ,ആന്റിന ബീഫ്റ്റ്വിഡ്ത്ത്
એન્ટેના,ആന്റിന ബൂസ്റ്റർ
એન્ટેના ચેન્જઓવર સ્વીચ,ആന്റിന ട്രാനെറ്റ് സ്വിച്ച്
કોઇ,ആന്റിന കോയിൽ
એન્ટેના રૂપરેખાંકન,ആന്റിന കോൺഫിഗറേഷൻ
એન્ટેના કપડા,ആന്റിന കപ്ലർ
એન્ટેના ક્રોસ ધ્રુવીય પદ્ધતિ,ആന്റിന ക്രോസ് പോളാർ പാറ്റേൺ
એન્ટેના પ્રવાહ,ആന്റിന കറന്റ്
એન્ટેના નિર્દેશન લાભ,ആന്റിന ഡയറക്റ്റബേഷൻ നേട്ടം
એન્ટેના ડુપ્લેક્સર,ആന്റിന ഡ്യുപ്ലെർസർ
એન્ટેના અસરકારક ક્ષેત્ર,ആന്റിന ഫലപ്രദമായ പ്രദേശം
વૈશ્વિક કાર્યક્ષમતા,ആന്റിന കാര്യക്ഷമത
એન્ટેના ફીડ,ആന്റിന ഫീഡ്
એન્ટેના પગની છાપ,ആന്റിന ഫൂട്ട് പ്രിന്റ്
એન્ટેના લાભ,ആന്റിന നേട്ടം
એન્ટેના height ંચાઇ,ആന്റിന ഉയരം
એન્ટેના અવરોધ,ആന്റിന ഇംപെഡൻസ്
એન્ટેના,ആന്റിന ഇൻഡക്റ്റൻസ്
એન્ટેનાનો દાખલો,ആന്റിന പാറ്റേൺ
એન્ટેના નાવિક,ആന്റിന പ്ലെക്സർ
એન્ટેના ધ્રુવીકરણ,ആന്റിന പോളൈസേഷൻ
એન્ટેના શક્તિ,ആന്റിന പവർ
એન્ટેના વીજળી લાભ,ആന്റിന പവർ ലാഭം
એન્ટેના રેડિયેશન પ્રતિકાર,ആന്റിന റേഡിയേഷൻ പ്രതിരോധം
એન્ટેના પ્રતિક્રિયા,ആന്റിന റിനോപ്പൻസ്
એન્ટેના પરાવર્તક,ആന്റിന റിഫ്ലക്ടർ
એન્ટેના પ્રતિકાર,ആന്റിന റെസിസ്റ്റൻസ്
એન્ટેના પડઘો આવર્તન,ആന്റിന പുന ons ണ്ടന്റ് ആവൃത്തി
એન્ટેના અંતર,ആന്റിന സ്പെയ്സിംഗ്
એન્ટેના સ્વિચિંગ રૂમ,ആന്റിന സ്വിച്ചിംഗ് റൂം
એન્ટેના ટ્યુનિંગ કોઇલ,ആന്റിന ട്യൂണിംഗ് കോയിൽ
એન્ટેના ટ્યુનિંગ ઝૂંપડી,ആന്റിന ട്യൂണിംഗ് ഹട്ട്
છિદ્ર,അപ്പേണ്ടർ
પ્રાણઘાતક,അപ്പോജി
અજેતા રોકેટ,അപ്പോജി റോക്കറ്റ്
ઉપકરણ,ഉപകരണങ്ങള്
સ્પષ્ટ,കാണാവുന്ന
સાદડી,ആപ്ലെറ്റ്
નિયમ,അപേക്ഷ
આશરે,ഏകദേശമായ
જળસ,ജല പരിഹാരം
ચાપ,കമാനം
સ્થાપત્ય,വാസ്തുവിദ
ધ્વનિ રેકોર્ડિંગનું આર્કાઇવલ ટ્રાન્સફર,ശബ്ദ റെക്കോർഡിംഗിന്റെ ആർക്കൈവൽ കൈമാറ്റം
દફ્તર,ഗന്ഥരക്ഷാലയം
અંકગણિત કોડિંગ,അരിത്മെറ്റിക് കോഡിംഗ്
હાથ,യക്ഷി
આર્મચર વિન્ડિંગ,അർമേച്ചർ വിൻഡിംഗ്
કળ,ശേണി
કરચલો,അറസ്റ്റർ
સ્પષ્ટીકરણ,കൃതില്
આર્ટિફેક્ટ (= આર્ટિફેક્ટ),ആർട്ടിഫക്റ്റ് (= ആർട്ടിഫാക്റ്റ്)
ચડતું,ആരോഹണം
પાસા ગુણોત્તર,വീക്ഷണാനുപാതം
ભેગા કરનાર,അസംബ്ലി
નિશ્ચય,ഉറപ്പിച്ചുപറയല്
સોંપણી,ചുമതല
નાબૂદ,അസൈൻമെന്റ് ചാനൽ
અસમપ્રમાણ,അസമമായ
અસુમેળવાળું,അസിൻക്രണസ്
વાતાવરણ,അന്തരീക്ഷം
વાતાવરણીય નુકસાન,അന്തരീക്ഷ നഷ്ടം
વાતાવરણીય અવાજ,അന്തരീക്ഷ ശബ്ദം
વાતાવરણ નુ દબાણ,അന്തരീക്ഷമർദ്ദം
વાતાવરણીય પ્રચાર,അന്തരീക്ഷ പ്രചരണം
વાતાવરણીય તરંગ,അന്തരീക്ഷ റേഡിയോ-വേവ്
વાતાવરણીય,അന്തരീക്ഷ
અણુ,പരമാണു
અણુનું માળખું,ആറ്റോമിക ഘടന
જોડાણ,ബന്ധം
વ્યવહાલ,അറ്റൻവറൻസ്
અંતરચળી,അറ്റൻവേേഷൻ നഷ്ടം
ધ્વનિ તરંગો,ശബ്ദ തരംഗങ്ങളുടെ അറ്റൻവേഷൻ
હલકાઈ કરનાર,അറ്റൻവേറ്റർ
વિકેન્દ્ર,അറ്റൻവേറ്റർ പാഡ്
શ્રદ્ધાળુ થ્રેશોલ્ડ,സവിശേഷത പരിധി
શ્રાવ્ય,ശ്രമത്തിനും
શ્રાવ્ય આવર્તન,കേൾക്കാവുന്ന ആവൃത്തി
શિરદર્શક સ્વર,കേൾക്കാവുന്ന ടോൺ
શિરદર્શક,കേൾക്കാവുന്ന-സ്പെക്ട്രം
શ્રોતા,സദസര്
Audડિસ,ഓഡിയോ
Audio ડિઓ એમ્પ્લીફાયર,ഓഡിയോ ആംപ്ലിഫയർ
Audio ડિઓ વિશ્લેષક,ഓഡിയോ അനലൈസർ
Audio ડિઓ બ્રોડકાસ્ટિંગ,ഓഡിയോ ബ്രോഡ്കാസ്റ്റിംഗ്
Audષધિસનું aution ડિઓબલ,ഓഡിയോ കേബിൾ
શાસ્ત્ર,ഓഡിയോ ചെയിൻ
કડકા,ഓഡിയോ കോഡെക്
Audતુ),ഓഡിയോ കംപ്രഷൻ
કોમ્પ્રેસર,ഓഡിയോ കംപ്രസ്സർ
Audio ડિઓ કન્સોલ,ഓഡിയോ കൺസോൾ
Audio ડિઓની વિકૃતિ,ഓഡിയോ വക്രീകരണം
Dynamડિસ,ഓഡിയോ ഡൈനാമിക് ശ്രേണി
Audio ડિઓ ફાઇલ ફોર્મેટ,ഓഡിയോ ഫയൽ ഫോർമാറ്റ്
Audio ડિઓ ફ્રેમ ફોર્મેટ,ഓഡിയോ ഫ്രെയിം ഫോർമാറ്റ്
Audio ડિઓ આવર્તન એમ્પ્લીફાયર,ഓഡിയോ ഫ്രീക്വൻസി ആംപ്ലിഫയർ
Audio ડિઓ આવર્તન જનરેટર,ഓഡിയോ ഫ്രീക്വൻസി ജനറേറ്റർ
Audio ડિઓ આવર્તન શ્રેણી,ഓഡിയോ ഫ്രീക്വൻസി ശ്രേണി
Audio ડિઓ આવર્તન પ્રતિસાદ,ഓഡിയോ ഫ്രീക്വൻസി പ്രതികരണം
સત્તાધિકારી,ഓഡിയോ പരിധി
Audષધિ,ഓഡിയോ ലൈൻ
Audડિસર,ഓഡിയോ മിക്സർ
Audio ડિઓ મોડ્યુલેશન,ഓഡിയോ മോഡുലേഷൻ
ઓડિસ -ઓસિલેટર,ഓഡിയോ ഓസ്സിലേറ്റർ
Audio ડિઓ આઉટપાત,ഓഡിയോ output ട്ട്പുട്ട്
Auth ડિઓ સત્તાની સત્તા,ഓഡിയോ പവർ
કવિતા,ഓഡിയോ നിലവാരം
શ્રદ્ધા,ഓഡിയോ സിഗ്നൽ
Audio ડિઓ સિગ્નલ પ્રક્રિયા,ഓഡിയോ സിഗ്നൽ പ്രോസസ്സിംഗ്
Audio ડિઓ સ્પેક્ટ્રમ,ഓഡിയോ സ്പെക്ട്രം
Audio ડિઓ સંગ્રહ,ഓഡിയോ സ്റ്റോറേജ്
Audડિસ,ഓഡിയോ ഉപ-കാരിയർ
ઈડનીસ પરિશ્રમ,ഓഡിയോ ട്രാൻസ്ഫോർമർ
Audio ડિઓ ટ્રાન્સમીટર,ഓഡിയോ ട്രാൻസ്മിറ്റർ
Audio ડિઓ/વિડિઓ કમ્પ્રેશન,ഓഡിയോ / വീഡിയോ കംപ്രഷൻ
Audડ-આવર્તન ઓસિલેટર,ഓഡിയോ-ഫ്രീക്വൻസി ഓസ്സിലേറ്റർ
પુનરાવર્તન સંકેત,ഓഡിയോ-ഫ്രീക്വൻസി സിഗ്നൽ
કવિતા,ഓഡിയോമെട്രി
વિઝ્યુઅલી સહાય,ഓഡിയോ-വിഷ്വൽ സഹായം
ઉપદેશની ધારણા,ഓഡിറ്ററി ധാരണ
પ્રમાણીકરણ,പ്രാമാണീകരണം
અધિકૃત વાહક આવર્તન,അംഗീകൃത കാരിയർ ആവൃത്തി
ઓટો કેડ,ഓട്ടോ കാഡ്
સ્વત -નિદાન,യാന്ത്രിക ഡയഗ്നോസ്റ്റിക്സ്
સ્વચાલિત,ഓട്ടോമാറ്റിക്
સ્વચાલિત નિયંત્રણ,യാന്ത്രിക നിയന്ത്രണം
સ્વચાલિત તપાસ,യാന്ത്രിക കണ്ടെത്തൽ
સ્વચાલિત સાધનો,യാന്ത്രിക ഉപകരണങ്ങൾ
સ્વચાલિત આવર્તન નિયંત્રણ,യാന്ത്രിക ആവൃത്തി നിയന്ത്രണം
સ્વચાલિત મર્યાદા,യാന്ത്രിക പരിധി
સ્વચાલિત યંત્ર,യാന്ത്രിക യന്ത്രം
આપમેળે phાંકણું નિયંત્રણ,യാന്ത്രിക ഫാസ നിയന്ത്രണം
સ્વચાલિત ચિત્ર પ્રસારણ,യാന്ത്രിക ചിത്രം ട്രാൻസ്മിഷൻ
સ્વચાલિત પ્લેબેક,യാന്ത്രിക പ്ലേബാക്ക്
સ્વચાલિત વીજળી નિયંત્રણ,യാന്ത്രിക വൈദ്യുതി നിയന്ത്രണം
સ્વચાલિત કાર્યક્રમ,യാന്ത്രിക പ്രോഗ്രാമിംഗ്
સ્વચાલિત રેકોર્ડિંગ,യാന്ത്രിക റെക്കോർഡിംഗ്
સ્વચાલિત ફરીથી સેટ કરવું,യാന്ത്രിക പുന .സജ്ജമാക്കുക
સ્વચાલિત શટર,യാന്ത്രിക ഷട്ടർ
સ્વચાલિત પદ્ધતિ,യാന്ത്രിക സംവിധാനം
સ્વચાલિત ટેલિફોન,യാന്ത്രിക ടെലിഫോൺ
સ્વચાલિત તાપમાને નિયંત્રણ,യാന്ത്രിക താപനില നിയന്ത്രണം
સ્વચાલિત વોલ્ટેજ નિયમનકાર,ഓട്ടോമാറ്റിക് വോൾട്ടേജ് റെഗുലേറ്റർ
સ્વચાલિત વોલ્યુમ કોમ્પ્રેસર,യാന്ത്രിക വോളിയം കംപ്രസർ
સ્વચાલિત વોલ્યુમ નિયંત્રણ,യാന്ത്രിക വോളിയം നിയന്ത്രണം
સ્વચાલિત વોલ્યુમ વિસ્તૃતર,യാന്ത്രിക വോളിയം എക്സ്പാൻഡർ
સ્વચાલિતતા,യന്തവല്ക്കരണം
સ્વચાલિત નિયંત્રણ,യന്തമോടിക്കൽ
સ્વચાલિત આવર્તન નિયંત્રક,ഓട്ടോമേഷൻ ഫ്രീക്റ്റി കണ്ട്രോളർ
સહાયક,ഉക്സിലറി
સહાયક audio ડિઓ બસ,സഹായ ഓഡിയോ ബസ്
ઉપલબ્ધ શક્તિ,ലഭ്യമായ ശക്തി
હિમપ્રપાત,ഹിമപാത തകർച്ച
સરેરાશ,ശരാശരി ജീവിതം
સરેરાશ દબાણ,ശരാശരി മർദ്ദം
સામન્ય ગતિ,ശരാശരി വേഗത
સ્પિનનો ધરી,സ്പിൻ ആക്സിസ്
અઝિમુથ,അസിമുത്ത്
અજીમુથ ખૂન,അസിമുത്ത് ആംഗിൾ
અઝીમુથ ભૂલ,അസിമുത്ത് പിശക്
પાછલી બાજુ,ബാക്ക് ലൈറ്റ്
પૂર્વ -પ્રક્ષેપણ,ബാക്ക് പ്രൊജക്ഷൻ
બેક વોલ્ટેજ (= વિપરીત વોલ્ટેજ),ബാക്ക് വോൾട്ടേജ് (= റിവേഴ്സ് വോൾട്ടേജ്)
બેકફાયર (આર્ક બેક),ബാക്ക്ഫയർ (ആർക്ക് ബാക്ക്)
પૃષ્ઠભૂમિ,പശ്ചാത്തല വെളിച്ചം
પાછળનો ઘોંઘાટ,പശ്ചാത്തലം ശബ്ദം
પૃષ્ઠભૂમિ,പശ്ചാത്തലം പ്രൊജക്ഷൻ
પીઠ,ബാക്കപ്പ്
શરમાળ,അന്ധാളിപ്പക്കുക
બાફવું,ബേക്കിംഗ്
સંતુલિત audio ડિઓ,സമതുലിതമായ ഓഡിയോ
વારેલી audio ડિઓ લાઇન,സമതുലിതമായ ഓഡിയോ ലൈൻ
સંતુલન પ્રસારણ રેખા,സമതുലിതമായ ട്രാൻസ്മിഷൻ ലൈൻ
સંતુલન,സന്തുഗതം
બાલાસ,ബാല്ലാസ്റ്റ്
બાલાસ,ബാലസ്റ്റ് ഫാക്ടർ
બારીક,Sulun
પહાડી,കൂട്ടം
બેન્ડ પાસ ફિલ્ટર,ബാൻഡ് പാസ് ഫിൽട്ടർ
પસંદગીકાર,ബാൻഡ് സെലക്ടർ
વિભાજન,ബാൻഡ് വിഭജനം
બેન્ડ સ્ટોપ ફિલ્ટર,ബാൻഡ് നിർത്തുക ഫിൽട്ടർ
સજાગ,ബാൻഡ് സ്വിച്ച്
આવરણ,ബാൻഡ് ട്യൂറിംഗ്
બ bandન્ટવિડ્થ,ബാൻഡ്വിഡ്ത്ത്
બાર,ബാർ
બાર -સંહિતા,ബാർ കോഡ്
અવલંબ,ബാർബെ ഡാറ്റ
સરખામણી,നഗ്നമായ ബാൻഡ്
દીવો,നഗ്നമായ വിളക്ക്
કોઠાર,കളപ്പുര വാതിൽ
પાયાની પટ્ટી,അടിസ്ഥാന ബാൻഡ്
પાયાનો સંકેત,അടിസ്ഥാന ബാൻഡ് സിഗ്നൽ
પાયાનો બેન્ડ પદ્ધતિ,അടിസ്ഥാന ബാൻഡ് സംവിധാനം
આધાર બ્રાઉઝર,അടിസ്ഥാന ബ്ര .സർ
આધાર -કલેકટર જંકશન,അടിസ്ഥാന ശേഖരണ ജംഗ്ഷൻ
