Hindi,Assamese
बीजीय निकाय,বীজগণিতীয় ব্যৱস্থা
सर्व-पूर्णांक समस्या,সকলো-পূৰ্ণসংখ্যা সমস্যা
"नियतन समस्या वाटपप्रश्न,",আবণ্টনৰ সমস্যা
अक्षरात्मक संकेत पद्‌धति,বৰ্ণানুক্ৰমিক সংকেত
अक्षरात्मक संप्रतीक,বৰ্ণানুক্ৰমিক আখৰ
एकांतर कोण,বিকল্প কোণ
"एकांतर समघात प्रत्यावर्ती रूप,",বিকল্প ৰূপ
एकांतर समूह,বিকল্প গোট
एकांतर आव्यूह,বিকল্প মেট্ৰিক্স
एकांतर श्रेणी,বিকল্প শৃংখলা
वैकल्पिक परिकल्पना,বিকল্প অনুমান
वैकल्पिक इष्टमत,বিকল্প optima
वैकल्पिक परिणाम,বিকল্প ফলাফল
अनुरूप-अंकीय परिवर्तक,এনালগ-টু-ডিজিটেল ৰূপান্তৰক
"अनुरूप कम्प्यूटर,",এনালগ কম্পিউটাৰ
विश्लेषण,বিশ্লেষণ
सहप्रसरण-विश्लेषण,সহাৱস্থানৰ বিশ্লেষণ
गणन-आंकड़ों का विश्लेषण,গণনা তথ্যৰ বিশ্লেষণ
प्रसरण-विश्लेषण,ভ্যাৰিয়েন্সৰ বিশ্লেষণ
विश्लेषिक ज्यामिति,বিশ্লেষণাত্মক জ্যামিতি
विश्लेषिक फलन,বিশ্লেষণাত্মক কাৰ্য্য
कोण,কোণ
स्पर्श-कोण,সংস্পৰ্শৰ কোণ
विक्षेप-कोण,বিচ্যুতিৰ কোণ
अवनमन-कोण,বিষণ্ণতাৰ কোণ
विचलन-कोण,বিচ্যুতিৰ কোণ
विवर्तन-कोण,বিবৰ্তনৰ কোণ
उन्नयन-कोण,উচ্চতাৰ কোণ
आपतन-कोण,প্ৰাদুৰ্ভাৱৰ কোণ
प्रक्षेप-कोण,প্ৰক্ষেপণৰ কোণ
परावर्तन-कोण,প্ৰতিফলনৰ কোণ
अपवर्तन-कोण,বিবৰ্তনৰ কোণ
घूर्णन-कोण,ঘূৰ্ণনৰ কোণ
पूर्ण परावर्तन-कोण,মুঠ প্ৰতিফলনৰ কোণ
कोणीय त्वरण,কৌণিক ত্বৰণ
कोणीय गति,কৌণিক গতি
कोणीय चाल,কৌণিক গতি
कोणीय वेग,কৌণিক বেগ
वलयिका,annulus
उत्तर,উত্তৰ
प्रति-अवकलज,এন্টি – ডেৰাইভেটিভ
प्रतिसममित फलन,এন্টিচিমেট্ৰিক ফাংচন
"आच्छाद्य , अनु प्रयोज्य, लागू",প্ৰযোজ্য
"अनुप्रयोग उपयोजन,",দৰ্খাস্ত
अनुप्रयुक्त गतिशील प्रोग्रामन,ডাইনামিক প্ৰগ্ৰেমিং প্ৰয়োগ কৰা হৈছে
अनुप्रयुक्त ज्यामिति,প্ৰয়োগ কৰা জ্যামিতি
अनुप्रयुक्त गणित,প্ৰয়োগ কৰা গণিত
अनुप्रयुक्त सांख्यिकी,প্ৰয়োগ কৰা পৰিসংখ্যা
"सन्निकटतः, लगभग",অনুমানিক
सन्निकटतः संतत फलन,প্ৰায় অবিৰত ফলন
"स्थूल विधि, सन्निकट विधि",আনুমানিক পদ্ধতি
सन्निकट हल,আনুমানিক সমাধান
सन्निकटन-समस्या,আনুমানিক সমস্যা
सन्निकटन-गुणधर्म,আনুমানিক বৈশিষ্ট্য
अभिक्षमता-परीक्षावली,aptitude পৰীক্ষাৰ বেটাৰী
आरगाँ आरेख,আৰ্গাণ্ড ডায়েগ্ৰাম
स्वेच्छगहीतृ,ইচ্ছাকৃতভাৱে বাছি লোৱা
"स्वेच्छ, यादृच्छिक",স্বেচ্ছাচাৰী
स्वेच्छ अचर,ইচ্ছাকৃত ধ্ৰুৱক
स्वेच्छ अवयव,ইচ্ছাকৃত উপাদান
स्वेच्छ बिन्दु,ইচ্ছাকৃত বিন্দু
आर्किमीडी नियम,আৰ্কিমিডিয়ান আইন
आर्किमीडीज़ का नियम,আৰ্কিমিডিছ নীতি
"चाप-दैर्घ्य, चाप-लम्बाई",চাপৰ দৈৰ্ঘ্য
वत्तृ चाप,বৃত্তৰ চাপ
प्रतिलोम ज्या बंटन,চাপ চাইন বিতৰণ
प्रतिलोम ज्या रूपांतरण,চাপ চাইন ৰূপান্তৰ
" क्षेत्र , क्षेत्रफल",এলাকা
क्षेत्रीय विन्यास,এৰিয়াল টেক্সচাৰ
सम्मिश्र संख्या का कोणांक,জটিল সংখ্যাৰ যুক্তি
समांतर माध्य,গাণিতিক গড়
अंकीय संक्रिया,গাণিতিক কাৰ্য্য
अंकीय एकक,গাণিতিক একক
"विन्यास, व्यवस्था",ব্যৱস্থা
"व्यूह , सरणी",এৰে
कृत्रिम उपग्रह,কৃত্ৰিম উপগ্ৰহ
कृत्रिम चर,কৃত্ৰিম চলক
आरोहण करना,আৰোহণ কৰা
आरोही,আৰোহী
परिमाण का आरोही क्रम,মাত্ৰাৰ আৰোহী ক্ৰম
आरोही श्रेणी,আৰোহী শৃংখলা
कोडांतरक भाषा,এছেম্বলাৰ ভাষা
"नियतन समस्या नियतन प्रश्न,",নিযুক্তিৰ সমস্যা
साहचर्य नियम,সহযোগী আইন
संकारकों का साहचर्य नियम,অপাৰেটৰৰ এছ&#39;চিয়েটিভ ল&#39;
साहचर्य-संक्रिया,এছ&#39;চিয়েটিভ অপাৰেচন
सहचारिता,সহযোগিতা
कल्पित माध्य,ধৰি লোৱা গড়
कल्पित प्रायिकता बंटन,ধাৰণা কৰা সম্ভাৱনা বিতৰণ
" कल्पना , गृहीत,",ধাৰণা
ज्योतिष,জ্যোতিষ
"अंतरिक्षयानिक इंजीनियर अंतराळी अभियंता,",মহাকাশ অভিযন্তা
खगोलज्ञ*,জ্যোতিৰ্বিজ্ঞানী
खगोलीय घड़ी,জ্যোতিৰ্বিজ্ঞানৰ ঘড়ী
खगोलिकी,জ্যোতিৰ্বিজ্ঞান
असममित वक्र,অসমতাপূৰ্ণ বক্ৰ
असममिति,বিষমতা
अनंतस्पर्शी,asymptote
उपगामी,এছিম্পটটিক
उपगामी दक्ष आकलक,asymptotically দক্ষ অনুমানক
उपगामी अनभिनत आकलक,asymptotically নিৰপেক্ষ অনুমানক
उपगामी आचरण,asymptotic আচৰণ
उपगामी बंटन-फलन,এছিম্পটটিক বিতৰণ ফলন
उपगामी प्रसार,এছিম্পটটিক প্ৰসাৰণ
वायु मंडलीय दाब,বায়ুমণ্ডলীয় চাপ
"यदृच्छया,",যাদৃচ্ছিকভাৱে
गुण*,বৈশিষ্ট্য
गुण-प्रतिचयन-क्रियाविधि,বৈশিষ্ট্যসমূহৰ নমুনা সংগ্ৰহ পদ্ধতি
संवर्धित आव्यूह,বৰ্ধিত মেট্ৰিক্স
स्वसहसंबंध गुणांक,স্ব-সম্বন্ধ সহগ
स्वसहसंबंध फलन,স্বয়ংসম্বন্ধ কাৰ্য্য
स्वसहप्रसरण,অটোকোভেৰিয়েন্স
स्वचालित अभिकलित्र,স্বয়ংক্ৰিয় কম্পিউটাৰ
स्वसमाश्रयण,অটোৰিগ্ৰেছন
सहायक समीकरण,সহায়ক সমীকৰণ
माध्य प्रतिदर्श संख्या वक्र (मा.प्र.सं. वक्र),গড় নমুনা সংখ্যা বক্ৰ (ASN বক্ৰ)
" स्वयंसिद्‌ध , अभिगृहीत",axiom
अभिगहीती दृष्टिकोण,স্বতন্ত্ৰীয় পদ্ধতি
प्रायिकता अभिगृहीत,সম্ভাৱনাৰ স্বতন্ত্ৰতা
अक्ष,অক্ষ
भुजाक्ष,abscissa ৰ অক্ষ
भू-अक्ष,পৃথিৱীৰ অক্ষ
परिक्रमण-अक्ष,বিপ্লৱৰ অক্ষ
घूर्णन अक्ष,ঘূৰ্ণনৰ অক্ষ
प्रचक्रण-अक्ष,স্পিনৰ অক্ষ
पश्च-प्रतिस्थापन,বেক-বিকল্প
पश्चांतर,পিছপৰা পাৰ্থক্য
पश्च अंतर्वेशन-सूत्र,বেকৱাৰ্ড-ইন্টাৰপলেচন সূত্ৰ
"तुला, तराजू , संतु लन , शेष, बाकी , संतुलित होना, संतुलित करना",ভাৰসাম্যতা বজাই ৰখা
संतुलित अभिकल्पना,সুষম ডিজাইন
तुलन-पत्र,বেলেন্স শ্বীট
प्रक्षेपास्त्र,বেলিষ্টিক মিছাইল
"प्राक्षेपिकी, अस्त्र विज्ञान",বেলিষ্টিকছ
" स्तंभ, शलाका, सिल, सिल्ली, दंड, छड़, पट्टी , रोधिका, भित्ति , बार , रेखा, रेखिका , परीक्षण रेखा, धार",বাৰ
"आधार , क्षारक , अधम , मूल , बेस",ভেঁটি
आधार कोण,ভিত্তি কোণ
"लघुगणक का आधार, लॉगरिथ्म का आधार",লগাৰিদমৰ ভিত্তি
"आधारी, मूल,",প্ৰাথমিক
आधारी सुसंगत हल,মূল সম্ভৱপৰ সমাধান
आधारी हल,মূল সমাধান
आधारी चर,মূল চলক
आधारक,ভিত্তিত
आधार अवयव,ভিত্তি উপাদান
आधारी आव्यूह,ভিত্তি মেট্ৰিক্স
सदिश समष्टि का आधार,এটা ভেক্টৰ স্থানৰ ভিত্তি
उपसमष्टि का आधार,উপস্থানৰ ভিত্তি
बेज़-आकल,বেইছিয়ান অনুমান
बेज़-नियम,বেইছৰ নিয়ম
बेज़-प्रमेय,বেইছৰ উপপাদ্য
बर्नूली-बंटन,বাৰ্নৌলি বিতৰণ
बर्नूली संख्या,বাৰ্নৌলি নম্বৰ
बर्नूली प्रायिकता-फलन,বাৰ্নৌলি সম্ভাৱনা ফলন
बर्नूली-समीकरण,বাৰ্নৌলিৰ সমীকৰণ
बेरी फलन,বেৰী ফাংচন
श्रेष्ठतम आसंजन,বেষ্ট ফিট
श्रेष्ठतम आसंजन रेखा,শ্ৰেষ্ঠ - ফিট লাইন
सर्वोत्तम हल,উত্তম সমাধান
सर्वोत्तम युक्तियाँ,শ্ৰেষ্ঠ কৌশলসমূহ
बीटा बंटन,বিটা বিতৰণ
"अभिनति, बायस",পক্ষপাত
अभिनत आकल,পক্ষপাতমূলক অনুমান
द्विप्रसंवादी समीकरण,বিহাৰমনিক সমীকৰণ
एकैकी आच्छादन,bijection
एकैकी आच्छादी प्रतिचित्र,bijective মানচিত্ৰ
एकैकी आच्छादी प्रतिचित्रण,bijective মেপিং
द्विएकघाती समघात,দ্বিৰৈখিক ৰূপ
द्विरैखिक फलन,দ্বিৰৈখিক ফলন
द्विरैखिक हर्मिटीय समघात,দ্বিৰৈখিক হাৰ্মিটিয়ান ৰূপ
"द्वि-चर, द्वि-आधारी, द्वयी",বাইনাৰী
"द्वि-आधारी कोड, द्विआधारी कूट",বাইনাৰী ক&#39;ড
"द्वि-आधारी कूट दशमलव, द्वि-आधारी कोडित दशमलव",বাইনাৰী ক&#39;ড কৰা দশমিক
द्वि-आधारी कूटलेखन,বাইনাৰী ক&#39;ডিং
द्वि-आधारी अभिकलित्र,বাইনাৰী কম্পিউটাৰ
द्वि-आधारी अंक,বাইনাৰী অংক
द्विआधारी संक्रिया,বাইনাৰী অপাৰেচন
द्विआधारी पद्‌धति,বাইনাৰী ব্যৱস্থা
द्विआधारी चर,বাইনাৰী চলক
द्विपद गुणांक,দ্বিপদ সহগ
द्विपद बंटन,দ্বিপদ বিতৰণ
द्विपद समीकरण,দ্বিপদ সমীকৰণ
द्विपद प्रसरण,দ্বিপদ সম্প্ৰসাৰণ
द्विपद व्यंजक,দ্বিপদ অভিব্যক্তি
द्विपद यादृच्छिक चर,দ্বিপদ ৰেণ্ডম চলক
द्विपद-प्रमेय,দ্বিপদ উপপাদ্য
"अर्धन, द्विभाजन",দ্বিখণ্ড
"समद्विभाजन विधि, अर्धीकरण विधि",দ্বিখণ্ডন পদ্ধতি
"अर्धक, द्विभाजक",দ্বিখণ্ড
"द्विपंक्तिक, द्विश्रेणिक",biserial
"द्वयंक (द्विआधारी अंक) , अणी, बरमी , टूक",বিট
द्विचर द्विपद-बंटन द्विचल,দ্বিচলকীয় দ্বিপদ বিতৰণ
द्विचर सहसंबंध गुणांक,দ্বিচলকীয় সম্পৰ্ক সহগ
द्विचर बंटन,দ্বিচলকীয় বিতৰণ
द्विचर प्रसामान्य-बंटन,দ্বিচলকীয় স্বাভাৱিক বিতৰণ
द्विसदिश,বাইভেক্টৰ
बोल्ट्मान समीकरण,বোল্টজমেন সমীকৰণ
बूलीय बीजावली*,বুলিয়ান বীজগণিত
बोस-आइन्स्टाइन सांख्यिकी,Bose - আইনষ্টাইন পৰিসংখ্যা
परिसीमा प्रतिबन्ध,সীমাৰ অৱস্থা
परिसीमा स्तर,সীমা স্তৰ
परिसीमा रेखा,সীমাৰেখা
परिसीमा मान,সীমা মূল্য
परिसीमा मान समस्या,সীমা মূল্যৰ সমস্যা
"परिबद्‌ध फलन परिबद्‌ध फल,",সীমাবদ্ধ ফলন
"परिबद्‌ध मैट्रिक्स, परिबद्‌ध आव्यूह परिबद्‌ध सारणी,",সীমাবদ্ধ মেট্ৰিক্স
"परिबद्‌ध प्रदेश परिबद्‌ध प्रदेश,",সীমাবদ্ধ অঞ্চল
"परिबद्‌ध समच्चय परिबद्‌ध संच,",সীমাবদ্ধ ছেট
ब्राउनी गति,ব্ৰাউনিয়ান গতি
परिकलन करना,গণনা কৰ
परिकलन,গণনা কৰা
"परिकलन-यंत्र, परिकलित्र",গণনা কৰা মেচিন
परिकलन*,গণনা কৰা
परिकलनात्मक क्रिया विधि,গণনামূলক পদ্ধতি
" परिकलित्र , परिकलक",কেলকুলেটৰ
"कलन, कैलकुलस",কেলকুলাছ
विचरण-कलन,তাৰতম্যৰ কেলকুলাছ
कैलोरी,কেলৰি
निरसन नियम,বাতিল আইন
विहित समीकरण,কেননিক সমীকৰণ
विहित रूप,কেননিক ৰূপ
"विहित मैट्रिक्स, के नानिकल मैट्रिक्स",কেননিক মেট্ৰিক্স
कैन्टर समुच्चय,কেন্টৰ ছেট
कैन्टर त्रिआधारी समुच्चय,কেণ্টৰৰ ত্ৰিমাত্ৰিক চেট
परिबंधित परिवहन समस्या,ক্ষমতাসম্পন্ন পৰিবহণ সমস্যা
क्षमता,ক্ষমতা
केशिका-बल,কেপিলাৰী বল
"गणन संख्या, कार्डिनल संख्या",কাৰ্ডিনেল নম্বৰ
कार्तीय अक्ष,কাৰ্টেছিয়ান অক্ষ
कार्तीय निर्देशांक,কাৰ্টেছিয়ান স্থানাংক
कार्तीय गुणन,কাৰ্টেছিয়ান উৎপাদন
समुच्चयों का कार्तीय गुणन,গোটৰ কাৰ্টেছিয়ান উৎপাদক
"केस अध्ययन, वस्तुस्थिति अध्ययन",কেছ ষ্টডি
विपत्तिपूर्ण उच्चावचन,বিপৰ্যয়জনক উঠা-নমা
कैटिनरी,কেটেনাৰী
कौशी बंटन,কাউচি বিতৰণ
कौशी सूत्र,কাউচি সূত্ৰ
कौशी-गूर्सा-प्रमेय,কৌচি গৌৰছাট উপপাদ্য
कौशी-रीमान-प्रतिबंध,কাউচি ৰিমেন চৰ্ত
कौशी अनुक्रम,ক&#39;চি ক্ৰম
कौशी समाकल,কৌচি অবিচ্ছেদ্য
कौशी मुख्य-मान,কাউচি প্ৰধান মূল্য
कौशी अवशेष प्रमेय,ক’চি অৱশিষ্ট উপপাদ্য
कैले-हैमिल्टन-प्रमेय,কেলি হেমিল্টন উপপাদ্য
"खपिंड, खगोलीय पिंड",আকাশী দেহ
खगोलीय माप,আকাশী জোখ
खगोलीय यांत्रिकी,আকাশী যান্ত্ৰিকতা
खगोलीय पिंड,আকাশী বস্তু
कोशिका बारंबारता,কোষ কম্পাঙ্ক
"गणना , जनगणना",লোকপিয়ল
शततमक,চেন্টাইল
सेन्टीमीटर,চেন্টিমিটাৰ
सेन्टीमीटर-ग्राम-सेकंड पद्‌धति,চেণ্টিমিটাৰ গ্ৰাম দ্বিতীয় ব্যৱস্থা
"केन्द्रीय , सकेन्द्र",কেন্দ্ৰীয়
केन्द्रीय अक्ष,কেন্দ্ৰীয় অক্ষ
केन्द्रीय अंतर,কেন্দ্ৰীয় পাৰ্থক্য
केन्द्रीय अंतर सूत्र,কেন্দ্ৰীয় পাৰ্থক্য সূত্ৰ
केन्द्रीय अंतर सारणी,কেন্দ্ৰীয় পাৰ্থক্য টেবুল
केन्द्रीय सीमा प्रमेय,কেন্দ্ৰীয় সীমা উপপাদ্য
केन्द्रीय आघूर्ण,কেন্দ্ৰীয় মুহূৰ্ত
केन्द्रीय संसाधन एकक,কেন্দ্ৰীয় প্ৰক্ৰিয়াকৰণ একক (CPU)
केन्द्रीय प्रवतिृ,কেন্দ্ৰীয় প্ৰৱণতা
केन्द्र*,কেন্দ্ৰ
गुरुत्व-केन्द्र,মাধ্যাকৰ্ষণ কেন্দ্ৰ
समूह-केन्द्र,গোটৰ কেন্দ্ৰ
संहति-केन्द्र,ভৰৰ কেন্দ্ৰ
सममिति-केन्द्र,প্ৰতিসমতাৰ কেন্দ্ৰ
अपकेन्द्री बल,কেন্দ্ৰপৃথক বল
अभिकेन्द्र-बल,কেন্দ্ৰিক বল
"केन्द्रक मध्यगासंपात,",কেন্দ্ৰবিন্দু
निश्चितता,নিশ্চয়তা
c.g.s.पद्‌धति,cgs ব্যৱস্থা
c.g.s.मात्रक,cgs ইউনিট
अवकलन का शृंखला नियम,পাৰ্থক্যৰ শৃংখল নিয়ম
संयोग हेतु,আকস্মিক কাৰণ
सांयोगिक चाल,chance moves
अक्ष-परिवर्तन,অক্ষৰ পৰিৱৰ্তন
"आधार परिवर्तन पायाधार-बदल,",ভিত্তিৰ পৰিৱৰ্তন
क्रम परिवर्तन,ক্ৰম সলনি কৰা
अभिलक्षणिक गुणांक,বৈশিষ্ট্য সহগ
अभिलक्षणिक सारणिक,নিৰ্ণায়ক
अभिलक्षण-समीकरण,বৈশিষ্ট্যপূৰ্ণ সমীকৰণ
"अभिलक्षण-फलन, कैरेक्टेरिस्टिक फलन",বৈশিষ্ট্যপূৰ্ণ কাৰ্য্য
लघुगणक का पूर्णांश,লগাৰিদমৰ বৈশিষ্ট্য
"अभिलक्षणिक बहुपद,",বৈশিষ্ট্যপূৰ্ণ বহুপদ
अभिलक्षणिक मान,বৈশিষ্ট্যপূৰ্ণ মূল্য
अभिलक्षणिक सदिश,বৈশিষ্ট্যপূৰ্ণ ভেক্টৰ
संप्रतीक समुदाय,আখৰৰ গোট
"चार्ट, संचित्र तक्ता,",তালিকা
काई-वर्ग बंटन,কাই-স্কেয়াৰ বিতৰণ
काई-वर्गं सूत्र,কাই-বৰ্গ সূত্ৰ
काई-वर्ग परीक्षण,কাই-স্কেয়াৰ পৰীক্ষা
जीवा*,কৰ্ড
जीवा-द्विभाजन-विधि,কৰ্ড-বাইছেকচন পদ্ধতি
बीजलिखित संदेश,চাইফাৰ বাৰ্তা (=ক&#39;ড কৰা বাৰ্তা)
"शून्य, सिफर",চাইফাৰ (শূন্য)
वृत्त*,বৃত্ত
अभिसरण वत्तृ,অভিসৰণৰ বৃত্ত
परिपथ आव्यूह,বৰ্তনী মেট্ৰিক্স
"वृत्ताकार, वर्तुल,",বৃত্তাকাৰ
वर्तुल अनंतस्पर्शी,বৃত্তাকাৰ এছিম্পটট
वृत्तीय कंडुलिनी,বৃত্তাকাৰ হেলিক্স
वर्तुल गति,বৃত্তাকাৰ গতি
परिकेन्द्र,circumcentre
परिवृत्त*,circumcircle কৰা হৈছে
"परिगत करना, परितः खींचना",circumscribe কৰক
परिगत,পৰিসীমাবদ্ধ
परिवृत,circumscribed বৃত্ত
चिरप्रतिष्ठित निगमनिक,ধ্ৰুপদী ডিডক্টিভ কৌশল
चिरप्रतिष्ठित गतिकी,ধ্ৰুপদী গতিশীলতা
चिरप्रतिष्ठित इष्टतमन,ধ্ৰুপদী অনুকূলন
चिरप्रतिष्ठित वित्तनाश समस्या,ধ্ৰুপদী ধ্বংস সমস্যা
चिरप्रतिष्ठित सांख्यिकीय यांत्रिकी,ধ্ৰুপদী পৰিসংখ্যা বলবিজ্ঞান
त्रुटियों का वर्गीकरण,ভুলৰ শ্ৰেণীবিভাজন
वर्ग-अंतराल,শ্ৰেণীৰ ব্যৱধান
वर्गांतराल एकक,শ্ৰেণী-ব্যৱধান একক
वर्ग-सीमा,শ্ৰেণী সীমা
दक्षिणावर्त,ঘড়ীৰ কাঁটাৰ দিশত
संविवृत,clopen (= বন্ধ আৰু খোলা)
"संवृत, बंद",বন্ধ কৰা হৈছে
संवृत अवमख समावरक,বন্ধ উত্তল ঢাল
संवृत घन,বন্ধ ঘনক
"बंद वक्र, संवृत वक्र",বন্ধ বক্ৰ
संवृत प्रांत,বন্ধ ডমেইন
बंद आकृति,বন্ধ চিত্ৰ
संवृत अंतराल,বন্ধ ব্যৱধান
"संवृत प्रदेश, बंद प्रदेश",বন্ধ অঞ্চল
संवृत समच्चय,বন্ধ চেট
"बंद पृष्ठ, संवृत पृष्ठ",বন্ধ পৃষ্ঠ
" निमीलन, वेष्टन , संवरक",বন্ধ কৰা
संवरण-संकारक (संवरक),বন্ধ অপাৰেটৰ
संवरक-बिन्दु,বন্ধ বিন্দু (= সংস্পৰ্শ বিন্দু)
संवरक-अभिगृहीत,বন্ধ কৰাৰ প্ৰস্তাৱনা
संवरक समुच्चय,বন্ধ কৰা ছেট
गुच्छ बिन्दु,ক্লাষ্টাৰ পইণ্ট
गुच्छ प्रतिचयन,ক্লাষ্টাৰ নমুনা সংগ্ৰহ কৰা
गुच्छ समुच्चय,ক্লাষ্টাৰ ছেট
समाक्ष वृत्त,সমাক্ষীয় বৃত্ত
समाक्ष परवलय,সমাক্ষীয় পেৰাবোলা
समाक्ष समतल,সমাক্ষীয় সমতল
समाक्ष त्रिभुज,সমাক্ষীয় ত্ৰিভুজ
कोब-डगलस फलन,কব - ডগলাস ফাংশন
" कूटलेखन, कोडन , संकेतन",ক&#39;ডিং
सामग्री का संकेतीकरण,তথ্যৰ ক&#39;ডিং
सहप्रांत,সহ-ডমেইন
गुणांक आव्यूह,সহগ মেট্ৰিক্স
सहसंबंध-गुणांक,সম্পৰ্কৰ সহগ
निर्धारण गुणांक,নিৰ্ণয়ৰ সহগ
प्रत्यास्थता गुणांक,স্থিতিস্থাপকতাৰ সহগ
प्रसार गुणांक,প্ৰসাৰণৰ সহগ
घर्षण गुणांक,ঘৰ্ষণৰ সহগ
अनुदैर्घ्य प्रसार का गुणांक,ৰৈখিক প্ৰসাৰণৰ সহগ
समाश्रयण गुणांक,ৰিগ্ৰেছনৰ সহগ
पृष्ठ तनाव का गुणांक,পৃষ্ঠীয় টানৰ সহগ
विचरण गुणांक,তাৰতম্যৰ সহগ
"सह-खण्ड, सह गुणन खंड,सहकारक",কোফেক্টৰ
सिक्का उछाल,coin throw (মুদ্ৰা টছ)
प्रतिदर्श-संचय,নমুনা সংগ্ৰহ কৰা
सरेख,collinear
सरेखता,collinearity
"स्तंभ, कॉलम",স্তম্ভ
स्तंभतुल्यता,স্তম্ভ সমতুল্যতা
स्तंभ-तुल्य,স্তম্ভ সমতুল্য
स्तंभ तुल्य आव्यूह,স্তম্ভ সমতুল্য মেট্ৰিক্স
स्तंभ आव्यूह,স্তম্ভ মেট্ৰিক্স
स्तंभ कोटि,স্তম্ভ ৰেংক
स्तंभ समानीत सोपानक आव्यूह,স্তম্ভ হ্ৰাস কৰা ইকলন মেট্ৰিক্স
