Tamil,Bengali
பின் இணைப்பு,ব্যাকপ্যাচিং
பின்வெளி,ব্যাকস্পেস
பின்வாங்குதல்,ব্যাকট্র্যাকিং
காப்புப்பிரதி,ব্যাক আপ
காப்பு நினைவகம்,ব্যাক আপ মেমরি
பின்னோக்கி பிழை மீட்பு,পিছনের ত্রুটি পুনরুদ্ধার
இருப்புநிலை,ব্যালেন্স শীট
இசைக்குழு,ব্যান্ড
பட்டை அகலம்,ব্যান্ড প্রস্থ
வங்கியாளர் வழிமுறை,ব্যাংকারের অ্যালগরিদম
பார் குறியீடு,বার কোড
பட்டை குறி படிப்பான் வருடி,বারকোড স্ক্যানার
சட்ட வரைபடம்,বার গ্রাফ
அடிப்படை முகவரி,ভিত্তি ঠিকানা
அடிப்படை இசைக்குழு,বেস ব্যান্ড
அடிப்படை எண்,ভিত্তি নম্বর
அடிப்படை அட்டவணை,ভিত্তি টেবিল
அடிப்படை,বেসিক
அடிப்படை கட்டுப்பாடு,মৌলিক নিয়ন্ত্রণ
அடிப்படை உள்ளீடு,মৌলিক ইনপুট
அடிப்படை அறிவுறுத்தல்,মৌলিক নির্দেশ
அடிப்படை வெளியீடு,মৌলিক আউটপুট
அடிப்படை படி,মৌলিক পদক্ষেপ
தொகுதி,ব্যাচ
தொகுதி கோப்பு,ব্যাচ ফাইল
தொகுதி நிலை,ব্যাচ অবস্থান
தொகுதி செயலாக்கம்,ধির গতির কাজ
தொகுதி அமைப்பு,ব্যাচ সিস্টেম
பாட்,বউড
பாட் விகிதம்,বড হার
உத்திரம்,মরীচি
அளவுகோல்,মাপকাঠি
இருதரப்பு தொடர்பு,দ্বিমুখী যোগাযোগ
இருதரப்பு இணைப்பு,দ্বিমুখী লিঙ্ক
பைனரி குறியீடு,বাইনারি কোড
பைனரி இலக்கம்,বাইনারি সংখ্যা
பைனரி உள்ளீட்டு வெளியீட்டு அமைப்பு (பயாஸ்),বাইনারি ইনপুট আউটপুট সিস্টেম (BIOS)
பைனரி எண்,বাইনারি সংখ্যা
பைனரி ஆபரேட்டர்,বাইনারি অপারেটর
பைனரி உறவு,বাইনারি সম্পর্ক
பைனரி தேடல்,বাইনারি অনুসন্ধান
பைனரி தேடல் மரம் (BST),বাইনারি সার্চ ট্রি (BST)
பைனரி பரிமாற்றம்,বাইনারি স্থানান্তর
பைனரி மரம்,বাইনারি গাছ
இருமுனை நினைவகம்,বাইপোলার মেমরি
பிறப்பு இறப்பு மாதிரி,জন্ম মৃত্যু মডেল
பிறப்பு இறப்பு செயல்முறை,জন্ম মৃত্যু প্রক্রিয়া
பிட்,বিট
சிறிய தவறு,বিট দোষ
பிட் வரைபடம்,বিট মানচিত্র
பிட் மேப் பிக்சல் (BMP),বিট ম্যাপ পিক্সেল (BMP)
பிட் மேட்ரிக்ஸ்,বিট ম্যাট্রিক্স
பிட் முறை,বিট প্যাটার্ন
பிட் நிலை,বিট অবস্থান
பிட் விகிதம்,বিট হার
கருப்பு பெட்டி சோதனை,কালো বক্স পরীক্ষা
கண் சிமிட்டுதல்,মিটমিট করে
தொகுதி,ব্লক
தொகுதி தற்காலிக சேமிப்பு,ব্লক ক্যাশে
தடுப்பு சோதனை,ব্লক চেক
தொகுதி நகல்,ব্লক কপি
தொகுதி வரைபடம்,ব্লক ডায়াগ্রাম
பிணையத்தைத் தடுக்கிறது,ব্লকিং নেটওয়ার্ক
பலகை,বোর্ড
புத்தககுறி,বই চিহ্ন
பூலியன் இயற்கணிதம்,বুলিয়ান বীজগণিত
பூலியன் உறவு,বুলিয়ান সম্পর্ক
துவக்க பகிர்வு,বুট পার্টিশন
பூட் ஸ்ட்ராப்பிங்,বুট strapping
பூட்-ஸ்ட்ராப் ஏற்றி,বুট-স্ট্র্যাপ লোডার
பாலம்,সেতু
பிராட்பேண்ட் நெட்வொர்க்கிங்,ব্রডব্যান্ড নেটওয়ার্কিং
ஒளிபரப்பு,সম্প্রচার
ஒலிபரப்பு வானொலி,রেডিও সম্প্রচার
உலவ,ব্রাউজ
உலாவி,ব্রাউজার
பி-மரம்,বি-বৃক্ষ
குமிழி நினைவகம்,বুদ্বুদ মেমরি
குமிழி வகை,বুদ্বুদ সাজানোর
வாளி,বালতি
நண்பர் அமைப்பு,বন্ধু সিস্টেম
பட்ஜெட் பயனுள்ள கட்டுப்பாடு,বাজেট কার্যকর নিয়ন্ত্রণ
தாங்கல்,বাফার
பிழை,বাগ
பேருந்து,বাস
பைட்,বাইট
பைட் குறியீடு,বাইট কোড
c,গ
C++,সি++
தற்காலிக சேமிப்பு,ক্যাশে
கேச் தாங்கல்,ক্যাশে বাফার
கேச் நினைவகம்,ক্যাশ মেমরি
கணக்கீடு,গণনা
கால்குலேட்டர்,ক্যালকুলেটর
கால்குலேட்டர் சிப்,ক্যালকুলেটর চিপ
அழைப்பு,কল
பெயரால் அழைக்கவும்,নামে ডাক
குறிப்பு மூலம் அழைப்பு,রেফারেন্স দ্বারা কল করুন
மதிப்பு மூலம் அழைப்பு,মূল্য দ্বারা কল
மாறிகள் மூலம் அழைப்பு,ভেরিয়েবল দ্বারা কল
அழைப்பு வாயில்,কল গেট
ரத்து செய்,বাতিল
ரத்து பொத்தான்,বাতিল বোতাম
நியமனம்,ক্যানোনিকাল
நியமன வடிவம்,ক্যানোনিকাল ফর্ম
திறன்,ক্ষমতা
திறன் பட்டியல்,ক্ষমতা তালিকা
திறன்,ক্ষমতা
தொப்பி பூட்டு விசை,ক্যাপ লক কী
அட்டை,কার্ড
கார்டு ரீடர்,কার্ড পাঠক
கார்டினாலிட்டி,কার্ডিনালিটি
கேரியர்,বাহক
கேரியர் பேண்ட்,ক্যারিয়ার ব্যান্ড
கேரியர் சுமை,ক্যারিয়ার লোড
கேரியர் சிக்னல்,ক্যারিয়ার সংকেত
கேரியர் அலை,ক্যারিয়ার তরঙ্গ
சுமந்து செல்,বহন
இலக்கத்தை எடுத்துச் செல்லுங்கள்,অঙ্ক বহন
கொடியை ஏந்தி,পতাকা বহন
கெட்டி வட்டு,কার্তুজ ডিস্ক
அருவி,ক্যাসকেড
வழக்கு,মামলা
கத்தோட் கதிர் குழாய் (CRT),ক্যাথড রে টিউব (সিআরটি)
கேத்தோடு கதிர் குழாய் (CRT),ক্যাথোড রে টিউব (CRT)
CD ROM வட்டு இயக்கி,সিডি রম ডিস্ক ড্রাইভ
செல்,কোষ
செல் அனிமேஷன்,সেল অ্যানিমেশন
கை பேசி,মোবাইল ফোন
மைய நினைவகம்,কেন্দ্রীয় স্মৃতি
மத்திய செயலாக்க அலகு (CPU),কেন্দ্রীয় প্রক্রিয়াকরণ ইউনিট (CPU)
மையப்படுத்தப்பட்ட அமைப்பு,কেন্দ্রীভূত ব্যবস্থা
சான்றளிக்கப்பட்ட நாடா,প্রত্যয়িত টেপ
சங்கிலி,চেইন
சங்கிலி தரவு,চেইন ডেটা
சங்கிலி இணைப்பு,চেইন লিঙ্ক
சங்கிலியிடுதல்,চেইনিং
சேனல்,চ্যানেল
சேனல் பிஸியான தொனி,চ্যানেল ব্যস্ত টোন
சேனல் திறன்,চ্যানেল ক্ষমতা
சேனல் கட்டுப்படுத்தி,চ্যানেল কন্ট্রোলার
சேனல் பிழை,চ্যানেল ত্রুটি
சேனல் நிரல்,চ্যানেল প্রোগ্রাম
சேனல் நம்பகத்தன்மை,চ্যানেল নির্ভরযোগ্যতা
சேனல் தொகுப்பு,চ্যানেল সেট
பாத்திரம்,চরিত্র
எழுத்து குறியீடு,অক্ষর কোড
எழுத்து திறவுகோல்,অক্ষর কী
பாத்திர வாசகர்,চরিত্র পাঠক
எழுத்து அளவு,অক্ষরের আকার
விளக்கப்படம்,চার্ট
சேஸ்பீடம்,চ্যাসিস
சோதனை பிட்,চেক বিট
எண்ணை சரிபார்க்க,অংকের চেক
காசோலை தொகை,চেক যোগফল
சரிபார்ப்பு வார்த்தை,চেক শব্দ
சிப்,চিপ
சிப் தொகுப்பு,চিপ সেট
தேர்வு,পছন্দ করা
வர்ண ரீதியாக,বর্ণগতভাবে
மறைக்குறியீடு,গোপনীয় কোড
சுற்று,সার্কিট
வட்ட பட்டியல்,বৃত্তাকার তালিকা
சிரஸ்,সাইরাস
மேற்கோள்,উদ্ধৃতি
வர்க்கம்,ক্লাস
வர்க்க மாறி,ক্লাস পরিবর্তনশীল
வகைப்பாடு,শ্রেণীবিভাগ
தெளிவானது,স্পষ্ট
தெளிவான பகுதி,পরিষ্কার এলাকা
தெளிவான சேனல்,পরিষ্কার চ্যানেল
கிளிக் செய்யவும்,ক্লিক
வாடிக்கையாளர்,ক্লায়েন্ট
கிளையன்ட் சர்வர்,ক্লায়েন্ট সার্ভার
கிளையன்ட் ஸ்டப்,ক্লায়েন্ট স্টাব
சிறு படம்,ক্লিপ আর্ট
கிளிப் ஆர்ட் நூலகம்,ক্লিপ আর্ট লাইব্রেরি
கிளிப் போர்டு,ক্লিপ বোর্ড
கிளிப்பர்,ক্লিপার
கிளிப்பர் சிப்,ক্লিপার চিপ
குழு,চক্র
கடிகாரம்,ঘড়ি
கடிகார சுழற்சி,ঘড়ি চক্র
கடிகார அதிர்வெண்,ঘড়ি ফ্রিকোয়েন্সি
கடிகார வன்பொருள்,ঘড়ির হার্ডওয়্যার
கடிகார துடிப்பு,ঘড়ির নাড়ি
கடிகார வேகம்,ঘরির গতি
கடிகார ஒத்திசைவு,ঘড়ি সিঙ্ক্রোনাইজেশন
கடிகார டிக்,ঘড়ির টিক টিক
குளோன்,ক্লোন
நெருக்கமான,বন্ধ
க்ளோஸ் சர்க்யூட் டிவி (சிசிடிவி),ক্লোজ সার্কিট টিভি (সিসিটিভি)
மூடல்,বন্ধ
கிளவுட் கம்ப்யூட்டிங்,ক্লাউড কম্পিউটিং
கொத்து,ক্লাস্টার
பூசிய அட்டை,প্রলিপ্ত কার্ড
பூசிய காகித,লেপা কাগজ
கோஆக்சியல்,সমাক্ষীয়
கோஆக்சியல் கேபிள்,সমাক্ষ তারের
கோடாசில்,কোডাসাইল
குறியீடு,কোড
குறியீடு உற்பத்தியாளர்,উৎপাদকের কোড
குறியீடு பக்கம்,কোড পৃষ্ঠা
குறியீட்டு வார்த்தை,কোড শব্দ
குறியீட்டாளர்,কোডার
குறியீட்டு சோதனை,কোডিং চেক
குறியீட்டு வடிவம்,কোডিং ফর্ম
குறியீட்டு தாள்,কোডিং শীট
குணகம்,গুণাঙ্ক
இணக்கத்தைப்,সমন্বয়
குளிர் துவக்க,শীতল বুটজুতা
குளிர் ஆரம்பம்,ঠান্ডা শুরু
இணைந்து,সহযোগিতা
சரிவு,পতন
இணை,জমাট বাঁধা
கோலேட் டேப்,কোলেট টেপ
மோதல்,সংঘর্ষ
பெருங்குடல்,কোলন
நிறம் (நிறம்),রঙ রঙ)
வண்ண செறிவு,রঙ স্যাচুরেশন
வண்ண அட்டவணை,রঙের টেবিল
நெடுவரிசை,কলাম
சேர்க்கை,সংমিশ্রণ
சேர்க்கை பெட்டி,কম্বো বাক্স
கட்டளை,আদেশ
கட்டளை பொத்தான்,আদেশ বোতাম
கட்டளை பட்டியல்,কমান্ড তালিকা
கருத்து,মন্তব্য
அர்ப்பணிப்பு,অঙ্গীকার
பண்டம்,পণ্য
பொதுவான வணிகம் சார்ந்த மொழி (கோபோல்),কমন বিজনেস ওরিয়েন্টেড ল্যাঙ্গুয়েজ (কোবোল)
பொதுவான பிழை,সাধারণ ত্রুটি
பொது மொழி,সাধারণ ভাষা
பொதுவான வழக்கம்,সাধারণ রুটিন
தொடர்பு,যোগাযোগ
தொடர்பு வரி,যোগাযোগ লাইন
தொடர்பு முறை,যোগাযোগ মোড
தொடர்பு நெட்வொர்க்,যোগাযোগ নেটওয়ার্ক
தொடர்பு அளவுரு,যোগাযোগ পরামিতি
தொடர்பு அமைப்பு,যোগাযোগ ব্যবস্থা
சுருக்கம்,কম্প্যাকশন
தளபதி,সঙ্গী
இணைத்தல்,companding
நிறுவனத்தின் நெட்வொர்க்,কোম্পানি নেটওয়ার্ক
ஒப்பீட்டு சோதனை,তুলনা পরীক্ষা
பொருந்தக்கூடிய தன்மை,সামঞ্জস্য
இணக்கமான,উপযুক্ত
தொகுத்தல்,সংকলন
தொகுத்து செல்ல,কম্পাইল এবং যান
தொகுப்பி,কম্পাইলার
தொகுக்கும் மொழி,কম্পাইলার ভাষা
நிரப்பு,পরিপূরক
நிரப்பு-பத்து,পরিপূরক-অন-দশ
பூர்த்தி செய்பவர்,পরিপূরক
முழு சுமந்து,সম্পূর্ণ বহন
சிக்கலான,জটিল
சிக்கலான எண்,জটিল সংখ্যা
கூறு,উপাদান
கூறு பொருள் மாதிரி (COM),কম্পোনেন্ট অবজেক্ট মডেল (COM)
கூட்டு,যৌগিক
கலவை,গঠন
கணக்கீட்டு,গণনামূলক
கணினி,কম্পিউটার
கணினி மையம்,কম্পিউটার কেন্দ্র
கணினி நிபுணர்,কম্পিউটার বিশেষজ্ঞ
கணினி வரைகலை,কম্পিউটার গ্রাফিক্স
கணினி அறிவுறுத்தல்,কম্পিউটার নির্দেশনা
கணினி மொழி,কম্পিউটার ভাষা
கணினி வலையமைப்பு,কম্পিউটার নেটওয়ার্ক
கணினி அறிவியல்,কম্পিউটার বিজ্ঞান
கணினி பாதுகாப்பு,কম্পিউটার নিরাপত্তা
கணினி உருவகப்படுத்துதல்,কম্পিউটার সিমুলেটন
கணினி நிபுணர்,কম্পিউটার বিশেষজ্ঞ
கணினிமயமாக்கல்,কম্পিউটারাইজেশন
கணினி நிபுணர்,কম্পিউটারবিদ
கணினிமயமாக்கு,কম্পিউটারাইজ করা
கம்ப்யூட்டிங்,কম্পিউটিং
கருத்து,ধারণা
ஒத்திசைவு,সঙ্গতি
ஒரே நேரத்தில்,সমবর্তী
நிலை மாறி,শর্ত পরিবর্তনশীল
நிபந்தனை ஆபரேட்டர்,শর্তসাপেক্ষ অপারেটর
நிபந்தனை அறிக்கை,শর্তসাপেক্ষ বিবৃতি
நடத்துனர்,কন্ডাক্টর
மாநாடு,কনফারেন্সিং
இரகசியத்தன்மை,গোপনীয়তা
கட்டமைப்பு,কনফিগারেশন
நெரிசல்,যানজট
இணைப்பு,সংযোগ
இணைப்பு வேகம்,সংযোগ গতি
இணைப்பு,সংযোগ
இணைப்பு குறைவான தொடர்பு,সংযোগ কম যোগাযোগ
இணைப்பு வெளியீடு,সংযোগ মুক্তি
இணைப்பு,সংযোগ
இணைப்பான்,সংযোগকারী
தொடர்ச்சியாக,একটানা
அதன் விளைவாக,ফলে
பணியகம்,কনসোল
ஒருங்கிணைப்பு,একত্রীকরণের
நிலையான,ধ্রুবক
நிலையான அறிவுறுத்தல்,ধ্রুবক নির্দেশ
கட்டுப்பாடு,বাধা
கட்டமைப்பாளர்,নির্মাণকারী
கொள்கலன்,ধারক
உள்ளடக்கம்,বিষয়বস্তু
சூழல்,প্রসঙ্গ
சூழல் இலவச இலக்கணம் (CFG),প্রসঙ্গ মুক্ত ব্যাকরণ (CFG)
