Bengali,English
বৈশিষ্ট্য নমুনা পদ্ধতি,attributes sampling procedure
অগমেন্টেড ম্যাট্রিক্স,augmented matrix
স্বয়ংক্রিয় সম্পর্ক সহগ,autocorrelation coefficient
স্বয়ংক্রিয় সম্পর্ক ফাংশন,autocorrelation function
স্বয়ংক্রিয়তা,autocovariance
স্বয়ংক্রিয় কম্পিউটার,automatic computer
অটোরিগ্রেশন,autoregression
সহায়ক সমীকরণ,auxiliary equation
গড় নমুনা সংখ্যা বক্ররেখা (ASN কার্ভ),average sample number curve (A.S.N. Curve)
স্বতঃসিদ্ধ,axiom
স্বতঃসিদ্ধ পদ্ধতি,axiomatic approach
সম্ভাব্যতার স্বতঃসিদ্ধ,axiom of probability
অক্ষ,axis
আবসিসার অক্ষ,axis of abscissa
পৃথিবীর অক্ষ,axis of earth
বিপ্লবের অক্ষ,axis of revolution
ঘূর্ণনের অক্ষ,axis of rotation
ঘূর্ণনের অক্ষ,axis of spin
ফিরে প্রতিস্থাপন,back-substitution
পশ্চাদপদ পার্থক্য,backward difference
পশ্চাদগামী-ইন্টারপোলেশন সূত্র,backward-interpolation formula
ভারসাম্য,balance
সুষম নকশা,balanced design
ব্যালেন্স শীট,balance sheet
ক্ষেপণাস্ত্র,ballistic missile
ব্যালিস্টিক,ballistics
বার,bar
ভিত্তি,base
ভিত্তি কোণ,base angle
লগারিদমের ভিত্তি,base of logarithm
মৌলিক,basic
মৌলিক সম্ভাব্য সমাধান,basic feasible solution
মৌলিক সমাধান,basic solution
মৌলিক পরিবর্তনশীল,basic variable
ভিত্তি,basis
ভিত্তি উপাদান,basis element
ভিত্তি ম্যাট্রিক্স,basis matrix
একটি ভেক্টর স্থান ভিত্তি,basis of a vector space
সাবস্পেস ভিত্তি,basis of subspace
Bayesian অনুমান,Bayesian estimate
বেইস আইন,Bayes' law
বেইসের উপপাদ্য,Bayes' theorem
বার্নোলি বিতরণ,Bernoulli distribution
বার্নোলি নম্বর,Bernoulli number
Bernoulli সম্ভাব্যতা ফাংশন,Bernoulli probability function
বার্নউলির সমীকরণ,Bernoulli's equation
বেরি ফাংশন,Berry function
শ্রেষ্ঠ মিল,best fit
সেরা - ফিট লাইন,best - fit line
সেরা সমাধান,best solution
সেরা কৌশল,best strategies
বিটা বিতরণ,beta distribution
পক্ষপাত,bias
পক্ষপাতমূলক অনুমান,biased estimate
বিহারমোনিক সমীকরণ,biharmonic equation
দ্বিখণ্ডন,bijection
দ্বিমুখী মানচিত্র,bijective map
দ্বিমুখী ম্যাপিং,bijective mapping
বাইলিনিয়ার ফর্ম,bilinear form
বাইলিনিয়ার ফাংশন,bilinear function
বাইলিনিয়ার হারমিটিয়ান ফর্ম,bilinear Hermitian form
বাইনারি,binary
বাইনারি কোড,binary code
বাইনারি কোডেড দশমিক,binary coded decimal
বাইনারি কোডিং,binary coding
বাইনারি কম্পিউটার,binary computer
বাইনারি সংখ্যা,binary digit
বাইনারি অপারেশন,binary operation
বাইনারি সিস্টেম,binary system
বাইনারি পরিবর্তনশীল,binary variable
দ্বিপদ সহগ,binomial coefficient
দ্বিপদ ডিস্ট্রিবিউশন,binomial distribution
দ্বিপদ সমীকরণ,binomial equation
দ্বিপদ সম্প্রসারণ,binomial expansion
দ্বিপদ অভিব্যক্তি,binomial expression
দ্বিপদী র্যান্ডম পরিবর্তনশীল,binomial random variable
দ্বিপদ উপপাদ্য,binomial theorem
দ্বিখণ্ডন,bisection
দ্বিখণ্ডিত পদ্ধতি,bisection method
দ্বিখণ্ডিত,bisector
biserial,biserial
বিট,bit
দ্বিপদ দ্বিপদ বণ্টন,bivariate binomial distribution
bivariate পারস্পরিক সম্পর্ক সহগ,bivariate correlation coefficient
দ্বিমুখী বন্টন,bivariate distribution
দ্বিমুখী স্বাভাবিক বন্টন,bivariate normal distribution
bivector,bivector
বোল্টজম্যান সমীকরণ,Boltzmann equation
বুলিয়ান বীজগণিত,Boolean algebra
বোস-আইনস্টাইন পরিসংখ্যান,Bose - Einstein statistics
সীমানার অবস্থা,boundary condition
সীমানা স্তর,boundary layer
সীমান,boundary line
সীমানা মান,boundary value
সীমানা মান সমস্যা,boundary value problem
আবদ্ধ ফাংশন,bounded function
আবদ্ধ ম্যাট্রিক্স,bounded matrix
আবদ্ধ অঞ্চল,bounded region
আবদ্ধ সেট,bounded set
ব্রোমিন,Brownian motion
গণনা করা,calculate
গণনা করা,calculating
গননা যন্ত্র,calculating machine
গণনা,calculation
গণনা পদ্ধতি,calculational procedure
ক্যালকুলেটর,calculator
ক্যালকুলাস,calculus
পরিবর্তনের ক্যালকুলাস,calculus of variation
ক্যালোরি,calorie
বাতিল আইন,cancellation law
ক্যানোনিকাল সমীকরণ,canonical equation
ক্যানোনিকাল ফর্ম,canonical form
ক্যানোনিকাল ম্যাট্রিক্স,canonical matrix
ক্যান্টর সেট,Cantor set
Cantor এর ত্রিনারি সেট,Cantor's ternary set
ক্যাপাসিটেড পরিবহন সমস্যা,capacitated transportation problem
ক্ষমতা,capacity
কৈশিক বল,capillary force
অঙ্কবাচক সংখ্যা,cardinal number
কার্টেসিয়ান অক্ষ,Cartesian axes
কার্টেসিয়ান স্থানাঙ্ক,Cartesian coordinates
কার্টিজিয়ান পণ্য,Cartesian product
সেটের কার্টেসিয়ান পণ্য,Cartesian product of sets
কেস স্টাডি,case study
বিপর্যয়কর ওঠানামা,catastrophic fluctuation
ক্যাটেনারি,Catenary
কচি বন্টন,Cauchy distribution
কচি সূত্র,Cauchy formula
Cauchy Goursat উপপাদ্য,Cauchy Goursat theorem
কচি রিম্যানের শর্ত,Cauchy Riemann conditions
কচি সিকোয়েন্স,Cauchy sequence
কচি অবিচ্ছেদ্য,Cauchy integral
কচি প্রধান মান,Cauchy principal value
কচি অবশিষ্টাংশ উপপাদ্য,Cauchy residue theorem
কেলি হ্যামিল্টন উপপাদ্য,Cayley Hamilton theorem
স্বর্গীয় শরীরের,celestial body
স্বর্গীয় পরিমাপ,celestial measurement
স্বর্গীয় বলবিদ্যা,celestial mechanics
মহাকাশীয় বস্তু,celestial object
সেল ফ্রিকোয়েন্সি,cell frequency
জনগণনা,census
সেন্টিল,centile
সেন্টিমিটার,centimeter
সেন্টিমিটার গ্রাম দ্বিতীয় সিস্টেম,centimeter gram second system
কেন্দ্রীয়,central
কেন্দ্রীয় অক্ষ,central axis
কেন্দ্রীয় পার্থক্য,central difference
কেন্দ্রীয় পার্থক্য সূত্র,central difference formula
কেন্দ্রীয় পার্থক্য টেবিল,central difference table
কেন্দ্রীয় সীমা উপপাদ্য,central limit theorem
কেন্দ্রীয় মুহূর্ত,central moment
কেন্দ্রীয় প্রক্রিয়াকরণ ইউনিট (CPU),central processing unit (C.P.U)
কেন্দ্রীয় প্রবণতা,central tendency
কেন্দ্র,centre
মাধ্যাকর্ষণ কেন্দ্র,centre of gravity
দলের কেন্দ্র,centre of group
ভর কেন্দ্র,centre of mass
প্রতিসাম্য কেন্দ্র,centre of symmetry
অপকেন্দ্র বল,centrifugal force
কেন্দ্রমুখী বল,centripetal force
ভরকেন্দ্র,centroid
নিশ্চিততা,certainty
সিজিএস সিস্টেম,c.g.s. system
সিজিএস ইউনিট,c.g.s. unit
পার্থক্যের চেইন নিয়ম,chain rule of differentiation
সুযোগ কারণ,chance causes
সুযোগ চলে যায়,chance moves
অক্ষ পরিবর্তন,change of axes
ভিত্তি পরিবর্তন,change of basis
আদেশ পরিবর্তন,change of order
বৈশিষ্ট্য সহগ,characteristic coefficient
নির্ধারক,determinant
চরিত্রগত সমীকরণ,characteristic equation
চরিত্রগত ফাংশন,characteristic function
লগারিদমের বৈশিষ্ট্য,characteristic of logarithm
চরিত্রগত বহুপদ,characteristic polynomial
বৈশিষ্ট্যগত মান,characteristic value
চরিত্রগত ভেক্টর,characteristic vector
অক্ষর সেট,character set
চার্ট,chart
চি-স্কয়ার বিতরণ,chi-square distribution
চি-বর্গাকার সূত্র,chi-square formula
চি-স্কয়ার পরীক্ষা,chi-square test
জ্যা,chord
জ্যা-দ্বিখণ্ডন পদ্ধতি,chord-bisection method
সাইফার বার্তা (=কোডেড বার্তা),cipher message (=coded message)
সাইফার (শূন্য),cipher (zero)
বৃত্ত,circle
অভিসার বৃত্ত,circle of convergence
সার্কিট ম্যাট্রিক্স,circuit matrix
বৃত্তাকার,circular
বৃত্তাকার অ্যাসিম্পটোট,circular asymptote
বৃত্তাকার হেলিক্স,circular helix
বৃত্তাকার গতি,circular motion
পরিধি কেন্দ্র,circumcentre
পরিবৃত্ত,circumcircle
পরিধি করা,circumscribe
পরিধিকৃত,circumscribed
পরিধিকৃত বৃত্ত,circumscribed circle
ক্লাসিক্যাল ডিডাক্টিভ কৌশল,classical deductive technique
শাস্ত্রীয় গতিবিদ্যা,classical dynamics
শাস্ত্রীয় অপ্টিমাইজেশান,classical optimization
শাস্ত্রীয় ধ্বংস সমস্যা,classical ruin problem
শাস্ত্রীয় পরিসংখ্যানগত বলবিদ্যা,classical statistical mechanics
ত্রুটির শ্রেণীবিভাগ,classification of errors
ক্লাসের ব্যবধান,class interval
ক্লাস-ব্যবধান ইউনিট,class-interval unit
শ্রেণীর সীমা,class limit
ঘড়ির কাঁটার দিকে,clockwise
ক্লোপেন (= বন্ধ এবং খোলা),clopen (= closed and open)
বন্ধ,closed
বদ্ধ উত্তল হুল,closed convex hull
বন্ধ ঘনক্ষেত্র,closed cube
বন্ধ বক্ররেখা,closed curve
বন্ধ ডোমেইন,closed domain
বন্ধ চিত্র,closed figure
বন্ধ ব্যবধান,closed interval
বন্ধ অঞ্চল,closed region
বন্ধ সেট,closed set
বন্ধ পৃষ্ঠ,closed surface
বন্ধ,closure
বন্ধ অপারেটর,closure operator
বন্ধ বিন্দু (= যোগাযোগ বিন্দু),closure point (= contact point)
বন্ধ ঘোষণা,closure postulate
বন্ধ সেট,closure set
ক্লাস্টার পয়েন্ট,cluster point
গুচ্ছের আদর্শ,cluster sampling
ক্লাস্টার সেট,cluster set
সমাক্ষ বৃত্ত,coaxial circles
সমাক্ষীয় প্যারাবোলাস,coaxial parabolas
সমাক্ষ সমতল,coaxial planes
সমাক্ষীয় ত্রিভুজ,coaxial triangles
কোব - ডগলাস ফাংশন,Cobb - Douglas function
কোডিং,coding
ডেটা কোডিং,coding of data
সহ-ডোমেইন,co-domain
সহগ ম্যাট্রিক্স,coefficient matrix
পারস্পরিক সম্পর্কের সহগ,coefficient of correlation
সংকল্প সহগ,coefficient of determination
স্থিতিস্থাপকতার সহগ,coefficient of elasticity
সম্প্রসারণের সহগ,coefficient of expansion
ঘর্ষণ সহগ,coefficient of friction
রৈখিক প্রসারণের সহগ,coefficient of linear expansion
রিগ্রেশন সহগ,coefficient of regression
পৃষ্ঠ টান সহগ,coefficient of surface tension
প্রকরণ সহগ,coefficient of variation
কোফ্যাক্টর,cofactor
মুদ্রা নিক্ষেপ (মুদ্রা টস),coin throw (coin toss)
নমুনা সংগ্রহ,collection of sample
সমরেখার,collinear
সমরেখা,collinearity
কলাম,column
কলামের সমতা,column equivalence
কলাম সমতুল্য,column equivalent
কলাম সমতুল্য ম্যাট্রিক্স,column equivalent matrix
কলাম ম্যাট্রিক্স,column matrix
কলাম র‍্যাঙ্ক,column rank
কলাম হ্রাস ইকোলন ম্যাট্রিক্স,column reduced echolon matrix
কলাম ভেক্টর,column vector
কলাম অনুসারে,columnwise
সম্মিলিত সমীকরণ,combined equation
সাধারণ কোণ,common angle
সাধারণ অক্ষ,common axis
সাধারণ ভিত্তি,common base
সাধারণ নির্ধারক,common denominator
সাধারণ পার্থক্য,common difference
সাধারণ সমস্যা,common factor
সাধারণ লগারিদম,common logarithm
সাধারণ একাধিক,common multiple
সাধারণ অনুপাত,common ratio
সাধারণ বিভাগ,common section
সাধারণ দিক,common side
সাধারণ স্পর্শক,common tangent
সাধারণ শব্দ,common term
বিনিময় বিধি,commutative law
পরিবর্তনমূলক সম্পত্তি,commutative property
পরিবর্তনমূলক নিয়ম,commutative rule
সংযোজনের পরিবর্তনমূলক আইন,commutative law of addition
গুণের পরিবর্তনমূলক আইন,commutative law of multiplication
পরিবর্তনমূলক অপারেশন,commutative operation
কমিউটার গ্রুপ,commutator group
ম্যাট্রিক্সের যাতায়াত,commuting of matrices
কমপ্যাক্ট সেট,compact set
তুলনা,comparability
উপায়ের তুলনা,comparision of means
শতাংশের তুলনা,comparision of percentage
তুলনা পরীক্ষা,comparision test
সামঞ্জস্য সমীকরণ,compatibility equation
প্রতিযোগিতামূলক খেলা,competitive game
প্রতিযোগিতামূলক পরিস্থিতি,competitive situation
প্রতিযোগিতামূলক কৌশল,competitive strategy
কম্পাইলার,compiler
পরিপূরক,complementary
পরিপূরক কোণ,complementary angle
পরিপূরক ঘটনা,complementary event पूरक घटना
পরিপূরক ফ্যাক্টর,complementary factor
পরিপূরক ফাংশন,complementary function
পরিপূরক অর্ধেক স্থান,complementary half space
পরিপূরক ব্যবধান,complementary interval
পরিপূরক সেট,complementary set
পরিপূরক,complementation
একটি সেটের পরিপূরক,complement of a set
সম্পূর্ণ আদমশুমারি,complete census
সম্পূর্ণ পারস্পরিক সম্পর্ক ম্যাট্রিক্স,complete correlation matrix
সম্পূর্ণ মেট্রিক স্থান,complete metric space
সম্পূর্ণ অর্থনর্মাল সেট,complete orthonormal set
সম্পূর্ণ চতুর্ভুজ,complete quadrangle
সম্পূর্ণ ভাগফল,complete quotient
সম্পূর্ণ সেট,complete set
সম্পূর্ণ সমাধান,complete solution
সম্পূর্ণরূপে এলোমেলো নকশা,completely randomised design
জটিল যুক্তি,complex argument
জটিল অনুবন্ধী,complex conjugate
জটিল পার্থক্য,complex differentiation
জটিল ফাংশন,complex function
জটিল একীকরণ,complex integration
জটিল ম্যাট্রিক্স,complex matrices
জটিল সংখ্যা,complex number
জটিল সংখ্যা ক্ষেত্র,complex number field
জটিল অর্থোগোনাল ম্যাট্রিক্স,complex orthogonal matrix
জটিল সমতল,complex plane
জটিল পরিমাণ,complex quantity
জটিল পারস্পরিক,complex reciprocal
জটিল ফলাফল,complex resultant
জটিল স্থান,complex space
জটিল মূল্যবান ফাংশন,complex valued function
জটিল পরিবর্তনশীল,complex variable
componendo এবং divindendo,componendo and divindendo
উপাদান,component
উপাদান বিশ্লেষণ,component analysis
বৈচিত্র্যের উপাদান,component of variance
ভেক্টরের উপাদান,component of vector
যৌগিক ফাংশন,composite function
যৌগিক অনুমান,composite hypothesis
যৌগিক সংখ্যা,composite number
যৌগিক সিরিজ,composite series
ভেক্টরের গঠন,composition of vectors
যৌগিক কোণ,compound angle
যৌগিক বিভাগ,compound division
যৌগিক ভগ্নাংশ,compound fraction
চক্রবৃদ্ধিহারে সুদ,compound interest
যৌগিক সম্ভাবনা,compound probability
সংকোচনযোগ্য প্রবাহ,compressible flow
সঙ্কোচন,compression
গণনা,computation
কম্পিউটেশনাল সূত্র,computational formula
গণনা করা মান,computed value
কম্পিউটার,computer
কম্পিউটার অ্যালগরিদম,computer algorithm
কম্পিউটার প্রোগ্রাম,computer programme
কম্পিউটার প্রোগ্রামিং,computer programming
কম্পিউটার সিমুলেশন,computer simulation
কম্পিউটিং,computing
অবতল ফাংশন,concave function
অবতল বহুভুজ,concave polygon
অবতল প্রোগ্রামিং,concave programming
সমকেন্দ্রিক বৃত্ত,concentric circles
কেন্দ্রীভূত বক্ররেখা,concentric curves
কংক্রিট ফর্ম,concrete form
লাইনের সামঞ্জস্য,concurrency of lines
সমবর্তী,concurrent
সমবর্তী বাহিনী,concurrent forces
শর্তাধীন ঘনত্ব ফাংশন,conditional density function
শর্তাধীন বিতরণ,conditional distribution
শর্তাধীন প্রত্যাশা,conditional expectation
শর্তসাপেক্ষ গড়,conditional mean
শর্তাধীন সম্ভাবনা,conditional probability
সমসাময়িকতার শর্ত,condition of collinearity
ধারাবাহিকতার শর্ত,condition of consistency
অখণ্ডতার শর্ত,condition of integrability
স্পর্শক অবস্থা,condition of tangency
শঙ্কু,cone
আস্থা ব্যবধান,confidence interval
আত্মবিশ্বাসের ব্যবধান অনুমান,confidence interval estimate
আত্মবিশ্বাসের সীমা,confidence limits
আত্মবিশ্বাস অঞ্চল,confidence region
সংঘর্ষ পরিস্থিতি,conflict situation
confocal conics,confocal conics
কনফোকাল উপবৃত্ত,confocal ellipses
কনফোকাল জ্যামিতি,confocal geometry
কনফোকাল হাইপারবোলা,confocal hyperbolae
কনফোকাল হাইপারবোলয়েড,confocal hyperboloids
কনফোকাল প্যারাবোলা,confocal parabola
কনফোকাল প্যারাবোলয়েডাল স্থানাঙ্ক,confocal paraboloidal cordinates
আনুষ্ঠানিক,conformal
কনফরমাল ম্যাপিং,conformal mapping
সঙ্গতি,congruence
বৃত্তের মিলন,congruence of circles
সঙ্গতিপূর্ণ,congruent
সঙ্গতিপূর্ণ ম্যাট্রিক্স,congruent matrices
কনিক,conic
conical frustum,conical frustum
শঙ্কুযুক্ত হেলিক্স,conical helix
শঙ্কুযুক্ত বিভাগ,conical section
কনিক্স,conics
কনিক বিভাগ,conic section
কনজুগেট,conjugate
সংযোজিত কোণ,conjugate angles
সংযোজিত অক্ষ,conjugate axis
সংযুক্ত জটিল সংখ্যা,conjugate complex numbers
সংযোজিত দিকনির্দেশ,conjugate directions
কনজুগেট ফাংশন,conjugate functions
ম্যাট্রিক্সের সংযোজন,conjugate of matrix
কনজুগেট পারমুটেশন,conjugate permutation
সংযোজিত স্থানান্তর,conjugate transpose
সংযোজন,conjuction
ক্রমাগত,consecutive
ধারাবাহিক সংখ্যা,consecutive numbers
শক্তির নিত্যতা,conservation of energy
জনগনের আলাপ,conservation of mass
রক্ষণশীল,conservative
ধারাবাহিকতা,consistency
সামঞ্জস্য অবস্থা,consistency condition
সামঞ্জস্যপূর্ণ অনুমান,consistent estimate
সামঞ্জস্যপূর্ণ অনুমানকারী,consistent estimator
সামঞ্জস্যপূর্ণ পরিসংখ্যান,consistent statistic
সামঞ্জস্যপূর্ণ সিস্টেম,consistent system
কনসোল,consol
ধ্রুবক,constant
ধ্রুবক ত্বরণ,constant acceleration
ধ্রুবক ফাংশন,constant function
মহাকর্ষের ধ্রুবক,constant of gravity
একীকরণের ধ্রুবক,constant of integration
সমানুপাতিকতার ধ্রুবক,constant of proportionality
ধ্রুবক পরামিতি,constant parameter
ধ্রুব বহুপদী,constant polynomial
ধ্রুবক অনুপাত,constant proportion
ধ্রুব গতি,constant speed
ধ্রুব মেয়াদ,constant term
ধ্রুব বেগ,constant velocity
গঠনমূলক সমীকরণ,constitutive equation
বাধা,constraint
নির্মাণ,construct
নির্মাণ,construction
ভোক্তা পছন্দ,consumer preference
খরচ ফাংশন,consumption function
যোগাযোগ কোণ,contact angle
যোগাযোগ বিন্দু,contact point
মধ্যে,contained in
অনিশ্চিত টেবিল,contingency table
ধারাবাহিক মেকানিক্স,continuum mechanics
অবিরত ভগ্নাংশ,continued fraction
অবিরত পণ্য,continued product
ধারাবাহিকতা,continuity
ফাংশনের ধারাবাহিকতা,continuity of function
ধারাবাহিকতা পরীক্ষা,continuity test
একটানা,continuous
ক্রমাগত ডেরিভেটিভ,continuous derivative
ক্রমাগত বিতরণ,continuous distribution
উপর থেকে একটানা,continuous from above
ক্রমাগত ফাংশন,continuous function
ক্রমাগত পার্থক্যযোগ্য,continuously differentiable
ক্রমাগত মানচিত্র,continuous map
ক্রমাগত ম্যাপিং,continuous mapping
ক্রমাগত সম্ভাব্যতা ঘনত্ব ফাংশন,continuous probability density function
ক্রমাগত সম্ভাব্যতা বন্টন,continuous probability distribution
ক্রমাগত এলোমেলো পরিবর্তনশীল,continuous random variable
ক্রমাগত নমুনা স্থান,continuous sample space
ক্রমাগত পরিবর্তনশীল,continuous variable
একটানা তরঙ্গ,continuous wave
ধারাবাহিকতা,continuum
ধারাবাহিক অনুমান (= ধারাবাহিক স্বতঃসিদ্ধ),continuum hypothesis (= continuum axiom)
বাস্তব সংখ্যার ধারাবাহিকতা (= বাস্তব সংখ্যার সেট),continuum of real numbers (= set of real numbers)
ধারাবাহিক তত্ত্ব,continuum theory
