Tamil,Telugu
அமெலியோரண்ட்,అమేలియోరెంట్
அமிடோசிஸ்,అమిటోసిస్
வெடிமருந்து,అమినైజేషన్
அம்மோனிகேஃபிகேஷன்,అమ్మోనిఫికేషన్
அம்மோனியர்,అమ్మోనిఫైయర్
அமார்,AMORFH
ஆம்பிமிக்ஸிஸ்,యాంఫిమిక్సిస్
ஆம்போடெரிக்,యాంఫోటెరిక్
அனபோலிசம்,అనాబాలిజం
காற்றில்லா,Anaerobe
அனூப்ளோயிட்,అనూప్లోయిడ్
கோண நடவு,యాంగిల్ నాటడం
கால்நடை வளர்ப்பு,పశుసంరక్షణ
விலங்கு மறுப்பு,జంతు తిరస్కరణ
ஆற்றல் உயிரின,శక్తిని యానిమేట్ చేయండి
அனிசோப்ளோயிட்,అనిసోప్లాయిడ్
ஆண்டு ஆலை,వార్షిక ప్లాంట్
ஆண்டு,వార్షిక
ஆன்டெஸிஸ்,సంశ్లేషణ
ஆந்த்ராக்ஸ்,ఆంత్రాక్స్
மானுடவியல் காரணி,మానవ కారకం
ஆண்டிபியோசிஸ்,యాంటీబయోసిస్
நுண்ணுயிர்க்கொல்லி,యాంటీబయాటిక్
மாற்று,విరుగుడు
ஆக்ஸிஜனேற்றிகள்,యాంటీఆక్సిడెంట్లు
ஆன்டிடாக்சின்,యాంటిటాక్సిన్
ANNULUS,యాన్యులస్
அஃபிட்,అఫిడ్
அபிகல் மொட்டு,ఎపికల్ బడ్
நுனி ஆதிக்கம்,ఎపికల్ ఆధిపత్యం
Apulcalure (தேனீ வைத்திருத்தல்),పుష్పగుచ్ఛము
Apomixis,అపోమిక్సిస్
அப்போப்டொசிஸ்,అపోప్టోసిస్
இணைப்பு,అనుబంధం
பசி,ఆకలి
பயன்படுத்தப்பட்டது,అనువర్తిత
நீர்வாழ் களை,జల కలుపు
ஆர்போரியல்,అర్బోరియల్
ஆர்பரைசேஷன்,అర్బరైజేషన్
தொல்பொருள்-பொட்டானியல் பதிவுகள்,ఆర్కియో-బొటానికల్ రికార్డులు
பகுதி புள்ளிவிவரங்கள்,ప్రాంత గణాంకాలు
பகுதி,ప్రాంతం
வறண்ட சுற்றுச்சூழல் அமைப்பு,శుష్క పర్యావరణ వ్యవస్థ
Aril,అరిల్
நறுமணம்,వాసన
நறுமண ஆலை,సుగంధ మొక్క
நறுமண அரிசி,సుగంధ బియ్యం
அம்பு,బాంజింగ్
அசெப்ஸிஸ்,అసేప్సిస్
அசெப்டிக்,అసెప్టిక్
ஓரினச்சேர்க்கை பரப்புதல்,అలైంగిక ప్రచారం
மதிப்பீடு,పరీక్ష
சொத்துக்கள்,ఆస్తులు
ஒருங்கிணைப்பு,సమీకరణ
தொடர்பு,అసోసియేషన్
ஆஸ்ட்ரிஜென்ட்,రక్తస్రావం
அசினாப்சிஸ்,అసినప్సిస్
அடாவிசம்,అటావిజం
அணுசக்தி,అటామైజర్
அட்ராபி,క్షీణత
தன்னியக்க,ఆటోగామి
ஆட்டோலிசிஸ்,ఆటోలిసిస్
ஆட்டோஆக்ஸிஜனேற்றம்,ఆటోక్సీడేషన్
ஆட்டோபோலிப்ளோயிட்,ఆటోపోలిప్లోయిడ్
ஆக்சின்கள்,ఆక్సిన్లు
Awn (முறுக்கு),దంపతులు
பாதம் கொட்டை,బాదం
கற்றாழை,కలబంద
அமராந்தஸ்,అమరాంథస్
அம்மி,Ammi
அஞ்சன் புல்,అంజన్ గడ్డి
அந்தூரியம்,ఆంథూరియం
"அன்லா, இந்திய நெல்லிக்காய்","అయోన్లా, ఇండియన్ గూస్బెర్రీ"
ஆப்பிள்,ఆపిల్
பாதாமி,నేరేడు పండు
ஆர்பியன் மல்லிகை,అర్బియన్ జాస్మిన్
அரேகா நட்டு,అరేకా గింజ
அர்ஜுன்,అర్జున్
Asfoetida,అస్ఫోటిడా
சாம்பல் பூசணிக்காய்,యాష్ పొట్లకాయ
அசோகா மரம்,అశోక చెట్టు
ஆஷ்த்மா களை (யூபோர்பியா),కవచము కలుపు
அஸ்பாரகஸ்,ఆస్పరాగస్
வெண்ணெய்,అవోకాడో
அல்பால்ஃபா (லூசர்ன்),అంతా అల్నాఫ్న్నే
எறும்புகள்,చీమలు
அஃபிட்ஸ்,అఫిడ్స్
இராணுவ புழு,ఆర్మీ పురుగు
விவசாய பொருளாதார நிபுணர்,వ్యవసాయ ఆర్థికవేత్త
வேளாண் நீட்டிப்பு,వ్యవసాయ పొడిగింపు
விவசாய விஞ்ஞானி,వ్యవసాయ శాస్త్రవేత్త
விவசாய பொறியாளர்,వ్యవసాయ ఇంజనీర్
வேளாண் நிபுணர்,అగ్రోబయాలజిస్ట్
வேளாண் விஞ்ஞானி,వ్యవసాయ శాస్త్రవేత్త
வேளாண் இயற்பியல்,అగ్రోఫిసిక్
விலங்கு வளர்ப்பாளர்,జంతువుల పెంపకందారుడు
பேசிலஸ் வைரஸ்,బాసిల్లస్ వైరస్
பேசிலஸ்,బాసిల్లస్
பாக்டீரியா,బాక్టీరియా
பாக்டீரியோடாக்சின்,బాక్టీరియోటాక్సిన్
கரும்பு சக்கை,బాగస్సే
இருப்புநிலை,బ్యాలెన్స్ షీట్
சீரான கருத்தரித்தல்,సమతుల్య ఫలదీకరణం
பார் வரைபடம்,బార్ రేఖాచిత్రం
பட்டை,బెరడు
காற்றழுத்தமானி,బేరోమీటర్
தரிசு,బంజరు
அடித்தளம்,బేస్
பேசின்,బేసిన్
பாசிபெட்டல்,బాసిపెటల్
பாஸ்கிஸ்டெர்னம்,బేసిథెర్నమ్
விரிகுடா பருவமழை,బే రుతుపవనాలు
தாங்கும் ஆலை,బేరింగ్ ప్లాంట్
படுக்கை,మం చం
படுக்கை,బెడర్
படுக்கை,పరుపు
பீட் மோலாஸ்கள்,దుంప మొలాసిస్
பெல்லோஸ்,బెలోస్
பெல்ட்,బెల్ట్
நன்மை-செலவு பகுப்பாய்வு,బెనిఫిట్-కాస్ట్ అనాలిసిస్
சார்புடைய (மாதிரி),పక్షపాతం
இருபது ஆண்டு,ద్వైవార్షిక
இரும,ద్విపద
உயிரி கையேடு,బయోజెంట్
பயோக்ளைமேட்,బయోక్లైమేట్
பயோஎனெர்ஜி,బయోఎనర్జీ
பயோனமிக்ஸ்,బయోనోమిక్స్
உயிரியக்கவியல்,బయోఇయాక్టర్
உயிர்க்கோளம்,బయోస్పియర్
உயிரியல்,బయోటిక్
உயிரியல் வகை,బయోటైప్
இருபால்,ద్విలింగ
பிளான்சிங்,బ్లాంచింగ్
குண்டு வெடிப்பு,పేలుడు
கலவை,కలపండి
ப்ளைட்,ముడత
கொப்புளம்,పొక్కు
நீல புரட்சி,నీలం విప్లవం
கீழே வெப்ப அறை,దిగువ వేడి గది
கீழே வெப்ப நுட்பம்,దిగువ ఉష్ణ సాంకేతికత
பிரான்,బ్రాన్
கிளைகள்,శాఖ
கிளை,బ్రాంచ్లెట్
இனம்,జాతి
இனப்பெருக்க,పెంపకం
கரைந்து,బ్రిమ్మింగ్
அடைகாக்கும்,సంతానం
வளரும்,బడ్డింగ్
பட்ஜெட்,బడ్జెట్
இடையக,బఫర్
விளக்கை,బల్బ్
பன்ட்,బంట్
துணை தயாரிப்பு,ఉప-ఉత్పత్తి
பாபுல் அகாசியா,బాబుల్ అకాసియా
குழந்தை சோளம்,బేబీ మొక్కజొన్న
பேல்,బేల్
பெயில்,బైల్
பால்சம்,బాల్సం
மூங்கில்,వెదురు
வாழை,అరటి
ஆலமரம்,మర్రి చెట్టు
பார்லி,బార్లీ
பார்ன்யார்ட் மில்லட்,బార్నియార్డ్ మిల్లెట్
துளசி,తులసి
பாஸ்டர்ட் சிடார்,బాస్టర్డ్ సెడార్
பாஸ்டர்ட் மைரோபாலன்,బాస్టర్డ్ మైరోబాలన్
ப au ஹினியா,బౌహినియా
பே பெர்ரி,బే బెర్రీ
பீன்,బీన్
பீட்,దుంప
பெல்லடோனா,బెల్లడోన్నా
பெர்,బెర్
பெர்சீம்,బెర్సీమ్
பெட்டல்,బెటెల్
பிலிம்பி,బిలింబి
பாகற்காய்,కాకరకాయ
கருப்பு கிராம்,బ్లాక్ గ్రామ్
கருப்பு நைட்ஷேட்,బ్లాక్ నైట్ షేడ్
Bougainvillea,బౌగెన్విలియా
பாட்டில் தூரிகை,బాటిల్ బ్రష్
சுரைக்காய்,బాటిల్ పొట్లకాయ
பெட்டி மரம்,బాక్స్ ట్రీ
ரொட்டி பழம்,బ్రెడ్ ఫ్రూట్
பிரைடல் க்ரீப்பர்,పెళ్లి లత
பிரிஞ்சல்,బ్రింజల్
பிராட் பீன்,బ్రాడ్ బీన్
ப்ரோக்கோலி,బ్రోకలీ
பிரஸ்ஸலின் முளை,బ్రస్సెల్ మొలక
பக்வீட்,బుక్వీట్
பியூட்டியா,బ్యూటియా
பாண்டிகூட்,బాండికూట్
தாங்க,ఎలుగుబంటి
வண்டு,బీటిల్
கொப்புளம் வண்டு,బొబ్బ బీటిల్
நீல காளை,బ్లూ బుల్
போல் புழு,బోల్ పురుగు
பட்டாம்பூச்சி,సీతాకోకచిలుక
பாக்டீரியாலஜிஸ்ட்,బాక్టీరియాలజిస్ట్
உயிர் வேதியியலாளர்,బయోకెమిస్ట్
உயிரியலாளர்,జీవశాస్త్రవేత్త
பயோடெக்னாலஜிஸ்ட்,బయోటెక్నాలజిస్ట్
தாவரவியலாளர்,వృక్షశాస్త్రజ్ఞుడు
சி ஈரப்பதம் சிறப்பியல்பு வளைவு,సి తేమ లక్షణ వక్రత
கேக்,కేక్
கணக்கீட்டு,కాల్కారియస్
கணக்கீடு,కాల్సిఫికేషన్
பாஸ்பேட் கணக்கீடு,ఫాస్ఫేట్ యొక్క లెక్కింపు
காலோசிட்டி,కాలోసిటీ
கால்சஸ்,కాలిస్
கலிக்ஸ்,కాలిక్స్
கலிக்ஸ்-எண்ட்,కాలిక్స్-ఎండ్
காம்பியம்,కాంబియం
புற்றுநோய்,క్యాంకర్
கேனிங்,క్యానింగ్
விதானம்,పందిరి
மூலதனம்,రాజధాని
கேப்ரிஃபிகேஷன்,కాప్రిఫికేషన్
காப்ஸ்யூல்,క్యాప్సూల్
கார்பனேற்றப்பட்ட,కార్బోనేటేడ్
கார்பனாக்கல்,కార్బోనైజేషన్
கார்பல்,కార్పెల్
கார்பஸ்,కార్పస్
வார்ப்பு,కాస్టింగ్
வினையூக்கம்,క్యాటాబోలిజం
வினையூக்கம்,ఉత్ప్రేరక
கம்பளிப்பூச்சி,గొంగళి పురుగు
சி-டி.என்.ஏ நூலகம்,సి-డిఎన్ఎ లైబ్రరీ
உச்சவரம்பு,పైకప్పు
செல்,సెల్
மத்திய தலைவர் அமைப்பு,కేంద్ర నాయకుడు వ్యవస్థ
மையமாக,సెంట్రిక్
மையவிலக்கு,సెంట్రిఫ్యూగేషన్
மையவிலக்கு,సెంట్రిఫ్యూజ్
சென்ட்ரியோல்,సెంట్రియోల్
சென்ட்ரோஜெனிக்,సెంట్రోజెనిక్
சென்ட்ரெஸ்ஜெனஸ்,సెంట్రోజెనస్
செர்கஸ்,సెర్కస్
தானியங்கள்,ధాన్యం
சான்றிதழ்,ధృవీకరణ
சான்றளிக்கப்பட்ட விதை,ధృవీకరించబడిన విత్తనం
சஃப்,చాఫ్
சலாசா,చలాజా
வேதியியல்,కెమోట్రోపిజం
சியாஸ்மா,చియాస్మా
குளிர்ச்சியான நேரம்,చిల్లింగ్ గంటలు
குளிர்ச்சியான காயம்,చిల్లింగ్ గాయం
சிமேரா,చిమెరా
குளோராந்தி,క్లోరాంథీ
குளோரோபில்,క్లోరోఫిల్
குளோரோசிஸ்,క్లోరోసిస్
குளோரோலஜி,క్లోరాలజీ
குரோமாடிட்,క్రోమాటిడ్
குரோமாடின்,క్రోమాటిన్
குரோமடோகிராபி,క్రోమాటోగ్రఫీ
குரோமாடோலிசிஸ்,క్రోమాటోలిసిస్
குரோமோசென்ட்ரே,క్రోమోసెంట్రే
குரோமோஜெனெஸிஸ்,క్రోమోజెనిసిస్
குரோமோபுரோட்டீன்,క్రోమోప్రొటీన్
குரோமோசோம்,క్రోమోజోమ్
நாள்பட்ட,దీర్ఘకాలిక
சிட்ரேஞ்ச்,సిట్రేంజ్
கிளாடோட்,క్లాడోడ్
வகைப்பாடு,వర్గీకరణ
களிமண்,మట్టి
சுத்தம்,శుభ్రపరచడం
கிளீஸ்டோகாமி,క్లిస్టోగామి
க்ளைமாக்டெரிக் பழம்,క్లైమాక్టెరిక్ పండు
காலநிலை,వాతావరణం
காலநிலைவியல்,క్లైమాటాలజీ
கிளிப்பர்,క్లిప్పర్
துணி,క్లాడ్
குளோன்,క్లోన్
மேகம்,మేఘం
கொத்து,క్లాంప్
கொத்து,క్లస్టర్
கரடுமுரடான,ముతక
கோட்டை (விதை),విత్తనం
COCOON,కోకన్
கோஎன்சைம்,కోఎంజైమ్
ஒத்திசைவு,సమన్వయం
Coir,కోయిర్
கோல்ரோஹிசா,కోలియోరిజా
காலர்,కాలర్
கூழ் (மண்),ఘోథ
கொலுமெல்லா,కొలుమెల్లా
நெடுவரிசை,కాలమ్
துவக்கவாதம்,ప్రారంభం
வணிக வங்கி,వాణిజ్య బ్యాంకు
பொருள்,వస్తువు
சமூக,సంఘం
சுருக்கம் (மண்ணின்),సంపీడన (మట్టి)
பொருந்தக்கூடிய தன்மை,అనుకూలత
பொருந்தக்கூடிய தன்மை,అనుకూలత
இழப்பீடு,పరిహారం
போட்டி தொடர்பு,పోటీ పరస్పర చర్య
நிரப்பு பயிர்,పరిపూరకరమైన పంట
சிக்கலான,క్లిష్టమైన
கூறு,భాగం
கலவை,కూర్పు
உரம்,కంపోస్ట్
கூட்டு வட்டி,చక్రవడ్డీ
கணக்கீடு,గణన
கணினி,కంప్యూటర్
செறிவு,ఏకాగ్రత
கண்டிஷனர்,కండీషనర్
நடத்தை,ప్రవర్తన
உள்ளமைவு,ఆకృతీకరణ
ஏற்ப,అనుగుణ్యత
குழப்பம்,గందరగోళం
இணைவு,సంయోగం
இணைப்பு,కనెక్టివ్
பாதுகாப்பு,పరిరక్షణ
ஒருங்கிணைப்பு,ఏకీకరణ
தொகுதிகள்,భాగాలు
நுகர்வோர்,వినియోగదారు
நுகர்வு,వినియోగం
மாசுபாடு,కాలుష్యం
விளிம்பு நடவு,ఆకృతి నాటడం
விளிம்பு,ఆకృతి
ஒப்பந்த விவசாயம்,కాంట్రాక్ట్ వ్యవసాయం
கட்டுப்படுத்தப்பட்ட சேமிப்பு,నియంత్రిత నిల్వ
கூட்டுறவு வங்கி,సహకార బ్యాంక్
கூட்டுறவு,సహకారం
காப்பிஸ்,కాపిస్
கோர்ம்,కార్మ్
கொரோலா,కొరోల్లా
கோர்டெக்ஸ்,కార్టెక్స్
செலவு,ధర
கோட்டிலிடன் (விதை),కోడిలిడాన్
கடன் சங்கம்,క్రెడిట్ సొసైటీ
கடன்,క్రెడిట్
கடன் வழங்குபவர்,రుణదాత
முகடு,క్రెస్ట్
நொறுக்குதல்,ముడతలు
நெருக்கடி,సంక్షోభం
அளவுகோல்,ప్రమాణం
விமர்சன,క్లిష్టమైన
பயிர் காப்பீடு,పంట భీమా
பயிர் கடன்,పంట రుణం
பயிர்,పంట
பயிர் பகுதி,పంట ప్రాంతం
குறுக்கு இணக்கமானது,క్రాస్ ఇన్ఫాంపిబుల్
கிரீடம் (ஆலை),క్రౌన్ (మొక్క)
நொறுக்கு,ముక్క
மேல் ஓடு,క్రస్ట్
கிரிப்டோகாம்,క్రిప్టోమ్
குல் (பழங்கள்),మెడ (పండ్లు)
அடிம்,కుల్మ్
சாகுபடி,సాగు
சாகுபடி,సాగు
பயிரிடுபவர்,సాగు
கலாச்சாரம்,సంస్కృతి
குணப்படுத்துதல்,క్యూరింగ్
கர்லிங்,కర్లింగ్
நாணய,కరెన్సీ
வெட்டு,క్యూటికల్
கட்டிங்,కట్టింగ్
நீர்க்கட்டி,తిత్తి
சைட்டோக்ரோம்,సైటోక్రోమ్
சைட்டோகாமி,సైటోగామి
சைட்டோஜெனெஸிஸ்,సైటోజెనిసిస్
சைட்டோஜெனெடிக்ஸ்,సైటోజెనెటిక్స్
சைட்டோகினேசிஸ்,సైటోకినిసిస్
சைட்டாலஜி,సైటోలజీ
சைட்டோலிசிஸ்,సైటోలిసిస్
சைட்டோமியர்,సైటోమీర్
சைட்டோபிளாசம்,సైటోప్లాజమ్
முட்டைக்கோஸ்,క్యాబేజీ
கற்றாழை,కాక్టస్
காலெண்டுலா,కలేన్ద్యులా
கேனரி புல் (ஃபாலரிஸ்),ఫలారిస్
கன்னா,Canna
கபாரிஸ்,కాపారిస్
கேப்சிகம்,క్యాప్సికం
காரம்போலா,కారాంబోలా
கராபா,కారాపా
ஏலக்காய்,ఏలకులు
கார்னேஷன்,కార్నేషన్
கேரட்,కారెట్
முந்திரிப்பருப்பு,జీడి పప్పు
காசியா,కాసియా
ஆமணக்கு,కాస్టర్
காலிஃபிளவர்,కాలీఫ్లవర్
செலரி,సెలెరీ
SAMPAC,ఛాంపాక్
செனோபடியம்,చెనోపోడియం
செர்ரி தக்காளி,చెర్రీ టమొూటా
செர்ரி,చెర్రీ
"சுண்டல், கிராம்","చిక్పా, గ్రామ్"
மிளகாய்,మిరపకాయలు
சீனா டர்பெண்டைன் மரம்,చైనా టర్పెంటైన్ చెట్టు
சவ் சவ்,చౌ చౌ
கிரிஸான்தமம்,క్రిసాన్తిమం
"சூஃபா, பூமி பாதாம்","చుఫా, ఎర్త్ బాదం"
சிகோரி,సికోరీ
இலவங்கப்பட்டை,దాల్చిన చెక్క
சிட்ரான்,సిట్రాన్
சிட்ரோனெல்லா புல்,సిట్రోనెల్లా గడ్డి
மல்லிகை ஏறும்,క్లైంబింగ్ జాస్మిన్
கிராம்பு,లవంగం
கிளஸ்டர் பீன்,క్లస్టర్ బీన్
கோகோ,కోకో
தேங்காய்,కొబ్బరి
கொட்டைவடி நீர்,కాఫీ
கோலியஸ்,కోలియస్
கொலோகாசியா,కోలోకాసియా
"கொலோசிந்த், கசப்பான ஆப்பிள்","కోలోసిన్త్, చేదు ఆపిల్"
பொதுவான பர்ஸ்லேன்,సాధారణ పర్స్లేన్
கொத்தமல்லி,కొత్తిమీర
பருத்தி,పత్తి
கவ்பியா,కౌపీయా
கியூப்,క్యూబ్బ్
வெள்ளரி,దోసకాయ
கிகர்பிட்ஸ்,కుకుర్బిట్స్
சீரகம்,జీలకర్ర
கறி இலை,కరివేపాకు ఆకు
கஸ்டார்ட் ஆப்பிள்,సీతాఫలం
காப்ஸ்யூல் துளைப்பான்,క్యాప్సూల్ బోరర్
கம்பளிப்பூச்சி,గొంగళి పురుగు
சிட்ரஸ் சைலா,సిట్రస్ సైలా
மட்டைப்பந்து,క్రికెట్
காகம்,కాకి
புழு வெட்டு,కట్ పురుగు
பால்,పాల
பால்,పాల
அணை,ఆనకట్ట
நாள்-நடுநிலை,రోజు-తటస్థ
பூக்கும் சில நாட்கள்,పుష్పించే రోజుల తరువాత
முழு பூக்கும் சில நாட்கள்,పూర్తి బ్లూమ్ తర్వాత రోజులు
டிப்ளஸமிங்,డెబ్లోసింగ్
Decalcification,డీకాల్సిఫికేషన్
Decant,డికాంట్
சிதைவு,క్షయం
இலையுதிர்,ఆకురాల్చే
தசம,దశాంశం
குறைபாடு,లోపం
மண் (மண்),మట్టి
அழிவு,డెఫ్లోరేషన్
நீக்குதல்,డీఫోలియేషన్
காடழிப்பு,అటవీ నిర్మూలన
சிதைவு,క్షీణత
சீரழிவு,క్షీణత
பட்டம் நாட்கள்,డిగ్రీ రోజులు
பட்டம்,డిగ్రీ
விலகல்,డీహిస్సెన్స్
Dehulling,డెహల్లింగ్
நீக்குதல்,డెహస్కింగ్
நீரிழப்பு,నిర్జలీకరణం
ஹைட்ரேட்டர்,డీహైడ్రేటర్
தேவை,డిమాండ్
குறைப்பு,డీనాటరేషన్
மறுப்பு,తిరస్కరణ
வைப்பு,డిపాజిట్
படிவு,నిక్షేపణ
தேய்மானம் அழிவு,తరుగుదల డీసాలినైజేషన్
வறட்சி,డీసికేషన్
வடிவமைப்பு,రూపకల్పన
டெசிகேட்டர்,డెస్సికేటర్
அழித்தல்,డెస్టొనింగ్
Decuckering,డెస్కరింగ్
தேசனாப்சிஸ்,డెసినాప్సిస్
டிடாஸல்,డిటాసెల్
டிடாசெலிங்,డిటాసెలింగ్
தீர்மானிக்கும்,నిర్ణయాధికారి
மதிப்புக் குறைப்பு,విలువ తగ్గింపు
Devegetation,డివెగెటేషన్
விலகல்,విచలనం
டயட்,డైడ్
நோயறிதல்,రోగ నిర్ధారణ
டைக்கோகாமி,డైకోగామి
இருவகை,డైకోటోమి
டைகோடைலெடன் (விதை),విత్తనం
திரும்பவும் (நோய்),డై బ్యాక్ (వ్యాధి)
பரவல்,విస్తరణ
செரிமானம்,డైజెస్టిబిలిటీ
Dihibrid,డైహైబ్రిడ్
டைக் (டைக்),ఒక రకానికి చెందిన వ్యక్తి
நீர்த்த,పలుచన
Dioecious,డైయోసియస్
டிப்ளாய்டு,డిప్లాయిడ్
டிப்ளாய்டு,డిప్లాయిడ్
டிப்ளோனெமா,డిప్లొనెమా
நீக்குதல்,విడదీయడం
டிஸ்கிங்,డిస్కింగ్
தள்ளுபடி,డిస్కౌంట్
கிருமிநாசினி,క్రిమిసంహారక
சிதறல்,చెదరగొట్టడం
பரப்புதல்,వ్యాప్తి
பல்வகைப்படுத்தல்,వైవిధ్యీకరణ
பன்முகப்படுத்தப்பட்ட விவசாயம்,వైవిధ్యభరితమైన వ్యవసాయం
டி.என்.ஏ ஏணி,DNA నిచ్చెన
டி.என்.ஏ ஏற்பி,DNA రిసెప్టర్
கப்பல்துறை,డాకేజ్
ஆதிக்கம் செலுத்தும்,ఆధిపత్యం
செயலற்ற தன்மை,నిద్రాణస్థితి
டோஸ்,మోతాదు
இரட்டை சிக்மாய்டு வளைவு,డబుల్ సిగ్మోయిడ్ కర్వ్
வரைவு (வரைவு),ముసాయిదా (ముసాయిదా)
வடிகால்,హరించడం
வடிகால்,పారుదల
வரை,డ్రా
நனைத்தல்,డ్రించింగ్
ஆடை (விதை),డ్రెస్సింగ్ (విత్తనం)
துரப்பணம் (n.),డ్రిల్ (ఎన్.)
துளையிடுதல் (Ag. Engg),డ్రిల్లింగ్ (ఎగ్. ఇంజిగ్)
துளையிடுதல் (வேளாண்),వ్యవసాయ శాస్త్రం
சொட்டு நீர் பாசனம்,బిందు సేద్యం
உலர் நில விவசாயம்,డ్రైలాండ్ వ్యవసాయం
தூசி,దుమ్ము
டஸ்டர்,డస్టర్
தூசி,దుమ్ము
குள்ள,మరగుజ్జు
குள்ள பிரமிடு,మరగుజ్జు పిరమిడ్
குள்ள,మరగుజ్జు
