Gujarati,Telugu
એમિનો એસિડ સ્વીકારનાર,అమైనో యాసిడ్ అంగీకారం
એમિનોસિલ ટી આર.એન.એ.,అమైన్‌లాకారి
જાદુગરી,అమైనోఅసిలేషన్
ક્ષુત્વ,అమిటోసిస్
તરંગ,అమ్మోనియా
ચંદ્ર,అమ్మోనిఫికేషన్
દ્વેષીકરણ,అమ్మోనోటెలిజం
મૈવસેન્ટિસીસ,అమ్నియోసెంటెసిస్
મણકાલોની તકનીક,అమ్నియోసెంటెసిస్ టెక్నిక్
Amnoocyte,అమ్నియోసైట్
મૈથુન,అమ్నియోన్
મણિ -પ્રવાહી,అమ్నియోటిక్ ద్రవం
મખરોધ,అమ్నియోటిక్ పొర
મખસુડ,అమ్నియోటిక్ శాక్
અમીર,అమీబా
એમોએબોસાઇટ,అమీబోసైట్
અમીર,అమీబాయిడ్
એમોએબોઇડ લિમ્ફોસાઇટ,అమీబోయిడ్ లింఫోసైట్
એમીબોઇડ આંદોલન,అమీబోయిడ్ కదలిక
આકારહીન,నిరాకార
રકમ,మొత్తం
મેફેટેમાઇન,యాంఫేటమిన్
ઉન્માદ,ఉభయచర
ઉન્માદ,ఉభయచర
ઉન્માદ,ఉభయచర
Amન,యాంఫియోక్సస్
Amણપત્ર,యాంఫియోక్సస్ లాన్సోలాటస్
ઉભય,యాంఫిపతిక్
ઉભયપથિક લિપિડ,యాంఫిపతిక్ లిపిడ్
Amતરતી કળા,యాంఫిసార్కా
જાદુઈ,ఆంపిసిలిన్
Amાંકી,అంపుల్లా
Amકલી ગ્રંથિ,అంపల్లరీ గ్రంథి
મસ્તક,అమిగ్డాల్
એમીગડેલ,అమిగ్డేల్
એમીગડાલિન,అమిగ్డాలిన్
સ્ફોટક,అమిలేస్
મેલીલોપ્લાસ્ટ,అమిలోప్లాస్ట్
અનોડો,అనాబెనా
અનોડો,అనాబాస్
એનાબોલિક માર્ગ,అనాబాలిక్ మార్గాలు
અનોખા,అనాబాలిజం
અનોખા,అనాకార్డియాసి
રખડુ,రక్తహీనత
એનોરોબ,Anaerobe
એંટરોબિક બળતણ,వాయురహిత ఇంధనం
એંકોરોબિક શ્વસન,వాయురహిత శ్వాసక్రియ
એનારોબિક કાદવ પાચક,వాయురహిత బురద డైజెస్టర్
એંટરો,Anaerobic
અનોદ,అనైమా
ગુદા,ఆసన
ગુદા,ఆసన
ગુદા છિદ્ર,ఆసన ఎపర్చరు
ગુદા સર્કી,అనల్ సెర్సీ
ગુદા લૂપ,అనల్ లూప్
ગુદા શૈલી,ఆసన శైలి
સમાન,సారూప్యత
સમાન,సారూప్యత
સાદ્રશ્ય,సారూప్యత
સાદ્રશ્ય,సారూప్యత
વિશ્લેષણ,విశ్లేషణ
એફેઝ,అనాఫేస్
એનાટોમિક અવરોધ,శరీర నిర్మాణ అవరోధం
શરીરરચનાવિષયક પાસા,శరీర నిర్మాణ అంశం
શરીરરચનાવિજ્istાની,శరీర నిర్మాణ శాస్త్రవేత్త
શરીરરચના,శరీర నిర్మాణ శాస్త్రం
પૂર્વજ વંશજ અનુક્રમ,పూర్వీకుల వారసుడు క్రమం
પૂર્વજોનો વંશ,పూర్వీకుల వంశం
પૂર્વજો,పూర్వీకుల క్రమం
આદ,అన్సైలోస్టోమా
જનનુભારી,ఆండ్రోసియం
થાંભલા,ఆండ్రోజెన్
રખડુ,రక్తహీనత
ક anંગું,ఎనిమోన్
Anડતું,అనూప్లోయిడ్
Anન,అనూప్లోయిడి
કંઠમાળ,ఆంజినా
ઝેરગ્રામ,యాంజియోగ్రామ్
ઝ પણરો,యాంజియోగ్రాఫ్
ઝળહળાકાર,యాంజియోగ్రఫీ
રંગની કળા,యాంజియోప్లాస్టీ
કણક,యాంజియోస్పెర్మ్
રંગગતિ,యాంజియోటెన్సిన్
રંગગતિ,యాంజియోటెన్సినోజెన్
કોઠાર માછલી,జాలరి చేప
ઓગળવી,అంగునా
અંગૂઠા,అంగుయిస్
પશુ,జంతువు
પશુ,జంతువు
પ્રાણીનું છાણ,జంతువుల పేడ
પશુપાલન,పశుసంరక్షణ
પશુ કેરીયોટાઇપિંગ,జంతువుల కార్యోటైపింగ్
પ્રાણીસૃષ્ટિ,జంతు సామ్రాజ్యం
પશુ પેશી,జంతువుల కణజాలం
પોલાણ,యానిమాలియా
ઠગ,అయాన్
એશિશ,అనిసోట్రోపిక్ బ్యాండ్
Ingંચે ચપટી,ఎనియలింగ్
નેલિડ,అన్నెలిడ్
Annણપુટી,అన్నెలిడా
વાર્ષિક,వార్షిక రింగ్
ઉશ્કેરાયેલું,యాన్యులేటెడ్
વાંકું,యాన్యుల్
વિસંગત પ્રકાર,క్రమరహిత రకం
પર્વતમાળા,అనోఫిల్స్
કીડી,చీమ తినేవాడు
વિરોધી,విరోధి
એન્ટાર્કટિક,అంటార్కిటిక్
એન્ટેના,యాంటెన్నా
એન્ટેના સંકુલ,యాంటెన్నా కాంప్లెక్స్
દ્વેષી ગ્રંથિ,యాంటెనల్ గ్రంథి
અગ્રવર્તી (વેન્ટ્રલ) ગ્રે હોર્ન,ముందరి (వెంట్రల్) బూడిద కొమ్ము
અગ્રવર્તી હાયપોફિસીસ,పూర్వ హైపోఫిసిస్
અગ્રવર્તી ઇન્ટરન્ટિક્યુલર સલ્કસ,పూర్వ జోక్య సల్కస్
ગૂંથ મારવો,Anther
એન્થર સંસ્કૃતિ,పూర్వ సంస్కృతి
માદક દ્રવ્યો,ఆంథెరిడియం
એન્થેરોઝોઇડ,అంటెరోజాయిడ్
એન્થોસેરોસ,ఆంథోసెరోస్
એન્થોસેરોટોપ્સિડા,ఆంథోసెరోటోప్సిడా
એક જાતની નશરીય,ఆంత్రాక్స్
માનવશાસ્ત્ર,మానవ అంతరించిపోవడం
માનવશાસ્ત્ર,మానవ శాస్త్రం
એન્ટિબેક્ટેરનું,యాంటీ బాక్టీరియల్
એન્ટિબાયોટિક પેનિસિલિન,యాంటీబయాటిక్ పెన్సిలిన్
એન્ટિબાયોટિક પ્રતિરોધક,యాంటీబయాటిక్ రెసిస్టెంట్
એન્ટિબાયોટિક (ઓ),యాంటీబయాటిక్ (లు)
એન્ટિબોડી,యాంటీబాడీ
એન્ટિબોડી દંપતી,యాంటీబాడీ జంట
એન્ટિબોડી મધ્યસ્થી,యాంటీబాడీ మధ్యవర్తిత్వ రోగనిరోధక శక్తి
એન્ટીકોએગ્યુલેંટ,ప్రతిస్కందకం
એન્ટિકોડન લૂપ,యాంటికోడాన్ లూప్
એન્ટીડિપ્રેસ,యాంటిడిప్రెసెంట్
એન્ટિડ્યુરેટિક હોર્મોન (એડીએચ),అశ్లీల ముందు భాగము
જનીન,యాంటిజెన్ జన్యువు
એન્ટિજેન-એન્ટિબોડી સંકુલ,యాంటిజెన్-యాంటీబాడీ కాంప్లెక్స్
એન્ટિજેનિક નિર્ધારક,యాంటిజెనిక్ డిటర్మినెంట్
અસાધારણ પરિબળ,యాంటిన్యూట్రిషనల్ కారకం
વિરોધી,యాంటీఆక్సిడెంట్
એન્ટિપોડલ ન્યુક્લિયસ,యాంటీపోడల్ న్యూక్లియస్
સમૃદ્ધ આર.એન.એ.,యాంటీ సెన్స్ RNA
એન્ટિવાયરલ પ્રોટીન,యాంటీవైరల్ ప్రోటీన్
એન્ટ્રમ,Antrum
સસલું,అనుక్లీట్
ગુદા,పాయువు
અસ્વસ્થતા,ఆందోళన రుగ్మత
એરોર્ટિક કમાન,బృహద్ధమని వంపు
એરોર્ટિક ગેંગલીયન,బృహద్ధమని గ్యాంగ్లియన్
એરોર્ટિક સેમિલ્યુનર વાલ્વ,బృహద్ధమని సెమిలునార్ వాల్వ్
એરોર્ટિક વાલ્વ,బృహద్ధమని కవాటం
એપીસી (સંકુલને પ્રોત્સાહન આપતા એનાફેસ),APC (అనాఫేస్ ప్రమోటింగ్ కాంప్లెక్స్)
પૂર્વજ,అపెలైక్ పూర్వీకుడు
Apષધ,అఫిడ్
ફેળખી,ఆఫ్రొడైట్
મડાગાંઠ,ఎపికల్ ఆధిపత్యం
સical,ఎపికల్ ప్యాడ్
મધમાખી,ఎపికల్చర్
સધ્ધર,APIS ఇండికా
પ્રપંચી,అప్లానోస్పోర్
Lyંચે જનનુસાર,అప్లిసియా
શોક,అపోకార్పే
જનનુભુના,అపోకార్పస్
નમ્ર અંડાકાર,అపోకార్పస్ అండాశయం
શરદી,అపోక్రిన్ గ్రంథి
ઉપલોક,అపోఎంజైమ్
કોશિશ,అపోమిక్
અનુવાદ,అపోమిక్సిస్
Apળપડી,అపోప్లాజమ్
Apપચારિક માર્ગ,అపోప్లాస్టిక్ మార్గం
એપોપ્ટોસિસ,అపోప్టోసిస్
ઉપકરણ,ఉపకరణం
પરિપ્રેક્ષ્ય,అనుబంధ అస్థిపంజరం
ક caકમનું પરિશિષ્ટ,కర్ణభేరి యొక్క అనుబంధం
સફરજન,ఆపిల్ నత్త
જળચરઉછેર,ఆక్వాకల్చర్
જળરોગ,ఆక్వాపోరిన్
જળચર,జల ఉభయచర
જળચર,జల రూపం
જળચર રહેઠાણ,జల ఆవాసాలు
જળચર સજીવ,జల జీవి
જળચર સંયંત્ર,జల మొక్క
જળચર શ્વસન,జల శ్వాసక్రియ
જલીય પ્રવાહી,సజల ద్రవం
જલીય ભેજ,సజల హ్యూమర్
જલીય ઇન્ટ્રા-સેલ્યુલર પ્રવાહી,సజల ఇంట్రా-సెల్యులార్ ద్రవం
જલીય નમૂના,సజల నమూనా
જલી ઉકેલ,సజల ద్రావణంలో
પાણી,అక్విలా
અરબીડોપ્સિસ,అరబిడోప్సిస్
ક arંગન,అరాచ్నిడా
અણીદાર,అరాక్నోయిడ్
અરાજક,అరేనియస్
અવસ્થામાં,అర్బోర్సెంట్
આર્બોરેસન્ટ લાઇકોપોડ,అర్బోర్సెంట్ లైకోపాడ్
પુરાતત્ત્વીય,ఆర్కిబాక్టీరియా
પુરાતત્વ,ఆర్కిగోనియం
દ્વીપસમૂહ,ద్వీపసమూహం
આર્ક્ટિક,ఆర్కిటిక్
આર્ક્ટિક ટર્ન,ఆర్కిటిక్ టెర్న్
આર્ક્ટિક ટુંડ્ર,ఆర్కిటిక్ టండ్రా
આર્દિયા,ఆర్డియా
અનિયંત્રિત પેશી,ఐసోలార్ కణజాలం
આર્ગેમોન (કાંટાદાર ખસખસ),రుజువు
આર્જેમોન મેક્સિકોન,ఆర్గెమోన్ మెక్సికానా
આદુ,అర్జినిన్
પગે પ્રદેશ,శుష్క ప్రాంతం
Arંચે,అరిస్టోలోచియాసియా
હાથોહારી,చేయి దాణా
સૈન્યની કીટ,ఆర్మీవార్మ్
Arોળવું,Aroid
સુગંધ,వాసన
કરચલો,అరేస్టర్
કલાત્મક,ఆర్టెమిసియా
ધમની સિસ્ટોલિક,ధమనుల సిస్టోలిక్
ખળભળાટવાળું,ఆర్టిరియోస్క్లెరోటిక్
આર્થ્રોપોડ,ఆర్థ్రోపోడ్
સંધિવા,ఆర్థరైటిస్
આર્થ્રોપોડા,ఆర్థ్రోపోడా
લેખક કાર્ટિલેજ,కీలు మృదులాస్థి
સ્પષ્ટ,ఉచ్చారణ
સ્પષ્ટ,ఉచ్చరించబడింది
કૃત્રિમ પેસમેકર,కృత్రిమ పేస్‌మేకర్
કૃત્રિમ પસંદગી,కృత్రిమ ఎంపిక
આર્કાર્પસ હેટોરોફિલસ,ఆర్టోకార్పస్ హెటెరోఫిల్లస్
સુશોભિત,ఆస్బెస్టాస్ ఫైబర్
એસ્બેસ્ટોસિસ,ఆస్బెస్టాసిస్
એક જાતનું,అస్కారిస్
ચડતી ક્રોમેટોગ્રાફી,ఆరోహణ క్రోమాటోగ్రఫీ
હાસ્ય,అస్సిడియా
શણગારું,అస్సిడియన్
અકસ્માત,అస్కోకార్ప్
દૃ asતા,అస్కోమైసెట్స్
એસર્બિક એસિડ,ఆస్కార్బిక్ ఆమ్లం
ગિરિણી,అస్కోస్పోర్
અકસ્માત,అస్కస్
દંગાહી,Aseptate
અજાતીય પ્રજનન,అలైంగిక పునరుత్పత్తి
અજાતીય બીજકણ,అలైంగిక బీజాంశం
શારરી,ఆస్పరాజిన్ సింథటేస్
શતાવરીનો શતાાયણ,ఆస్పరాగస్
જાસૂસ એસિડ,అస్పార్టిక్ ఆమ్లం
સ્રાવ નાઇજર,ఆస్పెర్‌గిల్లస్ నైగర్
અકસ્માત,ఆస్పెర్‌గిల్లస్
અફડેલસ ટેન્યુફોલિયસ,అస్ఫోడెలస్ టెనుఫోలియస్
તુરંત,ఆస్పిరిన్
પરાકાષ્ઠા,పరీక్ష
એકત્રીકરણ,సమావేశం
આત્મસાત કાર્યક્ષમતા,సమీకరణ సామర్థ్యం
આત્મસાતુ મૂળ,అస్సిమిలేటరీ రూట్
પ્રજનન તકનીક,సహాయక పునరుత్పత్తి సాంకేతికత
મંડળનો વિસ્તાર,అసోసియేషన్ ప్రాంతం
સહ -સહજીવન,అసోసియేటివ్ సహజీవనం
ભાત અને પુનર્વસન,కలగలుపు మరియు పున omb సంయోగం
પરિબળ ભાત,కారకం యొక్క కలగలుపు
અજાણ,అస్టాకస్
જસ્ટરી,ఆస్టెరేసి
ખંડ,ఆస్టారేల్స్
ગ્રહ,గ్రహశకలం
અસ્થમા,ఉబ్బసం
એસ્ટ્રાગાલસ ગમ્ફર,ఆస్ట్రగలస్ గుమ్మర్
અપાર્થિવ સ્પિન્ડલ ધ્રુવ,జ్యోతిష్య కుదురు పోల్
ખગોળશાસ્ત્રી,ఖగోళ శాస్త్రవేత్త
અસમપ્રમાણ કેરીયોટાઇપ,అసమాన కార్యోటైప్
અસમપ્રમાણ,అసమాన
વિધવાલાને લગતું,అథెరోమాటస్
વિધવાલા,అథెరోస్క్లెరోసిస్
એથરોસ્ક્લેરોટિક તકતી,అథెరోస్క్లెరోటిక్ ఫలకం
નગરો,భౌగోళిక పటం
એટલાસ વર્ટેબ્રા,అట్లాస్ వెన్నుపూస
વાતાવરણ,వాతావరణం
વાતાવરણીય,వాతావరణం
વાતાવરણીય ઇનપુટ્સ,వాతావరణ ఇన్పుట్లు
અણુ બળ માઇક્રોસ્કોપ,అటామిక్ ఫోర్స్ మైక్రోస్కోప్
અણુ,అణువు
એ.ટી.પી.,ATP ASE
ભયંકર સંકોચન,కర్ణిక సంకోచం
સુશોભિત ફાઇબરિલેશન,కర్ణిక దడ
એટ્રિલ નેટ્યુરેટિક ફેક્ટર (એએનએફ),కర్ణిక మధ్యస్థ
એટ્રિલ નોડ,కర్ణిక నోడ్
એટ્રિલ સિસ્ટોલ,కర్ణిక సిస్టోల్
અતિશય નોડ,అట్రియోవెంట్రిక్యులర్ నోడ్
અતિશય વાલ્વ,అట్రియోవెంట్రిక్యులర్ వాల్వ్
કર્ણક,కర్ణిక
કર્ણક,కర్ణిక
એટરોપા બેલાડોના,అట్రోపా బెల్లడోన్నా
કૃશતા,క్షీణత
