Hindi,Tamil
एलेन,அலைன்
पक्षाकार पेशी,அலரி தசை
अलास्काई भूरा भालू,அலாஸ்கன் பிரவுன் கரடி
वर्णकहीन,இயற்கை நிறத்தை இழந்தவர்
ऐल्बूगो,அல்புகோ
ऐल्बूमिन,ஆல்புமின்
ऐल्बूमिनी बीज,ஆல்புமினஸ் விதை
"ऐल्बूमिनमेह, ऐल्बूमिन्यूरिया",அல்புமினூரியா
"रसकाष्ठ, एल्बर्नम",ஆல்பர்னம்
ऐल्सीडी,அல்செடே
ऐल्डिहाइड,ஆல்டிஹீட்
ऐल्डोस्टेरोन तंत्र,ஆல்டோஸ்டிரோன் அமைப்பு
ऐल्डोस्टेरोन,ஆல்டோஸ்டிரோன்
ऐल्यूरॉन परत,அலியுரோன் அடுக்கு
ऐल्यूरोप्लास्ट,அலூரோபிளாஸ்ட்
ऐल्फाल्फा,அல்பால்ஃபா
शैवाल प्रस्फुटन,பாசி பூக்கும்
ऐल्जिन,ஆல்ஜின்
विजातीय डी. एन. ए,ஏலியன் டி.என்.ஏ.
विदेशी जाति,அன்னிய இனங்கள்
संरेखण,சீரமைப்பு
अनुयोजन,சீரமைப்பு
आहार नाल,உணவுக்குழாய்
आहार-तंत्र,ஆன்டிமென்டரி சிஸ்டம்
ऐलिस्मेसी,அலிஸ்மேசீஸ்
ऐल्केलॉइड,காராய்டு
क्षारीय,கார
ऐल्कैप्टनमेह,அல்காப்டோனூரியா
अपरापोषिका,அலன்டோயிஸ்
विकल्पी आवृत्ति,அலீல் அதிர்வெண்
"विकल्पी, युग्मविकल्पी",அல்லீல்
विकल्पी युग्म,அல்லீலோமார்பிக் ஜோடி
"प्रत्यूर्जक, एलर्जन",ஒவ்வாமை
"नक्र, ऐलिगेटर",முதலை
ऐलियम सीपा,அல்லியம் செபா
परनिषेचन,Allocamy
अपरनिरोप,அலோகிராஃப்ட்
विस्थानिक जाति-उद्भवन,அலோபாட்ரிக் விவரக்குறிப்பு
अपरबहुगुणित,அலோபோலிப்ளோயிட்
अपरस्थली प्रभाव,அலோஸ்டெரிக் விளைவு
अपरस्थली एंजाइम,அலோஸ்டெரிக் என்சைம்
अपरस्थलीय संदमक,அலோஸ்டெரிக் இன்ஹிபிட்டர்
अपरस्थली मॉडुलन,அலோஸ்டெரிக் பண்பேற்றம்
अपरस्थलीय स्थान,அலோஸ்டெரிக் தளம்
अपरस्थली संदमन,அலோஸ்டெரிக் தடுப்பு
अपरचतुर्गुणित,அலோடெட்ராப்ளோயிட்
ऐलनस,அல்னஸ்
ऐलो,கற்றாழை
ऐक्सॉन की दिशा में,அச்சுடன்
ऐल्फा-ऐंटीट्रीप्सिन,ஆல்பா-ஆன்டிட்ரிப்சின்
"ऐल्फा लैक्टऐल्बूमिन, ऐल्फा-दुग्धऐल्बूमिन",ஆல்பா-லாக்டல்புமின்
अल्पाइन जलवायवीय परिस्थिति,ஆல்பைன் காலநிலை நிலை
अल्पाइन शाद्वल,ஆல்பைன் புல்வெளி
अल्पाइन क्षेत्र,ஆல்பைன் மண்டலம்
ऐल्स्टोनिया,ஆல்ஸ்டோனியா
आल्टर्नेरिया,ஆல்டர்னேரியா
एकांतर,மாற்று
पीढ़ी-एकांतरण,தலைமுறையின் மாற்று
तुंगता अस्वस्थता,உயர நோய்
तुगंता,உயரம்
कूपिका वाहिनी,அல்வியோலர் குழாய்
एलाइटीज,Alytes
ऐल्जाइमर रोग,அல்சீமர் நோய்
अतंत्रिकाक्षी कोशिका,AMACRINE CELL
अमारेंथेसी,அமராந்தேசி
अमारेंथस (चौलाई),அமராந்தஸ்
परिवेश परासरणी सांद्रण,சுற்றுப்புற ஆஸ்மோடிக் செறிவு
ऐम्बिस्टोमा,அம்ப்ஸ்டோமா
ऐमाइड,அமைடு
ऐमीनो अम्ल,அமினோ அமிலம்
ऐमीनो अम्ल-ग्राही,அமினோ அமில ஏற்பி
ऐमीनोएसिल टी-आर.एन.ए.सिन्थेटेज,அமினோஅசில் டி ஆர்.என்.ஏ சின்தேடேஸ்
ऐमीनोएसिलीयन,அமினோஅசிலேஷன்
असूत्री विभाजन,அமிடோசிஸ்
अमोनिया,அம்மோனியா
अमोनीकरण,அம்மோனிகேஃபிகேஷன்
अमोनिया-उत्सर्जन,அம்மோனோடெலிசம்
उल्बवेधन,அம்னோசென்டெசிஸ்
उल्बवेधन तकनीक,அம்னோசென்டெசிஸ் நுட்பம்
उल्बकोशिका,அம்னியோசைட்
उल्ब,அம்னியன்
उल्ब तरल,அம்னோடிக் திரவம்
उल्ब कला,அம்னோடிக் சவ்வு
उल्ब कोश,அம்னோடிக் சாக்
अमीबा,அமீபா
"अमीबाणु, अमीबीकोशिका",அமீபோசைட்
"अमीबाभ, अमीबीय",அமீபாய்டு
अमीबाभ लसीकाणु,அமீபாய்டு லிம்போசைட்
"अमीबीय गति, अमीबाभ गति",அமீபாய்டு இயக்கம்
"रवाहीन, अक्रिस्टलीय",உருவமற்ற
"मात्रा, परिमाण",தொகை
ऐम्फेटैमीन,ஆம்பெடமைன்
ऐम्फिबिया,ஆம்பிபியா
ऐम्फिबियन (प्राणी),ஆம்பிபியன்
उभयचर,ஆம்பிபியன்
एम्फिऑक्सस,ஆம்பியோக்ஸஸ்
ऐम्फिऑक्सस लेन्सयोलेटस,ஆம்பியோக்ஸஸ் லான்சியோலட்டஸ்
उभयसंवेदी,ஆம்பிபாதிக்
उभयसंवेदी वसा,ஆம்பிபாதிக் லிப்பிட்
ऐम्फिसार्का,ஆம்பிசர்கா
ऐम्पिसिलिन,ஆம்பிசிலின்
"तुंबिका, ऐंपुला",ஆம்புல்லா
तुंबिका ग्रंथि,ஆம்பல்லரி சுரப்பி
ऐमिग्डल,அமிக்டால்
वातामक,அமிக்டேல்
ऐमिग्डालिन,அமிக்டலின்
एमिलेज,அமிலேஸ்
मंडलवक,அமிலோபிளாஸ்ட்
ऐनाबीना,அனபீனா
ऐनाबस,அனபாஸ்
उपचय पथक्रम,அனபோலிக் பாதைகள்
उपचय,அனபோலிசம்
ऐनाकार्डिएसी,அனகார்டியாசி
अरक्तता,இரத்த சோகை
"अवायुजीव, अनॉक्सी जीव",காற்றில்லா
अवायवी ईंधन,காற்றில்லா எரிபொருள்
"अवायु-श्वसन, अनॉक्सीय श्वसन",காற்றில்லா சுவாசம்
अवायवी आपंक पाचित्र,காற்றில்லா கசடு டைஜெஸ்டர்
"अवायवी, अवायुजीवी",காற்றில்லா
एनाइमा,அனைமா
"गुदीय, गुद",குத
पक्षांत,குத
"गुदीय द्वारक, गुद छिद्र",குத துளை
गुदलूम,குத செர்சி
पक्षांत पाश,குத லூப்
गुदशूक,குத பாணி
समवृत्ति,ஒப்பீட்டு
"सदृश, अनुरूप",ஒப்பீட்டு
समवृत्तिता,ஒப்புமை
"सादृश्य, अनुरूपता",ஒப்புமை
विश्लेषण,பகுப்பாய்வு
पश्चावस्था,அனாபேஸ்
शारीरी रोध,உடற்கூறியல் தடை
शारीरीय पक्ष,உடற்கூறியல் அம்சம்
शारीरज्ञ,உடற்கூறியல் நிபுணர்
शारीर,உடற்கூறியல்
पूर्वज वंशज अनुक्रम,மூதாதையர் வழித்தோன்றல் வரிசை
पूर्वज वंशक्रम,மூதாதையர் பரம்பரை
पूर्वज अनुक्रम,மூதாதையர் வரிசை
ऐंकिलोस्टोमा,அன்சிலோஸ்டோமா
पुमंग,ஆண்ட்ரோசியம்
"ऐंड्रोजेन, पुंजन",ஆண்ட்ரோஜன்
अरक्तता,இரத்த சோகை
अनेमनी,அனிமோன்
असुगुणित,அனூப்ளோயிட்
असुगुणिता,அனூப்ளோயிடி
ऐंजाइना,ஆஞ்சினா
वाहिकाचित्र,ஆஞ்சியோகிராம்
ऐंजिओग्राफ,ஆஞ்சியோகிராஃப்
"वाहिकाचित्रण, ऐंजिओग्राफी",ஆஞ்சியோகிராஃபி
"वाहिका-संधान, ऐंजिओप्लास्टी",ஆஞ்சியோபிளாஸ்டி
आवृतबीजी,ஆஞ்சியோஸ்பெர்ம்
ऐंजिओटेन्सिन,ஆஞ்சியோடென்சின்
ऐंजिओटेन्सिनोजन,ஆஞ்சியோடென்சினோஜென்
वडिश मीन,ஆங்லர் மீன்
ऐंग्विना,அங்குயினா
ऐन्गुइस,ஆங்குயிஸ்
प्राणी,விலங்கு
पशु,விலங்கு
पशु शमल,விலங்கு சாணம்
पशुपालन,கால்நடை வளர்ப்பு
प्राणी गुणसूत्रप्ररूपण,விலங்கு காரியோடைப்பிங்
प्राणिजगत्,விலங்கு இராச்சியம்
प्राणि-ऊतक,விலங்கு திசு
ऐनिमेलिया,விலங்கு
ऋणायन,அனியன்
विषमदैशिक पट्ट,அனிசோட்ரோபிக் பேண்ட்
अनीलन,அனீலிங்
ऐनेलिड (प्राणी),Annelid
ऐनेलिडा,அன்னெலிடா
वार्षिक वलय,ஆண்டு வளையம்
वलयाकार,வருடாந்திர
"वलयांश, ऐन्यूल",Annule
असंगत प्ररूप,ஒழுங்கற்ற வகை
ऐनोफेलीज,அனோபீல்ஸ்
चींटीखोर,எறும்பு உண்பவர்
विरोधी,விரோதமான
दक्षिण ध्रुवीय,அண்டார்டிக்
शृंगिका,ஆண்டெனா
ऐन्टेना संकुल,ஆண்டெனா காம்ப்ளக்ஸ்
शृंगिका ग्रंथि,ஆண்டெனல் சுரப்பி
अग्र (अधर) घूसर शृंग,முன்புற (வென்ட்ரல்) சாம்பல் கொம்பு
अग्र पीयूषिका,முன்புற ஹைப்போபிஸிஸ்
अग्र अंतरानिलयी परिखा,முன்புற தலையீட்டு சல்கஸ்
परागकोश,மகரந்தம்
पराग संवर्धन,மகரந்த கலாச்சாரம்
पुंधानी,Anteridium
पुमणु,ஆந்தமாசி
ऐन्थोसिरोस,அந்தோசெரோஸ்
ऐन्थोसिरोटॉप्सिडा,அந்தோசெரோடோப்சிடா
ऐन्थ्रैक्स,ஆந்த்ராக்ஸ்
मानवजनित विलोपन,மானுடவியல் அழிவு
मानवविज्ञान,மானுடவியல்
प्रतिजीवाणुक,பாக்டீரியா எதிர்ப்பு
प्रतिजैविक पेनिसिलिन,ஆண்டிபயாடிக் பென்சிலின்
प्रतिजैविक प्रतिरोधी,ஆண்டிபயாடிக் எதிர்ப்பு
प्रतिजैविक,நுண்மணி
"प्रतिरक्षी, प्रतिपिंड",ஆன்டிபாடி
"प्रतिरक्षी युग्म, प्रतिपिंड युग्म",ஆன்டிபாடி ஜோடி
प्रतिरक्षी माध्यित प्रतिरक्षा,ஆன்டிபாடி மத்தியஸ்த நோய் எதிர்ப்பு சக்தி
प्रतिस्कंदक,ஆன்டிகோகுலண்ட்
प्रतिप्रकूट पाश (प्रतिकोडॉन पाश),ஆன்டிகோடன் லூப்
प्रति-अवसादक,ஆண்டிடிரஸன்
प्रतिमूत्रल हॉर्मोन,ஆண்டிடியூரிடிக் ஹார்மோன் (ADH)
प्रतिजन जीन,ஆன்டிஜென் மரபணு
प्रतिजन-प्रतिरक्षी सम्मिश्र,ஆன்டிஜென்-ஆன்டிபாடி வளாகம்
प्रतिजनी निर्धारक,ஆன்டிஜெனிக் தீர்மானிப்பான்
प्रतिपोषक कारक,முரண்பாடு காரணி
प्रतिऑक्सीकारक,ஆக்ஸிஜனேற்ற
प्रतिव्यासांत केंद्रक,ஆன்டிபோடல் கரு
प्रति-अर्थक आर.एन.ए.,எதிர்ப்பு சென்ஸ் ஆர்.என்.ஏ
प्रतिविषाणुक प्रोटीन,ஆன்டிவைரல் புரதம்
गह्वर,Antrum
अकेंद्रकी,அனுக்ளீட்
गुदा,ஆசனவாய்
दुश्चिंता विकार,கவலைக் கோளாறு
महाधमनी चाप,பெருநாடி வளைவு
कर्ण गुच्छिका,பெருநாடி கேங்க்லியன்
महाधमनी अर्धचंद्र कपाट,பெருநாடி செமிலுனர் வால்வு
महाधमनी कपाट,பெருநாடி வால்வு
पश्चावस्था वर्धक संमिश्र,APC (ANAPHASE ஐ ஊக்குவிக்கும் சிக்கலானது)
कपि-सम पूर्वज,அப்பெலிக் மூதாதையர்
ऐफिड,அஃபிட்
ऐफ्रोडाइट,அப்ரோடைட்
शीर्ष प्रभाविता,நுனி ஆதிக்கம்
शीर्ष तल्प,அபிகல் பேட்
मधुमक्खीपालन,பொருள்
ऐपिस इंडिका,Apis indica
अचलबीजाणु,Applanospore
ऐप्लीसिया,அப்லிசியா
ऐपोकार्पी,அப்போகார்பே
वियुक्तांडपी,அப்போகார்பஸ்
वियुक्तांडपी अंडाशय,அப்போகார்பஸ் கருப்பை
अपस्रावी ग्रंथि,அபோக்ரைன் சுரப்பி
एपोएंजाइम,அப்போஎன்சைம்
असंगजनिक,Apomict
असंगजनन,Apomixis
ऐपोप्लाज्म,அபோபிளாசம்
सुप्रवाही पथक्रम,அப்போபிளாஸ்டிக் பாதை
एपोप्टोसिस,அப்போப்டொசிஸ்
उपकरण,கருவி
उपांगी कंकाल,Appendicular எலும்புக்கூட்டை
अंधनाल की परिशेषिका,சீக்கத்தின் பின் இணைப்பு
ऐपल घोंघा,ஆப்பிள் நத்தை
जलकृषि,மீன்வளர்ப்பு
ऐक्वापॉरिन,அக்வாபோரின்
जलीय ऐम्फिबियन,நீர்வாழ் ஆம்பிபியன்
जलीय रूप,நீர்வாழ் வடிவம்
जलीय पर्यावास,நீர்வாழ் வாழ்விடம்
जलीय जीव,நீர்வாழ் உயிரினம்
जलीय पादप,நீர்வாழ் ஆலை
जलीय श्वसन,நீர்வாழ் சுவாசம்
जलीय तरल,நீர்வாழ் திரவம்
"नेत्रोद, ऐक्विअस ह्यूमर",அக்வஸ் முமல்
जलीय अंतःकोशिका तरल,நீர்வாழ் உள்-செல்லுலார் திரவம்
जलीय नमूना,அக்வஸ் மாதிரி
जलीय विलयन,நீர் பத திரவம்
एक्विला,அக்விலா
ऐरेबिडॉप्सिस,அரபிடோப்சிஸ்
एरेक्निडा,அராக்னிடா
एरेक्नॉइड (लूताजालाभ),அராக்னாய்டு
अरेनियस,அரேனியஸ்
वृक्षवत्,ஆர்பெசண்ட்
वृक्षवत् लाइकोपॉड,ஆர்போரசென்ட் லைகோபாட்
आद्य जीवाणु,தொல்பொருள்
स्त्रीधानी,ஆர்க்கிகோனியம்
द्वीपसमूह,தீவுக்கூட்டம்
"उत्तरध्रुवीय, आर्कटिक",ஆர்க்டிக்
आर्कटिक टर्न,ஆர்க்டிக் டெர்ன்
"उत्तरध्रुवीय टुंड्रा, आर्कटिक टुंड्रा",ஆர்க்டிக் டன்ட்ரா
आर्डिया,ஆர்டியா
एरियोली ऊतक,அரியாலர் திசு
"आर्जिमनी, पीली कंटीली",ஆர்கேமோன் (முட்கள் நிறைந்த பாப்பி)
आर्जिमनी मेक्सिकाना,ஆர்கேமோன் மெக்ஸிகானா
आर्जिनीन,அர்ஜினைன்
शुष्क प्रक्षेत्र,வறண்ட பகுதி
ऐरिस्टोलोकिएसी,அரிஸ்டோலோச்சியாசி
भुजाकृत अशन,கை உணவு
सैनिक शलभ (चने की सूंडी),இராணுவப்புழு
ऐरॉयड,Rioid
ऐरोमा,நறுமணம்
प्रग्राही,கைது செய்பவர்
आर्टिमिजिया,ஆர்ட்டெமிசியா
धमनी प्रकुंचनी,தமனி சிஸ்டாலிக்
धमनीकाठिन्यकारी,தமனி கிளரோடிக்
संधिपाद,ஆர்த்ரோபாட்
संधिशोथ,கீல்வாதம்
"संधिपाद संघ, आथ्रोपोडा",ஆர்த்ரோபோடா
संधायक उपास्थि,குருத்தெலும்பு மூட்டு
संधिल,வெளிப்படுத்துங்கள்
संधित,வெளிப்படுத்தப்பட்டது
कृत्रिम गतिचालक,செயற்கை இதயமுடுக்கி
कृत्रिम वरण,செயற்கை தேர்வு
आर्टोकार्पस हेटेरोफिलस (कटहल),ஆர்டோகார்பஸ் ஹீட்டோரோபில்லஸ்
ऐस्बेस्टॉस रेशा,அஸ்பெஸ்டாஸ் ஃபைபர்
"ऐस्बेस्टॉसिता, ऐस्बेस्टॉस-आर्ति",அஸ்பெஸ்டோசிஸ்
ऐस्केरिस,அஸ்காரிஸ்
आरोही वर्णलेखन,ஏறும் குரோமடோகிராபி
ऐसिडिआ,ஆஸ்கிடியா
ऐसिडियन,ஆஸ்கிடியன்
ऐस्कोकार्प,அஸ்கோகார்ப்
ऐस्कोमाइसिटीज,அஸ்கோமைசீட்ஸ்
ऐस्कॉर्बिक अम्ल,அஸ்கார்பிக் அமிலம்
"ऐस्कस बीजाणु, ऐस्कोस्पोर",அஸ்கோஸ்போர்
ऐस्कस,அஸ்கஸ்
पटहीन,அசெப்டேட்
अलैंगिक जनन,ஓரினச்சேர்க்கை இனப்பெருக்கம்
अलैंगिक बीजाणु,ஓரினச்சேர்க்கை வித்து
ऐस्पेराजीन सिन्थेटेस,அஸ்பாரகின் சின்தேடேஸ்
"ऐस्पैरागस, शतावरी",அஸ்பாரகஸ்
ऐस्पार्टिक अम्ल,அஸ்பார்டிக் அமிலம்
ऐस्पर्जिलस नाइजर,அஸ்பெர்கிலஸ் நைஜர்
ऐस्पर्जिलस,அஸ்பெர்கிலஸ்
ऐस्फोडेलस टेनुईफोलियस,அஸ்போடெலஸ் டெனுஃபோலியஸ்
ऐस्पिरिन,ஆஸ்பிரின்
"आमापन, ऐसे",மதிப்பீடு
समुच्चय,அசெம்பிளேஜ்
स्वांगीकरण दक्षता,ஒருங்கிணைப்பு செயல்திறன்
स्वांगीकारी जड़,ஒருங்கிணைப்பு வேர்
सहायित जननिक तकनीक,உதவி இனப்பெருக்க நுட்பம்
"साहचर्य क्षेत्र, सहभागिता क्षेत्र",சங்க பகுதி
सहचारी सहजीविता,அசோசியேட்டிவ் சிம்பியோசிஸ்
अपव्यूहन और पुनर्योजन,வகைப்படுத்தல் மற்றும் மறுசீரமைப்பு
कारक का अपव्यूहन,காரணியின் வகைப்படுத்தல்
ऐस्टाकस,ஆஸ்டாகஸ்
ऐस्टेरेसी,அஸ்டெரேசி
ऐस्टरेलीज,நட்சத்திரங்கள்
"क्षुद्र ग्रह, ग्रहिका",சிறுகோள்
दमा,ஆஸ்துமா
ऐस्ट्रागेलस गुमीफर,அஸ்ட்ராகலஸ் கம்மிஃபர்
तारक तर्कु ध्रुव,நிழலிடா சுழல் கம்பம்
खगोलज्ञ,வானியலாளர்
असममित गुणसूत्रप्ररूप,சமச்சீரற்ற காரியோடைப்
असममित,சமச்சீரற்ற
धमनीवसाकठिन्यमय,Aththeromatous
