Kannada,English
ಹೊಂದಾಣಿಕೆ ಸಮೀಕರಣ,adjustment equation
ಅಡೋಬ್ ಮಣ್ಣು,adobe soil
ಕಲಬೆರಕೆ,adulterant
ಅಪಸ್ಥಾನೀಯ,adventitious
ಇಸಿಡಿಯೋಸ್ಪೋರ್ ಐಸಿಡಿಯಮ್ ಸ್ಪೋರ್,aecidiospore
ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಪ್ರಕ್ರಿಯೆ,aeolian process
ಕುಹರದ,aeolian
ಗಾಳಿ ಹಾಕಲು,aerate
1. ಗಾಳಿ 2. ಆಕಾಶಿ,aerial
1. ಏರೋಮೀಟರ್ 2. ಏರೋಮೀಟರ್ 3. ಏರೋಮೀಟರ್,aerometer
ಏರೋಸಾಲ್,aerosol
1. ಹೂಗೊಂಚಲು 2. ಬೇಸಿಗೆ ಸುಪ್ತ,aestivation
ರೋಗದ ವಿಜ್ಞಾನ,aetiology (etiology)
ಅರಣ್ಯೀಕರಣ,afforestation
1. ತಳಮಳ 2. ಪ್ರಕ್ಷುಬ್ಧತೆ,agitation
ಅಗ್ಮಾರ್ಕ್,agmark
1. ಭೂಮಿಗೆ ಸಂಬಂಧಿಸಿದ 2. ಕೃಷಿ,agrarian
ಕೃಷಿ ಕ್ಲಿನಿಕ್,agricultural clinic
1. ಕೃಷಿ ಕಾರ್ಮಿಕ 2. ಕೃಷಿ ಕಾರ್ಮಿಕ,agricultural labour
ಕೃಷಿ ಮಾರುಕಟ್ಟೆ,agricultural marketing
ಕೃಷಿ ತಂತ್ರಜ್ಞಾನ,agricultural technology
1. ಕೃಷಿ 2. ಕೃಷಿ 3. ಕೃಷಿ ವಿಜ್ಞಾನ,agriculture
ಕೃಷಿ ಅರಣ್ಯ,agrisilviculture
ಕೃಷಿ ಜೀವವೈವಿಧ್ಯ,agrobiodiversity
ಕೃಷಿ ಸಾವಯವ ದೋಷಗಳು,agrobiological defects
ಕೃಷಿ ಜೀವಶಾಸ್ತ್ರ,agrobiology
ಕೃಷಿ-ಹವಾಮಾನ ವೈವಿಧ್ಯ,agroclimatic diversity
ಕೃಷಿ ಹವಾಮಾನ ವಲಯದ ಸೃಷ್ಟಿ,agroclimatic zoning
ಕೃಷಿ ಅರಣ್ಯ,agroforestry
ಕೃಷಿಶಾಸ್ತ್ರ,agrology
ಕೃಷಿಶಾಸ್ತ್ರ,agronomy
ಕೃಷಿ ಪಶುಪಾಲಕ,agropastoral
ಬೆಳೆ ಸಂಸ್ಕರಣೆ,agroprocessing
ಹುಲ್ಲು ವಿಜ್ಞಾನ,agrostology
ಬೆಳೆ ಪ್ರಕಾರ,agrotype
ಎಪಿಫೈಟ್,air plant
ಐಕಿಯೋಚಿ ಮಣ್ಣು,akiochi soil
ಬಣ್ಣಗುರುಡು,albinism
ಅಲ್ಫಿಸೋಲ್,alfisols
ಪಾಚಿ,algae
ಪಾಚಿ ರೋಗ,algal disease
ಕ್ಷಾರ ನೀರು,alkali water
ಕ್ಷಾರೀಯ,alkaline
ಪರ್ಯಾಯ,allele
ಅಲ್ಲೆಲೋ ರಸಾಯನಶಾಸ್ತ್ರ,allelochemicals
ಆಲೀಲ್,allelomorph
ಅಲೆಲೋಪತಿ,allelopathy
ವೇಥಿ ಬೆಳೆ,alley cropping
ಪೂರ್ಣಗೊಳ್ಳುವಿಕೆ,allocarpy
ಫಲೀಕರಣ,allogamy
1. ಸಾಪೇಕ್ಷತೆ 2. ಅಲೋಮೆಟ್ರಿ,allometry
ಮಲ್ಟಿಪ್ಲಾಯ್ಡ್,allopolyploid
1. ಪ್ಯಾರಾಜಿಗೋಸಿಟಿ,allosynapsis (allosyndesis)
1. ಪರ್ಯಾಯ ವರ್ಷದ ಕಾರ್ಯ 2. ಪರ್ಯಾಯ ಕಾರ್ಯ,alternate bearing
ಪರ್ಯಾಯ ಭೂಮಿ ಬಳಕೆ,alternate land use
ಪರಿಸರ,ambient
ಸುಧಾರಕ,ameliorant
ಮಿಟೋಸಿಸ್,amitosis
ಅಮೀನನ್,amminization
ಅಮೋನಿಯನ್,ammonification
ಆಮ್ನಿಫೆರಸ್,ammonifier
1. ನಿಷ್ಪರಿಣಾಮಕಾರಿ ರೂಪ 2. ಅರೂಪಿ,amorph
ಉಭಯಚರ ಮಿಶ್ರಣ,amphimixis
ಆಂಫೋಟರಿಕ್,amphoteric
ಸಂಗ್ರಹಣೆ,anabolism
1. ಆಮ್ಲಜನಕರಹಿತ 2. ಆಮ್ಲಜನಕರಹಿತ ಜೀವಿಗಳು,anaerobe
ಹ್ಯಾಪ್ಲಾಯ್ಡ್,aneuploid
ಕೋನೀಯ ನೆಟ್ಟ,angle planting
ಪಶುಸಂಗೋಪನೆ,animal husbandry
ಪ್ರಾಣಿಗಳ ಮಲವಿಸರ್ಜನೆ,animal refuse
ಜೀವನ ಶಕ್ತಿ,animate energy
ಅಸಂಗತ,anisoploid
ಒಂದು ವರ್ಷದ ಸಸ್ಯ,annual plant
ವಾರ್ಷಿಕ,annual
1. ಭಾವಪರವಶತೆ 2. ಪ್ರಕಾಶ,anthesis
ಆಂಥ್ರಾಕ್ಸ್,anthrax
ಮಾನವಜನ್ಯ ಅಂಶಗಳು,anthropogenic factor
ಬದುಕುಳಿಯುವಿಕೆ,antibiosis
1. ಪ್ರತಿಜೀವಕ 2. ಪ್ರತಿಜೀವಕ,antibiotic
ಹಿಮ್ಮೆಟ್ಟಿಸುವ,antidote
ಉತ್ಕರ್ಷಣ ನಿರೋಧಕ,antioxidants
ಆಂಟಿಟಾಕ್ಸಿನ್,antitoxin
ಉಂಗುರದ ಬೆರಳು,anulus
1. ಗಿಡಹೇನು 2. ಮಾಹು 3. ಚೇಪಾ,aphid
ಮೇಲಿನ ಮೊಗ್ಗು,apical bud
ಗರಿಷ್ಠ ಪರಿಣಾಮಕಾರಿತ್ವ,apical dominance
ಜೇನುಸಾಕಣೆ,apiculture (bee keeping)
ಅಲೈಂಗಿಕತೆ,apomixis
ಅಪೊಪ್ಟೋಸಿಸ್,apoptosis
ಅನುಬಂಧಗಳು,appendage
ಜೀರ್ಣಕಾರಕವಾಗಿ,appetizer
ಅನ್ವಯಿಸಲಾಗಿದೆ,applied
ಜಲವಾಸಿ ಕಳೆ,aquatic weed
1. ಮರ 2. ಮರದ ನಿವಾಸಿ,arboreal
ಕವಲೊಡೆಯುತ್ತಿದೆ,arborization
ಪ್ರೊಟೊಬೊಟಾನಿಕಲ್ ದಾಖಲೆಗಳು,archaeo-botanical records
ವಲಯ ಸಂಖ್ಯೆ,area statistics
1. ಪ್ರದೇಶ 2. ಪ್ರದೇಶ,area
ಒಣ ಪರಿಸರ ವ್ಯವಸ್ಥೆ,arid ecosystem
ಕೋಟಿಲ್ಡನ್,aril
ಸೌರಭ್,aroma
ಆರೊಮ್ಯಾಟಿಕ್ ಸಸ್ಯ,aromatic plant
ಪರಿಮಳಯುಕ್ತ ಅಕ್ಕಿ,aromatic rice
ಇಕ್ಷು ಪುಷ್ಪನ್,arrowing
ಅಸೆಪ್ಟಿಕ್,asepsis
1. ಅಸೆಪ್ಟಿಕ್ 2. ಅಸೆಪ್ಟಿಕ್,aseptic
ಅಲೈಂಗಿಕ ಸಂತಾನೋತ್ಪತ್ತಿ,asexual propagation
ಗಾತ್ರ,assay
ಆಸ್ತಿ,assets
1. ಸಮೀಕರಣ 2. ಸಮೀಕರಣ,assimilation
1. ಸಂಘ 2. ಸಂಘ,association
1. ಕಾಲಮ್ 2. ಸಂಕೋಚನ,astringent
ಹೆಟೆರೋಜೈಗೋಸಿಟಿ,asynapsis
1. ಪೂರ್ವಜ 2. ಅಟಾವಿಸಂ,atavism
ಕಣ,atomizer
1. ದೃಢೀಕರಣ 2. ದುರ್ಬಲತೆ,atrophy
ಸ್ವಯಂ ಜೋಡಣೆ,autogamy
ಆಟೋಲಿಸಿಸ್,autolysis
1. ಸ್ವಾಭಾವಿಕ ಆಕ್ಸಿಡೀಕರಣ 2. ಸ್ವಾಭಾವಿಕ ಉತ್ಕರ್ಷಣ,autooxidation
ಸ್ವಯಂ ಮಲ್ಟಿಪ್ಲೆಕ್ಸ್,autopolyploid
ಆಕ್ಸಿನ್,auxins
1. ಷೂಕ್ 2. ಟೋಡ್,awn (bristle)
ದಂಡದ ವೈರಸ್,baccilovirus
1. ಬ್ಯಾಸಿಲಸ್ 2. ಬ್ಯಾಸಿಲಸ್,bacillus
1. ಬ್ಯಾಕ್ಟೀರಿಯಾ 2. ಬ್ಯಾಕ್ಟೀರಿಯಾ,bacteria
ಬ್ಯಾಕ್ಟೀರಿಯಾದ ವಿಷ,bacteriotoxin
ಬಗಸೆ,bagasse
ಬ್ಯಾಲೆನ್ಸ್ ಶೀಟ್,balance sheet
ಸಮತೋಲಿತ ರಸಗೊಬ್ಬರ ಬಳಕೆ,balanced fertilization
ಬಾರ್ ಗ್ರಾಫ್,bar diagram
ತೊಗಟೆ,bark
1. ವಾಯುಭಾರ ಮಾಪಕ 2. ವಾಯುಭಾರ ಮಾಪಕ,barometer
1. ಬಜರ್ 2. ಜಡ 3. ಬಂಜರು,barren
1. ಬೇಸ್ 2. ಬೇಸ್ 3. ಕುಪಾಂಗ್,base
1. ತಾಲಾ 2. ಜಲಾನಯನ ಪ್ರದೇಶ,basin
ತಲಾಬಿಸಾರಿ,basipetal
1. ಬೇಸಿಸ್ಟರ್ನಮ್ 2. ರೂಟ್ ಹೋಲ್ಡರ್,basisternum
ಗಲ್ಫ್ ಮಾನ್ಸೂನ್,bay monsoon
ಹಣ್ಣಿನ ಗಿಡ,bearing plant
ಹಾಸಿಗೆ,bed
ಹಾಸಿಗೆ ಸಸ್ಯ,bedder
ಹಾಸಿಗೆ,bedding
ಬೀಟ್ ಮೊಲಾಸಸ್,beet molasses
ಬೆಲ್ಲೋಸ್,bellows
1. ಪಟ್ಟಿ 2. ಭೂಪ್ರದೇಶ,belt
ಲಾಭ-ವೆಚ್ಚದ ವಿಶ್ಲೇಷಣೆ,benefit-cost analysis
ಮಹತ್ವಾಕಾಂಕ್ಷಿ (ಮಾದರಿ),biased (sampling)
ದ್ವೈವಾರ್ಷಿಕ ಸಸ್ಯಗಳು,biennial
ದ್ವಿಪದ,binomial
ಜೈವಿಕ ಅಂಶ,bioagent
ಜೈವಿಕ ಹವಾಮಾನ,bioclimate
ಜೈವಿಕ ಶಕ್ತಿ,bioenergy
ಪ್ರಾಣಿಗಳ ಪರಿಸರ ವಿಜ್ಞಾನ,bionomics
1. ಬಯೋ-ಪ್ರೊಸೆಸರ್ 2. ಬಯೋ-ರಿಯಾಕ್ಟರ್,bio-reactor
ಜೀವಗೋಳ,biosphere
ಜೈವಿಕ,biotic
ಪ್ರಾಣಿಸಂಕುಲ,biotype
ದಿವಿಲಿಂಗಿ,bisexual
ಧವಳನ್,blanching
1. ಪ್ರಧ್ವಸನ್ (ರೋಗ) 2. ಗಸ್ಟ್ ರೋಗ,blast
ಮಿಶ್ರಣ,blend
1. ಅಂಗಮಾರಿ (ರೋಗ) 2. ರೋಗ (ರೋಗ),blight
1. ಬ್ಲಿಸ್ಟರ್ 2. ಬ್ಲಿಸ್ಟರ್ 3. ಎರಪ್ಶನ್ 4. ಬ್ಲಿಸ್ಟರ್,blister
ನೀಲಿ ಕ್ರಾಂತಿ,blue revolution
ಪ್ಲಾನರ್ ಹೀಟಿಂಗ್ ಚೇಂಬರ್,bottom heat chamber
ಪ್ಲ್ಯಾನರ್ ತಾಪನ ತಂತ್ರಜ್ಞಾನ,bottom heat technique
ಹೊಟ್ಟು,bran
ಕವಲೊಡೆಯುತ್ತಿದೆ,branching
1. ರೆಂಬೆ 2. ಉಪಶಾಖೆ,branchlet
ತಳಿ,breed
ಸಂತಾನೋತ್ಪತ್ತಿ,breeding
ಆರಂಭಿಕ ಮೊಳಕೆಯೊಡೆಯುವಿಕೆ ಚಿಕಿತ್ಸೆ,brimming
1. ಮರಿ 2. ಮೊಟ್ಟೆ 3. ಭ್ರೂಣ,brood
ಮೊಳಕೆಯೊಡೆಯುತ್ತಿದೆ,budding
ಬಜೆಟ್,budget
1.ಆಂಫೋಟೆರಿಕ್ 2. ಬಫರ್,buffer
ಸಿಹಿ ಆಲೂಗಡ್ಡೆ,bulb
ಬಂಟ್ (ರೋಗ),bunt
1. ಉಪ ಉತ್ಪನ್ನ 2. ಉಪ ಉತ್ಪನ್ನ,by-product
c ತೇವಾಂಶದ ನಿರ್ದಿಷ್ಟ ಕರ್ವ್,c moisture characteristic curve
ಎಣ್ಣೆ ಕೇಕ್,cake
1. ಸುಣ್ಣ 2. ಕ್ಯಾಲ್ಸಿಯಂ,calcarious
ಕ್ಯಾಲ್ಸಿಯಾನ್,calcification
ಫಾಸ್ಫೇಟ್ ತೆಗೆಯುವಿಕೆ,calcination of phosphate
1. ಕಿನಾಟಾ 2. ಕ್ಯಾಲಟಾ,callosity
1.ಕ್ಯಾಲಸ್ 2. ಕಿರಣ,callus
1. ಸೀಪಲ್ಸ್ 2. ಕ್ಯಾಲಿಕ್ಸ್,calyx
ಹೊರಗಿನ ಅಂತ್ಯ,calyx-end
ಈಧಾ,cambium
ಕ್ಯಾನ್ಸರ್ (ಬ್ಯಾಕ್ಟೀರಿಯಾ ರೋಗ),canker
ಕ್ಯಾನಿಂಗ್,canning
ಆಕಾಶ,canopy
ಹಣಕಾಸು,capital
ಪರಾಗಸ್ಪರ್ಶ (ಅಂಜೂರದ ಹಣ್ಣುಗಳು),caprification
1. ಕ್ಯಾಪ್ಸುಲ್ 2. ಕ್ಯಾಪ್ಸುಲ್ 3. ಕ್ಯಾಪ್ಸುಲ್,capsule
ಕಾರ್ಬೊನೈಸ್ಡ್,carbonated
ಕಾರ್ಬೊನಾನ್,carbonization
ಕ್ಯಾರಪೇಸ್,carpel
ಕಂಕಣ,carpus
1. ಎರಕ (ಕಬ್ಬಿಣ) 2. ಕ್ಷಿತಿ (ಕೀಟ),casting
ಕ್ಯಾಟಬಾಲಿಸಮ್,catabolism
ಪ್ರೇರಣೆ,catalysis
1. ಕ್ಯಾಟರ್ಪಿಲ್ಲರ್ 2. ಕ್ಯಾಟರ್ಪಿಲ್ಲರ್,caterpillar
ಸಿ ಡಿ. ಎನ್. ಎ. ಸಂಗ್ರಹಣೆ,C-DNA Library
ವ್ಯಾಪ್ತಿ,ceiling
1. ಕೋಶ 2. ಕೋಶ,cell
ಕೇಂದ್ರ ಮುಂಭಾಗದ ವ್ಯವಸ್ಥೆ,central leader system
1. ಪಾಯಿಂಟ್ 2. ಫೋಕಸ್,centric
ಕೇಂದ್ರಾಪಗಾಮಿ,centrifugation
ಕೇಂದ್ರಾಪಗಾಮಿ,centrifuge
ನಕ್ಷತ್ರ ಕೇಂದ್ರ,centriole
ಎಪಿಜೆನೆಟಿಕ್,centrogenic
ಕೇಂದ್ರರಾಜ,centrogenous
ಮಗ್ಗ,cercus
1. ಏಕದಳ 2. ಸೀರಿಯಲ್,cereal
1. ಪ್ರಮಾಣೀಕರಣ 2. ಪ್ರಮಾಣೀಕರಣ,certification
ಪ್ರಮಾಣೀಕೃತ ಬೀಜ,certified seed
1. ಹುಲ್ಲು 2. ಕುಟ್ಟಿ 3. ಶಾಲಕ್ ಸಹಪಾತ್ರ,chaff
1. ನಿಭಾಗ್ 2. ಕೈಲಾಜಾ,chalaza
ಕೈಮೊಗ್ರಫಿ,chemotropism
1. ಕಿಯಾಜ್ಮಾ 2. ಕಾರ್ಯನಿರತ,chiasma
ಸೂಪರ್ ಕೂಲಿಂಗ್ ಗಂಟೆಗಳು,chilling hours
ಫ್ರಾಸ್ಟ್ ಹಾನಿ,chilling injury
1. ವಿಚಿರೋಟಕಿ 2. ಚಿಮೆರಾ,chimera
ಹಸಿರು ಗಂಜಿ,chloranthy
1. ಎಲೆಗಳು 2. ಹಸಿರು,chlorophyll
ಸೈನೋಸಿಸ್,chlorosis
ಜೈವಿಕ ವಿತರಣಾ ವಿಜ್ಞಾನ,chorology
1. ಕ್ರೊಮಾಟಿಡ್ಸ್ 2. ಅರ್ಧ ವರ್ಣತಂತುಗಳು,chromatid
ಕ್ರೊಮಾಟಿನ್,chromatin
ಕ್ರೊಮ್ಯಾಟೋಗ್ರಫಿ,chromatography
ಕ್ರೊಮಾಟಿಲೇಷನ್,chromatolysis
ಹೃತ್ಕರ್ಣದ ಬಿಂದು,chromocentre
ಕ್ರೊಮಾಟೊಜೆನೆಸಿಸ್,chromogenesis
1. ಕ್ರೋಮೋಪ್ರೋಟೀನ್ 2. ಪಿಗ್ಮೆಂಟ್ಪ್ರೋಟೀನ್,chromoprotein
1. ವರ್ಣತಂತುಗಳು 2. ವರ್ಣತಂತುಗಳು,chromosome
1. ದೀರ್ಘಕಾಲದ 2. ದೀರ್ಘಕಾಲದ 3. ದೀರ್ಘಕಾಲದ 4. ಬಳಕೆಯಲ್ಲಿಲ್ಲದ,chronic
ಸಿಟ್ರೇಂಜ್,citrange
ಶರತ್ಕಾಲದ ಹಬ್ಬ,cladode
ವರ್ಗೀಕರಣ,classification
1. ಮಣ್ಣು 2. ಮಣ್ಣು,clay
1. ಶುಚಿಗೊಳಿಸುವಿಕೆ 2. ಸ್ಕ್ರಬ್ಬಿಂಗ್ 3. ಸ್ವಚ್ಛಗೊಳಿಸುವಿಕೆ 4. ಶುದ್ಧೀಕರಣ,cleaning
ನಿರಂತರ ಪರಾಗಸ್ಪರ್ಶ,cleistogamy
ಶಿಲುಬೆಯ ಹಣ್ಣು,climacteric fruit
ಹವಾಮಾನ,climate
ಹವಾಮಾನಶಾಸ್ತ್ರ,climatology
ಬರಿಯ,clipper
ಉಂಡೆ (ಜೇಡಿಮಣ್ಣು),clod
ತದ್ರೂಪಿ,clone
1.ಮೋಡಗಳು 2.ಮೋಡಗಳು,cloud
ಗೊಂಚಲು,clump
ಗುಂಪನ್ನು,cluster
1. ಒರಟು 2. ಒರಟು 3. ಕಚ್ಚಾ 4. ಒರಟು,coarse
1. ಕವರ್ 2. ಲೆಥೆರೆಟ್,coat (seed)
ಕೋಯಾ,cocoon
1. ಕೋಎಂಜೈಮ್ 2. ಸಹ-ಕಿಣ್ವ,coenzyme
ಒಗ್ಗಟ್ಟು,cohesion
1. ಫೈಬರ್ (ಸೆಣಬು) 2. ತೆಂಗಿನಕಾಯಿ ಒರಟು,coir
ಮುಳಂಕೂರು ಚೋಳ,coleorrhiza
,collar 1. स्तंभमूलसंधि 2. कॉलर 3. ग्रीवा
ಕೊಲೊಯ್ಡ್ (ಮಣ್ಣು),colloid (soil)
1.ಕಾಲಮ್ 2.ಕೊಲುಮೆಲ್ಲಾ,columella
1. ಪೆನಾಲ್ಟಿ 2. ಕಾಲಮ್ 3. ಕಾಲಮ್,column
ಕಮ್ಯುನಿಯನ್,commensalism
ವಾಣಿಜ್ಯ ಬ್ಯಾಂಕ್,commercial bank
1. ಸರಕು 2. ಸರಕು,commodity
ಸಮುದಾಯ,community
ಸಂಕೋಚನ (ಮಣ್ಣಿನ),compaction (of soil)
1. ಹೊಂದಾಣಿಕೆ 2. ಹೊಂದಾಣಿಕೆ,compatibility
ಹೊಂದಾಣಿಕೆ,compatibility
1. ಪರಿಹಾರ 2. ಪರಿಹಾರ,compensation
ಸ್ಪರ್ಧಾತ್ಮಕ ಪರಸ್ಪರ ಕ್ರಿಯೆ,competitive interaction
ಪೂರಕ ಬೆಳೆ,complementary crop
1.ಸಂಯೋಜಿತ 2.ಸಂಕೀರ್ಣ,complex
ಘಟಕ,component
ಸಂಯೋಜನೆ,composition
ಗೊಬ್ಬರ,compost
ಚಕ್ರಬಡ್ಡಿ,compound interest
ಗಣನೆ,computation
1. ಕಂಪ್ಯೂಟರ್ 2. ಕಂಪ್ಯೂಟರ್,computer
1. ಏಕಾಗ್ರತೆ 2. ಏಕಾಗ್ರತೆ,concentration
1. ಆಪ್ಟಿಮೈಜರ್ 2. ರಿವೈಟಲೈಸರ್,conditioner
ವಾಹಕತೆ,conductance
1. ಕಾನ್ಫಿಗರೇಶನ್ 2. ಕಾನ್ಫಿಗರೇಶನ್,configuration
1. ಅನುಸರಣೆ 2. ಸಂರಚನೆ 3. ಅನುಸರಣೆ,conformity
1. ಏಕೀಕರಣ 2. ಹೈಬ್ರಿಡೈಸೇಶನ್,confounding
ಸಂಯೋಗ,conjugation
1. ಸಂಯೋಜಕ 2. ಸಂಯೋಜಕ,connective
ರಕ್ಷಣೆ,conservation
ಬಲವರ್ಧನೆ,consolidation
1. ಪದಾರ್ಥ 2. ಪದಾರ್ಥಗಳು,constituents
ಗ್ರಾಹಕ,consumer
ಬಳಕೆ,consumption
ಮಾಲಿನ್ಯ,contamination
ಬಾಹ್ಯರೇಖೆ ನೆಟ್ಟ,contour planting
ಬಾಹ್ಯರೇಖೆ ರೇಖೆ,contour
1. ಗುತ್ತಿಗೆ ಕೃಷಿ 2. ಗುತ್ತಿಗೆ ಕೃಷಿ 3. ಗುತ್ತಿಗೆ ಕೃಷಿ,contract farming
ನಿಯಂತ್ರಿತ ವಾತಾವರಣದ ಶೇಖರಣೆ,controlled storage
ಸಹಕಾರಿ ಬ್ಯಾಂಕ್,co-operative bank
ಸಹಕಾರ ಸಂಘದ ಸದಸ್ಯ,cooperator
ಗುಲ್ಮಾವನ್,coppice
ಘನಾಕೃತಿಯ,corm
1. ದಾಲ್ಪುಂಜ್ 2. ಕೊರೊಲ್ಲಾ,corolla
1. ಕಾರ್ಟೆಕ್ಸ್ 2. ಕಾರ್ಟೆಕ್ಸ್,cortex
ವೆಚ್ಚ,cost
ಕೋಟಿಲ್ಡನ್,cotyledon (seed)
ಕ್ರೆಡಿಟ್ ಸಮಿತಿ,credit society
1. ಸಾಲ ನೀಡಿಕೆ 2. ಕ್ರೆಡಿಟ್,credit
1. ಸಾಲದಾತ 2. ಸಾಲಗಾರ,creditor
1. ಕ್ರೆಸ್ಟ್ 2. ಶೃಂಗ 3. ಶಿಖರ,crest
ಹಿಂತೆಗೆದುಕೊಳ್ಳುವಿಕೆ,crinkle
ಸಮಸ್ಯೆ,crisis
ಪರೀಕ್ಷೆ,criterion
ನಿರ್ಣಾಯಕ,critical
ಬೆಳೆ ವಿಮೆ,crop insurance
ಬೆಳೆ ಸಾಲ,crop loan
1. ಬೆಳೆ 2. ಬೆಳೆ,crop
ಕೃಷಿ ಪ್ರದೇಶ,cropping area
ಅಡ್ಡ ಹೊಂದಾಣಿಕೆಯಾಗುವುದಿಲ್ಲ,cross-incompatible
1. ಕಿರೀಟ 2. ಪಿನಾಕಲ್ (ಸಸ್ಯ),crown (plant)
ಮೃದು ಕಣಗಳು,crumb
ಕ್ರಸ್ಟ್,crust
1. ಕ್ರಿಪ್ಟೋಗಮ್ 2. ಫ್ಲೋರಿಫಾರ್ಮ್ ಅಲ್ಲದ,cryptogam
ಕತ್ತರಿಸು (ಹಣ್ಣು),cull (fruits)
ಪೆನ್ನು,culm
ತಳಿ ವೈವಿಧ್ಯ,cultivar
1. ಎಳೆತ 2. ಕೃಷಿ 3. ಬೇಸಾಯ,cultivation
1. ರೈತ 2. ಕೃಷಿಕ,cultivator
1. ಸಾಗುವಳಿ 2. ಸಾಗುವಳಿ 3. ಪಾಲನೆ,culture
1.ಸಂಪನ್ಮೂಲ 2.ತಯಾರಿಕೆ,curing
1.ಕುಂತಲನ್ 2.ಕುಂಚೋನ್,curling
ಭಂಗಿ,currency
1. ಎಪಿಡರ್ಮಿಸ್ 2. ಹೊರಪೊರೆ,cuticle
1. ಪೆನ್ 2. ಕತ್ತರಿಸುವುದು 3. ಕತ್ತರಿಸುವುದು 4. ಕತ್ತರಿಸುವುದು 5. ಕತ್ತರಿಸುವುದು,cutting
1. ವರ್ಮ್ ಕಾರ್ಪಸ್ 2. ಚೀಲ 3. ಚೀಲ 4. ವಿರೂಪಗೊಂಡ ಗಡ್ಡೆ 5. ನಿಯೋಪ್ಲಾಸಂ,cyst
ಸೈಟೋಕ್ರೋಮ್,cytochrome
ಜೀವಕೋಶದ ಜೋಡಣೆ,cytogamy
ಜೀವಕೋಶದ ಸಂತಾನೋತ್ಪತ್ತಿ,cytogenesis
ಜೀವಕೋಶದ ತಳಿಶಾಸ್ತ್ರ,cytogenetics
ಸೈಟೋಪ್ಲಾಸ್ಮಿಕ್ ವಿಭಾಗ,cytokinesis
ಜೀವಕೋಶದ ಜೀವಶಾಸ್ತ್ರ,cytology
ಜೀವಕೋಶದ ವಿಘಟನೆ,cytolysis
