English,Gujarati
automatic programming,આપોઆપ પ્રોગ્રામિંગ
automatic recovery program,સ્વચાલિત પુનઃપ્રાપ્તિ કાર્યક્રમ
automatic routine,આપોઆપ નિયમિત
automatic system recovery,આપોઆપ સિસ્ટમ પુનઃપ્રાપ્તિ
automatic teller machine (ATM),ઓટોમેટિક ટેલર મશીન (ATM)
automation,ઓટોમેશન
autoplay,ઑટોપ્લે
autosave,સ્વતઃ સાચવો
auxiliary,સહાયક
auxiliary memory,સહાયક મેમરી
auxiliary storage,સહાયક સંગ્રહ
available list,ઉપલબ્ધ યાદી
available time,ઉપલબ્ધ સમય
average,સરેરાશ
awk (language),awk (ભાષા)
backend,બેકએન્ડ
backend processor,બેકએન્ડ પ્રોસેસર
backface removal,બેકફેસ દૂર કરવું
background processing,પૃષ્ઠભૂમિ પ્રક્રિયા
backing store,બેકિંગ સ્ટોર
backpatching,બેકપેચિંગ
backspace,બેકસ્પેસ
backtracking,બેકટ્રેકિંગ
back-up,બેકઅપ
back-up memory,બેકઅપ મેમરી
backward error recovery,પછાત ભૂલ પુનઃપ્રાપ્તિ
balance sheet,સરવૈયા
band,બેન્ડ
band width,બેન્ડ પહોળાઈ
banker's algorithm,બેંકરનું અલ્ગોરિધમ
bar code,બાર કોડ
bar code scanner,બાર કોડ સ્કેનર
bar graph,બાર ગ્રાફ
base address,આધાર સરનામું
base band,આધાર બેન્ડ
base number,આધાર નંબર
base table,આધાર ટેબલ
BASIC,પાયાની
basic control,મૂળભૂત નિયંત્રણ
basic input,મૂળભૂત ઇનપુટ
basic instruction,મૂળભૂત સૂચના
basic output,મૂળભૂત આઉટપુટ
basic step,મૂળભૂત પગલું
batch,બેચ
batch file,બેચ ફાઇલ
batch position,બેચ સ્થિતિ
batch processing,બેચ પ્રક્રિયા
batch system,બેચ સિસ્ટમ
baud,બાઉડ
baud rate,બાઉડ દર
beam,બીમ
benchmark,બેન્ચમાર્ક
bidirectional communication,દ્વિદિશ સંચાર
bidirectional link,દ્વિદિશ લિંક
binary code,દ્વિસંગી કોડ
binary digit,દ્વિસંગી અંક
binary Input output system (BIOS),બાઈનરી ઇનપુટ આઉટપુટ સિસ્ટમ (BIOS)
binary number,દ્વિસંગી સંખ્યા
binary operator,બાઈનરી ઓપરેટર
binary relation,દ્વિસંગી સંબંધ
binary search,દ્વિસંગી શોધ
binary search tree (BST),દ્વિસંગી શોધ વૃક્ષ (BST)
binary transfer,બાઈનરી ટ્રાન્સફર
binary tree,દ્વિસંગી વૃક્ષ
bipolar memory,બાયપોલર મેમરી
birth death model,જન્મ મૃત્યુ મોડેલ
birth death process,જન્મ મૃત્યુ પ્રક્રિયા
bit,બીટ
bit fault,થોડી ખામી
bit map,બીટ નકશો
bit map pixel (BMP),બીટ મેપ પિક્સેલ (BMP)
bit matrix,બીટ મેટ્રિક્સ
bit pattern,બીટ પેટર્ન
bit position,બીટ સ્થિતિ
bit rate,બીટ દર
black box testing,બ્લેક બોક્સ પરીક્ષણ
blinking,ઝબકવું
block,બ્લોક
block cache,બ્લોક કેશ
block check,બ્લોક ચેક
block copy,બ્લોક નકલ
block diagram,રેખાક્રુતિ
blocking network,બ્લોકીંગ નેટવર્ક
board,પાટીયું
book mark,પુસ્તક ચિહ્ન
boolean algebra,બુલિયન બીજગણિત
boolean relation,બુલિયન સંબંધ
boot partition,બુટ પાર્ટીશન
boot strapping,બુટ strapping
boot-strap loader,બુટ-સ્ટ્રેપ લોડર
bridge,પુલ
broadband networking,બ્રોડબેન્ડ નેટવર્કિંગ
broadcast,પ્રસારણ
broadcast radio,પ્રસારણ રેડિયો
browse,બ્રાઉઝ કરો
browser,બ્રાઉઝર
B-Tree,બી-ટ્રી
bubble memory,બબલ મેમરી
bubble sort,બબલ સૉર્ટ
bucket,ડોલ
buddy system,મિત્ર સિસ્ટમ
budget effective control,બજેટ અસરકારક નિયંત્રણ
buffer,બફર
bug,ભૂલ
bus,બસ
byte,બાઈટ
byte code,બાઈટ કોડ
c,c
C++,C++
cache,કેશ
cache buffer,કેશ બફર
cache memory,કેશ મેમરી
calculation,ગણતરી
calculator,કેલ્ક્યુલેટર
calculator chip,કેલ્ક્યુલેટર ચિપ
call,કૉલ
call by name,નામથી બોલાવો
call by reference,સંદર્ભ દ્વારા કૉલ કરો
call by value,મૂલ્ય દ્વારા કૉલ કરો
call by variables,ચલ દ્વારા કૉલ કરો
call gate,કૉલ ગેટ
cancel,રદ કરો
cancel button,રદ કરો બટન
canonical,પ્રમાણભૂત
canonical form,પ્રમાણભૂત સ્વરૂપ
capability,ક્ષમતા
capability list,ક્ષમતા યાદી
capacity,ક્ષમતા
caps lock key,કેપ્સ લોક કી
card,કાર્ડ
card reader,કાર્ડ રીડર
cardinality,મુખ્યત્વ
carrier,વાહક
carrier band,વાહક બેન્ડ
carrier load,વાહક લોડ
carrier signal,વાહક સંકેત
carrier wave,વાહક તરંગ
carry,વહન
carry digit,વહન અંક
carry flag,ધ્વજ વહન કરો
cartridge disk,કારતૂસ ડિસ્ક
cascade,કાસ્કેડ
case,કેસ
cathod ray tube (CRT),કેથોડ રે ટ્યુબ (CRT)
cathode ray tube (CRT),કેથોડ રે ટ્યુબ (CRT)
CD ROM disk drive,CD ROM ડિસ્ક ડ્રાઇવ
cell,કોષ
cell animation,સેલ એનિમેશન
cellular phone,સેલ્યુલર ફોન
central memory,કેન્દ્રીય મેમરી
central processing unit (CPU),સેન્ટ્રલ પ્રોસેસિંગ યુનિટ (CPU)
centralized system,કેન્દ્રિય સિસ્ટમ
certified tape,પ્રમાણિત ટેપ
chain,સાંકળ
chain data,સાંકળ ડેટા
chain link,સાંકળ કડી
chaining,સાંકળ
channel,ચેનલ
channel busy tone,ચેનલ વ્યસ્ત સ્વર
channel capacity,ચેનલ ક્ષમતા
channel controller,ચેનલ નિયંત્રક
channel error,ચેનલ ભૂલ
channel program,ચેનલ કાર્યક્રમ
channel reliability,ચેનલ વિશ્વસનીયતા
channel set,ચેનલ સેટ
character,પાત્ર
character code,અક્ષર કોડ
character key,અક્ષર કી
character reader,પાત્ર વાચક
character size,અક્ષરનું કદ
chart,ચાર્ટ
chassis,ચેસિસ
check bit,બીટ તપાસો
check digit,અંક તપાસો
check sum,રકમ તપાસો
check word,શબ્દ તપાસો
chip,ચિપ
chip set,ચિપ સેટ
choose,પસંદ કરો
chromatically,રંગીન રીતે
cipher,સાઇફર
circuit,સર્કિટ
circular list,પરિપત્ર યાદી
cirus,સિરસ
citation,અવતરણ
class,વર્ગ
class variable,વર્ગ ચલ
classification,વર્ગીકરણ
clear,ચોખ્ખુ
clear area,સ્પષ્ટ વિસ્તાર
clear channel,સ્પષ્ટ ચેનલ
click,ક્લિક કરો
client,ગ્રાહક
client server,ક્લાયંટ સર્વર
client stub,ક્લાઈન્ટ સ્ટબ
clip art,ક્લિપ આર્ટ
clip art library,ક્લિપ આર્ટ લાઇબ્રેરી
clip board,ક્લિપ બોર્ડ
clipper,ક્લિપર
clipper chip,ક્લિપર ચિપ
clique,સમૂહ
clock,ઘડિયાળ
clock cycle,ઘડિયાળ ચક્ર
clock frequency,ઘડિયાળની આવર્તન
clock hardware,ઘડિયાળ હાર્ડવેર
clock pulse,ઘડિયાળની પલ્સ
clock speed,ઘડિયાળની ઝડપ
clock synchronization,ઘડિયાળ સુમેળ
clock tick,ઘડિયાળની ટીક
clone,ક્લોન
close,બંધ
close circuit TV (CCTV),ક્લોઝ સર્કિટ ટીવી (CCTV)
closure,બંધ
cloud computing,ક્લાઉડ કમ્પ્યુટિંગ
cluster,ક્લસ્ટર
coated card,કોટેડ કાર્ડ
coated paper,કોટેડ કાગળ
coaxial,કોક્સિયલ
coaxial cable,કો - એક્ષેલ કેબલ
codasyl,કોડાસિલ
code,કોડ
code generator,કોડ જનરેટર
code page,કોડ પેજ
code word,કોડ શબ્દ
coder,કોડર
coding check,કોડિંગ તપાસ
coding form,કોડિંગ ફોર્મ
coding sheet,કોડિંગ શીટ
coefficient,ગુણાંક
coherence,સુસંગતતા
cold boot,ઠંડા બૂટ
cold start,ઠંડી શરૂઆત
collaboration,સહયોગ
collapse,પતન
collate,કોલેટ
collate tape,કોલેટ ટેપ
collision,અથડામણ
colon,કોલોન
colour (color),રંગ (રંગ)
colour saturation,રંગ સંતૃપ્તિ
colour table,રંગ ટેબલ
column,કૉલમ
combination,સંયોજન
combo box,કૉમ્બો બૉક્સ
command,આદેશ
command button,આદેશ બટન
command list,આદેશ યાદી
comment,ટિપ્પણી
commitment,પ્રતિબદ્ધતા
commodity,કોમોડિટી
Common Business Oriented Language (Cobol),કોમન બિઝનેસ ઓરિએન્ટેડ લેંગ્વેજ (કોબોલ)
common error,સામાન્ય ભૂલ
common language,સામાન્ય ભાષા
common routine,સામાન્ય દિનચર્યા
communication,સંચાર
communication line,સંચાર લાઇન
communication mode,સંચાર મોડ
communication network,સંચાર નેટવર્ક
communication parameter,સંચાર પરિમાણ
communication system,સંચાર વ્યવસ્થા
compaction,કોમ્પેક્શન
compander,કમ્પેન્ડર
companding,સંયોજન
company network,કંપની નેટવર્ક
comparison test,સરખામણી કસોટી
compatibility,સુસંગતતા
compatible,સુસંગત
compilation,સંકલન
compile and go,કમ્પાઇલ કરો અને જાઓ
compiler,કમ્પાઇલર
compiler language,કમ્પાઇલર ભાષા
complementary,પૂરક
complement-on-ten,દસ પર પૂરક
complementor,પૂરક
complete carry,સંપૂર્ણ વહન
complex,જટિલ
complex number,જટિલ સંખ્યા
component,ઘટક
component object model (COM),કમ્પોનન્ટ ઑબ્જેક્ટ મોડલ (COM)
composite,સંયુક્ત
composition,રચના
computational,કોમ્પ્યુટેશનલ
computer,કમ્પ્યુટર
computer centre,કમ્પ્યુટર કેન્દ્ર
computer expert,કમ્પ્યુટર નિષ્ણાત
computer graphics,કમ્પ્યુટર ગ્રાફિક્સ
computer instruction,કમ્પ્યુટર સૂચના
computer language,કમ્પ્યુટર ભાષા
computer network,કમ્પ્યુટર નેટવર્ક
computer science,કમ્પ્યુટર વિજ્ઞાન
computer security,કમ્પ્યુટર સુરક્ષા
computer simulaton,કમ્પ્યુટર સિમ્યુલેટન
computer specialist,કમ્પ્યુટર નિષ્ણાત
computerisation,કોમ્પ્યુટરાઇઝેશન
computerist,કમ્પ્યુટરિસ્ટ
computerize,કમ્પ્યુટરાઇઝેશન
computing,કમ્પ્યુટિંગ
concept,ખ્યાલ
concurrency,સંમતિ
concurrent,સમવર્તી
condition variable,સ્થિતિ ચલ
conditional operator,શરતી ઓપરેટર
conditional statement,શરતી નિવેદન
conductor,વાહક
conferencing,કોન્ફરન્સિંગ
confidentiality,ગોપનીયતા
configuration,રૂપરેખાંકન
congestion,ભીડ
conjunction,જોડાણમાં
connect speed,કનેક્ટ ગતિ
connection,જોડાણ
connection less communication,કનેક્શન ઓછું સંચાર
connection release,જોડાણ પ્રકાશન
connectivity,કનેક્ટિવિટી
connector,કનેક્ટર
consecutive,સળંગ
consequent,પરિણામે
console,કન્સોલ
consolidation,એકીકરણ
constant,સતત
constant instruction,સતત સૂચના
constraint,અવરોધ
constructor,કન્સ્ટ્રક્ટર
container,કન્ટેનર
content,સામગ્રી
context,સંદર્ભ
context free grammar (CFG),સંદર્ભ મુક્ત વ્યાકરણ (CFG)
context switch,સંદર્ભ સ્વીચ
contingency,આકસ્મિક
contraction,સંકોચન
contrast,વિપરીત
control,નિયંત્રણ
control area,નિયંત્રણ વિસ્તાર
control bit,નિયંત્રણ બીટ
control bus,નિયંત્રણ બસ
control card,નિયંત્રણ કાર્ડ
control circuit,નિયંત્રણ સર્કિટ
control cycle,નિયંત્રણ ચક્ર
control engineering,નિયંત્રણ એન્જિનિયરિંગ
control key,નિયંત્રણ કી
control logic,નિયંત્રણ તર્ક
control loop,નિયંત્રણ લૂપ
control mark,નિયંત્રણ ચિહ્ન
control operation,નિયંત્રણ કામગીરી
control panel,કંટ્રોલ પેનલ
control signal,નિયંત્રણ સંકેત
control switch,નિયંત્રણ સ્વીચ
control tape,નિયંત્રણ ટેપ
control terminal,નિયંત્રણ ટર્મિનલ
control unit (CU),કંટ્રોલ યુનિટ (CU)
convergence,કન્વર્જન્સ
conversation,વાતચીત
conversational time sharing,વાતચીત સમયની વહેંચણી
conversion,રૂપાંતર
converter,કન્વર્ટર
Cook's theorem,કૂકનું પ્રમેય
co-processor,સહ-પ્રોસેસર
copy,નકલ
copyright,કૉપિરાઇટ
cord,દોરી
cordless telephone,કોર્ડલેસ ટેલિફોન
corollary,પરિણામ
correction,કરેક્શન
corrupted,દૂષિત
count,ગણતરી
counter,કાઉન્ટર
country code,દેશનો કોડ
covariance,સહપ્રવૃત્તિ
coverage,કવરેજ
crash,ક્રેશ
critical path,મુશ્કેલ રસ્તો
critical path method (CPM),જટિલ માર્ગ પદ્ધતિ (CPM)
cross check,ક્રોસ ચેક
cross compiler,ક્રોસ કમ્પાઇલર
cross fire,ક્રોસ ફાયર
cross talk,ક્રોસ ટોક
cryptographic,ક્રિપ્ટોગ્રાફિક
cryptography,સંકેતલિપી
currency symbol,ચલણ પ્રતીક
current directory,વર્તમાન ડિરેક્ટરી
current window,વર્તમાન વિન્ડો
cursor,કર્સર
curve,વળાંક
cut and paste,કાપો અને પેસ્ટ કરો
cut method,કાપવાની પદ્ધતિ
cyber,સાયબર
cyber café,સાયબર કાફે
cyber cash,સાયબર રોકડ
cyber crime,સાયબર અપરાધ
cyber delics,સાયબર ડેલીક્સ
cyber law,સાયબર કાયદો
cyber sex,સાયબર સેક્સ
cybernatics,સાયબરનેટિક્સ
cybernation,સાયબરનેશન
cycle,ચક્ર
cycle memory,ચક્ર મેમરી
cycle steal,સાયકલ ચોરી
cycle time,ચક્ર સમય
cyclic,ચક્રીય
daemon,ડિમન
daisy wheel,ડેઝી વ્હીલ
data administrator,ડેટા એડમિનિસ્ટ્રેટર
data allocation,ડેટા ફાળવણી
data area,ડેટા વિસ્તાર
data array,ડેટા એરે
data base,ડેટા બેઝ
data break,ડેટા બ્રેક
data bus,ડેટા બસ
data carrier,ડેટા વાહક
data cell,ડેટા સેલ
data channel,ડેટા ચેનલ
data communication,ડેટા કમ્યુનિકેશન
data compression,ડેટા કમ્પ્રેશન
data field,માહિતી ક્ષેત્ર
data file,ડેટા ફાઇલ
data flow,માહિતી પ્રવાહ
data flow Chart,ડેટા ફ્લો ચાર્ટ
data hierarchy,ડેટા વંશવેલો
data level,ડેટા સ્તર
data library,ડેટા લાઇબ્રેરી
data link layer,ડેટા લિંક સ્તર
data link layer (DLL),ડેટા લિંક લેયર (DLL)
data management,માહિતી વ્યવસ્થાપન
data manipulation,ડેટા મેનીપ્યુલેશન
data manipulation language (DML),ડેટા મેનીપ્યુલેશન લેંગ્વેજ (DML)
data modem,ડેટા મોડેમ
data modification,ડેટા ફેરફાર
data network,ડેટા નેટવર્ક
data operation,માહિતી કામગીરી
data organization,ડેટા સંસ્થા
data output,ડેટા આઉટપુટ
data path,ડેટા પાથ
data prepration,ડેટાની તૈયારી
data privacy,ડેટા ગોપનીયતા
data processor,ડેટા પ્રોસેસર
data protection,ડેટા જાણવણી
data record,ડેટા રેકોર્ડ
data retrieval,માહિતી પુનઃપ્રાપ્તિ
data routine,ડેટા રૂટિન
data security,ડેટા સુરક્ષા
data set,ડેટા સેટ
data signal,ડેટા સિગ્નલ
data sink,ડેટા સિંક
data source,માહિતીનું પ્રાપ્તિસ્થાન
data specification,ડેટા સ્પષ્ટીકરણ
data station,ડેટા સ્ટેશન
data storage,માહિતી સંગ્રાહક
data storage structure,માહિતી સંગ્રહ માળખું
data structure,ડેટા માળખું
data switch,ડેટા સ્વીચ
data table,ડેટા ટેબલ
data terminal,ડેટા ટર્મિનલ
data transcription,ડેટા ટ્રાન્સક્રિપ્શન
data transfer,ડેટા ટ્રાન્સફર
data transmission,ડેટા ટ્રાન્સમિશન
data transmission Channel,ડેટા ટ્રાન્સમિશન ચેનલ
data type,ડેટા પ્રકાર
data unit,ડેટા યુનિટ
data validation,માહિતી માન્યતા
database,ડેટાબેઝ
database adminstration,ડેટાબેઝ વહીવટ
database design,ડેટાબેઝ ડિઝાઇન
database management system,ડેટાબેઝ મેનેજમેન્ટ સિસ્ટમ
datagrav,ડેટાગ્રાવ
datum,ડેટમ
dead zone,મૃત્યુ ક્ષેત્ર
deadlock,મડાગાંઠ
deadlock prevention,ડેડલોક નિવારણ
debug,ડિબગ
decision box,નિર્ણય બોક્સ
decision making process,નિર્ણય લેવાની પ્રક્રિયા
decision support system,નિર્ણય સપોર્ટ સિસ્ટમ
decision tree,નિર્ણય વૃક્ષ
decoder,ડીકોડર
decomposition principle,વિઘટન સિદ્ધાંત
decryption,ડિક્રિપ્શન
dedicated channel,સમર્પિત ચેનલ
dedicated port,સમર્પિત બંદર
defence data network (DDN),સંરક્ષણ ડેટા નેટવર્ક (DDN)
defence information system,સંરક્ષણ માહિતી સિસ્ટમ
defragmentation,ડિફ્રેગમેન્ટેશન
delay,વિલંબ
delay counter,વિલંબ કાઉન્ટર
delay time,વિલંબ સમય
delete,કાઢી નાખો
deletion record,કાઢી નાખવાનો રેકોર્ડ
delimiter,સીમાંકક
delta modulation,ડેલ્ટા મોડ્યુલેશન
demand paging,માંગ પેજીંગ
demo,ડેમો
demodulation,ડિમોડ્યુલેશન
demultiplexer,demultiplexer
denormalization,વિકૃતિકરણ
density,ઘનતા
dependency,નિર્ભરતા
dependent unit,આશ્રિત એકમ
dequeue,ડેક્યુ
dereferencing,સંદર્ભ
derivation tree,વ્યુત્પન્ન વૃક્ષ
derived field,વ્યુત્પન્ન ક્ષેત્ર
descending sort,ઉતરતા ક્રમ
design,ડિઝાઇન
desk calculator,ડેસ્ક કેલ્ક્યુલેટર
desk top computer,ડેસ્ક ટોપ કમ્પ્યુટર
desktop presentation,ડેસ્કટોપ પ્રસ્તુતિ
desktop publishing (DTP),ડેસ્કટોપ પબ્લિશિંગ (DTP)
desktop video,ડેસ્કટોપ વિડિઓ
destination address,ગંતવ્ય સરનામું
destructer,વિનાશક
deterministric automats,નિર્ણાયક ઓટોમેટો
developer,વિકાસકર્તા
development system,વિકાસ પ્રણાલી
device,ઉપકરણ
device control unit,ઉપકરણ નિયંત્રણ એકમ
device controller,ઉપકરણ નિયંત્રક
device management,ઉપકરણ સંચાલન
device mode,ઉપકરણ મોડ
diagnosis,નિદાન
diagnostic system,ડાયગ્નોસ્ટિક સિસ્ટમ
diagnostics,ડાયગ્નોસ્ટિક્સ
diagram,રેખાકૃતિ
dial,ડાયલ
dial line,ડાયલ લાઇન
dial tone,ડાયલ ટોન
dial up,ડાયલ કરો
dialog,સંવાદ
dialog box,સંવાદ બોક્સ
dialup modem,ડાયલઅપ મોડેમ
diamension,પરિમાણ
dictionary,શબ્દકોશ
differentiation,તફાવત
digital,ડિજિટલ
digital channel,ડિજિટલ ચેનલ
digital circuit,ડિજિટલ સર્કિટ
digital computer,ડિજિટલ કમ્પ્યુટર
digital data,ડિજિટલ ડેટા
digital facility,ડિજિટલ સુવિધા
digital filter,ડિજિટલ ફિલ્ટર
digital library,ડિજિટલ પુસ્તકાલય
digital modulation,ડિજિટલ મોડ્યુલેશન
digital monitor,ડિજિટલ મોનિટર
digital picture,ડિજિટલ ચિત્ર
digital signature,ડિજિટલ હસ્તાક્ષર
digital switch,ડિજિટલ સ્વીચ
digital to analog (D/A) converter,ડિજિટલ થી એનાલોગ (D/A) કન્વર્ટર
digitization,ડિજિટાઇઝેશન
digitize,ડિજિટાઇઝ કરો
digitizer,ડિજિટાઇઝર
diode,ડાયોડ
direct,પ્રત્યક્ષ
direct address,સીધું સરનામું
