Kannada,English
ಅನನಟ,Aconitum
ಆಕ್ರೋಶದ ಹುಳು,Acorn worm
ಅಕೌಸ್ಟಿಕ್ ವಲಯ,Acoustic zoning
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡ ಪಾತ್ರ,Acquired character
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡ ರೋಗನಿರೋಧಕ ಶಕ್ತಿ,Acquired immunity
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡ ಇಮ್ಯುನೊ ಕೊರತೆ ಸಿಂಡ್ರೋಮ್ (ಏಡ್ಸ್),Acquired immuno deficiency syndrome (AIDS)
ಪ್ರಾದೇಶಿಕ,Acrania
ಅಣಕಾದ ಬಣ್ಣ,Acridine dye
ವ್ಯಾಪಕವಾದ,Acrocentric
ಅಕ್ರಾಮನ್,Acromion
ಸ್ಥಗಿತದ ಅನುಕ್ರಮ,Acropetal sequence
ಅಕ್ರೊಫೆಟಲ್ ರಾಶಿ,Acropetal order
ಅಕ್ರೋಸಿನ್,Acrosin
ಅ ೦ ಗಡಿ,Actin
ಆಕ್ಟಿನ್ ತರಹದ ಪ್ರೋಟೀನ್,Actin-like protein
ಕ್ರಿಯಾಶೀಲತೆ,Actinomorphic
ಅಂಧ,Actinomycetes
ಕ್ರಿಯಾಶೀಲತೆ,Action potential
ಸಕ್ರಿಯ ಕೆತ್ತನೆ,Activated sludge
ಸಕ್ರಿಯ ಕೆಸರು ಫ್ಲೋಕ್,Activated sludge floc
ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ,Activation energy
ಸಕ್ರಿಯ ಹೀರಿಕೊಳ್ಳುವಿಕೆ,Active absorption
ಸಕ್ರಿಯ ವಿನಾಯಿತಿ,Active immunity
ಸಕ್ರಿಯ ವಿಕಿರಣ,Active radiation
ಸಕ್ರಿಯ ಸೈಟ್,Active site
ದಳ,Activin
ವಕ್ರವಳತಿ ಮಾಡು,Acuminate
ಆಡಮ್ಸಿಯಾ,Adamsia
ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,Adaptability
ರೂಪಾಂತರ,Adaptation
ಬೆಳಕಿನ ಆಡಳಿತಕ್ಕೆ ಹೊಂದಿಕೊಳ್ಳುವುದು,Adaptation to light regime
ನೀರಿನ ಕೊರತೆಗೆ ಹೊಂದಿಕೊಳ್ಳುವುದು,Adaptation to water scarcity
ಹೊಂದಾಣಿಕೆಯ ಗುಣಲಕ್ಷಣಗಳು,Adaptive characteristics
ಹೊಂದಾಣಿಕೆಯ ವಿನಾಯಿತಿ,Adaptive immunity
ಅಡಾಪ್ಟಿವ್ ವಿಕಿರಣ,Adaptive radiation
ಹೊಂದಾಣಿಕೆಯ ಲಕ್ಷಣ,Adaptive trait
ಅಡಾಕ್ಸಿಯಲ್ ಮೇಲ್ಮೈ,Adaxial surface
ವ್ಯಸನಕಾರಿ ಕಾಯಿಲೆ,Addictive disorder
ತಿಕ್ಕಲು,Adenine
ಒಂದು ತತ್ತ್ವ,Adenocorticotropin
ತತ್ತ್ವ,Adenohypophysis
ತಿರಸ್ಕಾರ,Adenosin diphosphate
ಅಂಧ,Adenosine deaminase
ಅಸಿನಿನ್ ಮೊನೊಫಾಸ್ಫೇಟ್,Adenosine monophosphate
ಅಡೆನೊಸಿನ್ ಟ್ರೈಫಾಸ್ಫೇಟ್ (ಎಟಿಪಿ),Adenosine triphosphate (ATP)
ತಿರಸ್ಕಾರ,Adenylate cyclase
ಅಂಟಿಕೊಳ್ಳುವ ಶಕ್ತಿ,Adhesive force
ಅಡಿಪಡಿ,Adipate
ಅಡಿಪೋಸೈಟ್ (ಕೊಬ್ಬಿನ ಕೋಶ),Adipocyte (fat cell)
ಅಡಿಪಾಯಿ ಅಂಗಾಂಶ,Adipose tissue
ಮಡಿ,Adnate
ಪಕ್ಕದ ಸಮುದಾಯ,Adjoining community
ಮೂತ್ರಜನಕಾಂಗ,Adrenal
ಅಡ್ರಿನಲ್ ಗ್ರಂಥಿ,Adrenal gland
ಅಡ್ರಿನೊಕಾರ್ಟಿಕೊಟ್ರೊಪಿಕ್ ಹಾರ್ಮೋನ್ (ಎಸಿಟಿಎಚ್),Adrenocorticotropic hormone (ACTH)
ಅಡ್ರಿನೊಕಾರ್ಟಿಕೊಟ್ರೊಪಿಕ್ ಬಿಡುಗಡೆ ಹಾರ್ಮೋನ್ (ಎಸಿಟಿಆರ್ಹೆಚ್),Adrenocorticotropic releasing hormone (ACTRH)
ಹೊರಹೀರುವ,Adsorbent
ಹೊರಹೀರತೆ,Adsorption
ಸುಧಾರಿತ ಸ್ವರಮೇಳ,Advanced chordate
ಅನುಕೂಲಕರ ರೂಪಾಂತರ,Advantageous mutation
ಸಾಹಸದ,Adventitial
ಸಾಹಸಿ ಮೂಲ,Adventitious root
ದುಷ್ಪರಿಣಾಮ,Adverse effect
ಈಡಿಸ್,Aedes
ಸಂಸ್ಕೃತಿಯ ಗಾಳಿ,Aeration of culture
ವಾಮಪಂಥೀಯ,Aerenchyma
ವೈಮಾನಿಕ,Aerial
ವೈಮಾನಿಕ ಮೂಲ,Aerial root
ವೈಮಾನಿಕ ಚಿಗುರು,Aerial shoot
ಏರೋಬಿಕ್ ಉಸಿರಾಟ,Aerobic respiration
ಏರೋಬಿಕ್ ಉಸಿರಾಟ,Aerobic respiration
ಸೌಂದರ್ಯಶಾಸ್ತ್ರ,Aesthetics
ಅಸ್ವಸ್ಥತೆ,Aestivation
ಅಸ್ವಸ್ಥತೆ,Aestivation
ವಿಪರೀತ,Afferent
ಅಫಿನಿಟಿ ಕ್ರೊಮ್ಯಾಟೋಗ್ರಫಿ,Affinity chromatography
ಪೀಡಿತ ಅಂಗ,Afflicted organ
ಸಂಯಮ,Afforestation
ಗಗನಯ,Agamospermy
ಗಾಡಿ,Agar
ಜನಗಮಣ,Agarose
ಅಗರೋಸ್ ಜೆಲ್ ಎಲೆಟ್ರೋಫೊರೆಸಿಸ್,Agarose gel eletrophoresis
ಅಗರೋಸ್ ಪಾಲಿಮರ್ ಜೆಲ್,Agarose polymer gel
ಚೂರುಪಾರು,Agast
ಭೂತಾಳೆ,Agave
ವಯಸ್ಸಿನಲ್ಲಿ ವಿತರಣೆ,Age distribution
ವಯಸ್ಸು ಪಿರಮಿಡ್,Age pyramid
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ,Agglutination
ಒಟ್ಟು,Aggregate
ಕೋಶಕ ಒಟ್ಟು,Aggregate of follicle
ಕೋಶಕ ಒಟ್ಟು,Aggregate of follicle
ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ,Aggregation
ಆಕ್ರಮಣಶೀಲತೆ,Aggressiveness
ಚಮತ್ಕಾರ,Agitator system
ಅಜ್ಞಾತ,Agnatha
ಗಾಡಿ,Agouti
ಪಂಥದ,Agranal chloroplast
ಕೃಪಣದ,Agranular
ಪಂಥಿ,Agranulocyte
ಕೃಷಿ,Agriculture
ಕೃಚಾರಕ,Agroforestry
ಆಗ್ರೊಬ್ಯಾಕ್ಟೀರಿಯಂ ಮಧ್ಯಸ್ಥಿಕೆ,Agrobacterium mediated
ಅಗ್ರೋಬ್ಯಾಕ್ಟೀರಿಯಂ ಟ್ಯೂಮೆಫಾಸಿಯನ್ಸ್,Agrobacterium tumefaciens
ಕೃಷಿ ರಾಸಾಯನಿಕ,Agrochemical
ಕೃಷಿ ರಾಸಾಯನಿಕ,Agrochemical
ಕೃಷಿ ವಲಯ,Agroclimatic zone
ಕೃಷಿ ಲಕ್ಷಣ,Agronomic trait
ಕೃಷಿ ವಿಜ್ಞಾನ,Agronomy
ನೆರಳು,AIDS
ಗಾಳಿಗೊಡೆ,Air bladder
ಹವಾ ನಿಯಂತ್ರಣ ಯಂತ್ರ,Air conditioner
ಗಾಳಿಯ ಮಾರ್ಗ,Air passage
ವಾಯು ಮಾಲಿನ್ಯ,Air pollution
ಗಾಳಿಯ ಚೀಲ,Air sac
ವಿಮಾನ ನಿರ್ವಾತ,Air vacuole
ಗಾಳಿ ಮರೆಯುವ,Air-breathing
ತಲ್ಲಣ,Alain
ಅಲರಿ ಸ್ನಾಯು,Alary muscle
ಅಲಸ್ಕನ್ ಕಂದು ಕರಡಿ,Alaskan brown bear
ಒಂದು ಬಗೆಯ ಉಕ್ಕಿನ,Albino
ದಾಸ್ಯ,Albugo
ಉಣ್ಣೆಯಂಥ,Albumin
ಉಬ್ಬು ಬೀಜದ ಬೀಜ,Albuminous seed
ಬಿಲ್ಲಿನ,Albuminuria
ಪಾರಾಗಲಿ,Alburnum
ಹದಮುದಾಯಿ,Alcedae
ಆಲ್ಡಿಹ್ಯೀಡ್,Aldehyede
ಆಲ್ಡೋಸ್ಟಾನ್ ವ್ಯವಸ್ಥ,Aldosterone system
ಆಲ್ಡೋಸ್ಟಲಿಗೆ,Aldosterone
ಅಲ್ಯೂರೋನ್ ಪದರ,Aleurone layer
ಕಣ್ಣುಹಾಯ,Aleuroplast
ಉಚ್ಚಾರಣಾ,Alfalfa
ಪಾಚಿಯ ಹೂವು,Algal bloom
ಪಾರಿಗೊಣ,Algin
ಅನ್ಯಲೋಕದ ಡಿಎನ್‌ಎ,Alien DNA
ಅನ್ಯ,Alien species
ಜೋಡಣೆ,Alignment
ಜೋಡಣೆ,Alignment
ಅಲಿಮೆಂಟಿನ ಕಾಲುವೆ,Alimentary canal
ಅಲಿಮೆಂಟರಿ ವ್ಯವಸ್ಥೆಯ,Alimentary system
ಮಿತ್ರತತ್ವ,Alismaceace
ಕ್ಷಾರೀಯ,Alkaloid
ಕ್ಷಾರೀಯ,Alkaline
ಕ್ಷಾರೀಯ,Alkaptonuria
ನಾರು,Allantois
ಆಲೀಲ್ ಆವರ್ತನ,Allele frequency
ಇಳಿಜಾರು,Allele
ಅಲಿಮಾರ್ಫಿಕ್ ಜೋಡಿ,Allelomorphic pair
ಅಲರ್ಜಾಟ,Allergen
ಅಲಿಗ್ನ,Alligator
ಆಲಿಯಂ ಸೆಪಾ,Allium cepa
ಅಲೋಗಮಿ,Allogamy
ಅರಿಯುವವಳು,Allograft
ಅಲೋಪ್ಯಾಟ್ರಿಕ್ ಸ್ಪೆಸಿಪೇಶನ್,Allopatric speciation
ಸೂತ್ರ,Allopolyploid
ಅಲೀರಿಕ್ ಪರಿಣಾಮ,Allosteric effect
ಅಲೋಸ್ಟರಿಕ್ ಕಿಣ್ವ,Allosteric enzyme
ಅಲಿಸ್ಟರಿಕ್ ಪ್ರತಿರೋಧಕ,Allosteric inhibitor
ಅಲೋಸ್ಟೆರಿಕ್ ಮಾಡ್ಯುಲೇಷನ್,Allosteric modulation
ಅಲೋಸ್ಟರಿಕ್ ಸೈಟ್,Allosteric site
ಅಲಿಸ್ಟರಿಕ್ ಪ್ರತಿಬಂಧಕ,Allosteric inhibition
ತಟೆಾತ್ರಾ,Allotetraploid
ದಾಸ್ಯ,Alnus
ಅಡೆ,Aloe
ಆಕ್ಸಾನ್ ಉದ್ದಕ್ಕೂ,Along the axon
ಆಲ್ಫಾ-ಆಂಟಿಟ್ರಿಪ್ಸಿನ್,Alpha-antitrypsin
ಆಲ್ಫಾ-ಲಾಕ್ಟಾಲ್ ಬ್ಯೂನ್,Alpha-lactalbumin
ಆಲ್ಪೈನ್ ಹವಾಮಾನ ಸ್ಥಿತಿ,Alpine climate condition
ಆಲ್ಪೈನ್ ಹುಲ್ಲುಗಾವಲು,Alpine meadow
ಆಲ್ಪೈನ್ ವಲಯ,Alpine zone
ಆಲ್ಸ್ಟೋನಿಯಾ,Alstonia
ಪರ್ಯೇಡು,Alternaria
ಪರ್ಯಾಯ,Alternate
ಪೀಳಿಗೆಯ ಪರ್ಯಾಯ,Alternation of generation
ಎತ್ತರ ಕಾಯಿಲೆ,Altitude sickness
ಎತ್ತರ,Altitude
ಅಲ್ವಿಯೋಲಾರ್ ನಾಳ,Alveolar duct
ಮಣ್ಣು,Alytes
ಆಲ್ z ೈಮರ್ ಕಾಯಿಲೆ,Alzheimer's disease
ಅಮಾಮಿನ ಕೋಶ,Amacrine cell
ಹುಳ,Amaranthaceae
ಹುಳಿ,Amaranthus
ಸುತ್ತುವರಿದ ಆಸ್ಮೋಟಿಕ್ ಸಾಂದ್ರತೆ,Ambient osmotic concentration
ಅಂಬಿಸ್ಟೋಮ,Ambystoma
ಅಸ್ಫುಲ್,Amide
ಅಮೈನೊ ಆಸಿಡ್,Amino acid
ಅಮೈನೊ ಆಸಿಡ್ ಸ್ವೀಕಾರಕ,Amino acid acceptor
ಅಮೈನಾಕ್ಲ್ ಟಿ ಆರ್ಎನ್ಎ ಸಿಂಥೆಟೇಸ್,Aminoacyl t RNA synthetase
ಅಮೈನೊಅಸಿಲೇಷನ್,Aminoacylation
ಅಮೀಟಾಸಿ,Amitosis
ಅಮೋನಿಯ,Ammonia
ಅಮೋನೀಕರಣ,Ammonification
ಅಮ್ಮನೋಟೆಲಿಸಂ,Ammonotelism
ಜ್ಯೂನಿಯೊಸೆಂಟಿಸ್,Amniocentesis
ಆಮದೋಸೆಂಟೆಸಿಸ್ ತಂತ್ರ,Amniocentesis technique
ಅಮ್ನಿಯೈಟ್,Amniocyte
ಮಂಕಾದ,Amnion
ಆಮ್ನಿಯೋಟಿಕ್ ದ್ರವ,Amniotic fluid
ಜಾಮ್ನಿಯೆಟಿಕ್ ಮೆಂಬರೇನ್,Amniotic membrane
ಜಾಮಿಕಾಟದ ಚೀಲ,Amniotic sac
ಅಮೀಬ,Amoeba
ಅಮೀಬೋಸೈಟ್,Amoebocyte
ಅಮೀಬಯುಡಿ,Amoeboid
ಅಮೀಬಯಿಡ್ ಲಿಂಫೋಸೈಟ್,Amoeboid lymphocyte
ಅಮೀಬಯಿಡ್ ಚಲನೆ,Amoeboid movement
ಅರೂಪದ,Amorphous
ಮೊತ್ತ,Amount
ಆಭರಣ,Amphetamine
ಉಭಯಚರ,Amphibia
ಉಭಯಚರ,Amphibian
ಉಭಯಚರ,Amphibian
ಉಲ್ಬಣ,Amphioxus
ಆಂಫಿಯೋಕ್ಸಸ್ ಲ್ಯಾನ್ಸೊಲಾಟಸ್,Amphioxus lanceolatus
ಉಭಯಪಕ್ಷೀಯ,Amphipathic
ಉಭಯಚರ ಲಿಪಿಡ್,Amphipathic lipid
ಉಚ್ಚಾರೆ,Amphisarca
ಲೋಕದ,Ampicillin
ಹಲ್ಲು,Ampulla
ಶಿರೋಕ್ತಿ ಗ್ರಂಥಿ,Ampullary gland
ಅಮಿಗ್ಡಾಲ್,Amygdal
ಬಾಚು,Amygdale
ಅಮಿಗ್ಲಿನ್,Amygdalin
ಮಂಕಾದ,Amylase
ಅಮಿಲೋಪ್ಲಾಸ್ಟ್,Amyloplast
ಅ ೦ ಗಡಿ,Anabaena
ಹಳ್ಳ,Anabas
ಅನಾಬಲಿನ ​​ಮಾರ್ಗಗಳು,Anabolic pathways
ಅನಾಬಾಲಿಸಂ,Anabolism
ಅನಾಕಾರ್ಡಿಯಾಸಿ,Anacardiaceae
ರಕ್ತಹೀನತೆ,Anaemia
ಬಯೆರೋಲೆ,Anaerobe
ಆಮ್ಲಜನವ್ಯಕ್ತಿ,Anaerobic fuel
ಆಮ್ಲಜನವ್ಯಕ್ತಿ,Anaerobic respiration
ಆಮ್ಲಜನಕರಹಿತ ಕೆಸರು ಡೈಜೆಸ್ಟರ್,Anaerobic sludge digester
ಆಮ್ಲಜನವ್ಯಕ್ತಿ,Anaerobic
ಅನೈಮ,Anaima
ಗುದ,Anal
ಗುದ,Anal
ಗುದ ದ್ಯುತಿರಂಧ್ರ,Anal aperture
ಗುದ,Anal cerci
ಗುದ ಲೂಪು,Anal loop
ಗುದ ಶೈಲಿ,Anal style
ಹೋಲುವ,Analogous
ಹೋಲುವ,Analogous
ಸಾದೃಶ್ಯ,Analogy
ಸಾದೃಶ್ಯ,Analogy
ವಿಶ್ಲೇಷಣೆ,Analysis
ಅನಾಫೇಸ್,Anaphase
ಅಂಗರಚನಾ ತಡೆಗೋಡೆ,Anatomic barrier
ಅಂಗರಚನಾ ಅಂಶ,Anatomical aspect
ಅಂಗರಚನಾ ತಜ್ಞ,Anatomist
ಅಂಗರಚನಾಶಾಸ್ತ್ರ,Anatomy
ಪೂರ್ವಜರ ವಂಶಸ್ಥ ಅನುಕ್ರಮ,Ancestor descendant sequence
ಪೂರ್ವಜರ ವಂಶ,Ancestral lineage
ಪೂರ್ವಜರ ಅನುಕ್ರಮ,Ancestral sequence
ಚಾಚು,Ancylostoma
ಆಂಡ್ರೊಸಿಯಮ್,Androecium
Andrಷಧ,Androgen
ರಕ್ತಹೀನತೆ,Anemia
ವೇಶ್ಯೆ,Anemone
ಅನೆಲಾಯ್ಡ್,Aneuploid
ಅನೆಪ್ಲು,Aneuploidy
ಗಂಜಿ,Angina
ಆಂಗಿಯ ವರ್ಗ,Angiogram
ಆತಿ,Angiograph
ಆಂಜಿಯಾರಿ ಶಾಸ್ತ್ರ,Angiography
ಆಂಜಿಯೋಪ್ಲಾಸ್ಟಿ,Angioplasty
ಆಂಗಿಯೋಸ್ಪೆರ್ಮು,Angiosperm
ಆಂಜಿಯೋಟೆನ್ಸಿನ್,Angiotensin
ಆಂಜಿಯೋಟೆನ್ಸಿನ್ ವಂಶದ,Angiotensinogen
ಗಾಳಹಾಕಿ ಮೀನು,Angler fish
ಗದ್ದೆ,Anguina
ಕುಡಿನೂದಿ,Anguis
ಪ್ರಾಣಿ,Animal
ಪ್ರಾಣಿ,Animal
ಪ್ರಾಣಿ ಸಗಣಿ,Animal dung
ಪಶುಸಂಗೋಪನೆ,Animal husbandry
ಪ್ರಾಣಿ ಕ್ಯಾರಿಯೋಟೈಪಿಂಗ್,Animal karyotyping
ಪ್ರಾಣಿ ಸಾಮ್ರಾಜ್ಯ,Animal kingdom
ಪ್ರಾಣಿಗಳ ಅಂಗಾಂಶ,Animal tissue
ಪ್ರಾಣಿ,Animalia
ಅಯಾನು,Anion
ಅನಿಸೊಟ್ರಾಪಿಕ್ ಬ್ಯಾಂಡ್,Anisotropic band
ಮುಟ್ಟಿದ,Annealing
ಗಡಿಯಾರ,Annelid
ಅನುಗ್ರಹದ,Annelida
ವಾರ್ಷಿಕ ಉಂಗುರ,Annual ring
ಉರಿಯೂತ,Annulated
ಅನ್ನ್ಯೂಲ್,Annule
ಅಸಂಗತ ಪ್ರಕಾರ,Anomalous type
ಅನಾಫಿಲಿಸ್,Anopheles
ಇರುವೆ ಭಕ್ಷಕ,Ant eater
ವಿರೋಧದ,Antagonistic
ಪೃಷ್ಠದ,Antarctic
ಆನಂತಾ,Antenna
ಆಂಟೆನಾ ಸಂಕೀರ್ಣ,Antenna complex
ಆಂಟೆನಾಲ್ ಗ್ರಂಥಿ,Antennal gland
ಮುಂಭಾಗದ (ಕುಹರದ) ಬೂದು ಕೊಂಬು,Anterior (ventral) gray horn
ಮುಂಭಾಗದ ಹೈಪೋಫಿಸಿಸ್,Anterior hypophysis
ಮುಂಭಾಗದ ಮಧ್ಯಸ್ಥಿಕೆಯ ಸಲ್ಕಸ್,Anterior interventricular sulcus
ಪರಾಗ,Anther
ಪರಂಪರೆ ಸಂಸ್ಕೃತಿ,Anther culture
ಸ ೦ ಗಂಥಿಯ,Antheridium
ಪರಾಗಿದರದ,Antherozoid
ಆಂಥೆಸೆರೋಸ್,Anthoceros
ಆಂಥೋಸೆರೋಟಾಪ್ಸಿಡಾ,Anthocerotopsida
ಆಂಥ್ರಾಕ್ಸ್,Anthrax
ಮಾನವಜನ್ಯದ ಅಳಿವಿನಂಚಿನಲ್ಲಿರುವ,Anthropogenic extinction
ಮಾನವಶಾಸ್ತ್ರ,Anthropology
ಅನುಭವಿನಲ್ಲಿರುವ,Antibacterial
ಪ್ರತಿಜೀವಕ ಪೆನ್ಸಿಲಿನ್,Antibiotic penicillin
ಪ್ರತಿಜೀವಕ ನಿರೋಧಕ,Antibiotic resistant
ಪ್ರತಿಜೀವಕ (ಗಳು),Antibiotic(s)
ಪ್ರತಿಕಾಯ,Antibody
ಪ್ರತಿಕಾಯ ದಂಪತಿಗಳು,Antibody couple
ಪ್ರತಿಕಾಯ ಮಧ್ಯಸ್ಥ ರೋಗನಿರೋಧಕ ಶಕ್ತಿ,Antibody mediated immunity
ಪ್ರತಿಮೆಯಂಥ,Anticoagulant
ಆಕ್ಟೊಡಾನ್ ಲೂಪ್,Anticodon loop
ಖಿನ್ನತೆ -ತತ್ವ,Antidepressant
ಆಂಟಿಡಿಯುರೆಟಿಕ್ ಹಾರ್ಮೋನ್ (ಎಡಿಎಚ್),Antidiuretic hormone (ADH)
ಪ್ರತಿಜನಕ ಜೀನ್,Antigen gene
ಪ್ರತಿಜನಕ,Antigen-antibody complex
ಪ್ರತಿಜನಕ ನಿರ್ಣಾಯಕ,Antigenic determinant
ಪ್ರತಿಷ್ಠಿತ ಅಂಶ,Antinutritional factor
ಆವರಣಕಾರ,Antioxidant
ಆವರಣ ನ್ಯೂಕ್ಲಿಯಸ್,Antipodal nucleus
ಎಂಟರ ಆರ್‌ಎನ್‌ಎ,Anti-sense RNA
ಆಂಟಿವೈರಲ್ ಪ್ರೋಟೀನ್,Antiviral protein
ಕಸಾಯಿಖಾನೆ,Antrum
ನಿರ್ದಯ,Anucleate
ಗುದ,Anus
"ಖಿನ್ನತೆ ಮನೋರೋಗ, ಆತಂಕ, ವ್ಯಾಕುಲತೆ",Anxiety disorder
ಮಹಾಪಧಮನಿಯ ಕಮಾನು,Aortic arch
ಮಹಾಪಧಮನಿಯ ಗ್ಯಾಂಗ್ಲಿಯಾನ್,Aortic ganglion
ಮಹಾಪಧಮನಿಯ ಸೆಮಿಲುನಾರ್ ಕವಾಟ,Aortic semilunar valve
ಮಹಾಪಧಮನಿಯ ಕವಾಟ,Aortic valve
ಎಪಿಸಿ (ಅನಾಫೇಸ್ ಪ್ರಚಾರ ಸಂಕೀರ್ಣ),APC (anaphase promoting complex)
ಅಪೆಲಿಕ್ ಪೂರ್ವಜ,Apelike ancestor
ಮುನಸು,Aphid
ಅಚ್ಚುಬಾಲಿಗೆ,Aphrodite
ಅಪಿಕಲ್ ಪ್ರಾಬಲ್ಯ,Apical dominance
ಮೇಲ್ನೋಟದ,Apical pad
ಅಪಚಲುಮನೆ,Apiculture
ಎಪಿಐಎಸ್,Apis indica
ಒಂದು ದೊಡ್ಡ,Aplanospore
ಅಡ್ಡಿ,Aplysia
ಕಣ್ಣುಹಾಯ,Apocarpae
ತಟ್ಟುಕ,Apocarpous
ಅಪೋಕಾರ್ಪಸ್ ಅಂಡಾಶಯ,Apocarpous ovary
ಅಪೊಕ್ರೈನ್ ಗ್ರಂಥಿ,Apocrine gland
ತಿಕ್ಕಲು,Apoenzyme
ಮಂಕಾದ,Apomict
ತಿಕ್ಕಲು,Apomixis
ಮಂಕಾದ,Apoplasm
ಮಂಕುಗರ,Apoplastic pathway
ಅಪಶೂನ್ಯತೆ,Apoptosis
ಉಪಕರಣ,Apparatus
ಅನುಬಂಧ ಅಸ್ಥಿಪಂಜರ,Appendicular skeleton
ಸೀಕಮ್ನ ಅನುಬಂಧ,Appendix of the caecum
ಆಪಲ್ ಬಸವನ,Apple snail
ಜಲಚರಕ,Aquaculture
ಅಕ್ವಾಪೊರಿನ್,Aquaporin
ಜಲಚರಗಳ,Aquatic amphibian
ಜಲಸಂಪರ್ಕ ರೂಪ,Aquatic form
ಜಲವಾಸಿ ಆವಾಸ,Aquatic habitat
ಜಲವಾಸಿ ಜೀವಿ,Aquatic organism
ಜಲವಾಸಿ ಸಸ್ಯ,Aquatic plant
ಜಲವಾಸಿ ಉಸಿರಾಟ,Aquatic respiration
ಜಲೀಯ ದ್ರವ,Aqueous fluid
ಜಲೀಯ ಹುಮೂರ್,Aqueous humur
ಜಲೀಯ ಇಂಟ್ರಾ-ಸೆಲ್ಯುಲಾರ್ ದ್ರವ,Aqueous intra-cellular fluid
ಜಲೀಯ ಮಾದರಿ,Aqueous sample
ಜಲೀಯ ಪರಿಹಾರ,Aqueous solution
ಅಕ್ವಿಲ,Aquila
ಕೀಲಿಗೆ,Arabidopsis
ಕಸ,Arachnida
ಕುಂಬಳಕಾಯಿ,Arachnoid
ಅರೇನಿಯಸ್,Araneus
ಗುಂಡಾದ,Arborescent
ಅರ್ಬೋರ್ಸೆಂಟ್ ಲೈಕೋಪೋಡ್,Arborescent lycopod
ಪುರಾತತ್ವ,Archaebacteria
ಕಮಾನು,Archegonium
ದ್ವೀಪಸಂಬಂಧಿ,Archipelago
