Hindi,Malayalam
खड़ी ईंट,ബ്രിക്ക്-ഓൺ-എഡ്ജ്
ब्राइडल,കടിഞ്ഞാൺ
द्युति,തെളിച്ചം
भूरी मृदा,തവിട്ട് മണ്ണ്
भवन,കെട്ടിടം
भवन सर्वेक्षक,ബിൽഡിംഗ് സർവേയർ
बफर (रोधक),ബഫർ
रोधनवक या अनुपामन वक,ബഫർ കർവ്
रोधन,ബഫറിംഗ്
रोधन क्षमता,ബഫറിംഗ് ശേഷി
बन्दर,ബണ്ടർ
पुश्ता,ബട്രസ്
c-संस्तर/c-होराइजन,സി-ചക്രവാളം
तार/केबल,കേബിൾ
तारगढ़ाई,കേബിൾ മോൾഡിംഗ്
केबिल तंत्र,കേബിളിംഗ്
केबिन,ചെറിയമുറി
केबिन अंकुश,ക്യാബിൻ ഹുക്ക്
मंजूषा,കാബിനറ്റ്
ध्वनि शोषण चादर,കാബോൾട്ട് ഉപേക്ഷിച്ചു
कैफेटेरिया,കഫറ്റീരിയ
पिंजरा,കൂട്ടിൽ
पिंजरानुमा निर्माण,കൂട് നിർമ്മാണം
केनसूत्र,കയീൻ ഫോർമുല
कैसन (या कॉफर),കൈസൺ
कैसन रोग,കെയ്സൺ രോഗം
केसन नींव,കൈസൺ ഫൗണ്ടേഷൻ
कैसन पाइल,കൈസൺ ചിത
चूनेदार ईंट,കാൽക്കറിയസ് ഇഷ്ടിക
चूनेदार मिट्टी,സുഷിരമുള്ള കളിമണ്ണ്
चूनेदार पपड़ी,സുഷിരമുള്ള പുറംതോട്
केल्सीकरण,കാൽസിഫിക്കേഷൻ
निस्तापन,കാൽസിനേഷൻ
कैलसाइन,കാൽസൈൻ
कैल्साइट,കാൽസൈറ്റ്
कैल्शियम एल्यूमिनेट सीमेंट,കാൽസ്യം-അലുമിനേറ്റ് സിമന്റ്
कैल्शियम सिलीकेट ईंट,കാൽസ്യം-സിലിക്കേറ്റ് ഇഷ്ടിക
कैल्शियम सिलिकेट हाईड्रेट,കാൽസ്യം-സിലിക്കേറ്റ് ഹൈഡ്രേറ്റ്
कालीचे,കാലിച്ചെ
कैलिफोर्निया असर अनुपात,കാലിഫോർണിയ ബെയറിംഗ് റേഷ്യോ
केलिपर,കാലിപ്പർ
कैलोरीमीटर,കലോറിമീറ്റർ
न्युब्ज़ता/कैम्बर,കാംബർ
नहर,കനാൽ
कैनॉपी,മേലാപ്പ്
बहुधारन पद,കാന്റിലിവർ ഫൂട്ടിംഗ്
टोपी,തൊപ്പി
धारिता,ശേഷി
रेल पथ क्षमता,എയിൽ ട്രാക്കിന്റെ ശേഷി
टोपी कंडरा,തൊപ്പി കേബിൾ
केशिकत्व,കാപ്പിലാരിറ്റി
केशिका विच्छेद,കാപ്പിലറി ബ്രേക്ക്
केशिका प्रवाह,കാപ്പിലറി ഒഴുക്ക്
केशिका आर्द्रता या केशिका जल,കാപ്പിലറി ഈർപ്പം അല്ലെങ്കിൽ കാപ്പിലറി വെള്ളം
केशिका रंध्र अवकाश,കാപ്പിലറി പോർ സ്പേസ്
केशिका रंध्रता,കാപ്പിലറി പൊറോസിറ്റി
केशिका अवकाश,കാപ്പിലറി സ്പേസ്
प्रग्रहण वेग,ക്യാപ്‌ചർ വേഗത
कार्बोनेशन,കാർബണേഷൻ
कार्बन काजल,കാർബൺ കറുപ്പ്
ढलने योग्य उच्च तापसह,കാസ്റ്റ്ബിൾ റിഫ്രാക്റ്ററി
स्वस्थान ढली,കാസ്റ്റ്-ഇൻ-പ്ലേസ് അല്ലെങ്കിൽ കാസ്റ്റ്-ഇൻ-സിറ്റു
यथास्थान बनाई पाइल,കാസ്റ്റ്-ഇൻ-പ്ലേസ് പൈൽ
कैस्टर,ജാതി
ढला पत्थर,എറിയുന്ന കല്ല്
उत्प्रेरक,കാറ്റലിസ്റ്റ്
मृदा श्रृंखला,കാറ്റെന
विडाल मुख,പൂച്ച മുഖം
कैट हैड,പൂച്ചയുടെ തല
धनायन,കാറ്റേഷൻ
कैट बॉक,പൂച്ച നടത്തം
कोटरन क्षति,കാവിറ്റേഷൻ കേടുപാടുകൾ
सेलाइट,സെലൈറ്റ്
कोशिकीय कंक्रीट,സെല്ലുലാർ കോൺക്രീറ്റ്
कोशिकीय निर्माण,സെല്ലുലാർ നിർമ്മാണം
सीमेंट,സിമന്റ്
बिटुमनी सीमेंट,"സിമന്റ്, ബിറ്റുമിനസ്"
शीघ्र सामर्थ्य सीमेंट,"സിമന്റ്, ഉയർന്ന ശക്തി"
जलीय सीमेंट,"സിമന്റ്, ഹൈഡ്രോളിക്"
न्यून ऊष्मा सीमेंट,"സിമന്റ്, കുറഞ്ഞ ചൂട്"
चिनाई सीमेंट,"സിമന്റ്, കൊത്തുപണി"
प्राकृतिक सीमेंट,"സിമന്റ്, പ്രകൃതി"
पोर्टलैंड सीमेंट,"സിമന്റ്, പോർട്ട്ലാൻഡ്"
पोर्टलैंड वात्या-भट्टी धातुमल सीमेंट,"സിമന്റ്, പോർട്ട്ലാൻഡ് ബ്ലാസ്റ്റ് ഫർണസ് സ്ലാഗ്"
पोर्टलैंड पोजोलॉन सीमेंट,"സിമന്റ്, പോർട്ട്ലാൻഡ് പോസോളാൻ"
सीमेंट धातुमल,"സിമന്റ്, സ്ലാഗ്"
सल्फेट प्रतिरोधी सीमेंट,"സിമന്റ്, സൾഫേറ്റ് പ്രതിരോധം"
सुपरसल्फेटेड सीमेंट,"സിമന്റ്, സൂപ്പർ സൾഫേറ്റ്"
श्वेत सीमेंट,"സിമന്റ്, വെള്ള"
सीमेंट मिलावा अनुपात,സിമന്റ്-അഗ്രഗേറ്റ് അനുപാതം
सीमेंट अंश,സിമന്റ് ഉള്ളടക്കം
सेमेंट जेल,സിമന്റ് ജെൽ
सीमेंट गन,സിമന്റ് തോക്ക്
सीमेंट भट्टी,സിമന്റ് ചൂള
सीमेंट प्रलेप,സിമന്റ് പെയിന്റ്
सीमेंट प्लास्टर,സിമന്റ് പ്ലാസ്റ്റർ
सीमेंट शैल,സിമന്റ് പാറ
सीमेंट घोल,സിമന്റ് സ്ലറി
सीमेंट भंडारण,സിമന്റ് സംഭരണം
सीमेंटीकरण प्रक्रम,സിമന്റേഷൻ പ്രക്രിയ
ढूला,കേന്ദ്രീകരിക്കുന്നു
ढूला बनाना,കേന്ദ്രീകരിക്കലും ഷട്ടറിംഗും
केन्द्रीय मिश्रित कंक्रीट,സെൻട്രൽ മിക്സഡ് കോൺക്രീറ്റ്
केन्द्रीय मिश्रक,സെൻട്രൽ മിക്സർ
अपकेन्द्री पंखा,അപകേന്ദ്ര ഫാൻ
खड़िया,ചോക്ക്
शैम्फर,ചാംഫർ
निष्कोणन पत्ती,ചേംഫർ സ്ട്രിപ്പ്
चैनल धरन,ചാനൽ ബീം
अभिलाक्षणिक भार,സ്വഭാവസവിശേഷത ലോഡ്
अभिलाक्षणिक सामर्थ्य,സ്വഭാവ ശക്തി
शुल्क माफी,ചാർജ്ജ് ഓഫ്
भरण,ചാർജിംഗ്
तरेड़न,പരിശോധിക്കുന്നു
रासायनिक आबंध,കെമിക്കൽ ബോണ്ട്
चर्नोजेम,ചെർനോസെം
चैस्टनट मृदा,ചെസ്റ്റ്നട്ട് മണ്ണ്
धुआरा पनाली,ചിമ്മിനി ഗട്ടർ
अपखण्ड फलक,ചിപ്പ് ബോർഡ്
छीलना,ചിപ്പിംഗ്
दाना,ചിപ്സ്
ढलवा नाली,ചട്ടി
श्रेणी (कंक्रीट की),ക്ലാസ് (കോൺക്രീറ്റ്)
मृत्तिका,കളിമണ്ണ്
मृत्तिका अंश,കളിമൺ ഉള്ളടക്കം
मृत्तिका दृढ़ पटल,കളിമൺ പാൻ
सफाई द्वार,പൂർണമായി കാലിയാക്കുക
निर्वात सुधार,ക്ലീനപ്പ്
गुटका,ക്ലീറ്റ്
क्लिंकर,ക്ലിങ്കർ
क्लिप,ക്ലിപ്പ്
स्कंदन,കട്ടപിടിക്കൽ
स्थूल समुच्चय/मोटा मिलावा,നാടൻ മൊത്തത്തിലുള്ളത്
स्थूल कणीय मृदा,പരുക്കൻ ധാന്യമുള്ള മണ്ണ്
कोट,കോട്ട്
कॉफर बाँध,കോഫർ ഡാം
ससंजन,ഒത്തുചേരൽ
कोलाइड,കൊളോയിഡ്
कोलाइडी-आर्द्रता तुल्यांक अनुपात,കൊളോയ്ഡൽ ഈർപ്പം തുല്യ അനുപാതം
कोलाइडी प्रणाली या कोलाइडी सम्मिश्रण,കൊളോയ്ഡൽ സിസ്റ്റം
मिश्रोढ़ मृदा,കൊളുവിയൽ മണ്ണ്
स्तम्भ/टेक/संपीडांग,കോളം
कंकतित परिष्कृति,കോമ്പഡ് ഫിനിഷ്
संयुक्त पाद,സംയോജിത കാൽപ്പാദം
संयुक्त जल,സംയോജിത വെള്ളം
सामान्य कक्ष,പൊതു മുറി
पूर्णावस्था प्रमाण पत्र,പൂർത്തീകരണ സർട്ടിഫിക്കറ്റ്
अंग वर्ग,ഘടകം ചതുരം
कंक्रीट,കോൺക്രീറ്റ്
कंकड़ स्तरन,കോൺക്രീഷൻ
समेकित दर या एक समान दर,ഏകീകൃത നിരക്ക്/ഫ്ലാറ്റ് നിരക്ക്
दूषणकारक,മലിനീകരണം
खाना रखने स्थान,ആൽക്കോട്ട് പാചകം ചെയ്യുന്നു
मुंडेर/कोपिंग,നേരിടുകയാണ്
टोड़ा,കോർബെൽ
कॉनिस,കോർണിസ്
युग्मक,കപ്ലർ
द्वि-युग्मक,"കപ്ലർ, ഇരട്ട"
कड़ी युग्मक,"കപ്ലർ, പുട്ട്ലോഗ്"
भ्रामी युग्मक,"കപ്ലർ, സ്വിവൽ"
रद्दा,കോഴ്സ്
बेतरतीब रद्देदार ढोका चिनाई,ക്രമരഹിതമായ അവശിഷ്ടങ്ങൾ കൊത്തുപണികൾ
आच्छादित क्षत्र,മൂടിയ പ്രദേശം
विसर्पण,ഇഴയുക
विसर्पण गुणांक,ക്രീപ്പ് കോഫിഫിഷ്യന്റ്
क्रोटोवाइन,ക്രോട്ടോവിൻ
काक पाद,കാക്ക കാൽ
आचूर्ण संरचना,നുറുക്കിന്റെ ഘടന
कर्ब,കർബ്
धारा,നിലവിലുള്ളത്
वक्र-प्रतिरोध (रेल),വക്ര പ്രതിരോധം
आर्द्रतारोधी स्तर,ഈർപ്പം പ്രൂഫ് കോഴ്സ്
पूर्ण होने की तिथि,പൂർത്തിയാക്കിയ തീയതി
अचल भार,ഡെഡ് ലോഡ്
धीर जल,ചത്ത വെള്ളം
डेसीबल,ഡെസിബെൽ
अनूर्पान,ഡിഫ്ലോക്കുലേഷൻ
वातन कोटि या वायु अवकाश अनुपात,വായുസഞ്ചാരത്തിന്റെ ഡിഗ്രി അല്ലെങ്കിൽ എയർ സ്പേസ് അനുപാതം
समुच्चयन कोटि,അഗ്രഗേഷൻ ബിരുദം
प्रकीर्णन कोटि,വ്യാപനത്തിന്റെ അളവ്
संतृप्ति कोटि,സാച്ചുറേഷൻ ഡിഗ്രി
घनता (आवासीय),സാന്ദ്രത
भरू कुट्टिम,മരുഭൂമിയിലെ നടപ്പാത
मरू मृदा,മരുഭൂമിയിലെ മണ്ണ്
विस्तृत विवरण,വിശദാംശങ്ങൾ
विकास अवधि,വികസന കാലയളവ്
Dसंस्तर/Dहोराइजन,ഡി-ചക്രവാളം
विकर्ण चाल,ഡയഗണൽ ബോണ്ട്
आरेख,ഡയഗ്രം
आंगुलिक गोदी,ഡിജിറ്റൽ ഡോക്ക്
अन्तरात्मक जल दर,വ്യത്യസ്ത ജലനിരക്ക്
तनुता संवातन,ഡില്യൂഷൻ വെന്റിലേഷൻ
पूरोढक,ഡിലുവിയം
भोजन कक्ष,ഡൈനിംഗ് റൂം
दिशा निर्धारक खूँटी,ദിശ കുറ്റി
प्रकीर्णन,വിസരണം
डिस्टेम्पर,ഡിസ്റ്റെമ്പർ
गोदी,മുറിവാല്
1. द्वार 2. कपाट,വാതിൽ
छत वातायन,ഡോർമർ
छत वातायन पृष्ठ,ഡോർമർ പരിശോധന
दोहरी फ्लेमिश चाल,ഇരട്ട ഫ്ലെമിഷ് ബോണ്ട്
दोहरी परत,ഇരട്ട പാളി
गुज्झी,ഡോവൽ
आरेखन पट्ट/ड्राइंग बोर्ड,വരക്കാനുള്ള ബോർഡ്
बैठक,സന്ദര്ശകമുറി
1. प्रक्षेप 2. ड्रिफ्ट 3. गुल्ली,ഡ്രിഫ്റ്റ്
शुष्क बल्ब तापक्रम,ഉണങ്ങിയ ബൾബ് താപനില
शुष्क गोदी,ഡ്രൈ ഡോക്ക്
शुष्क ढोका चिनाई,ഉണങ്ങിയ റബ്ബർ കൊത്തുപണി
डच चाल,ഡച്ച് ബോണ്ട്
बौनी दीवार,കുള്ളൻ മതിൽ
आवासीय यूनिट,പാർപ്പിട യൂണിറ്റ്
ओलती,ഈവ്
ओलती नाली,ഈവ്സ് ഗട്ടർ
आर्थिक संभाव्यता या आर्थिक औचित्य समर्थन,സാമ്പത്തിക സാധ്യത
एक्टोडाइनेमोर्फिक मृदा,എക്ടോഡൈനാമോർഫിക് മണ്ണ്
भँवर,എഡ്ഡി
कण का प्रभावी आमाप,ഫലപ്രദമായ വലിപ്പം
उत्फुल्लन,പുഷ്പം
सहायक सरित,മലിനജലം
उद्विक्षेप,ഉയരത്തിലുമുള്ള
अवक्षालन,എലുവിയേഷൻ
अवक्षाल,എലൂവിയം
अंतर्गतिज मृदा,എൻഡോഡൈനാമോർഫിക് മണ്ണ്
इंजीनियरी संभाव्यता,എഞ്ചിനീയറിംഗ് സാധ്യത
इंग्लिश चाल,ഇംഗ്ലീഷ് ബോണ്ട്
इंग्लिश गार्डन वाल चाल,ഇംഗ്ലീഷ് ഗാർഡൻ വാൾ ബോണ്ട്
ईं.पी.एम. (प्रतिमिलियन तुल्य),"EPM (ഒരു ദശലക്ഷത്തിന് തുല്യം),&quot;"
समतुल्य भार,തുല്യ ഭാരം
अर्ग,ഉദാ
विनिमययोग्य,കൈമാറ്റം ചെയ്യാവുന്നത്
विनिमेय अम्लता,കൈമാറ്റം ചെയ്യാവുന്ന അസിഡിറ്റി
विनिमेय सोडियम प्रतिशतता,കൈമാറ്റം ചെയ്യാവുന്ന സോഡിയം ശതമാനം (ESP)
धनायन विनिमय क्षमता,ഇ.എസ്.പി.
विनिमय अम्लता,അസിഡിറ്റി കൈമാറ്റം ചെയ്യുക
विनिमय सम्मिश्र,എക്സ്ചേഞ്ച് കോംപ്ലക്സ്
निर्वात/रेचन,എക്സോസ്റ്റ്
अनावरित परिष्कृति,തുറന്ന ഫിനിഷ്
गवाक्ष,കണ്ണ്
आई ब्रो,കണ് പുരികം
मोहरा/अग्रभाग,അഭിമുഖീകരിക്കുന്നു
पार्श्व चाल,ഫേസിംഗ് ബോണ്ട്
सुरक्षा गुणांक,സുരക്ഷാ ഘടകം
प्रवणता,വീഴ്ച
मुख पट्टी,ഫേഷ്യ
मुख पट्टी बोर्ड,ഫേഷ്യൽ ബോർഡ്
भ्रंश,തെറ്റ്
क्षेत्रीय नमी,വയലിലെ ഈർപ്പം
क्षेत्रीय आर्द्रता तुल्यांक,അന്തിമ ഈർപ്പം തുല്യമാണ്
मसाले की चपती/फिलेट,ഫില്ലറ്റ് (മോർട്ടാർ)
कलश,ഫൈനൽ
अंतिम मापन,അന്തിമ അളവ്
अंतिम भुगतान,അന്തിമ പേയ്മെന്റ്q
अंतिम पूर्व प्रतिबल,ഫൈനൽ പ്രീ-സ്ട്രെസ്
अंतिम तनाव,അവസാന പിരിമുറുക്കം
वित्तीय संभाव्यता,സാമ്പത്തിക സാധ്യത
महीन समुच्चय/बारीक मिलावा,ഫൈൻ അഗ്രഗേറ്റ്
विदीर्ण शैल,പിളർന്ന പാറ
पटिया पत्थर,പതാക കല്ല്
फ्लेमिश चाल,ഫ്ലെമിഷ് ബോണ്ട്
फ्लैशिंग/जल रोधी झिल्ली,മിന്നുന്നു
सद्योवेगी सरिता,മിന്നുന്ന പ്രവാഹം
सपाट छत,പരന്ന മേൽക്കൂര
फलीके,ഫ്ലെഷെ
फ्लेमिश गार्डन वाल चाल,ഫ്ലെമിഷ് ഗാർഡൻ വാൾ ബോണ്ട്
चकमक प्रस्तर,ഫ്ലിന്റ്
फ्लिंट दीवार,ഫ്ലിന്റ് മതിൽ
प्लवमान फर्श,ഫ്ലോട്ടിംഗ് ഫ്ലോർ
उर्णन,ഫ്ലോക്കുലേഷൻ
ऊर्णन सीमा,ഫ്ലോക്കുലേഷൻ പരിധി
ऊर्णन अनुपात,ഫ്ലോക്കുലേഷൻ അനുപാതം
ऊर्णिका,ഫ്ലോക്കുളുകൾ
फर्श,തറ
फर्शरुद्धक/फर्श सील,ഫ്ലോർ സീൽ
प्रवाह,ഒഴുക്ക്
उच्चावचन,ഏറ്റക്കുറച്ചിലുകൾ
पाद,കാൽനടയായി
नींव,ഫൗണ്ടേഷൻ
मुक्त प्रपात बैरो उद्वर्ती मिश्रक,ഫ്രീ ഫാൾ ബാരോ ടോപ്പിംഗ് മിക്സർ
मुक्त प्रपात मिश्रक (ढोल के आकार का),ഫ്രീ ഫാൾ മിക്സർ (ഡ്രം തരം)
मुक्त पत्थर,സ്വതന്ത്ര കല്ല്
नदीपूर,ഫ്രെഷെറ്റ്
घर्षण पाइल,ഘർഷണ കൂമ്പാരം
किश्ती/फॉग,തവള
त्रयंकी,ഗേബിൾ
लघु त्रयंकी,ഗബ്ലെറ്റ്
गैमबरेल छत,ഗാംബ്രൽ മേൽക്കൂര
गेज (रेल पथ),ഗേജ്
प्रमापन परिच्छेद,അളക്കൽ വിഭാഗം
प्रमापन स्थल,ഗേജിംഗ് സ്റ്റേഷൻ
सामान्य अवस्थापन अनुविक्षेप,പൊതുവായ ലൊക്കേഷൻ പ്ലാൻ
सामान्य संवातन,പൊതു വെന്റിലേഷൻ
संस्तर या ग्ले संस्तर,ജി ചക്രവാളം അല്ലെങ്കിൽ ഗ്ലേ ചക്രവാളം
हिमगोलाश्म मृत्तिका,വരെ ഗ്ലേഷ്യൽ
नाइस,ഗ്നീസ്
माल यार्ड,ഗുഡ്സ് യാർഡ്
प्रवणता प्रतिरोध,ഗ്രേഡിയന്റ് പ്രതിരോധം
ग्रेनाइट,ഗ്രാനൈറ്റ്
दानेदार संरचना,ഗ്രാനുലാർ ഘടന
कणनन,ഗ്രാനുലേഷൻ
दाना,ഗ്രാനുൾ
गृरूत्व जल या मुक्त जल,ഗുരുത്വാകർഷണ ജല രഹിത ജലം
मार्शलिंग गुरुत्वीय यार्ड,ഗുരുത്വാകർഷണ മുറ്റം
बृहत् मृदा समूह,വലിയ മണ്ണ് ഗ്രൂപ്പ്
झंझरी/ग्रिलेज नींव,ഗ്രില്ലേജ് അടിസ്ഥാനം
भूहस्त पथाई,ഗ്രൗണ്ട് ഹാൻഡ് മോൾഡിംഗ്
समूहित गोदी,ഗ്രൂപ്പുചെയ്ത ഡോക്ക്
सामूहिक आवासन,ഗ്രൂപ്പ് ഭവനം
अतिथि कक्ष,അതിഥി മുറി
नाली,ഗട്ടർ
नाली धारक,ഗട്ടർ വഹിക്കുന്നയാൾ
नाली रोधक,ഗട്ടർ പരിശോധന
हथौड़ा गढ़ाई,ചുറ്റിക ഡ്രസ്സിംഗ്
पोताश्रय,തുറമുഖം
आश्रय देने वाले पोताश्रय,അഭയകേന്ദ്രം
कठोर तल,ഹാർഡ് പാൻ
तोड़ा/हैडर,തലക്കെട്ട്
तोड़ा/हैडर चाल,തലക്കെട്ട് ബോണ്ട്
तोड़ा रद्दा,ഹെഡ്ഡർ കോഴ്സ്
मुख फाटक संरचना,ഹെഡ് ഗേറ്റ് ഘടന
नहर का शीर्ष,കനാലിന്റെ തലവൻ
मुख नियंत्रक,ഹെഡ് റെഗുലേറ്റർ
लहरिया चाल,മത്തി അസ്ഥിബന്ധം
भरत,ഹൃദയം
सिक्तन उष्मा,നനവിന്റെ ചൂട്
अक्षि-एल्यूमिना सीमेन्ट,ഉയർന്ന അലുമിന സിമന്റ്
पुट्ठा,ഹിപ്
पुट्ठा मुंडेरी,ഹിപ് ക്യാപ്പിംഗ്
कूट सिरा,ഇടുങ്ങിയ അറ്റം
छत्रक,ഹുഡ്
गढ़ा छत्रक,ഹുഡ് മോൾഡിംഗ്
हुक का नियम,ഹുക്കിന്റെ നിയമം
पत्ती लोहा,വളയം ഇരുമ്പ്
संस्तर/होराइजन,ചക്രവാളം
आद्रीकरण,ഹ്യുമിഡിഫിക്കേഷൻ
निरपेक्ष आद्रता,"ഈർപ്പം, കേവല"
आपेक्षिक आद्रता,"ഈർപ്പം, ആപേക്ഷികം"
हम्प यार्ड,ഹമ്പ് യാർഡ്
द्रवचालित दाब,ഹൈഡ്രോളിക് മർദ്ദം
जलयोजन,ജലാംശം
जल अपघटन,ജലവിശ്ലേഷണം
चल अपघटनी अम्लता,ഹൈഡ്രോലൈറ്റിക് അസിഡിറ്റി
