Punjabi,Bengali
ਐਲਡਰਮੈਨ,অল্ডারম্যান
ਲੁਭਾਉਣੇ ਹਥਿਆਰ,লোভনীয় অস্ত্র
ਦੋਸਤੀ,বন্ধুত্ব
Amphictyonic ਕੌਂਸਲ,অ্যাম্ফিক্টোনিক কাউন্সিল
ਐਮਫਿਕਟੋਨਿਕ ਲੀਗ,Amphictyonic লীগ
ਅਖਾੜਾ,অ্যাম্ফিথিয়েটার
ਅਮਰੀ ਨਲ ਸਮੂਹ (ਮਿੱਟੀ ਦੇ ਭਾਂਡਿਆਂ ਦਾ),আমরি নল দল (মৃৎপাত্রের)
ਐਨਾਕ੍ਰੋਨਿਜ਼ਮ,অ্যানাক্রোনিজম
ਐਨਾਕ੍ਰੋਨਿਸਟਿਕ,অ্যানাক্রোনিস্টিক
ਪੂਰਵਜ,পূর্বপুরুষ
ਪੂਰਵਜ ਦੀ ਪੂਜਾ,পূর্ব পুরুষের পুজা
ਵੰਸ਼,বংশ
ਵੰਸ਼,বংশ
ਵੰਸ਼,বংশ
ਵੰਸ਼,বংশ
ਪ੍ਰਾਚੀਨ ਸ਼ਾਸਨ,প্রাচীন শাসন
ਪ੍ਰਾਚੀਨ,প্রাচীন
ਪ੍ਰਾਚੀਨ ਗੀਤ,প্রাচীন গীতিনাট্য
ਪ੍ਰਾਚੀਨ ਵਿਸ਼ਵਾਸ,প্রাচীন বিশ্বাস
ਪ੍ਰਾਚੀਨ ਰਿਵਾਜ,প্রাচীন রীতি
ਪ੍ਰਾਚੀਨ ਇਤਿਹਾਸ,প্রাচীন ইতিহাস
ਪ੍ਰਾਚੀਨ ਸਮਾਰਕ,প্রাচীন স্মৃতিস্তম্ভ
ਕਿੱਸਾ,উপাখ্যান
ਐਂਜਲੋਟ,অ্যাঞ্জেলট
ਐਂਜਲਸ,এঞ্জেলাস
ਐਂਜੇਵਿਨ (=ਅੰਜੇਵਿਨ),অ্যাঞ্জেভিন (=এনজেভিন)
ਕੋਣ,কোণ
ਐਂਗਲੀਕਨ,অ্যাংলিকান
ਐਂਗਲੀਕਨ ਕਮਿਊਨੀਅਨ,অ্যাংলিকান কমিউনিয়ন
ਐਂਗਲੀਕਨਵਾਦ,অ্যাংলিকানিজম
ਐਂਗਲੋ-ਫੋਬ,অ্যাংলো-ফোব
ਐਂਗਲੋ-ਫੋਬੀਆ,অ্যাংলো-ফোবিয়া
ਐਂਗਲੋ-ਸੈਕਸਨ,অ্যাংলো-স্যাক্সন
ਐਂਗਲੋ-ਸੈਕਸੋਨਿਜ਼ਮ,অ্যাংলো-স্যাক্সোনিজম
ਐਨਾਲਿਸਟ,অ্যানালিস্ট
ਇਤਿਹਾਸ,ইতিহাস
ਅਨੇਕਸ਼ਨ,সংযোজন
ਐਂਟੀ-ਬੇਲਮ,এন্টে-বেলাম
ਪਿਛਲੀ ਤਾਰੀਖ,তারিখের আগে
ਵਿਰੋਧੀ ਮੌਲਵੀਵਾਦ,করণিকবাদ বিরোধী
ਕਲੈਰੀਕਲ ਵਿਰੋਧੀ ਕਾਨੂੰਨ,অ্যান্টি-ক্লারিক্যাল আইন
ਪੁਰਾਤਨਤਾ,প্রাচীনত্ব
ਵਿਰੋਧੀ ਕਿਰਾਇਆ,ভাড়া বিরোধী
ਵਿਰੋਧੀ ਕਿਰਾਇਆ,ভাড়া বিরোধী
ਵਿਰੋਧੀ ਸਾਮੀਵਾਦ,সেমিটিজম বিরোধী
ਐਨਜ਼ੈਕ,আনজাক
ਅਪੇਲਾ,আপেলা
ਅਰਲੂ,আরালু
ਆਰਕ ਬਿਸ਼ਪ,আর্চ বিশপ
ਆਰਕ ਡਚੀ,আর্চ ডুচি
ਆਰਕ ਡਿਊਕ,আর্চ ডিউক
ਪੁਰਾਲੇਖ (=ਪੁਰਾਲੇਖ ਸੰਗ੍ਰਹਿ),আর্কিফ (= আর্কাইভাল সংগ্রহ)
ਆਰਚੀਪੀਸਕੋਪੇਟ,আর্কিপিস্কোপেট
ਕੁਲੀਨ,আভিজাত্য
ਰਈਸ,অভিজাত
ਕੁਲੀਨ ਸਨੋਬਰੀ,আভিজাত্য স্নোবারি
ਅਰਿਸਟੋਟਲੀਅਨ,এরিস্টটলীয়
ਆਰਮਾਡਾ,আরমাডা
ਆਰਮਾਡਾ (= ਸਪੇਨੀ ਆਰਮਾਡਾ),আরমাদা (=স্প্যানিশ আরমাদা)
ਸ਼ਸਤਰਧਾਰਕ (=ਸ਼ਸਤਰਧਾਰਕ),আর্মোরিস্ট (= আর্মারিস্ট)
ਸ਼ਸਤ੍ਰ (= ਸ਼ਸਤ੍ਰ),বর্ম (= বর্ম)
ਸ਼ਸਤਰਧਾਰਕ,আর্মারিস্ট
ਆਰੀਅਨ,আরিয়ান
ਆਰੀਅਨ,আরিয়ান
ਅਸਕਰੀ,আসকারী
ਅਸਾਈਨੈਟ,বরাদ্দ
ਅਸਾਈਜ਼,সহায়তা
ਅਸਾਈਜ਼,সহায়তা
ਅਸਾਈਜ਼,সহায়তা
ਅਸਲਾ ਐਕਟ ਦੀ ਸਹਾਇਤਾ,অস্ত্র আইনের সহায়তা
ਡੈਰੇਨ ਪ੍ਰੈਜ਼ੈਂਟਮੈਂਟ ਦੀ ਸਹਾਇਤਾ,ড্যারিন প্রেজেন্টমেন্টের সহায়তা
ਮੋਰਟ &#39;ਡੀ&#39; ਪੂਰਵਜ ਦੀ ਸਹਾਇਤਾ,মর্ট &#39;ডি&#39; পূর্বপুরুষের সহায়তা
ਨਾਵਲ ਡੀਸੀਸਿਨ ਦੀ ਸਹਾਇਤਾ,নভেল ডিসিসিনের অ্যাসাইজ
ਅੱਤਿਆਚਾਰ,নৃশংসতা
ਹਮਲਾ,আক্রমণ
ਔਲਿਕ ਕੌਂਸਲ,অলিক কাউন্সিল
ਦੇਵੀ ਦੀ ਕੁਹਾੜੀ (= ਦੇਵੀ ਦੀ ਕੁਹਾੜੀ),দেবীর কুঠার (=দেহী কুঠার)
ਐਕਸਿਸ (=ਰੋਮ-ਬਰਲਿਨ-ਟੋਕੀਓ ਐਕਸਿਸ),অক্ষ (=রোম-বার্লিন-টোকিও অক্ষ)
ਬਾਬਲ,ব্যাবিলন
ਬਾਬਲੀ ਗ਼ੁਲਾਮੀ (=ਬੇਬੀਲੋਨ ਦੀ ਗ਼ੁਲਾਮੀ),ব্যাবিলনীয় বন্দিত্ব (=ব্যাবিলনীয় বন্দিত্ব)
ਬਚਨਲ ਭਗਤ,বাচনাল ভক্ত
ਬਚਨਲਿਆ,বাচনালিয়া
ਕੁਆਰਾ,ব্যাচেলর
ਬਗਦਾਦ ਸਮਝੌਤਾ,বাগদাদ চুক্তি
ਬਾਲਕਨ ਲੀਗ,বলকান লীগ
ਬਾਲਕਨ ਸਮਝੌਤਾ,বলকান চুক্তি
ਬਾਲਕਨ ਯੁੱਧ,বলকান যুদ্ধ
ਬਾਲਟਿਕ ਸਮਝੌਤਾ,বাল্টিক চুক্তি
ਡਾਕੂ,দস্যু
ਬੈਂਡੁੰਗ ਕਾਨਫਰੰਸ,বান্দুং সম্মেলন
ਦੇਸ਼ ਨਿਕਾਲੇ,নির্বাসন
ਬੈਨਰ,ব্যানার
ਵਹਿਸ਼ੀ,অসভ্য
ਬਾਰਬੀਕਨ,বারবিকান
ਬਾਰਡੋਲੀ ਸੱਤਿਆਗ੍ਰਹਿ,বারদোলী সত্যাগ্রহ
ਬਾਰਨ ਬਰਨਰ,শস্যাগার বার্নার্স
ਬੈਰਨ,ব্যারন
ਬੈਰੋਨੇਜ,ব্যারোনেজ
ਬੈਰੋਨਸ ਮੇਜਰਸ,ব্যারনস মেজরস
ਬੈਰੋਨਸ ਨਾਬਾਲਗ,ব্যারোনস মাইনরস
ਬੈਰੋਨੇਸ,ব্যারনেস
ਬੈਰੋਨੇਟ,ব্যারোনেট
ਬੈਰੋਨੇਟੇਜ,ব্যারোনেটেজ
ਬੈਰੋਨੇਟੇਜ,ব্যারোনেটেজ
ਬੈਰੋਨੇਟਸੀ,ব্যারোনেটসি
ਬੈਰੋਨੀ,ব্যারনি
ਬੈਰਾਕੂਨ,ব্যারাকুন
ਬੈਰਾਕੂਨ,ব্যারাকুন
ਬੈਰੀਕੇਡ (= ਬੈਰੀਕੇਡੋ),ব্যারিকেড (=ব্যারিকেড)
ਬੈਰੀਕੇਡ (= ਬੈਰੀਕੇਡੋ),ব্যারিকেড (=ব্যারিকেড)
ਬੈਰੀਕੇਡ (= ਬੈਰੀਕੇਡੋ),ব্যারিকেড (=ব্যারিকেড)
ਬੇਸ ਕੈਂਪ,সেনাঘাঁটি
ਬੇਸਿਲਿਕਾ,ব্যাসিলিকা
ਬੇਸਿਲਿਕਾ,ব্যাসিলিকা
ਬਸਤੀਲਾ,বাস্তিলা
ਬੈਸਟਿਲ,বাস্তিল
ਬੈਸਟਿਲ,বাস্তিল
ਬੈਟਰੀ,ব্যাটারি
ਲੜਾਈ,যুদ্ধ
ਬੈਟਲੇ-ਐਰੇ,ব্যাটলে-অ্যারে
ਲੜਾਈ ਦਾ ਰੋਣਾ,যুদ্ধ কান্না
ਲੜਾਈ ਦੀਨ,যুদ্ধ দিন
ਲੜਾਈ ਦਾ ਮੈਦਾਨ,যুদ্ধক্ষেত্র
ਲੜਾਈ ਦਾ ਭਜਨ,যুদ্ধের স্তব
ਸਪਰਸ ਦੀ ਲੜਾਈ,স্পার্সের যুদ্ধ
ਸਟੈਂਡਰਡ ਦੀ ਲੜਾਈ,স্ট্যান্ডার্ড যুদ্ধ
ਬੈਟਲਸ਼ਿਪ,যুদ্ধজাহাজ
ਬੈਟਲਸ਼ਿਪ-ਤਾਕਤ,যুদ্ধজাহাজ-শক্তি
Bayeux tapestry,Bayeux ট্যাপেস্ট্রি
ਬੀਕਨ,বীকন
ਬੀਕਨ ਟਾਵਰ,বীকন টাওয়ার
ਬੀਵਰ,বিভার
ਬੀਵਰ,বিভার
ਸਮੁੰਦਰ ਦੇ ਭਿਖਾਰੀ,সমুদ্রের ভিক্ষুক
ਬੇਲੀਕੋਜ਼,বেলিকোস
ਬੇਲੀਕੋਸ,বেলিকোস
ਬੇਲੀਕੋਜ਼,বেলিকোস
ਬੇਲੀਕੋਸਿਟੀ,বেলিকোসিটি
ਬੇਲੋਨਾ,বেলোনা
ਲਾਭ,উপকারিতা
ਪਾਦਰੀਆਂ ਦਾ ਲਾਭ,যাজকদের সুবিধা
ਬੇਨੇਲਕਸ,বেনেলাক্স
ਬਰਲਿਨ ਫ਼ਰਮਾਨ,বার্লিন ডিক্রি
ਬੇਸਰਕਰ,বেসার
ਬੇਸੰਤ (=ਬੇਜ਼ੰਤ),বেসান্ট (=বেজেন্ট)
ਬੈਥਲ,বেথেল
ਬਾਈਬਲੀਓਲੇਟਰ,বিবিলিওলেটর
ਬਿਬਲਿਓਲਾਟਰੀ,বিবিলিওলাট্রি
ਵੱਡੀ ਬਰਥਾ,বিগ বার্থা
ਬਿਗੌਟ,বিগট
ਬਿਲੀਟਿੰਗ,বিলেটিং
ਅਟੈਂਡਰ ਦਾ ਬਿੱਲ,অ্যাটেন্ডারের বিল
ਅਧਿਕਾਰਾਂ ਦਾ ਬਿੱਲ,অধিকার বিল
ਜੀਵਨੀਕਾਰ,জীবনীকার
ਜਨਮ ਕਹਾਣੀਆਂ,জন্মের গল্প
ਬਿਵੁਆਕ,বিভাক
ਬਿਵੁਆਕ,বিভাক
ਬਿਵੁਆਕ,বিভাক
ਬਿਜੋਨੀਆ,বিজোনিয়া
ਕਾਲਾ ਪੰਛੀ,কালো পাখি
ਕਾਲਾ ਝੰਡਾ,কালো পতাকা
ਕਾਲਾ ਮੋਰੀ,কৃষ্ণ গহ্বর
ਕਾਲਾ ਮੋਰੀ,কৃষ্ণ গহ্বর
ਕਾਲੀ ਲੱਤ (= ਖੁਰਕ),কালো পা (= স্ক্যাব)
ਕਾਲੀ ਕਮੀਜ਼,কালো শার্ট
ਬਲੇਜ਼ਨ,ব্লাজন
ਬਲੇਜ਼ਨ,ব্লাজন
ਧਮਾਕੇਦਾਰ,ব্লাজনরি
ਧਮਾਕੇਦਾਰ,ব্লাজনরি
ਬਲਿਟਜ਼ਕਰੀਗ,Blitzkrieg
ਖੂਨ ਰਹਿਤ ਇਨਕਲਾਬ (= ਸ਼ਾਨਦਾਰ ਇਨਕਲਾਬ),রক্তহীন বিপ্লব (=গৌরবময় বিপ্লব)
ਬਲੱਡਵਾਈਟ,ব্লাডওয়াইট
ਖੂਨੀ ਮੈਰੀ,ব্লাডি মেরি
ਨੀਲਾ,নীল
ਨੀਲਾ ਖੂਨ,আভিজাত্য
ਨੀਲੀ ਕਿਤਾਬ,নীল বই
ਨੀਲਾ ਰਿਬਨ,নীল পটি
ਨੀਲਾ ਰਿਬਨ,নীল পটি
ਬਲੂਜ਼ (=ਰਾਇਲ ਹਾਰਸ ਗਾਰਡ),ব্লুজ (=রয়্যাল হর্স গার্ড)
ਨੀਲੀ ਕਮੀਜ਼,নীল শার্ট
ਬਲੂ ਵਾਟਰ ਸਕੂਲ,ব্লু ওয়াটার স্কুল
ਕੰਟਰੋਲ ਬੋਰਡ,নিয়ন্ত্রণ বোর্ড
ਸਰੀਰ ਦੇ ਬਸਤ੍ਰ,শরীরবর্ম
ਬੋਅਰ,বোয়ার
ਲੁੱਟ,লুঠ
ਬੋਰੋ,বরো
ਬੁਲੇਉਟੇਰੀਅਨ,বুলিউটেরিয়ন
ਬੋਰਬਨ,বোরবন
ਮੁੱਕੇਬਾਜ਼ ਬਗਾਵਤ,বক্সার বিদ্রোহ
ਬ੍ਰੇਸ,বন্ধনী
ਬ੍ਰਾਸਾਰਡ,ব্রাসার্ড
ਬ੍ਰਾਸਾਰਡ,ব্রাসার্ড
ਰੋਟੀ ਦੀਆਂ ਬਸਤੀਆਂ,রুটি উপনিবেশ
ਛਾਤੀ ਪਲੇਟ,ব্রেস্ট প্লেট
ਛਾਤੀ ਦਾ ਕੰਮ,স্তনের কাজ
ਬਰੇਟਵਾਲਡਾ,ব্রেটওয়াল্ডা
ਬ੍ਰਿਗੈਂਡ,ব্রিগ্যান্ড
ਬ੍ਰਿਗੇਂਡੇਜ,ব্রিগ্যান্ডেজ
ਬ੍ਰਿਟਿਸ਼ ਕਾਮਨਵੈਲਥ ਆਫ ਨੇਸ਼ਨਜ਼,ব্রিটিশ কমনওয়েলথ অফ নেশনস
ਭੂਰੇ ਰੰਗ ਦੀਆਂ ਕਮੀਜ਼ਾਂ (=ਨਾਜ਼ੀਆਂ),ব্রাউন শার্ট (=নাৎসি)
ਬ੍ਰਸੇਲਜ਼ ਸੰਧੀ (ਪੈਕਟ) ਸੰਗਠਨ (= ਪੱਛਮੀ ਯੂਰਪੀਅਨ ਯੂਨੀਅਨ),ব্রাসেলস চুক্তি (চুক্তি) সংস্থা (=পশ্চিম ইউরোপীয় ইউনিয়ন)
ਮੱਝ,বাফ
ਮੱਝ,বাফ
ਮੱਝ-ਕੋਟ,বাফ-কোট
ਮੱਝਾਂ,বাফস
ਬੁਲੇ (=ਕੌਂਸਲ),বুলে (= পরিষদ)
ਬਰਗੇਜ,বার্গেজ
ਬਰਗੇਸ,বার্গেস
ਬਿਜ਼ੰਤੀਨੀ,বাইজেন্টাইন
ਬਿਜ਼ੰਤੀਨੀ ਚਰਚ,বাইজেন্টাইন গির্জা
ਬਿਜ਼ੰਤੀਨੀ ਸਾਮਰਾਜ,বাইজেন্টাইন সাম্রাজ্য
ਬਿਜ਼ੰਤੀਨੀ ਯੁੱਗ,বাইজেন্টাইন যুগ
ਬਿਜ਼ੰਤੀਨੀ ਇਤਿਹਾਸਕਾਰ,বাইজেন্টাইন ইতিহাসবিদ
ਕਾਬਲ,ক্যাবল
ਕੈਸਰਵਾਦ,সিজারিজম
ਖਲੀਫਾ,খলিফা
ਕੈਲੀਗ੍ਰਾਫਰ,ক্যালিগ্রাফার
ਕੈਲੀਗ੍ਰਾਫਿਸਟ,ক্যালিগ্রাফিস্ট
ਕੈਲੀਗ੍ਰਾਫੀ,ক্যালিগ্রাফি
ਕੈਲਟ੍ਰੋਪ,ক্যালট্রপ
ਦੋਸਤੀ,বন্ধুত্ব
ਕੈਮਰਿਲਾ,ক্যামারিলা
ਕੈਮਰਿਲਾ,ক্যামারিলা
ਕੈਮਲੌਕਮ,ক্যামেলাউকাম
ਕੈਮੋਫਲੇਜ,ছদ্মবেশ
ਮੁਹਿੰਮ,প্রচারণা
ਕੈਂਪ ਫਾਲੋਅਰ,শিবিরের অনুসারী
ਕੈਂਪੋ ਸੈਂਟੋ,ক্যাম্পো সান্টো
ਕੈਂਪਸ ਮਾਰਟੀਅਸ,ক্যাম্পাস মার্টিয়াস
ਕੈਨੇਫੋਰਾ,ক্যানেফোরা
ਕੈਂਗੂ,ক্যাঙ্গু
ਕੈਨੋਨੇਡ,কামান
ਤੋਪ ਚਾਰਾ,কামানের খাদ্যরুপে পরিগণিত মানুষ
ਕੈਨਨ,ক্যানন
ਕੈਨਨ ਕਾਨੂੰਨ,ক্যানন আইন
ਕੈਨੋਪਸ ਫ਼ਰਮਾਨ,ক্যানোপাস ডিক্রি
ਕੈਂਟਿੰਗ ਹਥਿਆਰ,ক্যান্টিং অস্ত্র
ਬੰਦੀ,বন্দী
ਕੈਪਟਰ,বন্দী
ਕਾਰਡੀਨਲ,মৌলিক
ਕਾਰਲ,কার্ল
ਕੈਰੋਲਿੰਗੀਅਨ ਰਾਜਵੰਸ਼,ক্যারোলিংজিয়ান রাজবংশ
ਕਾਰਥੁਸੀਅਨ ਸੰਪਰਦਾ,কার্থুসিয়ান সম্প্রদায়
ਕਾਰਟੋਸਾ,কার্টোসা
ਕੈਸਟਲੀਅਨ,কাস্টেলীয়
ਕੈਸਟਲੀਅਨ,কাস্টেলীয়
ਜਾਤ ਪ੍ਰਣਾਲੀ,বর্ণপ্রথা
ਕਿਲ੍ਹਾ,দুর্গ
ਕਿਲ੍ਹਾ,দুর্গ
ਕੈਸਲ ਸ਼ਹਿਰ,দুর্গ শহর
ਕਾਸਟਰਾ,কাস্ত্রা
ਕਾਸਟਰਾ,কাস্ত্রা
ਕੈਥੇਡਰਾ,ক্যাথেড্রা
ਗਿਰਜਾਘਰ,ক্যাথিড্রাল
ਕੈਟੋ ਸਟ੍ਰੀਟ ਸਾਜ਼ਿਸ਼,ক্যাটো স্ট্রিট ষড়যন্ত্র
ਕਾਉਡੀਲੋ,কাউডিলো
ਕੈਵਲੀਅਰ,অশ্বারোহী
ਕੈਵਲੀਅਰ,অশ্বারোহী
ਕੈਵਲੀਅਰ ਸੰਸਦ,অশ্বারোহী সংসদ
ਅਦੁੱਲਮ ਦੀ ਗੁਫਾ,আদুল্লামের গুহা
ਗੁਫਾ ਚਿੱਤਰਕਾਰੀ,গুহাচিত্র
ਗੁਫਾ ਚਿੱਤਰਕਾਰੀ,গুহাচিত্র
ਸੇਂਟਮਵੀਰ,সেন্টুমভির
ਸੈਂਚੁਰੀਅਨ,সেঞ্চুরিয়ান
ਸਦੀ,সেঞ্চুরি
ਚੇਨ ਆਰਮਰ (= ਚੇਨ ਮੇਲ),চেইন আর্মার (= চেইন মেইল)
ਛੰਤਰੀ,চ্যানট্রি
ਛੰਤਰੀ,চ্যানট্রি
ਚੈਪ ਕਿਤਾਬ,চ্যাপ বই
ਪਾਦਰੀ,চ্যাপলিন
ਅਧਿਆਇ,অধ্যায়
ਹਾਦਸਿਆਂ ਦਾ ਅਧਿਆਇ,দুর্ঘটনার অধ্যায়
ਚਾਰਜ,চার্জ
ਚਾਰਜ ਡੀ,চার্জ ডি অ্যাফেয়ার্স
ਚਾਰਜ ਵਿਭਾਜਨ,চার্জ বিভাজন
ਚਾਰਜਰ,চার্জার
ਰੱਥ,রথ
ਰੱਥ,সারথি
ਰੱਥ,সারথি
ਰੱਥ,সারথি
ਚੈਰਿਟੀ ਰਸੋਈ,দাতব্য রান্নাঘর
ਚਾਰਟਰ,সনদ
ਚਾਰਟਿਸਟ ਅੰਦੋਲਨ (=ਚਾਰਟਿਜ਼ਮ),চার্টিস্ট আন্দোলন (=চার্টিজম)
ਚਾਰਟੋਫਾਈਲੇਸ਼ੀਅਮ,চার্টোফাইলাসিয়াম
Chateau,Chateau
ਚੈੱਕ ਪੋਸਟ,চেক পোস্ট
ਰਸਾਇਣਕ ਯੁੱਧ,রাসায়নিক যুদ্ধ
ਚੈਸਟਰ,চেস্টার
ਮੁੱਖ,প্রধান
ਸਰਦਾਰ,প্রধান
ਸਰਦਾਰ,প্রধান
ਸਰਦਾਰ,প্রধান
ਸ਼ਿਫੋਨ,শিফন
ਸ਼ਿਸ਼ਟਾਚਾਰ,বীরত্ব
ਚੁਣੇ ਹੋਏ ਲੋਕ,নির্বাচিত মানুষ
ਕ੍ਰਿਸਮੋਗ੍ਰਾਫੀ,ক্রিসমোগ্রাফিয়ন
ਈਸਾਈ-ਜਗਤ,খ্রিস্টধর্ম
ਈਸਾਈ ਯੁੱਗ,খ্রিস্টীয় যুগ
ਈਸਾਈ ਸਮਾਜਵਾਦ,খ্রিস্টান সমাজতন্ত্র
ਇਤਹਾਸ,ক্রনিকল
ਇਤਿਹਾਸਕਾਰ,ক্রনিকলার
Chryse Chersonese,Chryse Chersonese
ਸਿਮਲੀਅਮ,সিমেলিয়াম
Cinquecento ਸ਼ੈਲੀ,সিনকুয়েসেন্টো স্টাইল
ਸਰਕਮਨੇਵੀਗੇਸ਼ਨ,পরিক্রমা
ਸਿਸਟਰਸੀਅਨ ਭਿਕਸ਼ੂ,সিস্টারসিয়ান সন্ন্যাসী
ਕਿਲਾ,সিটাডেল
ਹਵਾਲਾ,উদ্ধৃতি
ਹਵਾਲਾ,উদ্ধৃতি
ਸਿਵਲ ਅਣਆਗਿਆਕਾਰੀ,আইন অমান্য
ਸਿਵਲ ਯੁੱਧ,গৃহযুদ্ধ
ਸਿਵਿਸ ਰੋਮਨਸ,সিভিস রোমানাস
ਕਲਾਸੀਕਲ ਉਮਰ,শাস্ত্রীয় বয়স
ਕਲੀਫ਼ਟ (=ਕਲੇਫ਼ਟ),ক্লেফ্ট (=ক্লেফ্ট)
ਕਲਰਕਵਾਦ,কেরানিবাদ
ਕਲਰਚ,ক্লারাচ
ਕਲੀਨਿਕ ਅੰਦੋਲਨ,ক্লুনিয়াক আন্দোলন
ਕੋਟ ਸ਼ਸਤ੍ਰ,কোট বর্ম
ਹਥਿਆਰਾਂ ਦਾ ਕੋਟ,অস্ত্রের কোট
ਹਥਿਆਰਾਂ ਦਾ ਕੋਟ,অস্ত্রের কোট
ਹਥਿਆਰਾਂ ਦਾ ਕੋਟ,অস্ত্রের কোট
ਡਾਕ ਦਾ ਕੋਟ,ডাকের কোট
ਸਮੂਹ,সমদল
ਕੋਮੀਟੀਆ,কমিটিয়া
Comitia Centuriata,Comitia Centuriata
Comitia Curiata,কমিটিয়া কুরিয়াটা
ਕੋਮੀਟੀਆ ਟ੍ਰਿਬੂਟਾ,Comitia Tributa
ਯਾਦਗਾਰੀ arch,স্মারক খিলান
ਯਾਦਗਾਰੀ ਸਿੱਕਾ,স্মারক মুদ্রা
ਯਾਦਗਾਰੀ ਮੋਹਰ,স্মারক সীলমোহর
ਆਮ ਖੇਤਰ,সাধারণ ক্ষেত্র
Communard,কমুনার্ড
ਕਨਕੋਰਡੈਟ,কনকর্ড্যাট
ਕਨਕੋਰਡੈਟ,কনকর্ড্যাট
ਕੰਡੋਟੀਏਰ,কনডোটিয়ের
ਪੁਸ਼ਟੀਕਰਣ ਕਾਰਟਾਰਮ,নিশ্চিতকরণ Cartarum
ਟਕਰਾਅ,দ্বন্দ্ব
ਮੰਡਲੀ,ধর্মসভা
ਜਿੱਤਣ ਵਾਲਾ ਰਾਜ,বিজয়ী রাষ্ট্র
ਜੇਤੂ,বিজয়ী
ਵਿਜੇਤਾ,বিজয়ী
ਕੌਸਿਲਿਅਮ,কনসিলিয়াম
ਕੰਸਿਸਟਰੀ,কনসিস্টরি
ਸਾਜ਼ਿਸ਼,ষড়যন্ত্র
ਸਾਜ਼ਿਸ਼,ষড়যন্ত্র
ਕੌਂਸਲੇਟ,কনস্যুলেট
ਸਲਾਹ-ਮਸ਼ਵਰੇ ਦੀ ਕਿਤਾਬ,কনসুলেশন বই
ਮਹਾਂਦੀਪੀ ਪ੍ਰਣਾਲੀ,মহাদেশীয় ব্যবস্থা
