Odiya,Telugu
ଆକାଶବାଣୀ ପ୍ରତିରୋଧ |,శబ్ద ఇంపెడెన్స్
ଆକାଶବାଣୀ ମାସ୍କିଂ |,ఎకౌస్టిక్ మాస్కింగ్
ଆକାଶବାଣୀ ଶକ୍ତି |,శబ్ద శక్తి
ଆକାଶବାଣୀ ସମ୍ପତ୍ତି |,శబ్ద ఆస్తి
ଆକାଶବାଣୀ ପ୍ରତିକ୍ରିୟା |,శబ్ద ప్రతిచర్య
ଆକାଶବାଣୀ ପ୍ରତିଫଳନ |,ఎకౌస్టిక్ రిఫ్లెక్స్
ଆକାଶବାଣୀ ଟାଇଲ୍ |,శబ్ద టైల్
ଆକାଶବାଣୀ ତରଙ୍ଗ |,శబ్ద వేవ్
ଆକାଶବାଣୀ ଅବଶୋଷଣ |,శబ్ద శోషణ
ଆକାଶବାଣୀ ଆଟେନେସନ୍ ସ୍ଥିର |,శబ్ద అటెన్యుయేషన్ స్థిరాంకం
ଆକାଶବାଣୀ ଡମ୍ପିଂ |,శబ్ద డంపింగ్
ଆକାଶବାଣୀ ବିଳମ୍ବ ରେଖା |,శబ్ద ఆలస్యం రేఖ
ଆକାଶବାଣୀ ବିକୃତି |,శబ్ద వక్రీకరణ
ଆକାଶବାଣୀ ନଳୀ |,శబ్ద వాహిక
ଆକାଶବାଣୀ ଶକ୍ତି |,శబ్ద శక్తి
ଆକାଶବାଣୀ ମତାମତ |,శబ్ద అభిప్రాయం
ଆକାଶବାଣୀ ଫିଲ୍ଟର |,శబ్ద వడపోత
ଆକାଶବାଣୀ ପ୍ରତିରୋଧକ |,శబ్ద ఇంపెడెన్స్
ଆକାଶବାଣୀ ପ୍ରଚାର ସ୍ଥିର |,శబ్ద ప్రచారం స్థిరాంకం
ଆକାଶବାଣୀ ପ୍ରତିରୋଧ |,శబ్ద నిరోధకత
ଆକାଶ ଭାବରେ ଇନସୁଲେଡ୍ |,శబ్దపరంగా ఇన్సులేట్ చేయబడింది
ଆକାଶବାଣୀ |,ధ్వని
ଅଧିଗ୍ରହଣ,సముపార్జన
ଆକ୍ରୋନିମ୍ |,ఎక్రోనిం
କ୍ରିୟା କ୍ଷେତ୍ର,కార్యాచరణ ప్రాంతం
ସକ୍ରିୟ ଚିଲାମେଣ୍ଟ |,సక్రియం చేయబడిన ఫిలమెంట్
ସକ୍ରିୟ,క్రియాశీల
ସକ୍ରିୟ କ୍ଷେତ୍ର,క్రియాశీల ప్రాంతం
ସକ୍ରିୟ ୱିଣ୍ଡୋ |,క్రియాశీల విండో
ଅନୁକେତ,అనుకూలత
ଆଡାପ୍ଟର (ଆଡାପ୍ଟର),అడాప్టర్
ଆଡାପ୍ଟିଭ୍ ଡିଫେରିଏଲ୍ ପଲ୍ସ କୋଡ୍ ମୋଡୁଲେସନ୍ |,అడాప్టివ్ డిఫరెన్షియల్ పల్స్ కోడ్ మాడ్యులేషన్
ଠିକଣା ବହି,చిరునామా పుస్తకం
ଠିକଣା ବସ୍,చిరునామా బస్సు
ଠିକଣା ରେଜୋଲୁସନ,చిరునామా తీర్మానం
ସଂଲଗ୍ନ ଚ୍ୟାନେଲର ହସ୍ତକ୍ଷେପ |,ప్రక్కనే ఉన్న ఛానల్ జోక్యం
ସଂଲଗ୍ନ ଚ୍ୟାନେଲ ଚୟନ,ప్రక్కనే ఉన్న ఛానల్ సెలెక్టివిటీ
ସଂଲଗ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି |,ప్రక్కనే ఉన్న ఫ్రీక్వెన్సీ
ସଂଲଗ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି ଚ୍ୟାନେଲ |,ప్రక్కనే ఉన్న ఫ్రీక్వెన్సీ ఛానల్
ସଂଲଗ୍ନ ଚିତ୍ର ବାହକ |,ప్రక్కనే ఉన్న పిక్చర్ క్యారియర్
ସଂଲଗ୍ନ ସାଉଣ୍ଡ ବାହକ |,ప్రక్కనే ఉన్న సౌండ్ క్యారియర్
ସଂଲଗ୍ନ ଷ୍ଟେସନ |,ప్రక్కనే ఉన్న స్టేషన్
ନିୟନ୍ତ୍ରିତ,సర్దుబాటు
ନିୟନ୍ତ୍ରିତ କଣ୍ଡେନ୍ସର୍ |,సర్దుబాటు కండెన్సర్
ଚାପକୁ ସଜାଡିବା |,సర్దుబాటు ఒత్తిడిని
ରେଞ୍ଚ ଆଡଜଷ୍ଟ କରିବା |,రెంచ్ సర్దుబాటు
ଆଡଜଷ୍ଟମେଣ୍ଟ୍,సర్దుబాటు
ପ୍ରଶାସକ,నిర్వాహకుడు
ଉନ୍ନତ ଟେକ୍ନୋଲୋଜି |,అధునాతన సాంకేతిక పరిజ్ఞానం
ବାୟୁ,ఆకాశయాన
ଏରିଲ୍ ଆରେ |,వైమానిక శ్రేణి
ଏରିଲ୍ ବୁଷ୍ଟର୍ |,వైమానిక బూస్టర్
ଏରିଲ୍ କରେଣ୍ଟ୍ |,వైమానిక ప్రవాహం
ଏରିଲ୍ ମାଟିଙ୍ଗ୍ ସୁଇଚ୍ |,వైమానిక ఎర్తింగ్ స్విచ్
ଏରିଲ୍ ଦକ୍ଷତା |,వైమానిక సామర్థ్యం
ଏରିଲ୍ ଇନପେଟେନ୍ସ |,వైమానిక ఇంపెడెన్స్
ଏରିଲ୍ ଇଣ୍ଡିକାନ୍ସ |,వైమానిక ఇండక్టెన్స్
ଏରିଆଲ୍ ଇନସୁଲେଟର |,వైమానిక అవాహకం
ଏରିଆଲ୍ ଲୋଡିଂ କୋଇଲ୍ |,వైమానిక లోడింగ్ కాయిల్
ଏରିଲ୍ ଫଟୋଗ୍ରାଫି |,వైమానిక ఫోటోగ్రఫీ
ଏରିଲ୍ ଶକ୍ତି |,వైమానిక శక్తి
ଏରିଆଲ୍ ବିକିରଣର ଲାଭ |,వైమానిక రేడియేషన్ రీస్టెన్స్
ଏରିୟାଲ୍ ପ୍ରତିକ୍ରିୟା |,వైమానిక ప్రతిచర్య
ଏରୋଡାଇନାମିକ୍ସ,ఏరోడైనమిక్స్
ସଂସ୍ଥା,ఏజెన్సీ
ବାୟୁ କମ୍ପ୍ରେସାକ୍ର,వాయువుని కుదించునది
ବାୟୁ କଣ୍ଡନସର୍ |,ఎయిర్ కండెన్సర్
ବାୟୁ ଥଣ୍ଡା,గాలి చల్లబడింది
ବାୟୁ କୋଡ୍ କୋଇଲ୍ |,ఎయిర్ కోర్డ్ కాయిల్
Accometication,ఎయిర్ కండిషనింగ్
ଆଲବେଡୋ |,ఆల్బెడో
ଆଲଗୋରିଦମ,అల్గోరిథం
ଛଦ୍ମନାମ,అలియాసింగ్
ମିଶ୍ରଣ,సమలేఖనం
ପରିଚାଳିତ,అమరిక
ସମସ୍ତ ତରଙ୍ଗ ବାୟୁ |,అన్ని వేవ్ వైమానిక
ଆବଣ୍ଟନ,కేటాయింపు
ବର୍ଣ୍ଣାନୁକ୍ରମିକ,అక్షరాలు
ବର୍ଣ୍ଣମାଳା,ఆల్ఫాన్యూమరిక్
ବର୍ଣ୍ଣମାଳା ଚରିତ୍ର |,ఆల్ఫాన్యూమరిక్ పాత్ర
ବର୍ଣ୍ଣମାଳା ସୂଚନା,ఆల్ఫాన్యూమరిక్ సమాచారం
ବିକଳ୍ପ ସାମ୍ପ୍ରତିକ (AC.),ప్రత్యామ్నాయ కరెంట్ (a.c.)
ବିକଳ୍ପ,ప్రత్యామ్నాయం
Atternator,ఆల్టర్నేటర్
ଉଚ୍ଚତା,ఎత్తు
ଆପୋଜି ର ଉଚ୍ଚତା |,పొక్కు ఎత్తు
PERIGEE ର ଉଚ୍ଚତା |,మూత యొక్క ఎత్తు
ଆମୋଦିତ ରେଡିଓ ଯୋଗାଯୋଗ |,Te త్సాహిక రేడియో కమ్యూనికేషన్
ଅଭିଳାଷୀ |,వాతావరణం
ଆମ୍ବିଏନ୍ସ ମାଇକ୍ରୋଫୋନ୍ |,వాతావరణ మైక్రోఫోన్
ପରିବେଶ ସର୍ତ୍ତ,పరిసర పరిస్థితి
ପରିବେଶ ଆଲୋକ |,పరిసర లైటింగ్
ଆମ୍ବିକ୍ ଶବ୍ଦ,పరిసర శబ్దం
ପରିବେଶ ତାପମାତ୍ରା |,పరిసర ఉష్ణోగ్రత
ଆମେରିକୀୟ ମାନକ କୋଡ୍ |,అమెరికన్ స్టాండర్డ్ కోడ్
ଆମ୍ପେର୍,Ampere
ଆମ୍ପେର୍ ମିଟର |,ఆంపియర్ మీటర్
ବୃଦ୍ଧି,విస్తరణ
Amplfication ଫ୍ୟାକ୍ଟର୍ |,యాంప్లిఫికేషన్ కారకం
ଏମ୍ପ୍ଲିଫାୟର୍,యాంప్లిఫైయర్
ଏମ୍ପ୍ଲିଫାୟର୍ ଲାଭ |,యాంప్లిఫైయర్ లాభం
ଏମ୍ପ୍ଲିଫାୟର୍ ଶବ୍ଦ |,యాంప్లిఫైయర్ శబ్దం
ଯନ୍ତ୍ରପାତି ଯନ୍ତ୍ରପାତି |,పరికరాలను విస్తరించడం
କାଲିଷ୍ଟ୍ରନ୍,క్లైస్ట్రాన్ విస్తరించడం
Amplifying ୟୁନିଟ୍ |,యాంప్లిఫైయింగ్ యూనిట్
ପ୍ରଶସ୍ତତା,వ్యాప్తి
ପ୍ରସଙ୍ଗଯୁକ୍ତ ବିକୃତି |,వ్యాప్తి వక్రీకరణ
ପ୍ରୟୋଗ ହୋଇଥିବା ଭ୍ରମଣ |,వ్యాప్తి విహారయాత్ర
ପ୍ରଶସ୍ତତା ଫ୍ୟାକ୍ଟର୍ |,వ్యాప్తి కారకం
ପ୍ରଶସ୍ତତା ସୀମା,వ్యాప్తి పరిమితి
ପ୍ରୟୋଗ ମୋଡ୍ୟୁଲେଟ୍ |,వ్యాప్తి మాడ్యులేటెడ్
ପ୍ରଶସ୍ତତା ମୋଡ୍ୟୁଲେସନ୍ |,యాంప్లిట్యూడ్ మాడ్యులేషన్
ଆନାଗଲ୍ (ଆନାଗଲ୍),అనలాగ్ (అనలాగ్)
ଆନାଗଲ୍ ସର୍କିଟ୍ |,అనలాగ్ సర్క్యూట్
ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |,అనలాగ్ కంప్యూటర్
ଆନାଗଲ୍ ରେଡିଓ ଫ୍ରିକ୍ୱେନ୍ସି ଚ୍ୟାନେଲ |,ఫ్రీక్వెన్సీ ఛానల్
ଆନାଗଲ୍ ଉପସ୍ଥାପନା |,అనలాగ్ ప్రాతినిధ్యం
ଆନାଗଲ୍ ସିଗନାଲ୍ |,అనలాగ్ సిగ్నల్
ଅନୁରୂପ କରିବାକୁ ଅନୁରୂପ |,డిజిటల్‌కు అనలాగ్
ଡିଜିଟାଲ୍ କନଭର୍ଟର ପାଇଁ ଆନାଗଲ୍ |,డిజిటల్ కన్వర్టర్‌కు అనలాగ్
ଆନାଗଲ୍ ଭିଡିଓ |,అనలాగ్ వీడియో
ଅନୁରୂପ,సారూప్యత
ଆନାଲୋଜି,సారూప్యత
ବିଶ୍ଳେଷଣ |,విశ్లేషణ
ତଥ୍ୟର ବିଶ୍ଳେଷଣ |,డేటా యొక్క విశ్లేషణ
ଆନାଲିଟିକାଲ୍ ଘନତା |,విశ్లేషణాత్మక సాంద్రత
ବିଶ୍ଳେଷଣ କର |,విశ్లేషించడానికి
ଆନିପ୍ରିଣ୍ଟେଜର |,ఎనలైజర్
ଅର୍କିଲିଡିଆ ଉପକରଣ |,సహాయక పరికరాలు
ଏବଂ ଫାଟକ,మరియు గేట్
କଲିମିର କୋଣ |,కొలిమేషన్ యొక్క కోణం
ପୋଲାରାଇଜେସନ୍ କୋଣ |,ధ్రువణ కోణం
ଘୂର୍ଣ୍ଣନର କୋଣ |,భ్రమణ కోణం
Agtstom (å),గోరు
କୋଣାର୍କ,కోణీయ
କୋଣାର୍କ ତ୍ୱରାନ୍ୱିତ |,కోణీయ త్వరణం
କୋଣାର୍କ ସମବେଦନା |,కోణీయ సమన్వయాలు
କୋଣାର୍କ ବିବେକ |,కోణీయ విక్షేపం
କୋଣାର୍କ ବିପରୀତ |,కోణీయ చెదరగొట్టడం
କୋଣାର୍କ ବିସ୍ଥାପନ |,కోణీయ స్థానభ్రంశం
କୋଣାର୍କ ତ୍ରୁଟି |,కోణీయ లోపం
କୋଣାର୍କ ଫ୍ରିକ୍ୱେନ୍ସି |,కోణీయ పౌన .పున్యం
କୋଣାର୍କ ଗତି |,కోణీయ మొమెంటం
କୋଣାର୍କ ଗତି,కోణీయ కదలిక
କୋଣାର୍କ ବେଗ |,కోణీయ వేగం
ଆନିମେସନ୍,యానిమేషన్
Anode,యానోడ్
Anodod ବ୍ୟାଟେରୀ |,యానోడ్ బ్యాటరీ
Andod ବ istic ଶିଷ୍ଟ୍ୟ |,యానోడ్ లక్షణం
ଆନୋଡ ସର୍କିଟ୍ |,యానోడ్ సర్క్యూట్
ଆନୁଷ୍ଠାନିକ ଡିସପିଏସନ,యానోడ్ వెదజల్లడం
ଆନୁଷ୍ଠାନିକ ଦକ୍ଷତା |,యానోడ్ సామర్థ్యం
ଆନୁଷ୍ଠାନିକ ଇନପୁଟ୍ ଶକ୍ତି |,యానోడ్ ఇన్పుట్ శక్తి
ଆନୁଷ୍ଠାନିକ ମୋଡୁଲେସନ୍ |,యానోడ్ మాడ్యులేషన్
ଆଣ୍ଟେନା |,యాంటెన్నా
ଆଣ୍ଟେନା ବିମ୍ୱିଡଥ୍ |,యాంటెన్నా బీమ్విడ్త్
ଆଣ୍ଟେନା ବୁଷ୍ଟର୍ |,యాంటెన్నా బూస్టర్
ଆଣ୍ଟେନା ପରିବର୍ତ୍ତନକାରୀ ସୁଇଚ୍ |,యాంటెన్నా చేంజ్ఓవర్ స్విచ్
ଆଣ୍ଟେନା କୋଇଲ୍ |,యాంటెన్నా కాయిల్
ଆଣ୍ଟେନା ବିନ୍ୟାସ,యాంటెన్నా కాన్ఫిగరేషన్
ଆଣ୍ଟେନା କପଟର୍ |,యాంటెన్నా కప్లర్
ଆଣ୍ଟେନା କ୍ରସ୍ ପୋଲାର୍ ପ୍ୟାଟର୍ |,యాంటెన్నా క్రాస్ ధ్రువ నమూనా
ଆଣ୍ଟେନା କରେଣ୍ଟ୍ |,యాంటెన్నా కరెంట్
ଆଣ୍ଟେନା ପ୍ରତ୍ୟକ୍ଷ ପ୍ରତ୍ୟକ୍ଷ ଲାଭ |,యాంటెన్నా డైరెక్టివిటీ లాభం
ଆଣ୍ଟେନା ଡୁପ୍ଲେକ୍ସର |,యాంటెన్నా డ్యూప్లెక్సర్
ଆଣ୍ଟେନା ପ୍ରଭାବଶାଳୀ କ୍ଷେତ୍ର |,యాంటెన్నా ప్రభావవంతమైన ప్రాంతం
ଆଣ୍ଟେନା ଦକ୍ଷତା |,యాంటెన్నా సామర్థ్యం
ଆଣ୍ଟେନା ଫିଡ୍ |,యాంటెన్నా ఫీడ్
ଆଣ୍ଟେନା ପାଦ ପ୍ରିଣ୍ଟ୍ |,యాంటెన్నా ఫుట్ ప్రింట్
ଆଣ୍ଟେନା ଲାଭ,యాంటెన్నా లాభం
ଆଣ୍ଟେନା ଉଚ୍ଚତା |,యాంటెన్నా ఎత్తు
ଆଣ୍ଟେନା ପ୍ରତିରକ୍ଷା |,యాంటెన్నా ఇంపెడెన్స్
ଆଣ୍ଟେନା ଇଣ୍ଡିକାନ୍ସ |,యాంటెన్నా ఇండక్టెన్స్
ଆଣ୍ଟେନା ପାଟର୍ନ |,యాంటెన్నా నమూనా
ଆଣ୍ଟେନା ପ୍ଲେକ୍ସର୍ |,యాంటెన్నా ప్లెక్సర్
ଆଣ୍ଟେନା ପୋଲାରାଇଜେସନ୍ |,యాంటెన్నా ధ్రువణత
ଆଣ୍ଟେନା ଶକ୍ତି |,యాంటెన్నా శక్తి
ଆଣ୍ଟେନା ପାୱାର ଲାଭ |,యాంటెన్నా శక్తి లాభం
ଆଣ୍ଟିନା ବିକିରଣ ପ୍ରତିରୋଧ |,యాంటెన్నా రేడియేషన్ నిరోధకత
ଆଣ୍ଟେନା ପ୍ରତିକ୍ରିୟା |,యాంటెన్నా రియాక్టెన్స్
ଆଣ୍ଟେନା ରିଫଲେକ୍ଟର |,యాంటెన్నా రిఫ్లెక్టర్
ଆଣ୍ଟେନା ପ୍ରତିରୋଧ,యాంటెన్నా నిరోధకత
ଆଣ୍ଟେନା ପର୍ଯ୍ୟଟକଗଣ ବିସ୍ତାରିତ ଫ୍ରିକ୍ୱେନ୍ସି |,యాంటెన్నా ప్రతిధ్వని ఫ్రీక్వెన్సీ
ଆଣ୍ଟେନା ବ୍ୟବଧାନ |,యాంటెన్నా స్పేసింగ్
ଆଣ୍ଟେନା ସୁଇଚ୍ ରୁମ୍ |,యాంటెన్నా స్విచింగ్ రూమ్
ଆଣ୍ଟେନା ଟ୍ୟୁନିଂ କୋଇଲ୍ |,యాంటెన్నా ట్యూనింగ్ కాయిల్
ଆଣ୍ଟେନା ଟ୍ୟୁନିଂ ହାଟ |,యాంటెన్నా ట్యూనింగ్ హట్
ଆପେଚର,ఎపర్చరు
ଆପୋଲେଜ୍,అపోజీ
ଆପୋଲେ ରକେଟ୍ |,అపోజీ రాకెట్
ଉପକରଣ,ఉపకరణం
ସ୍ପଷ୍ଟ,స్పష్టంగా
ଆପଲେଟ୍,ఆప్లెట్
ପ୍ରୟୋଗ,అప్లికేషన్
ଆନୁମାନିକ,సుమారు
ଜଳପ୍ରବାହକାରୀ ସମାଧାନ |,అక్వేస్ ద్రావణం
ଆର୍କ,ఆర్క్
ସ୍ଥାପତ୍ୟ,వాస్తుశిల్పం
ଶବ୍ଦ ରେକର୍ଡିଂର ଅଭିଲେଖାଗାର ସ୍ଥାନାନ୍ତର |,సౌండ్ రికార్డింగ్ యొక్క ఆర్కైవల్ బదిలీ
ଅଭିଲେଖାଗାର,ఆర్కైవ్స్
ଗାଣିତିକ କୋଡିଂ |,అంకగణిత కోడింగ్
ଅର୍ଗର,ఆర్మేచర్
ଅରତା ପବନ,ఆర్మేచర్ వైండింగ్
ଆରେ,అమరిక
ଆରେଷ୍ଟ୍ରର୍,అరేస్టర్
ଆର୍ଟଲେସନ୍,ఉచ్చారణ
କଳାକୃତି (= କଳାକୃତି),(= కళాఖండము
ଆରୋହଣ,ఆరోహణ
ଆନୁମାନିକ ଅନୁପାତ,కారక నిష్పత్తి
ଏକତ୍ରିତ |,సమీకరించేవాడు
ଧାରଣା,వాదన
ଆସାଇନମେଣ୍ଟ,అప్పగింత
ଆସାଇନମେଣ୍ଟ ଚ୍ୟାନେଲ୍ |,అసైన్‌మెంట్ ఛానల్
ଅସମାନଗତ,అసమాన
ଅସନ୍ତୁଳିତ,అసమకాలిక
ବାୟୁମଣ୍ଡଳ,వాతావరణం
ବାୟୁମଣ୍ଡଳୀୟ କ୍ଷତି |,వాతావరణ నష్టం
ବାୟୁମଣ୍ଡଳୀୟ ଶବ୍ଦ |,వాతావరణ శబ్దం
ବାୟୁମଣ୍ଡଳୀୟ ଚାପ |,వాతావరణ పీడనం
ବାୟୁମଣ୍ଡଳୀୟ ପ୍ରସାର |,వాతావరణ ప్రచారం
ବାୟୁମଣ୍ଡଳୀୟ ରେଡିଓ-ତରଙ୍ଗ |,వాతావరణ రేడియో-వేవ్
ବାୟୁମଣ୍ଡଳ,వాతావరణం
ପରମାଣୁ,అణువు
ପରମାଣୁ ଗଠନ,అణు నిర్మాణం
ସଂଲଗ୍ନ,అటాచ్మెంట్
ସାଧନ,అటెన్యుయేషన్
ଆଟେନେସନ୍ କ୍ଷତି |,అటెన్యుయేషన్ నష్టం
ଶବ୍ଦ ତରଙ୍ଗର ଆଭିମୁଖ୍ୟ |,ధ్వని తరంగాల యొక్క అటకన
ଆଟେଟୋଲେଟର୍ |,అటెన్యూయేటర్
ଆଟେନୁଏଟର୍-ପ୍ୟାଡ୍ |,అటెన్యూయేటర్-ప్యాడ్
ପରିମାପ ସୀମା,విడిబిలిటీ థ్రెషోల్డ్
ମୂଳଦୁଆ,వినగల
ଶରଣଯୋଗର ଫ୍ରିକ୍ୱେନ୍ସି |,వినగల ఫ్రీక్వెన్సీ
ଶ୍ରବଣୀୟ ସ୍ୱର,వినగల స్వరం
ଶ୍ରୋଚନା-ସ୍ପେକ୍ଟ୍ରମ୍ |,వినగల-స్పెక్ట్రం
ଦର୍ଶକ |,ప్రేక్షకులు
ଅଡିଓ,ఆడియో
ଅଡିଓ ଏମ୍ପ୍ଲିଫାୟର୍ |,ఆడియో యాంప్లిఫైయర్
ଅଡିଓ ଆନାଲିଜର |,ఆడియో ఎనలైజర్
ଅଡିଓ ପ୍ରସାରଣକାରୀ |,ఆడియో ప్రసారం
ଅଡିଓ କେବୁଲ୍ |,ఆడియో కేబుల్
ଅଡିଓ ଶୃଙ୍ଖଳା,ఆడియో గొలుసు
ଅଡିଓ କୋଡେକ,ఆడియో కోడెక్
ଅଡିଓ ସଙ୍କୋଚନ |,ఆడియో కుదింపు
ଅଡିଓ ସଙ୍କୋଚନ |,ఆడియో కంప్రెసర్
ଅଡିଓ କୋନସୋଲ |,ఆడియో కన్సోల్
ଅଡିଓ ବିକୃତ |,ఆడియో వక్రీకరణ
ଅଡିଓ ଗତିଶୀଳ ପରିସର |,ఆడియో డైనమిక్ పరిధి
ଅଡିଓ ଫାଇଲ୍ ଫର୍ମାଟ୍ |,ఆడియో ఫైల్ ఫార్మాట్
ଅଡିଓ ଫ୍ରେମ୍ ଫର୍ମାଟ୍ |,ఆడియో ఫ్రేమ్ ఫార్మాట్
ଅଡିଓ ଫ୍ରିକ୍ୱେନ୍ସି ଏମ୍ପ୍ଲିଫାୟର୍ |,ఆడియో ఫ్రీక్వెన్సీ యాంప్లిఫైయర్
ଅଡିଓ ଫ୍ରିକ୍ୱେନ୍ସି ଜେନେରେଟର |,ఆడియో ఫ్రీక్వెన్సీ జనరేటర్
ଅଡିଓ ଫ୍ରିକ୍ୱେନ୍ସି ରେଞ୍ଜ |,ఆడియో ఫ్రీక్వెన్సీ పరిధి
ଅଡିଓ ଫ୍ରିକ୍ୱେନ୍ସି ପ୍ରତିକ୍ରିୟା |,ఆడియో ఫ్రీక్వెన్సీ ప్రతిస్పందన
ଅଡିଓ ସୀମା,ఆడియో పరిమితి
ଅଡିଓ ରେଖା |,ఆడియో లైన్
ଅଡିଓ ମିକ୍ସର୍ |,ఆడియో మిక్సర్
ଅଡିଓ ମୋଣ୍ଟୁଲେସନ୍ |,ఆడియో మాడ్యులేషన్
ଅଡିଓ ଓସକ୍ଲଟର |,ఆడియో ఓసిలేటర్
ଅଡିଓ ଆଉଟପୁଟ୍,ఆడియో అవుట్పుట్
ଅଡିଓ ଶକ୍ତି |,ఆడియో శక్తి
ଅଡିଓ ଗୁଣ,ఆడియో నాణ్యత
ଅଡିଓ ସଙ୍କେତ,ఆడియో సిగ్నల్
ଅଡିଓ ସଙ୍କେତ ପ୍ରକ୍ରିୟାକରଣ |,ఆడియో సిగ్నల్ ప్రాసెసింగ్
ଅଡିଓ ସ୍ପେକ୍ଟ୍ରମ୍,ఆడియో స్పెక్ట్రం
ଅଡିଓ ଷ୍ଟୋରେଜ୍ |,ఆడియో నిల్వ
ଅଡିଓ ସବ୍-କ୍ୟାରିଅର୍ |,ఆడియో సబ్ క్యారియర్
ଅଡିଓ ଟ୍ରାନ୍ସଫର୍ମର |,ఆడియో ట్రాన్స్ఫార్మర్
ଅଡିଓ ଟ୍ରାନ୍ସମିଟର |,ఆడియో ట్రాన్స్మిటర్
ଅଡିଓ / ଭିଡିଓ ସଙ୍କୋଚନ |,శ్రవణ/వీడియో కుదింపు
ଅଡିଓ-ଫ୍ରିକ୍ୱେନ୍ସି ଓସକ୍ଲୁଟର |,ఆడియో-ఫ్రీక్వెన్సీ ఓసిలేటర్
ଅଡିଓ-ଫ୍ରିକ୍ୱେନ୍ସି ସିଗ୍ନାଲ୍ |,ఆడియో-ఫ్రీక్వెన్సీ సిగ్నల్
ଅଡିଓମେଟ୍ରି |,ఆడియోమెట్రీ
ଅଡିଓ-ଭିଜୁଆଲ୍ ସାହାଯ୍ୟ |,ఆడియో-విజువల్ ఎయిడ్
ଅଡିଟୋରୀ ଧାରଣା |,శ్రవణ అవగాహన
ପ୍ରାମାଣିକିକରଣ,ప్రామాణీకరణ
ପ୍ରାଧିକୃତ ବାହକ ଫ୍ରିକ୍ୱେନ୍ସି |,అధీకృత క్యారియర్ ఫ్రీక్వెన్సీ
ଅଟୋ କ୍ୟାଡ୍,ఆటో క్యాడ్
ଅଟୋ ଡାଇଗ୍ନୋଷ୍ଟିକ୍ |,ఆటో డయాగ్నస్టిక్స్
ସ୍ୱୟଂଚାଳିତ |,ఆటోమేటిక్
ସ୍ୱୟଂଚାଳିତ ନିୟନ୍ତ୍ରଣ |,స్వయంచాలక నియంత్రణ
ସ୍ୱୟଂଚାଳିତ ଚିହ୍ନଟ |,ఆటోమేటిక్ డిటెక్షన్
ସ୍ୱୟଂଚାଳିତ ଯନ୍ତ୍ରପାତି |,స్వయంచాలక పరికరాలు
ସ୍ୱୟଂଚାଳିତ ଫ୍ରିକ୍ୱେନ୍ସି କଣ୍ଟ୍ରୋଲ୍ |,ఆటోమేటిక్ ఫ్రీక్వెన్సీ కంట్రోల్
ସ୍ୱୟଂଚାଳିତ ସୀମା |,ఆటోమేటిక్ లిమిటర్
