Bengali,Malayalam
ভেক্টর সংযোজন,വെക്റ്ററുകളുടെ കൂട്ടിച്ചേർക്കൽ
সংযোজন উপপাদ্য,കൂട്ടിച്ചേർക്കൽ സിദ്ധാന്തം
সংযোজনকারী গ্রুপ,സങ്കലന ഗ്രൂപ്പ്
সংযোজন বিপরীত,വിപരീത വിപരീതം
সংযোজক সম্পত্তি,അഡിറ്റീവ് പ്രോപ്പർട്ടി
সংযোজন,അഡിറ്റിവിറ്റി
অন্তিক ম্যাট্রিক্স,തൊട്ടടുത്തുള്ള മാട്രിക്സ്
সংলগ্ন,തൊട്ടടുത്തുള്ള
সন্নিহিত কোণ,അടുത്തുള്ള കോണുകൾ
সংলগ্ন শীর্ষবিন্দু,തൊട്ടടുത്തുള്ള ശീർഷകം
সংলগ্ন,ചേരുക
সংলগ্ন,തൊട്ടടുത്തുള്ള
সংলগ্ন নির্ধারক,അനുബന്ധ ഡിറ്റർമിനന്റ്
সন্নিহিত ডিফারেনশিয়াল সমীকরণ,അനുബന്ധ ഡിഫറൻഷ്യൽ സമവാക്യം
সংলগ্ন সমীকরণ,അനുബന്ധ സമവാക്യം
সংলগ্ন ম্যাট্রিক্স,അനുബന്ധ മാട്രിക്സ്
ম্যাট্রিক্সের সংলগ্ন,മാട്രിക്സിന്റെ അനുബന്ധം
সামঞ্জস্যপূর্ণ ম্যাট্রিক্স,അഡ്ജുഗേറ്റ് മാട്രിക്സ്
গ্রহণযোগ্য সিদ্ধান্ত ফাংশন,സ്വീകാര്യമായ തീരുമാന പ്രവർത്തനം
গ্রহণযোগ্য অনুমান,അനുവദനീയമായ അനുമാനം
এরোডাইনামিক বল,എയറോഡൈനാമിക് ശക്തി
বায়ুগতিবিদ্যা,എയറോഡൈനാമിക്സ്
affine জ্যামিতি,അഫൈൻ ജ്യാമിതി
affine ম্যাপিং,അഫൈൻ മാപ്പിംഗ്
affine রূপান্তর,അഫൈൻ പരിവർത്തനം
একত্রিত ভেরিয়েবল,അഗ്രഗേറ്റിംഗ് വേരിയബിളുകൾ
বীজগণিত,ബീജഗണിതം
বীজগণিতভাবে বন্ধ,ബീജഗണിതപരമായി അടച്ചിരിക്കുന്നു
বীজগণিত সমীকরণ,ബീജഗണിത സമവാക്യം
বীজগাণিতিক এক্সপ্রেশন,ബീജഗണിത പദപ്രയോഗം
বীজগাণিতিক ফর্ম,ബീജഗണിത രൂപം
বীজগণিতীয় ফাংশন,ബീജഗണിത പ്രവർത്തനം
বীজগণিত জ্যামিতি,ബീജഗണിത ജ്യാമിതി
বীজগণিতের বহুত্ব,ബീജഗണിത ഗുണിതം
বীজগণিত ব্যবস্থা,ബീജഗണിത വ്യവസ്ഥ
সমস্ত পূর্ণসংখ্যা সমস্যা,എല്ലാ പൂർണ്ണസംഖ്യാ പ്രശ്നം
বরাদ্দ সমস্যা,വിഹിതം പ്രശ്നം
বর্ণানুক্রমিক স্বরলিপি,അക്ഷരമാലാ ക്രമം
বর্ণানুক্রমিক অক্ষর,അക്ഷരമാലാക്രമം
বিকল্প কোণ,ഇതര കോൺ
বিকল্প ফর্ম,ഒന്നിടവിട്ട രൂപം
বিকল্প গোষ্ঠী,ഇതര ഗ്രൂപ്പ്
বিকল্প ম্যাট্রিক্স,ഒന്നിടവിട്ട മാട്രിക്സ്
বিকল্প সিরিজ,ഒന്നിടവിട്ട പരമ്പര
বিকল্প অনুমান,ഇതര സിദ്ധാന്തം
বিকল্প অপটিমা,ഇതര ഒപ്റ്റിമ
বিকল্প ফলাফল,ഇതര ഫലം
এনালগ থেকে ডিজিটাল রূপান্তরকারী,അനലോഗ്-ടു-ഡിജിറ്റൽ കൺവെർട്ടർ
অ্যানালগ কম্পিউটার,അനലോഗ് കമ്പ്യൂട്ടർ
বিশ্লেষণ,വിശകലനം
সহভক্তির বিশ্লেষণ,സഹവർത്തിത്വത്തിന്റെ വിശകലനം
গণনা তথ্য বিশ্লেষণ,എണ്ണൽ ഡാറ്റയുടെ വിശകലനം
বৈচিত্র্যের বিশ্লেষণ,വ്യതിയാനത്തിന്റെ വിശകലനം
বিশ্লেষণাত্মক জ্যামিতি,അനലിറ്റിക് ജ്യാമിതി
বিশ্লেষণমূলক ফাংশন,വിശകലന പ്രവർത്തനം
কোণ,കോൺ
যোগাযোগের কোণ,കോൺടാക്റ്റ് കോൺ
বিচ্যুতি কোণ,വ്യതിചലനത്തിന്റെ കോൺ
বিষণ্নতা কোণ,വിഷാദത്തിന്റെ ആംഗിൾ
বিচ্যুতি কোণ,വ്യതിയാനത്തിന്റെ കോൺ
বিবর্তন কোণ,ഡിഫ്രാക്ഷൻ കോൺ
উচ্চতা কোণ,എലവേഷൻ കോൺ
ঘটনার কোণ,സംഭവത്തിന്റെ കോൺ
অভিক্ষেপ কোণ,പ്രൊജക്ഷൻ കോൺ
প্রতিফলন কোণ,പ്രതിഫലനത്തിന്റെ കോൺ
প্রতিসরণ কোণ,അപവർത്തന കോൺ
ঘূর্ণন কোণ,ഭ്രമണകോണ്
মোট প্রতিফলনের কোণ,മൊത്തം പ്രതിഫലനത്തിന്റെ കോൺ
কৌণিক ত্বরণ,കോണീയ ത്വരണം
কৌণিক গতি,കോണീയ ചലനം
কৌণিক গতি,കോണീയ വേഗത
কৌণিক বেগ,കോണീയ പ്രവേഗം
অ্যানুলাস,വാർഷികം
উত্তর,ഉത്തരം
বিরোধী – ডেরিভেটিভ,ആന്റി-ഡെറിവേറ്റീവ്
অপ্রতিসম ফাংশন,ആന്റിസിമെട്രിക് പ്രവർത്തനം
প্রযোজ্য,ബാധകമാണ്
আবেদন,അപേക്ഷ
প্রয়োগকৃত গতিশীল প্রোগ্রামিং,പ്രയോഗിച്ച ഡൈനാമിക് പ്രോഗ്രാമിംഗ്
প্রয়োগ করা জ্যামিতি,പ്രയോഗിച്ച ജ്യാമിതി
ফলিত গণিত,പ്രയോഗിച്ച ഗണിതശാസ്ത്രം
ফলিত পরিসংখ্যান,പ്രയോഗിച്ച സ്ഥിതിവിവരക്കണക്കുകൾ
আন্দাজ,ഏകദേശം
প্রায় একটানা ফাংশন,ഏകദേശം തുടർച്ചയായ പ്രവർത്തനം
আনুমানিক পদ্ধতি,ഏകദേശ രീതി
আনুমানিক সমাধান,ഏകദേശ പരിഹാരം
আনুমানিক সমস্যা,ഏകദേശ പ്രശ്നം
আনুমানিক সম্পত্তি,ഏകദേശ സ്വത്ത്
যোগ্যতা পরীক্ষার ব্যাটারি,ആപ്റ്റിറ്റ്യൂഡ് ടെസ്റ്റ് ബാറ്ററി
Argand ডায়াগ্রাম,അർഗൻഡ് ഡയഗ്രം
নির্বিচারে নির্বাচিত,ഏകപക്ഷീയമായി തിരഞ്ഞെടുത്തു
ইচ্ছামত,ഏകപക്ഷീയമായ
নির্বিচারে ধ্রুবক,ഏകപക്ഷീയമായ സ്ഥിരാങ്കം
নির্বিচারে উপাদান,ഏകപക്ഷീയമായ ഘടകം
নির্বিচারে পয়েন্ট,ഏകപക്ഷീയമായ പോയിന്റ്
আর্কিমিডিয়ান আইন,ആർക്കെമീഡിയൻ നിയമം
আর্কিমিডিসের নীতি,ആർക്കിമിഡീസ് തത്വം
চাপ দৈর্ঘ্য,ആർക്ക് നീളം
বৃত্তের চাপ,വൃത്താകൃതിയിലുള്ള കമാനം
আর্ক সাইন ডিস্ট্রিবিউশন,ആർക്ക് സൈൻ വിതരണം
চাপ সাইন রূপান্তর,ആർക്ക് സൈൻ പരിവർത്തനം
এলাকা,പ്രദേശം
আঞ্চলিক টেক্সচার,ഏരിയൽ ടെക്സ്ചർ
জটিল সংখ্যার যুক্তি,സങ്കീർണ്ണ സംഖ്യയുടെ വാദം
গাণিতিক গড়,ഗണിത അർത്ഥം
গাণিতিক অপারেশন,ഗണിത പ്രവർത്തനം
পাটিগণিত একক,ഗണിത യൂണിറ്റ്
ব্যবস্থা,ക്രമീകരണം
অ্যারে,അറേ
কৃত্রিম উপগ্রহ,കൃത്രിമ ഉപഗ്രഹം
কৃত্রিম পরিবর্তনশীল,കൃത്രിമ വേരിയബിൾ
আরোহণ,കയറുക
আরোহী,ആരോഹണം
মাত্রার আরোহী ক্রম,മാഗ്നിറ്റ്യൂഡിന്റെ ആരോഹണ ക്രമം
আরোহী সিরিজ,ആരോഹണ പരമ്പര
সংযোজনকারী ভাষা,അസംബ്ലർ ഭാഷ
নিয়োগ সমস্যা,അസൈൻമെന്റ് പ്രശ്നം
সহযোগী আইন,സഹകാരി നിയമം
অপারেটরদের সহযোগী আইন,ഓപ്പറേറ്റർമാരുടെ അനുബന്ധ നിയമം
সহযোগী অপারেশন,അനുബന്ധ പ്രവർത്തനം
সহযোগীতা,സഹവാസം
ধরে নেওয়া গড়,അർത്ഥമാക്കുന്നത്
অনুমান সম্ভাব্যতা বন্টন,പ്രോബബിലിറ്റി ഡിസ്ട്രിബ്യൂഷൻ അനുമാനിച്ചു
ধৃষ্টতা,അനുമാനം
জ্যোতিষশাস্ত্র,ജ്യോതിഷം
মহাকাশচারী প্রকৌশলী,ബഹിരാകാശ എഞ്ചിനീയർ
জ্যোতির্বিজ্ঞানী,ജ്യോതിശാസ്ത്രജ്ഞൻ
জ্যোতির্বিদ্যা ঘড়ি,ജ്യോതിശാസ്ത്ര ഘടികാരം
জ্যোতির্বিদ্যা,ജ്യോതിശാസ്ത്രം
অপ্রতিসম বক্ররেখা,അസമമായ വക്രം
অসমতা,അസമമിതി
উপসর্গ,ലക്ഷണം
অ্যাসিম্পোটিক,അസിംപ്റ്റോട്ടിക്
লক্ষণগতভাবে দক্ষ অনুমানকারী,അസിംപ്റ്റിക്കലി കാര്യക്ഷമമായ എസ്റ്റിമേറ്റർ
asymptotically নিরপেক্ষ অনুমানকারী,അസ്‌മിപ്റ്റിക്കലി പക്ഷപാതമില്ലാത്ത എസ്റ്റിമേറ്റർ
অ্যাসিম্পোটিক আচরণ,അസിംപ്റ്റോട്ടിക് സ്വഭാവം
অ্যাসিম্পোটিক ডিস্ট্রিবিউশন ফাংশন,അസിംപ്റ്റോട്ടിക് ഡിസ്ട്രിബ്യൂഷൻ ഫംഗ്ഷൻ
অ্যাসিম্পোটিক সম্প্রসারণ,അസിംപ്റ്റോട്ടിക് വികാസം
বায়ুমণ্ডলীয় চাপ,അന്തരീക്ഷമർദ്ദം
এলোমেলোভাবে,മാറി മാറി
বৈশিষ্ট্য,ആട്രിബ്യൂട്ട്
বৈশিষ্ট্য নমুনা পদ্ধতি,ആട്രിബ്യൂട്ടുകൾ സാമ്പിൾ നടപടിക്രമം
অগমেন্টেড ম্যাট্রিক্স,വർദ്ധിപ്പിച്ച മാട്രിക്സ്
স্বয়ংক্রিয় সম্পর্ক সহগ,ഓട്ടോകോറിലേഷൻ കോഫിഫിഷ്യന്റ്
স্বয়ংক্রিয় সম্পর্ক ফাংশন,ഓട്ടോകോറിലേഷൻ ഫംഗ്ഷൻ
স্বয়ংক্রিয়তা,ഓട്ടോകോവേരിയൻസ്
স্বয়ংক্রিয় কম্পিউটার,ഓട്ടോമാറ്റിക് കമ്പ്യൂട്ടർ
অটোরিগ্রেশন,സ്വയം റിഗ്രഷൻ
সহায়ক সমীকরণ,സഹായ സമവാക്യം
গড় নমুনা সংখ্যা বক্ররেখা (ASN কার্ভ),ശരാശരി സാമ്പിൾ നമ്പർ വക്രം (ASN കർവ്)
স্বতঃসিদ্ধ,സിദ്ധാന്തം
স্বতঃসিদ্ধ পদ্ধতি,അച്ചുതണ്ട് സമീപനം
সম্ভাব্যতার স্বতঃসিদ্ধ,സംഭാവ്യതയുടെ സിദ്ധാന്തം
অক্ষ,അച്ചുതണ്ട്
আবসিসার অক্ষ,അബ്സിസ്സയുടെ അച്ചുതണ്ട്
পৃথিবীর অক্ষ,ഭൂമിയുടെ അച്ചുതണ്ട്
বিপ্লবের অক্ষ,വിപ്ലവത്തിന്റെ അച്ചുതണ്ട്
ঘূর্ণনের অক্ষ,ഭ്രമണത്തിന്റെ അച്ചുതണ്ട്
ঘূর্ণনের অক্ষ,സ്പിന്നിന്റെ അച്ചുതണ്ട്
ফিরে প্রতিস্থাপন,തിരികെ-പകരം
পশ্চাদপদ পার্থক্য,പിന്നാക്ക വ്യത്യാസം
পশ্চাদগামী-ইন্টারপোলেশন সূত্র,ബാക്ക്വാർഡ്-ഇന്റർപോളേഷൻ ഫോർമുല
ভারসাম্য,ബാലൻസ്
সুষম নকশা,സമതുലിതമായ ഡിസൈൻ
ব্যালেন্স শীট,ബാലൻസ് ഷീറ്റ്
ক্ষেপণাস্ত্র,ബാലിസ്റ്റിക് മിസൈൽ
ব্যালিস্টিক,ബാലിസ്റ്റിക്സ്
বার,ബാർ
ভিত্তি,അടിസ്ഥാനം
ভিত্তি কোণ,അടിസ്ഥാന കോൺ
লগারিদমের ভিত্তি,ലോഗരിതം അടിസ്ഥാനം
মৌলিক,അടിസ്ഥാന
মৌলিক সম্ভাব্য সমাধান,അടിസ്ഥാന പ്രായോഗിക പരിഹാരം
মৌলিক সমাধান,അടിസ്ഥാന പരിഹാരം
মৌলিক পরিবর্তনশীল,അടിസ്ഥാന വേരിയബിൾ
ভিত্তি,അടിസ്ഥാനം
ভিত্তি উপাদান,അടിസ്ഥാന ഘടകം
ভিত্তি ম্যাট্রিক্স,അടിസ്ഥാന മാട്രിക്സ്
একটি ভেক্টর স্থান ভিত্তি,ഒരു വെക്റ്റർ സ്ഥലത്തിന്റെ അടിസ്ഥാനം
সাবস্পেস ভিত্তি,ഉപസ്ഥലത്തിന്റെ അടിസ്ഥാനം
Bayesian অনুমান,ബയേസിയൻ എസ്റ്റിമേറ്റ്
বেইস আইন,ബയേസിന്റെ നിയമം
বেইসের উপপাদ্য,ബയേസിന്റെ സിദ്ധാന്തം
বার্নোলি বিতরণ,ബെർണൂലി വിതരണം
বার্নোলি নম্বর,ബെർണൂലി നമ്പർ
Bernoulli সম্ভাব্যতা ফাংশন,ബെർണൂലി പ്രോബബിലിറ്റി ഫംഗ്‌ഷൻ
বার্নউলির সমীকরণ,ബെർണൂലിയുടെ സമവാക്യം
বেরি ফাংশন,ബെറി പ്രവർത്തനം
শ্রেষ্ঠ মিল,ഏറ്റവും അനുയോജ്യം
সেরা - ফিট লাইন,ഏറ്റവും അനുയോജ്യമായ ലൈൻ
সেরা সমাধান,മികച്ച പരിഹാരം
সেরা কৌশল,മികച്ച തന്ത്രങ്ങൾ
বিটা বিতরণ,ബീറ്റ വിതരണം
পক্ষপাত,പക്ഷപാതം
পক্ষপাতমূলক অনুমান,പക്ഷപാതപരമായ കണക്ക്
বিহারমোনিক সমীকরণ,ബൈഹാർമോണിക് സമവാക്യം
দ্বিখণ্ডন,ബിജക്ഷൻ
দ্বিমুখী মানচিত্র,ബിജക്റ്റീവ് മാപ്പ്
দ্বিমুখী ম্যাপিং,ബിജക്റ്റീവ് മാപ്പിംഗ്
বাইলিনিয়ার ফর্ম,ബിലീനിയർ രൂപം
বাইলিনিয়ার ফাংশন,ബിലീനിയർ ഫംഗ്ഷൻ
বাইলিনিয়ার হারমিটিয়ান ফর্ম,ബിലീനിയർ ഹെർമിഷ്യൻ രൂപം
বাইনারি,ബൈനറി
বাইনারি কোড,ബൈനറി കോഡ്
বাইনারি কোডেড দশমিক,ബൈനറി കോഡ് ചെയ്ത ദശാംശം
বাইনারি কোডিং,ബൈനറി കോഡിംഗ്
বাইনারি কম্পিউটার,ബൈനറി കമ്പ്യൂട്ടർ
বাইনারি সংখ্যা,ബൈനറി അക്കം
বাইনারি অপারেশন,ബൈനറി പ്രവർത്തനം
বাইনারি সিস্টেম,ബൈനറി സിസ്റ്റം
বাইনারি পরিবর্তনশীল,ബൈനറി വേരിയബിൾ
দ্বিপদ সহগ,ദ്വിപദ ഗുണകം
দ্বিপদ ডিস্ট্রিবিউশন,ദ്വിപദ വിതരണം
দ্বিপদ সমীকরণ,ദ്വിപദ സമവാക്യം
দ্বিপদ সম্প্রসারণ,ദ്വിപദ വിപുലീകരണം
দ্বিপদ অভিব্যক্তি,ദ്വിപദ പദപ്രയോഗം
দ্বিপদী র্যান্ডম পরিবর্তনশীল,ബൈനോമിയൽ റാൻഡം വേരിയബിൾ
দ্বিপদ উপপাদ্য,ദ്വിപദ സിദ്ധാന്തം
দ্বিখণ্ডন,വിഭജനം
দ্বিখণ্ডিত পদ্ধতি,വിഭജന രീതി
দ্বিখণ্ডিত,ദ്വിഭാഗം
biserial,ബൈസീരിയൽ
বিট,ബിറ്റ്
দ্বিপদ দ্বিপদ বণ্টন,ദ്വിപദ ദ്വിപദ വിതരണം
bivariate পারস্পরিক সম্পর্ক সহগ,ദ്വിവസ്ത്ര പരസ്പര ബന്ധ ഗുണകം
দ্বিমুখী বন্টন,ദ്വിവിധ വിതരണം
দ্বিমুখী স্বাভাবিক বন্টন,ദ്വിവത്കൃത സാധാരണ വിതരണം
bivector,ബിവെക്ടർ
বোল্টজম্যান সমীকরণ,ബോൾട്ട്സ്മാൻ സമവാക്യം
বুলিয়ান বীজগণিত,ബൂളിയൻ ബീജഗണിതം
বোস-আইনস্টাইন পরিসংখ্যান,ബോസ് - ഐൻസ്റ്റീൻ സ്ഥിതിവിവരക്കണക്കുകൾ
সীমানার অবস্থা,അതിർത്തി അവസ്ഥ
সীমানা স্তর,അതിർത്തി പാളി
সীমান,അതിർത്തി രേഖ
সীমানা মান,അതിർത്തി മൂല്യം
সীমানা মান সমস্যা,അതിർത്തി മൂല്യ പ്രശ്നം
আবদ্ধ ফাংশন,പരിമിതമായ പ്രവർത്തനം
আবদ্ধ ম্যাট্রিক্স,ബൗണ്ടഡ് മാട്രിക്സ്
আবদ্ধ অঞ্চল,അതിർത്തി പ്രദേശം
আবদ্ধ সেট,ബൗണ്ടഡ് സെറ്റ്
ব্রোমিন,ബ്രൗൺ ചലനം
গণনা করা,കണക്കാക്കുക
গণনা করা,കണക്കുകൂട്ടുന്നു
গননা যন্ত্র,കണക്കുകൂട്ടൽ യന്ത്രം
গণনা,കണക്കുകൂട്ടല്
গণনা পদ্ধতি,കണക്കുകൂട്ടൽ നടപടിക്രമം
ক্যালকুলেটর,കാൽക്കുലേറ്റർ
ক্যালকুলাস,കാൽക്കുലസ്
পরিবর্তনের ক্যালকুলাস,വ്യതിയാനത്തിന്റെ കണക്കുകൂട്ടൽ
ক্যালোরি,കലോറി
বাতিল আইন,റദ്ദാക്കൽ നിയമം
ক্যানোনিকাল সমীকরণ,കാനോനിക്കൽ സമവാക്യം
ক্যানোনিকাল ফর্ম,കാനോനിക്കൽ രൂപം
ক্যানোনিকাল ম্যাট্রিক্স,കാനോനിക്കൽ മാട്രിക്സ്
ক্যান্টর সেট,കാന്റർ സെറ്റ്
Cantor এর ত্রিনারি সেট,കാന്ററിന്റെ ത്രിതല സെറ്റ്
ক্যাপাসিটেড পরিবহন সমস্যা,ശേഷിയുള്ള ഗതാഗത പ്രശ്നം
ক্ষমতা,ശേഷി
কৈশিক বল,കാപ്പിലറി ബലം
অঙ্কবাচক সংখ্যা,കാർഡിനൽ നമ്പർ
কার্টেসিয়ান অক্ষ,കാർട്ടീഷ്യൻ അക്ഷങ്ങൾ
কার্টেসিয়ান স্থানাঙ্ক,കാർട്ടീഷ്യൻ കോർഡിനേറ്റുകൾ
কার্টিজিয়ান পণ্য,കാർട്ടീഷ്യൻ ഉൽപ്പന്നം
সেটের কার্টেসিয়ান পণ্য,സെറ്റുകളുടെ കാർട്ടീഷ്യൻ ഉൽപ്പന്നം
কেস স্টাডি,കേസ് പഠനം
বিপর্যয়কর ওঠানামা,വിനാശകരമായ ഏറ്റക്കുറച്ചിലുകൾ
ক্যাটেনারি,കാറ്റനറി
কচি বন্টন,കോച്ചി വിതരണം
কচি সূত্র,കൗച്ചി ഫോർമുല
Cauchy Goursat উপপাদ্য,Cauchy Goursat സിദ്ധാന്തം
কচি রিম্যানের শর্ত,കൗച്ചി റീമാൻ വ്യവസ്ഥകൾ
কচি সিকোয়েন্স,Cauchy ക്രമം
কচি অবিচ্ছেদ্য,കൗച്ചി ഇന്റഗ്രൽ
কচি প্রধান মান,Cauchy പ്രധാന മൂല്യം
কচি অবশিষ্টাংশ উপপাদ্য,കൗച്ചി അവശിഷ്ട സിദ്ധാന്തം
কেলি হ্যামিল্টন উপপাদ্য,കെയ്‌ലി ഹാമിൽട്ടൺ സിദ്ധാന്തം
স্বর্গীয় শরীরের,ആകാശ ശരീരം
স্বর্গীয় পরিমাপ,ആകാശത്തിന്റെ അളവ്
স্বর্গীয় বলবিদ্যা,ആകാശ മെക്കാനിക്സ്
মহাকাশীয় বস্তু,ആകാശ വസ്തു
সেল ফ্রিকোয়েন্সি,സെൽ ആവൃത്തി
জনগণনা,കാനേഷുമാരി
সেন্টিল,സെന്റൽ
সেন্টিমিটার,സെന്റീമീറ്റർ
সেন্টিমিটার গ্রাম দ্বিতীয় সিস্টেম,സെന്റീമീറ്റർ ഗ്രാം സെക്കന്റ് സിസ്റ്റം
কেন্দ্রীয়,കേന്ദ്ര
কেন্দ্রীয় অক্ষ,കേന്ദ്ര അക്ഷം
কেন্দ্রীয় পার্থক্য,കേന്ദ്ര വ്യത്യാസം
কেন্দ্রীয় পার্থক্য সূত্র,കേന്ദ്ര വ്യത്യാസ ഫോർമുല
কেন্দ্রীয় পার্থক্য টেবিল,കേന്ദ്ര വ്യത്യാസ പട്ടിക
কেন্দ্রীয় সীমা উপপাদ্য,കേന്ദ്ര പരിധി സിദ്ധാന്തം
কেন্দ্রীয় মুহূর্ত,കേന്ദ്ര നിമിഷം
কেন্দ্রীয় প্রক্রিয়াকরণ ইউনিট (CPU),സെൻട്രൽ പ്രോസസ്സിംഗ് യൂണിറ്റ് (സിപിയു)
কেন্দ্রীয় প্রবণতা,കേന്ദ്ര പ്രവണത
কেন্দ্র,കേന്ദ്രം
মাধ্যাকর্ষণ কেন্দ্র,ഗുരുത്വാകർഷണ കേന്ദ്രം
দলের কেন্দ্র,ഗ്രൂപ്പിന്റെ കേന്ദ്രം
ভর কেন্দ্র,പിണ്ഡത്തിന്റെ കേന്ദ്രം
প্রতিসাম্য কেন্দ্র,സമമിതിയുടെ കേന്ദ്രം
অপকেন্দ্র বল,അപകേന്ദ്ര ബലം
কেন্দ্রমুখী বল,അപകേന്ദ്രബലം
ভরকেন্দ্র,കേന്ദ്രീകൃത
নিশ্চিততা,ഉറപ്പ്
সিজিএস সিস্টেম,cgs സിസ്റ്റം
সিজিএস ইউনিট,cgs യൂണിറ്റ്
পার্থক্যের চেইন নিয়ম,വ്യത്യാസത്തിന്റെ ശൃംഖല
সুযোগ কারণ,സാധ്യത കാരണങ്ങൾ
সুযোগ চলে যায়,അവസര നീക്കങ്ങൾ
অক্ষ পরিবর্তন,അച്ചുതണ്ടുകളുടെ മാറ്റം
ভিত্তি পরিবর্তন,അടിസ്ഥാന മാറ്റം
আদেশ পরিবর্তন,ക്രമം മാറ്റം
বৈশিষ্ট্য সহগ,സ്വഭാവ ഗുണകം
নির্ধারক,ഡിറ്റർമിനന്റ്
চরিত্রগত সমীকরণ,സ്വഭാവ സമവാക്യം
চরিত্রগত ফাংশন,സ്വഭാവ സവിശേഷത
লগারিদমের বৈশিষ্ট্য,ലോഗരിതത്തിന്റെ സ്വഭാവം
চরিত্রগত বহুপদ,സ്വഭാവ ബഹുപദം
বৈশিষ্ট্যগত মান,സ്വഭാവ മൂല്യം
চরিত্রগত ভেক্টর,സ്വഭാവ വെക്റ്റർ
অক্ষর সেট,പ്രതീക സെറ്റ്
চার্ট,ചാർട്ട്
চি-স্কয়ার বিতরণ,ചി-സ്ക്വയർ വിതരണം
চি-বর্গাকার সূত্র,ചി-സ്ക്വയർ ഫോർമുല
চি-স্কয়ার পরীক্ষা,ചി-സ്ക്വയർ ടെസ്റ്റ്
জ্যা,കോർഡ്
জ্যা-দ্বিখণ্ডন পদ্ধতি,chord-bisection രീതി
সাইফার বার্তা (=কোডেড বার্তা),സൈഫർ സന്ദേശം (=കോഡ് ചെയ്ത സന്ദേശം)
সাইফার (শূন্য),സൈഫർ (പൂജ്യം)
বৃত্ত,വൃത്തം
অভিসার বৃত্ত,ഒത്തുചേരൽ വൃത്തം
সার্কিট ম্যাট্রিক্স,സർക്യൂട്ട് മാട്രിക്സ്
বৃত্তাকার,വൃത്താകൃതിയിലുള്ള
বৃত্তাকার অ্যাসিম্পটোট,വൃത്താകൃതിയിലുള്ള ലക്ഷണം
বৃত্তাকার হেলিক্স,വൃത്താകൃതിയിലുള്ള ഹെലിക്സ്
বৃত্তাকার গতি,വൃത്താകൃതിയിലുള്ള ചലനം
পরিধি কেন্দ্র,ചുറ്റളവ്
পরিবৃত্ত,വൃത്താകൃതി
পরিধি করা,ചുറ്റുക
পরিধিকৃত,പരിമിതപ്പെടുത്തിയിരിക്കുന്നു
পরিধিকৃত বৃত্ত,ചുറ്റപ്പെട്ട വൃത്തം
ক্লাসিক্যাল ডিডাক্টিভ কৌশল,ക്ലാസിക്കൽ ഡിഡക്റ്റീവ് ടെക്നിക്
শাস্ত্রীয় গতিবিদ্যা,ക്ലാസിക്കൽ ഡൈനാമിക്സ്
